Target_genes	Mef2c|Average	SRX1287946|B_cells	SRX1287948|B_cells	SRX5846336|Cardiac_fibroblasts	SRX5846337|Cardiac_fibroblasts	SRX5846338|Cardiac_fibroblasts	SRX5846339|Cardiac_fibroblasts	SRX5846348|Cardiac_fibroblasts	SRX5846349|Cardiac_fibroblasts	SRX5846350|Cardiac_fibroblasts	SRX2497449|Cardiomyocytes	SRX2497450|Cardiomyocytes	SRX2497458|Cardiomyocytes	SRX2497459|Cardiomyocytes	SRX10616116|Cerebellum	SRX10616117|Cerebellum	SRX13554136|MEF	SRX13554137|MEF	SRX13554148|MEF	SRX13554149|MEF	SRX13554160|MEF	SRX13554161|MEF	SRX13554164|MEF	SRX13554165|MEF	SRX3845111|MEF	SRX3845116|MEF	SRX3845122|MEF	SRX4933820|MEF	SRX10616112|Prefrontal_Cortex	SRX10616113|Prefrontal_Cortex	STRING
Lrrc61	106.206897	0	0	0	281	163	703	281	150	188	0	0	0	0	323	204	0	0	0	0	0	0	0	0	0	282	303	0	0	202	0
Glipr1	106.206897	0	0	0	115	557	677	421	494	499	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	154	0	0	0	0	0
Txnl1	105.931034	0	0	0	0	465	273	158	199	258	0	0	0	0	516	428	0	0	0	0	0	0	0	0	145	155	240	0	0	235	0
Galk1	105.931034	0	0	0	228	554	605	355	408	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	126	234	0	0	0	0
Setd1b	105.862069	0	0	0	499	441	648	250	340	343	0	0	0	0	327	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St6galnac1	105.758621	0	0	0	0	770	292	756	602	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aox3	105.724138	0	0	0	557	849	822	0	169	195	0	0	0	0	0	0	0	0	146	0	0	0	0	0	159	0	169	0	0	0	0
Slc26a3	105.655172	0	0	0	461	596	1086	224	319	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigt	105.586207	0	0	0	324	747	1021	0	0	0	0	0	0	0	244	161	0	0	0	0	0	0	0	0	197	176	192	0	0	0	0
Pde8a	105.551724	0	0	0	237	997	1310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	71	180	114	0	0	0
Gtpbp10	105.517241	0	0	0	0	393	0	0	0	0	0	0	0	0	1047	757	0	0	0	0	0	0	0	0	116	129	178	0	117	323	0
Hax1	105.482759	0	0	0	246	657	677	198	378	410	0	0	0	0	163	0	0	0	0	0	0	0	0	0	102	125	103	0	0	0	0
Rnft1	105.448276	0	0	0	219	548	526	339	409	412	0	0	0	0	117	0	0	0	0	0	0	0	0	0	134	190	164	0	0	0	0
Pdia3	105.413793	0	0	0	433	757	992	0	0	0	0	0	0	0	234	149	0	0	0	0	0	0	0	0	153	203	136	0	0	0	0
Catsper2	105.413793	0	0	0	433	757	992	0	0	0	0	0	0	0	234	149	0	0	0	0	0	0	0	0	153	203	136	0	0	0	0
Pbk	105.37931	0	0	0	330	1001	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	161	194	0	0	0	0
Sec62	105.344828	0	0	0	0	132	274	111	0	0	0	0	0	0	1054	682	0	0	0	0	0	0	0	0	174	113	105	0	161	249	0
Fbxw7	105.310345	0	0	0	137	334	799	0	0	0	0	0	0	0	629	353	0	0	0	0	0	0	0	0	261	232	152	0	0	157	0
C9	105.310345	0	0	0	271	516	1473	296	208	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plscr1	105.275862	0	0	0	310	710	440	457	600	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0
Zfp770	105.241379	0	0	0	0	232	415	354	285	203	0	0	0	0	549	405	0	0	0	0	0	0	0	0	131	239	137	0	0	102	0
Msmo1	105.206897	0	0	0	514	366	1842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	248	0	0	0	0
Anapc15	105.206897	0	0	0	0	0	0	0	0	0	0	0	0	0	736	747	0	0	0	0	0	0	0	0	212	492	540	0	0	324	0
Olfr1324	105.172414	0	0	0	0	1098	964	240	543	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fosb	105.068966	0	0	0	185	373	719	145	193	259	0	0	0	0	240	176	0	0	0	0	0	0	0	0	244	228	285	0	0	0	0
Asph	105.068966	0	0	0	130	388	475	512	274	476	0	0	0	0	174	126	0	0	0	0	0	0	0	0	193	166	133	0	0	0	0
Bloc1s1	105.034483	0	0	0	0	364	370	276	390	255	0	0	0	0	389	234	0	0	0	0	0	0	0	0	140	319	191	0	0	118	0
Amt	105.034483	0	0	0	142	1674	1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmd8	104.965517	0	0	0	0	315	441	472	494	479	0	0	0	0	154	199	0	0	0	0	0	0	0	0	175	121	194	0	0	0	0
Med28	104.862069	0	0	0	145	315	813	0	0	0	0	0	0	0	483	408	0	0	0	0	0	0	0	0	199	317	246	0	0	115	0
Cdk11b	104.62069	0	0	0	0	0	114	0	0	0	0	0	0	0	1135	540	0	0	0	0	0	0	0	0	241	309	295	0	131	269	0
Ankrd24	104.62069	0	0	0	0	175	206	0	0	0	0	0	0	0	603	564	0	0	0	0	0	0	0	0	266	461	344	0	141	274	0
Sgo2a	104.482759	0	0	0	145	390	474	410	389	524	0	0	0	0	104	0	0	0	0	0	0	0	0	0	148	186	260	0	0	0	0
Polr3f	104.448276	0	0	0	0	389	294	0	0	0	0	0	0	0	548	341	0	0	0	0	0	0	0	0	585	447	425	0	0	0	0
Dzank1	104.448276	0	0	0	0	389	294	0	0	0	0	0	0	0	548	341	0	0	0	0	0	0	0	0	585	447	425	0	0	0	0
Irx5	104.413793	0	0	0	357	493	721	531	360	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0
Krt34	104.344828	0	0	0	301	1010	898	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	247	137	0	0	0	0
Krt31	104.344828	0	0	0	301	1010	898	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	247	137	0	0	0	0
Yod1	104.310345	0	0	0	0	623	740	437	437	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	94	80	0	0	0	0
Pfkfb2	104.310345	0	0	0	0	623	740	437	437	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	94	80	0	0	0	0
Snrk	104.275862	0	0	0	644	814	1566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malt1	104.241379	0	0	0	0	291	346	713	796	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	119	94	0	0	0	0
Xpo6	104.206897	0	0	0	194	816	988	0	229	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	255	188	158	0	0	0	0
Ranbp2	104.172414	0	0	0	0	231	458	0	0	0	0	0	0	0	977	655	0	0	0	0	0	0	0	0	171	156	132	0	0	241	0
Igsf3	104.103448	0	0	0	282	809	1072	135	315	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0
Pak6	103.793103	0	0	0	281	498	779	382	296	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	161	129	0	0	0	0
Cox14	103.793103	0	0	0	446	474	721	189	235	169	0	0	0	0	243	0	0	0	0	0	0	0	0	0	119	170	244	0	0	0	0
Ubiad1	103.724138	0	0	0	185	293	856	381	271	359	0	0	0	0	0	169	0	0	0	0	0	0	0	0	161	181	152	0	0	0	0
Fbxl5	103.655172	0	0	0	0	177	206	717	734	857	0	0	0	0	225	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0
Pibf1	103.62069	0	0	0	450	0	1731	0	0	0	0	0	0	0	150	109	0	0	0	0	0	0	0	0	198	137	230	0	0	0	0
Dis3	103.62069	0	0	0	450	0	1731	0	0	0	0	0	0	0	150	109	0	0	0	0	0	0	0	0	198	137	230	0	0	0	0
Mrpl22	103.551724	0	0	0	0	322	311	165	271	272	0	0	0	0	457	367	0	0	0	0	0	0	0	0	142	248	268	0	0	180	0
Gemin5	103.551724	0	0	0	0	322	311	165	271	272	0	0	0	0	457	367	0	0	0	0	0	0	0	0	142	248	268	0	0	180	0
Gbp3	103.517241	0	0	0	292	407	605	446	490	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	205	98	0	0	0	0
Mideas	103.482759	0	0	0	0	490	403	741	427	377	0	0	0	0	184	0	0	0	0	0	0	0	0	0	141	105	133	0	0	0	0
Lta4h	103.310345	0	0	0	0	310	452	0	376	204	0	0	0	0	371	337	0	0	0	0	0	0	0	0	113	225	347	0	0	261	0
Ppp1r27	103.275862	0	0	0	301	744	917	144	0	0	0	0	0	0	233	185	0	0	0	0	0	0	0	0	227	147	97	0	0	0	0
Rab3gap1	103.241379	0	0	0	153	193	593	457	529	431	0	0	0	0	128	0	0	0	0	0	0	0	0	0	155	175	180	0	0	0	0
Rhox3g	103.172414	0	0	0	169	347	387	776	662	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psme3	103.034483	0	0	0	0	0	0	0	0	0	0	0	0	0	707	704	0	0	0	0	0	0	0	0	230	504	341	0	126	376	0
Herpud2	103.034483	0	0	0	379	657	1026	145	166	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	116	101	0	0	0	0
Tgfb2	102.965517	0	0	0	250	591	1096	311	264	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	134	0	0	0	0
Nab1	102.965517	0	0	0	264	757	787	320	293	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0
Zfp112	102.896552	0	0	0	536	640	1338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	209	156	0	0	0	0
Pgap2	102.862069	0	0	0	0	1268	557	0	150	163	0	0	0	0	217	0	0	0	0	0	0	0	0	0	292	115	221	0	0	0	0
Nup98	102.862069	0	0	0	0	1268	557	0	150	163	0	0	0	0	217	0	0	0	0	0	0	0	0	0	292	115	221	0	0	0	0
Anapc10	102.827586	0	0	0	0	274	315	0	0	0	0	0	0	0	724	683	0	0	0	0	0	0	0	0	161	228	269	0	0	328	0
Abce1	102.827586	0	0	0	0	274	315	0	0	0	0	0	0	0	724	683	0	0	0	0	0	0	0	0	161	228	269	0	0	328	0
Rnf115	102.724138	0	0	0	416	292	1436	0	0	0	0	0	0	0	177	179	0	0	0	0	0	0	0	0	141	129	209	0	0	0	0
Rhbdf1	102.724138	0	0	0	320	822	688	186	350	185	0	0	0	0	231	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr3c	102.724138	0	0	0	416	292	1436	0	0	0	0	0	0	0	177	179	0	0	0	0	0	0	0	0	141	129	209	0	0	0	0
Mpg	102.724138	0	0	0	320	822	688	186	350	185	0	0	0	0	231	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micall1	102.586207	0	0	0	130	928	1052	224	232	280	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cobl	102.482759	0	0	0	303	798	1250	182	257	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aarsd1	102.413793	0	0	0	0	561	794	359	432	380	0	0	0	0	120	127	0	0	0	0	0	0	0	0	72	125	0	0	0	0	0
Cast	102.344828	0	0	0	0	174	339	782	717	534	0	0	0	0	0	0	0	0	0	0	0	0	124	0	139	159	0	0	0	0	0
Egf	102.310345	0	0	0	0	322	274	0	0	0	0	0	0	0	714	609	0	0	0	0	0	0	0	0	105	133	203	0	206	401	0
Nadk	102.275862	0	0	0	202	431	1091	0	0	0	0	0	0	0	660	322	0	0	0	0	0	0	0	0	111	0	149	0	0	0	0
Tbcb	102.172414	0	0	0	0	0	0	0	0	0	0	0	0	0	890	637	0	0	0	0	0	0	0	0	316	406	296	0	118	300	0
Polr2i	102.172414	0	0	0	0	0	0	0	0	0	0	0	0	0	890	637	0	0	0	0	0	0	0	0	316	406	296	0	118	300	0
Ovol3	102.172414	0	0	0	0	0	0	0	0	0	0	0	0	0	890	637	0	0	0	0	0	0	0	0	316	406	296	0	118	300	0
Mbd2	102.172414	0	0	0	219	394	519	845	437	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	92	0	0	0	0	0
Nudcd2	102.137931	0	0	0	0	0	0	0	0	0	0	0	0	0	938	735	0	0	0	0	0	0	0	0	0	234	161	0	333	561	0
Hmmr	102.137931	0	0	0	0	0	0	0	0	0	0	0	0	0	938	735	0	0	0	0	0	0	0	0	0	234	161	0	333	561	0
Zmynd11	102.103448	0	0	0	292	669	1086	314	248	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap5s1	102.103448	0	0	0	0	987	197	0	0	0	0	0	0	0	276	180	0	0	0	0	0	0	0	0	357	510	454	0	0	0	0
Nbeal2	102.0	0	0	0	0	0	0	0	0	0	0	0	0	0	997	727	0	0	0	0	0	0	0	0	220	190	268	0	160	396	0
Ccdc12	102.0	0	0	0	0	0	0	0	0	0	0	0	0	0	997	727	0	0	0	0	0	0	0	0	220	190	268	0	160	396	0
Guca2b	101.931034	0	0	0	330	593	902	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	414	209	0	0	0	0
Per1	101.862069	580	160	0	211	291	372	0	165	182	0	0	0	0	257	251	0	0	0	0	0	0	0	0	111	154	220	0	0	0	0
Mtus1	101.862069	0	0	0	0	631	295	239	385	506	0	0	0	0	257	225	0	0	0	0	0	0	0	0	159	131	126	0	0	0	0
Krtap28-13	101.862069	0	0	0	339	516	381	284	416	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	180	185	0	0	0	0
Rtf2	101.827586	0	0	0	0	238	368	0	0	0	0	0	0	0	802	605	0	0	0	0	0	0	0	0	194	330	126	0	0	290	0
Lce1d	101.758621	0	0	0	0	534	452	667	818	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcyox1l	101.586207	0	0	0	202	533	914	400	150	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	211	247	95	0	0	0	0
Slc18a1	101.551724	0	0	0	119	303	308	396	459	364	0	0	0	0	410	268	0	0	0	0	0	0	0	0	98	95	125	0	0	0	0
Atp6v1b2	101.551724	0	0	0	119	303	308	396	459	364	0	0	0	0	410	268	0	0	0	0	0	0	0	0	98	95	125	0	0	0	0
Jph2	101.482759	0	0	0	519	642	734	337	174	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0
Hp1bp3	101.482759	0	0	0	219	682	592	407	396	318	0	0	0	0	154	0	0	0	0	0	0	0	0	0	89	86	0	0	0	0	0
Tmem209	101.37931	0	0	0	0	211	209	401	628	617	0	0	0	0	162	221	0	0	0	0	0	0	0	0	107	168	216	0	0	0	0
Ssmem1	101.37931	0	0	0	0	211	209	401	628	617	0	0	0	0	162	221	0	0	0	0	0	0	0	0	107	168	216	0	0	0	0
Hrg	101.37931	0	0	0	369	414	1280	150	469	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smarca2	101.275862	0	0	0	352	495	937	196	288	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	117	114	0	0	0	0
Rab20	101.206897	0	0	0	452	451	1040	277	176	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	142	0	0	0	0
Myom2	101.172414	0	0	0	282	1539	977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0
Rccd1	101.103448	0	0	0	0	175	257	135	0	0	0	0	0	0	651	382	0	0	0	0	0	0	0	0	284	472	404	0	0	172	0
Acot10	101.103448	0	0	0	0	449	173	833	996	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mest	101.034483	0	0	0	202	591	416	432	838	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iffo2	101.0	0	0	0	185	439	501	596	410	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	150	94	0	0	0	0
Smad7	100.965517	0	0	0	534	296	907	281	315	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	80	0	0	0	0	0
Fgf5	100.965517	0	0	0	301	280	714	545	410	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	143	0	0	0	0
Cyp4f17	100.896552	0	0	0	219	442	743	496	229	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	123	134	0	0	0	0
Tmem38b	100.793103	0	0	0	161	490	858	255	328	405	0	0	0	0	226	117	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0
Tnip3	100.758621	0	0	0	245	807	747	135	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	270	292	0	0	0	0
Galnt13	100.689655	0	0	0	0	448	797	407	544	724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcp1b	100.689655	0	0	0	172	977	747	183	239	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	172	0	0	0	0
Krtap3-1	100.655172	0	0	0	0	431	561	546	824	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd7	100.655172	0	0	0	379	613	898	0	0	0	0	0	0	0	124	122	0	0	0	0	0	0	0	0	384	215	184	0	0	0	0
Tlcd5	100.62069	0	0	0	0	432	716	347	543	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	316	0	0	0	0	0
Kcnj8	100.517241	0	0	0	680	638	1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	97	168	0	0	0	0
Fkbpl	100.517241	0	0	0	482	993	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	211	124	0	0	0	0
Atf6b	100.517241	0	0	0	482	993	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	211	124	0	0	0	0
Fam174a	100.344828	0	0	0	137	335	424	300	363	356	0	0	0	0	276	129	0	0	0	0	0	0	0	0	216	113	126	0	0	135	0
Gm3435	100.241379	0	0	0	0	196	0	0	0	0	0	0	0	0	805	787	0	0	0	0	0	0	0	0	224	359	160	0	156	220	0
Eid1	100.206897	0	0	0	0	287	914	225	263	294	0	0	0	0	366	171	0	0	0	0	0	0	0	0	93	160	133	0	0	0	0
Sfi1	100.034483	119	0	135	181	285	152	435	247	306	0	138	103	108	0	0	0	0	0	0	0	0	0	0	284	180	168	60	0	0	0
Odf3l1	99.931034	0	0	0	0	720	214	432	481	604	0	0	0	0	0	0	0	0	0	0	0	0	233	214	0	0	0	0	0	0	0
Osgep	99.896552	0	0	0	246	346	809	0	272	242	0	0	0	0	336	129	0	0	0	0	0	0	0	0	221	136	160	0	0	0	0
Apex1	99.896552	0	0	0	246	346	809	0	272	242	0	0	0	0	336	129	0	0	0	0	0	0	0	0	221	136	160	0	0	0	0
Pgs1	99.862069	0	0	0	180	641	998	0	0	0	0	0	0	0	476	269	0	0	0	0	0	0	0	0	133	108	91	0	0	0	0
C1ql3	99.655172	0	0	0	185	481	650	582	478	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rexo4	99.62069	0	0	0	0	0	0	0	0	0	0	0	0	0	562	520	0	0	0	0	0	0	0	0	448	704	458	0	0	197	0
Secisbp2	99.551724	0	0	0	0	0	128	0	0	0	0	0	0	0	919	559	0	0	0	0	0	0	0	0	346	355	328	0	0	252	0
Trmo	99.517241	0	0	0	0	186	170	0	0	0	0	0	0	0	614	620	0	0	0	0	0	0	0	0	316	375	482	0	0	123	0
Nup85	99.448276	0	0	0	0	0	0	0	0	0	0	0	0	0	543	416	0	0	0	0	0	0	0	0	475	537	726	0	0	187	0
Imp4	99.448276	0	0	0	0	355	260	309	0	226	0	0	0	0	277	249	0	0	0	0	0	0	0	0	254	400	327	0	0	227	0
Ccdc115	99.448276	0	0	0	0	355	260	309	0	226	0	0	0	0	277	249	0	0	0	0	0	0	0	0	254	400	327	0	0	227	0
Nek9	99.413793	0	0	0	0	285	261	244	399	402	0	0	0	0	484	242	0	0	0	0	0	124	0	0	161	0	84	0	0	197	0
Pex3	99.172414	0	0	0	0	326	594	0	0	0	0	0	0	0	357	338	0	0	0	0	0	0	122	0	406	306	305	0	0	122	0
Adat2	99.172414	0	0	0	0	326	594	0	0	0	0	0	0	0	357	338	0	0	0	0	0	0	122	0	406	306	305	0	0	122	0
Whamm	99.103448	0	0	0	339	1026	1157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	150	0	0	0	0
Nrep	99.103448	0	0	0	137	521	354	256	478	392	0	0	0	0	175	182	0	0	0	0	0	0	102	0	125	0	152	0	0	0	0
Fsd2	99.103448	0	0	0	339	1026	1157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	150	0	0	0	0
Hilpda	99.068966	0	0	0	0	281	370	0	287	166	0	0	0	0	231	175	244	129	89	107	156	158	0	0	141	204	135	0	0	0	0
Nanos2	99.0	0	0	0	0	0	0	0	0	0	0	0	0	0	925	834	0	0	0	0	0	0	0	0	113	162	352	0	201	284	0
Mypop	99.0	0	0	0	0	0	0	0	0	0	0	0	0	0	925	834	0	0	0	0	0	0	0	0	113	162	352	0	201	284	0
Calm2	99.0	0	0	0	369	773	752	0	0	263	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	235	217	0	0	0	0
Atg9b	99.0	0	0	0	0	526	381	525	297	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	307	280	0	0	0	0
Aktip	99.0	0	0	0	0	363	177	632	470	541	0	0	0	0	135	96	0	0	0	0	0	0	0	0	151	86	220	0	0	0	0
Abcb8	99.0	0	0	0	0	526	381	525	297	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	307	280	0	0	0	0
Cic	98.931034	0	0	0	161	235	428	145	445	341	0	0	0	0	138	0	0	0	0	0	82	152	179	0	133	229	201	0	0	0	0
Rapgef2	98.896552	0	0	0	194	878	1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	143	0	0	0	0	0
Dsg4	98.896552	0	0	0	264	692	935	232	258	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	94	0	0	0	0	0
Tmtc3	98.793103	0	0	0	198	600	586	0	188	248	0	0	0	0	304	143	0	0	0	0	0	0	0	0	129	278	191	0	0	0	0
Cep290	98.793103	0	0	0	198	600	586	0	188	248	0	0	0	0	304	143	0	0	0	0	0	0	0	0	129	278	191	0	0	0	0
Dbndd2	98.758621	0	0	0	324	747	1021	259	0	195	0	0	0	0	115	0	0	0	0	0	0	0	0	0	67	0	136	0	0	0	0
Sirt6	98.586207	0	0	0	0	0	206	0	0	0	0	0	0	0	603	564	0	0	0	0	0	0	0	0	266	461	344	0	141	274	0
Pskh1	98.551724	0	0	0	161	882	456	0	0	0	0	0	0	0	527	301	0	0	0	0	0	0	0	0	143	282	106	0	0	0	0
Guk1	98.551724	0	0	0	0	764	311	0	289	165	0	0	0	0	264	218	0	0	0	0	0	0	0	0	335	251	261	0	0	0	0
Mapkapk5	98.448276	0	0	0	0	0	293	0	0	0	0	0	0	0	566	564	0	0	0	0	0	0	0	0	442	330	403	0	0	257	0
4921524J17Rik	98.413793	0	0	0	0	398	491	294	286	588	0	0	0	0	0	0	159	116	0	142	109	165	0	0	0	106	0	0	0	0	0
Cpa2	98.310345	0	0	0	292	933	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	201	152	0	0	0	0
Socs1	98.068966	0	0	0	301	428	754	376	288	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	198	134	0	0	0	0
Rnf20	98.068966	0	0	0	0	0	0	0	0	0	0	0	0	0	860	819	0	0	0	0	0	0	0	0	161	153	376	0	132	343	0
Zbtb21	98.0	0	0	0	0	0	196	0	0	0	0	0	0	0	870	579	0	0	0	0	0	0	0	0	268	279	284	0	120	246	0
Ptpro	98.0	0	0	0	264	472	436	470	444	396	0	0	0	0	0	0	0	0	103	0	0	135	122	0	0	0	0	0	0	0	0
Pdlim4	97.896552	0	0	0	202	902	1016	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	192	151	0	0	0
Fam71e1	97.896552	0	0	0	0	0	0	0	0	0	0	0	0	0	918	835	0	0	0	0	0	0	0	0	233	253	311	0	0	289	0
Emc10	97.896552	0	0	0	0	0	0	0	0	0	0	0	0	0	918	835	0	0	0	0	0	0	0	0	233	253	311	0	0	289	0
Ncald	97.862069	0	0	0	264	749	1182	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	104	245	0	0	0	0
Mapre2	97.793103	0	0	0	202	612	1141	0	0	0	0	0	0	0	342	289	0	0	0	0	0	0	0	0	0	120	0	0	0	130	0
Gvin1	97.724138	0	0	0	0	232	121	546	1107	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4070	97.724138	0	0	0	0	232	121	546	1107	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frat2	97.689655	0	0	0	0	451	234	327	418	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	411	292	0	0	0	0
Slc25a12	97.517241	0	0	0	308	400	537	544	479	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0
Dapk2	97.517241	0	0	0	0	1264	899	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	173	92	0	0	0	0
Trim69	97.482759	0	0	0	0	350	171	625	717	722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	101	0	0	0	0	0
Sh2d6	97.448276	0	0	0	0	931	283	603	404	415	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0
Zswim3	97.413793	0	0	0	161	427	478	323	211	198	0	0	0	0	287	144	0	0	0	0	0	0	0	0	105	186	305	0	0	0	0
Zfp119a	97.413793	0	0	0	0	0	0	0	0	0	0	0	0	0	739	765	0	0	0	0	0	0	0	0	367	366	423	0	0	165	0
Prr5l	97.413793	0	0	0	284	448	770	189	151	187	0	0	0	0	0	116	0	0	0	0	0	0	93	90	115	239	143	0	0	0	0
Acot8	97.413793	0	0	0	161	427	478	323	211	198	0	0	0	0	287	144	0	0	0	0	0	0	0	0	105	186	305	0	0	0	0
Tyw1	97.344828	0	0	0	234	550	742	0	0	0	0	0	0	0	400	240	0	0	0	0	0	0	0	0	153	186	137	0	0	181	0
Sbds	97.344828	0	0	0	234	550	742	0	0	0	0	0	0	0	400	240	0	0	0	0	0	0	0	0	153	186	137	0	0	181	0
Olfr56	97.310345	0	0	0	0	465	602	365	558	832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd3	97.275862	0	0	0	0	293	832	196	159	205	0	0	0	0	233	151	0	0	0	0	0	0	0	0	210	295	247	0	0	0	0
Srek1	97.241379	0	0	0	0	356	342	229	369	209	0	0	0	0	206	270	0	0	0	0	0	0	0	0	159	354	326	0	0	0	0
Mybpc2	97.137931	0	0	0	0	369	0	783	714	570	0	0	0	0	0	0	0	0	146	0	0	0	141	0	0	94	0	0	0	0	0
Svep1	97.0	0	0	0	440	548	1574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	94	0	0	0	0	0
Cep170b	96.896552	0	0	0	359	669	926	312	227	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
