Target_genes	Tcf7l2|Average	SRX9806209|Embryonic_intestinal_epithelial_cells	SRX2734776|Heart_Ventricles	SRX2734777|Heart_Ventricles	SRX2734782|Heart_Ventricles	SRX4891751|Heart_Ventricles	SRX14259589|Liver	SRX14259591|Liver	SRX14259606|Liver	SRX14259607|Liver	SRX14259608|Liver	SRX14259609|Liver	SRX14259610|Liver	SRX14259611|Liver	SRX5825956|Nephron_progenitor	SRX5825957|Nephron_progenitor	SRX5825978|Nephron_progenitor	SRX5825979|Nephron_progenitor	SRX5826000|Nephron_progenitor	SRX5826001|Nephron_progenitor	SRX5647947|Preadiocytes	SRX5647948|Preadiocytes	SRX5647950|Preadiocytes	SRX5647951|Preadiocytes	STRING
Akr1b3	83.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	398	185	157	133	0	542	0	0	259	248	0
Cxxc1	83.478261	0	0	0	0	0	0	112	0	0	0	0	0	0	235	145	341	284	0	129	0	261	168	245	0
Atxn7l1	83.478261	172	0	0	0	0	0	204	0	183	0	110	152	324	0	0	0	0	0	276	0	0	249	250	0
Cfb	83.434783	731	0	0	0	0	178	256	131	168	0	209	114	132	0	0	0	0	0	0	0	0	0	0	0
Upp2	83.347826	0	0	0	0	0	189	218	166	358	0	182	139	213	0	0	0	0	0	298	0	0	0	154	0
Fbxo21	83.26087	667	0	0	0	0	101	262	115	105	0	147	0	151	0	0	0	0	0	239	0	0	0	128	0
Hk2	83.043478	125	0	0	0	0	0	0	0	0	0	0	0	0	157	168	140	163	0	788	0	0	147	222	0
Fbxw7	83.0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	378	0	898	0	0	122	153	0
Cenpv	82.913043	0	0	0	0	0	0	0	0	137	0	0	0	0	131	0	798	694	0	147	0	0	0	0	0
Prnd	82.826087	345	0	0	0	0	0	0	0	0	0	0	0	0	138	140	274	201	0	807	0	0	0	0	0
Arhgap11a	82.695652	0	0	0	0	0	0	190	217	263	0	0	152	204	0	0	0	0	0	720	0	0	0	156	0
Sigmar1	82.652174	0	0	0	0	0	146	170	94	221	0	144	152	228	0	0	134	157	0	455	0	0	0	0	0
Git2	82.391304	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	343	314	0	780	0	104	102	100	0
Ankrd13a	82.391304	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	343	314	0	780	0	104	102	100	0
Tle2	82.173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	917	0	0	270	239	0
Mcl1	82.086957	0	0	0	0	0	272	323	136	337	103	278	131	308	0	0	0	0	0	0	0	0	0	0	0
Stac2	81.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	559	1326	0	0	0	0	0
Plec	81.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	1214	0	0	97	134	0
Slc25a40	81.826087	424	0	0	0	0	0	0	0	0	0	0	0	0	132	107	134	153	0	843	0	0	0	89	0
Dbf4	81.826087	424	0	0	0	0	0	0	0	0	0	0	0	0	132	107	134	153	0	843	0	0	0	89	0
Sema4f	81.782609	353	0	0	0	0	0	0	0	0	0	0	0	0	303	183	143	127	0	772	0	0	0	0	0
Lmo7	81.608696	366	0	0	0	0	0	158	111	225	0	80	161	249	0	0	0	0	120	407	0	0	0	0	0
Sema3b	81.521739	0	0	0	0	0	78	273	144	150	0	150	90	157	0	0	0	0	0	833	0	0	0	0	0
Tnrc6c	81.478261	0	0	0	0	0	152	403	184	380	0	182	0	317	0	0	0	0	0	164	0	0	0	92	0
Abcd2	81.347826	0	0	0	0	0	0	242	131	125	0	171	0	123	0	0	0	0	244	559	0	0	105	171	0
Rnase1	81.304348	541	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	253	932	0	0	0	0	0
Pdgfa	81.217391	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	745	678	0	204	0	0	0	0	0
Galm	81.086957	223	0	0	0	0	189	387	203	360	0	187	124	192	0	0	0	0	0	0	0	0	0	0	0
Snrpe	81.0	192	0	0	0	173	0	149	0	89	0	0	0	0	121	114	0	0	0	612	0	0	244	169	0
Marchf9	80.913043	386	0	0	0	0	0	215	82	172	0	97	0	274	0	0	0	0	0	288	0	0	239	108	0
Cdk4	80.913043	386	0	0	0	0	0	215	82	172	0	97	0	274	0	0	0	0	0	288	0	0	239	108	0
Ptp4a1	80.869565	0	0	0	0	0	0	133	128	165	0	85	0	102	0	0	0	0	0	0	96	225	434	492	0
Sugp1	80.826087	0	0	0	0	0	0	0	0	0	0	0	0	0	347	272	122	217	0	901	0	0	0	0	0
Mau2	80.826087	0	0	0	0	0	0	0	0	0	0	0	0	0	347	272	122	217	0	901	0	0	0	0	0
Trappc9	80.73913	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	458	572	0	0	133	144	0
Ssbp4	80.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1857	0	0	0	0	0
Plk2	80.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	581	1118	0	0	0	0	0
Stard10	80.565217	0	0	0	0	0	244	441	148	259	0	353	140	268	0	0	0	0	0	0	0	0	0	0	0
6430548M08Rik	80.565217	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	0	0	438	368	0
Zfat	80.434783	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	170	549	0	0	480	380	0
Samd4	80.434783	0	0	0	0	0	0	199	0	179	0	109	90	124	0	0	0	0	120	678	0	0	219	132	0
Ptrhd1	80.347826	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	352	207	184	263	0	304	175	114	0
Cenpo	80.347826	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	352	207	184	263	0	304	175	114	0
Fbp1	80.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	508	1203	0	0	0	0	0
Ftsj1	80.130435	133	0	0	0	0	114	337	211	210	0	173	152	219	0	0	0	0	0	0	0	0	177	117	0
Vmn2r4	80.086957	0	0	0	286	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	425	0	252	0
Bmper	80.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1841	0	0	0	0	0
Ugt1a1	79.826087	0	0	0	0	0	230	393	172	268	91	185	163	334	0	0	0	0	0	0	0	0	0	0	0
Rspo1	79.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	1633	0	0	0	0	0
Ubxn8	79.695652	143	0	0	0	103	67	204	0	0	0	148	0	0	0	0	0	0	0	220	0	0	489	459	0
Cars2	79.652174	255	0	0	0	0	0	268	94	229	0	266	0	116	0	0	0	0	0	156	0	0	247	201	0
Tcte2	79.608696	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	454	1277	0	0	0	0	0
Afdn	79.608696	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	454	1277	0	0	0	0	0
Sinhcaf	79.304348	447	0	0	0	0	0	112	0	0	0	0	0	0	173	226	101	98	0	488	0	0	0	179	0
Csf2ra	79.173913	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552	441	346	284	0
Mtf2	79.043478	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	672	675	0
Ptprg	78.869565	0	0	0	0	0	0	229	0	101	0	137	0	116	0	0	0	0	0	0	0	0	604	627	0
Socs3	78.782609	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	937	0	0	153	106	0
Oog1	78.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	1200	0	0	0	0	0
Mkrn2	78.782609	263	0	0	0	0	0	382	0	217	0	138	0	201	0	0	0	0	0	611	0	0	0	0	0
Gm2042	78.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	1200	0	0	0	0	0
Npcd	78.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598	1213	0	0	0	0	0
Cbx6	78.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598	1213	0	0	0	0	0
Atp6v1e1	78.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	231	462	493	513	0
Plekha7	77.913043	0	0	0	0	0	102	263	170	388	0	211	206	295	0	0	0	0	0	157	0	0	0	0	0
Rp9	77.695652	0	0	0	0	0	271	344	211	236	154	194	0	274	0	0	0	0	0	103	0	0	0	0	0
Pdk4	77.652174	0	0	0	0	123	78	179	73	178	0	112	0	223	0	0	0	0	0	190	0	0	339	291	0
Katnal2	77.521739	159	0	0	0	0	102	370	0	137	0	0	0	116	0	0	0	0	210	285	0	0	216	188	0
Slc22a23	77.26087	269	0	0	0	0	226	281	154	169	0	238	102	277	0	0	0	0	0	61	0	0	0	0	0
Ly6g6f	77.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	180	100	286	226	456	529	0	0	0	0	0
Abhd16a	77.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	180	100	286	226	456	529	0	0	0	0	0
Rab5a	76.826087	246	0	0	0	0	0	123	0	78	0	0	0	82	0	0	0	0	145	451	0	0	370	272	0
Evi2b	76.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	1176	0	0	0	0	0
Tpm4	76.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	833	728	0
Lrpprc	76.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	218	231	654	458	0	0	106	0	0
Nap1l4	76.565217	518	0	0	0	0	0	67	0	0	0	0	0	0	144	65	100	0	0	617	0	0	119	131	0
Ncoa4	76.521739	1254	0	0	0	0	0	122	0	110	0	129	0	145	0	0	0	0	0	0	0	0	0	0	0
Usp36	76.434783	0	0	0	0	111	114	197	70	189	0	72	0	89	0	0	0	0	193	284	0	0	197	242	0
Usp16	76.434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	1196	0	0	0	223	0
Tm4sf4	76.391304	0	0	0	0	0	164	373	155	278	102	237	140	225	0	83	0	0	0	0	0	0	0	0	0
Zfp36l1	76.347826	0	0	0	0	0	90	131	0	132	0	0	0	0	0	0	0	0	124	397	0	0	491	391	0
Trmo	76.26087	205	0	0	0	0	114	284	75	160	0	150	102	109	0	0	0	0	0	208	0	0	171	176	0
Ngdn	76.217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	1054	0	0	125	192	0
Ei24	76.217391	0	0	0	0	0	456	563	0	0	277	457	0	0	0	0	0	0	0	0	0	0	0	0	0
Dchs2	75.73913	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	441	569	316	0
Rpl32l	75.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	192	0	435	808	0	0	0	0	0
Tbl1xr1	75.608696	336	0	0	0	0	151	148	0	187	0	60	162	297	0	0	0	0	0	398	0	0	0	0	0
Slc6a12	75.565217	0	0	0	0	0	102	240	0	150	0	217	179	196	0	0	284	245	0	125	0	0	0	0	0
Tmem242	75.521739	195	0	0	0	0	0	222	0	249	0	158	0	175	0	0	0	0	0	305	0	0	276	157	0
Slc16a6	75.478261	0	0	0	0	0	0	276	157	257	209	199	165	337	0	0	0	0	0	136	0	0	0	0	0
Septin11	75.391304	0	0	0	0	0	0	0	0	0	0	0	0	0	176	153	218	151	0	1036	0	0	0	0	0
H2-DMa	75.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	1228	0	0	142	0	0
Brd2	75.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	1228	0	0	142	0	0
Rell1	75.130435	289	0	0	0	0	0	261	0	145	0	82	0	0	0	0	0	0	0	723	0	0	134	94	0
Rab35	75.130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1553	0	0	175	0	0
Mrc2	75.130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	1208	0	0	112	0	0
Runx1	75.0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	209	137	0	371	561	0	0	0	200	0
Galk2	75.0	73	0	0	0	0	0	0	0	0	0	0	0	0	140	96	0	0	0	1416	0	0	0	0	0
Ckb	74.956522	0	0	0	0	0	102	365	144	351	154	150	139	319	0	0	0	0	0	0	0	0	0	0	0
Nr2f6	74.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1429	0	0	124	170	0
Pax8	74.782609	180	0	0	0	0	78	188	0	113	236	199	139	224	0	0	118	0	0	245	0	0	0	0	0
Atp5g1	74.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	985	0	0	162	89	0
Slc43a2	74.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	1200	0	0	0	0	0
Tbc1d15	74.565217	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	169	583	0	81	406	327	0
Fmo3	74.565217	0	0	0	0	0	140	308	165	282	0	228	143	449	0	0	0	0	0	0	0	0	0	0	0
Luc7l2	74.478261	161	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	150	211	304	352	406	0
Homer2	74.434783	0	0	0	0	0	102	236	280	283	0	122	165	316	0	0	0	0	0	208	0	0	0	0	0
Tent2	74.391304	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	138	554	610	0
Col27a1	74.391304	165	0	0	0	0	0	0	0	0	0	0	0	0	175	0	109	146	0	1116	0	0	0	0	0
Bpifb5	74.391304	0	0	0	0	0	0	0	0	0	0	0	0	0	132	124	175	0	0	1280	0	0	0	0	0
Sipa1l2	74.217391	189	0	0	0	0	90	327	118	210	68	234	79	157	0	0	0	0	0	235	0	0	0	0	0
Tns2	74.173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	894	0	0	207	170	0
Haao	73.913043	0	0	0	0	0	178	218	0	149	0	106	0	240	0	0	0	0	197	612	0	0	0	0	0
Mfn2	73.826087	0	0	0	0	0	248	321	170	388	0	149	127	295	0	0	0	0	0	0	0	0	0	0	0
Taf1d	73.782609	0	0	0	0	0	156	379	198	278	141	243	114	188	0	0	0	0	0	0	0	0	0	0	0
4931406C07Rik	73.782609	0	0	0	0	0	156	379	198	278	141	243	114	188	0	0	0	0	0	0	0	0	0	0	0
Tmem19	73.73913	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	361	808	0	0	124	254	0
Rnf5	73.73913	0	0	0	0	190	0	150	0	0	0	0	0	0	0	0	0	0	238	523	0	0	331	264	0
Agpat1	73.73913	0	0	0	0	190	0	150	0	0	0	0	0	0	0	0	0	0	238	523	0	0	331	264	0
Hdac2	73.521739	199	0	0	0	0	0	100	0	0	0	0	0	0	0	124	227	160	416	354	0	0	111	0	0
Cep152	73.434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1689	0	0	0	0	0
Tdp1	73.391304	148	0	0	0	0	0	0	0	0	0	0	0	102	126	0	0	0	181	542	0	0	284	305	0
Efcab11	73.391304	148	0	0	0	0	0	0	0	0	0	0	0	102	126	0	0	0	181	542	0	0	284	305	0
Zfp740	73.26087	0	0	0	0	0	139	317	184	280	0	164	234	367	0	0	0	0	0	0	0	0	0	0	0
Orc4	73.217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	223	0	1184	0	0	0	0	0
Mbd5	73.217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	223	0	1184	0	0	0	0	0
Sp7	73.130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	378	153	915	0	0	0	0	0
Lce1m	73.130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1682	0	0	0	0	0
Crct1	73.130435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1682	0	0	0	0	0
Mpdu1	73.043478	243	0	0	0	0	0	150	0	113	0	110	0	104	0	0	0	0	111	474	0	0	160	215	0
Gpnmb	73.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	218	157	246	246	0	813	0	0	0	0	0
Spred2	73.0	260	0	0	0	0	0	133	0	0	0	100	0	0	103	0	0	0	232	584	0	0	126	141	0
Myo7b	73.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	682	997	0	0	0	0	0
Golm1	72.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457	1221	0	0	0	0	0
Slc25a15	72.913043	0	0	0	0	0	0	269	209	302	0	218	192	487	0	0	0	0	0	0	0	0	0	0	0
Fh1	72.73913	0	0	0	0	0	111	186	0	181	0	222	79	245	0	0	0	0	0	217	0	0	256	176	0
Trim50	72.695652	0	0	0	0	0	219	200	197	0	223	0	0	0	0	0	0	0	0	0	283	224	181	145	0
Manf	72.695652	166	0	0	0	0	0	240	82	236	0	147	0	197	0	0	0	0	0	444	0	0	160	0	0
Cnot6	72.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	119	145	372	786	0	0	0	124	0
Chordc1	72.608696	353	0	0	0	0	0	194	0	0	0	93	0	100	0	0	0	0	0	275	0	0	338	317	0
Apobec2	72.565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	1132	0	0	0	0	0
Fam174a	72.478261	0	0	0	0	0	123	249	179	201	0	185	90	96	0	0	0	0	0	544	0	0	0	0	0
Eif5a	72.434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	215	328	385	648	0
Letmd1	72.391304	0	0	0	0	0	0	384	225	423	0	199	206	228	0	0	0	0	0	0	0	0	0	0	0
Smad3	72.347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1664	0	0	0	0	0
Tomm20	72.304348	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1140	0	0	217	0	0
Rasip1	72.26087	0	507	477	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0
Rbp4	72.217391	0	0	0	0	0	126	318	201	280	0	168	200	259	0	0	0	0	0	109	0	0	0	0	0
Kmt2d	72.217391	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	120	349	0	0	430	388	0
Sypl	72.086957	240	0	0	0	0	0	133	0	78	0	216	0	88	114	0	142	125	90	176	0	0	167	89	0
Rnf14	72.0	0	0	0	0	0	0	222	0	150	0	120	0	199	0	0	0	0	195	512	0	0	96	162	0
Hapln3	71.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	196	163	391	205	0	699	0	0	0	0	0
Spock2	71.869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	1137	0	0	0	0	0
Gsr	71.826087	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1549	0	0	0	0	0
Tcam1	71.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	1067	0	0	0	0	0
Smarcd2	71.782609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	1067	0	0	0	0	0
Slu7	71.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	374	525	599	0
P2rx6	71.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	384	257	123	173	207	504	0	0	0	0	0
Lrrc74b	71.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	384	257	123	173	207	504	0	0	0	0	0
Cdk11b	71.565217	152	0	0	0	0	0	202	0	175	0	0	0	153	0	0	0	0	0	373	0	0	272	319	0
Rhob	71.521739	506	0	0	0	0	0	89	0	0	0	0	0	0	196	141	321	208	0	184	0	0	0	0	0
Dusp2	71.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	113	0	1374	0	0	0	0	0
Astl	71.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	113	0	1374	0	0	0	0	0
Slc25a45	71.434783	0	0	0	0	0	126	349	170	333	116	191	114	244	0	0	0	0	0	0	0	0	0	0	0
Frmd8	71.434783	0	0	0	0	0	126	349	170	333	116	191	114	244	0	0	0	0	0	0	0	0	0	0	0
Etnk2	71.434783	0	0	0	0	0	0	312	242	273	0	187	167	270	0	0	0	0	0	192	0	0	0	0	0
Kcnn1	71.391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1073	0	124	255	190	0
Kif1b	71.347826	0	0	0	0	0	189	357	131	161	103	290	127	283	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	71.304348	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	589	0	0	172	166	0
Elovl5	71.217391	363	0	0	0	0	152	166	106	156	68	164	90	271	0	0	0	0	0	102	0	0	0	0	0
Arf6	71.217391	0	0	0	0	0	0	314	254	249	0	123	206	380	0	0	0	0	0	112	0	0	0	0	0
Kat7	71.086957	0	0	0	0	0	0	132	0	78	0	0	0	0	0	0	0	85	244	694	0	0	270	132	0
Pebp1	71.043478	0	0	0	0	0	0	0	424	447	0	0	282	481	0	0	0	0	0	0	0	0	0	0	0
Tgfbi	71.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	486	1007	0	0	0	0	0
Neo1	70.913043	385	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	81	0	899	0	0	125	0	0
Leap2	70.913043	111	0	0	0	0	90	272	210	340	0	215	178	215	0	0	0	0	0	0	0	0	0	0	0
Rmnd1	70.826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	236	193	225	317	509	0
Armt1	70.826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	236	193	225	317	509	0
Gse1	70.73913	470	0	0	0	0	126	199	0	150	0	193	0	198	0	0	0	0	0	204	0	0	87	0	0
AI413582	70.695652	249	0	0	0	0	0	0	0	0	0	0	0	0	118	93	0	0	257	362	0	0	254	293	0
Tmem106b	70.652174	238	0	0	0	0	0	217	0	147	0	164	0	0	0	0	0	0	0	493	0	0	142	224	0
Pmm1	70.608696	196	0	0	0	0	0	190	82	237	0	156	0	201	0	0	0	0	0	136	0	0	192	234	0
Hmg20b	70.434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	1017	0	0	106	0	0
Rnf44	70.304348	176	0	0	0	0	0	117	0	149	0	138	0	108	0	0	0	0	116	268	0	0	280	265	0
S100pbp	70.217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	671	0	316	316	312	0
Cacybp	70.173913	143	0	0	0	90	0	179	0	160	0	99	0	218	0	0	0	0	0	320	0	0	218	187	0
Gm4791	69.869565	0	0	0	0	0	0	0	0	0	0	0	0	0	206	104	141	193	0	963	0	0	0	0	0
Gpx8	69.695652	499	0	0	0	0	0	89	0	113	0	67	0	102	0	0	0	0	185	311	0	0	132	105	0
Cdc6	69.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	774	0	0	276	235	0
Stxbp6	69.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	1062	0	0	0	0	0
1600014C10Rik	69.652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1602	0	0	0	0	0
Bcar1	69.608696	217	0	0	0	0	0	249	106	116	0	121	0	103	0	0	0	0	0	395	0	0	149	145	0
Ahctf1	69.608696	0	0	0	0	0	126	154	118	168	0	115	90	159	0	0	0	0	0	671	0	0	0	0	0
Iffo2	69.565217	172	0	0	0	0	102	269	106	323	0	135	102	262	0	0	0	0	0	0	0	0	0	129	0
Nrp2	69.478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	1009	0	0	127	0	0
Sox14	69.347826	483	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	174	0	785	0	0	0	0	0
Srbd1	69.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	805	0	0	186	289	0
Yif1a	69.217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	889	0	0	144	127	0
Tmem151a	69.217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	889	0	0	144	127	0
Nags	69.173913	0	0	0	0	0	0	210	104	109	0	77	0	110	0	0	0	0	266	715	0	0	0	0	0
Mettl7b	69.130435	0	0	0	0	0	105	425	183	325	0	0	114	206	0	0	0	0	0	0	0	0	152	80	0
Usp47	69.086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1589	0	0	0	0	0
Mtarc2	69.086957	0	0	0	0	0	0	351	107	239	0	117	215	282	0	0	0	0	0	0	0	0	151	127	0
Mrpl30	69.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	304	556	634	0
Mitd1	69.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	304	556	634	0
Apoe	69.043478	0	0	0	0	0	141	333	94	245	124	277	127	247	0	0	0	0	0	0	0	0	0	0	0
Prdm10	68.869565	0	0	0	0	0	0	0	0	0	0	0	0	0	301	133	359	352	0	439	0	0	0	0	0
Ilf3	68.652174	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	1135	0	0	190	142	0
Sv2c	68.608696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	1107	0	0	0	0	0
Slc17a8	68.434783	0	0	0	0	0	0	104	144	171	0	0	0	189	0	0	0	0	0	0	0	0	519	447	0
Kdm2a	68.391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	1063	0	0	95	127	0
Pole3	68.347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	528	647	0
Atg101	68.304348	0	0	0	0	0	0	0	0	0	0	0	0	0	127	100	109	206	555	474	0	0	0	0	0
Faap20	68.26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1570	0	0	0	0	0
Proser3	68.173913	0	0	0	0	0	139	256	0	189	0	164	90	333	0	0	0	0	0	239	0	0	158	0	0
Hspb6	68.173913	0	0	0	0	0	139	256	0	189	0	164	90	333	0	0	0	0	0	239	0	0	158	0	0
Rpf2	68.086957	310	0	0	0	0	0	184	0	134	0	124	0	145	0	0	0	0	0	221	0	0	175	273	0
Smim11	68.043478	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	547	622	0
Adora2a	68.043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	1073	0	0	0	0	0
Neu2	68.0	1564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exoc6	68.0	0	0	0	0	0	90	257	144	266	0	180	114	359	0	0	0	0	0	154	0	0	0	0	0
Sgms2	67.956522	0	0	0	0	0	0	173	103	194	0	97	0	0	0	0	0	0	0	996	0	0	0	0	0
Scaf8	67.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	1086	0	0	83	0	0
Pah	67.956522	0	0	0	0	0	183	309	174	312	0	181	144	260	0	0	0	0	0	0	0	0	0	0	0
Ehbp1	67.956522	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	384	771	0	0	172	124	0
Slc39a11	67.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	398	1026	0	0	0	0	0
Cog1	67.913043	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	398	1026	0	0	0	0	0
Zfp597	67.869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	1130	0	0	0	0	0
Gm10509	67.521739	0	0	0	0	0	244	346	181	226	91	218	90	157	0	0	0	0	0	0	0	0	0	0	0
Dcaf7	67.521739	168	0	0	0	0	0	194	0	0	0	124	0	130	197	153	0	0	0	463	0	0	0	124	0
