Target_genes	Tead4|Average	SRX1817464|C2C12	SRX1817465|C2C12	SRX4153289|Carcinoma,_Basal_Cell	SRX3585309|ES_cells	SRX1885932|Liver	SRX1885933|Liver	SRX1885942|Liver	SRX1885943|Liver	SRX3459538|Liver	SRX6924463|Liver	SRX6924464|Liver	SRX6924465|Liver	SRX6924469|Liver	SRX6924470|Liver	SRX6924471|Liver	SRX6924475|Liver	SRX6924476|Liver	SRX6924477|Liver	SRX6924478|Liver	SRX1885856|MEF	SRX1472461|mESC_derived_haematopoietic_progenitor	SRX1639174|mESC_derived_haematopoietic_progenitor	SRX1817470|Muscle_Cells	SRX1884836|Skeletal_muscle	SRX142910|Trophoblast_stem_cells	SRX3585313|Trophoblast_stem_cells	SRX3730265|Trophoblast_stem_cells	SRX3730266|Trophoblast_stem_cells	SRX6605294|Trophoblast_stem_cells	SRX1639172|Unclassified	SRX1639173|Unclassified	STRING
Runx1	161.83871	0	173	805	0	458	178	197	515	100	0	0	0	0	0	0	123	0	0	127	386	0	220	0	0	0	0	143	577	380	378	257	0
Med25	161.806452	0	0	237	0	545	557	359	630	0	0	0	0	0	151	393	142	160	0	188	537	0	83	0	0	0	0	159	305	478	92	0	0
Fuz	161.806452	0	0	237	0	545	557	359	630	0	0	0	0	0	151	393	142	160	0	188	537	0	83	0	0	0	0	159	305	478	92	0	0
B3galt4	161.645161	0	0	118	0	1731	173	227	1357	120	0	0	0	0	0	187	165	0	0	341	159	0	81	0	0	0	0	0	0	0	214	138	0
H4c14	161.548387	0	0	114	0	654	601	509	1004	495	0	0	0	0	0	231	148	137	0	99	520	0	133	0	0	0	0	0	0	193	170	0	0
Hrc	161.483871	0	0	1292	0	252	145	0	588	0	0	0	0	0	0	0	0	0	0	0	713	0	0	0	0	0	0	377	929	536	0	174	0
Fyco1	161.483871	0	0	269	0	357	340	133	958	0	0	0	0	0	163	298	178	142	110	128	846	0	0	0	0	0	0	122	344	272	161	185	0
Socs3	161.032258	0	0	806	0	344	0	333	1087	0	0	0	0	0	234	455	308	204	0	356	149	0	0	0	0	0	0	0	302	294	120	0	0
Dtna	160.903226	0	0	0	0	812	885	577	799	138	0	0	0	0	111	331	161	153	130	227	664	0	0	0	0	0	0	0	0	0	0	0	0
Tmem9	160.83871	0	0	189	0	850	478	365	1218	0	0	0	0	0	204	428	160	0	143	187	310	0	0	0	0	0	0	0	204	139	111	0	0
Arnt	160.741935	0	251	460	0	539	181	246	707	0	0	0	0	0	132	363	186	0	0	111	581	0	120	0	0	0	0	0	267	292	375	172	0
Ctnnal1	160.645161	0	0	959	0	1332	515	303	539	0	0	95	0	0	204	216	0	0	0	0	0	0	0	0	0	0	143	0	0	674	0	0	0
Rb1cc1	160.580645	0	0	122	0	1111	814	596	787	0	0	0	0	0	130	417	249	0	0	0	0	0	0	0	0	0	0	0	268	144	182	158	0
Ubc	160.451613	0	0	195	0	327	133	276	497	434	0	0	0	0	340	221	257	137	0	125	655	0	109	0	0	0	0	185	427	478	178	0	0
Tmbim6	160.419355	0	0	184	0	774	160	280	1125	0	0	0	0	0	307	430	485	285	291	491	161	0	0	0	0	0	0	0	0	0	0	0	0
Synj2	160.419355	0	0	303	0	93	0	0	166	0	0	0	0	0	0	0	0	0	0	0	1039	171	159	0	0	0	0	194	558	534	951	805	0
N4bp1	160.322581	0	0	180	0	706	303	258	1346	0	0	0	0	0	0	367	271	184	233	253	322	0	0	0	0	0	0	0	152	395	0	0	0
Golt1a	160.258065	0	0	0	0	725	379	398	1376	0	0	0	0	0	146	537	487	197	265	458	0	0	0	0	0	0	0	0	0	0	0	0	0
Zyx	160.193548	122	202	0	0	501	358	215	542	126	0	0	0	0	0	180	0	0	0	0	666	0	209	0	0	0	173	148	281	757	311	175	0
Ppp1r13l	160.16129	0	0	748	0	577	311	596	1118	0	0	0	0	0	0	159	132	0	0	177	538	146	0	0	0	0	0	159	175	0	129	0	0
Cd3eap	160.16129	0	0	748	0	577	311	596	1118	0	0	0	0	0	0	159	132	0	0	177	538	146	0	0	0	0	0	159	175	0	129	0	0
Phldb3	160.064516	0	0	381	0	571	532	349	784	0	0	0	0	0	199	422	220	126	172	329	462	0	0	0	0	0	0	0	239	176	0	0	0
Ahcyl2	159.516129	0	0	217	0	732	286	378	1231	0	0	0	0	0	0	288	133	0	0	152	484	0	116	0	0	0	0	0	554	258	116	0	0
Sorbs1	159.483871	0	0	170	0	202	0	0	217	122	0	0	0	0	0	0	0	0	0	0	614	0	0	0	318	0	185	371	1266	664	416	399	0
Rpa2	159.419355	0	0	177	0	799	699	359	937	0	0	0	0	0	222	476	220	148	127	213	374	0	0	0	0	0	0	0	191	0	0	0	0
Zfp397	159.290323	0	0	229	0	1192	801	461	1042	136	0	0	0	0	0	199	0	0	0	0	188	0	0	0	0	0	0	0	0	543	147	0	0
Ric1	159.290323	0	0	0	0	506	205	285	922	0	0	0	0	0	109	253	310	206	182	266	553	0	0	0	0	0	0	0	184	267	389	301	0
Kdm3a	159.290323	0	0	519	0	664	580	660	901	0	0	0	0	0	78	246	0	0	123	112	436	100	144	0	0	0	0	0	87	0	166	122	0
Rpl35	159.16129	0	0	553	0	812	282	379	890	238	0	0	0	0	0	301	0	0	0	119	459	0	149	0	0	0	0	161	212	0	233	146	0
Ercc5	159.096774	0	0	443	0	565	154	453	1515	164	0	0	0	0	224	544	241	121	0	169	216	0	0	0	0	0	0	0	0	123	0	0	0
Mesd	159.032258	0	0	538	0	585	191	266	1007	0	0	0	0	0	224	591	276	0	165	290	365	0	87	0	0	0	0	0	208	0	137	0	0
Lipg	159.032258	0	0	251	0	827	268	477	1216	0	0	0	0	0	161	408	156	0	0	187	534	0	0	0	0	0	0	0	0	445	0	0	0
Sf3b6	159.0	0	0	299	0	782	294	277	973	125	0	0	0	0	154	375	284	0	184	237	465	0	0	0	0	0	0	0	299	181	0	0	0
Ddx17	158.935484	0	0	291	0	461	276	392	686	246	0	0	0	0	146	474	280	0	150	174	544	0	0	0	0	0	0	198	403	206	0	0	0
Gorab	158.774194	0	0	123	0	855	698	794	1255	0	0	0	0	0	168	230	214	120	105	168	192	0	0	0	0	0	0	0	0	0	0	0	0
Gramd3	158.677419	0	0	136	0	598	353	402	968	74	0	0	0	0	287	522	467	406	251	455	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem245	158.516129	0	0	306	0	228	155	162	275	0	0	0	0	0	0	0	0	0	0	0	682	0	433	0	0	0	0	172	640	366	827	668	0
Nup210	158.354839	0	0	571	0	561	183	317	1082	0	0	0	0	0	243	450	666	304	142	390	0	0	0	0	0	0	0	0	0	0	0	0	0
Micalcl	158.129032	124	0	0	0	460	125	95	247	0	0	0	0	0	0	0	0	0	0	0	1081	0	204	0	0	0	106	106	434	787	900	233	0
Rab10	158.096774	0	0	626	0	1056	303	376	824	247	0	0	0	0	208	339	0	0	0	146	375	0	0	0	0	0	0	0	148	125	128	0	0
Cfi	158.064516	0	0	0	0	562	364	403	1176	313	0	0	0	0	199	527	395	222	170	367	202	0	0	0	0	0	0	0	0	0	0	0	0
Sde2	158.032258	0	0	635	0	103	77	0	183	0	0	0	0	0	0	140	0	0	0	0	109	376	1496	0	0	0	0	0	193	112	751	724	0
Irs1	158.032258	0	155	174	0	599	202	295	651	116	0	0	0	0	171	213	270	0	150	304	456	0	0	0	0	0	0	0	223	271	489	160	0
Vgll3	157.83871	0	0	345	0	516	145	131	471	94	0	0	0	0	0	204	306	145	121	192	925	0	0	0	0	0	0	0	156	303	458	381	0
Slc34a2	157.774194	0	0	711	0	521	142	258	1124	166	0	0	0	0	0	269	260	167	0	172	0	0	0	0	0	0	0	0	505	596	0	0	0
Samd5	157.709677	0	0	231	0	870	274	366	1227	0	0	0	0	0	162	286	0	128	0	160	640	0	0	0	0	0	0	0	545	0	0	0	0
Calml4	157.709677	0	0	1011	0	328	0	0	380	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	195	673	1262	687	0	0	0
Tpp2	157.548387	0	0	413	0	534	394	433	877	0	0	0	0	0	134	306	252	0	159	0	459	0	159	0	0	0	0	0	259	278	114	113	0
Ccdc9b	157.516129	160	355	86	0	132	112	0	261	108	0	0	0	0	0	214	712	359	363	344	475	0	518	0	0	0	0	0	0	0	684	0	0
Mxd1	157.419355	0	0	466	0	550	0	258	1189	0	0	0	0	0	254	692	219	229	0	215	217	0	0	0	0	0	0	0	454	137	0	0	0
Foxj2	157.096774	0	0	0	0	439	229	364	1355	0	0	0	0	0	223	681	486	290	272	297	234	0	0	0	0	0	0	0	0	0	0	0	0
Nol7	156.806452	0	0	439	0	530	459	221	719	0	0	0	0	0	0	279	281	0	170	140	389	0	0	0	0	0	0	188	613	433	0	0	0
Cldnd2	156.645161	0	0	421	0	559	487	244	887	0	0	0	0	0	116	371	251	125	187	197	237	0	0	0	0	0	0	0	341	433	0	0	0
Tor4a	156.612903	0	0	371	0	601	195	179	795	0	0	0	0	0	172	249	145	0	0	168	1026	0	0	0	0	0	0	115	392	447	0	0	0
Qsox2	156.548387	0	0	117	0	616	289	327	1126	0	0	0	0	0	191	361	217	103	159	163	722	0	0	0	0	0	0	0	199	0	263	0	0
Hnrnpa1	156.451613	0	0	262	0	783	422	468	1067	0	0	0	0	0	165	216	0	0	0	0	895	0	0	0	0	0	0	106	358	108	0	0	0
Olfr1160	156.419355	0	0	0	0	1163	315	481	1921	0	0	0	0	0	267	324	191	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh2d4a	156.064516	0	0	0	0	737	157	215	1112	0	0	0	0	0	157	566	268	0	143	269	143	0	0	0	0	0	0	150	333	164	211	213	0
Nab1	156.064516	0	0	679	0	298	138	160	658	591	0	0	0	0	0	596	353	273	208	280	171	0	0	0	0	0	0	0	132	125	176	0	0
Mab21l4	156.064516	335	507	435	0	345	145	434	1428	0	0	0	0	0	0	412	145	0	105	0	0	0	0	0	0	0	0	0	252	0	295	0	0
Nat8f5	156.0	0	0	0	0	314	354	293	422	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	331	1368	771	429	393	0
Adh4	155.935484	0	0	0	0	1113	528	358	1350	0	0	0	0	0	164	455	202	137	145	382	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf214	155.903226	0	0	123	0	315	0	313	660	0	0	0	0	0	336	440	300	207	277	458	0	0	0	0	0	0	172	0	291	685	140	116	0
Pcsk7	155.903226	0	0	123	0	315	0	313	660	0	0	0	0	0	336	440	300	207	277	458	0	0	0	0	0	0	172	0	291	685	140	116	0
Neu2	155.870968	0	0	369	0	587	343	246	1382	0	0	0	0	0	0	296	401	264	152	273	0	0	0	0	0	0	0	0	0	0	270	249	0
Zbtb32	155.83871	0	0	552	0	396	215	179	1167	0	0	0	0	0	118	347	253	158	200	301	493	0	0	0	0	0	0	0	303	149	0	0	0
Kmt2b	155.83871	0	0	552	0	396	215	179	1167	0	0	0	0	0	118	347	253	158	200	301	493	0	0	0	0	0	0	0	303	149	0	0	0
Flywch1	155.709677	0	0	197	0	802	235	524	905	0	0	0	0	0	251	430	252	170	0	127	319	0	93	0	0	0	0	0	200	0	178	144	0
Acsm5	155.548387	0	0	0	0	1122	186	541	1307	0	0	0	0	0	236	548	346	0	225	311	0	0	0	0	0	0	0	0	0	0	0	0	0
Ric8b	155.516129	0	0	400	0	545	378	459	835	0	0	0	0	0	125	414	242	160	0	229	662	0	0	0	0	0	0	0	165	207	0	0	0
Eml1	155.483871	0	0	125	0	490	0	150	259	0	0	0	0	0	0	0	0	0	0	0	544	0	331	0	0	0	171	221	951	593	578	407	0
Tbc1d7	155.451613	0	0	171	0	1113	849	453	920	0	0	134	0	0	0	295	250	0	125	262	247	0	0	0	0	0	0	0	0	0	0	0	0
Dab2ip	155.419355	0	0	542	0	569	152	232	435	0	0	0	0	0	0	338	257	0	0	136	0	0	0	0	0	0	0	180	568	477	507	425	0
Yap1	155.387097	0	0	673	0	220	246	171	276	224	0	0	0	0	0	0	0	0	0	0	856	0	0	0	0	0	127	345	704	626	185	164	0
Gnmt	155.354839	0	0	285	0	557	0	211	1226	0	0	0	0	0	0	0	286	150	179	241	230	0	0	0	0	0	0	140	702	609	0	0	0
Myh14	155.322581	0	0	705	0	877	119	219	1286	0	0	0	0	0	179	529	174	232	169	199	0	0	0	0	0	0	0	0	127	0	0	0	0
Scg5	155.290323	0	0	681	0	701	0	0	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	997	493	358	550	0
Coro6	155.290323	0	142	141	0	1014	392	357	1214	0	0	0	0	0	0	138	123	0	150	0	0	0	0	0	0	0	134	0	308	377	324	0	0
Pxdc1	155.193548	0	0	0	0	795	729	222	921	0	0	0	0	0	0	389	308	172	123	230	219	0	0	0	0	0	0	0	399	156	148	0	0
Mrtfb	155.16129	0	0	508	0	701	251	381	797	0	0	0	0	0	112	228	372	159	218	320	209	0	0	0	0	0	0	0	157	224	173	0	0
Il17b	155.032258	0	0	1621	0	261	356	468	402	0	0	0	0	138	436	574	0	0	0	272	278	0	0	0	0	0	0	0	0	0	0	0	0
Slc35a5	154.870968	0	0	291	0	1184	322	240	927	74	0	0	0	0	111	400	0	0	0	223	421	0	119	0	0	0	0	0	148	0	123	218	0
Atg3	154.870968	0	0	291	0	1184	322	240	927	74	0	0	0	0	111	400	0	0	0	223	421	0	119	0	0	0	0	0	148	0	123	218	0
Slc46a1	154.83871	0	0	465	0	298	115	135	330	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	359	443	1106	1201	0	0	0
Hnrnpd	154.806452	0	0	407	0	950	330	306	770	0	0	0	0	0	0	235	0	0	0	0	280	0	0	0	0	0	170	0	150	604	320	277	0
Igfn1	154.709677	0	0	189	0	850	478	365	1218	0	0	0	0	0	204	428	131	0	143	187	149	0	0	0	0	0	0	0	204	139	111	0	0
Ubd	154.645161	0	0	0	0	520	223	462	837	0	0	0	0	0	0	258	211	177	0	196	385	0	0	0	0	0	244	0	243	572	306	160	0
Trappc3	154.612903	134	210	401	0	466	202	157	815	0	0	0	0	0	238	464	237	0	130	223	386	0	0	0	0	0	0	0	402	204	124	0	0
Ngdn	154.419355	0	0	485	0	522	258	522	989	0	0	0	0	0	202	374	257	222	256	144	428	0	0	0	0	0	0	0	128	0	0	0	0
Specc1	154.225806	0	0	431	0	592	260	560	829	238	0	0	0	0	0	172	105	0	0	0	355	0	0	0	0	0	0	0	197	653	259	130	0
Map4k5	154.16129	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	0	0	0	0	0	1061	715	1181	963	0
Ltb4r2	154.129032	0	0	0	0	749	415	495	1091	0	0	0	0	0	0	227	0	182	190	271	744	0	0	0	0	0	0	0	194	220	0	0	0
Cideb	154.129032	0	0	0	0	749	415	495	1091	0	0	0	0	0	0	227	0	182	190	271	744	0	0	0	0	0	0	0	194	220	0	0	0
Josd1	154.032258	0	0	316	0	583	256	310	1017	0	0	0	0	0	262	438	183	171	0	249	681	0	0	0	0	0	0	0	156	153	0	0	0
Gtpbp1	154.032258	0	0	316	0	583	256	310	1017	0	0	0	0	0	262	438	183	171	0	249	681	0	0	0	0	0	0	0	156	153	0	0	0
Tpm1	153.935484	0	0	175	0	121	0	0	932	197	0	0	0	0	0	0	194	140	0	205	418	0	0	0	0	0	161	309	714	631	285	290	0
Pccb	153.870968	0	144	229	0	279	115	0	647	154	0	0	0	0	0	136	221	0	199	148	720	0	0	0	0	0	0	373	903	0	286	216	0
Vps52	153.83871	0	0	118	0	1731	173	227	1357	120	0	0	0	0	0	110	0	0	0	341	159	0	81	0	0	0	0	0	0	0	214	138	0
Rps18	153.83871	0	0	118	0	1731	173	227	1357	120	0	0	0	0	0	110	0	0	0	341	159	0	81	0	0	0	0	0	0	0	214	138	0
Zhx2	153.774194	0	220	0	0	1099	303	288	1012	0	0	0	0	0	311	466	306	0	0	261	278	0	0	0	0	0	0	0	0	0	114	109	0
Tax1bp3	153.774194	0	0	145	0	612	407	608	876	0	0	0	0	0	0	170	0	0	0	0	798	74	0	0	0	0	0	0	361	260	307	149	0
Emc6	153.774194	0	0	145	0	612	407	608	876	0	0	0	0	0	0	170	0	0	0	0	798	74	0	0	0	0	0	0	361	260	307	149	0
Susd6	153.741935	0	0	860	0	380	146	419	901	0	0	0	0	0	0	330	281	0	209	341	0	0	107	0	0	0	0	0	179	182	247	184	0
Rrp9	153.741935	0	0	132	0	610	369	623	1100	0	0	0	0	0	166	282	168	175	96	142	551	0	0	0	0	0	0	0	0	190	162	0	0
Parp3	153.741935	0	0	132	0	610	369	623	1100	0	0	0	0	0	166	282	168	175	96	142	551	0	0	0	0	0	0	0	0	190	162	0	0
Itga7	153.580645	0	232	0	0	364	0	165	884	122	0	0	0	0	171	647	461	319	220	265	230	0	0	0	0	0	185	0	111	385	0	0	0
Erbin	153.580645	0	0	169	0	877	328	182	1172	120	0	0	0	0	188	374	322	206	126	172	172	0	0	0	0	0	0	0	201	152	0	0	0
Arhgef18	153.516129	0	0	186	0	436	191	334	814	0	0	0	0	0	0	207	0	0	0	0	534	0	119	0	0	0	146	148	393	355	632	264	0
Sdr42e1	153.322581	0	0	331	0	636	161	483	1344	0	0	0	0	0	263	391	347	302	200	295	0	0	0	0	0	0	0	0	0	0	0	0	0
Dync2li1	153.322581	0	0	132	0	1044	175	241	1145	0	0	0	0	0	149	437	188	0	101	218	392	0	0	0	0	0	0	0	367	164	0	0	0
Ubqln1	153.290323	0	0	231	0	613	283	422	1613	146	0	0	0	0	0	350	161	224	162	176	127	0	0	0	0	0	0	0	0	0	114	130	0
Pheta2	153.290323	0	0	305	0	651	190	355	1042	0	0	0	0	0	139	213	185	0	0	0	390	0	580	0	0	0	0	0	211	182	146	163	0
Naga	153.290323	0	0	305	0	651	190	355	1042	0	0	0	0	0	139	213	185	0	0	0	390	0	580	0	0	0	0	0	211	182	146	163	0
Tars	153.258065	0	0	258	0	956	169	216	2058	0	0	0	0	0	0	210	129	0	0	0	755	0	0	0	0	0	0	0	0	0	0	0	0
P4hb	153.16129	0	0	388	0	421	160	157	678	345	0	0	0	0	207	417	223	181	146	293	411	0	0	0	0	0	0	0	491	230	0	0	0
Pex2	153.032258	0	0	290	0	779	154	322	820	0	0	0	0	0	163	294	223	105	131	207	582	0	0	0	0	0	0	0	171	190	130	183	0
Bmp1	153.032258	0	0	389	0	114	114	152	631	0	0	0	0	0	0	118	0	0	77	0	0	0	129	0	0	0	261	228	505	985	878	163	0
Per3	152.967742	0	0	913	0	636	468	442	583	0	0	0	0	0	164	458	0	0	0	0	202	0	0	0	0	0	0	116	380	380	0	0	0
Bcdin3d	152.83871	0	0	0	0	341	462	254	212	0	0	0	0	0	0	158	127	0	0	0	700	0	162	0	0	0	0	116	272	361	946	627	0
Cilk1	152.806452	0	0	229	0	815	221	360	1239	194	0	0	0	0	155	640	308	213	112	251	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn4	152.709677	0	0	545	0	313	0	0	715	0	0	0	0	0	0	197	162	0	0	0	965	0	111	0	0	0	212	233	523	578	180	0	0
Ppia	152.612903	115	0	175	0	423	122	266	897	316	0	0	0	0	0	386	334	219	142	256	726	0	0	0	0	0	0	0	0	175	179	0	0
Mast2	152.612903	0	0	0	0	629	115	150	712	231	0	0	0	0	0	0	168	0	0	203	623	0	0	0	0	0	284	0	447	1034	135	0	0
Schip1	152.516129	174	212	328	0	169	0	0	106	0	0	0	0	0	0	0	0	0	0	0	997	258	155	0	0	0	0	174	345	539	758	513	0
Aldh1a1	152.516129	0	0	0	0	540	404	281	332	292	0	0	0	0	0	142	642	441	178	336	403	0	0	0	0	0	0	0	0	0	555	182	0
Tmem205	152.290323	0	0	364	0	821	397	534	1041	0	0	0	0	0	0	280	149	0	0	114	456	0	188	0	0	0	0	88	289	0	0	0	0
Cdc6	152.290323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	323	670	1629	1087	438	478	0
Ccdc159	152.290323	0	0	364	0	821	397	534	1041	0	0	0	0	0	0	280	149	0	0	114	456	0	188	0	0	0	0	88	289	0	0	0	0
Vegfa	152.16129	0	226	465	0	354	0	437	734	223	0	0	0	0	0	282	249	0	170	177	0	0	121	0	0	0	146	0	135	347	651	0	0
Ip6k1	152.129032	0	0	217	0	499	194	313	1001	0	0	0	0	0	189	382	343	218	167	179	541	0	0	0	0	0	0	0	338	135	0	0	0
Fbxo48	152.064516	0	0	259	0	1158	400	274	1125	0	0	0	0	0	0	92	211	0	0	96	506	0	0	0	0	0	0	0	259	230	104	0	0
Arap1	152.032258	0	0	316	0	76	99	101	318	0	0	0	0	0	0	0	0	0	0	0	352	0	125	0	0	0	378	427	875	1088	558	0	0
Bet1	151.935484	0	0	231	0	605	272	181	1018	0	0	0	0	0	0	375	312	155	114	206	586	0	0	0	0	0	0	151	353	0	151	0	0
Srsf7	151.870968	0	0	296	0	684	469	593	876	0	0	0	0	0	0	150	153	0	0	67	590	159	112	0	0	0	0	0	76	149	227	107	0
Fosb	151.83871	0	0	98	0	771	382	552	1155	0	0	0	0	0	199	288	113	0	0	140	395	0	0	0	0	0	0	0	420	194	0	0	0
Gpn1	151.709677	0	0	355	0	760	285	345	1123	0	0	0	0	0	152	304	230	0	0	195	606	0	0	0	0	0	0	0	348	0	0	0	0
Dusp6	151.645161	0	0	643	0	292	109	120	563	0	0	0	0	0	0	301	154	0	0	276	644	434	226	0	0	0	0	0	124	137	407	271	0
Cmc1	151.645161	0	0	353	0	490	152	233	975	0	0	0	0	0	200	402	267	0	136	175	660	0	0	0	0	0	0	0	393	265	0	0	0
Anxa5	151.645161	0	0	1072	0	253	0	265	615	284	0	0	0	0	207	175	569	207	241	384	0	0	0	0	0	0	0	0	0	163	154	112	0
1810062G17Rik	151.645161	0	0	1072	0	253	0	265	615	284	0	0	0	0	207	175	569	207	241	384	0	0	0	0	0	0	0	0	0	163	154	112	0
Ppp1r3b	151.612903	0	0	0	0	433	0	145	784	0	0	0	0	0	192	369	179	0	137	182	0	0	210	0	0	0	165	0	260	543	678	423	0
Cpn2	151.612903	0	0	0	0	331	184	324	1313	0	0	0	0	0	338	762	473	260	316	399	0	0	0	0	0	0	0	0	0	0	0	0	0
Ces2e	151.612903	0	0	132	0	764	260	356	1333	0	0	0	0	0	185	555	422	330	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmo1	151.516129	0	0	0	0	621	391	325	1253	0	0	0	0	0	0	189	153	97	0	0	305	0	176	0	0	0	0	0	329	241	406	211	0
Arpc5l	151.483871	0	0	553	0	812	282	379	890	0	0	0	0	0	0	301	0	0	0	119	459	0	149	0	0	0	0	161	212	0	233	146	0
Usp28	151.451613	0	0	2166	0	225	150	248	370	546	0	0	0	0	0	0	0	0	0	0	158	241	0	0	0	0	0	0	0	0	439	152	0
Ankrd11	151.322581	0	0	324	0	518	168	348	1010	116	0	0	0	0	224	352	249	185	0	273	265	0	98	0	0	0	0	0	318	150	0	93	0
Il17rb	151.290323	0	0	265	0	410	0	430	1184	0	0	0	0	0	317	664	397	234	262	375	152	0	0	0	0	0	0	0	0	0	0	0	0
Chdh	151.290323	0	0	265	0	410	0	430	1184	0	0	0	0	0	317	664	397	234	262	375	152	0	0	0	0	0	0	0	0	0	0	0	0
Laptm5	151.225806	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	162	0	0	0	185	500	1444	1171	569	159	0
Tmem129	151.16129	0	0	273	0	596	494	357	833	0	0	0	0	0	134	285	274	152	205	175	341	87	0	0	0	0	0	0	124	236	120	0	0
Tacc3	151.16129	0	0	273	0	596	494	357	833	0	0	0	0	0	134	285	274	152	205	175	341	87	0	0	0	0	0	0	124	236	120	0	0
Mrps24	151.096774	0	0	361	0	292	0	140	342	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	0	0	523	0	878	1184	0	577	0
Ube2m	151.032258	0	0	283	0	241	98	117	564	0	0	0	0	0	0	368	249	0	0	243	250	0	113	0	0	0	0	279	645	345	462	425	0
Tfb1m	150.967742	0	0	304	0	847	683	408	903	0	0	0	0	0	190	252	84	160	0	146	392	0	0	0	0	0	0	0	215	0	96	0	0
Onecut1	150.83871	0	0	0	0	301	200	266	929	0	0	0	0	0	386	1029	683	288	253	341	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl12	150.709677	0	0	0	0	0	1132	1051	2216	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc12a3	150.645161	0	168	239	0	660	110	287	921	0	0	0	0	0	0	297	118	0	0	153	1151	0	0	0	0	0	0	0	326	240	0	0	0
Gsdma3	150.645161	0	0	484	0	252	0	232	650	157	0	0	0	0	145	536	445	338	278	354	0	0	0	0	0	0	0	155	316	328	0	0	0
A630076J17Rik	150.354839	0	0	0	0	640	250	440	1229	209	0	0	0	0	269	514	255	144	281	306	124	0	0	0	0	0	0	0	0	0	0	0	0
Cast	150.193548	0	0	311	0	575	244	338	986	0	0	0	0	0	143	383	114	152	0	219	575	0	0	0	0	0	0	93	268	113	142	0	0
Mybphl	150.129032	0	0	0	0	981	459	576	1035	0	0	0	0	0	191	365	189	0	0	297	0	76	0	0	0	0	0	0	0	0	321	164	0
Sipa1l3	150.032258	0	0	694	0	531	0	604	1479	0	0	0	0	0	0	330	231	151	107	285	239	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd1	149.967742	432	611	0	0	136	97	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	241	0	0	0	0	366	843	445	886	254	0
Myo18a	149.935484	0	0	0	0	878	122	257	1671	0	0	0	0	0	207	506	331	170	193	313	0	0	0	0	0	0	0	0	0	0	0	0	0
Mideas	149.935484	0	0	793	0	298	144	0	308	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	371	254	879	1279	181	0	0
Pdilt	149.548387	0	0	0	0	1122	0	541	1307	0	0	0	0	0	236	548	346	0	225	311	0	0	0	0	0	0	0	0	0	0	0	0	0
Otud4	149.516129	0	0	234	0	533	195	187	623	98	0	0	0	0	0	223	0	0	0	0	165	0	0	0	0	0	273	370	726	1008	0	0	0
Aldh3b1	149.516129	144	255	0	0	114	123	0	256	0	0	0	0	0	0	0	0	0	0	0	1879	0	126	0	0	0	0	0	283	0	977	478	0
Gm6712	149.483871	0	0	123	0	748	516	305	1026	0	0	0	0	0	273	452	133	0	144	266	482	0	0	0	0	0	0	0	166	0	0	0	0
Naif1	149.387097	0	0	422	0	565	341	193	766	215	0	0	0	0	186	425	251	0	129	284	537	0	0	0	0	0	0	0	176	141	0	0	0
Tbc1d15	149.322581	0	0	262	0	94	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	370	939	431	1060	974	0
1600014C10Rik	149.322581	0	0	0	0	646	331	423	1180	0	0	0	0	110	226	689	349	224	0	283	0	0	0	0	0	0	0	0	168	0	0	0	0
Sbf2	149.129032	0	0	387	0	741	318	329	856	0	0	0	0	0	0	339	128	0	0	173	415	0	195	0	0	0	0	0	116	241	258	127	0
Prmt5	149.096774	0	0	272	0	606	278	208	930	0	0	0	0	0	230	313	263	120	153	207	270	0	0	0	0	0	0	0	131	123	324	194	0
Top2b	149.064516	0	0	483	0	674	390	340	1038	149	0	0	0	0	142	240	112	83	0	176	317	0	0	0	0	0	0	0	132	204	141	0	0
Spint2	149.032258	0	0	306	0	175	402	696	1032	0	0	0	0	0	136	367	446	245	247	307	261	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d23	149.0	0	0	298	0	455	210	328	666	0	0	0	0	0	0	319	98	0	0	0	1173	0	0	0	0	0	0	0	83	0	587	402	0
