Target_genes	Isl1|Average	SRX5360103|E8.25-E9_embryos	SRX2408870|Embryonic_gonad	SRX2408872|Embryonic_gonad	SRX1973054|Islets_of_Langerhans	SRX146883|mESCs,_differentiated	SRX1706950|mESCs,_differentiated	SRX1706951|mESCs,_differentiated	SRX1706956|mESCs,_differentiated	SRX1706957|mESCs,_differentiated	SRX1706963|mESCs,_differentiated	SRX1706964|mESCs,_differentiated	SRX1706972|mESCs,_differentiated	SRX1706973|mESCs,_differentiated	SRX1668835|mESC_derived_cardiac_cells	SRX5360257|mESC_derived_cardiac_cells	SRX5360258|mESC_derived_cardiac_cells	SRX092471|mESC_derived_neural_cells	SRX146882|mESC_derived_neural_cells	SRX1659036|mESC_derived_neural_cells	SRX1659037|mESC_derived_neural_cells	SRX1659038|mESC_derived_neural_cells	SRX1659039|mESC_derived_neural_cells	SRX1030299|Sinoatrial_Node	SRX2480228|Sympathetic_neurons	STRING
Alg9	49.708333	0	201	302	0	0	0	0	0	0	0	0	0	0	126	82	296	0	0	79	107	0	0	0	0	0
Trip10	49.666667	0	283	252	0	0	0	0	0	96	0	0	0	0	481	0	80	0	0	0	0	0	0	0	0	0
Gpr108	49.666667	0	283	252	0	0	0	0	0	96	0	0	0	0	481	0	80	0	0	0	0	0	0	0	0	0
Gng7	49.666667	0	0	0	0	0	160	0	127	335	0	209	153	99	0	0	109	0	0	0	0	0	0	0	0	0
Fntb	49.666667	0	321	327	0	0	148	0	0	159	0	122	115	0	0	0	0	0	0	0	0	0	0	0	0	0
Psd3	49.583333	0	0	99	0	249	0	0	144	145	0	117	152	183	0	0	0	101	0	0	0	0	0	0	0	0
Dcbld1	49.583333	0	0	0	0	0	301	0	131	244	0	181	200	0	0	0	133	0	0	0	0	0	0	0	0	0
Tars	49.541667	0	0	0	0	0	192	0	131	318	0	105	279	164	0	0	0	0	0	0	0	0	0	0	0	0
Siah1a	49.5	0	0	0	0	0	110	0	269	405	0	174	0	0	0	0	230	0	0	0	0	0	0	0	0	0
Setd5	49.5	0	0	0	0	158	96	0	129	175	0	107	165	0	0	0	184	0	174	0	0	0	0	0	0	0
Meig1	49.5	0	0	0	0	0	164	0	162	298	0	236	244	84	0	0	0	0	0	0	0	0	0	0	0	0
Dclre1c	49.5	0	0	0	0	0	164	0	162	298	0	236	244	84	0	0	0	0	0	0	0	0	0	0	0	0
Pitx2	49.416667	436	0	0	0	0	181	0	0	286	0	140	0	0	0	0	143	0	0	0	0	0	0	0	0	0
Nbdy	49.416667	0	0	0	0	0	284	0	315	244	0	147	196	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnat3	49.416667	0	0	0	0	0	0	0	0	0	0	125	385	172	0	0	0	193	311	0	0	0	0	0	0	0
D630039A03Rik	49.375	0	0	0	0	0	468	0	234	355	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npas1	49.333333	0	0	0	0	0	388	0	242	312	0	0	0	109	0	0	133	0	0	0	0	0	0	0	0	0
Abl1	49.333333	0	275	196	0	0	0	0	136	135	0	0	124	0	164	0	154	0	0	0	0	0	0	0	0	0
Ccdc90b	49.291667	0	0	0	0	0	260	0	233	225	0	176	188	101	0	0	0	0	0	0	0	0	0	0	0	0
Elovl6	49.25	0	287	194	0	0	0	0	0	0	0	0	0	145	337	0	219	0	0	0	0	0	0	0	0	0
Cdkn1b	49.25	0	216	217	0	0	0	0	0	0	0	0	0	0	614	0	135	0	0	0	0	0	0	0	0	0
Omt2a	49.208333	0	0	0	0	0	0	0	0	0	0	0	296	383	0	0	0	502	0	0	0	0	0	0	0	0
Nckap5	49.208333	202	0	0	0	0	0	0	0	0	0	0	198	155	0	0	405	221	0	0	0	0	0	0	0	0
Cnmd	49.208333	0	0	0	0	0	0	0	94	113	0	188	371	274	0	0	0	141	0	0	0	0	0	0	0	0
D10Wsu102e	49.166667	0	0	0	0	0	261	0	141	267	0	303	208	0	0	0	0	0	0	0	0	0	0	0	0	0
Amph	49.166667	0	0	0	0	0	0	0	205	190	0	196	323	177	0	0	89	0	0	0	0	0	0	0	0	0
Ntng1	49.125	0	247	149	0	0	123	0	113	145	0	133	132	0	0	0	137	0	0	0	0	0	0	0	0	0
Farsa	49.125	0	0	0	0	0	275	0	0	391	0	153	166	110	0	0	84	0	0	0	0	0	0	0	0	0
Lyplal1	49.083333	0	0	0	0	0	87	0	160	161	0	182	250	0	0	0	115	223	0	0	0	0	0	0	0	0
Evl	49.083333	270	0	0	0	0	160	0	181	141	0	101	91	0	0	0	234	0	0	0	0	0	0	0	0	0
Atp2b1	49.041667	0	0	0	0	0	0	0	0	0	0	0	379	314	0	0	167	317	0	0	0	0	0	0	0	0
Ucn	48.916667	0	0	0	0	0	427	0	287	312	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpp6	48.916667	127	0	0	0	0	178	0	161	267	0	118	195	0	0	0	128	0	0	0	0	0	0	0	0	0
5730507C01Rik	48.916667	0	0	0	0	725	0	0	0	0	0	0	0	0	303	0	146	0	0	0	0	0	0	0	0	0
Htr3b	48.875	292	0	0	0	283	0	0	0	111	0	0	0	0	0	0	338	0	0	0	83	0	66	0	0	0
Dysf	48.875	0	0	0	0	0	127	0	0	294	0	0	188	0	0	0	0	236	328	0	0	0	0	0	0	0
Vkorc1l1	48.833333	0	0	0	0	0	212	0	0	0	0	112	281	239	0	0	328	0	0	0	0	0	0	0	0	0
Pikfyve	48.833333	0	225	266	0	0	0	0	0	131	0	0	0	0	246	0	304	0	0	0	0	0	0	0	0	0
Ndufs5	48.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	289	350	146	228	0	0	0
Rnf2	48.75	0	0	0	0	0	249	0	154	212	0	105	149	0	0	97	204	0	0	0	0	0	0	0	0	0
Rnf19b	48.75	0	0	0	0	0	133	0	0	0	0	0	233	261	0	0	211	332	0	0	0	0	0	0	0	0
Nfkb1	48.75	0	0	0	0	0	189	0	145	316	0	181	0	0	148	0	191	0	0	0	0	0	0	0	0	0
Mat2b	48.75	0	443	220	0	0	0	0	0	184	0	0	154	0	0	0	169	0	0	0	0	0	0	0	0	0
Fkbp3	48.75	0	274	141	0	0	0	0	0	0	0	0	0	0	590	0	165	0	0	0	0	0	0	0	0	0
Fancm	48.75	0	274	141	0	0	0	0	0	0	0	0	0	0	590	0	165	0	0	0	0	0	0	0	0	0
Syt13	48.708333	217	124	241	0	0	0	0	0	181	0	119	0	0	0	0	160	0	127	0	0	0	0	0	0	0
Olfr1375	48.708333	156	0	0	0	629	0	0	0	0	0	0	0	0	0	96	288	0	0	0	0	0	0	0	0	0
Mycn	48.708333	101	0	0	0	125	137	0	0	154	0	0	237	129	0	0	120	166	0	0	0	0	0	0	0	0
Coq3	48.708333	0	0	0	0	0	171	0	148	320	0	232	198	100	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl2	48.666667	0	0	123	0	452	105	0	0	0	0	0	0	0	0	0	174	0	180	0	0	0	134	0	0	0
Dyrk1b	48.666667	0	0	0	0	264	192	0	131	159	0	110	169	0	0	0	143	0	0	0	0	0	0	0	0	0
Atp6v0d1	48.666667	0	0	0	0	152	0	0	140	243	0	157	233	157	0	0	86	0	0	0	0	0	0	0	0	0
Agrp	48.666667	0	0	0	0	152	0	0	140	243	0	157	233	157	0	0	86	0	0	0	0	0	0	0	0	0
Efna4	48.625	0	475	392	0	0	0	0	0	0	0	0	0	0	151	0	149	0	0	0	0	0	0	0	0	0
Dgat1	48.625	0	0	0	0	0	269	0	164	388	0	101	129	0	0	0	116	0	0	0	0	0	0	0	0	0
Prkrip1	48.583333	0	0	0	0	0	219	0	138	204	0	397	125	83	0	0	0	0	0	0	0	0	0	0	0	0
Ttc21b	48.5	94	356	308	0	0	0	0	0	144	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0
Itgb1	48.5	321	0	0	0	0	101	0	0	174	0	0	199	0	0	84	179	106	0	0	0	0	0	0	0	0
Mthfd1	48.458333	0	0	0	0	0	277	0	188	400	0	145	153	0	0	0	0	0	0	0	0	0	0	0	0	0
Magee2	48.458333	0	0	0	0	0	233	0	0	179	0	0	0	0	0	96	655	0	0	0	0	0	0	0	0	0
Alyref2	48.458333	0	0	0	0	0	233	0	197	283	0	168	150	132	0	0	0	0	0	0	0	0	0	0	0	0
Wls	48.416667	0	0	0	0	0	174	0	137	331	0	151	224	145	0	0	0	0	0	0	0	0	0	0	0	0
Prrg2	48.416667	0	144	189	0	0	159	0	121	258	0	0	173	118	0	0	0	0	0	0	0	0	0	0	0	0
Nosip	48.416667	0	144	189	0	0	159	0	121	258	0	0	173	118	0	0	0	0	0	0	0	0	0	0	0	0
Clnk	48.416667	0	0	0	0	0	0	0	0	0	0	173	333	215	0	0	0	183	258	0	0	0	0	0	0	0
Pak7	48.375	0	351	315	0	0	0	0	0	89	0	0	163	0	243	0	0	0	0	0	0	0	0	0	0	0
Mterf1a	48.375	0	0	0	0	0	130	0	221	290	0	167	186	0	0	0	167	0	0	0	0	0	0	0	0	0
Lap3	48.375	218	0	0	0	0	197	0	0	270	0	95	0	0	0	0	268	113	0	0	0	0	0	0	0	0
Hmx1	48.375	0	0	0	0	0	140	0	171	410	0	165	157	0	0	0	118	0	0	0	0	0	0	0	0	0
Mettl7a1	48.333333	0	300	240	0	0	0	0	216	142	0	92	0	0	0	0	170	0	0	0	0	0	0	0	0	0
H2-T-ps	48.333333	0	0	0	0	0	291	0	269	347	0	146	107	0	0	0	0	0	0	0	0	0	0	0	0	0
Col3a1	48.291667	0	0	0	0	343	0	0	0	170	0	209	301	136	0	0	0	0	0	0	0	0	0	0	0	0
Ssr3	48.25	0	0	0	0	0	244	0	123	278	0	103	178	92	0	0	140	0	0	0	0	0	0	0	0	0
Sema4c	48.25	0	98	81	0	0	0	0	0	195	0	138	134	0	350	0	162	0	0	0	0	0	0	0	0	0
Secisbp2l	48.208333	0	0	311	0	0	102	0	205	182	0	0	148	0	0	0	209	0	0	0	0	0	0	0	0	0
Crlf3	48.208333	0	0	0	0	796	0	0	0	110	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0
Actrt3	48.208333	0	0	0	0	0	177	0	112	199	0	151	162	122	0	0	109	125	0	0	0	0	0	0	0	0
Pik3ip1	48.166667	0	223	0	0	0	271	0	0	337	0	0	109	0	0	0	216	0	0	0	0	0	0	0	0	0
Ift22	48.166667	0	444	420	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0
C1s2	48.125	0	0	0	0	0	224	0	281	318	0	194	138	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyth3	48.083333	0	0	0	0	0	169	0	0	225	0	204	137	109	0	0	197	113	0	0	0	0	0	0	0	0
Cacna1i	48.083333	0	0	0	0	0	0	0	0	0	0	0	282	215	0	0	135	370	152	0	0	0	0	0	0	0
B3gnt2	48.0	0	0	0	0	863	0	0	0	0	0	0	0	0	0	0	138	0	151	0	0	0	0	0	0	0
Cyp2c23	47.875	0	0	0	0	0	406	0	211	296	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccser2	47.875	110	0	0	0	0	290	0	180	266	0	155	0	0	0	0	148	0	0	0	0	0	0	0	0	0
Arfgap2	47.875	0	0	0	0	0	121	0	0	275	0	165	285	133	0	0	0	170	0	0	0	0	0	0	0	0
Naglu	47.75	0	0	0	0	0	227	0	192	188	0	0	267	0	102	0	170	0	0	0	0	0	0	0	0	0
Fbrs	47.75	0	218	199	0	0	0	0	110	80	0	0	171	0	149	0	219	0	0	0	0	0	0	0	0	0
Coq5	47.75	150	317	293	0	0	0	0	0	0	0	0	0	0	224	0	162	0	0	0	0	0	0	0	0	0
4833420G17Rik	47.75	0	0	0	0	0	149	0	233	258	0	155	221	130	0	0	0	0	0	0	0	0	0	0	0	0
Vti1b	47.708333	0	194	240	0	0	0	0	0	0	0	0	0	0	592	0	119	0	0	0	0	0	0	0	0	0
Oaf	47.708333	0	186	198	0	0	131	0	0	127	0	0	0	0	282	93	128	0	0	0	0	0	0	0	0	0
Mapt	47.708333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	992	0	0	0	0	0	0	0
Galnt17	47.708333	145	231	229	0	0	0	0	0	0	0	0	0	0	376	0	164	0	0	0	0	0	0	0	0	0
Caln1	47.708333	0	0	0	0	0	258	0	273	189	0	268	157	0	0	0	0	0	0	0	0	0	0	0	0	0
Vamp1	47.666667	0	0	0	0	0	206	0	193	258	0	177	192	118	0	0	0	0	0	0	0	0	0	0	0	0
Srp19	47.666667	0	0	0	0	0	166	0	204	341	0	115	0	0	0	0	205	113	0	0	0	0	0	0	0	0
Atg7	47.666667	218	0	0	0	0	0	0	85	150	0	236	129	0	190	0	136	0	0	0	0	0	0	0	0	0
Elk1	47.625	0	0	0	0	0	269	0	0	195	0	146	265	268	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r10	47.583333	0	149	153	0	0	224	0	124	154	0	146	192	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps18b	47.583333	0	149	153	0	0	224	0	124	154	0	146	192	0	0	0	0	0	0	0	0	0	0	0	0	0
Get4	47.583333	0	138	179	0	0	0	0	101	236	0	146	0	0	160	0	182	0	0	0	0	0	0	0	0	0
Eapp	47.541667	0	206	165	0	0	164	0	89	218	0	122	0	88	0	0	89	0	0	0	0	0	0	0	0	0
Ddx6	47.541667	0	0	0	0	0	258	0	188	172	0	211	129	0	0	0	183	0	0	0	0	0	0	0	0	0
Pias1	47.458333	0	0	0	0	0	149	0	177	286	0	203	149	0	0	0	175	0	0	0	0	0	0	0	0	0
Itgb2	47.458333	0	0	0	0	0	300	0	365	356	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb47	47.458333	410	0	0	0	0	150	0	0	0	0	0	0	0	0	0	579	0	0	0	0	0	0	0	0	0
Toporsl	47.416667	0	0	0	0	0	0	0	0	130	0	0	682	0	0	157	169	0	0	0	0	0	0	0	0	0
Ulk4	47.375	0	0	0	0	0	147	0	167	230	0	127	351	0	0	0	115	0	0	0	0	0	0	0	0	0
Kcp	47.375	0	0	0	0	0	160	0	171	262	0	127	243	0	0	0	174	0	0	0	0	0	0	0	0	0
Hoatz	47.375	0	0	0	0	0	288	0	0	333	0	0	271	144	0	0	101	0	0	0	0	0	0	0	0	0
Maml2	47.333333	197	0	0	0	0	174	0	202	198	0	144	80	0	0	0	141	0	0	0	0	0	0	0	0	0
Kmt2d	47.333333	0	268	346	0	0	0	0	0	0	0	0	0	0	373	0	149	0	0	0	0	0	0	0	0	0
Gale	47.333333	0	273	282	0	0	0	0	0	0	0	0	0	0	581	0	0	0	0	0	0	0	0	0	0	0
Dars	47.291667	0	0	0	0	0	204	0	130	362	0	196	128	0	0	0	115	0	0	0	0	0	0	0	0	0
Tmem108	47.25	0	0	0	0	0	171	0	0	220	0	256	180	144	0	0	163	0	0	0	0	0	0	0	0	0
Tdrd7	47.25	0	0	0	0	0	0	0	0	0	0	0	260	188	0	74	205	407	0	0	0	0	0	0	0	0
Oat	47.208333	0	0	0	0	0	0	0	0	346	0	219	284	143	0	0	141	0	0	0	0	0	0	0	0	0
Ccdc30	47.208333	275	0	0	0	0	0	0	0	0	0	0	0	0	0	140	718	0	0	0	0	0	0	0	0	0
Acp5	47.166667	0	0	0	0	0	131	0	229	200	0	146	120	0	0	0	84	222	0	0	0	0	0	0	0	0
Sik3	47.125	0	0	98	0	0	111	0	103	185	0	166	132	175	0	0	161	0	0	0	0	0	0	0	0	0
Dapk3	47.125	0	0	0	0	0	79	0	103	254	0	101	259	158	0	177	0	0	0	0	0	0	0	0	0	0
Tmed2	47.0	0	415	230	0	0	0	0	0	0	0	0	0	0	280	0	203	0	0	0	0	0	0	0	0	0
Pcmt1	47.0	0	456	444	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0
Smad3	46.958333	0	0	0	0	0	108	0	96	326	0	240	172	0	0	0	185	0	0	0	0	0	0	0	0	0
Eif2b5	46.958333	0	324	157	0	0	0	0	126	174	0	0	0	0	253	0	93	0	0	0	0	0	0	0	0	0
Xpo6	46.916667	0	0	0	0	0	275	0	116	298	0	132	132	0	0	0	173	0	0	0	0	0	0	0	0	0
Tm9sf1	46.916667	0	394	271	0	0	0	0	0	0	0	0	0	0	338	0	123	0	0	0	0	0	0	0	0	0
Dact3	46.916667	0	0	0	0	0	110	0	152	199	0	175	240	113	0	0	137	0	0	0	0	0	0	0	0	0
Cpd	46.916667	0	286	0	0	0	0	0	151	126	0	95	0	0	276	0	192	0	0	0	0	0	0	0	0	0
Ppm1a	46.875	0	0	0	0	428	110	0	123	159	0	0	0	0	0	0	182	123	0	0	0	0	0	0	0	0
Ubash3b	46.833333	174	0	0	0	810	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0
Spag7	46.833333	0	59	0	0	0	155	0	110	126	0	242	208	224	0	0	0	0	0	0	0	0	0	0	0	0
Nmnat3	46.833333	0	0	0	0	0	0	0	0	169	0	155	470	196	0	0	0	134	0	0	0	0	0	0	0	0
BC061237	46.833333	301	0	0	0	281	0	0	0	0	0	0	0	0	344	0	198	0	0	0	0	0	0	0	0	0
Uba3	46.791667	0	604	0	0	0	0	0	0	0	0	0	0	0	442	0	77	0	0	0	0	0	0	0	0	0
Mn1	46.791667	0	214	139	0	0	130	0	171	0	0	0	128	0	214	0	127	0	0	0	0	0	0	0	0	0
Peli2	46.75	0	0	0	0	0	182	95	197	303	0	119	0	0	0	0	226	0	0	0	0	0	0	0	0	0
Dynll2	46.75	0	0	0	0	0	0	0	0	0	0	0	480	184	0	0	151	307	0	0	0	0	0	0	0	0
Ubap1	46.708333	0	0	0	0	0	107	0	172	228	0	172	173	0	0	0	165	104	0	0	0	0	0	0	0	0
Gsx2	46.708333	145	0	0	0	0	159	0	134	369	0	131	0	0	0	0	183	0	0	0	0	0	0	0	0	0
Mcc	46.666667	223	0	0	0	128	141	0	151	142	0	0	95	0	0	0	240	0	0	0	0	0	0	0	0	0
Hacd3	46.666667	0	0	0	0	0	0	0	190	429	0	109	278	0	0	0	114	0	0	0	0	0	0	0	0	0
H2bc3	46.666667	0	0	0	0	0	216	0	0	251	0	125	0	0	0	0	528	0	0	0	0	0	0	0	0	0
H2ac4	46.666667	0	0	0	0	0	216	0	0	251	0	125	0	0	0	0	528	0	0	0	0	0	0	0	0	0
Gnai3	46.666667	0	0	0	0	0	204	0	106	429	0	153	155	0	0	0	73	0	0	0	0	0	0	0	0	0
Rnpc3	46.625	0	0	0	0	0	143	0	101	166	0	137	183	174	0	0	77	138	0	0	0	0	0	0	0	0
Vps13d	46.583333	0	342	424	0	0	0	0	0	0	0	0	0	0	224	0	128	0	0	0	0	0	0	0	0	0
Uhrf1bp1	46.583333	0	0	0	0	0	242	0	114	446	0	146	0	0	0	0	170	0	0	0	0	0	0	0	0	0
Rspo2	46.583333	0	410	363	0	0	0	0	0	0	0	0	0	0	243	0	102	0	0	0	0	0	0	0	0	0
Rfk	46.583333	0	0	0	0	0	308	0	0	394	0	239	0	0	0	0	177	0	0	0	0	0	0	0	0	0
Ruvbl1	46.541667	0	0	0	0	0	269	0	0	341	0	219	187	101	0	0	0	0	0	0	0	0	0	0	0	0
Kpna6	46.541667	251	0	261	0	0	0	0	0	198	0	131	0	0	110	0	166	0	0	0	0	0	0	0	0	0
Evpl	46.541667	0	0	0	0	91	0	0	0	246	0	165	321	162	0	0	132	0	0	0	0	0	0	0	0	0
Lrrfip2	46.5	0	0	0	0	0	254	0	103	261	0	174	99	0	0	0	225	0	0	0	0	0	0	0	0	0
Hoxb2	46.5	0	0	0	0	867	0	0	119	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0
Ankrd54	46.5	0	0	0	0	0	98	0	100	197	0	174	142	73	0	0	252	0	80	0	0	0	0	0	0	0
Pcdhb11	46.458333	0	0	0	0	0	175	0	166	197	0	163	280	134	0	0	0	0	0	0	0	0	0	0	0	0
Mtch1	46.416667	404	0	0	0	0	0	0	124	283	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0
Lrig1	46.416667	0	0	0	0	0	0	0	191	230	0	223	213	0	118	0	139	0	0	0	0	0	0	0	0	0
Exoc3l2	46.333333	0	0	0	0	0	194	0	303	315	0	165	135	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxa2	46.291667	199	0	0	0	299	154	0	0	206	0	0	114	0	0	0	139	0	0	0	0	0	0	0	0	0
Lig4	46.25	0	392	293	0	0	0	0	0	0	0	0	0	0	292	0	133	0	0	0	0	0	0	0	0	0
Abhd13	46.25	0	392	293	0	0	0	0	0	0	0	0	0	0	292	0	133	0	0	0	0	0	0	0	0	0
Tsc1	46.208333	0	0	0	0	0	262	0	104	209	0	159	0	0	0	74	301	0	0	0	0	0	0	0	0	0
Rnase9	46.208333	0	0	0	0	0	159	0	360	413	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0
Baalc	46.208333	0	0	0	0	0	0	0	0	220	0	252	480	157	0	0	0	0	0	0	0	0	0	0	0	0
Peli1	46.166667	0	0	0	0	0	0	0	0	97	0	0	250	210	0	96	176	279	0	0	0	0	0	0	0	0
Fbxw10	46.166667	0	373	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	114	72	122	0	0	0
Dipk1b	46.166667	0	0	0	0	0	160	0	0	131	0	118	278	118	0	0	189	114	0	0	0	0	0	0	0	0
Klhl2	46.083333	0	0	0	0	0	180	0	159	340	0	196	0	0	0	0	231	0	0	0	0	0	0	0	0	0
Acat3	46.083333	0	0	0	0	0	0	0	161	230	0	174	258	155	0	0	0	128	0	0	0	0	0	0	0	0
Mettl9	46.041667	0	0	0	0	0	136	0	204	248	0	176	98	0	0	0	243	0	0	0	0	0	0	0	0	0
Frmpd3	46.041667	549	0	0	0	0	0	0	0	0	0	0	0	0	0	201	355	0	0	0	0	0	0	0	0	0
Fosl2	46.041667	0	210	117	0	0	0	0	0	0	0	0	0	0	660	0	118	0	0	0	0	0	0	0	0	0
Cnnm2	46.041667	0	0	0	0	0	0	0	104	264	0	238	225	0	0	0	189	85	0	0	0	0	0	0	0	0
Natd1	46.0	0	172	123	0	0	0	0	0	0	0	0	167	136	344	0	162	0	0	0	0	0	0	0	0	0
Clip2	46.0	0	433	535	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0
Pdzrn4	45.958333	0	0	73	0	0	222	0	153	167	0	116	142	0	0	96	134	0	0	0	0	0	0	0	0	0
Ptk2b	45.916667	199	0	0	0	0	192	0	264	199	0	107	0	0	0	0	141	0	0	0	0	0	0	0	0	0
Phox2b	45.916667	0	0	0	0	0	243	0	127	235	0	0	0	0	0	0	215	0	282	0	0	0	0	0	0	0
Got1l1	45.916667	0	0	0	0	0	371	0	250	324	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scfd2	45.875	0	0	0	0	0	356	0	158	313	0	188	0	0	0	0	86	0	0	0	0	0	0	0	0	0
Fip1l1	45.875	0	0	0	0	0	356	0	158	313	0	188	0	0	0	0	86	0	0	0	0	0	0	0	0	0
H3c13	45.833333	0	0	0	0	0	83	0	0	107	0	194	178	0	0	0	538	0	0	0	0	0	0	0	0	0
Myog	45.791667	0	0	0	0	0	0	0	171	169	0	167	398	194	0	0	0	0	0	0	0	0	0	0	0	0
Gtf3c6	45.791667	0	0	0	0	0	225	0	102	315	0	188	109	70	0	0	0	90	0	0	0	0	0	0	0	0
Tnrc6a	45.75	0	0	0	0	0	172	0	0	239	0	211	278	0	0	0	198	0	0	0	0	0	0	0	0	0
Prss8	45.708333	0	0	0	0	0	249	0	299	386	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl32	45.708333	0	0	0	0	0	276	0	161	198	0	179	107	0	0	74	102	0	0	0	0	0	0	0	0	0
Mrpl15	45.666667	0	0	0	0	0	240	0	169	224	0	162	186	0	0	0	115	0	0	0	0	0	0	0	0	0
Man1a2	45.666667	0	0	0	0	185	0	0	0	124	0	158	382	0	0	0	247	0	0	0	0	0	0	0	0	0
Dzip1l	45.625	0	0	0	0	0	0	0	157	196	0	128	388	226	0	0	0	0	0	0	0	0	0	0	0	0
Tut1	45.541667	0	0	0	0	173	197	0	94	153	0	170	206	100	0	0	0	0	0	0	0	0	0	0	0	0
Suco	45.541667	0	0	0	0	0	171	0	0	191	0	206	206	112	0	0	207	0	0	0	0	0	0	0	0	0
Synpr	45.5	0	0	0	0	205	225	97	128	207	0	107	123	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl9	45.5	0	439	233	0	0	0	0	0	0	0	0	0	0	318	0	102	0	0	0	0	0	0	0	0	0
Prr5l	45.5	228	303	348	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0
Polr2j	45.5	0	0	189	0	0	204	0	156	213	0	0	218	0	0	0	112	0	0	0	0	0	0	0	0	0
Nphp3	45.5	375	0	0	0	0	109	0	0	158	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0
Lias	45.5	0	439	233	0	0	0	0	0	0	0	0	0	0	318	0	102	0	0	0	0	0	0	0	0	0
Tmem88	45.458333	0	0	0	0	0	277	0	166	234	0	135	146	0	133	0	0	0	0	0	0	0	0	0	0	0
Naa38	45.458333	0	0	0	0	0	277	0	166	234	0	135	146	0	133	0	0	0	0	0	0	0	0	0	0	0
Ercc2	45.458333	0	252	250	0	0	0	0	0	198	0	0	0	0	272	0	119	0	0	0	0	0	0	0	0	0
Elovl7	45.458333	110	0	0	0	0	313	0	155	189	0	127	0	0	0	0	197	0	0	0	0	0	0	0	0	0
Dhx16	45.458333	0	306	271	0	0	0	0	0	0	0	0	177	0	205	0	132	0	0	0	0	0	0	0	0	0
Cyb5d1	45.458333	0	0	0	0	0	277	0	166	234	0	135	146	0	133	0	0	0	0	0	0	0	0	0	0	0
Tomm70a	45.416667	0	321	123	0	0	0	0	0	0	0	0	0	0	439	0	207	0	0	0	0	0	0	0	0	0
Slco4c1	45.375	0	0	0	0	0	203	0	147	326	0	320	93	0	0	0	0	0	0	0	0	0	0	0	0	0
Oip5	45.375	0	0	0	0	0	147	0	182	176	0	246	338	0	0	0	0	0	0	0	0	0	0	0	0	0
Nusap1	45.375	0	0	0	0	0	147	0	182	176	0	246	338	0	0	0	0	0	0	0	0	0	0	0	0	0
H3c3	45.333333	0	0	0	0	0	216	0	0	251	0	125	0	0	0	0	496	0	0	0	0	0	0	0	0	0
4931414P19Rik	45.333333	0	202	357	0	0	138	0	0	125	0	0	142	0	0	0	124	0	0	0	0	0	0	0	0	0
Vps4a	45.291667	0	0	0	0	0	269	0	0	356	0	167	0	0	0	113	182	0	0	0	0	0	0	0	0	0
Mex3a	45.291667	0	0	0	0	0	0	0	0	205	0	0	233	260	0	0	0	209	180	0	0	0	0	0	0	0
Mbnl2	45.291667	0	0	0	0	0	304	0	117	377	0	134	0	0	0	0	155	0	0	0	0	0	0	0	0	0
Hdac7	45.291667	110	0	0	0	0	0	0	0	706	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0
Sec23ip	45.25	313	0	0	0	0	0	0	140	181	0	149	151	0	0	0	152	0	0	0	0	0	0	0	0	0
Scn4a	45.25	0	0	0	0	0	0	0	0	0	0	0	481	359	0	0	0	246	0	0	0	0	0	0	0	0
Mcmbp	45.25	313	0	0	0	0	0	0	140	181	0	149	151	0	0	0	152	0	0	0	0	0	0	0	0	0
Zswim7	45.208333	0	143	208	0	0	277	0	0	290	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0
Ttc19	45.208333	0	143	208	0	0	277	0	0	290	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0
