Target_genes	Sp1|Average	SRX12298596|B_cells	SRX7799915|CH12	SRX7799916|CH12	SRX7799920|CH12	SRX7799921|CH12	SRX5371688|ES_cells	SRX5371689|ES_cells	SRX5371690|ES_cells	SRX5371691|ES_cells	SRX5371692|ES_cells	SRX5371698|ES_cells	SRX5371699|ES_cells	SRX5371700|ES_cells	SRX5371701|ES_cells	SRX5850139|ES_cells	SRX5850140|ES_cells	SRX5850141|ES_cells	SRX5850142|ES_cells	SRX5850143|ES_cells	SRX5850144|ES_cells	SRX5850145|ES_cells	SRX5850146|ES_cells	SRX5850147|ES_cells	SRX5850148|ES_cells	SRX5850149|ES_cells	SRX9162528|External_genitalia	SRX9162532|External_genitalia	SRX378972|mESCs,_differentiated	SRX378973|mESC_derived_haematopoietic_progenitor	SRX5818135|Neural_Stem_Cells	SRX5818139|Neural_Stem_Cells	SRX1898479|Striatal_neurons	SRX160414|Trophoblast_stem_cells	STRING
Ppp1ca	379.666667	806	1947	2050	1301	1472	220	97	299	0	0	779	0	0	74	503	111	220	203	78	226	146	219	161	228	0	533	769	0	0	0	0	87	0	0
Sqstm1	379.636364	473	1480	1641	1467	1675	921	461	958	0	0	960	0	327	192	263	74	0	209	149	209	173	0	114	115	0	86	273	200	0	0	0	108	0	0
Ivns1abp	379.575758	636	1851	2049	1223	1434	275	223	401	0	0	801	0	133	108	181	145	0	218	213	293	227	174	168	0	157	545	758	313	0	0	0	0	0	0
Mocs2	379.545455	1012	1940	1985	1195	1592	598	365	587	0	0	777	0	82	0	421	0	313	413	168	98	289	149	181	142	0	0	0	218	0	0	0	0	0	0
Rhpn2	379.515152	1340	1148	1372	822	1125	323	227	256	0	0	799	0	136	0	742	237	410	604	147	228	388	510	316	663	295	131	99	206	0	0	0	0	0	0
Cisd2	379.484848	370	1521	1667	1278	1514	413	167	545	0	0	847	0	125	199	350	110	120	156	108	163	360	0	200	151	165	981	1013	0	0	0	0	0	0	0
B3gat3	379.484848	414	1526	1501	978	1355	400	112	317	0	0	856	0	90	141	481	154	119	347	127	165	139	97	191	195	154	1141	1387	136	0	0	0	0	0	0
Bcl7b	379.424242	636	1485	1631	1011	1566	429	223	329	0	0	942	0	267	174	188	0	113	214	132	252	181	113	167	228	165	618	933	354	170	0	0	0	0	0
Zbtb21	379.212121	513	1695	1769	1144	1677	433	384	501	0	0	846	0	158	161	294	0	133	225	182	165	202	122	156	114	123	679	655	183	0	0	0	0	0	0
Fh1	379.212121	536	1603	1676	1452	1915	274	193	447	0	0	950	0	145	162	118	0	0	136	0	379	230	0	0	96	140	506	721	733	102	0	0	0	0	0
Stk24	379.030303	438	1942	1976	1434	1788	220	0	230	0	0	421	0	0	0	127	108	91	222	0	145	194	230	100	219	101	1164	1358	0	0	0	0	0	0	0
Tbcd	379.0	712	1722	1874	1574	1756	562	351	535	0	0	638	0	0	0	260	0	126	123	163	180	149	0	129	123	0	0	136	1166	228	0	0	0	0	0
Zdhhc12	378.969697	724	2056	2170	1543	1965	287	182	374	0	0	858	0	126	160	289	0	175	258	0	273	187	84	95	175	81	0	0	444	0	0	0	0	0	0
Nsfl1c	378.939394	693	1315	1534	1230	1869	452	397	815	0	0	1046	0	300	204	254	153	116	236	248	404	268	0	328	0	0	0	104	365	0	0	0	174	0	0
Fscn3	378.909091	899	1544	1707	1375	1719	266	244	239	0	0	817	0	181	353	280	0	0	134	140	140	190	185	165	123	0	814	989	0	0	0	0	0	0	0
Jag2	378.484848	530	2069	2121	1885	1966	437	260	526	0	0	620	0	0	0	112	0	0	78	0	297	207	0	123	0	0	669	505	85	0	0	0	0	0	0
Polr3d	378.454545	340	1525	1510	1536	1915	994	502	817	0	0	1267	0	250	221	201	0	0	164	93	182	130	113	0	0	0	205	203	321	0	0	0	0	0	0
Zc3h14	378.393939	794	1574	1633	1131	1552	332	174	219	0	0	667	0	163	188	174	0	0	142	174	186	257	149	183	105	167	1080	1115	172	0	0	0	156	0	0
Tbcc	378.393939	620	2256	2221	1743	2037	371	163	268	0	0	854	0	0	147	148	0	0	145	0	213	121	0	0	0	0	0	143	1037	0	0	0	0	0	0
Zbtb11	378.121212	525	1447	1338	1161	1420	289	239	257	0	0	739	0	165	148	401	169	155	261	134	225	169	212	183	236	142	844	891	646	0	0	0	82	0	0
Phf7	377.757576	712	1877	1910	1154	1767	371	149	478	0	0	796	0	174	124	373	0	152	160	120	118	208	204	250	122	0	353	466	428	0	0	0	0	0	0
Bap1	377.757576	712	1877	1910	1154	1767	371	149	478	0	0	796	0	174	124	373	0	152	160	120	118	208	204	250	122	0	353	466	428	0	0	0	0	0	0
Helb	377.666667	1066	2006	2263	1253	1616	630	240	502	0	0	924	0	196	0	307	0	169	199	0	0	189	207	159	120	0	128	96	193	0	0	0	0	0	0
Lipt2	377.545455	627	1116	1102	969	1172	407	256	483	0	0	722	0	86	162	461	220	313	508	180	241	385	509	299	483	277	575	711	85	0	0	0	110	0	0
Anp32e	377.545455	184	1462	1698	1392	1622	230	163	200	0	0	584	0	118	0	0	0	0	101	0	382	159	0	0	0	57	864	984	1646	498	0	0	0	115	0
Phf12	377.454545	274	1201	1292	665	834	377	164	320	0	0	928	0	234	199	277	0	188	96	0	177	138	0	142	155	0	516	532	2435	1048	0	0	0	264	0
Pgap3	377.454545	325	1145	1253	952	1132	961	448	883	0	0	1359	0	247	358	367	147	310	364	215	490	458	145	229	244	197	0	0	227	0	0	0	0	0	0
Swap70	377.272727	676	1568	1547	1111	1419	557	313	779	0	0	1213	0	225	312	191	0	130	126	191	185	220	0	121	0	0	606	803	157	0	0	0	0	0	0
Wdr19	377.212121	768	2260	2408	1430	1930	564	261	390	0	0	1040	0	217	145	160	0	154	0	0	190	134	0	0	0	0	0	0	295	102	0	0	0	0	0
Dcaf7	377.121212	468	1616	1635	1274	1586	251	247	211	0	0	843	0	229	204	184	0	166	101	139	610	378	0	111	94	0	0	0	1501	474	0	0	0	123	0
L2hgdh	377.030303	528	1743	1991	1633	1907	444	312	326	0	0	945	0	215	155	230	115	124	171	124	277	222	0	80	81	0	357	237	225	0	0	0	0	0	0
Dmac2l	377.030303	528	1743	1991	1633	1907	444	312	326	0	0	945	0	215	155	230	115	124	171	124	277	222	0	80	81	0	357	237	225	0	0	0	0	0	0
Mrpl37	376.909091	612	1830	1914	1733	2266	250	111	376	0	0	781	0	162	204	78	0	0	0	0	338	90	0	0	0	0	0	0	1588	105	0	0	0	0	0
Cyb5rl	376.909091	612	1830	1914	1733	2266	250	111	376	0	0	781	0	162	204	78	0	0	0	0	338	90	0	0	0	0	0	0	1588	105	0	0	0	0	0
Tank	376.727273	902	2134	2106	1532	1820	453	362	318	0	0	898	0	153	126	432	0	201	156	0	207	240	0	0	0	0	71	129	192	0	0	0	0	0	0
Klhl21	376.727273	594	1891	1757	1322	1665	346	226	436	0	0	811	0	188	176	221	72	150	152	120	156	139	101	118	139	0	549	727	376	0	0	0	0	0	0
Vapa	376.606061	496	1616	1611	981	1064	483	348	422	0	0	1157	0	262	197	301	112	176	272	187	185	174	164	196	166	91	720	816	231	0	0	0	0	0	0
Nit2	376.575758	848	1448	1444	1102	1419	691	317	668	0	0	1109	0	129	249	253	0	251	229	124	160	194	122	121	87	0	486	703	0	0	0	0	273	0	0
Dctpp1	376.545455	675	2255	2392	1710	2059	206	283	327	0	0	862	0	162	115	132	0	0	0	0	174	113	0	0	0	0	0	0	875	86	0	0	0	0	0
Mcrip2	376.515152	494	1464	1504	1330	1877	492	254	408	0	0	741	0	0	114	247	0	107	87	114	143	210	0	126	0	0	643	982	955	133	0	0	0	0	0
Atp6v1c1	376.515152	849	2133	2381	1379	1807	274	234	344	0	0	943	0	186	165	277	0	141	189	108	220	157	89	161	207	0	0	0	181	0	0	0	0	0	0
Niban2	376.363636	800	1652	1609	1210	1714	180	219	227	0	0	735	0	146	125	538	0	273	134	129	232	360	225	223	199	138	625	727	0	0	0	0	0	0	0
Tap1	376.272727	463	2193	2249	2087	2306	688	218	586	0	0	897	0	153	88	132	0	0	0	0	90	0	0	0	0	0	0	135	132	0	0	0	0	0	0
Psmb9	376.272727	463	2193	2249	2087	2306	688	218	586	0	0	897	0	153	88	132	0	0	0	0	90	0	0	0	0	0	0	135	132	0	0	0	0	0	0
Arhgap26	376.151515	787	1722	2079	1304	1442	347	196	430	0	0	938	0	154	0	226	0	124	132	0	201	147	0	94	143	81	599	688	579	0	0	0	0	0	0
Gcsh	376.0	713	2171	2115	1439	1670	146	161	279	0	0	679	0	0	183	276	121	172	247	88	289	257	95	135	170	0	227	396	379	0	0	0	0	0	0
Leng8	375.939394	528	1721	1665	1430	1669	395	151	367	0	0	907	0	151	208	258	107	163	269	170	262	231	222	166	214	0	0	0	963	189	0	0	0	0	0
Mthfsl	375.909091	796	1607	1833	1350	1763	711	350	564	0	0	1021	0	142	165	219	0	201	328	0	150	298	114	200	266	0	144	0	121	0	0	0	62	0	0
Lyrm9	375.848485	641	1540	1498	1152	1706	471	175	333	0	0	914	0	0	193	590	165	308	346	272	334	394	185	347	139	196	0	139	119	0	0	0	246	0	0
Efnb2	375.848485	462	0	0	0	0	276	162	313	0	0	1093	0	249	308	509	288	361	470	489	1089	865	137	506	177	222	770	952	2095	174	0	0	260	176	0
Coq7	375.848485	397	1299	1206	1005	1245	479	365	704	0	0	1507	0	295	428	229	0	0	237	141	297	259	0	163	0	71	0	203	1652	221	0	0	0	0	0
Abcf3	375.848485	763	1921	2287	1196	1606	346	220	440	0	0	1022	0	144	115	441	0	218	217	112	182	153	165	138	144	0	0	0	453	120	0	0	0	0	0
Atp5e	375.787879	327	1432	1617	1300	1746	330	173	384	0	0	768	0	0	153	232	0	0	220	258	696	495	0	109	0	0	0	0	1894	267	0	0	0	0	0
Traf4	375.636364	846	1468	1707	1625	1647	259	229	506	0	0	784	0	118	0	0	0	0	198	0	213	123	0	163	0	0	975	1063	333	0	0	0	139	0	0
Nup133	375.575758	595	1598	1812	1028	1185	272	122	282	0	0	979	0	269	0	362	103	196	213	335	476	322	0	301	156	0	0	0	1415	220	0	0	153	0	0
Alcam	375.575758	727	1730	1730	1355	1480	682	503	641	0	0	1193	0	213	132	318	0	159	142	136	198	214	177	198	114	140	0	0	128	0	0	0	84	0	0
Atg2a	375.545455	984	1878	2200	1621	1891	301	140	262	0	0	711	0	0	0	218	139	100	159	234	360	281	123	176	0	0	111	137	367	0	0	0	0	0	0
Ska1	375.515152	1032	2478	2601	1796	2255	232	158	298	0	0	775	0	0	0	162	0	0	146	0	187	159	0	0	0	0	0	0	113	0	0	0	0	0	0
Dnm2	375.333333	488	1425	1493	1093	1461	181	130	0	0	0	726	0	128	0	0	0	0	0	0	404	153	0	0	0	0	643	695	2585	582	0	0	0	199	0
Apeh	375.212121	864	1934	1973	1293	1776	783	309	477	0	0	848	0	188	162	348	0	115	142	0	136	166	127	0	125	0	190	164	176	0	0	0	86	0	0
Dhx37	375.151515	967	1861	1906	1156	1717	531	352	496	0	0	1171	0	227	249	352	0	156	155	137	248	102	154	137	0	0	0	0	226	0	0	0	80	0	0
Chka	374.939394	392	1673	1798	1348	1665	219	120	283	0	0	730	0	145	132	371	91	147	213	94	353	253	195	200	132	134	545	536	465	0	0	0	139	0	0
Pctp	374.909091	1160	2177	2335	1581	1888	244	212	261	0	0	517	0	0	0	362	0	175	296	132	151	199	114	166	195	88	0	0	119	0	0	0	0	0	0
Arhgef11	374.787879	718	2393	2397	1315	1670	142	0	162	0	0	321	0	0	0	178	0	142	191	0	0	213	0	134	120	159	906	1207	0	0	0	0	0	0	0
Pcbp3	374.757576	1246	0	0	0	0	561	223	717	0	0	1781	0	486	423	888	290	299	805	232	579	474	546	398	776	349	142	325	827	0	0	0	0	0	0
Klf2	374.666667	435	1415	1389	900	1132	806	391	640	0	0	1409	0	173	255	331	92	188	317	84	277	200	121	165	153	118	498	657	218	0	0	0	0	0	0
E4f1	374.666667	680	2006	2078	1356	1628	459	239	514	0	0	1337	0	239	179	206	103	156	244	0	132	175	102	124	82	0	0	122	203	0	0	0	0	0	0
Grpel1	374.363636	592	1904	2083	1428	1858	332	139	222	0	0	859	0	150	160	171	70	167	118	103	205	113	122	143	116	96	0	0	929	169	0	0	105	0	0
Stard4	374.333333	625	1949	2153	1290	1864	91	0	95	0	0	416	0	0	0	463	110	192	306	177	460	279	177	219	323	124	0	0	967	73	0	0	0	0	0
Nudt16l1	374.151515	773	1982	2086	1631	2133	464	310	483	0	0	1030	0	185	115	213	0	161	0	0	125	0	0	0	0	0	0	0	656	0	0	0	0	0	0
Rab2a	373.969697	885	1755	1829	996	1271	441	189	498	0	0	542	0	123	74	243	0	146	163	168	91	150	196	123	248	0	1027	1183	0	0	0	0	0	0	0
Ggnbp2	373.909091	646	1172	1317	831	1023	322	144	277	0	0	709	0	120	122	553	270	353	673	333	422	442	639	504	541	267	206	169	284	0	0	0	0	0	0
Ppp1r37	373.787879	514	1165	1313	1272	1793	702	351	867	0	0	1032	0	145	194	162	0	0	0	112	115	0	0	0	0	0	532	885	910	136	0	0	135	0	0
Rassf4	373.757576	1170	1563	1670	1228	1352	386	177	294	0	0	726	0	0	0	654	147	473	376	222	248	385	428	345	295	195	0	0	0	0	0	0	0	0	0
Spsb3	373.666667	249	1765	1676	1060	1589	325	115	260	0	0	1030	0	201	194	97	0	0	144	0	242	136	0	0	0	0	420	600	1754	235	0	0	132	107	0
Nubp2	373.666667	249	1765	1676	1060	1589	325	115	260	0	0	1030	0	201	194	97	0	0	144	0	242	136	0	0	0	0	420	600	1754	235	0	0	132	107	0
Kmt2c	373.666667	680	1004	1205	670	855	137	149	223	0	0	698	0	135	121	514	252	281	427	240	321	355	370	317	475	268	943	1108	583	0	0	0	0	0	0
Klhl9	373.666667	1067	1939	2001	1429	1570	383	0	442	0	0	855	0	121	0	492	78	275	355	141	194	212	319	146	123	116	0	73	0	0	0	0	0	0	0
Nfkbie	373.636364	1102	2062	2034	1788	1818	480	358	400	0	0	1097	0	158	129	391	0	0	0	0	0	156	0	0	0	0	0	0	191	0	0	0	166	0	0
Crebbp	373.636364	524	1773	1855	1448	1686	295	257	427	0	0	736	0	0	135	160	0	145	346	107	153	231	0	146	124	85	709	913	0	0	0	0	75	0	0
Mpv17l2	373.606061	493	1581	1880	1489	1733	208	143	175	0	0	753	0	185	0	128	0	0	118	0	540	273	73	0	0	0	376	433	1471	126	0	0	151	0	0
Ung	373.575758	262	1101	985	966	1002	610	423	386	0	0	669	0	157	134	249	137	129	324	187	913	390	98	150	95	73	329	393	1454	301	0	0	220	191	0
Hgsnat	373.575758	520	1443	1290	1232	1704	301	225	240	0	0	786	0	122	0	513	88	148	133	156	205	188	122	236	130	139	1056	1351	0	0	0	0	0	0	0
Alkbh2	373.575758	262	1101	985	966	1002	610	423	386	0	0	669	0	157	134	249	137	129	324	187	913	390	98	150	95	73	329	393	1454	301	0	0	220	191	0
Dipk2a	373.545455	953	0	0	0	0	1133	560	1108	68	56	1594	0	386	445	387	256	257	547	354	388	341	545	341	545	184	899	980	0	0	0	0	0	0	0
Ddx5	373.484848	646	1346	1243	972	1223	730	411	617	0	0	849	0	258	235	338	201	238	460	226	394	326	248	302	269	171	133	0	265	0	0	0	224	0	0
Cep95	373.484848	646	1346	1243	972	1223	730	411	617	0	0	849	0	258	235	338	201	238	460	226	394	326	248	302	269	171	133	0	265	0	0	0	224	0	0
Slc19a1	373.424242	873	1575	1738	1093	1461	683	467	703	0	0	921	0	132	183	284	0	201	144	79	155	194	0	114	157	0	188	127	749	102	0	0	0	0	0
Eif5a2	373.424242	1151	0	0	0	0	559	384	668	0	0	1322	0	289	411	602	171	220	531	314	677	475	305	440	290	277	1427	1451	359	0	0	0	0	0	0
Btrc	373.393939	276	1366	1473	564	979	257	154	196	0	0	688	0	123	0	342	96	161	357	208	529	275	0	197	132	126	228	180	2670	525	0	0	0	220	0
Pou2f1	373.272727	839	1338	1277	1174	1183	328	242	319	0	0	737	0	219	141	379	139	209	400	146	143	231	302	173	303	182	756	840	131	0	0	0	187	0	0
Clec11a	373.272727	828	1624	1658	1213	1362	332	195	226	0	0	949	0	159	160	405	104	278	386	137	238	183	346	163	294	179	303	298	298	0	0	0	0	0	0
Ints4	373.121212	597	1827	1735	1384	1655	315	255	479	0	0	980	0	98	224	171	0	0	133	129	167	0	0	0	0	0	0	0	1838	326	0	0	0	0	0
Ercc1	373.121212	618	1489	1573	1177	1563	692	427	703	0	0	1230	0	201	169	180	0	0	215	94	292	187	0	0	127	0	146	165	877	90	0	0	98	0	0
Slc20a1	373.0	586	1859	1901	1320	1651	392	337	357	0	0	1136	0	255	292	232	75	119	189	166	199	224	0	192	130	169	104	105	233	0	0	0	86	0	0
Rbm22	373.0	679	1560	1967	1371	1887	349	441	522	0	0	1203	0	218	253	229	0	120	108	0	211	211	0	143	0	0	0	170	573	0	0	0	94	0	0
Mpp5	372.878788	448	1850	1926	1141	1299	293	199	355	0	0	751	0	174	116	282	0	199	391	190	279	232	254	115	312	108	366	616	409	0	0	0	0	0	0
Cox6b1	372.818182	653	1962	2053	1899	2392	769	432	833	0	0	633	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	411	150	0	0	0	0	0
Zc3h12a	372.787879	1077	1708	1669	1157	1366	315	130	317	0	0	745	0	100	152	549	125	543	324	199	85	360	443	262	364	226	0	0	0	0	0	0	86	0	0
Pak1	372.787879	1012	0	0	0	0	705	563	735	0	0	1798	0	419	481	709	159	489	932	317	367	442	552	456	620	300	533	583	130	0	0	0	0	0	0
Mcm10	372.727273	415	1750	2188	1795	2185	364	174	373	0	0	997	0	215	178	0	0	0	0	0	177	108	0	0	0	0	167	192	1022	0	0	0	0	0	0
Rgs9bp	372.636364	697	1498	1749	1360	1683	574	340	583	0	0	676	0	157	80	296	0	282	211	0	146	210	159	0	125	0	116	0	1185	170	0	0	0	0	0
Ankrd27	372.636364	697	1498	1749	1360	1683	574	340	583	0	0	676	0	157	80	296	0	282	211	0	146	210	159	0	125	0	116	0	1185	170	0	0	0	0	0
Ube2s	372.606061	563	1161	1355	1245	1588	715	467	649	0	0	996	0	236	134	143	0	81	183	68	333	142	0	121	0	0	433	544	1019	120	0	0	0	0	0
Scpep1	372.424242	872	1835	1766	1261	1498	570	193	682	0	0	920	0	111	223	467	0	246	198	248	232	212	158	165	159	0	0	0	164	0	0	0	110	0	0
Nup98	372.393939	652	1373	1395	1118	1118	343	137	336	0	0	811	0	169	210	326	167	165	468	201	368	352	318	226	266	140	270	484	761	115	0	0	0	0	0
Rpl15	372.333333	458	1762	1761	1089	1463	612	316	598	0	0	933	0	249	138	310	0	135	161	136	311	204	0	137	0	124	0	0	1153	237	0	0	0	0	0
Nkiras1	372.333333	458	1762	1761	1089	1463	612	316	598	0	0	933	0	249	138	310	0	135	161	136	311	204	0	137	0	124	0	0	1153	237	0	0	0	0	0
Ring1	372.212121	271	1208	1245	1194	1289	834	340	786	0	0	1189	0	326	183	440	0	253	265	169	144	222	145	156	229	98	541	616	140	0	0	0	0	0	0
Cbx8	372.212121	763	1829	1988	1393	1601	367	171	441	0	0	1152	0	274	233	291	93	178	184	84	143	122	140	88	165	108	147	102	226	0	0	0	0	0	0
Tgoln2	372.181818	949	2038	2165	1788	2200	443	149	376	0	0	973	0	122	155	0	0	87	0	0	154	84	0	0	0	0	0	0	599	0	0	0	0	0	0
Tgoln1	372.181818	949	2038	2165	1788	2200	443	149	376	0	0	973	0	122	155	0	0	87	0	0	154	84	0	0	0	0	0	0	599	0	0	0	0	0	0
Tuba1c	371.939394	632	1937	1810	1397	1825	359	252	288	0	0	961	0	119	111	299	84	152	198	162	335	131	94	201	169	0	0	164	415	0	0	0	179	0	0
Pi4kb	371.818182	951	1788	1582	1015	1397	681	393	698	0	0	948	0	302	156	244	0	0	177	80	178	103	104	0	115	0	542	724	92	0	0	0	0	0	0
Mycbp	371.757576	598	1728	1991	1015	1379	368	286	422	0	0	1132	0	211	265	251	0	178	0	141	164	140	97	113	87	123	604	789	186	0	0	0	0	0	0
Zswim9	371.727273	389	1431	1428	1061	1427	485	277	540	0	0	1003	0	252	204	291	0	170	235	102	398	290	123	128	158	81	315	327	993	159	0	0	0	0	0
Lig1	371.727273	389	1431	1428	1061	1427	485	277	540	0	0	1003	0	252	204	291	0	170	235	102	398	290	123	128	158	81	315	327	993	159	0	0	0	0	0
Snrk	371.69697	482	1525	1554	1170	1469	606	457	732	0	0	1297	0	303	261	213	0	0	128	0	185	133	131	0	173	0	618	694	0	0	0	0	135	0	0
Afg1l	371.484848	317	1457	1428	1051	1613	790	598	832	0	0	1611	0	396	405	120	0	107	0	163	157	147	0	0	0	0	0	73	847	147	0	0	0	0	0
Urm1	371.424242	614	2389	2483	1707	2204	502	194	363	0	0	823	0	0	0	93	0	0	99	0	0	0	0	0	0	0	0	0	675	111	0	0	0	0	0
Dhodh	371.090909	829	1685	1894	1255	1488	583	326	507	0	0	1084	0	260	132	374	0	129	131	159	290	176	0	168	0	0	0	0	682	94	0	0	0	0	0
Dexi	371.030303	268	1271	1428	959	1133	254	236	205	0	0	458	0	0	0	219	0	197	122	125	101	128	0	0	0	0	1127	1289	2264	460	0	0	0	0	0
Clec16a	371.030303	268	1271	1428	959	1133	254	236	205	0	0	458	0	0	0	219	0	197	122	125	101	128	0	0	0	0	1127	1289	2264	460	0	0	0	0	0
Tmed1	371.0	828	1202	1361	1033	1298	905	475	924	0	0	1317	0	305	467	287	0	137	233	107	130	118	159	84	218	0	0	0	511	144	0	0	0	0	0
Otud4	370.939394	457	1300	1326	825	833	300	152	313	0	0	824	0	138	136	503	0	220	194	150	332	268	143	180	208	115	736	821	1528	239	0	0	0	0	0
Zfp142	370.848485	723	2043	2157	1609	2092	405	310	311	0	0	1033	0	168	73	210	0	0	138	0	155	0	0	0	0	0	0	0	615	196	0	0	0	0	0
Ltc4s	370.848485	714	1807	1893	1283	1494	352	229	379	0	0	569	0	0	80	521	120	297	285	158	190	237	301	184	310	169	239	324	0	103	0	0	0	0	0
Bcs1l	370.848485	723	2043	2157	1609	2092	405	310	311	0	0	1033	0	168	73	210	0	0	138	0	155	0	0	0	0	0	0	0	615	196	0	0	0	0	0
Hmga1b	370.787879	554	1603	1799	1500	1843	363	182	558	0	0	939	0	220	243	140	0	112	94	126	163	168	0	0	0	0	570	730	89	0	0	0	240	0	0
Hmga1	370.787879	554	1603	1799	1500	1843	363	182	558	0	0	939	0	220	243	140	0	112	94	126	163	168	0	0	0	0	570	730	89	0	0	0	240	0	0
Rpl36al	370.757576	534	1714	1807	1276	1627	306	95	146	0	0	682	0	104	0	161	104	138	244	187	491	364	0	116	0	87	307	360	1289	0	0	0	96	0	0
Mgat2	370.757576	534	1714	1807	1276	1627	306	95	146	0	0	682	0	104	0	161	104	138	244	187	491	364	0	116	0	87	307	360	1289	0	0	0	96	0	0
Arl2	370.727273	573	1437	1535	1126	1508	511	463	441	0	0	1212	0	100	217	233	93	214	181	111	206	177	144	126	115	0	426	547	420	0	0	0	118	0	0
Elovl1	370.484848	944	2181	2105	1307	1476	308	127	215	0	0	909	0	112	131	372	0	216	170	125	228	177	150	240	252	219	0	262	0	0	0	0	0	0	0
Arvcf	370.424242	542	1919	1782	1536	1926	234	130	244	0	0	435	0	0	0	176	0	0	147	79	320	190	0	137	92	0	776	871	541	0	0	0	147	0	0
Ptdss1	370.333333	346	1170	1213	944	1244	529	297	611	0	0	1326	0	312	157	375	350	230	369	264	553	431	166	296	211	165	0	0	546	0	0	0	0	116	0
Mterf3	370.333333	346	1170	1213	944	1244	529	297	611	0	0	1326	0	312	157	375	350	230	369	264	553	431	166	296	211	165	0	0	546	0	0	0	0	116	0
Man1b1	370.181818	611	1772	1939	1341	1571	211	247	240	0	0	1138	0	150	266	400	105	214	191	120	210	187	106	145	144	0	0	0	770	138	0	0	0	0	0
Srsf5	370.151515	681	1703	1743	1164	1548	666	455	580	0	0	1221	0	215	238	248	97	0	148	103	262	191	85	86	117	0	153	274	237	0	0	0	0	0	0
Pole3	370.151515	658	1677	1883	1435	1819	641	393	434	0	0	723	0	169	176	331	0	111	160	169	285	194	0	160	124	0	0	0	482	123	0	0	0	68	0
Slc31a1	369.757576	705	1993	2093	1651	1916	383	205	412	0	0	967	0	150	128	231	0	143	264	124	226	157	122	0	0	0	0	0	332	0	0	0	0	0	0
Fkbp15	369.757576	705	1993	2093	1651	1916	383	205	412	0	0	967	0	150	128	231	0	143	264	124	226	157	122	0	0	0	0	0	332	0	0	0	0	0	0
Vgll4	369.69697	590	1336	1328	1201	1228	362	183	314	0	0	479	0	0	0	687	225	432	516	339	333	365	344	416	305	276	316	513	112	0	0	0	0	0	0
Sertad1	369.484848	682	1507	1658	1165	1152	475	175	387	0	0	1049	0	157	147	336	140	203	131	99	285	155	147	81	124	0	556	791	591	0	0	0	0	0	0
Ubp1	369.333333	561	1439	1790	992	1331	390	178	246	0	0	917	0	148	172	160	152	158	134	0	153	0	129	229	127	255	960	859	708	0	0	0	0	0	0
Cdc6	369.242424	702	2339	2310	1481	1909	379	145	415	0	0	1010	0	0	0	149	0	0	0	0	151	0	0	0	0	0	127	158	910	0	0	0	0	0	0
Psme4	369.181818	419	1415	1346	1283	1732	416	158	372	0	0	805	0	0	0	205	0	73	0	93	152	122	0	140	0	132	1413	1621	286	0	0	0	0	0	0
Lyst	369.151515	939	2039	2042	937	1411	396	225	338	0	0	866	0	112	169	417	0	240	322	133	150	249	205	0	223	183	84	171	331	0	0	0	0	0	0
Dhrs11	369.151515	798	1980	2163	1519	1931	178	0	281	0	0	705	0	0	0	422	93	277	153	154	183	208	142	237	200	130	0	0	227	201	0	0	0	0	0
Lrig1	369.121212	961	0	0	0	0	328	184	430	0	0	1751	0	477	424	780	279	322	707	248	434	433	561	376	749	282	787	858	810	0	0	0	0	0	0
Ghdc	369.060606	1069	1876	1984	1945	2238	364	217	440	0	0	646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	1087	220	0	0	0	0	0
Rnpc3	368.969697	780	1915	2050	1239	1583	485	333	552	0	0	1055	0	159	119	321	0	128	204	124	132	230	186	155	87	0	0	0	339	0	0	0	0	0	0
Cnn3	368.939394	1009	1751	1773	965	1082	270	0	249	0	0	835	0	173	0	531	111	277	483	147	215	238	461	185	428	223	348	421	0	0	0	0	0	0	0
Itpk1	368.818182	164	1308	1342	984	1252	536	222	674	0	0	864	0	239	221	244	0	0	239	0	332	208	150	157	117	0	1238	1494	0	0	0	0	186	0	0
Zscan2	368.424242	380	1718	1594	1312	1584	419	365	531	0	0	899	0	112	157	159	85	0	104	142	353	159	0	0	86	0	169	0	1474	356	0	0	0	0	0
Pepd	368.393939	613	1701	1675	1153	1503	793	469	696	0	0	1160	0	222	227	320	0	120	191	91	164	259	158	218	126	85	0	0	213	0	0	0	0	0	0
Nmd3	368.363636	570	1767	1718	1135	1458	361	295	367	0	0	887	0	96	94	229	0	103	191	124	98	149	97	0	0	0	1067	1196	154	0	0	0	0	0	0
Pdcd4	368.212121	704	1576	1759	1174	1465	266	245	332	0	0	1038	0	162	154	244	0	173	148	103	208	181	0	107	0	85	758	1011	258	0	0	0	0	0	0
Tango2	368.151515	542	1919	1782	1536	1926	200	130	244	0	0	435	0	0	0	176	0	0	147	79	320	190	0	96	92	0	776	871	541	0	0	0	147	0	0
Igf2bp3	368.151515	569	1569	1472	1074	1017	106	158	165	0	0	522	0	102	113	561	179	238	454	226	153	228	432	369	485	190	607	792	368	0	0	0	0	0	0
Tpgs2	367.848485	374	1676	1667	1025	1709	279	190	342	0	0	873	0	120	117	207	0	101	219	122	301	173	114	214	131	109	699	855	522	0	0	0	0	0	0
