Target_genes	Arid3a|Average	SRX2388539|ES_cells	SRX520224|ES_cells	SRX520225|ES_cells	SRX2388546|Trophoblast_stem_cells	SRX3730213|Trophoblast_stem_cells	STRING
Pomt1	122.8	137	170	0	154	153	0
Otud4	122.8	0	0	0	307	307	0
Slc35e1	122.6	77	0	0	268	268	0
Crbn	122.6	0	92	0	260	261	0
Clcn3	122.6	0	0	0	306	307	0
Kansl3	122.4	0	308	0	152	152	0
Fer1l5	122.4	0	308	0	152	152	0
Taf12	122.2	95	115	0	202	199	0
Mul1	122.2	0	0	0	306	305	0
Ctnnb1	122.2	0	173	0	219	219	0
Vamp1	122.0	0	0	0	305	305	0
Utp25	121.6	129	135	0	172	172	0
Raf1	121.6	0	88	0	261	259	0
Grn	121.6	0	0	0	304	304	0
D10Wsu102e	121.6	0	0	0	304	304	0
Ccdc85c	121.6	0	0	0	304	304	0
Zfp35	121.4	0	153	0	228	226	0
Trmt1	121.4	0	0	0	303	304	0
Nacc1	121.4	0	0	0	303	304	0
Marchf8	121.4	0	0	0	304	303	0
Tmem88	121.2	0	0	0	301	305	0
Tekt2	121.2	0	138	0	234	234	0
Prpsap2	121.2	0	0	0	304	302	0
Naa38	121.2	0	0	0	301	305	0
Cyb5d1	121.2	0	0	0	301	305	0
Adprhl2	121.2	0	138	0	234	234	0
Pim1	121.0	0	0	0	302	303	0
Erlin2	121.0	0	0	0	303	302	0
Cxcl10	121.0	0	0	0	304	301	0
Ap4e1	121.0	0	0	0	303	302	0
Wrap53	120.8	0	100	0	252	252	0
Trp53	120.8	0	100	0	252	252	0
Siva1	120.8	0	136	0	234	234	0
Slc14a1	120.4	0	0	0	301	301	0
Riok3	120.4	0	162	0	220	220	0
Dynlt1b	120.4	166	0	0	216	220	0
Pprc1	120.2	0	150	0	226	225	0
Pcbp4	120.2	0	0	0	301	300	0
Clpb	120.2	128	82	0	196	195	0
Ccdc107	120.2	0	146	0	227	228	0
Abhd14b	120.2	0	0	0	301	300	0
Abhd14a	120.2	0	0	0	301	300	0
Riok2	120.0	0	98	0	251	251	0
Unc45a	119.8	0	177	0	211	211	0
S1pr4	119.8	151	0	0	224	224	0
Ndufaf1	119.8	0	0	0	298	301	0
Ncln	119.8	151	0	0	224	224	0
Hddc3	119.8	0	177	0	211	211	0
H3f3c	119.8	0	0	0	298	301	0
Frg1	119.8	0	0	0	294	305	0
Dcp1a	119.8	0	0	0	299	300	0
Stx16	119.6	0	0	0	299	299	0
Emp3	119.6	0	0	0	299	299	0
Ccdc114	119.6	0	0	0	299	299	0
Taco1	119.4	0	126	0	237	234	0
Slc35f5	119.4	0	0	0	300	297	0
Mrps15	119.4	0	0	0	300	297	0
Cmtr1	119.4	0	0	0	298	299	0
Abcf2	119.4	0	0	0	298	299	0
Nsa2	119.2	0	0	0	299	297	0
Gfm2	119.2	0	0	0	299	297	0
Reep3	119.0	0	141	0	227	227	0
Fam149b	119.0	0	116	0	239	240	0
Ecd	119.0	0	116	0	239	240	0
Atg10	119.0	0	115	0	239	241	0
Stat3	118.8	0	138	0	229	227	0
Phf7	118.8	0	137	0	229	228	0
Lipg	118.8	0	0	0	297	297	0
Bap1	118.8	0	137	0	229	228	0
Bahcc1	118.8	0	182	0	206	206	0
Utp3	118.6	0	94	0	249	250	0
Spag1	118.6	0	0	0	292	301	0
Polr2k	118.6	0	0	0	292	301	0
Kifap3	118.6	79	161	0	178	175	0
Zkscan1	118.4	0	0	0	296	296	0
Ttc37	118.4	0	0	0	296	296	0
Bnip1	118.4	0	0	0	296	296	0
Arsk	118.4	0	0	0	296	296	0
Srgap3	118.2	0	0	0	295	296	0
Gm1096	118.0	0	0	0	274	316	0
Rptor	117.8	0	0	0	295	294	0
Cdadc1	117.8	0	0	0	295	294	0
Bax	117.8	0	156	0	217	216	0
Zfp84	117.6	0	0	0	294	294	0
Rttn	117.6	0	0	0	294	294	0
Mterf4	117.6	0	123	0	233	232	0
Meak7	117.4	0	0	0	293	294	0
Eif1	117.4	0	0	0	295	292	0
Utp15	117.2	0	0	0	293	293	0
Stk16	117.2	0	0	0	293	293	0
Snx27	117.2	0	0	0	293	293	0
Snf8	117.2	0	0	0	293	293	0
Glb1l	117.2	0	0	0	293	293	0
Ankra2	117.2	0	0	0	293	293	0
Med11	117.0	0	112	0	236	237	0
Pex12	116.8	0	0	0	292	292	0
Ap2b1	116.8	0	0	0	292	292	0
Jag1	116.6	0	131	0	226	226	0
Slc25a16	116.4	0	0	0	291	291	0
Shroom3	116.4	0	117	0	233	232	0
Sertad2	116.2	0	0	0	291	290	0
Sympk	116.0	73	101	0	203	203	0
Foxa3	116.0	73	101	0	203	203	0
Ddx19b	115.8	0	0	0	284	295	0
Aars	115.8	0	0	0	284	295	0
Tmem270	115.6	0	0	0	289	289	0
Slc39a10	115.6	0	150	0	214	214	0
Phospho1	115.6	0	0	0	289	289	0
Krr1	115.6	0	0	0	289	289	0
Ccser2	115.6	0	124	0	227	227	0
Arid2	115.6	0	0	0	289	289	0
Sost	115.2	0	0	0	287	289	0
Pcdha8	115.2	0	0	0	288	288	0
Mrpl3	115.2	0	0	0	288	288	0
Dhx33	115.2	0	0	0	288	288	0
Tmem242	115.0	0	0	0	289	286	0
Ssu72	115.0	131	0	0	222	222	0
Rbm45	115.0	0	151	0	214	210	0
Phf12	114.8	0	0	0	287	287	0
Hes7	114.8	0	0	0	281	293	0
Fam222a	114.8	0	326	0	124	124	0
Adh1	114.8	0	0	0	287	287	0
Rfx7	114.0	0	138	0	216	216	0
Mybl1	114.0	0	124	0	223	223	0
Morf4l1	114.0	111	0	0	230	229	0
Trappc9	113.8	0	163	0	203	203	0
Gm3005	113.8	0	169	0	239	161	0
Clcn4	113.8	0	0	0	285	284	0
Slc25a11	113.6	0	110	0	229	229	0
Rnf167	113.6	0	110	0	229	229	0
Morc3	113.6	0	86	0	241	241	0
Gm14393	113.6	0	162	0	199	207	0
Trim7	113.4	0	0	0	284	283	0
Rexo1	113.4	0	0	0	284	283	0
Gtf3c6	113.4	113	0	0	228	226	0
Zadh2	113.2	0	0	0	284	282	0
Tshz1	113.2	0	0	0	284	282	0
Ppat	113.2	0	92	0	237	237	0
Paics	113.2	0	92	0	237	237	0
Arhgap1	113.2	0	250	0	158	158	0
Aloxe3	113.0	0	0	0	272	293	0
Washc5	112.8	0	0	0	283	281	0
Vps13d	112.8	0	108	0	227	229	0
Nsmce2	112.8	0	0	0	283	281	0
Ahcyl1	112.8	0	0	0	282	282	0
Arid3a	112.6	0	0	0	281	282	0
Pcid2	112.4	0	0	0	281	281	0
Cul4a	112.4	0	0	0	281	281	0
Znrd2	112.2	0	0	0	281	280	0
Fam89b	112.2	0	0	0	281	280	0
Fam117a	112.2	0	0	0	280	281	0
Tbc1d7	112.0	0	120	0	220	220	0
Pwwp3a	112.0	0	0	0	280	280	0
Pik3cb	112.0	0	0	0	280	280	0
Phf5a	112.0	0	0	0	280	280	0
Aco2	112.0	0	0	0	280	280	0
4921524J17Rik	112.0	0	0	0	280	280	0
Zfp996	111.8	0	0	0	280	279	0
Yipf2	111.8	0	123	0	217	219	0
Timm29	111.8	0	123	0	217	219	0
Papss2	111.8	0	0	0	277	282	0
Ift46	111.8	0	113	0	222	224	0
Tomm7	111.6	0	110	0	219	229	0
Tmem231	111.6	0	0	0	279	279	0
Rnasel	111.6	0	150	0	203	205	0
Gabarapl2	111.6	0	0	0	279	279	0
Zfp408	111.2	0	250	0	153	153	0
Tpm1	111.2	0	110	0	223	223	0
Slc39a3	111.2	0	0	0	277	279	0
Scg5	111.2	0	114	0	221	221	0
Rbpj	111.2	0	148	0	203	205	0
Ngdn	111.2	0	0	0	278	278	0
Ncapg	111.2	0	0	0	280	276	0
Mtch1	111.2	0	0	0	278	278	0
Mrps2	111.2	0	231	0	163	162	0
1700007K13Rik	111.2	0	231	0	163	162	0
Nfkbil1	111.0	0	0	0	277	278	0
Atp6v1g2	111.0	0	0	0	277	278	0
Smim34	110.8	0	0	0	277	277	0
Kbtbd7	110.8	0	0	0	278	276	0
Ccn2	110.8	0	152	0	201	201	0
Opa1	110.6	122	0	0	216	215	0
Ncald	110.4	0	0	0	275	277	0
Faf2	110.4	0	142	0	205	205	0
Ddx23	110.4	91	0	0	229	232	0
Uqcrfs1	110.2	0	0	0	276	275	0
Uchl5	110.2	87	134	0	165	165	0
Ro60	110.2	87	134	0	165	165	0
Olfr1388	110.2	0	108	0	247	196	0
Gm3173	110.2	0	551	0	0	0	0
Wdr59	110.0	0	0	0	273	277	0
Bub3	110.0	0	0	0	275	275	0
Ube2v1	109.8	0	68	0	240	241	0
Psma1	109.8	0	0	0	274	275	0
Kdm5a	109.8	0	0	0	287	262	0
Ccdc77	109.8	0	0	0	287	262	0
Zmym6	109.6	0	95	0	226	227	0
Tomm22	109.6	0	0	0	274	274	0
Spryd4	109.6	0	0	0	274	274	0
Gna13	109.6	0	0	0	274	274	0
Dmac1	109.6	0	0	0	274	274	0
Snx17	109.4	0	128	0	209	210	0
Eif2b4	109.4	0	128	0	209	210	0
Cdk20	109.2	0	100	0	223	223	0
Cd248	109.2	0	157	0	195	194	0
Epb41l5	109.0	0	181	0	182	182	0
L1td1	108.8	0	159	0	191	194	0
Gse1	108.8	0	0	0	272	272	0
4833439L19Rik	108.6	0	174	0	185	184	0
Tcf7l2	108.4	0	112	0	215	215	0
Tbp	108.4	0	0	0	271	271	0
Pxk	108.4	0	235	0	153	154	0
Psmb1	108.4	0	0	0	271	271	0
Pde6d	108.4	0	0	0	271	271	0
Cops7b	108.4	0	0	0	271	271	0
Zkscan17	108.2	0	0	0	271	270	0
Pmpcb	108.2	0	0	0	270	271	0
Fgd4	108.2	0	181	0	180	180	0
Plekhg3	108.0	0	0	0	270	270	0
Olfr1341	108.0	153	387	0	0	0	0
Natd1	108.0	0	0	0	270	270	0
Ldb1	108.0	0	0	0	270	270	0
Hipk4	108.0	0	0	0	270	270	0
Ssrp1	107.8	0	0	0	269	270	0
Rpl6	107.8	0	0	0	269	270	0
P2rx3	107.8	0	0	0	269	270	0
Alg1	107.8	0	0	0	270	269	0
Tssk6	107.6	113	83	0	171	171	0
Ndufa13	107.6	113	83	0	171	171	0
Knl1	107.6	0	0	0	269	269	0
Kifc3	107.6	0	113	0	213	212	0
Fbxo7	107.6	0	322	0	108	108	0
Rapgef1	107.4	0	180	0	178	179	0
1700016H13Rik	107.4	0	0	0	269	268	0
Wfdc3	107.2	0	0	0	268	268	0
Mapk11	107.2	0	0	0	268	268	0
Fam76a	107.2	0	0	0	269	267	0
Dnttip1	107.2	0	0	0	268	268	0
Mymx	107.0	172	363	0	0	0	0
Mrps17	107.0	0	0	0	267	268	0
Ifitm2	107.0	0	112	0	211	212	0
Anapc5	107.0	0	0	0	267	268	0
Zfp97	106.8	0	0	0	272	262	0
Mmadhc	106.8	0	0	0	267	267	0
Exoc2	106.8	0	125	0	204	205	0
Selenos	106.6	0	65	0	234	234	0
Rbm39	106.6	0	113	0	210	210	0
Nobox	106.6	0	0	0	266	267	0
Mettl25	106.4	0	0	0	266	266	0
Ccdc59	106.4	0	0	0	266	266	0
Scfd1	106.2	0	132	0	200	199	0
Polg2	106.2	0	0	0	265	266	0
Hat1	106.2	0	0	0	265	266	0
Rubcn	106.0	0	282	0	124	124	0
Pdcd7	106.0	0	0	0	263	267	0
Msx2	106.0	0	0	0	265	265	0
Dab2ip	106.0	0	0	0	265	265	0
Atp5o	106.0	0	0	0	265	265	0
Urm1	105.8	0	0	0	266	263	0
U2surp	105.8	0	126	0	202	201	0
Elp5	105.8	0	0	0	264	265	0
Ctdnep1	105.8	0	0	0	264	265	0
Ccl27a	105.8	0	0	0	251	278	0
Tob2	105.6	0	0	0	264	264	0
Dyrk3	105.6	98	0	0	215	215	0
Cd300e	105.6	0	0	0	264	264	0
4930550C14Rik	105.6	0	0	0	264	264	0
Zfp235	105.4	0	0	0	263	264	0
Zfp995	105.2	0	0	0	264	262	0
Spsb2	105.2	0	0	0	264	262	0
Slc35b4	105.2	0	0	0	263	263	0
Pex3	105.2	0	106	0	210	210	0
Mdm4	105.2	0	0	0	258	268	0
Hs6st1	105.2	83	203	0	120	120	0
Dus1l	105.2	87	0	0	219	220	0
C87436	105.2	0	0	0	264	262	0
Adat2	105.2	0	106	0	210	210	0
Tmem107	105.0	0	0	0	263	262	0
Rbm8a	105.0	87	0	0	219	219	0
Igsf9	105.0	0	75	0	225	225	0
Slx4ip	104.8	0	0	0	262	262	0
Slc26a8	104.8	0	132	0	196	196	0
R3hdm2	104.8	0	0	0	254	270	0
Mkks	104.8	0	0	0	262	262	0
Mdfic	104.8	0	0	0	263	261	0
Mapk14	104.8	0	132	0	196	196	0
Eloa	104.8	0	204	0	159	161	0
Triml2	104.6	0	189	0	167	167	0
Mfsd14b	104.6	0	0	0	262	261	0
Fbxw7	104.6	0	123	0	200	200	0
Casq1	104.6	0	195	0	164	164	0
Sorbs1	104.4	0	107	0	207	208	0
Scnm1	104.4	0	0	0	273	249	0
Rpp14	104.4	0	0	0	260	262	0
Lysmd1	104.4	0	0	0	273	249	0
Htd2	104.4	0	0	0	260	262	0
Fzd1	104.4	0	0	0	261	261	0
Fam172a	104.4	0	0	0	261	261	0
Defa6	104.4	0	0	0	220	302	0
Defa24	104.4	0	0	0	220	302	0
Acsf3	104.4	0	0	0	261	261	0
Tsc22d1	104.2	0	214	0	153	154	0
Ssr2	104.2	0	121	0	201	199	0
Slc12a9	104.2	0	252	0	134	135	0
Cwf19l1	104.2	0	0	0	261	260	0
Bloc1s5	104.2	120	0	0	200	201	0
Bex3	104.2	0	0	0	261	260	0
Mrps24	104.0	0	0	0	275	245	0
Maml3	104.0	0	0	0	260	260	0
Shox2	103.8	0	0	0	259	260	0
Rsrc1	103.8	0	0	0	259	260	0
Rfx2	103.8	0	239	0	141	139	0
Vgf	103.6	136	0	0	191	191	0
Rint1	103.6	0	0	0	260	258	0
Pus7	103.6	0	0	0	260	258	0
Nudt13	103.6	0	0	0	258	260	0
Mynn	103.6	0	0	0	259	259	0
Hjurp	103.6	0	114	0	202	202	0
Actrt3	103.6	0	0	0	259	259	0
A730008H23Rik	103.6	0	114	0	202	202	0
Acp5	103.4	0	110	0	205	202	0
Zc3h10	103.2	0	137	0	190	189	0
Rpl41	103.2	0	137	0	190	189	0
Nemf	103.2	0	130	0	195	191	0
C77080	103.2	0	134	0	191	191	0
Atf6	103.2	0	147	0	184	185	0
Apmap	103.2	0	0	0	258	258	0
Tsn	103.0	0	110	0	201	204	0
Snx10	103.0	0	0	0	258	257	0
Nupr1l	103.0	0	0	0	257	258	0
Cd300ld	103.0	0	0	0	257	258	0
Tac4	102.8	0	0	0	257	257	0
Cbln3	102.8	0	0	0	257	257	0
Ndufv1	102.6	0	0	0	256	257	0
Mtres1	102.6	0	177	0	168	168	0
Haus6	102.6	0	0	0	257	256	0
Sit1	102.4	0	0	0	256	256	0
Ptgr2	102.4	0	97	0	207	208	0
Kdm7a	102.4	0	0	0	256	256	0
Elf5	102.4	0	0	0	256	256	0
Dync1i2	102.4	0	0	0	256	256	0
Dhx40	102.4	0	0	0	258	254	0
Ccdc142	102.4	0	0	0	256	256	0
Akap1	102.4	0	109	0	201	202	0
Zfp110	102.2	0	0	0	255	256	0
Svop	102.2	0	130	0	190	191	0
Eno1	102.2	0	0	0	255	256	0
Atad5	102.2	0	111	0	198	202	0
Ldah	102.0	0	0	0	255	255	0
Klhl12	102.0	0	0	0	254	256	0
Ap5s1	102.0	0	0	0	254	256	0
Pgam2	101.8	0	0	0	214	295	0
Otud6b	101.8	0	0	0	254	255	0
Ednra	101.8	0	0	0	254	255	0
Armc1	101.8	0	0	0	254	255	0
Tspan9	101.6	0	0	0	254	254	0
Snx1	101.6	0	0	0	255	253	0
Polr2j	101.6	0	180	0	164	164	0
Gpr161	101.6	0	0	0	254	254	0
Crtap	101.6	120	388	0	0	0	0
Ciao2a	101.6	0	0	0	255	253	0
Vrk1	101.4	0	261	0	123	123	0
Slco5a1	101.4	0	245	0	131	131	0
Ndrg3	101.4	135	0	0	186	186	0
Flywch1	101.4	80	0	0	213	214	0
Dus2	101.4	0	119	0	194	194	0
Ddx28	101.4	0	119	0	194	194	0
Imp4	101.2	0	0	0	247	259	0
Hrh1	101.2	0	0	0	253	253	0
Ccdc115	101.2	0	0	0	247	259	0
Tmem125	101.0	0	150	0	172	183	0
Rsl24d1	101.0	0	138	0	183	184	0
Zfp574	100.8	0	0	0	252	252	0
Mettl26	100.8	0	0	0	246	258	0
Jup	100.8	0	0	0	252	252	0
Grik5	100.8	0	0	0	252	252	0
9930021J03Rik	100.8	0	0	0	252	252	0
Mrpl22	100.4	0	0	0	250	252	0
Gemin5	100.4	0	0	0	250	252	0
Trip4	100.2	0	165	0	168	168	0
Exosc9	100.2	0	0	0	251	250	0
Clp1	100.2	0	0	0	252	249	0
Wdr76	100.0	0	0	0	253	247	0
Timm13	100.0	0	0	0	250	250	0
St3gal2	100.0	0	0	0	251	249	0
Rbsn	100.0	0	0	0	250	250	0
Rbm42	100.0	0	0	0	251	249	0
Rab4b	100.0	0	0	0	250	250	0
Mia	100.0	0	0	0	250	250	0
Mfap1a	100.0	0	0	0	253	247	0
Lyrm7	100.0	0	0	0	249	251	0
Cd5	100.0	0	0	0	250	250	0
Stra6	99.8	0	0	0	250	249	0
Sdf4	99.8	0	0	0	250	249	0
Rrnad1	99.8	0	0	0	249	250	0
Palld	99.8	0	110	0	195	194	0
Isg20l2	99.8	0	0	0	249	250	0
Csta1	99.8	0	0	0	249	250	0
Bclaf1	99.8	0	0	0	250	249	0
B3galt6	99.8	0	0	0	250	249	0
Insr	99.6	0	200	0	149	149	0
Golph3l	99.6	0	0	0	251	247	0
Cep120	99.6	0	156	0	171	171	0
Zfp341	99.2	75	71	0	175	175	0
Tbce	99.2	0	0	0	248	248	0
Npas2	99.2	0	0	0	248	248	0
Ninj2	99.2	0	0	0	248	248	0
Crxos	99.2	0	0	0	248	248	0
Cd83	99.2	0	0	0	248	248	0
Slc12a6	99.0	0	125	0	184	186	0
Nutm1	99.0	0	125	0	184	186	0
Npr2	99.0	0	0	0	247	248	0
Nop10	99.0	0	125	0	184	186	0
Mrps33	99.0	0	148	0	174	173	0
Mafk	99.0	0	0	0	247	248	0
Faf1	99.0	0	112	0	191	192	0
Eif3c	99.0	0	0	0	248	247	0
Pars2	98.8	0	0	0	247	247	0
Map2k6	98.8	0	0	0	247	247	0
Chit1	98.8	0	0	0	247	247	0
Brf1	98.8	0	94	0	200	200	0
Ube2j2	98.6	152	0	0	171	170	0
Tjp3	98.6	0	154	0	170	169	0
Dnajc7	98.6	0	198	0	147	148	0
Zfp516	98.4	0	0	0	246	246	0
Zcrb1	98.4	0	0	0	246	246	0
Ptpre	98.4	0	0	0	246	246	0
Pphln1	98.4	0	0	0	246	246	0
Mrps23	98.4	0	0	0	246	246	0
Fgfbp1	98.4	0	0	0	246	246	0
Pgap3	98.2	0	0	0	246	245	0
Mrpl21	98.2	0	0	0	245	246	0
Ighmbp2	98.2	0	0	0	245	246	0
Arpc3	98.2	0	0	0	249	242	0
Zfp566	98.0	0	0	0	245	245	0
Zfp260	98.0	0	0	0	245	245	0
Vps33a	98.0	0	0	0	245	245	0
Tatdn3	98.0	0	0	0	245	245	0
Sgpl1	98.0	0	0	0	245	245	0
Nsl1	98.0	0	0	0	245	245	0
Kbtbd6	98.0	0	0	0	244	246	0
Eapp	98.0	0	0	0	242	248	0
Zyg11a	97.8	0	151	0	169	169	0
Npdc1	97.8	0	0	0	245	244	0
Crebl2	97.8	125	0	0	182	182	0
4930486L24Rik	97.8	0	0	0	245	244	0
Psma3	97.6	0	0	0	244	244	0
Mzf1	97.6	0	93	0	198	197	0
Gtpbp8	97.6	0	0	0	244	244	0
Comtd1	97.6	0	0	0	244	244	0
B4galnt2	97.6	0	0	0	244	244	0
Actl6a	97.6	0	173	0	158	157	0
A430057M04Rik	97.6	0	0	0	244	244	0
Zfp7	97.4	0	0	0	244	243	0
Rnf7	97.4	0	108	0	188	191	0
Glmp	97.4	0	0	0	243	244	0
Rpl10	97.2	0	0	0	243	243	0
Pde4a	97.2	0	0	0	242	244	0
Glipr1l3	97.2	0	0	0	241	245	0
Gcnt2	97.2	0	105	0	190	191	0
Caps2	97.2	0	0	0	241	245	0
Calm2	97.2	0	0	0	243	243	0
Prdm4	97.0	0	0	0	242	243	0
Dnajc11	97.0	0	282	0	102	101	0
Cacnb2	97.0	0	0	0	242	243	0
Aebp2	97.0	0	0	0	243	242	0
Sox2	96.8	107	169	0	104	104	436
Vps18	96.8	0	0	0	242	242	0
Rhbdd2	96.8	0	0	0	241	243	0
Pld1	96.8	0	111	0	187	186	0
Lamp1	96.8	0	0	0	242	242	0
Det1	96.8	0	0	0	242	242	0
Ddx19a	96.8	0	0	0	242	242	0
Stxbp1	96.6	0	145	0	169	169	0
Slc30a2	96.6	0	0	0	242	241	0
Olfr1425	96.6	0	85	0	199	199	0
Insm1	96.6	0	0	0	241	242	0
Gdf15	96.6	113	120	0	125	125	0
Fyttd1	96.6	0	282	0	101	100	0
Tmem87b	96.4	0	0	0	243	239	0
Tmem259	96.4	0	0	0	241	241	0
Pcdhgb8	96.4	0	0	0	241	241	0
Pcdhga12	96.4	0	0	0	241	241	0
Cpt1c	96.4	0	0	0	241	241	0
Cnn2	96.4	0	0	0	241	241	0
Zfp94	96.2	0	0	0	241	240	0
Sil1	96.2	0	0	0	241	240	0
Psmd1	96.2	0	139	0	171	171	0
Ddb2	96.2	0	0	0	240	241	0
Capn15	96.2	94	97	0	145	145	0
Zranb1	96.0	0	0	0	241	239	0
Uggt2	96.0	0	214	0	152	114	0
Glrx	96.0	0	116	0	182	182	0
Aaas	96.0	0	134	0	173	173	0
Wdtc1	95.8	0	0	0	239	240	0
Tomm40l	95.8	0	0	0	240	239	0
Sik3	95.8	0	0	0	240	239	0
Pafah1b2	95.8	0	0	0	240	239	0
Magt1	95.8	0	0	0	240	239	0
Haspin	95.8	0	144	0	168	167	0
Cox7b	95.8	0	0	0	240	239	0
Apoa2	95.8	0	0	0	240	239	0
2210016L21Rik	95.8	0	0	0	239	240	0
Wdr70	95.6	0	0	0	239	239	0
Vamp4	95.6	0	222	0	128	128	0
Tmc5	95.6	0	0	0	239	239	0
Sec14l5	95.6	0	0	0	239	239	0
Gtpbp4	95.6	0	121	0	178	179	0
Ddx52	95.6	0	0	0	239	239	0
Rps20	95.4	0	152	0	162	163	0
Man2b2	95.4	0	131	0	173	173	0
Ccdc194	95.4	0	219	0	130	128	0
Ppp2r2d	95.2	0	172	0	152	152	0
Mapk1ip1	95.2	0	172	0	152	152	0
Magohb	95.2	0	0	0	238	238	0
Gan	95.2	0	0	0	238	238	0
Gabpa	95.2	0	0	0	238	238	0
Fbxo27	95.2	0	126	0	175	175	0
Atp5j	95.2	0	0	0	238	238	0
Ssbp1	95.0	0	125	0	175	175	0
Abl1	95.0	0	143	0	166	166	0
Klc1	94.8	0	0	0	237	237	0
Mt2	94.6	0	157	0	158	158	0
Mt1	94.6	0	157	0	158	158	0
Cuedc2	94.6	0	84	0	194	195	0
Clcn7	94.6	0	0	0	239	234	0
Calm3	94.6	0	141	0	166	166	0
Zswim1	94.4	0	186	0	143	143	0
Yeats4	94.4	0	0	0	236	236	0
Tln1	94.4	0	0	0	236	236	0
Olfr905	94.4	0	0	0	288	184	0
Gne	94.4	0	140	0	166	166	0
Creb3	94.4	0	0	0	236	236	0
Cdk11b	94.4	0	0	0	236	236	0
BC107364	94.4	0	67	0	195	210	0
Tmem101	94.2	0	0	0	236	235	0
Ddx42	94.2	0	0	0	235	236	0
Ccdc47	94.2	0	0	0	235	236	0
Vps25	94.0	0	0	0	235	235	0
Ptch1	94.0	119	145	0	103	103	0
Ppip5k2	94.0	0	0	0	235	235	0
Htatip2	94.0	0	0	0	235	235	0
Gin1	94.0	0	0	0	235	235	0
Farsa	94.0	0	0	0	234	236	0
Sirt4	93.8	0	0	0	239	230	0
Rrp1	93.8	0	0	0	236	233	0
Rrh	93.8	0	0	0	234	235	0
Prss8	93.8	0	0	0	234	235	0
Peli3	93.8	0	0	0	266	203	0
Vps41	93.6	0	0	0	234	234	0
Upf3b	93.6	0	0	0	234	234	0
Rxfp3	93.6	0	0	0	234	234	0
Ric8b	93.6	0	0	0	234	234	0
Prrg2	93.6	0	0	0	234	234	0
Nr4a1	93.6	0	142	0	163	163	0
Nosip	93.6	0	0	0	234	234	0
Crtc1	93.6	0	0	0	234	234	0
Znhit2	93.4	111	0	0	178	178	0
Mrpl49	93.4	111	0	0	178	178	0
Fau	93.4	111	0	0	178	178	0
Ubxn8	93.2	0	0	0	233	233	0
Sesn2	93.2	0	157	0	154	155	0
Peg12	93.2	0	0	0	234	232	0
Nubpl	93.2	0	0	0	233	233	0
Gcc1	93.2	0	0	0	233	233	0
Fut10	93.2	0	148	0	159	159	0
Aurkb	93.2	0	0	0	233	233	0
Arf5	93.2	0	0	0	233	233	0
Sfn	93.0	0	0	0	232	233	0
Rere	93.0	0	159	0	152	154	0
Hoxc13	93.0	0	0	0	232	233	0
Zfp941	92.8	0	0	0	232	232	0
Zdhhc3	92.8	0	0	0	232	232	0
Snx18	92.8	0	184	0	140	140	0
Pik3r2	92.8	0	0	0	232	232	0
Nol10	92.8	0	0	0	232	232	0
Kdm2b	92.8	0	0	0	232	232	0
Exosc7	92.8	0	0	0	232	232	0
Cryab	92.8	0	0	0	232	232	0
BC028528	92.8	0	0	0	233	231	0
Aph1a	92.8	0	0	0	233	231	0
Actr3	92.8	0	130	0	167	167	0
2310030G06Rik	92.8	0	0	0	232	232	0
Txlna	92.6	0	0	0	231	232	0
Prr13	92.6	0	0	0	231	232	0
Bcam	92.6	0	126	0	168	169	0
Adck1	92.6	0	0	0	230	233	0
Tut1	92.4	0	0	0	231	231	0
Pigo	92.4	0	0	0	231	231	0
Ilf2	92.4	0	0	0	232	230	0
Gm3739	92.4	0	152	0	154	156	0
Ankrd61	92.4	0	0	0	231	231	0
Trub2	92.2	0	0	0	231	230	0
Supt6	92.2	0	0	0	230	231	0
Sdf2	92.2	0	0	0	230	231	0
Rnf157	92.2	0	0	0	230	231	0
Rell1	92.2	0	0	0	231	230	0
Med13	92.2	0	0	0	230	231	0
Calml4	92.2	0	0	0	245	216	0
Usp39	92.0	0	0	0	230	230	0
Trim8	92.0	0	0	0	230	230	0
Suox	92.0	0	0	0	230	230	0
Pak1ip1	92.0	130	0	0	165	165	0
Max	92.0	0	168	0	146	146	0
Kcnc3	92.0	0	0	0	230	230	0
0610030E20Rik	92.0	0	0	0	230	230	0
Sp2	91.8	0	97	0	181	181	0
Usp28	91.6	0	0	0	229	229	0
Trappc5	91.6	0	149	0	154	155	0
Mxi1	91.6	0	0	0	229	229	0
Mettl1	91.6	0	0	0	230	228	0
Fcor	91.6	0	149	0	154	155	0
Eef1akmt3	91.6	0	0	0	230	228	0
Dus4l	91.6	0	0	0	229	229	0
Cog5	91.6	0	0	0	229	229	0
Coa7	91.6	0	0	0	229	229	0
Arhgap29	91.6	0	0	0	229	229	0
Sh2b3	91.4	0	0	0	229	228	0
Rps19	91.4	0	175	0	141	141	0
Rpl26	91.4	0	0	0	229	228	0
Ppih	91.4	0	0	0	230	227	0
Lmtk2	91.4	0	0	0	229	228	0
Gm5622	91.4	0	0	0	209	248	0
Tmem8b	91.2	0	0	0	228	228	0
Tctex1d4	91.2	0	0	0	228	228	0
Rpl3	91.2	0	138	0	159	159	0
Myo1b	91.2	0	0	0	228	228	0
Mettl22	91.2	0	0	0	226	230	0
Izumo1	91.2	0	0	0	229	227	0
Fut1	91.2	0	0	0	229	227	0
Fam221b	91.2	0	0	0	228	228	0
