Target_genes	Zfp57|Average	SRX10265156|ES_cells	SRX10265157|ES_cells	SRX1421936|ES_cells	SRX1421939|ES_cells	SRX14394947|ES_cells	SRX14394948|ES_cells	SRX14394949|ES_cells	SRX14394950|ES_cells	SRX1556082|ES_cells	SRX1556086|ES_cells	SRX1556090|ES_cells	SRX476210|ES_cells	SRX476211|ES_cells	SRX5140866|ES_cells	SRX5140867|ES_cells	SRX5140868|ES_cells	SRX5140869|ES_cells	SRX5140870|ES_cells	STRING
Orc1	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Ly6i	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Knstrn	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Ints13	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Hgh1	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Gclc	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Fgfr1op2	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Elavl2	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Echs1	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Echdc2	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Dnmt1	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Dhx16	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Ctnnal1	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Commd6	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Cfap300	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Cdk5rap2	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Cav2	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
C1qtnf12	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Bmp1	19.444444	0	0	0	0	0	0	0	0	0	0	0	206	144	0	0	0	0	0	0
Atg4c	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Apex1	19.444444	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0
Ank1	19.444444	0	0	0	0	0	0	0	0	0	0	0	202	148	0	0	0	0	0	0
Zzef1	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Zfp69	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Usp53	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Usf2	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Sppl2c	19.388889	0	0	0	0	0	0	0	0	0	0	0	248	101	0	0	0	0	0	0
Smchd1	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Sertm1	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Rapgef4	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Rab6a	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Ppp3r2	19.388889	0	0	0	0	0	0	0	0	0	0	0	223	126	0	0	0	0	0	0
Nab2	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Lcor	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Kctd5	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Ism1	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Ifnar1	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Hs3st3a1	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Gpr25	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Fig4	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Fadd	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
E2f7	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Disp1	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Cyb5d2	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Btbd19	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Bpi	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Atp5g2	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Arhgap39	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Api5	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
Ak9	19.388889	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0
3110082I17Rik	19.388889	0	0	0	0	0	0	0	0	0	0	0	236	113	0	0	0	0	0	0
Zcchc14	19.333333	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Ube2g2	19.333333	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Tent4b	19.333333	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Tbl2	19.333333	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Sec31a	19.333333	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Rnf130	19.333333	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Rexo1	19.333333	0	0	0	0	0	0	0	0	0	0	0	119	229	0	0	0	0	0	0
Prkar2a	19.333333	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Muc6	19.333333	0	0	0	0	0	0	0	0	0	0	0	261	87	0	0	0	0	0	0
Meioc	19.333333	0	0	0	0	0	0	0	0	0	0	0	269	79	0	0	0	0	0	0
Malsu1	19.333333	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Lyrm9	19.333333	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Iws1	19.333333	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Gpatch2l	19.333333	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Dguok	19.333333	0	0	0	0	0	0	0	0	0	0	0	209	139	0	0	0	0	0	0
Cox14	19.333333	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Accsl	19.333333	0	0	0	0	0	0	0	0	0	0	0	156	192	0	0	0	0	0	0
Abl1	19.333333	0	0	0	0	0	0	0	0	0	0	0	110	238	0	0	0	0	0	0
Ttll8	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Sprr2k	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Snrnp70	19.277778	0	0	0	0	0	213	0	0	0	0	0	134	0	0	0	0	0	0	0
Slc9a3	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Rundc1	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Ptges3l	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Ppp1r3e	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Otoa	19.277778	0	0	0	0	0	0	0	0	0	0	0	194	153	0	0	0	0	0	0
Mael	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Lsm2	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Lmo7	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
LOC100861978	19.277778	0	0	0	0	0	0	0	0	0	0	0	253	94	0	0	0	0	0	0
H2-T-ps	19.277778	0	0	0	0	0	0	0	0	0	0	0	262	85	0	0	0	0	0	0
Gm13306	19.277778	0	0	0	0	0	0	0	0	0	0	0	253	94	0	0	0	0	0	0
Fam160a2	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Ccsap	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Ccl27b	19.277778	0	0	0	0	0	0	0	0	0	0	0	253	94	0	0	0	0	0	0
Atf2	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Arhgef11	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Abcc4	19.277778	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0
Uchl1	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Sprr1a	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Shisa3	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Rpusd1	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Rft1	19.222222	0	0	0	0	0	0	0	0	0	0	0	262	84	0	0	0	0	0	0
Rab14	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Prss32	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Nt5c2	19.222222	0	0	0	0	0	0	0	0	0	0	0	260	86	0	0	0	0	0	0
Mtmr6	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Lrrfip1	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Lmna	19.222222	0	0	0	0	0	0	0	0	0	0	0	258	88	0	0	0	0	0	0
Ina	19.222222	0	0	0	0	0	0	0	0	0	0	0	260	86	0	0	0	0	0	0
H2az2	19.222222	0	0	0	0	0	236	0	0	0	0	0	110	0	0	0	0	0	0	0
Ehd1	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Eef1a2	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Drd5	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Cyth3	19.222222	0	0	0	0	0	132	0	0	0	0	0	214	0	0	0	0	0	0	0
Cspg4b	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Chtf18	19.222222	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0
Cav3	19.222222	0	0	0	0	0	174	0	0	0	0	0	172	0	0	0	0	0	0	0
Catsper1	19.222222	0	0	0	0	0	0	0	0	0	0	0	109	237	0	0	0	0	0	0
Zdhhc24	19.166667	0	0	0	0	0	0	0	0	0	0	0	248	97	0	0	0	0	0	0
Vps35	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Urb1	19.166667	0	0	0	0	0	0	0	0	0	0	0	248	97	0	0	0	0	0	0
Uqcrq	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Tjp1	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Tgfbi	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
St3gal6	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Slc50a1	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Slc2a13	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Slc25a38	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Sdc1	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Rnf14	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Ptgdr2	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Percc1	19.166667	0	0	0	0	0	0	0	0	0	0	0	216	129	0	0	0	0	0	0
Orc6	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Nrn1l	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Nanp	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Irf1	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Gmps	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Gm45623	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Gdf9	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Fam98b	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Faim	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Ecm1	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Dpm3	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Ccdc130	19.166667	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
Actn3	19.166667	0	0	0	0	0	0	0	0	0	0	0	248	97	0	0	0	0	0	0
Vwa3b	19.111111	0	0	0	0	0	0	0	0	0	0	0	259	85	0	0	0	0	0	0
Vapb	19.111111	0	0	0	0	0	0	0	0	0	0	0	175	169	0	0	0	0	0	0
Uvrag	19.111111	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0
Ube4b	19.111111	0	0	0	0	0	0	0	0	0	0	0	259	85	0	0	0	0	0	0
Ube2h	19.111111	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0
Ticrr	19.111111	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0
Tbp	19.111111	0	0	0	0	0	0	0	0	0	0	0	207	137	0	0	0	0	0	0
Slc5a8	19.111111	0	0	0	0	0	0	0	0	0	0	0	218	126	0	0	0	0	0	0
Slc43a2	19.111111	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0
S1pr5	19.111111	0	0	0	0	0	0	0	0	0	0	0	238	106	0	0	0	0	0	0
Rpl9	19.111111	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0
Ptprn2	19.111111	0	0	0	0	0	0	0	0	0	0	0	277	67	0	0	0	0	0	0
Pira6	19.111111	0	0	0	0	0	181	0	0	0	0	0	0	163	0	0	0	0	0	0
Oard1	19.111111	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0
Lrrtm1	19.111111	0	0	0	0	0	0	0	0	0	0	0	233	111	0	0	0	0	0	0
Lias	19.111111	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0
Kcnb1	19.111111	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0
Evi5	19.111111	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0
Cdyl2	19.111111	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0
Bfsp2	19.111111	0	0	0	0	0	0	0	0	0	0	0	248	96	0	0	0	0	0	0
Arhgap45	19.111111	0	0	0	0	0	0	0	0	0	0	0	227	117	0	0	0	0	0	0
Acss1	19.111111	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0
Unc45a	19.055556	0	0	0	0	0	0	0	0	0	0	0	229	114	0	0	0	0	0	0
Ttc30b	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Trim2	19.055556	0	0	0	0	0	0	0	0	0	0	0	227	116	0	0	0	0	0	0
Snorc	19.055556	0	0	0	0	0	186	0	0	0	0	0	157	0	0	0	0	0	0	0
Smim19	19.055556	0	0	0	0	0	125	0	0	0	0	0	218	0	0	0	0	0	0	0
Slc20a2	19.055556	0	0	0	0	0	125	0	0	0	0	0	218	0	0	0	0	0	0	0
Setdb1	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Scin	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Ptch2	19.055556	0	0	0	0	0	0	0	0	0	0	0	181	162	0	0	0	0	0	0
Prtn3	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Pnn	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Ndufa9	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Mybpc3	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Mttp	19.055556	0	0	0	0	0	0	0	0	0	0	0	183	160	0	0	0	0	0	0
Mlx	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Lrwd1	19.055556	0	0	0	0	0	0	0	0	0	0	0	244	99	0	0	0	0	0	0
Lonp1	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Hsd17b1	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Hddc3	19.055556	0	0	0	0	0	0	0	0	0	0	0	229	114	0	0	0	0	0	0
Gnb2	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Gabrb1	19.055556	0	0	0	0	0	0	0	0	0	0	0	183	160	0	0	0	0	0	0
Elane	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Csgalnact1	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Coasy	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Cnot6l	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Cldn11	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Ccnt1	19.055556	0	0	0	0	0	0	0	0	0	0	0	224	119	0	0	0	0	0	0
Catsperd	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Aspdh	19.055556	0	0	0	0	0	0	0	0	0	0	0	248	95	0	0	0	0	0	0
Art2b	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Angel1	19.055556	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0
Alkbh4	19.055556	0	0	0	0	0	0	0	0	0	0	0	244	99	0	0	0	0	0	0
4930415O20Rik	19.055556	0	0	0	0	0	0	0	0	0	0	0	224	119	0	0	0	0	0	0
Zdhhc1	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Zbtb42	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Vwa7	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Trrap	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Trappc10	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Tmem121	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Tcirg1	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Spin2d	19.0	0	0	0	104	0	119	0	0	0	0	0	119	0	0	0	0	0	0	0
Slc26a2	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Robo3	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Pdxp	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Pcsk6	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Nxpe3	19.0	0	0	0	0	0	0	0	0	0	0	0	216	126	0	0	0	0	0	0
Megf11	19.0	0	0	0	0	0	201	0	0	0	0	0	141	0	0	0	0	0	0	0
Lhpp	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Lgals2	19.0	0	0	0	0	0	0	0	0	0	0	0	176	166	0	0	0	0	0	0
Lcn9	19.0	0	0	0	0	0	0	0	0	0	0	0	239	103	0	0	0	0	0	0
Kctd14	19.0	0	0	0	0	0	0	0	0	0	0	0	250	92	0	0	0	0	0	0
Hspa4l	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Hnrnpa0	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Gm904	19.0	0	0	0	0	0	0	0	0	0	0	0	146	196	0	0	0	0	0	0
Etnk1	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Cltb	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Card14	19.0	0	0	0	0	0	0	0	0	0	0	0	194	148	0	0	0	0	0	0
Bri3	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Alox12b	19.0	0	0	0	0	0	0	0	0	0	0	0	224	118	0	0	0	0	0	0
Akt1	19.0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0
Zfp738	18.944444	0	0	0	0	0	0	0	0	0	0	0	236	105	0	0	0	0	0	0
Wnt5b	18.944444	0	0	0	0	0	0	0	0	0	0	0	228	113	0	0	0	0	0	0
Tmem191c	18.944444	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0
Slc39a11	18.944444	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0
Rgs3	18.944444	0	0	0	0	0	0	0	0	0	0	0	224	117	0	0	0	0	0	0
Ptpn9	18.944444	0	0	0	0	0	0	0	0	0	0	0	193	148	0	0	0	0	0	0
Nhlh2	18.944444	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0
Mrps26	18.944444	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0
Lrp6	18.944444	0	0	0	0	0	0	0	0	0	0	0	164	177	0	0	0	0	0	0
Kcnq2	18.944444	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0
Frzb	18.944444	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0
Cog1	18.944444	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0
Cdc14b	18.944444	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0
C5ar2	18.944444	0	0	0	0	0	0	0	0	0	0	0	276	65	0	0	0	0	0	0
Zfp367	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Zfp260	18.888889	0	0	0	0	0	0	0	0	0	0	0	203	137	0	0	0	0	0	0
Zfp157	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Usp39	18.888889	0	0	0	0	0	0	0	0	0	0	0	236	104	0	0	0	0	0	0
Ugcg	18.888889	0	0	0	0	0	0	0	0	0	0	0	192	148	0	0	0	0	0	0
Tspan18	18.888889	0	0	0	0	0	0	0	0	0	0	0	228	112	0	0	0	0	0	0
Tmed4	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Syf2	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Spire2	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Slc38a7	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Slc12a7	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Sertad2	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Rmnd5b	18.888889	0	0	0	0	0	0	0	0	0	0	0	236	104	0	0	0	0	0	0
Pak2	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Mapk9	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Magi3	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Krtap5-2	18.888889	0	0	0	0	0	0	0	0	0	0	0	237	103	0	0	0	0	0	0
Itga3	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Igfbp3	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Dnal4	18.888889	0	0	0	0	0	0	0	0	0	0	0	218	122	0	0	0	0	0	0
D1Pas1	18.888889	0	108	0	0	0	102	0	0	0	0	0	130	0	0	0	0	0	0	0
Ctsf	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Copb1	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Chd8	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Arrdc4	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Adam1b	18.888889	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0
Tufm	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Tubb4b	18.833333	0	0	0	0	0	0	0	0	0	0	0	266	73	0	0	0	0	0	0
Tacc1	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Ssh2	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Smpdl3a	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Rangap1	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Podn	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Obscn	18.833333	0	0	0	0	0	0	0	0	0	0	0	260	79	0	0	0	0	0	0
Mrps35	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Kif5a	18.833333	0	0	0	0	0	0	0	0	0	0	0	249	90	0	0	0	0	0	0
H2-Q2	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Gm1673	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Gm13276	18.833333	0	0	0	0	0	0	0	0	0	0	0	218	121	0	0	0	0	0	0
F10	18.833333	0	0	0	0	0	0	0	0	0	0	0	159	180	0	0	0	0	0	0
Exoc6	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Dctn2	18.833333	0	0	0	0	0	0	0	0	0	0	0	249	90	0	0	0	0	0	0
Cnr2	18.833333	0	0	0	0	0	0	0	0	0	0	0	108	231	0	0	0	0	0	0
Ccnh	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Bms1	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Atp6v1e1	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
Ank	18.833333	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0
