Target_genes	Bach1|Average	SRX7433236|ES_cells	SRX5508931|Lung_tumors	SRX5508932|Lung_tumors	SRX5508933|Lung_tumors	SRX5508934|Lung_tumors	SRX5508935|Lung_tumors	SRX5508936|Lung_tumors	SRX5508937|Lung_tumors	SRX1629384|M1	SRX2200548|Pro-B_cells	STRING
Psmd3	62.6	0	0	0	0	0	0	0	0	626	0	0
Adam10	62.4	0	134	0	187	145	158	0	0	0	0	0
Slc12a7	62.1	0	304	0	0	188	129	0	0	0	0	0
Pfkm	62.1	0	0	0	138	107	115	95	0	166	0	0
Nol8	62.1	0	141	80	0	0	260	0	0	140	0	0
Dnajc8	62.1	0	175	98	0	135	213	0	0	0	0	0
Dennd6a	62.1	0	0	0	0	204	219	0	0	198	0	0
Cenpp	62.1	0	141	80	0	0	260	0	0	140	0	0
Atpif1	62.1	0	175	98	0	135	213	0	0	0	0	0
Xpot	62.0	0	0	0	0	161	270	86	0	103	0	0
Nudt13	61.9	0	87	0	130	149	137	0	0	116	0	0
Rbm28	61.6	0	0	0	0	250	171	195	0	0	0	0
Ahcyl2	61.6	0	126	0	109	189	192	0	0	0	0	0
Vps26c	61.5	0	146	0	137	0	0	0	0	332	0	0
Ankrd13c	61.4	0	0	0	123	0	189	120	0	182	0	0
Zer1	61.2	0	0	0	0	245	132	0	0	235	0	0
Mtmr9	61.2	0	0	121	261	130	0	100	0	0	0	0
AI413582	61.2	0	272	0	0	0	149	0	0	191	0	0
Slc31a2	60.9	0	151	166	0	122	170	0	0	0	0	0
Sec11c	60.9	0	187	0	124	0	191	0	0	107	0	0
Bet1	60.9	0	113	0	0	249	107	140	0	0	0	0
Tmppe	60.8	0	108	0	0	175	122	0	0	203	0	0
Tef	60.7	0	0	0	150	188	134	0	0	135	0	0
Tsc1	60.6	0	205	0	157	150	0	0	0	94	0	0
Tex14	60.6	0	0	0	0	0	0	0	0	606	0	0
Slc35a3	60.6	0	0	0	153	186	0	130	0	137	0	0
Bin2	60.6	0	0	0	0	0	0	0	0	606	0	0
Zranb2	60.3	0	0	0	0	135	137	0	0	331	0	0
Lce1b	60.3	0	0	0	0	221	271	0	111	0	0	0
Psme3	60.2	0	0	0	0	87	0	0	0	515	0	0
Fbxo7	60.2	0	0	0	135	194	181	0	0	92	0	0
2310057M21Rik	60.2	0	0	143	130	182	147	0	0	0	0	0
Hmgn2	60.0	0	113	0	88	155	0	0	0	244	0	0
Zfp668	59.8	0	0	123	119	186	170	0	0	0	0	0
Zfp646	59.8	0	0	123	119	186	170	0	0	0	0	0
Gpx4	59.8	0	145	0	0	131	322	0	0	0	0	0
Tnrc6a	59.4	0	0	0	0	177	144	0	0	273	0	0
Psmc2	59.3	0	0	0	151	157	0	131	0	154	0	0
H4c14	59.3	0	0	0	0	0	0	0	0	593	0	0
Dnajc2	59.3	0	0	0	151	157	0	131	0	154	0	0
Eif4e2	59.2	0	0	129	163	0	230	0	0	70	0	0
Txn2	59.1	0	0	0	169	119	0	149	0	154	0	0
Gadd45a	59.1	0	140	0	0	157	197	0	0	97	0	0
Fam214a	59.1	0	0	102	190	188	111	0	0	0	0	0
Tusc1	59.0	0	0	0	0	0	0	0	0	590	0	0
Zfp202	58.9	0	0	0	0	0	0	0	0	589	0	0
Olfr986	58.9	0	0	0	0	0	0	0	0	589	0	0
Epb41	58.9	0	111	0	0	198	0	0	0	280	0	0
Dnttip2	58.9	0	0	0	174	0	0	192	0	223	0	0
Mydgf	58.4	0	229	0	0	184	171	0	0	0	0	0
9230019H11Rik	58.3	0	122	0	0	0	0	0	86	0	375	0
Ubap1	58.2	0	161	0	115	145	161	0	0	0	0	0
Nfe2l2	58.2	0	0	0	151	143	115	0	0	173	0	0
Hdac4	58.2	0	0	0	0	239	0	164	179	0	0	0
Eif1	58.2	0	0	0	136	114	0	0	0	332	0	0
Ube2v1	58.0	0	0	0	0	0	79	70	0	431	0	0
Pacsin2	58.0	0	0	0	0	121	270	0	0	189	0	0
Foxa1	57.9	0	108	0	106	194	171	0	0	0	0	0
Zfp296	57.8	0	131	0	213	0	137	0	0	97	0	0
Vapa	57.8	0	132	0	89	0	205	152	0	0	0	0
Sp3	57.8	0	295	0	0	104	179	0	0	0	0	0
Gemin7	57.8	0	131	0	213	0	137	0	0	97	0	0
Anxa6	57.8	0	0	0	178	180	220	0	0	0	0	0
Lsm12	57.7	0	0	0	110	0	171	0	0	296	0	0
G6pc3	57.7	0	0	0	110	0	171	0	0	296	0	0
Zfp433	57.6	0	0	158	93	88	108	129	0	0	0	0
Srsf3	57.6	0	165	0	0	155	0	0	0	256	0	0
Gm32687	57.6	0	0	158	93	88	108	129	0	0	0	0
Gnat1	57.4	0	166	0	99	136	173	0	0	0	0	0
Nras	57.3	0	0	0	0	0	0	0	0	573	0	0
Zfp318	57.2	0	171	0	0	227	0	0	174	0	0	0
Zfp367	57.1	0	111	0	0	137	186	0	0	137	0	0
Khdrbs1	57.1	0	0	0	0	126	194	0	0	251	0	0
Ubxn8	56.9	0	0	0	0	0	94	0	0	475	0	0
Etv5	56.9	0	157	0	0	151	0	0	0	261	0	0
Senp1	56.5	0	0	0	138	107	115	95	0	110	0	0
Klra9	56.2	0	0	0	0	0	0	0	0	562	0	0
Larp4	56.1	0	0	0	0	90	100	0	0	371	0	0
Ftdc1	56.1	0	0	0	0	0	0	0	0	561	0	0
Slc26a11	56.0	0	118	0	0	122	173	0	0	147	0	0
Sgsh	56.0	0	118	0	0	122	173	0	0	147	0	0
Pusl1	56.0	0	0	0	0	0	0	0	0	560	0	0
Acap3	56.0	0	0	0	0	0	0	0	0	560	0	0
Kbtbd12	55.9	0	0	0	0	0	0	0	0	559	0	0
Fam219a	55.9	0	0	0	137	0	152	0	0	270	0	0
Dnaic1	55.9	0	0	0	137	0	152	0	0	270	0	0
Zfp770	55.7	0	0	0	138	111	137	0	0	171	0	0
Mcoln2	55.6	0	112	0	121	176	147	0	0	0	0	0
Gramd3	55.4	0	176	0	0	182	196	0	0	0	0	0
Fbxo40	55.4	0	0	0	0	0	0	0	0	554	0	0
Chn1	55.4	0	311	0	0	0	243	0	0	0	0	0
Eif3a	55.3	0	0	0	191	0	0	0	154	208	0	0
Avl9	55.3	0	0	0	0	96	257	0	71	129	0	0
Scyl1	55.2	0	0	0	176	205	0	0	0	171	0	0
Nek2	55.2	0	161	0	219	0	0	0	0	172	0	0
Ermard	55.2	0	0	0	0	0	0	0	0	552	0	0
Cmip	55.0	0	0	0	0	0	0	0	0	550	0	0
Zfp36	54.8	0	180	0	75	155	138	0	0	0	0	0
Dync1h1	54.7	0	116	0	0	0	0	0	0	431	0	0
Dipk1a	54.7	0	0	0	0	0	0	0	0	547	0	0
Ube2g2	54.6	0	138	82	0	210	0	0	0	116	0	0
Gata5	54.6	0	112	0	110	165	159	0	0	0	0	0
Cog3	54.6	0	0	0	0	0	0	0	0	546	0	0
Cpped1	54.5	0	0	0	188	0	147	100	0	110	0	0
Tomm34	54.4	0	208	0	0	224	0	0	0	112	0	0
Stk4	54.4	0	208	0	0	224	0	0	0	112	0	0
Npm1	54.4	0	0	0	0	172	92	111	0	169	0	0
Tfe3	54.3	0	114	0	127	99	203	0	0	0	0	0
Gatad2b	54.3	0	0	0	0	0	0	0	0	543	0	0
Cndp2	54.2	0	0	219	0	169	154	0	0	0	0	0
Napepld	54.1	0	0	0	93	0	139	0	0	309	0	0
Atrnl1	54.0	0	105	0	0	0	0	0	0	435	0	0
Dennd4c	53.6	0	0	0	135	119	282	0	0	0	0	0
Amn1	53.6	0	157	0	0	0	0	0	0	379	0	0
Sprr1a	53.4	0	111	0	0	122	301	0	0	0	0	0
Nsd3	53.4	0	190	0	85	152	107	0	0	0	0	0
Letm2	53.4	0	190	0	85	152	107	0	0	0	0	0
Slc39a3	53.3	0	0	89	0	235	209	0	0	0	0	0
Birc2	53.3	0	110	0	0	132	174	117	0	0	0	0
Rtel1	53.2	0	174	0	0	0	0	0	0	358	0	0
Lrriq3	53.2	0	0	0	0	233	168	0	0	131	0	0
Fpgt	53.2	0	0	0	0	233	168	0	0	131	0	0
Cfdp1	53.2	0	0	0	0	220	211	101	0	0	0	0
Trpv4	53.1	0	0	0	0	0	0	0	0	531	0	0
Timm9	53.1	0	141	0	0	131	142	0	0	117	0	0
Rpl14	53.1	0	0	0	0	0	0	0	0	531	0	0
2700049A03Rik	53.1	0	141	0	0	131	142	0	0	117	0	0
Pomp	53.0	0	92	0	77	0	0	0	0	361	0	0
Mrps28	53.0	0	0	0	0	122	0	0	0	408	0	0
Atg5	53.0	0	118	0	0	197	215	0	0	0	0	0
Ccser2	52.9	0	0	0	0	200	0	0	0	329	0	0
Ptpn21	52.7	0	0	132	0	112	0	190	0	93	0	0
Nox1	52.7	0	0	0	0	0	0	0	0	527	0	0
Gnb2	52.5	0	84	0	0	89	152	0	0	200	0	0
Champ1	52.5	0	0	0	0	210	0	154	0	161	0	0
Nanp	52.4	0	0	0	79	149	190	0	0	106	0	0
Togaram1	52.2	0	0	0	0	151	243	0	0	128	0	0
Klhl28	52.2	0	0	0	0	151	243	0	0	128	0	0
Aurkaip1	52.2	0	0	0	132	106	157	0	0	127	0	0
Sprr2a2	52.1	0	169	0	82	124	146	0	0	0	0	0
Sprr2a1	52.1	0	169	0	82	124	146	0	0	0	0	0
Rab5if	52.1	0	157	0	122	0	145	0	0	97	0	0
Zfp566	52.0	0	0	0	0	0	0	0	0	520	0	0
Zfp260	52.0	0	0	0	0	0	0	0	0	520	0	0
Rmnd5b	52.0	0	0	0	0	123	152	0	0	245	0	0
Prrc2c	52.0	0	138	0	0	210	172	0	0	0	0	0
Cry2	52.0	0	162	139	0	0	0	0	0	219	0	0
Uhrf1bp1l	51.8	0	0	94	0	124	157	0	0	143	0	0
Vgll4	51.7	0	97	0	0	99	124	0	0	197	0	0
Golga3	51.7	0	0	146	182	0	0	109	0	80	0	0
Ptpn12	51.6	0	0	0	0	0	0	0	0	516	0	0
Pet117	51.5	0	198	0	215	0	0	0	0	102	0	0
Kat14	51.5	0	198	0	215	0	0	0	0	102	0	0
Gorasp2	51.5	0	0	0	0	143	100	0	0	272	0	0
Rai1	51.4	0	0	0	0	0	94	0	0	420	0	0
Agtrap	51.4	0	0	0	183	180	151	0	0	0	0	0
Lrpprc	51.3	0	134	0	129	146	0	0	104	0	0	0
Ttc3	51.2	0	0	0	124	279	0	0	0	109	0	0
Pigp	51.2	0	0	0	124	279	0	0	0	109	0	0
Poldip3	51.1	0	0	0	0	0	0	0	0	511	0	0
Eefsec	51.1	0	0	0	129	117	108	0	0	157	0	0
Bnip3	51.0	0	113	0	0	108	182	0	0	107	0	0
Srsf9	50.9	0	0	0	0	0	0	0	0	509	0	0
Urgcp	50.8	0	177	0	124	0	0	0	0	207	0	0
Sema4b	50.8	0	0	0	146	182	180	0	0	0	0	0
Resf1	50.8	0	0	0	83	0	0	0	0	425	0	0
Synrg	50.7	0	124	0	146	237	0	0	0	0	0	0
Capn10	50.7	0	94	0	0	134	0	0	0	279	0	0
Aar2	50.7	0	186	0	0	215	106	0	0	0	0	0
Zfand4	50.6	0	0	0	0	0	0	0	0	506	0	0
Taf4	50.5	0	0	0	0	0	0	0	0	505	0	0
Fbh1	50.5	0	180	131	105	89	0	0	0	0	0	0
Ankrd16	50.5	0	180	131	105	89	0	0	0	0	0	0
Mynn	50.3	0	0	0	0	177	186	0	0	140	0	0
C1qbp	50.3	0	0	0	139	183	181	0	0	0	0	0
Actrt3	50.3	0	0	0	0	177	186	0	0	140	0	0
Mrto4	50.2	0	0	0	0	109	141	121	0	131	0	0
Iqce	50.2	0	140	0	79	0	173	0	0	110	0	0
Gtf3c6	50.2	0	0	0	0	0	0	0	0	502	0	0
Emc1	50.2	0	0	0	0	109	141	121	0	131	0	0
Dnmt1	50.2	0	0	0	0	0	0	0	0	502	0	0
Brat1	50.2	0	140	0	79	0	173	0	0	110	0	0
Aaas	50.2	0	0	0	0	150	187	0	0	165	0	0
Parp2	50.1	0	0	0	205	157	0	0	0	139	0	0
Cry1	50.0	0	225	0	106	0	169	0	0	0	0	0
Ccdc33	49.9	0	117	0	0	79	303	0	0	0	0	0
0610040J01Rik	49.9	0	102	0	150	0	168	79	0	0	0	0
Ywhag	49.8	0	126	0	0	158	0	0	0	214	0	0
Scand1	49.8	0	141	0	163	0	89	105	0	0	0	0
Hnrnpa3	49.8	0	0	0	0	170	187	0	0	141	0	0
Cnbd2	49.8	0	141	0	163	0	89	105	0	0	0	0
Rnh1	49.7	0	108	0	0	125	161	0	0	103	0	0
Anapc5	49.7	0	0	0	0	0	110	0	0	387	0	0
Pgrmc2	49.6	0	0	0	0	105	0	0	0	391	0	0
Tspan10	49.4	0	0	0	0	0	0	0	0	494	0	0
Hnrnpf	49.2	0	0	85	0	127	119	0	0	161	0	0
Enc1	49.2	0	122	0	0	255	115	0	0	0	0	0
Rph3al	49.1	0	0	0	0	105	0	0	0	386	0	0
Pts	49.1	0	0	0	0	0	0	0	0	491	0	0
Ddx42	48.9	0	0	0	0	0	0	0	0	489	0	0
Ccdc47	48.9	0	0	0	0	0	0	0	0	489	0	0
Nop2	48.8	0	103	0	0	238	147	0	0	0	0	0
Mtif2	48.8	0	0	0	99	149	119	0	0	121	0	0
Fam50a	48.8	0	0	0	0	135	200	153	0	0	0	0
Prtg	48.7	0	247	0	0	88	152	0	0	0	0	0
Gpr84	48.6	0	0	0	0	0	0	0	0	486	0	0
Cftr	48.6	0	0	0	0	232	254	0	0	0	0	0
Ccdc9	48.6	0	0	0	177	116	0	0	0	193	0	0
Mrpl23	48.4	0	129	0	0	0	107	0	0	248	0	0
Adck1	48.4	0	107	0	200	177	0	0	0	0	0	0
Cln8	48.3	0	0	0	0	0	0	0	0	483	0	0
Mef2d	48.1	0	81	0	0	96	119	0	0	185	0	0
Zwint	48.0	0	136	0	0	113	0	0	0	231	0	0
H2bc21	48.0	0	0	0	0	0	0	0	0	480	0	0
H2ac21	48.0	0	0	0	0	0	0	0	0	480	0	0
H2ac20	48.0	0	0	0	0	0	0	0	0	480	0	0
1190007I07Rik	48.0	0	147	0	203	0	130	0	0	0	0	0
Tanc1	47.9	0	105	0	0	110	0	0	0	264	0	0
Lmnb1	47.9	0	0	0	0	203	0	110	0	166	0	0
Txlnb	47.8	0	0	0	0	0	0	0	0	478	0	0
Seh1l	47.8	0	0	0	0	0	0	0	0	478	0	0
Fam89b	47.7	0	0	0	0	140	113	0	0	224	0	0
Ehbp1l1	47.7	0	0	0	0	140	113	0	0	224	0	0
Kat5	47.6	0	166	0	190	120	0	0	0	0	0	0
H4c18	47.5	0	0	0	0	0	0	0	0	475	0	0
H4bc24	47.5	0	0	0	0	0	0	0	0	475	0	0
H2bc23	47.5	0	0	0	0	0	0	0	0	475	0	0
H2ac24	47.5	0	0	0	0	0	0	0	0	475	0	0
H2ac23	47.5	0	0	0	0	0	0	0	0	475	0	0
Pnpla8	47.3	0	0	0	0	0	0	0	0	473	0	0
Psmd14	47.1	0	147	0	0	0	203	0	0	121	0	0
Edc4	47.1	0	0	0	0	237	126	0	0	108	0	0
Pole3	47.0	0	0	0	0	135	125	0	0	210	0	0
Nepro	47.0	0	0	77	0	0	0	0	0	393	0	0
Srpk2	46.9	0	0	0	0	0	0	0	0	469	0	0
Psma2	46.9	0	0	121	95	85	0	0	0	168	0	0
Mrpl32	46.9	0	0	121	95	85	0	0	0	168	0	0
Xrra1	46.6	0	0	0	132	156	178	0	0	0	0	0
Spcs2	46.6	0	0	0	132	156	178	0	0	0	0	0
Clec2i	46.5	0	0	0	0	0	0	0	0	465	0	0
BC035044	46.5	0	0	0	0	0	0	0	0	465	0	0
Slc22a12	46.2	0	0	0	133	138	0	0	0	191	0	0
Gjb1	46.2	0	111	0	0	161	190	0	0	0	0	0
Fadd	46.2	0	0	0	138	131	193	0	0	0	0	0
Ralb	46.1	0	0	155	188	118	0	0	0	0	0	0
Ppan	46.1	0	0	0	0	0	0	0	0	461	0	0
Riok2	46.0	0	0	0	0	0	99	0	0	361	0	0
Ogfod2	46.0	0	0	0	171	0	200	0	0	89	0	0
Adh5	46.0	0	0	0	0	0	0	0	0	460	0	0
Naaa	45.9	0	225	0	0	0	234	0	0	0	0	0
Hoxa7	45.9	0	0	187	272	0	0	0	0	0	0	0
Hoxa3	45.9	0	0	187	272	0	0	0	0	0	0	0
Rmi2	45.8	0	123	0	0	0	0	0	0	335	0	0
Hsd17b7	45.8	0	0	0	0	174	160	0	0	124	0	0
Dock9	45.8	0	0	115	84	164	95	0	0	0	0	0
Lsg1	45.7	0	0	0	0	192	106	0	0	159	0	0
Birc6	45.7	0	142	0	0	0	124	0	0	191	0	0
Sh3gl1	45.6	0	305	0	0	0	0	0	0	151	0	0
Chaf1a	45.6	0	305	0	0	0	0	0	0	151	0	0
Rgl1	45.5	0	219	0	0	0	236	0	0	0	0	0
Arpc5	45.5	0	219	0	0	0	236	0	0	0	0	0
Angpt1	45.5	0	0	0	0	0	0	0	0	455	0	0
Gna13	45.4	0	0	0	0	247	90	0	0	117	0	0
Rbbp6	45.3	0	0	102	0	196	0	0	0	155	0	0
Gm11213	45.2	0	0	0	0	0	0	0	0	0	452	0
U2surp	45.1	0	0	0	147	0	87	0	0	217	0	0
Akap10	45.1	0	0	0	0	134	137	180	0	0	0	0
Rcn2	45.0	0	0	0	0	0	0	0	0	450	0	0
Mnat1	45.0	0	0	0	0	172	123	155	0	0	0	0
H3c13	45.0	0	0	0	0	0	0	85	0	365	0	0
H2bc18	45.0	0	0	0	0	0	0	85	0	365	0	0
Xpnpep3	44.7	0	0	0	0	134	0	0	0	313	0	0
St13	44.7	0	0	0	0	134	0	0	0	313	0	0
Cct8	44.7	0	0	0	0	0	0	0	0	447	0	0
Psmb4	44.4	0	157	0	0	0	132	0	0	155	0	0
Mrps35	44.4	0	0	0	0	0	0	0	0	444	0	0
Chrac1	44.4	0	0	0	0	0	0	0	0	444	0	0
Rnaseh2a	44.3	0	0	0	0	127	0	0	0	316	0	0
Prdx2	44.3	0	0	0	0	127	0	0	0	316	0	0
Hmgcl	44.3	0	0	0	127	159	157	0	0	0	0	0
Gm7072	44.3	0	154	0	0	145	144	0	0	0	0	0
Spryd7	44.2	0	0	0	95	74	145	0	0	128	0	0
Lamb3	44.2	0	164	0	0	154	124	0	0	0	0	0
Gdf15	44.2	0	0	0	0	0	0	0	0	442	0	0
Rpl21	44.1	0	0	0	0	0	0	0	0	441	0	0
Dipk2a	44.0	0	0	0	0	0	0	0	0	440	0	0
Dhx33	44.0	0	0	0	0	153	155	132	0	0	0	0
Bcas2	44.0	0	0	0	136	173	131	0	0	0	0	0
Gigyf2	43.9	0	0	0	217	0	222	0	0	0	0	0
Gabarapl2	43.9	0	0	0	0	107	201	0	0	131	0	0
Mief2	43.7	0	0	0	188	99	150	0	0	0	0	0
Flii	43.7	0	0	0	188	99	150	0	0	0	0	0
Spta1	43.6	0	0	0	0	0	0	0	0	436	0	0
Selplg	43.6	0	0	0	0	0	0	0	0	436	0	0
Klhl22	43.6	0	0	0	0	0	436	0	0	0	0	0
Hjurp	43.6	0	0	102	92	0	0	0	0	242	0	0
A730008H23Rik	43.6	0	0	102	92	0	0	0	0	242	0	0
Usp30	43.5	0	0	0	0	266	0	169	0	0	0	0
Hgs	43.5	0	0	0	118	106	70	0	0	141	0	0
Arl16	43.5	0	0	0	118	106	70	0	0	141	0	0
Tsen15	43.3	0	0	88	0	177	168	0	0	0	0	0
Clpx	43.3	0	161	0	0	0	103	0	0	169	0	0
Rab24	43.2	0	0	0	0	197	235	0	0	0	0	0
Prelid1	43.2	0	0	0	0	197	235	0	0	0	0	0
BC005537	43.2	0	0	0	0	0	94	0	0	338	0	0
Ypel2	43.0	0	0	0	0	110	0	0	0	320	0	0
Neu1	43.0	0	0	0	144	170	116	0	0	0	0	0
Nop58	42.9	0	0	0	0	0	0	0	0	429	0	0
Gpatch3	42.8	0	0	0	185	0	173	0	0	70	0	0
Ccnt1	42.8	0	133	0	0	0	0	0	0	295	0	0
4930415O20Rik	42.8	0	133	0	0	0	0	0	0	295	0	0
Mt4	42.7	0	137	0	0	125	165	0	0	0	0	0
Hsd17b2	42.6	0	84	0	0	235	107	0	0	0	0	0
Ttll12	42.5	0	166	0	0	106	153	0	0	0	0	0
Trim38	42.5	0	0	0	0	0	0	0	0	425	0	0
Prelid2	42.5	0	0	0	0	0	0	0	0	425	0	0
Pop7	42.5	0	0	0	0	0	187	0	0	238	0	0
Havcr2	42.5	0	0	0	0	0	0	0	0	425	0	0
1810058I24Rik	42.5	0	131	0	0	0	0	0	0	294	0	0
Zar1l	42.4	0	0	0	0	0	0	0	0	424	0	0
Spty2d1	42.4	0	0	0	0	0	173	0	0	251	0	0
Brca2	42.4	0	0	0	0	0	0	0	0	424	0	0
Upf3a	42.3	0	143	0	0	105	0	0	0	175	0	0
Mllt11	42.3	0	0	0	0	0	107	0	0	316	0	0
Intu	42.3	0	148	0	0	145	0	130	0	0	0	0
Cdc42se1	42.3	0	0	0	0	0	107	0	0	316	0	0
Zc3hc1	42.1	0	0	0	0	77	136	104	0	104	0	0
H2ax	42.1	0	0	0	0	0	0	0	0	421	0	0
Gtse1	42.1	0	0	0	0	118	200	0	0	103	0	0
Nrp2	42.0	0	0	90	174	0	156	0	0	0	0	0
Alpk3	42.0	0	0	0	0	0	0	0	0	420	0	0
Sec61a2	41.8	0	190	0	0	0	228	0	0	0	0	0
Rsrc2	41.8	0	0	0	0	0	0	0	0	418	0	0
Mrpl53	41.8	0	128	0	0	189	101	0	0	0	0	0
Kntc1	41.8	0	0	0	0	0	0	0	0	418	0	0
Rlf	41.7	0	148	0	133	0	0	0	0	136	0	0
Ndufaf7	41.7	0	0	192	97	0	0	0	0	128	0	0
Nagk	41.7	0	0	0	97	192	128	0	0	0	0	0
Map1lc3b	41.7	0	0	0	0	0	146	179	0	92	0	0
Cebpz	41.7	0	0	192	97	0	0	0	0	128	0	0
Stk40	41.6	0	0	0	0	0	105	0	0	311	0	0
Zfp11	41.4	0	0	0	149	0	126	139	0	0	0	0
Tmem68	41.4	0	0	143	154	0	117	0	0	0	0	0
Tgs1	41.4	0	0	143	154	0	117	0	0	0	0	0
Plac1	41.4	0	0	0	0	132	119	0	0	163	0	0
Gar1	41.4	0	0	92	0	0	0	0	0	322	0	0
Adsl	41.4	0	0	0	0	0	0	0	0	414	0	0
Tpra1	41.3	0	0	0	0	85	194	0	0	134	0	0
Mcm2	41.3	0	0	0	0	85	194	0	0	134	0	0
Gcnt1	41.3	0	194	0	99	0	120	0	0	0	0	0
Tbc1d20	41.2	0	0	0	0	198	214	0	0	0	0	0
U2af2	41.1	0	0	0	93	108	77	0	0	133	0	0
Mphosph9	41.1	0	0	0	0	0	0	0	0	411	0	0
Gtf2h4	41.1	0	246	0	0	0	165	0	0	0	0	0
2810006K23Rik	41.1	0	0	0	0	0	0	0	0	411	0	0
Rae1	40.9	0	0	0	0	0	0	0	0	409	0	0
Exoc2	40.9	0	0	0	0	0	112	0	0	297	0	0
Vps13b	40.8	0	0	122	109	0	99	78	0	0	0	0
Tuft1	40.8	0	0	0	0	160	0	0	0	248	0	0
Pdss1	40.8	0	123	0	153	0	0	0	0	132	0	0
Olfr12	40.8	0	0	0	0	135	273	0	0	0	0	0
Zfp672	40.7	0	72	0	131	0	204	0	0	0	0	0
Slc37a3	40.7	0	186	0	131	0	0	90	0	0	0	0
Sh3bp5l	40.7	0	72	0	131	0	204	0	0	0	0	0
Rab19	40.7	0	186	0	131	0	0	90	0	0	0	0
Bsg	40.7	0	0	0	0	209	198	0	0	0	0	0
Sec62	40.6	0	0	0	143	0	82	0	0	181	0	0
Rnpc3	40.6	0	0	0	0	0	0	0	0	406	0	0
Rbbp5	40.6	0	0	71	150	0	185	0	0	0	0	0
Raver1	40.6	0	0	0	0	0	0	0	0	406	0	0
Rnf34	40.5	0	0	0	0	0	0	0	0	405	0	0
Snx15	40.4	0	0	0	0	0	0	0	0	404	0	0
Mlxip	40.4	0	0	0	0	0	0	0	0	404	0	0
Slc22a23	40.3	0	223	0	0	0	180	0	0	0	0	0
Sh2b3	40.3	0	0	0	0	0	0	0	0	403	0	0
Spg11	40.0	0	0	0	0	0	0	0	0	400	0	0
Slc16a6	40.0	0	0	0	0	0	0	0	0	400	0	0
Arsg	40.0	0	0	0	0	0	0	0	0	400	0	0
Snx10	39.9	0	142	134	123	0	0	0	0	0	0	0
Prkacb	39.9	0	0	0	159	171	0	0	0	69	0	0
Cebpb	39.9	0	137	0	0	0	0	124	0	138	0	0
4933430I17Rik	39.9	0	0	0	0	135	125	0	0	139	0	0
Rab21	39.8	0	246	0	152	0	0	0	0	0	0	0
Gyg	39.8	0	0	0	84	122	86	0	0	106	0	0
Rad51ap1	39.7	0	0	0	0	82	194	0	0	121	0	0
Gm21761	39.7	0	0	0	0	0	0	0	0	397	0	0
D6Wsu163e	39.7	0	0	0	0	82	194	0	0	121	0	0
Rpl22	39.6	0	0	0	0	0	0	0	0	396	0	0
Mrpl54	39.6	0	0	0	0	0	0	0	0	396	0	0
Apba3	39.6	0	0	0	0	0	0	0	0	396	0	0
Car5a	39.5	0	0	0	216	179	0	0	0	0	0	0
Idh3a	39.4	0	0	0	0	0	0	0	0	394	0	0
H2bc12	39.4	0	0	0	0	0	0	0	0	394	0	0
H2ac12	39.4	0	0	0	0	0	0	0	0	394	0	0
Rpf1	39.3	0	0	0	0	0	0	0	0	393	0	0
Ncor2	39.3	0	0	0	0	0	0	0	0	393	0	0
H3c15	39.3	0	0	0	0	0	0	0	0	393	0	0
H3c14	39.3	0	0	0	0	0	0	0	0	393	0	0
H2ac19	39.3	0	0	0	0	0	0	0	0	393	0	0
H2ac18	39.3	0	0	0	0	0	0	0	0	393	0	0
Nrd1	39.1	0	80	0	122	0	80	0	0	109	0	0
Gtf2h2	39.0	0	0	85	0	0	205	0	0	100	0	0
Ccnc	39.0	0	0	0	177	0	137	0	0	76	0	0
9130019O22Rik	38.9	0	0	0	0	123	155	0	0	111	0	0
Mettl23	38.8	0	0	0	0	81	94	0	0	213	0	0
Zfp523	38.7	0	0	0	0	0	0	0	0	387	0	0
Fkbpl	38.7	0	153	0	0	0	115	0	0	119	0	0
Rnf44	38.6	0	155	0	0	93	0	0	0	138	0	0
Mettl1	38.6	0	0	0	0	0	0	0	0	386	0	0
Eef1akmt3	38.6	0	0	0	0	0	0	0	0	386	0	0
Zfp407	38.5	0	0	0	97	0	104	0	0	184	0	0
Rab11fip1	38.5	0	0	0	144	0	241	0	0	0	0	0
Eif4a3	38.5	0	0	0	0	0	0	0	0	385	0	0
Ttc12	38.4	0	0	0	0	0	0	0	0	384	0	0
Nnt	38.4	0	127	0	0	121	136	0	0	0	0	0
Maz	38.4	0	138	0	144	102	0	0	0	0	0	0
Kcnab2	38.4	0	0	0	0	0	0	0	0	384	0	0
Matr3	38.3	0	0	0	129	0	142	0	0	112	0	0
Arhgap32	38.3	0	0	0	0	0	0	0	0	383	0	0
Map1a	38.2	0	0	0	0	0	0	0	0	382	0	0
Rbm3	38.1	0	0	0	122	0	0	0	0	259	0	0
H2bc6	38.1	0	0	0	0	0	0	0	0	381	0	0
H1f4	38.1	0	0	0	0	0	0	0	0	381	0	0
Abhd4	38.1	0	0	0	109	185	0	0	0	87	0	0
Acox2	38.0	0	139	0	86	155	0	0	0	0	0	0
Sharpin	37.9	0	0	0	119	131	0	129	0	0	0	0
Maf1	37.9	0	0	0	119	131	0	129	0	0	0	0
Gm35339	37.9	0	0	0	119	131	0	129	0	0	0	0
Arsa	37.9	0	127	0	0	147	0	0	0	105	0	0
Spatc1	37.8	0	0	0	0	143	235	0	0	0	0	0
Slc7a1	37.8	0	0	0	0	0	0	0	0	378	0	0
