Target_genes	Fos|Average	SRX10247302|ASZ001	SRX10247303|ASZ001	SRX671652|Cortical_neuron	SRX671653|Cortical_neuron	SRX671656|Cortical_neuron	SRX671657|Cortical_neuron	SRX671660|Cortical_neuron	SRX671661|Cortical_neuron	SRX671665|Cortical_neuron	SRX671666|Cortical_neuron	SRX671670|Cortical_neuron	SRX671673|Cortical_neuron	SRX671677|Cortical_neuron	SRX671680|Cortical_neuron	SRX2901285|Macrophages	SRX2901286|Macrophages	SRX2901287|Macrophages	SRX2901288|Macrophages	SRX2901289|Macrophages	SRX310209|Mast_Cells	SRX13792898|MEF	SRX13792899|MEF	SRX13792924|MEF	SRX13792925|MEF	SRX13792950|MEF	SRX13792951|MEF	SRX13792980|MEF	SRX13792981|MEF	SRX13792982|MEF	SRX1839213|MEF	SRX1839214|MEF	SRX1839215|MEF	SRX1839216|MEF	SRX1839217|MEF	SRX1839218|MEF	SRX1839269|MEF	SRX1839270|MEF	SRX2254725|Mesenchymal_stem_cells	SRX18326690|Microglia	SRX18326692|Microglia	SRX18326694|Microglia	SRX18326696|Microglia	SRX3730270|Trophoblast_stem_cells	SRX3730288|Trophoblast_stem_cells	STRING
Gm12250	148.204545	0	0	0	0	0	257	0	0	0	0	141	0	0	0	915	894	822	674	715	0	0	0	0	0	0	0	0	0	304	0	0	397	357	0	0	0	380	0	157	171	193	0	0	144	0
Slc9a3r2	148.136364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	470	300	319	590	598	620	0	0	1046	0	0	460	335	0	0	0	311	0	146	474	263	343	0	128	0
Sacm1l	148.113636	0	0	191	1759	444	1212	100	0	0	165	142	231	0	0	0	0	0	0	0	400	0	0	0	0	69	0	0	0	172	249	0	0	0	0	0	0	156	254	131	160	197	0	485	0	0
Myh9	147.795455	0	0	292	0	172	0	375	0	272	0	424	631	133	255	0	0	0	0	0	0	239	201	158	342	432	430	0	0	389	516	0	114	94	0	0	0	303	0	148	251	153	179	0	0	0
Amn1	147.795455	0	0	0	0	0	0	0	0	0	0	0	76	0	0	207	259	431	475	292	484	0	0	168	219	273	244	0	0	631	0	0	195	224	0	0	0	296	151	322	423	439	308	0	386	0
Ier2	147.727273	0	0	0	147	188	0	0	0	0	0	0	221	0	0	227	0	165	298	290	122	249	207	218	276	342	351	0	0	581	219	0	390	189	0	0	0	326	0	340	442	459	253	0	0	0
Ppwd1	147.704545	0	0	593	0	776	0	477	0	392	0	948	1168	0	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	0	154	283	340	199	0	0	0
Cenpk	147.704545	0	0	593	0	776	0	477	0	392	0	948	1168	0	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	0	154	283	340	199	0	0	0
Fam214a	147.636364	0	0	0	0	0	175	0	0	0	278	231	0	169	0	313	352	433	316	354	340	249	308	152	242	203	271	0	0	563	0	0	223	283	0	0	0	393	0	142	183	191	132	0	0	0
Pik3c2a	147.568182	0	85	0	0	0	0	0	0	0	0	112	0	0	0	444	189	642	766	565	107	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	115	0	575	907	712	470	266	377	0
Zfp775	147.545455	0	0	484	0	368	372	511	0	220	0	549	795	0	346	0	0	0	236	0	0	165	155	0	252	109	187	0	0	315	507	0	0	114	0	0	0	280	246	0	160	121	0	0	0	0
N4bp3	147.363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	813	843	599	644	207	110	0	0	195	282	190	0	0	408	0	0	0	0	0	0	0	193	0	166	153	233	138	333	623	0
Dph1	147.340909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	156	234	226	181	183	234	400	233	484	516	490	0	0	820	0	0	440	445	0	0	0	443	0	113	226	216	143	171	0	0
Cfap54	147.181818	0	0	0	0	386	615	0	0	141	205	315	0	354	0	370	303	630	411	442	0	128	0	0	220	284	274	0	0	343	0	0	400	266	0	0	0	389	0	0	0	0	0	0	0	0
Mmp28	147.159091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	559	187	333	444	391	0	0	891	0	0	420	387	0	0	89	603	249	172	242	188	0	169	686	0
Slc66a2	147.045455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	127	181	0	452	352	262	601	629	615	0	0	868	0	0	479	345	0	0	109	671	0	108	111	118	0	0	333	0
Cdca8	147.045455	0	0	348	0	341	0	579	0	293	0	682	981	663	501	0	0	0	134	0	0	0	0	0	0	0	136	0	0	0	234	0	124	0	0	0	0	0	0	168	510	529	247	0	0	0
9930104L06Rik	147.045455	0	0	348	0	341	0	579	0	293	0	682	981	663	501	0	0	0	134	0	0	0	0	0	0	0	136	0	0	0	234	0	124	0	0	0	0	0	0	168	510	529	247	0	0	0
Rps9	146.977273	0	0	0	0	105	76	0	0	0	0	0	74	0	0	476	333	507	507	526	393	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	93	0	598	1101	654	529	0	347	0
Ifit3b	146.954545	0	0	0	0	0	0	0	0	0	0	0	0	185	0	414	313	725	905	774	0	0	0	0	98	0	0	0	0	167	0	0	320	367	0	0	0	104	0	460	672	540	422	0	0	0
Naa35	146.931818	0	0	0	0	0	107	0	0	0	0	0	0	0	0	325	632	753	863	653	118	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	111	0	388	740	861	610	0	124	0
Pcmtd1	146.681818	0	0	0	0	155	205	0	0	0	0	118	0	0	0	375	395	538	463	470	402	155	0	0	154	240	213	0	0	416	0	0	85	141	0	0	0	0	218	254	291	359	349	287	171	0
Rela	146.590909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	524	685	481	449	201	165	106	0	239	250	259	0	0	526	0	0	161	132	0	0	0	202	0	341	560	466	336	0	0	0
Trim69	146.568182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	338	661	697	571	110	0	0	0	180	128	0	0	0	139	0	0	0	0	0	0	0	181	0	639	1046	781	451	0	107	0
Ubd	146.477273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	616	338	496	701	681	0	0	807	0	0	433	587	0	0	0	492	607	0	0	0	0	0	315	0
Olfr94	146.477273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	616	338	496	701	681	0	0	807	0	0	433	587	0	0	0	492	607	0	0	0	0	0	315	0
Aox1	146.431818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	133	390	469	243	216	333	351	174	554	442	517	0	0	865	0	0	380	257	0	0	90	682	214	0	0	0	0	0	0	0
Il1rn	146.318182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	368	649	702	627	0	0	0	0	221	219	195	0	0	394	0	0	230	169	0	0	0	333	0	419	523	615	298	0	277	0
Vasp	146.295455	0	0	0	0	90	0	0	0	0	0	126	0	0	0	0	0	187	204	0	0	184	216	0	348	344	351	0	0	592	0	0	448	270	0	0	0	394	0	499	702	683	306	251	242	0
Cstl1	146.022727	0	0	0	0	113	282	0	0	0	227	142	0	0	0	453	403	608	542	440	0	257	0	131	355	362	300	0	0	458	0	0	276	370	0	0	0	310	0	0	111	156	0	0	129	0
Gm4861	145.863636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	140	275	227	246	0	260	474	339	483	485	431	0	0	803	0	0	427	474	0	0	119	685	259	0	0	0	0	0	187	0
Prkn	145.590909	0	0	0	0	132	151	0	0	0	0	119	0	0	0	394	420	591	493	446	0	168	208	0	303	291	275	0	0	611	0	0	335	219	0	0	0	207	0	163	224	346	210	0	100	0
Pacrg	145.590909	0	0	0	0	132	151	0	0	0	0	119	0	0	0	394	420	591	493	446	0	168	208	0	303	291	275	0	0	611	0	0	335	219	0	0	0	207	0	163	224	346	210	0	100	0
Opn3	145.545455	0	87	0	0	0	0	0	0	0	0	0	0	0	0	741	1032	1027	670	770	526	0	0	0	0	0	159	0	0	0	0	0	142	0	0	0	0	0	151	102	224	159	187	205	222	0
Chml	145.545455	0	87	0	0	0	0	0	0	0	0	0	0	0	0	741	1032	1027	670	770	526	0	0	0	0	0	159	0	0	0	0	0	142	0	0	0	0	0	151	102	224	159	187	205	222	0
Mospd3	145.431818	0	0	506	0	436	0	651	0	423	0	664	870	733	379	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	438	0	0	0	0	0	0	0	0	277	267	324	241	0	0	0
Thrap3	145.409091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	278	267	123	275	1005	0	124	0	154	201	122	0	0	478	0	0	176	107	0	0	0	188	126	174	357	386	221	546	915	0
Tmx2	145.090909	0	0	274	0	305	0	485	0	646	0	783	1042	741	498	0	0	0	0	0	0	0	0	0	179	0	583	0	0	0	173	0	0	0	0	0	0	0	0	105	238	216	116	0	0	0
Med19	145.090909	0	0	274	0	305	0	485	0	646	0	783	1042	741	498	0	0	0	0	0	0	0	0	0	179	0	583	0	0	0	173	0	0	0	0	0	0	0	0	105	238	216	116	0	0	0
Dhx16	144.977273	0	0	0	0	216	304	0	0	0	163	130	0	0	0	289	396	522	432	345	277	205	0	0	148	231	178	0	0	334	0	0	148	197	0	0	0	202	0	291	537	508	326	0	0	0
Ndufs8	144.954545	0	65	263	0	210	0	390	0	243	0	362	393	483	285	207	264	305	193	304	0	0	0	0	0	0	121	0	0	0	489	0	0	0	0	0	0	0	0	303	580	595	323	0	0	0
Adora2a	144.909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	651	891	1151	697	704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	539	649	289	0	0	0
Cd300lf	144.704545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	638	431	270	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	1526	933	721	0	156	0
Sh2d5	144.659091	0	0	0	0	126	271	0	0	0	166	139	0	189	0	0	0	0	0	0	0	0	133	196	475	493	500	0	0	1069	0	0	375	403	0	0	181	1233	0	0	135	0	0	0	281	0
Wbp4	144.590909	0	0	325	2245	342	1304	0	0	0	290	0	0	0	0	0	0	0	0	97	354	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	169	175	333	252	108	239	0	0
Commd9	144.590909	0	0	0	0	0	130	0	0	0	0	0	0	0	0	301	566	478	338	324	968	0	0	0	0	123	0	0	0	205	0	0	258	135	0	0	0	82	0	404	602	666	378	99	305	0
Os9	144.568182	0	0	378	0	481	0	476	0	400	0	969	1398	786	481	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	402	0	159	0	0	0	0	0	0	0	0	166	0	0	0	0
Brms1	144.431818	0	0	234	2068	306	1588	0	96	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	114	186	170	0	0	0	0	0	152	0	0	0	0	0	176	152	275	269	129	286	0	0
Arhgef19	144.431818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	387	1006	938	1079	0	147	0	0	131	117	188	0	0	240	0	0	461	287	0	0	0	104	0	142	429	280	140	0	0	0
6430548M08Rik	144.431818	0	114	0	0	0	116	0	0	0	0	0	0	0	0	263	331	325	259	268	321	179	0	121	290	203	231	0	0	543	0	0	157	194	0	0	0	270	0	421	695	493	424	0	137	0
Tinagl1	144.409091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	300	397	552	633	696	0	0	932	0	0	608	388	0	0	0	509	226	0	0	0	0	276	305	0
AI987944	144.409091	0	0	340	0	541	0	418	0	422	0	979	1134	1037	663	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	402	0	124	0	0	0	0	0	0	0	84	126	0	0	0	0
Glrx	144.272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	477	594	478	424	774	131	0	0	148	138	137	0	0	474	0	0	99	0	0	0	0	208	115	311	534	368	223	0	245	0
Ddost	144.0	154	87	215	0	194	0	196	0	178	0	468	647	298	317	0	0	0	0	0	223	0	0	0	0	112	174	0	0	0	326	0	0	0	0	0	0	0	169	417	884	721	556	0	0	0
9930111J21Rik2	143.909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	281	382	537	305	0	207	170	205	532	267	387	0	0	559	0	0	296	215	0	0	0	221	0	342	444	354	269	0	0	0
Irf5	143.863636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674	802	1023	724	710	279	0	0	0	0	0	0	0	0	0	0	0	188	114	0	0	0	0	0	392	667	448	309	0	0	0
Cnih4	143.863636	0	0	0	0	116	93	0	0	0	0	0	0	0	0	340	449	495	383	333	139	239	184	0	330	427	376	0	0	437	0	0	222	332	0	0	0	327	0	178	236	300	125	269	0	0
Xpot	143.818182	0	171	0	0	112	119	0	0	0	0	111	0	0	0	188	126	191	250	306	284	283	188	139	179	443	300	0	0	652	0	0	178	163	0	0	0	295	0	277	341	333	200	182	317	0
Ptprs	143.818182	0	69	0	0	0	0	0	0	0	0	0	0	0	0	203	394	642	513	542	470	85	0	0	183	127	175	0	0	548	0	0	0	118	0	0	98	438	264	289	403	330	204	142	91	0
Kctd7	143.75	0	0	212	0	155	0	350	0	278	0	288	690	359	332	402	396	464	465	558	0	0	0	0	0	132	98	0	0	162	229	0	0	0	0	0	0	0	172	73	262	153	95	0	0	0
Clcf1	143.704545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	162	341	420	407	0	224	177	252	386	340	532	0	0	644	0	0	255	226	0	0	78	538	126	205	413	335	165	0	0	0
Pltp	143.659091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	523	925	743	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	649	974	738	631	0	0	0
Fxyd5	143.659091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	319	588	412	298	381	0	0	138	384	351	395	0	0	434	0	0	158	0	0	0	0	398	0	147	450	199	200	339	465	0
Urah	143.590909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	725	1242	926	686	0	0	0	0	226	205	308	0	0	508	0	0	104	0	0	0	0	500	0	0	0	0	0	0	0	0
Sh2d1b1	143.590909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	175	300	346	236	288	0	0	0	394	348	304	0	0	683	0	0	505	371	0	0	0	609	0	164	238	277	0	0	811	0
Zdhhc16	143.5	0	0	252	0	195	0	241	0	189	0	412	706	395	249	0	0	154	0	117	0	247	159	0	147	181	193	0	0	327	339	0	169	225	0	0	0	0	0	244	323	425	425	0	0	0
Slc25a19	143.5	0	133	0	141	0	0	180	0	0	0	179	185	0	0	147	242	507	622	450	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	750	918	748	632	0	304	0
Exosc1	143.5	0	0	252	0	195	0	241	0	189	0	412	706	395	249	0	0	154	0	117	0	247	159	0	147	181	193	0	0	327	339	0	169	225	0	0	0	0	0	244	323	425	425	0	0	0
Nlrp1b	143.363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	368	561	793	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681	1183	1170	698	0	0	0
Apc	143.363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	178	150	0	389	322	399	620	660	575	0	0	712	0	0	357	258	0	0	127	450	0	143	156	163	157	0	359	0
Ctnnal1	143.204545	0	232	0	0	242	337	0	0	130	170	443	0	292	0	0	0	113	0	0	0	213	255	170	582	278	407	0	0	751	0	0	274	391	0	0	0	482	0	0	0	0	0	360	179	0
1700011L22Rik	143.113636	0	0	0	0	0	0	0	0	0	0	101	0	0	0	516	392	800	777	666	0	208	120	280	692	497	481	0	0	349	0	0	159	125	0	0	0	134	0	0	0	0	0	0	0	0
Plekhn1	143.068182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	673	836	676	801	0	0	0	0	290	329	190	0	0	715	0	0	321	290	0	0	0	414	0	0	0	0	0	0	184	0
Nfil3	143.022727	0	0	0	0	120	208	0	0	0	0	0	0	0	0	238	112	338	544	339	107	223	359	155	358	440	222	0	0	479	187	0	500	208	0	0	0	416	198	85	182	0	129	0	146	0
Col16a1	143.0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	148	262	422	220	195	0	245	248	256	529	536	523	0	0	788	0	0	509	400	0	0	0	301	179	0	0	0	0	198	231	0
Lasp1	142.954545	0	0	156	1609	0	860	0	0	0	156	0	0	0	0	0	0	0	129	0	0	196	0	0	0	281	263	0	0	0	0	0	0	119	0	0	0	0	0	160	188	239	102	1098	734	0
Ablim1	142.659091	0	0	0	0	314	480	0	0	0	451	281	0	268	0	0	0	0	0	0	0	113	324	174	230	252	358	0	0	408	0	0	404	291	0	0	0	356	274	0	195	165	0	478	461	0
Narf	142.636364	0	0	429	0	508	0	391	0	289	0	642	871	605	417	0	0	0	128	174	0	0	0	0	0	0	0	0	0	0	708	0	0	0	0	0	0	0	0	265	298	268	283	0	0	0
Arid3b	142.568182	0	0	0	168	0	100	0	0	0	0	0	0	0	0	0	160	258	222	207	509	196	192	235	240	376	516	0	0	469	386	0	228	247	0	0	0	393	0	187	437	377	170	0	0	0
Bend6	142.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	428	569	465	362	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	208	0	772	1206	1011	566	0	136	0
Dcaf7	142.454545	0	0	395	0	470	0	479	0	363	0	562	1091	501	639	0	0	0	0	0	0	0	0	0	169	0	447	0	0	131	332	0	0	0	0	0	0	195	0	0	187	122	185	0	0	0
Srp19	142.431818	0	0	0	0	132	113	0	0	0	0	0	0	0	0	280	214	337	291	228	613	147	0	0	264	271	240	0	0	302	0	0	200	184	0	0	0	245	169	327	497	509	321	214	169	0
Orc2	142.431818	0	0	642	0	449	0	618	0	391	0	781	1057	147	764	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	265	0	0	0	0	0	0	0	0	195	360	367	130	0	0	0
Sap30l	142.295455	0	0	606	0	692	0	397	0	297	0	714	1150	0	627	0	0	0	0	0	643	0	0	0	0	0	0	0	0	0	913	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0
Sh3pxd2b	142.159091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	579	537	626	439	509	0	122	176	0	284	383	150	0	0	347	0	0	392	215	0	0	0	212	0	0	224	163	0	417	480	0
Gclc	142.136364	0	0	0	0	0	232	0	0	0	0	0	0	0	0	87	0	197	291	290	211	314	274	107	426	434	365	0	0	796	0	0	188	141	0	0	0	368	0	310	505	364	202	0	152	0
Cd53	142.136364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	548	730	610	608	458	158	113	0	98	0	136	0	0	0	0	0	0	0	0	0	0	0	0	558	790	607	472	0	0	0
Tnrc6a	142.045455	0	0	0	0	346	477	0	0	0	356	315	0	158	0	0	0	248	248	266	0	147	183	148	200	285	338	0	0	295	0	0	233	224	0	0	0	0	0	365	404	435	134	124	321	0
Mdm4	142.045455	0	0	230	1610	244	1092	0	107	0	226	90	107	0	0	0	0	168	0	0	230	0	0	0	0	0	0	0	0	123	101	0	0	0	0	0	0	151	132	239	346	331	129	440	154	0
Tank	142.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	293	431	300	412	509	204	124	0	180	164	244	0	0	471	0	0	229	147	0	0	0	301	0	246	500	396	158	229	362	0
Ch25h	141.863636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	537	786	529	511	0	225	185	0	494	334	351	0	0	519	0	0	220	242	0	0	0	244	0	125	211	181	0	0	137	0
Ttll5	141.818182	0	0	240	0	278	0	403	0	230	0	502	828	550	334	0	0	228	188	157	0	0	0	0	123	203	103	0	0	260	265	0	181	148	0	0	0	154	0	167	198	178	154	0	168	0
Erg28	141.818182	0	0	240	0	278	0	403	0	230	0	502	828	550	334	0	0	228	188	157	0	0	0	0	123	203	103	0	0	260	265	0	181	148	0	0	0	154	0	167	198	178	154	0	168	0
Zfp180	141.727273	0	0	0	0	0	117	0	0	0	0	0	0	0	0	127	208	400	452	250	86	291	208	152	531	394	387	0	0	563	0	0	414	290	0	0	0	307	218	115	86	207	209	0	224	0
Evi2b	141.636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	139	220	202	179	212	220	219	0	252	297	305	0	0	372	0	0	228	0	0	0	0	174	0	592	1012	897	572	0	0	0
Mknk2	141.568182	0	0	0	0	0	192	0	0	0	174	149	0	104	0	269	250	414	312	310	191	131	150	136	203	237	233	0	0	334	0	0	287	310	0	0	0	204	169	197	425	334	325	0	189	0
Sgms1	141.5	168	0	0	0	0	172	0	0	0	0	0	0	0	0	281	319	386	284	218	244	163	191	152	186	274	231	0	0	504	0	0	189	197	0	0	0	356	225	161	508	234	110	214	259	0
Cipc	141.340909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	157	425	360	346	411	157	0	117	196	221	340	0	0	358	0	0	223	208	0	0	0	156	0	509	522	468	308	234	290	0
Slc25a25	141.295455	0	0	173	0	215	148	367	0	260	0	352	584	489	249	186	158	184	249	217	0	0	0	0	134	0	337	0	0	268	308	0	233	136	0	0	0	0	0	159	280	263	149	0	119	0
Ccr9	141.272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	169	427	536	352	0	113	0	0	242	0	114	0	0	334	0	0	586	378	0	0	0	81	169	408	609	490	245	0	816	0
Unk	141.25	127	0	0	0	97	0	0	0	0	0	108	0	0	0	256	306	305	332	296	374	129	0	0	96	75	181	0	0	501	0	0	332	297	0	0	128	407	0	220	531	318	412	179	208	0
Lrrc51	141.181818	0	0	0	0	0	98	0	0	0	0	0	0	0	0	480	570	877	671	554	219	87	0	0	103	136	87	0	0	350	0	0	155	0	0	0	0	168	0	274	367	388	278	0	350	0
Shc3	141.022727	0	0	0	0	322	181	0	0	235	0	333	277	456	0	0	0	202	0	0	459	295	447	147	513	394	404	0	0	336	115	0	290	242	0	0	0	365	0	0	0	0	0	192	0	0
Metap2	141.0	0	0	0	0	171	278	0	0	0	193	206	0	155	0	141	208	144	377	273	0	318	336	160	424	310	442	0	0	537	0	0	184	155	0	0	0	266	0	192	196	286	111	0	141	0
2610301B20Rik	140.954545	0	0	235	2059	426	1618	0	0	0	208	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	123	177	0	0	0	0	0	0	160	249	143	119	131	111	299	0	0
Arap3	140.886364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	385	522	374	222	554	0	0	0	200	199	87	0	0	259	0	0	144	0	0	0	0	192	0	619	888	724	302	0	166	0
Tes	140.704545	0	0	0	0	0	0	0	0	0	0	0	134	0	0	261	245	303	440	364	523	279	156	207	159	309	196	0	0	636	0	0	246	249	0	0	0	362	0	0	206	142	135	154	485	0
Elf2	140.704545	0	0	605	0	521	0	716	0	272	0	784	973	466	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	71	0	205	354	322	169	0	0	0
Rab1a	140.681818	0	135	0	0	0	0	0	0	0	0	0	0	0	0	218	246	489	490	326	147	132	198	203	167	286	313	0	0	509	0	0	258	0	0	0	0	438	0	250	610	366	268	0	141	0
Tial1	140.636364	0	117	0	0	341	466	0	0	0	157	340	0	140	0	161	0	470	375	200	100	0	0	0	0	73	0	0	0	284	0	0	565	605	0	0	0	247	0	212	402	289	167	147	330	0
Dennd1b	140.568182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	337	473	314	320	0	252	500	217	327	447	562	0	0	589	0	0	279	316	0	0	0	563	0	0	138	150	129	0	0	0
Sema6b	140.545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	705	885	764	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	663	600	569	0	228	0
Rragc	140.5	0	0	250	0	488	0	231	0	0	0	399	736	0	321	0	0	0	0	0	759	130	0	208	273	171	335	0	0	206	278	0	147	0	0	0	0	0	0	309	378	385	178	0	0	0
Gsk3b	140.409091	0	0	474	0	445	0	500	0	399	0	886	1164	697	570	0	0	0	0	0	97	0	0	0	0	0	207	0	0	127	324	0	0	0	0	0	0	0	0	83	102	103	0	0	0	0
Msantd4	140.386364	0	0	354	0	299	0	446	0	252	0	757	769	417	379	0	0	124	86	0	267	0	0	0	111	0	110	0	0	132	461	0	177	79	0	0	0	83	0	198	159	349	168	0	0	0
Slc2a1	140.204545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	161	402	340	346	96	316	114	203	469	516	601	0	0	490	171	0	388	292	136	0	0	212	0	82	242	186	99	0	120	0
Zbtb5	140.090909	0	0	516	0	454	0	535	0	363	0	671	962	589	548	0	0	0	0	0	0	0	0	0	101	0	224	0	0	0	453	0	162	0	0	0	0	0	0	99	188	153	146	0	0	0
Dennd4a	140.045455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	248	157	154	435	134	0	0	0	134	211	0	0	329	0	0	141	0	0	0	0	345	0	790	1224	1004	666	0	0	0
Sort1	139.954545	0	0	599	0	803	0	454	0	378	0	1086	1258	0	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0	114	0	103	232	126	0	0	0	0
Ssh2	139.818182	0	0	0	0	190	277	0	0	0	101	185	0	123	0	310	400	364	452	340	244	0	189	129	242	174	176	0	0	567	0	0	293	356	0	0	0	220	115	106	155	124	0	181	139	0
Map3k12	139.818182	162	90	0	0	0	0	121	0	0	0	177	218	0	0	207	210	265	392	270	156	0	0	0	141	197	0	0	0	164	0	0	183	134	0	0	0	0	0	724	810	803	603	0	125	0
Trim47	139.727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	136	0	0	122	257	150	297	357	253	0	0	526	0	0	190	152	0	0	0	350	230	579	1032	855	547	0	0	0
Hsf2	139.636364	0	0	511	0	645	0	417	0	234	0	604	1084	224	524	0	0	102	0	65	0	0	0	0	170	0	258	0	0	133	749	0	158	0	0	0	0	0	0	0	145	121	0	0	0	0
Ndufa2	139.522727	0	0	125	0	166	0	183	0	148	0	243	336	228	0	317	367	846	595	578	0	0	0	0	0	0	81	0	0	0	161	0	0	0	0	0	0	0	0	391	598	461	315	0	0	0
Ik	139.522727	0	0	125	0	166	0	183	0	148	0	243	336	228	0	317	367	846	595	578	0	0	0	0	0	0	81	0	0	0	161	0	0	0	0	0	0	0	0	391	598	461	315	0	0	0
Vps4b	139.5	0	0	0	0	148	0	0	0	0	0	0	0	0	0	236	247	413	369	317	372	0	0	0	154	210	160	0	0	252	0	0	130	198	0	0	0	255	0	532	697	587	470	185	206	0
Stmn4	139.409091	0	0	0	0	88	125	0	0	0	0	151	0	0	0	435	336	553	630	700	0	131	0	124	415	362	419	0	0	548	0	0	217	242	0	0	0	484	0	0	0	0	0	0	174	0
Limk2	139.340909	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	434	215	333	453	527	0	0	847	0	0	469	302	0	0	0	538	0	0	0	191	101	708	524	0
Zc3h4	139.272727	0	0	0	0	0	0	0	0	0	0	116	0	0	0	382	184	245	365	482	345	229	293	0	272	337	281	0	0	404	0	0	232	248	0	0	0	234	141	253	635	294	156	0	0	0
Slc45a4	139.272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	300	399	452	423	0	0	0	0	214	0	0	0	0	462	0	0	137	156	0	0	0	361	0	336	587	473	277	564	692	0
Sfi1	139.272727	101	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	807	344	387	349	390	310	215	0	108	219	0	0	295	273	0	128	0	256	92	111	169	226	0	335	699	0
Ect2	139.113636	0	0	426	0	544	0	445	0	420	0	775	1188	598	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	163	310	363	269	0	0	0
