Target_genes	Pou3f1|Average	SRX1410923|EpiSC	SRX1410928|EpiSC	SRX1056349|ES_cells	SRX3196478|MEF	SRX3196480|MEF	SRX5534183|MEF	SRX3730260|Trophoblast_stem_cells	SRX3730285|Trophoblast_stem_cells	STRING
Klhl1	50.875	163	244	0	0	0	0	0	0	0
Neo1	50.75	172	234	0	0	0	0	0	0	0
Ugt2b38	50.5	147	257	0	0	0	0	0	0	0
Gm39653	50.375	215	188	0	0	0	0	0	0	0
Calcr	50.375	113	290	0	0	0	0	0	0	0
Zfp932	50.25	113	289	0	0	0	0	0	0	0
Tlr7	50.25	113	289	0	0	0	0	0	0	0
Shtn1	50.25	109	293	0	0	0	0	0	0	0
Rnf128	50.25	110	292	0	0	0	0	0	0	0
Olfr987	50.25	162	240	0	0	0	0	0	0	0
Bicd1	50.25	92	310	0	0	0	0	0	0	0
Twist1	50.125	123	278	0	0	0	0	0	0	0
L3mbtl3	50.125	101	300	0	0	0	0	0	0	0
Ifna5	50.125	80	321	0	0	0	0	0	0	0
Fhit	50.125	134	267	0	0	0	0	0	0	0
Olfr705	50.0	145	255	0	0	0	0	0	0	0
Olfr432	50.0	206	194	0	0	0	0	0	0	0
Wwox	49.875	0	0	399	0	0	0	0	0	0
Spag9	49.875	137	262	0	0	0	0	0	0	0
Nr2f1	49.875	174	225	0	0	0	0	0	0	0
Olfr1246	49.75	129	269	0	0	0	0	0	0	0
Cntnap5a	49.75	133	265	0	0	0	0	0	0	0
Unc5c	49.5	213	183	0	0	0	0	0	0	0
Tma7-ps	49.5	246	150	0	0	0	0	0	0	0
Sp8	49.5	153	243	0	0	0	0	0	0	0
Olfr566	49.5	121	275	0	0	0	0	0	0	0
Olfr1226	49.5	144	252	0	0	0	0	0	0	0
Olfr1214	49.5	111	285	0	0	0	0	0	0	0
Nr0b1	49.5	167	229	0	0	0	0	0	0	0
Ptpn12	49.375	92	303	0	0	0	0	0	0	0
Fancl	49.375	123	272	0	0	0	0	0	0	0
Vmn1r10	49.25	153	241	0	0	0	0	0	0	0
Gm17359	49.25	0	0	155	239	0	0	0	0	0
Baz2b	49.125	182	211	0	0	0	0	0	0	0
Asah1	49.125	89	304	0	0	0	0	0	0	0
2310057N15Rik	49.125	0	393	0	0	0	0	0	0	0
Galnt13	49.0	171	221	0	0	0	0	0	0	0
Zfp987	48.875	191	200	0	0	0	0	0	0	0
Olfr676	48.875	157	234	0	0	0	0	0	0	0
Rp1	48.75	150	240	0	0	0	0	0	0	0
Olfr980	48.625	181	208	0	0	0	0	0	0	0
Olfr979	48.625	181	208	0	0	0	0	0	0	0
Krtap9-5	48.625	136	253	0	0	0	0	0	0	0
Glrb	48.625	127	262	0	0	0	0	0	0	0
Intu	48.5	109	279	0	0	0	0	0	0	0
Vta1	48.375	113	274	0	0	0	0	0	0	0
Zswim5	48.25	83	303	0	0	0	0	0	0	0
Nts	48.25	230	156	0	0	0	0	0	0	0
Nr5a2	48.25	113	273	0	0	0	0	0	0	0
Vmn1r8	48.125	111	274	0	0	0	0	0	0	0
Fbxo28	48.125	95	290	0	0	0	0	0	0	0
Dnajb4	48.125	151	234	0	0	0	0	0	0	0
Nkx2-9	48.0	0	384	0	0	0	0	0	0	0
Plcb1	47.875	151	232	0	0	0	0	0	0	0
Has2	47.875	153	230	0	0	0	0	0	0	0
Fgf13	47.875	143	240	0	0	0	0	0	0	0
Epha7	47.875	85	298	0	0	0	0	0	0	0
Kcnab1	47.75	161	221	0	0	0	0	0	0	0
C1galt1	47.75	91	291	0	0	0	0	0	0	0
Zfp59	47.625	171	210	0	0	0	0	0	0	0
Shcbp1l	47.625	0	0	186	0	0	0	195	0	0
Pgap1	47.625	123	258	0	0	0	0	0	0	0
Olfr1023	47.625	171	210	0	0	0	0	0	0	0
Olfr1062	47.5	153	227	0	0	0	0	0	0	0
Gabra6	47.5	103	277	0	0	0	0	0	0	0
Cp	47.5	192	188	0	0	0	0	0	0	0
Zfp595	47.375	150	229	0	0	0	0	0	0	0
Tlr3	47.375	0	0	0	0	0	0	379	0	0
Olfr491	47.25	90	288	0	0	0	0	0	0	0
Olfr1168	47.25	153	225	0	0	0	0	0	0	0
Olfr206	47.125	183	194	0	0	0	0	0	0	0
Nmbr	47.125	120	257	0	0	0	0	0	0	0
Gtf3c3	47.125	0	377	0	0	0	0	0	0	0
Gprc6a	47.125	167	210	0	0	0	0	0	0	0
Tas2r122	47.0	123	253	0	0	0	0	0	0	0
Ppp3r2	47.0	155	221	0	0	0	0	0	0	0
Ifna1	46.875	143	232	0	0	0	0	0	0	0
Zfhx4	46.75	140	234	0	0	0	0	0	0	0
Olfr435	46.75	215	159	0	0	0	0	0	0	0
Gls	46.75	113	261	0	0	0	0	0	0	0
Eda2r	46.75	116	258	0	0	0	0	0	0	0
Depdc1a	46.75	138	236	0	0	0	0	0	0	0
Rasa1	46.625	101	272	0	0	0	0	0	0	0
Olfr1040	46.625	131	242	0	0	0	0	0	0	0
Grid2	46.625	204	169	0	0	0	0	0	0	0
5730409E04Rik	46.625	123	250	0	0	0	0	0	0	0
Snurf	46.5	151	221	0	0	0	0	0	0	0
Olfr668	46.5	102	270	0	0	0	0	0	0	0
Nr4a2	46.5	157	215	0	0	0	0	0	0	0
Chn1	46.5	94	278	0	0	0	0	0	0	0
Zc3h12b	46.375	124	247	0	0	0	0	0	0	0
Csn1s2b	46.375	163	208	0	0	0	0	0	0	0
Olfr738	46.25	122	248	0	0	0	0	0	0	0
Cobll1	46.25	174	196	0	0	0	0	0	0	0
Olfr142	46.125	163	206	0	0	0	0	0	0	0
Sprr2d	46.0	159	209	0	0	0	0	0	0	0
Pde4b	46.0	127	241	0	0	0	0	0	0	0
Lipo1	46.0	113	255	0	0	0	0	0	0	0
Rasgrf2	45.875	143	224	0	0	0	0	0	0	0
Olfr1148	45.875	224	143	0	0	0	0	0	0	0
Marchf1	45.875	91	276	0	0	0	0	0	0	0
Bnip2	45.875	87	280	0	0	0	0	0	0	0
Zfp534	45.75	158	208	0	0	0	0	0	0	0
Smarca1	45.75	121	245	0	0	0	0	0	0	0
Sfi1	45.75	81	0	0	0	0	119	166	0	0
Olfr1156	45.75	117	249	0	0	0	0	0	0	0
AI429214	45.625	153	212	0	0	0	0	0	0	0
Cdh12	45.5	182	182	0	0	0	0	0	0	0
Olfr1222	45.375	150	213	0	0	0	0	0	0	0
Olfr1196	45.375	101	262	0	0	0	0	0	0	0
Mocs2	45.375	190	173	0	0	0	0	0	0	0
4930430F08Rik	45.375	148	215	0	0	0	0	0	0	0
1700017N19Rik	45.375	148	215	0	0	0	0	0	0	0
Vmn1r232	45.25	102	260	0	0	0	0	0	0	0
Tmppe	45.25	0	362	0	0	0	0	0	0	0
Olfr847	45.25	116	246	0	0	0	0	0	0	0
Cdkn2c	45.25	134	228	0	0	0	0	0	0	0
Sema3a	45.125	165	196	0	0	0	0	0	0	0
P2ry1	45.125	89	272	0	0	0	0	0	0	0
Olfr633	45.125	108	253	0	0	0	0	0	0	0
Awat1	45.125	95	266	0	0	0	0	0	0	0
Ric1	45.0	106	254	0	0	0	0	0	0	0
Olfr113	45.0	130	230	0	0	0	0	0	0	0
Aadacl2	45.0	120	240	0	0	0	0	0	0	0
Samsn1	44.875	140	219	0	0	0	0	0	0	0
Rnf146	44.875	206	153	0	0	0	0	0	0	0
Mettl14	44.875	105	254	0	0	0	0	0	0	0
Kctd4	44.875	88	271	0	0	0	0	0	0	0
Itln1	44.875	0	359	0	0	0	0	0	0	0
Gulp1	44.875	151	208	0	0	0	0	0	0	0
Coq3	44.875	101	258	0	0	0	0	0	0	0
Gabra1	44.75	114	244	0	0	0	0	0	0	0
Olfr478	44.625	121	236	0	0	0	0	0	0	0
Msr1	44.625	93	264	0	0	0	0	0	0	0
Lrch2	44.625	120	237	0	0	0	0	0	0	0
Chl1	44.625	148	209	0	0	0	0	0	0	0
Asb4	44.625	121	236	0	0	0	0	0	0	0
Olfr854	44.5	156	200	0	0	0	0	0	0	0
Olfr291	44.5	116	240	0	0	0	0	0	0	0
Olfr1418	44.5	142	214	0	0	0	0	0	0	0
Fmn2	44.5	0	356	0	0	0	0	0	0	0
Zfand4	44.375	123	232	0	0	0	0	0	0	0
Ube3c	44.375	137	218	0	0	0	0	0	0	0
Tbca	44.375	0	355	0	0	0	0	0	0	0
Olfr1442	44.375	148	207	0	0	0	0	0	0	0
Ankrd37	44.375	89	266	0	0	0	0	0	0	0
Rtkn2	44.25	0	354	0	0	0	0	0	0	0
Olfr299	44.25	112	242	0	0	0	0	0	0	0
Klrb1b	44.25	144	210	0	0	0	0	0	0	0
Cflar	44.25	0	0	0	0	0	0	354	0	0
Olfr1015	44.125	144	209	0	0	0	0	0	0	0
Gm4846	44.125	127	226	0	0	0	0	0	0	0
Gm10267	44.125	130	223	0	0	0	0	0	0	0
Zfp990	44.0	97	255	0	0	0	0	0	0	0
Wdsub1	44.0	104	248	0	0	0	0	0	0	0
Otp	44.0	112	240	0	0	0	0	0	0	0
Olfr710	44.0	161	191	0	0	0	0	0	0	0
Mctp1	44.0	96	256	0	0	0	0	0	0	0
Elobl	44.0	151	201	0	0	0	0	0	0	0
Coil	44.0	151	201	0	0	0	0	0	0	0
Zmym4	43.875	0	351	0	0	0	0	0	0	0
Vmn2r68	43.875	150	201	0	0	0	0	0	0	0
Tex14	43.875	0	108	243	0	0	0	0	0	0
Strbp	43.875	86	265	0	0	0	0	0	0	0
Olfr69	43.875	152	199	0	0	0	0	0	0	0
Dnm3	43.875	130	221	0	0	0	0	0	0	0
Mtdh	43.75	145	205	0	0	0	0	0	0	0
Zfp68	43.625	95	254	0	0	0	0	0	0	0
Olfr957	43.625	78	271	0	0	0	0	0	0	0
Klhl38	43.625	136	213	0	0	0	0	0	0	0
Desi2	43.625	94	255	0	0	0	0	0	0	0
A430033K04Rik	43.625	95	254	0	0	0	0	0	0	0
Taar7e	43.5	95	253	0	0	0	0	0	0	0
Nek11	43.5	102	246	0	0	0	0	0	0	0
Aste1	43.5	102	246	0	0	0	0	0	0	0
Olfr821	43.25	133	213	0	0	0	0	0	0	0
Olfr1008	43.25	190	156	0	0	0	0	0	0	0
Cplane1	43.25	82	264	0	0	0	0	0	0	0
Ttc8	43.125	113	232	0	0	0	0	0	0	0
Prl8a8	43.125	114	231	0	0	0	0	0	0	0
Zfp462	43.0	123	221	0	0	0	0	0	0	0
Tmc1	43.0	102	242	0	0	0	0	0	0	0
Magi3	43.0	98	246	0	0	0	0	0	0	0
Krtap4-9	43.0	123	221	0	0	0	0	0	0	0
Grik2	43.0	164	180	0	0	0	0	0	0	0
Shox2	42.875	167	176	0	0	0	0	0	0	0
Rsrc1	42.875	167	176	0	0	0	0	0	0	0
Olfr807	42.875	137	206	0	0	0	0	0	0	0
Olfr1263	42.875	158	185	0	0	0	0	0	0	0
Adgrg6	42.875	0	343	0	0	0	0	0	0	0
Olfr1310	42.75	138	204	0	0	0	0	0	0	0
Olfr1259	42.75	129	213	0	0	0	0	0	0	0
Klhl13	42.75	123	219	0	0	0	0	0	0	0
Cadps	42.75	122	220	0	0	0	0	0	0	0
Olfr789	42.625	95	246	0	0	0	0	0	0	0
Olfr52	42.625	106	235	0	0	0	0	0	0	0
Hspa14	42.625	0	341	0	0	0	0	0	0	0
Cdnf	42.625	0	341	0	0	0	0	0	0	0
Adamts20	42.625	150	191	0	0	0	0	0	0	0
Zfpm2	42.5	152	188	0	0	0	0	0	0	0
Olfr808	42.5	136	204	0	0	0	0	0	0	0
Olfr1026	42.5	81	259	0	0	0	0	0	0	0
Stxbp5l	42.375	148	191	0	0	0	0	0	0	0
Slc35g3	42.375	0	0	140	199	0	0	0	0	0
Sema6d	42.375	110	229	0	0	0	0	0	0	0
Polr2a	42.375	0	0	140	199	0	0	0	0	0
Olfr996	42.375	129	210	0	0	0	0	0	0	0
Ogn	42.375	108	231	0	0	0	0	0	0	0
Kdm5a	42.375	0	0	0	0	0	0	339	0	0
Gm4981	42.375	0	0	0	0	0	339	0	0	0
Ccdc77	42.375	0	0	0	0	0	0	339	0	0
Aadacl2fm2	42.375	179	160	0	0	0	0	0	0	0
Sult2a1	42.25	123	215	0	0	0	0	0	0	0
Taar6	42.125	0	0	337	0	0	0	0	0	0
Map3k7	42.125	77	260	0	0	0	0	0	0	0
Bcat1	42.125	0	337	0	0	0	0	0	0	0
Topaz1	42.0	115	221	0	0	0	0	0	0	0
Ifna13	42.0	0	140	196	0	0	0	0	0	0
Dpp10	42.0	145	191	0	0	0	0	0	0	0
Dbx2	42.0	148	188	0	0	0	0	0	0	0
Pof1b	41.875	128	207	0	0	0	0	0	0	0
Olfr804	41.875	173	162	0	0	0	0	0	0	0
Olfr1143	41.875	114	221	0	0	0	0	0	0	0
Prl2c1	41.625	130	203	0	0	0	0	0	0	0
Fbxo47	41.625	0	156	0	177	0	0	0	0	0
Ctsf	41.625	0	0	0	0	0	0	333	0	0
Vmn2r6	41.5	125	207	0	0	0	0	0	0	0
Gabrr1	41.5	0	332	0	0	0	0	0	0	0
Eqtn	41.5	198	134	0	0	0	0	0	0	0
Olfr1093	41.375	130	201	0	0	0	0	0	0	0
Gc	41.375	101	230	0	0	0	0	0	0	0
Cd55b	41.375	110	221	0	0	0	0	0	0	0
Cacna2d1	41.375	0	331	0	0	0	0	0	0	0
Zc2hc1a	41.25	128	202	0	0	0	0	0	0	0
Vmn2r75	41.25	68	262	0	0	0	0	0	0	0
Usp25	41.25	126	204	0	0	0	0	0	0	0
Slc22a22	41.25	156	174	0	0	0	0	0	0	0
Olig3	41.25	110	220	0	0	0	0	0	0	0
Olfr1079	41.25	107	223	0	0	0	0	0	0	0
Ifne	41.25	113	217	0	0	0	0	0	0	0
H2al1m	41.25	0	330	0	0	0	0	0	0	0
Commd8	41.25	0	330	0	0	0	0	0	0	0
Olfr1537	41.125	113	216	0	0	0	0	0	0	0
Nedd4	41.125	115	214	0	0	0	0	0	0	0
Muc15	41.125	139	190	0	0	0	0	0	0	0
Dcn	41.125	125	204	0	0	0	0	0	0	0
Tbc1d2b	41.0	0	0	0	328	0	0	0	0	0
Stim2	41.0	128	200	0	0	0	0	0	0	0
Spata6	41.0	83	245	0	0	0	0	0	0	0
Olfr1137	41.0	138	190	0	0	0	0	0	0	0
Neil3	41.0	172	156	0	0	0	0	0	0	0
Bend7	41.0	151	177	0	0	0	0	0	0	0
Nox3	40.875	177	150	0	0	0	0	0	0	0
Tas2r138	40.75	159	167	0	0	0	0	0	0	0
Spata4	40.75	153	173	0	0	0	0	0	0	0
Ifi202b	40.75	167	159	0	0	0	0	0	0	0
Dkk2	40.75	0	326	0	0	0	0	0	0	0
Tdo2	40.625	138	187	0	0	0	0	0	0	0
Olfr586	40.625	98	227	0	0	0	0	0	0	0
Adad1	40.625	0	325	0	0	0	0	0	0	0
Syt4	40.5	127	197	0	0	0	0	0	0	0
Sstr1	40.5	110	214	0	0	0	0	0	0	0
Olfr1419	40.5	95	229	0	0	0	0	0	0	0
Olfr1218	40.5	117	207	0	0	0	0	0	0	0
Irak1bp1	40.5	97	227	0	0	0	0	0	0	0
Eomes	40.5	0	324	0	0	0	0	0	0	0
Clec12a	40.5	104	220	0	0	0	0	0	0	0
Zpld1	40.375	70	253	0	0	0	0	0	0	0
Olfr785	40.375	128	195	0	0	0	0	0	0	0
Olfr1311	40.375	0	0	0	0	0	0	323	0	0
Olfr944	40.25	115	207	0	0	0	0	0	0	0
Olfr603	40.25	190	132	0	0	0	0	0	0	0
Olfr1404	40.25	174	148	0	0	0	0	0	0	0
Adgrl4	40.25	122	200	0	0	0	0	0	0	0
Vmn2r102	40.125	0	105	216	0	0	0	0	0	0
Sis	40.125	130	191	0	0	0	0	0	0	0
Olfr724	40.125	169	152	0	0	0	0	0	0	0
Ifna4	40.125	0	321	0	0	0	0	0	0	0
Gp5	40.125	161	160	0	0	0	0	0	0	0
Sult1e1	40.0	103	217	0	0	0	0	0	0	0
Olfr393	40.0	152	168	0	0	0	0	0	0	0
Kitl	40.0	139	181	0	0	0	0	0	0	0
Cd200r4	40.0	0	320	0	0	0	0	0	0	0
Olfr1052	39.875	112	207	0	0	0	0	0	0	0
Vmn2r66	39.75	146	172	0	0	0	0	0	0	0
Vmn2r22	39.75	90	228	0	0	0	0	0	0	0
Pwwp2a	39.75	65	253	0	0	0	0	0	0	0
Olfr998	39.75	161	157	0	0	0	0	0	0	0
Olfr1124	39.75	165	153	0	0	0	0	0	0	0
Fbxl19	39.75	0	0	0	0	0	0	318	0	0
Fabp2	39.75	112	206	0	0	0	0	0	0	0
Crls1	39.75	0	318	0	0	0	0	0	0	0
Bank1	39.75	123	195	0	0	0	0	0	0	0
Olfr1145	39.625	169	148	0	0	0	0	0	0	0
Atg3	39.625	104	213	0	0	0	0	0	0	0
Vmn2r63	39.5	150	166	0	0	0	0	0	0	0
Pcdha5	39.5	90	226	0	0	0	0	0	0	0
Olfr1087	39.375	150	165	0	0	0	0	0	0	0
Olfr1086	39.375	123	192	0	0	0	0	0	0	0
Cd36	39.375	135	180	0	0	0	0	0	0	0
Toporsl	39.25	122	192	0	0	0	0	0	0	0
Phtf1	39.25	93	221	0	0	0	0	0	0	0
Epyc	39.25	92	222	0	0	0	0	0	0	0
Cftr	39.25	72	242	0	0	0	0	0	0	0
Ccdc50	39.25	0	314	0	0	0	0	0	0	0
Tspyl1	39.125	76	237	0	0	0	0	0	0	0
Tas2r129	39.125	126	187	0	0	0	0	0	0	0
Olfr368	39.125	0	0	313	0	0	0	0	0	0
Olfr1312	39.125	87	226	0	0	0	0	0	0	0
Ammecr1	39.125	131	182	0	0	0	0	0	0	0
Vps13a	39.0	124	188	0	0	0	0	0	0	0
Ptprr	39.0	121	191	0	0	0	0	0	0	0
Lrif1	39.0	128	184	0	0	0	0	0	0	0
Tbc1d19	38.875	123	188	0	0	0	0	0	0	0
Scn1a	38.875	153	158	0	0	0	0	0	0	0
Prps1l1	38.875	109	202	0	0	0	0	0	0	0
Sema3d	38.75	83	227	0	0	0	0	0	0	0
Olfr453	38.75	138	172	0	0	0	0	0	0	0
Nfkbiz	38.75	75	235	0	0	0	0	0	0	0
Syt1	38.625	122	187	0	0	0	0	0	0	0
Pcdhac1	38.625	118	191	0	0	0	0	0	0	0
Olfr905	38.625	0	0	168	0	0	0	141	0	0
Olfr592	38.625	105	204	0	0	0	0	0	0	0
Olfr1101	38.625	117	192	0	0	0	0	0	0	0
L3mbtl4	38.625	97	212	0	0	0	0	0	0	0
Gm1322	38.625	130	179	0	0	0	0	0	0	0
Exoc2	38.625	155	154	0	0	0	0	0	0	0
Vwc2l	38.5	159	149	0	0	0	0	0	0	0
Olfr945	38.5	87	221	0	0	0	0	0	0	0
Olfr598	38.5	138	170	0	0	0	0	0	0	0
Olfr1256	38.5	0	308	0	0	0	0	0	0	0
Ly6e	38.5	0	0	0	0	0	0	308	0	0
Fgd4	38.5	0	0	0	0	0	0	308	0	0
Eml5	38.5	87	221	0	0	0	0	0	0	0
Dhx36	38.5	161	147	0	0	0	0	0	0	0
1700015G11Rik	38.5	131	177	0	0	0	0	0	0	0
Vmn2r77	38.375	121	186	0	0	0	0	0	0	0
Trmt5	38.25	122	184	0	0	0	0	0	0	0
Slc38a6	38.25	122	184	0	0	0	0	0	0	0
Ndp	38.25	126	180	0	0	0	0	0	0	0
Ano3	38.25	115	191	0	0	0	0	0	0	0
Vmn2r7	38.125	95	210	0	0	0	0	0	0	0
Vmn1r22	38.125	140	165	0	0	0	0	0	0	0
Usp15	38.125	83	222	0	0	0	0	0	0	0
Ugt2a1	38.125	133	172	0	0	0	0	0	0	0
Pdlim3	38.125	206	99	0	0	0	0	0	0	0
Olfr571	38.125	161	144	0	0	0	0	0	0	0
Olfr437	38.125	92	213	0	0	0	0	0	0	0
Olfr1283	38.125	112	193	0	0	0	0	0	0	0
Krtap19-4	38.125	126	179	0	0	0	0	0	0	0
Ipcef1	38.125	125	180	0	0	0	0	0	0	0
Impg1	38.125	118	187	0	0	0	0	0	0	0
Uprt	38.0	103	201	0	0	0	0	0	0	0
Tas2r115	38.0	131	173	0	0	0	0	0	0	0
Nlgn1	38.0	115	189	0	0	0	0	0	0	0
Kcnt2	38.0	138	166	0	0	0	0	0	0	0
Ctso	38.0	130	174	0	0	0	0	0	0	0
Cdh11	38.0	145	159	0	0	0	0	0	0	0
Zfp385b	37.875	104	199	0	0	0	0	0	0	0
Vmn1r227	37.875	136	167	0	0	0	0	0	0	0
Olfr729	37.875	94	209	0	0	0	0	0	0	0
Olfr1155	37.875	122	181	0	0	0	0	0	0	0
Dok6	37.875	135	168	0	0	0	0	0	0	0
Vmn2r95	37.75	153	149	0	0	0	0	0	0	0
Spinkl	37.75	142	160	0	0	0	0	0	0	0
Olfr837	37.75	115	187	0	0	0	0	0	0	0
Olfr1129	37.75	114	188	0	0	0	0	0	0	0
Kera	37.75	133	169	0	0	0	0	0	0	0
Jakmip2	37.75	143	159	0	0	0	0	0	0	0
Scyl3	37.625	0	301	0	0	0	0	0	0	0
Olfr596	37.625	169	132	0	0	0	0	0	0	0
Mroh2b	37.625	154	147	0	0	0	0	0	0	0
Lrrtm1	37.625	0	301	0	0	0	0	0	0	0
H2bc4	37.625	0	181	120	0	0	0	0	0	0
H2ac6	37.625	0	181	120	0	0	0	0	0	0
Gm829	37.625	0	301	0	0	0	0	0	0	0
Mccc2	37.5	135	165	0	0	0	0	0	0	0
Clec2g	37.5	0	300	0	0	0	0	0	0	0
Zfp456	37.375	0	0	121	0	0	0	178	0	0
Rmdn2	37.375	103	196	0	0	0	0	0	0	0
Nhsl1	37.375	0	127	0	0	0	0	172	0	0
Six6	37.25	151	147	0	0	0	0	0	0	0
Ppfia2	37.25	153	145	0	0	0	0	0	0	0
Pdgfd	37.25	100	198	0	0	0	0	0	0	0
Eogt	37.25	136	162	0	0	0	0	0	0	0
Dcstamp	37.25	151	147	0	0	0	0	0	0	0
Akr1c19	37.25	141	157	0	0	0	0	0	0	0
2310061N02Rik	37.25	139	159	0	0	0	0	0	0	0
Vmn1r230	36.875	150	145	0	0	0	0	0	0	0
Tmprss11a	36.875	93	202	0	0	0	0	0	0	0
Olfr195	36.875	121	174	0	0	0	0	0	0	0
Nt5el	36.875	155	140	0	0	0	0	0	0	0
Crh	36.875	168	127	0	0	0	0	0	0	0
Xrn1	36.75	117	177	0	0	0	0	0	0	0
Vmn2r-ps130	36.75	86	208	0	0	0	0	0	0	0
Vegfc	36.75	0	294	0	0	0	0	0	0	0
Slc10a6	36.75	95	199	0	0	0	0	0	0	0
Rnf43	36.75	0	294	0	0	0	0	0	0	0
Il1rapl1	36.75	134	160	0	0	0	0	0	0	0
Olfr1234	36.625	80	213	0	0	0	0	0	0	0
Mid1	36.625	147	146	0	0	0	0	0	0	0
Fstl5	36.625	0	293	0	0	0	0	0	0	0
Fam155a	36.625	113	180	0	0	0	0	0	0	0
Zfp277	36.5	80	212	0	0	0	0	0	0	0
Vmn1r11	36.5	119	173	0	0	0	0	0	0	0
Slitrk2	36.5	88	204	0	0	0	0	0	0	0
Olfr1128	36.5	98	194	0	0	0	0	0	0	0
Dock4	36.5	80	212	0	0	0	0	0	0	0
Prl3b1	36.375	0	291	0	0	0	0	0	0	0
Olfr1000	36.375	117	174	0	0	0	0	0	0	0
Kcnk9	36.375	174	117	0	0	0	0	0	0	0
Il15	36.375	125	166	0	0	0	0	0	0	0
Gje1	36.375	82	209	0	0	0	0	0	0	0
Foxg1	36.375	105	186	0	0	0	0	0	0	0
Atp2b1	36.375	94	197	0	0	0	0	0	0	0
Vmn1r12	36.25	99	191	0	0	0	0	0	0	0
Tas2r116	36.25	128	162	0	0	0	0	0	0	0
Stx17	36.25	94	196	0	0	0	0	0	0	0
Ptprq	36.25	90	200	0	0	0	0	0	0	0
Olfr146	36.25	82	208	0	0	0	0	0	0	0
Hnrnpa3	36.25	78	212	0	0	0	0	0	0	0
Uba5	36.125	0	0	0	0	0	0	289	0	0
Rexo5	36.125	131	158	0	0	0	0	0	0	0
Pou4f2	36.125	134	155	0	0	0	0	0	0	0
Pnma3	36.125	90	199	0	0	0	0	0	0	0
Pafah1b2	36.125	142	147	0	0	0	0	0	0	0
Olfr205	36.125	173	116	0	0	0	0	0	0	0
Olfr1437	36.125	129	160	0	0	0	0	0	0	0
Gm4922	36.125	0	289	0	0	0	0	0	0	0
Eri2	36.125	131	158	0	0	0	0	0	0	0
Acad11	36.125	0	0	0	0	0	0	289	0	0
2810021J22Rik	36.125	0	289	0	0	0	0	0	0	0
Zfp600	36.0	150	138	0	0	0	0	0	0	0
Tmem196	36.0	0	288	0	0	0	0	0	0	0
Olfr1158	36.0	120	168	0	0	0	0	0	0	0
Olfr1013	36.0	109	179	0	0	0	0	0	0	0
Fgl2	36.0	78	210	0	0	0	0	0	0	0
Tmem74	35.875	189	98	0	0	0	0	0	0	0
Tlk1	35.875	0	287	0	0	0	0	0	0	0
Olfr3	35.875	102	185	0	0	0	0	0	0	0
Nipsnap3a	35.875	126	161	0	0	0	0	0	0	0
Mettl25	35.875	106	181	0	0	0	0	0	0	0
Ccdc59	35.875	106	181	0	0	0	0	0	0	0
Bhlhe22	35.875	144	143	0	0	0	0	0	0	0
Adck1	35.875	141	146	0	0	0	0	0	0	0
Zfp985	35.75	137	149	0	0	0	0	0	0	0
Raet1e	35.75	196	90	0	0	0	0	0	0	0
Raet1a	35.75	196	90	0	0	0	0	0	0	0
Olfr599	35.75	118	168	0	0	0	0	0	0	0
Cdh9	35.75	159	127	0	0	0	0	0	0	0
Cacnb2	35.75	152	134	0	0	0	0	0	0	0
1700019A02Rik	35.75	125	161	0	0	0	0	0	0	0
Pfn2	35.625	138	147	0	0	0	0	0	0	0
Galntl6	35.625	120	165	0	0	0	0	0	0	0
BC030500	35.625	120	165	0	0	0	0	0	0	0
Vmn1r9	35.5	79	205	0	0	0	0	0	0	0
Sulf1	35.5	0	284	0	0	0	0	0	0	0
Strn3	35.5	103	181	0	0	0	0	0	0	0
Olfr915	35.5	143	141	0	0	0	0	0	0	0
Ap4s1	35.5	103	181	0	0	0	0	0	0	0
Zfp91	35.375	0	283	0	0	0	0	0	0	0
Tent5c	35.375	0	0	283	0	0	0	0	0	0
Pkn2	35.375	84	199	0	0	0	0	0	0	0
Olfr811	35.375	91	192	0	0	0	0	0	0	0
Olfr666	35.375	122	161	0	0	0	0	0	0	0
Olfr434	35.375	73	210	0	0	0	0	0	0	0
F13b	35.375	126	157	0	0	0	0	0	0	0
Esr1	35.375	0	0	283	0	0	0	0	0	0
Zfp638	35.25	171	111	0	0	0	0	0	0	0
Ugt2b36	35.25	105	177	0	0	0	0	0	0	0
Trpc5	35.25	110	172	0	0	0	0	0	0	0
Rtl4	35.25	110	172	0	0	0	0	0	0	0
Olfr1189	35.25	89	193	0	0	0	0	0	0	0
Myh15	35.25	146	136	0	0	0	0	0	0	0
Lrig2	35.25	123	159	0	0	0	0	0	0	0
Zfp980	35.125	126	155	0	0	0	0	0	0	0
Tekt3	35.125	104	177	0	0	0	0	0	0	0
Olfr791	35.125	113	168	0	0	0	0	0	0	0
Eef1akmt1	35.0	0	280	0	0	0	0	0	0	0
Car13	35.0	122	158	0	0	0	0	0	0	0
Akap6	35.0	113	167	0	0	0	0	0	0	0
1700074P13Rik	35.0	98	182	0	0	0	0	0	0	0
Rln1	34.875	139	140	0	0	0	0	0	0	0
Pmch	34.875	170	109	0	0	0	0	0	0	0
Olfr460	34.875	89	190	0	0	0	0	0	0	0
Gm11213	34.875	0	0	279	0	0	0	0	0	0
Rapgef6	34.75	105	173	0	0	0	0	0	0	0
Mbip	34.75	116	162	0	0	0	0	0	0	0
Krt73	34.75	0	278	0	0	0	0	0	0	0
