Target_genes	Fosl1|Average	SRX142533|C2C12	SRX2396480|MEF	SRX2396481|MEF	SRX2396482|MEF	SRX6437838|Pancreatic_adenocarcinoma	STRING
S100a14	346.8	0	0	224	835	675	0
Mfsd4b4	346.8	0	901	0	343	490	0
Snu13	346.6	0	138	551	830	214	0
Rusc2	346.6	0	375	733	517	108	0
Klhl9	346.6	0	910	0	99	724	0
Hnrnpa1	346.6	0	1061	134	437	101	0
Nfkbiz	346.4	0	553	176	663	340	0
Mrpl38	346.4	490	812	0	0	430	0
Septin8	346.2	0	0	924	807	0	0
Ccl20	346.0	0	588	326	465	351	0
Ank3	345.6	0	368	502	409	449	0
Myl6b	345.4	0	888	165	281	393	0
Myl6	345.4	0	888	165	281	393	0
Fbxl22	345.4	0	851	0	0	876	0
Rps6ka4	345.2	0	1001	140	235	350	0
Gpr31b	345.2	0	0	765	961	0	0
Ankrd40	345.2	149	1135	0	0	442	0
Fbxo15	345.0	0	0	611	1013	101	0
Alg8	345.0	0	199	870	487	169	0
Gpr84	344.8	219	279	423	489	314	0
Ppfibp2	344.6	0	305	465	827	126	0
Armcx1	344.6	0	0	780	943	0	0
Zfp703	344.4	0	418	225	220	859	0
Tagln2	344.4	0	1156	0	325	241	0
Palmd	344.4	0	117	518	878	209	0
Hnrnpab	344.4	0	0	710	883	129	0
Golim4	344.2	0	0	592	991	138	0
Zfp60	344.0	0	410	355	837	118	0
Ifi35	344.0	0	285	428	812	195	0
Elmod2	344.0	0	726	254	401	339	0
Bri3	343.6	0	89	702	927	0	0
Katnal1	343.4	0	716	0	480	521	0
Tcf12	343.0	0	541	746	249	179	0
Gm973	342.8	0	0	543	1073	98	0
Fbln2	342.8	0	737	0	187	790	0
Atg5	342.8	0	832	0	105	777	0
Gstp2	342.4	0	805	138	188	581	0
Selenom	342.2	0	480	182	168	881	0
Commd4	342.2	0	293	450	763	205	0
Car13	342.2	0	562	136	300	713	0
Cdc42ep1	342.0	216	569	0	0	925	0
Cdr2l	341.6	177	154	539	433	405	0
Tspan14	341.0	0	359	502	844	0	0
Plekha7	341.0	0	351	209	669	476	0
Spg20	340.8	0	1131	148	253	172	0
Pax8	340.8	0	990	150	564	0	0
Mrtfa	340.8	111	789	343	329	132	0
Mafk	340.8	0	612	0	319	773	0
Itprip	340.8	146	717	0	225	616	0
Zbtb37	340.4	0	469	651	446	136	0
Basp1	340.4	0	158	228	203	1113	0
Pcnt	340.2	0	0	592	1014	95	0
Maff	340.2	0	862	0	177	662	0
Foxn1	340.0	429	1027	0	0	244	0
Ccnl1	339.8	0	323	209	967	200	0
Btbd11	339.6	123	839	222	233	281	0
Aoc3	339.6	0	647	292	759	0	0
1700013G24Rik	339.6	163	493	143	317	582	0
Ppp2cb	339.4	0	803	301	406	187	0
Npepps	339.4	0	140	505	1052	0	0
Prr13	339.0	81	505	261	564	284	0
Ctnnal1	339.0	135	656	77	213	614	0
Tnfrsf1a	338.8	0	919	0	584	191	0
Piga	338.6	0	0	823	870	0	0
P2rx7	338.6	0	929	309	455	0	0
Nynrin	338.6	0	0	862	831	0	0
Frk	338.6	0	84	771	533	305	0
Gtf2a1	338.2	241	1022	0	135	293	0
4930579F01Rik	338.2	0	224	433	723	311	0
Tep1	338.0	0	0	615	1075	0	0
Mid2	337.8	0	1202	0	182	305	0
Phyhd1	337.6	0	667	192	167	662	0
Arhgdib	337.6	0	123	650	915	0	0
Slc25a11	337.2	0	813	184	291	398	0
Rnf167	337.2	0	813	184	291	398	0
Pnpla8	337.2	0	761	221	425	279	0
Hdac4	337.0	0	185	751	659	90	0
Riok2	336.8	0	755	137	442	350	0
Tpd52l2	336.6	0	768	254	584	77	0
Tle4	336.6	0	150	548	503	482	0
Mcfd2	336.6	0	481	555	532	115	0
Abhd16b	336.6	0	768	254	584	77	0
Il25	336.4	0	679	568	435	0	0
Efs	336.4	0	679	568	435	0	0
Tpp2	336.2	0	1306	0	90	285	0
Pmepa1	336.2	0	294	414	704	269	0
Apob	336.2	0	0	0	0	1681	0
Tmem62	336.0	179	819	118	297	267	0
Itm2b	336.0	0	639	385	656	0	0
Cetn4	336.0	123	1091	0	268	198	0
Bbs12	336.0	123	1091	0	268	198	0
Sowahc	335.8	0	447	430	682	120	0
Snx9	335.8	0	186	596	897	0	0
Septin10	335.8	0	447	430	682	120	0
Stag1	335.6	0	573	201	345	559	0
Ssc5d	335.6	0	1102	147	215	214	0
Nat14	335.6	0	1102	147	215	214	0
Ammecr1l	335.6	0	617	565	392	104	0
Lox	335.4	0	582	543	552	0	0
Bcl2l12	335.4	0	337	573	447	320	0
Cyth1	335.2	0	720	169	513	274	0
Tcf3	335.0	0	389	158	568	560	0
Plxdc1	334.8	0	117	267	707	583	0
Gpd2	334.6	0	252	587	694	140	0
Macc1	334.4	0	270	614	569	219	0
Fbn2	334.4	0	1470	92	110	0	0
Ppp2r5c	334.2	0	0	955	579	137	0
Krt19	334.2	249	532	142	377	371	0
C77080	334.2	137	398	0	134	1002	0
Pnpla3	334.0	0	109	760	801	0	0
Acadvl	334.0	147	1122	0	0	401	0
Asb5	333.8	324	836	0	0	509	0
Sucla2	333.4	0	0	518	1149	0	0
Cebpb	333.4	0	447	0	524	696	0
Pramel12	333.2	0	214	211	1022	219	0
Dus2	333.2	222	766	0	278	400	0
Ddx28	333.2	222	766	0	278	400	0
Dhx16	332.8	0	1185	0	116	363	0
Gstp1	332.2	0	517	346	217	581	0
Ndrg1	332.0	216	619	111	548	166	0
Marveld3	331.6	0	1027	222	218	191	0
Slc25a21	331.4	0	1144	305	208	0	0
Cry2	331.4	0	537	552	568	0	0
Bace1	331.4	0	163	603	685	206	0
Tfe3	331.2	0	824	144	111	577	0
Edrf1	331.0	0	491	250	792	122	0
Fam186a	330.8	0	190	596	868	0	0
Nagk	330.6	0	136	601	678	238	0
Ube4a	330.4	0	563	269	553	267	0
Tubd1	330.4	0	0	828	606	218	0
Rps6kb1	330.4	0	0	828	606	218	0
F11r	330.4	0	216	437	368	631	0
Ptpmt1	330.2	0	493	463	457	238	0
Tbc1d10a	330.0	0	1008	260	382	0	0
Sgcd	329.8	0	1488	0	161	0	0
Daam1	329.6	0	1256	0	177	215	0
Thra	329.4	0	0	910	612	125	0
Kif21b	329.4	0	1182	0	0	465	0
Dguok	329.4	0	190	146	460	851	0
Cmip	329.2	0	564	267	428	387	0
Cluap1	329.0	0	253	470	636	286	0
Sertad1	328.8	0	680	292	387	285	0
Laptm4b	328.0	0	174	500	803	163	0
Rgmb	327.8	0	384	662	593	0	0
Pink1	327.8	0	0	433	771	435	0
Fam76a	327.8	0	588	429	622	0	0
Csnk1g1	327.8	0	90	440	952	157	0
Aftph	327.8	0	637	352	134	516	0
Vill	327.6	0	729	122	183	604	0
Ppm1k	327.6	0	0	261	287	1090	0
Nudt1	327.6	0	265	343	806	224	0
Atp8a1	327.6	0	252	417	507	462	0
Flt3	327.0	0	0	842	793	0	0
Ostf1	326.8	0	243	637	754	0	0
Nmrk1	326.8	0	243	637	754	0	0
Gstm7	326.8	0	638	405	591	0	0
Ncald	326.6	174	270	192	163	834	0
Zfp763	326.4	0	267	417	789	159	0
Wwc2	326.4	0	75	914	522	121	0
Psen2	326.4	0	746	400	486	0	0
Slc25a23	326.2	0	0	611	939	81	0
Lims1	326.2	139	565	292	396	239	0
Crb3	326.2	0	0	611	939	81	0
Xaf1	326.0	0	685	184	561	200	0
Ppp1r15a	326.0	0	945	179	252	254	0
Plekha4	326.0	0	945	179	252	254	0
Irak3	326.0	118	179	233	928	172	0
Cbx1	326.0	0	287	581	762	0	0
D2hgdh	325.8	0	0	774	721	134	0
Csrp1	325.6	0	483	298	416	431	0
Atad5	325.6	0	128	0	310	1190	0
Pafah1b2	325.4	0	164	567	588	308	0
Gtf3c3	325.4	0	0	786	580	261	0
Tsga10	325.2	0	186	0	395	1045	0
Trp53inp2	325.2	0	155	688	545	238	0
Bcar1	325.0	227	670	0	218	510	0
Zfp280d	324.8	153	577	0	178	716	0
Msantd3	324.8	275	805	122	138	284	0
Atp10d	324.8	0	231	611	782	0	0
Tmem189	324.4	0	0	629	993	0	0
Rgs12	324.4	0	0	634	988	0	0
Rab11fip5	324.4	0	239	384	999	0	0
Cntnap1	324.0	0	471	332	537	280	0
Ccdc126	323.6	0	204	365	697	352	0
Tmem40	323.2	0	239	418	854	105	0
Ahdc1	323.2	0	278	523	648	167	0
B230219D22Rik	323.0	163	229	171	236	816	0
Ssh2	322.8	0	583	126	172	733	0
Dnaic2	322.8	0	1140	115	241	118	0
Cd7	322.6	0	643	100	268	602	0
Bbs5	322.6	0	1031	0	98	484	0
Tln1	322.4	0	229	598	668	117	0
Creb3	322.4	0	229	598	668	117	0
Asxl3	322.4	0	79	797	736	0	0
Aplp2	322.4	0	0	464	1002	146	0
Sdhb	322.2	0	0	467	675	469	0
Slco2a1	321.8	0	348	453	613	195	0
Gtf3c6	321.6	0	0	475	855	278	0
Osmr	321.0	0	591	299	715	0	0
Igll1	321.0	0	109	553	943	0	0
Cttn	320.8	0	939	0	198	467	0
Zfp790	320.4	0	674	241	296	391	0
Spatc1	320.2	0	644	329	285	343	0
Mcpt9	320.2	0	336	174	134	957	0
Atf3	320.0	0	672	207	488	233	0
Cltc	319.8	141	627	0	196	635	0
Trdn	319.6	0	0	760	838	0	0
Clic3	319.6	0	655	320	429	194	0
Bcl3	319.6	0	880	0	233	485	0
Fam222a	319.2	0	0	620	976	0	0
Mroh3	319.0	0	0	496	1099	0	0
Klhl33	319.0	0	345	447	803	0	0
Unkl	318.8	0	743	0	388	463	0
Pla2g6	318.8	0	207	358	383	646	0
Perp	318.6	0	431	0	223	939	0
Olfr94	318.6	202	1211	0	180	0	0
Vapa	318.4	0	282	251	855	204	0
Lamb2	318.4	0	0	287	1180	125	0
Slc25a1	318.2	0	0	693	807	91	0
Pxdn	318.2	0	1186	0	132	273	0
Plce1	318.2	0	741	350	500	0	0
Rab11fip3	317.8	0	0	703	886	0	0
Prss53	317.6	0	0	884	610	94	0
Prpf39	317.6	158	879	0	135	416	0
Hivep2	317.6	0	0	952	464	172	0
Sytl2	317.4	0	964	229	394	0	0
Cdk5rap1	317.4	0	857	203	349	178	0
Pcyt1a	317.2	0	566	108	318	594	0
Agfg1	317.2	0	143	457	612	374	0
Sult2b1	317.0	165	658	0	0	762	0
Myl3	317.0	0	917	243	425	0	0
Mmp14	316.6	125	698	0	105	655	0
Pitpna	316.2	0	685	203	419	274	0
Dap	316.2	325	348	104	372	432	0
Tmem39a	315.8	0	288	758	368	165	0
Qrfp	315.6	251	649	0	229	449	0
Numb	315.6	0	1061	0	116	401	0
Pfdn2	315.2	0	845	0	114	617	0
Nit1	315.2	0	845	0	114	617	0
Gtpbp2	315.0	0	482	358	512	223	0
Pml	314.8	0	513	0	337	724	0
Elk3	314.8	450	720	0	91	313	0
Rwdd2a	314.6	0	410	462	701	0	0
Pgm3	314.6	0	410	462	701	0	0
Map9	314.6	0	1009	0	169	395	0
Nudt14	314.4	0	144	526	651	251	0
Slc6a9	314.2	0	213	173	928	257	0
Rhag	314.2	0	535	282	754	0	0
Irx2	314.0	0	0	766	804	0	0
Sod1	313.8	0	162	664	601	142	0
Ncam1	313.8	0	0	450	639	480	0
Homer2	313.8	0	506	332	731	0	0
Guca2b	313.6	249	1013	0	0	306	0
Fhl3	313.6	0	623	0	0	945	0
Srebf1	313.2	0	531	0	263	772	0
Eif2ak1	313.2	0	294	649	623	0	0
Saa4	312.8	0	344	575	645	0	0
Rrm1	312.8	0	239	399	730	196	0
Efemp1	312.6	0	260	527	581	195	0
Igsf3	312.4	0	789	171	225	377	0
Serinc1	312.2	0	237	190	981	153	0
Acsbg1	312.2	0	0	588	973	0	0
Tlr4	312.0	277	1042	0	163	78	0
Hmga1b	312.0	0	522	165	228	645	0
Hmga1	312.0	0	522	165	228	645	0
Traf1	311.6	0	538	145	321	554	0
Tlx2	311.6	0	126	595	837	0	0
Rhoc	311.6	0	606	0	348	604	0
Frmpd1	311.4	0	315	623	619	0	0
Zdhhc12	311.2	0	542	294	621	99	0
Pomp	311.0	0	242	368	707	238	0
Pde6a	311.0	149	596	0	385	425	0
Azin1	311.0	0	760	103	249	443	0
Sbk3	310.8	114	905	0	0	535	0
Mrln	310.8	250	875	143	286	0	0
Cep68	310.8	0	860	260	332	102	0
Cd24a	310.8	0	101	364	348	741	0
Arl6ip1	310.8	0	220	317	470	547	0
Zfp367	310.6	0	762	199	357	235	0
Skp2	310.4	0	472	331	612	137	0
Cyb5r1	310.4	0	273	401	878	0	0
Crybg1	310.2	0	609	141	312	489	0
Calhm5	310.2	0	698	180	369	304	0
Muc15	309.8	0	1015	213	321	0	0
Zyx	309.6	0	925	0	324	299	0
Sema7a	309.2	0	346	234	362	604	0
Rab5a	309.0	0	578	261	571	135	0
Syncrip	308.8	0	186	488	735	135	0
Samm50	308.8	0	86	715	588	155	0
Pin4	308.8	0	177	409	444	514	0
Map10	308.6	0	0	775	768	0	0
Atf4	308.6	0	698	0	575	270	0
Prr12	308.4	0	121	635	656	130	0
Poldip3	307.8	0	350	175	367	647	0
Myo5c	307.6	0	1068	0	0	470	0
Zfand5	307.4	0	228	274	784	251	0
Slc16a11	307.4	0	409	259	477	392	0
Anapc15	307.4	0	85	676	776	0	0
Nfib	307.2	0	760	367	409	0	0
Abcc4	307.2	150	776	0	208	402	0
Spata2	306.8	0	0	922	496	116	0
Rnf114	306.8	0	0	922	496	116	0
Mthfsl	306.8	0	501	279	403	351	0
Gpx4	306.8	0	547	269	177	541	0
Denr	306.8	0	580	92	337	525	0
Zfp516	306.6	405	586	97	103	342	0
Vit	306.6	0	577	276	680	0	0
Zfp747	306.4	0	306	401	699	126	0
Ttyh2	306.4	0	471	379	519	163	0
Taf4	306.4	0	1096	0	0	436	0
Ptprm	306.4	0	1147	0	385	0	0
Dpt	306.2	0	279	596	351	305	0
Ccdc102a	306.0	0	1142	0	220	168	0
Dusp27	305.8	124	117	517	611	160	0
Rabggta	305.6	0	750	195	192	391	0
Myorg	305.6	0	0	519	858	151	0
Ednrb	305.6	0	1153	162	213	0	0
1110017D15Rik	305.6	0	0	519	858	151	0
Ppp1r11	305.4	0	849	0	0	678	0
Col8a1	305.4	0	577	342	321	287	0
Carnmt1	305.4	0	0	794	733	0	0
Duxbl3	305.2	0	0	763	763	0	0
Duxbl2	305.2	0	0	763	763	0	0
Duxbl1	305.2	0	0	763	763	0	0
Ctnna1	305.2	0	352	176	257	741	0
Zp3	304.8	0	571	381	349	223	0
Tut1	304.8	0	0	752	568	204	0
Tlr5	304.8	0	948	218	358	0	0
Plcd1	304.6	0	260	434	829	0	0
Inpp5a	304.6	0	363	564	596	0	0
Tpra1	304.0	0	295	0	311	914	0
Lama4	304.0	0	0	696	824	0	0
Irak2	304.0	0	0	0	141	1379	0
Dab2ip	304.0	0	423	522	575	0	0
Arl14ep	304.0	0	904	0	0	616	0
Rel	303.8	0	877	157	217	268	0
Etfa	303.8	0	143	625	606	145	0
Cd44	303.6	0	667	195	409	247	414
Cemip2	303.6	0	464	203	258	593	0
Smim15	303.2	0	427	515	249	325	0
Rab31	303.2	0	332	245	196	743	0
Kng2	303.2	0	243	588	685	0	0
Tnfsf4	303.0	0	503	303	574	135	0
Elf5	303.0	0	0	567	804	144	0
Cdkn2aipnl	303.0	0	109	0	116	1290	0
Lrif1	302.8	0	272	421	550	271	0
Gna13	302.8	0	199	648	667	0	0
Cbln3	302.8	0	0	0	104	1410	0
Psd3	302.6	0	248	664	601	0	0
Septin7	302.4	0	625	0	285	602	0
Scml4	302.4	0	348	581	583	0	0
Gapdh	302.4	0	579	196	490	247	0
Tab1	302.0	0	763	290	293	164	0
Olfr12	301.8	380	771	0	0	358	0
Il1r1	301.8	132	916	0	341	120	0
Zeb2	301.6	0	646	179	360	323	0
Txnrd1	301.6	0	796	232	365	115	0
Pdlim7	301.6	0	500	106	383	519	0
Wdr43	301.0	0	105	437	803	160	0
Zfp263	300.8	0	144	785	575	0	0
Smagp	300.8	0	80	0	133	1291	0
Id3	300.6	0	338	587	578	0	0
Slc4a9	300.4	0	733	0	119	650	0
Nipbl	300.2	0	793	261	162	285	0
Hmgn1	300.2	0	577	113	120	691	0
Osgin1	300.0	0	998	0	114	388	0
Nyap1	300.0	0	586	0	404	510	0
Frat2	300.0	0	886	146	371	97	0
Adnp2	300.0	0	426	448	469	157	0
Rab20	299.8	0	1161	114	224	0	0
Micu1	299.8	0	154	479	733	133	0
Klf4	299.8	0	1004	0	167	328	0
Sprr3	299.6	0	0	615	883	0	0
Prss38	299.6	0	116	419	963	0	0
Zfp958	299.2	0	0	831	665	0	0
Sfrp1	299.2	0	0	574	922	0	0
Ccr10	299.2	0	471	332	537	156	0
Bhlhe23	299.0	0	325	536	634	0	0
Arhgef19	299.0	0	555	511	429	0	0
1700010I14Rik	298.8	0	0	695	799	0	0
Rsrc2	297.8	0	0	360	981	148	0
Kntc1	297.8	0	0	360	981	148	0
Usp49	297.6	0	949	0	151	388	0
Pnisr	297.2	0	874	233	379	0	0
Nipsnap2	297.2	0	213	408	686	179	0
Meox2	297.2	0	0	773	713	0	0
Cavin2	297.2	0	607	180	430	269	0
Arhgap40	297.2	0	605	0	0	881	0
Pfdn4	296.8	0	220	370	518	376	0
Rab3gap2	296.6	0	851	0	210	422	0
Ftl1	296.6	217	838	0	233	195	0
Zscan21	296.4	0	695	79	361	347	0
Pitpnc1	296.2	0	325	301	390	465	0
Wbp1l	296.0	0	359	339	251	531	0
P2rx5	296.0	133	1253	0	0	94	0
Otogl	296.0	0	520	392	568	0	0
Gtf2i	296.0	0	246	201	594	439	0
Gm19774	296.0	0	1147	133	200	0	0
Slc17a8	295.8	232	1066	0	181	0	0
H4c14	295.8	0	319	395	356	409	0
Cux1	295.6	190	763	136	258	131	0
Zfp93	295.0	0	379	676	361	59	0
Lrrc42	295.0	0	159	526	790	0	0
Lap3	295.0	0	0	782	693	0	0
Hspb11	295.0	0	159	526	790	0	0
Zfp1	294.8	0	307	220	359	588	0
Slc1a4	294.8	0	332	261	525	356	0
Dnaja4	294.8	0	222	618	634	0	0
Clcn5	294.8	176	325	174	270	529	0
Sik3	294.6	0	164	441	560	308	0
Pgk1	294.6	0	716	336	286	135	0
Lmbr1	294.4	0	580	204	526	162	0
Hdac9	294.2	0	210	840	421	0	0
Dact2	294.2	0	0	438	779	254	0
Baiap2	294.2	0	210	554	707	0	0
Lrmp	293.8	0	224	310	380	555	0
Dhrs11	293.8	0	0	736	733	0	0
Acaca	293.8	0	668	311	490	0	0
Katnbl1	293.6	0	145	213	536	574	0
Stum	293.2	0	0	839	627	0	0
Shroom3	293.2	0	0	704	651	111	0
Neurl1a	293.2	187	699	116	192	272	0
Lrrfip1	293.2	0	497	0	512	457	0
Rnf181	293.0	0	478	428	413	146	0
Rassf8	293.0	0	835	0	167	463	0
Cth	293.0	0	0	757	549	159	0
Primpol	292.6	0	555	389	415	104	0
Mxd4	292.6	0	0	907	556	0	0
Casp3	292.6	0	555	389	415	104	0
Arnt	292.6	0	208	668	434	153	0
Arl4a	292.6	0	0	286	819	358	0
Lrrc31	292.4	0	0	460	689	313	0
Lhx6	292.4	148	818	0	136	360	0
Xrcc6	292.2	0	928	0	255	278	0
Pnkd	292.2	0	493	262	378	328	0
Ebna1bp2	292.2	0	0	160	1179	122	0
Desi1	292.2	0	928	0	255	278	0
Cfap57	292.2	0	0	160	1179	122	0
Cdk5rap3	292.2	0	602	0	204	655	0
Aamp	292.2	0	493	262	378	328	0
Ints6	292.0	0	0	758	532	170	0
Ankrd37	292.0	0	0	180	921	359	0
Gclc	291.8	0	655	0	505	299	0
Dlg3	291.8	0	801	254	404	0	0
Cds2	291.8	0	311	336	477	335	0
Sh3kbp1	291.4	0	424	117	260	656	0
Serpinb9b	291.4	230	525	0	156	546	0
Nnt	291.2	0	0	741	715	0	0
Xpot	291.0	0	410	295	357	393	0
Hps6	291.0	0	294	197	849	115	0
Armh3	291.0	0	294	197	849	115	0
Tmem35a	290.8	0	205	540	709	0	0
Omd	290.6	207	748	243	255	0	0
Fpgs	290.6	0	480	220	325	428	0
Csrnp1	290.6	139	655	0	178	481	0
Abcd3	290.6	0	327	567	559	0	0
Slco1a6	290.4	0	151	269	342	690	0
Ppt2	290.4	0	0	700	752	0	0
Gsn	290.4	0	320	130	260	742	0
Fam174b	290.4	0	183	532	737	0	0
Atp5g1	290.4	0	385	0	563	504	0
Vdr	290.2	161	608	0	0	682	0
Gpi1	290.2	0	891	0	261	299	0
Rasal1	290.0	148	234	0	0	1068	0
Pik3r4	290.0	0	191	580	551	128	0
Pakap	290.0	0	265	564	621	0	0
Dtx4	290.0	0	502	182	294	472	0
Tmigd1	289.8	0	504	192	237	516	0
Rap1gap2	289.8	0	164	319	626	340	0
Nfkbie	289.8	0	535	271	449	194	0
Oaz2	289.6	0	618	378	378	74	0
Eml1	289.6	0	349	272	721	106	0
Tspan9	289.4	0	416	171	264	596	0
Cryab	289.4	0	355	198	814	80	0
Adamts17	289.2	0	384	227	332	503	0
Tpm1	288.8	0	154	309	324	657	0
Smad4	288.8	0	0	537	907	0	0
Pdzrn4	288.8	0	186	318	294	646	0
Atf6	288.8	0	660	156	273	355	0
4921524J17Rik	288.4	0	1049	0	393	0	0
Tbc1d22a	288.2	0	0	662	461	318	0
Nfatc4	288.2	0	256	479	706	0	0
Ncbp3	288.2	0	0	675	766	0	0
Aacs	288.2	0	131	404	734	172	0
Dixdc1	288.0	0	633	230	400	177	0
Pga5	287.8	0	159	336	427	517	0
Fam174c	287.8	0	531	227	376	305	0
F3	287.8	0	552	184	178	525	0
Slc9a2	287.6	0	0	801	637	0	0
Slc39a1	287.6	0	733	0	0	705	0
Sumf2	287.4	0	0	519	803	115	0
Qars	287.4	0	806	0	180	451	0
Ifi207	287.4	0	976	280	181	0	0
Cntnap2	287.4	0	863	117	230	227	0
C2	287.4	0	573	0	0	864	0
Acp7	287.4	0	142	680	615	0	0
Nyx	287.2	0	285	0	83	1068	0
Id1	287.2	0	684	276	476	0	0
Golgb1	287.0	0	0	612	823	0	0
Rrp8	286.8	0	654	177	369	234	0
Ilk	286.8	0	654	177	369	234	0
Hoxa10	286.8	0	127	656	553	98	0
Cyp11a1	286.8	0	531	247	475	181	0
Aqp11	286.8	0	433	360	384	257	0
Lmo7	286.6	0	117	589	598	129	0
Furin	286.6	216	717	0	0	500	0
Tmem18	286.4	0	260	498	674	0	0
Cpne3	286.4	0	0	439	865	128	0
Asap1	286.2	142	424	0	0	865	0
Sesn2	286.0	0	213	611	606	0	0
Gpsm1	286.0	0	194	581	483	172	0
Fam171a1	286.0	0	0	344	847	239	0
Taf10	285.8	0	115	364	716	234	0
Dnmt1	285.8	0	943	0	147	339	0
Zc2hc1a	285.6	0	173	250	1005	0	0
Slc45a4	285.6	0	711	182	205	330	0
Ccdc148	285.4	0	384	470	454	119	0
Triqk	285.2	0	101	641	684	0	0
Cldn3	285.2	0	134	240	244	808	0
Slc3a2	284.8	0	333	315	607	169	0
Fancc	284.8	0	686	151	420	167	0
Usp31	284.6	0	0	170	1253	0	0
Gnpda1	284.4	0	191	217	873	141	0
Cftr	284.4	0	224	0	0	1198	0
Wwox	284.0	242	607	0	237	334	0
Acp6	284.0	0	0	907	513	0	0
Zfp385b	283.4	0	142	728	547	0	0
Sp9	283.4	0	295	497	625	0	0
Lrrk1	283.2	0	787	141	103	385	0
Itgb4	283.2	0	517	184	503	212	0
Zbtb7b	283.0	0	559	315	162	379	0
Ston1	283.0	0	697	300	245	173	0
Lipt2	282.8	0	681	196	307	230	0
Hnrnpdl	282.8	0	0	516	898	0	0
Enoph1	282.8	0	0	516	898	0	0
Ubd	282.6	202	1211	0	0	0	0
Tmod3	282.6	0	169	428	695	121	0
Slc9a3r1	282.6	0	300	334	422	357	0
Ccl5	282.6	0	577	186	466	184	0
Sema5a	282.2	0	470	97	127	717	0
Mbp	282.2	0	198	298	473	442	0
Hnrnpd	282.2	0	614	132	484	181	0
Clec2d	282.0	0	168	153	282	807	0
Ccdc9	282.0	0	0	390	1020	0	0
Slf2	281.8	0	263	342	384	420	0
Sgk1	281.8	0	875	153	110	271	0
Prkn	281.8	0	1008	0	112	289	0
Pacrg	281.8	0	1008	0	112	289	0
Zfpm1	281.6	0	523	274	219	392	0
Tm9sf2	281.6	0	672	286	294	156	0
Dmd	281.6	0	688	117	350	253	0
Ubtd1	281.4	0	0	384	956	67	0
Mms19	281.4	0	0	384	956	67	0
Mlxip	281.4	0	454	503	329	121	0
Terf2	281.2	0	207	466	733	0	0
Oga	281.2	0	154	465	787	0	0
Mgat1	281.2	0	736	0	464	206	0
D10Wsu102e	281.2	0	123	471	672	140	0
Crlf3	281.2	0	216	0	0	1190	0
Sde2	281.0	0	106	186	778	335	0
Crem	281.0	0	534	158	469	244	0
Wtip	280.8	0	1165	106	133	0	0
F2rl1	280.8	0	352	239	458	355	0
Stc2	280.6	0	285	277	368	473	0
Pnrc2	280.6	0	380	231	632	160	0
Maml3	280.6	0	0	761	451	191	0
Mprip	280.4	0	652	270	480	0	0
Ift43	280.4	0	147	0	534	721	0
Fam111a	280.4	0	272	333	650	147	0
Proca1	280.0	0	639	205	152	404	0
Pak1ip1	280.0	0	109	101	1050	140	0
Calcoco1	280.0	139	680	118	216	247	0
Nfyc	279.8	0	377	348	513	161	0
Mcts2	279.8	0	691	0	142	566	0
Smad1	279.6	0	156	510	732	0	0
Psip1	279.6	0	86	624	606	82	0
Mical3	279.6	0	275	0	191	932	0
Hexim2	279.6	0	1002	0	252	144	0
Eif5	279.4	0	461	255	529	152	0
Dmkn	279.4	0	581	269	468	79	0
Mlph	279.2	0	0	0	0	1396	0
Gsta3	279.2	0	0	649	747	0	0
Tmem158	279.0	0	408	248	199	540	0
Plxnd1	279.0	0	576	0	245	574	0
Endou	279.0	0	93	0	242	1060	0
Cav1	279.0	221	638	0	193	343	0
Tmem19	278.8	0	315	473	606	0	0
Ptpn12	278.8	0	259	472	498	165	0
Kcnip1	278.6	0	559	330	504	0	0
Clca4b	278.6	0	0	625	768	0	0
Azin2	278.6	135	428	177	244	409	0
Capn8	278.4	0	555	459	378	0	0
Arhgef10l	278.4	172	778	0	0	442	0
Aadac	278.4	0	177	314	901	0	0
Aldh3b1	278.2	0	229	356	701	105	0
Zfp954	278.0	0	766	0	213	411	0
Rfx7	278.0	0	70	426	545	349	0
Map3k19	278.0	0	1024	100	266	0	0
Kmt5a	278.0	0	587	352	332	119	0
Atl2	278.0	0	471	307	453	159	0
Tvp23b	277.8	0	517	208	523	141	0
Oxt	277.8	0	677	0	0	712	0
Avp	277.8	0	677	0	0	712	0
Naa80	277.6	0	776	223	212	177	0
Hyal3	277.6	0	776	223	212	177	0
Hyal1	277.6	0	776	223	212	177	0
Fam219a	277.6	0	0	622	613	153	0
Erlin2	277.6	149	0	195	522	522	0
Dnaic1	277.6	0	0	622	613	153	0
Ankfn1	277.6	0	452	407	529	0	0
Ywhaz	277.4	0	120	280	849	138	0
Smap1	277.4	0	284	389	415	299	0
Scd2	277.4	0	669	233	125	360	0
4930432M17Rik	277.2	0	141	0	0	1245	0
Mphosph10	277.0	0	0	484	734	167	0
Mcee	277.0	0	0	484	734	167	0
Dstn	277.0	0	667	0	347	371	0
Yap1	276.8	0	770	0	0	614	0
Spink5	276.8	0	749	247	388	0	0
Cdt1	276.8	108	1036	0	133	107	0
Lrrc61	276.4	0	198	306	727	151	0
Serpinb1c	276.2	250	545	0	0	586	0
Rad18	276.2	0	591	0	374	416	0
Pole2	276.2	0	772	180	333	96	0
Nfil3	276.2	0	664	0	149	568	0
Zkscan6	276.0	0	812	0	183	385	0
Aggf1	276.0	0	147	442	620	171	0
