Target_genes	Zbtb11|Average	SRX5247619|ES_cells	SRX5247622|ES_cells	SRX5247623|ES_cells	SRX5247624|ES_cells	SRX5247637|ES_cells	SRX5247638|ES_cells	SRX5247639|ES_cells	STRING
Sema3g	459.714286	576	0	0	0	543	378	1721	0
Zfp354b	458.857143	373	0	0	0	593	730	1516	0
Zfp263	458.571429	652	0	0	0	635	445	1478	0
Uchl3	458.571429	280	0	0	0	959	842	1129	0
Sema4b	458.428571	483	0	0	0	680	548	1498	0
Zfp184	458.142857	456	0	0	0	765	544	1442	0
Lsm4	457.714286	572	0	0	0	489	494	1649	0
Rps10	457.571429	351	0	0	0	1205	692	955	0
Ppil1	457.428571	304	0	0	0	1166	659	1073	0
BC004004	457.428571	304	0	0	0	1166	659	1073	0
Mettl14	457.285714	456	0	0	0	655	506	1584	0
Hrob	457.285714	497	0	0	0	689	507	1508	0
Ndc1	457.142857	457	0	0	0	386	695	1662	0
Tmem150b	456.714286	323	0	0	0	642	743	1489	0
Tmem119	456.571429	297	0	0	0	1391	487	1021	0
Max	456.285714	542	0	0	0	345	643	1664	0
Gm3500	456.142857	420	0	0	0	731	691	1351	0
Acbd5	456.142857	343	0	0	0	923	676	1251	0
Cebpzos	453.857143	331	0	0	0	628	731	1487	0
Naa20	453.142857	347	0	0	0	897	556	1372	0
Fntb	453.0	326	0	0	0	549	764	1532	0
Birc5	452.857143	470	0	0	0	506	757	1437	0
Sstr2	451.857143	419	0	0	0	856	562	1326	0
Slc27a4	451.857143	453	0	0	0	634	971	1105	0
Edem1	451.428571	174	0	0	0	1146	631	1209	0
Prr22	451.0	843	0	0	0	0	493	1821	0
Spr	450.571429	339	0	0	0	987	516	1312	0
Srpr	450.285714	703	0	0	0	456	384	1609	0
Foxred1	450.285714	703	0	0	0	456	384	1609	0
Cdt1	449.857143	647	0	0	0	688	354	1460	0
Rhbdd1	449.428571	538	0	0	0	763	517	1328	0
Alkbh8	449.0	316	0	0	0	568	753	1506	0
Kdm3b	447.428571	287	0	0	0	695	727	1423	0
Tprkb	447.0	290	0	0	0	876	572	1391	0
Nat8f1	447.0	290	0	0	0	876	572	1391	0
Snrpb2	446.428571	252	0	0	0	895	985	993	0
Tmem208	445.714286	442	0	0	0	784	411	1483	0
Lrrc29	445.714286	442	0	0	0	784	411	1483	0
Fbxw2	445.714286	420	0	0	0	709	605	1386	0
Dexi	445.571429	474	0	0	0	394	689	1562	0
Clec16a	445.571429	474	0	0	0	394	689	1562	0
Vrk1	443.571429	251	0	0	0	454	799	1601	0
Arih1	443.428571	307	0	0	0	994	429	1374	0
2310011J03Rik	442.857143	302	0	0	0	824	796	1178	0
Ska3	442.142857	225	0	0	0	994	609	1267	0
Mrpl57	442.142857	225	0	0	0	994	609	1267	0
Ing3	442.0	496	0	0	0	450	336	1812	0
Olfr806	440.571429	294	521	469	527	511	478	284	0
Rsph3b	440.285714	430	0	0	0	804	512	1336	0
Padi4	440.142857	550	0	0	0	908	404	1219	0
Mvb12a	440.0	339	0	0	0	615	348	1778	0
Cdca4	439.857143	476	0	0	0	333	881	1389	0
Zfp33b	439.428571	287	0	0	0	1353	478	958	0
Primpol	439.285714	662	0	0	0	534	288	1591	0
Casp3	439.285714	662	0	0	0	534	288	1591	0
Tec	439.142857	587	0	0	0	525	411	1551	0
Pkd1l3	438.714286	0	0	0	0	0	0	3071	0
Mettl3	438.714286	445	0	0	0	676	404	1546	0
Zbtb43	438.428571	561	0	0	0	733	429	1346	0
Trmt11	438.428571	302	0	0	0	902	554	1311	0
Gm3636	438.0	366	0	0	0	888	765	1047	0
Znhit2	437.428571	276	0	0	0	885	613	1288	0
Mrpl49	437.428571	276	0	0	0	885	613	1288	0
Fau	437.428571	276	0	0	0	885	613	1288	0
Gm3667	437.142857	296	0	0	0	929	774	1061	0
Madcam1	436.714286	0	0	0	0	160	0	2897	0
Zfp317	435.571429	271	0	0	0	981	507	1290	0
Sigirr	435.428571	154	0	0	0	915	725	1254	0
Cct5	435.428571	404	0	0	0	568	425	1651	0
Atpsckmt	435.428571	404	0	0	0	568	425	1651	0
Baiap2	433.0	574	0	0	0	656	390	1411	0
Pabpc1	432.857143	138	0	0	0	747	767	1378	0
Slc38a7	432.714286	292	0	0	0	1209	496	1032	0
Gpatch1	431.0	448	0	0	0	800	453	1316	0
Eapp	430.571429	448	0	0	0	544	505	1517	0
Zfp808	430.428571	393	0	0	0	1008	462	1150	0
Agpat2	430.428571	366	0	0	0	610	558	1479	0
Cnih4	430.285714	381	0	0	0	527	676	1428	0
Fam32a	430.142857	362	0	0	0	807	446	1396	0
Ccdc90b	429.714286	324	0	0	0	490	824	1370	0
Abhd6	429.714286	315	468	424	593	443	486	279	0
Ralbp1	429.571429	474	0	0	0	484	599	1450	0
Exoc5	429.285714	336	0	0	0	994	393	1282	0
Ap5m1	429.285714	336	0	0	0	994	393	1282	0
Gzme	428.428571	581	0	0	0	586	352	1480	0
Stk3	428.142857	667	0	0	0	479	309	1542	0
Cln8	428.0	226	0	0	0	1024	438	1308	0
Homer3	427.428571	383	0	0	0	663	709	1237	0
Sowaha	426.857143	193	0	0	0	1062	531	1202	0
Tmed10	426.571429	246	0	0	0	868	652	1220	0
Gfpt1	426.0	294	0	0	0	877	495	1316	0
Rab32	425.857143	321	0	0	0	990	522	1148	0
Kdelr2	425.571429	212	0	0	0	1015	587	1165	0
Bub3	425.571429	400	0	0	0	532	921	1126	0
Secisbp2	425.285714	425	0	0	0	816	627	1109	0
Melk	425.285714	493	0	0	0	751	383	1350	0
Trappc5	425.0	333	0	0	0	688	544	1410	0
Fcor	425.0	333	0	0	0	688	544	1410	0
Wrap73	423.142857	413	0	0	0	636	469	1444	0
Trp73	423.142857	413	0	0	0	636	469	1444	0
Mcm9	422.714286	392	0	0	0	970	560	1037	0
Slc6a16	422.142857	422	0	0	0	690	552	1291	0
Cd37	422.142857	422	0	0	0	690	552	1291	0
Adsl	422.142857	542	0	0	0	455	434	1524	0
Dhx37	421.714286	321	0	0	0	1213	345	1073	0
Cox8a	420.714286	485	0	0	0	591	458	1411	0
Six2	420.0	295	0	0	0	989	637	1019	0
Mill2	419.857143	402	0	0	0	788	449	1300	0
Borcs6	419.857143	531	0	0	0	617	398	1393	0
Aldh3a1	419.571429	329	0	0	0	1043	477	1088	0
Poc1a	419.428571	439	0	0	0	621	498	1378	0
Stpg2	418.714286	340	0	0	0	1019	619	953	0
Tfeb	418.571429	420	0	0	0	610	730	1170	0
Pcm1	418.428571	299	0	0	0	723	688	1219	0
Tifab	418.285714	275	0	0	0	788	686	1179	0
Cldn12	418.142857	330	0	0	0	1148	464	985	0
Pold3	417.571429	285	0	0	0	920	431	1287	0
Otud4	417.428571	389	0	0	0	503	618	1412	0
Proser3	417.142857	763	0	0	0	270	304	1583	0
Hspb6	417.142857	763	0	0	0	270	304	1583	0
Zdhhc7	417.0	455	0	0	0	802	499	1163	0
Relt	416.142857	256	0	0	0	969	509	1179	0
Gm10406	416.0	332	0	0	0	858	635	1087	0
Tmem192	415.857143	212	0	0	0	1049	416	1234	0
Pank4	415.857143	184	0	0	0	268	1011	1448	0
Hes5	415.857143	184	0	0	0	268	1011	1448	0
Ubr7	415.0	489	0	0	0	728	438	1250	0
Gon7	415.0	489	0	0	0	728	438	1250	0
Gm20604	415.0	489	0	0	0	728	438	1250	0
Slc10a7	414.857143	304	0	0	0	964	577	1059	0
Rbmxl1	414.857143	304	0	0	0	964	577	1059	0
Zfp345	412.428571	358	0	0	0	859	442	1228	0
Sirt2	412.428571	298	0	0	0	453	670	1466	0
Nfkbib	412.428571	298	0	0	0	453	670	1466	0
Kif1c	412.285714	211	0	0	0	833	658	1184	0
Inca1	412.285714	211	0	0	0	833	658	1184	0
Pfdn2	411.857143	345	0	0	0	800	405	1333	0
Nit1	411.857143	345	0	0	0	800	405	1333	0
Myl12b	411.857143	318	0	0	0	851	667	1047	0
Nmt1	411.285714	485	0	0	0	409	588	1397	0
Akap10	410.142857	336	0	0	0	489	467	1579	0
Cox19	409.857143	193	0	0	0	773	1002	901	0
Actr2	409.571429	268	0	0	0	944	438	1217	0
Lmnb1	409.285714	184	0	0	0	847	770	1064	0
Tmf1	409.142857	302	0	0	0	870	480	1212	0
Tmem198b	409.142857	440	0	0	0	624	448	1352	0
Dnajc14	409.142857	440	0	0	0	624	448	1352	0
Pramel12	408.714286	499	0	0	0	788	394	1180	0
Lmtk3	408.428571	327	0	0	0	668	635	1229	0
Sec24c	408.0	309	0	0	0	992	459	1096	0
Hoxb1	407.285714	177	0	0	0	1266	425	983	0
Ccdc134	406.714286	292	0	0	0	808	364	1383	0
Rnf220	406.571429	295	0	0	0	1222	425	904	0
Gosr2	406.285714	601	0	0	0	559	467	1217	0
Slc35e2	405.714286	519	0	0	0	609	279	1433	0
Chrnb2	404.714286	291	0	0	0	702	635	1205	0
Fbxo25	404.142857	211	0	0	0	1159	252	1207	0
Hk2	404.0	246	0	0	0	745	533	1304	0
Lypla1	403.857143	413	0	0	0	544	455	1415	0
Ly96	403.571429	436	0	0	0	837	396	1156	0
Tusc1	402.714286	225	0	0	0	935	367	1292	0
Cdsn	402.571429	375	0	0	0	600	762	1081	0
Tmem185b	402.142857	469	0	0	0	519	336	1491	0
Csrnp2	401.857143	293	0	0	0	746	665	1109	0
Lamtor4	401.571429	713	0	0	0	247	348	1503	0
Tmie	401.0	407	0	0	0	938	421	1041	0
Mtss2	401.0	282	0	0	0	1117	434	974	0
Als2cl	401.0	407	0	0	0	938	421	1041	0
Atp6v1e1	400.857143	447	0	0	0	571	414	1374	0
Krit1	400.571429	405	0	0	0	681	588	1130	0
Ankib1	400.571429	405	0	0	0	681	588	1130	0
Diablo	400.428571	425	0	0	0	495	431	1452	0
Rps28	399.428571	424	0	0	0	851	493	1028	0
Ndufa7	399.428571	424	0	0	0	851	493	1028	0
Arpp19	399.0	437	0	0	0	455	423	1478	0
Tsg101	398.857143	327	0	0	0	864	508	1093	0
Sfxn1	398.571429	267	0	0	0	1207	368	948	0
Panx1	398.428571	423	0	0	0	451	544	1371	0
Atg12	397.857143	295	0	0	0	1058	295	1137	0
Ap3s1	397.857143	295	0	0	0	1058	295	1137	0
Vamp4	397.714286	226	0	0	0	757	827	974	0
Nr2c2ap	397.142857	443	0	0	0	924	470	943	0
Adipor1	396.857143	463	0	0	0	598	336	1381	0
Gpt2	396.428571	369	0	0	0	586	465	1355	0
Med12	396.142857	515	0	0	0	511	313	1434	0
Psmb4	395.714286	663	0	0	0	625	200	1282	0
Daam1	395.714286	330	0	0	0	636	422	1382	0
Tmem184c	395.0	226	0	0	0	1026	499	1014	0
Metrnl	395.0	245	0	0	0	888	603	1029	0
Iqch	394.571429	318	0	0	0	619	549	1276	0
Aagab	394.571429	318	0	0	0	619	549	1276	0
Crkl	393.0	0	0	0	0	1457	421	873	0
Adh5	393.0	270	0	0	0	648	561	1272	0
Fancg	392.571429	518	0	0	0	379	340	1511	0
Slx1b	392.0	544	0	0	0	484	430	1286	0
Bola2	392.0	544	0	0	0	484	430	1286	0
Rfxank	391.714286	443	0	0	0	915	411	973	0
Gm45929	391.714286	443	0	0	0	915	411	973	0
Borcs8	391.714286	443	0	0	0	915	411	973	0
Chd8	391.571429	361	0	0	0	578	352	1450	0
Cep97	391.571429	363	0	0	0	498	548	1332	0
Rps16	391.142857	372	0	0	0	929	371	1066	0
Sympk	390.714286	471	0	0	0	538	576	1150	0
Gm3739	390.714286	317	0	0	0	790	673	955	0
Foxa3	390.714286	471	0	0	0	538	576	1150	0
Tbpl1	390.0	264	0	0	0	652	532	1282	0
Olfr54	389.428571	213	0	0	0	697	743	1073	0
Lta4h	388.857143	286	0	0	0	454	763	1219	0
Ctf1	388.428571	318	0	0	0	578	564	1259	0
Bcl7c	388.428571	318	0	0	0	578	564	1259	0
Plxnb1	388.285714	366	0	0	0	1052	475	825	0
Cnbp	387.857143	377	0	0	0	661	504	1173	0
Trim30a	387.0	265	0	0	0	891	511	1042	0
Eif2d	386.714286	307	0	0	0	909	327	1164	0
Snx1	386.428571	341	0	0	0	540	625	1199	0
Ciao2a	386.428571	341	0	0	0	540	625	1199	0
Ube2r2	385.714286	255	0	0	0	832	542	1071	0
Dbi	385.142857	238	0	0	0	1042	474	942	0
3110009E18Rik	385.142857	238	0	0	0	1042	474	942	0
Dlec1	384.857143	437	0	0	0	788	340	1129	0
Spint2	384.714286	553	0	0	0	445	277	1418	0
Aplf	384.285714	487	0	0	0	481	577	1145	0
Vwa7	384.142857	987	0	0	0	0	0	1702	0
Slc35c2	383.571429	390	0	0	0	627	485	1183	0
Poglut2	383.571429	490	0	0	0	602	453	1140	0
Bivm	383.571429	490	0	0	0	602	453	1140	0
Nup107	383.428571	280	0	0	0	786	520	1098	0
Acadvl	382.857143	209	0	0	0	533	833	1105	0
Cetn3	382.0	231	0	0	0	1007	463	973	0
Sugp1	381.571429	569	0	0	0	325	281	1496	0
Ppcdc	381.571429	374	0	0	0	542	624	1131	0
Mau2	381.571429	569	0	0	0	325	281	1496	0
Ercc6	381.142857	414	0	0	0	540	413	1301	0
Arpc3	380.714286	372	0	0	0	801	354	1138	0
Eif6	380.428571	276	0	0	0	797	356	1234	0
Sec23b	380.0	719	0	0	0	489	191	1261	0
Rbbp9	380.0	719	0	0	0	489	191	1261	0
Zfp933	379.857143	431	0	0	0	298	595	1335	0
Eml6	379.714286	502	0	0	0	393	511	1252	0
Commd6	379.571429	395	0	0	0	724	327	1211	0
Pde8a	379.142857	194	0	0	0	851	526	1083	0
Pde12	379.142857	701	0	0	0	331	207	1415	0
Mien1	379.0	408	0	0	0	565	307	1373	0
Mag	378.857143	191	0	0	0	986	478	997	0
Faap20	378.571429	430	0	0	0	612	407	1201	0
Myo1c	377.428571	320	0	0	0	770	345	1207	0
Aptx	377.428571	476	0	0	0	572	376	1218	0
Washc1	377.0	474	0	0	0	254	237	1674	0
Zfp319	376.571429	342	0	0	0	767	560	967	0
Usb1	376.571429	342	0	0	0	767	560	967	0
Ube3c	376.571429	333	0	0	0	551	678	1074	0
G3bp1	376.142857	449	0	0	0	665	406	1113	0
Slc12a8	375.857143	348	0	0	0	717	449	1117	0
Impact	375.714286	377	0	0	0	1036	335	882	0
Cab39	375.428571	282	0	0	0	763	574	1009	0
Kank3	374.571429	411	0	0	0	634	271	1306	0
Wdr46	374.428571	662	0	0	0	521	414	1024	0
Pfdn6	374.428571	662	0	0	0	521	414	1024	0
Adam15	374.142857	697	0	0	0	211	237	1474	0
Mapk7	373.857143	277	0	0	0	1059	466	815	0
Zbtb38	373.714286	192	0	0	0	903	650	871	0
Ccny	373.428571	331	0	0	0	605	337	1341	0
Pex12	373.285714	348	0	0	0	644	521	1100	0
Ap2b1	373.285714	348	0	0	0	644	521	1100	0
Ing5	372.857143	235	0	0	0	802	424	1149	0
Dtymk	372.857143	235	0	0	0	802	424	1149	0
Ifnar2	372.714286	502	0	0	0	426	206	1475	0
Gar1	372.428571	314	0	0	0	674	438	1181	0
Nop53	372.142857	426	0	0	0	510	354	1315	0
Pcyt2	372.0	243	0	0	0	658	356	1347	0
Nfatc3	371.571429	192	0	0	0	750	356	1303	0
Zfp142	369.714286	570	0	0	0	638	351	1029	0
Bcs1l	369.714286	570	0	0	0	638	351	1029	0
Dedd	368.428571	453	0	0	0	512	331	1283	0
Myg1	368.285714	327	0	0	0	687	459	1105	0
Corin	368.0	129	0	0	0	815	559	1073	0
N6amt1	367.857143	263	0	0	0	812	386	1114	0
Pou2f1	367.571429	202	0	0	0	642	453	1276	0
A130010J15Rik	367.428571	450	0	0	0	572	375	1175	0
Mtpn	367.285714	120	0	0	0	845	561	1045	0
Muc1	366.285714	0	0	0	0	1103	529	932	0
Zfp551	366.142857	203	0	0	0	850	654	856	0
Zfp235	366.142857	398	0	0	0	587	425	1153	0
Fis1	365.142857	280	0	0	0	511	627	1138	0
Ccne1	364.571429	215	0	0	0	767	504	1066	0
Mtfr2	364.285714	227	0	0	0	952	255	1116	0
Gm3383	364.285714	222	0	0	0	753	635	940	0
Tmbim4	363.285714	216	0	0	0	764	788	775	0
Pigs	362.714286	233	0	0	0	701	469	1136	0
Epb41l2	362.714286	136	0	0	0	1024	373	1006	0
Aldoc	362.714286	233	0	0	0	701	469	1136	0
Sspn	362.571429	436	179	217	168	719	459	360	0
Ppp1r35	362.285714	287	0	0	0	897	524	828	0
Olfr1390	361.857143	266	0	0	0	573	584	1110	0
Ube2d3	361.0	209	0	0	0	1095	523	700	0
Crcp	361.0	445	0	0	0	446	339	1297	0
Asl	361.0	445	0	0	0	446	339	1297	0
Slc39a9	360.571429	301	0	0	0	744	561	918	0
Erh	360.571429	301	0	0	0	744	561	918	0
Txlna	360.285714	282	0	0	0	324	584	1332	0
Romo1	360.142857	325	0	0	0	678	606	912	0
Nfs1	360.142857	325	0	0	0	678	606	912	0
Tmem62	360.0	258	0	0	0	651	423	1188	0
Wdr12	359.428571	368	0	0	0	260	483	1405	0
Stard7	359.428571	329	0	0	0	600	404	1183	0
Carf	359.428571	368	0	0	0	260	483	1405	0
Zfp800	359.0	402	0	0	0	606	377	1128	0
Naa60	358.714286	371	0	0	0	661	446	1033	0
Prpf4	358.142857	313	0	0	0	491	677	1026	0
Cdc26	358.142857	313	0	0	0	491	677	1026	0
Car7	358.142857	151	0	0	0	890	338	1128	0
Prrt1	358.0	350	0	0	0	494	513	1149	0
Ppt2	358.0	350	0	0	0	494	513	1149	0
Phlpp1	357.142857	403	0	0	0	543	461	1093	0
Obsl1	355.714286	232	0	0	0	670	463	1125	0
Inha	355.714286	232	0	0	0	670	463	1125	0
Rps19	355.571429	385	0	0	0	615	378	1111	0
Hdac10	355.571429	254	0	0	0	673	501	1061	0
Slc25a30	354.428571	354	0	0	0	409	167	1551	0
Dlgap5	354.428571	218	0	0	0	761	553	949	0
Ncapd2	353.714286	299	0	0	0	470	294	1413	0
Mrpl51	353.714286	299	0	0	0	470	294	1413	0
Tle4	353.571429	348	0	0	0	514	348	1265	0
Tmem17	353.0	151	0	0	0	921	537	862	0
Ambra1	352.428571	234	0	0	0	732	791	710	0
C2cd4a	351.285714	218	0	0	0	992	391	858	0
Nsf	351.0	375	0	0	0	477	360	1245	0
Pdcd6	350.571429	436	0	0	0	596	384	1038	0
Wdr88	350.285714	281	0	0	0	539	878	754	0
Ttc24	350.285714	483	0	0	0	352	377	1240	0
Mif4gd	350.285714	313	0	0	0	721	424	994	0
Iqgap3	350.285714	483	0	0	0	352	377	1240	0
Tdrd9	349.714286	215	0	0	0	902	380	951	0
Tbrg1	349.714286	231	0	0	0	728	417	1072	0
Incenp	349.714286	538	0	0	0	539	333	1038	0
Atp5mpl	349.714286	215	0	0	0	902	380	951	0
1600014C10Rik	349.571429	518	0	0	0	349	178	1402	0
Rnasel	349.428571	207	0	0	0	923	323	993	0
Sdhaf2	349.285714	177	0	0	0	829	455	984	0
Cpsf7	349.285714	177	0	0	0	829	455	984	0
Stk25	348.714286	222	0	0	0	244	655	1320	0
Atg5	348.714286	258	0	0	0	561	493	1129	0
Zfp974	348.428571	398	0	0	0	695	176	1170	0
Mapk9	348.428571	253	0	0	0	571	519	1096	0
Zmynd8	348.0	247	0	0	0	949	345	895	0
Ncapg	348.0	356	0	0	0	816	330	934	0
Mybpc2	347.571429	336	0	0	0	854	547	696	0
Rnase12	347.142857	209	0	0	0	570	517	1134	0
Rnase11	347.142857	209	0	0	0	570	517	1134	0
Sphk1	346.857143	298	0	0	0	571	440	1119	0
Uqcc3	345.571429	135	0	0	0	1035	320	929	0
Samm50	345.428571	249	0	0	0	412	573	1184	0
Ccdc124	344.857143	179	0	0	0	690	529	1016	0
Inpp5d	344.428571	192	0	0	0	987	329	903	0
Tbx4	344.285714	218	0	0	0	789	502	901	0
Naca	344.0	289	0	0	0	634	368	1117	0
Bicd2	344.0	173	0	0	0	571	499	1165	0
Usp40	343.857143	255	0	0	0	338	523	1291	0
Chrac1	343.428571	411	0	0	0	446	420	1127	0
Slc26a4	343.285714	259	0	0	0	671	370	1103	0
Cic	343.285714	360	0	0	0	409	427	1207	0
Arl15	343.142857	227	0	0	0	472	400	1303	0
Shisa5	342.571429	402	0	0	0	402	378	1216	0
Kdm4d	342.428571	279	0	0	0	725	404	989	0
Cwc15	342.428571	279	0	0	0	725	404	989	0
Rtn4rl1	342.0	162	0	0	0	651	746	835	0
Dph1	342.0	162	0	0	0	651	746	835	0
Sh3glb1	341.857143	250	0	0	0	394	635	1114	0
Nr2f6	341.857143	403	0	0	0	593	409	988	0
Wrap53	341.571429	274	0	0	0	687	423	1007	0
Trp53	341.571429	274	0	0	0	687	423	1007	0
Polk	341.571429	216	0	0	0	335	685	1155	0
Inpp5b	341.571429	240	0	0	0	395	678	1078	0
Cert1	341.571429	216	0	0	0	335	685	1155	0
Asmt	341.571429	323	299	373	490	301	460	145	0
Erbb2	341.428571	353	0	0	0	532	477	1028	0
Kat6b	340.714286	240	0	0	0	969	376	800	0
Timm22	340.571429	454	0	0	0	156	311	1463	0
Ift81	339.857143	125	0	0	0	560	572	1122	0
Tcea2	339.571429	293	0	0	0	641	333	1110	0
Pmel	339.142857	197	0	0	0	774	414	989	0
Cdk2	339.142857	197	0	0	0	774	414	989	0
A630001G21Rik	339.0	449	0	0	0	614	263	1047	0
Gon4l	338.428571	322	0	0	0	479	457	1111	0
Znhit3	338.285714	200	0	0	0	764	641	763	0
Zfp605	338.285714	213	0	0	0	815	597	743	0
Tmco3	338.285714	218	0	0	0	295	504	1351	0
Gtpbp6	338.285714	213	0	0	0	815	597	743	0
Dcun1d2	338.285714	218	0	0	0	295	504	1351	0
Rae1	337.714286	489	0	0	0	348	292	1235	0
Snrpa1	337.0	222	0	0	0	741	752	644	0
Shkbp1	337.0	196	0	0	0	383	632	1148	0
Coro1c	337.0	167	0	0	0	772	446	974	0
Atat1	336.571429	148	0	0	0	916	306	986	0
Lmbrd1	336.428571	159	0	0	0	704	567	925	0
Snupn	335.714286	238	0	0	0	632	481	999	0
Taf3	335.428571	332	0	0	0	645	353	1018	0
Hps1	334.714286	118	0	0	0	1101	379	745	0
Pinx1	334.571429	464	0	0	0	200	217	1461	0
Tti1	333.571429	228	0	0	0	834	305	968	0
Rprd1b	333.571429	228	0	0	0	834	305	968	0
Khdrbs1	333.0	392	0	0	0	439	411	1089	0
Cox17	333.0	200	0	0	0	778	299	1054	0
Cbfa2t3	332.714286	414	0	0	0	845	292	778	0
Gm3558	332.142857	230	0	0	0	777	599	719	0
Cnot8	332.142857	304	0	0	0	0	576	1445	0
Fbxo47	331.571429	412	0	0	0	336	355	1218	0
Epb41	331.571429	317	0	0	0	599	294	1111	0
Socs2	331.285714	238	0	0	0	638	527	916	0
Utp23	330.857143	407	0	0	0	260	214	1435	0
Bola1	330.857143	306	0	0	0	580	389	1041	0
Nemp1	330.714286	292	0	0	0	424	505	1094	0
Plpp6	330.571429	372	0	0	0	357	265	1320	0
4430402I18Rik	330.571429	372	0	0	0	357	265	1320	0
Zfp369	330.285714	370	0	0	0	424	204	1314	0
Spopl	330.0	186	0	0	0	561	424	1139	0
Rpl15	328.571429	283	0	0	0	604	385	1028	0
Nkiras1	328.571429	283	0	0	0	604	385	1028	0
Ints3	328.571429	204	0	0	0	720	425	951	0
Gmppb	328.285714	184	0	0	0	808	500	806	0
Amigo3	328.285714	184	0	0	0	808	500	806	0
Prkci	328.142857	175	0	0	0	532	636	954	0
Leprotl1	327.571429	303	0	0	0	555	312	1123	0
Itpa	327.571429	279	0	0	0	714	509	791	0
Dnm1l	327.571429	339	0	0	0	511	444	999	0
Ddrgk1	327.571429	279	0	0	0	714	509	791	0
Gm3752	327.285714	269	0	0	0	616	605	801	0
Lrrc32	327.142857	248	0	0	0	783	449	810	0
Gm3488	327.0	252	0	0	0	660	552	825	0
Bloc1s4	326.857143	308	0	0	0	583	348	1049	0
Syt11	326.714286	332	0	0	0	472	428	1055	0
Cabp7	326.714286	231	0	0	0	723	477	856	0
Dock6	326.285714	207	0	0	0	761	394	922	0
Akt1s1	326.285714	403	0	0	0	647	454	780	0
Rpl35	326.0	269	0	0	0	610	360	1043	0
Arpc5l	326.0	269	0	0	0	610	360	1043	0
Iws1	325.571429	213	0	0	0	781	403	882	0
Arhgap30	325.571429	267	0	0	0	527	319	1166	0
Mal2	325.285714	194	0	0	0	1180	200	703	0
Gtf2a1	324.714286	525	0	0	0	164	200	1384	0
Ubox5	324.142857	393	0	0	0	479	141	1256	0
Trappc6a	324.142857	288	0	0	0	739	424	818	0
Fastkd5	324.142857	393	0	0	0	479	141	1256	0
Bloc1s3	324.142857	288	0	0	0	739	424	818	0
Ppp1r21	323.714286	287	0	0	0	525	514	940	0
Opn4	323.571429	287	0	0	0	839	344	795	0
Rpl31	322.857143	211	0	0	0	619	504	926	0
C130074G19Rik	322.714286	171	0	0	0	850	518	720	0
Gtf2i	321.571429	263	0	0	0	300	509	1179	0
Csf2ra	321.571429	242	411	362	313	440	338	145	0
Sra1	321.428571	366	0	0	0	494	348	1042	0
Kmt5a	321.428571	193	0	0	0	803	297	957	0
Ggps1	321.0	389	0	0	0	303	403	1152	0
Arid4b	321.0	389	0	0	0	303	403	1152	0
Itgav	320.857143	274	0	0	0	438	533	1001	0
Prps1l3	320.428571	224	0	0	0	748	453	818	0
Mipol1	320.428571	224	0	0	0	748	453	818	0
Tmem160	320.285714	288	0	0	0	406	404	1144	0
Nkx1-2	320.285714	164	0	0	0	1015	376	687	0
Nsun3	320.142857	470	0	0	0	446	173	1152	0
Adamts10	320.142857	239	0	0	0	623	367	1012	0
Eif4g3	320.0	358	0	0	0	569	414	899	0
Tpm1	319.428571	325	0	0	0	776	321	814	0
Tmsb4x	319.285714	237	0	0	0	642	261	1095	0
Sost	319.142857	245	0	0	0	631	375	983	0
Rab30	319.142857	333	0	0	0	180	562	1159	0
Psma8	318.571429	120	0	0	0	895	408	807	0
Ing2	318.571429	283	0	0	0	509	260	1178	0
Ostm1	318.142857	333	0	0	0	419	403	1072	0
Uggt2	317.714286	171	0	0	0	436	586	1031	0
Spg7	317.714286	243	0	0	0	521	335	1125	0
Prkcsh	317.142857	216	0	0	0	589	345	1070	0
Cux2	317.142857	414	0	0	0	189	192	1425	0
Ccdc151	317.142857	216	0	0	0	589	345	1070	0
Epcam	317.0	260	0	0	0	487	371	1101	0
Pdap1	316.857143	295	0	0	0	659	317	947	0
Bud31	316.857143	295	0	0	0	659	317	947	0
Akt2	316.714286	179	0	0	0	572	539	927	0
Fbxo33	316.571429	264	0	0	0	507	392	1053	0
Ahcy	315.857143	301	0	0	0	346	425	1139	0
Ncoa3	314.285714	301	0	0	0	361	502	1036	0
Ugt8a	314.142857	175	0	0	0	705	447	872	0
Ubxn4	313.857143	257	0	0	0	588	294	1058	0
Chst5	313.714286	227	0	0	0	1093	239	637	0
Ino80c	312.857143	200	0	0	0	584	460	946	0
Msx3	312.714286	216	0	0	0	789	270	914	0
Itpkb	312.714286	0	0	0	0	978	383	828	0
Tspan31	312.428571	148	0	0	0	651	298	1090	0
Rab5c	312.285714	287	0	0	0	588	232	1079	0
Mdm2	312.142857	218	0	0	0	452	356	1159	0
Bex6	312.142857	227	0	0	0	557	357	1044	0
Acyp1	312.142857	284	0	0	0	383	205	1313	0
Hps6	311.714286	299	0	0	0	606	494	783	0
Armh3	311.714286	299	0	0	0	606	494	783	0
Zswim4	311.571429	220	0	0	0	874	417	670	0
Thoc2	311.571429	130	0	0	0	352	551	1148	0
Rnf40	311.428571	140	0	0	0	779	666	595	0
Gne	311.428571	192	0	0	0	605	753	630	0
Ccdc189	311.428571	140	0	0	0	779	666	595	0
Gm5141	311.285714	221	0	0	0	390	349	1219	0
Slfnl1	311.0	282	0	0	0	477	357	1061	0
