Target_genes	Egr2|Average	SRX270569|CD4+_T_cells	SRX270570|CD4+_T_cells	SRX6491107|CD8+_T_cells	SRX122432|Dendritic_Cells	SRX122433|Dendritic_Cells	SRX122434|Dendritic_Cells	SRX122435|Dendritic_Cells	SRX8379010|Macrophages	SRX8379011|Macrophages	SRX8379012|Macrophages	SRX8379013|Macrophages	SRX8379014|Macrophages	SRX8379015|Macrophages	SRX9311757|Macrophages	SRX9311758|Macrophages	SRX9311759|Macrophages	SRX9311760|Macrophages	SRX9311761|Macrophages	SRX9311762|Macrophages	SRX9311763|Macrophages	SRX9311764|Macrophages	SRX9311765|Macrophages	SRX9311766|Macrophages	SRX9311767|Macrophages	SRX9311768|Macrophages	SRX9311769|Macrophages	SRX9311770|Macrophages	SRX9311771|Macrophages	SRX9311772|Macrophages	SRX9311773|Macrophages	SRX9311774|Macrophages	SRX9311775|Macrophages	SRX9311776|Macrophages	SRX9311777|Macrophages	SRX9311778|Macrophages	SRX9311779|Macrophages	SRX9311780|Macrophages	SRX110637|Natural_Killer_T-Cells	SRX110636|Thymocytes	SRX329255|T_cells	SRX329256|T_cells	SRX329257|T_cells	STRING
Utp3	217.904762	1858	1193	0	0	0	0	0	0	0	0	0	0	151	582	0	115	133	120	559	1006	213	417	0	575	0	349	0	586	0	0	0	0	0	146	0	903	246	0	0	0	0	0	0
Gnl3l	217.714286	1669	1451	0	0	0	0	0	0	0	0	0	0	0	784	457	0	370	241	944	841	440	457	0	444	0	238	0	538	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0
Degs1	217.714286	852	742	0	0	0	0	0	0	0	0	0	0	313	779	340	147	442	248	702	992	355	761	0	661	0	316	0	483	0	0	0	188	0	242	0	581	0	0	0	0	0	0	0
Nfat5	217.595238	880	991	0	0	0	0	0	0	0	94	0	223	253	358	123	178	166	272	470	721	322	414	0	932	169	397	0	1057	0	0	0	209	0	0	0	745	165	0	0	0	0	0	0
Nfe2	217.404762	488	525	0	0	0	0	0	0	0	0	0	0	118	507	197	226	656	294	1644	814	909	321	0	530	0	171	0	582	0	0	0	173	0	118	0	744	114	0	0	0	0	0	0
Pdcd6ip	217.333333	280	346	0	0	0	0	0	0	0	0	0	201	285	597	145	232	310	264	990	1320	444	474	0	724	209	365	0	962	0	0	0	267	0	0	0	592	121	0	0	0	0	0	0
Ube2m	217.166667	1103	1462	0	0	0	0	0	0	0	0	0	128	138	779	446	0	331	398	817	1094	355	232	0	471	0	213	0	449	0	0	0	151	0	0	0	554	0	0	0	0	0	0	0
Chmp2a	217.166667	1103	1462	0	0	0	0	0	0	0	0	0	128	138	779	446	0	331	398	817	1094	355	232	0	471	0	213	0	449	0	0	0	151	0	0	0	554	0	0	0	0	0	0	0
Ap1g2	217.095238	788	405	0	0	0	0	0	0	0	0	0	0	0	621	309	0	200	160	1153	1184	477	383	0	836	0	381	0	1134	0	0	0	185	0	0	0	741	161	0	0	0	0	0	0
Zbtb7a	217.071429	775	742	0	0	0	0	0	0	0	0	0	0	184	919	496	245	693	310	920	920	468	471	148	398	0	288	0	417	0	0	0	182	0	203	0	338	0	0	0	0	0	0	0
Uspl1	217.071429	1533	1141	0	0	0	0	0	0	0	0	0	100	92	327	153	201	471	340	1228	813	489	301	0	439	0	189	0	561	0	0	0	145	0	0	0	511	83	0	0	0	0	0	0
Naif1	217.047619	1745	1529	0	0	0	0	0	0	0	83	0	184	174	599	270	0	221	212	658	868	327	390	0	324	0	232	0	428	0	0	0	124	0	208	0	404	136	0	0	0	0	0	0
Fads1	217.02381	499	202	0	0	0	0	0	0	0	0	0	0	172	876	478	113	527	261	1080	1317	566	443	0	736	0	369	0	618	0	0	0	0	0	142	0	552	164	0	0	0	0	0	0
Dcaf7	216.857143	1272	1084	0	0	0	0	0	0	0	0	0	161	0	792	217	0	338	202	860	965	450	388	0	586	0	309	0	404	0	0	0	236	0	142	0	561	141	0	0	0	0	0	0
Arih2	216.857143	1008	1102	0	0	0	0	0	0	0	0	0	144	153	863	167	156	230	236	533	1318	363	372	0	650	0	266	0	871	0	0	0	0	0	0	0	676	0	0	0	0	0	0	0
Enpp4	216.761905	730	986	0	0	0	0	0	0	0	87	0	124	173	204	160	76	230	144	408	832	428	365	119	934	0	367	0	961	0	0	0	163	0	191	498	579	345	0	0	0	0	0	0
Ksr1	216.571429	1553	945	0	0	0	0	0	0	0	0	0	87	0	887	296	178	551	218	816	1259	434	250	0	523	0	194	0	400	0	0	0	0	0	116	0	389	0	0	0	0	0	0	0
Tex45	216.547619	416	464	0	0	0	0	0	0	0	0	0	101	0	680	150	0	389	235	978	1791	557	322	0	588	0	195	0	890	0	0	0	141	0	0	0	952	246	0	0	0	0	0	0
Pex11g	216.547619	416	464	0	0	0	0	0	0	0	0	0	101	0	680	150	0	389	235	978	1791	557	322	0	588	0	195	0	890	0	0	0	141	0	0	0	952	246	0	0	0	0	0	0
Ube2d2a	216.5	1564	1308	0	0	0	0	0	0	0	0	0	142	0	579	301	184	344	140	706	979	555	280	0	509	0	298	0	442	0	0	0	158	0	132	0	472	0	0	0	0	0	0	0
Ddx52	216.47619	1470	840	0	0	0	0	0	0	0	0	0	200	74	782	353	253	498	231	866	1301	403	512	0	423	0	345	0	310	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0
Stat5a	216.404762	418	702	0	0	0	0	0	0	0	0	0	97	0	370	294	171	476	242	1161	1003	483	211	0	699	184	276	0	706	0	0	0	0	0	163	0	1112	321	0	0	0	0	0	0
Map1lc3b	216.404762	1026	730	0	0	0	0	0	0	0	0	0	94	0	762	287	155	419	237	541	959	514	381	0	786	0	191	0	442	0	0	0	215	0	262	0	902	186	0	0	0	0	0	0
Hjurp	216.357143	736	941	201	0	0	0	0	0	0	170	0	280	174	764	460	199	565	224	909	1410	498	358	0	385	0	288	0	388	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0
A730008H23Rik	216.357143	736	941	201	0	0	0	0	0	0	170	0	280	174	764	460	199	565	224	909	1410	498	358	0	385	0	288	0	388	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a5	216.309524	1409	1295	0	0	0	0	0	0	0	116	0	0	0	759	374	239	492	239	573	903	407	609	0	428	0	358	0	291	0	0	0	0	0	188	0	405	0	0	0	0	0	0	0
Slc12a2	216.285714	1512	1479	0	0	0	0	0	0	0	0	0	178	0	513	251	107	287	190	841	1017	355	309	0	505	0	284	0	555	0	0	0	182	0	0	0	426	93	0	0	0	0	0	0
Atg16l1	216.261905	1019	1089	0	0	0	0	0	0	0	0	0	196	0	917	367	185	529	179	992	1324	446	368	0	478	0	150	0	313	0	0	0	0	0	209	0	322	0	0	0	0	0	0	0
Fbxo10	216.238095	858	828	0	0	0	0	0	0	0	0	0	133	122	554	356	143	411	130	987	1097	386	508	0	782	0	362	0	690	0	0	0	0	0	0	0	560	175	0	0	0	0	0	0
Zbtb5	216.214286	439	1087	0	0	0	0	0	0	0	0	0	132	0	644	326	215	330	393	1098	1108	378	360	0	778	0	257	0	823	0	0	0	247	0	0	0	466	0	0	0	0	0	0	0
2610524H06Rik	215.809524	1268	998	0	0	0	0	0	0	0	0	0	191	143	535	546	201	616	273	1131	950	627	419	0	436	0	221	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Traf2	215.785714	703	1027	0	0	0	0	0	0	0	0	0	316	0	755	246	141	362	289	591	1272	448	467	0	663	0	352	0	585	0	0	0	180	0	182	0	484	0	0	0	0	0	0	0
Blmh	215.595238	902	904	0	0	0	0	0	0	0	0	0	0	198	408	239	0	255	174	921	881	360	224	0	590	0	295	0	563	0	0	0	170	0	127	0	1585	259	0	0	0	0	0	0
Rnf103	215.571429	393	549	0	0	0	0	0	0	0	0	0	177	112	573	224	228	159	230	444	1163	424	351	0	715	0	245	0	784	0	0	0	0	0	289	0	1501	493	0	0	0	0	0	0
Bnip1	215.571429	981	924	0	0	0	0	0	0	0	155	0	219	130	286	324	129	534	268	1051	663	495	368	0	757	0	414	0	690	0	0	0	187	0	131	0	348	0	0	0	0	0	0	0
Tesk2	215.52381	725	1110	0	0	0	0	0	0	0	0	0	189	0	561	144	127	213	196	859	879	410	385	0	644	0	393	0	603	0	0	0	157	0	208	0	1033	216	0	0	0	0	0	0
Xpo1	215.452381	1029	1295	0	0	0	0	0	0	0	123	0	153	125	496	268	177	260	173	619	852	349	441	0	483	0	400	0	920	0	0	0	210	0	192	0	350	134	0	0	0	0	0	0
4931428F04Rik	215.452381	508	527	0	0	0	0	0	0	0	0	0	147	0	1060	697	62	617	229	1170	1461	535	296	0	313	0	218	0	359	0	0	0	130	0	171	0	381	168	0	0	0	0	0	0
U2af1	215.404762	1997	1852	0	0	0	0	0	0	0	0	0	164	0	616	263	120	339	187	705	1027	231	219	0	265	0	128	0	301	0	127	0	111	0	168	0	227	0	0	0	0	0	0	0
Fzd7	215.380952	227	175	0	0	0	0	0	0	0	0	0	220	0	331	291	0	163	96	508	715	427	404	207	1487	335	638	0	1187	119	0	0	217	0	144	0	979	176	0	0	0	0	0	0
Arhgap29	215.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	576	357	0	449	176	828	1784	806	587	0	1126	0	389	0	1323	0	0	0	214	0	0	0	425	0	0	0	0	0	0	0
Lrrc63	215.190476	1938	881	0	0	0	0	0	0	0	0	0	184	0	588	240	135	240	220	615	1268	328	664	0	737	0	374	0	460	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0
Lcp1	215.190476	1938	881	0	0	0	0	0	0	0	0	0	184	0	588	240	135	240	220	615	1268	328	664	0	737	0	374	0	460	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0
Srsf7	215.095238	894	1388	0	0	0	0	0	0	0	192	0	324	0	402	337	147	221	208	529	633	242	403	0	774	0	378	0	616	0	0	0	344	0	204	0	798	0	0	0	0	0	0	0
Etv5	214.952381	730	967	0	0	0	0	0	0	0	0	0	229	160	614	412	184	496	263	875	1243	575	505	0	410	0	220	0	328	0	0	0	185	0	98	0	395	139	0	0	0	0	0	0
Zfp626	214.904762	1489	775	0	0	0	0	0	0	0	0	0	161	109	774	184	151	459	278	960	1170	267	560	0	363	0	185	0	496	0	0	0	163	0	113	0	369	0	0	0	0	0	0	0
H6pd	214.880952	991	812	0	0	0	0	0	0	0	0	0	136	200	883	456	232	793	340	727	1635	517	452	0	447	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx4	214.857143	1146	1256	0	0	0	0	0	0	0	0	0	332	0	524	275	0	273	187	562	893	238	566	0	983	0	467	0	833	0	0	0	190	0	0	0	299	0	0	0	0	0	0	0
Slc6a12	214.761905	500	344	0	0	0	0	0	0	0	0	0	126	0	866	450	147	329	169	900	1274	439	490	202	587	323	475	0	646	112	0	0	120	183	0	0	338	0	0	0	0	0	0	0
Vps26c	214.547619	1789	1511	157	0	0	0	0	0	0	0	0	110	86	631	226	115	285	169	573	1163	461	287	0	384	0	175	0	344	0	0	0	0	0	0	0	426	119	0	0	0	0	0	0
Sart3	214.52381	776	698	0	0	0	0	0	0	0	0	0	0	166	648	319	110	468	229	1083	1372	366	221	0	692	0	268	0	772	0	0	0	0	0	0	0	565	257	0	0	0	0	0	0
Iscu	214.52381	776	698	0	0	0	0	0	0	0	0	0	0	166	648	319	110	468	229	1083	1372	366	221	0	692	0	268	0	772	0	0	0	0	0	0	0	565	257	0	0	0	0	0	0
Bmpr2	214.47619	518	610	0	0	0	0	0	0	0	0	0	270	74	566	244	150	236	375	686	1206	408	415	106	771	0	378	0	747	0	0	0	143	0	117	0	784	204	0	0	0	0	0	0
Ubc	214.285714	804	1062	0	0	0	0	0	0	0	0	0	0	108	595	456	316	362	240	896	742	522	615	0	363	0	268	0	376	0	92	0	171	0	221	0	690	101	0	0	0	0	0	0
Tbc1d9	214.214286	0	0	0	0	0	0	0	0	0	0	0	129	183	404	198	0	379	202	1089	1217	315	583	0	1389	161	520	0	1362	0	0	0	165	0	0	0	558	143	0	0	0	0	0	0
Ccdc194	214.214286	260	133	0	0	0	0	0	0	0	0	0	0	0	387	538	294	801	315	1329	842	675	464	0	648	0	205	0	621	0	0	0	0	0	203	0	972	310	0	0	0	0	0	0
Ttbk2	214.190476	1124	1343	0	0	0	0	0	0	0	0	0	173	142	453	341	128	476	142	851	1202	560	409	0	360	0	203	0	510	0	0	0	0	0	0	0	446	133	0	0	0	0	0	0
Spats2	214.166667	0	0	0	0	0	0	0	0	0	0	0	186	150	432	196	217	249	201	668	1204	360	460	157	1244	128	531	0	1267	0	0	0	173	0	0	0	937	235	0	0	0	0	0	0
Batf3	214.119048	577	1152	0	0	0	0	0	0	0	0	0	306	266	227	142	142	340	216	779	1261	349	287	0	850	0	197	0	859	0	0	0	130	0	0	0	774	139	0	0	0	0	0	0
Zfp658	214.071429	1189	810	0	0	0	0	0	0	0	0	0	155	0	847	223	120	435	157	1069	1358	441	315	0	400	0	158	0	519	0	0	0	115	0	109	0	571	0	0	0	0	0	0	0
Polr1e	214.047619	1972	1365	0	0	0	0	0	0	0	0	0	0	0	795	313	0	351	0	1064	1344	476	285	0	297	0	126	0	279	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0
Cbr3	213.833333	627	164	0	0	0	0	0	0	262	0	167	0	186	464	185	156	278	162	931	1202	467	302	0	899	201	398	0	1198	0	0	0	239	0	0	0	331	162	0	0	0	0	0	0
Gdf15	213.738095	1726	1370	0	0	0	0	0	0	0	165	0	100	0	655	316	0	342	159	868	1312	438	221	0	223	0	138	0	625	0	0	0	0	0	0	0	253	0	0	66	0	0	0	0
Zfp579	213.595238	137	182	0	0	0	0	0	0	0	0	0	116	137	490	307	123	501	284	1166	942	504	472	0	1212	0	572	0	1197	0	0	0	143	0	0	0	486	0	0	0	0	0	0	0
Hcn3	213.595238	505	947	0	0	0	0	0	0	0	0	0	169	0	631	409	232	290	294	412	1151	602	327	0	792	0	296	0	793	0	0	0	198	0	197	0	545	181	0	0	0	0	0	0
Gm45927	213.595238	505	947	0	0	0	0	0	0	0	0	0	169	0	631	409	232	290	294	412	1151	602	327	0	792	0	296	0	793	0	0	0	198	0	197	0	545	181	0	0	0	0	0	0
Clk2	213.595238	505	947	0	0	0	0	0	0	0	0	0	169	0	631	409	232	290	294	412	1151	602	327	0	792	0	296	0	793	0	0	0	198	0	197	0	545	181	0	0	0	0	0	0
Tex14	213.571429	1445	966	208	0	0	0	0	0	0	0	0	161	0	819	212	137	373	141	714	1127	415	325	0	542	0	145	0	536	0	0	0	199	0	0	0	505	0	0	0	0	0	0	0
Dnajc8	213.52381	1205	1045	0	0	0	0	0	0	0	0	0	212	0	705	412	187	596	231	744	1037	487	363	0	439	0	331	0	327	0	0	0	140	0	122	0	385	0	0	0	0	0	0	0
Atpif1	213.52381	1205	1045	0	0	0	0	0	0	0	0	0	212	0	705	412	187	596	231	744	1037	487	363	0	439	0	331	0	327	0	0	0	140	0	122	0	385	0	0	0	0	0	0	0
Cdk6	213.5	1903	1485	0	0	0	0	0	0	0	97	0	151	97	324	221	159	248	181	490	600	231	318	0	654	0	345	0	603	0	0	0	168	0	164	0	528	0	0	0	0	0	0	0
Zfp706	213.47619	738	1045	0	0	0	0	0	0	0	0	0	159	136	505	237	0	284	136	757	1420	361	359	0	587	0	331	0	1112	0	0	0	0	0	0	0	654	145	0	0	0	0	0	0
Ptma	213.357143	524	478	0	0	0	0	0	0	0	0	0	237	0	995	288	239	359	206	994	1265	534	328	0	591	0	261	0	526	0	0	0	236	0	0	0	719	181	0	0	0	0	0	0
Pogk	213.357143	566	839	0	0	0	0	0	0	0	0	0	153	106	251	342	133	176	234	603	538	426	483	0	1214	0	524	0	1163	0	140	0	202	0	140	0	728	0	0	0	0	0	0	0
Ythdc2	213.333333	777	921	0	0	0	0	0	0	0	169	0	192	0	229	167	0	120	277	488	512	287	330	0	1253	0	305	0	1185	0	0	0	250	0	118	0	1065	315	0	0	0	0	0	0
Usp9x	213.142857	212	207	0	0	0	0	0	0	0	0	0	112	158	457	318	186	289	196	768	1056	546	313	0	1063	172	368	0	1141	0	0	0	137	0	115	0	849	289	0	0	0	0	0	0
Tubb4b	213.071429	1030	757	0	0	0	0	0	0	0	0	0	145	203	736	260	238	224	272	1005	1263	408	314	0	697	0	314	0	642	0	0	0	166	0	0	0	275	0	0	0	0	0	0	0
Pwwp2a	213.0	1189	1117	0	0	0	0	0	0	0	0	0	138	0	769	357	134	615	230	941	1428	525	419	0	308	0	186	0	376	0	0	0	109	0	0	0	105	0	0	0	0	0	0	0
Hmces	212.952381	1124	1565	0	0	0	0	0	0	0	0	0	154	0	558	280	0	221	188	455	589	294	449	0	687	0	386	0	586	0	0	0	0	0	257	0	892	259	0	0	0	0	0	0
Get1	212.952381	1485	1367	0	0	0	0	0	0	0	0	0	106	0	408	329	132	378	100	704	973	301	381	0	624	0	284	0	491	0	0	0	140	0	0	0	627	114	0	0	0	0	0	0
Parvg	212.880952	441	320	0	0	0	0	0	0	0	0	0	150	205	698	318	340	490	310	872	991	492	476	178	553	151	375	0	505	0	0	0	165	0	305	0	606	0	0	0	0	0	0	0
Emc9	212.880952	1146	890	0	0	0	0	0	0	0	0	0	128	163	827	388	0	448	130	843	1402	353	345	0	297	0	362	0	261	0	0	0	114	0	254	0	497	93	0	0	0	0	0	0
Ptprs	212.833333	2147	1559	0	0	0	0	0	0	0	0	0	168	165	303	121	93	375	218	519	736	285	290	0	700	0	310	0	791	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0
Rasd2	212.571429	210	923	0	0	0	0	0	0	0	0	0	220	98	475	454	169	343	132	478	1195	451	644	0	936	0	322	0	992	0	140	0	113	0	0	0	633	0	0	0	0	0	0	0
Stx16	212.52381	436	236	0	0	0	0	0	0	0	169	0	345	0	786	423	244	493	241	974	978	434	586	0	548	0	358	0	414	0	108	0	177	0	300	0	548	128	0	0	0	0	0	0
Ppm1a	212.261905	224	843	0	0	0	0	0	0	0	0	0	245	0	699	535	156	398	319	654	1083	678	395	0	714	0	315	0	657	0	0	0	213	0	144	0	512	131	0	0	0	0	0	0
Pafah2	212.214286	680	301	195	0	0	0	0	0	0	0	0	271	183	396	190	196	233	247	818	735	461	467	0	656	244	277	0	688	0	0	0	213	0	193	0	1000	269	0	0	0	0	0	0
Rasa1	212.190476	798	1298	170	0	0	0	0	0	0	102	0	138	196	363	286	146	303	208	651	876	428	394	0	776	0	203	0	754	0	0	0	147	0	0	0	559	116	0	0	0	0	0	0
Hspa1b	211.952381	1202	1121	0	0	0	0	0	0	0	0	0	0	179	273	213	91	289	236	815	827	298	401	0	799	0	223	0	536	0	0	94	160	0	183	0	788	174	0	0	0	0	0	0
Adck5	211.833333	1222	1343	0	0	0	0	0	0	0	0	0	204	0	498	334	170	347	286	747	777	359	361	0	482	0	303	0	553	0	100	0	148	0	0	0	663	0	0	0	0	0	0	0
Gmcl1	211.785714	1131	1360	0	0	0	0	0	0	0	0	0	145	0	544	234	198	407	141	635	936	617	241	0	373	0	311	0	591	0	111	0	170	0	102	0	648	0	0	0	0	0	0	0
Pelp1	211.690476	2119	1947	0	0	0	0	0	0	0	0	0	233	156	338	138	0	289	111	372	903	409	294	0	507	0	144	0	619	0	0	0	156	0	0	0	156	0	0	0	0	0	0	0
Ptgr2	211.333333	1244	811	0	0	0	0	0	0	0	0	0	0	0	565	414	144	500	243	807	1192	339	562	0	550	0	271	0	447	0	0	0	0	0	172	0	485	130	0	0	0	0	0	0
Tdrd9	211.285714	1496	968	0	0	0	0	0	0	0	0	0	229	201	433	349	154	602	204	1128	694	507	448	0	696	0	245	0	415	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0
Hdac6	211.285714	1683	1422	0	0	0	0	0	0	0	0	0	93	0	434	206	128	405	177	764	1217	398	395	0	440	0	303	0	355	0	0	0	83	0	0	0	371	0	0	0	0	0	0	0
Atp5mpl	211.285714	1496	968	0	0	0	0	0	0	0	0	0	229	201	433	349	154	602	204	1128	694	507	448	0	696	0	245	0	415	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0
Pdia5	211.190476	0	0	0	0	0	0	0	0	0	0	0	126	172	430	313	0	211	200	490	874	372	449	0	1051	0	713	0	2141	109	0	0	207	0	0	0	888	124	0	0	0	0	0	0
Zfp358	211.142857	0	120	0	0	0	0	0	0	0	0	0	258	0	574	379	179	313	260	305	1303	619	530	0	1183	0	406	0	1110	0	0	0	0	0	0	0	1102	227	0	0	0	0	0	0
Ly9	211.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	1254	564	213	683	168	1309	1604	635	244	0	597	0	314	0	632	0	0	0	0	0	0	0	508	143	0	0	0	0	0	0
Vcpip1	211.047619	1446	680	0	0	0	0	0	0	0	0	0	249	109	506	272	194	267	265	898	1188	342	319	0	553	0	174	0	433	0	0	0	214	0	84	0	671	0	0	0	0	0	0	0
St6galnac4	210.880952	764	1738	0	0	0	0	0	0	0	0	0	0	91	736	259	0	526	196	992	1075	485	235	0	507	0	160	0	407	0	0	0	0	0	0	0	581	105	0	0	0	0	0	0
Igf2bp2	210.833333	0	0	0	0	0	0	0	0	0	0	0	126	0	212	595	0	313	193	346	833	727	271	398	1281	288	297	0	1238	214	0	0	267	151	111	0	709	285	0	0	0	0	0	0
Eif4ebp1	210.809524	826	1214	0	0	0	0	0	0	0	0	0	209	220	577	278	122	426	215	799	1090	388	303	0	616	0	212	0	682	0	0	0	189	0	0	0	417	71	0	0	0	0	0	0
Zfp146	210.785714	664	715	0	0	0	0	0	0	0	297	0	313	178	573	357	298	437	303	740	825	300	653	0	492	164	471	0	522	0	0	0	201	0	0	0	350	0	0	0	0	0	0	0
Midn	210.761905	869	889	0	0	0	0	0	0	0	0	0	111	126	570	208	243	377	178	493	801	302	336	0	975	0	258	0	925	0	0	0	250	0	136	0	538	267	0	0	0	0	0	0
Adgrb2	210.714286	0	177	0	0	0	0	0	0	0	0	0	330	0	480	0	206	404	278	638	1164	360	506	0	1148	0	401	0	1169	0	0	0	195	0	0	0	1162	232	0	0	0	0	0	0
Ptger4	210.619048	2612	1510	0	0	0	0	0	0	0	0	0	79	247	483	203	84	356	178	488	651	269	214	0	345	0	210	0	427	0	0	0	164	0	0	0	326	0	0	0	0	0	0	0
Hspa5	210.595238	1744	1402	0	0	0	0	0	0	0	0	0	0	90	639	264	216	254	225	645	1483	383	242	0	371	0	201	0	312	0	0	0	105	0	0	0	269	0	0	0	0	0	0	0
Hscb	210.52381	188	368	0	0	0	0	0	0	0	0	0	105	0	566	346	189	707	386	1212	1153	459	432	0	699	0	237	0	642	0	0	0	188	0	215	0	590	160	0	0	0	0	0	0
Chek2	210.52381	188	368	0	0	0	0	0	0	0	0	0	105	0	566	346	189	707	386	1212	1153	459	432	0	699	0	237	0	642	0	0	0	188	0	215	0	590	160	0	0	0	0	0	0
Cited2	210.47619	240	265	0	0	0	0	0	0	0	0	0	0	287	291	315	0	0	0	158	1197	501	266	157	1683	219	182	0	1739	0	0	0	174	0	0	0	970	196	0	0	0	0	0	0
Camkk2	210.380952	225	101	0	0	0	0	0	0	0	0	0	217	0	342	211	264	279	437	643	737	269	296	0	1045	0	241	0	1099	0	0	0	0	0	88	0	1906	436	0	0	0	0	0	0
Mettl6	210.238095	1589	1154	0	0	0	0	0	0	0	0	0	247	0	745	263	0	354	135	868	1164	347	278	0	439	0	341	0	335	0	0	0	0	0	0	0	571	0	0	0	0	0	0	0
Grm4	210.238095	0	0	0	0	0	0	0	0	0	0	0	0	123	777	413	177	392	509	1290	748	582	589	0	894	0	333	0	604	0	0	0	217	0	162	0	1020	0	0	0	0	0	0	0
Eaf1	210.238095	1589	1154	0	0	0	0	0	0	0	0	0	247	0	745	263	0	354	135	868	1164	347	278	0	439	0	341	0	335	0	0	0	0	0	0	0	571	0	0	0	0	0	0	0
Jade1	210.190476	1244	834	0	0	0	0	0	0	0	0	0	98	0	776	288	246	455	176	612	807	384	216	0	798	117	155	0	781	0	0	0	0	0	177	0	540	124	0	0	0	0	0	0
Tra2a	209.97619	1487	1015	0	0	0	0	0	0	0	0	0	0	119	886	542	0	498	152	840	1395	423	232	0	303	0	144	0	333	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0
Zfp598	209.952381	0	0	0	0	0	0	0	0	0	0	0	0	224	995	343	0	387	135	1174	1858	544	433	0	493	149	243	0	541	0	0	0	307	0	159	0	472	148	0	213	0	0	0	0
Trmt11	209.761905	1855	1106	0	0	0	0	0	0	0	0	0	92	0	541	193	0	437	178	629	1258	276	207	0	498	0	164	0	502	0	0	0	142	0	0	0	732	0	0	0	0	0	0	0
Ifi47	209.571429	2173	1810	0	0	0	0	0	0	0	0	0	93	0	404	169	0	391	201	657	1228	308	175	166	415	0	135	0	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrba	209.47619	581	663	0	0	0	0	0	0	0	0	0	98	148	371	383	0	246	187	835	910	502	370	236	872	180	341	0	654	0	0	0	291	0	0	0	666	264	0	0	0	0	0	0
Grsf1	209.404762	1233	945	0	0	0	0	0	0	0	0	0	106	0	690	262	224	426	191	555	1041	306	441	0	643	0	262	0	678	0	0	0	178	0	0	0	493	121	0	0	0	0	0	0
Ccdc15	209.333333	1076	980	0	0	0	0	0	0	0	0	0	186	172	640	301	176	409	259	976	1157	550	351	0	476	0	254	0	493	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0
Dnajc21	209.309524	457	428	0	0	0	0	0	0	0	0	0	0	108	383	297	247	403	174	551	1270	789	315	0	954	0	167	0	957	0	0	0	148	0	0	0	968	175	0	0	0	0	0	0
Shprh	209.285714	1461	982	0	0	0	0	0	0	0	0	0	256	0	218	326	0	268	248	1003	542	304	612	0	814	0	535	0	486	0	0	0	222	0	81	0	432	0	0	0	0	0	0	0
Fam98c	209.238095	1179	561	0	0	0	0	0	0	0	0	0	210	111	600	281	0	493	181	1175	1556	525	237	0	567	0	0	0	358	0	0	0	0	0	0	0	602	152	0	0	0	0	0	0
Iba57	208.928571	1108	1799	0	0	0	0	0	0	0	0	0	161	231	422	161	118	175	124	330	1122	355	372	0	478	0	384	0	611	0	0	0	83	0	97	0	644	0	0	0	0	0	0	0
Wdr47	208.880952	979	1003	0	0	0	0	0	0	0	0	0	128	0	787	374	270	458	282	867	1240	472	368	0	429	0	137	0	345	0	0	0	0	0	207	0	427	0	0	0	0	0	0	0
Wdr82	208.785714	469	802	0	0	0	0	0	0	0	0	0	277	0	609	215	0	265	189	642	985	324	418	0	858	0	339	0	959	0	0	0	162	0	116	0	984	156	0	0	0	0	0	0
Dennd11	208.714286	577	274	0	0	0	0	0	0	0	0	0	0	0	437	279	0	569	112	1326	1083	442	346	0	616	0	141	0	812	0	0	0	190	0	197	0	909	456	0	0	0	0	0	0
Fibp	208.690476	597	890	0	0	0	0	0	0	0	0	0	240	172	456	250	81	307	264	765	877	444	350	0	540	156	273	0	435	0	0	0	105	0	99	0	1183	281	0	0	0	0	0	0
Ccdc85b	208.690476	597	890	0	0	0	0	0	0	0	0	0	240	172	456	250	81	307	264	765	877	444	350	0	540	156	273	0	435	0	0	0	105	0	99	0	1183	281	0	0	0	0	0	0
Itgal	208.666667	899	914	0	0	0	0	0	0	0	0	0	0	0	649	255	111	327	267	981	1161	452	365	0	736	0	213	0	622	0	0	0	150	0	0	0	662	0	0	0	0	0	0	0
Scyl3	208.642857	1180	919	0	0	0	0	0	0	0	0	0	150	0	541	266	0	364	235	960	1153	364	458	0	572	0	189	0	508	0	0	0	0	0	134	0	577	193	0	0	0	0	0	0
Map2k4	208.642857	2117	1431	0	0	0	0	0	0	0	0	0	0	0	465	242	0	252	103	333	1373	461	337	0	408	0	232	0	440	0	142	0	0	0	91	0	336	0	0	0	0	0	0	0
