Target_genes	Elf1|Average	SRX184866|CD4+_T_cells	SRX6783984|CH12	SRX6783985|CH12	SRX12734917|Granulocyte-Macrophage_Progenitor_Cells	SRX12734918|Granulocyte-Macrophage_Progenitor_Cells	SRX12734919|Granulocyte-Macrophage_Progenitor_Cells	SRX12734920|Granulocyte-Macrophage_Progenitor_Cells	SRX12734921|Granulocyte-Macrophage_Progenitor_Cells	SRX12734922|Granulocyte-Macrophage_Progenitor_Cells	SRX2242846|Macrophages	SRX6783941|MEL	SRX6783942|MEL	SRX184865|Treg	DRX285483|Unclassified	DRX285485|Unclassified	STRING
Rsl24d1	455.466667	496	846	1250	338	301	438	191	0	295	894	528	1038	217	0	0	0
Rpl10	455.4	527	1087	1336	0	0	305	0	0	163	1561	659	823	370	0	0	0
Clta	455.4	345	642	850	429	467	987	411	337	734	757	405	334	133	0	0	0
Zfp94	454.866667	173	870	1011	333	696	631	300	0	533	806	666	664	140	0	0	0
Rab1b	454.666667	280	450	532	579	639	1139	809	327	1219	275	357	214	0	0	0	0
Elof1	454.666667	320	562	790	366	473	734	476	243	573	516	800	967	0	0	0	0
Nceh1	454.6	616	946	1134	145	189	450	208	0	187	1595	529	501	319	0	0	0
Mideas	454.6	217	159	178	706	655	1396	718	549	952	1019	0	167	103	0	0	0
B9d2	454.2	159	606	413	270	529	628	563	112	480	1500	542	795	216	0	0	0
Fth1	453.733333	247	209	367	786	1127	949	574	635	1239	380	124	74	95	0	0	0
Map3k2	453.6	305	260	539	672	633	1243	754	464	1284	322	89	239	0	0	0	0
Zfp677	453.466667	828	1286	1471	175	188	268	95	0	0	1946	0	0	545	0	0	0
Fam151b	453.466667	387	1646	1611	226	255	674	206	0	238	1212	0	0	347	0	0	0
Rgs9bp	453.4	515	1355	1449	113	0	234	0	0	278	1365	629	724	139	0	0	0
Ankrd27	453.4	515	1355	1449	113	0	234	0	0	278	1365	629	724	139	0	0	0
Vps35l	453.066667	651	780	943	388	325	519	332	0	285	1202	536	641	194	0	0	0
Dnajb1	453.066667	638	818	949	189	544	569	372	114	618	1082	291	384	228	0	0	0
Mrpl44	452.8	405	678	1026	352	268	543	328	225	546	1003	483	776	159	0	0	0
Ufsp2	452.533333	306	879	960	257	386	544	316	129	455	1128	718	588	122	0	0	0
1700029J07Rik	452.533333	306	879	960	257	386	544	316	129	455	1128	718	588	122	0	0	0
Tfam	452.333333	419	612	838	352	692	783	415	120	577	736	475	617	149	0	0	0
Zfp839	452.266667	0	2241	2258	0	135	212	0	0	0	364	441	1133	0	0	0	0
Tgfbr3l	452.266667	362	1020	1532	121	206	226	162	113	151	1208	550	1035	98	0	0	0
Snapc2	452.266667	362	1020	1532	121	206	226	162	113	151	1208	550	1035	98	0	0	0
Eef1aknmt	452.266667	244	526	731	311	477	563	277	169	646	370	1125	1222	123	0	0	0
Polr3d	452.2	379	1005	1244	218	345	330	135	84	269	1454	572	551	197	0	0	0
Rnf31	452.066667	318	1080	1374	112	208	277	188	0	331	1296	591	773	233	0	0	0
Psme2	452.066667	318	1080	1374	112	208	277	188	0	331	1296	591	773	233	0	0	0
Arhgap45	452.066667	833	495	712	247	234	512	307	238	369	565	828	1046	395	0	0	0
Purb	451.933333	202	1122	1269	374	355	742	479	0	560	436	589	651	0	0	0	0
Chuk	451.8	390	1256	1220	0	139	277	168	0	253	887	1033	955	199	0	0	0
Calm3	451.8	208	662	693	406	783	848	545	247	650	745	336	542	112	0	0	0
Helb	451.733333	622	942	1058	205	409	352	314	0	338	1110	663	519	244	0	0	0
Tubd1	451.666667	0	671	858	606	552	904	711	308	866	282	468	549	0	0	0	0
Rps6kb1	451.666667	0	671	858	606	552	904	711	308	866	282	468	549	0	0	0	0
Acad9	451.533333	573	653	766	261	413	752	463	153	466	1084	439	550	200	0	0	0
Stx5a	451.466667	669	822	1222	164	283	398	239	0	301	1000	610	773	291	0	0	0
Serinc1	451.4	254	713	907	325	584	909	485	243	643	1015	320	373	0	0	0	0
Prkcsh	451.4	269	633	990	190	386	508	338	225	448	761	1025	881	117	0	0	0
Ireb2	451.4	101	836	691	556	711	990	670	220	902	227	440	427	0	0	0	0
Ccdc151	451.4	269	633	990	190	386	508	338	225	448	761	1025	881	117	0	0	0
Aak1	451.266667	551	1343	1318	0	168	361	219	0	0	1445	657	558	149	0	0	0
Puf60	450.866667	741	772	902	206	526	382	279	109	444	1039	459	754	150	0	0	0
Anln	450.866667	0	0	114	840	1075	1584	1102	473	1272	0	190	113	0	0	0	0
Abhd17a	450.8	361	934	940	272	390	604	371	154	476	832	641	787	0	0	0	0
Tra2b	450.733333	615	427	432	384	468	1079	709	167	809	556	176	549	390	0	0	0
Trim11	450.666667	204	1548	1548	0	0	302	0	0	0	690	916	1322	230	0	0	0
Acsl5	450.666667	415	1017	1482	78	0	0	0	0	89	1769	641	1031	238	0	0	0
Polm	450.466667	753	1247	1379	163	223	353	0	0	155	1131	488	589	276	0	0	0
Ttc27	450.4	312	1032	1257	165	290	401	251	149	338	899	749	784	129	0	0	0
Ankrd10	450.266667	533	759	842	338	511	709	624	144	569	633	565	527	0	0	0	0
Actn4	450.133333	0	115	196	827	865	1629	1120	572	1327	0	101	0	0	0	0	0
Get4	449.466667	200	441	764	531	780	1144	708	431	977	174	255	337	0	0	0	0
Gemin8	449.333333	550	956	1153	171	216	586	328	0	307	858	652	855	108	0	0	0
Hlcs	449.266667	549	728	1092	359	357	593	420	150	566	649	398	566	312	0	0	0
Rab10	449.2	0	207	206	640	996	1330	961	519	1202	467	126	0	84	0	0	0
Uqcc1	449.133333	226	520	876	416	465	1200	563	179	559	726	431	576	0	0	0	0
Psmd7	449.133333	382	745	1027	271	411	539	287	0	430	808	789	938	110	0	0	0
Adrm1	449.133333	482	736	1117	372	579	467	439	0	530	593	541	696	185	0	0	0
Atg4d	448.933333	168	251	520	647	665	1105	863	478	1051	276	298	412	0	0	0	0
Crlf2	448.733333	588	889	754	306	308	396	288	228	586	1111	403	482	392	0	0	0
Dnajc12	448.466667	449	1129	1265	0	0	0	0	0	0	1546	829	1151	358	0	0	0
Sdha	448.133333	0	156	234	896	1136	1337	907	599	1354	0	103	0	0	0	0	0
Ccdc127	448.133333	0	156	234	896	1136	1337	907	599	1354	0	103	0	0	0	0	0
Lyrm9	448.0	260	817	922	245	443	771	550	0	718	616	644	734	0	0	0	0
Prpf38a	447.666667	204	876	1010	396	293	722	408	210	510	834	605	647	0	0	0	0
Orc1	447.666667	204	876	1010	396	293	722	408	210	510	834	605	647	0	0	0	0
Usp12	447.466667	206	540	824	448	583	901	795	250	941	533	363	328	0	0	0	0
Mmd	447.466667	627	674	911	276	561	729	427	0	561	807	386	489	264	0	0	0
Psmd4	447.4	625	1126	1172	0	113	217	0	0	243	752	1046	1100	317	0	0	0
Psmd12	447.333333	264	930	1087	265	528	562	338	176	416	683	732	729	0	0	0	0
Wdr55	447.266667	664	937	1080	122	130	276	117	0	191	1631	470	846	245	0	0	0
Sh2b1	447.266667	369	1035	933	235	291	423	223	102	370	1311	535	559	323	0	0	0
Gm12500	447.2	661	690	1167	0	231	503	174	0	203	1550	613	765	151	0	0	0
Ampd2	447.2	661	690	1167	0	231	503	174	0	203	1550	613	765	151	0	0	0
Nfatc3	447.066667	567	803	1150	126	163	340	109	134	329	1010	751	957	267	0	0	0
Arhgap30	447.066667	816	658	760	183	159	566	198	154	423	1792	292	455	250	0	0	0
Mroh1	446.933333	299	601	835	292	520	1036	574	372	771	764	254	386	0	0	0	0
Spopl	446.866667	250	1491	2101	0	0	0	0	0	0	1263	542	887	169	0	0	0
Sppl3	446.666667	0	0	216	895	857	1554	1120	587	1471	0	0	0	0	0	0	0
B230219D22Rik	446.466667	154	305	391	728	884	1353	1022	369	881	263	164	183	0	0	0	0
Hars2	446.333333	545	1083	1210	165	230	339	115	0	183	1339	592	894	0	0	0	0
Hars	446.333333	545	1083	1210	165	230	339	115	0	183	1339	592	894	0	0	0	0
Rrs1	446.066667	450	1260	1587	122	237	455	222	0	212	877	535	734	0	0	0	0
Dgkz	446.066667	609	1305	1597	164	0	411	158	155	226	717	470	756	123	0	0	0
Adhfe1	446.066667	450	1260	1587	122	237	455	222	0	212	877	535	734	0	0	0	0
Sat1	446.0	445	876	951	224	245	529	160	266	382	820	733	770	289	0	0	0
Eef1akmt1	445.666667	322	630	958	377	517	852	568	232	640	789	285	379	136	0	0	0
Tm2d1	445.333333	640	1137	1447	0	0	168	148	0	0	1326	740	941	133	0	0	0
Zfp729b	445.2	268	1523	1689	276	302	303	248	0	344	616	409	531	169	0	0	0
Sae1	445.2	0	180	152	888	1031	1588	836	474	1440	0	89	0	0	0	0	0
Ap3s2	445.2	456	1151	1776	0	0	123	0	0	0	923	1117	1132	0	0	0	0
Zc3h4	445.133333	613	559	597	158	310	483	157	190	256	1705	478	638	533	0	0	0
Vps51	445.0	724	924	1214	187	113	115	160	0	185	1149	648	981	275	0	0	0
Dnmt1	444.866667	315	459	565	425	500	729	518	347	575	855	680	705	0	0	0	0
Psen2	444.466667	937	880	1015	127	434	444	249	0	464	1031	342	426	318	0	0	0
Mapkapk3	444.4	902	803	897	0	267	406	173	0	354	1583	325	548	408	0	0	0
Zbed4	444.333333	0	93	175	910	1023	1478	946	474	1187	107	175	97	0	0	0	0
Dpy19l1	443.933333	327	1057	1048	224	567	588	283	93	361	1074	457	580	0	0	0	0
Tfpt	443.866667	214	943	1194	161	380	601	328	115	363	624	687	1048	0	0	0	0
Prpf31	443.866667	214	943	1194	161	380	601	328	115	363	624	687	1048	0	0	0	0
Mtmr14	443.733333	366	612	619	480	681	918	487	262	815	482	377	400	157	0	0	0
Ppp1r7	443.6	299	983	1237	0	142	280	221	0	240	1183	796	1093	180	0	0	0
Pask	443.6	299	983	1237	0	142	280	221	0	240	1183	796	1093	180	0	0	0
Nrde2	443.2	124	911	1174	157	167	193	137	0	264	1975	750	679	117	0	0	0
Slc6a6	443.0	648	591	610	312	343	711	457	0	653	1129	344	556	291	0	0	0
Saxo2	442.8	262	838	1048	269	334	572	530	169	496	951	556	617	0	0	0	0
Efl1	442.8	262	838	1048	269	334	572	530	169	496	951	556	617	0	0	0	0
Bcl2l12	442.8	469	412	343	216	482	566	287	138	583	713	888	1178	367	0	0	0
Ube2f	442.733333	242	706	1261	139	408	547	231	0	434	1404	483	653	133	0	0	0
Serinc5	442.6	350	520	648	463	677	785	762	208	750	670	309	371	126	0	0	0
Tab3	442.466667	563	981	1404	249	249	537	246	0	329	746	588	596	149	0	0	0
Magohb	442.4	234	758	1189	395	276	497	183	210	323	349	943	1159	120	0	0	0
Fam185a	442.333333	326	1016	1370	117	115	241	0	0	130	878	1132	1310	0	0	0	0
Ccdc146	442.333333	326	1016	1370	117	115	241	0	0	130	878	1132	1310	0	0	0	0
Mknk2	442.133333	324	148	211	612	870	1106	880	409	1354	364	138	216	0	0	0	0
Hspbp1	442.133333	706	869	1019	164	334	404	218	148	371	1375	313	378	333	0	0	0
Crcp	442.133333	105	1402	1176	103	403	413	224	0	276	905	771	854	0	0	0	0
Bag6	441.866667	448	618	551	369	591	603	296	217	554	1548	314	382	137	0	0	0
Apom	441.866667	448	618	551	369	591	603	296	217	554	1548	314	382	137	0	0	0
Zfand2a	441.6	226	382	587	514	893	1203	733	267	1040	268	289	222	0	0	0	0
Ints5	441.6	314	856	923	298	347	618	183	118	506	1186	515	543	217	0	0	0
Swi5	441.533333	183	568	499	465	680	962	528	242	731	803	376	429	157	0	0	0
Spidr	441.533333	236	751	1059	411	607	1106	597	157	737	441	100	421	0	0	0	0
Golga2	441.533333	183	568	499	465	680	962	528	242	731	803	376	429	157	0	0	0
Rheb	441.466667	174	595	515	675	597	1243	598	244	705	341	401	534	0	0	0	0
Vps18	441.4	453	971	1250	118	316	621	280	120	303	1082	356	422	329	0	0	0
Mynn	441.133333	184	1533	2094	107	107	300	173	0	214	398	382	1010	115	0	0	0
Actrt3	441.133333	184	1533	2094	107	107	300	173	0	214	398	382	1010	115	0	0	0
Myg1	441.066667	463	957	1422	0	0	312	0	0	121	996	837	1157	351	0	0	0
Rpl11	440.733333	425	785	1039	194	253	314	249	0	274	962	863	1043	210	0	0	0
Rad51	440.533333	488	745	838	203	311	525	303	102	407	1320	440	519	407	0	0	0
Nsmce1	440.533333	499	872	988	245	336	776	363	193	568	568	576	395	229	0	0	0
Ralgapa2	440.333333	155	125	280	862	953	1230	1110	378	1100	157	141	114	0	0	0	0
Lamtor4	440.2	341	891	1168	299	437	980	229	301	367	471	405	519	195	0	0	0
Rdh14	440.133333	600	1272	1490	127	188	123	0	0	151	844	627	927	253	0	0	0
Psmd5	440.066667	0	224	465	644	861	1378	889	265	906	172	353	444	0	0	0	0
Cutal	440.066667	0	224	465	644	861	1378	889	265	906	172	353	444	0	0	0	0
Mrps21	440.0	306	944	1173	0	156	345	184	0	239	866	1140	1118	129	0	0	0
Pdcl3	439.733333	283	548	839	461	686	831	660	176	641	733	313	300	125	0	0	0
Minpp1	439.733333	519	811	1264	304	450	422	426	140	321	841	465	633	0	0	0	0
Spryd3	439.666667	533	906	1307	217	188	484	193	0	412	760	855	740	0	0	0	0
Ascc1	439.666667	289	495	907	447	481	887	496	362	790	463	338	445	195	0	0	0
Anapc16	439.666667	289	495	907	447	481	887	496	362	790	463	338	445	195	0	0	0
Nvl	439.6	119	941	839	377	583	896	481	205	753	428	617	355	0	0	0	0
Grpel1	439.4	275	643	908	243	480	588	328	107	684	845	671	702	117	0	0	0
Snrpg	439.333333	335	882	1216	146	299	427	230	186	349	1306	535	559	120	0	0	0
Rpl37a	439.066667	128	631	754	416	585	1056	466	442	656	810	350	292	0	0	0	0
Mphosph8	438.933333	137	849	898	277	542	883	572	189	574	851	445	367	0	0	0	0
L3mbtl2	438.8	384	827	1666	0	171	247	0	0	162	1427	712	886	100	0	0	0
Dynlrb2	438.8	912	1355	1650	0	0	159	0	0	162	1907	0	0	437	0	0	0
Tma7	438.533333	538	1065	1180	185	113	385	219	0	151	1102	670	636	334	0	0	0
Ccdc51	438.533333	538	1065	1180	185	113	385	219	0	151	1102	670	636	334	0	0	0
Tmem120b	438.4	0	0	118	957	873	1353	908	676	1349	221	121	0	0	0	0	0
Pcnx4	438.333333	254	258	688	538	720	1056	862	232	832	595	146	247	147	0	0	0
Zdhhc7	438.133333	434	1043	1541	0	210	204	0	0	112	1345	674	865	144	0	0	0
Ostf1	438.0	0	1006	1226	193	249	336	163	120	353	1690	530	704	0	0	0	0
Nmrk1	438.0	0	1006	1226	193	249	336	163	120	353	1690	530	704	0	0	0	0
Gpbp1	437.8	488	785	983	390	408	455	352	132	608	1101	592	273	0	0	0	0
Relch	437.666667	457	951	1084	306	499	659	302	67	483	506	579	672	0	0	0	0
Pign	437.666667	457	951	1084	306	499	659	302	67	483	506	579	672	0	0	0	0
Gm51425	437.666667	548	865	1214	0	0	197	0	0	205	1140	1056	1020	320	0	0	0
Zmynd12	437.6	624	916	1113	136	178	338	0	93	163	1382	451	768	402	0	0	0
Ppcs	437.6	624	916	1113	136	178	338	0	93	163	1382	451	768	402	0	0	0
D3Ertd751e	437.266667	593	724	957	271	485	584	413	111	385	896	370	460	310	0	0	0
Phb	437.133333	659	1039	1218	83	162	186	0	0	147	1599	692	568	204	0	0	0
B3gat3	437.133333	0	501	867	457	736	899	425	204	840	937	260	431	0	0	0	0
Iqgap1	437.0	358	645	704	360	664	705	493	202	837	715	418	454	0	0	0	0
Zswim3	436.933333	550	844	1417	0	0	321	113	154	250	1282	645	788	190	0	0	0
Strada	436.933333	346	585	686	419	632	1128	685	201	951	220	330	224	147	0	0	0
Lbhd1	436.933333	314	856	923	298	277	618	183	118	506	1186	515	543	217	0	0	0
Acot8	436.933333	550	844	1417	0	0	321	113	154	250	1282	645	788	190	0	0	0
1810009A15Rik	436.933333	314	856	923	298	277	618	183	118	506	1186	515	543	217	0	0	0
Dis3l2	436.866667	420	1428	1541	123	101	131	152	0	189	1139	439	700	190	0	0	0
Mapkapk5	436.8	0	272	415	480	705	1468	932	412	981	303	303	281	0	0	0	0
Fignl1	436.666667	0	173	230	801	987	1340	999	460	1188	251	121	0	0	0	0	0
Rabgap1	436.533333	176	957	938	302	427	468	386	149	450	1038	712	545	0	0	0	0
Bnip2	436.533333	0	517	676	689	623	1289	729	261	1031	470	132	131	0	0	0	0
H4c3	436.4	407	523	601	386	380	391	322	749	665	647	387	900	188	0	0	0
H1f6	436.4	407	523	601	386	380	391	322	749	665	647	387	900	188	0	0	0
Mfsd3	436.133333	115	704	488	258	354	508	226	0	405	1553	699	1232	0	0	0	0
Gpt	436.133333	115	704	488	258	354	508	226	0	405	1553	699	1232	0	0	0	0
Ascc3	436.066667	396	601	700	427	724	783	614	221	802	733	253	287	0	0	0	0
Dhodh	435.866667	521	819	966	224	533	796	381	0	501	873	323	463	138	0	0	0
Rnasek	435.666667	417	658	1017	221	352	769	309	158	609	948	333	601	143	0	0	0
0610010K14Rik	435.666667	417	658	1017	221	352	769	309	158	609	948	333	601	143	0	0	0
Kri1	435.533333	342	290	421	405	674	801	622	284	633	629	639	638	155	0	0	0
Cdkn2d	435.533333	342	290	421	405	674	801	622	284	633	629	639	638	155	0	0	0
Nbeal2	435.466667	353	608	1019	280	387	476	233	140	405	1048	587	784	212	0	0	0
Ccdc12	435.466667	353	608	1019	280	387	476	233	140	405	1048	587	784	212	0	0	0
Asl	435.133333	0	1402	1176	103	403	413	224	0	276	905	771	854	0	0	0	0
Snrpd2	435.066667	629	824	915	246	177	417	211	0	344	1289	488	525	461	0	0	0
Qpctl	435.066667	629	824	915	246	177	417	211	0	344	1289	488	525	461	0	0	0
Kdm4d	434.8	500	660	1020	239	240	302	236	0	262	422	1208	1161	272	0	0	0
Cwc15	434.8	500	660	1020	239	240	302	236	0	262	422	1208	1161	272	0	0	0
Ccar2	434.8	327	1216	1329	0	101	355	144	0	0	1332	840	724	154	0	0	0
Rfc1	434.266667	0	230	381	636	944	1517	965	280	1151	0	128	282	0	0	0	0
Sufu	434.133333	129	568	480	294	525	688	449	160	716	848	792	739	124	0	0	0
Actr1a	434.133333	129	568	480	294	525	688	449	160	716	848	792	739	124	0	0	0
Tmem14a	434.0	433	961	1052	0	333	332	198	0	257	1338	533	843	230	0	0	0
Ppm1f	433.733333	312	555	923	335	437	954	615	145	669	571	405	388	197	0	0	0
Phf14	433.666667	467	907	1033	348	221	356	159	243	646	843	434	635	213	0	0	0
Tbc1d23	433.6	229	494	1001	369	530	676	434	149	658	776	378	713	97	0	0	0
Ilf3	433.333333	0	0	106	658	976	1345	900	587	1427	0	243	258	0	0	0	0
Zbtb26	433.066667	124	957	938	302	427	468	386	149	450	1038	712	545	0	0	0	0
C330018D20Rik	433.066667	651	1320	1489	0	0	0	0	0	0	1450	577	653	356	0	0	0
Phc3	433.0	0	356	620	592	542	896	610	331	731	565	595	657	0	0	0	0
Zfp433	432.866667	694	956	1042	185	176	317	183	0	283	1363	427	598	269	0	0	0
Gm32687	432.866667	694	956	1042	185	176	317	183	0	283	1363	427	598	269	0	0	0
Sf3b4	432.666667	307	357	735	338	700	680	361	151	692	184	1140	845	0	0	0	0
Rnf24	432.533333	334	588	976	323	595	810	544	225	777	421	446	449	0	0	0	0
Ptges3	432.533333	127	163	523	716	959	1377	819	316	1236	131	121	0	0	0	0	0
Vps39	432.333333	244	1124	1235	138	0	264	0	268	484	917	761	885	165	0	0	0
Fbf1	432.133333	145	1355	1971	0	162	93	0	0	162	848	786	960	0	0	0	0
Mlx	431.933333	299	880	1136	219	328	347	275	117	325	801	728	934	90	0	0	0
Dctpp1	431.933333	382	1089	1344	156	293	268	185	0	292	908	670	762	130	0	0	0
Coasy	431.933333	299	880	1136	219	328	347	275	117	325	801	728	934	90	0	0	0
Ccdc14	431.733333	437	806	1037	396	362	799	462	0	597	847	262	471	0	0	0	0
Nat2	431.666667	548	1551	1831	0	0	123	0	0	131	1536	0	350	405	0	0	0
Nat1	431.666667	548	1551	1831	0	0	123	0	0	131	1536	0	350	405	0	0	0
Srsf9	431.466667	203	578	777	514	768	872	700	321	920	185	321	313	0	0	0	0
Slc31a1	431.466667	552	718	828	320	413	731	298	251	654	821	298	428	160	0	0	0
Fkbp15	431.466667	552	718	828	320	413	731	298	251	654	821	298	428	160	0	0	0
Sqstm1	431.4	879	903	981	0	229	275	99	0	285	925	853	724	318	0	0	0
Vipas39	431.2	402	1025	1254	120	161	136	113	0	260	1083	681	882	351	0	0	0
Ahsa1	431.2	402	1025	1254	120	161	136	113	0	260	1083	681	882	351	0	0	0
Ehmt2	431.133333	199	664	813	462	545	1032	685	356	759	410	270	272	0	0	0	0
Tm9sf4	431.0	545	682	721	251	396	463	192	114	427	1299	455	645	275	0	0	0
Taok2	430.933333	0	497	478	455	743	1281	713	267	846	796	125	263	0	0	0	0
Zfp369	430.733333	856	1159	1176	0	181	74	0	0	121	1752	357	338	447	0	0	0
Oma1	430.6	494	665	768	346	674	760	592	243	788	555	193	242	139	0	0	0
Chpf2	430.466667	323	922	1517	148	142	273	214	0	198	641	931	1148	0	0	0	0
Cnot11	430.333333	286	591	919	300	539	883	658	167	602	657	306	406	141	0	0	0
Rel	429.933333	265	1260	1383	187	462	597	437	184	458	517	206	265	228	0	0	0
Senp1	429.866667	415	646	744	297	696	699	320	180	714	580	574	583	0	0	0	0
Pfkm	429.866667	415	646	744	297	696	699	320	180	714	580	574	583	0	0	0	0
Cnnm4	429.733333	582	616	718	239	238	239	238	153	238	1455	440	864	426	0	0	0
Ufm1	429.666667	430	1017	1217	92	0	132	0	0	0	1741	516	1072	228	0	0	0
Wasf1	429.6	624	1002	1255	0	0	0	0	0	0	1719	356	1017	471	0	0	0
Cdc40	429.6	624	1002	1255	0	0	0	0	0	0	1719	356	1017	471	0	0	0
Tmem126a	429.533333	201	1111	1648	220	360	670	354	0	434	963	219	263	0	0	0	0
Agbl5	429.533333	137	1862	1949	170	146	280	159	0	122	0	526	1092	0	0	0	0
Sf3a1	429.466667	339	793	677	209	416	741	517	187	412	912	636	603	0	0	0	0
Ccdc157	429.466667	339	793	677	209	416	741	517	187	412	912	636	603	0	0	0	0
Zfp994	429.266667	345	1157	1411	0	0	123	0	0	141	1300	727	1099	136	0	0	0
Ccny	429.266667	0	242	310	625	828	1416	732	290	1309	423	171	93	0	0	0	0
Trim65	429.2	949	634	558	0	171	152	219	0	277	1852	678	757	191	0	0	0
Tmem260	429.133333	490	812	910	160	435	299	262	119	280	1379	418	634	239	0	0	0
2610301B20Rik	429.133333	173	1767	2259	153	134	228	191	0	242	171	445	674	0	0	0	0
Rnf168	429.066667	504	946	1161	177	374	348	283	0	322	1166	413	518	224	0	0	0
Ctdp1	429.066667	493	745	974	124	308	370	220	0	515	1360	419	628	144	0	136	0
Shld1	429.0	271	781	1120	209	253	850	416	126	396	881	452	680	0	0	0	0
Zfp639	428.866667	140	374	552	684	923	1084	788	410	982	223	158	115	0	0	0	0
Pacrgl	428.866667	246	1142	1309	345	484	545	302	138	528	819	301	274	0	0	0	0
Alkbh3	428.866667	313	1201	1494	313	247	505	201	189	416	1444	0	0	110	0	0	0
Tecpr2	428.666667	0	779	1193	333	366	596	451	213	583	310	712	894	0	0	0	0
Cinp	428.666667	0	779	1193	333	366	596	451	213	583	310	712	894	0	0	0	0
Itfg2	428.533333	280	595	911	443	613	717	524	164	611	801	162	401	206	0	0	0
Fubp3	428.4	0	651	699	511	660	1039	559	192	625	886	243	361	0	0	0	0
Psmc3ip	428.333333	252	1503	1727	128	250	379	172	0	170	940	318	426	160	0	0	0
Phkb	428.266667	199	1058	1267	237	469	543	305	0	402	1032	442	470	0	0	0	0
Itfg1	428.266667	199	1058	1267	237	469	543	305	0	402	1032	442	470	0	0	0	0
Fmnl1	428.266667	1067	799	986	339	322	450	217	160	389	687	232	406	370	0	0	0
Rhbdf1	428.2	439	833	1048	147	214	490	293	0	115	1451	723	670	0	0	0	0
Mpg	428.2	439	833	1048	147	214	490	293	0	115	1451	723	670	0	0	0	0
Cebpzos	428.2	429	883	823	287	290	842	314	0	490	942	437	546	140	0	0	0
Asnsd1	428.2	632	659	718	419	376	559	464	200	625	787	280	496	208	0	0	0
Asdurf	428.2	632	659	718	419	376	559	464	200	625	787	280	496	208	0	0	0
Slc66a2	427.8	0	300	271	353	472	1149	627	270	557	1256	497	665	0	0	0	0
Cdk5rap3	427.533333	225	1359	1473	142	115	315	171	0	157	919	831	706	0	0	0	0
Poldip3	427.466667	639	848	1156	250	219	320	137	110	368	861	460	743	301	0	0	0
Tnfaip3	427.4	109	138	446	911	725	1231	671	596	1276	0	174	134	0	0	0	0
Mgat1	427.333333	167	630	760	353	592	854	517	305	695	652	338	442	105	0	0	0
Ercc4	427.333333	458	1158	1134	103	128	322	164	0	214	1678	335	457	259	0	0	0
Sco1	427.266667	200	1255	1412	169	297	237	211	0	172	657	680	1019	100	0	0	0
Adprm	427.266667	200	1255	1412	169	297	237	211	0	172	657	680	1019	100	0	0	0
Ipo7	427.2	536	837	1177	181	266	258	183	0	251	1213	658	654	194	0	0	0
Pmel	427.066667	0	1165	1089	276	388	516	302	0	389	899	644	738	0	0	0	0
Ern1	427.066667	320	924	997	229	274	619	390	178	493	600	545	837	0	0	0	0
Cdk2	427.066667	0	1165	1089	276	388	516	302	0	389	899	644	738	0	0	0	0
Crebl2	427.0	144	816	1265	230	386	410	335	141	405	529	995	749	0	0	0	0
Slc38a9	426.333333	488	1000	1296	0	116	150	0	0	0	1118	760	1191	276	0	0	0
Emc2	426.133333	369	1193	1088	0	209	178	0	0	205	1315	754	949	132	0	0	0
Ankrd37	425.866667	0	285	373	709	1207	1103	751	407	1376	177	0	0	0	0	0	0
Gm5741	425.8	530	729	1071	234	158	610	289	0	310	1268	443	505	240	0	0	0
Dhps	425.8	530	729	1071	234	158	610	289	0	310	1268	443	505	240	0	0	0
Ufc1	425.733333	868	934	1104	0	0	0	0	0	111	1580	625	710	454	0	0	0
Ap1g1	425.666667	251	779	1236	426	436	629	301	285	442	356	589	655	0	0	0	0
Pdzd8	425.533333	0	202	240	368	160	981	267	454	392	447	1258	1614	0	0	0	0
A930007A09Rik	425.533333	354	1244	1568	0	0	0	0	0	0	1584	843	790	0	0	0	0
Npc2	425.466667	663	770	867	215	379	559	195	120	539	728	541	604	202	0	0	0
Isca2	425.466667	663	770	867	215	379	559	195	120	539	728	541	604	202	0	0	0
Aftph	425.4	100	284	454	686	696	1197	605	390	1131	239	277	322	0	0	0	0
Htt	425.133333	139	245	421	590	819	1069	790	307	1035	256	391	315	0	0	0	0
Pcbp1	425.066667	307	449	663	525	555	1185	790	256	787	236	171	452	0	0	0	0
Mrpl34	424.8	626	891	1161	0	181	263	176	0	236	1229	644	565	304	0	96	0
Haus4	424.6	428	710	592	407	467	450	265	138	449	1412	511	540	0	0	0	0
Dda1	424.6	626	891	1161	0	181	263	173	0	236	1229	644	565	304	0	96	0
Zfp653	424.533333	487	311	715	297	529	616	342	381	510	355	806	820	199	0	0	0
Ddhd2	424.466667	0	84	173	731	1273	1215	1030	445	1293	0	123	0	0	0	0	0
Zcchc9	424.333333	501	673	929	152	339	628	270	0	285	1031	542	775	240	0	0	0
Odf2	424.333333	485	723	989	204	260	704	476	147	486	689	496	464	242	0	0	0
Tex14	424.266667	521	1042	824	438	397	484	408	198	478	265	508	647	154	0	0	0
Dlgap5	424.266667	349	999	1463	186	0	407	261	0	364	870	534	711	220	0	0	0
Cnbp	424.266667	691	563	844	265	549	658	433	0	608	911	296	382	164	0	0	0
Ube2z	424.133333	0	1498	1709	223	295	234	215	0	233	609	702	644	0	0	0	0
Cul3	423.866667	350	928	1013	286	460	531	331	102	457	679	546	675	0	0	0	0
