Target_genes	Ctnnb1|Average	SRX3720913|Branchial_arch	SRX3720914|Branchial_arch	SRX11540052|EpiLC	SRX11540053|EpiLC	SRX11540054|EpiLC	SRX11540064|EpiLC	SRX11540065|EpiLC	SRX11540066|EpiLC	SRX11540076|EpiLC	SRX11540077|EpiLC	SRX11540078|EpiLC	SRX9641176|EpiLC	SRX9641177|EpiLC	SRX9641178|EpiLC	SRX9641179|EpiLC	SRX9641180|EpiLC	SRX9641181|EpiLC	SRX9641208|EpiLC	SRX9641209|EpiLC	SRX9641210|EpiLC	SRX9101842|ES_cells	SRX9101843|ES_cells	SRX9101868|ES_cells	SRX9101869|ES_cells	SRX9101878|ES_cells	SRX9101879|ES_cells	SRX9641160|ES_cells	SRX9641161|ES_cells	SRX9641162|ES_cells	SRX25842405|Forelimb	SRX25842406|Forelimb	SRX25842411|Forelimb	SRX25842412|Forelimb	SRX1293143|Hematopoietic_Stem_Cells	SRX1293144|Hematopoietic_Stem_Cells	SRX1293145|Hematopoietic_Stem_Cells	SRX116906|Hepatocytes	SRX9986622|Liver	SRX9986624|Liver	SRX9986626|Liver	SRX6818033|Mesenchymal_stem_cells	SRX6818034|Mesenchymal_stem_cells	SRX6818035|Mesenchymal_stem_cells	SRX6818036|Mesenchymal_stem_cells	SRX5723671|mIMCD-3	SRX5723672|mIMCD-3	SRX5723673|mIMCD-3	SRX5723674|mIMCD-3	SRX5723677|mIMCD-3	SRX5723678|mIMCD-3	SRX5723679|mIMCD-3	SRX5723680|mIMCD-3	SRX172938|Nephron_progenitor	SRX172939|Nephron_progenitor	SRX5825950|Nephron_progenitor	SRX5825951|Nephron_progenitor	SRX5825972|Nephron_progenitor	SRX5825973|Nephron_progenitor	SRX5825994|Nephron_progenitor	SRX5825995|Nephron_progenitor	SRX7856417|Trophoblast_stem_cells	SRX7856418|Trophoblast_stem_cells	STRING
Klf10	21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	605	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	119	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac3	21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	124	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pithd1	21.483871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyb561d1	21.483871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	592	0	0	0
Gpc3	21.467742	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	501	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem199	21.451613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poldip2	21.451613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekha1	21.451613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	178	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm33989	21.451613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rsrp1	21.435484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Denr	21.435484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accsl	21.435484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	652	205	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610507B11Rik	21.435484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603	588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zkscan1	21.419355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	304	0	0	0	0	169	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trp53bp2	21.419355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	415	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	103	105	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssbp2	21.403226	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	106	0	0	125	132	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	217	228	134	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpn12	21.403226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	505	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	142	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nek6	21.403226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncbp3	21.403226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	374	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naa50	21.403226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	283	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myoz3	21.403226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	277	0	0	0	0	699	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hif1a	21.403226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn1b	21.403226	0	0	0	0	0	80	0	0	0	0	0	87	0	196	0	0	0	0	0	0	194	206	0	0	0	0	243	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1a	21.403226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	283	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spin1	21.387097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	309	266	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	129	153	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pofut2	21.387097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpar4	21.387097	0	0	350	253	178	0	0	0	229	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc17	21.370968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	159	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thnsl1	21.370968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mob1b	21.370968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	109	118	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ing5	21.370968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enkur	21.370968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dtymk	21.370968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gxylt1	21.354839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guk1	21.354839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	597	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sptan1	21.33871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kmt2d	21.33871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	217	172	154	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itga1	21.322581	0	0	135	0	306	0	227	0	153	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	274	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isg20	21.322581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	95	0	0	0	0	726	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gclc	21.322581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etv5	21.322581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	505	566	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dars	21.322581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	200	0	0	0	0	168	0	0	0	0	0
Zfp367	21.290323	0	0	85	107	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	135	0	0	289	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srxn1	21.274194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	438	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0
Olfml3	21.274194	0	0	118	0	118	0	0	0	0	0	165	0	0	0	0	0	0	196	0	156	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Josd1	21.258065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	540	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
Gtpbp1	21.258065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	540	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
Gna12	21.258065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	184	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpc1	21.241935	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	122	77	0	225	371	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	132	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acot1	21.241935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	96	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sar1a	21.225806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prtg	21.225806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	197	113	0	182	203	0	0	0	0	244	0	200	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Golga7	21.225806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efr3a	21.225806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crk	21.225806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	511	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	126	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smap2	21.209677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	363	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	126	183	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shoc2	21.209677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	292	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	283	125	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkd1	21.209677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdzrn4	21.209677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	363	117	0	0	0	283	102	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bbip1	21.209677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	292	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	283	125	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smc3	21.193548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	101	0	229	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc9a3r1	21.193548	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	499	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcar1	21.193548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp8	21.177419	0	0	129	0	206	0	0	0	67	0	0	0	0	203	0	0	0	235	0	0	177	83	0	0	0	0	0	0	0	97	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Setd1a	21.177419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	196	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps3a1	21.177419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	450	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr3d	21.177419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wasf1	21.16129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	81	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smchd1	21.16129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	241	0	0	0	0	0	0	0	330	354	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipt2	21.16129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coa3	21.16129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cntd1	21.16129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc40	21.16129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	81	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp34	21.145161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	353	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	156	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf146	21.145161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	162	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pum2	21.145161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	120	128	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Git2	21.145161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	253	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	165	0	303	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fzd5	21.145161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd13a	21.145161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	253	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	165	0	303	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr77	21.129032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	359	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tiam1	21.129032	0	0	218	103	181	0	0	141	211	0	0	0	0	160	0	134	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf115	21.129032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	347	0	0	0	0	196	0	180	0	0	0	0	0	0	0	0	0	81	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex1	21.129032	0	0	236	127	125	181	0	0	120	0	0	0	0	0	0	0	0	172	0	0	97	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr3c	21.129032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	347	0	0	0	0	196	0	180	0	0	0	0	0	0	0	0	0	81	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neurl1a	21.129032	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	260	0	0	0
Kif23	21.129032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dlgap4	21.129032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	324	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	173	216	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp5pb	21.129032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	359	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Washc2	21.112903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	199	0	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif5b	21.112903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rala	21.096774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	171	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abl1	21.080645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	117	170	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc12a2	21.064516	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	267	150	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl9	21.064516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lias	21.064516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
