Target_genes	Bcl6|Average	SRX094460|Liver	SRX094461|Liver	SRX094462|Liver	SRX094463|Liver	SRX094464|Liver	SRX094465|Liver	SRX094466|Liver	SRX016344|Macrophages	SRX028980|Macrophages	SRX028981|Macrophages	SRX112905|Macrophages	SRX6095747|mESC_derived_neural_cells	SRX6095749|mESC_derived_neural_cells	SRX6095751|mESC_derived_neural_cells	ERX383750|Pancreas	ERX383751|Pancreas	SRX1158860|Tfh	SRX353402|Th9	SRX353403|Th9	SRX1158861|Unclassified	STRING
Gm2696	16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	122	0
Gm21704	16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0
Gm21693	16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0
Gm21677	16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0
Gm13277	16.4	186	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13276	16.4	186	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12250	16.4	0	187	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dis3l2	16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0
Dcn	16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0
Cyp7a1	16.4	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0
Cstdc5	16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0
Vstm5	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	149	0
Trem1	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	148	0
Tmx2	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	163	0	0
Tmprss6	16.35	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0
Tmem60	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	149	0
Phtf2	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	149	0
Nktr	16.35	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0
Mrpl4	16.35	136	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0
Med19	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	163	0	0
Klra10	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	135	0
Irs2	16.35	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0
Gprc5a	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	147	0
Fut11	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	135	0
Fam71a	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0
Emc4	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	135	0
Cyp2d11	16.35	0	189	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calb2	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	135	0
Ash1l	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	110	0
2610528J11Rik	16.35	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zcchc3	16.3	0	181	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0
Wdr76	16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	148	0
Tspan12	16.3	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0
Spns2	16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	135	0
Spink10	16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	148	0
Septin9	16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	178	0
Nup133	16.3	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0
Mfap1a	16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	148	0
Lipe	16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	148	0
Lims1	16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	148	0
Gm13272	16.3	152	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo38	16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	148	0
Cav2	16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	148	0
Zan	16.25	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0
Ugt1a9	16.25	173	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stk25	16.25	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0
Serinc1	16.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	188	0
Rabep2	16.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	135	0
Milr1	16.25	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspa4	16.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	157	0
Galnt3	16.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	122	0
Fut4	16.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	161	0
Decr2	16.25	139	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xntrpc	16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	174	0
Xndc1	16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	174	0
Slc17a8	16.2	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0
Rnf121	16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	174	0
Ppp6r1	16.2	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0
Nrxn3	16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	135	0
Mex3d	16.2	0	0	0	0	0	0	0	0	0	0	0	0	141	183	0	0	0	0	0	0	0
Irf2bp2	16.2	159	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2h2	16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	161	0
Tcfl5	16.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	131	0
Spns1	16.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	122	0
Smim14	16.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	142	0
Mgat4e	16.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	116	0
Hivep2	16.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	148	0
Eya2	16.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	172	0
Prr13	16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0
Plxnb2	16.1	93	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0
Nudc	16.1	141	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myo10	16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	148	0
Kcnk7	16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	188	0
Gm2897	16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	87	0
Cep72	16.1	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp354c	16.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	121	0
Pgap2	16.05	106	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Papss1	16.05	196	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nup98	16.05	106	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Lhpp	16.05	134	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synpo2	16.0	0	156	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2rx6	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	84	0
Onecut3	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	170	0
Oga	16.0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0
Mup2	16.0	186	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mup11	16.0	186	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl52	16.0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0
Lrrc74b	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	84	0
Gstp3	16.0	183	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D630003M21Rik	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0
Baz1b	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0
Aspscr1	16.0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0
Snapc4	15.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	168	0
Reep4	15.95	145	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pitrm1	15.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	127	0	0
Mat2b	15.95	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0
Golim4	15.95	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3448	15.95	0	0	0	0	0	0	0	0	0	0	0	223	0	96	0	0	0	0	0	0	0
Gm3417	15.95	0	0	0	0	0	0	0	0	0	0	0	223	0	96	0	0	0	0	0	0	0
Dpy30	15.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0
Ces1f	15.95	140	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc88b	15.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	148	0
9030025P20Rik	15.95	0	0	0	0	0	0	0	0	0	0	0	223	0	96	0	0	0	0	0	0	0
Tlr12	15.9	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0
Sstr3	15.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	123	0
Rnf26	15.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	157	0	0
Rnase10	15.9	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0
Pinx1	15.9	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0
Gtf2i	15.9	103	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb4	15.9	190	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dgki	15.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	98	0
Scrt2	15.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	135	0
Gpr25	15.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0
Susd6	15.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	155	0
Sox5	15.8	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0
Sall1	15.8	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0
Rps24	15.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	150	0
Rph3al	15.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	135	0
Prrc2a	15.8	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0
Polr3a	15.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	150	0
Eif4enif1	15.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	172	0
Crk	15.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	171	0
Thoc1	15.75	112	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc24a1	15.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	185	0
P2rx4	15.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	176	0
Minar1	15.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	135	0
Gm17330	15.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	76	0
Esrra	15.75	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0
Dusp22	15.75	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	150	0	0	0	0
Ufsp2	15.7	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0
Phactr1	15.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	122	0
Ica1	15.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	122	0
Ect2	15.7	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0
1700029J07Rik	15.7	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0
Zfp982	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	135	0
Vmn2r16	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0
Usp16	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	135	0
Trim10	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	135	0
Socs5	15.65	133	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rimbp2	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	160	0
Prkn	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0
Pacrg	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0
Olfr715b	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0
Krtap24-1	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0
Fbxw8	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	163	0
Dner	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0
Azin1	15.65	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
1700019A02Rik	15.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0
Xrcc4	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	148	0
Tsg101	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	148	0
Tmem232	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	148	0
Tmem167	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	148	0
Tbata	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	135	0
Sult3a2	15.6	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0
Srsf6	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	169	0
Spdye4b	15.6	144	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rsph6a	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0
Rsad1	15.6	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0
Rcsd1	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	148	0
Rbak	15.6	144	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rassf8	15.6	0	0	0	0	0	0	0	0	0	0	0	0	98	214	0	0	0	0	0	0	0
Ptpn13	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	148	0
Kxd1	15.6	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0
Golga1	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	148	0
Gm8127	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	135	0
Gm38423	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	134	0
Gm11237	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	134	0
Gm11236	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	134	0
Ets2	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0
Dbp	15.6	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9930021J03Rik	15.6	0	156	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xpc	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	161	0
Wasf1	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	174	0
Snta1	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	155	0
Slc16a4	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	174	0
Serpind1	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0
Pycrl	15.55	118	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa10	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	161	0
Lsm3	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	161	0
Krtap27-1	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	161	0
Ifit2	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	161	0
Gk2	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	161	0
Gcnt7	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	161	0
Fam186a	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0
Fam161b	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	144	0	0
Elavl4	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	161	0
Eif4a1	15.55	0	116	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	108	0	0
Coq6	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	144	0	0
Cdc40	15.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	174	0
B4galnt2	15.55	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	174	0	0	0	0
Slitrk1	15.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	110	0
Nxpe5	15.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0
Mroh5	15.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	182	0
Lasp1	15.5	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0
Erdr1	15.5	0	0	0	0	0	0	0	0	0	0	0	141	83	0	0	0	86	0	0	0	0
Cyp2c55	15.5	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aptx	15.5	133	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr92	15.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	142	0
Vps33a	15.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	111	0
Ppp1r13l	15.45	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0
Mri1	15.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0
Manbal	15.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	135	0
D8Ertd738e	15.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0
Cd3eap	15.45	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0
Cd320	15.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	161	0
Tpm4	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	148	0
Slirp	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	87	0
Slc35c1	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	135	0
Sash1	15.4	183	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nrp	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	87	0
Haghl	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	98	0
Dsg2	15.4	126	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clmn	15.4	0	111	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0
Ccs	15.4	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0
Ccdc87	15.4	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0
Ccdc78	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	98	0
Antkmt	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	98	0
Alkbh1	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	87	0
Svopl	15.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	122	0
Scml4	15.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0
Rab3b	15.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0
Psip1	15.35	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	126	0	0	0	0
Nod1	15.35	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dkk3	15.35	185	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baz2a	15.35	0	104	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0
Tfeb	15.3	0	0	0	0	0	0	0	0	0	0	0	146	160	0	0	0	0	0	0	0	0
Six6	15.3	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0
Rpl32	15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	137	0
Lrrc17	15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	161	0
H60b	15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	113	0
Fmo2	15.3	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0
Abca17	15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	110	0
Slc30a3	15.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	91	0
Nudt8	15.25	133	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nuak2	15.25	127	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nhej1	15.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0
Mup12	15.25	166	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med11	15.25	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0
L1cam	15.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0
Keg1	15.25	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0
Iffo1	15.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	155	0
Etfa	15.25	135	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doc2g	15.25	133	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnl2	15.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	135	0
Trim41	15.2	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Tie1	15.2	130	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tacr3	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0
Rbm33	15.2	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prap1	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	106	0
Gm51573	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0
Cipc	15.2	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0
Ttc24	15.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	133	0
Trpm1	15.15	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Plppr3	15.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0
Havcr1	15.15	0	155	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2956	15.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	0
Cbx3	15.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	192	0	0
Acsm3	15.15	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0
Thbs3	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	174	0
Rnf6	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0
Nrxn1	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0
Mtx1	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	174	0
Junb	15.1	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0
Ghitm	15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	122	0
