Target_genes	Tcf4|Average	SRX22670268|Cortex	SRX22670269|Cortex	SRX22670285|Cortex	SRX22670286|Cortex	SRX9641192|EpiLC	SRX9641193|EpiLC	SRX9641194|EpiLC	SRX9641205|EpiLC	SRX9641206|EpiLC	SRX9641207|EpiLC	SRX9641221|EpiLC	SRX9641222|EpiLC	SRX9641223|EpiLC	SRX9641173|ES_cells	SRX9641174|ES_cells	SRX9641175|ES_cells	SRX323584|Hair_follicle_stem_cells	SRX116907|Hepatocytes	SRX116909|Hepatocytes	SRX856962|Intestinal_crypt	SRX856963|Intestinal_crypt	SRX1141903|Intestinal_stem_cells	SRX1141904|Intestinal_stem_cells	SRX14986811|MC-38	SRX14986813|MC-38	SRX6818037|Mesenchymal_stem_cells	SRX6818038|Mesenchymal_stem_cells	SRX6818039|Mesenchymal_stem_cells	SRX6818040|Mesenchymal_stem_cells	STRING
Dock7	71.310345	114	137	167	97	0	0	169	0	169	0	255	227	236	136	0	146	0	112	0	0	0	0	0	0	0	103	0	0	0	0
Rps29	71.275862	210	134	271	229	0	0	0	0	0	0	0	0	0	0	0	0	0	476	348	0	0	0	0	0	0	143	126	130	0	0
Larp4	71.275862	158	100	245	136	0	0	0	143	103	0	0	0	224	0	0	0	0	338	0	0	361	0	0	0	0	259	0	0	0	0
Cep55	71.241379	82	123	0	92	0	0	92	0	91	107	335	102	210	0	138	0	0	0	0	0	141	0	0	0	0	226	0	327	0	0
Rsph14	71.172414	0	0	0	0	136	200	216	0	172	146	187	148	327	200	182	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0
Rab36	71.172414	0	0	0	0	136	200	216	0	172	146	187	148	327	200	182	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0
Pygo1	71.172414	99	0	184	93	0	119	0	0	224	0	343	0	245	0	0	0	0	0	0	0	0	0	0	0	0	488	269	0	0	0
Mat2a	71.137931	436	321	440	303	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	400	0	0	0	0	0	0	0
Galnt9	71.068966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	445	334	562	544	0
Angptl6	71.068966	320	222	312	258	0	0	0	0	0	0	0	0	0	0	0	0	0	576	222	0	0	0	151	0	0	0	0	0	0	0
Gm33989	71.034483	358	157	256	168	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	160	0	331	519	0
Trappc11	70.965517	129	108	154	101	0	0	186	236	161	140	170	0	82	0	159	0	0	236	196	0	0	0	0	0	0	0	0	0	0	0
Rwdd4a	70.965517	129	108	154	101	0	0	186	236	161	140	170	0	82	0	159	0	0	236	196	0	0	0	0	0	0	0	0	0	0	0
Psip1	70.965517	391	347	402	298	0	0	0	0	143	0	0	0	0	0	0	0	0	134	0	0	0	0	343	0	0	0	0	0	0	0
Il20ra	70.896552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	773	355	371	557	0
Nsmce1	70.793103	124	0	123	115	0	0	156	133	171	127	185	0	339	0	191	0	0	254	0	0	0	0	0	0	0	135	0	0	0	0
Hnrnpc	70.793103	152	114	154	135	0	0	0	0	0	0	0	0	0	0	0	0	0	396	451	0	0	0	0	0	0	0	0	417	234	0
Hacd3	70.793103	237	166	199	153	0	0	0	0	120	0	126	0	0	0	139	0	0	570	0	0	0	0	0	0	0	343	0	0	0	0
Cxxc1	70.793103	84	126	105	114	0	0	0	0	0	0	0	0	0	0	0	0	0	615	314	0	0	0	0	0	0	408	287	0	0	0
Sh3glb1	70.724138	255	238	274	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	109	492	273	0
Fbxo21	70.689655	147	212	185	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	706	406	0	123	0
Adora2b	70.655172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	205	934	653	0
Vbp1	70.62069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	155	0	0	0	0	1068	477	165	0	0
Xndc1	70.551724	130	146	139	170	0	151	231	0	145	84	210	0	0	180	150	0	0	89	0	0	0	0	0	0	0	221	0	0	0	0
Rnf121	70.551724	130	146	139	170	0	151	231	0	145	84	210	0	0	180	150	0	0	89	0	0	0	0	0	0	0	221	0	0	0	0
H3c6	70.517241	240	150	285	131	0	106	111	0	124	65	72	82	140	0	0	0	0	281	128	0	0	0	0	0	0	130	0	0	0	0
Calu	70.413793	155	120	159	128	0	0	0	0	0	0	0	0	0	0	0	0	0	228	98	0	0	0	0	0	0	0	0	686	468	0
Atg12	70.413793	279	218	222	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	177	117	220	267	0
Ap3s1	70.413793	279	218	222	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	177	117	220	267	0
Gas2l3	70.344828	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	1260	474	0
Tbc1d15	70.275862	98	126	142	124	0	0	0	0	0	0	0	0	0	0	0	0	0	167	143	0	0	0	0	0	0	651	393	194	0	0
Mtmr6	70.275862	234	196	210	155	0	0	0	0	0	0	0	0	0	0	0	0	0	275	172	0	0	0	0	0	0	447	186	163	0	0
Madd	70.172414	303	300	319	276	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	605	0	0	0	0	0	111	0
Vmn2r102	70.103448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	657	0	0	261	421	0	0	0	0	147	215	173	159	0
Pcbp2	70.103448	124	228	224	151	0	0	0	0	0	0	0	0	0	0	0	0	0	511	153	0	0	0	0	0	0	333	309	0	0	0
Lmbrd1	70.103448	111	108	174	153	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	501	282	261	103	0
Sectm1a	70.034483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	1415	500	0
Ipo13	70.034483	272	319	258	148	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	194	0	470	245	0
Plin2	70.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	1258	516	0
Pola1	69.965517	0	0	0	0	0	186	124	164	159	167	356	143	217	0	394	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0
Mtmr14	69.965517	375	300	361	211	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	326	0	0	163	133	0	0	0
9530077C05Rik	69.862069	197	120	152	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	159	582	418	0
Tvp23a	69.793103	77	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0	0	0	329	198	492	277	0
Arnt2	69.689655	0	0	91	86	0	197	338	122	246	0	292	0	251	164	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odf2l	69.62069	164	235	188	169	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	300	156	361	190	0
Galm	69.586207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	133	0	126	0	0	0	0	400	423	341	410	0
Anln	69.586207	197	120	152	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	159	582	418	0
Arl15	69.517241	232	177	125	157	0	0	220	150	161	156	215	0	169	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rsu1	69.37931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	271	0	0	0	0	0	0	440	230	460	324	0
Zfp367	69.344828	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	457	0	962	389	0
Etfbkmt	69.344828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	185	0	0	0	0	0	0	379	247	463	496	0
Calm1	69.344828	333	332	384	318	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	129	182	0	0	0
Zfp869	69.310345	217	213	217	164	0	0	128	0	94	0	0	0	0	0	0	0	0	287	412	0	0	0	0	0	0	174	0	104	0	0
Mideas	69.310345	0	0	0	0	0	0	151	0	150	0	182	114	139	0	0	0	132	0	0	0	0	0	0	0	0	250	226	397	269	0
Mfsd13a	69.310345	90	91	128	0	0	207	0	283	152	166	244	0	248	0	197	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0
Git2	69.310345	420	231	430	190	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	613	0	0	0	0	0	0	0
Ankrd13a	69.310345	420	231	430	190	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	613	0	0	0	0	0	0	0
Il6st	69.172414	152	96	68	106	0	0	0	201	175	135	180	0	304	0	0	0	0	213	0	0	0	0	0	0	0	120	0	256	0	0
Klhdc10	69.068966	115	77	173	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	480	113	0	0
Hadhb	69.068966	153	199	217	169	0	0	0	0	0	0	162	0	216	213	315	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0
Hadha	69.068966	153	199	217	169	0	0	0	0	0	0	162	0	216	213	315	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0
Bcas2	69.034483	142	130	122	113	0	0	0	0	0	0	0	0	0	0	0	0	0	746	0	0	491	0	137	0	0	121	0	0	0	0
Rcc2	69.0	0	126	142	0	0	0	0	199	158	0	563	130	352	0	0	0	213	0	0	0	0	0	0	0	0	118	0	0	0	0
Snx21	68.965517	156	80	79	127	0	0	0	0	0	0	0	0	0	0	0	0	0	146	140	0	0	0	0	0	0	287	141	594	250	0
Cic	68.965517	169	106	119	112	0	0	0	0	0	0	0	0	0	0	0	0	0	260	399	0	0	0	0	0	0	140	124	375	196	0
Spata5	68.931034	125	89	105	118	0	0	243	137	215	111	0	0	185	233	203	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0
Nudt6	68.931034	125	89	105	118	0	0	243	137	215	111	0	0	185	233	203	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0
Tnn	68.896552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810	683	222	283	0
Gorasp2	68.896552	323	192	297	251	0	0	0	0	0	0	0	0	0	137	0	0	0	296	0	0	0	0	0	0	0	340	162	0	0	0
Gm4450	68.896552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	1296	469	0
Rhobtb3	68.862069	0	88	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	322	185	620	563	0
Selenok	68.793103	69	116	77	120	0	0	0	0	0	0	0	0	0	0	0	0	0	566	340	0	0	0	0	0	0	363	220	124	0	0
Rtn4	68.724138	140	162	120	187	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	163	0	756	284	0
Dchs2	68.724138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678	234	0	290	0	0	0	0	0	319	224	248	0	0
Plin3	68.689655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	260	0	0	0	0	657	437	178	298	0
Syt12	68.655172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	563	178	561	456	0
Mpp2	68.655172	0	83	0	0	0	0	0	0	0	0	194	92	153	0	0	0	0	0	0	0	0	0	0	0	0	874	438	157	0	0
Tsc22d2	68.62069	191	127	175	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	748	575	0
Mettl25	68.586207	208	231	219	191	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	327	196	188	0	0
Iqgap2	68.586207	105	90	0	0	0	192	89	172	118	196	222	121	307	0	246	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc59	68.586207	208	231	219	191	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	327	196	188	0	0
Stim2	68.551724	0	0	0	0	0	0	0	162	175	0	164	168	0	191	238	0	0	223	0	0	0	0	0	0	0	326	341	0	0	0
Ccdc34	68.517241	93	120	172	150	0	0	0	0	0	0	136	0	121	0	0	0	0	125	0	0	84	0	0	0	0	776	210	0	0	0
Hdac4	68.482759	124	163	207	167	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	251	244	486	203	0
Gk	68.448276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	589	486	431	316	0
Spef1	68.413793	0	0	0	0	0	0	117	0	0	0	1477	0	186	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neo1	68.413793	240	147	168	130	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	187	0	0	0	0	508	280	147	0	0
Smad5	68.37931	188	194	184	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	775	488	0
Pum2	68.37931	219	196	188	183	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	158	197	366	282	0
Dapk3	68.37931	236	145	140	131	0	0	0	130	143	0	150	0	203	0	0	0	0	117	193	0	0	0	0	0	0	181	115	99	0	0
Ier5	68.344828	145	121	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	244	0	126	0	0	0	0	423	158	192	79	0
Vmn1r41	68.310345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	243	902	338	0
Ddx19a	68.241379	152	0	135	79	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	653	237	0
Ccdc126	68.137931	85	122	97	108	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	418	377	403	0	0
Slc1a4	68.103448	174	153	160	167	0	0	0	0	0	0	0	0	0	0	0	0	0	96	100	0	0	0	0	0	0	222	211	505	187	0
Gpatch2l	68.103448	163	147	192	164	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	172	0	0	0	0	477	261	173	0	0
Atp2c1	68.103448	226	259	156	215	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	429	448	0	0	0
Suz12	68.068966	237	286	168	132	0	0	0	0	172	0	128	0	215	0	194	0	0	171	0	0	0	0	0	0	0	271	0	0	0	0
Cdca7	68.034483	128	165	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	341	251	355	312	0
Atp6v0c	68.034483	411	270	242	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	180	94	164	125	0
Pygo2	68.0	542	236	407	397	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	103	0	0	0	0
Gas2	67.965517	151	141	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	148	260	426	537	0
Galk2	67.965517	258	165	261	145	0	0	0	0	0	0	0	0	0	0	0	0	0	245	179	0	0	0	0	0	0	399	139	180	0	0
Tmem59l	67.931034	0	0	0	0	0	0	0	167	351	247	269	190	219	0	0	0	0	405	0	0	122	0	0	0	0	0	0	0	0	0
H3c15	67.931034	270	233	212	262	0	78	101	0	0	0	0	0	128	0	0	0	0	334	141	0	0	0	0	0	0	119	0	92	0	0
H3c14	67.931034	270	233	212	262	0	78	101	0	0	0	0	0	128	0	0	0	0	334	141	0	0	0	0	0	0	119	0	92	0	0
H2ac19	67.931034	270	233	212	262	0	78	101	0	0	0	0	0	128	0	0	0	0	334	141	0	0	0	0	0	0	119	0	92	0	0
H2ac18	67.931034	270	233	212	262	0	78	101	0	0	0	0	0	128	0	0	0	0	334	141	0	0	0	0	0	0	119	0	92	0	0
Crlf1	67.931034	0	0	0	0	0	0	0	167	351	247	269	190	219	0	0	0	0	405	0	0	122	0	0	0	0	0	0	0	0	0
Bsdc1	67.931034	186	143	126	145	0	0	0	0	0	0	0	0	0	0	0	0	92	291	236	0	0	0	0	0	0	406	345	0	0	0
Ppp1cb	67.827586	330	133	247	214	0	0	0	0	0	0	0	0	151	0	0	0	0	503	238	0	0	0	0	0	0	151	0	0	0	0
Anks3	67.827586	353	189	309	218	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	216	224	0	124	0
4930451G09Rik	67.827586	353	189	309	218	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	216	224	0	124	0
Ywhaq	67.793103	145	196	188	131	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	680	298	0	0	0
Mlst8	67.793103	122	176	205	204	0	0	0	0	0	0	0	0	0	0	0	0	0	227	113	0	0	0	466	0	0	166	188	99	0	0
Cfap126	67.793103	109	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	742	333	214	242	0
Hmgb3	67.758621	0	74	0	0	102	0	134	323	184	0	263	167	260	227	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syngap1	67.724138	112	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	385	227	548	225	0
Pip4p1	67.724138	230	162	180	142	0	0	0	0	0	0	0	0	0	0	0	0	0	519	134	0	0	0	0	0	0	254	212	131	0	0
Cuta	67.724138	112	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	385	227	548	225	0
Atad2	67.689655	211	169	166	124	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	474	171	282	103	0
Sri	67.655172	160	197	225	356	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	186	0	0	0	0	217	149	143	108	0
Smc3	67.62069	292	331	245	387	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	476	0	0	109	0	0	0	0
Il13ra2	67.62069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	224	688	481	0
Trio	67.517241	158	0	99	0	0	0	0	0	0	0	296	157	113	145	138	0	0	0	0	0	0	0	0	0	0	197	145	299	211	0
Arhgef3	67.517241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	355	516	836	132	0
Pla2g6	67.344828	94	0	146	121	0	0	0	0	0	0	0	0	0	0	0	0	0	414	153	0	400	0	0	0	0	169	88	239	129	0
Lrrc8a	67.344828	346	142	272	122	0	0	0	0	0	0	0	0	0	0	0	0	0	459	127	0	0	0	0	0	0	184	301	0	0	0
Gm5617	67.344828	233	174	120	131	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	201	0	488	223	0
Chst2	67.344828	139	77	169	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	297	518	234	0
Smim38	67.310345	557	461	335	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raver1	67.241379	157	127	174	106	0	0	0	137	238	0	199	0	141	183	217	158	0	0	0	0	0	0	113	0	0	0	0	0	0	0
Lclat1	67.241379	110	85	117	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	128	794	262	0
Tbc1d10a	67.172414	131	178	84	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	197	368	395	0
Ogdh	67.137931	132	105	148	88	0	0	138	0	0	145	0	0	208	209	323	0	0	265	91	0	0	0	0	0	0	0	95	0	0	0
Ptms	67.068966	143	0	140	145	0	0	0	0	89	0	0	0	99	0	0	0	143	0	216	0	0	0	0	0	0	641	329	0	0	0
Calr	67.068966	329	181	286	242	0	0	0	0	0	0	0	0	0	0	0	0	0	358	138	0	0	0	0	0	0	216	195	0	0	0
Ly6g6f	67.034483	275	270	322	310	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	381	0	0	162	131	0	0	0
Abhd16a	67.034483	275	270	322	310	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	381	0	0	162	131	0	0	0
Tuft1	67.0	0	0	0	106	0	0	111	0	192	88	193	0	147	0	0	0	0	127	0	0	174	0	0	0	0	529	209	67	0	0
Ncoa2	67.0	121	118	121	142	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	190	0	491	516	0
Rnf115	66.965517	118	133	126	164	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	305	151	488	147	0
Polr3c	66.965517	118	133	126	164	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	305	151	488	147	0
Med23	66.965517	342	168	254	210	0	0	0	0	0	0	0	0	0	0	0	0	0	229	128	0	0	0	0	0	0	286	148	177	0	0
Snd1	66.862069	179	170	99	79	0	0	0	0	0	0	0	0	0	0	0	0	0	360	197	0	0	0	0	0	0	252	122	481	0	0
Atp1a1	66.862069	113	76	138	125	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	327	195	356	262	0
Pak1	66.827586	120	128	158	191	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	589	0	0	0	0	213	224	162	0	0
St3gal2	66.793103	200	195	151	146	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	343	212	366	197	0
Aldh4a1	66.655172	271	265	277	246	0	0	0	0	0	0	0	0	0	0	0	0	0	274	218	0	0	0	382	0	0	0	0	0	0	0
Ski	66.586207	100	0	0	110	0	0	0	0	0	0	163	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	535	751	0
Cmip	66.551724	102	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	378	240	467	492	0
Dpep1	66.517241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	146	0	0	0	0	0	0	430	200	567	342	0
Hoxa11	66.482759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521	402	611	394	0
Derl1	66.413793	131	81	155	109	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	480	328	209	160	0
Rsrc1	66.344828	127	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	297	0	710	525	0
Dnpep	66.344828	145	141	183	168	0	0	0	0	0	0	0	0	0	0	0	0	0	241	116	0	0	0	0	0	0	470	236	117	107	0
Ddx50	66.275862	306	187	289	216	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	378	102	134	0	0
Cuedc1	66.275862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	615	346	503	364	0
Slc25a36	66.241379	128	117	143	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	695	101	0	0	0	0
Asxl2	66.068966	166	0	141	119	0	0	0	0	0	0	118	112	0	0	0	0	0	438	144	0	0	0	0	0	0	124	94	262	198	0
Tdg	66.034483	161	94	107	200	0	130	200	0	142	208	155	0	143	0	0	0	0	227	0	0	0	0	0	0	0	148	0	0	0	0
Slc43a3	66.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	884	525	257	248	0
Htra2	65.965517	251	160	174	141	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	274	306	335	150	0
Dqx1	65.965517	251	160	174	141	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	274	306	335	150	0
Ces1h	65.965517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	1340	273	0
Tkt	65.931034	89	90	111	116	0	0	91	0	142	162	134	0	0	0	239	0	0	157	136	0	0	0	0	226	219	0	0	0	0	0
Rpn2	65.896552	265	225	254	238	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	152	0	0	275	220	77	0	0
Mroh8	65.896552	265	225	254	238	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	152	0	0	275	220	77	0	0
Pnn	65.862069	168	191	159	215	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	113	0	0	413	271	0	0	0
Ndst2	65.862069	281	387	392	430	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	258	0	0	0	0	0	0	0
Vmn1r43	65.827586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561	221	600	527	0
Mphosph9	65.793103	339	245	371	335	0	0	0	0	0	0	0	0	0	0	0	0	0	326	160	0	0	0	0	0	0	132	0	0	0	0
Ccdc90b	65.793103	127	116	165	124	0	0	118	110	183	0	230	0	87	0	236	0	0	188	224	0	0	0	0	0	0	0	0	0	0	0
2810006K23Rik	65.793103	339	245	371	335	0	0	0	0	0	0	0	0	0	0	0	0	0	326	160	0	0	0	0	0	0	132	0	0	0	0
Zfhx3	65.724138	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	892	0
Arid3b	65.689655	208	112	180	172	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	536	256	150	0	0
Unkl	65.655172	154	101	76	94	0	0	231	136	175	122	108	221	0	0	0	0	0	184	135	0	0	0	0	0	0	167	0	0	0	0
Hnrnpdl	65.62069	192	106	176	133	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	619	427	0	0	0
Fos	65.62069	133	112	95	91	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	200	234	452	474	0
Enoph1	65.62069	192	106	176	133	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	619	427	0	0	0
Smc4	65.586207	140	0	144	0	0	135	194	0	200	0	148	182	242	166	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ift80	65.586207	140	0	144	0	0	135	194	0	200	0	148	182	242	166	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm5a	65.448276	182	116	112	162	0	0	0	0	0	0	0	0	0	0	0	0	0	171	211	0	0	0	0	0	0	324	207	230	183	0
Isy1	65.448276	164	175	130	161	0	0	0	0	0	0	0	0	0	0	0	0	0	516	485	0	0	0	0	0	0	267	0	0	0	0
H4f16	65.37931	392	424	455	384	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0
H2aj	65.37931	392	424	455	384	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0
Dab2ip	65.37931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	861	432	185	150	0
Bmp7	65.37931	93	0	0	0	0	0	0	0	186	0	256	111	158	0	0	0	0	572	0	0	520	0	0	0	0	0	0	0	0	0
Ufl1	65.344828	123	150	195	199	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	602	201	173	0	0
Csf1	65.344828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	575	513	429	226	0
