Target_genes	Klf2|Average	SRX20851841|CD8+_T_cells	SRX20851842|CD8+_T_cells	SRX14009274|Heart_endothelial_cells	SRX14009275|Heart_endothelial_cells	SRX14009278|Lung_endothelial_cells	SRX14009279|Lung_endothelial_cells	STRING
LOC114841036	113.666667	282	400	0	0	0	0	0
Fkbp2	113.666667	282	400	0	0	0	0	0
Edem3	113.666667	354	328	0	0	0	0	0
Bccip	113.666667	310	372	0	0	0	0	0
Strada	113.5	329	352	0	0	0	0	0
Ptp4a2	113.5	302	379	0	0	0	0	0
Klhl9	113.5	351	330	0	0	0	0	0
Usf2	113.333333	349	331	0	0	0	0	0
Sbno1	113.333333	298	382	0	0	0	0	0
Fut11	113.333333	347	333	0	0	0	0	0
Dnajc8	113.333333	310	370	0	0	0	0	0
Atpif1	113.333333	310	370	0	0	0	0	0
Pag1	113.166667	358	321	0	0	0	0	0
Man2c1	113.166667	319	360	0	0	0	0	0
Gapvd1	113.166667	306	373	0	0	0	0	0
Rpl35	113.0	326	352	0	0	0	0	0
Lsm4	113.0	343	335	0	0	0	0	0
Kif5b	113.0	383	295	0	0	0	0	0
Arpc5l	113.0	326	352	0	0	0	0	0
Anapc1	113.0	330	348	0	0	0	0	0
Tollip	112.833333	346	331	0	0	0	0	0
Tbk1	112.833333	319	358	0	0	0	0	0
Spin1	112.833333	316	361	0	0	0	0	0
Npc1	112.833333	330	347	0	0	0	0	0
Gpbp1	112.833333	316	361	0	0	0	0	0
Raf1	112.666667	292	384	0	0	0	0	0
C1d	112.666667	322	354	0	0	0	0	0
1810030O07Rik	112.666667	293	383	0	0	0	0	0
Syf2	112.5	339	336	0	0	0	0	0
Mrps14	112.5	330	345	0	0	0	0	0
Fut7	112.5	321	354	0	0	0	0	0
Dnajb1	112.5	319	356	0	0	0	0	0
Ado	112.5	338	337	0	0	0	0	0
Abca2	112.5	321	354	0	0	0	0	0
Ptp4a3	112.333333	311	363	0	0	0	0	0
Ptcd3	112.333333	350	324	0	0	0	0	0
Polr1a	112.333333	350	324	0	0	0	0	0
Polk	112.333333	322	352	0	0	0	0	0
Pgls	112.333333	315	359	0	0	0	0	0
Cert1	112.333333	322	352	0	0	0	0	0
Usp31	112.166667	294	379	0	0	0	0	0
Epb41	112.166667	292	381	0	0	0	0	0
Bnip2	112.166667	319	354	0	0	0	0	0
Ppp1r12a	112.0	301	371	0	0	0	0	0
Med28	112.0	359	313	0	0	0	0	0
Zfp658	111.833333	318	353	0	0	0	0	0
Wdr34	111.833333	314	357	0	0	0	0	0
Siah2	111.833333	358	313	0	0	0	0	0
Pum2	111.833333	352	319	0	0	0	0	0
Pdik1l	111.833333	336	335	0	0	0	0	0
Arl4a	111.833333	340	331	0	0	0	0	0
Akt2	111.833333	307	364	0	0	0	0	0
Sdcbp2	111.666667	297	373	0	0	0	0	0
Pyroxd1	111.666667	280	390	0	0	0	0	0
Oaz1	111.666667	380	290	0	0	0	0	0
Snrnp35	111.5	361	308	0	0	0	0	0
Rilpl2	111.5	361	308	0	0	0	0	0
Pitpnm1	111.5	333	336	0	0	0	0	0
Kpnb1	111.5	378	291	0	0	0	0	0
Gdpgp1	111.5	285	384	0	0	0	0	0
Cib1	111.5	285	384	0	0	0	0	0
Cdk2ap2	111.5	333	336	0	0	0	0	0
Atp5g3	111.5	305	364	0	0	0	0	0
Wrn	111.333333	308	360	0	0	0	0	0
Unc50	111.333333	355	313	0	0	0	0	0
Stx4a	111.333333	337	331	0	0	0	0	0
Purg	111.333333	308	360	0	0	0	0	0
Coa5	111.333333	355	313	0	0	0	0	0
Slc35e3	111.166667	329	338	0	0	0	0	0
Prmt6	111.166667	345	322	0	0	0	0	0
Anapc10	111.0	281	385	0	0	0	0	0
Abce1	111.0	281	385	0	0	0	0	0
Smap1	110.833333	349	316	0	0	0	0	0
Ptpn23	110.833333	275	390	0	0	0	0	0
Fbl	110.833333	312	353	0	0	0	0	0
Arhgap39	110.833333	402	263	0	0	0	0	0
Tent5c	110.666667	319	345	0	0	0	0	0
Rbm15b	110.666667	310	354	0	0	0	0	0
Ptges3	110.666667	299	365	0	0	0	0	0
Manf	110.666667	310	354	0	0	0	0	0
Kctd2	110.666667	339	325	0	0	0	0	0
Atp5h	110.666667	339	325	0	0	0	0	0
Zbtb12	110.5	346	317	0	0	0	0	0
Serac1	110.5	327	336	0	0	0	0	0
Plag1	110.5	318	345	0	0	0	0	0
Mtfr1l	110.5	286	377	0	0	0	0	0
Mrps33	110.5	261	402	0	0	0	0	0
Kdm7a	110.5	344	319	0	0	0	0	0
Gtf2h5	110.5	327	336	0	0	0	0	0
Gpn3	110.5	252	411	0	0	0	0	0
Fam216a	110.5	252	411	0	0	0	0	0
Ehmt2	110.5	346	317	0	0	0	0	0
Cbx7	110.5	337	326	0	0	0	0	0
Otud1	110.333333	290	372	0	0	0	0	0
Bcl7a	110.333333	325	337	0	0	0	0	0
Zfp740	110.166667	344	317	0	0	0	0	0
Ppp1ccb	110.166667	300	361	0	0	0	0	0
Ppp1cc	110.166667	300	361	0	0	0	0	0
Ercc4	110.166667	326	335	0	0	0	0	0
Ddx42	110.166667	278	383	0	0	0	0	0
Ctnna3	110.166667	370	291	0	0	0	0	0
Csad	110.166667	344	317	0	0	0	0	0
Ccdc47	110.166667	278	383	0	0	0	0	0
Trmt10a	110.0	383	277	0	0	0	0	0
Shoc2	110.0	364	296	0	0	0	0	0
Scap	110.0	286	374	0	0	0	0	0
Mttp	110.0	383	277	0	0	0	0	0
Med4	110.0	329	331	0	0	0	0	0
Bbip1	110.0	364	296	0	0	0	0	0
Atg7	110.0	341	319	0	0	0	0	0
Zfp667	109.833333	372	287	0	0	0	0	0
Tmem19	109.833333	287	372	0	0	0	0	0
Nmt2	109.833333	344	315	0	0	0	0	0
Mindy2	109.833333	374	285	0	0	0	0	0
Itfg2	109.833333	299	360	0	0	0	0	0
Sppl3	109.666667	337	321	0	0	0	0	0
Zfp438	109.5	309	348	0	0	0	0	0
Usp32	109.5	304	353	0	0	0	0	0
Kif2a	109.333333	268	388	0	0	0	0	0
Fbxo30	109.333333	317	339	0	0	0	0	0
Elk4	109.333333	320	336	0	0	0	0	0
Ahi1	109.333333	321	335	0	0	0	0	0
Dyrk1a	109.166667	336	319	0	0	0	0	0
Pfn1	109.0	334	320	0	0	0	0	0
Eno3	109.0	334	320	0	0	0	0	0
Tram2	108.833333	342	311	0	0	0	0	0
Ppia	108.833333	348	305	0	0	0	0	0
Opn3	108.833333	334	319	0	0	0	0	0
Nf1	108.833333	342	311	0	0	0	0	0
Chml	108.833333	334	319	0	0	0	0	0
Cenpi	108.833333	355	298	0	0	0	0	0
Ccng2	108.833333	274	379	0	0	0	0	0
Srp54a	108.666667	314	338	0	0	0	0	0
Lcorl	108.666667	340	312	0	0	0	0	0
Eif3h	108.666667	288	364	0	0	0	0	0
Dbi	108.666667	297	355	0	0	0	0	0
3110009E18Rik	108.666667	297	355	0	0	0	0	0
Tmem237	108.5	297	354	0	0	0	0	0
Cep63	108.5	297	354	0	0	0	0	0
Anapc13	108.5	297	354	0	0	0	0	0
Usp53	108.333333	356	294	0	0	0	0	0
Tbc1d5	108.333333	337	313	0	0	0	0	0
Rbbp6	108.333333	336	314	0	0	0	0	0
Picalm	108.333333	295	355	0	0	0	0	0
Hgsnat	108.333333	333	317	0	0	0	0	0
H4c8	108.333333	327	323	0	0	0	0	0
H3c8	108.333333	327	323	0	0	0	0	0
H2ac10	108.333333	327	323	0	0	0	0	0
Dstn	108.333333	313	337	0	0	0	0	0
Dck	108.333333	274	376	0	0	0	0	0
D030056L22Rik	108.333333	283	367	0	0	0	0	0
Clock	108.333333	349	301	0	0	0	0	0
Sox4	108.166667	324	325	0	0	0	0	0
Mrpl30	108.166667	301	348	0	0	0	0	0
Mitd1	108.166667	301	348	0	0	0	0	0
Ggnbp2	108.166667	299	350	0	0	0	0	0
Atg5	108.166667	289	360	0	0	0	0	0
Atg4d	108.166667	338	311	0	0	0	0	0
Tmem161b	108.0	259	389	0	0	0	0	0
Ndufv1	108.0	253	395	0	0	0	0	0
Copb2	108.0	308	340	0	0	0	0	0
Herpud2	107.833333	329	318	0	0	0	0	0
Desi2	107.833333	341	306	0	0	0	0	0
Zfp444	107.666667	329	317	0	0	0	0	0
Skap2	107.666667	276	370	0	0	0	0	0
Fam168b	107.666667	258	388	0	0	0	0	0
Fam102a	107.666667	317	329	0	0	0	0	0
Trim37	107.5	326	319	0	0	0	0	0
Nfat5	107.5	329	316	0	0	0	0	0
Ireb2	107.333333	250	394	0	0	0	0	0
Cand1	107.333333	263	381	0	0	0	0	0
Brpf1	107.333333	291	353	0	0	0	0	0
Atxn7l3	107.333333	344	300	0	0	0	0	0
Slc25a51	107.166667	318	325	0	0	0	0	0
Tiprl	107.0	371	271	0	0	0	0	0
Fmr1	107.0	355	287	0	0	0	0	0
Ercc2	107.0	267	375	0	0	0	0	0
Slc25a3	106.833333	289	352	0	0	0	0	0
Rpl7l1	106.833333	338	303	0	0	0	0	0
Raly	106.833333	328	313	0	0	0	0	0
Plekhf2	106.833333	335	306	0	0	0	0	0
Msh6	106.833333	331	310	0	0	0	0	0
Med17	106.833333	258	383	0	0	0	0	0
Trib1	106.666667	320	320	0	0	0	0	0
Ssr1	106.666667	278	362	0	0	0	0	0
Raver1	106.666667	310	330	0	0	0	0	0
Nip7	106.666667	323	317	0	0	0	0	0
Ddx41	106.666667	313	327	0	0	0	0	0
Cog8	106.666667	323	317	0	0	0	0	0
Gna13	106.5	284	355	0	0	0	0	0
Cep192	106.5	358	281	0	0	0	0	0
Mrpl39	106.333333	342	296	0	0	0	0	0
Lyrm7	106.333333	294	344	0	0	0	0	0
Hdac2	106.333333	297	341	0	0	0	0	0
Mlf2	106.166667	311	326	0	0	0	0	0
Lsm1	106.166667	339	298	0	0	0	0	0
Bag4	106.166667	339	298	0	0	0	0	0
Arrdc3	106.166667	245	392	0	0	0	0	0
Wdr60	106.0	309	327	0	0	0	0	0
Srsf5	106.0	319	317	0	0	0	0	0
Pdcd4	106.0	303	333	0	0	0	0	0
Abhd18	106.0	268	368	0	0	0	0	0
Stk11	105.833333	298	337	0	0	0	0	0
Phb	105.833333	273	362	0	0	0	0	0
Sik2	105.666667	281	353	0	0	0	0	0
Cmtr1	105.666667	273	361	0	0	0	0	0
Zfp473	105.5	266	367	0	0	0	0	0
Vrk3	105.5	266	367	0	0	0	0	0
Tmem167b	105.5	279	354	0	0	0	0	0
Psmd14	105.5	325	308	0	0	0	0	0
Nudt19	105.5	323	310	0	0	0	0	0
Mtfr2	105.5	363	270	0	0	0	0	0
Trip4	105.333333	315	317	0	0	0	0	0
Ptcd1	105.333333	279	353	0	0	0	0	0
Ppdpf	105.333333	264	368	0	0	0	0	0
Exd1	105.333333	329	303	0	0	0	0	0
Csnk1g1	105.333333	315	317	0	0	0	0	0
Cpsf4	105.333333	279	353	0	0	0	0	0
Chp1	105.333333	329	303	0	0	0	0	0
Ndufa8	105.166667	368	263	0	0	0	0	0
Mrtfb	105.166667	232	399	0	0	0	0	0
Morn5	105.166667	368	263	0	0	0	0	0
Pla2g12a	105.0	288	342	0	0	0	0	0
Denr	105.0	308	322	0	0	0	0	0
Atp2c1	105.0	273	357	0	0	0	0	0
Ptpa	104.666667	267	361	0	0	0	0	0
Osbpl8	104.666667	336	292	0	0	0	0	0
Crat	104.666667	267	361	0	0	0	0	0
Spryd3	104.5	335	292	0	0	0	0	0
Plcl1	104.5	298	329	0	0	0	0	0
Nsd1	104.5	282	345	0	0	0	0	0
Lypla1	104.5	334	293	0	0	0	0	0
Akap1	104.5	270	357	0	0	0	0	0
Zpbp2	104.333333	300	326	0	0	0	0	0
Trappc4	104.333333	271	355	0	0	0	0	0
Rps25	104.333333	271	355	0	0	0	0	0
Ikzf3	104.333333	300	326	0	0	0	0	0
Rubcn	104.166667	264	361	0	0	0	0	0
Fyttd1	104.166667	264	361	0	0	0	0	0
Dennd4a	104.166667	285	340	0	0	0	0	0
AI467606	104.166667	311	314	0	0	0	0	0
Pold1	104.0	298	326	0	0	0	0	0
Nr1h2	104.0	298	326	0	0	0	0	0
Mettl21a	104.0	339	285	0	0	0	0	0
Myl12a	103.833333	293	330	0	0	0	0	0
Sart3	103.666667	319	303	0	0	0	0	0
Ptpra	103.666667	249	373	0	0	0	0	0
Nr4a1	103.666667	332	290	0	0	0	0	0
Iscu	103.666667	319	303	0	0	0	0	0
Hnrnpm	103.666667	292	330	0	0	0	0	0
Yju2	103.5	266	355	0	0	0	0	0
Tmem170	103.5	330	291	0	0	0	0	0
Sdhaf3	103.5	337	284	0	0	0	0	0
Mynn	103.5	262	359	0	0	0	0	0
Actrt3	103.5	262	359	0	0	0	0	0
Pten	103.333333	261	359	0	0	0	0	0
Prkca	103.333333	347	273	0	0	0	0	0
Ogdh	103.333333	341	279	0	0	0	0	0
G2e3	103.333333	288	332	0	0	0	0	0
Atp2a2	103.333333	304	316	0	0	0	0	0
Tceanc	103.166667	307	312	0	0	0	0	0
Spata5	103.166667	294	325	0	0	0	0	0
Sla2	103.166667	258	361	0	0	0	0	0
Nudt6	103.166667	294	325	0	0	0	0	0
Narf	103.166667	341	278	0	0	0	0	0
Snx32	103.0	375	243	0	0	0	0	0
Pde8a	103.0	271	347	0	0	0	0	0
Srsf6	102.833333	314	303	0	0	0	0	0
Pnisr	102.833333	253	364	0	0	0	0	0
Zfp236	102.666667	257	359	0	0	0	0	0
Tsc22d1	102.666667	353	263	0	0	0	0	0
Sugct	102.666667	319	297	0	0	0	0	0
Spop	102.666667	285	331	0	0	0	0	0
Nsmce3	102.666667	311	305	0	0	0	0	0
Mtg2	102.666667	296	320	0	0	0	0	0
Mplkip	102.666667	319	297	0	0	0	0	0
Pnkd	102.5	309	306	0	0	0	0	0
Aamp	102.5	309	306	0	0	0	0	0
Slc5a3	102.166667	304	309	0	0	0	0	0
Reep3	102.166667	288	325	0	0	0	0	0
Ppm1a	102.166667	302	311	0	0	0	0	0
Mrps6	102.166667	304	309	0	0	0	0	0
Fam136a	102.166667	311	302	0	0	0	0	0
Dym	102.166667	285	328	0	0	0	0	0
Dpy19l1	102.166667	268	345	0	0	0	0	0
Siva1	102.0	288	324	0	0	0	0	0
Dchs2	102.0	327	285	0	0	0	0	0
Capn7	102.0	328	284	0	0	0	0	0
Tm2d3	101.833333	303	308	0	0	0	0	0
Mybl1	101.833333	273	338	0	0	0	0	0
Haghl	101.833333	282	329	0	0	0	0	0
Gpr137	101.833333	281	330	0	0	0	0	0
Ccdc78	101.833333	282	329	0	0	0	0	0
Bad	101.833333	281	330	0	0	0	0	0
Rnf34	101.666667	277	333	0	0	0	0	0
Ccm2	101.666667	299	311	0	0	0	0	0
Zfp707	101.5	323	286	0	0	0	0	0
Cmc1	101.5	305	304	0	0	0	0	0
Prkar1b	101.333333	310	298	0	0	0	0	0
Nhlrc1	101.333333	334	274	0	0	0	0	0
Dnaaf5	101.333333	310	298	0	0	0	0	0
Scaf1	101.166667	313	294	0	0	0	0	0
Rras	101.166667	313	294	0	0	0	0	0
Nfkbia	101.166667	310	297	0	0	0	0	0
Ercc6l2	101.166667	311	296	0	0	0	0	0
Baz1b	101.166667	251	356	0	0	0	0	0
Abcc10	101.166667	296	311	0	0	0	0	0
Hivep1	101.0	342	264	0	0	0	0	0
Rnf40	100.833333	299	306	0	0	0	0	0
Mageb3	100.833333	277	328	0	0	0	0	0
Gnpnat1	100.833333	344	261	0	0	0	0	0
Ddx24	100.833333	261	344	0	0	0	0	0
Ctdspl2	100.833333	277	328	0	0	0	0	0
Ccdc189	100.833333	299	306	0	0	0	0	0
Smyd4	100.666667	323	281	0	0	0	0	0
Rpa1	100.666667	323	281	0	0	0	0	0
Myl6b	100.666667	276	328	0	0	0	0	0
Myl6	100.666667	276	328	0	0	0	0	0
Inpp5a	100.666667	305	299	0	0	0	0	0
Aftph	100.666667	334	270	0	0	0	0	0
Usp20	100.5	342	261	0	0	0	0	0
Nudt16l1	100.5	290	313	0	0	0	0	0
Lrpprc	100.5	306	297	0	0	0	0	0
BC005624	100.5	342	261	0	0	0	0	0
Pigs	100.333333	262	340	0	0	0	0	0
Mrps24	100.333333	266	336	0	0	0	0	0
Aldoc	100.333333	262	340	0	0	0	0	0
Zfp78	100.166667	288	313	0	0	0	0	0
Zfp143	100.166667	281	320	0	0	0	0	0
Mrpl58	100.166667	284	317	0	0	0	0	0
Hdac4	100.166667	287	314	0	0	0	0	0
Rars2	100.0	362	238	0	0	0	0	0
Ppat	100.0	281	319	0	0	0	0	0
Pdia6	100.0	293	307	0	0	0	0	0
Paics	100.0	281	319	0	0	0	0	0
Orc3	100.0	362	238	0	0	0	0	0
Nudcd2	100.0	302	298	0	0	0	0	0
Hmmr	100.0	302	298	0	0	0	0	0
Dolpp1	100.0	263	337	0	0	0	0	0
Rnf145	99.833333	256	343	0	0	0	0	0
Paxx	99.833333	284	315	0	0	0	0	0
Dus1l	99.833333	274	325	0	0	0	0	0
Commd6	99.833333	307	292	0	0	0	0	0
Clic3	99.833333	284	315	0	0	0	0	0
Add1	99.833333	307	292	0	0	0	0	0
Zwint	99.666667	340	258	0	0	0	0	0
Zbtb2	99.666667	289	309	0	0	0	0	0
Wdr5	99.666667	254	344	0	0	0	0	0
Uchl3	99.666667	268	330	0	0	0	0	0
Rabepk	99.666667	301	297	0	0	0	0	0
Prpf40a	99.5	252	345	0	0	0	0	0
Asb8	99.5	264	333	0	0	0	0	0
Arl6ip6	99.5	252	345	0	0	0	0	0
Zswim7	99.333333	295	301	0	0	0	0	0
Ttc19	99.333333	295	301	0	0	0	0	0
Tmem219	99.333333	343	253	0	0	0	0	0
Syngap1	99.333333	256	340	0	0	0	0	0
Retreg1	99.333333	276	320	0	0	0	0	0
Nsmce4a	99.333333	237	359	0	0	0	0	0
Nfatc3	99.333333	336	260	0	0	0	0	0
Kif16b	99.333333	306	290	0	0	0	0	0
Gale	99.333333	241	355	0	0	0	0	0
Cuta	99.333333	256	340	0	0	0	0	0
Csnk2a1	99.333333	270	326	0	0	0	0	0
Wdr1	99.166667	304	291	0	0	0	0	0
Sugt1	99.166667	305	290	0	0	0	0	0
Rsl24d1	99.166667	321	274	0	0	0	0	0
Pstk	99.166667	294	301	0	0	0	0	0
Uba52	99.0	226	368	0	0	0	0	0
Rex1bd	99.0	226	368	0	0	0	0	0
Prkab2	99.0	247	347	0	0	0	0	0
Mtg1	99.0	280	314	0	0	0	0	0
Egln1	99.0	268	326	0	0	0	0	0
Cyren	99.0	236	358	0	0	0	0	0
Caml	99.0	227	367	0	0	0	0	0
Tbl2	98.833333	294	299	0	0	0	0	0
Rbm5	98.833333	264	329	0	0	0	0	0
Mapk3	98.833333	271	322	0	0	0	0	0
Cstf3	98.833333	282	311	0	0	0	0	0
Nap1l4	98.666667	281	311	0	0	0	0	0
Haus4	98.666667	315	277	0	0	0	0	0
Fam160b1	98.666667	297	295	0	0	0	0	0
BC031181	98.666667	330	262	0	0	0	0	0
Aldoa	98.666667	236	356	0	0	0	0	0
Otud5	98.5	278	313	0	0	0	0	0
Ccnl1	98.5	318	273	0	0	0	0	0
Skiv2l	98.333333	337	253	0	0	0	0	0
Nelfe	98.333333	337	253	0	0	0	0	0
Lcor	98.333333	284	306	0	0	0	0	0
Klf7	98.333333	273	317	0	0	0	0	0
Kat6a	98.333333	302	288	0	0	0	0	0
Rabggtb	98.166667	276	313	0	0	0	0	0
Pibf1	98.166667	300	289	0	0	0	0	0
Mafg	98.166667	268	321	0	0	0	0	0
Kpna3	98.166667	313	276	0	0	0	0	0
Klf16	98.166667	285	304	0	0	0	0	0
Dis3	98.166667	300	289	0	0	0	0	0
Coq8a	98.166667	269	320	0	0	0	0	0
Rnft1	98.0	321	267	0	0	0	0	0
Phc2	98.0	215	373	0	0	0	0	0
Pak1ip1	98.0	311	277	0	0	0	0	0
Dnajb12	98.0	312	276	0	0	0	0	0
Cfdp1	98.0	280	308	0	0	0	0	0
1110008P14Rik	98.0	290	298	0	0	0	0	0
Serpini1	97.833333	277	310	0	0	0	0	0
Rnf14	97.833333	259	328	0	0	0	0	0
Pik3ca	97.833333	271	316	0	0	0	0	0
Pdcd10	97.833333	277	310	0	0	0	0	0
Gsk3b	97.833333	284	303	0	0	0	0	0
Cnbp	97.833333	315	272	0	0	0	0	0
Pus7l	97.666667	329	257	0	0	0	0	0
Mcat	97.666667	208	378	0	0	0	0	0
Irak4	97.666667	329	257	0	0	0	0	0
Egln2	97.666667	338	248	0	0	0	0	0
1810010H24Rik	97.666667	233	353	0	0	0	0	0
Utp15	97.5	270	315	0	0	0	0	0
Sec61a1	97.5	242	343	0	0	0	0	0
Mib1	97.5	276	309	0	0	0	0	0
Gtf2b	97.5	287	298	0	0	0	0	0
Ankra2	97.5	270	315	0	0	0	0	0
Tbc1d17	97.333333	289	295	0	0	0	0	0
Snx4	97.333333	282	302	0	0	0	0	0
Ncoa5	97.333333	295	289	0	0	0	0	0
Mrpl44	97.333333	247	337	0	0	0	0	0
Cln8	97.333333	290	294	0	0	0	0	0
Akt1s1	97.333333	289	295	0	0	0	0	0
Tyk2	97.166667	265	318	0	0	0	0	0
Tbc1d25	97.166667	279	304	0	0	0	0	0
Sin3b	97.166667	261	322	0	0	0	0	0
Nktr	97.166667	266	317	0	0	0	0	0
Ilvbl	97.166667	330	253	0	0	0	0	0
Zcchc2	97.0	209	373	0	0	0	0	0
Ralgps1	97.0	292	290	0	0	0	0	0
Fundc1	97.0	291	291	0	0	0	0	0
Fam13b	97.0	294	288	0	0	0	0	0
Zfp286	96.833333	298	283	0	0	0	0	0
Tmub1	96.833333	254	327	0	0	0	0	0
Samd10	96.833333	281	300	0	0	0	0	0
Rpusd3	96.833333	259	322	0	0	0	0	0
Prph	96.833333	309	272	0	0	0	0	0
Prpf6	96.833333	281	300	0	0	0	0	0
Fbxo9	96.833333	285	296	0	0	0	0	0
Colgalt1	96.833333	304	277	0	0	0	0	0
Cilk1	96.833333	285	296	0	0	0	0	0
Btbd8	96.833333	265	316	0	0	0	0	0
Agap3	96.833333	254	327	0	0	0	0	0
Zfp446	96.666667	288	292	0	0	0	0	0
Rpl22	96.666667	299	281	0	0	0	0	0
Rnf24	96.666667	265	315	0	0	0	0	0
Angel1	96.666667	283	297	0	0	0	0	0
9430038I01Rik	96.666667	258	322	0	0	0	0	0
Ly9	96.5	298	281	0	0	0	0	0
Bnip3	96.5	217	362	0	0	0	0	0
Tmem209	96.333333	284	294	0	0	0	0	0
Ssmem1	96.333333	284	294	0	0	0	0	0
Prex1	96.333333	290	288	0	0	0	0	0
Abhd17a	96.333333	323	255	0	0	0	0	0
Tiparp	96.166667	329	248	0	0	0	0	0
Tecpr1	96.166667	287	290	0	0	0	0	0
Prim1	96.166667	237	340	0	0	0	0	0
Anapc4	96.166667	256	321	0	0	0	0	0
Usp42	96.0	284	292	0	0	0	0	0
Phb2	96.0	294	282	0	0	0	0	0
Lrwd1	96.0	311	265	0	0	0	0	0
Emg1	96.0	294	282	0	0	0	0	0
Alkbh4	96.0	311	265	0	0	0	0	0
Zgrf1	95.833333	334	241	0	0	0	0	0
Pot1b	95.833333	195	380	0	0	0	0	0
Pdrg1	95.833333	284	291	0	0	0	0	0
Larp7	95.833333	334	241	0	0	0	0	0
Ing5	95.833333	233	342	0	0	0	0	0
Dtymk	95.833333	233	342	0	0	0	0	0
Dennd6a	95.833333	251	324	0	0	0	0	0
Fitm2	95.666667	259	315	0	0	0	0	0
Fbxw11	95.666667	266	308	0	0	0	0	0
Lmbr1l	95.5	280	293	0	0	0	0	0
Herc2	95.5	284	289	0	0	0	0	0
Glrx3	95.5	283	290	0	0	0	0	0
Carnmt1	95.5	236	337	0	0	0	0	0
Topors	95.333333	248	324	0	0	0	0	0
Smim27	95.333333	248	324	0	0	0	0	0
Slk	95.333333	263	309	0	0	0	0	0
Gnpda2	95.333333	289	283	0	0	0	0	0
Slc35a5	95.166667	253	318	0	0	0	0	0
Itpr1	95.166667	309	262	0	0	0	0	0
Atg3	95.166667	253	318	0	0	0	0	0
Rpap2	95.0	291	279	0	0	0	0	0
Psmg1	95.0	287	283	0	0	0	0	0
Ppp1r15b	95.0	283	287	0	0	0	0	0
Mfsd8	95.0	282	288	0	0	0	0	0
Hs3st3b1	95.0	270	300	0	0	0	0	0
Glmn	95.0	291	279	0	0	0	0	0
Cplane1	95.0	229	341	0	0	0	0	0
Zbtb32	94.833333	250	319	0	0	0	0	0
Thbs3	94.833333	316	253	0	0	0	0	0
Mtx1	94.833333	316	253	0	0	0	0	0
Meig1	94.833333	273	296	0	0	0	0	0
Kmt2b	94.833333	250	319	0	0	0	0	0
Dclre1c	94.833333	273	296	0	0	0	0	0
Bbs9	94.833333	295	274	0	0	0	0	0
Atp6v0c	94.833333	293	276	0	0	0	0	0
Wdr45b	94.666667	284	284	0	0	0	0	0
Pik3r3	94.666667	317	251	0	0	0	0	0
Mfsd9	94.666667	287	281	0	0	0	0	0
Lgmn	94.666667	295	273	0	0	0	0	0
Spdl1	94.5	242	325	0	0	0	0	0
Clp1	94.5	282	285	0	0	0	0	0
Atrn	94.5	238	329	0	0	0	0	0
Ppp2r2d	94.166667	255	310	0	0	0	0	0
Phlpp1	94.166667	239	326	0	0	0	0	0
Mapk1ip1	94.166667	255	310	0	0	0	0	0
Knl1	94.166667	286	279	0	0	0	0	0
Fcho2	94.166667	304	261	0	0	0	0	0
Fadd	94.166667	231	334	0	0	0	0	0
Dynlt1f	94.166667	290	275	0	0	0	0	0
Dynlt1c	94.166667	290	275	0	0	0	0	0
Dhodh	94.166667	227	338	0	0	0	0	0
Nt5c3	94.0	275	289	0	0	0	0	0
Cnot1	94.0	285	279	0	0	0	0	0
Cbfa2t2	94.0	306	258	0	0	0	0	0
Med7	93.833333	306	257	0	0	0	0	0
Me2	93.833333	295	268	0	0	0	0	0
Fbxw7	93.833333	295	268	0	0	0	0	0
Acadm	93.833333	286	277	0	0	0	0	0
Tm2d2	93.666667	220	342	0	0	0	0	0
Rpl22l1	93.666667	273	289	0	0	0	0	0
Mkrn2	93.666667	240	322	0	0	0	0	0
Kcnh2	93.666667	262	300	0	0	0	0	0
Cetn3	93.666667	239	323	0	0	0	0	0
Adam9	93.666667	220	342	0	0	0	0	0
Yif1a	93.5	244	317	0	0	0	0	0
Vps26a	93.5	318	243	0	0	0	0	0
Uqcr11	93.5	243	318	0	0	0	0	0
Tmem151a	93.5	244	317	0	0	0	0	0
Rgs19	93.5	300	261	0	0	0	0	0
Rfx2	93.5	244	317	0	0	0	0	0
Lkaaear1	93.5	300	261	0	0	0	0	0
Spata5l1	93.333333	287	273	0	0	0	0	0
Smg1	93.333333	301	259	0	0	0	0	0
Rasa1	93.333333	216	344	0	0	0	0	0
Mybbp1a	93.333333	334	226	0	0	0	0	0
Fcsk	93.333333	170	390	0	0	0	0	0
Zdhhc20	93.166667	341	218	0	0	0	0	0
Tor4a	93.166667	280	279	0	0	0	0	0
Tmed9	93.166667	251	308	0	0	0	0	0
Rln3	93.166667	244	315	0	0	0	0	0
Il27ra	93.166667	244	315	0	0	0	0	0
Atg16l1	93.166667	279	280	0	0	0	0	0
Rbm25	93.0	282	276	0	0	0	0	0
Pdp1	93.0	266	292	0	0	0	0	0
U2af1l4	92.833333	305	252	0	0	0	0	0
Txndc16	92.833333	268	289	0	0	0	0	0
Psenen	92.833333	305	252	0	0	0	0	0
Pnpla8	92.833333	269	288	0	0	0	0	0
Lin37	92.833333	305	252	0	0	0	0	0
Igflr1	92.833333	305	252	0	0	0	0	0
Gpr137c	92.833333	268	289	0	0	0	0	0
Arid4a	92.833333	273	284	0	0	0	0	0
Arhgap12	92.833333	271	286	0	0	0	0	0
Rps11	92.666667	264	292	0	0	0	0	0
