Target_genes	E2f4|Average	SRX019013|3T3-L1	SRX142538|C2C12	SRX140375|CH12	SRX122394|Dendritic_Cells	SRX122395|Dendritic_Cells	SRX122396|Dendritic_Cells	SRX122397|Dendritic_Cells	SRX319552|ES_cells	SRX019010|Hepatocytes	SRX027460|iPS_cells	SRX1532691|Liver	SRX1532692|Liver	SRX1532693|Liver	SRX1532694|Liver	SRX18205314|Liver	SRX18205316|Liver	SRX140377|MEL	STRING
Hccs	154.823529	463	648	0	0	0	0	0	0	479	1042	0	0	0	0	0	0	0	0
Gm15246	154.823529	463	648	0	0	0	0	0	0	479	1042	0	0	0	0	0	0	0	0
Ing5	154.588235	171	239	565	0	0	0	0	246	183	695	0	0	0	0	0	0	529	0
Dtymk	154.588235	171	239	565	0	0	0	0	246	183	695	0	0	0	0	0	0	529	0
Zbtb8os	154.529412	251	100	291	0	0	0	0	180	531	431	0	0	0	0	84	246	513	0
Rbbp4	154.529412	251	100	291	0	0	0	0	180	531	431	0	0	0	0	84	246	513	0
Itprip	154.411765	188	467	363	0	0	0	0	0	0	648	0	0	0	0	0	119	840	0
Ddx27	154.411765	314	423	289	0	0	0	0	145	336	723	0	0	0	0	0	0	395	0
Uaca	154.294118	128	427	0	0	0	0	0	0	1349	466	0	253	0	0	0	0	0	0
Nadsyn1	154.176471	383	378	235	0	0	0	0	178	437	840	0	0	0	0	0	0	170	0
Dhcr7	154.176471	383	378	235	0	0	0	0	178	437	840	0	0	0	0	0	0	170	0
Brms1	154.0	402	288	677	0	0	0	0	0	153	662	0	0	0	0	0	0	436	0
B4gat1	154.0	402	288	677	0	0	0	0	0	153	662	0	0	0	0	0	0	436	0
Usp1	153.882353	152	423	316	0	0	0	0	168	310	664	0	0	0	0	0	161	422	0
Pcmt1	153.882353	379	605	255	0	0	0	0	121	255	816	0	0	0	0	0	0	185	0
Nup43	153.882353	379	605	255	0	0	0	0	121	255	816	0	0	0	0	0	0	185	0
Zwint	153.705882	133	502	131	0	0	0	0	178	869	677	0	0	0	0	0	0	123	0
Txlna	153.647059	144	356	387	0	0	0	0	193	485	529	0	0	0	0	0	0	518	0
Sfpq	153.470588	151	206	323	0	0	0	0	162	340	541	162	130	0	132	0	0	462	0
Got1	153.352941	225	241	319	0	0	0	0	0	634	353	0	0	0	0	0	0	835	0
H3c10	152.764706	184	278	958	0	0	0	0	0	241	184	0	0	0	0	138	185	429	0
Nup35	152.647059	443	712	176	0	0	0	0	0	177	920	0	0	0	0	0	0	167	0
Ipp	152.588235	291	305	416	0	0	0	0	383	448	238	0	0	0	0	0	0	513	0
Chmp7	152.529412	537	122	202	0	0	0	0	0	776	827	0	0	0	0	0	0	129	0
Tmem237	152.470588	199	340	0	0	0	0	0	0	759	922	195	177	0	0	0	0	0	0
Fancg	152.294118	177	454	181	0	0	0	0	159	292	484	203	165	0	163	0	0	311	0
Snx27	152.235294	0	135	590	0	0	0	0	350	170	229	0	0	0	0	0	175	939	0
Shoc2	152.176471	401	395	357	0	0	0	0	125	424	591	0	0	0	0	0	0	294	0
Bbip1	152.176471	401	395	357	0	0	0	0	125	424	591	0	0	0	0	0	0	294	0
Csf3	152.117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1408	1178	0	0
Rpl7	151.647059	0	0	720	0	0	0	0	352	193	205	0	0	0	0	151	216	741	0
Rdh10	151.647059	0	0	720	0	0	0	0	352	193	205	0	0	0	0	151	216	741	0
Lnpk	151.647059	535	515	0	0	0	0	0	0	538	593	0	0	0	149	0	0	248	0
Pih1d1	151.588235	413	490	231	0	0	0	0	134	310	799	0	0	0	0	0	127	73	0
Aldh16a1	151.588235	413	490	231	0	0	0	0	134	310	799	0	0	0	0	0	127	73	0
Rif1	151.411765	350	442	0	0	0	0	0	408	520	0	0	0	0	0	147	310	397	0
Pgp	151.411765	279	130	256	0	0	0	0	154	812	476	0	0	0	0	0	197	270	0
Med6	151.176471	156	236	409	0	0	0	0	213	438	612	0	0	0	0	0	0	506	0
Atf7ip2	151.117647	0	306	0	0	0	0	0	106	1101	814	0	152	0	90	0	0	0	0
Gm5141	151.058824	112	141	1049	0	0	0	0	0	0	249	0	0	0	0	0	0	1017	0
Mcoln1	150.470588	604	534	125	0	0	0	0	0	396	645	0	0	0	0	0	132	122	0
Cep120	150.411765	250	568	234	0	0	0	0	0	517	510	0	323	0	0	0	0	155	0
Ap5z1	150.411765	311	0	337	0	0	0	0	232	794	349	0	0	0	0	0	191	343	0
H2bc14	150.352941	184	278	958	0	0	0	0	0	211	173	0	0	0	0	138	185	429	0
Fads2	150.176471	264	247	0	0	0	0	0	0	850	799	0	0	0	0	0	157	236	0
Slfn9	150.117647	147	0	157	0	0	0	0	388	286	568	156	0	0	0	192	385	273	0
Metrn	150.0	378	343	236	0	0	0	0	0	540	543	0	0	0	0	0	0	510	0
Antkmt	150.0	378	343	236	0	0	0	0	0	540	543	0	0	0	0	0	0	510	0
Zfp821	149.764706	546	266	260	0	0	0	0	96	231	934	0	0	0	0	0	0	213	0
Vmn2r102	149.764706	0	0	580	0	0	0	0	0	0	148	0	0	144	0	533	478	663	0
Itpr1	149.764706	214	349	326	0	0	0	0	313	402	565	0	0	0	0	0	0	377	0
Ppp1r18	149.529412	502	297	265	0	0	0	0	167	390	506	0	0	0	0	0	128	287	0
Nrm	149.529412	502	297	265	0	0	0	0	167	390	506	0	0	0	0	0	128	287	0
Dhx34	149.529412	190	0	141	0	0	0	0	168	152	173	0	0	0	0	417	1133	168	0
Chaf1b	149.470588	492	464	257	0	0	0	0	0	765	328	0	0	0	0	0	0	235	0
Morc3	149.352941	343	152	536	0	0	0	0	105	130	772	0	0	0	0	0	0	501	0
Dnah6	149.0	373	490	0	0	0	0	0	138	433	693	0	0	0	0	0	176	230	0
Spice1	148.823529	174	423	261	0	0	0	0	183	322	682	0	0	0	0	173	169	143	0
Rccd1	148.823529	236	207	249	0	0	0	0	0	913	466	0	0	0	0	0	100	359	0
Hpf1	148.764706	200	329	195	0	0	0	0	150	365	739	0	0	0	0	0	154	397	0
Mphosph9	148.705882	365	227	212	0	0	0	0	92	428	722	0	0	0	0	101	262	119	0
2810006K23Rik	148.705882	365	227	212	0	0	0	0	92	428	722	0	0	0	0	101	262	119	0
Sf3b3	148.588235	0	147	883	0	0	0	0	250	0	143	0	0	0	0	0	158	945	0
Cog4	148.588235	0	147	883	0	0	0	0	250	0	143	0	0	0	0	0	158	945	0
Ube2cbp	148.529412	140	372	389	0	0	0	0	141	409	0	0	0	0	197	214	168	495	0
Thoc3	148.529412	374	357	289	0	0	0	0	138	569	391	0	0	0	0	0	0	407	0
Dop1a	148.529412	140	372	389	0	0	0	0	141	409	0	0	0	0	197	214	168	495	0
Cdc23	148.470588	190	468	270	0	0	0	131	0	166	697	160	177	0	265	0	0	0	0
Snrpd1	148.411765	157	472	379	0	0	0	0	0	272	676	0	0	0	0	0	0	567	0
Zfp39	148.352941	114	100	279	0	0	0	0	0	767	941	0	0	0	0	76	120	125	0
Snrpa1	148.352941	242	448	181	0	0	0	0	261	415	587	0	0	0	0	0	123	265	0
Ist1	148.294118	546	266	260	0	0	0	0	71	231	934	0	0	0	0	0	0	213	0
Srsf6	148.058824	478	387	189	0	0	0	0	0	473	540	0	0	0	0	0	185	265	0
Gpsm2	148.058824	322	463	0	0	0	0	0	279	212	1039	0	0	0	0	0	202	0	0
Zfp961	147.823529	561	484	239	0	0	0	0	0	207	890	0	0	0	0	0	0	132	0
Fbxo47	147.411765	0	227	1184	0	0	0	0	0	0	308	0	0	0	0	0	0	787	0
Asb1	147.0	0	0	427	0	0	0	0	380	1229	313	0	0	0	0	0	0	150	0
Adarb1	147.0	339	284	305	0	0	0	0	138	818	289	0	0	0	145	0	181	0	0
Rev1	146.882353	262	255	620	0	0	0	0	133	317	214	0	0	0	0	100	192	404	0
Myd88	146.882353	0	0	0	0	0	0	0	0	159	0	0	0	0	0	832	1506	0	0
Acaa1a	146.882353	0	0	0	0	0	0	0	0	159	0	0	0	0	0	832	1506	0	0
Rpl11	146.764706	0	319	499	0	0	0	0	156	821	302	0	0	0	0	0	0	398	0
Taok2	146.470588	149	107	607	0	0	0	0	204	83	290	0	0	0	0	98	285	667	0
Cdc20b	146.470588	0	610	286	183	0	113	230	0	281	0	0	0	0	0	127	287	373	0
Epg5	146.411765	161	358	506	0	0	0	0	218	416	483	0	0	0	0	0	0	347	0
Opa1	146.294118	245	285	206	0	0	0	0	0	567	563	126	0	0	0	0	322	173	0
Rnps1	146.235294	254	373	691	0	0	0	0	0	0	488	0	0	0	0	0	0	680	0
Manf	146.235294	196	137	245	0	0	0	0	197	756	648	0	0	0	0	0	0	307	0
Adpgk	146.235294	376	145	195	0	0	0	0	145	852	545	0	0	0	0	0	0	228	0
Ttll9	146.176471	0	0	862	0	0	0	0	0	1197	0	0	0	0	0	0	0	426	0
Tamm41	146.058824	787	646	160	0	0	0	0	0	0	711	0	0	0	0	0	0	179	0
Supt4a	145.705882	319	391	268	0	0	0	0	123	342	487	0	0	0	0	0	161	386	0
Jpt1	145.058824	0	152	360	0	0	0	0	0	630	531	187	135	0	0	0	0	471	0
Rbm15b	144.941176	196	115	245	0	0	0	0	197	756	648	0	0	0	0	0	0	307	0
Cct5	144.941176	451	356	272	0	0	0	0	0	770	210	0	0	0	0	0	0	405	0
Atpsckmt	144.941176	451	356	272	0	0	0	0	0	770	210	0	0	0	0	0	0	405	0
Zfp639	144.882353	214	169	101	0	0	0	0	336	921	249	0	0	0	0	94	379	0	0
Tmem107	144.647059	165	224	381	0	0	0	0	150	512	408	0	0	0	0	0	97	522	0
Fbxo42	144.470588	395	279	261	0	0	0	0	250	190	103	0	0	0	0	0	402	576	0
Vps16	144.235294	229	376	428	0	0	0	0	0	393	580	0	0	0	0	0	0	446	0
Pced1a	144.235294	229	376	428	0	0	0	0	0	393	580	0	0	0	0	0	0	446	0
Ccnd1	144.176471	0	0	0	0	0	0	0	118	1188	370	104	182	0	148	125	216	0	0
Slf2	143.882353	203	178	209	0	0	0	0	201	632	327	0	0	0	0	0	235	461	0
Msra	143.882353	267	210	178	0	0	0	0	147	241	202	0	0	0	0	197	800	204	0
Lrp12	143.882353	147	498	0	0	0	0	0	180	716	390	0	0	0	0	147	167	201	0
Trim37	143.823529	260	141	199	0	0	0	0	164	488	259	0	0	0	0	236	441	257	0
Crnkl1	143.705882	190	223	448	0	0	0	0	203	648	154	0	0	0	0	0	0	577	0
Cfap61	143.705882	190	223	448	0	0	0	0	203	648	154	0	0	0	0	0	0	577	0
Pold2	143.529412	529	281	191	0	0	0	0	0	481	779	0	0	0	0	0	0	179	0
Anapc7	143.470588	299	440	131	0	0	0	0	0	380	629	210	0	0	251	0	0	99	0
Cstf2	143.352941	203	230	111	0	0	0	0	203	646	0	0	0	0	0	0	424	620	0
Ranbp2	143.235294	550	278	395	0	0	0	0	120	199	218	0	0	0	0	0	87	588	0
Mthfd1l	143.235294	254	256	466	0	0	0	0	210	259	412	0	0	0	0	0	191	387	0
Ubqln4	143.176471	0	111	579	0	0	0	0	383	369	179	0	0	0	0	0	0	813	0
Lamtor2	143.176471	0	111	579	0	0	0	0	383	369	179	0	0	0	0	0	0	813	0
Morc2a	142.941176	352	92	104	0	0	0	0	316	911	418	0	0	0	0	0	0	237	0
Cox5b	142.941176	332	0	231	0	0	0	0	0	729	308	0	0	0	0	179	412	239	0
Ublcp1	142.705882	0	565	0	136	0	0	0	0	600	267	104	298	0	234	0	0	222	0
Pigf	142.647059	251	292	296	0	0	0	0	0	325	921	0	0	0	0	0	162	178	0
Kbtbd8	142.647059	185	125	216	0	0	0	0	0	1077	337	0	0	0	0	0	0	485	0
Cript	142.647059	251	292	296	0	0	0	0	0	325	921	0	0	0	0	0	162	178	0
Fads1	142.529412	276	451	140	0	0	0	0	164	887	226	0	0	0	0	0	152	127	0
Ppme1	142.470588	106	112	755	0	0	0	0	140	345	232	0	0	0	0	0	120	612	0
C2cd3	142.470588	106	112	755	0	0	0	0	140	345	232	0	0	0	0	0	120	612	0
Fam98a	142.235294	325	126	67	0	0	0	0	0	104	286	0	0	0	0	370	1140	0	0
Rapgefl1	141.529412	408	664	0	0	0	0	0	0	443	661	0	0	0	0	0	230	0	0
Cast	141.0	95	218	586	0	0	0	0	299	424	306	0	0	0	0	0	0	469	0
Asxl1	140.823529	102	172	231	0	0	0	0	284	1101	236	0	0	0	0	0	0	268	0
Pcif1	140.411765	336	156	254	0	0	0	0	213	364	122	0	0	0	0	147	442	353	0
Zfp626	140.352941	558	554	152	0	0	0	0	0	294	710	0	0	0	0	0	0	118	0
Ywhaq	140.058824	246	258	186	0	0	0	0	179	388	769	0	0	0	0	0	192	163	0
Gtf2a1	140.0	0	294	170	0	0	0	0	187	535	532	132	0	0	159	0	79	292	0
Tuba1c	139.823529	248	342	122	0	0	0	0	0	715	690	260	0	0	0	0	0	0	0
Kifap3	139.529412	486	0	0	0	0	0	0	0	1064	384	0	0	0	0	0	438	0	0
Cars	139.529412	317	329	191	0	0	0	0	207	608	525	0	0	0	0	0	0	195	0
Pds5a	139.352941	217	341	164	0	0	0	0	217	124	0	118	0	0	0	213	565	410	0
Zfp760	139.294118	153	212	0	0	0	0	0	212	292	845	0	0	0	142	183	229	100	0
Akap1	139.294118	297	269	274	0	0	0	0	160	114	306	0	0	0	0	200	441	307	0
Poc5	139.058824	193	403	336	0	0	0	0	0	455	759	0	0	0	0	0	0	218	0
Sppl2b	138.823529	292	0	87	0	0	0	0	0	0	0	0	0	0	0	621	1360	0	0
Lsm7	138.823529	292	0	87	0	0	0	0	0	0	0	0	0	0	0	621	1360	0	0
Stx4a	138.470588	305	356	0	0	0	0	0	145	675	642	0	0	0	0	0	0	231	0
Bclaf1	138.352941	148	255	0	0	0	0	0	124	768	437	0	0	0	0	0	0	620	0
Cep250	138.235294	115	124	516	0	0	0	0	356	0	337	0	0	0	0	0	389	513	0
Wdcp	138.117647	0	179	708	0	0	0	0	340	245	325	0	0	0	0	0	0	551	0
Sco1	138.058824	260	534	215	0	0	0	0	0	322	882	0	0	0	0	0	0	134	0
Adprm	138.058824	260	534	215	0	0	0	0	0	322	882	0	0	0	0	0	0	134	0
Cox18	137.647059	370	192	459	0	0	0	0	262	343	289	0	0	0	0	0	0	425	0
Fam118a	137.529412	232	509	201	0	0	0	0	243	463	297	0	0	0	0	0	120	273	0
Rbm8a	137.470588	182	327	409	0	0	0	0	0	408	417	0	0	0	0	0	0	594	0
Tm9sf2	137.294118	186	0	0	0	0	0	0	0	0	186	0	0	0	0	547	1415	0	0
Tmem170b	137.117647	105	164	0	0	0	0	0	0	223	222	0	0	0	0	299	1205	113	0
Map3k3	137.058824	132	128	270	0	0	0	0	107	896	465	0	0	0	0	0	0	332	0
Aarsd1	137.0	136	415	419	0	0	0	0	160	155	520	0	0	0	0	0	0	524	0
Tfrc	136.941176	247	208	689	0	0	0	0	100	166	322	0	0	0	0	0	88	508	0
Fxn	136.823529	128	184	456	0	0	0	0	199	231	189	0	0	0	0	0	0	939	0
Rpl23	136.764706	369	218	367	0	0	0	0	0	363	398	0	0	0	0	0	0	610	0
Zfp106	136.647059	179	0	151	0	0	0	0	0	130	207	0	0	0	0	465	1191	0	0
Snap23	136.647059	179	0	151	0	0	0	0	0	130	207	0	0	0	0	465	1191	0	0
Rab25	136.647059	0	0	579	0	0	0	0	383	369	179	0	0	0	0	0	0	813	0
Patl1	136.470588	479	116	162	0	0	0	0	0	680	240	0	0	0	0	130	513	0	0
Iqgap1	136.352941	254	488	0	0	0	0	0	138	247	866	0	0	0	95	0	92	138	0
Leprot	136.294118	164	346	155	0	0	0	0	250	690	315	0	0	0	0	0	113	284	0
Mapkapk5	136.176471	473	499	185	0	0	0	0	0	311	362	0	0	0	0	141	0	344	0
Mad2l1bp	136.117647	302	667	96	0	0	0	0	0	253	996	0	0	0	0	0	0	0	0
Stat3	135.823529	134	273	399	0	0	0	0	0	612	515	148	0	0	0	0	0	228	0
Ccdc77	135.647059	353	604	205	0	0	0	0	0	0	1033	0	0	0	0	0	0	111	0
Aplf	135.588235	384	488	309	0	0	0	0	0	339	668	0	0	0	0	0	0	117	0
Med30	135.470588	132	698	114	0	0	0	0	0	159	1009	0	0	0	0	0	0	191	0
Fbln1	135.411765	356	988	0	0	0	0	0	0	322	636	0	0	0	0	0	0	0	0
Mrpl45	135.352941	294	0	103	0	0	0	0	121	161	0	0	0	0	0	240	1275	107	0
Trim33	135.294118	165	194	170	0	0	0	0	257	804	198	0	0	0	0	111	230	171	0
Tmem223	135.294118	264	294	159	0	0	0	0	0	394	721	0	0	0	0	0	151	317	0
Tmem179b	135.294118	264	294	159	0	0	0	0	0	394	721	0	0	0	0	0	151	317	0
Dync1li1	135.294118	192	0	0	0	0	0	0	0	0	0	0	0	0	0	584	1524	0	0
Bcl7a	135.294118	210	698	0	0	0	0	0	0	773	500	0	119	0	0	0	0	0	0
Neurl1b	135.235294	0	505	0	0	0	0	0	156	600	656	0	0	0	0	111	271	0	0
Cnot10	135.117647	264	153	302	0	0	0	0	121	446	512	0	0	0	0	0	100	399	0
2310061I04Rik	135.058824	289	0	0	0	0	0	0	0	0	0	0	0	0	0	640	1367	0	0
Emc7	134.882353	165	339	359	0	0	0	0	159	177	459	0	0	0	0	0	0	635	0
Hmx2	134.705882	0	936	189	0	0	0	0	0	401	165	0	0	0	0	0	491	108	0
Osbpl1a	134.647059	295	347	183	0	0	0	0	328	180	499	0	0	0	0	0	0	457	0
9130401M01Rik	134.588235	113	429	344	0	0	0	0	0	516	550	0	0	0	0	0	156	180	0
Ran	134.529412	280	228	0	0	0	0	0	96	708	0	0	180	0	0	204	328	263	0
Sdk1	134.411765	0	150	0	0	0	0	0	227	866	0	249	446	0	347	0	0	0	0
Sdha	134.352941	359	0	0	0	0	0	0	132	191	257	0	0	0	0	232	1113	0	0
Ccdc127	134.352941	359	0	0	0	0	0	0	132	191	257	0	0	0	0	232	1113	0	0
Psap	133.941176	155	96	336	0	0	0	0	134	198	254	0	0	0	0	319	351	434	0
Atf6	133.941176	176	389	223	0	0	0	0	241	474	352	0	0	0	0	0	0	422	0
Slc35b2	133.764706	231	252	115	0	0	0	0	377	699	409	0	0	0	0	0	0	191	0
Pms1	133.764706	230	266	115	0	0	0	0	253	411	808	0	0	0	0	0	0	191	0
Ormdl1	133.764706	230	266	115	0	0	0	0	253	411	808	0	0	0	0	0	0	191	0
Morn3	133.764706	0	0	825	0	0	0	0	214	512	723	0	0	0	0	0	0	0	0
Gls	133.705882	211	315	86	0	0	0	0	0	735	602	158	0	0	166	0	0	0	0
Megf9	133.588235	142	230	0	0	0	0	0	291	810	638	0	0	0	0	0	0	160	0
Ccser2	132.764706	266	0	179	0	0	0	0	0	299	0	0	0	0	0	303	1210	0	0
Bcas2	132.764706	145	0	97	0	0	0	0	0	0	123	0	0	0	0	404	1194	294	0
Tmem209	132.705882	310	144	365	0	0	0	0	319	0	501	0	0	0	0	0	0	617	0
Tfap4	132.705882	272	429	598	0	0	0	0	0	285	153	0	0	0	0	0	0	519	0
Ssmem1	132.705882	310	144	365	0	0	0	0	319	0	501	0	0	0	0	0	0	617	0
Nudt1	132.647059	231	563	193	0	0	0	0	140	397	538	0	0	0	0	0	0	193	0
Dctpp1	132.647059	204	260	265	0	0	0	0	182	361	431	0	0	0	0	0	168	384	0
Tbcb	131.882353	91	78	312	0	0	0	0	0	520	310	0	0	0	0	212	490	229	0
Polr2i	131.882353	91	78	312	0	0	0	0	0	520	310	0	0	0	0	212	490	229	0
Ovol3	131.882353	91	78	312	0	0	0	0	0	520	310	0	0	0	0	212	490	229	0
Txnl1	131.588235	266	222	372	0	0	0	0	195	453	321	0	0	0	0	0	0	408	0
Rad23a	131.470588	182	99	158	0	0	0	0	133	170	306	0	0	0	0	205	774	208	0
Tmem214	131.411765	203	141	239	0	0	0	0	169	945	121	0	0	0	0	0	0	416	0
Ogfod3	131.411765	201	215	339	0	0	0	0	175	586	185	0	0	0	0	0	117	416	0
Hexdc	131.411765	201	215	339	0	0	0	0	175	586	185	0	0	0	0	0	117	416	0
Fam122a	131.411765	339	160	0	0	0	0	0	0	177	196	0	0	0	0	245	907	210	0
Zfp869	131.235294	215	253	452	0	0	0	0	135	193	455	0	0	0	0	0	0	528	0
Rpl35a	131.117647	116	150	682	0	0	0	0	182	315	200	0	0	0	0	0	0	584	0
Iqcg	131.117647	116	150	682	0	0	0	0	182	315	200	0	0	0	0	0	0	584	0
Hint1	131.117647	273	190	163	0	0	0	0	120	380	0	0	0	0	0	202	262	639	0
Smyd3	131.058824	225	305	177	0	0	0	0	0	0	380	0	0	0	0	234	756	151	0
Psmb2	131.0	273	305	305	0	0	0	0	233	418	347	0	0	0	0	0	0	346	0
0610009B22Rik	130.882353	476	138	276	0	0	0	0	0	0	558	0	0	0	0	0	397	380	0
Ppia	130.647059	179	180	153	0	0	0	0	159	318	158	0	0	0	0	264	362	448	0
Terf1	130.529412	369	333	0	0	0	0	0	0	484	667	0	0	0	0	0	175	191	0
Mcrs1	130.529412	0	0	140	0	0	0	0	0	0	86	0	0	0	0	557	1246	190	0
2410002F23Rik	130.529412	492	304	460	0	0	0	0	0	287	185	0	0	0	0	0	140	351	0
Vars2	130.352941	0	0	0	0	0	0	0	0	0	224	0	0	0	0	590	1402	0	0
Nudc	130.352941	80	88	156	0	0	0	0	244	1037	274	0	152	0	0	0	0	185	0
Ing1	130.117647	274	212	321	0	0	0	0	134	442	348	0	0	0	0	0	118	363	0
Ythdf1	129.941176	570	130	103	0	0	0	0	0	997	269	0	0	0	0	0	140	0	0
Dot1l	129.941176	242	120	77	0	0	0	0	0	1770	0	0	0	0	0	0	0	0	0
Nr1h2	129.882353	0	0	215	0	0	0	0	0	199	977	0	0	0	0	0	0	817	0
Atp5g1	129.764706	0	0	471	0	0	0	0	0	1508	0	0	0	0	0	0	0	227	0
Lztr1	129.705882	0	359	278	0	0	0	0	0	592	609	0	0	0	0	0	0	367	0
Slx4ip	129.235294	387	308	152	0	0	0	0	0	350	331	238	273	0	0	0	0	158	0
Mkks	129.235294	387	308	152	0	0	0	0	0	350	331	238	273	0	0	0	0	158	0
Cars2	129.117647	274	195	321	0	0	0	0	134	442	348	0	0	0	0	0	118	363	0
Larp4b	129.0	248	221	353	0	0	0	0	172	724	0	0	0	0	0	0	152	323	0
Rab33b	128.941176	168	166	143	0	0	0	0	0	0	271	0	0	0	0	202	947	295	0
Txndc12	128.882353	173	0	365	0	0	0	0	186	857	0	0	172	0	130	0	0	308	0
Tesk2	128.882353	0	98	306	112	0	0	0	0	345	250	287	225	0	367	0	0	201	0
Btf3l4	128.882353	173	0	365	0	0	0	0	186	857	0	0	172	0	130	0	0	308	0
Gtpbp10	128.588235	413	243	0	0	0	0	0	0	853	677	0	0	0	0	0	0	0	0
Ogdh	128.529412	172	95	705	0	0	0	0	106	424	236	0	0	0	0	0	0	447	0
Gxylt1	128.529412	222	0	156	0	0	0	0	161	1039	131	0	226	0	131	0	0	119	0
Mtr	128.411765	412	593	0	0	0	0	0	0	413	765	0	0	0	0	0	0	0	0
Smim4	128.0	158	390	251	0	0	0	0	0	260	933	0	0	0	0	0	184	0	0
Piga	128.0	285	252	106	0	0	0	0	140	396	662	0	0	0	0	0	0	335	0
Nt5dc2	128.0	158	390	251	0	0	0	0	0	260	933	0	0	0	0	0	184	0	0
Tent4a	127.882353	222	352	0	0	0	0	0	0	193	217	154	0	0	0	206	830	0	0
Ndufv1	127.882353	366	146	684	0	0	0	0	0	193	363	0	0	0	0	0	0	422	0
Foxn4	127.882353	0	879	0	0	0	0	0	148	379	768	0	0	0	0	0	0	0	0
Sgf29	127.823529	116	144	255	0	0	0	0	0	526	388	0	0	0	0	95	322	327	0
Pop4	127.764706	331	829	343	0	0	0	0	0	0	479	0	0	0	0	0	0	190	0
Timm21	127.588235	369	570	316	0	0	0	0	0	270	398	0	0	0	0	0	0	246	0
Pank3	127.588235	0	0	585	0	0	0	0	222	323	431	0	0	0	0	0	0	608	0
Fbxo15	127.588235	369	570	316	0	0	0	0	0	270	398	0	0	0	0	0	0	246	0
Rassf3	127.470588	0	0	183	0	0	0	0	302	845	0	0	0	0	0	0	248	589	0
Ppp2r5a	127.470588	142	258	111	0	0	0	0	463	575	353	0	0	0	0	0	0	265	0
Trim59	127.411765	225	284	0	0	0	0	0	206	241	139	165	0	0	0	195	455	256	0
Uba2	127.235294	255	184	276	0	0	0	0	129	295	291	0	0	0	0	136	144	453	0
Rpia	126.941176	198	197	377	0	0	0	0	197	116	424	0	0	0	0	0	0	649	0
Polr2b	126.529412	364	0	163	0	0	0	0	0	195	290	0	0	0	0	224	718	197	0
Noa1	126.529412	364	0	163	0	0	0	0	0	195	290	0	0	0	0	224	718	197	0
Ilf2	126.529412	0	211	795	0	0	0	120	0	0	421	0	0	0	0	0	0	604	0
Mmgt1	126.352941	210	253	247	0	0	0	0	241	459	449	0	0	0	0	0	0	289	0
Scaf1	125.882353	0	146	607	0	0	0	0	152	369	349	0	0	0	0	0	0	517	0
Rras	125.882353	0	146	607	0	0	0	0	152	369	349	0	0	0	0	0	0	517	0
Clk3	125.882353	389	606	0	0	0	0	0	0	424	721	0	0	0	0	0	0	0	0
Tst	125.823529	158	1135	189	94	0	0	0	0	0	563	0	0	0	0	0	0	0	0
Mpst	125.823529	158	1135	189	94	0	0	0	0	0	563	0	0	0	0	0	0	0	0
Slc29a1	125.705882	0	195	125	0	0	0	0	213	663	268	0	151	0	0	136	176	210	0
Get1	125.705882	310	0	369	0	0	0	0	0	115	204	0	0	0	0	111	722	306	0
Glra1	125.588235	0	505	783	0	0	0	0	281	0	566	0	0	0	0	0	0	0	0
Cep41	125.588235	262	445	266	0	0	0	0	272	244	0	0	0	0	0	0	216	430	0
Utp15	125.529412	455	490	174	0	0	0	0	0	157	739	0	0	0	0	0	0	119	0
Ankra2	125.529412	455	490	174	0	0	0	0	0	157	739	0	0	0	0	0	0	119	0
Wasf2	125.411765	330	195	437	0	0	0	0	0	443	408	0	0	0	0	0	176	143	0
Patz1	125.411765	0	475	293	0	0	0	0	254	152	0	0	0	0	0	240	355	363	0
Colgalt1	125.176471	174	178	297	0	0	0	0	135	248	473	0	0	0	0	158	107	358	0
Drosha	124.882353	261	316	206	0	0	0	0	154	318	521	0	0	0	0	0	0	347	0
Arf2	124.882353	104	244	281	0	0	0	0	212	799	294	0	0	0	0	0	0	189	0
6030458C11Rik	124.882353	261	316	206	0	0	0	0	154	318	521	0	0	0	0	0	0	347	0
Txndc16	124.823529	232	230	294	0	0	0	0	142	465	759	0	0	0	0	0	0	0	0
Gpr137c	124.823529	232	230	294	0	0	0	0	142	465	759	0	0	0	0	0	0	0	0
Chd1l	124.823529	253	464	420	0	0	0	0	0	0	269	0	0	0	0	0	0	716	0
Ppp6r3	124.764706	0	185	691	0	0	0	0	0	348	193	0	0	0	0	0	0	704	0
Mtmr4	124.764706	171	147	409	0	0	0	0	0	579	564	0	0	0	0	0	0	251	0
Wbp11	124.529412	395	608	165	0	0	0	0	0	174	579	0	0	0	0	0	0	196	0
Eif5a	124.529412	470	0	230	0	0	0	0	0	174	246	0	0	0	0	115	697	185	0
BC049715	124.529412	395	608	165	0	0	0	0	0	174	579	0	0	0	0	0	0	196	0
Fnbp4	124.470588	371	148	584	0	0	0	0	0	0	187	0	0	0	0	0	0	826	0
Zc3h18	124.352941	246	146	235	0	0	0	0	142	205	252	0	0	0	0	125	496	267	0
Pelo	124.294118	121	130	162	0	0	0	0	0	246	125	0	243	0	136	250	457	243	0
Htra2	124.176471	303	231	375	0	0	0	0	0	455	377	0	0	0	0	0	0	370	0
Dqx1	124.176471	303	231	375	0	0	0	0	0	455	377	0	0	0	0	0	0	370	0
