Target_genes	Bhlhe40|Average	SRX3927757|Bone_Marrow_Cells	SRX3927758|Bone_Marrow_Cells	SRX10809293|B_cells	SRX10809294|B_cells	SRX3927759|CD4+_T_cells	SRX3927760|CD4+_T_cells	SRX140385|CH12	SRX15941724|Liver	SRX15941726|Liver	SRX5299298|Macrophages	SRX5299300|Macrophages	SRX6608073|Macrophages	SRX188814|MEL	SRX3730216|Trophoblast_stem_cells	SRX3730217|Trophoblast_stem_cells	STRING
Gm21188	108.866667	0	0	0	0	0	0	1058	0	0	0	283	292	0	0	0	0
Cd274	108.866667	0	0	97	0	0	0	1211	0	0	0	0	112	213	0	0	0
Acvr2b	108.866667	0	0	0	0	0	0	1190	0	0	0	236	207	0	0	0	0
Xkr9	108.8	0	0	0	0	0	0	529	0	0	0	0	0	1103	0	0	0
Smco4	108.8	0	0	0	0	0	0	1632	0	0	0	0	0	0	0	0	0
Lpcat2	108.8	0	0	0	0	0	0	0	0	0	0	875	0	757	0	0	0
Vps33b	108.733333	0	0	140	99	162	0	980	0	0	0	0	90	160	0	0	0
Casq1	108.733333	0	0	0	0	0	0	921	0	0	0	0	0	710	0	0	0
Srsf3	108.466667	0	0	119	163	0	0	999	0	0	0	0	143	203	0	0	0
Mcm3	108.466667	0	0	0	109	192	0	1101	0	0	0	0	0	225	0	0	0
Ap3m2	108.466667	0	0	0	0	0	0	1486	0	0	0	0	0	141	0	0	0
Vamp8	108.4	0	0	84	0	0	0	558	0	0	0	0	0	984	0	0	0
Srpk2	108.4	0	0	0	0	0	0	1095	0	0	0	0	0	531	0	0	0
Ppp3r1	108.4	0	0	0	0	113	0	876	0	0	0	0	79	558	0	0	0
Ppif	108.333333	0	0	105	192	182	0	738	127	0	0	0	0	281	0	0	0
Pbk	108.333333	0	0	0	0	0	0	1255	0	0	0	0	0	370	0	0	0
Mapk14	108.333333	0	0	0	0	0	0	450	238	235	0	0	0	365	337	0	0
Cxxc1	108.266667	0	0	0	0	0	0	1061	0	0	0	0	0	563	0	0	0
A4galt	108.266667	0	0	0	0	0	0	1624	0	0	0	0	0	0	0	0	0
Oxt	108.2	0	0	0	0	186	0	463	0	0	0	208	113	653	0	0	0
Keap1	108.2	0	0	0	0	146	0	642	0	0	0	334	128	373	0	0	0
Avp	108.2	0	0	0	0	186	0	463	0	0	0	208	113	653	0	0	0
Fscn1	108.066667	0	0	0	0	0	0	1621	0	0	0	0	0	0	0	0	0
Vps29	108.0	0	0	0	0	156	0	680	206	178	0	137	88	175	0	0	0
Rad9b	108.0	0	0	0	0	156	0	680	206	178	0	137	88	175	0	0	0
Isca1	108.0	0	0	0	0	0	0	721	0	0	0	0	187	712	0	0	0
Exosc3	108.0	0	0	0	85	131	0	929	0	0	0	340	135	0	0	0	0
Poln	107.933333	0	0	80	0	0	0	685	165	0	0	145	0	544	0	0	0
Herpud1	107.933333	0	0	117	169	126	0	873	0	0	0	0	121	139	74	0	0
Haus3	107.933333	0	0	80	0	0	0	685	165	0	0	145	0	544	0	0	0
Pigw	107.866667	0	0	0	0	0	0	1407	0	0	0	0	0	211	0	0	0
Myo19	107.866667	0	0	0	0	0	0	1407	0	0	0	0	0	211	0	0	0
Itfg2	107.866667	0	0	176	241	0	0	830	140	0	0	0	142	89	0	0	0
Slc26a2	107.8	0	0	0	0	129	0	1056	0	0	0	135	79	218	0	0	0
Asb7	107.8	0	0	143	163	125	0	565	267	220	0	0	0	0	134	0	0
Dbi	107.733333	0	0	0	0	0	0	848	181	133	0	0	147	307	0	0	0
3110009E18Rik	107.733333	0	0	0	0	0	0	848	181	133	0	0	147	307	0	0	0
Isg20	107.666667	0	0	0	0	0	0	1335	0	0	0	0	0	280	0	0	0
Txnl4a	107.6	0	0	0	0	0	0	1108	179	150	0	0	90	87	0	0	0
Rnf24	107.6	0	0	68	0	129	0	1241	0	0	0	0	176	0	0	0	0
Gpr171	107.6	0	0	0	0	0	0	1614	0	0	0	0	0	0	0	0	0
Gm16286	107.6	0	0	0	0	0	0	1108	179	150	0	0	90	87	0	0	0
4930558K02Rik	107.533333	0	0	0	0	0	0	1351	0	0	0	0	0	262	0	0	0
Sqstm1	107.466667	0	0	0	0	0	0	1380	0	0	0	0	95	137	0	0	0
Git1	107.466667	0	0	0	0	215	0	947	0	0	0	0	0	450	0	0	0
Ankrd13b	107.466667	0	0	0	0	215	0	947	0	0	0	0	0	450	0	0	0
Slc7a5	107.333333	0	0	0	0	0	0	542	0	0	0	0	162	906	0	0	0
Exosc5	107.333333	0	0	216	198	0	0	868	128	0	0	0	113	87	0	0	0
Bckdha	107.333333	0	0	216	198	0	0	868	128	0	0	0	113	87	0	0	0
Tsr2	107.266667	0	0	0	0	0	0	1006	0	0	0	0	0	603	0	0	0
Rad23a	107.266667	0	0	73	0	168	260	722	0	0	0	0	0	386	0	0	0
Arf1	107.266667	0	0	0	0	0	0	972	161	130	0	0	0	346	0	0	0
Rp9	107.2	0	0	0	0	420	0	756	0	0	0	142	0	290	0	0	0
Lyn	107.2	0	0	405	515	0	0	565	0	0	0	0	0	123	0	0	0
Eef1a1	107.2	0	0	0	0	572	425	306	0	0	0	0	0	305	0	0	0
Bcl2a1a	107.2	0	0	0	127	103	0	1120	0	0	0	0	258	0	0	0	0
Gatd3a	107.133333	0	0	146	246	249	0	495	126	133	0	0	101	111	0	0	0
Foxb1	107.066667	0	0	0	0	0	0	1606	0	0	0	0	0	0	0	0	0
Snx16	107.0	0	0	0	0	301	0	786	0	0	0	241	0	277	0	0	0
Mphosph10	107.0	0	0	243	218	134	0	447	119	118	0	0	123	203	0	0	0
Mcee	107.0	0	0	243	218	134	0	447	119	118	0	0	123	203	0	0	0
Map3k9	107.0	0	0	167	145	270	0	493	0	0	0	169	361	0	0	0	0
Bcl11a	107.0	0	0	191	107	0	0	852	0	0	0	0	0	455	0	0	0
Vps4b	106.866667	0	0	162	197	0	0	816	0	0	0	0	0	428	0	0	0
Ctdsp1	106.866667	0	0	0	0	0	0	917	0	0	0	0	0	545	141	0	0
Fam76a	106.8	0	0	0	0	0	0	1408	0	0	0	0	0	194	0	0	0
Sgms1	106.733333	0	0	187	166	333	0	574	0	0	0	0	110	231	0	0	0
Gphn	106.733333	0	0	0	0	364	0	749	110	0	0	216	0	162	0	0	0
Dhx16	106.733333	0	0	250	249	85	0	689	0	0	0	0	0	328	0	0	0
Tsg101	106.6	0	0	0	130	180	0	749	0	112	0	214	87	127	0	0	0
Plscr5	106.6	0	0	0	0	0	0	1335	0	0	0	0	0	264	0	0	0
Uba7	106.466667	0	0	0	0	0	0	265	0	0	0	0	0	1332	0	0	0
Snap47	106.466667	0	0	0	0	224	0	1193	0	0	0	0	0	180	0	0	0
Jmjd4	106.466667	0	0	0	0	224	0	1193	0	0	0	0	0	180	0	0	0
Trib1	106.4	0	0	226	162	0	0	1051	0	0	0	0	157	0	0	0	0
Tmem39b	106.4	0	0	113	82	0	0	1103	0	114	0	0	0	184	0	0	0
Rassf4	106.333333	0	0	96	0	0	0	1187	0	0	0	115	197	0	0	0	0
C1qtnf6	106.333333	0	0	0	0	184	0	1061	97	0	0	0	0	253	0	0	0
Sowahc	106.266667	0	0	0	0	0	0	822	129	140	0	142	361	0	0	0	0
Septin10	106.266667	0	0	0	0	0	0	822	129	140	0	142	361	0	0	0	0
Zbtb12	106.133333	0	0	0	0	663	0	630	0	0	0	0	136	163	0	0	0
Ubald2	106.133333	0	0	126	138	0	0	971	0	0	0	0	116	241	0	0	0
Gm13286	106.133333	0	0	0	0	325	0	789	0	0	0	0	0	478	0	0	0
Gm13283	106.133333	0	0	0	0	325	0	789	0	0	0	0	0	478	0	0	0
Gm13271	106.133333	0	0	0	0	325	0	789	0	0	0	0	0	478	0	0	0
Ehmt2	106.133333	0	0	0	0	663	0	630	0	0	0	0	136	163	0	0	0
Trim37	106.066667	0	0	121	0	179	0	807	0	0	0	123	92	269	0	0	0
Nfam1	106.066667	0	0	107	0	0	0	1325	0	0	0	0	0	159	0	0	0
Cnot6l	106.066667	0	0	0	0	0	0	1329	0	0	0	0	0	262	0	0	0
Cd7	106.0	0	0	0	0	260	165	887	0	0	0	0	0	278	0	0	0
Vapa	105.933333	0	0	0	0	0	0	474	110	134	0	0	121	750	0	0	0
M6pr	105.933333	0	0	84	96	317	0	584	0	104	0	0	155	249	0	0	0
Smim6	105.866667	0	0	0	0	0	0	0	0	0	0	0	0	1588	0	0	0
Ldah	105.8	0	0	0	98	274	0	1092	0	0	0	0	0	123	0	0	0
Iftap	105.8	0	0	0	0	0	0	1171	0	0	0	0	0	416	0	0	0
Alg8	105.8	0	0	0	0	0	0	1469	0	0	0	0	0	118	0	0	0
Farsa	105.733333	0	0	126	214	0	0	820	0	0	0	113	0	313	0	0	0
Id2	105.666667	0	0	0	0	327	111	870	0	0	0	0	0	277	0	0	0
Axl	105.666667	0	0	0	0	0	0	1585	0	0	0	0	0	0	0	0	0
Niban3	105.6	0	0	72	0	0	0	1413	0	0	0	0	0	99	0	0	0
Mrpl52	105.6	0	0	0	0	0	0	733	0	0	0	0	0	851	0	0	0
Mmp14	105.6	0	0	0	0	0	0	733	0	0	0	0	0	851	0	0	0
Ddi2	105.6	0	0	148	0	247	0	565	0	0	0	215	126	137	146	0	0
Pdpk1	105.533333	0	0	155	0	0	0	1054	0	0	0	0	68	306	0	0	0
Zmat3	105.466667	0	0	0	0	0	0	1582	0	0	0	0	0	0	0	0	0
Bcl2l1	105.466667	0	0	0	0	0	0	1005	0	0	0	0	0	272	305	0	0
Txlnb	105.4	0	0	0	0	0	0	1581	0	0	0	0	0	0	0	0	0
Slc35b2	105.4	0	0	0	0	226	0	1161	0	0	0	0	0	194	0	0	0
Tmcc1	105.333333	0	0	0	0	129	102	1072	0	0	0	0	0	277	0	0	0
Rps2	105.333333	0	0	222	167	256	191	554	0	0	0	0	0	190	0	0	0
Rnf151	105.333333	0	0	222	167	256	191	554	0	0	0	0	0	190	0	0	0
Ndufb10	105.333333	0	0	222	167	256	191	554	0	0	0	0	0	190	0	0	0
Htra2	105.2	0	0	0	0	161	0	697	0	161	0	0	0	277	282	0	0
Dqx1	105.2	0	0	0	0	161	0	697	0	161	0	0	0	277	282	0	0
Prrt2	105.066667	0	0	0	0	110	0	1163	0	0	0	0	156	147	0	0	0
Mcoln3	105.066667	0	0	0	0	0	0	1576	0	0	0	0	0	0	0	0	0
Ttc13	105.0	0	0	132	80	236	0	875	0	0	0	0	85	167	0	0	0
Slc6a9	105.0	0	0	0	0	0	0	725	0	0	0	0	0	850	0	0	0
Mylip	105.0	0	0	93	0	284	0	127	0	0	0	0	159	912	0	0	0
Mrs2	105.0	0	0	128	189	0	0	923	0	0	0	145	0	190	0	0	0
Arv1	105.0	0	0	132	80	236	0	875	0	0	0	0	85	167	0	0	0
Tlr6	104.933333	0	0	248	142	180	0	279	0	0	0	0	573	152	0	0	0
Rnf43	104.933333	0	0	0	0	0	0	768	129	106	0	234	125	212	0	0	0
Matn1	104.933333	0	0	0	0	0	0	1437	0	0	0	0	0	137	0	0	0
Itprip	104.933333	0	0	199	153	0	0	736	0	0	0	0	154	332	0	0	0
Pold3	104.866667	0	0	0	125	0	0	1206	0	0	0	0	0	242	0	0	0
Dennd4a	104.8	0	0	120	0	0	0	935	0	0	0	0	0	517	0	0	0
Trim7	104.733333	0	0	0	0	0	0	1210	0	0	0	0	0	361	0	0	0
Eif5	104.733333	0	0	0	0	0	0	1213	0	0	0	0	90	268	0	0	0
Taldo1	104.666667	0	0	133	0	0	0	666	263	220	0	0	139	149	0	0	0
Smdt1	104.666667	0	0	0	0	0	0	490	0	0	0	0	0	1080	0	0	0
Sar1b	104.666667	0	0	0	0	0	0	1362	0	0	0	0	0	208	0	0	0
Klf2	104.666667	0	0	0	0	318	0	785	0	0	0	285	182	0	0	0	0
Gsn	104.666667	0	0	0	0	208	0	822	0	0	0	214	0	326	0	0	0
Atf2	104.666667	0	0	88	151	283	0	868	0	0	0	0	0	180	0	0	0
Mnt	104.533333	0	0	0	0	0	0	924	0	0	0	0	134	510	0	0	0
Degs1	104.533333	0	0	0	0	0	0	690	0	0	0	0	215	663	0	0	0
Gzmb	104.466667	0	0	0	0	281	226	0	0	0	0	0	0	1060	0	0	0
Wfs1	104.333333	0	0	143	110	207	0	683	97	0	0	188	137	0	0	0	0
Inpp1	104.333333	0	0	0	0	0	0	1565	0	0	0	0	0	0	0	0	0
Gimap3	104.333333	0	0	0	0	137	0	1428	0	0	0	0	0	0	0	0	0
Nmnat1	104.266667	0	0	0	0	196	0	1368	0	0	0	0	0	0	0	0	0
Lzic	104.266667	0	0	0	0	196	0	1368	0	0	0	0	0	0	0	0	0
Imp3	104.266667	0	0	78	0	219	0	581	383	303	0	0	0	0	0	0	0
Csf2ra	104.2	0	0	0	0	100	0	435	0	0	0	181	284	448	115	0	0
Tlk1	104.133333	0	0	180	0	184	0	419	0	0	0	0	151	628	0	0	0
Muc1	104.066667	0	0	0	0	0	0	1071	0	0	0	0	113	377	0	0	0
Hlcs	104.066667	0	0	121	146	77	0	978	0	0	0	0	0	239	0	0	0
Mcidas	104.0	0	0	73	0	282	0	520	0	0	0	454	231	0	0	0	0
Gar1	104.0	0	0	72	98	0	0	945	0	0	0	123	111	211	0	0	0
Slc35e1	103.933333	0	0	139	164	235	0	376	169	0	0	0	330	146	0	0	0
Mycbp2	103.933333	0	0	147	144	192	0	869	0	0	0	0	93	114	0	0	0
Mxd1	103.933333	0	0	0	0	0	0	0	0	0	0	181	214	1164	0	0	0
Sun2	103.866667	0	0	0	0	0	0	269	0	0	0	0	0	1289	0	0	0
Shank2	103.8	0	0	0	0	0	0	1557	0	0	0	0	0	0	0	0	0
Pnpla7	103.733333	0	0	0	88	0	0	1042	0	0	0	0	0	426	0	0	0
Mrpl41	103.733333	0	0	0	88	0	0	1042	0	0	0	0	0	426	0	0	0
Erich4	103.733333	0	0	251	212	0	0	697	111	153	0	0	0	132	0	0	0
Dmac2	103.733333	0	0	251	212	0	0	697	111	153	0	0	0	132	0	0	0
Cdh15	103.666667	0	0	0	0	0	0	858	0	0	0	0	210	487	0	0	0
Ndufaf5	103.6	0	0	0	108	0	0	484	0	0	163	592	0	207	0	0	0
Esf1	103.6	0	0	0	108	0	0	484	0	0	163	592	0	207	0	0	0
Atp1a1	103.6	0	0	186	88	211	0	714	0	0	0	0	198	157	0	0	0
Msmb	103.533333	0	0	0	0	0	0	109	0	0	0	0	0	1444	0	0	0
Chst15	103.533333	0	0	0	0	0	0	519	0	0	0	0	0	1034	0	0	0
Chmp3	103.533333	0	0	0	93	262	0	531	0	102	0	263	147	155	0	0	0
Cdc42se2	103.533333	0	0	0	0	222	0	1331	0	0	0	0	0	0	0	0	0
Zmiz2	103.466667	0	0	0	0	0	0	1406	0	0	0	0	0	146	0	0	0
Synj1	103.466667	0	0	0	0	175	0	691	0	0	0	0	0	563	123	0	0
Hmx2	103.466667	0	0	0	101	174	0	1017	0	0	0	130	130	0	0	0	0
Cdk20	103.466667	0	0	0	114	277	0	127	97	0	0	118	121	698	0	0	0
Ccr7	103.4	0	0	194	180	0	0	985	0	0	0	0	0	192	0	0	0
Ccdc134	103.4	0	0	95	0	0	0	1241	0	0	0	0	77	138	0	0	0
Suz12	103.333333	0	0	0	127	232	0	697	0	0	0	225	135	134	0	0	0
Sec23ip	103.333333	0	0	0	0	0	0	1088	0	0	0	0	0	462	0	0	0
Leng1	103.333333	0	0	316	166	0	0	495	211	179	0	0	101	82	0	0	0
Ifnz	103.333333	0	0	0	0	449	0	693	0	0	0	0	0	408	0	0	0
Atp6v1fnb	103.333333	0	0	0	0	0	0	1133	0	0	0	0	0	417	0	0	0
Atp6v1f	103.333333	0	0	0	0	0	0	1133	0	0	0	0	0	417	0	0	0
Vezt	103.266667	0	0	116	0	0	0	1099	0	0	0	0	118	216	0	0	0
Spata2	103.266667	0	0	151	199	0	0	894	0	0	0	0	110	195	0	0	0
Rnf114	103.266667	0	0	151	199	0	0	894	0	0	0	0	110	195	0	0	0
Neurl4	103.266667	0	0	96	175	0	0	696	179	171	0	0	79	153	0	0	0
Met	103.266667	0	0	0	0	0	0	938	0	185	0	248	178	0	0	0	0
Gnpnat1	103.266667	0	0	0	0	198	0	1086	142	0	0	123	0	0	0	0	0
Fgd6	103.266667	0	0	116	0	0	0	1099	0	0	0	0	118	216	0	0	0
2810408A11Rik	103.266667	0	0	96	175	0	0	696	179	171	0	0	79	153	0	0	0
Zfhx2	103.2	0	0	0	0	0	0	1057	291	200	0	0	0	0	0	0	0
Dnajc12	103.2	0	0	220	193	0	0	795	0	0	0	0	90	250	0	0	0
Gm13275	103.133333	0	0	0	0	422	0	792	0	0	0	0	0	333	0	0	0
Otud7b	103.066667	0	0	70	0	0	0	885	0	0	0	104	0	487	0	0	0
Dpy30	103.066667	0	0	180	109	0	0	691	0	0	0	0	115	451	0	0	0
Ppp1r13b	103.0	0	0	120	272	0	0	841	229	0	0	0	0	83	0	0	0
Xpr1	102.933333	0	0	330	198	0	0	562	0	0	0	0	173	281	0	0	0
Prkd3	102.933333	0	0	175	0	283	0	0	0	0	0	265	208	613	0	0	0
Zc3h12a	102.866667	0	0	0	0	0	0	777	0	0	0	0	604	162	0	0	0
Nol7	102.8	0	0	109	0	112	0	746	0	0	0	268	0	307	0	0	0
Mtdh	102.8	0	0	0	0	106	0	1049	0	0	0	0	0	387	0	0	0
Gtf3a	102.8	0	0	0	0	0	0	1088	124	237	0	0	0	93	0	0	0
Tmem140	102.733333	0	0	103	88	0	0	1085	0	0	0	0	107	158	0	0	0
Ssbp3	102.733333	0	0	0	0	0	0	1183	0	0	0	0	0	358	0	0	0
Nrd1	102.6	0	0	395	278	140	0	444	0	0	0	0	0	282	0	0	0
Zfp566	102.533333	0	0	113	144	271	0	685	0	0	0	0	187	138	0	0	0
Zfp260	102.533333	0	0	113	144	271	0	685	0	0	0	0	187	138	0	0	0
Tmco4	102.533333	0	0	0	0	0	0	244	297	249	0	0	0	748	0	0	0
Prmt3	102.533333	0	0	0	0	83	0	1223	0	0	0	0	0	232	0	0	0
Polr3g	102.533333	0	0	0	0	120	0	549	126	124	0	0	79	540	0	0	0
Mblac2	102.533333	0	0	0	0	120	0	549	126	124	0	0	79	540	0	0	0
Furin	102.533333	0	0	0	0	0	0	1249	153	136	0	0	0	0	0	0	0
Sytl3	102.466667	0	0	0	0	0	0	1009	0	0	0	0	216	312	0	0	0
Ninj2	102.466667	0	0	0	0	0	0	1202	0	0	0	0	0	335	0	0	0
Wtap	102.4	0	0	0	82	0	0	560	0	0	0	114	217	333	230	0	0
Il3ra	102.4	0	0	0	0	196	0	628	0	0	0	279	181	252	0	0	0
Lrp1	102.333333	0	0	0	0	0	0	605	469	321	0	0	140	0	0	0	0
Ankrd9	102.333333	0	0	0	0	0	0	611	0	0	0	0	0	924	0	0	0
Zscan25	102.266667	0	0	226	233	0	0	811	0	0	0	0	0	264	0	0	0
Runx3	102.266667	0	0	0	0	0	0	1534	0	0	0	0	0	0	0	0	0
Ablim1	102.266667	0	0	101	108	0	0	1017	0	124	0	184	0	0	0	0	0
1700122O11Rik	102.266667	0	0	0	0	0	0	1415	0	0	0	0	0	119	0	0	0
Ap1ar	102.2	0	0	0	116	81	0	419	295	242	0	0	0	380	0	0	0
Scgb1c1	102.133333	0	0	0	0	0	0	1222	0	0	0	0	0	310	0	0	0
Odf3	102.133333	0	0	0	0	0	0	1222	0	0	0	0	0	310	0	0	0
Aldh9a1	102.133333	0	0	0	110	0	0	670	132	130	0	0	0	490	0	0	0
Phf1	102.066667	0	0	91	148	284	0	426	173	181	0	228	0	0	0	0	0
Arrdc4	102.066667	0	0	0	0	316	0	0	233	239	0	166	577	0	0	0	0
Tns3	102.0	0	0	0	111	0	0	1085	122	111	0	0	101	0	0	0	0
Zfp317	101.933333	0	0	0	148	0	0	820	0	0	0	0	0	273	288	0	0
Gm4861	101.933333	0	0	0	0	0	0	1529	0	0	0	0	0	0	0	0	0
Rnf130	101.866667	0	0	280	209	155	0	0	0	134	0	222	286	242	0	0	0
Gbp3	101.866667	0	0	0	0	178	0	974	0	0	0	232	144	0	0	0	0
Fam89a	101.8	0	0	0	0	0	0	1527	0	0	0	0	0	0	0	0	0
Acsl1	101.8	0	0	0	122	151	0	733	0	0	0	162	0	359	0	0	0
Tceal9	101.733333	0	0	0	0	0	0	1089	0	0	0	0	0	437	0	0	0
Smim19	101.733333	0	0	0	0	0	0	1072	246	208	0	0	0	0	0	0	0
Slc20a2	101.733333	0	0	0	0	0	0	1072	246	208	0	0	0	0	0	0	0
Bicral	101.733333	0	0	163	0	0	0	583	0	0	0	0	0	780	0	0	0
Ptpn22	101.6	0	0	279	244	0	0	650	0	0	0	0	351	0	0	0	0
Mynn	101.6	0	0	217	190	0	0	679	0	0	0	0	75	363	0	0	0
Lgals7	101.6	0	0	153	247	0	0	859	0	0	0	0	101	164	0	0	0
Ppp4r3a	101.533333	0	0	0	0	0	0	237	459	543	0	0	0	284	0	0	0
Wsb2	101.466667	0	0	0	0	0	0	486	0	0	0	0	118	918	0	0	0
Slc16a6	101.466667	0	0	104	0	146	0	508	0	0	121	313	187	143	0	0	0
Nup35	101.4	0	0	0	0	0	0	378	0	0	0	0	244	899	0	0	0
Haus4	101.4	0	0	222	235	0	0	569	92	205	0	0	0	198	0	0	0
Gm13279	101.4	0	0	0	0	422	0	792	0	0	0	0	0	307	0	0	0
Gm13278	101.4	0	0	0	0	422	0	792	0	0	0	0	0	307	0	0	0
Gm13272	101.4	0	0	0	0	449	0	693	0	0	0	0	0	379	0	0	0
Pianp	101.333333	0	0	0	0	0	0	462	0	0	0	525	533	0	0	0	0
Snrnp48	101.266667	0	0	0	148	125	0	706	0	170	0	0	137	233	0	0	0
Rps6ka5	101.266667	0	0	0	0	131	0	721	0	0	0	319	189	159	0	0	0
Kif17	101.266667	0	0	96	0	217	0	952	0	0	0	0	0	254	0	0	0
Tmem143	101.2	0	0	395	364	0	0	331	127	101	0	0	0	200	0	0	0
Syngr4	101.2	0	0	395	364	0	0	331	127	101	0	0	0	200	0	0	0
Saysd1	101.2	0	0	66	0	0	0	1038	142	112	0	0	0	160	0	0	0
Rmnd5b	101.2	0	0	0	0	0	0	1180	0	0	0	0	0	338	0	0	0
Usp24	101.133333	0	0	231	217	357	0	712	0	0	0	0	0	0	0	0	0
Tmem191c	101.133333	0	0	0	0	445	0	460	0	0	0	342	113	157	0	0	0
Rcc2	101.133333	0	0	126	94	0	0	670	124	0	0	0	0	245	258	0	0
Upf3a	101.066667	0	0	0	0	0	0	1359	0	0	0	0	0	157	0	0	0
Rbm4b	101.066667	0	0	0	105	0	0	950	0	125	0	0	0	336	0	0	0
Fabp5	101.066667	0	0	0	0	0	0	1408	0	0	0	0	108	0	0	0	0
Cabin1	101.066667	0	0	0	0	172	0	1031	0	0	0	0	224	89	0	0	0
Gemin6	101.0	0	0	0	0	0	0	244	0	0	0	0	0	1271	0	0	0
Fbxo31	101.0	0	0	0	0	0	0	233	453	463	0	0	178	188	0	0	0
Ikzf3	100.933333	0	0	132	131	104	0	917	117	0	0	0	0	113	0	0	0
Prkcz	100.866667	0	0	0	0	148	0	652	198	317	0	0	0	198	0	0	0
Pnpla5	100.866667	0	0	0	0	0	0	688	0	0	0	704	121	0	0	0	0
Bach1	100.866667	0	0	0	0	0	0	1041	0	0	0	0	0	472	0	0	0
Adora1	100.866667	0	0	0	0	0	0	462	146	0	0	0	0	905	0	0	0
Rab35	100.8	0	0	0	0	209	0	941	0	0	0	0	189	173	0	0	0
Mettl2	100.8	0	0	190	181	0	0	848	0	0	0	0	0	293	0	0	0
Inhbe	100.8	0	0	0	0	0	0	927	238	191	0	0	0	156	0	0	0
Cntnap1	100.8	0	0	0	0	0	0	1131	0	0	0	0	129	252	0	0	0
Entpd5	100.733333	0	0	113	188	0	0	745	218	114	0	133	0	0	0	0	0
Nipsnap3b	100.666667	0	0	0	158	269	0	495	130	170	0	0	0	288	0	0	0
Myo1f	100.666667	0	0	0	0	0	0	1417	0	0	0	0	93	0	0	0	0
Cmtm3	100.666667	0	0	0	0	0	0	0	0	0	0	303	156	1051	0	0	0
Fzd3	100.6	0	0	0	0	165	0	995	0	0	0	349	0	0	0	0	0
Kcnip2	100.533333	0	0	0	0	0	0	391	0	0	0	0	0	1117	0	0	0
Tas1r1	100.4	0	0	0	0	95	0	1086	0	0	0	0	0	325	0	0	0
Secisbp2	100.4	0	0	0	0	0	0	1061	0	0	0	0	0	445	0	0	0
Nol9	100.4	0	0	0	0	95	0	1086	0	0	0	0	0	325	0	0	0
Snx30	100.333333	0	0	90	0	0	0	1191	0	0	0	0	84	140	0	0	0
Syngr1	100.266667	0	0	0	0	0	0	471	0	0	0	0	0	204	715	114	0
Ssr1	100.266667	0	0	0	74	154	0	894	0	0	0	0	0	382	0	0	0
Eif1b	100.266667	0	0	82	104	204	0	853	0	0	0	0	0	261	0	0	0
Btla	100.266667	0	0	277	193	156	0	764	0	0	0	0	114	0	0	0	0
Rap1gap2	100.2	0	0	0	0	0	0	1112	0	0	0	215	0	176	0	0	0
Otulin	100.2	0	0	0	0	0	0	1139	114	0	0	0	91	159	0	0	0
Syt14	100.066667	0	0	0	0	153	0	0	0	0	0	172	0	1176	0	0	0
H2-M5	100.066667	0	0	0	0	0	0	835	0	0	0	0	137	529	0	0	0
Zfp957	99.933333	0	0	0	76	392	0	511	0	0	0	400	120	0	0	0	0
Tex48	99.933333	0	0	0	0	0	0	1499	0	0	0	0	0	0	0	0	0
Rnf19b	99.933333	0	0	0	0	132	0	990	173	204	0	0	0	0	0	0	0
Prok2	99.933333	0	0	0	0	317	0	224	0	0	0	958	0	0	0	0	0
Nt5dc3	99.933333	0	0	0	147	0	0	700	199	133	0	0	0	320	0	0	0
Mettl8	99.933333	0	0	0	155	301	0	942	101	0	0	0	0	0	0	0	0
H3c4	99.933333	0	0	0	0	794	564	141	0	0	0	0	0	0	0	0	0
H2bc8	99.933333	0	0	0	0	794	564	141	0	0	0	0	0	0	0	0	0
H2bc7	99.933333	0	0	0	0	794	564	141	0	0	0	0	0	0	0	0	0
H2ac8	99.933333	0	0	0	0	794	564	141	0	0	0	0	0	0	0	0	0
H2ac7	99.933333	0	0	0	0	794	564	141	0	0	0	0	0	0	0	0	0
Dcaf17	99.933333	0	0	0	155	301	0	942	101	0	0	0	0	0	0	0	0
Tnfrsf13b	99.866667	0	0	131	165	124	0	1078	0	0	0	0	0	0	0	0	0
Pld4	99.866667	0	0	0	0	0	0	949	0	0	0	0	0	549	0	0	0
Gde1	99.866667	0	0	0	0	238	0	900	0	0	0	0	120	240	0	0	0
Casp6	99.866667	0	0	0	0	0	0	1201	157	0	0	0	140	0	0	0	0
Tnfrsf19	99.8	0	0	0	0	162	0	1335	0	0	0	0	0	0	0	0	0
Tmem43	99.8	0	0	124	0	0	0	930	0	119	0	0	0	324	0	0	0
Dgki	99.8	0	0	0	0	0	0	1497	0	0	0	0	0	0	0	0	0
Chchd4	99.8	0	0	124	0	0	0	930	0	119	0	0	0	324	0	0	0
Pus3	99.733333	0	0	0	0	612	0	884	0	0	0	0	0	0	0	0	0
Ddx25	99.733333	0	0	0	0	612	0	884	0	0	0	0	0	0	0	0	0
Mak16	99.666667	0	0	60	0	0	0	686	176	156	0	103	122	192	0	0	0
Rhbdd3	99.6	0	0	0	0	0	0	1260	0	0	0	0	0	234	0	0	0
Kcnn1	99.6	0	0	0	0	0	0	1260	0	0	0	0	0	234	0	0	0
Irgq	99.6	0	0	0	0	151	0	645	89	97	0	0	0	512	0	0	0
Ewsr1	99.6	0	0	0	0	0	0	1260	0	0	0	0	0	234	0	0	0
Pou2f2	99.533333	0	0	156	134	0	0	939	0	0	0	0	0	264	0	0	0
