Target_genes	Fosl2|Average	SRX515671|3T3-L1	SRX520195|3T3-L1	SRX17156736|Bone_Marrow_Cells	SRX17156737|Bone_Marrow_Cells	SRX17156738|Bone_Marrow_Cells	SRX17156739|Bone_Marrow_Cells	SRX216284|Embryonic_brains	SRX216285|Embryonic_brains	SRX22541704|Macrophages	SRX22541705|Macrophages	SRX22541706|Macrophages	SRX22541707|Macrophages	SRX1839221|MEF	SRX1839222|MEF	SRX1839223|MEF	SRX1839224|MEF	SRX187213|Th0	SRX187214|Th17_Cells	SRX187215|Th17_Cells	STRING
Hibch	94.052632	0	0	0	0	144	162	70	0	206	199	0	91	0	0	0	0	97	351	467	0
Tsg101	94.0	0	0	0	0	477	350	158	188	0	0	0	0	0	0	0	0	0	317	296	0
Hexa	94.0	156	0	0	0	112	99	203	208	149	153	0	124	96	0	0	137	0	0	349	0
Fam160a2	94.0	0	0	0	0	125	132	0	0	116	135	0	288	0	0	0	0	162	304	524	0
Rhbdd3	93.947368	0	0	0	0	0	0	486	241	125	0	0	0	0	0	0	0	0	389	544	0
Prss35	93.947368	362	116	0	0	104	0	191	153	0	0	0	0	0	143	0	203	0	178	335	0
Ewsr1	93.947368	0	0	0	0	0	0	486	241	125	0	0	0	0	0	0	0	0	389	544	0
Mrpl16	93.842105	338	231	0	0	0	0	275	220	0	0	0	71	0	0	0	0	0	304	344	0
Fam240a	93.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	613	890	0
Smo	93.789474	0	0	0	0	246	198	0	0	0	0	0	0	0	0	0	0	0	617	721	0
Fam227b	93.789474	373	0	0	0	211	0	0	131	93	0	0	194	0	0	0	0	0	217	563	0
Dtwd1	93.789474	373	0	0	0	211	0	0	131	93	0	0	194	0	0	0	0	0	217	563	0
Tgfbr3	93.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	552	811	0
Pqlc3	93.736842	0	0	0	0	275	0	466	278	0	0	0	0	0	0	0	195	0	219	348	0
F2r	93.736842	0	0	0	0	104	0	406	110	0	0	0	0	191	0	0	237	0	300	433	0
Ccdc9	93.736842	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	143	193	625	627	0
Shld1	93.684211	0	0	0	0	0	0	0	0	0	152	0	157	0	0	0	0	209	479	783	0
Atp6v0d1	93.684211	0	0	0	0	0	0	391	283	147	238	0	100	0	0	0	0	0	254	367	0
Rrs1	93.631579	0	0	0	0	0	0	342	436	0	0	0	142	0	0	0	0	135	339	385	0
Pcdhgc5	93.631579	0	0	0	0	0	145	206	0	0	0	0	0	0	0	0	200	311	407	510	0
Fbxo16	93.631579	0	0	0	0	707	432	306	0	0	0	0	0	0	0	0	178	156	0	0	0
Adhfe1	93.631579	0	0	0	0	0	0	342	436	0	0	0	142	0	0	0	0	135	339	385	0
Kcnn1	93.526316	0	0	0	0	227	137	0	0	202	226	0	300	0	0	0	0	310	136	239	0
2610524H06Rik	93.526316	0	0	0	0	358	259	0	0	475	298	0	387	0	0	0	0	0	0	0	0
Il1a	93.473684	0	0	0	0	253	322	0	0	176	272	134	619	0	0	0	0	0	0	0	0
Foxo1	93.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	534	917	0
Gm5861	93.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	780	869	0
Coro7	93.421053	0	0	0	0	264	305	0	0	0	0	0	426	0	0	0	0	159	312	309	0
Zfp119b	93.368421	0	0	0	0	0	0	259	283	160	149	0	514	0	0	0	0	0	150	259	0
Slc6a8	93.368421	0	0	0	0	155	0	246	573	166	0	0	445	0	0	0	189	0	0	0	0
Oxr1	93.368421	0	0	0	0	368	224	0	0	0	186	0	249	0	0	0	0	124	375	248	0
Borcs6	93.368421	0	0	0	0	122	0	392	334	0	0	0	0	0	0	0	158	126	292	350	0
4933402N22Rik	93.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	685	876	0
H3c15	93.315789	0	0	0	0	144	271	0	0	219	318	0	389	0	0	0	0	80	194	158	0
H3c14	93.315789	0	0	0	0	144	271	0	0	219	318	0	389	0	0	0	0	80	194	158	0
H2ac19	93.315789	0	0	0	0	144	271	0	0	219	318	0	389	0	0	0	0	80	194	158	0
H2ac18	93.315789	0	0	0	0	144	271	0	0	219	318	0	389	0	0	0	0	80	194	158	0
Zfand2a	93.263158	148	0	0	0	0	0	374	507	0	112	0	0	0	156	0	111	0	202	162	0
Srsf3	93.263158	0	0	0	0	0	0	397	241	0	99	0	0	0	0	0	0	215	386	434	0
Ppp1r13l	93.263158	0	0	0	0	0	0	569	493	0	0	0	0	342	209	0	159	0	0	0	0
Pmaip1	93.263158	0	0	0	0	265	264	0	0	0	0	0	0	0	0	0	0	0	478	765	0
Gpc6	93.263158	0	0	0	0	0	0	385	303	0	0	0	0	537	270	0	277	0	0	0	0
Cd3eap	93.263158	0	0	0	0	0	0	569	493	0	0	0	0	342	209	0	159	0	0	0	0
Schip1	93.210526	0	0	0	0	290	282	214	344	0	0	0	0	164	239	0	238	0	0	0	0
Retreg2	93.210526	0	0	0	0	638	432	0	186	0	0	0	0	0	0	0	0	0	192	323	0
Pym1	93.210526	0	0	0	0	0	0	151	288	0	0	0	0	0	0	0	0	325	422	585	0
Dgka	93.210526	0	0	0	0	0	0	151	288	0	0	0	0	0	0	0	0	325	422	585	0
Cnppd1	93.210526	0	0	0	0	638	432	0	186	0	0	0	0	0	0	0	0	0	192	323	0
Hoga1	93.105263	0	0	0	0	845	746	178	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep120	93.105263	0	0	0	0	138	197	153	135	98	107	0	0	0	0	0	0	0	527	414	0
Herc4	93.052632	0	0	0	0	0	0	291	165	0	214	0	225	133	0	0	159	136	210	235	0
Tatdn2	93.0	143	0	0	0	0	0	0	0	222	178	0	391	0	0	0	283	0	177	373	0
Olfr1385	93.0	0	0	0	0	433	224	0	402	0	0	0	0	0	0	0	0	0	339	369	0
Klrg2	93.0	0	0	0	0	0	0	497	758	0	0	0	197	0	0	0	0	0	144	171	0
Cd300e	92.947368	0	0	0	0	0	0	0	0	510	407	122	727	0	0	0	0	0	0	0	0
Vps33b	92.894737	0	0	0	0	731	454	0	0	0	307	0	160	0	0	0	0	0	0	113	0
Slx4	92.894737	0	0	0	0	169	0	80	0	114	128	0	109	0	0	0	200	0	357	608	0
Osgin2	92.894737	0	0	0	0	306	131	0	0	0	0	0	416	0	0	0	0	0	417	495	0
Trim11	92.842105	0	0	0	0	0	116	0	263	0	0	0	0	0	0	0	0	240	641	504	0
Map2k1	92.789474	0	0	0	0	0	123	327	241	0	0	0	0	166	0	0	244	0	352	310	0
Siva1	92.736842	0	0	0	0	0	0	569	268	0	0	0	0	0	0	0	136	408	163	218	0
Nox1	92.736842	0	0	0	0	669	382	0	0	136	201	92	282	0	0	0	0	0	0	0	0
Stat5b	92.684211	0	0	0	0	0	0	181	0	199	204	0	194	0	0	0	0	0	400	583	0
Rgl1	92.684211	0	0	0	0	293	173	342	0	126	136	0	305	0	0	0	0	0	167	219	0
Mat2a	92.684211	176	0	0	0	0	0	307	659	0	0	0	108	0	0	0	0	0	292	219	0
Caprin2	92.684211	0	0	0	0	139	0	241	302	0	0	0	0	0	0	0	157	0	398	524	0
Ube2v1	92.631579	166	0	0	0	0	0	161	238	67	0	0	213	0	0	0	0	0	395	520	0
Tmem200b	92.578947	0	0	0	0	0	0	292	378	0	0	0	0	271	201	163	304	0	150	0	0
Pter	92.526316	0	0	0	0	608	571	0	579	0	0	0	0	0	0	0	0	0	0	0	0
Fbrs	92.526316	0	0	0	0	0	0	0	0	0	152	0	430	0	0	0	0	118	456	602	0
Cd4	92.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	646	863	0
Trim25	92.473684	0	0	0	0	173	185	0	201	170	161	153	418	0	0	0	200	0	0	96	0
Thap12	92.473684	0	0	0	0	0	0	0	141	0	0	0	418	0	0	0	145	0	465	588	0
Aarsd1	92.473684	0	0	0	0	415	433	212	154	0	0	0	0	138	0	223	182	0	0	0	0
BC028528	92.421053	0	0	0	0	287	412	0	0	176	250	0	631	0	0	0	0	0	0	0	0
Aph1a	92.421053	0	0	0	0	287	412	0	0	176	250	0	631	0	0	0	0	0	0	0	0
Setd1a	92.315789	144	0	0	0	0	175	345	641	0	0	0	0	0	0	0	0	0	203	246	0
Orai3	92.315789	144	0	0	0	0	175	345	641	0	0	0	0	0	0	0	0	0	203	246	0
Kdm5c	92.315789	0	0	0	0	195	232	359	405	0	105	0	136	0	0	0	0	0	0	322	0
Bcar3	92.315789	591	0	0	0	339	149	0	401	0	0	0	0	0	0	0	128	0	0	146	0
Slc48a1	92.263158	0	0	0	0	211	181	209	441	0	97	0	146	0	0	0	182	0	123	163	0
Kif2a	92.263158	0	0	0	0	322	259	133	133	0	0	0	0	0	0	0	235	0	306	365	0
Lipn	92.210526	0	0	0	0	354	416	0	0	237	295	83	367	0	0	0	0	0	0	0	0
Erich1	92.210526	0	0	0	0	130	0	0	0	120	0	0	308	0	0	0	0	0	536	658	0
Eif3b	92.210526	0	0	0	0	0	0	0	0	259	205	123	456	0	0	148	167	0	227	167	0
Ccdc102a	92.210526	0	0	0	0	0	0	0	623	0	0	0	0	255	113	267	494	0	0	0	0
Serinc4	92.157895	0	0	0	0	0	0	944	510	0	132	0	0	165	0	0	0	0	0	0	0
Hypk	92.157895	0	0	0	0	0	0	944	510	0	132	0	0	165	0	0	0	0	0	0	0
Epha2	92.157895	0	0	0	0	0	0	249	334	0	0	0	0	89	0	0	151	0	347	581	0
Parp16	92.105263	0	0	0	0	405	410	0	0	93	0	0	0	0	0	0	0	210	290	342	0
Creld2	92.105263	0	0	0	0	301	462	0	109	143	105	0	311	0	0	0	0	0	137	182	0
Alg12	92.105263	0	0	0	0	301	462	0	109	143	105	0	311	0	0	0	0	0	137	182	0
Adgre1	92.052632	0	0	0	0	0	0	0	0	227	221	370	931	0	0	0	0	0	0	0	0
Abcg2	92.052632	555	0	0	0	0	0	448	321	0	0	0	0	253	172	0	0	0	0	0	0
Zfx	92.0	0	0	0	0	178	268	585	526	0	0	0	191	0	0	0	0	0	0	0	0
Aadacl2fm1	92.0	0	0	0	0	0	0	216	246	0	0	0	0	0	0	0	0	459	505	322	0
Rasa2	91.947368	0	0	0	0	339	279	274	0	0	0	0	0	0	0	0	0	0	356	499	0
Scel	91.894737	0	0	0	0	130	0	216	335	200	214	0	120	0	0	0	126	0	238	167	0
Epyc	91.789474	231	0	0	0	0	0	201	1312	0	0	0	0	0	0	0	0	0	0	0	0
Trmt12	91.736842	220	0	0	0	0	0	904	416	0	97	0	106	0	0	0	0	0	0	0	0
Olfr1382	91.736842	0	0	0	0	0	0	520	814	0	0	0	0	185	0	103	121	0	0	0	0
Nutf2	91.736842	0	0	0	0	409	450	348	134	0	0	0	0	0	0	0	255	0	147	0	0
Tafa2	91.684211	0	0	0	0	0	0	479	435	0	0	0	0	326	0	213	289	0	0	0	0
Rhoh	91.684211	0	0	0	0	0	0	0	0	390	522	0	272	0	0	0	0	0	289	269	0
Me2	91.684211	0	0	0	0	162	211	0	0	0	170	0	157	0	0	0	200	0	328	514	0
Mad1l1	91.631579	0	0	0	0	362	323	248	534	0	0	0	0	0	0	0	126	0	89	59	0
Cst7	91.631579	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	192	390	864	0
Cd300ld3	91.631579	0	0	0	0	0	0	0	0	397	382	154	808	0	0	0	0	0	0	0	0
Ankrd44	91.631579	0	0	0	0	0	0	235	0	0	0	0	190	160	0	0	0	168	503	485	0
Zfp276	91.526316	0	0	0	0	368	236	0	0	192	0	155	788	0	0	0	0	0	0	0	0
Vps9d1	91.526316	0	0	0	0	368	236	0	0	192	0	155	788	0	0	0	0	0	0	0	0
Rit1	91.473684	0	0	0	0	0	0	330	416	0	0	0	264	136	149	0	178	0	0	265	0
Akap7	91.473684	0	0	0	0	414	294	0	0	0	0	0	0	0	0	0	0	0	385	645	0
Tmem104	91.421053	0	0	0	0	327	167	0	0	241	294	0	708	0	0	0	0	0	0	0	0
Nat9	91.421053	0	0	0	0	327	167	0	0	241	294	0	708	0	0	0	0	0	0	0	0
Ankrd45	91.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	535	858	0
Wdfy3	91.315789	0	0	0	0	282	331	0	0	268	242	105	373	0	0	0	0	0	134	0	0
Natd1	91.315789	0	0	0	0	273	224	212	253	0	0	0	133	0	0	0	0	0	177	463	0
Irf1	91.315789	0	0	0	0	0	0	0	0	228	125	102	254	0	0	0	0	0	604	422	0
Ctdsp1	91.315789	290	0	0	0	0	0	310	358	108	137	0	0	164	0	0	0	0	141	227	0
Tecpr2	91.263158	0	0	0	0	0	0	306	212	0	0	99	419	0	0	0	0	0	316	382	0
Cinp	91.263158	0	0	0	0	0	0	306	212	0	0	99	419	0	0	0	0	0	316	382	0
Taok3	91.210526	0	0	0	0	204	212	166	287	0	0	0	207	0	0	0	164	0	250	243	0
Trim59	91.157895	0	0	0	0	215	137	600	219	0	0	0	0	214	0	153	194	0	0	0	0
Cers6	91.157895	0	0	0	0	0	270	107	153	123	0	0	0	0	0	0	0	0	421	658	0
Adh7	91.157895	515	0	0	0	0	0	172	660	0	0	0	0	268	117	0	0	0	0	0	0
Zfp655	91.105263	168	0	0	0	213	299	0	0	0	125	0	0	0	0	0	0	0	365	561	0
Gng7	91.052632	175	0	0	0	0	0	385	512	0	0	0	0	0	0	0	0	0	371	287	0
Dnajc25	91.052632	0	0	0	0	0	0	434	458	0	0	0	0	0	0	0	130	0	414	294	0
1810037I17Rik	90.947368	0	0	0	0	299	306	0	0	0	0	0	0	0	0	0	0	0	541	582	0
Zfyve27	90.842105	102	0	0	0	0	0	356	466	111	0	0	179	0	0	0	122	0	208	182	0
Cldn12	90.842105	0	0	0	0	122	0	1000	0	0	0	0	0	232	135	0	237	0	0	0	0
Cga	90.789474	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	128	573	894	0
Ncf4	90.736842	0	0	0	0	175	242	0	0	366	203	225	513	0	0	0	0	0	0	0	0
F5	90.736842	0	0	0	0	691	542	0	0	0	139	0	352	0	0	0	0	0	0	0	0
Cass4	90.736842	0	0	0	0	193	176	0	0	0	0	0	0	0	0	0	0	0	569	786	0
Zc3h10	90.684211	0	0	0	0	0	0	273	357	221	191	0	249	0	0	0	192	0	0	240	0
Sdccag8	90.684211	138	0	0	0	260	225	148	261	215	111	0	210	0	0	0	0	0	0	155	0
Rpl41	90.684211	0	0	0	0	0	0	273	357	221	191	0	249	0	0	0	192	0	0	240	0
Vmn1r61	90.631579	121	0	0	0	0	0	612	989	0	0	0	0	0	0	0	0	0	0	0	0
Dlgap2	90.631579	0	0	0	0	0	0	0	0	0	0	0	308	193	0	0	161	0	536	524	0
Tnks1bp1	90.578947	196	0	0	0	164	232	0	120	101	128	0	291	0	0	0	0	0	225	264	0
Gmeb1	90.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785	935	0
Abca1	90.526316	0	0	0	0	193	124	0	0	396	398	129	480	0	0	0	0	0	0	0	0
Zdhhc12	90.421053	0	0	0	0	163	0	199	366	148	131	0	219	0	0	0	0	0	214	278	0
Ptprr	90.368421	0	0	0	0	179	0	665	317	0	0	0	0	0	0	0	0	0	195	361	0
Lonp2	90.368421	0	0	0	0	500	448	169	0	0	0	0	165	0	0	0	0	0	150	285	0
Raph1	90.315789	0	0	0	0	624	583	0	0	0	0	0	0	0	0	0	0	0	210	299	0
Hkdc1	90.315789	134	0	0	0	377	316	577	140	0	0	0	172	0	0	0	0	0	0	0	0
Slc25a13	90.263158	0	0	0	0	385	248	280	241	151	142	0	176	0	0	0	0	0	0	92	0
Pdcd6	90.263158	0	0	0	0	0	0	450	380	0	0	0	254	0	0	0	0	0	318	313	0
Btg1	90.263158	0	0	0	0	0	129	180	397	113	118	0	166	0	0	0	0	0	277	335	0
Snapc5	90.157895	0	0	0	0	0	0	240	395	108	0	0	0	0	0	0	303	120	211	336	0
Tma7-ps	90.105263	0	0	0	0	335	311	0	0	166	213	0	687	0	0	0	0	0	0	0	0
Rhbdf1	90.105263	0	0	0	0	0	0	266	227	0	191	0	0	353	360	0	315	0	0	0	0
Polr2f	90.105263	0	0	0	0	213	203	0	0	0	0	0	0	0	0	0	166	205	345	580	0
Dlx4	90.105263	0	0	0	0	0	0	294	427	0	0	0	0	0	0	0	0	0	291	700	0
Cd8b1	90.105263	0	0	0	0	0	0	0	0	0	0	201	345	0	0	0	0	194	458	514	0
1700088E04Rik	90.105263	0	0	0	0	213	203	0	0	0	0	0	0	0	0	0	166	205	345	580	0
Xirp1	90.052632	365	0	0	0	158	152	420	250	0	0	0	184	182	0	0	0	0	0	0	0
Spata22	90.052632	0	0	0	0	975	599	0	137	0	0	0	0	0	0	0	0	0	0	0	0
Tmem268	90.0	0	0	0	0	0	0	206	318	0	0	0	0	0	0	0	0	258	429	499	0
Capn3	89.947368	0	0	0	0	865	594	0	0	153	0	0	97	0	0	0	0	0	0	0	0
Cacnb1	89.947368	129	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	144	552	489	0
Sgsm3	89.894737	0	0	0	0	574	635	183	0	0	0	0	0	0	0	0	0	0	130	186	0
P2ry6	89.894737	0	0	0	0	206	159	0	0	326	362	0	655	0	0	0	0	0	0	0	0
Mien1	89.894737	0	0	0	0	0	0	341	375	0	0	0	0	0	0	0	146	0	350	496	0
Setdb1	89.842105	0	0	0	0	194	218	0	0	0	181	0	129	0	0	0	0	130	453	402	0
Spem2	89.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	620	733	0
Snx32	89.789474	0	0	0	0	0	0	0	0	0	0	228	918	0	0	0	0	327	0	233	0
Gm39566	89.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	620	733	0
Zfp326	89.736842	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	161	141	497	682	0
Tmprss9	89.736842	0	0	0	0	426	483	0	0	0	0	0	420	0	0	0	0	0	135	241	0
Mmp8	89.736842	0	0	0	0	192	239	0	0	0	159	0	216	0	0	0	0	0	323	576	0
Mylk	89.684211	0	0	0	0	0	0	1117	390	0	0	0	0	197	0	0	0	0	0	0	0
Zscan20	89.526316	181	0	0	0	0	0	295	548	0	98	0	0	140	141	0	0	0	155	143	0
Tcp11l2	89.526316	0	0	0	0	401	174	0	194	217	309	0	406	0	0	0	0	0	0	0	0
Olfr266	89.526316	0	0	0	0	326	509	0	0	0	0	0	0	0	0	0	0	0	353	513	0
Fpgs	89.526316	301	0	0	0	0	0	183	328	0	0	0	0	0	0	0	0	0	451	438	0
Epb41l2	89.526316	0	0	0	0	419	292	0	0	0	137	228	488	0	0	0	0	0	0	137	0
Slc1a4	89.473684	0	0	0	0	187	121	0	190	0	0	0	0	0	160	0	327	0	312	403	0
Ptn	89.473684	0	0	0	0	0	0	465	686	0	0	0	0	178	219	0	152	0	0	0	0
Kdm3b	89.473684	0	0	0	0	0	0	0	147	0	0	0	109	0	0	0	0	225	550	669	0
Clec2d	89.473684	0	0	0	0	0	0	0	93	186	268	0	489	0	0	0	0	0	251	413	0
S100a6	89.421053	0	0	0	0	0	153	529	637	0	0	0	154	108	0	0	0	0	118	0	0
Mfhas1	89.421053	96	0	0	0	178	175	291	394	0	0	0	0	162	0	0	216	0	0	187	0
Il27	89.421053	0	0	0	0	317	0	0	0	0	0	0	556	0	0	0	0	227	225	374	0
H2-Q8	89.368421	0	0	0	0	139	198	0	0	0	0	0	320	0	0	0	0	243	279	519	0
H2-Q6	89.368421	0	0	0	0	139	198	0	0	0	0	0	320	0	0	0	0	243	279	519	0
Cd52	89.368421	0	0	0	0	165	141	191	0	164	139	156	276	0	0	0	0	0	223	243	0
Mpg	89.315789	0	0	0	0	0	0	251	227	0	191	0	0	353	360	0	315	0	0	0	0
Agtpbp1	89.315789	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	632	676	0
Tpp2	89.263158	0	0	0	0	0	0	666	483	0	0	0	99	0	0	0	224	0	0	224	0
Prmt9	89.263158	0	0	0	0	0	0	313	700	0	0	0	0	191	149	0	0	0	142	201	0
Impact	89.263158	0	0	0	0	111	0	203	420	0	0	0	0	66	142	0	169	0	262	323	0
Cldn13	89.263158	159	0	0	0	211	93	253	605	0	0	0	0	0	0	0	157	0	103	115	0
Kdm5b	89.210526	0	0	0	0	0	102	191	261	0	0	0	0	0	0	0	177	0	371	593	0
Dhdh	89.157895	0	0	0	0	0	0	0	559	0	185	0	0	0	0	0	222	0	263	465	0
Cdca3	89.157895	0	0	0	0	119	196	121	112	340	322	0	350	0	0	0	0	0	0	134	0
2300009A05Rik	89.105263	0	0	0	0	0	0	365	384	0	0	0	361	0	0	91	157	0	185	150	0
Sirpa	89.0	0	0	0	0	242	235	0	0	455	386	0	373	0	0	0	0	0	0	0	0
Colq	88.947368	0	0	0	0	453	361	0	140	100	243	174	219	0	0	0	0	0	0	0	0
Pi4k2a	88.894737	0	0	0	0	395	225	0	0	191	83	0	216	0	0	0	0	0	270	309	0
Clint1	88.894737	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	210	458	840	0
Ankrd13b	88.894737	0	0	0	0	0	0	190	116	0	0	0	0	205	216	0	166	148	251	397	0
Sike1	88.789474	0	0	0	0	276	162	155	298	0	0	0	0	274	140	101	281	0	0	0	0
Ly6l	88.789474	0	0	0	0	0	0	1096	591	0	0	0	0	0	0	0	0	0	0	0	0
Fbln2	88.789474	0	0	0	0	0	0	346	682	0	0	0	0	241	0	0	418	0	0	0	0
Adi1	88.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	824	750	0
Pgghg	88.631579	0	0	0	0	86	0	0	0	334	370	118	776	0	0	0	0	0	0	0	0
Mydgf	88.631579	0	0	0	0	0	0	387	477	0	0	0	0	0	0	0	0	230	275	315	0
Rhobtb3	88.578947	0	0	0	0	0	0	197	339	0	0	0	0	173	168	0	0	0	350	456	0
Fitm2	88.578947	261	0	0	0	0	0	426	394	157	91	0	0	0	0	0	0	0	139	215	0
Ccdc15	88.578947	0	0	0	0	127	248	201	129	152	0	0	0	0	0	0	0	0	329	497	0
Ube4b	88.526316	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	639	843	0
Selenok	88.473684	132	0	0	0	249	216	134	188	138	0	0	174	0	0	0	0	0	212	238	0
Rgsl1	88.473684	0	0	0	0	229	275	0	263	0	0	0	0	0	0	0	191	0	308	415	0
Ranbp9	88.473684	105	0	0	0	0	0	262	370	169	146	0	100	0	0	0	0	0	196	333	0
Cfap53	88.473684	0	0	0	0	174	0	266	0	0	0	0	0	148	0	0	206	0	359	528	0
Rpl21	88.421053	0	0	0	0	250	124	0	0	0	0	0	113	0	0	0	0	233	389	571	0
Gm1123	88.368421	0	0	0	0	882	797	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccni	88.368421	0	0	0	0	99	256	0	0	0	0	0	0	0	0	0	104	171	484	565	0
2010109A12Rik	88.368421	0	0	0	0	99	256	0	0	0	0	0	0	0	0	0	104	171	484	565	0
Psmd12	88.263158	0	0	0	0	0	0	370	253	0	0	0	134	0	0	0	239	0	368	313	0
Mpzl3	88.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745	932	0
Gnl2	88.263158	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	209	191	418	718	0
Adcy6	88.210526	0	0	0	0	0	0	506	383	0	0	0	0	337	141	0	309	0	0	0	0
Hsp90ab1	88.105263	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	182	147	512	733	0
Gucy1a1	88.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	511	869	0
Nans	88.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	559	881	0
Cox18	88.0	0	0	0	0	278	216	219	133	162	218	0	189	0	0	0	0	0	118	139	0
Zfp36l1	87.947368	203	0	0	0	136	0	216	212	0	0	0	0	0	0	0	0	205	273	426	0
Stambp	87.947368	0	0	0	0	0	0	105	226	0	0	0	142	0	0	0	0	457	365	376	0
Ptprj	87.947368	0	0	0	0	0	0	166	0	178	162	214	496	0	0	0	0	0	265	190	0
Iffo2	87.947368	0	0	0	0	0	0	432	414	78	124	0	0	121	0	0	97	0	195	210	0
Nfkbid	87.894737	0	0	0	0	0	0	0	0	145	148	0	120	0	0	123	194	0	369	571	0
Hcst	87.894737	0	0	0	0	0	0	0	0	145	148	0	120	0	0	123	194	0	369	571	0
Tmem204	87.842105	0	0	0	0	534	446	380	157	0	0	0	0	0	0	0	152	0	0	0	0
Sypl	87.842105	130	0	0	0	320	227	139	322	0	0	0	0	0	0	0	0	0	208	323	0
Gnb4	87.842105	0	0	0	0	142	181	0	324	0	0	0	217	0	0	0	0	0	422	383	0
Anxa8	87.842105	0	0	0	0	295	155	376	400	0	0	0	0	158	0	0	285	0	0	0	0
Rpl27	87.736842	144	0	0	0	0	0	136	240	102	172	101	232	0	0	0	0	0	294	246	0
Rab20	87.736842	0	0	0	0	158	0	0	0	232	375	102	398	0	0	0	102	0	77	223	0
Naa15	87.736842	0	0	0	0	0	0	171	108	0	121	0	0	0	0	0	94	153	525	495	0
Tiam2	87.684211	0	0	0	0	535	290	225	616	0	0	0	0	0	0	0	0	0	0	0	0
Gbp9	87.684211	0	0	0	0	0	0	341	517	0	0	0	250	0	0	0	0	153	150	255	0
Ccdc88c	87.684211	0	0	0	0	0	0	568	584	0	0	0	0	0	170	122	222	0	0	0	0
Rab19	87.631579	0	0	0	0	0	0	0	0	218	256	0	160	0	0	0	0	124	386	521	0
Sdhaf4	87.578947	0	0	0	0	710	563	0	0	0	0	0	0	0	0	0	0	0	232	159	0
Mfsd14a	87.526316	0	0	0	0	0	0	233	242	0	0	0	98	0	0	0	143	139	334	474	0
E2f6	87.526316	0	0	0	0	0	0	81	118	0	0	0	0	241	267	150	258	0	174	374	0
Lgi3	87.421053	355	0	0	0	0	0	256	351	0	0	0	0	0	0	113	261	179	0	146	0
S100a7a	87.368421	0	0	0	0	502	203	552	203	0	0	0	0	0	0	0	200	0	0	0	0
Nedd4	87.368421	0	0	0	0	380	209	0	140	159	261	0	311	0	0	0	0	0	0	200	0
4930432M17Rik	87.315789	0	0	0	0	362	273	331	211	0	0	0	0	0	0	0	160	0	129	193	0
Scn10a	87.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	737	921	0
Mamstr	87.263158	0	0	0	0	119	243	164	0	207	165	0	290	142	328	0	0	0	0	0	0
Cfap97d2	87.210526	0	0	0	0	0	0	927	730	0	0	0	0	0	0	0	0	0	0	0	0
Ccnb1	87.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	984	0
Orm1	87.157895	347	0	0	0	148	146	272	361	0	0	0	112	0	0	0	0	0	155	115	0
Nup35	87.157895	0	0	0	0	269	315	0	0	0	0	0	0	0	0	0	0	189	433	450	0
Nhsl1	87.157895	0	0	0	0	0	0	724	176	0	0	0	164	0	0	0	0	0	252	340	0
Lyrm1	87.157895	0	0	0	0	0	0	146	222	326	325	118	424	0	0	0	0	0	0	95	0
Dcun1d3	87.157895	0	0	0	0	0	0	146	222	326	325	118	424	0	0	0	0	0	0	95	0
Sympk	87.052632	0	0	0	0	77	131	399	0	181	114	0	369	176	207	0	0	0	0	0	0
Foxa3	87.052632	0	0	0	0	77	131	399	0	181	114	0	369	176	207	0	0	0	0	0	0
Mapkapk2	87.0	0	0	0	0	192	289	0	0	0	0	0	137	0	0	0	0	0	504	531	0
Zfp322a	86.947368	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	278	579	613	0
