	source	target	weight	PMID
6909	Bhlhe41	Cyp51a1	1	15066123
6910	Bhlhe40	Cyp7a1	1	15066123
6911	Bhlhe41	Cyp7a1	1	15066123;17660447
6912	Dbp	Cyp7a1	1	15066123;17660447;8405996;8617210;9398001
6913	Tbr1	Grin2b	1	15066269;25309323
6914	Hnf1b	Pkhd1	1	15067314;15647252;16221171
6915	Hnf1a	Pkhd1	1	15067314
6916	Pparg	Bcl2	1	14960510;15067355;15094967;15878253;19956851
6917	Ppara	Agt	1	15067378;20613959
6918	Ppara	Ang	1	15067378
6919	Rela	Hsd17b1	-1	15072545
6920	Sp1	Cyp19a1	1	15072557;22315456;9865725
6921	Stat3	Cyp19a1	1	15072557
6922	Trerf1	Cyp17a1	1	15072559
6923	Gli3	Smo	1	15072830;24276242
6924	Mef2c	Bmp10	1	15073151;22996691
6925	Pparg	Insig1	1	15073165
6926	Tead4	Vegfa	1	15073166;20702774;22761647
6927	Htatip2	Myc	1	15073177
6928	Htatip2	Esr1	1	15073177
6929	Fos	Acp5	1	15073183
6930	Fos	Nfatc1	1	15073183;23619911
6931	Ahr	Mmp1a	1	15075337;19755661
6932	Ezh2	Ccna2	1	15077161
6933	Ezh2	Rbl2	1	15077161
6934	Myc	Prkn	1	15078880;20638938;23277542
6935	Mycn	Prkn	-1	15078880
6936	Nfkb1	Il2	1	11035116;11145913;12027419;15079071;15477007;1604322;1707162;17491020;17641034;1777483;18207244;19968887;2848811;7623820;7730629;7744006;7957556;8254209;8383323;8814256;8834450;8977179;9111330;9135552;9233628;9737979
6937	Tp63	Lyn	1	1508184
6938	Myc	Csn2	1	1508191;17512931
6939	Jun	Mos	1	1508191
6940	Sox7	Fgf3	1	15082719
6941	Sox2	Fgf3	-1	15082719
6942	Mef2a	Sncg	1	15082771
6943	Sall2	Cdkn1a	1	15082782;19131967;21362508
6944	Junb	Mmp13	1	15084595
6945	Smad3	Mmp13	1	12270924;15084595;16407850
6946	Gli1	Ptch1	1	11719506;15087129;16571352;19860666;21076395
6947	Gli2	Ptch1	1	14691458;15087129;16571352;19574535;9636069
6948	Gli3	Ptch1	1	10077605;15087129;16571352;17419683;19860666;24276242;28533268
6949	Esr1	Pelp1	1	15087130;19605405
6950	Esr2	Pelp1	1	15087130
6951	Znf354c	Itgad	1	15087465
6952	Klf10	Itgad	1	15087465;15561714
6953	Tp53	Ppp1r13b	1	15090446;15731768
6954	Sp3	Reck	1	15093608;16377629
6955	Myc	Eif4e	1	12695333;14519204;15094771;16112647;18593934;22456335;24814906;8756633
6956	Tbx5	Tbx5	1	15095414
6957	Pax6	Ctcf	1	17122106
6958	Ctcf	Pax6	-1	15096508;15659382;16723452;17122106;18224715;21695148;22426149;24354619
6959	Ctcf	Mpz	1	15096508;15659382;17122106;21695148;22426149
6960	Pax6	Mpz	1	15096508;15659382;17122106;9847251
6961	Cebpb	Cd1d1	1	15100293;19592659
6962	Lef1	Cd1d1	-1	15100293;20363964
6963	Tp53	Cop1	1	15103385;15492238;15861129;19837670;21403399
6964	Otx2	Shh	1	11291866;15105370
6965	E2f1	Siva1	1	15105421
6966	Tp53	Siva1	1	15105421
6967	Myb	Dhrs2	1	15105423;20547751
6968	Mybl1	Dhrs2	1	15105423
6969	Smarca1	Plk1	1	15105433
6970	E2f4	Plk1	-1	15105433;17531812;17981789
6971	Pdx1	Glb1	1	15107297
6972	Runx2	Ihh	1	15107406;21328448
6973	Foxc1	Cnmd	1	15107420
6974	Sp3	Cnmd	1	15107420;17980151;20663886
6975	Mafk	Cdkn2c	1	15107819;17442339;17873901;21076412
6976	Runx2	Vegfa	1	15107836;16166639;19509297;19915614;21793044;22351759;22641097;22828990
6977	Dmtf1	Dmp1	1	15108359;15601844;16679514;16878159;17196192;21062982;22549196
6978	Cebpg	Apoa1	1	15109267;8175747
6979	Pax3	Reg1	1	15109306
6980	Atf4	Rps6ka3	1	15109498
6981	Foxo3	Fbxo32	1	15109499;15781459;17053067;18226221;18644837;21798082
6982	Otx2	Nppa	1	15110720
6983	Pax6	Otx2	1	15110720
6984	Otx2	Pax6	1	15110720;22085933
6985	Pax6	Nppa	1	15110720
6986	Sox1	Hes1	-1	15110721
6987	Cebpb	Cebpg	1	15110775
6988	Cebpa	Fabp4	1	15110775;15158467
6989	Mef2a	Mapk14	1	15111488;18073218;23137781
6990	Sp3	Kdr	1	15111490;16574784;16678129;18006642;9668119
6991	Pparg	Kdr	1	15111490
6992	Ahr	Cdkn2a	1	15111621;17070097
6993	Pgr	Crh	-1	15112058
6994	Sox17	Ache	1	15113840
6995	Sox17	Cryab	1	15113840
6996	Sox17	Hspb2	1	15113840
6997	Stat3	Mmp2	1	15116091;16540670;17533737;19082717;19284568;20069389;20482858;20939432;24287565
6998	Nfatc1	Bcl2	1	15117818
6999	Tfap2a	Wdtc1	1	15117841
7000	Sp1	Mier1	1	15117948
7001	Mycn	Nes	1	15117961
7002	Sp3	Sct	1	15118068
7003	Sp3	Neurod1	1	15118068
7004	Neurod1	Sp3	1	15118068
7005	Sp3	Tcf3	1	15118068
7006	Tcf3	Sp3	1	15118068
7007	Sp1	Sct	1	15118068;17875929
7008	Cebpa	Cps1	1	1511897;19272383;9774647
7009	Nr5a2	Abcg5	1	15121760
7010	Nr5a2	Abcg8	1	15121760
7011	Pdx1	Pcif1	1	15121856;20811152
7012	Mafb	Mapk1	1	15121870
7013	Ahr	Atm	1	15123621
7014	Ahr	Tnfrsf11a	1	15123621;18524851;8168101
7015	Gata1	Tac3	1	15123623
7016	Esr1	Tac3	1	14592957;15123623;24914937
7017	Stat2	Samhd1	1	15123634
7018	Srebf1	Nr0b2	1	15123650
7019	Srebf2	Nr0b2	1	15123650
7020	Srebf1	Cyp7a1	-1	15123650;16885156
7021	Runx1	Csf2	1	12475968;15123671;20439113;20506188;8545124;8876234
7022	Tp53	Prkaca	1	15123687
7023	Srebf1	Adh1	1	15123720
7024	Foxa2	Alas2	1	15123725
7025	Foxm1	Alas2	1	15123725
7026	Foxa2	Ins2	1	15123725;15790780;17471492;18847435
7027	Hoxb13	Ccnd1	-1	15126340
7028	Hoxb13	Myc	-1	15126340
7029	Sp2	Ceacam2	-1	15126343
7030	Sp2	Ceacam1	-1	15126343
7031	Tbx22	Ins2	-1	15126625
7032	Ppara	Retn	1	15130511
7033	Klf6	Fhit	1	15131018
7034	Klf6	Igf1r	1	15131018;18174288
7035	Tp53	Fhit	1	15131018;22467867
7036	Klf6	Insr	1	15131018;24281069
7037	Elf1	Cdkn1b	1	15131122;24104879
7038	Elf1	Rps6kb1	1	15131122
7039	Gfi1b	Gfi1	1	15131254;15718298;16177182
7040	Gfi1	Gfi1b	1	15131254;15718298;16177182;19522008
7041	Gfi1	Gfi1	1	15131254;15252036;17646546;20516218;21705494;22042697;24018353;24023884
7042	Ppara	Ppara	1	11981036;15131257
7043	Dlx3	Hsd3b3	1	15131259
7044	Dlx3	Hsd3b2	1	15131259
7045	Dlx3	Hsd3b6	1	15131259
7046	Tfap2c	Hsd3b3	1	15131259
7047	Tfap2c	Hsd3b2	1	15131259
7048	Tfap2c	Hsd3b6	1	15131259
7049	Tfap2c	Hsd3b1	1	15131259
7050	Ar	Lats2	1	15131260
7051	Pax3	Fcgrt	1	15132949
7052	Tp53	Cxcl1	1	15132979
7053	Ar	Scap	1	15133039
7054	Sp1	Nes	1	15135078;19245830
7055	Sp3	Nes	1	15135078
7056	Ar	Ngf	1	15135217
7057	Cebpd	Ngf	1	15135217;16632469;9724805
7058	Creb1	Ngf	1	15135217
7059	Tp53	Ankrd2	1	15136035;22016770
7060	Runx2	Fgf3	1	15136142
7061	Pbx1	Rhd	1	15138251
7062	Etv4	Cav1	1	15138262;17390339;19483189
7063	Etv5	Cav1	1	15138262;17390339
7064	Tcf3	Cdkn2a	1	15138269;20194619
7065	Hand2	Cops5	1	15139020
7066	Sp1	Phgdh	1	15139021;15364550;18378410;7592774
7067	Nfat5	Slc6a6	1	15142033
7068	Usf1	Ghrl	1	15142980;15604212
7069	Ar	Hsd17b1	1	15142992
7070	Stat3	Pcdh8	1	15143062;17726017
7071	Ncoa1	Cyp7a1	1	15143151;16891307
7072	Smarca1	Pparg	1	15143161
7073	Nr3c1	Tlr2	1	15143169
7074	Ctcf	Igf2	-1	12960026;15143173;18458536;20639793;20838620;20966046;21536749;21812971;23962719;24725430
7075	Pax6	Ipo13	1	15143176
7076	Crx	Ipo13	1	15143176
7077	Pax3	Ipo13	1	15143176
7078	Egr1	Osm	1	15144614;19032775
7079	Arnt	Cyp1a2	1	15144902;15664428
7080	Abl1	Jun	1	15145216;19357699
7081	Jun	Abl1	1	15145216;9746785
7082	Jun	Bcr	1	15145216;9746785
7083	Irf9	Oas1a	1	15145216
7084	Esr1	Serpinb5	1	15145521
7085	Ncoa3	Fcer1g	1	15145939
7086	Bhlhe41	Bhlhe41	1	15147242;24165159
7087	Bmal2	Bhlhe41	1	15147242;16685415
7088	Nr3c1	Chrna7	1	15147903
7089	Hnf1a	Agt	1	1515023;17475670;20978123
7090	Cebpa	Ephx1	1	15150264
7091	Cebpa	Nfya	1	15150264
7092	Rela	Sirt1	1	15152190;20617556;24064732
7093	Prdm1	Cd40	1	15152264
7094	Egr1	Icam1	1	15155664;8666932;8773576
7095	Fos	Rela	1	16818736
7096	Rela	Fos	1	15155743
7097	Nr4a1	Nr0b1	1	15155786
7098	Nr0b1	Nr4a1	-1	15155786
7099	Ncoa1	Nr4a1	1	15155786
7100	Nr1i3	Cyp2c38	1	15155833;15933212
7101	Nr1i3	Cyp2c39	1	15155833;15933212
7102	Nr1i3	Cyp2c29	1	15155833;15933212
7103	Epas1	Egln3	1	15156561;20061373
7104	Hif1a	Egln3	1	15156561;15823097;19828020;20727020;22555025
7105	Pparg	C1qtnf3	1	15157741
7106	Sp1	C1qtnf3	1	15157741
7107	Pou1f1	C1qtnf3	1	15157741
7108	Nr2f2	Pygm	1	15157742
7109	Fos	Npy	1	15157984;8036020
7110	Tbx3	Gja5	-1	15158141;18467625
7111	Nkx2-5	Gja5	1	15158141;15537493;15649947
7112	Tbx3	Nppa	-1	15158141;18444963
7113	Tbx5	Gja5	1	15158141;15537493;18451335
7114	Sp1	Fgf2	1	15158147;19302822
7115	Ssrp1	Faslg	1	15160330
7116	Pax6	Igbp1	1	15161828
7117	Pax6	Cryaa	1	15161860;15558475;16023139;16675956;21092858;7753864
7118	Kat7	Ins2	1	15166251
7119	Esr1	Mta3	1	15169784
7120	Tbp	Egf	1	15169879;9679659
7121	Nfkb1	Map3k8	1	15169888
7122	Fos	Myocd	1	15169892
7123	Fos	Gab2	1	15170389
7124	Nr0b2	Gab2	1	15170389
7125	Mef2d	Nr4a1	-1	15171250
7126	Egr3	Znf354c	1	15171706
7127	Egr3	Nab2	1	15171706;18203138;19706684;20506119
7128	Nab2	Egr3	-1	20506119
7129	Hnf4g	Ghr	1	15171724
7130	Nr2f2	Ghr	1	15171724;15771728
7131	Ssrp1	Crebzf	1	15171726
7132	Esr1	Crebzf	1	15171726
7133	Esr1	Esr1	1	15171726;16288053;16326419;16464951;16497810;16507095;16636675;16679312;16690106;16809346;17083744;17130524;17172825;17369819;17478088;17511620;17575143;17609434;17875680;17932104;17951260;18000219;18383888;18450422;18451179;18457947;18593897;18703630;18708366;18784357;19001520;19207817;19263197;19287951;19351845;19458056;19584281;19763504;19933843;19946334;20080637;20101232;20103625;20130088;20180843;20185823;20215511;20300195;20388878;20460377;20926584;20946668;21118977;21191649;21256200;21267694;21282336;21458421;21655924;21690342;21763263;21901488;21946067;22056872;22125492;22174013;22227247;22359603;22457607;22521644;22558281;22622808;22662208;22808167;22870269;22962310;22976807;23042805;23145106;23183181;23242655;23285017;23322423;23379261;23493398;23592396;23626833;23725356;23744764;23814048;24049078;24277692;24284820;24495356;24639548;2720778;3754034;7639112;7669725;7708056;7891714;8168078;8240974;8300756;8391813;8732679;8776731;8885246;9113991;9393950;9513045;9658402;9731704;9738013;9772278;9815978;9914163;9914518
7134	Klf6	Cdkn1a	1	12740910;15172991;16230382;17297474;18822210;19101139;20430021;22277651;23085750
7135	Nfatc3	Sftpd	1	15173172
7136	Esr1	Flt1	-1	15173272;17242190;20080630;20422012
7137	Mef2a	Phb2	1	15173318;21689744
7138	Myod1	Phb2	1	15173318
7139	Nfat5	Slc6a12	1	12824075;15173573;24771694
7140	Nfat5	Atm	1	15173573
7141	Gli2	Gli1	1	12165851;15175043;16571352;9636069
7142	Sp1	Nlrp1b	1	15175554
7143	Uncx	Uncx	1	15178343
7144	Arnt	Uncx	1	15178343
7145	Ar	Il18	1	15178407
7146	Hif1a	Cygb	1	15178412;19203999
7147	Tp53	S100b	1	15178678;20587415;21546003
7148	Stat2	Il21	1	15178704
7149	Stat3	Il21	1	15178704;17884812;18209077;20493732;26170288
7150	Sp1	Ddit4	1	15180327;17307335
7151	Nfatc2	Il2	1	11956291;12560487;15180435;16873067;1712901;17237447;17513763;18097033;20557936;21458306;21799768;21832163;24561192;7565732;7706710;7982959;8014029;8098881;8397339;8441422;8576111;8577772;8631809;8668213;9047239
7152	Pdx1	G6pc2	1	15180990;18753309
7153	Pax6	G6pc2	1	15180990;18753309
7154	Ets1	Nos3	1	15180995
7155	Kcnip3	Tg	1	15181011
7156	Kcnip3	Pdyn	-1	12667101;15181011;18507845;21167062;21660149
7157	Nr5a2	Nr0b1	1	20937355
7158	Nr0b1	Nr5a2	1	15181096
7159	Nr5a2	Star	1	15181096;18628394;19022561;19455657
7160	Smad2	Smad7	1	10559222;10753944;10843994;10887185;15183844
7161	Wt1	Stag2	1	15184045
7162	Nfic	Sgca	1	15184085
7163	Usf2	Thbs1	1	15184388;20410211
7164	Usf1	Thbs1	1	15184388
7165	Nfatc2	Fgf2	1	15184502
7166	Nfatc2	Serpinf1	1	15184502
7167	Nfatc2	Cflar	1	15184502
7168	Irf3	Abcc2	1	15185298
7169	Tp53	Carm1	1	15186775;20462455;21191649
7170	Usf1	Pf4	1	15187018
7171	Usf2	Pf4	1	15187018
7172	Nr1h4	Med1	1	15187081
7173	Hhex	Tle1	1	15187083
7174	Hhex	Tle5	1	15187083
7175	Sp1	Smarcc1	1	15187086;16288722
7176	Fos	Il12b	1	14688340;15187114;15270850;19285436;25567680
7177	Pparg	Ifng	1	15187132;19160541
7178	Smad2	Vegfa	1	11486006;15188178;18952601
7179	Kat7	Cd4	1	15189737
7180	Crx	Nr2e3	1	18294621
7181	Nr2e3	Crx	1	15190009;21813656
7182	Nrl	Nr2e3	1	18294621;20551322
7183	Nr2e3	Nrl	1	15190009;21813656
7184	Ppara	Angptl4	1	12099716;15190076
7185	Ppard	Angptl4	1	15190076;20516370;21966511;23208498
7186	Pparg	Angptl4	1	14570927;15190076;19934321;23518684
7187	Cebpb	Pttg1ip	1	15190888
7188	Runx2	Pttg1	1	15190888
7189	Runx2	Pttg1ip	1	15190888
7190	Epas1	Flt1	1	15192019;18625704;19616846
7191	Epas1	Tek	1	10495286;15192019;15851592
7192	Arnt	Flt1	1	15192019
7193	Hif1a	Flt1	1	15192019;16601206
7194	Myc	Adm	1	15192039;9973255
7195	Msx1	H1-5	1	15192231
7196	Stat2	Ifnb1	1	15194680
7197	Stat2	Jun	1	15194680
7198	Stat2	Ifit2	1	15194680
7199	Sp1	Cdc42bpg	1	15194684
7200	Hif1a	Atp7a	1	15197188
7201	Ets1	Socs1	-1	15199062
7202	Stat6	Socs1	1	15199062;17093501;18342537;21828071
7203	Myc	Tpi1	1	15199147
7204	Fos	F3	1	14603525;15201277;7547979;7615158;9081693
7205	Jun	F3	1	11057875;14603525;15201277;15636197;20671239;23038262;7615158;8647847;9081693;9585253
7206	Tp53	Polk	-1	15202001
7207	Elf4	Polk	1	15202001
7208	Prox1	Cyp7a1	-1	15205472;16488887;23626788
7209	Esr2	Ahr	1	19470599
7210	Ahr	Esr2	1	15207704
7211	Sp1	Dpysl2	1	15207709
7212	Nr4a1	Hsd3b1	1	15208301;15498889;15615861;15666793;19022561;20083153;23874725
7213	Myc	Cdk4	1	10688915;11983916;12835716;14519204;15208653;17728244;18414489;21384303;22395148;24951594
7214	Usf1	Cdk4	1	15208653
7215	Tp53	Ezh2	-1	15208672;21165554
7216	Ezh2	Tp53	-1	20132185;21546904;24006445
7217	Ezh2	Ezh2	1	15208672;18421308;19289832;20478051;21216957;21439249;21941025;23360797;24553933;24737471
7218	Myb	Cnot9	1	15209511
7219	E2f3	Tnf	1	15210709
7220	E2f3	Tp73	1	15210709
7221	Rela	Bglap	1	15211579
7222	Rela	Bglap3	1	15211579
7223	Rela	Bglap2	1	15211579
7224	Tp53	Hspa5	1	15212714;18840615;20097177
7225	Jun	Mmp2	1	11414701;14767528;15212943;15777790;16000878;17116726;19268464;19940138;20353950
7226	Rela	Faslg	1	10671224;12655294;14563113;15160330;15215233;15975999;16770006;21359529;9873041
7227	Cdx1	Hnf4a	1	15215241
7228	Hnf4a	Cdx1	1	15215241
7229	Sp1	Kifbp	1	15215249;17460244
7230	Sp1	Liph	1	15215249;8780723
7231	Sp1	Mapk14	1	15215249
7232	Sp3	Kifbp	1	15215249
7233	Sp3	Liph	1	15215249
7234	Sp3	Mapk14	1	15215249
7235	Esr1	Ccna2	1	15217513;17681750
7236	Tp53	Erbb2	1	15217513;21556644;23300358
7237	Hnf1a	S100g	1	15217781;18032476
7238	Cdx2	S100g	1	15217781;8665895
7239	Esr2	Serpine1	-1	15217907
7240	Esr1	Serpine1	1	15217907
7241	Stat3	Il1rn	1	12051696;15218058;20032313
7242	Nr5a2	Arg1	1	15218078
7243	Creb1	Il17a	1	15218177
7244	Sp1	Lmna	1	15219855
7245	Zfpm2	Gata4	1	15220332;18577233
7246	Sox17	Adra1d	1	15220343
7247	Sox17	Lama1	1	15220343;19052383
7248	Sox7	Lama1	1	15220343
7249	Sp1	Lama1	1	12519763;15220343;17141338
7250	Sp3	Lama1	1	12519763;15220343;17141338
7251	Egr1	Nr3c1	1	15220929;16262207;17301183;17853270;22826348;9015328
7252	Hsf1	Hsp90ab1	1	15221402;20185824;20817212;21932106;24384723
7253	Hsf1	Hspa9	1	15221402
7254	Bhlhe40	Fas	1	15223310
7255	Cebpg	Ccl12	1	15223809
7256	Crem	Gpx4	1	15225122
7257	Tp73	Birc5	-1	12748190;15225415;19067706
7258	Egr1	Crebbp	1	15225550
7259	Tp53	Calm1	1	15225611
7260	Tp53	Calm2	1	15225611
7261	Tp53	Calm3	1	15225611
7262	Cebpb	Map2k1	1	15225760
7263	Jun	Ppp1r15a	1	15225883
7264	Hand1	Twist2	1	15226298
7265	Alx3	Sst	1	15226305
7266	Ssrp1	Alb	1	15226394;1922023
7267	Myc	Pdgfrb	-1	15226411;18697203
7268	Atf1	Polr2f	1	15226416
7269	Atf2	Polr2f	1	15226416
7270	Fos	Polr2f	1	15226416
7271	Jun	Gnrhr	1	15226417
7272	Gata1	H2-T23	1	15226423
7273	Irf1	Il7	1	15226432;9164960
7274	Irf2	Il7	-1	15226432
7275	Rfx2	Rfx2	1	15229132
7276	Lmx1b	Ebf1	1	15229182
7277	Lmx1b	Zic1	-1	15229182
7278	Nfatc2	Il13	1	15229217;20368097;22226971;23796028
7279	Nfatc1	Il13	1	15229217;21398617;21989417
7280	Stat3	Etv6	1	15229229
7281	Etv6	Stat3	-1	15229229
7282	Tp53	Fn1	-1	15230856;8732672
7283	Gata6	Plau	1	15231498;21076612
7284	Cebpb	Terf1	1	15231736
7285	Atf3	Pln	-1	15231818
7286	Ppara	Gpd1	1	15232616
7287	Creb1	Ntrk2	1	15234351;17553693
7288	Etv6	Abcb1a	-1	15235109
7289	Runx1	Abcb1a	1	15235109
7290	Hif1a	Itgb2	1	15235127;20517715
7291	Nr6a1	Prm2	1	15236322;9099702;9669523
7292	Jun	Ren1	1	15238629;9690204
7293	Rara	Slc10a2	1	15239098
7294	Smad3	Bambi	1	15240101
7295	Smad4	Bambi	1	15240101
7296	Sox9	Cdx2	-1	15240568
7297	Creb1	Atf4	1	15888447
7298	Atf4	Creb1	-1	15240803;15888447;16121183;17434604;17669268;18441292
7299	Atf4	Usf1	1	15240803
7300	Usf1	Atf4	1	15240803
7301	Ssrp1	Amy1	1	15240830
7302	Ssrp1	Cp	1	15240830;15979198
7303	Stat3	Srebf1	-1	15240880;15913829;16226915;19233843;19913854
7304	Nfkbiz	Il6	1	15241416;26226212
7305	Irf1	Tnfsf10	1	15241475;16172134;17617740;21858676
7306	Smad2	App	1	15242331
7307	Smad3	App	1	15242331
7308	Usf1	Hmox1	1	15242350;18331200;2318208;2722866;7969144;8760880
7309	Usf2	Hmox1	1	15242350;15833736;18331200
7310	Hhex	Tagln	1	15242862
7311	Nfic	Adra1d	1	1524678;2072909
7312	Elf1	Mapk14	1	15246963;22139847
7313	Rbpj	Rab27a	1	15247148
7314	Rbpj	Rbpj	1	15247148;8643633;9418910
7315	Egr1	Fgf2	1	15247255;16818645;20053757;8702507;9178905
7316	Sp1	Pdgfc	1	15247255
7317	Egr1	Pdgfc	1	15247255;18272536
7318	Rfx5	Ifng	1	12968017;15247294
7319	Esr1	Ahr	1	10620335;15247325;17511620
7320	Ahr	Esr1	1	15964790;17511620;17599377;22071320;23103859;8391813
7321	Nfatc1	Fastk	1	15247427
7322	Nfatc1	Myh4	-1	15247427
7323	Nfatc1	Myh7	1	15247427;17111365
7324	Cxxc1	Igfbp3	1	15247904
7325	Tfcp2	Igfbp3	1	15247904;17278996
7326	Ets1	Plau	1	10211993;11556732;15247905;16127276;18772901;20645833;8683934;9185999
7327	Tp53	Cd44	-1	15249123;18614011;18971636;20878064;21930790
7328	Stat3	Il12b	-1	15251981
7329	Nr1i3	Cyp3a11	1	15252010
7330	Nr1i3	Cyp3a41a	1	15252010
7331	Nr1i3	Cyp3a16	1	15252010
7332	Nr1i2	Cyp3a11	1	15252010;21733184
7333	Nr1i2	Cyp3a41a	1	15252010;21733184
7334	Nr1i2	Cyp3a16	1	15252010;21733184
7335	Gfi1	Tspoap1	1	15252036
7336	Hif1a	Id2	1	11955624;15252039
7337	Pou2f2	Ywhab	1	15252056
7338	Sp1	Brca1	1	15252835;17373631;18377656;19466541
7339	Ctcf	Brca1	1	15252835;19466541;24725430
7340	Esr1	Itgb3bp	1	15254226
7341	Pgr	Adamts1	1	15256533
7342	Nrf1	E2f6	1	15257658
7343	Smad4	Nkx2-1	1	15264213
7344	Sp1	Nkx2-1	1	10684967;15264213
7345	Nkx2-1	Sp1	1	23995788
7346	Nr1i3	Esr1	1	15268900;21389059
7347	Tbpl1	Poli	1	15269281
7348	Xbp1	Hsp90b1	1	15270080;17612505
7349	Rora	Hif1a	1	18658046
7350	Hif1a	Rora	1	14742449;15270719
7351	Arnt	Rora	1	15270719
7352	Jun	Myb	1	12475180;1527086;8670250
7353	Jund	Myb	1	1527086;18071306;22493372
7354	Jund	Tspoap1	1	1527086
7355	Cebpg	Btk	1	15271374
7356	Fos	Il5	1	12452838;15271374;16373364;17845581
7357	Kat7	Il5	1	15271374;16922677
7358	Lhx3	Fshb	1	15271874;23766128
7359	Lhx3	Inhba	1	15271874
7360	E2f1	Birc5	1	15271987;16601104;17848598;19102934;19497660;23449974
7361	E2f2	Birc5	1	15271987;17916908
7362	E2f3	Birc5	1	15271987
7363	Nfatc4	Myl2	1	15272022
7364	Crem	Cck	1	15272051
7365	Esr1	Timp4	1	15273280
7366	Tp53	Aifm2	1	12135761;15273740
7367	Nfe2l2	Cox6a1	1	15276212
7368	Nrf1	Cox6a1	1	10773445;15276212
7369	Sp1	Cox6a1	1	15276212
7370	Ddit3	Crp	1	15277326;17513780
7371	Klf15	Grb10	1	15277472;15963234
7372	Klf15	Rho	-1	15277472;15963234
7373	Nrl	Grb10	1	15277472
7374	Egr1	Maoa	1	15279563
7375	Jun	Maoa	1	15279563
7376	Tbp	Cdkn1a	1	15280358;17130157;17996705
7377	Znf76	Cdkn1a	-1	15280358
7378	Creb1	Mmp2	1	10506168;15280448;17258390;19324884;23799155
7379	Gata1	Gfi1b	1	15280509;16177182;19522008;19965638;20564185
7380	Pgr	Ccnd1	1	15282324;20479568;22396492;22542550;22892083
7381	Fli1	Igfbp3	-1	15282325;21531709
7382	Gata6	Cyp11a1	1	15284005
7383	Stat3	Rasa1	1	15284113
7384	Tp53	Hsp90aa1	1	15284248;15358769;18996350;24451373
7385	Creb1	Nlrp1b	1	15285719
7386	Myc	Wt1	1	12695333
7387	Wt1	Myc	-1	15286719;17634147;20842112
7388	Tp53	Tnfrsf10b	1	11313989;15289308
7389	Egr1	Il12a	1	15289351;17117479
7390	Tcf21	Cyp11a1	1	15289436
7391	Ncoa3	Ubc	1	15289619
7392	Rxrb	Pkd1	1	15291740
7393	Yy1	Hsd3b1	1	15291746
7394	Smad3	Gast	1	15292219;16139800;21445336
7395	Smad4	Gast	1	15292219;16139800
7396	Elk1	Mrtfa	1	15292266
7397	Jun	Nr0b2	1	12842887;15292277;19322021
7398	Nr0b2	Jun	1	19509248
7399	Nfatc2	Cd34	1	15292278
7400	Nr1h2	Abca1	1	15292368;15831500;16141411;16644917;16825483;19258656;20951680;21507939;23523156
7401	Nr1h2	Abcg1	1	15292368;15831500;16141411;19258656
7402	Nr1h2	Apoe	1	11149950;15292368;19258656
7403	Mtf2	Shh	-1	15294861
7404	Mtf2	Mtf2	1	15294861
7405	Ssrp1	Mtf2	1	15294861
7406	Ssrp1	Shh	1	15294861
7407	Cebpa	Tlr9	1	15294971
7408	Creb1	Tlr9	1	15294971
7409	Elf1	Tlr9	1	15294971
7410	Elk1	Tlr9	1	15294971
7411	Ets2	Tlr9	1	15294971
7412	Jun	Tlr9	-1	15294971
7413	Rela	Tlr9	-1	15294971;25194054
7414	Sp1	Gpc4	1	15297147
7415	Sp3	Gpc4	1	15297147
7416	Zfpm1	Hbb-b1	1	15297311
7417	Ets1	Pdgfa	1	15297375
7418	Egr1	Nf1	1	15297375
7419	Sp3	Nf1	1	15297375
7420	Sp3	Pdgfa	1	15297375;9321833
7421	Atf4	Atf6	1	15297438
7422	Cebpb	Ghrhr	1	15299028;22074460
7423	Cebpb	Prkaca	1	15299028
7424	Ets1	Grpr	1	15300220
7425	Klf11	Smad7	-1	15300592;17931948
7426	Znf76	Znf143	1	15300802
7427	Gata4	Ctnna3	1	15302915;21598020
7428	Mef2c	Ctnna3	1	15302915;21598020
7429	Gata1	Fcgr1	1	15304324
7430	Tfcp2	Atm	1	15304345
7431	Tfcp2	Nprl3	1	15304345
7432	Jdp2	Csf1r	1	15304350;18281035
7433	Erf	Cela2a	1	15304350
7434	Onecut1	Crebbp	1	15304484
7435	Nfatc1	Ctsk	1	15304486;16680826;19563866;19576893;20831919
7436	Spi1	Ctsk	1	15304486;19288495
7437	Rora	Alox5	1	15305379;7706239
7438	Rora	Rora	1	15305379;19887649;22024429;22485150;23063684;23697635;24119295
7439	Hmga1	Cybb	1	1530615;8422257
7440	Gfi1	Il7r	-1	15308108;17375192;18390712;22865857
7441	Dnmt3b	Nos2	1	15308624
7442	Foxo3	Sod2	1	12239572;15308628;15674333;24068327;24339251
7443	Fos	Nppa	-1	1530876;19538471;7721415;8417355;9403552
7444	Srf	Ppargc1a	1	15310743
7445	Hif1a	Npm1	1	15310764
7446	Nfatc1	Ache	1	15312161
7447	Dnmt1	Mrc1	1	15312538
7448	Nr1d1	Bmal1	-1	15312644;15761026;18946026;19341811;20070857;20414452;20446921;20817722;21479263;21881539;24030830;24577401
7449	Bmal1	Nr1d1	1	19341811
7450	Rora	Bmal1	1	15312644;15312651;15821743;20211758;20817722;22244086;24737872
7451	Hif1a	Fech	1	15312748
7452	Hsf1	Clu	1	15313936;16541486;19353783
7453	Ppara	Cav1	1	15314095;20146263
7454	Jun	Tnfsf11	1	15314684;19671684;22344299
