Target_genes	Nr4a1|Average	SRX6927319|CD4+_T_cells	SRX868176|ES_cells	SRX868179|ES_cells	SRX3075749|Macrophages	SRX3075750|Macrophages	SRX3075751|Macrophages	SRX1077593|Treg	STRING
Ces1c	138.142857	0	496	471	0	0	0	0	0
Trip6	138.000000	0	413	553	0	0	0	0	0
Onecut2	138.000000	0	488	478	0	0	0	0	0
Ica1	138.000000	0	478	488	0	0	0	0	0
Fam50a	138.000000	0	204	670	0	92	0	0	0
Cflar	138.000000	0	0	96	0	870	0	0	0
Tgm5	137.857143	0	447	518	0	0	0	0	0
St8sia4	137.857143	0	477	488	0	0	0	0	0
Sntn	137.857143	0	496	469	0	0	0	0	0
Plac8l1	137.857143	0	585	380	0	0	0	0	0
Plxna4	137.714286	0	460	504	0	0	0	0	0
Nol7	137.714286	0	409	418	0	137	0	0	0
Gm826	137.714286	0	353	611	0	0	0	0	0
Cnih4	137.714286	0	289	431	0	244	0	0	0
Mthfd2	137.571429	0	437	335	0	191	0	0	0
Mrap2	137.571429	0	423	460	0	80	0	0	0
Tex101	137.428571	0	461	501	0	0	0	0	0
Npy2r	137.428571	0	560	402	0	0	0	0	0
Nfkbil1	137.428571	0	326	484	0	152	0	0	0
Mbnl2	137.428571	0	371	412	0	179	0	0	0
Klhdc9	137.428571	0	451	511	0	0	0	0	0
Fam187b	137.428571	0	441	415	0	106	0	0	0
Ddx39b	137.428571	0	326	484	0	152	0	0	0
Atp6v1g2	137.428571	0	326	484	0	152	0	0	0
Nhlh2	137.285714	0	549	412	0	0	0	0	0
Gcnt2	137.285714	0	348	382	0	231	0	0	0
Ccdc9b	137.285714	0	277	423	0	261	0	0	0
Aqp5	137.285714	0	0	0	0	816	145	0	0
Aaas	137.285714	0	328	431	0	131	71	0	0
Vps13d	137.142857	0	403	557	0	0	0	0	0
Lrfn5	137.142857	0	457	503	0	0	0	0	0
Txlnb	137.000000	0	528	431	0	0	0	0	0
Sertad1	137.000000	0	222	254	0	483	0	0	0
Gm5737	137.000000	0	595	364	0	0	0	0	0
Them7	136.857143	0	437	521	0	0	0	0	0
Sox5	136.857143	0	430	528	0	0	0	0	0
Plcb2	136.857143	0	470	406	0	82	0	0	0
Cd53	136.857143	0	0	236	79	473	170	0	0
Bcl2l2	136.857143	0	370	450	0	138	0	0	0
Rabl2	136.714286	0	462	373	0	122	0	0	0
Ptrh2	136.714286	0	385	394	0	101	77	0	0
Myh9	136.714286	0	0	0	166	523	268	0	0
Miip	136.714286	0	0	0	0	775	182	0	0
Fv1	136.714286	0	0	0	0	775	182	0	0
Zscan4b	136.571429	0	465	491	0	0	0	0	0
Tpd52	136.571429	0	100	215	0	641	0	0	0
Serpina1e	136.571429	0	382	574	0	0	0	0	0
Mboat4	136.571429	0	414	542	0	0	0	0	0
Fhl3	136.571429	0	330	435	0	191	0	0	0
Cfhr2	136.571429	0	353	603	0	0	0	0	0
B3galt1	136.571429	0	353	603	0	0	0	0	0
Cd109	136.428571	0	418	537	0	0	0	0	0
Btbd16	136.428571	0	577	378	0	0	0	0	0
Vmn2r123	136.285714	0	495	459	0	0	0	0	0
Smim14	136.285714	0	305	403	0	246	0	0	0
Slc39a8	136.285714	0	335	619	0	0	0	0	0
Sirt2	136.285714	0	143	260	0	551	0	0	0
Sec63	136.285714	0	318	430	0	206	0	0	0
Rusf1	136.285714	0	439	515	0	0	0	0	0
Oasl1	136.285714	397	0	0	0	333	89	135	0
Nfkbib	136.285714	0	143	260	0	551	0	0	0
Morc2b	136.285714	0	370	450	0	134	0	0	0
Angpt4	136.285714	0	398	420	0	136	0	0	0
Xpr1	136.142857	0	405	413	0	135	0	0	0
Tbc1d4	136.142857	0	431	420	0	102	0	0	0
Sirt5	136.142857	0	307	485	0	161	0	0	0
Plppr3	136.142857	0	339	494	0	120	0	0	0
Guf1	136.142857	0	188	340	0	425	0	0	0
Tnfrsf22	136.000000	0	408	455	0	89	0	0	0
Olfr558	136.000000	0	388	564	0	0	0	0	0
Olfr557	136.000000	0	388	564	0	0	0	0	0
Pkm	135.857143	0	0	0	129	614	208	0	0
Gm3488	135.857143	0	452	499	0	0	0	0	0
Tlr12	135.714286	0	547	403	0	0	0	0	0
Sh3pxd2a	135.714286	0	360	446	0	144	0	0	0
Idh3b	135.714286	0	439	511	0	0	0	0	0
Gpx6	135.714286	0	409	541	0	0	0	0	0
Adam22	135.714286	0	410	540	0	0	0	0	0
Npffr1	135.571429	0	421	443	0	85	0	0	0
Ripor3	135.428571	0	497	451	0	0	0	0	0
Olfr1000	135.428571	0	441	507	0	0	0	0	0
Ang6	135.428571	0	441	507	0	0	0	0	0
Adra2b	135.428571	0	449	499	0	0	0	0	0
Dapk3	135.285714	0	259	150	102	308	128	0	0
Timp2	135.142857	0	548	398	0	0	0	0	0
Snx20	135.142857	0	427	519	0	0	0	0	0
Olfr143	135.142857	0	477	469	0	0	0	0	0
Dand5	135.142857	0	452	494	0	0	0	0	0
Gm428	135.000000	0	514	431	0	0	0	0	0
Gm11239	135.000000	0	514	431	0	0	0	0	0
Fcrlb	135.000000	0	0	0	154	651	140	0	0
Tmem211	134.857143	0	363	441	0	140	0	0	0
Slc35f3	134.857143	0	477	467	0	0	0	0	0
Dnah6	134.857143	0	524	420	0	0	0	0	0
Ufl1	134.714286	0	318	431	0	194	0	0	0
Rnd1	134.714286	0	328	401	0	214	0	0	0
Trpm1	134.571429	0	210	372	0	360	0	0	0
Tex12	134.571429	0	441	501	0	0	0	0	0
Spen	134.571429	0	0	0	133	607	202	0	0
Pkig	134.571429	0	214	117	0	611	0	0	0
Gtf2h1	134.571429	0	318	450	0	174	0	0	0
Umodl1	134.428571	0	434	507	0	0	0	0	0
Arhgap24	134.428571	0	408	407	0	126	0	0	0
Uckl1	134.285714	0	0	0	125	711	104	0	0
Tcf19	134.285714	0	383	377	0	180	0	0	0
St8sia5	134.285714	0	397	543	0	0	0	0	0
Plk3	134.285714	0	0	0	142	625	173	0	0
Dpp6	134.285714	0	377	563	0	0	0	0	0
Dlg2	134.285714	0	522	418	0	0	0	0	0
Cchcr1	134.285714	0	383	377	0	180	0	0	0
Bcas1	134.285714	0	453	487	0	0	0	0	0
Rps16	134.142857	0	352	443	0	144	0	0	0
H4c2	134.142857	0	419	333	0	187	0	0	0
H4c1	134.142857	0	419	333	0	187	0	0	0
Tmem154	134.000000	0	191	498	0	249	0	0	0
Myh2	134.000000	0	252	469	0	217	0	0	0
Best2	134.000000	0	391	547	0	0	0	0	0
Accsl	134.000000	0	471	467	0	0	0	0	0
Rnf165	133.857143	0	341	596	0	0	0	0	0
Nuak2	133.857143	0	0	0	0	820	117	0	0
Itga4	133.857143	0	492	293	0	152	0	0	0
Fosl1	133.857143	0	462	475	0	0	0	0	0
Ecsit	133.857143	0	200	285	0	320	132	0	0
Rbm43	133.714286	0	434	502	0	0	0	0	0
Vps11	133.571429	0	446	386	0	103	0	0	0
Spz1	133.571429	0	460	475	0	0	0	0	0
Casc3	133.571429	0	285	360	0	219	71	0	0
Bcl2a1b	133.571429	0	0	0	0	761	174	0	0
Strada	133.428571	0	0	0	0	781	153	0	0
Kmo	133.428571	0	597	337	0	0	0	0	0
Gucy1b1	133.428571	0	425	509	0	0	0	0	0
Ehbp1l1	133.428571	0	236	317	0	381	0	0	0
Tceal8	133.285714	0	388	545	0	0	0	0	0
Sigirr	133.285714	0	241	313	0	379	0	0	0
Nin	133.285714	0	281	388	0	264	0	0	0
Fbxo24	133.285714	0	487	300	0	146	0	0	0
Cftr	133.285714	0	545	388	0	0	0	0	0
Fabp12	133.142857	0	424	508	0	0	0	0	0
D030056L22Rik	133.142857	0	372	435	0	125	0	0	0
Sp2	133.000000	0	260	329	0	342	0	0	0
Rasgef1a	133.000000	0	464	467	0	0	0	0	0
Myo10	133.000000	0	347	444	0	140	0	0	0
Mpzl3	133.000000	0	296	400	0	235	0	0	0
Mmgt2	133.000000	0	0	0	0	754	177	0	0
Lrrc75a	133.000000	0	0	0	0	754	177	0	0
Scgb2b21	132.857143	0	471	459	0	0	0	0	0
Nup153	132.857143	0	331	485	0	114	0	0	0
Marchf1	132.857143	0	318	358	0	254	0	0	0
Cryga	132.857143	0	464	466	0	0	0	0	0
AI182371	132.857143	0	423	507	0	0	0	0	0
Zw10	132.714286	0	311	385	0	233	0	0	0
Prkx	132.714286	0	418	511	0	0	0	0	0
Phc2	132.714286	0	399	407	0	123	0	0	0
Nos1	132.714286	0	100	0	129	422	278	0	0
Nckipsd	132.714286	0	363	422	0	144	0	0	0
Krtap26-1	132.714286	0	441	488	0	0	0	0	0
Klra4	132.714286	0	441	488	0	0	0	0	0
Klra18	132.714286	0	441	488	0	0	0	0	0
Cenpj	132.714286	0	589	340	0	0	0	0	0
Ankrd11	132.714286	0	211	491	0	227	0	0	0
Adgrg4	132.714286	0	441	488	0	0	0	0	0
Zfp13	132.571429	0	244	552	0	132	0	0	0
Tmc3	132.571429	0	478	450	0	0	0	0	0
Robo1	132.571429	0	459	469	0	0	0	0	0
Ppargc1a	132.571429	0	459	469	0	0	0	0	0
Olfr1156	132.571429	0	459	469	0	0	0	0	0
Nsfl1c	132.571429	0	350	427	0	151	0	0	0
Gria4	132.571429	0	285	643	0	0	0	0	0
Gm8251	132.571429	0	285	643	0	0	0	0	0
Frmpd4	132.571429	0	459	469	0	0	0	0	0
Dnajc24	132.571429	0	335	450	0	143	0	0	0
1810013L24Rik	132.571429	0	0	0	129	799	0	0	0
Ralgapa2	132.428571	0	268	505	0	154	0	0	0
Naxd	132.428571	0	320	467	0	140	0	0	0
Adap2	132.428571	0	432	495	0	0	0	0	0
A930009A15Rik	132.428571	0	437	490	0	0	0	0	0
Osbpl6	132.285714	0	337	589	0	0	0	0	0
Kifc1	132.285714	0	294	183	0	449	0	0	0
Kcnn3	132.285714	0	135	0	0	791	0	0	0
Uri1	132.142857	0	338	394	0	193	0	0	0
Rgs12	132.142857	0	288	381	0	256	0	0	0
Mrvi1	132.142857	0	377	548	0	0	0	0	0
Mak	132.142857	0	514	340	0	71	0	0	0
Gdf15	132.142857	0	0	287	0	638	0	0	0
S1pr2	132.000000	0	481	260	0	183	0	0	0
Inpp5f	132.000000	0	429	213	0	282	0	0	0
Foxb1	132.000000	0	383	541	0	0	0	0	0
Olfr523	131.857143	0	433	490	0	0	0	0	0
Mxi1	131.857143	0	220	340	0	363	0	0	0
Gm6713	131.857143	0	518	405	0	0	0	0	0
Adam18	131.857143	0	434	489	0	0	0	0	0
Plekhg1	131.714286	0	511	411	0	0	0	0	0
Mllt6	131.714286	0	0	0	106	633	183	0	0
Ddias	131.714286	0	268	370	0	284	0	0	0
Sod2	131.571429	0	284	279	0	358	0	0	0
Rtkn2	131.571429	0	452	469	0	0	0	0	0
Med11	131.571429	0	310	408	0	203	0	0	0
Gk5	131.571429	0	340	433	0	148	0	0	0
Arl4d	131.571429	0	438	483	0	0	0	0	0
Lyn	131.428571	0	101	0	0	819	0	0	0
Jup	131.428571	0	504	300	0	116	0	0	0
A530032D15Rik	131.428571	0	454	466	0	0	0	0	0
1700001F09Rik	131.428571	0	429	491	0	0	0	0	0
Tubb1	131.285714	0	402	517	0	0	0	0	0
Ncf4	131.285714	0	337	350	0	232	0	0	0
Krtap12-1	131.285714	0	297	324	0	298	0	0	0
Inka2	131.285714	0	204	431	0	284	0	0	0
Gpx5	131.285714	0	370	549	0	0	0	0	0
Gm10142	131.285714	0	297	324	0	298	0	0	0
Ern1	131.285714	0	0	0	0	700	219	0	0
Dnttip1	131.285714	0	307	395	0	217	0	0	0
Zfp459	131.142857	0	487	431	0	0	0	0	0
Msr1	131.142857	0	315	460	0	143	0	0	0
Gpr160	131.000000	0	452	465	0	0	0	0	0
Gm17124	131.000000	0	353	564	0	0	0	0	0
Ccdc182	131.000000	0	369	383	0	165	0	0	0
Xpc	130.857143	0	287	292	0	337	0	0	0
Ntng1	130.857143	0	388	528	0	0	0	0	0
Ltc4s	130.857143	0	409	507	0	0	0	0	0
Lsm3	130.857143	0	287	292	0	337	0	0	0
Ift27	130.857143	0	447	379	0	90	0	0	0
Ccdc30	130.857143	0	208	356	0	352	0	0	0
Cacfd1	130.857143	0	0	0	0	738	178	0	0
Ticam2	130.714286	0	329	340	0	246	0	0	0
Gprc5a	130.714286	0	374	342	0	199	0	0	0
Slc6a13	130.571429	0	372	542	0	0	0	0	0
Otc	130.571429	0	388	526	0	0	0	0	0
Npw	130.571429	0	394	395	0	125	0	0	0
Gm28455	130.571429	0	485	429	0	0	0	0	0
Glg1	130.571429	0	218	400	0	185	111	0	0
Fam71f2	130.571429	0	385	529	0	0	0	0	0
Ccm2l	130.571429	0	455	459	0	0	0	0	0
Arhgap6	130.571429	0	388	526	0	0	0	0	0
Apba2	130.571429	0	291	623	0	0	0	0	0
Olfr279	130.428571	0	466	447	0	0	0	0	0
Mboat1	130.428571	0	371	366	0	176	0	0	0
Lipe	130.428571	0	0	0	0	785	128	0	0
Sptbn4	130.285714	0	348	392	0	172	0	0	0
Rfc2	130.285714	0	378	534	0	0	0	0	0
Olfr370	130.285714	0	405	507	0	0	0	0	0
Olfr247	130.285714	0	388	524	0	0	0	0	0
Map3k2	130.285714	0	325	450	0	137	0	0	0
Gm4307	130.285714	0	337	575	0	0	0	0	0
Gm4305	130.285714	0	337	575	0	0	0	0	0
Gm4303	130.285714	0	337	575	0	0	0	0	0
Gm10310	130.285714	0	388	524	0	0	0	0	0
Gck	130.285714	0	257	530	0	125	0	0	0
Shcbp1l	130.142857	0	459	452	0	0	0	0	0
Llcfc1	130.142857	0	423	488	0	0	0	0	0
Gm17330	130.142857	0	332	579	0	0	0	0	0
Siva1	130.000000	0	0	0	0	721	189	0	0
Olfr645	130.000000	0	441	469	0	0	0	0	0
Epb41l3	130.000000	0	394	516	0	0	0	0	0
Trib2	129.857143	0	459	450	0	0	0	0	0
Sez6l2	129.857143	0	424	485	0	0	0	0	0
Olfr736	129.857143	0	459	450	0	0	0	0	0
Kmt2a	129.857143	0	0	0	0	909	0	0	0
Tjap1	129.714286	0	378	443	0	87	0	0	0
Pot1a	129.714286	0	353	468	0	87	0	0	0
Kifc5b	129.714286	0	430	293	0	185	0	0	0
Cyp4f14	129.714286	0	416	492	0	0	0	0	0
Aldh18a1	129.714286	0	0	140	0	768	0	0	0
Acy1	129.714286	0	255	532	0	121	0	0	0
Zfp772	129.571429	0	473	434	0	0	0	0	0
Ndufs3	129.571429	0	342	262	0	303	0	0	0
Ly6g6d	129.571429	0	433	474	0	0	0	0	0
Kbtbd4	129.571429	0	342	262	0	303	0	0	0
Ppp3cc	129.428571	0	370	536	0	0	0	0	0
Pop5	129.428571	0	258	294	0	354	0	0	0
Numb	129.428571	0	301	413	0	192	0	0	0
Krt78	129.428571	0	417	489	0	0	0	0	0
Il23a	129.428571	0	213	265	0	428	0	0	0
Gm34593	129.428571	0	442	464	0	0	0	0	0
Aen	129.428571	0	448	181	0	277	0	0	0
Actrt2	129.428571	0	410	496	0	0	0	0	0
Zfp7	129.285714	0	230	219	0	456	0	0	0
Soat2	129.285714	0	0	264	0	474	167	0	0
Smco4	129.285714	0	494	411	0	0	0	0	0
Sh3bp4	129.285714	0	450	455	0	0	0	0	0
Moxd1	129.285714	0	495	410	0	0	0	0	0
Olfr141	129.142857	0	301	603	0	0	0	0	0
Mitf	129.142857	0	301	603	0	0	0	0	0
Zmiz2	129.000000	0	329	574	0	0	0	0	0
Tmc5	129.000000	0	471	432	0	0	0	0	0
Selenbp2	129.000000	0	223	352	0	328	0	0	0
Samd14	129.000000	0	335	568	0	0	0	0	0
Olfr1510	129.000000	0	335	568	0	0	0	0	0
Muc6	129.000000	0	427	476	0	0	0	0	0
Elof1	129.000000	0	0	0	0	773	130	0	0
Plekhm3	128.857143	0	388	437	0	77	0	0	0
Mink1	128.857143	0	421	362	0	119	0	0	0
Chrm1	128.857143	0	355	547	0	0	0	0	0
Arpp21	128.857143	0	318	584	0	0	0	0	0
Agpat1	128.857143	0	451	265	0	186	0	0	0
Upb1	128.714286	0	414	487	0	0	0	0	0
Ubtd1	128.714286	0	328	404	0	169	0	0	0
Smpd4	128.714286	0	389	512	0	0	0	0	0
Rp9	128.714286	0	392	392	0	117	0	0	0
Mms19	128.714286	0	328	404	0	169	0	0	0
Gtpbp8	128.714286	0	388	431	0	82	0	0	0
Ace	128.714286	0	464	437	0	0	0	0	0
Mast1	128.571429	0	412	488	0	0	0	0	0
Carmil3	128.571429	0	390	510	0	0	0	0	0
Sult3a1	128.428571	0	335	564	0	0	0	0	0
Riox2	128.428571	0	0	203	0	696	0	0	0
Ddc	128.428571	0	445	454	0	0	0	0	0
Ceacam18	128.428571	0	268	488	0	143	0	0	0
Psmc3	128.285714	0	401	390	0	107	0	0	0
Olfr1006	128.285714	0	353	545	0	0	0	0	0
Lrrc55	128.285714	0	396	502	0	0	0	0	0
Gm7972	128.285714	0	384	514	0	0	0	0	0
Triobp	128.142857	0	389	508	0	0	0	0	0
Sh3bp2	128.142857	0	263	409	0	225	0	0	0
Pgap3	128.142857	0	399	408	0	90	0	0	0
Mmp21	128.142857	0	447	450	0	0	0	0	0
Lyve1	128.142857	0	459	438	0	0	0	0	0
Foxa2	128.142857	0	411	486	0	0	0	0	0
Crip1	128.142857	0	255	450	0	192	0	0	0
Arhgef1	128.142857	0	280	499	0	118	0	0	0
Tmprss11b	128.000000	0	370	526	0	0	0	0	0
Sppl3	128.000000	0	0	0	0	742	154	0	0
Aqp6	128.000000	0	367	408	0	121	0	0	0
Ankle1	128.000000	0	401	495	0	0	0	0	0
Ube2n	127.857143	0	344	247	0	188	116	0	0
Lrig1	127.857143	0	388	507	0	0	0	0	0
Gm9789	127.857143	0	471	424	0	0	0	0	0
Eef1e1	127.857143	0	421	315	0	159	0	0	0
Cd55b	127.857143	0	482	413	0	0	0	0	0
Aven	127.857143	0	388	507	0	0	0	0	0
Stra6	127.714286	0	398	496	0	0	0	0	0
Rprml	127.714286	0	355	539	0	0	0	0	0
Hils1	127.714286	0	410	484	0	0	0	0	0
Gm52429	127.714286	0	355	539	0	0	0	0	0
Snx31	127.571429	0	429	464	0	0	0	0	0
Sirpb1a	127.571429	0	0	0	0	893	0	0	0
Psip1	127.571429	0	376	517	0	0	0	0	0
Gm38423	127.571429	0	405	488	0	0	0	0	0
Gm11237	127.571429	0	405	488	0	0	0	0	0
Gm11236	127.571429	0	405	488	0	0	0	0	0
Brd4	127.428571	0	545	347	0	0	0	0	0
Tceal7	127.285714	0	551	340	0	0	0	0	0
Pacsin2	127.285714	0	174	323	0	394	0	0	0
Fos	127.285714	0	179	139	138	304	131	0	0
Tex13a	127.142857	0	459	431	0	0	0	0	0
Srgn	127.142857	0	187	96	0	425	182	0	0
Snrpd3	127.142857	0	248	298	0	230	114	0	0
Gucd1	127.142857	0	248	298	0	230	114	0	0
Angptl3	127.142857	0	220	469	0	201	0	0	0
Unkl	127.000000	0	504	299	0	86	0	0	0
Nectin4	127.000000	0	397	492	0	0	0	0	0
Ly6g2	127.000000	0	426	463	0	0	0	0	0
H4c6	127.000000	0	465	424	0	0	0	0	0
H1f3	127.000000	0	465	424	0	0	0	0	0
Vhl	126.857143	0	314	574	0	0	0	0	0
Prss41	126.857143	0	354	534	0	0	0	0	0
Nf2	126.857143	0	285	253	0	350	0	0	0
Fam71f1	126.857143	0	331	394	0	163	0	0	0
Apol7c	126.857143	0	424	464	0	0	0	0	0
Olfr544	126.714286	0	349	538	0	0	0	0	0
Gle1	126.714286	0	385	382	0	120	0	0	0
Fkbp7	126.714286	0	401	368	0	118	0	0	0
Spaca6	126.571429	0	462	424	0	0	0	0	0
Ptpre	126.571429	0	254	395	0	237	0	0	0
Mrto4	126.571429	0	315	477	0	94	0	0	0
Lancl1	126.571429	0	459	427	0	0	0	0	0
Hcn3	126.571429	0	297	371	0	218	0	0	0
Emc1	126.571429	0	315	477	0	94	0	0	0
Arfgap3	126.571429	0	403	483	0	0	0	0	0
Rasa2	126.428571	0	300	421	0	164	0	0	0
Olfr512	126.428571	0	245	640	0	0	0	0	0
Dcaf7	126.428571	0	467	418	0	0	0	0	0
Neurod2	126.285714	0	327	557	0	0	0	0	0
Frs2	126.285714	0	329	409	0	146	0	0	0
Ttll4	126.142857	0	539	344	0	0	0	0	0
Rps12	126.142857	0	349	338	0	97	99	0	0
Rnf19b	126.142857	0	362	385	0	136	0	0	0
Camta1	126.142857	0	447	293	0	143	0	0	0
Zc3hc1	126.000000	0	147	203	0	532	0	0	0
Tlr2	126.000000	0	176	119	166	277	144	0	0
Tdpoz9	126.000000	0	318	564	0	0	0	0	0
Myog	126.000000	0	0	173	0	566	143	0	0
Msl3	126.000000	0	158	384	0	340	0	0	0
Dhdds	126.000000	0	318	477	0	87	0	0	0
Clec4e	126.000000	0	0	0	161	551	170	0	0
Pde8b	125.857143	0	487	394	0	0	0	0	0
Olfr791	125.857143	0	0	0	0	881	0	0	0
Olfr676	125.857143	0	412	469	0	0	0	0	0
Olfm1	125.857143	0	383	498	0	0	0	0	0
Nudt16l2	125.857143	0	419	462	0	0	0	0	0
Gm7827	125.857143	0	423	458	0	0	0	0	0
Vmn2r66	125.714286	0	335	545	0	0	0	0	0
Tas2r120	125.714286	0	335	545	0	0	0	0	0
Pdlim2	125.714286	0	0	0	159	576	145	0	0
Il22	125.714286	0	393	487	0	0	0	0	0
H4c9	125.714286	0	410	373	0	97	0	0	0
H2bc11	125.714286	0	410	373	0	97	0	0	0
H2ac11	125.714286	0	410	373	0	97	0	0	0
Gm5885	125.714286	0	335	545	0	0	0	0	0
Psmb11	125.571429	0	353	526	0	0	0	0	0
Olfr835	125.571429	0	353	526	0	0	0	0	0
Gm14322	125.571429	0	353	526	0	0	0	0	0
Tagap	125.428571	0	285	431	0	162	0	0	0
Pik3cb	125.428571	0	403	475	0	0	0	0	0
Gstm7	125.428571	0	356	522	0	0	0	0	0
Ube2ql1	125.285714	0	395	482	0	0	0	0	0
Nkain2	125.285714	0	370	507	0	0	0	0	0
Myf5	125.285714	0	370	507	0	0	0	0	0
Bsg	125.285714	0	299	366	0	212	0	0	0
Arhgap32	125.285714	0	378	499	0	0	0	0	0
Ankrd37	125.285714	0	0	121	0	651	105	0	0
Trim71	125.142857	0	400	476	0	0	0	0	0
Slc5a4a	125.142857	0	422	454	0	0	0	0	0
Pla2g6	125.142857	0	133	304	0	439	0	0	0
Dcdc2c	125.142857	0	423	453	0	0	0	0	0
Cyp2b13	125.142857	0	388	488	0	0	0	0	0
Cyp26c1	125.142857	0	425	274	0	177	0	0	0
Slc23a1	125.000000	0	453	422	0	0	0	0	0
Prokr2	125.000000	0	571	304	0	0	0	0	0
Atp6v0a4	125.000000	0	482	393	0	0	0	0	0
Olfr460	124.857143	0	158	125	0	591	0	0	0
Ktn1	124.857143	0	236	507	0	131	0	0	0
Il12rb2	124.857143	0	423	451	0	0	0	0	0
Gm4988	124.857143	0	405	469	0	0	0	0	0
Glrx3	124.857143	0	313	399	0	162	0	0	0
Epha10	124.857143	0	397	477	0	0	0	0	0
Dip2c	124.857143	0	405	469	0	0	0	0	0
2300002M23Rik	124.857143	0	405	469	0	0	0	0	0
Scoc	124.714286	0	405	253	0	215	0	0	0
Atxn1l	124.714286	0	466	315	0	92	0	0	0
Olfr1351	124.571429	0	459	413	0	0	0	0	0
Ifi205	124.571429	0	459	413	0	0	0	0	0
Gabrb1	124.571429	0	459	413	0	0	0	0	0
Bhlha9	124.571429	0	293	289	0	290	0	0	0
B3gnt5	124.571429	0	441	431	0	0	0	0	0
Zfyve16	124.428571	0	170	287	0	414	0	0	0
Troap	124.428571	0	412	350	0	109	0	0	0
Sorbs3	124.428571	0	158	187	0	384	142	0	0
Pef1	124.428571	0	260	168	0	443	0	0	0
Lrrc4c	124.428571	0	268	603	0	0	0	0	0
H2-K1	124.428571	0	152	166	0	553	0	0	0
Tspan12	124.285714	0	410	460	0	0	0	0	0
Tlcd2	124.285714	0	342	416	0	112	0	0	0
Slc17a8	124.285714	0	204	156	0	510	0	0	0
Helt	124.285714	0	356	514	0	0	0	0	0
Arid3b	124.285714	0	383	189	0	298	0	0	0
Angptl4	124.285714	0	320	443	0	107	0	0	0
Gm19345	124.142857	0	171	267	0	431	0	0	0
Fbxl16	124.142857	0	420	449	0	0	0	0	0
Tlx1	124.000000	0	404	464	0	0	0	0	0
Samsn1	124.000000	0	188	253	0	427	0	0	0
Mreg	124.000000	0	299	419	0	150	0	0	0
Mmp9	124.000000	0	147	194	0	527	0	0	0
G6pc	124.000000	0	373	495	0	0	0	0	0
Ece2	124.000000	0	454	414	0	0	0	0	0
Anpep	124.000000	0	448	420	0	0	0	0	0
Mafb	123.857143	0	320	381	0	166	0	0	0
Hs3st1	123.857143	0	463	404	0	0	0	0	0
Ffar1	123.857143	0	459	408	0	0	0	0	0
Vdr	123.714286	0	419	447	0	0	0	0	0
Ttc4	123.714286	0	297	569	0	0	0	0	0
Stk36	123.714286	0	408	458	0	0	0	0	0
Rnf25	123.714286	0	408	458	0	0	0	0	0
Plbd1	123.714286	0	249	409	0	208	0	0	0
Tmem179	123.571429	0	240	389	0	236	0	0	0
Pafah1b2	123.571429	0	339	389	0	137	0	0	0
Kcnk18	123.571429	0	406	459	0	0	0	0	0
Gm10272	123.571429	0	519	346	0	0	0	0	0
Chrac1	123.571429	0	303	396	0	166	0	0	0
Cd244a	123.571429	0	199	243	0	423	0	0	0
Ly6d	123.428571	0	470	394	0	0	0	0	0
H2ac19	123.428571	0	231	209	114	165	145	0	0
H2ac18	123.428571	0	231	209	114	165	145	0	0
Mup5	123.285714	0	318	545	0	0	0	0	0
Luzp4	123.285714	0	318	545	0	0	0	0	0
Lrrc10	123.285714	0	331	532	0	0	0	0	0
Kif1b	123.285714	0	400	463	0	0	0	0	0
Txnrd1	123.142857	0	307	477	0	78	0	0	0
Tulp2	123.142857	0	254	387	0	221	0	0	0
Srp72	123.142857	0	252	340	0	270	0	0	0
Ppdpf	123.142857	0	306	346	0	210	0	0	0
En2	123.142857	0	361	501	0	0	0	0	0
Eif3h	123.142857	0	343	424	0	95	0	0	0
Abtb1	123.142857	0	0	0	0	862	0	0	0
Vmn2r6	123.000000	0	335	526	0	0	0	0	0
Them5	123.000000	0	318	543	0	0	0	0	0
Rilpl2	123.000000	0	0	0	0	710	151	0	0
Psap	123.000000	0	335	394	0	132	0	0	0
Olfr688	123.000000	0	335	526	0	0	0	0	0
Olfml2b	123.000000	0	388	473	0	0	0	0	0
Nr1h5	123.000000	0	335	526	0	0	0	0	0
Gykl1	123.000000	0	318	358	0	185	0	0	0
Ddx18	123.000000	0	335	431	0	95	0	0	0
Cox18	123.000000	0	62	0	115	503	181	0	0
Arntl2	123.000000	0	277	107	0	477	0	0	0
Susd3	122.857143	0	282	253	0	325	0	0	0
Plce1	122.857143	0	353	507	0	0	0	0	0
Gpr132	122.857143	0	297	336	0	227	0	0	0
Cmss1	122.857143	0	285	431	0	144	0	0	0
Chst9	122.857143	0	353	507	0	0	0	0	0
Calcoco1	122.857143	0	333	370	0	157	0	0	0
Traf3ip2	122.714286	0	129	203	0	527	0	0	0
Lrrc38	122.714286	0	415	444	0	0	0	0	0
Hamp2	122.714286	0	473	386	0	0	0	0	0
Epg5	122.714286	0	366	239	0	254	0	0	0
Stra8	122.571429	0	288	326	0	244	0	0	0
Phactr3	122.571429	0	427	431	0	0	0	0	0
Otof	122.571429	0	384	474	0	0	0	0	0
Fam166c	122.571429	0	384	474	0	0	0	0	0
Agrp	122.571429	0	153	302	0	403	0	0	0
Zfp568	122.428571	0	283	434	0	140	0	0	0
Trabd	122.428571	0	245	398	0	214	0	0	0
Stfa3	122.428571	0	388	469	0	0	0	0	0
Klrk1	122.428571	0	388	469	0	0	0	0	0
