Target_genes	Bach2|Average	SRX264235|CD4+_T_cells	SRX761324|CD4+_T_cells	SRX761325|CD4+_T_cells	SRX5396196|Lymph_Nodes	SRX5396197|Lymph_Nodes	SRX1629385|M1	SRX2200545|Pro-B_cells	SRX2200546|Pro-B_cells	STRING
Tmem230	159.750000	0	487	357	0	0	0	291	143	0
Sprtn	159.750000	181	207	317	0	0	0	269	304	0
Lims1	159.750000	333	0	0	0	0	0	453	492	0
Ing4	159.750000	711	0	0	0	0	82	267	218	0
Exoc8	159.750000	181	207	317	0	0	0	269	304	0
Tmem41b	159.625000	821	188	0	0	0	0	187	81	0
Arpc2	159.625000	698	343	100	0	0	0	136	0	0
Piwil4	159.500000	0	0	0	0	0	0	640	636	0
Zfp148	159.250000	256	359	253	0	0	0	264	142	0
Ccdc88b	159.125000	476	0	0	0	0	0	425	372	0
Nfatc2	159.000000	550	94	164	0	0	148	316	0	0
Sytl1	158.875000	606	0	0	0	0	0	415	250	0
Ube2j2	158.500000	162	454	320	0	0	0	145	187	0
Phf5a	158.375000	222	368	314	0	0	0	239	124	0
Aco2	158.375000	222	368	314	0	0	0	239	124	0
Plk3	158.125000	0	0	0	0	0	488	413	364	0
Trnp1	158.000000	268	0	0	0	0	0	596	400	0
Tspan4	157.875000	451	205	256	0	0	0	200	151	0
Sdf4	157.875000	183	172	202	0	0	286	143	277	0
Nemp1	157.875000	754	0	166	0	0	0	343	0	0
B3galt6	157.875000	183	172	202	0	0	286	143	277	0
Trim30b	157.625000	309	327	0	0	0	0	443	182	0
Trim12c	157.625000	309	327	0	0	0	0	443	182	0
Ifnz	157.625000	260	288	208	0	0	0	147	358	0
Dchs2	157.250000	409	416	433	0	0	0	0	0	0
Prr5l	157.125000	334	161	0	0	0	0	472	290	0
Efcab14	157.125000	0	179	263	0	0	0	425	390	0
Stmn4	157.000000	0	0	0	0	0	0	688	568	0
Shisa5	156.875000	547	0	123	0	0	0	364	221	0
Sh3bgrl3	156.875000	612	163	216	0	0	0	143	121	0
Prtn3	156.875000	0	0	0	0	0	0	708	547	0
Plppr3	156.875000	0	0	0	0	0	0	708	547	0
B4galnt1	156.875000	0	109	162	0	0	0	504	480	0
Ltb4r1	156.500000	283	0	241	0	0	0	367	361	0
Kmo	156.375000	0	0	0	0	0	496	564	191	0
P2rx7	156.125000	0	0	0	0	0	0	526	723	0
Epn1	156.125000	135	324	321	0	0	145	213	111	0
Zfp119a	156.000000	147	248	449	0	0	0	256	148	0
D16Ertd472e	155.625000	245	179	96	0	0	0	442	283	0
H2bc1	155.500000	284	513	447	0	0	0	0	0	0
H2ac1	155.500000	284	513	447	0	0	0	0	0	0
Xpo7	155.250000	436	83	158	0	0	0	349	216	0
Cd180	155.250000	0	0	0	0	0	0	770	472	0
Grcc10	155.000000	87	269	148	0	0	135	417	184	0
Dync1h1	155.000000	200	165	149	0	0	0	549	177	0
Zfp974	154.875000	987	0	0	0	0	0	104	148	0
Cebpe	154.875000	468	0	0	0	0	0	503	268	0
Adora2a	154.875000	131	143	148	0	0	0	337	480	0
Map2k2	154.750000	118	345	227	0	0	0	267	281	0
Zfp560	154.625000	269	274	292	0	0	0	167	235	0
Mest	154.625000	143	0	141	0	0	0	587	366	0
Rnf115	154.500000	784	0	101	0	0	0	203	148	0
Polr3c	154.500000	784	0	101	0	0	0	203	148	0
Scml4	154.250000	286	0	0	0	0	0	601	347	0
Slc43a2	154.000000	923	0	0	0	0	0	158	151	0
Elk4	153.875000	808	100	141	0	0	0	182	0	0
Bbc3	153.875000	307	517	110	0	0	0	136	161	0
Trim12a	153.750000	299	368	0	0	0	0	316	247	0
Mt4	153.625000	539	0	0	0	237	0	313	140	0
Cyren	153.500000	94	538	290	0	0	0	171	135	0
Dhx16	153.375000	344	283	214	0	0	0	226	160	0
Dvl2	153.125000	221	654	235	0	0	0	115	0	0
Ube2g2	153.000000	152	457	310	0	0	0	165	140	0
Snx5	152.875000	253	201	269	0	0	0	229	271	0
Mgme1	152.875000	253	201	269	0	0	0	229	271	0
Sirt4	152.750000	154	0	0	0	0	179	514	375	0
Dock9	152.750000	707	0	0	0	0	0	362	153	0
Rapgef6	152.625000	147	173	169	0	0	0	387	345	0
Bfsp2	152.375000	0	0	0	0	0	0	763	456	0
Atg7	152.375000	413	190	166	0	0	0	303	147	0
Rbm14	152.250000	545	231	145	0	0	0	182	115	0
Gm21992	152.250000	545	231	145	0	0	0	182	115	0
Lck	152.000000	314	0	0	0	0	0	501	401	0
Fam167b	152.000000	314	0	0	0	0	0	501	401	0
Bola1	152.000000	345	145	194	0	0	0	292	240	0
Card19	151.875000	180	85	198	0	0	0	433	319	0
Olfr1507	151.750000	0	0	0	0	0	0	613	601	0
Nemf	151.750000	0	448	365	0	0	0	232	169	0
Trib3	151.500000	499	332	0	0	0	0	147	234	0
Plekhg3	151.500000	0	0	121	0	0	0	565	526	0
Olfr646	151.375000	0	0	0	0	0	128	737	346	0
Map1a	151.375000	209	0	110	0	0	191	445	256	0
Akt2	151.375000	294	195	167	0	0	0	329	226	0
Rps29	151.250000	0	471	394	0	0	0	233	112	0
Rimbp3	151.125000	0	579	630	0	0	0	0	0	0
Slc46a3	151.000000	203	0	0	0	0	395	484	126	0
Kat2b	150.875000	378	0	0	0	0	0	486	343	0
Dap	150.875000	524	181	146	0	0	0	221	135	0
Dguok	150.625000	199	157	125	0	0	0	415	309	0
Slc22a12	150.375000	0	0	0	0	0	0	738	465	0
Rad23b	150.375000	745	147	103	0	0	0	82	126	0
Gm13275	150.375000	210	228	238	0	0	0	226	301	0
Stambpl1	150.250000	227	260	233	0	0	0	262	220	0
Mtmr4	150.125000	384	178	0	0	0	0	289	350	0
Lilrb4a	150.000000	0	99	0	0	0	0	492	609	0
Stat5a	149.875000	185	129	0	354	443	0	88	0	0
Phactr2	149.875000	0	121	160	0	0	0	620	298	0
Slamf1	149.750000	111	0	0	0	0	0	586	501	0
Rnf125	149.250000	743	125	130	0	0	0	196	0	0
Borcs6	149.125000	697	0	119	0	0	0	227	150	0
Zbtb37	149.000000	581	0	0	0	0	190	271	150	0
Kcnj1	148.875000	0	0	0	0	0	0	610	581	0
Il1r1	148.875000	0	0	0	0	0	0	645	546	0
Prr12	148.625000	606	0	183	0	0	0	232	168	0
Gas2l3	148.625000	164	0	156	0	0	0	499	370	0
Tcp11l1	148.500000	179	0	70	0	0	111	550	278	0
Mfsd6	148.500000	0	0	116	0	0	0	632	440	0
Lrrc8b	148.500000	269	354	325	0	0	0	132	108	0
Rmi2	148.250000	311	173	311	0	0	0	293	98	0
Mterf1a	148.125000	138	397	308	0	0	0	133	209	0
Nras	148.000000	255	199	185	0	0	193	223	129	0
Tsacc	147.875000	670	0	0	0	120	0	254	139	0
Trib1	147.875000	528	0	128	0	0	0	308	219	0
Mrpl44	147.875000	487	116	0	0	0	0	328	252	0
Cct3	147.875000	670	0	0	0	120	0	254	139	0
Tuba4a	147.750000	209	593	0	0	0	0	236	144	0
Clcn3	147.750000	243	116	98	0	0	0	528	197	0
Tpgs2	147.500000	123	96	0	0	0	0	531	430	0
Gm13279	147.500000	210	215	238	0	0	0	226	291	0
Gm13278	147.500000	210	215	238	0	0	0	226	291	0
AW554918	147.500000	123	96	0	0	0	0	531	430	0
Pecam1	147.375000	748	113	0	0	0	0	200	118	0
Actb	147.125000	199	306	371	0	0	0	204	97	0
Dipk2a	147.000000	119	149	188	0	0	135	368	217	0
Mrap	146.750000	0	0	0	0	0	0	589	585	0
Lat2	146.750000	0	0	0	0	0	0	823	351	0
Nsun3	146.625000	448	113	233	0	0	140	109	130	0
Grn	146.500000	545	0	0	0	0	0	400	227	0
Creld2	146.500000	0	135	0	0	0	0	714	323	0
Alg12	146.500000	0	135	0	0	0	0	714	323	0
Emc7	146.125000	134	230	195	0	0	0	407	203	0
Trim37	146.000000	281	208	163	0	0	0	312	204	0
Prm3	146.000000	100	0	0	0	0	347	566	155	0
Prm2	146.000000	100	0	0	0	0	347	566	155	0
Ptma	145.875000	629	228	215	0	0	0	95	0	0
Lat	145.750000	167	154	0	0	0	0	377	468	0
Srpk2	145.625000	0	121	0	0	0	219	584	241	0
Gstm3	145.625000	0	0	0	0	0	359	494	312	0
Pip4p1	145.500000	672	160	251	0	0	0	81	0	0
Gck	145.375000	0	0	0	0	0	0	637	526	0
Dlgap4	145.125000	0	127	123	0	0	0	501	410	0
Sec24d	145.000000	569	204	0	0	0	0	262	125	0
Rb1cc1	145.000000	437	302	142	0	0	0	88	191	0
Ss18l1	144.875000	648	185	143	0	0	0	183	0	0
Rab3gap2	144.875000	221	177	207	0	0	0	324	230	0
Psma7	144.875000	648	185	143	0	0	0	183	0	0
Hacd3	144.875000	498	247	166	0	0	0	248	0	0
Ski	144.750000	0	117	123	0	0	0	486	432	0
Zfp36l1	144.625000	684	175	162	0	0	0	0	136	0
Srrm2	144.625000	495	213	114	0	0	0	167	168	0
Gpr146	144.625000	190	96	138	0	0	0	385	348	0
Gm13276	144.625000	260	288	232	0	0	0	145	232	0
Zyx	144.500000	532	103	173	0	0	0	220	128	0
Prrc1	144.500000	0	147	144	0	0	0	612	253	0
Gbp7	144.500000	309	0	0	0	0	0	500	347	0
Wsb1	144.375000	263	0	149	0	0	0	403	340	0
Pex3	144.375000	351	139	162	0	0	0	309	194	0
Adat2	144.375000	351	139	162	0	0	0	309	194	0
AW549877	144.125000	274	117	266	0	0	0	308	188	0
Trap1	144.000000	453	334	240	0	0	0	125	0	0
Herc2	144.000000	788	143	140	0	0	0	0	81	0
Ppih	143.750000	461	174	166	0	0	0	178	171	0
Lair1	143.750000	283	0	0	0	0	0	557	310	0
Pofut1	143.500000	763	99	91	0	195	0	0	0	0
Plagl2	143.500000	763	99	91	0	195	0	0	0	0
Dnajc11	143.500000	0	507	534	0	0	0	107	0	0
Uhrf1	143.375000	650	128	109	0	0	0	105	155	0
Arrdc5	143.375000	650	128	109	0	0	0	105	155	0
Psmd3	143.250000	280	225	187	0	0	0	298	156	0
Pold3	143.250000	319	171	95	0	0	0	208	353	0
Setdb1	143.125000	657	0	0	0	0	0	380	108	0
Fgd3	143.000000	227	0	0	0	0	0	370	547	0
Gm13272	142.875000	194	207	223	0	0	0	161	358	0
Gm13277	142.750000	260	288	232	0	0	0	145	217	0
Furin	142.750000	156	0	151	320	213	0	151	151	0
Smim14	142.625000	311	325	139	0	0	0	210	156	0
Sephs2	142.625000	918	112	111	0	0	0	0	0	0
Gbp4	142.625000	245	0	0	0	0	0	542	354	0
Extl3	142.625000	421	196	219	0	0	173	132	0	0
Eprs	142.375000	106	128	210	0	0	0	380	315	0
Cflar	142.250000	428	123	195	0	192	0	113	87	0
Rnf141	142.000000	274	317	228	0	0	0	194	123	0
Prrc2b	142.000000	774	0	0	0	0	0	216	146	0
Fbxl22	142.000000	195	350	309	0	0	0	157	125	0
1110002E22Rik	142.000000	611	0	0	0	0	0	325	200	0
Tnfrsf8	141.875000	893	0	0	0	0	0	242	0	0
Grhl3	141.875000	0	0	0	0	0	0	628	507	0
Tnfsf14	141.750000	0	0	0	145	0	0	542	447	0
Tmem37	141.750000	0	642	201	0	0	0	128	163	0
Cnot2	141.750000	176	150	86	0	0	0	537	185	0
4931414P19Rik	141.750000	616	170	201	0	0	0	147	0	0
Vmp1	141.625000	521	131	0	0	153	0	180	148	0
Stam2	141.625000	235	206	189	0	0	0	377	126	0
Pttg1ip	141.625000	100	340	323	0	0	0	194	176	0
Ptrh2	141.625000	521	131	0	0	153	0	180	148	0
Trex1	141.500000	547	0	0	0	0	0	364	221	0
Gm3448	141.500000	212	322	250	0	0	0	184	164	0
Gm3417	141.500000	212	322	250	0	0	0	184	164	0
Sult5a1	141.250000	943	187	0	0	0	0	0	0	0
Ssrp1	141.250000	0	156	181	0	0	0	400	393	0
P2rx3	141.250000	0	156	181	0	0	0	400	393	0
Gtf3c6	141.250000	137	0	0	0	0	268	365	360	0
Pigq	141.125000	115	379	287	0	0	0	209	139	0
Nhlrc4	141.125000	115	379	287	0	0	0	209	139	0
Baz1b	141.125000	696	0	0	0	0	0	293	140	0
Me2	141.000000	0	192	162	0	0	0	407	367	0
Bcl11b	141.000000	247	424	457	0	0	0	0	0	0
Lama5	140.875000	491	147	134	0	0	0	355	0	0
Cerk	140.875000	0	0	71	0	0	0	637	419	0
Cep164	140.875000	133	242	0	0	0	0	468	284	0
Il17ra	140.625000	156	0	125	0	0	0	405	439	0
Hnrnpf	140.625000	360	212	157	0	0	0	219	177	0
Iqch	140.500000	0	462	375	0	0	0	130	157	0
Cd3d	140.500000	75	0	0	0	0	139	432	478	0
Aagab	140.500000	0	462	375	0	0	0	130	157	0
Wipf1	140.375000	428	0	108	0	0	0	370	217	0
Nr1d2	140.375000	144	205	189	0	0	0	422	163	0
Mrpl12	140.375000	0	337	297	0	0	110	216	163	0
Ndc1	140.250000	0	116	144	0	0	0	521	341	0
Dhx40	140.250000	87	244	304	0	0	0	219	268	0
Srd5a3	140.125000	434	223	248	0	0	0	100	116	0
Timm8a2	139.750000	320	0	0	0	0	0	406	392	0
Clic4	139.750000	507	120	0	0	0	0	220	271	0
Tusc2	139.625000	0	346	472	0	0	0	207	92	0
Fsd2	139.500000	592	329	195	0	0	0	0	0	0
Prdm2	139.375000	372	0	94	0	0	0	442	207	0
Lcp2	139.375000	407	0	0	0	150	0	290	268	0
Arhgap27	139.375000	638	173	180	0	0	0	124	0	0
Trp53rkb	139.250000	209	140	151	0	0	0	360	254	0
Ddit3	139.125000	714	147	0	0	0	0	134	118	0
Dcaf10	139.125000	207	194	342	0	0	0	268	102	0
Ift46	139.000000	0	394	245	0	0	0	229	244	0
Cnpy3	139.000000	267	242	321	0	0	0	131	151	0
Ring1	138.750000	0	139	125	0	0	0	517	329	0
Rbm38	138.625000	0	180	191	0	0	0	489	249	0
Btbd8	138.625000	166	329	291	0	0	0	167	156	0
Hspe1	138.500000	233	175	170	248	282	0	0	0	0
Hspd1	138.500000	233	175	170	248	282	0	0	0	0
Ercc6l	138.500000	548	0	0	0	0	0	313	247	0
Dpp8	138.500000	577	192	236	0	0	0	103	0	0
Cdh17	138.500000	0	0	0	0	0	0	1108	0	0
Nfkbiz	138.375000	0	172	148	0	0	0	402	385	0
5031439G07Rik	138.375000	251	0	133	0	0	0	394	329	0
Ap2m1	138.250000	409	160	155	0	0	0	203	179	0
Pcgf5	138.000000	0	163	206	340	395	0	0	0	0
Abhd12	138.000000	329	0	0	0	0	0	503	272	0
Tmem175	137.875000	278	418	156	0	0	0	143	108	0
Gak	137.875000	278	418	156	0	0	0	143	108	0
Pgs1	137.750000	0	176	126	0	0	0	417	383	0
Larp4	137.750000	298	371	221	0	0	0	139	73	0
Tcte3	137.500000	212	322	250	0	0	0	174	142	0
H2-Ob	137.500000	187	0	0	0	0	0	612	301	0
Chmp6	137.500000	0	376	280	0	0	0	267	177	0
Atg16l2	137.375000	273	202	102	0	0	0	345	177	0
Actn4	137.375000	382	296	175	0	0	0	141	105	0
Kdsr	137.250000	342	277	200	0	0	0	170	109	0
Otulin	137.000000	207	189	200	0	0	0	280	220	0
Tmcc3	136.875000	357	132	147	171	288	0	0	0	0
Rgs1	136.875000	110	0	0	0	0	0	621	364	0
Tgfbr2	136.625000	221	379	99	0	0	0	195	199	0
Zfp771	136.500000	543	364	185	0	0	0	0	0	0
Ap1m1	136.375000	452	109	0	0	0	0	371	159	0
Tsc22d2	136.250000	405	192	100	0	0	0	247	146	0
Osgin1	136.250000	216	0	0	0	165	0	463	246	0
Garnl3	136.250000	144	116	0	0	0	0	456	374	0
Ermard	136.250000	212	322	240	0	0	0	174	142	0
Commd9	136.250000	334	0	0	0	0	0	472	284	0
Septin9	136.125000	317	113	142	0	0	0	299	218	0
Nfam1	136.125000	401	0	0	0	0	0	317	371	0
Srrt	136.000000	157	217	179	0	0	0	310	225	0
Hbb-bt	136.000000	0	0	0	0	0	0	613	475	0
Hbb-b2	136.000000	0	0	0	0	0	0	613	475	0
Apon	136.000000	377	0	0	0	0	0	471	240	0
Zfp870	135.875000	556	0	0	0	0	0	270	261	0
Trim5	135.875000	308	440	0	0	0	0	123	216	0
Srprb	135.750000	0	0	114	0	0	119	572	281	0
Tspoap1	135.500000	219	171	169	0	0	0	316	209	0
Ssbp1	135.500000	177	296	191	0	0	0	201	219	0
Ndufs7	135.500000	170	112	0	0	0	185	290	327	0
Ltbp3	135.500000	226	0	0	0	0	0	560	298	0
Bckdhb	135.375000	115	167	83	0	0	341	205	172	0
Ubr4	135.125000	0	227	189	0	0	0	347	318	0
Pithd1	135.125000	313	116	211	153	211	0	0	77	0
Birc5	135.125000	0	482	377	0	0	0	132	90	0
Resf1	135.000000	0	285	242	0	0	178	112	263	0
Pomt1	135.000000	176	322	267	0	0	0	197	118	0
Adamts14	135.000000	0	0	83	0	0	0	520	477	0
Zc3h10	134.875000	0	224	227	0	0	87	318	223	0
Sstr4	134.875000	0	0	0	0	0	0	690	389	0
Rpl41	134.875000	0	224	227	0	0	87	318	223	0
9030025P20Rik	134.875000	196	307	228	0	0	0	184	164	0
Ptprs	134.750000	283	140	0	373	282	0	0	0	0
Esr1	134.750000	181	0	230	0	0	0	349	318	0
Synj2	134.625000	151	0	158	0	0	0	469	299	0
Isca1	134.625000	180	239	210	0	0	0	255	193	0
Gstm6	134.625000	0	0	0	0	0	319	542	216	0
Eya2	134.625000	162	0	0	0	0	0	529	386	0
Clk3	134.625000	0	223	174	147	0	0	311	222	0
Snrnp48	134.500000	251	372	174	0	0	0	185	94	0
Osbp	134.375000	1000	0	0	0	0	0	75	0	0
Ctsd	134.375000	347	211	133	0	0	0	285	99	0
Nup54	134.125000	373	319	104	0	0	0	178	99	0
Tctex1d1	134.000000	151	0	0	0	0	0	620	301	0
Igsf5	134.000000	757	0	0	0	0	0	199	116	0
Zfp959	133.750000	205	246	287	0	0	0	182	150	0
Hsbp1l1	133.750000	0	0	0	0	0	0	654	416	0
Palm3	133.625000	247	498	211	0	0	0	113	0	0
Naa25	133.625000	318	139	154	0	0	0	278	180	0
Sec31a	133.500000	119	197	244	0	0	0	344	164	0
Lamp2	133.500000	128	0	0	0	0	0	541	399	0
Ccar1	133.250000	258	302	172	0	0	0	129	205	0
Ttc39a	133.125000	0	0	0	0	0	0	614	451	0
Tor4a	133.125000	730	198	0	0	0	0	137	0	0
Pcnx	133.125000	0	0	86	0	0	0	676	303	0
Atp13a3	133.125000	339	218	197	0	0	0	148	163	0
Arvcf	133.125000	661	0	151	0	0	0	169	84	0
Yipf2	133.000000	0	0	123	0	0	275	382	284	0
Timm29	133.000000	0	0	123	0	0	275	382	284	0
Rab44	133.000000	0	0	0	0	0	0	607	457	0
Phf8	133.000000	594	193	0	0	0	0	188	89	0
Aspg	132.875000	239	0	0	0	0	0	555	269	0
Cd44	132.750000	361	0	0	0	0	0	399	302	0
3110040N11Rik	132.625000	219	233	0	0	0	0	307	302	0
Tango2	132.500000	661	0	146	0	0	0	169	84	0
Prex1	132.500000	409	134	180	0	0	0	197	140	0
Grap	132.500000	191	0	0	0	0	0	473	396	0
Ndufa10	132.375000	190	280	257	0	0	0	147	185	0
Lrrc59	132.375000	124	404	222	0	0	0	180	129	0
Cytip	132.375000	338	0	0	0	0	0	332	389	0
Ralgps1	132.250000	0	156	133	0	0	0	436	333	0
Znrd1as	132.125000	0	0	0	0	0	0	525	532	0
Utp3	132.125000	211	295	113	0	0	0	267	171	0
Usp39	132.125000	193	87	143	0	0	0	383	251	0
Rbfa	132.125000	145	226	179	0	0	0	245	262	0
Lmtk2	132.125000	323	162	125	0	0	0	200	247	0
0610030E20Rik	132.125000	193	87	143	0	0	0	383	251	0
Rangap1	132.000000	438	141	0	0	0	0	272	205	0
Washc1	131.875000	0	103	247	0	0	0	395	310	0
Psmc5	131.875000	395	141	0	0	0	0	276	243	0
Ftsj3	131.875000	395	141	0	0	0	0	276	243	0
Clba1	131.875000	88	130	121	0	0	0	390	326	0
Pcx	131.750000	147	107	0	0	0	0	475	325	0
Lactb2	131.750000	223	191	179	0	0	0	272	189	0
Ptcd2	131.625000	185	400	370	0	0	0	98	0	0
Mrps27	131.625000	185	400	370	0	0	0	98	0	0
Fbp2	131.625000	0	0	0	0	0	0	546	507	0
Pafah1b2	131.500000	0	172	179	0	0	0	474	227	0
Mmadhc	131.500000	292	269	224	0	0	0	176	91	0
Calm1	131.500000	413	240	287	0	0	0	112	0	0
Tmigd1	131.250000	212	0	0	0	0	0	485	353	0
Tatdn2	131.250000	228	95	136	0	0	0	267	324	0
Cracr2a	131.250000	327	0	0	0	0	0	327	396	0
Sumf1	131.125000	205	256	261	0	0	0	176	151	0
Rsrp1	131.000000	131	0	0	0	0	0	497	420	0
Napa	130.750000	333	0	165	0	0	0	305	243	0
Nprl3	130.500000	483	99	197	0	0	0	265	0	0
Safb2	130.375000	151	159	158	0	0	0	378	197	0
Safb	130.375000	151	159	158	0	0	0	378	197	0
Oasl2	130.375000	533	369	0	0	0	0	141	0	0
Map3k14	130.375000	583	91	0	0	0	0	194	175	0
Dmwd	130.375000	0	0	0	0	0	0	561	482	0
Uspl1	130.125000	317	293	0	0	0	144	128	159	0
Stx4a	130.000000	496	123	173	0	0	0	150	98	0
Slc9a1	130.000000	262	237	111	0	0	0	229	201	0
Kmt2c	130.000000	458	215	128	0	0	0	116	123	0
Fem1b	130.000000	168	248	217	0	0	123	194	90	0
Pdlim1	129.875000	433	382	108	0	0	0	116	0	0
Nfat5	129.875000	0	327	325	0	157	0	85	145	0
Med7	129.750000	253	279	191	0	0	0	231	84	0
Cox16	129.625000	262	174	0	0	0	0	370	231	0
Cfap53	129.500000	414	0	0	0	0	0	416	206	0
G3bp2	129.375000	89	197	137	0	0	0	388	224	0
Tbl1x	129.250000	348	121	0	0	0	0	360	205	0
Pip5k1c	129.250000	0	429	322	0	0	0	130	153	0
Per1	129.250000	129	239	293	136	0	0	91	146	0
Itgb2	129.250000	512	0	0	0	0	0	243	279	0
Mtmr6	129.125000	296	129	89	0	0	0	316	203	0
Wipi2	129.000000	236	252	194	0	0	0	189	161	0
Gpx4	128.875000	199	0	122	0	0	0	390	320	0
Bhlhe41	128.750000	0	0	0	0	0	0	658	372	0
Ppp1r15a	128.625000	172	131	115	0	0	0	290	321	0
Plekha4	128.625000	172	131	115	0	0	0	290	321	0
Tmem183a	128.375000	400	290	224	0	0	0	113	0	0
Olfr1263	128.375000	0	0	0	0	0	0	657	370	0
Csde1	128.250000	543	0	0	0	0	0	290	193	0
Adam10	128.250000	488	150	162	0	0	0	109	117	0
Tmem116	128.125000	274	122	259	0	0	0	169	201	0
Erp29	128.125000	274	122	259	0	0	0	169	201	0
Emid1	128.125000	0	0	0	0	0	0	605	420	0
Baz2a	128.125000	120	145	133	0	0	0	287	340	0
Pisd	128.000000	197	178	182	0	0	0	315	152	0
Il2rb	128.000000	562	0	0	0	0	0	253	209	0
Dazap2	128.000000	442	159	121	0	0	0	186	116	0
Tes	127.875000	324	178	151	0	0	0	225	145	0
Psmg2	127.875000	0	195	289	0	0	0	345	194	0
Cep76	127.875000	0	195	289	0	0	0	345	194	0
Zfp142	127.750000	361	203	167	0	0	0	185	106	0
Nars2	127.750000	106	123	0	0	0	0	443	350	0
Impg1	127.750000	0	0	0	0	0	0	513	509	0
Eef2k	127.750000	0	170	118	0	0	0	444	290	0
Bcs1l	127.750000	361	203	167	0	0	0	185	106	0
Scrib	127.625000	195	187	351	0	0	0	175	113	0
Rubcn	127.625000	405	338	192	0	0	0	0	86	0
Zfand2a	127.500000	261	0	0	0	0	456	148	155	0
Trip4	127.500000	0	350	133	0	0	93	216	228	0
Lgals3	127.500000	0	0	102	0	0	0	624	294	0
Tmem86a	127.375000	180	179	209	0	0	0	246	205	0
Snx30	127.375000	0	0	0	0	0	0	592	427	0
Rpl27	127.375000	215	227	237	0	0	0	156	184	0
Mterf1b	127.375000	148	324	207	0	0	0	135	205	0
Dyrk3	127.375000	140	0	174	0	0	0	370	335	0
Cd300a	127.375000	0	0	0	0	0	0	608	411	0
Zfp609	127.250000	81	0	0	0	0	0	483	454	0
Tyw5	127.250000	0	345	269	0	0	0	211	193	0
Maip1	127.250000	0	345	269	0	0	0	211	193	0
Nol3	127.125000	119	394	0	0	0	0	312	192	0
Ly9	127.125000	215	0	0	0	0	0	470	332	0
Ttc39c	127.000000	462	141	159	0	254	0	0	0	0
Irgm2	127.000000	142	0	0	0	0	0	525	349	0
Tmem104	126.875000	0	130	200	0	0	0	381	304	0
Timm13	126.875000	212	173	241	0	0	0	129	260	0
Nat9	126.875000	0	130	200	0	0	0	381	304	0
Atf6b	126.875000	743	0	169	0	0	0	103	0	0
Mgat1	126.750000	0	162	151	0	0	0	367	334	0
Kcnn4	126.750000	510	158	0	0	83	0	167	96	0
Fnbp1	126.625000	229	137	131	0	0	0	271	245	0
Stk16	126.500000	0	164	164	0	0	0	328	356	0
Glb1l	126.500000	0	164	164	0	0	0	328	356	0
Farsa	126.500000	0	0	0	0	0	0	633	379	0
Nomo1	126.375000	127	319	287	0	0	0	143	135	0
Dok3	126.375000	0	0	0	0	0	0	671	340	0
Abcc6	126.375000	127	319	287	0	0	0	143	135	0
Zp1	126.250000	0	0	0	0	0	0	716	294	0
Stab1	126.250000	342	0	0	0	0	0	414	254	0
Raet1d	126.250000	484	0	0	0	0	0	331	195	0
Olfr1261	126.250000	0	0	0	0	0	0	544	466	0
Ikbkg	126.250000	0	0	0	0	0	0	649	361	0
G6pdx	126.250000	0	0	0	0	0	0	649	361	0
Mcat	126.000000	472	109	146	0	0	0	127	154	0
Riok2	125.875000	219	165	67	0	0	0	285	271	0
Serinc3	125.750000	245	245	230	0	0	0	141	145	0
Ttpal	125.625000	380	186	199	0	0	0	130	110	0
Pex12	125.375000	323	297	167	0	0	0	121	95	0
Atad2b	125.375000	229	344	146	0	0	0	175	109	0
Ap2b1	125.375000	323	297	167	0	0	0	121	95	0
Fam3c	124.750000	202	349	192	0	0	0	96	159	0
Diaph1	124.750000	148	526	227	0	0	0	97	0	0
Zfp12	124.625000	193	144	276	0	0	0	271	113	0
Uso1	124.625000	89	197	99	0	0	0	388	224	0
Spry4	124.500000	294	0	113	0	0	0	326	263	0
Pcm1	124.500000	715	154	127	0	0	0	0	0	0
Pam16	124.500000	78	273	367	0	0	0	171	107	0
Runx2	124.375000	0	385	610	0	0	0	0	0	0
Rfx4	124.375000	442	0	0	0	0	0	334	219	0
Get1	124.375000	0	266	322	0	0	0	262	145	0
Trmt10c	124.250000	93	251	326	0	0	0	186	138	0
Med9	124.250000	272	239	199	0	0	0	188	96	0
Clip1	124.250000	360	0	95	0	0	0	226	313	0
Tef	124.125000	0	158	119	0	0	0	470	246	0
Sik3	124.125000	0	130	162	0	0	0	474	227	0
Nsd2	124.125000	0	0	0	0	0	0	675	318	0
Srrm1	124.000000	279	146	146	0	0	0	240	181	0
Mbp	124.000000	320	0	0	0	0	0	366	306	0
Mef2c	123.875000	108	0	0	0	0	0	456	427	0
Hmx2	123.750000	326	0	0	0	0	0	365	299	0
Ccdc107	123.750000	143	212	149	0	0	0	197	289	0
Slc39a8	123.500000	561	134	124	0	0	0	83	86	0
Sh2d5	123.500000	402	0	0	0	0	0	420	166	0
Gprin3	123.500000	457	178	130	0	0	0	104	119	0
Wwp1	123.375000	280	307	308	0	0	0	92	0	0
Slc26a11	123.250000	0	0	0	0	0	0	547	439	0
Sh3gl1	123.250000	0	173	223	0	0	0	270	320	0
Sgsh	123.250000	0	0	0	0	0	0	547	439	0
Chaf1a	123.250000	0	173	223	0	0	0	270	320	0
Fitm2	123.125000	120	259	292	0	0	0	96	218	0
Dock2	123.125000	427	0	0	0	0	0	338	220	0
Trim65	123.000000	274	291	301	0	0	0	118	0	0
