Target_genes	Hoxa9|Average	SRX7135172|Acute_myeloid_leukemia	SRX7416185|Embryoid_Bodies	SRX7416186|Embryoid_Bodies	SRX110439|Myeloblastic_cell_lines	SRX110442|Myeloblastic_cell_lines	SRX11174682|Unclassified	SRX11174683|Unclassified	SRX11174684|Unclassified	SRX11174686|Unclassified	SRX11174687|Unclassified	STRING
Lgals4	87.400000	178	0	0	0	0	555	0	0	141	0	0
Ptcra	87.300000	187	0	0	0	0	557	0	0	129	0	0
Mamdc2	87.300000	0	0	0	0	0	553	0	0	320	0	0
Fam135a	87.300000	0	454	419	0	0	0	0	0	0	0	0
2310039H08Rik	87.300000	187	0	0	0	0	557	0	0	129	0	0
Gm3696	87.000000	0	332	538	0	0	0	0	0	0	0	0
Cyp4f17	87.000000	0	661	209	0	0	0	0	0	0	0	0
Rab6a	86.900000	239	249	152	0	0	229	0	0	0	0	0
Ndufb3	86.900000	0	181	156	0	0	269	0	0	263	0	0
Man1b1	86.900000	181	0	92	0	0	472	0	0	124	0	0
Fli1	86.900000	0	373	125	0	0	371	0	0	0	0	0
Fam126b	86.900000	0	181	156	0	0	269	0	0	263	0	0
Dhcr7	86.900000	149	211	348	0	0	161	0	0	0	0	0
Arhgap19	86.900000	0	0	0	0	0	673	0	0	196	0	0
Lama3	86.800000	0	619	249	0	0	0	0	0	0	0	0
Uba52	86.700000	492	111	264	0	0	0	0	0	0	0	0
Pabpc1	86.700000	0	417	210	0	0	121	0	0	119	0	0
Gm6712	86.700000	132	264	169	0	0	211	0	0	91	0	0
Ssrp1	86.600000	0	87	197	0	403	179	0	0	0	0	0
P2rx3	86.600000	0	87	197	0	403	179	0	0	0	0	0
Kazn	86.600000	0	476	390	0	0	0	0	0	0	0	0
Herc1	86.600000	209	260	0	0	0	397	0	0	0	0	0
Zswim5	86.500000	0	319	546	0	0	0	0	0	0	0	0
Usp14	86.500000	0	380	485	0	0	0	0	0	0	0	0
Tjp3	86.500000	592	0	138	0	0	135	0	0	0	0	0
Rgs8	86.300000	0	217	170	0	0	358	0	0	118	0	0
Prdm15	86.200000	0	0	0	0	0	862	0	0	0	0	0
Lrrc4c	86.200000	0	702	160	0	0	0	0	0	0	0	0
Ggt7	86.200000	81	226	361	0	0	194	0	0	0	0	0
Acss2	86.200000	81	226	361	0	0	194	0	0	0	0	0
Abcg1	86.100000	861	0	0	0	0	0	0	0	0	0	0
Tank	86.000000	0	229	93	0	0	280	0	0	258	0	0
Olfr550	86.000000	130	0	0	0	0	614	0	0	116	0	0
E2f8	86.000000	225	0	0	0	0	635	0	0	0	0	0
Clec7a	85.900000	0	0	0	0	0	698	0	0	161	0	0
Zfp62	85.800000	0	215	371	0	0	147	0	0	125	0	0
Tmem65	85.800000	0	448	266	0	0	144	0	0	0	0	0
Spc24	85.800000	310	0	210	0	0	338	0	0	0	0	0
Prdm12	85.800000	0	402	456	0	0	0	0	0	0	0	0
Nr2f2	85.800000	0	421	437	0	0	0	0	0	0	0	0
Mapre2	85.800000	0	136	163	0	0	559	0	0	0	0	0
Zfp750	85.700000	0	267	0	0	0	590	0	0	0	0	0
Vipas39	85.700000	0	541	316	0	0	0	0	0	0	0	0
Csf2rb	85.700000	161	0	0	0	0	516	0	0	180	0	0
Ahsa1	85.700000	0	541	316	0	0	0	0	0	0	0	0
Tefm	85.600000	0	124	397	0	0	165	0	0	170	0	0
Smim6	85.600000	0	0	0	0	0	471	0	0	385	0	0
Wipi2	85.500000	176	145	219	0	0	184	0	0	131	0	0
Pnrc2	85.400000	118	203	236	0	0	297	0	0	0	0	0
Fam76b	85.400000	0	275	209	0	0	175	0	0	195	0	0
Eif5	85.400000	0	528	0	0	0	326	0	0	0	0	0
Echdc1	85.400000	0	633	221	0	0	0	0	0	0	0	0
Cep57	85.400000	0	275	209	0	0	175	0	0	195	0	0
Ccpg1os	85.400000	0	146	360	0	0	242	0	0	106	0	0
Ccpg1	85.400000	0	146	360	0	0	242	0	0	106	0	0
Tsen34	85.300000	148	131	394	0	0	180	0	0	0	0	0
Smim40	85.300000	0	552	301	0	0	0	0	0	0	0	0
Peli3	85.300000	0	433	420	0	0	0	0	0	0	0	0
Mboat7	85.300000	148	131	394	0	0	180	0	0	0	0	0
Cenpu	85.300000	0	192	141	0	0	394	0	0	126	0	0
Ssbp3	85.200000	304	251	152	0	0	145	0	0	0	0	0
Opa1	85.200000	176	0	93	0	0	401	0	0	182	0	0
Gm3488	85.200000	0	330	522	0	0	0	0	0	0	0	0
Cyb5d1	85.200000	221	135	130	0	0	366	0	0	0	0	0
Srsf9	85.100000	0	610	241	0	0	0	0	0	0	0	0
Smim3	85.100000	126	0	0	0	0	604	0	0	121	0	0
Rdm1	85.100000	106	295	168	0	0	282	0	0	0	0	0
Rab11b	85.100000	165	128	370	0	0	188	0	0	0	0	0
Elk1	85.100000	0	326	525	0	0	0	0	0	0	0	0
Smim11	85.000000	0	617	233	0	0	0	0	0	0	0	0
Hlx	85.000000	501	0	0	0	0	349	0	0	0	0	0
Zfp318	84.900000	0	299	550	0	0	0	0	0	0	0	0
Fbxl18	84.900000	0	626	223	0	0	0	0	0	0	0	0
Eogt	84.900000	0	492	357	0	0	0	0	0	0	0	0
Zfyve27	84.800000	326	383	0	0	0	139	0	0	0	0	0
Ube2f	84.800000	75	0	128	0	0	468	0	0	177	0	0
Rpl13	84.800000	722	126	0	0	0	0	0	0	0	0	0
Psmb6	84.800000	848	0	0	0	0	0	0	0	0	0	0
Etv5	84.800000	327	163	358	0	0	0	0	0	0	0	0
Efcab14	84.800000	0	0	0	0	0	613	0	0	235	0	0
Gadd45g	84.700000	82	247	257	0	0	261	0	0	0	0	0
Nptn	84.600000	158	0	0	0	0	528	0	0	160	0	0
Npc2	84.600000	85	309	452	0	0	0	0	0	0	0	0
Morf4l1	84.600000	0	417	168	0	0	123	0	0	138	0	0
Isca2	84.600000	85	309	452	0	0	0	0	0	0	0	0
Hs3st3b1	84.600000	0	516	0	0	0	330	0	0	0	0	0
Hoxb1	84.600000	0	289	557	0	0	0	0	0	0	0	0
Btg3	84.600000	0	395	451	0	0	0	0	0	0	0	0
Arl15	84.600000	0	184	167	0	0	291	0	0	204	0	0
Mynn	84.500000	0	321	188	0	0	336	0	0	0	0	0
Morc3	84.500000	435	0	146	0	0	264	0	0	0	0	0
Lgals9	84.500000	0	0	0	0	0	598	0	0	247	0	0
Kctd7	84.500000	0	667	0	0	0	178	0	0	0	0	0
Actrt3	84.500000	0	321	188	0	0	336	0	0	0	0	0
Nhlh2	84.400000	0	445	399	0	0	0	0	0	0	0	0
Micu3	84.400000	0	386	458	0	0	0	0	0	0	0	0
Phf12	84.300000	671	0	0	0	0	172	0	0	0	0	0
Fam111a	84.300000	0	0	0	0	0	675	0	0	168	0	0
Cox6c	84.200000	343	119	0	0	0	380	0	0	0	0	0
Nudt4	84.100000	0	153	116	0	0	572	0	0	0	0	0
H3c11	84.100000	0	196	416	0	0	130	0	0	99	0	0
Fes	84.100000	0	0	0	0	0	703	0	0	138	0	0
Fbxw18	84.100000	0	559	282	0	0	0	0	0	0	0	0
Scgn	84.000000	0	408	432	0	0	0	0	0	0	0	0
Zmynd11	83.900000	0	253	371	0	0	215	0	0	0	0	0
Dthd1	83.900000	0	405	434	0	0	0	0	0	0	0	0
Rprm	83.800000	0	516	322	0	0	0	0	0	0	0	0
Pla2g5	83.800000	0	199	346	0	0	293	0	0	0	0	0
Rasgrp2	83.700000	0	290	431	0	0	116	0	0	0	0	0
Map1a	83.700000	0	331	506	0	0	0	0	0	0	0	0
Lrrn2	83.700000	0	671	166	0	0	0	0	0	0	0	0
Ankrd53	83.700000	0	459	378	0	0	0	0	0	0	0	0
Slc35b4	83.600000	0	0	164	0	0	672	0	0	0	0	0
Rspry1	83.600000	154	296	279	0	0	107	0	0	0	0	0
Psme3ip1	83.600000	154	296	279	0	0	107	0	0	0	0	0
Hnrnph2	83.600000	566	74	0	0	0	196	0	0	0	0	0
Gla	83.600000	566	74	0	0	0	196	0	0	0	0	0
Ptx3	83.500000	0	348	487	0	0	0	0	0	0	0	0
Neurod1	83.400000	0	343	491	0	0	0	0	0	0	0	0
Meis2	83.400000	0	396	438	0	0	0	0	0	0	0	0
Gm27021	83.400000	0	379	455	0	0	0	0	0	0	0	0
Evpl	83.400000	0	619	215	0	0	0	0	0	0	0	0
Emc8	83.400000	0	379	455	0	0	0	0	0	0	0	0
Cox4i1	83.400000	0	379	455	0	0	0	0	0	0	0	0
Nat8	83.300000	0	662	171	0	0	0	0	0	0	0	0
Havcr2	83.300000	0	398	238	0	0	0	197	0	0	0	0
Gtf2h3	83.300000	0	0	0	0	0	669	164	0	0	0	0
Entpd5	83.300000	0	477	356	0	0	0	0	0	0	0	0
Eif2b1	83.300000	0	0	0	0	0	669	164	0	0	0	0
Ccnyl1	83.300000	88	0	0	0	0	620	0	0	125	0	0
Bbof1	83.300000	0	477	356	0	0	0	0	0	0	0	0
Fbxo4	83.200000	0	0	226	0	0	364	0	0	242	0	0
Dpysl4	83.200000	0	388	444	0	0	0	0	0	0	0	0
Tmem178b	83.000000	0	462	368	0	0	0	0	0	0	0	0
Clnk	83.000000	0	471	359	0	0	0	0	0	0	0	0
Ate1	83.000000	0	89	0	0	0	514	0	0	227	0	0
Sult1a1	82.900000	0	643	186	0	0	0	0	0	0	0	0
Pex5l	82.900000	0	275	298	0	0	256	0	0	0	0	0
Mup2	82.900000	0	616	213	0	0	0	0	0	0	0	0
Mup15	82.900000	0	616	213	0	0	0	0	0	0	0	0
Met	82.900000	0	566	263	0	0	0	0	0	0	0	0
Ddx39b	82.900000	0	434	395	0	0	0	0	0	0	0	0
Cluap1	82.900000	0	244	270	0	0	187	0	0	128	0	0
Clrn1	82.900000	0	217	612	0	0	0	0	0	0	0	0
1700037C18Rik	82.900000	0	244	270	0	0	187	0	0	128	0	0
Spag17	82.800000	0	519	309	0	0	0	0	0	0	0	0
Rag1	82.800000	0	465	363	0	0	0	0	0	0	0	0
Gm3667	82.800000	0	280	548	0	0	0	0	0	0	0	0
Gm3383	82.800000	0	272	556	0	0	0	0	0	0	0	0
Zfp60	82.700000	0	279	286	0	0	126	0	0	136	0	0
Rab33b	82.700000	0	86	374	0	0	234	0	0	133	0	0
Plk1	82.700000	0	322	285	0	0	123	0	0	97	0	0
Dchs1	82.600000	0	525	301	0	0	0	0	0	0	0	0
Zfp712	82.500000	0	452	373	0	0	0	0	0	0	0	0
Nufip2	82.500000	286	0	0	0	0	373	0	0	166	0	0
Stom	82.400000	0	0	0	0	0	609	95	120	0	0	0
Hmgn2	82.400000	0	381	163	0	0	159	0	0	121	0	0
Cfap36	82.400000	134	443	247	0	0	0	0	0	0	0	0
Rnase1	82.300000	0	211	612	0	0	0	0	0	0	0	0
Tnks1bp1	82.200000	0	168	153	0	0	380	0	0	121	0	0
Tmem101	82.200000	0	0	0	0	0	578	0	0	244	0	0
Rabep1	82.200000	0	149	0	0	0	673	0	0	0	0	0
Mup19	82.200000	0	590	232	0	0	0	0	0	0	0	0
Gpr1	82.200000	0	641	181	0	0	0	0	0	0	0	0
Mrap	82.100000	0	619	202	0	0	0	0	0	0	0	0
Ms4a15	82.000000	0	0	0	0	0	657	0	0	163	0	0
Dnajc8	82.000000	820	0	0	0	0	0	0	0	0	0	0
Cxxc5	82.000000	0	318	502	0	0	0	0	0	0	0	0
Atpif1	82.000000	820	0	0	0	0	0	0	0	0	0	0
Srpk2	81.900000	0	494	325	0	0	0	0	0	0	0	0
Hdac4	81.900000	0	200	145	0	0	364	0	0	110	0	0
H1f2	81.900000	0	117	130	0	184	266	0	0	122	0	0
Mpo	81.800000	0	0	0	0	0	605	0	0	213	0	0
Elf2	81.800000	0	285	153	0	0	264	0	0	116	0	0
Cep112	81.800000	0	539	279	0	0	0	0	0	0	0	0
Zfhx4	81.700000	0	588	229	0	0	0	0	0	0	0	0
Cntn1	81.700000	0	527	290	0	0	0	0	0	0	0	0
Aasdh	81.700000	167	90	221	0	0	141	0	0	198	0	0
Gm5796	81.600000	0	277	539	0	0	0	0	0	0	0	0
Erbin	81.600000	0	333	483	0	0	0	0	0	0	0	0
Ap1m1	81.600000	106	119	157	0	0	190	0	0	244	0	0
Sox2	81.500000	0	573	242	0	0	0	0	0	0	0	0
Sgsm1	81.500000	0	168	468	0	0	179	0	0	0	0	0
Rhbdl1	81.500000	164	278	170	0	0	203	0	0	0	0	0
Ell	81.500000	0	99	525	0	0	191	0	0	0	0	0
Ramp3	81.400000	0	244	570	0	0	0	0	0	0	0	0
Phlpp1	81.400000	0	489	224	0	0	101	0	0	0	0	0
Nub1	81.400000	102	211	360	0	0	141	0	0	0	0	0
Spon1	81.300000	0	322	491	0	0	0	0	0	0	0	0
Sh2d3c	81.300000	174	465	174	0	0	0	0	0	0	0	0
Olfr1098	81.300000	0	720	93	0	0	0	0	0	0	0	0
Nfia	81.300000	0	206	607	0	0	0	0	0	0	0	0
Il17ra	81.300000	0	0	0	0	0	608	0	0	205	0	0
Zfp383	81.200000	729	0	0	0	0	0	0	0	83	0	0
Zfp27	81.200000	729	0	0	0	0	0	0	0	83	0	0
Tcea1	81.200000	0	342	124	0	0	259	0	0	87	0	0
Slc35f6	81.200000	0	511	301	0	0	0	0	0	0	0	0
Fbxo48	81.200000	0	0	0	0	0	812	0	0	0	0	0
Cdx2	81.200000	0	812	0	0	0	0	0	0	0	0	0
Ldlrad4	81.100000	0	0	0	0	0	564	0	0	247	0	0
Neil1	81.000000	166	166	200	0	0	278	0	0	0	0	0
Fkbpl	81.000000	0	119	118	0	0	468	0	0	105	0	0
Cdh6	81.000000	0	411	399	0	0	0	0	0	0	0	0
Tfb1m	80.900000	147	246	416	0	0	0	0	0	0	0	0
Golgb1	80.900000	0	468	341	0	0	0	0	0	0	0	0
Spty2d1	80.800000	0	0	0	0	0	574	0	0	234	0	0
Klf7	80.800000	0	294	191	0	0	323	0	0	0	0	0
Galnt9	80.800000	0	0	101	0	0	473	0	0	234	0	0
Zfpl1	80.700000	0	219	229	0	0	359	0	0	0	0	0
Tspyl5	80.700000	0	581	226	0	0	0	0	0	0	0	0
Lpin2	80.700000	0	217	212	0	0	210	0	0	168	0	0
Eci1	80.700000	129	158	520	0	0	0	0	0	0	0	0
Dop1b	80.700000	807	0	0	0	0	0	0	0	0	0	0
Cdca5	80.700000	0	219	229	0	0	359	0	0	0	0	0
Bri3bp	80.700000	0	202	143	0	0	462	0	0	0	0	0
Epg5	80.600000	182	244	152	0	0	228	0	0	0	0	0
Mcm3	80.500000	375	0	278	0	0	152	0	0	0	0	0
H2bc9	80.500000	0	167	335	0	0	186	0	0	117	0	0
Gtpbp2	80.400000	222	128	174	0	0	166	0	0	114	0	0
Exoc5	80.400000	0	521	283	0	0	0	0	0	0	0	0
Dync1i2	80.400000	0	649	155	0	0	0	0	0	0	0	0
Ap5m1	80.400000	0	521	283	0	0	0	0	0	0	0	0
Qtrt2	80.300000	503	0	0	0	0	205	0	0	95	0	0
Ppfibp1	80.300000	0	492	311	0	0	0	0	0	0	0	0
Cldnd2	80.300000	0	382	421	0	0	0	0	0	0	0	0
Ccdc191	80.300000	503	0	0	0	0	205	0	0	95	0	0
Cass4	80.300000	587	0	0	0	0	216	0	0	0	0	0
Psmd4	80.100000	141	0	0	0	0	566	0	0	94	0	0
Osgin1	80.100000	0	480	188	0	0	133	0	0	0	0	0
Nkx2-6	80.100000	0	427	374	0	0	0	0	0	0	0	0
Flnb	80.100000	0	539	262	0	0	0	0	0	0	0	0
Eif3d	80.100000	525	0	104	0	0	90	0	0	82	0	0
Dync1li1	80.100000	0	133	143	0	0	525	0	0	0	0	0
Tmpo	80.000000	605	0	0	0	0	195	0	0	0	0	0
Rpl32	80.000000	529	177	94	0	0	0	0	0	0	0	0
Rps15a	79.900000	0	311	488	0	0	0	0	0	0	0	0
Pigl	79.900000	615	0	0	0	0	184	0	0	0	0	0
Vcp	79.800000	0	260	345	0	0	193	0	0	0	0	0
Sel1l	79.800000	0	798	0	0	0	0	0	0	0	0	0
Exoc6b	79.800000	0	356	333	0	0	109	0	0	0	0	0
Pole3	79.700000	151	235	278	0	0	133	0	0	0	0	0
4933430I17Rik	79.700000	151	235	278	0	0	133	0	0	0	0	0
Taf5	79.600000	137	81	0	0	0	469	0	0	109	0	0
Snx33	79.600000	0	277	405	0	0	114	0	0	0	0	0
Pcm1	79.600000	0	348	448	0	0	0	0	0	0	0	0
Mapk1	79.600000	0	338	358	0	0	100	0	0	0	0	0
Hacd2	79.600000	207	0	119	0	0	341	0	0	129	0	0
Capn7	79.600000	0	625	171	0	0	0	0	0	0	0	0
Timm17a	79.500000	0	262	126	0	0	220	0	0	187	0	0
Tbpl1	79.500000	0	376	419	0	0	0	0	0	0	0	0
Nme1	79.500000	188	0	0	0	0	464	0	0	143	0	0
Taok3	79.400000	0	242	337	0	0	215	0	0	0	0	0
Stap1	79.400000	0	128	137	0	0	422	0	0	107	0	0
Olfr1310	79.400000	0	0	0	0	0	691	0	0	103	0	0
Cfap54	79.300000	422	0	0	0	0	371	0	0	0	0	0
Ccdc42	79.300000	0	347	446	0	0	0	0	0	0	0	0
Cacna2d1	79.300000	0	618	175	0	0	0	0	0	0	0	0
Acyp2	79.300000	0	343	450	0	0	0	0	0	0	0	0
Sorbs3	79.200000	0	0	0	0	0	572	0	0	220	0	0
Ogfrl1	79.200000	0	134	134	0	0	354	0	0	170	0	0
Azin2	79.200000	0	0	353	0	0	240	0	0	199	0	0
Zfp740	79.100000	0	0	0	0	0	314	477	0	0	0	0
Parp16	79.100000	0	181	610	0	0	0	0	0	0	0	0
Gypc	79.100000	0	0	0	0	0	587	0	0	204	0	0
Gm5617	79.100000	0	491	0	0	0	133	0	0	167	0	0
Csad	79.100000	0	0	0	0	0	314	477	0	0	0	0
Cep164	79.100000	0	0	0	0	0	692	0	0	99	0	0
Capn13	79.100000	0	0	0	0	0	601	0	0	190	0	0
Tnfrsf11b	79.000000	0	624	166	0	0	0	0	0	0	0	0
Slc3a2	79.000000	614	0	0	0	0	79	0	0	97	0	0
Ralbp1	79.000000	282	361	147	0	0	0	0	0	0	0	0
Il2ra	79.000000	303	0	0	0	0	487	0	0	0	0	0
Htr3b	79.000000	0	452	338	0	0	0	0	0	0	0	0
Gucy1a1	79.000000	0	332	458	0	0	0	0	0	0	0	0
Gspt1	79.000000	0	332	107	0	0	252	0	0	99	0	0
Atp1a3	79.000000	313	0	0	0	0	477	0	0	0	0	0
Pik3r3	78.900000	0	241	400	0	0	148	0	0	0	0	0
Nrp1	78.900000	0	543	246	0	0	0	0	0	0	0	0
4921517D22Rik	78.900000	0	368	421	0	0	0	0	0	0	0	0
Sox1	78.800000	0	180	608	0	0	0	0	0	0	0	0
Mymk	78.800000	0	128	660	0	0	0	0	0	0	0	0
Virma	78.700000	515	272	0	0	0	0	0	0	0	0	0
Ncoa4	78.700000	347	0	0	0	0	440	0	0	0	0	0
Cdh12	78.700000	0	495	101	0	0	191	0	0	0	0	0
Usp15	78.600000	135	271	197	0	0	183	0	0	0	0	0
Tprkb	78.600000	0	0	135	0	0	420	0	0	231	0	0
Nat8f1	78.600000	0	0	135	0	0	420	0	0	231	0	0
Lrrc6	78.600000	0	0	0	0	0	635	0	0	151	0	0
H2ac22	78.600000	0	141	416	0	0	130	0	0	99	0	0
Tmod4	78.500000	0	296	489	0	0	0	0	0	0	0	0
Rbm5	78.500000	0	202	438	0	0	145	0	0	0	0	0
Nfkbiz	78.500000	165	0	305	0	0	168	0	0	147	0	0
Gstp3	78.500000	0	0	0	0	0	607	0	0	178	0	0
Zfp397	78.400000	0	393	118	0	0	139	0	0	134	0	0
Unc45a	78.400000	0	282	392	0	0	110	0	0	0	0	0
Psmg4	78.400000	0	680	0	0	0	104	0	0	0	0	0
Jmjd1c	78.400000	0	264	193	0	0	327	0	0	0	0	0
Hddc3	78.400000	0	282	392	0	0	110	0	0	0	0	0
Fos	78.400000	118	0	76	0	0	590	0	0	0	0	0
Cdt1	78.400000	0	0	0	0	0	591	0	0	193	0	0
4930558C23Rik	78.400000	0	0	631	0	0	153	0	0	0	0	0
Zfp536	78.300000	0	261	522	0	0	0	0	0	0	0	0
Spg7	78.300000	0	421	190	0	0	108	0	0	64	0	0
Rasl10a	78.300000	0	267	516	0	0	0	0	0	0	0	0
Bche	78.300000	0	433	350	0	0	0	0	0	0	0	0
Angpt2	78.300000	0	481	302	0	0	0	0	0	0	0	0
Zfp101	78.200000	712	0	0	0	0	70	0	0	0	0	0
Ppa2	78.200000	0	598	184	0	0	0	0	0	0	0	0
Pan2	78.200000	638	0	0	0	0	144	0	0	0	0	0
Il23a	78.200000	638	0	0	0	0	144	0	0	0	0	0
Efcab10	78.200000	0	466	316	0	0	0	0	0	0	0	0
Taf4	78.100000	0	201	580	0	0	0	0	0	0	0	0
Serinc4	78.100000	102	253	426	0	0	0	0	0	0	0	0
P2ry14	78.100000	0	284	156	0	0	341	0	0	0	0	0
Hypk	78.100000	102	253	426	0	0	0	0	0	0	0	0
Gpaa1	78.100000	176	97	246	0	0	262	0	0	0	0	0
Exosc4	78.100000	176	97	246	0	0	262	0	0	0	0	0
Cbl	78.100000	517	0	0	0	0	157	0	0	107	0	0
Atg9b	78.100000	139	101	151	0	0	235	0	0	155	0	0
Abcb8	78.100000	139	101	151	0	0	235	0	0	155	0	0
Sart3	77.900000	454	109	124	0	0	92	0	0	0	0	0
Pik3c3	77.900000	546	233	0	0	0	0	0	0	0	0	0
Itgax	77.900000	0	0	0	0	0	578	0	0	201	0	0
Iscu	77.900000	454	109	124	0	0	92	0	0	0	0	0
Uggt1	77.800000	0	100	240	0	0	284	0	0	154	0	0
Rab25	77.800000	0	185	418	0	0	175	0	0	0	0	0
Ccng2	77.800000	0	506	140	0	0	132	0	0	0	0	0
Tm9sf4	77.700000	93	216	279	0	0	189	0	0	0	0	0
Tcea2	77.700000	777	0	0	0	0	0	0	0	0	0	0
Srsf7	77.700000	0	199	152	0	0	281	0	0	145	0	0
Rbpj	77.700000	0	0	505	0	0	272	0	0	0	0	0
Cfp	77.700000	352	0	0	0	0	425	0	0	0	0	0
Vps11	77.600000	0	222	191	0	0	363	0	0	0	0	0
Mad2l1bp	77.600000	672	0	0	0	0	104	0	0	0	0	0
Racgap1	77.500000	0	503	272	0	0	0	0	0	0	0	0
Marcks	77.500000	0	453	322	0	0	0	0	0	0	0	0
Dennd11	77.500000	0	326	317	0	0	132	0	0	0	0	0
Anp32b	77.500000	0	0	550	0	0	225	0	0	0	0	0
Zc3hc1	77.400000	304	100	127	0	0	243	0	0	0	0	0
Swsap1	77.400000	0	133	294	0	0	149	0	0	198	0	0
Tbata	77.300000	0	0	0	0	0	629	0	0	144	0	0
N4bp2l2	77.300000	358	0	99	0	0	203	0	0	113	0	0
Rmnd1	77.200000	772	0	0	0	0	0	0	0	0	0	0
Pirb	77.200000	0	0	0	0	0	446	132	0	194	0	0
Gramd1b	77.200000	73	233	0	0	0	466	0	0	0	0	0
Dmwd	77.200000	123	0	0	0	0	521	128	0	0	0	0
Armt1	77.200000	772	0	0	0	0	0	0	0	0	0	0
Txk	77.100000	0	645	0	0	0	126	0	0	0	0	0
Slc38a1	77.100000	217	0	0	0	0	425	0	0	129	0	0
Ncald	77.100000	0	179	265	0	0	327	0	0	0	0	0
Map9	77.100000	151	301	319	0	0	0	0	0	0	0	0
Cox5b	77.100000	293	0	381	0	0	97	0	0	0	0	0
Cblb	77.100000	0	512	0	0	0	259	0	0	0	0	0
Ank2	77.100000	0	465	306	0	0	0	0	0	0	0	0
Il1rn	77.000000	0	401	0	0	0	369	0	0	0	0	0
Smarca2	76.900000	0	225	392	0	0	152	0	0	0	0	0
Gphb5	76.900000	0	521	248	0	0	0	0	0	0	0	0
Fam20c	76.900000	0	226	543	0	0	0	0	0	0	0	0
Ank3	76.900000	0	318	323	0	0	128	0	0	0	0	0
Zfp704	76.800000	143	0	0	0	0	401	0	0	224	0	0
Tmem38b	76.800000	0	146	0	0	0	622	0	0	0	0	0
Gm10509	76.800000	156	309	196	0	0	107	0	0	0	0	0
Epn2	76.800000	0	452	316	0	0	0	0	0	0	0	0
Casp8ap2	76.800000	102	145	171	0	0	217	0	0	133	0	0
Sdk2	76.700000	0	473	294	0	0	0	0	0	0	0	0
Rad51c	76.700000	767	0	0	0	0	0	0	0	0	0	0
Ptk2	76.700000	0	0	0	0	0	600	0	0	167	0	0
Zmynd8	76.600000	0	270	348	0	0	148	0	0	0	0	0
Nxn	76.600000	0	316	351	0	0	99	0	0	0	0	0
AW549877	76.600000	0	0	0	0	0	524	0	0	242	0	0
Tuft1	76.500000	208	230	139	0	0	80	0	0	108	0	0
P4hb	76.500000	0	0	0	0	0	537	0	0	228	0	0
Gm21119	76.500000	180	205	380	0	0	0	0	0	0	0	0
Fam32a	76.500000	235	138	157	0	0	235	0	0	0	0	0
Ezr	76.500000	632	0	133	0	0	0	0	0	0	0	0
Ypel1	76.400000	0	441	323	0	0	0	0	0	0	0	0
Supt4a	76.400000	0	0	0	0	0	569	0	0	195	0	0
Mis18bp1	76.400000	519	0	0	0	0	116	0	0	129	0	0
Igsf23	76.400000	104	138	251	0	0	271	0	0	0	0	0
Dlc1	76.400000	94	228	442	0	0	0	0	0	0	0	0
Anapc15	76.400000	114	229	167	0	0	147	0	0	107	0	0
Slc6a16	76.300000	0	0	0	0	0	639	0	0	124	0	0
Scp2	76.300000	0	366	397	0	0	0	0	0	0	0	0
Pcnx4	76.300000	214	192	207	0	0	150	0	0	0	0	0
Gga1	76.300000	0	106	0	0	0	446	0	0	211	0	0
C330007P06Rik	76.300000	0	244	328	0	0	191	0	0	0	0	0
Tbl3	76.200000	616	0	0	0	0	146	0	0	0	0	0
Ncf2	76.200000	346	0	195	0	0	221	0	0	0	0	0
F8a	76.200000	0	370	222	0	0	170	0	0	0	0	0
Ccdc9	76.200000	0	138	507	0	0	117	0	0	0	0	0
Asxl1	76.200000	342	0	0	0	0	420	0	0	0	0	0
Zfp963	76.100000	0	178	379	0	0	204	0	0	0	0	0
Otud4	76.100000	168	0	0	0	0	593	0	0	0	0	0
Immt	76.100000	163	295	146	0	0	0	0	0	157	0	0
Gadd45b	76.100000	529	0	0	0	0	232	0	0	0	0	0
Rap1gap2	76.000000	0	0	0	0	0	585	0	0	175	0	0
Me2	76.000000	100	0	0	0	0	576	0	0	84	0	0
Acbd6	76.000000	0	0	174	0	0	416	0	0	170	0	0
Kdm5a	75.900000	258	0	131	0	0	259	0	0	111	0	0
Ilf3	75.900000	388	0	123	0	0	248	0	0	0	0	0
Eno1	75.900000	640	0	119	0	0	0	0	0	0	0	0
Snrnp70	75.700000	322	0	156	0	0	279	0	0	0	0	0
Poldip3	75.600000	0	253	296	0	0	207	0	0	0	0	0
Mtnr1a	75.600000	0	485	271	0	0	0	0	0	0	0	0
Nudt5	75.500000	0	0	297	0	0	306	0	0	152	0	0
Itsn2	75.500000	0	226	0	0	0	312	0	0	217	0	0
Cdc123	75.500000	0	0	297	0	0	306	0	0	152	0	0
Aldh3a1	75.500000	0	528	227	0	0	0	0	0	0	0	0
Gmnn	75.400000	0	542	212	0	0	0	0	0	0	0	435
Cmc2	75.400000	376	0	0	0	0	140	0	0	238	0	0
Cenpn	75.400000	376	0	0	0	0	140	0	0	238	0	0
Pcbp3	75.300000	0	369	384	0	0	0	0	0	0	0	0
Mrpl4	75.300000	0	267	363	0	0	123	0	0	0	0	0
Mrgpra2a	75.300000	0	0	0	0	0	385	226	0	142	0	0
Mpp7	75.300000	0	211	170	0	0	145	0	0	227	0	0
B230219D22Rik	75.300000	0	320	293	0	0	140	0	0	0	0	0
Tuba1c	75.200000	457	119	176	0	0	0	0	0	0	0	0
