Target_genes	Rara|Average	SRX018669|ES_cells	SRX10562781|ES_cells	SRX208055|ES_cells	SRX208062|ES_cells	SRX520462|F9	SRX520468|F9	SRX520474|F9	SRX520479|F9	SRX3301664|Forelimb	SRX3301665|Forelimb	SRX4369776|Germline_stem_cells	SRX4369779|Germline_stem_cells	SRX4369782|Germline_stem_cells	SRX4369785|Germline_stem_cells	SRX337439|Liver	SRX018670|mESC_derived_neural_cells	SRX118692|mESC_derived_neural_cells	SRX118693|mESC_derived_neural_cells	SRX675957|Th1_Cells	STRING
Spink10	27.842105	0	153	142	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0
Sned1	27.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0
Josd1	27.842105	0	0	163	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0
Hykk	27.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0
Gtpbp6	27.842105	0	0	0	0	0	169	0	0	0	0	0	0	0	0	225	0	135	0	0	0
Gtpbp1	27.842105	0	0	163	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0
Fnbp4	27.842105	0	0	179	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0
Fbxo38	27.842105	0	153	142	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0
Ercc3	27.842105	0	0	0	93	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0
Brinp1	27.842105	0	0	0	0	190	0	162	177	0	0	0	0	0	0	0	0	0	0	0	0
Slmap	27.789474	0	0	121	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0
Simc1	27.789474	0	0	115	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0
Sidt2	27.789474	145	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0
Purb	27.789474	0	0	140	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0
Olfr1158	27.789474	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0
Nectin2	27.789474	0	0	0	0	147	0	0	139	0	0	0	0	0	0	242	0	0	0	0	0
Mtch1	27.789474	0	0	95	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0	0
Gjb2	27.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	528	0	0	0	0	0
Fbxl21	27.789474	0	0	96	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0
Dexi	27.789474	0	0	127	0	0	0	0	0	0	0	0	0	0	0	401	0	0	0	0	0
Clec16a	27.789474	0	0	127	0	0	0	0	0	0	0	0	0	0	0	401	0	0	0	0	0
Ascc1	27.789474	0	0	109	95	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0
Anapc16	27.789474	0	0	109	95	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0
Tcf7l1	27.736842	0	0	155	0	0	148	0	0	0	0	0	0	0	0	224	0	0	0	0	0
Tango6	27.736842	0	0	215	97	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0
Slc38a3	27.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	0	0	0	0	0
Rccd1	27.736842	0	0	159	165	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0
Pwwp2a	27.736842	0	0	178	103	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0
Mup10	27.736842	0	0	0	0	121	0	123	178	0	0	0	0	0	0	105	0	0	0	0	0
Chd1l	27.736842	0	0	0	0	0	273	0	0	0	0	0	0	0	0	254	0	0	0	0	0
Adgrf1	27.736842	0	0	0	131	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0
Zfp867	27.684211	0	0	124	88	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0
Xrn2	27.684211	0	0	159	120	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0
Vapa	27.684211	0	0	192	92	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0
Sptbn1	27.684211	0	0	213	153	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
Psme3	27.684211	0	0	195	164	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0
Morc2a	27.684211	0	0	212	115	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0
Hpf1	27.684211	0	0	228	205	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0
Ercc6l2	27.684211	0	0	180	135	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0
2010315B03Rik	27.684211	0	0	185	133	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0
Washc4	27.631579	0	0	205	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0
Usp30	27.631579	0	139	139	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0
Tm2d3	27.631579	0	0	124	133	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0
Stim1	27.631579	0	0	0	0	0	164	0	0	0	0	0	0	0	0	361	0	0	0	0	0
Shf	27.631579	0	0	0	0	0	269	0	0	0	0	0	0	0	0	256	0	0	0	0	0
Myl1	27.631579	0	0	0	0	147	0	245	133	0	0	0	0	0	0	0	0	0	0	0	0
Gm3696	27.631579	0	0	148	0	0	205	0	0	0	0	0	0	0	0	0	0	172	0	0	0
Gm13057	27.631579	0	0	310	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13040	27.631579	0	0	310	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ggps1	27.631579	0	0	136	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0
Gatd3a	27.631579	0	0	94	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0
Focad	27.631579	0	0	113	0	0	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0
Elk4	27.631579	0	0	115	101	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0
Arid4b	27.631579	0	0	136	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0
Zfand1	27.578947	0	0	183	98	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0
Wbp11	27.578947	0	0	163	118	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0
Sly	27.578947	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0
Rnf146	27.578947	0	0	124	86	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0
Reps1	27.578947	0	0	127	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0
Olfr1219	27.578947	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0
Maf	27.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	0	0	0	0	0
Ipo7	27.578947	0	0	211	142	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0
Hpgds	27.578947	0	0	0	0	147	0	154	223	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp10	27.578947	0	0	274	77	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0
Gm20931	27.578947	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0
Elovl7	27.578947	0	0	86	0	0	144	122	172	0	0	0	0	0	0	0	0	0	0	0	0
Ctr9	27.578947	0	0	82	0	0	0	0	0	0	0	0	0	0	0	340	0	102	0	0	0
Cep70	27.578947	0	0	144	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC049715	27.578947	0	0	163	118	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0
Awat2	27.578947	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0
Agfg2	27.578947	0	0	0	0	0	188	0	0	0	0	0	0	0	0	336	0	0	0	0	0
Adipor1	27.578947	0	0	126	85	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0
Vps26c	27.526316	0	0	175	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0
Tmed7	27.526316	0	0	165	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0
Slc35f6	27.526316	0	0	0	89	0	182	0	0	0	0	0	0	0	0	252	0	0	0	0	0
Pigu	27.526316	0	0	142	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0
Pax7	27.526316	0	0	0	0	175	0	215	133	0	0	0	0	0	0	0	0	0	0	0	0
Hdac2	27.526316	0	96	122	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0
Glcci1	27.526316	0	0	0	104	0	0	0	0	0	0	0	0	0	0	419	0	0	0	0	0
Eif1a	27.526316	0	0	165	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0
Cisd2	27.526316	0	0	247	92	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0
Avl9	27.526316	0	0	175	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0
Zfp184	27.473684	0	189	0	0	125	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0
Tut7	27.473684	0	0	139	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0
Ppie	27.473684	0	0	147	127	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0
Olfr594	27.473684	194	0	0	0	0	0	163	0	0	0	0	0	0	0	0	165	0	0	0	0
Kif1b	27.473684	0	0	120	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0
Ireb2	27.473684	0	0	112	0	0	0	0	0	0	0	0	0	0	0	410	0	0	0	0	0
Ets1	27.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522	0	0	0	0	0
Chpf2	27.473684	0	0	0	0	0	0	183	182	0	0	0	0	0	0	157	0	0	0	0	0
Casq1	27.473684	0	0	0	0	0	121	0	0	0	0	0	0	0	0	401	0	0	0	0	0
Acaa2	27.473684	0	0	83	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0
Ndufa9	27.421053	0	0	197	111	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0
Cdadc1	27.421053	0	0	144	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0
Atn1	27.421053	0	0	0	0	0	146	0	0	0	0	0	0	0	0	375	0	0	0	0	0
Akap3	27.421053	0	0	197	111	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0
Uqcrfs1	27.368421	0	0	113	91	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0
Rpl39l	27.368421	0	0	97	0	204	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0
Phlda1	27.368421	0	0	107	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0
Pef1	27.368421	0	0	0	0	0	347	0	0	0	0	0	0	0	0	173	0	0	0	0	0
Map7d1	27.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0
Magoh	27.368421	0	0	120	119	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0
Jmjd7	27.368421	0	0	93	0	0	119	0	0	0	0	0	0	0	0	308	0	0	0	0	0
Frmd4b	27.368421	0	0	0	0	138	0	163	219	0	0	0	0	0	0	0	0	0	0	0	0
En2	27.368421	0	0	0	0	135	0	105	280	0	0	0	0	0	0	0	0	0	0	0	0
Agtr1a	27.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0
Aff1	27.368421	0	0	105	0	0	0	0	0	0	0	0	0	0	0	415	0	0	0	0	0
Trim33	27.315789	0	0	135	0	0	179	0	0	0	0	0	0	0	0	205	0	0	0	0	0
Snrpa1	27.315789	0	162	159	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0
Slc44a5	27.315789	0	0	0	0	107	0	184	228	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a32	27.315789	0	0	172	73	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0
Pom121	27.315789	0	86	104	73	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0
Pank3	27.315789	0	0	101	0	0	204	0	0	0	0	0	0	0	0	214	0	0	0	0	0
Nudt16	27.315789	0	0	86	0	0	121	0	135	0	0	0	0	0	0	177	0	0	0	0	0
Mpzl1	27.315789	0	0	144	81	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0
Gatb	27.315789	0	0	157	100	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0
Fbxo33	27.315789	0	0	0	0	0	353	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Dcaf13	27.315789	0	0	172	73	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0
1700028K03Rik	27.315789	0	0	0	0	138	0	188	193	0	0	0	0	0	0	0	0	0	0	0	0
Wipi2	27.263158	0	0	120	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	0	0
Skil	27.263158	0	0	0	0	0	255	0	0	0	0	0	0	0	0	134	0	129	0	0	0
Naa80	27.263158	0	0	0	0	0	241	0	0	0	0	0	0	0	0	277	0	0	0	0	0
Krt222	27.263158	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	182	0	0	0	0
Hyal1	27.263158	0	0	0	0	0	241	0	0	0	0	0	0	0	0	277	0	0	0	0	0
Gm21918	27.263158	0	0	364	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21908	27.263158	0	0	364	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21753	27.263158	0	0	364	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21751	27.263158	0	0	364	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21724	27.263158	0	0	364	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efnb2	27.263158	0	0	121	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0
Bhlhe40	27.263158	0	0	0	0	0	300	0	0	0	0	0	0	0	0	218	0	0	0	0	0
Angptl6	27.263158	0	0	221	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0
Ykt6	27.210526	0	0	105	78	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0
Ncstn	27.210526	0	0	90	98	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0
Epas1	27.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0
Drosha	27.210526	0	0	110	0	0	267	0	0	0	0	0	0	0	0	140	0	0	0	0	0
Ctnnbip1	27.210526	0	0	90	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0
Copa	27.210526	0	0	90	98	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0
Ankrd66	27.210526	0	0	0	0	0	0	331	186	0	0	0	0	0	0	0	0	0	0	0	0
6030458C11Rik	27.210526	0	0	110	0	0	267	0	0	0	0	0	0	0	0	140	0	0	0	0	0
1810055G02Rik	27.210526	0	0	116	0	0	0	0	0	0	0	0	0	0	0	401	0	0	0	0	0
Ttc1	27.157895	0	0	125	100	0	121	0	0	0	0	0	0	0	0	170	0	0	0	0	0
Tdgf1	27.157895	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	190	0	0	0
Smc6	27.157895	0	0	195	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0
Pigg	27.157895	0	0	131	202	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0
Olfr915	27.157895	0	0	0	0	0	391	0	125	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc2	27.157895	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	190	0	0	0
Gm14595	27.157895	194	0	105	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0
Gm14590	27.157895	194	0	105	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0
Gm14325	27.157895	0	0	78	0	0	139	0	0	0	0	0	0	0	0	299	0	0	0	0	0
Gen1	27.157895	0	0	195	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0
Eef1akmt4-ece2	27.157895	0	0	230	88	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0
Eef1akmt4	27.157895	0	0	230	88	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0
Cuedc2	27.157895	0	0	0	0	129	0	133	151	0	0	0	0	0	0	103	0	0	0	0	0
Commd8	27.157895	0	0	182	129	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0
Cobl	27.157895	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	120	0	0	0
Atf1	27.157895	0	0	201	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0
Apoa1	27.157895	0	0	94	0	0	0	0	0	0	0	0	0	0	0	422	0	0	0	0	0
Alg3	27.157895	0	0	230	88	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0
1810037I17Rik	27.157895	258	0	93	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0
Tsen54	27.105263	0	0	110	0	0	121	0	0	0	0	0	0	0	0	284	0	0	0	0	0
Stau1	27.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	0	0	0	0	0
Slc35e2	27.105263	0	0	198	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0
Npr3	27.105263	0	0	0	0	205	0	141	169	0	0	0	0	0	0	0	0	0	0	0	0
Gde1	27.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0	92	0	0	0
Egr1	27.105263	0	0	136	110	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0
Crls1	27.105263	0	0	109	164	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0
Cfap161	27.105263	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	242	0	0	0
Caskin2	27.105263	0	0	110	0	0	121	0	0	0	0	0	0	0	0	284	0	0	0	0	0
Cadm1	27.105263	0	0	109	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0
Zfp110	27.052632	161	0	165	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0
Tm4sf5	27.052632	0	0	0	0	0	166	0	0	0	0	99	0	108	0	141	0	0	0	0	0
Tk1	27.052632	0	0	0	0	0	201	0	0	0	0	0	0	0	0	313	0	0	0	0	0
Psmd4	27.052632	0	0	86	90	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0
Pja1	27.052632	0	0	0	0	0	0	0	130	0	0	0	0	0	0	236	148	0	0	0	0
Manbal	27.052632	0	0	120	0	0	0	121	0	0	0	0	0	0	0	273	0	0	0	0	0
Foxp4	27.052632	0	0	0	0	203	0	181	0	0	0	0	0	0	0	130	0	0	0	0	0
Efcab14	27.052632	0	0	276	93	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0
Cct5	27.052632	0	0	177	141	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0
Atpsckmt	27.052632	0	0	177	141	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0
Aldoart2	27.052632	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	148	0	0	0
Afmid	27.052632	0	0	0	0	0	201	0	0	0	0	0	0	0	0	313	0	0	0	0	0
Zfp868	27.000000	0	0	209	138	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Timd2	27.000000	0	0	0	0	165	0	125	223	0	0	0	0	0	0	0	0	0	0	0	0
Nyap1	27.000000	0	0	0	0	0	266	0	0	0	0	0	0	0	0	247	0	0	0	0	0
Lamp5	27.000000	0	0	0	0	204	0	123	186	0	0	0	0	0	0	0	0	0	0	0	0
L2hgdh	27.000000	0	0	118	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0
Gm5820	27.000000	0	0	139	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0
Exoc6b	27.000000	0	0	140	115	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0
Eef1akmt1	27.000000	0	0	182	64	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0
Dmac2l	27.000000	0	0	118	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0
Afp	27.000000	0	0	0	0	127	0	163	223	0	0	0	0	0	0	0	0	0	0	0	0
Acta2	27.000000	0	0	0	0	165	0	125	223	0	0	0	0	0	0	0	0	0	0	0	0
Tubb6	26.947368	0	0	109	107	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0
Tmem238	26.947368	0	0	216	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0
Stk17b	26.947368	0	0	65	108	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0
Sart1	26.947368	0	0	185	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0
Rpl28	26.947368	0	0	216	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0
Rab30	26.947368	0	0	203	72	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0
Prickle2	26.947368	0	0	107	0	147	0	125	133	0	0	0	0	0	0	0	0	0	0	0	0
Phactr4	26.947368	0	0	202	73	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0
Pemt	26.947368	0	114	166	106	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0
Paf1	26.947368	0	0	106	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0
Med29	26.947368	0	0	106	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	0	0
Larp4b	26.947368	0	0	131	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0
Grem1	26.947368	0	0	0	0	169	0	172	171	0	0	0	0	0	0	0	0	0	0	0	0
Glo1	26.947368	0	0	0	0	0	0	0	135	0	0	0	0	0	0	377	0	0	0	0	0
Eif3j2	26.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	0	0	0	0	0
Eif3j1	26.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	0	0	0	0	0
Ddc	26.947368	0	0	0	0	0	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amz2	26.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	0	0	0	0	0
Ythdf3	26.894737	0	0	127	89	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0
Xrcc6	26.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	0	0	0	0	0
Wdfy3	26.894737	0	0	66	0	0	105	0	0	0	0	0	0	0	0	340	0	0	0	0	0
Stk11	26.894737	0	0	80	0	0	0	0	0	100	0	0	0	0	0	331	0	0	0	0	0
Slfn14	26.894737	0	0	213	153	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0
Sema7a	26.894737	0	0	0	0	187	0	164	160	0	0	0	0	0	0	0	0	0	0	0	0
Nsd3	26.894737	0	0	149	110	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0
Letm2	26.894737	0	0	149	110	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0
Desi1	26.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	0	0	0	0	0
Atxn7l2	26.894737	0	165	216	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0
A630076J17Rik	26.894737	0	0	0	0	147	0	0	133	0	0	0	0	0	0	231	0	0	0	0	0
Xirp1	26.842105	0	0	0	0	0	253	0	0	0	0	0	0	0	0	257	0	0	0	0	0
Tbpl1	26.842105	0	0	0	140	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0
Pycr2	26.842105	0	0	0	0	0	410	0	0	0	0	0	0	0	0	100	0	0	0	0	0
Ipp	26.842105	0	0	132	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0
Fgf4	26.842105	0	0	310	105	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0
Fads1	26.842105	0	0	0	0	0	225	0	0	0	0	0	0	0	0	285	0	0	0	0	0
Epn1	26.842105	0	0	180	119	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0
Add1	26.842105	0	0	133	77	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0
Zfp97	26.789474	0	0	170	148	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0
Zadh2	26.789474	0	0	0	0	0	334	0	0	0	0	0	0	0	0	175	0	0	0	0	0
Xpo1	26.789474	0	0	194	125	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0
Tshz1	26.789474	0	0	0	0	0	334	0	0	0	0	0	0	0	0	175	0	0	0	0	0
Tbc1d8	26.789474	0	0	155	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0
Samd4	26.789474	0	0	0	0	147	0	0	133	0	0	0	0	0	0	229	0	0	0	0	0
Ppp1cc	26.789474	0	0	0	0	0	266	0	0	0	0	0	0	0	0	243	0	0	0	0	0
Cyp3a25	26.789474	0	0	0	0	0	0	205	151	0	0	0	0	0	0	153	0	0	0	0	0
Abhd18	26.789474	0	0	83	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	0
Ybx1	26.736842	0	0	185	0	0	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0
Trmt44	26.736842	0	0	118	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0
Tmem14a	26.736842	0	0	194	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0
Rpl30	26.736842	0	0	138	137	0	0	0	80	0	0	0	0	0	0	153	0	0	0	0	0
Rc3h1	26.736842	0	0	113	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0
Nfatc2ip	26.736842	0	0	68	0	0	0	0	0	0	0	0	0	0	0	308	0	132	0	0	0
Lamp1	26.736842	0	264	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0
Krr1	26.736842	0	0	141	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0
Iqch	26.736842	0	0	163	97	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0
Ercc6	26.736842	0	0	157	86	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0
Eef2k	26.736842	0	0	0	0	0	200	0	0	0	0	0	0	0	0	308	0	0	0	0	0
Aagab	26.736842	0	0	163	97	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0
Zfp574	26.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	0
Tmeff1	26.684211	0	0	88	0	0	232	0	0	0	0	0	0	0	0	0	0	187	0	0	0
Ppp1r14b	26.684211	0	0	0	0	0	392	0	0	0	0	0	0	0	0	0	0	115	0	0	0
Nmt1	26.684211	0	0	123	153	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0
Ngdn	26.684211	0	0	120	132	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0
Grik5	26.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	0
Ethe1	26.684211	0	0	0	0	0	0	0	239	0	0	0	0	0	0	268	0	0	0	0	0
Cdc34	26.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	0
Acbd5	26.684211	161	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0
4931414P19Rik	26.684211	0	0	141	149	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0
Trap1	26.631579	0	0	208	129	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0
Taf2	26.631579	0	0	154	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0
Pgrmc2	26.631579	0	0	102	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0
Myl4	26.631579	0	0	112	0	0	145	0	0	0	0	0	0	0	0	115	0	134	0	0	0
Dcaf12	26.631579	0	0	139	137	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0
Comtd1	26.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	506	0	0	0	0	0
Cdc27	26.631579	0	0	112	0	0	145	0	0	0	0	0	0	0	0	115	0	134	0	0	0
