Target_genes	Tal1|Average	SRX1056345|416B	SRX209469|Bone_Marrow_Cells	SRX079889|Embryonic_erythroblasts	SRX079890|Embryonic_erythroblasts	SRX145062|Embryonic_erythroblasts	SRX3889815|Embryonic_erythroblasts	SRX3889816|Embryonic_erythroblasts	SRX181747|Embryonic_megakaryocytes	SRX757571|ES_cells	SRX757572|ES_cells	SRX079861|G1E	SRX079862|G1E	SRX1030248|G1E	SRX1030249|G1E	SRX1030250|G1E	SRX145059|G1E	SRX1030252|G1E-ER4+E2	SRX1030253|G1E-ER4+E2	SRX1030254|G1E-ER4+E2	SRX1030255|G1E-ER4+E2	SRX1030256|G1E-ER4+E2	SRX1030257|G1E-ER4+E2	SRX1030258|G1E-ER4+E2	SRX1030259|G1E-ER4+E2	SRX1030260|G1E-ER4+E2	SRX1030261|G1E-ER4+E2	SRX145056|G1E-ER4+E2	SRX9290341|G1E-ER4+E2	SRX9290342|G1E-ER4+E2	SRX9290343|G1E-ER4+E2	SRX9290344|G1E-ER4+E2	SRX9290345|G1E-ER4+E2	SRX9290346|G1E-ER4+E2	SRX9290347|G1E-ER4+E2	SRX9290348|G1E-ER4+E2	SRX9290349|G1E-ER4+E2	SRX9290350|G1E-ER4+E2	SRX9290355|G1E-ER4+E2	SRX9290356|G1E-ER4+E2	SRX9290357|G1E-ER4+E2	SRX9290358|G1E-ER4+E2	SRX9290359|G1E-ER4+E2	SRX9290360|G1E-ER4+E2	SRX9290361|G1E-ER4+E2	SRX9290362|G1E-ER4+E2	SRX035991|Hematopoietic_progenitors	SRX7821060|Hematopoietic_progenitors	SRX180160|Hematopoietic_Stem_Cells	SRX180161|Hematopoietic_Stem_Cells	SRX1939449|Lymphoid-primed_multipotent_progenitors	SRX310207|Mast_Cells	SRX145058|MEL	SRX282674|MEL	SRX006799|mESC_derived_haematopoietic_progenitor	SRX006800|mESC_derived_haematopoietic_progenitor	SRX1035385|mESC_derived_haematopoietic_progenitor	SRX1035390|mESC_derived_haematopoietic_progenitor	SRX1035400|mESC_derived_haematopoietic_progenitor	SRX1035406|mESC_derived_macrophages	SRX282665|mESC_derived_mesodermal_cells	SRX282666|mESC_derived_mesodermal_cells	SRX282670|mESC_derived_mesodermal_cells	SRX2911513|mESC_derived_mesodermal_cells	SRX2911514|mESC_derived_mesodermal_cells	SRX757574|mESC_derived_mesodermal_cells	STRING
Lgals3bp	84.030769	0	0	0	0	0	0	0	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	212	0	0	0	0	0	0	435	0	370	504	0	105	1663	0	0	0	0	241	0	0	812	381	0	0	0	0	0
Elof1	83.969231	0	0	0	0	0	676	1162	0	0	0	222	565	0	0	0	690	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	183	0	0	0	0	0	1693	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zyx	83.892308	1205	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	571	0	776	571	514	1309	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnaja3	83.846154	0	0	0	0	188	192	144	0	0	0	238	521	0	0	0	680	0	0	0	106	0	0	0	0	0	0	163	0	0	0	181	198	0	0	0	0	0	0	288	0	0	0	0	0	0	327	0	0	0	0	390	1834	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coro7	83.846154	0	0	0	0	188	192	144	0	0	0	238	521	0	0	0	680	0	0	0	106	0	0	0	0	0	0	163	0	0	0	181	198	0	0	0	0	0	0	288	0	0	0	0	0	0	327	0	0	0	0	390	1834	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elovl1	83.676923	0	0	198	319	639	87	497	0	0	0	312	1003	0	0	0	1228	0	0	0	105	0	0	0	0	0	0	0	0	0	0	137	155	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eloc	83.676923	0	0	126	474	622	606	540	0	0	0	529	414	0	0	0	781	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	259	692	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uchl5	83.523077	329	115	0	0	0	0	350	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	509	499	173	0	0	0	0	0	456	0	0	149	0	0	0	127	0	98	191	0	425	1507	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ro60	83.523077	329	115	0	0	0	0	350	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	509	499	173	0	0	0	0	0	456	0	0	149	0	0	0	127	0	98	191	0	425	1507	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ggct	83.523077	601	0	0	0	0	171	102	0	0	0	203	179	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	673	0	265	676	144	1818	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyn	83.446154	100	0	0	175	284	146	832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	209	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	339	2778	153	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd36	83.430769	0	0	0	0	0	572	609	0	0	0	299	594	0	0	0	809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	213	0	0	0	0	0	0	277	0	0	0	0	0	0	179	0	0	0	0	0	1713	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St3gal6	83.230769	0	0	0	223	297	631	0	0	0	0	317	657	0	0	0	935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	225	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	1541	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2r2	83.061538	0	0	213	451	807	1065	1014	0	0	0	0	149	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stab1	82.661538	745	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1493	1653	129	349	171	0	0	0	0	419	0	0	285	0	0	0	0	0	0
Akt2	82.630769	0	0	0	0	99	375	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	144	178	375	450	194	347	0	0	0	0	574	0	0	0	0	0	0	0	822	0	464	823	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h10	82.430769	0	0	0	0	0	691	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	579	643	194	0	170	0	0	0	708	0	0	0	0	0	0	337	0	0	220	0	333	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl41	82.430769	0	0	0	0	0	691	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	579	643	194	0	170	0	0	0	708	0	0	0	0	0	0	337	0	0	220	0	333	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adgre5	82.430769	0	0	0	0	0	0	0	0	0	0	366	904	0	0	0	1137	0	0	0	86	0	0	0	0	0	0	156	0	0	196	309	372	132	202	175	0	0	0	540	0	0	131	0	0	0	276	188	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chd3	82.400000	0	0	198	434	927	457	1018	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	146	0	0	0	148	310	192	129	176	0	0	0	341	0	0	0	0	0	0	153	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khsrp	82.323077	0	340	0	0	0	1188	2396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	187	282	0	0	0	0	0	0	252	0	0	0	0	0	0	256	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pafah2	82.276923	799	0	0	0	0	0	0	0	0	0	0	136	0	0	0	155	0	0	0	114	0	0	0	0	0	0	0	0	0	0	294	312	0	185	0	0	0	0	415	0	0	0	0	0	0	0	274	0	0	275	101	2288	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r16b	82.138462	720	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	1097	624	700	1097	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1378	82.092308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	628	0	0	0	0	0	0	108	216	0	0	1909	1327	442	262	0	199	0
Sipa1l1	82.061538	276	0	0	0	0	0	0	0	0	0	445	1098	0	0	0	1318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	104	437	0	187	436	134	758	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rcc2	81.892308	935	0	0	0	0	371	1348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	373	693	0	0	694	578	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtcap2	81.846154	873	0	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	1105	774	625	1101	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0
Colq	81.800000	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	2371	0	0	2367	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ace2	81.769231	0	0	0	0	0	0	0	0	0	0	541	975	0	0	0	1428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2371	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efcab2	81.723077	0	290	0	0	148	74	500	0	0	0	189	270	0	0	0	412	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	0	0	154	0	329	1887	132	0	0	0	0	0	0	227	0	0	0	0	0	0
Aqp11	81.707692	0	0	0	0	200	1720	1489	0	0	0	195	218	0	0	0	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	953	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkn2	81.646154	0	0	0	521	852	240	486	0	0	0	304	622	0	0	0	783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	148	0	0	0	0	157	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il20ra	81.600000	0	0	0	0	376	143	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2595	521	0	0	0	0	0	0	644	329	0	0	0	0	0
Mrpl11	81.538462	0	414	0	0	231	985	1580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	149	256	312	163	0	0	0	0	0	323	0	0	0	0	0	0	489	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Timm8b	81.369231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	176	144	713	720	320	219	281	0	0	0	756	0	0	144	0	0	0	0	0	0	0	0	240	1446	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdhd	81.369231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	176	144	713	720	320	219	281	0	0	0	756	0	0	144	0	0	0	0	0	0	0	0	240	1446	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfn3	81.292308	1963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	533	0	0	532	111	1626	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnase1	81.184615	0	0	234	638	941	193	462	0	0	0	358	487	0	0	0	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	943	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jrkl	81.061538	0	0	0	0	0	125	261	0	0	0	0	601	0	0	0	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	178	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	157	2505	262	0	0	0	0	0	0	181	0	0	0	0	0	0
Ccdc82	81.061538	0	0	0	0	0	125	261	0	0	0	0	601	0	0	0	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	178	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	157	2505	262	0	0	0	0	0	0	181	0	0	0	0	0	0
Copz1	80.784615	303	0	0	0	0	0	395	244	0	213	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	163	0	159	340	243	0	0	184	309	0	170	0	187	0	462	0	0	462	234	358	0	180	0	0	0	0	230	0	0	0	0	0	0	0
Mkrn1	80.723077	0	0	276	660	1023	526	949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	201	0	0	0	0	174	1198	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Impdh2	80.369231	698	0	0	0	0	0	152	205	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	141	0	0	0	0	0	0	672	155	143	438	155	332	1058	0	0	0	0	0	0	0	495	241	0	0	0	0	0
Pde4a	80.276923	0	0	0	0	0	419	324	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	144	320	452	607	228	157	182	0	0	0	790	0	0	123	0	0	165	103	0	0	0	0	132	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr646	80.276923	2540	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	713	0	0	700	0	518	0	0	0	0	0	132	0	0	0	0	0	0	0	0
Rint1	80.061538	904	0	0	0	0	0	193	236	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	189	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	205	2541	210	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult6b2	80.030769	367	0	0	0	0	0	0	0	0	0	236	598	0	0	0	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	137	229	298	137	157	1803	0	0	0	0	156	0	0	0	0	0	0	0	0	0
Agpat5	79.846154	0	0	0	0	0	0	94	155	0	0	242	213	0	0	0	403	0	0	0	102	0	0	0	0	0	0	0	0	0	193	266	407	173	0	0	0	0	0	593	0	0	0	0	0	0	281	0	0	0	0	190	1878	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acyp1	79.769231	0	0	0	0	238	0	279	0	0	0	0	254	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	171	396	361	170	155	171	0	0	0	550	0	0	148	0	0	0	620	0	0	0	0	0	1346	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rph3al	79.523077	0	264	0	0	0	0	436	0	0	0	0	140	0	0	0	211	0	0	0	0	0	0	0	0	0	0	71	0	0	0	249	218	0	0	0	0	0	0	349	0	0	0	0	0	0	666	0	0	0	0	0	2090	475	0	0	0	0	0	0	0	0	0	0	0	0	0
Ier3	79.446154	223	0	0	0	0	0	0	0	0	0	346	724	0	0	0	964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	351	0	210	349	399	1329	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flot1	79.446154	223	0	0	0	0	0	0	0	0	0	346	724	0	0	0	964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	351	0	210	349	399	1329	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc7a1	79.400000	0	295	0	240	361	336	1522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	237	1471	206	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp672	79.369231	0	0	144	403	735	203	399	0	0	0	231	357	0	0	0	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	324	0	0	0	0	0	0	273	0	0	0	0	243	1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr81	78.984615	480	96	0	164	337	444	1150	0	0	0	0	151	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	239	0	0	0	0	0	0	177	293	0	0	291	168	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcr	78.892308	0	0	0	0	0	1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	720	0	0	718	0	0	198	0	0	0	0	0	0	810	367	244	217	0	0	0
Traf4	78.846154	0	0	0	0	200	0	0	0	0	0	583	1535	0	0	0	1775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	811	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a51	78.846154	0	0	0	290	414	499	1187	0	0	0	128	249	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	136	1551	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb10	78.846154	0	0	0	0	238	806	1002	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	209	284	552	129	141	0	0	0	0	546	0	0	0	0	0	0	207	0	0	0	0	127	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf20	78.815385	0	141	0	311	368	799	580	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	193	280	276	0	0	0	0	0	0	359	0	0	138	0	0	0	592	0	0	0	0	157	841	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc34a3	78.446154	272	0	0	0	0	0	0	0	0	0	405	979	0	0	0	1191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	484	0	0	484	0	1171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf224	78.446154	272	0	0	0	0	0	0	0	0	0	405	979	0	0	0	1191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	484	0	0	484	0	1171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Irgm2	78.446154	0	0	160	481	829	967	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	335	0	0	0	0	0	0	276	0	0	0	0	0	0	348	0	0	0	0	151	893	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Septin8	78.384615	0	0	0	190	297	0	307	0	0	0	0	133	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	184	0	0	0	0	0	0	230	0	0	0	0	0	0	165	0	0	0	0	0	2216	0	0	0	0	0	0	0	511	334	0	160	0	0	0
Tex48	78.276923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	716	1013	0	343	198	0	0	0	0	138	0	0	1498	706	326	0	0	0	0
Arhgef7	77.984615	513	0	0	0	0	0	0	519	0	0	224	363	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808	966	0	541	114	0	0	0	0	224	113	0	165	0	0	0	0	0	0
Trh	77.892308	0	0	0	302	390	1232	818	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	818	0	0	0	0	0	1042	0	0	0	0	0	0	0	307	0	0	0	0	0	0
Abcc5	77.830769	158	0	0	215	244	927	443	0	0	0	0	0	0	0	0	192	0	0	0	86	0	0	0	0	110	0	0	0	0	153	205	392	0	0	0	0	0	0	370	0	0	0	0	0	0	154	0	0	0	0	0	1000	410	0	0	0	0	0	0	0	0	0	0	0	0	0
Upf1	77.815385	0	156	0	0	234	1238	1148	0	0	0	175	215	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	161	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prkar1a	77.800000	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	208	0	0	0	0	0	0	199	0	0	0	0	0	0	99	673	0	157	675	372	2084	225	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgals7	77.553846	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	564	429	399	195	213	0	0	0	685	0	0	0	0	0	179	0	0	0	0	0	842	661	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pank4	77.430769	0	0	0	0	182	482	1022	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	181	0	0	0	307	451	0	0	0	0	0	0	383	0	0	0	0	0	0	359	496	0	0	496	0	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hes5	77.430769	0	0	0	0	182	482	1022	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	181	0	0	0	307	451	0	0	0	0	0	0	383	0	0	0	0	0	0	359	496	0	0	496	0	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmx2	77.353846	0	221	0	357	572	821	1481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	204	0	0	0	0	0	1171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med19	77.353846	0	221	0	357	572	821	1481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	204	0	0	0	0	0	1171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ibtk	77.323077	0	145	0	249	467	273	976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	232	298	558	184	191	0	0	0	0	667	0	0	0	0	0	0	164	0	0	0	0	238	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037H04Rik	77.323077	0	171	166	407	926	1160	1446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	156	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp33	77.230769	0	0	0	257	325	1984	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	336	0	0	0	0	0	0	365	0	0	0	0	0	0	175	0	0	0	0	0	826	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem223	77.123077	209	0	0	0	100	376	432	0	0	0	252	357	0	0	0	613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	85	0	382	2048	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem179b	77.123077	209	0	0	0	100	376	432	0	0	0	252	357	0	0	0	613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	85	0	382	2048	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arrb2	77.046154	246	0	0	0	0	705	1200	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	197	163	1980	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekha2	77.030769	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	268	250	574	819	281	181	235	0	0	0	785	0	0	0	0	0	0	0	0	0	0	0	0	1164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elfn2	76.800000	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	1251	0	605	1249	0	434	0	0	0	0	0	0	0	176	0	0	0	0	0	0
Sfi1	76.723077	224	0	207	256	286	158	253	127	0	0	96	158	0	0	0	179	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	166	218	68	165	932	340	0	388	206	0	0	0	0	220	0	0	0	0	0	0
Gvin1	76.676923	215	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	204	319	389	0	0	0	0	0	0	395	0	0	0	0	0	0	188	739	159	434	820	892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4070	76.676923	215	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	204	319	389	0	0	0	0	0	0	395	0	0	0	0	0	0	188	739	159	434	820	892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8030462N17Rik	76.430769	0	0	0	191	347	229	574	0	0	0	333	217	0	0	0	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642	0	0	0	0	0	1888	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nup54	76.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	119	0	144	284	467	632	283	163	0	0	0	0	695	0	0	184	0	0	0	0	0	114	0	0	336	1383	0	0	0	0	0	0	0	0	0	0	0	0	0	0
