Target_genes	Klf5|Average	SRX520198|3T3-L1	SRX10299739|embryonic_skin	SRX10157942|Esophageal_organoids	SRX10157943|Esophageal_organoids	SRX10157944|Esophageal_organoids	SRX10157945|Esophageal_organoids	SRX10157946|Esophageal_organoids	SRX10157947|Esophageal_organoids	SRX10157948|Esophageal_organoids	SRX10157949|Esophageal_organoids	SRX10157960|Esophageal_organoids	SRX10157961|Esophageal_organoids	SRX334975|ES_cells	SRX3585307|ES_cells	SRX468970|ES_cells	SRX6437851|Pancreatic_adenocarcinoma	SRX6437852|Pancreatic_adenocarcinoma	SRX8026860|Pancreatic_adenocarcinoma	SRX8026861|Pancreatic_adenocarcinoma	SRX8026862|Pancreatic_adenocarcinoma	SRX8026863|Pancreatic_adenocarcinoma	SRX1149716|Pancreatic_cancer_cell_lines	SRX3585311|Trophoblast_stem_cells	SRX18304307|Unclassified	STRING
Smg7	198.500000	161	0	0	0	0	0	0	0	214	0	0	0	130	0	139	239	233	643	814	846	1039	140	0	166	0
Rap2a	198.375000	162	0	0	0	0	0	0	0	171	120	0	0	968	0	1031	143	169	364	375	281	540	194	0	243	0
Atp9b	198.291667	923	0	0	0	0	0	0	0	151	0	0	0	1092	0	811	0	0	379	234	413	441	139	0	176	0
Coa3	198.208333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	405	842	940	582	964	316	0	228	0
Cntd1	198.208333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	405	842	940	582	964	316	0	228	0
Tmem125	198.166667	0	305	0	0	0	0	0	101	484	134	227	139	299	539	222	110	186	200	264	157	313	228	462	386	0
Ssu72	198.166667	696	0	0	0	0	0	0	0	131	0	0	0	1301	0	943	155	124	249	224	206	245	186	0	296	0
Rab1a	198.000000	0	0	0	0	0	0	0	0	304	100	0	0	589	0	355	335	334	441	538	442	575	427	0	312	0
Calm1	197.583333	0	0	0	0	0	0	0	0	416	319	0	0	722	0	427	208	171	503	285	752	359	474	0	106	0
Mef2a	197.500000	0	0	0	0	0	0	0	0	145	0	0	0	254	0	214	395	416	485	682	728	834	368	0	219	0
Tmem183a	197.458333	544	0	0	0	0	0	0	0	155	0	0	0	806	0	767	148	290	334	339	349	432	322	0	253	0
Cc2d1a	197.416667	119	0	0	0	0	0	0	0	310	194	0	0	758	0	440	196	296	316	610	480	576	443	0	0	0
4930432K21Rik	197.416667	119	0	0	0	0	0	0	0	310	194	0	0	758	0	440	196	296	316	610	480	576	443	0	0	0
Kbtbd2	197.291667	0	0	0	0	0	0	0	0	332	140	269	0	217	0	106	172	210	524	481	648	852	420	0	364	0
Pop4	196.916667	854	0	0	0	0	0	0	0	0	0	0	0	1713	0	1640	0	0	188	0	111	220	0	0	0	0
Itgb1	196.791667	0	0	0	0	0	0	0	0	387	228	0	0	276	0	164	336	233	621	658	595	622	465	0	138	0
Atf3	196.750000	0	0	161	0	0	0	0	0	179	117	0	0	154	0	209	218	236	735	595	658	741	190	0	529	0
Phldb1	196.458333	0	0	0	0	0	0	0	0	188	124	0	0	320	0	291	286	343	710	460	638	696	546	0	113	0
Lrig3	196.416667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	714	472	894	657	1073	349	0	0	0
Dnajc30	196.416667	1024	0	0	0	0	0	0	0	0	0	0	0	1135	0	796	79	144	344	289	393	510	0	0	0	0
Bud23	196.416667	1024	0	0	0	0	0	0	0	0	0	0	0	1135	0	796	79	144	344	289	393	510	0	0	0	0
Atg7	196.375000	828	0	0	0	0	0	0	0	118	0	0	0	1308	0	869	84	0	327	320	241	403	215	0	0	0
Aptx	196.250000	482	0	0	0	0	0	132	0	1110	534	165	0	805	0	799	0	0	107	169	129	0	88	0	190	0
Arih1	196.166667	0	0	0	0	0	0	0	0	206	149	0	0	516	0	477	247	243	659	504	624	626	233	0	224	0
Invs	196.125000	134	0	0	0	0	0	0	0	154	0	0	0	470	0	515	415	229	386	595	573	575	468	0	193	0
Erp44	196.125000	134	0	0	0	0	0	0	0	154	0	0	0	470	0	515	415	229	386	595	573	575	468	0	193	0
Tbl3	196.083333	1040	0	0	0	0	0	0	0	0	0	0	0	1602	0	1231	0	0	215	216	174	228	0	0	0	0
Gda	195.791667	873	0	0	0	0	0	0	0	193	120	0	0	186	0	0	278	77	642	545	631	726	298	0	130	0
Lifr	195.750000	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	547	304	924	965	492	961	263	0	0	0
Tatdn2	195.708333	390	0	120	0	0	0	0	0	407	135	0	0	183	0	80	258	141	535	576	448	708	436	0	280	0
Cdk12	195.708333	256	0	0	0	0	0	0	0	80	0	0	0	630	0	538	0	0	803	771	444	978	0	0	197	0
Bet1	195.625000	1127	0	0	0	0	0	0	0	154	0	0	0	679	0	598	0	168	357	338	348	411	172	0	343	0
Lsr	195.541667	0	0	0	0	0	0	0	0	638	190	0	0	185	0	0	273	146	706	806	703	633	191	0	222	0
Fam187b	195.541667	0	0	0	0	0	0	0	0	638	190	0	0	185	0	0	273	146	706	806	703	633	191	0	222	0
Cwc25	195.375000	787	0	0	0	0	0	0	0	0	0	0	0	1794	0	1294	0	0	325	169	124	196	0	0	0	0
Kctd5	195.250000	157	0	0	0	0	0	0	0	385	78	0	0	343	0	262	145	0	642	742	711	780	259	0	182	0
Lasp1	194.958333	332	0	0	0	0	0	0	0	240	180	0	0	267	0	268	376	372	474	595	325	773	477	0	0	0
Ift52	193.833333	638	0	0	0	0	0	0	0	0	0	0	0	1330	0	1110	81	145	243	216	313	406	0	0	170	0
Pinx1	193.625000	814	0	0	0	0	0	0	0	0	0	0	0	1691	0	886	87	72	242	210	251	394	0	0	0	0
Mrpl2	193.291667	1727	0	0	0	0	0	0	0	0	0	0	0	1188	0	846	0	0	116	234	188	263	0	0	77	0
Klc4	193.291667	1727	0	0	0	0	0	0	0	0	0	0	0	1188	0	846	0	0	116	234	188	263	0	0	77	0
Gm11595	193.291667	0	0	0	0	0	0	0	0	187	94	0	0	0	0	0	198	103	971	775	911	1112	115	0	173	0
Cul7	193.291667	1727	0	0	0	0	0	0	0	0	0	0	0	1188	0	846	0	0	116	234	188	263	0	0	77	0
Cep20	193.250000	0	0	168	0	0	0	0	0	711	246	0	0	0	0	80	216	456	193	509	640	793	507	0	119	0
Snrpb2	193.125000	129	0	0	0	0	0	0	0	288	0	0	0	0	0	0	199	248	801	766	689	983	355	0	177	0
Rpl23	193.000000	680	0	0	0	0	0	0	0	95	0	0	0	1359	0	1100	0	105	291	293	313	295	101	0	0	0
Uaca	192.958333	0	0	0	0	0	0	0	0	217	112	0	0	191	0	119	337	328	490	747	490	897	494	0	209	0
Gpr19	192.750000	0	0	0	0	0	0	0	0	275	191	0	0	387	0	345	231	268	473	546	548	684	473	0	205	0
Nfx1	192.708333	307	0	0	0	0	0	0	0	0	0	0	0	1892	0	1637	0	0	170	197	157	265	0	0	0	0
Ube2z	192.666667	0	0	0	0	0	0	0	0	198	0	0	0	262	0	262	247	297	665	582	812	795	382	0	122	0
Them4	192.666667	0	0	0	0	0	0	0	0	182	111	0	0	276	0	280	187	141	621	675	852	721	297	0	281	0
Wasf2	192.625000	0	0	0	0	0	0	0	0	281	0	0	0	617	0	603	249	268	200	268	233	340	635	0	929	0
Tk1	192.416667	0	0	229	0	0	0	0	0	461	217	0	0	0	0	0	296	250	654	586	456	612	632	0	225	0
Kbtbd7	192.416667	0	0	186	0	0	0	0	0	398	138	0	0	96	0	0	228	185	518	496	571	901	289	0	612	0
Zcwpw2	192.083333	0	0	0	0	0	0	0	0	155	0	0	0	356	0	245	314	287	535	648	608	786	463	0	213	0
Azi2	192.083333	0	0	0	0	0	0	0	0	155	0	0	0	356	0	245	314	287	535	648	608	786	463	0	213	0
Mt2	192.041667	110	0	0	0	0	0	0	0	359	144	0	0	370	0	229	148	174	664	721	560	751	215	0	164	0
B4galt7	191.750000	0	0	0	0	0	0	0	0	225	83	0	0	398	0	416	257	224	526	436	564	817	536	0	120	0
Bud13	191.666667	0	0	0	0	0	0	0	0	153	0	0	0	382	0	262	300	251	635	629	805	858	325	0	0	0
Sec62	191.541667	0	0	0	0	0	0	0	0	151	0	0	0	287	0	180	697	425	576	712	533	743	181	0	112	0
Naa35	191.500000	203	0	0	0	0	0	0	0	201	0	0	0	289	0	227	136	163	549	650	656	829	246	0	447	0
Commd2	191.416667	0	0	0	0	0	0	0	0	182	145	0	0	338	0	289	386	310	393	610	446	859	468	0	168	0
Trib1	191.333333	173	0	0	0	0	0	0	0	213	79	0	0	146	0	0	377	364	613	630	569	913	343	0	172	0
1810058I24Rik	191.166667	248	0	0	0	0	0	0	0	241	0	0	0	341	0	222	261	384	298	490	441	700	697	0	265	0
Unc13d	191.083333	0	0	0	0	0	0	0	0	228	0	0	0	294	0	135	171	209	740	826	731	950	144	0	158	0
Exoc6b	190.916667	0	0	0	0	0	0	0	0	121	84	0	0	433	0	499	377	417	526	433	594	512	420	0	166	0
Slc25a25	190.833333	0	0	0	0	0	0	0	0	154	0	0	0	104	0	0	147	148	321	439	340	506	138	0	2283	0
Zfp622	190.625000	0	0	113	0	0	0	0	0	209	0	0	0	447	0	198	190	198	680	580	517	948	190	0	305	0
Actb	190.625000	0	0	76	0	0	0	0	0	239	132	0	0	224	0	184	333	267	704	564	731	693	428	0	0	0
Ppat	190.583333	0	0	0	0	0	0	0	0	403	151	0	0	547	0	433	279	202	475	432	680	590	258	0	124	0
Paics	190.583333	0	0	0	0	0	0	0	0	403	151	0	0	547	0	433	279	202	475	432	680	590	258	0	124	0
Pfas	190.541667	1034	0	0	0	0	0	0	0	0	0	0	0	1346	0	1291	0	0	305	210	163	224	0	0	0	0
Fam110c	190.291667	793	0	0	0	0	0	0	0	405	185	0	0	268	0	202	184	212	448	401	363	537	429	0	140	0
Cpped1	190.125000	0	0	0	0	0	0	0	0	179	0	0	0	393	0	303	239	156	742	656	649	833	323	0	90	0
Tmem39a	190.041667	977	0	0	0	0	0	0	0	0	0	0	0	1428	0	1422	0	0	160	116	192	266	0	0	0	0
Clcf1	190.000000	410	0	0	0	0	0	0	0	272	168	424	167	167	0	0	351	209	389	500	384	619	290	0	210	0
Spaar	189.958333	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	127	1131	894	674	866	195	0	141	0
Hrct1	189.958333	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	127	1131	894	674	866	195	0	141	0
Depp1	189.916667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	200	986	791	612	927	362	0	234	0
Ces2g	189.875000	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	162	165	670	874	917	935	455	0	196	0
Gsc2	189.833333	1674	0	0	0	0	0	0	0	0	0	0	0	1067	0	675	92	0	301	171	196	307	73	0	0	0
Ess2	189.833333	1674	0	0	0	0	0	0	0	0	0	0	0	1067	0	675	92	0	301	171	196	307	73	0	0	0
Dimt1	189.833333	401	0	0	0	0	0	0	0	0	0	0	0	1306	0	958	109	0	327	279	406	508	127	0	135	0
Klra4	189.791667	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	701	200	635	582	1071	867	0	0	0
Klra18	189.791667	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	701	200	635	582	1071	867	0	0	0
Psmd5	189.708333	375	0	0	0	0	0	0	0	137	0	200	0	399	0	250	139	85	730	748	586	654	0	0	250	0
Cutal	189.708333	375	0	0	0	0	0	0	0	137	0	200	0	399	0	250	139	85	730	748	586	654	0	0	250	0
Nabp1	189.375000	0	0	0	0	0	0	0	0	203	0	0	0	229	0	397	298	206	593	573	629	698	274	0	445	0
Sbno2	189.208333	135	0	0	0	0	0	0	0	357	142	0	0	289	0	223	291	281	679	455	460	639	423	0	167	0
Elmo2	189.208333	0	0	0	0	0	0	0	0	264	186	0	0	95	0	95	344	170	680	455	667	866	509	0	210	0
Ptcd1	189.125000	160	0	0	0	0	0	0	0	334	151	0	0	0	0	0	300	258	759	647	604	775	551	0	0	0
Cpsf4	189.125000	160	0	0	0	0	0	0	0	334	151	0	0	0	0	0	300	258	759	647	604	775	551	0	0	0
Hnrnpd	188.875000	0	0	0	0	0	0	0	0	289	142	0	0	338	0	257	257	241	544	399	453	558	707	0	348	0
Mmp14	188.666667	184	0	0	0	0	0	105	0	218	0	0	0	132	0	0	213	508	526	836	648	925	120	0	113	0
Lgals3	188.625000	557	0	0	0	0	0	145	0	910	293	0	0	236	0	108	155	226	228	254	254	474	446	0	241	0
Tnfaip3	188.458333	373	0	135	0	0	0	0	0	501	293	0	0	206	0	0	199	227	435	615	589	509	240	0	201	0
Pdk1	188.458333	0	0	0	0	0	0	0	0	147	0	0	0	323	0	139	439	195	832	702	854	751	0	0	141	0
Cln8	188.333333	223	0	0	0	0	0	0	0	301	94	0	0	155	0	136	530	457	543	682	382	608	256	0	153	0
Ncs1	187.958333	160	0	0	0	0	0	0	0	176	0	0	0	594	0	217	460	549	388	344	490	409	724	0	0	0
Dvl2	187.833333	170	0	0	0	0	0	0	0	406	232	0	0	231	0	223	191	156	368	797	476	791	317	0	150	0
Magoh	187.500000	823	0	0	0	0	0	0	0	112	0	0	0	1509	0	1043	0	0	169	195	256	293	0	0	100	0
Trmt1l	187.375000	0	0	0	0	0	0	0	0	168	0	0	0	336	0	232	290	265	502	592	597	769	561	0	185	0
Tmem134	187.375000	0	0	0	0	0	0	0	0	436	184	0	0	293	0	295	189	199	695	410	547	721	349	0	179	0
Swt1	187.375000	0	0	0	0	0	0	0	0	168	0	0	0	336	0	232	290	265	502	592	597	769	561	0	185	0
Aip	187.375000	0	0	0	0	0	0	0	0	436	184	0	0	293	0	295	189	199	695	410	547	721	349	0	179	0
Mthfr	187.333333	0	0	0	0	0	0	0	0	254	191	0	0	336	0	441	265	389	414	483	520	612	304	0	287	0
Clcn6	187.333333	0	0	0	0	0	0	0	0	254	191	0	0	336	0	441	265	389	414	483	520	612	304	0	287	0
Hmgcs1	187.250000	0	0	0	0	0	0	0	0	172	0	0	0	122	0	106	285	311	582	733	593	939	335	0	316	0
Supv3l1	187.000000	904	0	0	0	0	0	0	0	0	0	0	0	1259	0	1201	0	102	369	244	131	278	0	0	0	0
Trmt2a	186.916667	0	0	0	0	0	0	0	0	388	350	122	0	774	0	438	135	131	446	369	528	483	322	0	0	0
Ranbp1	186.916667	0	0	0	0	0	0	0	0	388	350	122	0	774	0	438	135	131	446	369	528	483	322	0	0	0
Pim3	186.916667	0	0	0	0	0	0	0	0	257	138	0	0	183	0	0	275	393	656	562	586	855	407	0	174	0
Eps15	186.916667	0	0	129	0	0	0	0	0	522	408	0	0	379	0	285	235	191	479	315	253	372	724	0	194	0
Tshz2	186.708333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	141	924	952	851	1030	0	0	0	0
Ehd1	186.583333	129	0	233	0	0	0	0	0	531	252	0	0	190	0	0	0	0	715	633	638	787	138	0	232	0
Lrrfip1	186.541667	0	0	0	0	0	0	0	0	236	125	0	0	329	0	253	289	235	408	523	536	725	490	0	328	0
Pacrgl	186.458333	1402	0	0	0	0	0	0	0	0	0	0	0	1377	0	1121	0	0	218	116	0	241	0	0	0	0
Zmym6	186.208333	0	0	0	0	0	0	0	0	461	152	0	0	666	0	744	187	221	445	445	281	416	127	0	324	0
Gpam	186.208333	1223	0	0	0	0	0	0	0	0	0	0	0	1921	0	1183	0	0	142	0	0	0	0	0	0	0
Kcnn4	186.166667	611	0	0	0	0	0	0	0	129	0	0	0	0	0	0	314	632	331	632	513	729	577	0	0	0
Cblc	186.000000	0	0	204	0	0	0	96	0	812	500	0	0	324	0	429	134	0	466	468	380	357	213	0	81	0
Vstm5	185.958333	0	0	0	0	0	0	0	0	291	133	0	0	0	0	0	323	327	659	530	655	745	537	0	263	0
Cemip2	185.833333	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	523	482	646	568	946	586	0	0	0
Chd3	185.750000	256	0	0	0	0	0	0	0	366	125	0	0	155	0	295	219	0	590	717	437	890	327	0	81	0
Ruvbl2	185.666667	265	168	0	0	0	0	0	0	595	287	0	0	122	0	158	170	78	439	546	539	659	269	0	161	0
Gys1	185.666667	265	168	0	0	0	0	0	0	595	287	0	0	122	0	158	170	78	439	546	539	659	269	0	161	0
Paox	185.625000	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	343	393	650	691	719	813	468	0	185	0
Rnh1	185.583333	567	0	0	0	0	0	0	0	382	138	0	0	426	0	419	135	279	397	455	237	412	410	0	197	0
Tex264	185.458333	0	132	81	0	0	0	0	0	496	103	0	0	521	0	394	119	229	445	222	483	545	241	0	440	0
Eif3e	185.458333	158	0	0	0	0	0	0	0	188	0	0	0	364	0	306	263	141	717	593	481	808	249	0	183	0
Rbx1	185.416667	0	0	109	0	0	0	0	0	411	316	0	0	276	0	226	181	121	572	482	487	521	295	0	453	0
Kif14	185.333333	113	0	0	0	0	0	0	0	263	177	0	0	350	0	236	191	165	563	677	602	561	195	0	355	0
Caly	185.250000	296	0	0	0	0	0	0	0	569	208	0	0	159	0	0	166	370	381	420	423	612	656	0	186	0
Tjp3	185.208333	0	0	0	0	0	0	0	0	289	160	0	0	273	0	219	211	173	616	613	703	736	452	0	0	0
Mpeg1	185.208333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	450	596	859	582	827	502	0	174	0
Zfp62	184.875000	0	0	0	0	0	0	0	0	202	86	0	0	216	0	129	288	274	652	609	802	601	316	0	262	0
Pygo2	184.750000	0	0	0	0	0	0	0	0	376	143	0	0	263	0	294	187	131	653	540	676	698	242	0	231	0
Phf7	184.750000	842	0	0	0	0	0	0	0	98	0	0	0	1348	0	1044	0	0	248	204	137	268	135	0	110	0
Bap1	184.750000	842	0	0	0	0	0	0	0	98	0	0	0	1348	0	1044	0	0	248	204	137	268	135	0	110	0
Sgms1	184.625000	0	0	0	0	0	0	0	0	446	224	0	0	185	0	224	171	193	466	739	585	776	254	0	168	0
Prkrip1	184.541667	1043	0	0	0	0	0	0	0	0	0	0	0	1329	0	1134	0	0	195	290	224	214	0	0	0	0
Stat6	184.416667	0	0	0	0	0	0	0	0	222	170	0	0	0	0	0	519	213	631	879	667	901	107	0	117	0
Naif1	184.416667	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	147	148	321	439	340	506	138	0	2283	0
Pfn1	184.333333	0	0	0	0	0	0	0	0	82	0	0	0	202	0	321	238	205	566	632	812	980	293	0	93	0
Eno3	184.333333	0	0	0	0	0	0	0	0	82	0	0	0	202	0	321	238	205	566	632	812	980	293	0	93	0
Arhgap27	184.041667	0	0	0	0	0	0	0	0	132	0	0	0	266	0	0	347	179	866	785	557	707	319	0	259	0
Epb41l1	183.916667	0	0	0	0	0	0	0	0	0	0	0	0	683	0	617	216	0	784	650	505	517	345	0	97	0
Pex12	183.791667	904	0	0	0	0	0	0	0	217	0	0	0	1427	0	1023	94	0	165	221	186	174	0	0	0	0
Ap2b1	183.791667	904	0	0	0	0	0	0	0	217	0	0	0	1427	0	1023	94	0	165	221	186	174	0	0	0	0
Rad9a	183.708333	0	0	0	0	0	0	0	0	366	170	0	0	397	0	283	392	301	553	506	295	638	331	0	177	0
Rrp1b	183.458333	536	0	0	0	0	0	0	0	0	0	0	0	1685	0	1467	0	0	249	130	202	134	0	0	0	0
Hsf2bp	183.458333	536	0	0	0	0	0	0	0	0	0	0	0	1685	0	1467	0	0	249	130	202	134	0	0	0	0
Faf1	183.375000	306	0	0	0	0	0	0	0	406	156	0	0	812	0	447	120	171	367	341	439	446	254	0	136	0
Mcrip2	183.125000	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	256	303	677	696	780	805	628	0	0	0
Chmp4b	182.708333	1081	0	0	0	0	0	0	0	104	0	0	0	819	0	596	0	0	380	256	348	260	216	0	325	0
Cdc42bpb	182.458333	0	0	0	0	0	0	0	0	343	162	0	0	559	0	406	226	400	418	350	498	365	528	0	124	0
Rc3h1	182.333333	0	0	0	0	0	0	0	0	437	213	0	0	235	0	117	197	253	524	621	696	637	217	0	229	0
F11r	182.208333	0	0	0	0	0	0	0	0	169	0	0	0	103	0	132	361	0	1069	1052	509	865	113	0	0	0
Skiv2l	182.125000	121	0	0	0	0	0	0	0	185	110	0	0	953	0	574	0	0	567	449	411	641	249	0	111	0
Nelfe	182.125000	121	0	0	0	0	0	0	0	185	110	0	0	953	0	574	0	0	567	449	411	641	249	0	111	0
Eif3b	182.000000	166	0	0	0	0	0	0	0	257	0	0	0	0	0	0	244	397	471	825	523	963	399	0	123	0
Usp32	181.833333	0	0	0	0	0	0	0	0	218	0	0	0	233	0	213	216	208	579	680	701	687	271	0	358	0
BC005537	181.833333	0	0	0	0	0	0	0	0	338	115	0	0	280	0	230	193	467	417	632	422	613	250	0	407	0
Hnrnpf	181.791667	206	0	0	0	0	0	0	0	239	115	0	0	218	0	202	216	286	589	450	534	609	519	0	180	0
Uspl1	181.666667	0	0	0	0	0	0	0	0	229	121	0	0	294	0	311	173	220	519	720	509	786	285	0	193	0
Tbp	181.583333	613	0	0	0	0	0	0	0	140	0	0	0	1072	0	956	0	0	364	307	252	654	0	0	0	0
Psmb1	181.583333	613	0	0	0	0	0	0	0	140	0	0	0	1072	0	956	0	0	364	307	252	654	0	0	0	0
Krtap4-8	181.583333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	103	971	775	911	1112	115	0	173	0
Retreg1	181.458333	0	0	0	0	0	0	0	0	144	0	0	0	106	0	0	305	269	594	872	727	852	209	0	277	0
Gtpbp4	181.333333	0	0	0	0	0	0	0	0	124	0	0	0	511	0	326	266	248	587	555	583	666	486	0	0	0
Zfp703	181.083333	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	377	243	602	1022	821	838	325	0	0	0
Arhgap22	181.083333	0	0	0	0	0	0	0	0	0	0	0	0	635	0	389	251	276	457	481	479	643	568	0	167	0
Zfp408	180.875000	105	0	0	0	0	0	0	0	243	143	0	0	331	0	205	228	305	473	564	522	625	273	0	324	0
Arhgap1	180.875000	105	0	0	0	0	0	0	0	243	143	0	0	331	0	205	228	305	473	564	522	625	273	0	324	0
Caap1	180.708333	1083	0	0	0	0	0	0	0	0	0	0	0	1436	0	1082	0	0	189	144	201	202	0	0	0	0
Herpud2	180.541667	86	0	0	0	0	0	0	0	233	183	0	0	404	0	413	124	120	634	432	446	694	228	0	336	0
Zfyve19	180.416667	160	0	0	0	0	0	0	0	209	119	0	0	476	0	328	209	151	509	564	506	532	284	0	283	0
Fam193a	180.416667	0	0	0	0	0	0	0	0	280	0	0	0	633	0	520	225	145	514	457	483	552	269	0	252	0
Dnajc17	180.416667	160	0	0	0	0	0	0	0	209	119	0	0	476	0	328	209	151	509	564	506	532	284	0	283	0
Aopep	180.333333	759	0	0	0	0	0	0	0	0	0	0	0	1461	0	1419	0	0	192	171	149	177	0	0	0	0
Tcf4	180.250000	0	0	0	0	0	0	0	0	255	170	0	0	196	0	69	262	161	639	526	602	791	338	0	317	0
Dgat1	180.166667	0	0	0	0	0	0	0	0	135	0	0	0	593	0	544	286	166	537	463	537	489	456	0	118	0
Mrps33	180.083333	0	0	0	0	0	0	0	0	197	0	0	0	258	0	235	198	246	673	522	717	806	470	0	0	0
Vps18	180.000000	505	0	0	0	0	0	0	0	309	113	0	0	990	0	614	0	0	258	517	319	492	203	0	0	0
Ubxn1	180.000000	0	0	0	0	0	0	0	0	210	96	0	0	426	0	208	161	214	536	689	619	709	258	0	194	0
Arid3b	179.708333	0	0	0	0	0	0	0	0	128	0	0	0	366	0	267	246	272	736	564	661	657	282	0	134	0
Arnt	179.666667	0	0	0	0	0	0	0	0	314	127	0	0	240	0	208	151	210	562	631	599	855	261	0	154	0
Rhof	179.541667	132	0	0	0	0	0	0	0	0	0	0	0	355	0	229	189	184	840	730	629	694	156	0	171	0
Rnf43	179.458333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	394	726	901	697	948	353	0	0	0
Spryd3	179.416667	0	0	0	0	0	0	0	0	158	72	0	0	237	0	224	222	188	801	570	750	637	251	0	196	0
Snx17	179.083333	0	0	0	0	0	0	0	0	274	0	0	0	496	0	195	188	143	584	730	444	817	249	0	178	0
Eif2b4	179.083333	0	0	0	0	0	0	0	0	274	0	0	0	496	0	195	188	143	584	730	444	817	249	0	178	0
Itgb3	179.000000	165	0	0	0	0	0	0	0	0	0	0	0	205	0	0	342	460	547	788	517	802	355	0	115	0
Rcan1	178.958333	0	0	0	0	0	0	0	0	173	174	0	0	385	0	108	261	252	504	473	565	587	617	0	196	0
Spaca4	178.791667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	160	653	968	692	1047	343	0	210	0
Cdiptos	178.666667	0	0	0	0	0	0	0	0	163	0	0	0	340	0	261	362	240	525	587	433	767	494	0	116	0
Cdipt	178.666667	0	0	0	0	0	0	0	0	163	0	0	0	340	0	261	362	240	525	587	433	767	494	0	116	0
Nr4a2	178.625000	131	0	0	0	0	0	0	0	403	200	0	0	533	0	546	204	0	420	313	381	371	595	0	190	0
Secisbp2	178.375000	743	0	0	0	0	0	0	0	0	0	0	0	1455	0	921	0	110	252	260	196	344	0	0	0	0
Rbm27	178.291667	0	0	0	0	0	0	0	0	91	0	0	0	341	0	206	245	299	471	574	623	709	613	0	107	0
Prrc1	178.250000	0	0	0	0	0	0	0	0	161	109	0	0	587	0	556	311	236	410	382	401	556	318	0	251	0
Hk2	178.166667	0	0	0	0	0	0	0	0	116	0	0	0	287	0	153	397	228	678	558	637	558	374	0	290	0
Rwdd2b	178.041667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	499	423	795	576	730	598	0	203	0
Crocc	178.000000	0	0	134	0	0	0	0	0	571	262	0	0	208	0	150	167	139	494	402	589	646	186	0	324	0
Mettl7b	177.875000	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	885	925	843	1005	0	0	0	0
Cct4	177.583333	384	0	0	0	0	0	0	0	0	0	0	0	1105	0	865	186	158	287	233	308	331	260	0	145	0
Spag9	177.541667	181	0	0	0	0	0	0	0	348	169	0	0	649	0	283	148	308	464	435	390	525	99	0	262	0
Ppl	177.375000	160	0	69	0	0	0	0	0	465	227	0	0	146	0	120	368	520	299	469	311	480	490	0	133	0
Pef1	177.291667	200	0	0	0	0	0	0	0	430	214	0	0	378	0	295	290	143	616	420	444	663	162	0	0	0
Chst12	177.250000	283	0	0	0	0	0	0	0	242	163	0	0	227	0	129	136	156	572	608	569	782	115	0	272	0
S100a10	177.208333	342	0	0	0	0	0	0	0	326	201	0	0	560	0	562	192	312	205	282	408	347	412	0	104	0
Nat10	177.083333	1130	0	0	0	0	0	0	0	0	0	0	0	1223	0	1131	0	122	165	162	91	226	0	0	0	0
Arl2	177.041667	0	0	0	0	0	0	0	0	143	0	0	0	220	0	145	119	179	683	680	689	967	256	0	168	0
Polr3f	176.916667	936	0	0	0	0	0	0	0	183	0	0	0	971	0	759	0	77	271	315	200	372	0	0	162	0
Dzank1	176.916667	936	0	0	0	0	0	0	0	183	0	0	0	971	0	759	0	77	271	315	200	372	0	0	162	0
Thap12	176.791667	0	0	0	0	0	0	0	0	0	0	0	0	129	0	158	139	177	927	782	820	893	218	0	0	0
Usp20	176.666667	1059	0	0	0	0	0	0	0	88	0	0	0	1009	0	733	0	0	320	246	285	271	0	0	229	0
BC005624	176.666667	1059	0	0	0	0	0	0	0	88	0	0	0	1009	0	733	0	0	320	246	285	271	0	0	229	0
Uba5	176.583333	0	0	0	0	0	0	0	0	144	0	0	0	158	0	152	423	278	582	803	555	734	275	0	134	0
Far1	176.583333	0	0	0	0	0	0	0	0	322	123	0	0	370	0	249	234	195	719	408	555	500	439	0	124	0
