Target_genes	Zbtb17|Average	SRX543056|70Z/3	SRX3113700|B_cells	SRX821473|Medulloblastoma	SRX821476|Medulloblastoma	SRX821479|Medulloblastoma	SRX3113698|MEF	SRX543048|P6D4	STRING
Tmem9b	103.714286	0	0	578	0	0	0	148	0
Pus7	103.714286	0	0	63	363	300	0	0	0
Wdr26	103.571429	0	272	218	235	0	0	0	0
Tnpo1	103.571429	0	0	0	425	300	0	0	0
Tle4	103.571429	0	194	531	0	0	0	0	0
Inpp5a	103.571429	0	329	265	0	131	0	0	0
Eif4e3	103.571429	0	0	725	0	0	0	0	0
Tmem218	103.428571	0	278	446	0	0	0	0	0
Tax1bp3	103.428571	0	519	205	0	0	0	0	0
Inpp4a	103.428571	0	424	138	0	162	0	0	0
Emc6	103.428571	0	519	205	0	0	0	0	0
Rpl15	103.285714	0	224	256	0	243	0	0	0
Relb	103.285714	0	723	0	0	0	0	0	0
Nkiras1	103.285714	0	224	256	0	243	0	0	0
Magi2	103.285714	0	0	163	178	382	0	0	0
Hs6st1	103.285714	0	343	380	0	0	0	0	0
Hdac11	103.142857	0	0	578	0	144	0	0	0
Egr4	103.142857	0	0	346	0	376	0	0	0
Shld1	103.000000	0	109	612	0	0	0	0	0
Cdt1	103.000000	0	553	168	0	0	0	0	0
Efcab6	102.857143	0	0	600	0	120	0	0	0
Kptn	102.714286	0	508	211	0	0	0	0	0
A130010J15Rik	102.714286	0	615	104	0	0	0	0	0
Usp16	102.571429	0	718	0	0	0	0	0	0
Psmg1	102.571429	0	459	259	0	0	0	0	0
Mrps28	102.571429	0	718	0	0	0	0	0	0
Fam227b	102.571429	0	454	264	0	0	0	0	0
Dtwd1	102.571429	0	454	264	0	0	0	0	0
Uchl3	102.428571	0	334	254	0	129	0	0	0
Rnf187	102.428571	0	263	454	0	0	0	0	0
Rad23b	102.428571	0	172	381	0	164	0	0	0
Lpcat4	102.428571	0	0	502	0	215	0	0	0
Runx1t1	102.285714	0	0	448	166	102	0	0	0
Plec	102.285714	0	159	122	142	195	98	0	0
Efna3	102.285714	0	0	200	350	166	0	0	0
Rims2	102.142857	0	0	270	167	278	0	0	0
Kif22	102.142857	0	0	715	0	0	0	0	0
Trhde	102.000000	0	0	465	0	249	0	0	0
Gucy1a2	102.000000	0	0	174	182	358	0	0	0
Zfp825	101.857143	0	0	295	155	263	0	0	0
Trim16	101.857143	0	0	293	279	141	0	0	0
Tatdn2	101.857143	0	452	261	0	0	0	0	0
Sema7a	101.857143	0	229	484	0	0	0	0	0
Prkci	101.857143	0	453	260	0	0	0	0	0
Emp3	101.857143	0	356	357	0	0	0	0	0
Ccnd3	101.857143	0	248	100	180	185	0	0	0
Ccdc114	101.857143	0	356	357	0	0	0	0	0
Med9	101.714286	0	712	0	0	0	0	0	0
Ifnlr1	101.714286	0	306	406	0	0	0	0	0
Cd163l1	101.714286	390	0	0	0	0	0	322	0
Abhd4	101.714286	0	233	270	0	209	0	0	0
Mrpl2	101.571429	0	534	177	0	0	0	0	0
Klc4	101.571429	0	534	177	0	0	0	0	0
Hnrnpc	101.571429	0	460	0	251	0	0	0	0
Gsk3b	101.571429	0	308	403	0	0	0	0	0
Fam53c	101.571429	0	148	253	146	164	0	0	0
Cul7	101.571429	0	534	177	0	0	0	0	0
Alox5ap	101.571429	0	412	111	0	188	0	0	0
Ak4	101.571429	0	0	711	0	0	0	0	0
Ush1g	101.428571	0	413	174	0	123	0	0	0
Otop2	101.428571	0	413	174	0	123	0	0	0
H1f5	101.428571	0	528	0	182	0	0	0	0
Bclaf1	101.428571	0	193	389	0	128	0	0	0
Txnl4b	101.285714	0	237	472	0	0	0	0	0
Rmnd1	101.285714	0	709	0	0	0	0	0	0
Lrrc1	101.285714	0	0	615	0	94	0	0	0
Dhx38	101.285714	0	237	472	0	0	0	0	0
Armt1	101.285714	0	709	0	0	0	0	0	0
Ube2h	101.000000	0	0	402	0	305	0	0	0
Mfng	101.000000	0	0	219	227	261	0	0	0
Crlf2	101.000000	0	580	127	0	0	0	0	0
Hsph1	100.857143	0	219	487	0	0	0	0	0
Gm33989	100.857143	0	465	241	0	0	0	0	0
Barhl1	100.857143	0	376	142	188	0	0	0	0
Ugp2	100.714286	0	295	143	267	0	0	0	0
Ubald1	100.714286	0	705	0	0	0	0	0	0
Srrt	100.714286	0	163	218	104	220	0	0	0
Ppfia3	100.714286	0	172	533	0	0	0	0	0
Lin7b	100.714286	0	172	533	0	0	0	0	0
Crip1	100.714286	0	280	212	213	0	0	0	0
Zfp553	100.571429	0	0	266	182	256	0	0	0
Ninj1	100.571429	0	0	704	0	0	0	0	0
Coro1a	100.571429	0	385	319	0	0	0	0	0
Cdcp3	100.571429	0	0	0	704	0	0	0	0
Ppp2r2b	100.428571	0	0	546	0	157	0	0	0
Ppic	100.428571	0	0	703	0	0	0	0	0
Cotl1	100.428571	0	484	219	0	0	0	0	0
Bcl11b	100.428571	0	0	703	0	0	0	0	0
Abtb1	100.428571	0	703	0	0	0	0	0	0
Gm3448	100.285714	0	170	120	153	259	0	0	0
Gm3417	100.285714	0	170	120	153	259	0	0	0
Axin2	100.285714	0	0	0	702	0	0	0	0
Rara	100.142857	0	158	543	0	0	0	0	0
Pja2	100.142857	0	701	0	0	0	0	0	0
Phyh	100.142857	0	450	251	0	0	0	0	0
Otud7b	100.142857	0	267	278	156	0	0	0	0
Map2k6	100.142857	0	331	370	0	0	0	0	0
Rassf7	100.000000	0	193	108	173	226	0	0	0
Nop16	100.000000	0	700	0	0	0	0	0	0
Lmntd2	100.000000	0	193	108	173	226	0	0	0
Kri1	100.000000	0	529	171	0	0	0	0	0
Higd2a	100.000000	0	700	0	0	0	0	0	0
Cdkn2d	100.000000	0	529	171	0	0	0	0	0
Taf6	99.857143	0	323	199	0	0	177	0	0
Spg20	99.857143	0	0	699	0	0	0	0	0
Hsd11b1	99.857143	0	0	363	181	155	0	0	0
Dlg4	99.857143	0	235	129	136	199	0	0	0
Cnpy4	99.857143	0	323	199	0	0	177	0	0
Slc8a3	99.714286	0	0	134	398	166	0	0	0
Mecom	99.714286	0	0	141	281	276	0	0	0
E2f1	99.714286	0	463	235	0	0	0	0	0
Dync1i1	99.714286	0	0	196	255	247	0	0	0
Dnal4	99.714286	0	224	474	0	0	0	0	0
Cd44	99.714286	0	0	0	289	409	0	0	0
Tsga10ip	99.571429	0	582	115	0	0	0	0	0
Poc1a	99.571429	0	391	121	0	0	185	0	0
2610001J05Rik	99.571429	0	133	402	0	162	0	0	0
Tnip2	99.428571	0	696	0	0	0	0	0	0
Tmem41b	99.428571	0	424	272	0	0	0	0	0
Ssbp2	99.428571	0	0	696	0	0	0	0	0
Oma1	99.428571	0	572	124	0	0	0	0	0
Esyt1	99.428571	0	529	167	0	0	0	0	0
Derl3	99.428571	0	696	0	0	0	0	0	0
Carmil1	99.428571	0	0	311	198	187	0	0	0
Tceanc	99.285714	0	695	0	0	0	0	0	0
Rab28	99.285714	0	428	267	0	0	0	0	0
Nfkbiz	99.285714	0	249	303	0	143	0	0	0
Mat2a	99.285714	0	0	152	191	352	0	0	0
Hspa12a	99.285714	0	180	400	0	115	0	0	0
Csde1	99.285714	0	200	293	0	202	0	0	0
2010315B03Rik	99.285714	0	141	0	197	357	0	0	0
Slc39a11	99.142857	0	531	163	0	0	0	0	0
Cog1	99.142857	0	531	163	0	0	0	0	0
Zfpl1	99.000000	0	404	289	0	0	0	0	0
Tmem262	99.000000	0	404	289	0	0	0	0	0
Lrrc27	99.000000	0	342	351	0	0	0	0	0
Fasn	99.000000	0	0	296	146	251	0	0	0
Ercc1	99.000000	0	279	138	119	157	0	0	0
Cdca5	99.000000	0	404	289	0	0	0	0	0
Zcchc14	98.857143	0	0	692	0	0	0	0	0
Tmem259	98.857143	0	692	0	0	0	0	0	0
Snx15	98.857143	0	568	124	0	0	0	0	0
Gbp2	98.857143	0	692	0	0	0	0	0	0
Cnn2	98.857143	0	692	0	0	0	0	0	0
Ccdc174	98.857143	0	0	397	174	121	0	0	0
Igfbp4	98.714286	0	0	129	217	345	0	0	0
S1pr1	98.571429	0	145	545	0	0	0	0	0
Kdm2b	98.571429	0	245	263	0	182	0	0	0
Alpk2	98.571429	0	384	306	0	0	0	0	0
Akt2	98.571429	0	324	366	0	0	0	0	0
Ino80c	98.428571	0	251	438	0	0	0	0	0
Hook2	98.428571	0	483	206	0	0	0	0	0
Cbfa2t3	98.428571	0	0	590	0	99	0	0	0
Wtip	98.285714	0	0	354	228	106	0	0	0
Szrd1	98.285714	0	479	209	0	0	0	0	0
Mif	98.285714	0	94	190	101	303	0	0	0
Aftph	98.285714	0	410	146	0	132	0	0	0
Wdfy3	98.142857	0	0	403	112	172	0	0	0
Vrk1	98.142857	0	687	0	0	0	0	0	0
Tet1	98.142857	0	0	687	0	0	0	0	0
Prpf4	98.142857	0	281	406	0	0	0	0	0
Lamb2	98.142857	0	0	472	120	95	0	0	0
Id1	98.142857	0	0	566	121	0	0	0	0
Crispld2	98.142857	0	0	415	0	272	0	0	0
Cdc26	98.142857	0	281	406	0	0	0	0	0
Vav1	98.000000	0	686	0	0	0	0	0	0
Prpsap2	98.000000	0	501	185	0	0	0	0	0
Hdac10	98.000000	0	187	281	0	218	0	0	0
Cdk2ap1	98.000000	0	0	686	0	0	0	0	0
Avpi1	98.000000	0	382	304	0	0	0	0	0
Aph1c	98.000000	0	558	128	0	0	0	0	0
Acsl6	98.000000	0	0	366	171	149	0	0	0
Raly	97.857143	0	463	222	0	0	0	0	0
Ifnar1	97.857143	0	685	0	0	0	0	0	0
Elk3	97.857143	0	492	0	0	193	0	0	0
Cdkn2aip	97.857143	0	0	527	0	158	0	0	0
Taf6l	97.714286	0	133	284	138	129	0	0	0
Rab3a	97.714286	0	0	684	0	0	0	0	0
Adam15	97.714286	0	0	326	156	202	0	0	0
Ttc32	97.571429	0	292	391	0	0	0	0	0
Tpbgl	97.571429	0	0	506	0	177	0	0	0
Mfsd14a	97.571429	0	683	0	0	0	0	0	0
Kbtbd3	97.571429	0	387	158	0	138	0	0	0
Aasdhppt	97.571429	0	387	158	0	138	0	0	0
Wif1	97.428571	0	0	564	0	118	0	0	0
Soga3	97.428571	0	0	224	185	273	0	0	0
H4f16	97.428571	0	404	278	0	0	0	0	0
H2aj	97.428571	0	404	278	0	0	0	0	0
Satb2	97.285714	0	190	235	256	0	0	0	0
2900026A02Rik	97.285714	0	0	681	0	0	0	0	0
Ubxn7	97.142857	0	367	313	0	0	0	0	0
Ssbp4	97.142857	0	327	0	0	353	0	0	0
Zfp9	97.000000	0	0	421	0	258	0	0	0
Trappc5	97.000000	0	148	415	116	0	0	0	0
Slc39a3	97.000000	0	0	308	144	227	0	0	0
Prkaca	97.000000	0	557	122	0	0	0	0	0
Mapk11	97.000000	0	679	0	0	0	0	0	0
Hrob	97.000000	0	390	178	0	0	111	0	0
Fcor	97.000000	0	148	415	116	0	0	0	0
Rac1	96.714286	0	0	677	0	0	0	0	0
Plcd3	96.714286	0	0	311	188	178	0	0	0
Mmp28	96.714286	0	0	677	0	0	0	0	0
Foxg1	96.714286	0	0	132	359	186	0	0	0
Cyth3	96.714286	0	285	392	0	0	0	0	0
B3galnt2	96.714286	0	511	166	0	0	0	0	0
Acbd4	96.714286	0	0	311	188	178	0	0	0
Srf	96.428571	0	0	268	147	260	0	0	0
Spaca4	96.428571	0	150	122	208	195	0	0	0
Picalm	96.428571	0	0	582	0	93	0	0	0
Hspb7	96.428571	0	675	0	0	0	0	0	0
Hspa2	96.428571	0	307	271	0	97	0	0	0
Clcnkb	96.428571	0	675	0	0	0	0	0	0
B4galt3	96.428571	0	449	226	0	0	0	0	0
Zmat4	96.285714	0	0	362	312	0	0	0	0
Pde3a	96.285714	0	0	0	353	321	0	0	0
Adcy7	96.285714	0	335	195	144	0	0	0	0
Qser1	96.142857	0	0	441	0	0	232	0	0
Nedd9	96.142857	0	414	259	0	0	0	0	0
Marchf6	96.142857	0	205	468	0	0	0	0	0
Gm1604b	96.142857	0	0	272	135	266	0	0	0
Fzd7	96.142857	0	554	119	0	0	0	0	0
2010003K11Rik	96.000000	0	0	528	144	0	0	0	0
Stx5a	95.857143	0	253	219	199	0	0	0	0
Skap2	95.857143	0	294	147	0	230	0	0	0
Nucb2	95.857143	0	671	0	0	0	0	0	0
1700092M07Rik	95.857143	0	253	219	199	0	0	0	0
Insm1	95.714286	0	154	141	171	204	0	0	0
Tbx2	95.571429	0	167	0	502	0	0	0	0
Fbxl20	95.571429	0	330	339	0	0	0	0	0
Med12	95.428571	0	390	278	0	0	0	0	0
Dnajc27	95.428571	0	387	181	0	100	0	0	0
Armc7	95.428571	0	100	312	0	256	0	0	0
Pou4f2	95.285714	0	0	551	0	116	0	0	0
Abcd2	95.285714	0	0	371	0	142	154	0	0
Zap70	95.142857	0	332	0	334	0	0	0	0
Susd2	95.142857	0	0	430	0	236	0	0	0
Slc15a4	95.142857	0	666	0	0	0	0	0	0
Rcan3	95.142857	0	666	0	0	0	0	0	0
Park7	95.142857	0	382	120	0	164	0	0	0
Sema6d	95.000000	0	224	198	0	243	0	0	0
Myo1c	95.000000	0	194	283	0	188	0	0	0
Eci2	95.000000	0	315	350	0	0	0	0	0
Asb1	95.000000	0	665	0	0	0	0	0	0
Arhgef2	95.000000	0	161	504	0	0	0	0	0
Zfp516	94.857143	0	154	290	97	123	0	0	0
Wdr75	94.857143	0	328	0	336	0	0	0	0
Trpm3	94.857143	0	0	575	0	89	0	0	0
Slc25a14	94.857143	0	664	0	0	0	0	0	0
Mob3a	94.857143	0	351	313	0	0	0	0	0
Izumo4	94.857143	0	351	313	0	0	0	0	0
Ercc6l	94.857143	0	504	160	0	0	0	0	0
Btg1	94.857143	0	396	136	132	0	0	0	0
Atad5	94.857143	0	415	249	0	0	0	0	0
Ahnak2	94.857143	0	0	277	214	173	0	0	0
Vmn2r102	94.714286	0	125	241	0	102	195	0	0
Tmem54	94.714286	0	0	663	0	0	0	0	0
Rnps1	94.714286	0	663	0	0	0	0	0	0
Fam189b	94.714286	0	0	528	0	135	0	0	0
Zfp788	94.571429	0	0	662	0	0	0	0	0
Selenow	94.571429	0	126	155	110	271	0	0	0
Msantd4	94.571429	0	172	228	104	158	0	0	0
Cavin3	94.571429	0	0	282	147	233	0	0	0
Tst	94.428571	0	125	0	289	247	0	0	0
Mpst	94.428571	0	125	0	289	247	0	0	0
Mphosph10	94.428571	0	185	476	0	0	0	0	0
Mcee	94.428571	0	185	476	0	0	0	0	0
Fbxo5	94.428571	0	515	146	0	0	0	0	0
Chrm5	94.285714	0	0	440	0	220	0	0	0
Top1mt	94.142857	0	556	103	0	0	0	0	0
Senp1	94.142857	0	156	418	0	85	0	0	0
Rpl29	94.142857	0	129	204	103	223	0	0	0
Lrp11	94.142857	0	186	473	0	0	0	0	0
Dedd	94.142857	0	189	470	0	0	0	0	0
Taf2	94.000000	0	658	0	0	0	0	0	0
Kcnk3	94.000000	0	0	161	0	497	0	0	0
Zcchc17	93.857143	0	364	293	0	0	0	0	0
U2af2	93.857143	0	232	218	0	207	0	0	0
Stk40	93.714286	0	656	0	0	0	0	0	0
Abca7	93.714286	0	0	497	0	159	0	0	0
Uap1	93.571429	0	514	141	0	0	0	0	0
Sema4c	93.571429	0	0	409	0	246	0	0	0
Rapgef6	93.571429	0	537	118	0	0	0	0	0
Pgam1	93.571429	0	455	200	0	0	0	0	0
Fstl1	93.571429	0	0	0	655	0	0	0	0
Fam98a	93.571429	0	123	532	0	0	0	0	0
Usp11	93.428571	0	177	328	0	149	0	0	0
Samd14	93.428571	0	0	140	344	170	0	0	0
Inpp4b	93.428571	0	260	191	0	203	0	0	0
Kazn	93.285714	0	0	154	0	0	499	0	0
Dusp10	93.285714	0	358	159	0	136	0	0	0
1700056E22Rik	93.285714	0	358	159	0	136	0	0	0
Trmt9b	93.142857	0	0	652	0	0	0	0	0
Stt3b	93.142857	0	209	205	0	238	0	0	0
Nedd4	93.142857	0	298	252	0	102	0	0	0
Pnkp	93.000000	0	0	330	125	196	0	0	0
Map3k14	93.000000	0	240	411	0	0	0	0	0
Cacna1e	93.000000	0	0	337	0	314	0	0	0
Prdm9	92.857143	0	264	386	0	0	0	0	0
H2az2	92.857143	0	650	0	0	0	0	0	0
Zbtb11	92.714286	0	225	189	130	105	0	0	0
Tmem123	92.714286	0	266	383	0	0	0	0	0
Mthfsl	92.714286	0	649	0	0	0	0	0	0
Trap1	92.571429	0	648	0	0	0	0	0	0
Tcte3	92.571429	0	125	112	153	258	0	0	0
Ppat	92.571429	0	0	648	0	0	0	0	0
Paics	92.571429	0	0	648	0	0	0	0	0
Dnmbp	92.571429	0	0	648	0	0	0	0	0
Rnf182	92.428571	0	0	474	0	173	0	0	0
Rere	92.428571	0	0	383	108	156	0	0	0
Hrk	92.428571	0	0	156	342	149	0	0	0
Zyg11a	92.285714	0	0	646	0	0	0	0	0
Sox8	92.285714	0	234	0	259	153	0	0	0
Nrarp	92.285714	0	189	384	0	73	0	0	0
Poglut2	92.142857	0	0	120	252	273	0	0	0
Phf1	92.142857	0	370	150	125	0	0	0	0
Nol4l	92.142857	0	0	0	204	441	0	0	0
Mycbpap	92.142857	0	0	311	334	0	0	0	0
Eif2ak3	92.142857	0	645	0	0	0	0	0	0
Bivm	92.142857	0	0	120	252	273	0	0	0
Afg1l	92.142857	0	511	134	0	0	0	0	0
Ppp6r2	92.000000	0	216	428	0	0	0	0	0
Jun	92.000000	0	297	347	0	0	0	0	0
Ermard	92.000000	0	121	112	153	258	0	0	0
Wnt5b	91.857143	0	0	225	193	225	0	0	0
Tfb1m	91.857143	0	643	0	0	0	0	0	0
Gm7592	91.857143	0	643	0	0	0	0	0	0
Fmc1	91.857143	0	187	169	0	287	0	0	0
Tcof1	91.714286	0	231	137	0	274	0	0	0
Cd52	91.714286	0	642	0	0	0	0	0	0
Ank	91.714286	0	195	130	120	197	0	0	0
Zfp207	91.571429	0	446	195	0	0	0	0	0
Unc13a	91.571429	0	249	233	0	159	0	0	0
Tpst2	91.571429	0	317	324	0	0	0	0	0
Myl9	91.571429	0	0	412	0	229	0	0	0
Kif5a	91.571429	0	0	0	223	418	0	0	0
Zxdb	91.428571	0	0	426	0	214	0	0	0
Zfp574	91.428571	0	482	0	0	158	0	0	0
Tex261	91.428571	0	194	228	218	0	0	0	0
Srgap3	91.428571	0	0	252	0	388	0	0	0
Masp1	91.428571	0	0	0	255	385	0	0	0
Grik5	91.428571	0	482	0	0	158	0	0	0
Ints3	91.285714	0	504	135	0	0	0	0	0
Ggnbp1	91.285714	0	0	459	0	180	0	0	0
Btbd11	91.285714	0	0	505	0	134	0	0	0
Bak1	91.285714	0	0	459	0	180	0	0	0
Pbx3	91.142857	0	0	522	116	0	0	0	0
Kcnj4	91.142857	0	0	638	0	0	0	0	0
Hmga1b	91.142857	0	261	377	0	0	0	0	0
Hmga1	91.142857	0	261	377	0	0	0	0	0
Cse1l	91.142857	0	638	0	0	0	0	0	0
Bcdin3d	91.142857	0	255	0	261	122	0	0	0
Adamts9	91.142857	0	0	286	139	213	0	0	0
Tbce	91.000000	0	352	285	0	0	0	0	0
Plcb2	91.000000	0	0	637	0	0	0	0	0
Lzts2	91.000000	0	212	248	177	0	0	0	0
Gp1bb	91.000000	0	0	637	0	0	0	0	0
Gatad2a	91.000000	0	494	143	0	0	0	0	0
Zbtb2	90.857143	0	293	111	232	0	0	0	0
Maged1	90.857143	0	0	235	142	259	0	0	0
Mafk	90.857143	0	636	0	0	0	0	0	0
Maff	90.857143	0	636	0	0	0	0	0	0
Derl1	90.857143	0	0	244	154	238	0	0	0
Dennd6b	90.857143	0	179	223	116	118	0	0	0
Comt	90.857143	0	321	160	0	155	0	0	0
C9orf72	90.857143	0	509	127	0	0	0	0	0
9030025P20Rik	90.857143	0	170	120	87	259	0	0	0
Snx11	90.714286	0	532	103	0	0	0	0	0
Pfas	90.714286	0	304	167	164	0	0	0	0
Olfr1344	90.714286	0	0	355	0	280	0	0	0
Mia	90.714286	0	511	124	0	0	0	0	0
C2cd2l	90.714286	0	261	374	0	0	0	0	0
Tmem145	90.571429	0	0	286	181	167	0	0	0
Tgfb2	90.571429	0	0	0	389	245	0	0	0
Nrxn1	90.571429	0	0	362	0	272	0	0	0
Tecr	90.428571	0	407	226	0	0	0	0	0
Rnf11	90.428571	0	0	497	0	136	0	0	0
Plag1	90.428571	0	214	301	118	0	0	0	0
Elof1	90.428571	0	497	136	0	0	0	0	0
Crebl2	90.428571	0	370	103	0	160	0	0	0
Zeb2	90.285714	0	309	118	0	205	0	0	0
Fkbp1a	90.285714	0	0	325	175	132	0	0	0
Fads2	90.285714	0	0	421	119	92	0	0	0
Rps2	90.142857	0	631	0	0	0	0	0	0
Rnf151	90.142857	0	631	0	0	0	0	0	0
Nectin3	90.142857	0	0	159	263	209	0	0	0
Ndufb10	90.142857	0	631	0	0	0	0	0	0
Chit1	90.142857	0	457	0	174	0	0	0	0
Rpp38	90.000000	0	0	441	189	0	0	0	0
Atg4c	90.000000	0	486	144	0	0	0	0	0
Acbd7	90.000000	0	0	441	189	0	0	0	0
Tusc2	89.857143	0	0	230	0	399	0	0	0
Sftpc	89.857143	0	0	449	0	180	0	0	0
Rfc5	89.857143	0	168	461	0	0	0	0	0
Lgi3	89.857143	0	0	449	0	180	0	0	0
Kpna4	89.714286	0	217	180	0	231	0	0	0
Gpr179	89.714286	0	0	143	354	131	0	0	0
Abtb2	89.714286	0	0	495	0	133	0	0	0
Aak1	89.714286	0	0	292	152	184	0	0	0
Tmem131l	89.571429	0	627	0	0	0	0	0	0
Ovca2	89.571429	0	627	0	0	0	0	0	0
Numbl	89.571429	0	180	447	0	0	0	0	0
Kdm4a	89.571429	0	220	170	0	237	0	0	0
Hic1	89.571429	0	627	0	0	0	0	0	0
Cdc42se2	89.571429	0	359	268	0	0	0	0	0
Bcl2a1a	89.571429	0	627	0	0	0	0	0	0
Tjp1	89.428571	0	0	626	0	0	0	0	0
Nfe2l2	89.428571	0	466	160	0	0	0	0	0
Lmx1b	89.428571	0	0	512	0	114	0	0	0
Aspdh	89.428571	0	0	626	0	0	0	0	0
Tnrc18	89.285714	0	195	250	180	0	0	0	0
Prodh2	89.285714	0	327	298	0	0	0	0	0
Mtss2	89.285714	0	0	277	348	0	0	0	0
Med17	89.285714	0	625	0	0	0	0	0	0
Ghrh	89.285714	0	0	170	169	286	0	0	0
Fkbp4	89.285714	0	141	194	99	191	0	0	0
Bmp2k	89.285714	0	625	0	0	0	0	0	0
Trim12c	89.000000	0	623	0	0	0	0	0	0
Smim14	89.000000	0	432	191	0	0	0	0	0
Izumo1r	89.000000	0	0	623	0	0	0	0	0
Entpd6	89.000000	0	0	508	115	0	0	0	0
Unc93b1	88.857143	0	232	153	237	0	0	0	0
Tmem164	88.857143	0	0	0	350	272	0	0	0
Fam90a1b	88.857143	0	274	144	204	0	0	0	0
Dgat1	88.857143	0	505	117	0	0	0	0	0
Ddx11	88.857143	0	622	0	0	0	0	0	0
Apoo	88.857143	0	274	144	204	0	0	0	0
Mospd3	88.714286	0	621	0	0	0	0	0	0
Birc2	88.714286	0	0	250	161	210	0	0	0
U2af1	88.571429	0	620	0	0	0	0	0	0
Tmem30a	88.571429	0	279	117	0	224	0	0	0
Mdn1	88.571429	0	313	214	0	93	0	0	0
Itpkb	88.571429	0	92	228	160	140	0	0	0
Eef1a1	88.571429	0	0	398	0	222	0	0	0
Celf4	88.571429	0	0	241	219	160	0	0	0
B3gntl1	88.571429	0	620	0	0	0	0	0	0
Abi2	88.571429	0	0	316	0	304	0	0	0
Robo4	88.428571	0	150	469	0	0	0	0	0
Lmbrd1	88.428571	0	472	147	0	0	0	0	0
Klf2	88.428571	0	198	268	153	0	0	0	0
Brinp1	88.428571	0	0	288	0	331	0	0	0
Zfhx3	88.285714	0	0	310	308	0	0	0	0
Prrc2a	88.285714	0	182	436	0	0	0	0	0
Nsg2	88.285714	0	0	165	338	115	0	0	0
Foxc1	88.285714	0	170	0	212	0	236	0	0
Fmo1	88.285714	0	0	297	0	321	0	0	0
Aars2	88.285714	0	423	195	0	0	0	0	0
Kctd20	88.142857	0	452	165	0	0	0	0	0
Grb2	88.142857	0	322	96	0	199	0	0	0
Ccdc69	88.142857	0	129	488	0	0	0	0	0
Rbm15	88.000000	0	222	394	0	0	0	0	0
Leprot	88.000000	0	482	134	0	0	0	0	0
Bhlhe40	88.000000	0	512	0	0	104	0	0	0
Adgrl3	88.000000	0	0	265	121	230	0	0	0
Tpt1	87.857143	0	401	214	0	0	0	0	0
Tmem222	87.857143	0	374	241	0	0	0	0	0
Tcn2	87.857143	0	0	615	0	0	0	0	0
Ebf1	87.857143	0	615	0	0	0	0	0	0
Wnk4	87.714286	0	0	168	179	267	0	0	0
Ace3	87.714286	0	0	0	614	0	0	0	0
Zfp507	87.571429	0	613	0	0	0	0	0	0
Ung	87.571429	0	489	124	0	0	0	0	0
Ubn2	87.571429	0	0	474	0	139	0	0	0
Slc10a5	87.571429	0	364	101	0	148	0	0	0
Sfxn5	87.571429	0	309	143	0	161	0	0	0
Prdx6	87.571429	0	0	613	0	0	0	0	0
Impa1	87.571429	0	364	101	0	148	0	0	0
Alkbh2	87.571429	0	489	124	0	0	0	0	0
Tmem205	87.428571	0	0	612	0	0	0	0	0
Rpe	87.428571	0	502	110	0	0	0	0	0
Ccdc159	87.428571	0	0	612	0	0	0	0	0
Ptger3	87.285714	0	0	148	463	0	0	0	0
Nav2	87.285714	0	0	421	0	190	0	0	0
Mmachc	87.285714	0	416	195	0	0	0	0	0
Matr3	87.285714	0	483	128	0	0	0	0	0
Cpt1a	87.285714	0	162	283	0	0	0	166	0
Ccdc163	87.285714	0	416	195	0	0	0	0	0
Zfp597	87.142857	0	379	110	0	121	0	0	0
Stk11ip	87.142857	0	610	0	0	0	0	0	0
Ndufs8	87.142857	0	448	162	0	0	0	0	0
Megf8	87.142857	0	106	280	94	130	0	0	0
Kifc2	87.142857	0	462	148	0	0	0	0	0
Elf3	87.142857	0	481	129	0	0	0	0	0
Cyhr1	87.142857	0	462	148	0	0	0	0	0
2700081O15Rik	87.142857	0	0	517	0	93	0	0	0
Tmed2	87.000000	0	0	481	0	128	0	0	0
Ppm1l	87.000000	0	0	454	0	155	0	0	0
Gsn	87.000000	0	157	195	257	0	0	0	0
Ddit4	87.000000	0	195	324	0	90	0	0	0
Amd2	86.857143	0	285	323	0	0	0	0	0
Amd1	86.857143	0	285	323	0	0	0	0	0
Tfrc	86.571429	0	381	225	0	0	0	0	0
Osbpl9	86.571429	0	606	0	0	0	0	0	0
Epg5	86.571429	0	358	248	0	0	0	0	0
Cmpk2	86.571429	0	471	135	0	0	0	0	0
Cdk19	86.571429	0	491	115	0	0	0	0	0
Topors	86.428571	0	217	276	0	112	0	0	0
Syt5	86.428571	0	0	605	0	0	0	0	0
Smim27	86.428571	0	217	276	0	112	0	0	0
Pif1	86.428571	0	605	0	0	0	0	0	0
Pcif1	86.428571	0	294	187	0	124	0	0	0
Nyx	86.428571	0	605	0	0	0	0	0	0
Nsd3	86.428571	0	278	205	0	122	0	0	0
Letm2	86.428571	0	278	205	0	122	0	0	0
Cyfip2	86.428571	0	489	0	0	116	0	0	0
Trem3	86.285714	0	604	0	0	0	0	0	0
Odc1	86.285714	0	0	604	0	0	0	0	0
Cnot2	86.285714	0	341	263	0	0	0	0	0
Sntb2	86.142857	0	0	603	0	0	0	0	0
Serf2	86.142857	0	281	0	165	157	0	0	0
Ralbp1	86.142857	0	511	92	0	0	0	0	0
Ndufs5	86.142857	0	216	0	242	145	0	0	0
Gnas	86.142857	0	0	253	153	197	0	0	0
Tef	86.000000	0	217	249	0	136	0	0	0
Serinc5	86.000000	0	253	349	0	0	0	0	0
