Target_genes	Foxo1|Average	SRX17501247|Cardiomyocytes	SRX17501248|Cardiomyocytes	SRX17501249|Cardiomyocytes	SRX17501250|Cardiomyocytes	SRX272969|CD4+_T_cells	SRX682273|CD4+_T_cells	SRX682274|CD4+_T_cells	SRX682276|CD4+_T_cells	SRX278097|CD8+_T_cells	SRX9719157|CD8+_T_cells	SRX9719159|CD8+_T_cells	SRX23264960|ES_cells	SRX23264961|ES_cells	SRX23264962|ES_cells	SRX23264963|ES_cells	SRX23264964|ES_cells	SRX23264965|ES_cells	SRX23264966|ES_cells	SRX23264967|ES_cells	SRX1117087|HAFTL	SRX7586623|Heart	SRX7586624|Heart	SRX7586625|Heart	SRX9951857|Liver	SRX9951858|Liver	SRX9951859|Liver	SRX9951860|Liver	SRX9951861|Liver	SRX9951862|Liver	SRX9951863|Liver	SRX9951864|Liver	SRX9951865|Liver	SRX9951866|Liver	SRX9951867|Liver	SRX9951868|Liver	SRX9951869|Liver	SRX9951870|Liver	SRX9951871|Liver	SRX9951872|Liver	SRX9951873|Liver	SRX9951874|Liver	SRX183787|nTreg	SRX183788|nTreg	SRX021879|Pro-B_cells	SRX2136458|Pro-B_cells	SRX1219538|Uterus	STRING
Dtwd1	52.869565	161	191	113	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	130	116	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711	98	0
Hexim1	52.847826	321	647	425	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	230	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0
Tsga10ip	52.804348	405	390	449	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	196	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0
Fbxo48	52.782609	382	502	274	336	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	359	262	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1qtnf9	52.739130	520	451	513	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ablim1	52.630435	255	596	573	319	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	208	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm3a	52.586957	382	425	372	266	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	202	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp1	52.500000	360	432	288	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	291	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0
Vkorc1l1	52.456522	407	252	188	136	84	216	0	0	142	237	150	0	0	0	0	0	0	0	0	0	118	127	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0
Zfp446	52.413043	448	416	329	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	324	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Ints3	52.413043	244	220	106	108	0	530	0	0	331	0	0	0	0	0	0	0	0	0	0	0	197	154	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0
Pink1	52.369565	444	210	100	82	0	446	81	0	0	288	121	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0
Foxp1	52.369565	522	204	367	99	308	192	0	0	0	290	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0
Srd5a1	52.239130	273	363	263	164	0	227	0	0	144	155	122	0	0	0	0	0	0	0	0	0	170	207	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	87	0
Nsun2	52.239130	273	363	263	164	0	227	0	0	144	155	122	0	0	0	0	0	0	0	0	0	170	207	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	87	0
2210016L21Rik	52.195652	181	644	385	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	354	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc34	52.152174	550	398	272	188	0	183	0	0	242	0	0	0	0	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0
Sh3gl1	52.086957	274	488	245	254	0	0	94	0	129	170	160	0	0	0	0	0	0	0	0	0	109	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0
Chaf1a	52.086957	274	488	245	254	0	0	94	0	129	170	160	0	0	0	0	0	0	0	0	0	109	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0
Bag6	52.043478	194	300	162	181	0	338	0	0	308	0	0	0	0	0	0	0	0	0	0	0	140	270	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	0
Apom	52.043478	194	300	162	181	0	338	0	0	308	0	0	0	0	0	0	0	0	0	0	0	140	270	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	0
Bcl2l11	52.021739	453	412	298	183	0	0	0	0	0	345	245	0	0	0	0	0	0	0	0	0	148	149	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	527
Susd6	52.000000	371	243	162	0	0	598	0	0	293	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	0	0	0	100	0
Pbld1	52.000000	498	504	625	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
C87436	52.000000	358	483	258	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	253	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0
Esco2	51.956522	313	632	436	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	389	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc25	51.956522	313	632	436	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	389	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rad51	51.804348	218	530	303	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	350	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0
Rab8a	51.782609	352	372	294	184	0	270	0	0	0	215	0	0	0	0	0	0	0	0	0	0	226	176	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0
Ccp110	51.739130	222	633	386	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	402	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Picalm	51.717391	380	415	292	163	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	186	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0
Ubl3	51.630435	486	457	504	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	190	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc22	51.586957	270	526	276	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	424	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacna1f	51.586957	270	526	276	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	424	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akap10	51.565217	540	299	176	0	0	455	0	0	127	211	134	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0
Chfr	51.521739	311	312	236	145	0	302	0	0	153	222	97	0	0	0	0	0	0	0	0	0	158	226	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd17a	51.521739	242	233	202	0	154	503	0	0	158	437	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0
Zfp433	51.478261	328	208	273	151	0	149	0	0	130	78	90	0	0	0	0	0	0	0	0	0	333	272	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0
Gm32687	51.478261	328	208	273	151	0	149	0	0	130	78	90	0	0	0	0	0	0	0	0	0	333	272	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0
Sass6	51.391304	213	327	231	187	116	192	121	0	181	218	0	0	0	0	0	0	0	0	0	0	117	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	109	0
Cytip	51.347826	0	0	0	0	273	315	93	0	337	863	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0
Prkdc	51.326087	287	265	214	162	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	431	144	209	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	79	0
Enkd1	51.195652	286	512	356	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	393	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atf2	51.195652	288	188	164	0	0	300	0	0	182	194	259	0	0	0	0	0	0	0	0	0	111	180	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0
4933405L10Rik	51.195652	286	512	356	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	393	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermard	50.891304	561	422	271	221	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	333	125	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0
Klf2	50.826087	522	325	225	156	0	119	0	0	0	160	0	0	0	0	0	0	0	342	0	0	164	152	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197
Wdcp	50.760870	141	618	390	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	360	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpkow	50.760870	124	554	383	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	385	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifna13	50.739130	95	0	99	0	0	228	291	0	255	0	0	0	0	0	0	0	0	0	0	158	146	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	268	279	158	0	0
Mxd4	50.695652	290	355	371	258	0	103	0	0	0	141	0	0	0	0	0	0	0	0	0	0	205	246	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0
9030025P20Rik	50.695652	662	472	310	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	125	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tln1	50.630435	301	538	296	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	330	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Creb3	50.630435	301	538	296	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	330	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox7c	50.608696	274	644	394	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	310	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0
Fdxacb1	50.586957	373	387	325	190	0	100	0	0	0	242	0	0	0	0	0	0	0	0	0	0	256	138	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0
1110032A03Rik	50.586957	373	387	325	190	0	100	0	0	0	242	0	0	0	0	0	0	0	0	0	0	256	138	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0
Upf3b	50.500000	254	607	182	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	346	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tasor	50.500000	200	205	107	92	155	173	0	0	0	225	223	0	0	0	0	0	0	0	0	0	193	202	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	130	0
Ubr4	50.413043	203	161	73	150	0	479	0	0	389	0	0	0	0	0	0	0	0	0	0	0	194	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564	0	0	0	0	0
Haus1	50.413043	538	434	248	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	331	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnh1	50.369565	271	258	202	71	0	380	0	0	202	219	0	0	0	0	0	0	0	0	0	0	0	151	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	150	0
Wrn	50.347826	499	485	354	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	249	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Purg	50.347826	499	485	354	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	249	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sprtn	50.086957	223	108	0	0	0	675	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731	0	0	0	0	0
Exoc8	50.086957	223	108	0	0	0	675	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731	0	0	0	0	0
Elp6	50.021739	347	416	212	88	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	312	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0
Lta4h	50.000000	417	658	205	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	377	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lin52	49.956522	151	455	375	291	0	243	0	0	0	123	205	0	0	0	0	0	0	0	0	0	142	196	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldh6a1	49.956522	151	455	375	291	0	243	0	0	0	123	205	0	0	0	0	0	0	0	0	0	142	196	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfpt	49.913043	326	507	241	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	253	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0
Prpf31	49.913043	326	507	241	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	253	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0
Tmod3	49.760870	295	508	315	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	297	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0
Ppp1r15a	49.695652	134	242	163	125	153	89	0	0	100	246	194	0	0	0	0	0	0	0	0	0	143	188	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	175	0
Plekha4	49.695652	134	242	163	125	153	89	0	0	100	246	194	0	0	0	0	0	0	0	0	0	143	188	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	175	0
Unkl	49.630435	202	422	231	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	441	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
Rab1a	49.630435	408	403	305	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	208	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Percc1	49.630435	202	422	231	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	441	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
BC003965	49.630435	202	422	231	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	441	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
Stat1	49.543478	70	257	155	109	202	353	130	0	122	350	183	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0
Shank3	49.478261	340	551	676	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tjp3	49.434783	507	345	198	134	0	204	0	0	0	327	229	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Mocs1	49.434783	264	497	364	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	274	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps13b	49.369565	143	218	0	0	0	484	153	0	253	326	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0	0	0	117	0
Tbc1d8b	49.369565	366	526	296	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	304	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bod1	49.304348	207	605	274	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	289	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0
Vps41	49.260870	289	425	280	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	344	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0
Zfp457	49.217391	169	548	293	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	397	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
Rplp0	49.173913	219	402	236	216	0	212	0	0	0	173	157	0	0	0	0	0	0	0	0	0	194	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	89	0
Atg2a	49.152174	235	237	190	123	276	201	0	0	196	205	232	0	0	0	0	0	0	0	0	0	94	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0
Rpl23a	49.130435	176	465	270	295	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	148	223	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	174	0	0	0
Rab34	49.130435	176	465	270	295	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	148	223	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	174	0	0	0
Ppp1r37	49.130435	234	216	170	196	138	183	0	0	140	218	182	0	0	0	0	0	0	0	0	0	186	153	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0
Smg9	49.021739	289	406	231	238	0	350	0	0	108	0	0	0	0	0	0	0	0	0	0	0	177	162	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0
Rab1b	49.021739	416	518	307	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	286	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inpp5b	49.000000	386	370	405	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	371	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0
Tarbp2	48.934783	402	412	270	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	298	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0
Map3k12	48.934783	402	412	270	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	298	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0
Tmub1	48.913043	195	380	220	202	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	307	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	129	0
Agap3	48.913043	195	380	220	202	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	307	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	129	0
Ttc32	48.847826	299	296	242	201	0	163	0	0	0	115	129	0	0	0	0	0	0	0	0	0	157	155	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	144	0
Imp3	48.847826	213	524	218	282	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	248	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	202	0
9530077C05Rik	48.826087	297	435	287	134	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	258	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0
Zscan2	48.782609	232	511	291	165	177	148	0	0	106	0	0	0	0	0	0	0	0	0	0	0	226	291	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbx3	48.782609	460	580	369	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	122	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nsd3	48.782609	143	286	203	96	0	249	0	0	171	300	208	0	0	0	0	0	0	0	0	0	132	113	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Letm2	48.782609	143	286	203	96	0	249	0	0	171	300	208	0	0	0	0	0	0	0	0	0	132	113	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0
Trpm1	48.717391	435	667	516	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abl1	48.630435	287	457	236	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	494	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kri1	48.478261	215	360	175	108	157	183	0	0	0	233	157	0	0	0	0	0	0	0	0	0	252	128	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0
Cdkn2d	48.478261	215	360	175	108	157	183	0	0	0	233	157	0	0	0	0	0	0	0	0	0	252	128	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0
Zeb1	48.456522	0	0	0	0	802	264	0	0	318	598	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sptan1	48.413043	641	410	296	261	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	168	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pibf1	48.391304	183	322	241	166	0	301	0	0	83	0	133	0	0	0	0	0	0	0	0	0	292	138	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0
Dis3	48.391304	183	322	241	166	0	301	0	0	83	0	133	0	0	0	0	0	0	0	0	0	292	138	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0
Zfp94	48.369565	172	490	238	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	276	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0
Hps5	48.369565	309	250	282	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	240	156	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	82	0
Gtf2h1	48.369565	309	250	282	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	240	156	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	82	0
Trub1	48.347826	290	504	253	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	320	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0
Zfp513	48.304348	479	374	286	179	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	207	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	104	0
Ttc9c	48.304348	251	244	134	146	161	355	0	0	0	0	226	0	0	0	0	0	0	0	0	0	104	112	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	102	0
Ramac	48.304348	342	251	123	140	161	247	0	0	0	270	137	0	0	0	0	0	0	0	0	0	139	88	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0
Hnrnpul2	48.304348	251	244	134	146	161	355	0	0	0	0	226	0	0	0	0	0	0	0	0	0	104	112	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	102	0
Gtf2a1	48.304348	298	190	104	114	241	358	0	0	0	376	0	0	0	0	0	0	0	0	0	0	119	107	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
Harbi1	48.239130	154	274	186	127	102	511	0	0	178	0	138	0	0	0	0	0	0	0	0	0	138	126	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0
Atg13	48.239130	154	274	186	127	102	511	0	0	178	0	138	0	0	0	0	0	0	0	0	0	138	126	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0
Tle4	48.152174	418	510	374	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	320	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
