Target_genes	Maff|Average	SRX122436|Dendritic_Cells	SRX122437|Dendritic_Cells	SRX122438|Dendritic_Cells	SRX122439|Dendritic_Cells	SRX3730247|Trophoblast_stem_cells	SRX3730248|Trophoblast_stem_cells	SRX3730279|Trophoblast_stem_cells	STRING
Srebf2	70.285714	0	0	0	0	0	0	492	0
Sptlc2	70.285714	0	0	0	0	195	0	297	0
Tkfc	70.142857	0	0	0	0	201	0	290	0
Mnt	70.142857	0	0	0	0	192	0	299	0
Aatf	70.142857	0	0	0	0	97	0	394	0
Zbtb4	70.000000	0	0	0	0	333	0	157	0
Pten	70.000000	0	0	0	0	96	0	394	0
Pla2g4a	70.000000	0	0	0	0	246	0	244	0
Lars2	70.000000	0	0	0	0	153	0	337	0
Itgam	70.000000	133	0	167	190	0	0	0	0
Uso1	69.857143	0	0	0	0	0	0	489	0
Hopx	69.857143	0	0	0	0	0	0	489	0
Gsta4	69.857143	0	0	0	0	365	0	124	0
G3bp2	69.857143	0	0	0	0	0	0	489	0
Evi5l	69.714286	0	0	0	0	269	0	219	0
Efcab14	69.714286	0	0	0	0	279	0	209	0
Zfp407	69.428571	0	0	0	0	243	0	243	0
Hsd3b6	69.428571	0	0	0	0	0	0	486	0
Fut8	69.428571	0	0	0	0	97	168	221	0
Trim12a	69.285714	0	0	0	0	155	0	330	0
Gm5165	69.285714	0	0	0	0	250	0	235	0
Cxcr2	69.285714	0	0	0	0	141	0	344	0
Sfn	69.142857	0	0	0	0	166	0	318	0
Ddx41	69.142857	0	0	0	0	0	0	484	0
Ddit4	69.142857	0	0	0	0	0	0	484	0
Eif5	69.000000	0	0	0	0	178	134	171	0
Cd47	69.000000	0	0	0	0	0	205	278	0
Rlim	68.857143	0	0	0	0	202	0	280	0
Prtg	68.857143	0	0	0	0	0	0	482	0
Khdrbs1	68.857143	149	125	0	0	0	0	208	0
Gdap1l1	68.857143	0	0	0	0	0	0	482	0
Zfp968	68.714286	0	0	0	0	0	140	341	0
Zfp967	68.714286	0	0	0	0	0	140	341	0
Zfp966	68.714286	0	0	0	0	0	140	341	0
Zfp948	68.714286	0	0	0	0	147	0	334	0
Tpra1	68.714286	0	0	0	0	107	0	374	0
Slc22a17	68.714286	0	0	0	0	157	0	324	0
Lrrc25	68.714286	0	0	0	0	188	0	293	0
Clic5	68.714286	0	0	0	0	247	0	234	0
Xpnpep1	68.571429	0	0	0	0	159	0	321	0
Smco2	68.571429	0	0	0	0	290	0	190	0
Fam161a	68.571429	0	0	0	0	235	0	245	0
Cldn7	68.571429	0	0	0	0	142	0	338	0
Atp8b2	68.571429	0	0	0	0	246	0	234	0
Utp4	68.428571	0	0	0	0	187	0	292	0
Tmem165	68.428571	0	0	0	0	0	0	479	0
Rpl32	68.428571	0	0	0	0	237	0	242	0
Pkm	68.428571	0	0	0	0	135	0	344	0
Mynn	68.428571	0	0	0	0	177	0	302	0
Gpn2	68.428571	0	0	0	0	203	0	276	0
Derpc	68.428571	0	0	0	0	187	0	292	0
Chtf8	68.428571	0	0	0	0	187	0	292	0
Actrt3	68.428571	0	0	0	0	177	0	302	0
Tsr1	68.285714	0	0	0	0	121	0	357	0
Sgsm2	68.285714	0	0	0	0	121	0	357	0
Mgat4c	68.285714	0	0	0	0	301	0	177	0
Med25	68.285714	0	0	0	0	187	0	291	0
Fuz	68.285714	0	0	0	0	187	0	291	0
Clec12a	68.285714	0	0	0	0	118	0	360	0
Gchfr	68.142857	0	0	0	0	0	0	477	0
Dctn4	68.142857	0	0	0	0	187	0	290	0
Alg14	68.142857	0	0	0	0	145	0	332	0
Tnp2	68.000000	0	0	0	0	318	0	158	0
Srek1	68.000000	0	0	0	0	145	0	331	0
Socs1	68.000000	0	0	0	0	318	0	158	0
Prm3	68.000000	0	0	0	0	318	0	158	0
Prm2	68.000000	0	0	0	0	318	0	158	0
Eef2kmt	68.000000	0	0	0	0	188	0	288	0
Arid5b	68.000000	0	0	0	0	274	0	202	0
Mocs3	67.857143	0	0	0	0	115	0	360	0
Dpm1	67.857143	0	0	0	0	115	0	360	0
9430069I07Rik	67.857143	201	0	107	167	0	0	0	0
Glrx	67.714286	0	0	0	0	153	0	321	0
Ass1	67.714286	0	0	0	0	249	0	225	0
Rbm28	67.571429	0	0	0	0	143	0	330	0
Aars2	67.571429	0	0	0	0	355	0	118	0
Tprn	67.428571	0	0	0	0	279	0	193	0
Sgpp2	67.428571	0	0	0	0	225	0	247	0
Med30	67.428571	0	0	0	0	0	0	472	0
Elovl2	67.428571	0	0	0	0	183	0	289	0
Csdc2	67.428571	0	0	0	0	242	0	230	0
Arsj	67.428571	0	0	0	0	216	0	256	0
Plaur	67.285714	0	0	0	0	290	0	181	0
Gcm1	67.285714	0	0	0	0	339	0	132	0
Dse	67.285714	0	0	0	0	184	0	287	0
Cxcl5	67.285714	0	0	0	0	233	0	238	0
Asxl2	67.285714	0	0	0	0	129	0	342	0
1700094D03Rik	67.285714	0	0	0	0	242	0	229	0
Zfp444	67.142857	0	0	0	0	167	0	303	0
Wiz	67.142857	0	0	0	0	325	0	145	0
Phf21a	67.142857	0	0	0	0	0	143	327	0
Epb41	67.142857	0	0	0	0	167	0	303	0
Dennd1b	67.000000	0	0	0	0	0	0	469	0
Crtap	67.000000	0	0	0	0	117	0	352	0
Adm	67.000000	0	0	0	0	0	0	469	0
Srd5a1	66.857143	0	0	0	0	142	0	326	0
Nsun2	66.857143	0	0	0	0	142	0	326	0
Tdrd1	66.714286	0	0	0	0	148	0	319	0
Slc11a2	66.714286	0	0	0	0	245	0	222	0
Lrrc59	66.714286	0	0	0	0	148	0	319	0
Entpd3	66.714286	0	0	0	0	184	0	283	0
Eif4ebp2	66.714286	0	0	0	0	305	0	162	0
Cdk20	66.714286	0	0	0	0	190	0	277	0
Tnpo2	66.571429	0	0	0	0	247	0	219	0
Synpo	66.571429	0	0	0	0	0	0	466	0
Rab4b	66.571429	0	0	0	0	236	0	230	0
Prkag3	66.571429	0	0	0	0	351	115	0	0
Pdxk	66.571429	0	0	0	0	180	0	286	0
Mia	66.571429	0	0	0	0	236	0	230	0
Adam10	66.571429	0	0	0	0	102	0	364	0
Zfp648	66.428571	0	0	0	0	197	0	268	0
Cd14	66.428571	0	0	0	0	103	0	362	0
Arhgef2	66.428571	114	0	0	0	102	0	249	0
Itpripl2	66.285714	0	0	0	0	222	0	242	0
Chmp2b	66.285714	0	0	0	0	0	0	464	0
Cetn4	66.285714	0	0	0	0	264	82	118	0
Bbs12	66.285714	0	0	0	0	264	82	118	0
Tmem30a	66.142857	0	0	0	0	304	0	159	0
Gm4869	66.142857	0	0	0	0	0	0	463	0
Btaf1	66.142857	0	0	0	0	0	0	463	0
Tmem79	66.000000	0	0	0	0	120	0	342	0
Smg5	66.000000	0	0	0	0	120	0	342	0
Rwdd2a	66.000000	0	0	0	0	181	0	281	0
Pgm3	66.000000	0	0	0	0	181	0	281	0
Parp10	66.000000	0	0	0	0	0	0	462	0
Cd37	66.000000	0	0	0	0	0	0	462	0
Zfp931	65.857143	0	0	0	0	175	0	286	0
Sars2	65.857143	0	0	0	0	152	0	309	0
Ptprf	65.857143	153	0	0	96	0	0	212	0
Pdlim7	65.857143	0	0	0	0	205	0	256	0
Myo7a	65.857143	0	0	0	0	0	0	461	0
Mrps12	65.857143	0	0	0	0	152	0	309	0
Zfp516	65.714286	0	0	0	0	279	0	181	0
Tdpoz3	65.714286	0	0	0	0	240	0	220	0
Stx5a	65.714286	0	0	0	0	112	0	348	0
Lrrfip2	65.714286	0	0	0	0	151	0	309	0
1700092M07Rik	65.714286	0	0	0	0	112	0	348	0
Kcna1	65.571429	0	0	0	0	279	0	180	0
Stard10	65.428571	0	0	0	0	183	0	275	0
Ppard	65.428571	0	0	0	0	208	0	250	0
Nadk	65.428571	0	0	0	0	208	0	250	0
Mrps14	65.428571	0	0	0	0	148	0	310	0
Tcirg1	65.285714	0	0	0	0	120	0	337	0
Naglu	65.285714	0	0	0	0	315	0	142	0
Exoc3l4	65.285714	0	0	0	0	125	0	332	0
Eppk1	65.285714	0	0	0	0	0	0	457	0
Cysltr1	65.285714	0	0	0	0	291	0	166	0
BC024139	65.285714	0	0	0	0	0	0	457	0
Upk3a	65.142857	0	0	0	0	209	0	247	0
Tomm40	65.142857	0	0	0	0	181	0	275	0
Tmem181a	65.142857	0	0	0	0	102	112	242	0
Laptm4b	65.142857	0	0	0	0	187	0	269	0
Cul3	65.142857	0	0	0	0	146	0	310	0
Clybl	65.142857	0	0	0	0	217	0	239	0
Zfp30	65.000000	0	0	0	0	237	0	218	0
Rbks	65.000000	0	0	0	0	0	103	352	0
Gpat3	65.000000	0	0	0	0	0	0	455	0
Babam2	65.000000	0	0	0	0	0	103	352	0
Abhd12	65.000000	0	0	0	0	0	0	455	0
Rbm45	64.857143	0	0	0	0	110	0	344	0
Pgm1	64.857143	0	0	0	0	0	0	454	0
Olfr1052	64.857143	0	0	0	0	214	0	240	0
Ing5	64.857143	0	0	0	0	154	0	300	0
Hoatz	64.857143	0	0	0	0	155	0	299	0
Dtymk	64.857143	0	0	0	0	154	0	300	0
Ccdc186	64.857143	0	0	0	0	135	0	319	0
Pax9	64.714286	0	0	0	0	103	0	350	0
Naa30	64.714286	0	0	0	0	241	0	212	0
Myh9	64.714286	0	0	0	0	200	0	253	0
Kdm4b	64.714286	0	0	0	0	233	0	220	0
Fam120a	64.714286	0	0	0	0	153	0	300	0
Capn3	64.714286	0	0	0	0	208	0	245	0
Atg7	64.714286	0	0	0	0	0	0	453	0
Mrps23	64.571429	0	0	0	0	302	0	150	0
C3ar1	64.571429	0	0	0	0	0	0	452	0
Siglec1	64.428571	0	0	0	0	227	0	224	0
Sgsm1	64.428571	0	0	0	0	176	0	275	0
Pycrl	64.428571	0	0	0	0	160	0	291	0
Hoxa6	64.428571	0	0	0	0	0	133	318	0
Hoxa5	64.428571	0	0	0	0	0	133	318	0
Csrp1	64.428571	0	0	0	0	96	0	355	0
BC005537	64.428571	0	0	132	0	147	0	172	0
AI182371	64.428571	0	0	0	0	236	0	215	0
Recql4	64.285714	0	0	0	0	117	0	333	0
Rab6a	64.285714	0	0	0	0	198	0	252	0
Ptpra	64.285714	0	0	0	0	149	0	301	0
Pdcd6ip	64.285714	0	0	0	0	0	0	450	0
Mia3	64.285714	0	0	0	0	151	0	299	0
Lrrc14	64.285714	0	0	0	0	117	0	333	0
Il12rb1	64.285714	0	0	0	0	172	0	278	0
Cpsf6	64.285714	0	0	0	0	236	0	214	0
Clpb	64.285714	0	0	0	0	92	80	278	0
Exoc3l	64.142857	0	0	0	0	162	0	287	0
E2f4	64.142857	0	0	0	0	162	0	287	0
Dip2b	64.142857	0	0	0	0	0	0	449	0
Cdyl2	64.142857	0	0	0	0	152	0	297	0
Ccdc91	64.142857	0	0	0	0	197	0	252	0
Brd3os	64.142857	0	0	0	0	183	0	266	0
Stat5b	64.000000	0	0	0	0	162	0	286	0
Gm5640	64.000000	0	0	0	0	0	0	448	0
Ap1ar	64.000000	0	0	0	0	123	0	325	0
Zfp710	63.714286	0	0	0	0	242	0	204	0
Plac8	63.714286	0	0	0	0	183	0	263	0
Mcm5	63.714286	0	0	0	0	253	0	193	0
Gadd45a	63.714286	0	0	0	0	168	0	278	0
Fabp4	63.714286	0	0	0	0	162	0	284	0
Urm1	63.571429	0	0	0	0	158	0	287	0
Son	63.571429	0	0	0	0	125	0	320	0
Pole3	63.571429	0	0	0	0	0	0	445	0
Olfr464	63.571429	0	0	0	0	193	0	252	0
Gm36712	63.571429	0	0	0	0	125	0	320	0
Gart	63.571429	0	0	0	0	125	0	320	0
Emc7	63.571429	0	0	0	0	119	0	326	0
4933430I17Rik	63.571429	0	0	0	0	0	0	445	0
Zbtb46	63.428571	0	0	0	0	0	0	444	0
Reep3	63.428571	0	0	0	0	128	0	316	0
Ccar1	63.428571	0	0	0	0	165	0	279	0
Tacc1	63.285714	0	0	0	0	167	125	151	0
Ndc80	63.285714	0	0	0	0	145	0	298	0
Slc9a6	63.142857	0	0	0	0	0	0	442	0
Pmf1	63.142857	0	0	0	0	144	0	298	0
Kdm4a	63.142857	0	0	0	0	155	0	287	0
Dvl3	63.142857	0	0	0	0	236	0	206	0
Dipk2a	63.142857	0	0	0	0	176	0	266	0
Zfp87	63.000000	0	0	0	0	148	101	192	0
Flad1	63.000000	0	0	0	0	320	0	121	0
Fbxl16	63.000000	0	0	0	0	206	0	235	0
Wdr7	62.857143	0	0	0	0	181	0	259	0
Sema6a	62.857143	0	0	0	0	0	0	440	0
Pelo	62.857143	0	0	0	0	145	0	295	0
Lnx1	62.857143	0	0	0	0	133	0	307	0
Cavin3	62.857143	0	0	0	0	148	0	292	0
Rara	62.714286	0	0	0	0	158	0	281	0
Nek2	62.714286	0	0	0	0	0	0	439	0
Ift172	62.714286	0	0	0	0	167	0	272	0
Fndc4	62.714286	0	0	0	0	167	0	272	0
Angel2	62.714286	0	0	0	0	164	0	275	0
Sike1	62.571429	0	0	0	0	155	0	283	0
3830406C13Rik	62.571429	0	0	0	0	155	0	283	0
Serpine2	62.428571	0	0	0	0	0	0	437	0
Xndc1	62.285714	0	0	0	0	151	0	285	0
Trim27	62.285714	0	0	0	0	0	0	436	0
Smim8	62.285714	0	0	0	0	138	0	298	0
Rnf121	62.285714	0	0	0	0	151	0	285	0
Poc1a	62.285714	0	0	0	0	230	0	206	0
Myl1	62.285714	0	0	0	0	266	0	170	0
Lclat1	62.285714	0	0	0	0	295	0	141	0
Fam185a	62.285714	0	0	0	0	119	0	317	0
Fam117a	62.285714	0	0	0	0	162	0	274	0
Dpy19l1	62.285714	0	0	0	0	72	0	364	0
Ccdc146	62.285714	0	0	0	0	119	0	317	0
1700049E17Rik2	62.285714	0	0	0	0	186	0	250	0
1700049E17Rik1	62.285714	0	0	0	0	186	0	250	0
Slc25a21	62.142857	0	0	0	0	148	0	287	0
Pex5l	62.142857	0	0	0	0	192	0	243	0
Khdrbs3	62.142857	0	0	0	0	142	0	293	0
Il2rg	62.142857	0	0	0	0	0	0	435	0
Gm614	62.142857	0	0	0	0	0	0	435	0
Cdk15	62.142857	0	0	0	0	130	0	305	0
Dynlt1a	61.714286	0	0	0	0	218	0	214	0
Cep192	61.714286	0	0	0	0	0	0	432	0
Ybx1	61.571429	0	0	0	0	214	0	217	0
Sc5d	61.571429	0	0	0	0	216	0	215	0
Lrrc20	61.571429	0	0	0	0	172	0	259	0
Tnks	61.428571	0	0	0	0	189	0	241	0
Rab3gap2	61.428571	0	0	0	0	171	0	259	0
Tomm5	61.285714	0	0	0	0	201	0	228	0
Ssbp1	61.285714	0	0	0	0	196	0	233	0
Sntb2	61.285714	0	0	0	0	151	0	278	0
Marchf8	61.285714	0	0	0	0	94	0	335	0
Fosl1	61.285714	0	0	0	0	173	0	256	0
Dgat1	61.285714	0	0	0	0	136	0	293	0
Slc8a3	61.142857	0	0	0	0	216	0	212	0
Pkdcc	61.142857	0	0	0	0	202	0	226	0
Ogdh	61.142857	0	0	0	0	234	0	194	0
Noct	61.142857	0	0	0	0	106	0	322	0
Fcgr1	61.142857	167	0	0	0	174	0	87	0
Cavin1	61.142857	0	0	0	0	144	0	284	0
3110040N11Rik	61.142857	0	0	0	0	177	0	251	0
Trit1	61.000000	0	0	0	0	311	0	116	0
Psmb2	61.000000	0	0	0	0	123	0	304	0
Zfp830	60.857143	0	0	0	0	109	0	317	0
Stk40	60.857143	0	0	0	0	117	0	309	0
Gm829	60.857143	0	0	0	0	215	0	211	0
Cct6b	60.857143	0	0	0	0	109	0	317	0
Mettl7a1	60.714286	0	0	118	0	0	0	307	0
Fancc	60.714286	0	0	0	0	147	0	278	0
Daam1	60.714286	0	0	0	0	197	0	228	0
Tbx15	60.571429	0	0	0	0	277	0	147	0
Pheta2	60.571429	0	0	0	0	0	0	424	0
Naga	60.571429	0	0	0	0	0	0	424	0
Haus7	60.571429	0	0	0	0	198	0	226	0
Fuca2	60.571429	0	0	0	0	235	0	189	0
Exosc3	60.571429	0	0	0	0	168	87	169	0
4930407I10Rik	60.571429	0	0	0	0	175	0	249	0
Timm50	60.428571	0	0	0	0	112	0	311	0
Polr3h	60.428571	0	0	0	0	122	0	301	0
Znhit6	60.285714	0	0	0	0	169	0	253	0
Tysnd1	60.285714	0	0	0	0	97	0	325	0
Spg21	60.285714	0	0	0	0	134	0	288	0
Cnot6	60.285714	0	0	0	0	129	0	293	0
Zfp687	60.142857	0	0	0	0	151	0	270	0
Rps20	60.142857	0	0	0	0	144	0	277	0
Psmg1	60.142857	0	0	0	0	129	0	292	0
Nr1d2	60.142857	0	0	0	0	136	0	285	0
Lrba	60.142857	0	0	0	0	162	0	259	0
Cfap43	60.142857	0	0	0	0	171	0	250	0
Ankzf1	60.142857	0	0	0	0	0	210	211	0
Arap2	60.000000	0	0	0	0	227	0	193	0
Adap2	60.000000	0	0	0	0	188	0	232	0
9930021J03Rik	60.000000	0	0	0	0	163	0	257	0
2310057J18Rik	60.000000	0	0	0	0	307	0	113	0
Rpp25l	59.857143	0	0	0	0	189	0	230	0
Ptpn4	59.857143	0	0	0	0	0	0	419	0
Pcdhgb5	59.857143	0	0	0	0	188	0	231	0
Kdm4c	59.857143	0	0	0	0	115	0	304	0
Trim6	59.714286	0	0	0	0	215	0	203	0
Shroom3	59.714286	0	0	0	0	219	0	199	0
Shld1	59.714286	0	0	0	0	119	0	299	0
Serpinb6d	59.714286	0	0	0	0	183	0	235	0
Pcp4	59.714286	0	110	0	0	0	0	308	0
Kmt5c	59.714286	0	0	0	0	279	0	139	0
Kif20a	59.714286	0	0	0	0	0	0	418	0
Gm20939	59.714286	0	0	0	0	158	0	260	0
Exosc2	59.714286	0	0	0	0	0	0	418	0
Brd8	59.714286	0	0	0	0	0	0	418	0
Pdlim1	59.571429	0	0	0	0	191	0	226	0
Metap1d	59.571429	0	0	0	0	165	0	252	0
Krt10	59.571429	0	0	0	0	131	0	286	0
Gm14137	59.571429	0	0	0	0	183	0	234	0
Arhgef12	59.571429	0	0	0	0	192	0	225	0
Spata22	59.428571	0	0	0	0	291	0	125	0
Rbpms	59.428571	0	0	0	0	176	0	240	0
Dab2ip	59.428571	0	0	0	0	160	0	256	0
Aspa	59.428571	0	0	0	0	291	0	125	0
Acsm1	59.428571	0	0	0	0	188	0	228	0
Spag9	59.285714	0	0	0	0	0	0	415	0
Rabgef1	59.285714	0	0	0	0	158	0	257	0
Oxsm	59.285714	0	0	0	0	237	0	178	0
Wtap	59.142857	0	0	0	0	172	0	242	0
Trappc8	59.142857	0	0	0	0	182	0	232	0
Tbcd	59.142857	0	0	0	0	0	0	414	0
Rbm15b	59.142857	0	0	0	0	139	0	275	0
Manf	59.142857	0	0	0	0	139	0	275	0
Fbxo30	59.142857	0	0	0	0	144	0	270	0
Chid1	59.142857	0	0	0	0	0	0	414	0
Mocs1	59.000000	0	0	0	0	270	0	143	0
Ank2	59.000000	0	0	0	0	172	0	241	0
Acp7	59.000000	0	0	0	0	192	0	221	0
Tsacc	58.857143	0	0	0	0	155	0	257	0
Ssr3	58.857143	0	0	0	0	215	0	197	0
Rnaseh2b	58.857143	0	0	0	0	0	0	412	0
Phlda3	58.857143	0	0	0	0	220	0	192	0
Eloa	58.857143	0	0	0	0	120	0	292	0
Cct3	58.857143	0	0	0	0	155	0	257	0
Slc25a4	58.714286	0	0	0	0	0	0	411	0
Prrc2c	58.714286	0	0	0	0	131	0	280	0
Olfr1537	58.714286	0	0	0	0	194	0	217	0
Myo9b	58.714286	0	0	0	0	145	0	266	0
Hs3st3b1	58.714286	0	0	0	0	300	0	111	0
Haus8	58.714286	0	0	0	0	145	0	266	0
F830045P16Rik	58.714286	0	0	0	0	0	0	411	0
7420426K07Rik	58.714286	0	0	0	0	214	0	197	0
Tpm4	58.571429	0	0	0	0	118	0	292	0
Padi3	58.571429	0	0	0	0	246	164	0	0
Mthfr	58.571429	0	0	0	0	156	0	254	0
Mrpl12	58.571429	0	0	0	0	105	0	305	0
Ipo13	58.571429	0	0	0	0	220	0	190	0
Eif3e	58.571429	0	0	0	0	130	0	280	0
Clcn6	58.571429	0	0	0	0	156	0	254	0
Zfyve27	58.428571	0	0	0	0	177	0	232	0
Sypl	58.428571	0	0	0	0	121	0	288	0
Slc35f5	58.428571	0	0	0	0	154	0	255	0
Pik3cd	58.428571	0	0	0	0	201	0	208	0
Lenep	58.428571	0	0	0	0	0	0	409	0
Fbxo17	58.428571	0	0	0	0	119	0	290	0
Dlgap1	58.428571	0	0	0	0	208	0	201	0
Zfp318	58.285714	0	0	0	0	149	0	259	0
Vezt	58.285714	0	0	0	0	0	148	260	0
Tob2	58.285714	0	0	0	0	163	0	245	0
Strn4	58.285714	0	0	0	0	172	0	236	0
Fkrp	58.285714	0	0	0	0	172	0	236	0
Fgd6	58.285714	0	0	0	0	0	148	260	0
Rin2	58.142857	0	0	0	0	213	0	194	0
Polr2c	58.142857	0	0	0	0	215	0	192	0
Pcca	58.142857	0	0	0	0	200	0	207	0
Ntn3	58.142857	0	0	0	0	115	0	292	0
Nt5c2	58.142857	0	0	0	0	149	0	258	0
Dhcr7	58.142857	0	0	0	0	168	0	239	0
Telo2	58.000000	0	0	0	0	72	0	334	0
Qrich1	58.000000	0	0	0	0	179	0	227	0
Ptx4	58.000000	0	0	0	0	72	0	334	0
Mtus1	58.000000	0	0	0	0	138	0	268	0
Ank3	58.000000	0	0	0	0	305	0	101	0
Tubb4b	57.857143	0	0	0	0	202	0	203	0
Trp53i13	57.857143	0	0	0	0	182	0	223	0
H4c12	57.857143	0	0	0	0	205	0	200	0
H2bc15	57.857143	0	0	0	0	205	0	200	0
H2ac15	57.857143	0	0	0	0	205	0	200	0
Abhd15	57.857143	0	0	0	0	182	0	223	0
Rabgap1l	57.714286	0	0	0	0	185	0	219	0
Ppp1ccb	57.714286	0	0	0	0	288	0	116	0
Map9	57.714286	0	0	0	0	118	0	286	0
Keap1	57.714286	0	0	0	0	177	0	227	0
Herpud2	57.714286	0	0	0	0	205	0	199	0
Map3k2	57.571429	0	0	0	0	116	0	287	0
Celsr3	57.571429	0	0	0	0	256	0	147	0
C4b	57.571429	0	0	0	0	192	0	211	0
Sema4b	57.428571	0	0	0	0	251	0	151	0
Rtn4	57.428571	0	0	0	0	0	0	402	0
Pomt1	57.428571	0	0	0	0	144	0	258	0
Narf	57.428571	0	0	0	0	126	0	276	0
Krtap4-16	57.428571	0	0	0	0	171	101	130	0
Gm11568	57.428571	0	0	0	0	171	101	130	0
Vsir	57.285714	0	0	0	0	0	0	401	0
Smap2	57.285714	0	0	0	0	248	0	153	0
Sbf2	57.285714	0	0	0	0	221	0	180	0
Gpx6	57.285714	0	0	0	0	230	0	171	0
Abcc1	57.285714	0	0	0	108	0	0	293	0
AI413582	57.285714	0	0	0	0	175	0	226	0
Ube2b	57.142857	0	0	0	0	0	0	400	0
Ston2	57.142857	0	0	0	0	155	0	245	0
Sh3pxd2b	57.142857	0	0	0	0	0	0	400	0
Prag1	57.142857	0	0	0	0	248	0	152	0
Otud1	57.142857	0	0	0	0	204	0	196	0
Mlh3	57.142857	0	0	0	0	0	0	400	0
Lta4h	57.142857	0	0	0	0	0	0	400	0
Cdkl3	57.142857	0	0	0	0	0	0	400	0
Olfml2b	57.000000	0	0	0	0	153	0	246	0
Catsper1	57.000000	0	0	0	0	0	0	399	0
0610009B22Rik	57.000000	0	0	0	0	0	0	399	0
Vamp5	56.857143	0	0	0	0	185	0	213	0
Ccdc110	56.857143	0	0	0	0	0	0	398	0
Washc2	56.714286	0	0	0	0	188	0	209	0
Slc28a3	56.714286	0	0	0	0	0	0	397	0
Osbp	56.714286	0	0	0	0	238	0	159	0
Olfr150	56.714286	0	0	0	0	110	0	287	0
Vstm5	56.571429	0	0	0	0	0	0	396	0
Svip	56.571429	0	0	0	0	180	0	216	0
Stmn4	56.571429	0	0	0	0	0	0	396	0
Ppib	56.571429	0	0	0	0	185	0	211	0
Pkd2l1	56.571429	0	0	0	0	155	0	241	0
Palm3	56.571429	0	0	0	0	396	0	0	0
Hsd3b7	56.571429	0	0	0	0	94	0	302	0
Ywhag	56.428571	0	0	0	0	167	0	228	0
Tle6	56.428571	0	0	0	0	138	0	257	0
Scn11a	56.428571	0	0	0	0	0	0	395	0
Sac3d1	56.428571	0	0	0	0	184	0	211	0
Rnase12	56.428571	0	0	0	0	0	0	395	0
Myc	56.428571	0	0	0	0	138	0	257	0
Lypla1	56.428571	0	0	0	0	135	0	260	0
Haus4	56.428571	0	0	0	0	215	0	180	0
Cdpf1	56.428571	0	0	0	0	130	0	265	0
Tmem156	56.285714	0	0	0	0	0	0	394	0
Srp72	56.285714	0	0	0	0	0	0	394	0
Mrpl42	56.285714	0	0	0	0	156	0	238	0
Mindy2	56.285714	0	0	0	0	82	0	312	0
C2cd5	56.285714	0	0	0	0	166	0	228	0
Yju2	56.142857	0	0	0	0	96	0	297	0
Prss52	56.142857	0	0	0	0	0	0	393	0
Metap2	56.142857	0	0	0	0	140	0	253	0
Mb	56.142857	0	0	0	0	0	0	393	0
Hnrnpr	56.142857	0	0	0	0	117	0	276	0
Gm5936	56.142857	0	0	0	0	0	0	393	0
Ddx56	56.142857	0	0	0	0	151	0	242	0
Btbd16	56.142857	0	0	0	0	164	0	229	0
Bola1	56.142857	0	0	0	0	121	0	272	0
Adpgk	56.142857	0	0	0	0	129	0	264	0
Necap1	56.000000	0	0	0	0	0	0	392	0
Lrch4	56.000000	0	0	0	0	211	0	181	0
Gbp2b	56.000000	0	0	0	0	263	0	129	0
Fbxo24	56.000000	0	0	0	0	211	0	181	0
Bbc3	56.000000	0	0	0	0	198	0	194	0
Tsnaxip1	55.857143	0	0	0	0	0	0	391	0
Tafa3	55.857143	0	0	0	0	115	0	276	0
Slc22a5	55.857143	0	0	0	0	0	0	391	0
Ranbp10	55.857143	0	0	0	0	0	0	391	0
Ppm1j	55.857143	0	0	0	0	115	0	276	0
Myh14	55.857143	0	0	0	0	0	0	391	0
Lbr	55.857143	0	0	0	0	175	0	216	0
Rad51	55.714286	0	0	0	0	122	0	268	0
Pbx3	55.714286	0	0	0	0	294	0	96	0
Morc2a	55.714286	0	0	0	0	161	0	229	0
Klf10	55.714286	0	0	0	0	220	0	170	0
Khsrp	55.714286	0	0	0	0	209	0	181	0
Kcnmb4	55.714286	0	0	0	0	179	0	211	0
Gjb4	55.714286	0	0	0	0	144	0	246	0
E2f6	55.714286	0	0	0	0	224	0	166	0
Actn1	55.714286	0	0	0	0	237	0	153	0
Vmn1r38	55.571429	0	0	0	0	268	0	121	0
Trim25	55.571429	0	0	0	0	210	0	179	0
Tmem42	55.571429	0	0	0	0	189	0	200	0
Tbc1d15	55.571429	0	0	0	0	0	0	389	0
Shc4	55.571429	0	0	0	0	278	0	111	0
Runx1	55.571429	0	0	0	0	90	0	299	0
Larp1b	55.571429	0	0	0	0	103	0	286	0
Etv3	55.571429	0	0	0	0	227	0	162	0
Zfp655	55.428571	0	0	0	0	0	0	388	0
Spata24	55.428571	0	0	0	0	192	0	196	0
Mdm4	55.428571	0	0	0	0	0	0	388	0
Atp1b3	55.428571	0	0	0	0	227	0	161	0
Zbtb40	55.285714	0	0	0	0	142	0	245	0
Tm2d3	55.285714	0	0	0	0	129	0	258	0
Scfd2	55.285714	0	0	0	0	134	0	253	0
Ptgds	55.285714	0	0	0	0	230	0	157	0
Fip1l1	55.285714	0	0	0	0	134	0	253	0
Ccnf	55.285714	0	0	0	0	88	0	299	0
Btbd10	55.285714	0	0	0	0	0	0	387	0
Trf	55.142857	0	0	0	0	151	0	235	0
Scamp4	55.142857	0	0	0	0	173	0	213	0
Rnf214	55.142857	0	0	0	0	169	0	217	0
Pcsk7	55.142857	0	0	0	0	169	0	217	0
