Target_genes	Cbfb|Average	SRX184870|CD4+_T_cells	SRX5780109|CD4+_T_cells	SRX2527476|CD8+_T_cells	SRX2527477|CD8+_T_cells	SRX2527478|CD8+_T_cells	SRX5780111|CD8+_T_cells	SRX2389669|Embryonic_liver	SRX2389670|Embryonic_liver	SRX2389671|Embryonic_liver	SRX4676998|Innate_lymphoid_cells	SRX4676999|Innate_lymphoid_cells	SRX4677003|Innate_lymphoid_cells	SRX4677004|Innate_lymphoid_cells	SRX105447|L8057	SRX105451|L8057	SRX105457|Thymocytes	SRX105461|Thymocytes	SRX2389672|Thymocytes	SRX2389673|Thymocytes	SRX2389674|Thymocytes	SRX184869|Treg	STRING
Timm13	348.619048	0	808	0	0	76	927	123	0	500	183	148	0	78	472	434	0	0	991	867	1714	0	0
Gxylt1	348.523810	0	703	133	0	392	771	104	264	550	268	413	115	0	411	254	0	0	1157	905	879	0	0
Ctnnbip1	348.476190	0	1011	0	0	0	985	0	0	442	137	0	0	0	955	1057	0	0	881	995	855	0	0
Tmem161b	348.428571	0	882	0	0	101	1175	174	201	841	182	252	86	124	566	336	0	0	916	646	835	0	0
Gm5544	348.380952	0	611	72	0	162	1302	222	521	942	514	470	189	242	768	315	0	0	293	359	334	0	0
Zfp398	347.666667	0	757	73	0	134	943	97	0	739	198	154	0	101	346	340	0	0	1318	871	1230	0	0
Dynlt1b	347.523810	0	746	0	0	298	1150	145	0	452	233	170	0	111	533	334	0	0	1019	1152	955	0	0
Hspa4	346.619048	0	760	0	0	201	852	151	187	782	0	0	0	0	523	329	241	0	1065	1125	1063	0	0
Brwd1	346.142857	0	930	0	0	135	1816	158	130	254	0	0	0	0	405	184	0	0	1113	1257	887	0	0
Tmem129	346.095238	0	671	266	0	219	949	175	236	547	142	142	0	0	259	214	134	0	1331	879	1104	0	0
Tacc3	346.095238	0	671	266	0	219	949	175	236	547	142	142	0	0	259	214	134	0	1331	879	1104	0	0
Nrgn	346.000000	0	162	0	0	0	220	870	858	1632	0	0	0	0	1040	684	0	0	694	497	609	0	0
Egr1	345.809524	0	1116	139	0	326	1332	104	186	404	333	270	222	0	652	212	0	0	761	509	696	0	0
Nceh1	345.666667	0	828	0	0	232	1186	164	251	612	138	143	0	0	309	145	123	0	1121	886	1121	0	0
Skp1	345.380952	0	366	112	0	0	469	181	294	1158	0	199	106	0	726	569	73	0	1146	907	947	0	0
Prdx6	345.380952	0	597	183	0	273	700	0	186	348	93	0	0	95	623	446	105	0	1298	1102	1204	0	0
Fam160a2	345.285714	0	387	0	0	128	735	164	342	616	307	184	131	135	931	616	0	0	986	716	873	0	0
Spty2d1	345.142857	0	574	0	0	268	739	186	167	638	191	151	137	126	416	379	0	0	1277	700	1299	0	0
Yif1b	345.095238	0	1306	0	0	90	954	181	206	653	106	121	0	127	574	361	0	0	919	874	775	0	0
Atad2	344.952381	0	584	0	0	0	915	171	0	663	171	154	91	0	691	386	0	0	1448	942	1028	0	0
Abhd6	344.761905	166	378	207	216	254	409	453	544	441	437	500	498	502	391	210	174	0	388	447	366	259	0
Wdr89	344.714286	0	717	0	0	97	785	85	0	588	148	211	0	86	347	313	0	0	1176	1174	1512	0	0
Ctf1	344.571429	0	160	0	0	0	262	186	220	688	0	0	99	0	1335	1056	0	0	1056	1060	1114	0	0
Bcl7c	344.571429	0	160	0	0	0	262	186	220	688	0	0	99	0	1335	1056	0	0	1056	1060	1114	0	0
Pxylp1	344.380952	0	1213	159	0	512	1228	0	0	93	0	0	0	0	0	0	129	0	1396	1007	1495	0	0
Ccdc88a	344.285714	0	363	110	0	0	351	321	301	1180	111	0	0	0	1137	693	138	0	895	695	935	0	0
Pik3r2	344.190476	0	880	109	0	220	985	211	409	768	304	290	134	131	361	311	0	0	822	693	600	0	0
Osbpl8	344.000000	0	354	134	0	420	1184	144	194	471	0	0	0	0	858	508	168	0	1051	916	822	0	0
Samm50	343.952381	0	459	0	0	118	431	160	221	676	205	168	148	114	741	411	0	0	1147	915	1309	0	0
Selplg	343.476190	0	693	0	0	129	1097	0	136	351	0	0	0	0	483	404	233	0	1090	1522	1075	0	0
Prr13	342.619048	0	231	0	0	0	582	0	168	499	0	0	0	0	349	238	172	0	1723	1609	1624	0	0
Atf7ip	342.190476	0	546	200	0	267	794	204	291	946	156	238	142	125	425	282	0	0	882	742	946	0	0
Lsm14a	341.619048	0	990	114	0	220	923	148	645	917	256	238	0	139	474	251	0	0	550	672	637	0	0
Fam107b	341.571429	0	1491	0	0	159	2056	0	0	100	0	0	0	0	0	0	0	0	1029	1287	1051	0	0
Nudcd3	341.333333	0	452	0	0	116	503	153	84	744	288	194	0	90	551	503	102	0	1274	812	1302	0	0
Krr1	341.190476	0	540	0	0	109	717	0	0	390	137	183	74	0	464	390	199	0	1406	821	1735	0	0
Sec23b	341.142857	0	893	147	0	92	876	0	0	443	271	276	131	180	407	305	0	0	1070	817	1256	0	0
Itgam	341.095238	0	231	0	0	0	483	0	0	0	0	0	0	0	0	0	326	0	2011	2313	1799	0	0
Zc3h7a	340.761905	0	794	0	0	168	995	233	155	948	206	232	100	122	197	158	115	0	1190	644	899	0	0
Ctss	340.761905	0	937	0	0	225	1658	0	0	327	0	147	0	0	509	325	0	0	1065	877	1086	0	0
Ikbip	340.714286	0	396	144	0	317	818	88	153	496	354	334	128	151	541	302	0	0	1004	821	1108	0	0
Apaf1	340.714286	0	396	144	0	317	818	88	153	496	354	334	128	151	541	302	0	0	1004	821	1108	0	0
Rbm6	340.666667	0	778	70	0	0	984	238	397	1030	160	190	0	0	249	277	169	0	977	748	887	0	0
Atp2a3	340.571429	0	810	86	0	177	1142	178	266	535	0	0	0	0	0	0	107	0	1419	1235	1197	0	0
Rps3a1	340.476190	0	413	0	0	86	784	0	140	456	152	133	0	0	496	266	139	0	1374	1205	1506	0	0
Cmpk2	340.095238	0	894	187	0	237	1340	315	767	1188	0	127	0	130	0	0	0	0	695	628	634	0	0
Taf10	339.809524	0	979	0	0	144	901	152	199	830	187	0	77	0	577	334	0	0	1145	812	799	0	0
Xdh	339.619048	0	817	123	0	380	2158	168	467	951	0	0	0	0	0	0	0	0	830	528	710	0	0
Clpx	339.428571	0	969	0	0	100	832	0	0	567	128	118	142	0	549	343	109	0	1192	911	1168	0	0
Mpp7	339.142857	0	2385	0	0	0	1661	0	115	658	359	247	137	0	0	0	0	0	402	359	799	0	0
B4galnt1	338.761905	0	757	140	0	443	984	0	0	248	178	203	0	88	385	399	115	0	1088	1116	970	0	0
Zcchc14	337.571429	0	205	0	0	0	569	91	286	522	0	0	0	0	179	0	153	0	1732	1835	1517	0	0
Abhd15	337.523810	0	729	0	0	118	1016	220	175	511	180	166	0	0	175	0	87	0	1145	1429	1137	0	0
Znhit3	336.761905	0	668	0	0	0	583	108	113	469	0	79	0	100	476	258	131	0	1441	1292	1354	0	0
Gtf2h4	336.761905	0	382	0	0	0	504	0	0	247	208	227	0	0	730	727	185	0	1285	1329	1248	0	0
Smad4	336.619048	0	632	144	0	274	598	137	208	439	178	177	0	0	735	538	258	0	980	734	1037	0	0
Tmem167b	336.238095	0	589	0	0	126	580	177	0	678	163	210	0	0	824	644	0	0	1238	829	1003	0	0
Mgat1	336.095238	0	524	221	0	322	607	246	356	763	0	138	0	0	983	435	191	0	893	664	715	0	0
BC147527	336.095238	0	992	145	0	0	1365	0	0	198	0	0	0	0	0	0	0	0	1672	1341	1345	0	0
Ppat	335.952381	0	398	90	0	107	494	248	284	920	183	117	118	108	787	496	100	0	1125	565	915	0	0
Paics	335.952381	0	398	90	0	107	494	248	284	920	183	117	118	108	787	496	100	0	1125	565	915	0	0
Ddx55	335.571429	0	731	0	0	185	784	114	142	513	171	228	0	0	374	234	167	0	1353	887	1164	0	0
Wdr41	335.523810	0	358	189	0	137	515	125	141	598	181	206	91	89	549	278	105	0	1330	769	1385	0	0
Rrp8	335.142857	0	1009	0	0	92	686	118	287	628	82	300	134	113	855	459	0	0	890	545	840	0	0
Ilk	335.142857	0	1009	0	0	92	686	118	287	628	82	300	134	113	855	459	0	0	890	545	840	0	0
Cd4	335.047619	0	401	1422	0	127	1434	0	0	0	0	0	0	0	325	128	120	0	1041	1183	855	0	0
Kbtbd3	335.000000	0	748	95	0	174	856	191	138	742	190	146	0	0	409	458	96	0	1010	662	1120	0	0
Aasdhppt	335.000000	0	748	95	0	174	856	191	138	742	190	146	0	0	409	458	96	0	1010	662	1120	0	0
Cmss1	334.904762	0	221	0	0	0	560	156	0	480	133	170	118	0	406	397	0	0	1754	1019	1619	0	0
Ascc3	334.809524	0	537	217	0	193	860	207	113	639	163	185	0	151	451	397	0	0	1039	868	1011	0	0
Ccl1	334.761905	0	755	0	0	137	660	0	0	170	202	0	0	0	0	0	0	0	1705	1708	1693	0	0
Nup54	334.714286	0	691	57	0	184	936	251	227	731	259	182	0	0	760	445	0	0	1015	479	812	0	0
Prpf3	333.809524	0	838	72	0	118	872	107	127	560	227	242	0	0	682	614	110	0	870	558	1013	0	0
Topbp1	333.380952	0	571	0	0	111	566	144	258	770	271	140	149	126	1172	495	0	0	926	643	659	0	0
Kbtbd7	333.380952	0	494	108	0	249	1109	181	208	977	177	149	0	133	570	493	0	0	963	432	758	0	0
Arfgap2	333.380952	0	474	66	0	175	509	309	208	965	192	263	117	217	248	179	158	0	1015	825	1081	0	0
Lrrc61	333.285714	0	1026	215	0	178	1290	116	109	524	305	86	0	90	191	158	0	0	905	867	939	0	0
Plec	333.190476	0	334	0	0	287	904	259	454	710	282	222	106	199	887	456	0	0	619	525	753	0	0
Phospho1	332.809524	0	982	0	0	109	1027	314	535	1034	132	142	0	92	335	306	137	0	721	697	426	0	0
Supt7l	332.571429	0	417	0	0	0	775	0	0	578	166	254	0	0	174	244	0	0	1275	762	2339	0	0
Slc4a1ap	332.571429	0	417	0	0	0	775	0	0	578	166	254	0	0	174	244	0	0	1275	762	2339	0	0
Ripor2	332.571429	0	900	0	0	174	734	0	96	523	0	0	0	0	759	397	0	0	1280	1096	1025	0	0
Znhit1	332.476190	340	557	143	0	127	478	88	0	446	203	239	114	108	796	305	0	0	975	554	1015	494	0
Plod3	332.476190	340	557	143	0	127	478	88	0	446	203	239	114	108	796	305	0	0	975	554	1015	494	0
Pgp	332.190476	0	620	221	0	174	1285	234	480	928	171	134	83	0	335	273	0	0	611	808	619	0	0
Smap1	332.000000	0	391	0	0	119	465	129	228	805	182	204	279	193	1933	1344	0	0	297	140	263	0	0
Mphosph10	331.952381	0	582	109	0	158	608	0	0	661	214	111	221	0	628	451	151	0	1173	747	1157	0	0
Mcee	331.952381	0	582	109	0	158	608	0	0	661	214	111	221	0	628	451	151	0	1173	747	1157	0	0
Pglyrp2	331.761905	0	591	0	0	0	925	0	0	170	0	0	0	0	279	279	356	0	1414	1592	1361	0	0
Ccdc153	331.476190	0	1021	0	0	0	1271	0	0	0	0	0	0	0	0	0	152	0	1440	1771	1306	0	0
Polq	331.190476	0	701	0	0	0	743	0	0	484	151	126	135	160	363	279	0	0	1610	910	1293	0	0
Stard9	330.619048	0	633	213	0	146	674	212	303	823	308	344	71	158	475	337	0	0	820	744	682	0	0
Pan2	330.619048	0	545	0	0	0	543	143	193	687	142	101	0	0	910	638	184	0	1058	795	1004	0	0
Sbf1	330.523810	0	473	0	0	274	844	0	0	314	0	0	0	0	696	419	93	0	1299	1237	1292	0	0
Sec61a1	330.333333	0	1036	0	0	196	1061	226	187	467	186	191	91	208	314	273	153	0	890	673	785	0	0
Srsf3	330.047619	0	679	92	0	239	908	148	177	663	243	253	139	164	319	357	0	0	968	777	805	0	0
Ttc24	329.380952	0	287	0	0	0	296	107	146	709	170	0	0	103	940	744	0	0	1436	916	1063	0	0
Iqgap3	329.380952	0	287	0	0	0	296	107	146	709	170	0	0	103	940	744	0	0	1436	916	1063	0	0
Prkaca	329.285714	0	826	0	0	142	822	315	450	944	193	134	119	0	604	464	0	0	703	556	643	0	0
Mad2l1bp	328.904762	0	427	0	0	84	767	173	131	731	183	214	0	96	649	676	0	0	1225	625	926	0	0
Slx1b	328.857143	0	717	99	0	145	719	121	0	516	144	161	122	0	718	585	0	0	1100	932	827	0	0
Bola2	328.857143	0	717	99	0	145	719	121	0	516	144	161	122	0	718	585	0	0	1100	932	827	0	0
Moxd2	328.619048	0	774	0	0	353	1489	167	349	866	197	129	155	182	448	333	0	0	544	358	557	0	0
Nsfl1c	328.571429	0	884	0	0	127	874	0	0	442	255	285	0	0	123	234	125	0	1439	700	1412	0	0
Mrps30	328.428571	0	1112	0	0	137	901	141	121	608	0	281	0	0	498	290	0	0	947	572	1289	0	0
Srrm2	328.095238	0	737	77	0	221	847	103	261	721	235	207	0	0	431	238	0	0	1025	859	928	0	0
Txnl4b	327.809524	0	348	0	0	103	731	153	90	416	266	138	0	0	618	383	123	0	1227	809	1479	0	0
Dhx38	327.809524	0	348	0	0	103	731	153	90	416	266	138	0	0	618	383	123	0	1227	809	1479	0	0
Olfr9	327.000000	0	953	0	0	0	757	0	0	0	93	0	122	0	161	185	0	0	1647	1465	1484	0	0
Syt12	326.952381	0	415	0	0	0	976	0	137	288	254	150	105	99	1533	881	0	0	895	614	519	0	0
Gatad2b	326.666667	0	844	65	0	204	1003	142	283	1009	199	364	153	0	318	279	0	0	638	640	719	0	0
Rsrp1	326.571429	0	1001	0	0	0	1152	100	0	337	0	0	0	0	281	159	225	0	1245	1312	1046	0	0
Gm7244	326.285714	0	1263	0	0	0	1951	0	0	0	0	0	0	0	0	0	0	0	1456	1194	988	0	0
Entpd7	325.809524	0	935	0	0	175	1016	248	276	917	175	110	0	0	250	279	0	0	1006	514	941	0	0
Dcaf10	325.809524	0	585	0	0	166	454	168	138	772	130	193	193	0	535	280	277	427	809	675	1040	0	0
Jrk	325.714286	0	305	0	0	0	690	0	0	408	220	188	0	0	393	361	137	0	1484	1152	1502	0	0
Kat2b	325.000000	0	204	0	0	118	599	322	336	1057	0	0	0	0	641	455	0	0	1195	993	905	0	0
Hnrnpf	325.000000	0	757	248	0	255	757	145	272	377	250	241	0	120	247	163	108	0	1130	621	1134	0	0
Prkacb	324.952381	0	264	0	0	71	781	0	204	518	0	0	0	0	1424	1152	0	0	1033	442	935	0	0
Sap30bp	324.809524	0	589	0	0	0	844	117	113	660	118	0	0	0	502	341	0	0	1387	889	1261	0	0
Recql5	324.809524	0	589	0	0	0	844	117	113	660	118	0	0	0	502	341	0	0	1387	889	1261	0	0
Rdm1	324.619048	0	225	269	0	0	346	387	457	1196	112	0	0	185	253	167	0	0	1448	576	1196	0	0
Tut4	324.571429	0	1457	0	0	141	1244	0	0	129	177	142	0	109	159	65	0	0	1098	1021	1074	0	0
Serp1	324.571429	0	740	96	0	186	932	98	173	724	200	253	182	140	419	203	0	0	839	590	1041	0	0
Eif2a	324.571429	0	740	96	0	186	932	98	173	724	200	253	182	140	419	203	0	0	839	590	1041	0	0
Rnf213	324.333333	0	722	0	0	0	1295	102	216	364	206	198	0	0	517	500	0	0	997	766	928	0	0
Map2k5	324.142857	0	298	0	0	0	416	0	0	456	92	78	0	0	1598	978	0	0	912	607	1372	0	0
Eprs	324.095238	0	479	107	0	127	599	161	0	678	251	220	97	0	595	318	114	0	1033	913	1114	0	0
Stat5b	324.047619	0	656	0	0	0	1181	0	87	443	0	0	0	0	292	0	182	0	1267	1507	1190	0	0
Pnpo	323.809524	0	0	0	0	0	222	744	930	2314	0	0	0	0	1000	749	0	0	506	165	170	0	0
Med6	323.619048	0	847	0	0	206	686	171	76	951	96	0	0	113	427	268	136	0	1009	601	1209	0	0
Hectd1	323.285714	0	523	219	0	154	558	97	161	511	201	285	139	157	843	360	0	0	832	699	1050	0	0
Uspl1	323.238095	0	442	75	0	300	619	211	191	751	234	231	0	0	611	498	263	0	943	613	806	0	0
Poln	323.238095	0	469	0	0	153	579	300	442	1019	59	110	0	0	1035	495	108	0	831	496	692	0	0
Haus3	323.238095	0	469	0	0	153	579	300	442	1019	59	110	0	0	1035	495	108	0	831	496	692	0	0
Cd101	323.238095	0	521	0	0	0	955	0	0	0	0	0	0	0	0	0	145	0	1988	1489	1690	0	0
Ptk2	323.095238	0	784	0	0	0	1341	105	0	343	176	224	249	189	0	0	78	0	1489	803	1004	0	0
Rps14	323.000000	0	449	0	0	135	919	0	0	474	264	152	0	0	370	231	0	0	1378	904	1507	0	0
Mef2d	322.714286	0	348	105	0	245	540	212	111	423	179	236	0	0	714	361	157	0	1032	1311	803	0	0
Tecpr1	322.619048	0	835	0	0	0	1012	0	0	225	400	286	118	0	475	357	0	0	994	994	1079	0	0
Tox	322.380952	0	1020	0	0	0	1105	0	0	120	0	0	0	0	0	0	221	0	1455	1401	1448	0	0
Chic2	322.285714	0	1353	117	0	175	1070	0	198	481	133	0	0	0	413	181	0	0	765	853	1029	0	0
Ccp110	321.857143	0	730	0	0	156	920	135	0	415	127	297	0	0	416	306	0	0	1292	809	1156	0	0
Colgalt1	321.428571	0	849	0	0	214	920	99	145	533	196	156	0	0	367	244	0	0	1182	835	1010	0	0
Cd72	321.428571	0	1230	146	0	351	2082	0	0	0	0	0	0	0	281	244	181	0	846	630	759	0	0
Ap5s1	321.428571	0	386	0	0	0	793	169	265	912	244	313	0	0	371	449	0	0	1172	752	924	0	0
Dync1li2	321.190476	0	620	0	0	139	913	143	184	769	177	218	0	0	503	274	0	0	968	694	1143	0	0
Ptpn6	320.666667	0	628	139	0	144	722	179	232	701	0	0	0	0	520	308	181	0	1024	794	1162	0	0
Sf3b2	320.619048	0	513	104	0	146	649	101	78	541	217	277	81	97	355	202	0	0	1201	821	1350	0	0
Gal3st3	320.619048	0	513	104	0	146	649	101	78	541	217	277	81	97	355	202	0	0	1201	821	1350	0	0
Rps29	320.523810	199	369	0	0	0	329	0	323	637	215	296	322	266	270	115	0	0	1507	530	1042	311	0
Rpl10a	320.333333	0	569	95	0	118	720	129	265	490	234	219	139	159	567	379	0	0	914	779	951	0	0
Arhgef18	320.333333	0	1096	0	0	130	1437	0	142	400	0	132	0	0	168	0	0	0	970	1191	1061	0	0
Mrvi1	320.285714	0	425	0	0	0	823	0	87	348	0	0	0	0	353	251	157	0	1439	1223	1620	0	0
Cnot4	320.142857	0	827	209	0	100	1028	98	0	277	210	122	103	128	431	294	0	0	1102	831	963	0	0
Mrpl17	320.047619	0	634	0	0	170	883	161	88	481	187	305	0	123	254	230	94	0	1233	855	1023	0	0
Atp8b4	320.000000	0	1095	0	0	184	1524	0	0	425	245	417	178	0	716	345	0	0	649	540	402	0	0
Nktr	319.952381	0	541	0	0	170	984	167	350	570	281	138	134	0	896	671	0	0	707	595	515	0	0
Xpo1	319.619048	0	455	0	0	161	723	253	267	1012	0	141	0	0	530	410	0	0	1130	897	733	0	0
Itgb3	319.571429	0	0	0	0	123	0	399	565	1023	0	0	0	0	1724	1892	0	0	480	154	351	0	0
Gpatch2l	319.047619	0	741	0	0	194	814	120	138	524	147	120	121	0	475	285	154	0	990	816	1061	0	0
Por	318.952381	0	480	0	0	218	804	193	0	414	148	246	160	116	380	223	0	0	1001	910	1405	0	0
Tpm4	318.333333	0	696	0	0	0	1043	0	194	260	0	0	0	0	460	490	0	0	1389	1077	1076	0	0
Ndufb5	318.333333	0	964	0	0	137	826	102	132	500	106	116	0	0	204	225	123	0	1208	597	1445	0	0
Mrpl47	318.333333	0	964	0	0	137	826	102	132	500	106	116	0	0	204	225	123	0	1208	597	1445	0	0
Usp12	318.190476	0	652	0	0	350	997	157	118	670	167	165	157	0	309	219	150	0	960	655	956	0	0
Tubb5	318.142857	0	462	86	0	155	667	310	342	884	145	125	134	91	639	537	132	0	727	678	567	0	0
Mdc1	318.142857	0	462	86	0	155	667	310	342	884	145	125	134	91	639	537	132	0	727	678	567	0	0
Akt2	318.142857	0	615	72	0	178	686	0	154	709	243	172	0	0	686	376	127	0	862	916	885	0	0
Pwwp3a	317.904762	0	768	151	0	148	1115	251	358	839	135	169	0	0	229	242	175	0	782	489	825	0	0
Rabggtb	317.809524	0	729	91	0	201	831	169	150	873	0	167	0	0	407	466	141	0	811	756	882	0	0
Bri3bp	317.238095	0	843	0	0	155	712	0	0	285	0	0	0	0	673	424	0	0	1087	1232	1251	0	0
Lsm14b	316.857143	0	785	0	0	195	638	179	285	788	229	233	0	0	499	295	0	0	935	726	867	0	0
Dnaja1	316.761905	0	937	158	0	134	1123	81	134	334	204	227	0	0	303	168	145	0	825	989	890	0	0
a	316.523810	0	302	0	0	0	224	0	0	412	0	0	0	0	210	140	89	0	1913	1547	1810	0	0
Clns1a	316.095238	0	744	0	0	0	741	0	0	650	188	154	0	0	735	349	0	0	934	855	1288	0	0
Fzr1	316.000000	0	250	0	0	154	437	301	424	1046	118	197	123	0	1121	900	0	0	611	496	458	0	0
Asb2	316.000000	0	1537	136	0	0	1932	0	152	229	336	252	311	210	0	0	0	0	510	428	603	0	0
Pygo2	315.904762	0	780	118	0	175	767	199	237	657	240	156	0	0	637	301	0	0	1044	556	767	0	0
H4c8	315.761905	0	524	139	0	127	737	253	327	807	192	148	0	0	488	281	143	0	803	837	825	0	0
H3c8	315.761905	0	524	139	0	127	737	253	327	807	192	148	0	0	488	281	143	0	803	837	825	0	0
H2ac10	315.761905	0	524	139	0	127	737	253	327	807	192	148	0	0	488	281	143	0	803	837	825	0	0
Zfp607b	315.714286	0	708	66	0	207	1080	158	101	652	241	221	0	0	423	236	0	0	1009	658	870	0	0
Olfr806	315.714286	0	493	0	274	293	469	390	457	386	415	480	473	479	338	168	249	0	388	322	334	222	0
Bin2	315.666667	0	472	128	0	124	798	222	248	708	146	0	187	122	601	507	127	0	745	665	829	0	0
Ddx20	315.285714	0	422	0	0	221	668	0	0	429	97	105	0	0	568	431	0	0	1370	1101	1209	0	0
Trdmt1	315.238095	0	308	227	0	197	396	93	122	344	126	178	0	0	817	556	112	0	1098	797	1249	0	0
Gse1	315.095238	0	196	0	0	189	391	657	761	1333	127	0	0	0	834	693	0	0	531	415	490	0	0
Mis12	314.904762	0	242	0	0	0	457	146	183	743	145	160	144	250	829	502	102	0	1020	776	914	0	0
Derl2	314.904762	0	242	0	0	0	457	146	183	743	145	160	144	250	829	502	102	0	1020	776	914	0	0
Ripor1	314.857143	0	191	0	0	0	152	496	727	1162	0	0	0	0	1449	1192	89	0	598	174	382	0	0
Mnt	314.714286	0	604	105	0	227	640	303	194	732	276	411	168	167	428	206	0	0	842	629	677	0	0
Senp1	314.571429	0	541	0	0	116	759	184	247	809	102	104	0	0	833	492	100	0	789	592	938	0	0
Pfkm	314.571429	0	541	0	0	116	759	184	247	809	102	104	0	0	833	492	100	0	789	592	938	0	0
Pigx	314.523810	0	1091	0	0	0	1362	0	104	259	0	113	0	0	305	137	143	0	1357	831	903	0	0
Cep19	314.523810	0	1091	0	0	0	1362	0	104	259	0	113	0	0	305	137	143	0	1357	831	903	0	0
Rffl	314.476190	0	533	163	0	361	725	157	149	468	0	0	0	0	490	206	93	0	1175	957	1127	0	0
Mospd3	314.333333	0	420	0	0	184	612	294	236	1002	222	167	98	0	529	353	0	0	864	802	818	0	0
Ppm1g	314.238095	0	882	103	0	316	953	102	128	538	312	358	0	0	592	320	0	0	828	541	626	0	0
Atg4c	314.190476	0	471	0	0	0	562	175	201	810	0	0	0	0	734	347	0	0	1298	810	1190	0	0
Actr10	314.142857	0	1061	0	0	0	1276	0	0	297	0	0	0	0	187	116	0	0	1304	1385	971	0	0
Mis18bp1	313.809524	0	579	0	0	113	579	146	214	611	81	150	0	0	193	196	0	0	1476	924	1328	0	0
Lrig2	313.523810	0	435	0	0	105	424	130	149	499	210	139	0	0	712	450	131	0	1228	931	1041	0	0
Calr	313.380952	0	625	147	0	112	833	150	185	426	163	257	112	0	417	640	0	0	1087	636	791	0	0
Sugct	313.095238	0	418	0	0	114	622	138	0	334	149	0	0	77	679	519	150	0	1149	907	1319	0	0
Mplkip	313.095238	0	418	0	0	114	622	138	0	334	149	0	0	77	679	519	150	0	1149	907	1319	0	0
Phip	312.619048	0	322	142	0	278	304	0	122	350	222	219	105	0	573	254	153	0	1078	1186	1257	0	0
Prss29	312.380952	0	125	0	0	0	303	125	416	488	0	0	125	0	1298	932	0	0	1153	1054	541	0	0
Zfp933	312.095238	0	537	0	0	0	764	0	106	426	79	0	0	0	794	677	0	0	1033	1080	1058	0	0
Tsfm	312.047619	0	665	0	0	0	705	377	238	1260	0	132	0	0	149	226	247	0	992	485	1077	0	0
Birc5	311.380952	0	489	141	0	113	665	179	167	734	230	210	144	0	389	230	129	0	1028	779	912	0	0
Cxxc5	311.095238	0	235	63	0	0	824	108	272	483	0	0	0	0	717	515	81	0	1170	1013	1052	0	0
Trmt2a	311.047619	0	929	0	0	0	626	152	111	614	154	154	0	0	284	125	0	0	1315	599	1469	0	0
Ranbp1	311.047619	0	929	0	0	0	626	152	111	614	154	154	0	0	284	125	0	0	1315	599	1469	0	0
Cd27	311.000000	0	1360	0	0	0	1305	0	0	0	0	0	0	0	0	0	116	0	1230	1442	1078	0	0
Grcc10	310.809524	0	628	0	0	144	722	179	232	701	0	0	0	0	452	308	181	0	1024	794	1162	0	0
Cep72	310.714286	0	494	130	0	0	556	157	161	851	215	275	168	200	340	401	0	0	1052	651	874	0	0
Kansl1l	310.571429	0	329	333	0	263	355	117	187	612	0	0	0	0	672	359	0	0	1057	1090	1148	0	0
Smarcd1	310.285714	0	326	0	0	0	500	88	0	548	0	111	0	0	494	290	0	0	1474	1091	1594	0	0
Glcci1	310.142857	0	585	203	0	213	639	98	178	625	86	113	0	0	345	164	241	0	1123	1087	813	0	0
Marchf3	310.047619	0	581	0	0	0	629	204	328	952	0	0	0	0	648	466	0	0	996	779	928	0	0
Zfp868	309.857143	0	477	0	0	191	904	0	0	506	171	207	0	149	267	226	0	0	1213	849	1347	0	0
Tmem59	309.476190	0	495	97	0	189	835	225	0	418	255	127	0	123	341	144	0	0	1023	1049	1178	0	0
Tceanc2	309.476190	0	495	97	0	189	835	225	0	418	255	127	0	123	341	144	0	0	1023	1049	1178	0	0
Meig1	309.333333	0	467	0	0	0	386	146	237	761	0	0	0	0	290	228	0	0	1417	1234	1330	0	0
Gosr2	309.333333	0	448	120	0	165	570	111	119	622	0	70	134	94	716	307	134	0	1102	704	1080	0	0
Dclre1c	309.333333	0	467	0	0	0	386	146	237	761	0	0	0	0	290	228	0	0	1417	1234	1330	0	0
Ift81	309.285714	0	436	95	0	206	882	0	202	531	181	151	0	106	248	124	0	0	1125	962	1246	0	0
Tbck	309.238095	0	404	0	0	152	394	192	0	602	0	0	0	0	797	355	262	0	1301	648	1387	0	0
Aimp1	309.238095	0	404	0	0	152	394	192	0	602	0	0	0	0	797	355	262	0	1301	648	1387	0	0
Pias4	309.095238	0	570	115	0	560	431	0	0	243	446	371	235	189	514	329	94	0	925	660	809	0	0
Rbbp9	309.047619	0	893	147	0	0	876	0	0	443	0	276	0	0	407	305	0	0	1070	817	1256	0	0
Snx27	309.000000	0	378	0	0	0	662	0	249	377	155	159	0	0	757	456	0	0	1254	973	1069	0	0
Necab3	308.857143	0	190	0	0	0	0	317	504	1193	0	0	0	0	674	437	0	0	1116	993	1062	0	0
Adgrg1	308.000000	0	0	0	0	115	402	509	678	1432	0	0	0	0	1390	718	0	0	440	267	517	0	0
1700042G07Rik	307.857143	0	827	0	0	0	963	0	0	108	154	0	0	0	90	84	0	0	1568	1375	1296	0	0
Rnf157	307.666667	0	655	122	0	201	852	345	350	963	168	111	117	0	0	0	293	0	855	730	699	0	0
Wdr25	307.571429	0	372	0	0	84	501	164	169	720	239	176	0	0	516	490	0	0	1123	713	1192	0	0
Wars	307.571429	0	372	0	0	84	501	164	169	720	239	176	0	0	516	490	0	0	1123	713	1192	0	0
