Target_genes	Sox4|Average	SRX337568|B_cells	SRX2974918|EML_	SRX4791025|Keratinocytes	SRX4791026|Keratinocytes	SRX4802721|Neural_Stem_Cells	SRX1149735|Pancreatic_cancer_cell_lines	SRX14296655|Synoviocytes	SRX14296656|Synoviocytes	STRING
Nudcd2	39.000000	0	0	0	149	163	0	0	0	0
Med1	39.000000	0	0	0	0	312	0	0	0	0
Kin	39.000000	0	0	0	0	312	0	0	0	0
Hmmr	39.000000	0	0	0	149	163	0	0	0	0
Hdhd2	39.000000	0	0	0	132	180	0	0	0	0
Atp5c1	39.000000	0	0	0	0	312	0	0	0	0
Antxr2	39.000000	0	0	0	78	234	0	0	0	0
Ubr1	38.875000	0	0	0	106	205	0	0	0	0
Tas1r1	38.875000	0	0	0	0	311	0	0	0	0
Syt16	38.875000	0	0	0	0	311	0	0	0	0
Npc2	38.875000	0	0	0	105	206	0	0	0	0
Nol9	38.875000	0	0	0	0	311	0	0	0	0
Nck2	38.875000	0	0	0	0	311	0	0	0	0
Isca2	38.875000	0	0	0	105	206	0	0	0	0
Ift140	38.875000	0	0	0	0	311	0	0	0	0
Gtpbp8	38.875000	0	0	0	0	311	0	0	0	0
Gm1673	38.875000	0	0	0	0	311	0	0	0	0
Emc4	38.875000	0	0	0	0	311	0	0	0	0
Cramp1l	38.875000	0	0	0	0	311	0	0	0	0
Ube2v1	38.750000	0	91	0	0	219	0	0	0	0
Tmed10	38.750000	0	0	0	0	310	0	0	0	0
Prrc1	38.750000	0	0	0	87	223	0	0	0	0
Ift52	38.750000	0	0	0	148	162	0	0	0	0
Fbxo21	38.750000	0	0	0	0	310	0	0	0	0
Atp2a2	38.750000	0	0	0	132	178	0	0	0	0
Zyg11b	38.625000	0	0	0	0	309	0	0	0	0
Tssk1	38.625000	0	0	0	99	210	0	0	0	0
Tanc2	38.625000	0	0	0	0	309	0	0	0	0
Rplp0	38.625000	0	0	0	0	309	0	0	0	0
Ndufv1	38.625000	0	0	0	176	133	0	0	0	0
Mtus1	38.625000	0	0	0	0	309	0	0	0	0
Epb41	38.625000	0	0	0	0	309	0	0	0	0
Dgcr2	38.625000	0	0	0	99	210	0	0	0	0
Cux2	38.625000	0	0	0	0	309	0	0	0	0
Cenpu	38.625000	88	0	0	0	221	0	0	0	0
Arhgap17	38.625000	0	0	0	0	309	0	0	0	0
Tmpo	38.500000	0	0	0	0	308	0	0	0	0
Rc3h2	38.500000	0	0	0	140	168	0	0	0	0
Pcf11	38.500000	0	0	0	0	308	0	0	0	0
Mprip	38.500000	0	0	0	197	111	0	0	0	0
Mcoln1	38.500000	0	0	0	0	308	0	0	0	0
Ddx20	38.500000	0	0	0	0	308	0	0	0	0
Tcea1	38.375000	0	0	0	199	108	0	0	0	0
Psph	38.375000	0	0	0	124	183	0	0	0	0
Mrpl34	38.375000	0	0	0	0	307	0	0	0	0
Mmaa	38.375000	0	0	0	98	209	0	0	0	0
Grk6	38.375000	0	0	0	0	307	0	0	0	0
Gclc	38.375000	0	0	0	117	190	0	0	0	0
Fam136a	38.375000	0	0	0	0	307	0	0	0	0
Dennd10	38.375000	0	0	0	0	307	0	0	0	0
Dda1	38.375000	0	0	0	0	307	0	0	0	0
Cct6a	38.375000	0	0	0	124	183	0	0	0	0
Abhd8	38.375000	0	0	0	0	307	0	0	0	0
Zfp408	38.250000	0	0	0	144	162	0	0	0	0
Tspan9	38.250000	0	0	0	306	0	0	0	0	0
Trp53inp1	38.250000	0	0	0	105	201	0	0	0	0
Sem1	38.250000	0	0	0	183	123	0	0	0	0
Rtca	38.250000	0	0	0	0	306	0	0	0	0
Rps5	38.250000	0	0	0	0	306	0	0	0	0
Ralgds	38.250000	0	0	0	101	205	0	0	0	0
Msantd4	38.250000	0	0	0	201	105	0	0	0	0
Hint3	38.250000	0	0	0	0	306	0	0	0	0
Etfbkmt	38.250000	0	0	0	0	306	0	0	0	0
Eef1e1	38.250000	0	0	0	0	306	0	0	0	0
Dbt	38.250000	0	0	0	0	306	0	0	0	0
Dapk1	38.250000	0	0	0	0	306	0	0	0	0
Cyth1	38.250000	0	0	0	0	306	0	0	0	0
Atp5g3	38.250000	0	0	0	102	204	0	0	0	0
Atad1	38.250000	0	0	0	87	219	0	0	0	0
Arhgap1	38.250000	0	0	0	144	162	0	0	0	0
Wbp11	38.125000	0	0	0	137	168	0	0	0	0
Inpp5f	38.125000	0	0	0	0	305	0	0	0	0
BC049715	38.125000	0	0	0	137	168	0	0	0	0
Usp46	38.000000	0	0	0	85	219	0	0	0	0
Stag3	38.000000	0	0	0	0	304	0	0	0	0
Rbm12b1	38.000000	0	0	0	110	194	0	0	0	0
Rab7	38.000000	0	0	0	87	217	0	0	0	0
Pusl1	38.000000	0	0	0	0	304	0	0	0	0
Prcp	38.000000	0	0	0	0	304	0	0	0	0
Pate14	38.000000	0	0	0	0	0	304	0	0	0
Mgat5b	38.000000	0	0	0	0	304	0	0	0	0
Klhdc4	38.000000	0	0	0	175	129	0	0	0	0
Ikzf5	38.000000	0	0	0	0	304	0	0	0	0
Gpc2	38.000000	0	0	0	0	304	0	0	0	0
Ddias	38.000000	0	0	0	0	304	0	0	0	0
Cttnbp2nl	38.000000	0	0	0	140	164	0	0	0	0
Acap3	38.000000	0	0	0	0	304	0	0	0	0
Acadsb	38.000000	0	0	0	0	304	0	0	0	0
Zfp623	37.875000	0	0	0	0	303	0	0	0	0
Uba3	37.875000	0	0	0	0	303	0	0	0	0
Txnl1	37.875000	0	0	0	97	206	0	0	0	0
Srsf1	37.875000	0	0	0	88	215	0	0	0	0
Rabl6	37.875000	0	0	0	94	209	0	0	0	0
Naca	37.875000	0	0	0	0	303	0	0	0	0
Mfhas1	37.875000	0	0	0	0	303	0	0	0	0
Ckap5	37.875000	0	0	0	126	177	0	0	0	0
Cbr4	37.875000	0	0	0	86	217	0	0	0	0
Cblb	37.875000	0	0	0	114	189	0	0	0	0
Best2	37.875000	0	0	0	303	0	0	0	0	0
Adh5	37.875000	0	0	0	0	303	0	0	0	0
Tgif1	37.750000	0	0	0	149	153	0	0	0	0
Polr2j	37.750000	0	0	0	0	302	0	0	0	0
Pdgfra	37.750000	0	0	0	108	194	0	0	0	0
Lypla2	37.750000	0	0	0	0	302	0	0	0	0
Lars	37.750000	0	0	0	0	302	0	0	0	0
Enpp7	37.750000	0	0	0	302	0	0	0	0	0
Dedd	37.750000	0	0	0	0	302	0	0	0	0
Mras	37.625000	0	0	0	0	301	0	0	0	0
Morf4l1	37.625000	0	0	0	0	301	0	0	0	0
Lime1	37.625000	0	0	0	146	155	0	0	0	0
Clk3	37.625000	0	0	0	0	301	0	0	0	0
Zdhhc19	37.500000	0	0	0	0	300	0	0	0	0
Snrnp200	37.500000	0	0	0	74	226	0	0	0	0
Lcorl	37.500000	0	0	0	101	199	0	0	0	0
Gm10710	37.500000	0	0	0	300	0	0	0	0	0
Gjc1	37.500000	0	0	0	0	195	105	0	0	0
Aars2	37.500000	0	0	0	0	300	0	0	0	0
1810024B03Rik	37.500000	0	0	0	74	226	0	0	0	0
Tbc1d25	37.375000	0	0	0	0	299	0	0	0	0
Serbp1	37.375000	0	0	0	0	299	0	0	0	0
Pias1	37.375000	0	0	0	0	299	0	0	0	0
Lcmt2	37.375000	0	0	0	0	299	0	0	0	0
Gpbp1	37.375000	0	0	0	0	299	0	0	0	0
Ctnnbip1	37.375000	0	0	0	0	299	0	0	0	0
Adal	37.375000	0	0	0	0	299	0	0	0	0
Tfrc	37.250000	0	0	0	0	298	0	0	0	0
Oxnad1	37.250000	0	0	0	0	298	0	0	0	0
Ninj2	37.250000	0	0	0	298	0	0	0	0	0
Ndufa6	37.250000	0	0	0	0	298	0	0	0	0
Limd1	37.250000	0	0	0	143	155	0	0	0	0
Hnrnpf	37.250000	0	0	0	118	180	0	0	0	0
Dph3	37.250000	0	0	0	0	298	0	0	0	0
Dhx36	37.250000	0	0	0	0	298	0	0	0	0
Brd7	37.250000	0	0	0	133	165	0	0	0	0
Arhgap11a	37.250000	0	0	0	0	298	0	0	0	0
Zcwpw1	37.125000	0	0	0	0	297	0	0	0	0
Wdsub1	37.125000	0	0	0	120	177	0	0	0	0
Txnrd3	37.125000	0	0	0	0	297	0	0	0	0
Trabd	37.125000	0	0	0	0	297	0	0	0	0
Slc35a1	37.125000	0	0	0	0	297	0	0	0	0
Rbm33	37.125000	0	0	0	115	182	0	0	0	0
Mepce	37.125000	0	0	0	0	297	0	0	0	0
Lsm4	37.125000	0	0	0	0	297	0	0	0	0
Gm45521	37.125000	0	0	0	297	0	0	0	0	0
Dctn4	37.125000	0	0	0	0	297	0	0	0	0
Bcl2	37.125000	0	0	0	0	297	0	0	0	0
Vcp	37.000000	0	0	0	199	97	0	0	0	0
Snw1	37.000000	0	0	0	66	230	0	0	0	0
Sncaip	37.000000	0	0	0	0	296	0	0	0	0
Slc66a2	37.000000	0	0	0	70	226	0	0	0	0
Pde7a	37.000000	0	0	0	184	112	0	0	0	0
Mettl4	37.000000	0	0	0	0	296	0	0	0	0
Mettl26	37.000000	0	0	0	0	296	0	0	0	0
Fam171a1	37.000000	0	0	0	75	221	0	0	0	0
Coq7	37.000000	0	0	0	0	296	0	0	0	0
Cdc16	37.000000	0	0	0	110	186	0	0	0	0
Ambra1	37.000000	0	0	0	160	136	0	0	0	0
Znrf1	36.875000	0	0	0	0	295	0	0	0	0
Vmp1	36.875000	0	0	0	0	295	0	0	0	0
Uqcc2	36.875000	0	0	0	0	295	0	0	0	0
Tcp11l1	36.875000	0	0	0	84	211	0	0	0	0
Rfc4	36.875000	0	0	0	0	295	0	0	0	0
Ptrh2	36.875000	0	0	0	0	295	0	0	0	0
Psmd11	36.875000	0	0	0	0	295	0	0	0	0
Pin1rt1	36.875000	0	0	0	84	211	0	0	0	0
Med21	36.875000	0	0	0	0	295	0	0	0	0
M6pr	36.875000	0	0	0	112	183	0	0	0	0
Jrk	36.875000	0	0	0	0	295	0	0	0	0
Eif4a3	36.875000	0	0	0	0	295	0	0	0	0
Crk	36.875000	0	0	0	0	295	0	0	0	0
Ccdc117	36.875000	0	0	0	139	156	0	0	0	0
Cbll1	36.875000	0	0	0	0	295	0	0	0	0
Aco1	36.875000	0	0	0	0	295	0	0	0	0
Zfp9	36.750000	0	0	0	0	294	0	0	0	0
Wdr41	36.750000	0	0	0	0	294	0	0	0	0
Tmem238	36.750000	0	0	0	0	294	0	0	0	0
Rybp	36.750000	0	0	0	0	294	0	0	0	0
Rpl28	36.750000	0	0	0	0	294	0	0	0	0
Polr3k	36.750000	0	0	0	122	172	0	0	0	0
Hnrnpd	36.750000	0	0	0	0	294	0	0	0	0
Fn1	36.750000	119	0	0	0	175	0	0	0	0
Xpc	36.625000	0	0	0	0	293	0	0	0	0
Tnfaip1	36.625000	0	0	0	0	293	0	0	0	0
Pop4	36.625000	0	0	0	0	293	0	0	0	0
Nfe2l2	36.625000	0	0	0	136	157	0	0	0	0
Lsm3	36.625000	0	0	0	0	293	0	0	0	0
Imp3	36.625000	0	0	0	0	293	0	0	0	0
Ift20	36.625000	0	0	0	0	293	0	0	0	0
Tut7	36.500000	157	0	0	0	135	0	0	0	0
Tmem186	36.500000	0	0	0	102	190	0	0	0	0
Stmn3	36.500000	0	0	0	0	292	0	0	0	0
Rnf170	36.500000	0	0	0	87	205	0	0	0	0
Ptcd3	36.500000	0	0	0	0	292	0	0	0	0
Polr1a	36.500000	0	0	0	0	292	0	0	0	0
Pmm2	36.500000	0	0	0	102	190	0	0	0	0
Pip4k2b	36.500000	0	0	0	0	292	0	0	0	0
Pim1	36.500000	0	0	0	0	292	0	0	0	0
Phb2	36.500000	0	0	0	95	197	0	0	0	0
Mrps28	36.500000	0	0	0	0	292	0	0	0	0
Map7	36.500000	0	0	0	0	292	0	0	0	0
Lrrc49	36.500000	0	0	0	0	292	0	0	0	0
Hook3	36.500000	0	0	0	87	205	0	0	0	0
H3c7	36.500000	0	0	0	0	292	0	0	0	0
H2bc9	36.500000	0	0	0	0	292	0	0	0	0
Emg1	36.500000	0	0	0	95	197	0	0	0	0
Dipk2a	36.500000	0	0	0	0	292	0	0	0	0
Cstf1	36.500000	0	0	0	68	224	0	0	0	0
Aurka	36.500000	0	0	0	68	224	0	0	0	0
Uqcrh	36.375000	0	0	0	81	210	0	0	0	0
Telo2	36.375000	0	0	0	0	291	0	0	0	0
Stpg3	36.375000	0	0	0	0	291	0	0	0	0
Son	36.375000	0	0	0	98	193	0	0	0	0
Sdc1	36.375000	83	0	0	0	208	0	0	0	0
Ptx4	36.375000	0	0	0	0	291	0	0	0	0
Nelfb	36.375000	0	0	0	0	291	0	0	0	0
Nectin1	36.375000	0	0	0	0	291	0	0	0	0
Lrrc41	36.375000	0	0	0	81	210	0	0	0	0
Kdm3b	36.375000	0	0	0	110	181	0	0	0	0
Hmgn2	36.375000	0	0	0	0	291	0	0	0	0
Gm36712	36.375000	0	0	0	98	193	0	0	0	0
Gdap1l1	36.375000	0	0	0	0	291	0	0	0	0
Gart	36.375000	0	0	0	98	193	0	0	0	0
Diablo	36.375000	0	0	0	115	176	0	0	0	0
Cacng4	36.375000	0	0	0	0	291	0	0	0	0
Atf4	36.375000	0	0	0	0	291	0	0	0	0
Agrp	36.375000	0	0	0	142	149	0	0	0	0
Syf2	36.250000	0	0	0	0	290	0	0	0	0
Sugp1	36.250000	0	0	0	0	290	0	0	0	0
Pycr1	36.250000	0	0	0	0	290	0	0	0	0
Nsfl1c	36.250000	0	0	0	171	119	0	0	0	0
Myadml2	36.250000	0	0	0	0	290	0	0	0	0
Mau2	36.250000	0	0	0	0	290	0	0	0	0
Lekr1	36.250000	0	0	0	0	290	0	0	0	0
Exo5	36.250000	0	0	0	0	290	0	0	0	0
Aptx	36.250000	0	0	0	0	290	0	0	0	0
Topbp1	36.125000	0	0	0	0	289	0	0	0	0
Syn2	36.125000	0	0	0	0	0	0	191	98	0
Slc39a13	36.125000	0	0	0	106	183	0	0	0	0
Parva	36.125000	0	0	0	70	219	0	0	0	0
Mapre1	36.125000	0	0	0	84	205	0	0	0	0
Haus1	36.125000	0	0	0	0	289	0	0	0	0
Fkbp4	36.125000	0	0	0	0	289	0	0	0	0
Dbnl	36.125000	0	0	0	0	289	0	0	0	0
Cbfa2t2	36.125000	0	0	0	126	163	0	0	0	0
Atp5a1	36.125000	0	0	0	0	289	0	0	0	0
Timm17a	36.000000	0	0	0	0	288	0	0	0	0
Sh3rf1	36.000000	0	0	0	0	288	0	0	0	0
Rps21	36.000000	0	0	0	129	159	0	0	0	0
Pdxp	36.000000	0	0	0	0	288	0	0	0	0
Mrpl24	36.000000	0	0	0	0	288	0	0	0	0
Mettl8	36.000000	0	0	0	121	167	0	0	0	0
Ints4	36.000000	0	0	0	0	288	0	0	0	0
Dcaf17	36.000000	0	0	0	121	167	0	0	0	0
Cdk19	36.000000	0	0	0	0	288	0	0	0	0
Alkbh3	36.000000	0	0	0	179	109	0	0	0	0
Zfp697	35.875000	0	0	0	121	166	0	0	0	0
Zc3hav1l	35.875000	0	0	0	78	209	0	0	0	0
Prpf38b	35.875000	0	0	0	0	287	0	0	0	0
Pigv	35.875000	0	132	0	0	155	0	0	0	0
Ldhb	35.875000	0	0	0	0	287	0	0	0	0
Klhl5	35.875000	0	0	0	0	287	0	0	0	0
Grb2	35.875000	0	0	0	0	287	0	0	0	0
Fosl2	35.875000	0	0	0	106	181	0	0	0	0
Dchs1	35.875000	0	0	0	0	287	0	0	0	0
Ccnl2	35.875000	0	0	0	0	287	0	0	0	0
Casc3	35.875000	0	0	0	0	287	0	0	0	0
Alkbh8	35.875000	160	0	0	0	127	0	0	0	0
Acvr2b	35.875000	0	0	0	0	287	0	0	0	0
Tubb4b	35.750000	0	0	0	0	286	0	0	0	0
Tmem86a	35.750000	0	0	0	0	286	0	0	0	0
Mrpl40	35.750000	0	0	0	84	202	0	0	0	0
Hira	35.750000	0	0	0	84	202	0	0	0	0
Dok6	35.750000	0	0	0	0	286	0	0	0	0
Dnaja3	35.750000	0	0	0	189	97	0	0	0	0
Coro7	35.750000	0	0	0	189	97	0	0	0	0
Btbd6	35.750000	0	0	0	0	286	0	0	0	0
Atic	35.750000	0	0	0	0	286	0	0	0	0
Arl14ep	35.750000	0	0	0	201	85	0	0	0	0
Wnk2	35.625000	0	0	0	0	285	0	0	0	0
Tmem88b	35.625000	0	0	0	0	285	0	0	0	0
Tjp1	35.625000	0	0	0	0	285	0	0	0	0
Scnm1	35.625000	0	0	0	0	285	0	0	0	0
Rps15a	35.625000	0	0	0	0	285	0	0	0	0
Pim3	35.625000	0	0	0	0	285	0	0	0	0
Lysmd1	35.625000	0	0	0	0	285	0	0	0	0
Ints13	35.625000	0	0	0	0	285	0	0	0	0
Fgfr1op2	35.625000	0	0	0	0	285	0	0	0	0
Fam161a	35.625000	0	0	0	0	285	0	0	0	0
Tsku	35.500000	0	0	0	0	284	0	0	0	0
Tbc1d10c	35.500000	0	0	0	86	198	0	0	0	0
Slc25a38	35.500000	0	0	0	0	284	0	0	0	0
Rsad1	35.500000	0	0	0	0	284	0	0	0	0
Rfx4	35.500000	0	0	0	0	284	0	0	0	0
Ptpmt1	35.500000	0	0	0	284	0	0	0	0	0
Ppp1ca	35.500000	0	0	0	86	198	0	0	0	0
Mfsd8	35.500000	0	0	0	0	284	0	0	0	0
Lztr1	35.500000	0	0	0	0	284	0	0	0	0
Glul	35.500000	0	0	0	0	284	0	0	0	0
Rab5b	35.375000	0	0	0	0	283	0	0	0	0
Prmt7	35.375000	0	0	0	0	283	0	0	0	0
Nfkbiz	35.375000	0	0	0	0	283	0	0	0	0
N4bp2l2	35.375000	0	0	0	84	199	0	0	0	0
Jtb	35.375000	0	0	0	0	283	0	0	0	0
Hbp1	35.375000	0	0	0	0	283	0	0	0	0
Arf2	35.375000	0	0	0	0	283	0	0	0	0
Ankrd28	35.375000	0	0	0	0	283	0	0	0	0
Slc25a17	35.250000	0	0	0	111	171	0	0	0	0
Il23a	35.250000	0	0	0	0	282	0	0	0	0
Faap20	35.250000	0	0	0	0	282	0	0	0	0
Elk4	35.250000	0	0	0	0	282	0	0	0	0
Eif3b	35.250000	0	0	0	0	282	0	0	0	0
Dhrs4	35.250000	0	0	0	0	282	0	0	0	0
Atxn10	35.250000	0	0	0	0	282	0	0	0	0
0610010F05Rik	35.250000	0	0	0	0	282	0	0	0	0
Ube2s	35.125000	0	0	0	0	281	0	0	0	0
Tyw3	35.125000	0	0	0	0	281	0	0	0	0
Tbcb	35.125000	0	0	0	0	281	0	0	0	0
Specc1l	35.125000	0	0	0	0	281	0	0	0	0
Por	35.125000	0	0	0	0	281	0	0	0	0
Polr2i	35.125000	0	0	0	0	281	0	0	0	0
Ovol3	35.125000	0	0	0	0	281	0	0	0	0
Fbxw2	35.125000	0	0	0	0	281	0	0	0	0
Cse1l	35.125000	0	0	0	0	281	0	0	0	0
Cryz	35.125000	0	0	0	0	281	0	0	0	0
Ccdc90b	35.125000	0	0	0	0	281	0	0	0	0
Zfp426	35.000000	0	0	0	0	280	0	0	0	0
Slx4ip	35.000000	0	0	0	0	280	0	0	0	0
Rbm41	35.000000	0	0	0	0	280	0	0	0	0
Rab3il1	35.000000	0	0	0	0	280	0	0	0	0
Ppp6r2	35.000000	0	0	0	0	280	0	0	0	0
Papola	35.000000	0	0	0	105	175	0	0	0	0
Mkks	35.000000	0	0	0	0	280	0	0	0	0
Limk2	35.000000	0	0	0	161	119	0	0	0	0
Lbh	35.000000	0	0	0	0	280	0	0	0	0
Kcnn2	35.000000	0	0	0	0	280	0	0	0	0
Copb1	35.000000	0	0	0	149	131	0	0	0	0
Actr8	35.000000	0	0	0	0	280	0	0	0	0
Ubr3	34.875000	0	0	0	128	151	0	0	0	0
Tut1	34.875000	0	0	0	0	279	0	0	0	0
Rnf14	34.875000	0	0	0	83	196	0	0	0	0
Pink1	34.875000	0	0	0	0	279	0	0	0	0
Nudt9	34.875000	0	0	0	0	279	0	0	0	0
Kctd17	34.875000	0	0	0	0	279	0	0	0	0
Itpa	34.875000	0	0	0	0	279	0	0	0	0
Ier5l	34.875000	0	0	0	0	279	0	0	0	0
Higd1a	34.875000	0	0	0	0	279	0	0	0	0
Greb1	34.875000	0	0	0	0	279	0	0	0	0
Enc1	34.875000	0	0	0	0	279	0	0	0	0
Ddrgk1	34.875000	0	0	0	0	279	0	0	0	0
Zfp14	34.750000	0	0	0	0	278	0	0	0	0
Vhl	34.750000	0	0	0	0	278	0	0	0	0
Tekt2	34.750000	0	0	0	0	278	0	0	0	0
Spink6	34.750000	0	0	0	278	0	0	0	0	0
Snx6	34.750000	0	0	0	0	278	0	0	0	0
Slc25a24	34.750000	0	0	0	0	278	0	0	0	0
Rtl3	34.750000	0	0	0	0	278	0	0	0	0
Rab40c	34.750000	0	0	0	0	278	0	0	0	0
Pigx	34.750000	0	0	0	0	278	0	0	0	0
Nf1	34.750000	0	0	0	0	278	0	0	0	0
Mthfsl	34.750000	0	0	0	0	278	0	0	0	0
Mrpl48	34.750000	0	0	0	145	133	0	0	0	0
Dcp1b	34.750000	0	0	0	0	278	0	0	0	0
Ctnnal1	34.750000	0	0	0	111	167	0	0	0	0
Cry1	34.750000	0	0	0	0	278	0	0	0	0
Cep19	34.750000	0	0	0	0	278	0	0	0	0
Cep135	34.750000	0	0	0	97	181	0	0	0	0
Adprhl2	34.750000	0	0	0	0	278	0	0	0	0
Slc35e1	34.625000	0	0	0	0	277	0	0	0	0
Scrt2	34.625000	0	0	0	193	84	0	0	0	0
Rps28	34.625000	0	0	0	0	277	0	0	0	0
Rpl39	34.625000	0	0	0	0	277	0	0	0	0
Rgs3	34.625000	0	0	0	0	277	0	0	0	0
Polr3d	34.625000	0	0	0	0	277	0	0	0	0
Nit2	34.625000	0	0	0	0	277	0	0	0	0
Ndufa7	34.625000	0	0	0	0	277	0	0	0	0
Mllt11	34.625000	0	0	0	0	277	0	0	0	0
Echdc3	34.625000	0	0	0	277	0	0	0	0	0
Csnk1d	34.625000	0	0	0	0	277	0	0	0	0
Cdc42se1	34.625000	0	0	0	0	277	0	0	0	0
Atg4d	34.625000	0	0	0	0	277	0	0	0	0
Asb7	34.625000	0	0	0	0	277	0	0	0	0
Anapc1	34.625000	0	0	0	69	208	0	0	0	0
Zhx3	34.500000	0	0	0	0	276	0	0	0	0
Zfp26	34.500000	0	0	0	116	160	0	0	0	0
Ube2q1	34.500000	0	0	0	0	276	0	0	0	0
Smox	34.500000	0	0	0	114	162	0	0	0	0
Rxra	34.500000	0	0	0	157	119	0	0	0	0
Rps14	34.500000	0	0	0	0	276	0	0	0	0
Rae1	34.500000	0	0	0	0	276	0	0	0	0
Cxxc1	34.500000	0	0	0	0	276	0	0	0	0
Chsy1	34.500000	0	0	0	0	276	0	0	0	0
Arf1	34.500000	0	0	0	0	276	0	0	0	0
Strbp	34.375000	0	0	0	129	146	0	0	0	0
Scfd2	34.375000	0	0	0	153	122	0	0	0	0
Rb1	34.375000	0	0	0	0	275	0	0	0	0
Pank4	34.375000	0	0	0	0	275	0	0	0	0
Lyrm7	34.375000	0	0	0	0	275	0	0	0	0
Kif21b	34.375000	0	0	0	0	275	0	0	0	0
Hes5	34.375000	0	0	0	0	275	0	0	0	0
Gmeb2	34.375000	0	0	0	0	275	0	0	0	0
Frmd4b	34.375000	0	0	0	153	122	0	0	0	0
Fip1l1	34.375000	0	0	0	153	122	0	0	0	0
Fhit	34.375000	275	0	0	0	0	0	0	0	0
4833439L19Rik	34.375000	0	0	0	0	275	0	0	0	0
Zfp438	34.250000	0	0	0	0	274	0	0	0	0
Zbtb12	34.250000	124	0	0	0	150	0	0	0	0
Wdfy1	34.250000	0	0	0	0	274	0	0	0	0
Smad4	34.250000	0	0	0	119	155	0	0	0	0
Slc25a51	34.250000	0	0	0	0	274	0	0	0	0
Ncan	34.250000	0	0	0	0	274	0	0	0	0
Nat8l	34.250000	0	0	0	0	274	0	0	0	0
Myo1b	34.250000	0	0	0	120	154	0	0	0	0
Mrpl27	34.250000	0	0	0	0	274	0	0	0	0
Mn1	34.250000	0	0	0	83	191	0	0	0	0
Grcc10	34.250000	0	0	0	0	274	0	0	0	0
Eme1	34.250000	0	0	0	0	274	0	0	0	0
Ehmt2	34.250000	124	0	0	0	150	0	0	0	0
Ddb2	34.250000	0	0	0	0	274	0	0	0	0
Chrm1	34.250000	0	0	0	0	274	0	0	0	0
Adamts7	34.250000	0	0	0	0	274	0	0	0	0
Psma3	34.125000	0	0	0	133	140	0	0	0	0
Prep	34.125000	0	0	0	0	187	86	0	0	0
Ipo8	34.125000	0	0	0	0	273	0	0	0	0
Cdkal1	34.125000	0	0	0	0	273	0	0	0	0
Cct8	34.125000	0	0	0	0	273	0	0	0	0
Acp5	34.125000	0	0	0	273	0	0	0	0	0
Timmdc1	34.000000	0	0	0	0	272	0	0	0	0
Tarbp2	34.000000	0	0	0	141	131	0	0	0	0
Smad2	34.000000	0	0	0	0	272	0	0	0	0
Setd4	34.000000	0	0	0	0	272	0	0	0	0
Rnf34	34.000000	0	0	0	0	272	0	0	0	0
Polr2d	34.000000	0	0	0	0	272	0	0	0	0
Otud5	34.000000	0	0	0	0	272	0	0	0	0
Nop58	34.000000	0	0	0	0	272	0	0	0	0
Degs1	34.000000	0	0	0	129	143	0	0	0	0
Cbr1	34.000000	0	0	0	0	272	0	0	0	0
Cabyr	34.000000	0	0	0	155	117	0	0	0	0
Atp5j2	34.000000	0	0	0	106	166	0	0	0	0
Asap2	34.000000	0	0	0	80	192	0	0	0	0
Ankrd11	34.000000	0	0	0	110	162	0	0	0	0
Agpat4	34.000000	0	0	0	0	272	0	0	0	0
Zfp768	33.875000	0	0	0	72	199	0	0	0	0
Zfp617	33.875000	0	0	0	0	271	0	0	0	0
Zfp148	33.875000	0	0	0	91	180	0	0	0	0
Unc45b	33.875000	0	0	0	0	271	0	0	0	0
Tmem165	33.875000	0	0	0	160	111	0	0	0	0
Tmem135	33.875000	0	0	0	0	271	0	0	0	0
Ogfod2	33.875000	0	0	0	0	271	0	0	0	0
Odf2l	33.875000	0	0	0	0	271	0	0	0	0
Nle1	33.875000	0	0	0	0	271	0	0	0	0
Mapk1	33.875000	0	0	0	0	271	0	0	0	0
Heatr3	33.875000	0	0	0	0	271	0	0	0	0
Dtx4	33.875000	0	0	0	0	271	0	0	0	0
Dhx34	33.875000	0	0	0	271	0	0	0	0	0
Cops7a	33.875000	0	0	0	0	271	0	0	0	0
Bloc1s6	33.875000	0	0	0	0	271	0	0	0	0
Atrn	33.875000	0	0	0	134	137	0	0	0	0
Arl6ip4	33.875000	0	0	0	0	271	0	0	0	0
Ypel3	33.750000	0	0	0	0	270	0	0	0	0
Wdr91	33.750000	0	0	0	0	270	0	0	0	0
Tbx6	33.750000	0	0	0	0	270	0	0	0	0
Plppr3	33.750000	0	0	0	0	270	0	0	0	0
Nol8	33.750000	0	0	0	0	270	0	0	0	0
Mxi1	33.750000	0	0	0	0	270	0	0	0	0
Med11	33.750000	0	0	0	80	190	0	0	0	0
Map3k9	33.750000	0	0	0	270	0	0	0	0	0
Kif1b	33.750000	0	0	0	0	270	0	0	0	0
Hnrnpa0	33.750000	0	0	0	0	270	0	0	0	0
Fbxl18	33.750000	0	0	0	0	270	0	0	0	0
Cenpp	33.750000	0	0	0	0	270	0	0	0	0
Zbtb49	33.625000	0	0	0	0	269	0	0	0	0
Txndc16	33.625000	0	0	0	0	269	0	0	0	0
Ttll4	33.625000	0	0	0	0	269	0	0	0	0
Tpgs1	33.625000	0	0	0	0	269	0	0	0	0
Slc38a10	33.625000	0	0	0	98	171	0	0	0	0
Slc25a36	33.625000	0	0	0	87	182	0	0	0	0
Rpl37a	33.625000	0	0	0	0	269	0	0	0	0
