Target_genes	Foxa3|Average	SRX2379276|Hepatocytes	SRX1564901|Liver	SRX1564902|Liver	SRX2379237|MEF	SRX2379247|MEF	SRX2379266|MEF	SRX2379270|MEF	SRX4405399|MEF	SRX4405401|MEF	SRX4405405|MEF	SRX4405406|MEF	SRX7540355|MEF	SRX7540363|MEF	SRX7569431|MEF	SRX8130872|Tail_fibroblast	SRX8130873|Tail_fibroblast	SRX8130874|Tail_fibroblast	SRX8130875|Tail_fibroblast	SRX8130876|Tail_fibroblast	STRING
Zbtb17	32.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	215	179	0	0
Tubb5	32.210526	0	0	0	236	181	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0
Tet2	32.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	201	111	184	0
Mdc1	32.210526	0	0	0	236	181	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0
Hmgxb3	32.210526	0	0	0	116	175	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0
Etfa	32.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	424	0	0	0
Slc25a13	32.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	195	0	0	0
Rap1gds1	32.157895	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0
P4ha1	32.157895	0	0	0	256	231	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0
Kif13b	32.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	439	0	0	0
Xrcc5	32.105263	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	365	0	0	99	0
Wdr62	32.105263	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	219	0	223	0	0
Lrp10	32.105263	0	140	177	0	142	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0
Inip	32.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	198	0	0	0
Htra3	32.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	0	0	0
H4c1	32.105263	0	0	0	267	0	0	0	0	0	119	0	0	105	119	0	0	0	0	0	0
Fam13c	32.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	402	0	0	0
Wdr82	32.052632	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	506	0	0	0
Ric1	32.052632	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	213	239	0	0	0
Insig2	32.052632	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	165	188	117	0	0
A1cf	32.052632	0	104	214	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0
4930430F08Rik	32.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	381	93	0	0
1700017N19Rik	32.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	381	93	0	0
Ythdc2	32.000000	0	0	0	0	97	0	0	100	228	183	0	0	0	0	0	0	0	0	0	0
Riok3	32.000000	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	143	0	212	86	0
Mmadhc	32.000000	0	0	0	134	197	0	0	0	0	0	0	0	0	0	0	172	0	105	0	0
Hes1	32.000000	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	103	0	177	159	0
Ehd1	32.000000	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	135	308	0	0	0
Alkbh8	32.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	159	120	0
Zc3h4	31.947368	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	226	121	0	0	0
Tnks2	31.947368	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	175	177	0	0	0
Nkx2-9	31.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	325	0	0	0
Krtdap	31.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	267	0	0
Galnt11	31.947368	0	0	0	122	172	0	0	0	0	0	0	0	0	0	0	191	0	122	0	0
Dtx4	31.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	210	151	107	0
Ccdc3	31.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0
Cav1	31.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0
Zmat3	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	407	0	0	0
S1pr2	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	473	0	0	0
Prpf38a	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	393	0	138	0
Orc1	31.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	393	0	138	0
Mob1b	31.894737	0	0	0	244	217	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0
Gapdh	31.894737	0	0	0	273	173	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0
Cln8	31.894737	0	188	266	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0
Nek4	31.842105	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	350	0	103	0	0
Ifi204	31.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0	76	0	0
Rsph3b	31.789474	0	0	0	124	220	0	0	0	0	0	0	0	0	0	0	163	0	97	0	0
Rps3	31.789474	0	0	0	283	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Greb1l	31.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	459	0	0	0
Evl	31.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	212	166	0	0
Cdkn1a	31.789474	0	0	0	186	0	0	0	0	0	0	0	0	0	139	0	0	279	0	0	0
Arid1b	31.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	184	145	0	0
Vmn1r40	31.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	286	0	0	0
Lmna	31.736842	0	0	0	110	134	0	0	0	0	0	0	0	0	0	0	197	162	0	0	0
Ccdc126	31.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	244	157	0
Gstm1	31.684211	0	0	0	191	174	0	0	0	0	0	0	0	0	0	0	127	110	0	0	0
Cldnd2	31.684211	0	0	0	192	205	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0
Zscan26	31.631579	0	0	0	0	0	0	0	0	225	151	0	0	0	0	0	146	0	0	79	0
Tax1bp1	31.631579	0	0	0	179	186	0	0	0	0	0	0	0	0	0	0	151	0	85	0	0
Pdzd9	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	294	0	0	0
Olfr1423	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	121	0	0	0
Kmt2d	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	131	172	140	0
Il20rb	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	328	107	0	0
H4c2	31.631579	0	0	0	267	0	0	0	0	0	110	0	0	105	119	0	0	0	0	0	0
H3c2	31.631579	0	0	0	267	0	0	0	0	0	110	0	0	105	119	0	0	0	0	0	0
Ccl3	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	291	0	0	0
Brpf1	31.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	112	123	198	0
Zhx3	31.578947	0	0	266	126	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0
Ubr2	31.578947	0	0	0	115	117	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0
Mtg1	31.578947	0	0	0	159	147	0	0	0	0	0	0	0	0	0	0	134	0	160	0	0
Loxl2	31.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	254	0	0
Iqgap1	31.578947	0	0	0	191	197	0	0	0	0	0	0	0	0	0	0	115	0	0	97	0
4930503B20Rik	31.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	433	0	0	0
Shroom2	31.526316	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0
Prune1	31.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	275	160	0	0
Mindy1	31.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	275	160	0	0
Isoc2b	31.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	0	0	0
Cnbp	31.526316	0	0	0	220	119	0	0	0	0	0	0	0	0	0	0	135	0	0	125	0
Pard3	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	249	0	0	0
E4f1	31.473684	0	0	0	388	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ces1g	31.473684	0	181	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cenpu	31.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	218	230	0
Abhd10	31.473684	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	188	311	0	0	0
Taf1d	31.421053	0	0	0	262	219	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0
Rab5b	31.421053	0	0	0	178	167	0	0	0	0	0	0	0	0	0	0	162	0	0	90	0
Ngef	31.421053	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	209	0
Nadk	31.421053	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	276	176	0	0	0
Fam13b	31.421053	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	135	337	0	0	0
Eif2s1	31.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	240	0	0	0
Calcoco1	31.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	314	0	0	0
Atp6v1d	31.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	240	0	0	0
Ahctf1	31.421053	0	0	0	249	218	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0
4931406C07Rik	31.421053	0	0	0	262	219	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0
Ythdf1	31.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	179	0	0	0
Scrib	31.368421	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	284	0	129	101	0
Slc25a3	31.315789	0	0	0	225	180	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0
Ppp1cb	31.315789	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	335	124	0	0	0
Osmr	31.315789	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	237	184	0	0	0
Kntc1	31.315789	0	0	0	171	262	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0
Col28a1	31.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	348	0	0	0
Scly	31.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	224	0	0	0
Cfap69	31.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594	0	0	0
Ambp	31.263158	0	0	0	0	0	0	0	0	133	112	0	0	0	0	0	0	0	170	179	0
Acss3	31.263158	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sec31a	31.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	376	0	0	0
Asah1	31.210526	0	0	0	133	173	0	0	0	0	0	0	0	0	0	0	173	114	0	0	0
Trim40	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	262	139	0
Trim31	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	262	139	0
Tma7	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	345	132	0	0
Neil1	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	176	142	0	0
Ccdc51	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	345	132	0	0
Atrip	31.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	345	132	0	0
Atg10	31.157895	0	0	0	276	171	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0
Zfp78	31.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	365	0	0	0
Nfe2l2	31.105263	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	97	114	90	150	0
2900026A02Rik	31.105263	0	0	306	0	0	0	0	0	131	0	0	0	0	0	0	0	154	0	0	0
Zc3h10	31.052632	0	0	0	405	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100pbp	31.052632	0	0	0	0	0	0	0	0	0	384	0	0	0	0	0	98	0	108	0	0
Rpl41	31.052632	0	0	0	405	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pln	31.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	479	0	0	0
Mettl25	31.052632	0	0	0	217	105	0	0	0	0	0	0	0	0	0	0	122	0	146	0	0
Ccdc59	31.052632	0	0	0	217	105	0	0	0	0	0	0	0	0	0	0	122	0	146	0	0
Snx9	31.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	255	0	0
Pigw	31.000000	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	434	0	0	0
Myo19	31.000000	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	434	0	0	0
Dhcr7	31.000000	0	0	0	97	155	0	0	0	0	0	0	0	0	0	0	78	259	0	0	0
Ctsb	31.000000	0	0	203	166	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0
Col6a6	31.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	0	0	0
Cd59a	31.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	251	0	86	0
Xirp1	30.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	124	0	0
Palld	30.947368	0	0	0	138	192	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0
Ifit3b	30.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	233	0	0	0
Fam162a	30.947368	0	0	0	218	187	0	0	0	0	0	0	0	0	0	0	114	69	0	0	0
Sypl2	30.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	587	0	0	0
Rnf181	30.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	202	0	0	0
Rhbdd1	30.894737	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0
Pmaip1	30.894737	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0
Cisd2	30.894737	0	0	0	224	94	0	0	0	0	0	0	0	0	0	0	177	92	0	0	0
Slc45a4	30.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	172	135	0
Ppfibp1	30.842105	0	0	0	83	194	0	0	0	0	0	0	0	0	0	0	143	0	166	0	0
Pafah1b1	30.842105	0	0	0	223	182	0	0	0	0	0	0	0	0	0	0	99	82	0	0	0
Col1a1	30.842105	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Upp1	30.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	443	0	0	0
Son	30.789474	0	0	0	334	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc31a2	30.789474	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	417	0	0	0
Sgsm3	30.789474	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	269	207	0	0	0
Rsph3a	30.789474	0	0	0	184	239	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0
Dguok	30.789474	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	475	0	0	0	0
Tent5b	30.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0	132	0	0
Numbl	30.736842	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	212	221	0	0	0
H60b	30.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	209	131	0	0
Gpr179	30.736842	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	399	0	0	0	0
Gm6570	30.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	345	0	0	0
Asic5	30.736842	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0
Vps13d	30.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	188	195	0
Uhrf2	30.684211	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	145	0	95	182	0
Ube3c	30.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	477	0	0	0
Itga10	30.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	176	0	0	0
Hspa4l	30.684211	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	459	0	0	0	0
Zfp292	30.631579	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	95	165	166	0	0
Mdfic	30.631579	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	273	183	0	0	0
Foxq1	30.631579	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	96	0
Cutc	30.631579	0	0	0	159	185	0	0	0	0	0	0	0	0	0	0	87	151	0	0	0
Cox15	30.631579	0	0	0	159	185	0	0	0	0	0	0	0	0	0	0	87	151	0	0	0
Tmem213	30.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	317	134	0	0
Rxfp3	30.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	207	0	0	0
Guca2b	30.578947	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	192	191	0	0	0
Asah2	30.578947	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	258	169	0	0
4930453N24Rik	30.578947	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	208	269	0	0	0
Ylpm1	30.526316	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0
Rexo4	30.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	191	170	0
Parp8	30.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	266	0	0	0
F2	30.526316	0	0	0	0	0	0	0	0	204	194	182	0	0	0	0	0	0	0	0	0
Elovl5	30.526316	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	226	156	0	0
Sgip1	30.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	418	0	0	0
Olfr1124	30.473684	0	0	0	0	0	0	0	0	225	169	185	0	0	0	0	0	0	0	0	0
Micu3	30.473684	0	0	0	200	142	0	0	0	0	0	0	0	0	0	0	116	121	0	0	0
Cdc20b	30.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	247	0	0	0
Capn6	30.473684	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	166	229	0	0	0
Rcc1	30.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	147	0	0
Med13l	30.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	136	123	183	0
Ube2k	30.368421	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	387	0	0	0
Tbrg1	30.368421	0	0	0	114	169	0	0	0	0	0	0	0	0	0	0	152	142	0	0	0
Rmi1	30.368421	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0
Pla1a	30.368421	0	0	0	0	0	0	0	180	134	0	0	0	0	0	0	114	149	0	0	0
Naif1	30.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	239	116	0	0
Mios	30.368421	0	0	0	131	151	0	0	0	0	0	0	0	0	0	0	126	0	84	85	0
Hnrnpk	30.368421	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0
Glt28d2	30.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	0
Fam133b	30.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	159	0	99	0
Csta1	30.368421	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	410	0	0	0	0
Cep170	30.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	427	0	0	0
Arfgef2	30.368421	0	0	0	0	204	0	0	0	83	114	0	0	0	0	0	176	0	0	0	0
Rab8b	30.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	334	0	0	0
Plxnb1	30.315789	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0
Pfdn1	30.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	0	0	0
Nras	30.315789	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	162	289	0	0	0
Yy1	30.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	338	0	0	0
Slc30a6	30.263158	0	0	0	188	211	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0
Itgb5	30.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	88	192	145	0
Rhag	30.210526	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	105	232	149	0	0
Mettl7b	30.210526	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	189	188	0	0	0
Man2a1	30.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	189	138	0	0
Atxn7l3b	30.210526	0	0	0	135	183	0	0	0	0	0	0	0	0	0	0	154	0	0	102	0
Atad2	30.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	171	195	118	0
Rb1cc1	30.157895	0	0	0	103	224	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0
Nadk2	30.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	330	122	0	0
Mfap3l	30.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573	0	0	0
Gm13285	30.157895	0	0	0	230	139	0	0	0	0	0	0	0	0	0	0	87	0	117	0	0
Gab2	30.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	295	133	0	0
Fbxo3	30.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	464	0	0	0
Dus4l	30.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	256	0	0	0
Dcp1b	30.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	392	0	0	0
Cog5	30.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	256	0	0	0
4931422A03Rik	30.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	464	0	0	0
Vasn	30.105263	0	0	0	304	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tet3	30.105263	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	147	107	139	0	0
Prkce	30.105263	0	0	0	90	178	0	0	0	0	0	0	0	0	0	0	164	140	0	0	0
Heyl	30.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	293	144	0
Gngt1	30.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	392	0	0	0
Dhx16	30.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	200	111	0	0
Clasp1	30.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	163	188	0
Ube2d3	30.052632	0	0	0	188	163	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0
Rasl11b	30.052632	0	0	0	0	167	0	0	0	0	0	0	0	103	0	0	0	301	0	0	0
Lrrfip2	30.052632	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	231	0	242	0	0
Klhl41	30.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	234	0	0	0
Gstp1	30.052632	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	169	130	124	0	0
Cep70	30.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	252	0	0	0
Pkia	30.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	437	0	0	0
Ldlrad1	30.000000	0	0	0	0	0	0	0	0	158	182	0	0	0	0	0	0	132	98	0	0
Hsdl2	30.000000	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	423	0	0	0
Dspp	30.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	455	0	0	0
Chic1	30.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	474	0	0	0
Zc3hc1	29.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	150	109	0	0
Uqcrq	29.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	184	223	0
Tapt1	29.947368	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	0
Pnisr	29.947368	0	0	0	189	119	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0
Iqub	29.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	0	0	0
Gnai2	29.947368	0	0	0	286	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdf9	29.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	184	223	0
Eps8	29.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	342	0	0	0
Zfp319	29.894737	0	0	0	157	223	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0
Usb1	29.894737	0	0	0	157	223	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0
Tbc1d13	29.894737	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	254	0	141	0	0
Sox4	29.894737	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	155	0	0	140	0
Olfr1565	29.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	224	177	0	0
Olfr1506	29.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	224	177	0	0
Id1	29.894737	0	0	0	126	220	0	0	0	0	0	0	0	109	113	0	0	0	0	0	0
Hnrnpm	29.894737	0	0	0	103	266	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0
Capn9	29.894737	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	148	145	0
Zfp541	29.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	366	0	0	0
Ywhaq	29.842105	0	0	0	218	186	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0
Usp42	29.842105	0	0	0	152	212	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0
Tmem106b	29.842105	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	206	241	0	0	0
Tial1	29.842105	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	93	314	0	0	0
Runx1t1	29.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	212	0	0	0
Gpatch3	29.842105	0	0	389	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dmxl1	29.842105	0	0	0	163	149	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0
Samm50	29.789474	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	158	0	155	98	0
Rere	29.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566	0	0	0
Hecw1	29.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	460	0	0	0
Akap10	29.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	452	0	0	0
Vit	29.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	181	116	0	0
Ttc23	29.736842	0	0	0	207	199	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0
Tmprss11e	29.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	162	172	85	0
Slx4ip	29.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	360	0	0	0
Pih1d1	29.736842	0	0	0	333	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam8a1	29.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	449	0	0	0
