Target_genes	Mnt|Average	SRX9514748|Lung_cancer	SRX9514749|Lung_cancer	SRX7849445|Lung_tumors	SRX7849446|Lung_tumors	SRX7849455|Lung_tumors	SRX7849456|Lung_tumors	STRING
Stoml2	55.000000	0	242	0	88	0	0	0
Ppp1r13l	55.000000	0	330	0	0	0	0	0
Morf4l2	55.000000	0	330	0	0	0	0	0
Galk1	55.000000	0	330	0	0	0	0	0
Cd3eap	55.000000	0	330	0	0	0	0	0
1700029J07Rik	55.000000	0	330	0	0	0	0	0
Itpr1	54.833333	0	329	0	0	0	0	0
Ippk	54.833333	0	329	0	0	0	0	0
H2bc12	54.833333	0	329	0	0	0	0	0
H2ac12	54.833333	0	329	0	0	0	0	0
Dnajb9	54.833333	0	121	0	208	0	0	0
Bnip1	54.833333	0	329	0	0	0	0	0
2310039H08Rik	54.833333	0	329	0	0	0	0	0
Usp1	54.666667	0	141	0	187	0	0	0
Ung	54.666667	0	97	0	231	0	0	0
Pgrmc2	54.666667	0	328	0	0	0	0	0
Nars	54.666667	0	328	0	0	0	0	0
Lmbr1	54.666667	0	328	0	0	0	0	0
Dgat2	54.666667	0	328	0	0	0	0	0
Alkbh2	54.666667	0	97	0	231	0	0	0
Wdr34	54.500000	0	327	0	0	0	0	0
Tecpr2	54.500000	0	224	0	103	0	0	0
Rmi1	54.500000	0	327	0	0	0	0	0
Pak6	54.500000	0	327	0	0	0	0	0
Kctd5	54.500000	0	327	0	0	0	0	0
Hnrnpk	54.500000	0	327	0	0	0	0	0
H13	54.500000	0	327	0	0	0	0	0
Ddx27	54.500000	0	327	0	0	0	0	0
Cinp	54.500000	0	224	0	103	0	0	0
Pa2g4	54.333333	0	326	0	0	0	0	0
Usp10	54.166667	0	325	0	0	0	0	0
Tymp	54.166667	0	325	0	0	0	0	0
Txndc5	54.166667	0	325	0	0	0	0	0
Spred1	54.166667	0	325	0	0	0	0	0
Snx11	54.166667	0	199	0	126	0	0	0
Snw1	54.166667	0	224	0	101	0	0	0
Sco2	54.166667	0	325	0	0	0	0	0
Rapgef3	54.166667	0	325	0	0	0	0	0
Nup50	54.166667	0	325	0	0	0	0	0
Mmaa	54.166667	0	325	0	0	0	0	0
Ly6e	54.166667	0	325	0	0	0	0	0
Limd1	54.166667	0	325	0	0	0	0	0
Frg2f1	54.166667	0	325	0	0	0	0	0
Foxj3	54.166667	0	325	0	0	0	0	0
Xpo7	54.000000	0	324	0	0	0	0	0
Rasal2	54.000000	0	324	0	0	0	0	0
Nup62	54.000000	0	324	0	0	0	0	0
Il4i1b	54.000000	0	324	0	0	0	0	0
Hilpda	54.000000	0	324	0	0	0	0	0
Atf5	54.000000	0	324	0	0	0	0	0
2310011J03Rik	54.000000	0	324	0	0	0	0	0
Rps14	53.833333	0	323	0	0	0	0	0
Gatb	53.833333	0	323	0	0	0	0	0
Cnot4	53.833333	0	323	0	0	0	0	0
Bok	53.833333	0	323	0	0	0	0	0
Abhd11	53.833333	0	323	0	0	0	0	0
Tmem167b	53.666667	0	146	0	176	0	0	0
Slc4a2	53.666667	0	322	0	0	0	0	0
Pmf1	53.666667	0	322	0	0	0	0	0
Pdp2	53.666667	0	322	0	0	0	0	0
Pcx	53.666667	0	168	0	154	0	0	0
Osbpl9	53.666667	0	197	0	125	0	0	0
Nfxl1	53.666667	0	203	0	119	0	0	0
Hook2	53.666667	0	322	0	0	0	0	0
Ddx46	53.666667	0	322	0	0	0	0	0
Cdk5	53.666667	0	322	0	0	0	0	0
Atl3	53.666667	0	322	0	0	0	0	0
Tmem144	53.500000	0	321	0	0	0	0	0
Snx10	53.500000	0	321	0	0	0	0	0
Scx	53.500000	0	321	0	0	0	0	0
Pwp1	53.500000	0	321	0	0	0	0	0
Pak1ip1	53.333333	0	160	0	160	0	0	0
Cdk8	53.333333	0	320	0	0	0	0	0
Zfp518a	53.166667	0	319	0	0	0	0	0
Snrpb	53.166667	0	319	0	0	0	0	0
Rtn4	53.166667	0	319	0	0	0	0	0
Rpl14	53.166667	0	319	0	0	0	0	0
Ppp1r37	53.166667	0	319	0	0	0	0	0
Ndufaf7	53.166667	0	319	0	0	0	0	0
Ezh2	53.166667	0	319	0	0	0	0	0
Cebpz	53.166667	0	319	0	0	0	0	0
Cdc37	53.166667	0	319	0	0	0	0	0
Calm3	53.166667	0	319	0	0	0	0	0
Zfp383	53.000000	0	155	0	163	0	0	0
Zfp27	53.000000	0	155	0	163	0	0	0
Matr3	53.000000	0	318	0	0	0	0	0
Ing5	53.000000	0	318	0	0	0	0	0
Dtymk	53.000000	0	318	0	0	0	0	0
Cwf19l2	52.833333	0	317	0	0	0	0	0
BC029722	52.833333	0	317	0	0	0	0	0
Tmem79	52.666667	0	316	0	0	0	0	0
Smg5	52.666667	0	316	0	0	0	0	0
Rnaseh2b	52.666667	0	158	0	158	0	0	0
Larp4	52.666667	0	316	0	0	0	0	0
Imp3	52.666667	0	220	0	96	0	0	0
Fbxw8	52.666667	0	316	0	0	0	0	0
Bid	52.666667	0	316	0	0	0	0	0
Angptl6	52.666667	0	316	0	0	0	0	0
Nudt1	52.500000	0	315	0	0	0	0	0
Mrm2	52.500000	0	315	0	0	0	0	0
Kti12	52.500000	0	315	0	0	0	0	0
Eif6	52.500000	0	315	0	0	0	0	0
Dctpp1	52.500000	0	315	0	0	0	0	0
Rps15	52.333333	0	314	0	0	0	0	0
Rbm34	52.333333	0	314	0	0	0	0	0
Myo7a	52.333333	0	314	0	0	0	0	0
Mtrex	52.333333	0	182	0	132	0	0	0
Lgals1	52.333333	0	314	0	0	0	0	0
Ifrd1	52.333333	0	314	0	0	0	0	0
Dhx29	52.333333	0	182	0	132	0	0	0
Apc2	52.333333	0	314	0	0	0	0	0
Zfp428	52.166667	0	313	0	0	0	0	0
Tsr2	52.166667	0	313	0	0	0	0	0
Tomm7	52.166667	0	313	0	0	0	0	0
Rps27rt	52.166667	0	313	0	0	0	0	0
Rab13	52.166667	0	313	0	0	0	0	0
Ppil1	52.166667	0	313	0	0	0	0	0
Gmps	52.166667	0	313	0	0	0	0	0
BC004004	52.166667	0	313	0	0	0	0	0
Trmt10c	52.000000	0	312	0	0	0	0	0
Spty2d1	52.000000	0	166	0	146	0	0	0
Mtmr6	52.000000	0	312	0	0	0	0	0
Itgb3bp	52.000000	0	231	0	81	0	0	0
Efcab7	52.000000	0	231	0	81	0	0	0
Dnajc27	52.000000	0	312	0	0	0	0	0
Ddx1	52.000000	0	312	0	0	0	0	0
Cldn3	52.000000	0	312	0	0	0	0	0
Arglu1	52.000000	0	312	0	0	0	0	0
5730455P16Rik	52.000000	0	312	0	0	0	0	0
Zfp472	51.833333	0	311	0	0	0	0	0
U2surp	51.833333	0	186	0	125	0	0	0
Srfbp1	51.833333	0	311	0	0	0	0	0
Scamp4	51.833333	0	311	0	0	0	0	0
Pnpo	51.833333	0	311	0	0	0	0	0
Nup93	51.833333	0	311	0	0	0	0	0
Mrm3	51.833333	0	311	0	0	0	0	0
Glod4	51.833333	0	311	0	0	0	0	0
Eif3j2	51.833333	0	311	0	0	0	0	0
Eif3j1	51.833333	0	311	0	0	0	0	0
Cnih3	51.833333	0	311	0	0	0	0	0
Adat3	51.833333	0	311	0	0	0	0	0
Sod1	51.666667	0	310	0	0	0	0	0
Ptrhd1	51.666667	0	310	0	0	0	0	0
Pola2	51.666667	0	170	0	140	0	0	0
Msto1	51.666667	0	310	0	0	0	0	0
H4c8	51.666667	0	310	0	0	0	0	0
H3c8	51.666667	0	310	0	0	0	0	0
H2ac10	51.666667	0	310	0	0	0	0	0
Gtpbp2	51.666667	0	310	0	0	0	0	0
Ddx39a	51.666667	0	310	0	0	0	0	0
Cenpo	51.666667	0	310	0	0	0	0	0
Vps50	51.500000	0	309	0	0	0	0	0
Ubl5	51.500000	0	309	0	0	0	0	0
Suco	51.500000	0	94	0	215	0	0	0
Papola	51.500000	0	309	0	0	0	0	0
Mtx3	51.500000	0	309	0	0	0	0	0
Mrpl9	51.500000	0	125	0	184	0	0	0
Hepacam2	51.500000	0	309	0	0	0	0	0
Fbxl12	51.500000	0	309	0	0	0	0	0
Cox7c	51.500000	0	309	0	0	0	0	0
Cops4	51.500000	0	194	0	115	0	0	0
Bola1	51.500000	0	309	0	0	0	0	0
Aspscr1	51.500000	0	309	0	0	0	0	0
Ube2q1	51.333333	0	308	0	0	0	0	0
Rad23a	51.333333	0	308	0	0	0	0	0
Nupl1	51.333333	0	308	0	0	0	0	0
Ncbp3	51.333333	0	188	0	120	0	0	0
Myg1	51.333333	0	308	0	0	0	0	0
Glul	51.333333	0	308	0	0	0	0	0
Dido1	51.333333	0	308	0	0	0	0	0
Ddx55	51.333333	0	190	0	118	0	0	0
Ddx10	51.333333	0	189	0	119	0	0	0
Commd2	51.333333	0	308	0	0	0	0	0
Ybey	51.166667	0	307	0	0	0	0	0
Sod2	51.166667	0	307	0	0	0	0	0
Mcm3ap	51.166667	0	307	0	0	0	0	0
Ggct	51.166667	0	307	0	0	0	0	0
Fem1a	51.166667	0	307	0	0	0	0	0
Trit1	51.000000	0	306	0	0	0	0	0
Sass6	51.000000	0	306	0	0	0	0	0
Rsbn1	51.000000	0	184	0	122	0	0	0
Prpf38b	51.000000	0	306	0	0	0	0	0
Pgghg	51.000000	0	306	0	0	0	0	0
Niban2	51.000000	0	306	0	0	0	0	0
Mapk1ip1l	51.000000	0	306	0	0	0	0	0
Eif4e	51.000000	0	306	0	0	0	0	0
Zfp738	50.833333	0	129	0	176	0	0	0
Srpr	50.833333	0	305	0	0	0	0	0
Rpl7l1	50.833333	0	305	0	0	0	0	0
Pycr1	50.833333	0	305	0	0	0	0	0
Ppp5c	50.833333	0	305	0	0	0	0	0
Nup107	50.833333	0	305	0	0	0	0	0
Nt5c2	50.833333	0	305	0	0	0	0	0
Noc4l	50.833333	0	305	0	0	0	0	0
Myadml2	50.833333	0	305	0	0	0	0	0
Kdm8	50.833333	0	305	0	0	0	0	0
Hmga1b	50.833333	0	305	0	0	0	0	0
Hmga1	50.833333	0	305	0	0	0	0	0
Foxred1	50.833333	0	305	0	0	0	0	0
Ddx51	50.833333	0	305	0	0	0	0	0
Cdk1	50.833333	0	229	0	76	0	0	0
Atxn2	50.833333	0	305	0	0	0	0	0
Tmub1	50.666667	0	304	0	0	0	0	0
Tk1	50.666667	0	304	0	0	0	0	0
Sh3d19	50.666667	0	304	0	0	0	0	0
Ndufaf1	50.666667	0	174	0	130	0	0	0
H3f3c	50.666667	0	174	0	130	0	0	0
Fastk	50.666667	0	304	0	0	0	0	0
Cdca7l	50.666667	0	304	0	0	0	0	0
Agap3	50.666667	0	304	0	0	0	0	0
Afmid	50.666667	0	304	0	0	0	0	0
Afg1l	50.666667	0	304	0	0	0	0	0
Ipo4	50.500000	0	303	0	0	0	0	0
Fzd7	50.500000	0	303	0	0	0	0	0
Txnip	50.333333	0	135	0	167	0	0	0
Sprtn	50.333333	0	302	0	0	0	0	0
Setdb1	50.333333	0	302	0	0	0	0	0
Prpsap1	50.333333	0	302	0	0	0	0	0
Gon4l	50.333333	0	302	0	0	0	0	0
Exoc8	50.333333	0	302	0	0	0	0	0
Ubap2l	50.166667	0	301	0	0	0	0	0
Slc35e2	50.166667	0	301	0	0	0	0	0
Psmb10	50.166667	0	301	0	0	0	0	0
Ica1	50.166667	0	301	0	0	0	0	0
Ctrl	50.166667	0	301	0	0	0	0	0
4933434E20Rik	50.166667	0	301	0	0	0	0	0
Ubiad1	50.000000	0	300	0	0	0	0	0
Tbc1d2	50.000000	0	300	0	0	0	0	0
Pabpc4	50.000000	0	300	0	0	0	0	0
Nmral1	50.000000	0	300	0	0	0	0	0
Mtor	50.000000	0	300	0	0	0	0	0
Ago3	50.000000	0	300	0	0	0	0	0
Aen	50.000000	0	300	0	0	0	0	0
Znrf2	49.833333	0	299	0	0	0	0	0
Zhx2	49.666667	0	298	0	0	0	0	0
Wdr38	49.666667	0	298	0	0	0	0	0
Rab8a	49.666667	0	298	0	0	0	0	0
Prag1	49.666667	0	298	0	0	0	0	0
Gtf2f2	49.666667	0	298	0	0	0	0	0
Cdk11b	49.666667	0	159	0	139	0	0	0
Rgs2	49.500000	0	297	0	0	0	0	0
Med17	49.500000	0	297	0	0	0	0	0
Kcna7	49.500000	0	297	0	0	0	0	0
Cd63	49.500000	0	297	0	0	0	0	0
B9d1	49.500000	0	297	0	0	0	0	0
Tmc8	49.333333	0	296	0	0	0	0	0
Tmc6	49.333333	0	296	0	0	0	0	0
Ppm1g	49.333333	0	296	0	0	0	0	0
H3c10	49.333333	0	296	0	0	0	0	0
H2bc14	49.333333	0	296	0	0	0	0	0
E2f2	49.333333	0	115	0	181	0	0	0
Tnfaip1	49.166667	0	126	0	169	0	0	0
Sorbs1	49.166667	0	295	0	0	0	0	0
Snrpe	49.166667	0	295	0	0	0	0	0
Slc39a13	49.166667	0	159	0	136	0	0	0
Rps8	49.166667	0	209	0	86	0	0	0
Metap1	49.166667	0	295	0	0	0	0	0
Lars	49.166667	0	295	0	0	0	0	0
Ift20	49.166667	0	126	0	169	0	0	0
Ccdc171	49.166667	0	295	0	0	0	0	0
Ccdc166	49.166667	0	295	0	0	0	0	0
Asb6	49.166667	0	295	0	0	0	0	0
Abcb1b	49.166667	0	295	0	0	0	0	0
Timm23	49.000000	0	294	0	0	0	0	0
Spryd4	49.000000	0	294	0	0	0	0	0
Slc7a1	49.000000	0	294	0	0	0	0	0
Parg	49.000000	0	294	0	0	0	0	0
Hps1	49.000000	0	294	0	0	0	0	0
Ezr	49.000000	0	294	0	0	0	0	0
Dcps	49.000000	0	294	0	0	0	0	0
Cstf3	49.000000	0	294	0	0	0	0	0
Chchd2	49.000000	0	181	0	113	0	0	0
Vars2	48.833333	0	293	0	0	0	0	0
Tubb6	48.833333	0	293	0	0	0	0	0
Smc1a	48.833333	0	293	0	0	0	0	0
Ribc1	48.833333	0	293	0	0	0	0	0
Mars1	48.833333	0	293	0	0	0	0	0
Hnrnpul1	48.833333	0	149	0	144	0	0	0
Ccne2	48.833333	0	125	0	168	0	0	0
Zfp599	48.666667	0	292	0	0	0	0	0
Pcyox1l	48.666667	0	292	0	0	0	0	0
Hgsnat	48.666667	0	292	0	0	0	0	0
Exoc3l	48.666667	0	292	0	0	0	0	0
E2f4	48.666667	0	292	0	0	0	0	0
Tpr	48.500000	0	291	0	0	0	0	0
Slc39a6	48.500000	0	291	0	0	0	0	0
Sfrp4	48.500000	0	291	0	0	0	0	0
Raf1	48.500000	0	151	0	140	0	0	0
Odr4	48.500000	0	291	0	0	0	0	0
Epdr1	48.500000	0	291	0	0	0	0	0
Elp2	48.500000	0	291	0	0	0	0	0
Chst12	48.500000	0	291	0	0	0	0	0
Atp6v0e	48.500000	0	291	0	0	0	0	0
Zfp768	48.333333	0	290	0	0	0	0	0
Socs2	48.333333	0	290	0	0	0	0	0
Fam149b	48.333333	0	290	0	0	0	0	0
Ecd	48.333333	0	290	0	0	0	0	0
Cxxc1	48.333333	0	188	0	102	0	0	0
Xndc1	48.166667	0	289	0	0	0	0	0
U2af2	48.166667	0	289	0	0	0	0	0
Tor1aip2	48.166667	0	121	0	168	0	0	0
Tor1aip1	48.166667	0	121	0	168	0	0	0
Rnf121	48.166667	0	289	0	0	0	0	0
Mfsd4b4	48.166667	0	289	0	0	0	0	0
Itgb1bp1	48.166667	0	289	0	0	0	0	0
Gnl2	48.166667	0	289	0	0	0	0	0
Cpsf3	48.166667	0	289	0	0	0	0	0
Cln3	48.166667	0	143	0	146	0	0	0
Apobr	48.166667	0	143	0	146	0	0	0
Timm22	48.000000	0	288	0	0	0	0	0
Stx4a	48.000000	0	288	0	0	0	0	0
Pnpla6	48.000000	0	288	0	0	0	0	0
Per1	48.000000	0	0	0	288	0	0	0
Atp5g3	48.000000	0	288	0	0	0	0	0
Zfp593	47.833333	0	287	0	0	0	0	0
Vps16	47.833333	0	287	0	0	0	0	0
Rnd3	47.833333	0	287	0	0	0	0	0
Pced1a	47.833333	0	287	0	0	0	0	0
Nmnat1	47.833333	0	287	0	0	0	0	0
Me2	47.833333	0	287	0	0	0	0	0
Maml1	47.833333	0	135	0	152	0	0	0
Lzic	47.833333	0	287	0	0	0	0	0
Gm30191	47.833333	0	287	0	0	0	0	0
Zscan12	47.666667	0	286	0	0	0	0	0
Zfp281	47.666667	0	139	0	147	0	0	0
Tmem120b	47.666667	0	286	0	0	0	0	0
Opa1	47.666667	0	286	0	0	0	0	0
Gls	47.666667	0	286	0	0	0	0	0
Fam3c	47.666667	0	286	0	0	0	0	0
Csde1	47.666667	0	286	0	0	0	0	0
Cipc	47.666667	0	286	0	0	0	0	0
Atf4	47.666667	0	286	0	0	0	0	0
Alkbh3	47.666667	0	286	0	0	0	0	0
Rnaseh1	47.500000	0	285	0	0	0	0	0
Nabp1	47.500000	0	285	0	0	0	0	0
Klhl20	47.500000	0	285	0	0	0	0	0
Fus	47.500000	0	285	0	0	0	0	0
Ppih	47.333333	0	0	0	284	0	0	0
Poli	47.333333	0	284	0	0	0	0	0
Hnrnpd	47.333333	0	284	0	0	0	0	0
Gapdh	47.333333	0	284	0	0	0	0	0
Atf7ip	47.333333	0	284	0	0	0	0	0
Pabpn1	47.166667	0	283	0	0	0	0	0
Mrps18a	47.166667	0	283	0	0	0	0	0
Gpaa1	47.166667	0	156	0	127	0	0	0
Exosc4	47.166667	0	156	0	127	0	0	0
Dguok	47.166667	0	283	0	0	0	0	0
Arhgap35	47.166667	0	283	0	0	0	0	0
Adipor1	47.166667	0	283	0	0	0	0	0
Zfp869	47.000000	0	282	0	0	0	0	0
Zbtb49	47.000000	0	282	0	0	0	0	0
Sptbn1	47.000000	0	282	0	0	0	0	0
Slc5a6	47.000000	0	282	0	0	0	0	0
Rmdn3	47.000000	0	282	0	0	0	0	0
Pole3	47.000000	0	282	0	0	0	0	0
Lyar	47.000000	0	282	0	0	0	0	0
Ilf2	47.000000	0	282	0	0	0	0	0
Hspa14	47.000000	0	282	0	0	0	0	0
Cdnf	47.000000	0	282	0	0	0	0	0
Atraid	47.000000	0	282	0	0	0	0	0
Atg5	47.000000	0	282	0	0	0	0	0
Alad	47.000000	0	282	0	0	0	0	0
4933430I17Rik	47.000000	0	282	0	0	0	0	0
Smu1	46.833333	0	185	0	96	0	0	0
Prkcd	46.833333	0	281	0	0	0	0	0
Ppp1r9b	46.833333	0	281	0	0	0	0	0
Ppdpf	46.833333	0	281	0	0	0	0	0
Nr2c2ap	46.833333	0	281	0	0	0	0	0
Nedd4	46.833333	0	281	0	0	0	0	0
Mtap	46.833333	0	281	0	0	0	0	0
Mrpl3	46.833333	0	281	0	0	0	0	0
Lipt1	46.833333	0	281	0	0	0	0	0
Hnrnpdl	46.833333	0	281	0	0	0	0	0
Enoph1	46.833333	0	281	0	0	0	0	0
Ccdc15	46.833333	0	281	0	0	0	0	0
Atp5g2	46.833333	0	281	0	0	0	0	0
Zfp444	46.666667	0	280	0	0	0	0	0
Zfp346	46.666667	0	280	0	0	0	0	0
Uimc1	46.666667	0	280	0	0	0	0	0
Ppm1a	46.666667	0	280	0	0	0	0	0
Nudt5	46.666667	0	280	0	0	0	0	0
Impdh2	46.666667	0	280	0	0	0	0	0
Ddx49	46.666667	0	280	0	0	0	0	0
Ctif	46.666667	0	280	0	0	0	0	0
Cope	46.666667	0	280	0	0	0	0	0
Cdc123	46.666667	0	280	0	0	0	0	0
Stil	46.500000	0	125	0	154	0	0	0
Rabep1	46.500000	0	279	0	0	0	0	0
Polr2j	46.500000	0	279	0	0	0	0	0
Pnkd	46.500000	0	151	0	128	0	0	0
Nvl	46.500000	0	279	0	0	0	0	0
Mrpl42	46.500000	0	279	0	0	0	0	0
Mettl2	46.500000	0	279	0	0	0	0	0
Kif20a	46.500000	0	279	0	0	0	0	0
Fra10ac1	46.500000	0	279	0	0	0	0	0
Cetn3	46.500000	0	279	0	0	0	0	0
Brd8	46.500000	0	279	0	0	0	0	0
Bcap29	46.500000	0	279	0	0	0	0	0
Apon	46.500000	0	279	0	0	0	0	0
1110002E22Rik	46.500000	0	279	0	0	0	0	0
Zscan18	46.333333	0	278	0	0	0	0	0
Sirt6	46.333333	0	170	0	108	0	0	0
Scap	46.333333	0	278	0	0	0	0	0
Riox2	46.333333	0	278	0	0	0	0	0
Ly96	46.333333	0	278	0	0	0	0	0
Ctf1	46.333333	0	278	0	0	0	0	0
Bcl7c	46.333333	0	278	0	0	0	0	0
Ankrd24	46.333333	0	170	0	108	0	0	0
Zmpste24	46.166667	0	277	0	0	0	0	0
Tob2	46.166667	0	277	0	0	0	0	0
Tmem131l	46.166667	0	277	0	0	0	0	0
Tmem109	46.166667	0	277	0	0	0	0	0
Rfesd	46.166667	0	277	0	0	0	0	0
Prpf40a	46.166667	0	277	0	0	0	0	0
Pgls	46.166667	0	277	0	0	0	0	0
Niban3	46.166667	0	277	0	0	0	0	0
Dcp1a	46.166667	0	128	0	149	0	0	0
Cfdp1	46.166667	0	277	0	0	0	0	0
Arl6ip6	46.166667	0	277	0	0	0	0	0
Ankrd37	46.166667	0	277	0	0	0	0	0
Tbc1d15	46.000000	0	84	0	192	0	0	0
Pusl1	46.000000	0	276	0	0	0	0	0
Orc4	46.000000	0	276	0	0	0	0	0
Ociad1	46.000000	0	276	0	0	0	0	0
Nt5m	46.000000	0	276	0	0	0	0	0
Mbd5	46.000000	0	276	0	0	0	0	0
Fam91a1	46.000000	0	276	0	0	0	0	0
Fam118a	46.000000	0	276	0	0	0	0	0
Esco1	46.000000	0	276	0	0	0	0	0
E2f7	46.000000	0	276	0	0	0	0	0
Cdt1	46.000000	0	276	0	0	0	0	0
Birc5	46.000000	0	188	0	88	0	0	0
Aprt	46.000000	0	276	0	0	0	0	0
Acap3	46.000000	0	276	0	0	0	0	0
Zfp113	45.833333	0	275	0	0	0	0	0
Pcna	45.833333	0	168	0	0	0	107	0
Dnmbp	45.833333	0	275	0	0	0	0	0
3110040N11Rik	45.833333	0	275	0	0	0	0	0
Timm44	45.666667	0	274	0	0	0	0	0
Surf6	45.666667	0	274	0	0	0	0	0
Srek1ip1	45.666667	0	274	0	0	0	0	0
Rab30	45.666667	0	274	0	0	0	0	0
Magohb	45.666667	0	274	0	0	0	0	0
Eno1	45.666667	0	274	0	0	0	0	0
Eif5	45.666667	0	274	0	0	0	0	0
Cwc27	45.666667	0	274	0	0	0	0	0
Btaf1	45.666667	0	274	0	0	0	0	0
Ptbp2	45.500000	0	273	0	0	0	0	0
Pex19	45.500000	0	0	0	273	0	0	0
Rpf1	45.333333	0	272	0	0	0	0	0
Rgs9bp	45.333333	0	272	0	0	0	0	0
Pter	45.333333	0	272	0	0	0	0	0
Fbf1	45.333333	0	272	0	0	0	0	0
Ankrd27	45.333333	0	272	0	0	0	0	0
Xrcc6	45.166667	0	271	0	0	0	0	0
Tarbp2	45.166667	0	271	0	0	0	0	0
Slc38a1	45.166667	0	271	0	0	0	0	0
Slc25a28	45.166667	0	271	0	0	0	0	0
Rom1	45.166667	0	271	0	0	0	0	0
Mrps2	45.166667	0	271	0	0	0	0	0
Mcm3	45.166667	0	271	0	0	0	0	0
Map3k12	45.166667	0	271	0	0	0	0	0
Lrrc47	45.166667	0	271	0	0	0	0	0
H4c11	45.166667	0	144	0	127	0	0	0
Gspt1	45.166667	0	271	0	0	0	0	0
Fads3	45.166667	0	271	0	0	0	0	0
Eml3	45.166667	0	271	0	0	0	0	0
Desi1	45.166667	0	271	0	0	0	0	0
Cc2d1a	45.166667	0	271	0	0	0	0	0
Calr	45.166667	0	271	0	0	0	0	0
C1qbp	45.166667	0	271	0	0	0	0	0
4930432K21Rik	45.166667	0	271	0	0	0	0	0
1700007K13Rik	45.166667	0	271	0	0	0	0	0
Timm17a	45.000000	0	270	0	0	0	0	0
Ptch1	45.000000	0	270	0	0	0	0	0
Parp11	45.000000	0	270	0	0	0	0	0
Nek9	45.000000	0	270	0	0	0	0	0
Ldah	45.000000	0	270	0	0	0	0	0
Ints10	45.000000	0	270	0	0	0	0	0
Slc25a4	44.833333	0	269	0	0	0	0	0
Sgta	44.833333	0	269	0	0	0	0	0
Rrp1b	44.833333	0	269	0	0	0	0	0
Rnf220	44.833333	0	269	0	0	0	0	0
Pigu	44.833333	0	269	0	0	0	0	0
Hsf2bp	44.833333	0	269	0	0	0	0	0
Csnk2a1	44.833333	0	269	0	0	0	0	0
Utp15	44.666667	0	268	0	0	0	0	0
Tgif2	44.666667	0	268	0	0	0	0	0
Snu13	44.666667	0	268	0	0	0	0	0
Pgk1	44.666667	0	268	0	0	0	0	0
Nmd3	44.666667	0	268	0	0	0	0	0
Mrpl16	44.666667	0	268	0	0	0	0	0
Kri1	44.666667	0	268	0	0	0	0	0
H2bc6	44.666667	0	268	0	0	0	0	0
H1f4	44.666667	0	268	0	0	0	0	0
Cdkn2d	44.666667	0	268	0	0	0	0	0
Ankra2	44.666667	0	268	0	0	0	0	0
Tomm6	44.500000	0	267	0	0	0	0	0
Sinhcaf	44.500000	0	267	0	0	0	0	0
Rcor1	44.500000	0	267	0	0	0	0	0
Pus10	44.500000	0	267	0	0	0	0	0
Nr6a1	44.500000	0	267	0	0	0	0	0
Mrps10	44.500000	0	267	0	0	0	0	0
Ltbr	44.500000	0	267	0	0	0	0	0
Wdr83os	44.333333	0	266	0	0	0	0	0
Wdr83	44.333333	0	266	0	0	0	0	0
Sdcbp2	44.333333	0	266	0	0	0	0	0
P3h4	44.333333	0	266	0	0	0	0	0
Mtus1	44.333333	0	266	0	0	0	0	0
Man2b1	44.333333	0	266	0	0	0	0	0
Gabarapl1	44.333333	0	266	0	0	0	0	0
Fkbp10	44.333333	0	266	0	0	0	0	0
Entpd4b	44.333333	0	266	0	0	0	0	0
Entpd4	44.333333	0	266	0	0	0	0	0
Cxcl1	44.333333	0	266	0	0	0	0	0
Ctnnbl1	44.333333	0	266	0	0	0	0	0
Clasp1	44.333333	0	179	0	87	0	0	0
Cherp	44.333333	0	266	0	0	0	0	0
Ccdc194	44.333333	0	266	0	0	0	0	0
Brip1	44.333333	0	183	0	83	0	0	0
1190007I07Rik	44.333333	0	266	0	0	0	0	0
Trim44	44.166667	0	265	0	0	0	0	0
Tmod3	44.166667	0	265	0	0	0	0	0
Sox4	44.166667	0	265	0	0	0	0	0
Rps13	44.166667	0	265	0	0	0	0	0
Pole4	44.166667	0	265	0	0	0	0	0
Drg1	44.166667	0	265	0	0	0	0	0
Tfam	44.000000	0	264	0	0	0	0	0
Smc4	44.000000	0	264	0	0	0	0	0
Rsrc2	44.000000	0	264	0	0	0	0	0
Magi1	44.000000	0	264	0	0	0	0	0
Lrtm2	44.000000	0	264	0	0	0	0	0
Kntc1	44.000000	0	264	0	0	0	0	0
Ift80	44.000000	0	264	0	0	0	0	0
H3c11	44.000000	0	264	0	0	0	0	0
H2bc22	44.000000	0	264	0	0	0	0	0
H2ac22	44.000000	0	264	0	0	0	0	0
Elp1	44.000000	0	264	0	0	0	0	0
Clk4	44.000000	0	264	0	0	0	0	0
Cacna2d4	44.000000	0	264	0	0	0	0	0
BC049762	44.000000	0	264	0	0	0	0	0
B3gntl1	44.000000	0	264	0	0	0	0	0
Abitram	44.000000	0	264	0	0	0	0	0
Tmem203	43.833333	0	263	0	0	0	0	0
Snrpd2	43.833333	0	263	0	0	0	0	0
Qpctl	43.833333	0	263	0	0	0	0	0
Psma3	43.833333	0	263	0	0	0	0	0
Ppa1	43.833333	0	263	0	0	0	0	0
Ndor1	43.833333	0	263	0	0	0	0	0
Eri1	43.833333	0	263	0	0	0	0	0
Dhrs11	43.833333	0	263	0	0	0	0	0
Zfand3	43.666667	0	262	0	0	0	0	0
Trim41	43.666667	0	127	0	135	0	0	0
Pdrg1	43.666667	0	262	0	0	0	0	0
