Target_genes	Meis1|Average	SRX1056342|416B	SRX10065381|Choroid_Plexus	SRX9090997|Embryoid_Bodies	SRX9090998|Embryoid_Bodies	SRX9090999|Embryoid_Bodies	SRX170714|Embryonic_trunk	SRX20233053|Ganglionic_eminence	SRX21310614|Heart	SRX21310615|Heart	SRX21310621|Heart	SRX21310622|Heart	SRX7299483|Heart	SRX7299484|Heart	SRX7299485|Heart	SRX7821061|Hematopoietic_progenitors	SRX1939446|Lymphoid-primed_multipotent_progenitors	SRX310204|Mast_Cells	SRX442881|MEF	SRX442882|MEF	SRX442883|MEF	SRX625488|MEF	SRX625490|MEF	SRX1035389|mESC_derived_haematopoietic_progenitor	SRX475272|MLL-AF9_leukemic_cell	SRX475273|MLL-AF9_leukemic_cell	SRX475274|MLL-AF9_leukemic_cell	SRX475275|MLL-AF9_leukemic_cell	SRX110438|Myeloblastic_cell_lines	SRX110441|Myeloblastic_cell_lines	SRX319739|Myeloid_leukemia	SRX745813|Optic_cups	SRX101594|P19	SRX1824745|P19	SRX1824746|P19	SRX1824747|P19	SRX1824748|P19	SRX1824749|P19	SRX1824750|P19	SRX435084|Superior_Cervical_Ganglion	SRX3730254|Trophoblast_stem_cells	SRX3730281|Trophoblast_stem_cells	SRX10012093|VOT-E36	STRING
Bicd2	61.928571	0	204	0	0	78	0	0	0	0	0	0	383	492	537	0	0	0	0	197	0	0	0	0	0	285	0	255	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0
Pdpk1	61.904762	0	0	211	181	163	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	144	500	176	486	0	0	0	0	327	0	0	0	0	0	85	0	244	0	0	0
Snx7	61.880952	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	1011	157	1062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Runx1	61.880952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	556	555	0	0	359	149	0	0	0	0	276	0	286	0	0	112	0	119	0	0	0	0	0	0	0	187	0	0	0
N4bp1	61.880952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	101	0	0	0	0	154	906	169	805	0	0	0	0	154	0	0	0	0	0	0	0	158	0	0	0
Nr1d2	61.809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	100	837	253	1046	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0
Wdr70	61.785714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	839	274	911	0	0	0	0	151	0	0	0	0	0	0	0	230	0	0	0
Rab1a	61.785714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	612	191	611	0	0	0	0	710	0	0	0	0	0	0	0	288	0	0	0
Gopc	61.785714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	870	354	908	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0
Calm2	61.785714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	222	0	0	0	0	286	725	238	613	0	0	0	0	200	0	0	0	0	0	0	0	151	0	0	0
H2-DMa	61.738095	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	813	182	756	0	0	0	0	143	0	0	0	0	0	0	0	348	0	0	0
Brd2	61.738095	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	813	182	756	0	0	0	0	143	0	0	0	0	0	0	0	348	0	0	0
Lgals9	61.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	1033	292	844	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0
Atp13a2	61.690476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	148	0	0	0	0	0	0	0	279	944	0	932	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0
Abhd8	61.690476	0	219	0	0	0	0	0	0	0	0	0	73	0	134	0	0	0	0	258	0	0	0	0	91	514	191	624	0	0	0	0	206	0	0	0	0	0	0	0	281	0	0	0
Zfp623	61.642857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	129	1085	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0
Usp36	61.642857	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	758	154	685	0	0	0	0	259	0	0	0	0	0	0	0	406	0	0	0
F10	61.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	1225	275	746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akr1c13	61.619048	0	0	315	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	248	563	0	0	0	0	160	0	0	0	0	216	229	0	245	0	0	0
Ptk2b	61.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	193	690	256	959	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0
Paxx	61.571429	0	121	0	242	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	157	605	176	598	0	0	0	0	255	0	0	0	0	0	0	0	300	0	0	0
Tjap1	61.547619	0	0	0	392	318	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	228	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	1351	0	0	0
Zswim1	61.523810	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	112	760	270	667	0	0	0	0	311	0	0	0	0	0	0	0	257	0	0	0
Hand1	61.500000	0	0	0	216	0	0	0	0	0	0	0	0	0	0	150	150	0	0	0	0	0	0	0	0	183	0	130	0	0	165	0	0	0	0	0	0	0	0	0	1589	0	0	0
Tiprl	61.452381	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	890	202	790	0	0	0	0	111	0	0	0	0	0	0	0	282	0	0	0
Tet2	61.428571	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	1103	164	793	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0
Stard9	61.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	196	974	229	818	0	0	127	0	0	0	0	0	0	0	0	0	99	0	0	0
Clec4d	61.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	701	699	0	0	0	0	0	0	0	0	394	176	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arpc1a	61.404762	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	820	138	824	0	0	0	0	198	0	0	0	0	0	0	0	301	0	0	0
Luc7l	61.357143	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	991	196	760	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0
Trip4	61.333333	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	0	0	0	0	105	597	0	258	0	0	0	0	305	0	0	0	0	0	0	0	235	0	0	0
Spg20	61.333333	0	0	0	0	0	0	0	0	0	0	0	160	150	134	0	0	0	0	247	0	0	0	0	0	779	0	737	0	0	0	0	149	0	0	0	0	0	0	0	220	0	0	0
Skap1	61.333333	0	0	0	581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578	152	0	0	0	0	164	309	459	0	0	0	0	215	0	0	0	0	0	118	0	0	0	0	0
Tecr	61.261905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	889	232	843	0	0	0	0	184	0	0	0	0	0	0	0	210	0	0	0
Cdk18	61.261905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	840	358	1073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stn1	61.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	587	332	0	273	0	0	177	0	230	0	0	0	0	353	0	0	0	0	0	0	0	483	0	0	0
Elf2	61.190476	0	147	0	0	0	0	0	0	0	0	0	0	200	111	0	0	0	0	0	0	0	0	0	234	630	154	646	0	0	0	0	189	0	0	0	0	0	0	0	259	0	0	0
Olfr1040	61.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	138	1599	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0
B3gnt7	61.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	166	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	2107	0	0	0
Usp28	61.142857	0	0	0	0	0	0	0	0	0	0	0	247	175	255	0	0	0	0	0	0	0	0	0	0	223	0	95	0	0	0	0	83	0	0	0	0	0	0	0	1490	0	0	0
Rgs18	61.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1110	1110	0	0	0	0	0	0	0	0	184	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ipo4	61.142857	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	129	891	112	822	0	0	0	0	165	0	0	0	0	0	0	0	190	0	0	0
Prmt2	61.119048	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	803	114	886	0	0	0	0	0	0	0	0	0	0	0	0	423	0	0	0
Fmo1	61.119048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	920	451	1059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf144b	61.023810	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	900	275	831	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0
C1d	61.023810	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	112	774	171	807	0	0	0	0	266	0	0	0	0	0	0	0	168	0	0	0
Cux1	61.000000	0	0	0	338	279	0	0	0	0	0	0	0	0	0	0	0	0	0	757	247	147	0	0	0	374	0	266	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0
Kat6b	60.976190	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	711	87	783	0	0	0	0	231	0	0	0	0	0	0	0	319	0	0	0
Gabpb2	60.976190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	1000	163	776	0	0	0	0	155	0	0	0	0	0	0	0	100	0	0	0
Gm14410	60.952381	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	195	692	0	0	0	0	0	0	0	0	0	0	0	0	697	0	0	0
Ncoa4	60.809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	889	208	1309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnpy1	60.809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	731	176	971	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0
Polr2m	60.785714	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	924	0	1043	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0
Mcm9	60.761905	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1068	228	728	0	0	0	0	160	0	0	0	0	0	0	0	206	0	0	0
Zfp697	60.738095	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	460	195	212	0	0	0	0	0	0	0	0	0	0	834	0	0	0	0	0	203	0	236	0	0	0
Psme1	60.738095	0	0	0	0	0	0	0	141	0	0	0	469	625	817	0	0	0	0	0	0	0	0	0	0	291	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fitm1	60.738095	0	0	0	0	0	0	0	141	0	0	0	469	625	817	0	0	0	0	0	0	0	0	0	0	291	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp566	60.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	658	282	0	186	0	0	432	0	480	0	0	0	0	188	0	0	0	0	0	0	0	198	0	0	0
Gm15517	60.666667	0	0	106	0	159	0	0	0	0	0	0	0	0	0	1059	1066	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bean1	60.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	866	375	1083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg16l2	60.666667	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	400	0	545	0	0	0	0	0	0	0	0	0	0	0	0	1118	0	0	0
Atp6v1e1	60.642857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	859	230	666	0	0	0	0	121	0	0	0	0	0	0	0	525	0	0	0
Sccpdh	60.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	160	862	243	938	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0
Dock9	60.619048	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	776	169	885	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0
Sbk3	60.547619	0	0	634	515	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	0	0	0	0	0	0	0	0	0	0	0
Sbk2	60.547619	0	0	634	515	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	0	0	0	0	0	0	0	0	0	0	0
Wnk1	60.500000	0	0	175	310	343	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	158	479	161	545	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0
Slc40a1	60.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	600	0	501	0	0	0	0	0	0	0	0	0	0	0	0	1272	0	0	0
Dnaja3	60.500000	0	131	139	214	408	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	405	135	525	0	0	0	0	257	0	0	0	0	0	0	0	192	0	0	0
Coro7	60.500000	0	131	139	214	408	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	405	135	525	0	0	0	0	257	0	0	0	0	0	0	0	192	0	0	0
Adpgk	60.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	1027	178	899	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0
Tnfrsf19	60.476190	0	337	0	0	162	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	135	138	321	0	0	0	0	515	0	0	0	0	165	165	0	403	0	0	0
Sf3a2	60.476190	0	0	0	111	133	0	0	0	0	0	0	0	0	0	101	101	0	0	102	0	0	0	0	153	866	111	426	0	0	172	0	0	0	0	0	0	0	0	0	264	0	0	0
Scand1	60.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	1218	222	971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhj1	60.476190	0	0	0	111	133	0	0	0	0	0	0	0	0	0	101	101	0	0	102	0	0	0	0	153	866	111	426	0	0	172	0	0	0	0	0	0	0	0	0	264	0	0	0
Lilr4b	60.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	262	769	309	971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnbd2	60.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	1218	222	971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sfxn1	60.452381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	1185	114	882	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0
Pop7	60.428571	0	115	0	0	0	0	0	0	0	0	0	282	279	228	0	0	0	0	174	0	0	0	0	0	603	0	504	0	0	0	0	188	0	0	0	0	0	0	0	165	0	0	0
Sqstm1	60.404762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	352	725	264	680	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0
Sema6b	60.404762	0	0	194	763	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	223	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0
Ptrh2	60.380952	0	0	356	219	289	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	456	0	446	0	0	0	0	127	0	0	0	0	0	150	0	144	0	0	0
Nap1l4	60.380952	0	0	0	246	147	0	0	0	0	0	0	0	0	0	0	0	0	0	831	0	0	0	0	127	407	102	504	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0
Tnfsf15	60.357143	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	1029	351	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	0
Cldn14	60.309524	0	0	0	161	0	0	0	0	0	0	0	0	0	0	748	747	0	0	0	0	0	0	0	0	325	0	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr155	60.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	247	938	281	691	0	0	0	0	118	0	0	0	0	0	0	0	131	0	0	0
Alpl	60.285714	0	0	0	0	0	0	0	108	0	83	0	489	452	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	0	0	0	0	0	0	0	357	0	0	0
Anxa9	60.261905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	1037	163	538	0	0	144	0	0	0	0	0	0	0	0	0	347	0	0	0
Tnfaip8l2	60.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	1051	153	1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pygb	60.119048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	247	900	0	0	0	0	0	0	0	0	0	0	0	0	464	0	0	0
Mrps7	60.119048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	786	174	989	0	0	0	0	183	0	0	0	0	0	0	0	208	0	0	0
Gga3	60.119048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	786	174	989	0	0	0	0	183	0	0	0	0	0	0	0	208	0	0	0
Vamp2	60.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	406	133	576	0	0	0	0	218	0	0	0	0	0	0	0	1012	0	0	0
Inmt	60.047619	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	588	333	488	0	0	0	0	168	0	0	0	0	143	113	0	294	0	0	0
Fmnl1	60.047619	0	0	106	161	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	353	0	427	0	0	0	0	525	0	0	0	0	152	246	0	267	0	0	0
Nat8f5	60.023810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	2398	0	0	0
Dusp3	60.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	1017	177	637	0	0	0	0	283	0	0	0	0	0	0	0	179	0	0	0
Cfap97d1	60.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	1017	177	637	0	0	0	0	283	0	0	0	0	0	0	0	179	0	0	0
Mvb12b	59.976190	0	0	0	352	135	0	0	0	0	0	0	0	0	0	630	630	350	0	0	0	0	0	0	0	230	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msn	59.976190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	115	687	242	855	0	0	253	0	0	0	0	0	0	0	0	0	175	0	0	0
Gzmm	59.928571	0	165	0	0	0	0	0	0	0	0	0	0	188	124	0	0	0	0	0	0	0	0	0	250	964	241	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Matk	59.904762	0	0	0	192	335	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	148	0	0	231	555	204	560	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0
Phgdh	59.880952	0	0	0	577	457	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	209	0	425	0	0	160	0	0	0	0	0	0	0	0	0	525	0	0	0
Lipn	59.880952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	185	859	451	903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab3il1	59.833333	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	138	787	89	845	0	0	0	0	192	0	0	0	0	0	0	0	196	0	0	0
Baz2b	59.833333	0	0	243	112	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623	232	740	0	0	0	0	88	0	0	0	0	158	0	0	0	0	0	0
Bcl7b	59.809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	193	760	199	781	0	0	0	0	85	0	0	0	0	0	0	0	303	0	0	0
Xrn1	59.761905	0	151	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	600	114	834	0	0	0	0	195	0	0	0	0	0	0	0	270	0	0	0
Fam83f	59.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	1136	215	836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx24	59.714286	0	147	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	832	195	806	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0
Spred1	59.690476	0	0	308	317	272	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	531	0	458	0	0	0	0	0	0	0	0	0	143	120	0	234	0	0	0
Ssbp4	59.642857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	261	0	0	0	0	244	682	0	660	0	0	0	0	211	0	0	0	0	0	0	0	267	0	0	0
Actg1	59.642857	0	0	0	461	231	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	154	642	188	229	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0
Lcor	59.619048	0	0	216	0	199	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	737	184	790	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0
Coro1c	59.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	326	0	335	0	0	0	0	140	0	0	0	0	0	0	0	1543	0	0	0
Lims1	59.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	595	588	0	0	250	0	0	103	0	0	380	0	339	0	0	139	0	0	0	0	0	0	0	0	0	108	0	0	0
Cox20	59.571429	0	222	210	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	791	0	876	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0
Mcpt8	59.547619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	960	371	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Larp6	59.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	604	500	1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tinagl1	59.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	820	135	602	0	0	0	0	0	0	0	0	0	0	0	0	765	0	0	0
Olfr1301	59.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	157	0	0	0	0	0	0	0	239	913	242	791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Optc	59.452381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	1192	555	228	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gli2	59.428571	0	0	255	274	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803	0	0	0	0	0	412	0	489	0	0	0
4932438A13Rik	59.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	260	821	0	901	0	0	0	0	96	0	0	0	0	0	0	0	243	0	0	0
Il11ra1	59.380952	0	0	141	123	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	428	0	0	0	0	965	0	0	0	0	0	128	0	208	0	0	0
Cmtr2	59.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	214	0	0	0	0	0	0	114	752	167	676	0	0	0	0	268	0	0	0	0	0	0	0	181	0	0	0
Agl	59.380952	0	0	0	257	211	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	738	103	776	0	0	0	0	110	0	0	0	0	0	0	0	199	0	0	0
Trim8	59.357143	0	0	234	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	179	491	0	578	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0
Nufip2	59.357143	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	166	787	231	604	0	0	0	0	282	0	0	0	0	0	0	0	148	0	0	0
Gm5141	59.333333	0	0	0	266	457	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	478	138	481	0	0	0	0	227	0	0	0	0	0	0	0	289	0	0	0
Atxn7l3b	59.333333	0	0	106	256	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	631	169	697	0	0	0	0	123	0	0	0	0	0	0	0	233	0	0	0
Acat1	59.333333	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	244	733	0	531	0	0	0	0	329	0	0	0	0	0	0	0	136	0	0	0
Tcaim	59.309524	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	135	653	194	892	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0
Rnf135	59.309524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	1080	126	1141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stra6l	59.285714	0	0	257	253	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	331	246	828	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0
Nup160	59.285714	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	175	748	0	881	0	0	0	0	205	0	0	0	0	0	0	0	198	0	0	0
Snrk	59.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	364	0	0	0	0	0	0	0	214	688	114	378	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0
