Target_genes	Six1|Average	SRX1462976|C3H/10T1/2	SRX3473280|Cochlea	SRX9671583|Cochlea	SRX9671584|Cochlea	SRX3473281|E10.5_embryos	SRX10070638|Otic_vesicle	SRX15441802|Thymic_epithelial_cells	STRING
Grin2a	45.857143	0	0	149	172	0	0	0	0
Rhou	45.714286	0	0	183	137	0	0	0	0
Lpp	45.714286	0	0	320	0	0	0	0	0
Daam1	45.714286	0	0	244	76	0	0	0	0
Zscan10	45.571429	0	0	118	201	0	0	0	0
Zfp13	45.571429	0	0	118	201	0	0	0	0
Pfdn4	45.571429	0	0	189	130	0	0	0	0
Osbpl1a	45.571429	0	0	129	107	0	83	0	0
Nfe2	45.571429	0	0	0	319	0	0	0	0
Lrrc17	45.571429	0	0	147	172	0	0	0	0
Ap1ar	45.571429	0	0	163	156	0	0	0	0
Ahctf1	45.571429	0	0	74	245	0	0	0	0
Zmym5	45.428571	0	0	207	111	0	0	0	0
Rps27a	45.428571	0	0	220	98	0	0	0	0
Elovl6	45.428571	0	0	134	184	0	0	0	0
Clhc1	45.428571	0	0	220	98	0	0	0	0
Padi4	45.285714	0	0	129	188	0	0	0	0
Zfp469	45.142857	0	0	149	167	0	0	0	0
Tmem101	44.857143	162	0	0	152	0	0	0	0
Fes	44.857143	0	0	177	137	0	0	0	0
Commd3	44.857143	0	0	156	158	0	0	0	0
Bmi1	44.857143	0	0	156	158	0	0	0	0
Scx	44.714286	0	0	130	183	0	0	0	0
Runx1t1	44.714286	0	0	157	156	0	0	0	0
Ctdsp2	44.714286	0	0	167	146	0	0	0	0
Pamr1	44.571429	0	0	0	312	0	0	0	0
Fbn2	44.571429	0	0	174	138	0	0	0	0
Atg9b	44.571429	0	0	147	165	0	0	0	0
Abcb8	44.571429	0	0	147	165	0	0	0	0
Mocs3	44.428571	0	0	150	161	0	0	0	0
Hunk	44.428571	0	0	142	169	0	0	0	0
Dpm1	44.428571	0	0	150	161	0	0	0	0
Ing4	44.285714	0	0	310	0	0	0	0	0
Bcl9l	44.285714	0	0	147	163	0	0	0	0
Phactr4	44.142857	0	0	93	216	0	0	0	0
Dmap1	44.142857	0	0	99	210	0	0	0	0
Nudt15	43.857143	0	0	155	152	0	0	0	0
Slc17a5	43.714286	0	0	181	125	0	0	0	0
Gfm1	43.714286	0	0	0	306	0	0	0	0
Ccdc65	43.714286	0	0	133	173	0	0	0	0
Trim46	43.571429	0	0	155	150	0	0	0	0
Tpbg	43.571429	0	0	143	162	0	0	0	0
Slc16a7	43.571429	0	0	222	0	0	83	0	0
Krtcap2	43.571429	0	0	155	150	0	0	0	0
Atp1a1	43.571429	0	0	220	85	0	0	0	0
Mycbp2	43.285714	0	0	0	303	0	0	0	0
Rce1	43.142857	0	0	131	171	0	0	0	0
Pex16	43.142857	0	0	153	149	0	0	0	0
Large2	43.142857	0	0	153	149	0	0	0	0
Bbs4	43.142857	0	0	140	162	0	0	0	0
Ptpra	43.000000	0	0	0	301	0	0	0	0
Mfap4	43.000000	0	0	156	145	0	0	0	0
Asxl3	43.000000	0	0	0	301	0	0	0	0
Lrwd1	42.857143	0	0	0	300	0	0	0	0
Alkbh4	42.857143	0	0	0	300	0	0	0	0
Tnpo3	42.714286	0	0	130	169	0	0	0	0
Fzd7	42.714286	0	0	129	170	0	0	0	0
Lman1	42.571429	0	0	138	160	0	0	0	0
Efs	42.571429	0	0	106	192	0	0	0	0
Acta1	42.571429	0	0	133	165	0	0	0	0
Dcp1a	42.428571	0	0	138	159	0	0	0	0
Ythdf3	42.285714	0	0	150	146	0	0	0	0
Srebf1	42.285714	0	0	190	106	0	0	0	0
Sema6b	42.285714	0	0	0	296	0	0	0	0
Sdk2	42.285714	0	0	0	296	0	0	0	0
Dad1	42.285714	0	0	296	0	0	0	0	0
Sphk2	42.142857	0	0	109	186	0	0	0	0
Sertad3	42.142857	0	0	88	207	0	0	0	0
Rpl18	42.142857	0	0	109	186	0	0	0	0
Fam83e	42.142857	0	0	109	186	0	0	0	0
Ccdc57	42.142857	0	0	150	145	0	0	0	0
Rsrc2	41.714286	0	0	143	149	0	0	0	0
Mcph1	41.714286	0	0	121	171	0	0	0	0
Mbd4	41.714286	0	0	89	96	0	107	0	0
Kntc1	41.714286	0	0	143	149	0	0	0	0
Ift122	41.714286	0	0	89	96	0	107	0	0
Aknad1	41.714286	0	0	117	175	0	0	0	0
Sema4c	41.571429	0	0	104	187	0	0	0	0
Nek2	41.428571	0	0	125	165	0	0	0	0
Got1	41.428571	0	0	131	159	0	0	0	0
Agpat4	41.428571	0	0	162	128	0	0	0	0
9030025P20Rik	41.428571	0	0	108	182	0	0	0	0
Prr15l	41.285714	0	0	143	146	0	0	0	0
Clasp1	41.285714	0	0	128	161	0	0	0	0
Tbc1d7	41.142857	0	0	116	172	0	0	0	0
Slc35b4	41.000000	0	0	0	287	0	0	0	0
Nfkbiz	41.000000	0	0	0	287	0	0	0	0
Mettl2	41.000000	0	0	0	287	0	0	0	0
Veph1	40.857143	0	0	0	286	0	0	0	0
Tef	40.857143	0	0	89	197	0	0	0	0
Agk	40.857143	0	0	0	286	0	0	0	0
Hexim2	40.714286	0	0	143	142	0	0	0	0
Ehmt1	40.714286	0	0	121	164	0	0	0	0
Pdlim7	40.571429	0	0	155	129	0	0	0	0
Cspp1	40.285714	0	0	133	149	0	0	0	0
Cops5	40.285714	0	0	133	149	0	0	0	0
Bves	40.142857	0	0	91	190	0	0	0	0
Mcm7	40.000000	0	0	0	280	0	0	0	0
Hmcn1	40.000000	0	0	130	150	0	0	0	0
Ap4m1	40.000000	0	0	0	280	0	0	0	0
Orai3	39.857143	0	0	135	0	0	144	0	0
Cldn6	39.857143	0	0	0	279	0	0	0	0
Cd2bp2	39.857143	0	0	105	174	0	0	0	0
Azin2	39.857143	0	0	139	0	0	140	0	0
Ncoa5	39.714286	0	0	129	79	0	70	0	0
B9d2	39.714286	0	0	121	157	0	0	0	0
Ak3	39.714286	0	0	201	0	0	77	0	0
Spryd7	39.571429	0	0	0	277	0	0	0	0
Naaa	39.571429	277	0	0	0	0	0	0	0
Lnpep	39.571429	0	0	0	277	0	0	0	0
Kazald1	39.571429	0	0	97	180	0	0	0	0
Etv1	39.571429	0	0	0	277	0	0	0	0
Oaz2	39.428571	0	0	92	184	0	0	0	0
Nap1l1	39.428571	0	0	0	166	0	110	0	0
Hspbp1	39.428571	0	0	89	187	0	0	0	0
Gstm1	39.428571	0	0	163	113	0	0	0	0
Capza1	39.428571	0	0	0	276	0	0	0	0
Zfp563	39.000000	0	0	91	182	0	0	0	0
Slc10a3	39.000000	0	0	273	0	0	0	0	0
Nme7	39.000000	0	0	168	0	0	105	0	0
Gm44504	39.000000	0	0	273	0	0	0	0	0
Ddx47	39.000000	0	0	121	152	0	0	0	0
Blzf1	39.000000	0	0	168	0	0	105	0	0
Sned1	38.714286	0	0	132	139	0	0	0	0
Smim17	38.571429	0	0	128	142	0	0	0	0
Patl1	38.571429	0	0	97	173	0	0	0	0
Furin	38.571429	0	0	0	270	0	0	0	0
Atp6v0c	38.571429	0	0	0	270	0	0	0	0
Ankrd11	38.571429	0	0	155	115	0	0	0	0
Amdhd2	38.571429	0	0	0	270	0	0	0	0
Slc6a9	38.428571	0	0	150	119	0	0	0	0
Lancl2	38.428571	0	0	0	269	0	0	0	0
Cdk20	38.428571	0	0	196	73	0	0	0	0
Calcrl	38.428571	0	0	127	142	0	0	0	0
Sh3rf2	38.285714	0	0	176	92	0	0	0	0
Rasgrp3	38.285714	0	0	0	268	0	0	0	0
Qsox2	38.285714	0	0	144	124	0	0	0	0
Psat1	38.285714	0	0	0	268	0	0	0	0
Fbxo48	38.285714	0	0	0	268	0	0	0	0
Ccng2	38.285714	0	0	0	268	0	0	0	0
Fra10ac1	38.142857	0	0	114	153	0	0	0	0
Cnp	38.142857	0	0	145	122	0	0	0	0
Bche	38.142857	0	0	0	267	0	0	0	0
2310057M21Rik	38.142857	0	0	0	267	0	0	0	0
Tmem184b	38.000000	0	0	154	112	0	0	0	0
Prrx2	38.000000	0	0	266	0	0	0	0	0
Pim3	38.000000	0	0	164	102	0	0	0	0
Arhgef7	38.000000	0	0	159	107	0	0	0	0
Rev3l	37.857143	0	0	0	265	0	0	0	0
Ccdc85c	37.857143	0	0	0	265	0	0	0	0
Edc3	37.714286	0	0	113	151	0	0	0	0
Gm5148	37.571429	0	0	0	263	0	0	0	0
Vash2	37.428571	0	0	73	189	0	0	0	0
Cox18	37.428571	0	0	141	121	0	0	0	0
Plekhb1	37.285714	0	0	108	153	0	0	0	0
Pom121	37.142857	0	0	109	151	0	0	0	0
Ankfy1	37.142857	0	0	71	189	0	0	0	0
Polr2h	37.000000	0	0	102	157	0	0	0	0
Pank2	37.000000	0	0	259	0	0	0	0	0
Mrpl11	37.000000	0	0	121	138	0	0	0	0
Clcn2	37.000000	0	0	102	157	0	0	0	0
Cbx2	37.000000	0	0	152	107	0	0	0	0
Capn2	37.000000	0	0	125	134	0	0	0	0
Tpcn1	36.857143	0	0	258	0	0	0	0	0
Mkln1	36.857143	0	0	0	258	0	0	0	0
Iqcd	36.857143	0	0	258	0	0	0	0	0
S100a13	36.714286	0	0	0	257	0	0	0	0
S100a1	36.714286	0	0	0	257	0	0	0	0
Anpep	36.714286	0	0	104	153	0	0	0	0
Fam214a	36.571429	0	0	0	68	0	188	0	0
Steap1	36.428571	0	0	155	0	0	100	0	0
Sdcbp	36.428571	0	0	140	115	0	0	0	0
Fam71e1	36.428571	0	0	134	121	0	0	0	0
Emc10	36.428571	0	0	134	121	0	0	0	0
Arhgef1	36.428571	0	0	125	130	0	0	0	0
Smc1b	36.285714	0	0	0	254	0	0	0	0
Pdk4	36.285714	0	0	0	254	0	0	0	0
Pakap	36.285714	0	0	124	130	0	0	0	0
Crebzf	36.285714	0	0	0	0	0	0	254	0
Syt17	36.142857	0	0	76	177	0	0	0	0
Mlst8	36.142857	0	0	0	253	0	0	0	0
Gtf3c4	36.142857	0	0	120	133	0	0	0	0
Fbxo11	36.142857	0	0	108	145	0	0	0	0
Ddx31	36.142857	0	0	120	133	0	0	0	0
Zfp14	35.857143	0	0	251	0	0	0	0	0
Psma1	35.857143	0	0	146	105	0	0	0	0
Sde2	35.714286	0	0	117	133	0	0	0	0
Fis1	35.714286	0	0	0	250	0	0	0	0
Entpd4b	35.714286	0	0	100	150	0	0	0	0
Entpd4	35.714286	0	0	100	150	0	0	0	0
D030056L22Rik	35.714286	0	0	250	0	0	0	0	0
Asxl2	35.714286	0	0	99	151	0	0	0	0
Zfp609	35.571429	0	0	124	125	0	0	0	0
Vamp4	35.571429	0	0	96	153	0	0	0	0
Tmem41b	35.571429	0	0	0	249	0	0	0	0
Pik3c2a	35.571429	0	0	0	249	0	0	0	0
Eif2b2	35.571429	0	0	134	115	0	0	0	0
Sgf29	35.428571	0	0	0	248	0	0	0	0
Prcp	35.285714	0	0	0	247	0	0	0	0
Mettl15	35.285714	0	0	111	136	0	0	0	0
Kif18a	35.285714	0	0	111	136	0	0	0	0
Igfbp2	35.285714	0	0	0	247	0	0	0	0
Exoc2	35.285714	0	0	101	146	0	0	0	0
Ddias	35.285714	0	0	0	247	0	0	0	0
Kdelr3	35.142857	0	0	146	100	0	0	0	0
Ehd4	35.142857	0	0	122	124	0	0	0	0
Supv3l1	35.000000	0	0	0	245	0	0	0	0
Mob3a	35.000000	0	0	245	0	0	0	0	0
Izumo4	35.000000	0	0	245	0	0	0	0	0
Foxo3	35.000000	0	0	121	124	0	0	0	0
Cox8a	35.000000	0	0	245	0	0	0	0	0
Mmaa	34.857143	0	0	0	244	0	0	0	0
Sav1	34.714286	0	0	0	243	0	0	0	0
Ppy	34.714286	0	0	243	0	0	0	0	0
Cdk18	34.714286	0	0	109	134	0	0	0	0
Spata17	34.571429	0	0	95	147	0	0	0	0
Gpatch2	34.571429	0	0	95	147	0	0	0	0
Chchd5	34.571429	0	0	114	128	0	0	0	0
Ccl5	34.571429	0	0	242	0	0	0	0	0
Ddi2	34.428571	0	0	122	119	0	0	0	0
Xrn1	34.285714	0	0	0	240	0	0	0	0
Rbis	34.285714	0	0	0	240	0	0	0	0
Pip4k2c	34.285714	0	0	0	240	0	0	0	0
S100a11	34.142857	0	0	0	239	0	0	0	0
Ablim3	34.142857	0	0	0	239	0	0	0	0
Usp39	34.000000	0	0	136	102	0	0	0	0
Tle2	34.000000	0	0	130	108	0	0	0	0
Fam240a	34.000000	0	0	238	0	0	0	0	0
0610030E20Rik	34.000000	0	0	136	102	0	0	0	0
Fut10	33.857143	0	0	76	161	0	0	0	0
Cfap298	33.857143	0	0	159	78	0	0	0	0
Zfp719	33.714286	0	0	105	131	0	0	0	0
Fig4	33.714286	0	0	108	128	0	0	0	0
Ak9	33.714286	0	0	108	128	0	0	0	0
Zfp319	33.571429	0	0	119	116	0	0	0	0
Usb1	33.571429	0	0	119	116	0	0	0	0
Pdk3	33.571429	0	0	0	235	0	0	0	0
Map1a	33.571429	0	0	94	141	0	0	0	0
Lypd11	33.571429	235	0	0	0	0	0	0	0
Tmem270	33.428571	0	0	0	234	0	0	0	0
Stk11ip	33.428571	0	0	234	0	0	0	0	0
Hivep1	33.428571	0	0	111	123	0	0	0	0
Fras1	33.428571	0	0	0	234	0	0	0	0
Prox2	33.285714	0	0	0	233	0	0	0	0
Dlst	33.285714	0	0	0	233	0	0	0	0
Tex37	33.142857	0	0	232	0	0	0	0	0
Rab6a	33.142857	0	0	0	232	0	0	0	0
Otud5	33.142857	0	0	0	232	0	0	0	0
Mrps33	33.142857	0	0	232	0	0	0	0	0
Mettl11b	33.142857	0	0	232	0	0	0	0	0
Cep112	33.142857	0	0	137	0	0	95	0	0
Abi2	33.000000	0	0	90	141	0	0	0	0
Ubap1	32.857143	0	0	103	127	0	0	0	0
Tmx4	32.857143	0	0	110	120	0	0	0	0
Sim1	32.857143	0	0	135	95	0	0	0	0
Lamp1	32.857143	0	0	0	0	0	0	230	0
Zfp358	32.714286	0	0	102	127	0	0	0	0
Wdr31	32.714286	0	0	120	109	0	0	0	0
Srf	32.571429	0	0	0	120	0	108	0	0
Ergic3	32.571429	0	0	0	228	0	0	0	0
Csde1	32.571429	0	0	0	228	0	0	0	0
6430550D23Rik	32.571429	0	0	0	228	0	0	0	0
Tpm3	32.428571	0	0	227	0	0	0	0	0
Rab3il1	32.428571	0	0	0	227	0	0	0	0
Mok	32.428571	0	0	116	0	0	111	0	0
Lgr5	32.428571	0	0	0	227	0	0	0	0
Dhx8	32.285714	0	0	108	118	0	0	0	0
Zdhhc24	32.142857	0	0	0	225	0	0	0	0
Slain2	32.142857	0	0	0	225	0	0	0	0
Bloc1s6	32.142857	0	0	0	225	0	0	0	0
Actn3	32.142857	0	0	0	225	0	0	0	0
Vsig10	32.000000	0	0	110	114	0	0	0	0
Ssbp2	32.000000	0	0	0	109	0	115	0	0
Psmd1	32.000000	0	0	0	224	0	0	0	0
Chd8	32.000000	0	0	0	224	0	0	0	0
Ube2b	31.857143	0	0	0	223	0	0	0	0
Traf7	31.857143	0	0	0	223	0	0	0	0
Tbck	31.857143	0	0	0	223	0	0	0	0
Sncg	31.857143	0	0	0	223	0	0	0	0
Msantd4	31.857143	0	0	0	223	0	0	0	0
Mmrn2	31.857143	0	0	0	223	0	0	0	0
Itgb3bp	31.857143	0	0	70	153	0	0	0	0
Efcab7	31.857143	0	0	70	153	0	0	0	0
Dync2h1	31.857143	0	0	0	223	0	0	0	0
Dcun1d5	31.857143	0	0	0	223	0	0	0	0
Cdkl3	31.857143	0	0	0	223	0	0	0	0
Aimp1	31.857143	0	0	0	223	0	0	0	0
Abr	31.857143	0	0	223	0	0	0	0	0
4931408C20Rik	31.857143	0	0	0	0	0	0	223	0
Zfp532	31.714286	0	0	222	0	0	0	0	0
Elp5	31.714286	0	0	0	222	0	0	0	0
Ctdnep1	31.714286	0	0	0	222	0	0	0	0
Anks3	31.714286	0	0	80	142	0	0	0	0
4930451G09Rik	31.714286	0	0	80	142	0	0	0	0
Mad2l2	31.571429	0	0	0	221	0	0	0	0
Glt28d2	31.571429	0	0	66	155	0	0	0	0
Dlc1	31.571429	0	0	0	221	0	0	0	0
Mylip	31.428571	0	0	220	0	0	0	0	0
Dchs2	31.428571	0	220	0	0	0	0	0	0
Stra6	31.285714	0	0	106	113	0	0	0	0
Rbfox1	31.285714	0	0	219	0	0	0	0	0
Lyrm4	31.285714	0	0	0	219	0	0	0	0
Kif26b	31.285714	0	0	97	122	0	0	0	0
Fars2	31.285714	0	0	0	219	0	0	0	0
Tatdn3	31.142857	0	0	0	218	0	0	0	0
Sparc	31.142857	0	0	0	218	0	0	0	0
Nsl1	31.142857	0	0	0	218	0	0	0	0
Npm2	31.142857	218	0	0	0	0	0	0	0
Map9	31.142857	0	0	113	105	0	0	0	0
Igsf9	31.142857	0	0	0	218	0	0	0	0
Dhrs3	31.142857	0	0	0	218	0	0	0	0
Ccdc43	31.142857	0	0	0	218	0	0	0	0
Aqp11	31.142857	0	0	0	218	0	0	0	0
Rnf139	31.000000	0	0	0	217	0	0	0	0
Plpp3	31.000000	0	0	92	125	0	0	0	0
Nectin3	31.000000	0	0	0	217	0	0	0	0
Mpc1	31.000000	0	0	0	217	0	0	0	0
Taok3	30.857143	0	0	0	216	0	0	0	0
Suds3	30.857143	0	0	0	216	0	0	0	0
M6pr	30.857143	0	0	0	216	0	0	0	0
Ezh1	30.857143	0	0	216	0	0	0	0	0
Epb41l4a	30.714286	0	0	0	215	0	0	0	0
Cep162	30.714286	0	0	125	90	0	0	0	0
Usp38	30.571429	0	0	0	214	0	0	0	0
Plxnb1	30.428571	0	0	74	139	0	0	0	0
Map3k3	30.428571	0	0	91	122	0	0	0	0
Jund	30.428571	0	0	0	213	0	0	0	0
Emp2	30.428571	0	0	0	213	0	0	0	0
Accs	30.428571	0	0	121	92	0	0	0	0
Ppp2r1a	30.285714	0	0	0	86	0	126	0	0
Acbd5	30.285714	0	0	0	212	0	0	0	0
Zfp930	30.142857	0	0	0	211	0	0	0	0
Tmem254c	30.142857	0	0	101	110	0	0	0	0
Tmem254b	30.142857	0	0	101	110	0	0	0	0
Tmem254a	30.142857	0	0	101	110	0	0	0	0
Pfkfb1	30.142857	0	0	0	211	0	0	0	0
Lpcat2	30.142857	0	0	92	119	0	0	0	0
Fam90a1b	30.142857	0	0	0	211	0	0	0	0
Cuedc1	30.142857	0	0	0	211	0	0	0	0
Apoo	30.142857	0	0	0	211	0	0	0	0
Apex2	30.142857	0	0	0	211	0	0	0	0
6720489N17Rik	30.142857	0	0	0	211	0	0	0	0
Zfp61	30.000000	0	0	100	110	0	0	0	0
Ppm1l	30.000000	0	0	0	210	0	0	0	0
Map3k14	30.000000	0	0	0	210	0	0	0	0
Smg7	29.857143	0	0	0	87	0	122	0	0
Sfr1	29.857143	0	0	0	209	0	0	0	0
Parp1	29.857143	0	0	102	107	0	0	0	0
Cntfr	29.857143	0	0	0	209	0	0	0	0
Zscan26	29.714286	0	0	0	208	0	0	0	0
Pole3	29.714286	0	0	0	208	0	0	0	0
Nphp4	29.714286	0	0	0	208	0	0	0	0
Kcnab2	29.714286	0	0	0	208	0	0	0	0
Ints4	29.714286	0	0	0	208	0	0	0	0
Cmc2	29.714286	0	0	0	208	0	0	0	0
Cenpn	29.714286	0	0	0	208	0	0	0	0
Alad	29.714286	0	0	0	208	0	0	0	0
Trim41	29.571429	0	0	0	207	0	0	0	0
Sgcd	29.428571	0	0	98	108	0	0	0	0
Ifitm3	29.428571	131	0	0	75	0	0	0	0
Gpt2	29.428571	0	0	106	100	0	0	0	0
Cnksr3	29.428571	90	0	0	116	0	0	0	0
Zfp51	29.285714	0	0	0	205	0	0	0	0
Myh14	29.285714	0	0	0	205	0	0	0	0
Hdhd5	29.285714	0	0	0	205	0	0	0	0
Gmppa	29.285714	0	0	101	104	0	0	0	0
Zscan20	29.142857	0	0	0	204	0	0	0	0
Thsd4	29.142857	0	0	0	204	0	0	0	0
Neurl1a	29.142857	0	0	0	204	0	0	0	0
Tmem128	29.000000	0	0	203	0	0	0	0	0
Slitrk3	29.000000	0	0	0	203	0	0	0	0
Pih1d2	29.000000	0	0	0	203	0	0	0	0
Nkapd1	29.000000	0	0	0	203	0	0	0	0
Me2	29.000000	0	0	0	203	0	0	0	0
Lmbrd1	29.000000	0	0	0	203	0	0	0	0
Gpld1	29.000000	0	0	203	0	0	0	0	0
Dync1i2	29.000000	0	0	0	203	0	0	0	0
Dnajc16	29.000000	0	0	203	0	0	0	0	0
Dmwd	29.000000	0	0	99	0	0	104	0	0
Casp9	29.000000	0	0	203	0	0	0	0	0
Bicd2	29.000000	0	0	0	203	0	0	0	0
Ociad1	28.857143	0	0	0	202	0	0	0	0
Mrpl16	28.857143	0	0	0	202	0	0	0	0
Tex14	28.714286	0	0	201	0	0	0	0	0
Stat5b	28.714286	0	0	201	0	0	0	0	0
Snrpb2	28.714286	0	0	126	75	0	0	0	0
Rad51c	28.714286	0	0	201	0	0	0	0	0
Nfyc	28.714286	0	0	93	108	0	0	0	0
Dph6	28.714286	0	0	0	201	0	0	0	0
Bbs2	28.714286	0	0	0	201	0	0	0	0
Atf7ip	28.714286	0	0	0	201	0	0	0	0
St3gal1	28.571429	0	0	0	200	0	0	0	0
Kpna4	28.571429	0	0	0	200	0	0	0	0
Gcnt2	28.571429	0	0	200	0	0	0	0	0
Cdk19	28.571429	0	0	0	200	0	0	0	0
Ube2k	28.428571	0	0	0	199	0	0	0	0
Tmem218	28.428571	0	0	0	199	0	0	0	0
Smim14	28.428571	0	0	0	199	0	0	0	0
Irf6	28.428571	0	0	0	199	0	0	0	0
Dynll1	28.428571	0	0	0	199	0	0	0	0
Tmem191c	28.285714	0	0	198	0	0	0	0	0
Opn3	28.285714	0	0	0	198	0	0	0	0
Chml	28.285714	0	0	0	198	0	0	0	0
Bckdhb	28.285714	0	0	0	198	0	0	0	0
Tyw5	28.142857	0	0	0	197	0	0	0	0
Shroom1	28.142857	0	0	0	197	0	0	0	0
Mettl24	28.142857	0	0	0	197	0	0	0	0
Maip1	28.142857	0	0	0	197	0	0	0	0
Isl1	28.142857	0	0	0	197	0	0	0	0
Hyls1	28.142857	0	0	0	197	0	0	0	0
Coq9	28.142857	0	0	0	197	0	0	0	0
Ciapin1	28.142857	0	0	0	197	0	0	0	0
Vrk2	28.000000	0	0	0	196	0	0	0	0
Ddx58	28.000000	0	0	0	196	0	0	0	0
Ccdc8	28.000000	0	0	0	196	0	0	0	0
Zfp687	27.857143	0	0	0	195	0	0	0	0
Cradd	27.857143	0	0	0	195	0	0	0	0
Asic3	27.857143	0	0	0	195	0	0	0	0
Ugp2	27.714286	0	0	0	194	0	0	0	0
Nme4	27.714286	0	0	0	194	0	0	0	0
Gar1	27.714286	0	0	0	194	0	0	0	0
Fanci	27.714286	0	0	121	73	0	0	0	0
Smim20	27.571429	0	0	0	193	0	0	0	0
Mks1	27.571429	0	0	193	0	0	0	0	0
Gramd2	27.571429	0	0	0	193	0	0	0	0
Ap3m1	27.571429	0	0	0	193	0	0	0	0
Adk	27.571429	0	0	0	193	0	0	0	0
Zfp493	27.428571	0	0	0	192	0	0	0	0
Tbl1x	27.428571	0	0	0	192	0	0	0	0
Rps3a1	27.428571	0	0	192	0	0	0	0	0
Prpf40b	27.428571	0	0	0	192	0	0	0	0
Prpf40a	27.428571	0	0	0	192	0	0	0	0
Mpzl3	27.428571	0	0	0	192	0	0	0	0
Eps15	27.428571	0	0	0	192	0	0	0	0
Dnaaf2	27.428571	0	0	0	192	0	0	0	0
Arl6ip6	27.428571	0	0	0	192	0	0	0	0
AW549877	27.428571	0	0	0	192	0	0	0	0
Riox2	27.285714	0	0	0	191	0	0	0	0
Mynn	27.285714	0	0	0	191	0	0	0	0
Mrpl52	27.285714	0	0	191	0	0	0	0	0
Mmp14	27.285714	0	0	191	0	0	0	0	0
Fbxo8	27.285714	0	0	0	191	0	0	0	0
Cep44	27.285714	0	0	0	191	0	0	0	0
Atp6v1e1	27.285714	0	0	0	191	0	0	0	0
Arrdc4	27.285714	0	0	0	115	0	76	0	0
Actrt3	27.285714	0	0	0	191	0	0	0	0
Spata1	27.142857	0	0	70	120	0	0	0	0
Gng5	27.142857	0	0	70	120	0	0	0	0
Faap24	27.142857	0	0	0	71	0	119	0	0
Dhdds	27.142857	0	0	0	190	0	0	0	0
Col11a2	27.142857	0	0	0	190	0	0	0	0
Slc7a1	27.000000	0	0	0	189	0	0	0	0
Tnni1	26.857143	0	0	188	0	0	0	0	0
Slc7a8	26.857143	0	0	0	188	0	0	0	0
Rab5a	26.857143	0	0	0	188	0	0	0	0
Pxdc1	26.857143	0	0	188	0	0	0	0	0
Mapkapk2	26.857143	0	0	188	0	0	0	0	0
Map3k8	26.857143	0	0	0	188	0	0	0	0
Ldha	26.857143	0	0	0	188	0	0	0	0
Elk3	26.857143	0	0	0	188	0	0	0	0
Cenpc1	26.857143	0	0	0	188	0	0	0	0
Zwilch	26.714286	0	0	0	187	0	0	0	0
Xylt1	26.714286	0	0	0	187	0	0	0	0
Rpl4	26.714286	0	0	0	187	0	0	0	0
Psen2	26.714286	0	0	0	187	0	0	0	0
Lars2	26.714286	0	0	0	187	0	0	0	0
Elp1	26.714286	0	0	0	187	0	0	0	0
Ccdc15	26.714286	0	0	0	187	0	0	0	0
Abitram	26.714286	0	0	0	187	0	0	0	0
Rdm1	26.571429	0	0	186	0	0	0	0	0
Ptov1	26.571429	0	0	0	186	0	0	0	0
Irx5	26.571429	0	0	0	186	0	0	0	0
Dpf3	26.571429	0	0	0	186	0	0	0	0
Col24a1	26.571429	0	0	0	186	0	0	0	0
Ccnjl	26.571429	0	0	0	186	0	0	0	0
Cat	26.571429	0	0	0	186	0	0	0	0
Sp4	26.428571	0	0	0	185	0	0	0	0
Selenof	26.428571	0	0	0	185	0	0	0	0
Klhdc10	26.428571	0	0	0	104	0	81	0	0
Klf9	26.428571	0	0	0	185	0	0	0	0
Hs2st1	26.428571	0	0	0	185	0	0	0	0
Txndc16	26.285714	0	0	0	184	0	0	0	0
Tom1l2	26.285714	0	0	184	0	0	0	0	0
Sulf1	26.285714	0	0	0	184	0	0	0	0
Slc25a28	26.285714	0	0	0	184	0	0	0	0
Sh3glb1	26.285714	0	0	105	79	0	0	0	0
Nde1	26.285714	0	0	0	184	0	0	0	0
Marf1	26.285714	0	0	0	184	0	0	0	0
Gpr137c	26.285714	0	0	0	184	0	0	0	0
Eif4e3	26.285714	0	0	184	0	0	0	0	0
Drc3	26.285714	0	0	184	0	0	0	0	0
Terf1	26.142857	0	0	0	183	0	0	0	0
Raver1	26.142857	0	0	0	183	0	0	0	0
Mindy4	26.142857	0	0	183	0	0	0	0	0
Cavin1	26.142857	0	0	0	183	0	0	0	0
Atg16l1	26.142857	0	0	0	183	0	0	0	0
Ankrd42	26.142857	0	0	0	183	0	0	0	0
Pou4f3	26.000000	0	0	0	182	0	0	0	0
Pou4f2	26.000000	0	0	182	0	0	0	0	0
Zfp641	25.857143	0	0	0	181	0	0	0	0
Svip	25.857143	0	0	0	181	0	0	0	0
Kif19a	25.857143	0	0	0	181	0	0	0	0
Ipo13	25.857143	0	0	0	181	0	0	0	0
Gtf3c3	25.857143	0	0	0	181	0	0	0	0
Gale	25.857143	0	0	0	181	0	0	0	0
Erbb3	25.857143	0	0	0	181	0	0	0	0
Cldn3	25.857143	0	0	86	95	0	0	0	0
Axin2	25.857143	0	0	0	181	0	0	0	0
Angpt1	25.857143	0	0	0	181	0	0	0	0
Slc25a25	25.714286	0	0	180	0	0	0	0	0
Efcab1	25.714286	0	0	180	0	0	0	0	0
Cplane2	25.714286	0	0	180	0	0	0	0	0
Nop16	25.571429	0	0	0	179	0	0	0	0
