Target_genes	Egr1|Average	SRX12298591|B_cells	SRX10616114|Cerebellum	SRX10616115|Cerebellum	SRX122510|Dendritic_Cells	SRX122511|Dendritic_Cells	SRX122512|Dendritic_Cells	SRX122513|Dendritic_Cells	SRX9754949|Dendritic_Cells	SRX204724|Liver	SRX10616110|Prefrontal_Cortex	SRX10616111|Prefrontal_Cortex	STRING
Rell1	101.545455	0	0	0	0	0	0	0	0	1117	0	0	0
Cyb5b	101.545455	108	316	427	0	0	0	0	0	0	119	147	0
Aga	101.545455	1117	0	0	0	0	0	0	0	0	0	0	0
Synj1	101.454545	187	0	139	0	0	0	0	0	790	0	0	0
Cmtr1	101.454545	183	456	0	0	0	0	0	0	0	196	281	0
Cep20	101.363636	151	321	333	0	0	0	0	0	175	0	135	0
Wrap53	100.909091	707	0	153	0	0	0	0	0	250	0	0	0
Trp53	100.909091	707	0	153	0	0	0	0	0	250	0	0	0
Setd5	100.727273	310	167	263	0	0	0	0	0	210	158	0	0
Hnrnpa3	100.727273	252	270	164	0	0	0	0	0	0	194	228	0
Zbtb43	100.636364	295	114	150	0	0	0	80	0	319	0	149	0
Pyroxd1	100.636364	202	192	330	0	0	0	0	0	0	183	200	0
Cbx7	100.636364	322	0	144	0	0	0	157	0	484	0	0	0
Mrpl28	100.545455	80	386	281	0	0	0	0	0	0	185	174	0
Tsen2	100.454545	433	213	236	0	0	0	0	0	0	131	92	0
Mzt2	100.454545	0	336	423	0	0	0	0	0	0	145	201	0
Letm2	100.454545	407	143	338	0	0	0	0	0	217	0	0	0
Gapvd1	100.454545	0	452	303	0	0	0	0	0	0	153	197	0
Cyb5r4	100.454545	374	152	0	0	0	0	0	0	266	158	155	0
Ap3m2	100.454545	495	160	135	0	0	0	134	0	181	0	0	0
Setx	100.363636	494	0	0	0	0	0	233	0	377	0	0	0
Rabgap1	100.272727	203	190	303	0	0	0	0	0	156	171	80	0
Ddx39a	100.272727	331	319	0	0	0	0	0	0	0	225	228	0
Umad1	99.909091	154	294	410	0	0	0	0	0	0	120	121	0
Telo2	99.909091	171	293	445	0	0	0	0	0	0	0	190	0
Rpa3	99.909091	154	294	410	0	0	0	0	0	0	120	121	0
Ptx4	99.909091	171	293	445	0	0	0	0	0	0	0	190	0
Cep162	99.909091	201	331	274	0	0	0	0	0	0	191	102	0
Tyw1	99.818182	0	238	406	0	0	0	0	0	0	188	266	0
Timm44	99.818182	0	335	565	0	0	0	0	0	0	198	0	0
Sec14l1	99.818182	630	134	334	0	0	0	0	0	0	0	0	0
Sbds	99.818182	0	238	406	0	0	0	0	0	0	188	266	0
Kifap3	99.636364	250	356	330	0	0	0	0	0	0	0	160	0
Zfp446	99.545455	244	154	361	0	0	0	0	0	0	131	205	0
St3gal3	99.545455	198	0	0	0	0	0	0	0	897	0	0	0
Mrgbp	99.545455	490	312	0	0	0	0	0	0	0	156	137	0
Nab2	99.454545	137	0	0	0	0	0	106	0	851	0	0	480
Errfi1	99.454545	140	286	0	0	0	0	0	0	213	235	220	0
Zfp266	99.363636	112	168	225	0	0	0	243	0	345	0	0	0
Pts	99.363636	255	184	0	0	0	0	0	0	350	144	160	0
Ptpn2	99.363636	345	400	166	0	0	0	0	0	0	0	182	0
Tmem223	99.181818	0	325	147	0	0	0	0	0	129	235	255	0
Tmem179b	99.181818	0	325	147	0	0	0	0	0	129	235	255	0
Rer1	99.090909	240	218	270	0	0	0	0	0	0	133	229	0
Morn1	99.090909	240	218	270	0	0	0	0	0	0	133	229	0
Rbm12b2	99.000000	88	264	360	0	0	0	0	0	0	155	222	0
Klhdc10	99.000000	332	271	259	0	0	0	0	0	0	86	141	0
Top2a	98.909091	654	229	205	0	0	0	0	0	0	0	0	0
Tomm70a	98.909091	0	330	433	0	0	0	0	0	113	0	212	0
Scfd2	98.909091	139	321	313	0	0	0	0	0	123	0	192	0
Fip1l1	98.909091	139	321	313	0	0	0	0	0	123	0	192	0
Zbtb14	98.818182	854	114	119	0	0	0	0	0	0	0	0	0
Sugct	98.818182	117	300	358	0	0	0	0	0	0	177	135	0
Mtf1	98.818182	0	356	400	0	0	0	0	0	0	211	120	0
Mplkip	98.818182	117	300	358	0	0	0	0	0	0	177	135	0
Pgap3	98.727273	97	193	400	0	0	0	0	0	91	153	152	0
Upf3b	98.636364	1085	0	0	0	0	0	0	0	0	0	0	0
Tiprl	98.636364	119	181	169	0	0	0	0	0	527	89	0	0
Ptcd1	98.636364	254	199	144	0	0	0	0	0	488	0	0	0
Gmppa	98.636364	1085	0	0	0	0	0	0	0	0	0	0	0
Cpsf4	98.636364	254	199	144	0	0	0	0	0	488	0	0	0
Chd2	98.636364	137	152	295	0	0	0	0	0	396	105	0	0
Zfyve21	98.545455	1084	0	0	0	0	0	0	0	0	0	0	0
Xrcc3	98.545455	1084	0	0	0	0	0	0	0	0	0	0	0
Ube4a	98.545455	183	308	409	0	0	0	0	0	0	184	0	0
U2af1l4	98.545455	266	211	411	0	0	0	0	0	0	196	0	0
Psenen	98.545455	266	211	411	0	0	0	0	0	0	196	0	0
Mief1	98.545455	165	0	164	0	0	0	275	0	176	137	167	0
Lin37	98.545455	266	211	411	0	0	0	0	0	0	196	0	0
Igflr1	98.545455	266	211	411	0	0	0	0	0	0	196	0	0
Prr3	98.454545	0	214	380	0	0	0	0	0	0	221	268	0
Naa16	98.454545	76	495	130	0	0	0	0	0	0	185	197	0
Gnl1	98.454545	0	214	380	0	0	0	0	0	0	221	268	0
Acad12	98.454545	506	357	0	0	0	0	0	0	0	220	0	0
Tulp3	98.363636	285	237	371	0	0	0	0	0	0	0	189	0
Sumo2	98.272727	841	240	0	0	0	0	0	0	0	0	0	0
Pcnp	98.272727	0	387	368	0	0	0	0	0	0	153	173	0
Ddx24	98.272727	177	358	417	0	0	0	0	0	0	0	129	0
Zfp180	98.090909	208	201	305	0	0	0	0	0	0	233	132	0
Traf2	98.090909	1079	0	0	0	0	0	0	0	0	0	0	0
Rpl27	98.090909	111	92	104	0	0	0	303	0	469	0	0	0
Rab23	98.090909	165	446	148	0	0	0	0	0	0	135	185	0
Nsd3	98.090909	407	143	338	0	0	0	0	0	191	0	0	0
Rfxank	98.000000	977	0	101	0	0	0	0	0	0	0	0	0
Mtpap	98.000000	0	386	373	0	0	0	0	0	0	157	162	0
Hes7	98.000000	156	247	284	0	0	0	0	0	114	113	164	0
Gm45929	98.000000	977	0	101	0	0	0	0	0	0	0	0	0
Borcs8	98.000000	977	0	101	0	0	0	0	0	0	0	0	0
Add1	97.909091	547	167	267	0	0	0	0	0	0	0	96	0
Kpnb1	97.818182	885	191	0	0	0	0	0	0	0	0	0	0
Gtf3c1	97.818182	420	350	177	0	0	0	0	0	0	0	129	0
Gm27021	97.818182	1076	0	0	0	0	0	0	0	0	0	0	0
Emc8	97.818182	1076	0	0	0	0	0	0	0	0	0	0	0
D430042O09Rik	97.818182	420	350	177	0	0	0	0	0	0	0	129	0
Cox4i1	97.818182	1076	0	0	0	0	0	0	0	0	0	0	0
Tle1	97.727273	582	0	131	0	0	0	0	0	287	0	75	0
Pskh1	97.727273	0	436	0	0	0	0	0	0	0	279	360	0
Cct2	97.727273	0	417	380	0	0	0	138	0	0	0	140	0
Fnbp4	97.636364	515	165	306	0	0	0	0	0	0	0	88	0
Washc2	97.545455	103	385	326	0	0	0	0	0	0	154	105	0
Ap5s1	97.545455	460	162	138	0	0	0	0	0	199	0	114	0
2900026A02Rik	97.454545	0	0	0	0	0	0	0	0	1072	0	0	0
Tnfaip1	97.363636	475	77	184	0	0	0	0	0	227	0	108	0
Ift20	97.363636	475	77	184	0	0	0	0	0	227	0	108	0
Fbxl22	97.363636	602	150	122	0	0	0	0	0	0	84	113	0
Gsto2	97.272727	275	150	224	0	0	0	0	0	0	151	270	0
Tm9sf1	97.181818	106	277	242	0	0	0	0	0	0	264	180	0
Topors	97.090909	99	191	230	0	0	0	0	0	141	193	214	0
Tax1bp1	97.090909	0	291	417	0	0	0	0	0	0	162	198	0
Smim27	97.090909	99	191	230	0	0	0	0	0	141	193	214	0
Rspry1	97.090909	167	186	247	0	0	0	0	0	468	0	0	0
Psme3ip1	97.090909	167	186	247	0	0	0	0	0	468	0	0	0
Pdcd5	97.090909	494	209	163	0	0	0	0	0	0	202	0	0
Marchf9	97.090909	323	0	0	0	0	0	313	0	432	0	0	0
Cdk4	97.090909	323	0	0	0	0	0	313	0	432	0	0	0
Trp53bp2	97.000000	198	205	249	0	0	0	0	0	324	91	0	0
Ndfip2	97.000000	528	398	0	0	0	0	0	0	0	141	0	0
Zfp869	96.909091	532	243	153	0	0	0	0	0	0	0	138	0
Trim37	96.909091	957	109	0	0	0	0	0	0	0	0	0	0
Spdye4b	96.909091	302	266	212	0	0	0	0	0	0	116	170	0
Rbak	96.909091	302	266	212	0	0	0	0	0	0	116	170	0
Mtrf1l	96.818182	180	0	0	0	0	0	285	0	600	0	0	0
Mideas	96.727273	690	0	0	0	0	0	0	0	374	0	0	0
Gpn3	96.727273	416	122	169	0	0	0	169	0	188	0	0	0
Fam216a	96.727273	416	122	169	0	0	0	169	0	188	0	0	0
Efcab2	96.727273	0	367	554	0	0	0	0	0	143	0	0	0
Fchsd2	96.636364	339	134	0	0	0	0	0	0	590	0	0	0
Dnm2	96.636364	925	0	138	0	0	0	0	0	0	0	0	0
Commd1	96.636364	275	254	355	0	0	0	0	0	0	179	0	0
U2af1	96.545455	294	0	166	0	0	0	0	0	602	0	0	0
Ppm1a	96.545455	223	303	269	0	0	0	0	0	0	155	112	0
Klf13	96.545455	890	0	0	0	0	0	0	0	172	0	0	0
Aurkb	96.545455	0	384	393	0	0	0	0	0	0	178	107	0
Trmt10c	96.363636	70	395	206	0	0	0	0	0	0	256	133	0
Tbc1d2b	96.272727	0	0	0	0	0	0	174	0	885	0	0	0
Rpl22l1	96.272727	0	309	363	0	0	0	0	0	0	139	248	0
Bod1l	96.272727	0	437	362	0	0	0	0	0	118	0	142	0
Arl2bp	96.272727	870	95	0	0	0	0	0	0	0	0	94	0
Zfp653	96.181818	147	244	310	0	0	0	0	0	0	139	218	0
Tanc1	96.181818	0	0	0	0	0	0	0	0	1058	0	0	0
Kxd1	96.181818	269	221	278	0	0	0	0	0	181	0	109	0
Fkbp8	96.181818	269	221	278	0	0	0	0	0	181	0	109	0
Dis3l2	96.181818	0	394	278	0	0	0	0	0	0	186	200	0
Tfg	96.090909	492	219	113	0	0	0	0	0	0	107	126	0
Rab3gap1	96.090909	162	93	149	0	0	0	0	0	653	0	0	0
Nabp1	96.090909	99	244	291	0	0	0	0	0	177	160	86	0
Med6	96.090909	168	289	309	0	0	0	0	0	0	141	150	0
Abcf3	96.000000	491	148	188	0	0	0	0	0	0	124	105	0
Psmg1	95.909091	223	243	244	0	0	0	0	0	0	177	168	0
Ciao2b	95.909091	0	323	345	0	0	0	0	0	0	192	195	0
Tmem128	95.818182	0	214	540	0	0	0	0	0	0	157	143	0
Cse1l	95.818182	318	362	113	0	0	0	0	0	0	136	125	0
Clns1a	95.727273	0	253	419	0	0	0	0	0	0	168	213	0
Zmym1	95.636364	212	252	256	0	0	0	0	0	0	154	178	0
Rnf166	95.636364	138	459	0	0	0	0	0	0	0	264	191	0
Oser1	95.636364	317	167	266	0	0	0	0	0	0	147	155	0
Fbrs	95.636364	234	247	416	0	0	0	0	0	0	0	155	0
Ctu2	95.636364	138	459	0	0	0	0	0	0	0	264	191	0
Clasp1	95.636364	126	272	378	0	0	0	0	0	0	145	131	0
Ccdc9	95.636364	350	325	186	0	0	0	0	0	0	0	191	0
Tmem38b	95.545455	237	187	0	0	0	0	0	0	627	0	0	0
Rab5a	95.545455	0	271	455	0	0	0	0	0	0	164	161	0
Ankrd37	95.545455	288	177	207	0	0	0	116	0	118	0	145	0
Aloxe3	95.545455	156	247	257	0	0	0	0	0	114	113	164	0
Zfp472	95.454545	0	330	407	0	0	0	0	0	0	132	181	0
Isca1	95.454545	300	161	215	0	0	0	0	0	162	97	115	0
Swsap1	95.363636	429	245	109	0	0	0	140	0	0	126	0	0
Rnf24	95.363636	325	0	161	0	0	0	82	0	365	116	0	0
Bcl10	95.363636	129	136	160	0	0	0	0	0	624	0	0	0
Ankrd26	95.363636	328	308	242	0	0	0	0	0	0	0	171	0
Uba6	95.272727	138	482	428	0	0	0	0	0	0	0	0	0
Kdm2a	95.181818	458	0	0	0	0	0	207	0	382	0	0	0
Ap1g1	95.181818	203	295	271	0	0	0	0	0	0	122	156	0
Txndc16	95.090909	378	0	318	0	0	0	0	0	254	96	0	0
Rce1	95.090909	164	388	0	0	0	0	0	0	0	228	266	0
Rad23a	95.090909	526	137	170	0	0	0	0	0	83	130	0	0
Gpr137c	95.090909	378	0	318	0	0	0	0	0	254	96	0	0
Vps18	95.000000	205	181	306	0	0	0	0	0	123	0	230	0
Dph6	94.909091	282	321	314	0	0	0	0	0	0	127	0	0
Alg6	94.909091	206	252	264	0	0	0	0	0	322	0	0	0
Chmp5	94.818182	233	256	398	0	0	0	0	0	0	156	0	0
Bag1	94.818182	233	256	398	0	0	0	0	0	0	156	0	0
Prkcsh	94.636364	798	94	149	0	0	0	0	0	0	0	0	0
Gemin6	94.636364	0	292	485	0	0	0	0	0	0	135	129	0
Ccdc151	94.636364	798	94	149	0	0	0	0	0	0	0	0	0
Usp38	94.545455	103	242	358	0	0	0	0	0	0	137	200	0
Kif20a	94.545455	0	231	474	0	0	0	0	0	0	137	198	0
Ilkap	94.545455	569	0	0	0	0	0	191	0	280	0	0	0
Brd8	94.545455	0	231	474	0	0	0	0	0	0	137	198	0
Zfp367	94.454545	219	146	210	0	0	0	0	0	464	0	0	0
Rnf7	94.454545	254	280	301	0	0	0	0	0	0	122	82	0
Ppm1b	94.454545	504	130	151	0	0	0	0	0	254	0	0	0
Ntn3	94.454545	378	151	0	0	0	0	0	0	271	118	121	0
Clasp2	94.363636	0	300	386	0	0	0	0	0	0	122	230	0
Ttc37	94.272727	1037	0	0	0	0	0	0	0	0	0	0	0
Tjp3	94.272727	329	0	0	0	0	0	121	0	587	0	0	0
Spag7	94.272727	623	113	151	0	0	0	0	0	150	0	0	0
Smc1a	94.272727	807	102	128	0	0	0	0	0	0	0	0	0
Ribc1	94.272727	807	102	128	0	0	0	0	0	0	0	0	0
Arsk	94.272727	1037	0	0	0	0	0	0	0	0	0	0	0
Slirp	94.181818	0	349	417	0	0	0	0	0	0	123	147	0
Nrp	94.181818	0	349	417	0	0	0	0	0	0	123	147	0
Arel1	94.181818	0	201	360	0	0	0	0	0	180	186	109	0
Alkbh1	94.181818	0	349	417	0	0	0	0	0	0	123	147	0
Lcmt2	94.090909	820	215	0	0	0	0	0	0	0	0	0	0
Adal	94.090909	820	215	0	0	0	0	0	0	0	0	0	0
Slc8a3	94.000000	0	333	426	0	0	0	0	0	0	161	114	0
Itgb3bp	94.000000	0	326	421	0	0	0	0	0	0	150	137	0
Efcab7	94.000000	0	326	421	0	0	0	0	0	0	150	137	0
Aacs	94.000000	438	147	112	0	0	0	0	0	206	131	0	0
Nudt19	93.909091	105	336	0	0	0	0	0	0	274	162	156	0
Klhl9	93.909091	286	152	163	0	0	0	0	0	284	0	148	0
Znhit2	93.818182	424	212	257	0	0	0	0	0	0	0	139	0
Mrpl49	93.818182	424	212	257	0	0	0	0	0	0	0	139	0
Mapk7	93.818182	698	112	107	0	0	0	0	0	0	115	0	0
Isoc2b	93.818182	416	111	156	0	0	0	0	0	349	0	0	0
Fau	93.818182	424	212	257	0	0	0	0	0	0	0	139	0
Xpa	93.727273	279	269	258	0	0	0	0	0	0	98	127	0
Spcs1	93.727273	162	173	162	0	0	0	0	0	406	0	128	0
Glt8d1	93.727273	162	173	162	0	0	0	0	0	406	0	128	0
Ash2l	93.727273	913	0	118	0	0	0	0	0	0	0	0	0
Stx8	93.545455	0	334	399	0	0	0	0	0	0	188	108	0
Cfap52	93.545455	0	334	399	0	0	0	0	0	0	188	108	0
BC031181	93.545455	132	227	448	0	0	0	0	0	0	144	78	0
Med11	93.454545	160	333	383	0	0	0	0	0	0	152	0	0
Zfp428	93.272727	119	424	145	0	0	0	0	0	0	159	179	0
Seh1l	93.272727	384	252	0	0	0	0	0	0	174	103	113	0
Ptp4a1	93.272727	0	437	141	0	0	0	0	0	0	275	173	0
Ciz1	93.272727	97	319	523	0	0	0	0	0	0	87	0	0
2310061I04Rik	93.272727	835	191	0	0	0	0	0	0	0	0	0	0
Zbtb11	93.090909	0	460	165	0	0	0	0	0	0	184	215	0
Xrn1	93.000000	105	123	197	0	0	0	165	0	175	162	96	0
Gsc2	93.000000	0	250	403	0	0	0	0	0	0	210	160	0
Ess2	93.000000	0	250	403	0	0	0	0	0	0	210	160	0
Lrr1	92.909091	377	184	321	0	0	0	140	0	0	0	0	0
Agbl3	92.909091	863	0	0	0	0	0	159	0	0	0	0	0
Tut1	92.727273	0	239	464	0	0	0	0	0	0	170	147	0
Tsacc	92.727273	446	161	260	0	0	0	153	0	0	0	0	0
Pex3	92.727273	0	316	385	0	0	0	0	0	0	205	114	0
Cct3	92.727273	446	161	260	0	0	0	153	0	0	0	0	0
Adat2	92.727273	0	316	385	0	0	0	0	0	0	205	114	0
Tbc1d7	92.636364	105	271	452	0	0	0	0	0	0	0	191	0
Atp5g2	92.636364	288	263	224	0	0	0	0	0	0	0	244	0
Smim8	92.545455	124	277	346	0	0	0	0	0	0	109	162	0
Arhgdia	92.545455	212	344	0	0	0	0	0	0	0	204	258	0
Dapk2	92.454545	0	0	0	0	0	0	0	0	1017	0	0	0
Capza2	92.454545	1017	0	0	0	0	0	0	0	0	0	0	0
Znhit1	92.363636	250	194	305	0	0	0	0	174	0	0	93	0
Ralb	92.363636	196	0	0	0	0	0	131	0	689	0	0	0
Plod3	92.363636	250	194	305	0	0	0	0	174	0	0	93	0
Imp4	92.363636	0	343	524	0	0	0	0	0	0	149	0	0
Gatd1	92.363636	756	0	0	0	0	0	150	0	110	0	0	0
Ccdc115	92.363636	0	343	524	0	0	0	0	0	0	149	0	0
Mtif2	92.272727	0	310	421	0	0	0	0	0	0	160	124	0
Cnpy2	92.272727	801	112	102	0	0	0	0	0	0	0	0	0
Tcf19	92.090909	1013	0	0	0	0	0	0	0	0	0	0	0
Rab21	92.090909	0	249	306	0	0	0	0	0	311	147	0	0
Cchcr1	92.090909	1013	0	0	0	0	0	0	0	0	0	0	0
Atad1	92.090909	0	315	378	0	0	0	0	0	0	184	136	0
Spata5l1	92.000000	95	335	256	0	0	0	0	0	0	135	191	0
Osgepl1	92.000000	0	278	450	0	0	0	0	0	0	120	164	0
Ddost	92.000000	257	229	215	0	0	0	0	0	0	114	197	0
1110004F10Rik	92.000000	897	0	115	0	0	0	0	0	0	0	0	0
Fbxw9	91.909091	84	321	487	0	0	0	0	0	0	119	0	0
Nifk	91.818182	0	291	426	0	0	0	0	0	0	177	116	0
Lamtor5	91.818182	0	333	421	0	0	0	0	0	0	130	126	0
Ing1	91.818182	190	172	238	0	0	0	0	0	245	165	0	0
Gar1	91.818182	173	336	380	0	0	0	0	0	0	0	121	0
Naca	91.727273	0	252	336	0	0	0	0	109	0	152	160	0
Mtmr6	91.727273	154	133	203	0	0	0	0	0	369	0	150	0
Ints9	91.727273	1009	0	0	0	0	0	0	0	0	0	0	0
Hmbox1	91.727273	1009	0	0	0	0	0	0	0	0	0	0	0
Cenpm	91.727273	236	192	157	0	0	0	0	0	184	97	143	0
Zfp873	91.636364	161	242	334	0	0	0	0	0	0	126	145	0
Slc3a2	91.636364	276	159	243	0	0	0	91	0	0	111	128	0
Opa3	91.636364	517	89	161	0	0	0	0	0	241	0	0	0
Nrd1	91.636364	229	220	292	0	0	0	0	0	100	0	167	0
Entpd6	91.636364	345	121	250	0	0	0	0	0	0	107	185	0
Twnk	91.545455	117	306	346	0	0	0	0	0	0	102	136	0
Mrpl43	91.545455	117	306	346	0	0	0	0	0	0	102	136	0
Mlec	91.545455	535	128	217	0	0	0	0	0	0	0	127	0
B3galnt2	91.545455	402	0	214	0	0	0	0	0	391	0	0	0
H1f5	91.454545	605	206	195	0	0	0	0	0	0	0	0	0
Eif4a1	91.454545	279	227	280	0	0	0	62	0	158	0	0	0
Cep83	91.454545	129	301	178	0	0	0	0	0	119	118	161	0
Rabgef1	91.363636	373	251	221	0	0	0	0	0	0	0	160	0
AW549877	91.363636	183	355	219	0	0	0	0	0	0	104	144	0
Zswim3	91.272727	394	194	292	0	0	0	0	0	0	0	124	0
Ube2cbp	91.272727	677	0	0	0	0	0	0	0	327	0	0	0
Myh9	91.272727	271	0	0	0	0	0	0	0	733	0	0	0
Dop1a	91.272727	677	0	0	0	0	0	0	0	327	0	0	0
Acot8	91.272727	394	194	292	0	0	0	0	0	0	0	124	0
Cldn6	91.181818	192	0	0	0	0	0	0	0	811	0	0	0
Clcc1	91.181818	220	171	0	0	0	0	136	0	476	0	0	0
Bsdc1	91.090909	385	133	264	0	0	0	0	0	220	0	0	0
Zfp654	91.000000	739	0	0	0	0	0	0	0	262	0	0	0
Zfp207	91.000000	0	200	390	0	0	0	0	0	0	228	183	0
Ncaph2	91.000000	89	231	366	0	0	0	0	0	0	173	142	0
Lmf2	91.000000	89	231	366	0	0	0	0	0	0	173	142	0
Focad	91.000000	404	210	112	0	0	0	0	0	164	111	0	0
Cggbp1	91.000000	739	0	0	0	0	0	0	0	262	0	0	0
B9d2	91.000000	261	361	379	0	0	0	0	0	0	0	0	0
Ubald2	90.909091	566	229	205	0	0	0	0	0	0	0	0	0
Tbc1d13	90.909091	238	0	137	0	0	0	239	0	267	0	119	0
Rere	90.909091	235	324	149	0	0	0	0	0	0	149	143	0
Cwc22	90.818182	786	0	0	0	0	0	0	0	0	112	101	0
Zc3h14	90.727273	839	159	0	0	0	0	0	0	0	0	0	0
Man2c1	90.727273	0	243	454	0	0	0	0	0	0	172	129	0
Cep70	90.727273	171	163	212	0	0	0	137	0	315	0	0	0
Zfp148	90.636364	75	417	201	0	0	0	0	0	0	141	163	0
Rpl32	90.636364	0	398	316	0	0	0	0	0	0	139	144	0
Eaf2	90.636364	520	217	260	0	0	0	0	0	0	0	0	0
Amacr	90.636364	0	279	344	0	0	0	0	0	0	225	149	0
Med9	90.545455	93	206	87	0	0	0	0	0	295	169	146	0
Lemd2	90.545455	820	0	0	0	0	0	0	0	176	0	0	0
E2f1	90.454545	505	0	0	0	0	0	0	0	490	0	0	0
Abhd10	90.454545	656	0	0	0	0	0	120	0	219	0	0	0
4930430F08Rik	90.454545	0	273	354	0	0	0	0	0	0	176	192	0
1700017N19Rik	90.454545	0	273	354	0	0	0	0	0	0	176	192	0
Rbm6	90.363636	179	253	316	0	0	0	0	0	0	110	136	0
Igsf8	90.363636	0	382	431	0	0	0	0	0	0	181	0	0
Shf	90.272727	282	272	439	0	0	0	0	0	0	0	0	0
Ppp4r2	90.272727	530	191	0	0	0	0	0	0	0	123	149	0
Jun	90.272727	151	281	298	0	0	0	114	0	149	0	0	0
Fam172a	90.272727	0	302	316	0	0	0	0	0	0	144	231	0
Zfp593	90.181818	229	184	286	0	0	0	0	0	0	114	179	0
Zdhhc16	90.181818	429	259	304	0	0	0	0	0	0	0	0	0
Uba52	90.181818	154	301	350	0	0	0	0	0	0	0	187	0
Rex1bd	90.181818	154	301	350	0	0	0	0	0	0	0	187	0
H3c7	90.181818	206	206	248	0	0	0	0	0	187	0	145	0
H2bc9	90.181818	206	206	248	0	0	0	0	0	187	0	145	0
Gm30191	90.181818	229	184	286	0	0	0	0	0	0	114	179	0
Exosc1	90.181818	429	259	304	0	0	0	0	0	0	0	0	0
Cox5b	90.181818	343	152	163	0	0	0	0	0	0	174	160	0
Wdr53	89.909091	0	304	301	0	0	0	0	0	0	191	193	0
Tmx2	89.909091	568	114	185	0	0	0	0	0	122	0	0	0
Tbca	89.909091	379	158	159	0	0	0	0	0	0	144	149	0
Plekhg2	89.909091	154	157	279	0	0	0	0	0	132	122	145	0
Med19	89.909091	568	114	185	0	0	0	0	0	122	0	0	0
Fbxo45	89.909091	0	304	301	0	0	0	0	0	0	191	193	0
Arih1	89.909091	156	280	153	0	0	0	0	0	0	161	239	0
Sipa1l2	89.818182	221	0	0	0	0	0	198	0	569	0	0	0
Rock1	89.727273	559	156	0	0	0	0	0	0	133	0	139	0
Sec22a	89.636364	98	349	306	0	0	0	0	0	0	233	0	0
Mapre2	89.636364	0	279	365	0	0	0	0	0	0	194	148	0
Ddx21	89.636364	0	256	337	0	0	0	0	0	0	146	247	0
Cops7a	89.636364	134	357	231	0	0	0	0	0	0	122	142	0
Cops3	89.636364	851	0	135	0	0	0	0	0	0	0	0	0
Stag1	89.545455	539	207	0	0	0	0	92	0	147	0	0	0
Atrip	89.545455	0	236	515	0	0	0	0	0	0	122	112	0
Tatdn1	89.454545	0	323	436	0	0	0	0	0	0	100	125	0
Sft2d3	89.454545	355	200	231	0	0	0	0	0	0	103	95	0
Rfx3	89.454545	132	290	332	0	0	0	0	0	0	101	129	0
Ndufb9	89.454545	0	323	436	0	0	0	0	0	0	100	125	0
Psmc2	89.363636	0	348	484	0	0	0	0	0	0	0	151	0
Dnajc2	89.363636	0	348	484	0	0	0	0	0	0	0	151	0
Ccdc97	89.363636	186	222	262	0	0	0	0	0	214	99	0	0
Mphosph8	89.272727	295	278	298	0	0	0	0	0	0	111	0	0
Fh1	89.272727	125	218	0	0	0	0	96	0	396	0	147	0
Slc38a4	89.181818	0	0	0	0	0	0	0	0	981	0	0	0
Pold1	89.181818	88	210	266	0	0	0	0	0	0	176	241	0
Nr1h2	89.181818	88	210	266	0	0	0	0	0	0	176	241	0
Zfp65	89.090909	0	325	453	0	0	0	0	0	0	0	202	0
Rpl37	89.090909	0	238	472	0	0	0	0	0	0	131	139	0
Oxa1l	89.090909	217	259	377	0	0	0	0	0	0	127	0	0
Naif1	89.090909	361	145	284	0	0	0	0	0	190	0	0	0
Cotl1	89.090909	125	183	177	0	0	0	0	0	242	124	129	0
Rel	89.000000	319	139	0	0	0	0	0	0	521	0	0	0
Nudt9	89.000000	174	209	267	0	0	0	0	0	0	167	162	0
Daglb	89.000000	226	200	265	0	0	0	0	0	0	162	126	0
Atp2c1	89.000000	205	217	249	0	0	0	0	0	0	173	135	0
Sdr42e1	88.818182	0	0	0	0	0	0	0	0	977	0	0	0
Pdxdc1	88.727273	181	267	373	0	0	0	0	0	0	0	155	0
Mpv17l	88.727273	181	267	373	0	0	0	0	0	0	0	155	0
Cdv3	88.727273	342	189	303	0	0	0	0	0	142	0	0	0
Zfp287	88.636364	0	377	382	0	0	0	0	0	0	216	0	0
Yipf4	88.636364	141	308	302	0	0	0	0	0	0	95	129	0
Ccdc181	88.636364	254	289	337	0	0	0	0	0	0	0	95	0
Bckdk	88.636364	975	0	0	0	0	0	0	0	0	0	0	0
Hdhd5	88.545455	293	276	221	0	0	0	0	0	184	0	0	0
Cbarp	88.545455	205	157	165	0	0	0	0	0	349	98	0	0
Atp5d	88.545455	205	157	165	0	0	0	0	0	349	98	0	0
Slbp	88.454545	464	199	179	0	0	0	0	0	0	0	131	0
Acat2	88.454545	138	272	197	0	0	0	0	0	366	0	0	0
Abcc10	88.454545	161	273	291	0	0	0	0	0	0	132	116	0
Ccdc28a	88.363636	0	249	396	0	0	0	0	0	0	155	172	0
Arhgap39	88.363636	375	110	0	0	0	0	0	0	487	0	0	0
Zfp114	88.272727	0	421	384	0	0	0	0	0	0	0	166	0
Nr1d1	88.272727	99	199	227	0	0	0	0	0	335	0	111	0
Trir	88.181818	122	276	247	0	0	0	0	0	0	166	159	0
Nsun5	88.181818	0	356	426	0	0	0	0	0	0	188	0	0
Get3	88.181818	122	276	247	0	0	0	0	0	0	166	159	0
Tef	88.090909	252	185	242	0	0	0	0	0	290	0	0	0
