Target_genes	Mafg|Average	SRX5664988|Astrocytes	SRX5664989|Astrocytes	SRX5664990|Astrocytes	SRX5664991|Astrocytes	SRX5664992|Astrocytes	SRX5664993|Astrocytes	SRX13135334|MEF	SRX13135335|MEF	SRX13135337|MEF	SRX13135338|MEF	SRX6451575|MEF	SRX6451576|MEF	STRING
Rad23a	24.500000	0	0	0	0	0	0	0	0	0	294	0	0	0
1110008P14Rik	24.083333	0	0	0	0	0	0	0	0	0	289	0	0	0
Speer4e	24.000000	0	0	0	0	0	0	0	165	0	0	0	123	0
Psmc1	23.833333	0	0	0	0	0	0	0	0	0	286	0	0	0
Atp6v0a1	23.666667	0	0	0	0	0	0	0	117	0	167	0	0	0
Sfi1	23.500000	0	0	0	0	0	0	0	105	0	91	86	0	0
Eif4enif1	23.500000	0	0	0	0	0	0	0	105	0	91	86	0	0
Ank3	23.500000	0	0	0	0	0	0	0	117	0	165	0	0	0
Tubb4b	23.333333	0	0	0	0	0	0	0	0	0	280	0	0	0
Dcun1d4	23.333333	0	0	0	0	0	0	0	0	0	280	0	0	0
Sp3	23.166667	0	0	0	0	0	0	0	126	0	152	0	0	0
Psmb6	23.166667	0	0	0	0	0	0	0	0	0	278	0	0	0
Rnf11	23.000000	0	0	0	0	0	0	0	126	0	150	0	0	0
Tmem205	22.916667	0	0	0	0	0	0	0	0	0	275	0	0	0
Tmbim1	22.916667	0	0	0	0	0	0	0	117	0	158	0	0	0
Ccdc159	22.916667	0	0	0	0	0	0	0	0	0	275	0	0	0
Nol3	22.750000	0	0	0	0	0	0	0	0	0	273	0	0	0
Simc1	22.416667	0	0	0	0	0	0	0	0	0	269	0	0	0
Fbxo8	22.333333	0	0	0	0	0	0	0	0	268	0	0	0	0
Cep44	22.333333	0	0	0	0	0	0	0	0	268	0	0	0	0
Parp16	22.250000	0	0	0	0	0	0	0	0	0	267	0	0	0
Ddhd1	22.250000	0	0	0	0	0	0	0	0	0	267	0	0	0
Zfp1	22.083333	0	0	0	0	0	0	0	0	0	265	0	0	0
Pdia6	21.833333	0	0	0	0	0	0	0	0	0	262	0	0	0
Zer1	21.750000	0	0	0	0	0	0	0	0	0	261	0	0	0
Ndc1	21.750000	0	0	0	0	0	0	0	0	0	261	0	0	0
Dyrk1a	21.666667	0	0	0	0	0	0	0	117	0	143	0	0	0
Psmd12	21.583333	0	0	0	0	0	0	0	0	0	259	0	0	0
Psmb3	21.583333	0	0	0	0	0	0	0	0	0	259	0	0	0
Pcgf2	21.583333	0	0	0	0	0	0	0	0	0	259	0	0	0
Stam2	21.416667	0	0	0	0	0	0	0	0	0	257	0	0	0
Ccn2	21.000000	0	0	0	0	0	0	0	136	0	116	0	0	0
Parp10	20.916667	0	0	0	0	0	0	0	0	0	251	0	0	0
Dele1	20.916667	0	0	0	0	0	0	0	0	0	251	0	0	0
Bhlha9	20.916667	0	0	0	0	0	0	0	0	0	251	0	0	0
1110002E22Rik	20.916667	0	0	0	0	0	0	0	0	0	251	0	0	0
Rida	20.750000	0	0	0	0	0	0	0	0	0	249	0	0	0
Pop1	20.750000	0	0	0	0	0	0	0	0	0	249	0	0	0
Spta1	20.666667	0	0	0	0	0	0	0	0	0	248	0	0	0
Tbk1	20.416667	0	0	0	0	0	0	0	0	0	245	0	0	0
Psma6	20.416667	0	0	0	0	0	0	0	0	0	245	0	0	0
Hip1	20.333333	0	0	0	0	0	0	0	0	0	244	0	0	0
Star	20.083333	0	0	0	0	0	0	0	0	0	241	0	0	0
Thoc2	20.000000	0	0	0	0	0	0	0	0	0	240	0	0	0
Gm10639	20.000000	0	0	0	0	0	0	0	0	0	240	0	0	0
Canx	20.000000	0	0	0	0	0	0	0	0	0	240	0	0	0
Psmc2	19.916667	0	0	0	0	0	0	0	0	0	239	0	0	0
Prpsap1	19.916667	0	0	0	0	0	0	0	0	0	239	0	0	0
Dnajc2	19.916667	0	0	0	0	0	0	0	0	0	239	0	0	0
Crtc1	19.916667	0	0	0	0	0	0	0	0	0	239	0	0	0
Aspscr1	19.916667	0	0	0	0	0	0	0	0	0	239	0	0	0
Eif1ax	19.833333	0	0	0	0	0	0	0	0	0	238	0	0	0
Psmc5	19.750000	0	0	0	0	0	0	0	0	0	237	0	0	0
Ftsj3	19.750000	0	0	0	0	0	0	0	0	0	237	0	0	0
Blvrb	19.750000	0	0	0	0	0	0	0	0	0	237	0	0	0
Vasn	19.666667	0	0	0	0	0	0	0	0	0	98	0	138	0
Ran	19.583333	0	0	0	0	0	0	0	0	0	235	0	0	0
Epb41	19.500000	0	0	0	0	0	0	0	0	0	234	0	0	0
H3c6	19.333333	0	0	0	0	0	0	0	0	0	232	0	0	0
Trim6	19.083333	0	0	0	0	0	0	0	0	0	229	0	0	0
Tars2	19.083333	0	0	0	0	0	0	0	0	0	229	0	0	0
Nynrin	19.083333	0	0	0	0	0	0	0	0	0	229	0	0	0
Mlx	19.083333	0	0	0	0	0	0	0	0	0	229	0	0	0
Hsd17b1	19.083333	0	0	0	0	0	0	0	0	0	229	0	0	0
Coasy	19.083333	0	0	0	0	0	0	0	0	0	229	0	0	0
Ptprn	18.666667	0	0	0	0	0	0	0	0	0	224	0	0	0
Aar2	18.666667	0	0	0	0	0	0	0	0	0	224	0	0	0
Lpar1	18.583333	0	0	0	0	0	0	0	0	0	223	0	0	0
Zfp418	18.500000	0	0	0	0	0	0	0	0	0	222	0	0	0
Mllt11	18.416667	0	0	0	0	0	0	0	0	0	221	0	0	0
Luc7l	18.416667	0	0	0	0	0	0	0	0	0	221	0	0	0
Ero1a	18.416667	0	0	0	0	0	0	0	0	0	221	0	0	0
Cdc42se1	18.416667	0	0	0	0	0	0	0	0	0	221	0	0	0
Asf1a	18.333333	0	0	0	0	0	0	0	0	0	220	0	0	0
Cartpt	18.250000	0	0	0	124	0	95	0	0	0	0	0	0	0
Zfp869	18.166667	0	0	0	0	0	0	0	0	0	218	0	0	0
Zfp110	18.166667	0	0	0	0	0	0	0	0	0	218	0	0	0
Kmt2d	18.166667	0	0	0	0	0	0	0	0	0	218	0	0	0
Gpatch1	18.166667	0	0	0	0	0	0	0	0	0	218	0	0	0
Efhd2	18.166667	0	0	0	0	0	0	0	0	0	218	0	0	0
Serac1	18.000000	0	0	0	0	0	0	0	0	0	216	0	0	0
Ly96	18.000000	0	0	0	0	0	0	0	0	0	216	0	0	0
Gtf2h5	18.000000	0	0	0	0	0	0	0	0	0	216	0	0	0
Aff1	17.916667	0	0	0	0	0	0	0	0	0	215	0	0	0
Slc19a2	17.833333	0	0	0	0	0	0	0	0	0	214	0	0	0
Rnf212	17.666667	0	0	0	0	0	0	0	0	0	212	0	0	0
Blmh	17.666667	0	0	0	0	0	0	0	0	0	212	0	0	0
Nrd1	17.583333	0	0	0	0	0	0	0	0	0	211	0	0	0
Mlec	17.583333	0	0	0	0	0	0	0	0	0	211	0	0	0
Gabarapl1	17.333333	0	0	0	0	0	0	0	0	0	208	0	0	0
Fbxo30	17.333333	0	0	0	0	0	0	0	0	0	208	0	0	0
Zfp819	17.250000	0	0	0	0	0	0	0	0	0	207	0	0	0
Spatc1	17.250000	0	0	0	0	0	0	0	0	0	207	0	0	0
Sfrp4	17.250000	0	0	0	0	0	0	0	0	0	207	0	0	0
Nme1	17.250000	0	0	0	0	0	0	0	0	0	207	0	0	0
Epdr1	17.250000	0	0	0	0	0	0	0	0	0	207	0	0	0
Cltc	17.250000	0	0	0	0	0	0	0	0	0	207	0	0	0
Arl2	17.250000	0	0	0	0	0	0	0	0	0	207	0	0	0
Cs	17.000000	0	0	0	0	0	0	0	0	0	204	0	0	0
Lrrc49	16.916667	0	0	0	0	0	0	0	0	0	203	0	0	0
Tubb5	16.833333	0	0	0	0	0	0	0	0	0	202	0	0	0
Tmem79	16.833333	0	0	0	0	0	0	0	0	0	202	0	0	0
Smg5	16.833333	0	0	0	0	0	0	0	0	0	202	0	0	0
Mdc1	16.833333	0	0	0	0	0	0	0	0	0	202	0	0	0
Klc1	16.750000	0	0	0	0	0	0	0	0	0	201	0	0	0
Impact	16.666667	0	0	0	0	0	0	0	0	0	200	0	0	0
Fam32a	16.666667	0	0	0	0	0	0	0	0	0	200	0	0	0
Olfm2	16.583333	0	0	0	0	0	0	0	0	0	199	0	0	0
Trappc11	16.416667	0	0	0	0	0	0	0	0	0	197	0	0	0
Rwdd4a	16.416667	0	0	0	0	0	0	0	0	0	197	0	0	0
Zfp180	16.333333	0	0	0	0	0	0	0	0	0	196	0	0	0
Ss18l1	16.333333	0	0	0	0	0	0	0	0	0	196	0	0	0
Reep4	16.333333	0	0	0	0	0	0	0	0	0	196	0	0	0
Rbbp7	16.333333	0	0	0	0	0	0	0	0	0	196	0	0	0
Psma7	16.333333	0	0	0	0	0	0	0	0	0	196	0	0	0
Pdlim7	16.333333	0	0	0	0	0	0	0	0	0	196	0	0	0
Nlrc4	16.333333	0	0	0	0	0	0	0	0	0	196	0	0	0
Msn	16.333333	0	0	0	0	0	0	0	0	0	196	0	0	0
Mfap5	16.333333	0	0	0	0	0	0	0	0	0	196	0	0	0
Gpr84	16.333333	0	0	0	0	0	0	0	0	0	196	0	0	0
Txnl1	16.250000	0	0	0	0	0	0	0	0	0	195	0	0	0
Ptpn12	16.250000	0	0	0	0	0	0	0	0	0	195	0	0	0
Cops7a	16.250000	0	0	0	0	0	0	0	0	0	195	0	0	0
Anxa7	16.250000	0	0	0	0	0	0	0	0	0	195	0	0	0
Pwp2	16.166667	0	0	0	0	0	0	0	0	0	194	0	0	0
Rai1	16.083333	0	0	0	0	0	0	0	0	0	193	0	0	0
Mto1	16.083333	193	0	0	0	0	0	0	0	0	0	0	0	0
Mrgbp	16.083333	0	0	0	0	0	0	0	0	0	193	0	0	0
E2f6	16.083333	0	0	0	0	0	0	0	0	0	193	0	0	0
Cgas	16.083333	193	0	0	0	0	0	0	0	0	0	0	0	0
Surf4	16.000000	0	0	0	0	0	0	0	0	0	192	0	0	0
Stkld1	16.000000	0	0	0	0	0	0	0	0	0	192	0	0	0
Pdpk1	16.000000	0	0	0	0	0	0	0	0	0	192	0	0	0
Inip	16.000000	0	0	0	0	0	0	0	0	0	192	0	0	0
Faf1	15.916667	0	0	0	0	0	0	0	0	0	191	0	0	0
Stmn3	15.833333	0	0	0	0	0	0	0	0	0	190	0	0	0
Rtel1	15.833333	0	0	0	0	0	0	0	0	0	190	0	0	0
Mt4	15.833333	0	0	0	0	0	0	0	0	0	190	0	0	0
Ly6f	15.833333	0	0	0	0	0	0	0	0	0	190	0	0	0
Cenpu	15.833333	0	0	0	0	0	0	0	0	0	190	0	0	0
Cd163l1	15.833333	0	0	0	0	0	0	0	0	190	0	0	0	0
Flywch1	15.750000	0	0	0	0	0	0	0	0	0	189	0	0	0
4931408C20Rik	15.666667	0	0	0	0	0	0	0	73	0	115	0	0	0
Rxra	15.583333	0	0	0	0	0	0	0	187	0	0	0	0	0
Utp25	15.500000	0	0	0	0	0	0	0	0	0	186	0	0	0
Srsf2	15.500000	0	0	0	0	0	0	0	0	0	186	0	0	0
Smad7	15.500000	0	0	0	0	0	0	0	0	0	186	0	0	0
Olfr1303	15.500000	0	0	0	0	0	0	0	0	0	186	0	0	0
Nwd1	15.500000	0	0	0	0	0	0	0	0	0	186	0	0	0
Mfsd11	15.500000	0	0	0	0	0	0	0	0	0	186	0	0	0
Lcmt1	15.500000	0	0	0	0	0	0	0	0	0	186	0	0	0
Iqank1	15.500000	0	0	0	0	0	0	0	0	0	186	0	0	0
Hnf1b	15.500000	0	0	0	0	0	0	0	0	0	186	0	0	0
Fgf11	15.500000	0	0	0	0	0	0	0	0	0	186	0	0	0
Fam83h	15.500000	0	0	0	0	0	0	0	0	0	186	0	0	0
Chrnb1	15.500000	0	0	0	0	0	0	0	0	0	186	0	0	0
B4galnt4	15.416667	0	0	0	0	0	0	0	0	0	185	0	0	0
Ywhag	15.333333	0	0	0	0	0	0	0	0	0	184	0	0	0
Wdr83os	15.333333	0	0	0	0	0	0	0	0	0	184	0	0	0
Wdr83	15.333333	0	0	0	0	0	0	0	0	0	184	0	0	0
Gsta2	15.333333	0	0	0	0	0	0	0	0	0	184	0	0	0
Akr1a1	15.333333	0	0	0	0	0	0	0	0	0	184	0	0	0
Pde4a	15.250000	0	0	0	0	0	0	0	0	0	183	0	0	0
Olfr894	15.250000	0	0	0	0	0	0	0	183	0	0	0	0	0
Fancg	15.250000	0	0	0	0	0	0	0	0	0	183	0	0	0
Ubqln2	15.166667	0	0	0	0	0	0	0	0	0	182	0	0	0
Psmb4	15.166667	0	0	0	0	0	0	0	0	0	182	0	0	0
Rhag	15.083333	0	0	0	0	0	0	0	181	0	0	0	0	0
Ttc41	15.000000	0	0	0	0	0	0	0	0	0	180	0	0	0
Hepacam	15.000000	0	0	0	0	0	0	0	0	0	180	0	0	0
Gpx4	15.000000	0	0	0	0	0	0	0	0	0	180	0	0	0
Cstb	15.000000	0	0	0	0	0	0	0	0	0	180	0	0	0
Hdgf	14.833333	0	0	0	0	0	0	0	0	0	178	0	0	0
Traf3	14.750000	0	0	0	0	0	0	0	0	0	177	0	0	0
Sprr1a	14.750000	177	0	0	0	0	0	0	0	0	0	0	0	0
Blcap	14.750000	0	0	0	0	0	0	0	0	0	177	0	0	0
Timm13	14.666667	0	0	0	0	0	0	0	0	0	176	0	0	0
Slc50a1	14.666667	0	0	0	0	0	0	0	0	0	176	0	0	0
Serf1	14.666667	0	0	0	0	0	0	0	0	0	176	0	0	0
Procr	14.666667	0	0	0	0	0	0	0	0	0	176	0	0	0
Osgin1	14.666667	0	0	0	0	0	0	0	0	0	176	0	0	0
Olfr464	14.666667	0	0	0	0	0	0	0	0	0	176	0	0	0
Olfr1263	14.666667	0	0	0	0	0	0	0	176	0	0	0	0	0
Midn	14.666667	0	0	0	0	0	0	0	0	0	176	0	0	0
Klk5	14.666667	0	0	0	0	0	0	0	0	0	176	0	0	0
Efna1	14.666667	0	0	0	0	0	0	0	0	0	176	0	0	0
Cdk5r2	14.666667	0	0	0	0	0	0	0	0	0	176	0	0	0
Bdp1	14.666667	0	0	0	0	0	0	0	0	0	176	0	0	0
6720489N17Rik	14.666667	0	0	0	0	0	0	0	0	0	176	0	0	0
Nfe2l2	14.583333	0	0	0	0	0	0	0	0	0	175	0	0	0
Larp4	14.583333	0	0	0	0	0	0	0	0	0	175	0	0	0
Fbxl18	14.500000	0	0	0	174	0	0	0	0	0	0	0	0	0
Cmss1	14.416667	0	0	0	0	0	0	0	0	173	0	0	0	0
Psmc3	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Nt5c2	14.333333	0	0	0	0	0	0	0	0	0	172	0	0	0
Virma	14.250000	0	0	0	0	0	0	0	0	0	171	0	0	0
Ubl3	14.250000	0	0	0	0	0	0	0	0	0	171	0	0	0
Cwc22	14.250000	0	0	0	0	0	0	0	0	0	171	0	0	0
Olfr889	14.166667	0	0	0	0	0	0	0	170	0	0	0	0	0
Itfg2	14.166667	0	0	0	0	0	0	0	0	0	170	0	0	0
Rit1	14.083333	0	0	0	0	0	0	0	0	0	169	0	0	0
Psph	14.000000	0	0	0	0	0	0	0	0	0	168	0	0	0
Cct6a	14.000000	0	0	0	0	0	0	0	0	0	168	0	0	0
Rpl5	13.916667	0	0	0	0	0	0	0	0	0	167	0	0	0
Epc1	13.916667	0	0	0	0	0	0	0	0	0	167	0	0	0
Bag2	13.916667	0	0	0	0	0	0	0	0	0	167	0	0	0
Snrnp35	13.833333	0	0	0	0	0	0	0	0	166	0	0	0	0
Rilpl2	13.833333	0	0	0	0	0	0	0	0	166	0	0	0	0
Trim52	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Smyd1	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Sema4d	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Plekhh3	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Pef1	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Lamc1	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Klhl21	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Hgs	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Gtf2a1	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Cntnap1	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Ccr10	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Armc7	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Arl16	13.750000	0	0	0	0	0	0	0	0	0	165	0	0	0
Vps8	13.666667	0	0	0	0	0	0	0	0	0	164	0	0	0
Rad23b	13.666667	0	0	0	0	0	0	0	0	0	164	0	0	0
Cnbp	13.666667	0	0	0	0	0	0	0	0	0	164	0	0	0
Cdk14	13.666667	0	0	0	0	0	0	0	0	0	164	0	0	0
4930583I09Rik	13.666667	0	0	0	0	0	0	0	164	0	0	0	0	0
Nr1d2	13.583333	0	0	0	0	0	0	0	0	0	163	0	0	0
Cpb2	13.500000	0	0	0	0	0	0	0	0	0	0	0	162	0
Anxa4	13.500000	0	0	0	0	0	0	0	0	0	162	0	0	0
Ufl1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Tbp	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Psmb1	13.333333	0	0	0	0	0	0	0	0	0	160	0	0	0
Brpf1	13.250000	0	0	0	0	0	0	0	0	159	0	0	0	0
Edc3	13.166667	0	0	0	0	0	0	0	0	0	158	0	0	0
Srcap	13.083333	0	0	0	0	0	0	0	0	0	157	0	0	0
Slc29a2	13.083333	0	0	0	0	0	0	0	0	0	157	0	0	0
Il33	13.083333	0	0	0	0	0	0	0	0	0	157	0	0	0
Zfp212	13.000000	0	0	0	0	0	0	0	0	0	156	0	0	0
Uspl1	13.000000	0	0	0	0	0	0	0	0	0	156	0	0	0
Sdhaf3	13.000000	0	0	0	0	0	0	0	156	0	0	0	0	0
Olfr926	13.000000	0	0	0	0	0	0	0	156	0	0	0	0	0
Zswim5	12.916667	0	0	0	0	0	0	0	0	0	155	0	0	0
Tex19.1	12.916667	0	0	0	0	0	0	0	0	0	155	0	0	0
Sbno2	12.916667	0	0	0	0	0	0	0	0	0	155	0	0	0
R3hdm2	12.916667	0	0	0	0	0	0	0	0	0	155	0	0	0
Klhl22	12.916667	0	0	0	0	0	0	0	0	0	155	0	0	0
Ghitm	12.916667	0	0	0	0	0	0	0	0	0	155	0	0	0
G3bp1	12.916667	0	0	0	0	0	0	0	0	0	155	0	0	0
Fetub	12.916667	0	0	0	0	0	0	0	0	0	155	0	0	0
Zmynd8	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Zfp330	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Stk32c	12.833333	0	0	0	0	0	154	0	0	0	0	0	0	0
Sfxn3	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Pdzd7	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Dhx33	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Cfap43	12.833333	0	0	0	0	0	0	0	0	0	154	0	0	0
Hspa4	12.750000	0	0	0	0	0	0	0	0	0	153	0	0	0
Fbxw16	12.583333	0	0	0	0	0	0	0	151	0	0	0	0	0
Cavin3	12.583333	0	0	0	0	0	0	0	0	0	0	0	151	0
Zfand2a	12.500000	0	0	0	0	0	0	0	0	0	150	0	0	0
Pgam1	12.500000	0	0	0	0	0	0	0	0	0	150	0	0	0
Nfxl1	12.500000	0	0	0	0	0	0	0	0	0	150	0	0	0
Tuba4a	12.416667	0	0	0	0	0	0	0	0	0	149	0	0	0
Tigd4	12.416667	0	0	0	0	0	0	0	0	0	149	0	0	0
A630095N17Rik	12.416667	0	0	0	0	0	0	0	0	0	149	0	0	0
Ranbp2	12.333333	0	0	0	0	0	0	0	0	0	148	0	0	0
Gatb	12.250000	0	0	0	0	0	0	0	0	0	147	0	0	0
Ubb	12.166667	0	0	0	0	0	0	0	0	0	146	0	0	0
Tax1bp1	12.166667	0	0	0	0	0	0	0	0	0	146	0	0	0
Phf8	12.166667	0	0	0	0	0	0	0	0	0	146	0	0	0
Olfr918	12.166667	0	0	0	0	0	0	0	0	0	146	0	0	0
Hint1	12.166667	0	0	0	0	0	0	0	0	0	146	0	0	0
Etfrf1	12.166667	0	0	0	0	0	0	0	0	0	146	0	0	0
Casc1	12.166667	0	0	0	0	0	0	0	0	0	146	0	0	0
Tox4	12.083333	0	0	0	0	0	0	0	0	0	145	0	0	0
Tfap4	12.083333	0	0	0	0	0	0	0	0	0	145	0	0	0
Slco4a1	12.083333	0	0	0	0	0	0	0	0	0	145	0	0	0
Slc25a38	12.083333	0	0	0	0	0	0	0	0	0	145	0	0	0
Rab2b	12.083333	0	0	0	0	0	0	0	0	0	145	0	0	0
Prr5l	12.083333	0	0	0	0	0	0	0	0	0	145	0	0	0
Pla2g6	12.083333	0	0	0	0	0	0	0	0	0	145	0	0	0
Ibtk	12.083333	0	0	0	0	0	0	0	0	0	145	0	0	0
Commd9	12.083333	0	0	0	0	0	0	0	0	0	145	0	0	0
4930579F01Rik	12.083333	0	0	0	0	0	0	0	0	0	145	0	0	0
Zc2hc1c	12.000000	0	0	0	0	0	0	0	0	0	144	0	0	0
Tcirg1	12.000000	0	0	0	0	0	0	0	0	0	144	0	0	0
Eno1	12.000000	0	0	0	0	0	0	0	0	0	144	0	0	0
Acyp1	12.000000	0	0	0	0	0	0	0	0	0	144	0	0	0
Slc38a7	11.916667	0	0	0	0	0	0	0	0	0	143	0	0	0
Ociad1	11.916667	0	0	0	0	0	0	0	0	0	143	0	0	0
Glo1	11.916667	0	0	0	0	0	0	0	0	0	143	0	0	0
Taldo1	11.833333	0	0	0	0	0	0	0	0	0	142	0	0	0
Pnpla8	11.833333	0	0	0	0	0	0	0	0	0	142	0	0	0
Prepl	11.750000	0	0	0	0	0	0	0	0	0	141	0	0	0
Camkmt	11.750000	0	0	0	0	0	0	0	0	0	141	0	0	0
Ankle1	11.750000	0	0	0	0	0	0	0	0	0	141	0	0	0
Spata5l1	11.666667	0	0	0	0	0	0	0	0	0	140	0	0	0
Psma4	11.666667	0	0	0	0	0	0	0	0	0	140	0	0	0
Fscn1	11.666667	0	0	0	0	0	0	0	0	0	140	0	0	0
Akap12	11.666667	0	0	0	0	0	0	0	0	0	140	0	0	0
AY074887	11.666667	0	0	0	0	0	0	0	0	0	140	0	0	0
Trmt1	11.583333	0	0	0	0	0	0	0	0	0	139	0	0	0
Rnf38	11.583333	0	0	0	0	0	0	0	0	0	139	0	0	0
Rbm27	11.583333	0	0	0	0	0	0	0	0	0	139	0	0	0
Ptk7	11.583333	0	0	0	0	0	0	0	0	0	139	0	0	0
Palld	11.583333	0	0	0	0	0	0	0	0	0	139	0	0	0
Nacc1	11.583333	0	0	0	0	0	0	0	0	0	139	0	0	0
Gadd45g	11.583333	0	0	0	0	0	0	0	0	0	139	0	0	0
Fam133b	11.583333	0	0	0	0	0	0	0	0	0	139	0	0	0
Rptor	11.500000	0	0	0	0	0	0	0	0	0	138	0	0	0
Eif4ebp1	11.500000	0	0	0	0	0	0	0	0	0	138	0	0	0
Mettl7a1	11.416667	0	0	0	0	0	0	0	0	0	137	0	0	0
U2af1l4	11.333333	0	0	0	0	0	0	0	0	0	136	0	0	0
Smim3	11.333333	0	0	0	0	0	0	0	0	0	136	0	0	0
Slc1a6	11.333333	0	0	0	0	0	0	0	0	0	136	0	0	0
Ptgir	11.333333	0	0	0	0	0	0	0	0	0	136	0	0	0
Psenen	11.333333	0	0	0	0	0	0	0	0	0	136	0	0	0
Plcd3	11.333333	0	0	0	0	0	0	0	0	0	136	0	0	0
Pcbp1	11.333333	0	0	0	0	0	0	0	0	0	136	0	0	0
Lin37	11.333333	0	0	0	0	0	0	0	0	0	136	0	0	0
Hsh2d	11.333333	0	0	0	0	0	0	0	136	0	0	0	0	0
Gabpb2	11.333333	0	0	0	0	0	0	0	0	0	136	0	0	0
Cpxm1	11.333333	0	0	0	0	0	0	0	0	0	136	0	0	0
Cpeb1	11.333333	0	0	0	0	0	0	0	0	0	136	0	0	0
Zfp112	11.250000	0	0	0	0	0	0	0	0	0	135	0	0	0
Pak1ip1	11.250000	0	0	0	0	0	0	0	0	0	135	0	0	0
Ip6k2	11.250000	0	0	0	0	0	0	0	0	0	135	0	0	0
Eif5	11.250000	0	0	0	0	0	0	0	0	0	135	0	0	0
Lpl	11.166667	0	0	0	0	0	0	0	0	0	134	0	0	0
Sval1	11.083333	0	0	0	0	0	0	0	0	0	133	0	0	0
Aldh3b1	11.083333	0	0	0	0	0	0	0	0	0	133	0	0	0
Tmcc1	11.000000	0	0	0	0	0	0	0	0	0	132	0	0	0
Mettl21a	11.000000	0	0	0	0	0	0	0	0	0	132	0	0	0
Kcna5	10.916667	0	0	131	0	0	0	0	0	0	0	0	0	0
Ino80	10.916667	0	0	0	0	0	0	0	0	0	131	0	0	0
Ciao2b	10.916667	0	0	0	0	0	0	0	0	0	131	0	0	0
Acad12	10.916667	0	0	0	0	0	0	0	0	0	131	0	0	0
Ly6c1	10.750000	0	0	0	0	0	0	0	0	0	129	0	0	0
Irgm1	10.750000	0	0	0	0	0	0	0	0	0	129	0	0	0
2310030G06Rik	10.750000	0	0	0	0	0	0	0	0	0	129	0	0	0
Hsf2	10.666667	0	0	0	0	0	0	0	0	0	128	0	0	0
Usp5	10.583333	0	0	0	0	0	0	0	0	0	127	0	0	0
Gsx2	10.583333	0	0	0	0	0	0	0	0	0	127	0	0	0
Cdca3	10.583333	0	0	0	0	0	0	0	0	0	127	0	0	0
Zfp78	10.500000	0	0	0	0	0	0	0	0	0	126	0	0	0
Psg29	10.500000	0	0	0	0	0	0	0	0	0	126	0	0	0
Pir	10.500000	0	0	0	0	0	0	0	0	0	126	0	0	0
Pex12	10.500000	0	0	0	0	0	0	0	0	0	126	0	0	0
Olfr1457	10.500000	0	0	0	0	0	0	0	0	0	126	0	0	0
Mstn	10.500000	0	0	0	0	0	0	0	126	0	0	0	0	0
Mettl6	10.500000	0	0	0	0	0	0	0	0	0	126	0	0	0
Mapk9	10.500000	0	0	0	0	0	0	0	0	0	126	0	0	0
Kif2a	10.500000	0	0	0	0	0	0	0	126	0	0	0	0	0
Hba-a2	10.500000	0	0	0	0	0	0	0	0	0	126	0	0	0
Hba-a1	10.500000	0	0	0	0	0	0	0	0	0	126	0	0	0
Eaf1	10.500000	0	0	0	0	0	0	0	0	0	126	0	0	0
Dhx32	10.500000	0	0	0	0	0	0	0	126	0	0	0	0	0
Ap2b1	10.500000	0	0	0	0	0	0	0	0	0	126	0	0	0
Uck2	10.416667	0	0	0	0	0	0	0	0	0	125	0	0	0
Erdr1	10.416667	0	0	0	0	0	0	0	125	0	0	0	0	0
Ccdc130	10.416667	0	0	0	0	0	0	0	0	0	125	0	0	0
Zbtb6	10.333333	0	0	0	0	0	0	0	0	0	124	0	0	0
Rock2	10.333333	0	0	0	0	0	0	0	0	0	124	0	0	0
Olfr983	10.333333	0	0	0	0	0	0	0	0	0	124	0	0	0
Zgpat	10.250000	0	0	0	0	0	0	0	0	0	123	0	0	0
Arfrp1	10.250000	0	0	0	0	0	0	0	0	0	123	0	0	0
Ahnak2	10.250000	0	0	0	0	0	0	0	0	0	123	0	0	0
Slc25a25	10.166667	0	0	0	0	0	0	0	0	0	122	0	0	0
Ppbp	10.166667	0	0	0	0	0	0	0	0	0	0	0	122	0
Naif1	10.166667	0	0	0	0	0	0	0	0	0	122	0	0	0
Setdb2	9.916667	0	0	0	119	0	0	0	0	0	0	0	0	0
Nmt1	9.916667	0	0	0	0	0	0	0	0	0	119	0	0	0
Gm45935	9.916667	0	0	0	119	0	0	0	0	0	0	0	0	0
