Target_genes	Smad4|Average	SRX3014617|CD4+_T_cells	SRX3014618|CD4+_T_cells	SRX3014619|CD4+_T_cells	SRX3014620|CD4+_T_cells	SRX13508245|CD8+_T_cells	SRX5023289|Duodenum	SRX5023290|Duodenum	SRX3101083|Embryoid_Bodies	SRX3101084|Embryoid_Bodies	SRX5251395|Embryoid_Bodies	SRX5251396|Embryoid_Bodies	SRX5251388|ES_cells	SRX4046280|Forelimb	SRX4061017|Forelimb	SRX4061018|Forelimb	SRX4061019|Forelimb	SRX4061020|Forelimb	SRX529265|Lung	SRX19498660|Microglia	SRX19498661|Microglia	SRX19498663|Microglia	SRX19498664|Microglia	SRX1094554|Neural_Stem_Cells	SRX5551007|Unclassified	SRX5551008|Unclassified	SRX5551011|Unclassified	SRX5551012|Unclassified	STRING
Rnf19a	48.962963	0	119	0	0	0	122	290	65	0	0	0	0	0	0	0	143	171	101	0	0	0	0	98	213	0	0	0	0
Resf1	48.962963	204	140	0	0	0	89	118	0	0	0	0	0	0	0	0	117	69	148	0	0	0	0	183	121	133	0	0	0
Il17ra	48.962963	182	143	0	0	0	0	0	89	0	0	90	0	0	0	0	0	0	0	205	191	188	234	0	0	0	0	0	0
Hint1	48.962963	82	0	0	0	0	115	101	0	0	0	0	0	0	0	0	125	132	104	0	0	0	0	147	190	113	213	0	0
Capg	48.962963	200	310	0	0	0	0	0	141	0	0	139	0	0	0	0	0	0	180	0	0	0	0	0	194	0	158	0	0
Phlpp1	48.925926	117	130	0	0	0	0	147	0	0	0	0	0	0	0	0	104	132	379	0	0	0	0	190	122	0	0	0	0
Ctsd	48.925926	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	197	175	153	216	0	184	0	102	107	0
Tac4	48.888889	272	210	0	0	0	0	0	165	0	0	165	0	0	0	0	0	0	340	0	0	0	0	87	0	0	81	0	0
Rest	48.888889	85	190	0	0	0	0	0	208	0	0	207	201	0	0	0	123	153	0	0	0	0	0	153	0	0	0	0	0
Pds5b	48.888889	163	141	0	0	0	0	65	0	0	0	0	0	0	0	0	86	111	410	0	0	0	0	115	127	0	0	102	0
Kdm8	48.888889	247	223	0	0	0	0	108	0	0	0	0	0	0	0	0	175	73	223	0	0	0	0	0	172	99	0	0	0
Gga1	48.888889	305	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	173	171	0	89	0	0
Hint3	48.851852	178	152	0	0	0	0	112	0	0	0	0	0	0	0	0	125	86	212	0	0	0	0	132	215	0	107	0	0
Esr1	48.814815	0	0	0	0	0	0	0	0	0	210	0	0	273	0	0	177	135	279	0	0	0	0	244	0	0	0	0	0
Atp6v1g1	48.814815	101	0	0	0	0	94	0	0	0	0	0	0	0	0	0	146	177	0	100	0	0	0	0	600	0	100	0	0
Adgra2	48.814815	0	0	0	0	0	0	0	442	0	0	439	143	0	0	0	0	146	148	0	0	0	0	0	0	0	0	0	0
Serpinb6a	48.777778	81	80	0	0	0	223	216	0	0	0	0	0	0	0	0	125	103	164	0	0	0	0	81	159	85	0	0	0
Sdccag8	48.777778	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	136	78	214	194	129	0	0	176	183	0	114	0	0
Pank1	48.777778	0	0	0	0	0	194	222	0	0	0	0	0	0	0	0	138	275	142	0	0	0	0	0	243	103	0	0	0
Olfr697	48.777778	0	0	0	0	0	0	0	289	0	0	254	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep170	48.777778	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	136	78	214	194	129	0	0	176	183	0	114	0	0
Cass4	48.777778	564	327	0	0	0	0	0	214	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyb561	48.740741	0	0	0	0	0	222	84	132	0	0	133	0	0	0	0	0	0	745	0	0	0	0	0	0	0	0	0	0
Cop1	48.740741	0	148	0	0	0	133	197	0	0	0	0	0	0	0	0	210	146	118	0	0	0	0	185	179	0	0	0	0
Prepl	48.703704	168	159	0	0	0	154	107	0	0	0	0	0	0	0	0	116	79	295	0	0	0	0	0	237	0	0	0	0
Orai1	48.703704	132	99	0	0	0	92	124	0	0	0	0	0	0	0	0	87	0	159	0	0	0	0	97	232	0	169	124	0
Cbll1	48.703704	89	142	0	0	0	144	118	0	0	0	0	0	0	0	0	95	83	190	93	0	0	0	76	182	103	0	0	0
Camkmt	48.703704	168	159	0	0	0	154	107	0	0	0	0	0	0	0	0	116	79	295	0	0	0	0	0	237	0	0	0	0
Zc3h12a	48.666667	99	124	0	0	0	177	253	0	0	0	0	0	0	0	0	0	0	96	124	0	0	183	0	258	0	0	0	0
Slc25a16	48.666667	126	123	0	0	0	0	106	87	0	0	84	0	0	0	0	0	0	368	0	0	0	0	138	119	163	0	0	0
Nedd4	48.666667	205	0	0	0	0	0	0	189	0	0	187	0	0	0	0	155	191	0	0	0	0	0	207	0	0	180	0	0
Mllt11	48.666667	0	94	0	0	0	0	0	217	0	0	216	0	0	0	0	0	0	0	0	0	0	173	161	306	0	147	0	0
Mdn1	48.666667	150	230	0	0	0	114	102	84	0	0	84	0	0	0	0	117	0	206	0	0	0	0	134	93	0	0	0	0
Dnmbp	48.666667	289	204	0	0	0	0	0	0	0	0	0	0	0	0	0	99	142	132	0	0	0	0	0	290	158	0	0	0
Cdc42se1	48.666667	0	94	0	0	0	0	0	217	0	0	216	0	0	0	0	0	0	0	0	0	0	173	161	306	0	147	0	0
Wdr1	48.629630	186	237	0	0	0	80	0	0	0	0	0	0	0	0	0	146	0	230	0	0	0	0	134	300	0	0	0	0
Nab2	48.629630	385	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	254	254	0	0	0	0
Mkrn2	48.629630	129	0	0	0	0	0	0	149	0	0	149	0	0	0	0	123	86	278	0	0	0	0	280	119	0	0	0	0
Champ1	48.629630	143	89	0	0	0	0	0	0	0	0	0	0	0	0	0	172	174	412	0	0	0	0	185	138	0	0	0	0
Btaf1	48.629630	162	135	0	0	0	134	248	0	0	0	0	0	0	0	0	114	157	134	0	0	0	0	92	137	0	0	0	0
Anxa5	48.629630	88	121	0	0	0	0	0	95	0	0	103	0	0	0	0	103	0	276	0	0	0	0	0	318	104	105	0	0
1810062G17Rik	48.629630	88	121	0	0	0	0	0	95	0	0	103	0	0	0	0	103	0	276	0	0	0	0	0	318	104	105	0	0
Psmg3	48.592593	174	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	743	0	0	0	0	214	0	0	0	0	0
Msh3	48.592593	270	179	0	0	0	0	0	0	0	0	0	0	0	0	0	114	95	185	0	0	0	0	0	469	0	0	0	0
Kazn	48.592593	0	0	0	0	0	0	0	445	0	0	445	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0
Dph6	48.592593	158	183	0	0	0	80	166	0	0	0	0	0	0	0	0	117	143	292	0	0	0	0	0	173	0	0	0	0
Dhfr	48.592593	270	179	0	0	0	0	0	0	0	0	0	0	0	0	0	114	95	185	0	0	0	0	0	469	0	0	0	0
Por	48.555556	98	85	0	0	0	0	90	0	0	0	0	0	0	0	0	145	0	343	171	0	0	0	0	186	107	86	0	0
Herc1	48.555556	104	113	0	0	0	143	173	119	0	0	118	0	0	0	0	180	156	0	0	0	0	0	0	205	0	0	0	0
Rapgef6	48.518519	186	275	0	0	0	97	127	0	0	0	0	0	0	0	0	0	86	144	0	0	0	0	81	174	0	140	0	0
Lrp2	48.518519	0	0	0	0	0	0	0	415	0	0	412	0	0	0	0	178	175	0	0	0	0	0	130	0	0	0	0	0
Gm9222	48.518519	0	0	0	0	0	84	162	0	0	0	0	0	0	0	0	135	115	270	0	0	0	0	150	294	100	0	0	0
Auh	48.518519	205	112	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	141	124	0	0	0	132	340	120	0	0	0
Snx15	48.481481	119	238	0	0	0	0	0	0	0	0	87	0	0	0	0	0	77	235	0	0	0	0	107	336	110	0	0	0
Ddx59	48.481481	0	139	0	0	0	0	0	119	0	0	117	0	0	0	0	168	95	165	0	0	0	0	295	105	106	0	0	0
Vrk2	48.444444	0	88	0	0	0	146	90	0	0	0	0	0	0	0	0	101	196	0	0	0	0	0	77	440	170	0	0	0
Smndc1	48.444444	173	157	0	0	0	0	0	0	0	0	0	0	0	0	0	105	135	248	0	0	0	0	162	105	0	117	106	0
Pde6d	48.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	84	348	0	0	0	0	599	165	0	0	0	0
Cops7b	48.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	84	348	0	0	0	0	599	165	0	0	0	0
Ythdc2	48.407407	92	117	0	0	0	163	176	0	0	0	0	0	0	0	0	186	86	119	0	0	0	0	113	109	146	0	0	0
Mertk	48.407407	0	0	0	0	0	273	360	0	0	0	0	0	0	0	0	94	0	187	0	0	0	0	0	250	143	0	0	0
Hnrnpr	48.407407	128	80	0	0	0	0	138	132	0	0	131	0	0	0	0	94	107	111	0	0	0	0	215	171	0	0	0	0
Hdac5	48.407407	280	300	0	0	0	96	0	83	0	0	84	0	0	0	0	0	0	283	0	0	0	0	88	93	0	0	0	0
Tpm1	48.370370	180	159	0	0	0	0	0	164	0	0	163	0	0	0	0	0	0	260	0	0	0	0	119	146	0	115	0	0
Pip4k2b	48.370370	110	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	213	0	0	0	128	213	0	166	144	0
Errfi1	48.370370	116	106	0	0	0	0	0	122	0	0	130	0	0	0	0	113	137	158	0	0	0	0	129	146	0	149	0	0
Emp1	48.370370	425	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	181	0	0	107	134	0
Elp5	48.333333	109	101	0	0	0	0	0	118	0	0	119	0	0	0	0	0	0	225	0	0	0	0	185	112	0	252	84	0
Ctdnep1	48.333333	109	101	0	0	0	0	0	118	0	0	119	0	0	0	0	0	0	225	0	0	0	0	185	112	0	252	84	0
Tasor	48.296296	233	153	0	0	0	84	175	0	0	0	0	0	0	0	0	109	187	124	0	0	0	0	0	239	0	0	0	0
Ncoa1	48.296296	313	186	0	0	0	176	268	0	0	0	0	0	0	0	0	163	198	0	0	0	0	0	0	0	0	0	0	0
Mtrf1	48.296296	658	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0
Gpr157	48.296296	111	0	0	0	0	311	296	75	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	214	92	130	0	0
Peli1	48.259259	129	0	0	0	0	160	177	0	0	0	62	0	0	0	0	177	145	187	0	0	0	0	0	266	0	0	0	0
Zfp943	48.222222	149	169	0	0	0	0	124	0	0	0	0	0	0	0	0	133	104	170	0	0	0	0	0	218	235	0	0	0
Zfp942	48.222222	149	169	0	0	0	0	124	0	0	0	0	0	0	0	0	133	104	170	0	0	0	0	0	218	235	0	0	0
Rps7	48.222222	114	140	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	778	0	0	0	0	166	0	0	0	0	0
Pgap6	48.222222	95	0	0	0	0	0	0	606	0	0	601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfia	48.222222	83	92	0	0	0	0	0	0	0	0	0	0	0	0	0	131	74	307	0	0	0	228	0	387	0	0	0	0
Morf4l1	48.222222	152	164	0	0	0	119	0	0	0	0	0	0	0	0	0	132	0	341	0	0	0	0	165	229	0	0	0	0
Ctla2a	48.222222	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1183	0	0	0	0	0	0	0	0	0	0
Arl6ip5	48.222222	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	94	71	173	0	0	0	0	0	768	0	82	0	0
Zfp809	48.185185	214	170	0	0	0	0	96	0	0	0	0	0	0	0	0	105	106	345	0	0	0	0	86	179	0	0	0	0
Virma	48.185185	156	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	255	0	0	0	0	222	208	247	0	0	0
Slc35f6	48.185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	107	123	166	192	0	339	184	0	111	0
Lyrm1	48.185185	222	220	0	0	0	0	0	0	0	0	0	0	0	0	0	142	196	179	0	0	0	0	148	194	0	0	0	0
Dcun1d3	48.185185	222	220	0	0	0	0	0	0	0	0	0	0	0	0	0	142	196	179	0	0	0	0	148	194	0	0	0	0
Plcg2	48.148148	0	0	0	0	0	0	102	182	0	0	180	0	0	0	0	0	70	0	0	0	0	0	0	436	330	0	0	0
Igsf9	48.148148	0	0	0	0	0	125	179	220	0	0	219	0	0	0	0	0	170	215	0	0	0	0	0	172	0	0	0	0
B4galt6	48.148148	0	0	0	0	0	79	0	390	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	254	99	0	87	0
Ap4e1	48.148148	388	344	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	332	0	0	0	0	0	0	0	141	0	0
U2af1	48.111111	101	118	0	0	0	116	185	94	0	0	100	0	0	0	0	114	100	139	0	0	0	0	127	105	0	0	0	0
Prdm1	48.111111	466	245	0	0	0	123	0	85	0	0	85	0	0	0	0	69	0	120	0	0	0	0	0	106	0	0	0	0
Isca1	48.111111	163	125	0	0	0	163	104	0	0	0	0	0	0	0	0	110	0	408	0	0	0	0	0	117	0	109	0	0
Entpd5	48.111111	0	117	0	0	0	99	126	0	0	0	0	0	0	0	0	142	180	151	0	0	0	0	111	246	0	127	0	0
Bbof1	48.111111	0	117	0	0	0	99	126	0	0	0	0	0	0	0	0	142	180	151	0	0	0	0	111	246	0	127	0	0
Pcnp	48.074074	198	222	0	0	0	0	0	0	0	0	0	0	0	0	0	255	133	177	0	0	0	0	0	146	167	0	0	0
Gps2	48.074074	166	201	0	0	0	84	76	0	0	0	0	0	0	0	0	117	106	193	0	0	0	0	355	0	0	0	0	0
Cep135	48.074074	183	0	0	0	0	0	53	0	0	0	0	0	0	0	0	109	143	259	0	0	0	0	344	207	0	0	0	0
Atp6v1c1	48.074074	234	285	0	0	0	0	96	0	0	0	0	0	0	0	0	140	0	163	0	0	0	0	152	129	99	0	0	0
Cxxc5	48.037037	0	0	0	0	0	0	0	144	0	0	144	0	0	0	0	99	81	129	155	251	144	0	150	0	0	0	0	0
Aktip	48.037037	127	115	0	0	0	109	114	0	0	0	74	0	0	0	0	127	96	263	0	0	0	0	127	145	0	0	0	0
Ajuba	48.037037	0	0	0	0	0	0	0	291	0	0	289	100	0	0	0	0	0	110	0	0	0	0	0	388	119	0	0	0
1700030J22Rik	48.037037	409	406	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	132	113	0	0	0	0	134	0	0	0	0
Ppp6c	48.000000	91	162	0	0	0	0	127	0	0	0	0	0	0	0	0	65	164	440	0	0	0	0	0	247	0	0	0	0
Mat2a	48.000000	110	139	0	0	0	123	133	0	0	0	0	0	0	0	0	145	118	255	0	0	0	0	0	273	0	0	0	0
Lcp2	48.000000	425	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	447	0	0	0	0
Jarid2	48.000000	126	113	0	0	0	118	139	141	80	0	148	0	0	0	0	0	123	159	0	0	0	0	0	149	0	0	0	0
Arrb2	48.000000	152	109	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	140	0	0	0	95	254	322	0	149	0	0
Nrip1	47.962963	226	110	0	0	0	96	75	0	0	0	0	0	0	0	0	199	94	108	0	0	0	0	159	140	88	0	0	0
Hpf1	47.962963	127	99	0	0	0	0	0	103	0	0	101	0	0	0	0	0	139	200	0	0	0	0	139	209	0	178	0	0
5730455P16Rik	47.962963	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	150	104	264	0	0	0	0	316	188	173	0	0	0
Tssc4	47.925926	251	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	168	171	0	86	0	0
Them6	47.925926	281	267	0	0	0	0	0	99	0	0	109	0	0	0	0	0	0	275	0	0	0	0	103	160	0	0	0	0
Ppp4c	47.925926	192	142	0	0	0	0	0	73	0	0	72	0	0	0	0	96	101	191	85	0	0	0	204	0	67	71	0	0
Pcdhgc5	47.925926	191	151	0	0	0	105	0	0	0	0	0	0	0	0	0	269	476	102	0	0	0	0	0	0	0	0	0	0
Pcdhgc4	47.925926	191	151	0	0	0	105	0	0	0	0	0	0	0	0	0	269	476	102	0	0	0	0	0	0	0	0	0	0
Gon4l	47.925926	0	0	0	0	0	0	0	118	0	0	99	0	0	0	0	117	137	198	195	0	91	0	228	0	0	111	0	0
Ctrl	47.925926	0	0	0	0	0	0	0	288	0	0	288	0	0	0	0	90	0	175	0	0	86	0	0	132	0	93	142	0
Dnaja1	47.888889	180	204	0	0	0	101	140	0	0	0	0	0	0	0	0	94	99	138	0	0	0	0	112	148	0	77	0	0
Pfas	47.851852	248	170	0	0	0	0	0	102	0	0	100	0	0	0	0	109	116	164	0	0	0	0	283	0	0	0	0	0
Mcph1	47.851852	119	128	0	0	0	88	114	0	0	0	0	0	0	0	0	207	86	302	0	0	0	0	102	146	0	0	0	0
Gm13283	47.851852	210	204	0	0	0	0	0	0	0	0	0	0	0	276	0	83	0	222	0	0	0	0	79	218	0	0	0	0
Ppp1r3d	47.814815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	150	0	0	0	0	103	110	553	139	166	0	0
Ncoa7	47.814815	134	118	0	0	0	207	144	0	0	0	0	0	0	0	0	142	160	0	0	0	0	0	80	170	136	0	0	0
Fam217b	47.814815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	150	0	0	0	0	103	110	553	139	166	0	0
Exd1	47.814815	0	0	0	0	0	98	0	204	0	0	207	0	0	0	0	94	117	150	0	0	0	0	92	213	0	116	0	0
Chp1	47.814815	0	0	0	0	0	98	0	204	0	0	207	0	0	0	0	94	117	150	0	0	0	0	92	213	0	116	0	0
Pgp	47.777778	116	141	0	0	0	206	148	0	0	0	0	0	0	0	0	99	88	228	0	0	0	0	145	119	0	0	0	0
Hipk3	47.777778	136	148	0	0	0	160	131	0	0	0	0	0	0	0	0	185	148	125	0	0	0	0	107	150	0	0	0	0
Sun2	47.740741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	132	186	156	229	180	0	0	0
Secisbp2	47.740741	248	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	379	0	0	0	0	208	0	111	0	0	0
Prrt1	47.740741	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	141	439	187	218	98	0
Ppt2	47.740741	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	141	439	187	218	98	0
Nphs1	47.740741	0	0	0	0	0	0	0	287	0	0	296	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nme6	47.740741	230	248	0	0	0	0	0	0	0	0	0	109	0	0	0	0	113	209	0	0	0	0	0	200	180	0	0	0
Ncstn	47.703704	172	215	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	296	0	0	0	0	0	186	144	0	166	0
Mapk1ip1l	47.703704	91	0	0	0	0	0	81	0	0	0	0	0	0	0	0	138	182	223	0	0	0	0	133	248	192	0	0	0
Copa	47.703704	172	215	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	296	0	0	0	0	0	186	144	0	166	0
Ankrd6	47.703704	97	0	0	0	0	0	89	443	0	0	442	0	0	0	0	106	111	0	0	0	0	0	0	0	0	0	0	0
Ubp1	47.666667	0	104	0	0	0	0	134	0	0	0	0	0	0	0	0	115	124	197	0	0	0	0	0	265	0	225	123	0
Ptges3	47.666667	201	171	0	0	0	122	119	0	0	0	101	0	0	0	0	100	119	103	0	0	0	0	122	0	0	129	0	0
Atic	47.666667	75	0	0	0	0	88	0	0	0	0	0	0	0	0	0	133	95	83	0	0	0	0	0	584	229	0	0	0
Zranb2	47.629630	251	324	0	0	0	89	168	0	0	0	0	0	0	0	0	150	0	208	0	0	0	0	96	0	0	0	0	0
Vps13b	47.629630	182	171	0	0	0	131	154	0	0	0	0	0	0	0	0	168	123	138	0	0	0	0	219	0	0	0	0	0
Stk32c	47.629630	183	209	0	0	0	0	147	91	0	0	90	0	0	0	0	81	139	221	0	0	0	0	0	125	0	0	0	0
Rps10	47.629630	227	167	0	0	0	115	146	0	0	0	0	0	0	0	0	0	0	209	142	0	0	0	0	133	0	147	0	0
Lrrc27	47.629630	183	209	0	0	0	0	147	91	0	0	90	0	0	0	0	81	139	221	0	0	0	0	0	125	0	0	0	0
Kifap3	47.629630	0	125	0	0	0	97	0	124	0	0	132	0	0	0	0	176	180	230	0	0	0	0	0	112	0	110	0	0
Fam162a	47.629630	166	155	0	0	0	0	0	0	0	0	0	0	0	0	0	133	145	78	0	0	0	0	177	336	96	0	0	0
Ccdc58	47.629630	166	155	0	0	0	0	0	0	0	0	0	0	0	0	0	133	145	78	0	0	0	0	177	336	96	0	0	0
Sec14l2	47.592593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	207	187	381	97	218	0	0	0	0
Ndc1	47.592593	137	156	0	0	0	89	0	267	0	0	263	0	0	0	0	0	0	147	0	0	0	0	0	226	0	0	0	0
Ubr4	47.555556	79	122	0	0	0	0	176	0	0	0	0	0	0	0	0	0	77	215	0	0	0	0	228	239	148	0	0	0
Mr1	47.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	225	0	0	0	0	672	290	0	0	0
Mbd5	47.555556	120	87	0	0	0	0	0	0	0	0	0	0	0	0	0	101	143	328	0	0	0	0	160	169	176	0	0	0
Iqcn	47.555556	214	108	0	0	0	184	115	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	161	136	0	106	0	0
Fkbp5	47.555556	0	0	0	0	0	111	153	0	0	0	0	0	0	0	0	94	114	610	0	0	0	0	0	202	0	0	0	0
Fbxo33	47.555556	163	207	0	0	0	119	146	0	0	0	0	0	0	0	0	140	104	158	0	0	0	0	0	247	0	0	0	0
Dnajb6	47.555556	137	151	0	0	0	0	0	192	0	0	201	0	0	0	0	130	136	191	0	0	0	0	0	146	0	0	0	0
Akirin1	47.555556	106	156	0	0	0	116	156	0	0	0	0	0	0	0	0	0	124	237	0	0	0	0	124	166	0	99	0	0
Ttc9c	47.518519	128	121	0	0	0	226	139	0	0	0	0	0	0	0	0	122	109	248	0	0	0	0	81	109	0	0	0	0
Supv3l1	47.518519	201	266	0	0	0	0	122	80	0	0	78	0	0	0	0	127	0	159	0	0	0	0	250	0	0	0	0	0
Stx11	47.518519	222	195	0	0	0	0	0	181	0	0	179	0	0	0	0	130	127	0	0	0	0	0	0	249	0	0	0	0
Hnrnpul2	47.518519	128	121	0	0	0	226	139	0	0	0	0	0	0	0	0	122	109	248	0	0	0	0	81	109	0	0	0	0
Abhd18	47.518519	121	208	0	0	0	0	81	82	0	0	0	0	0	0	0	117	164	296	0	0	0	0	0	77	137	0	0	0
Tdp2	47.481481	136	176	0	0	0	0	0	91	0	0	91	0	0	0	0	117	119	163	0	0	0	0	123	154	0	112	0	0
Rpl15	47.481481	97	131	0	0	0	0	0	0	0	0	0	0	0	0	0	101	102	423	0	0	0	0	0	323	0	105	0	0
Nkiras1	47.481481	97	131	0	0	0	0	0	0	0	0	0	0	0	0	0	101	102	423	0	0	0	0	0	323	0	105	0	0
Mafa	47.481481	199	113	0	0	0	0	0	125	0	0	125	0	0	0	0	0	0	477	0	0	0	0	243	0	0	0	0	0
Cd40	47.481481	0	0	0	0	0	0	0	292	0	0	293	0	0	0	0	0	0	456	0	0	0	0	0	115	0	126	0	0
Acot13	47.481481	136	176	0	0	0	0	0	91	0	0	91	0	0	0	0	117	119	163	0	0	0	0	123	154	0	112	0	0
Wdr70	47.444444	179	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	347	0	0	0	0	254	0	193	0	0	0
Runx1	47.444444	429	197	0	0	0	0	0	0	0	0	0	0	0	0	0	86	102	120	120	0	0	121	0	0	0	106	0	0
Ncaph2	47.444444	155	167	0	0	0	0	0	89	0	0	87	0	0	0	0	0	0	267	0	0	0	0	190	326	0	0	0	0
Lmf2	47.444444	155	167	0	0	0	0	0	89	0	0	87	0	0	0	0	0	0	267	0	0	0	0	190	326	0	0	0	0
Dipk2a	47.444444	119	177	0	0	0	160	74	0	0	0	0	0	0	0	0	98	0	114	0	0	78	0	248	213	0	0	0	0
Scap	47.407407	119	151	0	0	0	106	102	0	0	0	0	0	0	0	0	129	154	178	0	0	0	0	0	263	78	0	0	0
Hibch	47.407407	204	186	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	155	0	0	0	0	0	394	141	0	114	0
Bmpr1a	47.407407	0	0	0	0	0	0	113	101	0	0	101	0	0	0	0	171	201	0	0	0	0	0	188	405	0	0	0	0
Adgrg1	47.407407	138	0	0	0	0	159	164	141	0	0	141	0	0	0	0	0	0	102	159	0	0	0	276	0	0	0	0	0
Gab1	47.370370	0	0	0	0	0	142	120	134	0	0	133	0	0	0	0	124	98	139	0	0	0	0	203	186	0	0	0	0
Caprin1	47.370370	104	100	0	0	0	121	147	0	0	0	0	0	0	0	0	157	270	0	0	0	0	0	0	301	79	0	0	0
Atxn3	47.370370	134	103	0	0	0	173	169	0	0	0	0	0	0	0	0	0	97	298	0	0	0	0	181	124	0	0	0	0
Lap3	47.333333	86	129	0	0	0	0	0	91	0	0	91	0	0	0	0	92	107	0	121	0	0	0	168	210	106	77	0	0
Erlec1	47.333333	202	154	0	0	0	152	0	0	0	0	0	0	0	0	0	117	123	192	0	0	0	0	160	178	0	0	0	0
C330018D20Rik	47.333333	186	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	258	0	0	0	0	0	268	148	0	0	0
Asb3	47.333333	202	154	0	0	0	152	0	0	0	0	0	0	0	0	0	117	123	192	0	0	0	0	160	178	0	0	0	0
Arrdc2	47.333333	131	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	116	0	302	85	198	163	0
Runx1t1	47.296296	0	0	0	0	0	0	0	392	0	0	401	0	0	0	0	167	168	149	0	0	0	0	0	0	0	0	0	0
E2f5	47.296296	160	125	0	0	0	90	151	0	0	0	0	0	0	0	0	159	174	121	0	0	0	0	206	91	0	0	0	0
Wdr7	47.259259	129	121	0	0	0	173	0	0	0	0	0	0	0	0	0	91	0	237	0	0	0	0	112	244	169	0	0	0
Ttc4	47.259259	174	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	336	133	164	0	0	0
Atp6v1g2	47.259259	206	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0	182	74	124	53	0
Zfp980	47.222222	0	0	0	0	0	0	0	538	0	0	513	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0
Zfp213	47.222222	0	197	0	0	0	68	0	0	0	0	0	0	0	0	0	81	0	123	0	0	0	0	221	334	157	0	94	0
Spic	47.222222	0	0	0	0	0	0	0	477	0	0	476	225	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0
Cct4	47.222222	248	145	0	0	0	126	109	0	0	0	0	0	0	0	0	0	108	215	0	0	0	0	170	154	0	0	0	0
Psmd1	47.185185	193	359	0	0	0	106	122	0	0	0	0	0	0	0	0	117	0	264	0	0	0	0	0	113	0	0	0	0
Prex1	47.185185	0	111	0	0	0	108	0	156	0	0	156	0	0	0	0	0	0	58	280	0	0	0	92	191	0	122	0	0
Zbtb11	47.148148	136	118	0	0	0	67	134	0	0	0	0	0	0	0	0	130	114	269	0	0	0	0	153	152	0	0	0	0
Snrpb	47.148148	132	125	0	0	0	189	162	0	0	0	0	0	0	0	0	125	103	315	122	0	0	0	0	0	0	0	0	0
