Target_genes	Gli3|Average	SRX20599249|Cortex	SRX23462396|Embryonic_brains	SRX23462397|Embryonic_brains	SRX23462398|Embryonic_brains	SRX386266|Embryonic_limb	STRING
Olfr1355	47.600000	238	0	0	0	0	0
Il17b	47.600000	238	0	0	0	0	0
Haghl	47.600000	238	0	0	0	0	0
Gm37013	47.600000	238	0	0	0	0	0
Gm14685	47.600000	238	0	0	0	0	0
Fitm2	47.600000	238	0	0	0	0	0
Ccdc78	47.600000	238	0	0	0	0	0
C1qc	47.600000	238	0	0	0	0	0
C1qb	47.600000	238	0	0	0	0	0
Bri3	47.600000	238	0	0	0	0	0
Antkmt	47.600000	238	0	0	0	0	0
Amigo1	47.600000	238	0	0	0	0	0
Rap1gap2	47.400000	237	0	0	0	0	0
Prkag3	47.400000	237	0	0	0	0	0
Plaur	47.400000	237	0	0	0	0	0
Meox1	47.400000	237	0	0	0	0	0
Krt80	47.400000	237	0	0	0	0	0
Ttc22	47.200000	236	0	0	0	0	0
Sac3d1	47.200000	236	0	0	0	0	0
Rrp1b	47.200000	236	0	0	0	0	0
Pspn	47.200000	236	0	0	0	0	0
Phf24	47.200000	236	0	0	0	0	0
Hsf2bp	47.200000	236	0	0	0	0	0
Dusp7	47.200000	236	0	0	0	0	0
Cd22	47.200000	236	0	0	0	0	0
Ccdc154	47.200000	236	0	0	0	0	0
Zfp423	47.000000	235	0	0	0	0	0
Zc2hc1a	47.000000	235	0	0	0	0	0
Vmn2r117	47.000000	235	0	0	0	0	0
Ttll2	47.000000	235	0	0	0	0	0
Ttc30a2	47.000000	235	0	0	0	0	0
Ttc30a1	47.000000	235	0	0	0	0	0
Ttc23l	47.000000	235	0	0	0	0	0
Tnfrsf13b	47.000000	235	0	0	0	0	0
Tmem72	47.000000	235	0	0	0	0	0
Ten1	47.000000	235	0	0	0	0	0
Tcp10b	47.000000	235	0	0	0	0	0
Syce2	47.000000	235	0	0	0	0	0
Srrm3	47.000000	235	0	0	0	0	0
Srrm2	47.000000	235	0	0	0	0	0
Sptbn5	47.000000	235	0	0	0	0	0
Spata22	47.000000	235	0	0	0	0	0
Slurp2	47.000000	235	0	0	0	0	0
Slc9a3	47.000000	235	0	0	0	0	0
Siglecg	47.000000	235	0	0	0	0	0
Serpinb5	47.000000	235	0	0	0	0	0
S100a3	47.000000	235	0	0	0	0	0
S100a2	47.000000	235	0	0	0	0	0
Rpl22	47.000000	235	0	0	0	0	0
Robo3	47.000000	235	0	0	0	0	0
Rnf43	47.000000	235	0	0	0	0	0
Rhox13	47.000000	235	0	0	0	0	0
Rap1gap	47.000000	235	0	0	0	0	0
Rabggta	47.000000	235	0	0	0	0	0
Ptpre	47.000000	235	0	0	0	0	0
Prss32	47.000000	235	0	0	0	0	0
Prss21	47.000000	235	0	0	0	0	0
Prkaca	47.000000	235	0	0	0	0	0
Prickle2	47.000000	235	0	0	0	0	0
Ppp2r5d	47.000000	235	0	0	0	0	0
Pold2	47.000000	235	0	0	0	0	0
Poc1b	47.000000	235	0	0	0	0	0
Plekhb1	47.000000	235	0	0	0	0	0
Olfr806	47.000000	235	0	0	0	0	0
Olfr248	47.000000	235	0	0	0	0	0
Nupr1	47.000000	235	0	0	0	0	0
Nop16	47.000000	235	0	0	0	0	0
Nmd3	47.000000	235	0	0	0	0	0
Nfatc4	47.000000	235	0	0	0	0	0
Mettl7b	47.000000	235	0	0	0	0	0
Lce1l	47.000000	235	0	0	0	0	0
Krt76	47.000000	235	0	0	0	0	0
Krt6b	47.000000	235	0	0	0	0	0
Kncn	47.000000	235	0	0	0	0	0
Klk15	47.000000	235	0	0	0	0	0
Klk14	47.000000	235	0	0	0	0	0
Klhl18	47.000000	235	0	0	0	0	0
Kif9	47.000000	235	0	0	0	0	0
Kcnmb3	47.000000	235	0	0	0	0	0
Insc	47.000000	235	0	0	0	0	0
Higd2a	47.000000	235	0	0	0	0	0
Gm39653	47.000000	235	0	0	0	0	0
Fam205a2	47.000000	235	0	0	0	0	0
Eml1	47.000000	235	0	0	0	0	0
Dusp10	47.000000	235	0	0	0	0	0
Dpp6	47.000000	235	0	0	0	0	0
Crym	47.000000	235	0	0	0	0	0
Crygn	47.000000	235	0	0	0	0	0
Cmtr2	47.000000	235	0	0	0	0	0
Cetn1	47.000000	235	0	0	0	0	0
Aspa	47.000000	235	0	0	0	0	0
Arsa	47.000000	235	0	0	0	0	0
Ap5s1	47.000000	235	0	0	0	0	0
Angptl4	47.000000	235	0	0	0	0	0
Akap13	47.000000	0	235	0	0	0	0
Acp2	47.000000	235	0	0	0	0	0
Acox1	47.000000	235	0	0	0	0	0
Abca14	47.000000	235	0	0	0	0	0
1700056E22Rik	47.000000	235	0	0	0	0	0
1700008O03Rik	47.000000	235	0	0	0	0	0
Tgm1	46.800000	234	0	0	0	0	0
Tcf25	46.800000	234	0	0	0	0	0
Syce1	46.800000	234	0	0	0	0	0
Stap2	46.800000	0	234	0	0	0	0
Spi1	46.800000	234	0	0	0	0	0
Rps8	46.800000	234	0	0	0	0	0
Ptcra	46.800000	234	0	0	0	0	0
P2rx1	46.800000	234	0	0	0	0	0
Mpnd	46.800000	0	234	0	0	0	0
Fzr1	46.800000	234	0	0	0	0	0
Dohh	46.800000	234	0	0	0	0	0
Det1	46.800000	234	0	0	0	0	0
Cwc22	46.800000	234	0	0	0	0	0
Crocc2	46.800000	234	0	0	0	0	0
Asb16	46.800000	234	0	0	0	0	0
Zfp575	46.600000	233	0	0	0	0	0
Rxfp3	46.600000	233	0	0	0	0	0
Prss43	46.600000	233	0	0	0	0	0
Prss36	46.600000	233	0	0	0	0	0
Meis3	46.600000	233	0	0	0	0	0
Ethe1	46.600000	233	0	0	0	0	0
Ankrd9	46.600000	233	0	0	0	0	0
Vmn2r57	46.400000	232	0	0	0	0	0
Trim52	46.400000	232	0	0	0	0	0
Tns4	46.400000	232	0	0	0	0	0
Tmem17	46.400000	232	0	0	0	0	0
Sec62	46.400000	0	96	0	136	0	0
Olfr419	46.400000	232	0	0	0	0	0
Ing4	46.400000	232	0	0	0	0	0
Hyi	46.400000	232	0	0	0	0	0
Fpr-rs3	46.400000	232	0	0	0	0	0
Fat2	46.400000	232	0	0	0	0	0
Etnk2	46.400000	232	0	0	0	0	0
Dgkz	46.400000	232	0	0	0	0	0
Cdsn	46.400000	232	0	0	0	0	0
Adamts10	46.400000	232	0	0	0	0	0
Ulk4	46.200000	231	0	0	0	0	0
Olfr71	46.200000	231	0	0	0	0	0
Olfr44	46.200000	231	0	0	0	0	0
Olfr101	46.200000	231	0	0	0	0	0
Nodal	46.200000	231	0	0	0	0	0
Neu4	46.200000	231	0	0	0	0	0
Nabp2	46.200000	0	231	0	0	0	0
Map4	46.200000	0	231	0	0	0	0
Lsmem2	46.200000	231	0	0	0	0	0
Ldlrad2	46.200000	231	0	0	0	0	0
Lcn10	46.200000	231	0	0	0	0	0
Gm5936	46.200000	231	0	0	0	0	0
Flot2	46.200000	231	0	0	0	0	0
Fbxo39	46.200000	231	0	0	0	0	0
Dhrs13	46.200000	231	0	0	0	0	0
Defb39	46.200000	231	0	0	0	0	0
Atp6v0a4	46.200000	231	0	0	0	0	0
Tuba3b	46.000000	230	0	0	0	0	0
Tmem274	46.000000	230	0	0	0	0	0
Slco4a1	46.000000	230	0	0	0	0	0
Sart3	46.000000	230	0	0	0	0	0
Rcor2	46.000000	230	0	0	0	0	0
Rasd1	46.000000	230	0	0	0	0	0
Rab11fip3	46.000000	230	0	0	0	0	0
Pcdhb18	46.000000	230	0	0	0	0	0
Pcdhb17	46.000000	230	0	0	0	0	0
Nmnat1	46.000000	230	0	0	0	0	0
Lzic	46.000000	230	0	0	0	0	0
Kbtbd13	46.000000	230	0	0	0	0	0
Iscu	46.000000	230	0	0	0	0	0
Grap2	46.000000	230	0	0	0	0	0
Artn	46.000000	230	0	0	0	0	0
Ttc24	45.800000	229	0	0	0	0	0
Tmem145	45.800000	229	0	0	0	0	0
Tas1r1	45.800000	229	0	0	0	0	0
Sult2b1	45.800000	229	0	0	0	0	0
Slc25a54	45.800000	229	0	0	0	0	0
Pfdn5	45.800000	229	0	0	0	0	0
Nol9	45.800000	229	0	0	0	0	0
Mycs	45.800000	229	0	0	0	0	0
Lypd2	45.800000	229	0	0	0	0	0
Kcnn4	45.800000	229	0	0	0	0	0
Hes2	45.800000	229	0	0	0	0	0
Tbc1d22a	45.600000	0	228	0	0	0	0
Snapc4	45.600000	228	0	0	0	0	0
Rnaseh2c	45.600000	228	0	0	0	0	0
Rd3	45.600000	228	0	0	0	0	0
Ppl	45.600000	228	0	0	0	0	0
Pmpca	45.600000	228	0	0	0	0	0
Pard6a	45.600000	228	0	0	0	0	0
Foxr1	45.600000	228	0	0	0	0	0
Flt3l	45.600000	228	0	0	0	0	0
Espnl	45.600000	228	0	0	0	0	0
Entr1	45.600000	228	0	0	0	0	0
Acd	45.600000	228	0	0	0	0	0
Yif1a	45.400000	227	0	0	0	0	0
Prr3	45.400000	0	227	0	0	0	0
Pabpc6	45.400000	227	0	0	0	0	0
Olfr1314	45.400000	227	0	0	0	0	0
Gnl1	45.400000	0	227	0	0	0	0
Gdpd3	45.400000	227	0	0	0	0	0
Cxcl11	45.400000	227	0	0	0	0	0
Cpne6	45.400000	227	0	0	0	0	0
Cox6b2	45.400000	227	0	0	0	0	0
Zfp64	45.200000	226	0	0	0	0	0
Trappc9	45.200000	226	0	0	0	0	0
Tmem61	45.200000	226	0	0	0	0	0
Syt5	45.200000	226	0	0	0	0	0
Sycp2	45.200000	226	0	0	0	0	0
Pheta1	45.200000	226	0	0	0	0	0
Pcdhb9	45.200000	226	0	0	0	0	0
Pcdhb3	45.200000	226	0	0	0	0	0
Otof	45.200000	226	0	0	0	0	0
Nlrx1	45.200000	226	0	0	0	0	0
Map2k6	45.200000	0	136	0	90	0	0
Mad2l2	45.200000	226	0	0	0	0	0
Lrfn3	45.200000	226	0	0	0	0	0
Irf2bp1	45.200000	226	0	0	0	0	0
Arap1	45.200000	226	0	0	0	0	0
Actl10	45.200000	226	0	0	0	0	0
A430005L14Rik	45.200000	226	0	0	0	0	0
1700003F12Rik	45.200000	226	0	0	0	0	0
Zfp831	45.000000	225	0	0	0	0	0
Usp20	45.000000	225	0	0	0	0	0
Tulp2	45.000000	225	0	0	0	0	0
Tlcd3b	45.000000	225	0	0	0	0	0
Tex52	45.000000	225	0	0	0	0	0
Spo11	45.000000	225	0	0	0	0	0
Plin4	45.000000	225	0	0	0	0	0
Mustn1	45.000000	225	0	0	0	0	0
Krt7	45.000000	225	0	0	0	0	0
Gpaa1	45.000000	225	0	0	0	0	0
Gm4312	45.000000	225	0	0	0	0	0
Gm4301	45.000000	225	0	0	0	0	0
Ffar3	45.000000	225	0	0	0	0	0
Ffar1	45.000000	225	0	0	0	0	0
Exosc4	45.000000	225	0	0	0	0	0
Cdh23	45.000000	225	0	0	0	0	0
BC005624	45.000000	225	0	0	0	0	0
4930451I11Rik	45.000000	225	0	0	0	0	0
Zfp652	44.800000	224	0	0	0	0	0
Ubd	44.800000	224	0	0	0	0	0
Ttc38	44.800000	224	0	0	0	0	0
Tnip1	44.800000	224	0	0	0	0	0
Tmcc1	44.800000	224	0	0	0	0	0
Tescl	44.800000	224	0	0	0	0	0
Spesp1	44.800000	224	0	0	0	0	0
Slc35a4	44.800000	224	0	0	0	0	0
Slc1a4	44.800000	224	0	0	0	0	0
Siglec15	44.800000	224	0	0	0	0	0
Sgk2	44.800000	224	0	0	0	0	0
Rplp0	44.800000	224	0	0	0	0	0
Rnmt	44.800000	224	0	0	0	0	0
Rgcc	44.800000	224	0	0	0	0	0
Ptk6	44.800000	224	0	0	0	0	0
Psmc4	44.800000	224	0	0	0	0	0
Prok1	44.800000	224	0	0	0	0	0
Pmpcb	44.800000	224	0	0	0	0	0
Plin3	44.800000	224	0	0	0	0	0
Pglyrp1	44.800000	224	0	0	0	0	0
Pde6c	44.800000	224	0	0	0	0	0
Pde11a	44.800000	224	0	0	0	0	0
Pbp2	44.800000	224	0	0	0	0	0
Paqr6	44.800000	224	0	0	0	0	0
Papolb	44.800000	224	0	0	0	0	0
Oscar	44.800000	224	0	0	0	0	0
Osbpl1a	44.800000	224	0	0	0	0	0
Olfr94	44.800000	224	0	0	0	0	0
Olfr317	44.800000	224	0	0	0	0	0
Nop2	44.800000	224	0	0	0	0	0
Ndufa3	44.800000	224	0	0	0	0	0
Med9	44.800000	224	0	0	0	0	0
Mcoln3	44.800000	224	0	0	0	0	0
Lrrc15	44.800000	224	0	0	0	0	0
Lpin2	44.800000	224	0	0	0	0	0
Lcn8	44.800000	224	0	0	0	0	0
Lcn5	44.800000	224	0	0	0	0	0
Lamb3	44.800000	224	0	0	0	0	0
Krtap16-1	44.800000	224	0	0	0	0	0
Krt32	44.800000	224	0	0	0	0	0
Itpka	44.800000	224	0	0	0	0	0
Gcn1	44.800000	224	0	0	0	0	0
Gcm2	44.800000	224	0	0	0	0	0
Fkbp14	44.800000	224	0	0	0	0	0
Fam71f1	44.800000	224	0	0	0	0	0
Fam210a	44.800000	224	0	0	0	0	0
Erich6	44.800000	224	0	0	0	0	0
Eepd1	44.800000	224	0	0	0	0	0
Dusp13	44.800000	224	0	0	0	0	0
Crygd	44.800000	224	0	0	0	0	0
Cd300a	44.800000	224	0	0	0	0	0
Cd177	44.800000	224	0	0	0	0	0
Ccdc88b	44.800000	224	0	0	0	0	0
Ccdc38	44.800000	224	0	0	0	0	0
Ccdc170	44.800000	224	0	0	0	0	0
Apbb3	44.800000	224	0	0	0	0	0
Amdhd1	44.800000	224	0	0	0	0	0
Alg12	44.800000	224	0	0	0	0	0
Adam1b	44.800000	224	0	0	0	0	0
Acot3	44.800000	224	0	0	0	0	0
Aar2	44.800000	224	0	0	0	0	0
1700029H14Rik	44.800000	224	0	0	0	0	0
Stx1b	44.600000	223	0	0	0	0	0
Slc6a5	44.600000	223	0	0	0	0	0
Rdh8	44.600000	223	0	0	0	0	0
Rab11fip5	44.600000	223	0	0	0	0	0
Psmd5	44.600000	0	142	81	0	0	0
Olig3	44.600000	223	0	0	0	0	0
Ntn5	44.600000	223	0	0	0	0	0
Mthfr	44.600000	118	105	0	0	0	0
Matn1	44.600000	223	0	0	0	0	0
Klhl20	44.600000	223	0	0	0	0	0
Cutal	44.600000	0	142	81	0	0	0
Cort	44.600000	223	0	0	0	0	0
Col5a3	44.600000	223	0	0	0	0	0
Clcn6	44.600000	118	105	0	0	0	0
Tssk2	44.400000	222	0	0	0	0	0
Tssk1	44.400000	222	0	0	0	0	0
Togaram2	44.400000	222	0	0	0	0	0
Tmem250-ps	44.400000	222	0	0	0	0	0
Slc26a10	44.400000	222	0	0	0	0	0
Ppp6r1	44.400000	222	0	0	0	0	0
Krtap4-2	44.400000	222	0	0	0	0	0
Kdm4b	44.400000	222	0	0	0	0	0
Hsd17b1	44.400000	222	0	0	0	0	0
Fem1al	44.400000	222	0	0	0	0	0
Dnajc28	44.400000	222	0	0	0	0	0
C5ar2	44.400000	222	0	0	0	0	0
1700102P08Rik	44.400000	222	0	0	0	0	0
Vmn2r69	44.200000	221	0	0	0	0	0
Shkbp1	44.200000	221	0	0	0	0	0
Proc	44.200000	221	0	0	0	0	0
Pcolce	44.200000	221	0	0	0	0	0
Pcdhb16	44.200000	221	0	0	0	0	0
Padi4	44.200000	221	0	0	0	0	0
Olfr1257	44.200000	221	0	0	0	0	0
Nup210l	44.200000	221	0	0	0	0	0
Lrrc24	44.200000	221	0	0	0	0	0
Lefty2	44.200000	221	0	0	0	0	0
Lcn9	44.200000	221	0	0	0	0	0
Klhl30	44.200000	221	0	0	0	0	0
Kcnj14	44.200000	221	0	0	0	0	0
Ftcd	44.200000	221	0	0	0	0	0
Dpm2	44.200000	221	0	0	0	0	0
Crip2	44.200000	221	0	0	0	0	0
Zfp236	44.000000	220	0	0	0	0	0
Vstm2l	44.000000	220	0	0	0	0	0
Ticam1	44.000000	220	0	0	0	0	0
Smim24	44.000000	220	0	0	0	0	0
Sardh	44.000000	220	0	0	0	0	0
Proser2	44.000000	220	0	0	0	0	0
Plekhg5	44.000000	220	0	0	0	0	0
Mip	44.000000	220	0	0	0	0	0
Krt25	44.000000	220	0	0	0	0	0
Gm9507	44.000000	220	0	0	0	0	0
Gm48552	44.000000	220	0	0	0	0	0
Gm2696	44.000000	220	0	0	0	0	0
Furin	44.000000	220	0	0	0	0	0
2510039O18Rik	44.000000	220	0	0	0	0	0
Umod	43.800000	219	0	0	0	0	0
Tmed1	43.800000	219	0	0	0	0	0
Tchp	43.800000	219	0	0	0	0	0
Stmn2	43.800000	219	0	0	0	0	0
Hsf5	43.800000	219	0	0	0	0	0
Gm13090	43.800000	219	0	0	0	0	0
Ccdc185	43.800000	219	0	0	0	0	0
Tdrd9	43.600000	218	0	0	0	0	0
Sertad1	43.600000	218	0	0	0	0	0
Pabpc1l2a	43.600000	218	0	0	0	0	0
Olfr70	43.600000	218	0	0	0	0	0
Olfr279	43.600000	218	0	0	0	0	0
Nfkbie	43.600000	218	0	0	0	0	0
Mei1	43.600000	218	0	0	0	0	0
Man2b2	43.600000	218	0	0	0	0	0
Lbx2	43.600000	218	0	0	0	0	0
Krt35	43.600000	218	0	0	0	0	0
Eya2	43.600000	218	0	0	0	0	0
Enpp7	43.600000	218	0	0	0	0	0
Cpne9	43.600000	218	0	0	0	0	0
Col9a3	43.600000	218	0	0	0	0	0
Atp5mpl	43.600000	218	0	0	0	0	0
Asb1	43.600000	218	0	0	0	0	0
Arrdc2	43.600000	218	0	0	0	0	0
Apoa4	43.600000	218	0	0	0	0	0
Alpk3	43.600000	218	0	0	0	0	0
Tacr2	43.400000	217	0	0	0	0	0
St6galnac2	43.400000	217	0	0	0	0	0
Ssh3	43.400000	217	0	0	0	0	0
Smim5	43.400000	217	0	0	0	0	0
Slc39a13	43.400000	217	0	0	0	0	0
Recql4	43.400000	217	0	0	0	0	0
Phospho1	43.400000	217	0	0	0	0	0
Naa80	43.400000	217	0	0	0	0	0
Mea1	43.400000	217	0	0	0	0	0
Lsp1	43.400000	217	0	0	0	0	0
Lrrc14	43.400000	217	0	0	0	0	0
Krt33b	43.400000	217	0	0	0	0	0
Klhdc3	43.400000	217	0	0	0	0	0
Ifrd2	43.400000	217	0	0	0	0	0
Hyal3	43.400000	217	0	0	0	0	0
Gm9639	43.400000	217	0	0	0	0	0
Gm19668	43.400000	217	0	0	0	0	0
Cacna1s	43.400000	217	0	0	0	0	0
Ascl5	43.400000	217	0	0	0	0	0
Ybx2	43.200000	216	0	0	0	0	0
Trhr2	43.200000	216	0	0	0	0	0
Sstr5	43.200000	216	0	0	0	0	0
Sbf1	43.200000	216	0	0	0	0	0
Rd3l	43.200000	216	0	0	0	0	0
Prh1	43.200000	216	0	0	0	0	0
Pianp	43.200000	216	0	0	0	0	0
Nr4a1	43.200000	216	0	0	0	0	0
Ncaph2	43.200000	216	0	0	0	0	0
Lmf2	43.200000	216	0	0	0	0	0
Krt5	43.200000	216	0	0	0	0	0
Itga3	43.200000	216	0	0	0	0	0
Fos	43.200000	216	0	0	0	0	0
Arpin	43.200000	216	0	0	0	0	0
Aopep	43.200000	216	0	0	0	0	0
Akp3	43.200000	216	0	0	0	0	0
Actl7b	43.200000	216	0	0	0	0	0
Actl7a	43.200000	216	0	0	0	0	0
Tymp	43.000000	215	0	0	0	0	0
Ttc16	43.000000	215	0	0	0	0	0
Trpc2	43.000000	215	0	0	0	0	0
Tex19.2	43.000000	215	0	0	0	0	0
Sco2	43.000000	215	0	0	0	0	0
Ptrh1	43.000000	215	0	0	0	0	0
Pgghg	43.000000	215	0	0	0	0	0
Mybbp1a	43.000000	215	0	0	0	0	0
Miga2	43.000000	215	0	0	0	0	0
Lat2	43.000000	215	0	0	0	0	0
H2-Q2	43.000000	215	0	0	0	0	0
Ggt6	43.000000	215	0	0	0	0	0
F10	43.000000	215	0	0	0	0	0
Zmiz2	42.800000	214	0	0	0	0	0
Vegfb	42.800000	214	0	0	0	0	0
Tnks1bp1	42.800000	214	0	0	0	0	0
Scn8a	42.800000	214	0	0	0	0	0
Psmb11	42.800000	214	0	0	0	0	0
Plppr2	42.800000	214	0	0	0	0	0
Pex10	42.800000	214	0	0	0	0	0
Pcdha6	42.800000	214	0	0	0	0	0
Miga1	42.800000	214	0	0	0	0	0
Lrpprc	42.800000	214	0	0	0	0	0
LOC114841036	42.800000	214	0	0	0	0	0
Kif19a	42.800000	214	0	0	0	0	0
Hpd	42.800000	214	0	0	0	0	0
Hmcn2	42.800000	214	0	0	0	0	0
Gm38666	42.800000	214	0	0	0	0	0
Gaa	42.800000	214	0	0	0	0	0
Fkbp2	42.800000	214	0	0	0	0	0
Cnp	42.800000	214	0	0	0	0	0
Cmtm1	42.800000	214	0	0	0	0	0
Ank1	42.800000	214	0	0	0	0	0
Wdfy4	42.600000	213	0	0	0	0	0
Vsig2	42.600000	213	0	0	0	0	0
Vmn1r223	42.600000	213	0	0	0	0	0
Uox	42.600000	213	0	0	0	0	0
Trak1	42.600000	213	0	0	0	0	0
Tnfaip8l1	42.600000	213	0	0	0	0	0
Tmed9	42.600000	213	0	0	0	0	0
Tff2	42.600000	213	0	0	0	0	0
Syde1	42.600000	213	0	0	0	0	0
Spdef	42.600000	213	0	0	0	0	0
Slc47a1	42.600000	213	0	0	0	0	0
Slc34a2	42.600000	213	0	0	0	0	0
Slc27a2	42.600000	213	0	0	0	0	0
Scarb1	42.600000	96	117	0	0	0	0
Rxrg	42.600000	213	0	0	0	0	0
Rgs16	42.600000	213	0	0	0	0	0
Rbm47	42.600000	213	0	0	0	0	0
Psmg1	42.600000	213	0	0	0	0	0
Prss48	42.600000	213	0	0	0	0	0
Prss42	42.600000	213	0	0	0	0	0
Pglyrp2	42.600000	213	0	0	0	0	0
Pef1	42.600000	213	0	0	0	0	0
P2ry14	42.600000	213	0	0	0	0	0
Ovgp1	42.600000	213	0	0	0	0	0
Olfr222	42.600000	213	0	0	0	0	0
Olfr11	42.600000	213	0	0	0	0	0
Odf3l1	42.600000	213	0	0	0	0	0
Nobox	42.600000	213	0	0	0	0	0
Myog	42.600000	213	0	0	0	0	0
Mybpc3	42.600000	213	0	0	0	0	0
Myadml2	42.600000	213	0	0	0	0	0
Muc3	42.600000	213	0	0	0	0	0
Muc20	42.600000	213	0	0	0	0	0
Mgst2	42.600000	213	0	0	0	0	0
Mfsd3	42.600000	213	0	0	0	0	0
Meikin	42.600000	213	0	0	0	0	0
Med27	42.600000	213	0	0	0	0	0
Map3k7cl	42.600000	213	0	0	0	0	0
Maml3	42.600000	0	213	0	0	0	0
Majin	42.600000	213	0	0	0	0	0
Ly6i	42.600000	213	0	0	0	0	0
Ly6d	42.600000	213	0	0	0	0	0
Ldc1	42.600000	213	0	0	0	0	0
Kremen1	42.600000	213	0	0	0	0	0
Kcnip2	42.600000	213	0	0	0	0	0
Ivl	42.600000	213	0	0	0	0	0
Hnrnpab	42.600000	213	0	0	0	0	0
Gpt	42.600000	213	0	0	0	0	0
Gpr33	42.600000	213	0	0	0	0	0
Gpr183	42.600000	213	0	0	0	0	0
Gm12248	42.600000	213	0	0	0	0	0
Gdf2	42.600000	213	0	0	0	0	0
Gda	42.600000	213	0	0	0	0	0
Fblim1	42.600000	213	0	0	0	0	0
Fam83a	42.600000	213	0	0	0	0	0
Fam217a	42.600000	213	0	0	0	0	0
Fam171b	42.600000	213	0	0	0	0	0
Erg	42.600000	213	0	0	0	0	0
Elavl2	42.600000	213	0	0	0	0	0
Ehhadh	42.600000	213	0	0	0	0	0
Dpp7	42.600000	213	0	0	0	0	0
Dhx34	42.600000	213	0	0	0	0	0
Dhtkd1	42.600000	213	0	0	0	0	0
Cwh43	42.600000	213	0	0	0	0	0
Ctf2	42.600000	213	0	0	0	0	0
Ctbp2	42.600000	213	0	0	0	0	0
Csf2	42.600000	213	0	0	0	0	0
Coro2a	42.600000	213	0	0	0	0	0
Cnot8	42.600000	213	0	0	0	0	0
Clec10a	42.600000	213	0	0	0	0	0
Chd7	42.600000	213	0	0	0	0	0
Cfap97d2	42.600000	213	0	0	0	0	0
Cep295nl	42.600000	213	0	0	0	0	0
Cck	42.600000	213	0	0	0	0	0
Ccdc93	42.600000	213	0	0	0	0	0
Ccdc92b	42.600000	213	0	0	0	0	0
Calcb	42.600000	213	0	0	0	0	0
Cacng1	42.600000	213	0	0	0	0	0
B4galt7	42.600000	213	0	0	0	0	0
Arvcf	42.600000	213	0	0	0	0	0
Angptl7	42.600000	213	0	0	0	0	0
Adad1	42.600000	213	0	0	0	0	0
Acsm3	42.600000	213	0	0	0	0	0
Abcd4	42.600000	213	0	0	0	0	0
1700028K03Rik	42.600000	213	0	0	0	0	0
Thpo	42.400000	212	0	0	0	0	0
Stoml2	42.400000	212	0	0	0	0	0
Polm	42.400000	212	0	0	0	0	0
Mpl	42.400000	212	0	0	0	0	0
Fam214b	42.400000	212	0	0	0	0	0
Etv2	42.400000	212	0	0	0	0	0
Ccdc183	42.400000	212	0	0	0	0	0
Bpifb4	42.400000	212	0	0	0	0	0
B4galt2	42.400000	212	0	0	0	0	0
Zfp982	42.200000	211	0	0	0	0	0
Taf7l2	42.200000	211	0	0	0	0	0
Pcdhb2	42.200000	211	0	0	0	0	0
Nphp4	42.200000	211	0	0	0	0	0
Myo18a	42.200000	211	0	0	0	0	0
Ints5	42.200000	211	0	0	0	0	0
Ganab	42.200000	211	0	0	0	0	0
Dok2	42.200000	211	0	0	0	0	0
Cox8a	42.200000	211	0	0	0	0	0
C1qtnf6	42.200000	211	0	0	0	0	0
Adora2a	42.200000	211	0	0	0	0	0
Adm2	42.200000	211	0	0	0	0	0
Ttc25	42.000000	0	210	0	0	0	0
Tdrd1	42.000000	210	0	0	0	0	0
Tcl1	42.000000	210	0	0	0	0	0
Slc35b2	42.000000	210	0	0	0	0	0
S100a16	42.000000	210	0	0	0	0	0
Rnf31	42.000000	210	0	0	0	0	0
Prodh2	42.000000	210	0	0	0	0	0
Ppp1r26	42.000000	210	0	0	0	0	0
Nccrp1	42.000000	210	0	0	0	0	0
Mapk8ip2	42.000000	210	0	0	0	0	0
Gm29317	42.000000	210	0	0	0	0	0
Gm28093	42.000000	210	0	0	0	0	0
Gm21810	42.000000	210	0	0	0	0	0
Gm21745	42.000000	210	0	0	0	0	0
Dbh	42.000000	210	0	0	0	0	0
Ccdc186	42.000000	210	0	0	0	0	0
Avp	42.000000	210	0	0	0	0	0
2900026A02Rik	42.000000	0	210	0	0	0	0
Trib3	41.800000	209	0	0	0	0	0
Sptlc1	41.800000	209	0	0	0	0	0
Scamp4	41.800000	209	0	0	0	0	0
Rela	41.800000	209	0	0	0	0	0
Rarg	41.800000	209	0	0	0	0	0
Pcdha2	41.800000	209	0	0	0	0	0
Ndufb10	41.800000	209	0	0	0	0	0
Naa11	41.800000	209	0	0	0	0	0
Gpr61	41.800000	209	0	0	0	0	0
Gnai3	41.800000	209	0	0	0	0	0
Elf3	41.800000	209	0	0	0	0	0
Dnase1l2	41.800000	209	0	0	0	0	0
Dnaaf5	41.800000	209	0	0	0	0	0
Cspg4	41.800000	209	0	0	0	0	0
Cdcp2	41.800000	209	0	0	0	0	0
Casp9	41.800000	114	95	0	0	0	0
Adat3	41.800000	209	0	0	0	0	0
5730409E04Rik	41.800000	209	0	0	0	0	0
Zbtb46	41.600000	208	0	0	0	0	0
Trim17	41.600000	208	0	0	0	0	0
Tcp11	41.600000	208	0	0	0	0	0
Slc4a2	41.600000	208	0	0	0	0	0
Slc35g3	41.600000	0	208	0	0	0	0
Slc26a11	41.600000	208	0	0	0	0	0
Sgsh	41.600000	208	0	0	0	0	0
Ppp1r37	41.600000	208	0	0	0	0	0
Polr2a	41.600000	0	208	0	0	0	0
