Target_genes	Stat2|Average	SRX1441664|B_cells	SRX1441665|B_cells	SRX1441666|B_cells	SRX1441667|B_cells	SRX2647476|CD4+_T_cells	SRX2647477|CD4+_T_cells	SRX2647478|CD4+_T_cells	SRX2647492|CD4+_T_cells	SRX2647493|CD4+_T_cells	SRX2647494|CD4+_T_cells	SRX122565|Dendritic_Cells	SRX122566|Dendritic_Cells	SRX122567|Dendritic_Cells	SRX122568|Dendritic_Cells	SRX122569|Dendritic_Cells	SRX122570|Dendritic_Cells	SRX122571|Dendritic_Cells	SRX122572|Dendritic_Cells	SRX122573|Dendritic_Cells	SRX9426636|ES_cells	SRX9426637|ES_cells	SRX9426638|ES_cells	SRX9426647|ES_cells	SRX9426648|ES_cells	SRX9426649|ES_cells	SRX9426650|ES_cells	SRX9426651|ES_cells	SRX9426652|ES_cells	SRX9426653|ES_cells	SRX9426654|ES_cells	SRX9426663|ES_cells	SRX9426664|ES_cells	SRX9426665|ES_cells	SRX4178756|Macrophages	SRX4178757|Macrophages	SRX4178762|Macrophages	SRX4178763|Macrophages	SRX4178768|Macrophages	SRX4178769|Macrophages	SRX4178774|Macrophages	SRX4178775|Macrophages	SRX4178778|Macrophages	SRX4178779|Macrophages	SRX4178782|Macrophages	SRX4178783|Macrophages	SRX805962|Macrophages	SRX805963|Macrophages	SRX805964|Macrophages	SRX18239627|MEF	SRX18239630|MEF	SRX5503048|MEF	SRX5503051|MEF	SRX9426700|MEF	SRX9426701|MEF	SRX9426702|MEF	SRX9426711|MEF	SRX9426712|MEF	SRX9426713|MEF	STRING
Dnaaf2	34.517241	0	0	0	0	299	274	221	348	243	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc5	34.517241	0	0	0	0	135	94	0	89	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	185	0	0	0	0	155	0	0	0	0	433	348	0	0	0	0	0	0	0	0	0	0	0
Hccs	34.500000	0	0	0	0	525	216	213	509	315	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15246	34.500000	0	0	0	0	525	216	213	509	315	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyth4	34.500000	0	0	0	0	119	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	334	0	0	0	0	460	100	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0
Aftph	34.500000	0	0	0	0	269	185	0	245	118	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	229	0	0	0	0	335	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lap3	34.482759	0	0	0	0	257	0	0	202	129	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	137	0	0	0	0	74	0	0	0	0	260	361	0	0	160	0	0	0	0	0	0	0	0
Slc26a8	34.465517	0	164	306	316	281	141	83	364	168	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapk14	34.465517	0	164	306	316	281	141	83	364	168	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp263	34.413793	0	0	0	0	383	176	125	476	141	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	121	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0
Elovl5	34.413793	0	0	0	0	541	188	228	443	271	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf6	34.396552	0	0	0	0	369	264	240	519	229	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hexa	34.327586	0	0	0	0	353	200	293	304	240	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galnt2	34.327586	0	0	0	0	145	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	731	514	0	0	0	0	155	105	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0
Cd53	34.327586	0	0	0	0	185	0	0	164	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	151	0	0	0	0	463	182	0	0	0	198	247	0	0	0	0	0	0	0	0	0	0	0
Sltm	34.310345	0	0	0	0	331	324	224	293	236	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnab1	34.293103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772	392	192	0	0	0	153	0	0	0	0	266	214	0	0	0	0	0	0	0	0	0	0	0
Mfsd14b	34.275862	0	0	0	0	371	339	195	417	238	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lag3	34.241379	0	0	0	0	235	76	0	322	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	202	0	0	0	0	0	0	0	0	0	192	361	0	138	0	0	0	0	0	0	0	0	0
Ilrun	34.241379	0	0	0	0	443	141	200	538	186	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubqln1	34.224138	0	0	0	0	637	241	201	379	226	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem139	34.206897	0	0	0	0	177	0	70	227	101	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	230	0	0	0	0	200	0	0	0	0	135	202	0	0	0	0	0	0	0	0	0	0	0
Snip1	34.206897	0	0	0	0	553	271	288	372	172	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnali1	34.206897	0	0	0	0	553	271	288	372	172	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Casp2	34.206897	0	0	0	0	177	0	70	227	101	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	230	0	0	0	0	200	0	0	0	0	135	202	0	0	0	0	0	0	0	0	0	0	0
Wsb1	34.189655	0	0	0	0	515	228	205	434	206	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptp4a1	34.155172	0	0	0	0	490	180	226	338	258	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hinfp	34.155172	0	0	0	0	343	253	114	335	164	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	121	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0
Eef1akmt2	34.155172	0	0	0	0	536	274	188	318	175	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atf7	34.155172	0	109	105	0	332	146	189	447	232	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spout1	34.086207	0	0	0	0	469	240	242	327	233	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-M3	34.086207	0	0	0	0	106	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	736	388	116	0	0	0	131	0	0	0	0	201	226	0	0	0	0	0	0	0	0	0	0	0
Glce	34.086207	0	0	0	0	400	176	376	471	258	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrch3	34.068966	0	0	0	0	340	162	232	163	217	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stag3	34.051724	0	0	0	0	496	264	211	432	305	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prr5l	34.051724	0	0	0	0	268	102	113	300	103	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	217	0	0	0	0	133	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0
Inpp5k	34.051724	0	0	0	0	402	284	121	524	146	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpc2	34.051724	0	0	0	0	496	264	211	432	305	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cr1l	34.051724	0	0	0	0	200	227	135	421	162	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	246	79	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0
Rabif	34.034483	0	0	0	0	617	254	163	332	256	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr3	34.017241	0	0	0	0	464	203	226	436	270	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lima1	34.017241	0	0	0	0	352	158	0	402	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	148	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prpf3	34.000000	0	0	0	0	421	242	282	465	220	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubb4b	33.982759	0	0	0	0	731	236	111	545	151	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tdrd9	33.982759	0	0	0	0	455	120	238	314	212	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn7l3	33.982759	0	0	0	0	602	238	282	365	269	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp5mpl	33.982759	0	0	0	0	455	120	238	314	212	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3c13	33.965517	0	0	0	0	481	112	158	555	302	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsen15	33.948276	0	0	0	0	595	256	192	513	208	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde4b	33.948276	0	0	0	0	168	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	233	0	0	0	0	569	157	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0
Slc35e2	33.931034	0	0	0	0	419	289	200	502	317	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metrn	33.931034	0	0	0	0	368	365	326	256	209	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antkmt	33.931034	0	0	0	0	368	365	326	256	209	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coq7	33.913793	0	0	0	0	402	322	332	333	257	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfkbid	33.879310	0	0	0	0	243	0	118	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	261	125	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0
Hcst	33.879310	0	0	0	0	243	0	118	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	261	125	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0
Clasp2	33.879310	0	0	0	0	251	216	133	420	168	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	113	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arrdc2	33.844828	0	0	0	0	485	288	253	489	274	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp369	33.827586	0	0	0	0	420	247	453	432	231	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hnrnph1	33.827586	0	0	0	0	592	326	184	415	184	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc57	33.793103	0	0	0	0	471	219	185	289	286	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trub2	33.741379	0	0	0	0	479	185	209	326	335	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tomt	33.689655	0	0	0	0	315	113	170	354	190	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	173	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata5	33.689655	0	0	0	0	459	146	157	260	135	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	126	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nudt6	33.689655	0	0	0	0	459	146	157	260	135	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	126	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamtor1	33.689655	0	0	0	0	315	113	170	354	190	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	173	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edrf1	33.689655	0	0	141	0	551	104	269	419	227	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfxl1	33.655172	0	0	0	0	200	0	0	236	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	787	406	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0
Nfkbiz	33.655172	0	0	0	0	512	111	139	462	124	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Llph	33.655172	0	0	0	0	395	175	209	384	322	351	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hk1	33.655172	0	0	0	0	199	132	111	217	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	198	0	0	0	0	134	0	0	0	0	200	235	0	107	0	0	0	0	0	0	0	0	0
Lrwd1	33.637931	0	0	0	0	437	110	189	633	169	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faap20	33.637931	0	0	0	0	167	109	131	290	157	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	215	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif1	33.637931	0	0	0	0	570	277	178	455	152	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkbh4	33.637931	0	0	0	0	437	110	189	633	169	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spred1	33.603448	0	0	0	0	217	114	95	132	88	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	349	587	0	0	0	0	0	0	0	0	0	0	0
Rpl27a	33.603448	0	0	149	0	632	186	135	424	111	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sc5d	33.551724	0	0	0	0	425	151	155	432	193	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	195	0	0	0	0	0	0	0	0	0	0	0
Slc25a46	33.517241	0	0	0	0	422	129	277	478	205	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otub1	33.500000	0	0	0	0	459	230	202	337	222	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxw5	33.500000	0	0	0	0	316	134	0	355	205	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif5	33.500000	0	0	158	0	544	213	189	386	209	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8g	33.500000	0	0	0	0	316	134	0	355	205	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp276	33.482759	0	0	0	0	218	339	103	336	366	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0
Vps9d1	33.482759	0	0	0	0	218	339	103	336	366	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0
Rps4x	33.482759	0	0	0	0	624	158	246	295	272	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btg2	33.431034	0	0	0	0	498	174	0	529	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	110	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pitpna	33.396552	0	0	0	0	227	0	0	311	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	178	0	0	0	0	208	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0
Mfap3	33.396552	0	0	0	0	448	166	333	423	232	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam114a2	33.396552	0	0	0	0	448	166	333	423	232	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rabl3	33.362069	0	0	0	0	430	298	346	378	194	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2e1	33.362069	0	0	0	0	430	298	346	378	194	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec7a	33.362069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986	513	0	0	0	0	316	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rcbtb1	33.344828	0	0	0	0	394	199	257	498	171	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqr	33.327586	0	0	0	0	425	199	189	407	284	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srcap	33.310345	0	0	0	0	360	219	235	349	321	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubcnl	33.310345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808	567	205	0	0	0	0	0	0	0	0	130	222	0	0	0	0	0	0	0	0	0	0	0
Rab5if	33.293103	0	0	0	0	440	188	213	489	185	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp7a	33.293103	0	0	0	0	287	151	103	385	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	338	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr11	33.275862	0	0	0	0	393	120	339	305	304	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pabpc1	33.275862	0	0	156	0	544	214	157	383	156	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tomm7	33.258621	0	0	0	0	646	255	122	482	169	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
