Target_genes	Mycn|Average	SRX821477|Medulloblastoma	SRX821480|Medulloblastoma	SRX2960250|Neuroblastoma	SRX2960253|Neuroblastoma	SRX2960256|Neuroblastoma	SRX8423446|Tumor	SRX8423448|Tumor	SRX8423450|Tumor	SRX8423452|Tumor	SRX8423454|Tumor	SRX14407156|T_cell_lymphoma_cells	STRING
Rmnd1	316.000000	0	0	358	0	0	517	207	175	120	2099	0	0
Rcbtb2	316.000000	0	577	0	0	0	278	665	110	147	1699	0	0
Armt1	316.000000	0	0	358	0	0	517	207	175	120	2099	0	0
Acot13	316.000000	0	137	0	0	0	352	269	210	257	2251	0	0
Zfp518a	315.909091	0	0	0	0	0	416	774	150	250	1744	141	0
Trappc4	315.909091	0	197	107	0	0	315	956	205	246	1371	78	0
Rps25	315.909091	0	197	107	0	0	315	956	205	246	1371	78	0
Ccnh	315.909091	0	117	142	0	0	289	473	91	0	2268	95	0
Vdac1	315.818182	0	1240	0	0	0	258	401	134	205	1236	0	0
Gmeb1	315.727273	0	0	0	0	0	359	714	0	212	2188	0	0
Fpgs	315.545455	0	144	0	0	0	379	728	171	182	1867	0	0
Leng8	315.454545	0	247	0	0	0	351	346	225	241	1934	126	0
Eif2s1	315.454545	0	0	108	0	0	383	790	189	177	1823	0	0
Atp6v1d	315.454545	0	0	108	0	0	383	790	189	177	1823	0	0
Ndufs1	315.363636	0	105	99	0	0	386	1365	142	206	1166	0	0
Eef1b2	315.363636	0	105	99	0	0	386	1365	142	206	1166	0	0
B3galnt2	315.363636	0	235	0	0	0	464	542	225	348	1534	121	0
Zbtb32	315.181818	0	0	0	0	0	459	460	278	291	1979	0	0
Rps23	315.181818	0	0	0	0	0	408	1205	162	176	1411	105	0
Kmt2b	315.181818	0	0	0	0	0	459	460	278	291	1979	0	0
Borcs7	315.181818	0	0	0	0	0	185	703	215	201	2163	0	0
Agps	314.909091	0	115	0	0	0	270	609	193	200	2077	0	0
Srsf9	314.818182	0	0	0	0	0	322	637	138	113	2253	0	0
Slirp	314.818182	0	0	0	0	0	366	1111	213	200	1427	146	0
Rbm14	314.818182	0	150	137	0	0	455	573	193	202	1651	102	0
Nrp	314.818182	0	0	0	0	0	366	1111	213	200	1427	146	0
Ipo13	314.818182	0	151	124	0	0	345	709	170	248	1645	71	0
Gm21992	314.818182	0	150	137	0	0	455	573	193	202	1651	102	0
Alkbh1	314.818182	0	0	0	0	0	366	1111	213	200	1427	146	0
Tasor2	314.727273	0	0	99	0	0	423	626	241	295	1778	0	0
Ruvbl1	314.727273	0	225	0	0	0	370	609	283	196	1646	133	0
Gna12	314.727273	0	0	0	0	0	281	740	236	215	1990	0	0
Tfap4	314.636364	0	0	142	153	0	513	847	162	174	1352	118	0
Avpi1	314.636364	0	0	207	153	0	439	631	155	119	1757	0	0
Psmc2	314.545455	0	162	0	0	0	271	482	153	246	2001	145	0
Dnajc2	314.545455	0	162	0	0	0	271	482	153	246	2001	145	0
Clk4	314.545455	0	0	167	0	0	427	550	203	147	1860	106	0
Cct5	314.545455	0	347	0	0	0	583	812	179	218	1186	135	0
BC049762	314.545455	0	0	167	0	0	427	550	203	147	1860	106	0
Atpsckmt	314.545455	0	347	0	0	0	583	812	179	218	1186	135	0
Snai3	314.454545	0	0	0	0	0	356	446	209	285	2058	105	0
Opn3	314.454545	0	443	0	0	0	352	674	268	240	1366	116	0
Chml	314.454545	0	443	0	0	0	352	674	268	240	1366	116	0
Pdik1l	314.272727	0	0	0	0	0	425	486	124	181	2151	90	0
Prkd3	314.090909	0	145	0	0	0	297	874	84	201	1854	0	0
Taf1c	314.000000	0	0	638	255	197	329	515	144	0	1376	0	0
Slc39a6	314.000000	0	295	0	0	0	231	803	175	191	1662	97	0
Elp2	314.000000	0	295	0	0	0	231	803	175	191	1662	97	0
Rsph3a	313.909091	0	0	0	0	0	425	653	240	214	1819	102	0
Rnasek	313.909091	0	1421	0	0	0	307	223	162	166	1174	0	0
Clock	313.909091	0	460	99	0	0	272	495	136	234	1757	0	0
Hbs1l	313.727273	0	109	119	0	0	393	355	203	0	2147	125	0
Gtf2f2	313.727273	0	0	0	0	0	273	466	171	123	2418	0	0
Pim3	313.636364	0	541	0	119	0	360	699	326	237	1168	0	0
Cyp51	313.454545	0	218	99	0	0	216	621	194	167	1819	114	0
Akap1	313.363636	0	111	0	0	0	279	565	217	266	2009	0	437
Erp29	313.363636	0	332	118	104	0	320	207	201	249	1851	65	0
Ptp4a2	313.272727	0	0	127	114	0	513	526	199	229	1635	103	0
Fam220a	313.272727	0	0	0	0	0	380	345	203	199	2206	113	0
Ascc1	313.272727	0	115	0	0	0	309	582	241	345	1773	81	0
Anapc16	313.272727	0	115	0	0	0	309	582	241	345	1773	81	0
Fchsd2	313.181818	0	134	0	0	0	344	618	136	178	1938	97	0
Camsap2	312.909091	0	0	0	0	0	298	540	171	147	2145	141	0
Tmem132a	312.818182	0	0	0	134	0	265	888	118	155	1881	0	0
Mks1	312.818182	0	0	0	0	0	242	634	148	136	2281	0	0
Tspan3	312.727273	0	110	0	0	0	157	653	181	167	2172	0	0
Eml4	312.727273	0	0	156	0	0	331	705	142	190	1839	77	0
Elac2	312.727273	0	162	136	144	0	266	610	273	258	1591	0	0
Phip	312.636364	0	99	0	0	0	253	1075	130	252	1630	0	0
Zyg11b	312.545455	0	165	0	0	0	187	544	170	186	2076	110	0
Sp1	312.363636	0	134	0	0	0	566	960	108	132	1536	0	0
Chd2	312.272727	0	247	133	0	0	531	321	253	295	1494	161	0
Exosc5	312.181818	0	0	136	114	0	381	537	156	249	1755	106	0
Btaf1	312.181818	0	128	0	0	0	359	688	116	222	1818	103	0
Bckdha	312.181818	0	0	136	114	0	381	537	156	249	1755	106	0
Atxn7l2	312.181818	0	203	0	0	0	221	678	190	265	1773	104	0
Ptbp2	312.090909	0	190	0	130	0	259	903	118	202	1494	137	0
Nubp1	312.090909	0	170	0	0	0	289	890	170	261	1653	0	0
Klf15	312.090909	0	1362	0	0	0	252	339	0	0	1480	0	0
Eid2	312.090909	0	500	0	0	0	248	447	90	137	2011	0	0
Vps29	311.909091	0	0	0	0	0	335	573	283	223	2017	0	0
Rad9b	311.909091	0	0	0	0	0	335	573	283	223	2017	0	0
Fam98b	311.909091	0	0	0	0	0	122	1044	0	139	2126	0	0
Amh	311.909091	0	0	205	165	0	359	745	0	113	1746	98	0
Stag3	311.818182	0	113	230	112	0	196	522	201	131	1925	0	0
Pkig	311.818182	0	0	0	0	0	143	431	0	144	2712	0	0
Hk1	311.818182	0	1692	0	0	0	263	290	106	0	1079	0	0
Gpc2	311.818182	0	113	230	112	0	196	522	201	131	1925	0	0
Tprkb	311.727273	0	392	0	0	0	288	552	148	269	1671	109	0
Pou2f1	311.727273	0	289	131	0	0	183	607	209	233	1651	126	0
Nat8f1	311.727273	0	392	0	0	0	288	552	148	269	1671	109	0
H2az2	311.727273	0	967	0	0	0	297	469	176	243	1277	0	0
Zfp706	311.636364	0	159	0	0	0	435	618	244	250	1610	112	0
Tmem186	311.636364	0	0	209	120	0	293	694	163	260	1593	96	0
Reep6	311.636364	0	0	120	174	0	410	209	263	297	1843	112	0
Pmm2	311.636364	0	0	209	120	0	293	694	163	260	1593	96	0
Pcsk4	311.636364	0	0	120	174	0	410	209	263	297	1843	112	0
Nckipsd	311.636364	0	241	0	0	0	255	552	114	180	2086	0	0
Ppa2	311.545455	0	116	163	0	0	282	657	184	179	1846	0	0
Phc2	311.454545	0	99	0	0	0	362	461	116	204	2184	0	0
Rfng	311.272727	0	0	0	0	0	350	637	206	259	1972	0	0
Gps1	311.272727	0	0	0	0	0	350	637	206	259	1972	0	0
Atp1a1	311.272727	0	66	147	0	0	431	1048	155	202	1264	111	0
Ogfrl1	311.181818	0	868	0	0	0	246	361	83	118	1747	0	0
Mbtps1	310.909091	0	0	0	0	0	384	520	227	432	1777	80	0
Lcmt2	310.909091	0	159	0	0	0	417	678	291	328	1459	88	0
Exd2	310.909091	0	130	0	0	0	186	565	115	211	2123	90	0
Adal	310.909091	0	159	0	0	0	417	678	291	328	1459	88	0
Rorc	310.818182	0	0	414	209	0	283	225	0	0	2288	0	0
Pdia5	310.818182	0	216	84	0	0	158	370	144	0	2365	82	0
Bag6	310.818182	0	123	0	0	0	513	557	288	355	1583	0	0
Apom	310.818182	0	123	0	0	0	513	557	288	355	1583	0	0
Trap1	310.727273	0	0	0	0	0	318	748	106	149	2097	0	0
Taok3	310.727273	0	1127	0	0	0	211	383	109	175	1413	0	0
Suds3	310.727273	0	1127	0	0	0	211	383	109	175	1413	0	0
Pank4	310.727273	0	149	0	0	0	357	873	103	250	1686	0	0
Hes5	310.727273	0	149	0	0	0	357	873	103	250	1686	0	0
B3gntl1	310.727273	0	0	285	123	0	411	528	192	230	1559	90	0
Mdh1b	310.636364	0	0	0	0	0	279	737	208	179	2014	0	0
Hps1	310.636364	0	0	0	0	0	416	1028	179	224	1570	0	0
Fastkd2	310.636364	0	0	0	0	0	279	737	208	179	2014	0	0
Dis3l2	310.636364	0	182	0	0	0	235	453	103	152	2292	0	0
Spin1	310.545455	0	149	0	0	0	342	751	160	256	1673	85	0
Pde4a	310.545455	0	618	448	300	189	239	461	0	0	1039	122	0
Ahctf1	310.454545	0	164	0	0	0	345	849	145	183	1729	0	0
Spice1	310.363636	0	589	0	0	0	315	569	201	280	1460	0	0
Snapin	310.272727	0	171	0	0	0	348	701	82	238	1808	65	0
Tekt2	310.090909	0	129	0	0	0	307	713	168	280	1814	0	0
Nfe2l1	310.090909	0	416	0	0	0	373	939	150	208	1215	110	0
Adprhl2	310.090909	0	129	0	0	0	307	713	168	280	1814	0	0
Utp23	310.000000	0	109	258	0	0	265	493	0	0	2207	78	0
Ufl1	310.000000	0	0	0	0	0	198	757	0	138	2317	0	0
Rnf111	309.909091	0	755	0	0	0	190	631	0	115	1718	0	0
Hnrnpd	309.818182	0	258	0	0	0	469	737	200	222	1408	114	0
Zfp422	309.727273	0	208	0	0	0	140	678	73	146	2162	0	0
Dgat1	309.636364	0	181	0	0	0	227	306	257	369	2066	0	0
Czib	309.545455	0	0	0	0	0	282	780	134	196	2013	0	0
Cd63	309.454545	0	0	216	77	0	552	801	0	0	1758	0	0
Eif2b3	309.363636	0	0	0	0	0	258	542	123	241	2239	0	0
Rps2	309.272727	0	0	0	0	0	549	1470	214	147	956	66	0
Rnf151	309.272727	0	0	0	0	0	549	1470	214	147	956	66	0
Ndufb10	309.272727	0	0	0	0	0	549	1470	214	147	956	66	0
Zfp12	309.181818	0	174	0	0	0	201	525	132	189	2180	0	0
Zfp598	308.818182	0	0	0	0	0	267	722	130	120	1982	176	0
Hmgxb3	308.818182	0	112	0	0	0	299	716	125	177	1968	0	0
Chd8	308.818182	0	0	0	0	0	281	547	198	186	1993	192	0
Ube2d2a	308.727273	0	124	0	0	0	330	435	282	227	1910	88	0
Slc25a36	308.727273	0	437	224	0	0	197	580	107	111	1740	0	0
Setx	308.727273	0	0	0	0	0	232	566	254	229	2004	111	0
Sec24a	308.727273	0	206	0	0	0	482	658	223	254	1573	0	0
Pak2	308.727273	0	160	0	0	0	350	930	165	218	1479	94	0
Map3k9	308.727273	0	0	0	0	0	397	551	162	166	2120	0	0
Pdxp	308.636364	0	194	0	0	0	331	584	200	160	1813	113	0
Pan3	308.636364	0	910	0	0	0	264	338	116	0	1676	91	0
Mrps30	308.636364	0	0	0	0	0	392	795	98	216	1894	0	0
Dusp18	308.636364	0	0	131	86	0	229	409	213	126	2201	0	0
4921536K21Rik	308.636364	0	0	131	86	0	229	409	213	126	2201	0	0
Jak2	308.545455	0	314	0	0	0	367	412	0	170	2049	82	0
Arid1a	308.363636	0	526	0	0	0	470	853	257	261	1025	0	0
Il17d	308.272727	0	0	361	0	0	234	559	80	211	1882	64	0
Tnip2	308.181818	0	245	0	0	0	293	887	116	242	1500	107	0
Mzt1	308.181818	0	198	0	0	0	345	485	188	312	1731	131	0
Bora	308.181818	0	198	0	0	0	345	485	188	312	1731	131	0
Zkscan2	308.090909	0	1142	0	0	0	0	0	0	0	2247	0	0
Styx	308.090909	0	114	0	0	0	311	472	129	171	2192	0	0
Wdr53	308.000000	0	0	0	0	0	435	305	236	249	2055	108	0
Rai1	308.000000	0	274	0	0	0	306	446	128	120	2031	83	0
Fbxo45	308.000000	0	0	0	0	0	435	305	236	249	2055	108	0
Nupr1l	307.909091	0	88	0	0	0	285	616	173	215	2010	0	0
Acvr2b	307.909091	0	0	0	0	0	646	678	193	179	1587	104	0
Pde7a	307.818182	0	0	0	0	0	552	614	134	129	1957	0	0
Ppp1r8	307.727273	0	111	0	0	0	270	358	0	118	2528	0	0
1700019D03Rik	307.727273	0	0	0	0	0	279	379	219	155	2353	0	0
Tmem123	307.636364	0	144	0	0	0	311	759	146	136	1766	122	0
Tbk1	307.454545	0	201	0	0	0	443	591	150	283	1714	0	0
Kpna3	307.454545	0	0	0	0	0	333	539	244	249	1872	145	0
4921524J17Rik	307.454545	0	120	0	0	0	315	479	132	193	2067	76	0
Nol11	307.363636	0	0	321	100	0	312	386	304	240	1630	88	0
Zdhhc17	307.181818	0	163	0	0	0	304	922	0	172	1818	0	0
Ado	307.181818	0	248	0	0	0	378	631	138	201	1783	0	0
Atp6v0e	307.090909	0	0	78	0	0	333	957	220	235	1433	122	0
Ankrd40	307.090909	0	0	0	0	0	427	719	131	249	1852	0	0
Rbm18	307.000000	0	0	0	0	0	306	634	152	307	1978	0	0
Mrrf	307.000000	0	0	0	0	0	306	634	152	307	1978	0	0
Ipo5	307.000000	0	0	0	0	0	346	974	179	155	1579	144	0
Mindy2	306.909091	0	1127	0	0	0	165	176	205	157	1405	141	0
Dlg1	306.818182	0	0	0	0	0	278	897	179	217	1684	120	0
Psg25	306.727273	0	0	0	0	0	332	456	210	156	2220	0	0
Wfdc3	306.636364	0	0	0	0	0	312	563	178	247	2073	0	0
Slc25a5	306.636364	0	144	0	0	0	387	758	77	146	1700	161	0
Nbea	306.636364	0	0	198	60	0	228	564	130	151	2042	0	0
Dnttip1	306.636364	0	0	0	0	0	312	563	178	247	2073	0	0
AI597479	306.636364	0	0	0	0	0	349	711	172	163	1978	0	0
Zbtb9	306.545455	0	1126	0	0	0	232	331	135	238	1223	87	0
Armc8	306.545455	0	0	0	0	0	198	866	98	128	2007	75	0
Snx14	306.454545	0	270	0	0	0	396	315	160	117	2043	70	0
Rragc	306.454545	0	143	160	0	0	364	537	166	207	1794	0	0
Rpl35	306.454545	0	109	106	0	0	493	1529	128	123	818	65	0
Med21	306.454545	0	259	130	198	0	460	277	231	243	1425	148	0
Arpc5l	306.454545	0	109	106	0	0	493	1529	128	123	818	65	0
Mtrex	306.363636	0	0	0	0	0	316	171	313	297	2202	71	0
Idh3a	306.363636	0	279	0	0	0	333	592	151	228	1787	0	0
Dhx29	306.363636	0	0	0	0	0	316	171	313	297	2202	71	0
Trmt5	306.272727	0	0	0	0	0	251	453	152	137	2376	0	0
Slc38a6	306.272727	0	0	0	0	0	251	453	152	137	2376	0	0
Ctbp2	306.272727	0	0	388	210	0	453	942	140	147	1089	0	0
Srpk1	306.181818	0	0	0	0	0	304	1031	195	217	1621	0	0
Pcbd2	306.181818	0	110	0	0	0	363	794	123	133	1845	0	0
Arglu1	306.090909	0	191	0	0	0	250	746	108	168	1904	0	0
Azin1	306.000000	0	113	0	0	0	309	475	155	184	1967	163	0
Nufip2	305.909091	0	0	0	0	0	392	942	0	119	1912	0	0
Zfp639	305.818182	0	0	0	0	0	336	673	152	199	1923	81	0
Capza2	305.818182	0	200	116	0	0	411	391	154	203	1815	74	0
Fam162a	305.727273	0	217	0	0	0	585	505	140	131	1683	102	0
Ccdc58	305.727273	0	217	0	0	0	585	505	140	131	1683	102	0
Ankrd10	305.727273	0	120	220	131	0	245	489	155	186	1720	97	0
Sugp2	305.636364	0	0	0	0	0	299	491	230	305	1941	96	0
Armc6	305.636364	0	0	0	0	0	299	491	230	305	1941	96	0
Ctnna1	305.545455	0	0	0	0	0	432	946	161	311	1511	0	0
Mga	305.363636	0	0	215	130	0	393	791	115	147	1470	98	0
Lgalsl	305.272727	0	0	0	0	0	294	696	183	182	2003	0	0
Aarsd1	305.272727	0	89	0	0	0	334	552	95	0	2288	0	0
Ccdc88a	305.090909	0	182	0	0	0	304	686	90	193	1901	0	0
Chmp7	305.000000	0	0	0	0	0	291	388	234	202	2157	83	0
Rgs2	304.909091	0	108	179	105	0	403	557	222	183	1501	96	0
AW549877	304.909091	0	178	0	0	0	437	570	192	192	1785	0	0
Usp32	304.818182	0	115	0	0	0	287	253	211	176	2145	166	0
Xndc1	304.727273	0	0	0	0	0	255	639	251	251	1956	0	0
Sqle	304.727273	0	511	0	0	0	182	247	202	227	1983	0	0
Rnf121	304.727273	0	0	0	0	0	255	639	251	251	1956	0	0
Ptges3	304.727273	0	0	87	0	0	235	637	186	245	1862	100	0
Gapvd1	304.727273	0	102	0	0	0	254	702	106	187	2001	0	0
Spout1	304.545455	0	0	190	246	0	355	229	238	232	1769	91	0
Nphp4	304.545455	0	1378	0	0	0	131	226	221	130	1165	99	0
Kcnab2	304.545455	0	1378	0	0	0	131	226	221	130	1165	99	0
Hif3a	304.545455	0	0	0	0	0	346	715	143	174	1972	0	0
Arhgap35	304.545455	0	327	100	0	0	284	646	152	160	1585	96	0
Abcc4	304.545455	0	218	0	0	0	246	686	117	187	1777	119	0
Vapa	304.454545	0	144	264	116	0	488	389	199	325	1297	127	0
Rpl27a	304.454545	0	218	56	0	0	394	1136	168	202	1079	96	0
Lif	304.454545	0	0	0	0	0	425	1116	152	162	1494	0	0
Jag2	304.454545	0	0	128	145	0	516	835	113	161	1451	0	0
1600014C23Rik	304.272727	0	150	0	0	0	606	356	109	130	1996	0	0
Ring1	304.090909	0	1336	0	0	0	410	463	167	182	787	0	0
Gsr	304.090909	0	291	0	0	0	581	450	96	235	1692	0	0
Pola2	304.000000	0	0	0	0	0	280	471	117	191	2285	0	0
Gtf3c2	304.000000	0	0	0	0	0	154	355	155	268	2298	114	0
Gtf2i	303.909091	0	878	0	0	0	258	664	128	148	1267	0	0
Tsen54	303.818182	0	97	0	0	0	285	515	134	276	1953	82	0
Lysmd2	303.818182	0	0	0	0	0	328	948	128	208	1730	0	0
Caskin2	303.818182	0	97	0	0	0	285	515	134	276	1953	82	0
Cdca4	303.727273	0	0	0	0	0	316	400	205	276	2026	118	0
Thumpd3	303.545455	0	119	0	0	0	374	495	208	232	1832	79	0
Rpf1	303.454545	0	0	0	0	0	332	845	196	255	1557	153	0
Zdhhc12	303.363636	0	189	141	0	0	234	327	368	205	1767	106	0
Alg9	303.363636	0	0	0	0	0	221	596	122	136	2262	0	0
Ttll4	303.272727	0	135	0	0	0	320	647	102	176	1956	0	0
Snrpe	303.272727	0	0	0	0	0	250	796	170	183	1872	65	0
Smad5	303.272727	0	0	0	0	0	320	674	144	287	1815	96	0
Cetn4	303.272727	0	976	0	0	0	100	651	99	0	1510	0	0
Bbs12	303.272727	0	976	0	0	0	100	651	99	0	1510	0	0
LOC114841036	302.909091	0	0	0	0	0	200	1262	200	326	1258	86	0
Gls	302.909091	0	0	151	0	0	346	855	101	128	1645	106	0
Zfp511	302.818182	0	100	0	0	0	320	851	137	272	1651	0	0
Tubgcp2	302.818182	0	100	0	0	0	320	851	137	272	1651	0	0
Ppp1r13b	302.818182	0	0	0	0	0	376	754	108	204	1889	0	0
Pacs2	302.818182	0	116	0	0	0	344	551	209	207	1904	0	0
Fam90a1b	302.818182	0	0	0	0	0	416	225	166	188	2336	0	0
Apoo	302.818182	0	0	0	0	0	416	225	166	188	2336	0	0
Per3	302.727273	0	119	0	0	0	412	308	234	252	1902	103	0
Polr2e	302.636364	0	182	0	0	0	280	333	116	132	2286	0	0
Ipo9	302.636364	0	72	0	0	0	250	519	112	70	2306	0	0
Faxc	302.636364	0	0	0	0	0	203	625	234	204	2063	0	0
Clcn4	302.545455	0	95	301	155	0	218	643	250	386	1194	86	0
Alg1	302.454545	0	132	129	0	0	523	397	136	98	1912	0	0
Nedd4	302.272727	0	0	0	0	0	463	655	115	197	1786	109	0
Med26	302.272727	0	0	0	0	0	411	339	209	213	2058	95	0
Wdr73	302.090909	0	168	0	0	0	163	678	131	148	2035	0	0
Uimc1	302.090909	0	0	157	0	0	412	642	170	267	1572	103	0
Nmb	302.090909	0	168	0	0	0	163	678	131	148	2035	0	0
Tecpr2	301.909091	0	76	0	0	0	336	470	215	198	2026	0	0
Nrep	301.909091	0	154	0	0	0	417	571	123	177	1879	0	0
Cinp	301.909091	0	76	0	0	0	336	470	215	198	2026	0	0
Atp2a2	301.727273	0	165	126	0	0	421	686	187	233	1406	95	0
Ptp4a1	301.636364	0	0	0	0	0	391	681	132	240	1757	117	0
Cenpm	301.636364	0	160	0	0	0	274	399	200	297	1988	0	0
Zbtb8os	301.454545	0	141	0	0	0	235	596	230	225	1783	106	0
Rbbp4	301.454545	0	141	0	0	0	235	596	230	225	1783	106	0
Bricd5	301.454545	0	175	0	0	0	174	415	203	277	2072	0	0
Lrba	301.363636	0	181	76	0	0	336	468	187	244	1717	106	0
Rhobtb1	301.272727	0	278	0	0	0	491	479	144	144	1778	0	0
A930033H14Rik	301.272727	0	278	0	0	0	491	479	144	144	1778	0	0
Yeats4	301.181818	0	175	0	0	0	314	523	181	274	1846	0	0
Prmt6	301.090909	0	158	0	0	0	419	810	126	179	1515	105	0
Zbtb49	301.000000	0	89	0	0	0	255	385	217	189	2059	117	0
Lyar	301.000000	0	89	0	0	0	255	385	217	189	2059	117	0
Them6	300.909091	0	0	0	0	0	241	474	120	133	2194	148	0
Oxr1	300.909091	0	233	0	0	0	403	517	150	156	1851	0	0
Mafg	300.818182	0	149	0	0	0	353	753	207	307	1540	0	0
Uso1	300.636364	0	163	104	134	0	427	230	216	153	1692	188	0
Slc25a40	300.636364	0	0	133	0	0	250	362	202	160	1995	205	0
Pskh1	300.636364	0	0	0	0	0	232	687	152	311	1925	0	0
Dbf4	300.636364	0	0	133	0	0	250	362	202	160	1995	205	0
Prr22	300.454545	0	0	0	0	0	408	1058	0	0	1839	0	0
Pold3	300.454545	0	0	0	0	0	304	393	162	162	2284	0	0
Sf3a2	300.363636	0	113	0	0	0	297	547	196	275	1876	0	0
Ptpn23	300.363636	0	512	0	0	0	307	426	89	128	1842	0	0
Psmd9	300.363636	0	0	0	0	0	308	387	184	155	2270	0	0
Plekhj1	300.363636	0	113	0	0	0	297	547	196	275	1876	0	0
B4galnt4	300.363636	0	145	0	0	0	242	797	157	149	1738	76	0
Mllt10	300.272727	0	190	99	0	0	406	576	193	271	1568	0	0
Eef2k	300.272727	0	118	0	0	0	420	474	129	135	1909	118	0
Dym	300.272727	0	0	0	0	0	407	423	127	118	2228	0	0
Tmem109	300.090909	0	0	134	95	0	347	510	189	153	1873	0	0
Patl1	300.090909	0	0	0	0	0	290	434	132	186	2259	0	0
Zdhhc5	300.000000	0	0	0	0	0	455	227	332	364	1828	94	0
Nr2f6	299.909091	0	538	0	0	0	577	566	146	198	1274	0	0
Ap2s1	299.909091	0	0	0	0	0	238	350	376	130	2120	85	0
Fam3c	299.818182	0	119	0	0	0	297	591	80	137	1992	82	0
Cers6	299.818182	0	0	189	202	0	547	389	164	201	1606	0	0
Pcmt1	299.636364	0	88	0	0	0	270	764	103	228	1843	0	0
Mrps18a	299.636364	0	0	102	0	0	348	477	117	217	1963	72	0
Rbm48	299.545455	0	226	0	0	0	299	749	104	126	1791	0	0
Pex1	299.545455	0	226	0	0	0	299	749	104	126	1791	0	0
Nadk2	299.454545	0	110	0	0	0	251	876	99	175	1783	0	0
Rab34	299.363636	0	0	160	0	0	491	1038	251	198	1065	90	0
Itpk1	299.272727	134	1224	0	0	0	328	425	0	150	1031	0	0
Atxn2l	299.272727	0	226	0	0	0	356	510	233	243	1649	75	0
Sema3c	299.181818	0	0	0	0	0	487	631	69	105	1999	0	0
Esyt2	299.090909	0	321	0	0	0	352	357	183	179	1898	0	0
Ccno	299.090909	0	362	0	0	0	329	260	150	159	1941	89	0
Ccni	299.090909	0	0	0	0	0	216	912	245	327	1402	188	0
2010109A12Rik	299.090909	0	0	0	0	0	216	912	245	327	1402	188	0
Ubap2l	298.818182	0	0	217	0	0	352	399	226	220	1773	100	0
Rabep2	298.818182	0	175	0	0	0	266	921	110	356	1459	0	0
Paip2b	298.818182	0	297	0	0	0	227	606	199	177	1710	71	0
4933434E20Rik	298.818182	0	0	217	0	0	352	399	226	220	1773	100	0
Tm9sf4	298.727273	0	0	0	0	0	320	686	274	268	1738	0	0
Sltm	298.727273	0	93	91	0	0	245	396	214	211	1918	118	0
Garre1	298.727273	0	83	0	0	0	273	508	106	259	2057	0	0
B9d1	298.727273	0	0	78	0	0	317	308	154	177	2252	0	0
Adss	298.727273	0	76	0	0	0	377	472	222	182	1833	124	0
Pdrg1	298.636364	0	136	0	0	0	217	597	92	174	2069	0	0
Grhl2	298.636364	0	0	0	0	0	460	666	81	137	1941	0	0
Zfp628	298.545455	0	0	0	0	0	258	727	157	250	1892	0	0
Phlda1	298.545455	0	151	0	0	0	670	619	123	151	1503	67	0
Eci1	298.545455	0	141	0	0	0	350	845	145	164	1639	0	0
Atp23	298.363636	0	237	0	0	0	314	636	203	181	1623	88	0
Tesmin	298.181818	0	185	0	0	0	317	503	145	130	1840	160	0
Srfbp1	298.181818	0	83	0	0	0	340	631	175	146	1905	0	0
Pfn2	298.181818	0	229	218	134	0	146	547	0	0	2006	0	0
Oxsm	298.181818	0	179	0	0	0	283	716	77	321	1704	0	0
Ngly1	298.181818	0	179	0	0	0	283	716	77	321	1704	0	0
Armc5	298.181818	0	181	0	0	0	390	502	285	237	1577	108	0
9130023H24Rik	298.181818	0	181	0	0	0	390	502	285	237	1577	108	0
Ugcg	298.090909	0	374	0	0	0	360	559	89	232	1597	68	0
Cdv3	298.000000	0	0	0	0	0	543	905	199	195	1344	92	0
Zdhhc16	297.909091	0	0	0	124	0	223	562	271	234	1794	69	0
Ptrhd1	297.909091	0	0	0	0	0	153	427	150	178	2225	144	0
Gtf3c6	297.909091	0	0	0	110	0	481	1160	244	162	966	154	0
Exosc1	297.909091	0	0	0	124	0	223	562	271	234	1794	69	0
Cenpo	297.909091	0	0	0	0	0	153	427	150	178	2225	144	0
Mettl23	297.818182	0	234	119	107	0	359	547	144	209	1477	80	0
Mier2	297.727273	0	309	0	0	0	225	328	129	199	2085	0	0
Cipc	297.727273	0	0	376	193	0	379	366	196	135	1630	0	0
Trim33	297.636364	0	133	138	0	0	447	457	162	289	1519	129	0
Htra2	297.636364	0	135	0	0	0	461	450	219	192	1817	0	0
Dqx1	297.636364	0	135	0	0	0	461	450	219	192	1817	0	0
Clpp	297.636364	0	124	0	0	0	402	807	142	206	1525	68	0
Tmem131l	297.545455	0	170	148	141	0	383	327	187	101	1697	119	0
Rnpc3	297.545455	0	79	0	0	0	245	808	122	265	1754	0	0
Memo1	297.545455	0	213	0	0	0	332	724	212	168	1514	110	0
Rcl1	297.454545	0	0	205	204	0	379	827	199	91	1367	0	0
Mbnl1	297.363636	0	231	0	0	0	282	762	0	168	1723	105	0
Ipo8	297.272727	0	0	0	0	0	213	487	108	114	2348	0	0
Agk	297.272727	0	193	0	0	0	290	728	110	93	1782	74	0
Tmf1	297.090909	0	117	0	0	0	266	418	87	135	2245	0	0
Thap7	297.090909	0	994	0	0	0	342	489	145	235	1063	0	0
Rnf13	297.090909	0	0	0	0	0	572	1034	168	199	1295	0	0
Carnmt1	297.090909	0	0	0	0	0	311	846	176	229	1706	0	0
Gmeb2	297.000000	0	128	0	0	0	347	596	214	273	1709	0	0
Dpy30	297.000000	0	0	0	0	0	263	585	128	106	2185	0	0
