Target_genes	Nfil3|Average	SRX11995968|Heart	SRX11995969|Heart	SRX11995970|Heart	SRX11995971|Heart	SRX11995972|Heart	SRX11995973|Heart	SRX11995974|Heart	SRX11995975|Heart	SRX11995976|Heart	SRX11995977|Heart	SRX11995978|Heart	SRX10820639|Hematopoietic_progenitors	DRX178623|Liver	DRX178625|Liver	DRX178631|Liver	DRX178633|Liver	SRX655369|Liver	SRX8376387|Liver	SRX8376388|Liver	SRX11972855|RAW_264.7	SRX11972856|RAW_264.7	STRING
Gm10639	47.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	340	0	0	371	202	0
Plekhh3	47.714286	0	0	0	0	0	0	0	0	0	0	0	129	0	566	0	307	0	0	0	0	0	0
Cntnap1	47.714286	0	0	0	0	0	0	0	0	0	0	0	129	0	566	0	307	0	0	0	0	0	0
Ccr10	47.714286	0	0	0	0	0	0	0	0	0	0	0	129	0	566	0	307	0	0	0	0	0	0
Tab1	47.666667	0	0	0	0	0	0	0	0	0	0	0	0	266	493	0	242	0	0	0	0	0	0
Susd6	47.619048	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	158	0	0	396	320	0
Nt5c2	47.619048	0	0	0	0	0	0	0	0	0	0	0	0	335	206	0	0	459	0	0	0	0	0
Lbh	47.619048	0	0	0	67	0	0	0	0	0	0	0	0	0	92	0	77	0	0	0	352	412	0
Ifrd1	47.619048	0	0	0	0	0	0	0	0	0	0	0	136	0	712	0	0	152	0	0	0	0	0
Wbp11	47.571429	0	0	0	0	0	0	0	0	0	0	0	117	0	153	0	0	0	0	0	402	327	0
BC049715	47.571429	0	0	0	0	0	0	0	0	0	0	0	117	0	153	0	0	0	0	0	402	327	0
Zbtb44	47.523810	0	0	0	0	0	0	0	0	0	0	0	0	222	291	0	146	339	0	0	0	0	0
Noct	47.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	101	317	0	0	209	151	0
Mesp2	47.523810	0	0	0	0	0	0	0	0	0	0	0	0	359	98	0	0	541	0	0	0	0	0
AA467197	47.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	652	0	346	0	0	0	0	0	0
Zbtb46	47.428571	0	0	0	0	0	0	0	0	0	0	0	0	461	227	0	78	230	0	0	0	0	0
Kmt2a	47.428571	0	0	0	0	0	0	0	0	0	0	0	692	0	132	0	172	0	0	0	0	0	0
Ckap2l	47.428571	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	522	349	0
Taok3	47.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	552	0	220	223	0	0	0	0	0
Rps3a1	47.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	416	144	0	0	0	0	0
Nt5dc1	47.380952	0	0	0	0	0	0	0	0	0	0	0	309	0	548	0	138	0	0	0	0	0	0
Tdrd9	47.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	589	0	405	0	0	0	0	0	0
Pou6f1	47.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	692	0	209	93	0	0	0	0	0
Atp5mpl	47.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	589	0	405	0	0	0	0	0	0
Cxcl10	47.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	414	0	149	283	0	0	147	0	0
Zfp395	47.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	129	721	0	0	0	0	0
Tsr1	47.238095	0	0	0	0	0	0	0	0	0	0	0	0	229	179	0	128	456	0	0	0	0	0
Sgsm2	47.238095	0	0	0	0	0	0	0	0	0	0	0	0	229	179	0	128	456	0	0	0	0	0
Hrg	47.238095	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	722	0	0	0	0	0
Gnat1	47.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0	198	381	0	0	0	0	0
Ankrd23	47.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	649	0	0	342	0	0	0	0	0
Fitm2	47.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	443	0	441	106	0	0	0	0	0
Synj2	47.095238	0	0	0	0	0	0	0	0	0	0	0	92	0	217	0	193	0	0	0	280	207	0
Hspa9	47.095238	0	0	0	0	0	0	0	0	0	0	0	164	0	200	0	0	625	0	0	0	0	0
Csf2ra	47.095238	0	0	0	0	0	0	0	0	0	0	0	153	0	273	297	0	266	0	0	0	0	0
Reep6	47.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	419	0	0	569	0	0	0	0	0
Pcsk4	47.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	419	0	0	569	0	0	0	0	0
Tstd1	47.000000	0	0	0	0	0	0	0	0	0	0	0	0	155	115	0	0	717	0	0	0	0	0
Map7	46.952381	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	307	544	0	0	0	0	0
Kif21b	46.952381	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	384	241	0
H4c4	46.952381	0	0	0	0	0	0	0	0	0	0	0	0	102	292	0	179	195	0	0	218	0	0
Fdxr	46.904762	0	0	0	0	0	0	0	0	0	0	0	680	0	0	0	125	180	0	0	0	0	0
Cerk	46.904762	0	0	0	0	0	0	0	0	0	0	0	158	0	469	0	0	358	0	0	0	0	0
B3gnt9	46.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	675	0	310	0	0	0	0	0	0
Trub2	46.857143	0	0	0	0	0	0	0	0	0	0	0	263	0	296	0	123	302	0	0	0	0	0
Mettl23	46.857143	0	0	0	0	0	0	0	0	0	0	0	183	174	627	0	0	0	0	0	0	0	0
H4c3	46.809524	0	0	0	0	0	0	0	0	0	0	0	263	0	283	0	234	203	0	0	0	0	0
H1f6	46.809524	0	0	0	0	0	0	0	0	0	0	0	263	0	283	0	234	203	0	0	0	0	0
Unc45a	46.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	684	0	297	0	0	0	0	0	0
Palb2	46.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	552	0	0	0	0	0	0
Id2	46.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	471	179	0	0	0	0	0
Hddc3	46.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	684	0	297	0	0	0	0	0	0
Dctn5	46.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	552	0	0	0	0	0	0
Dact2	46.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0	247	159	0
Slc39a10	46.666667	0	0	0	0	0	0	0	0	0	0	0	135	0	591	0	0	156	0	0	98	0	0
Ppp2r2a	46.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	146	530	0	0	0	0	0
Hacl1	46.666667	0	0	0	0	0	0	0	0	0	0	0	0	297	151	0	0	532	0	0	0	0	0
Btd	46.666667	0	0	0	0	0	0	0	0	0	0	0	0	297	151	0	0	532	0	0	0	0	0
Uox	46.619048	0	0	0	0	0	0	0	0	0	0	0	0	373	217	0	0	389	0	0	0	0	0
Grn	46.619048	0	0	0	0	0	0	0	0	0	0	0	153	0	148	0	0	678	0	0	0	0	0
Esrra	46.619048	0	0	0	0	0	0	0	0	0	0	0	288	74	486	0	0	131	0	0	0	0	0
Errfi1	46.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	249	479	0	0	0	0	0
Catsperz	46.619048	0	0	0	0	0	0	0	0	0	0	0	288	74	486	0	0	131	0	0	0	0	0
Samd8	46.523810	0	0	0	0	0	0	0	0	0	0	0	479	0	131	0	0	367	0	0	0	0	0
Ebag9	46.523810	0	0	0	0	0	0	0	0	0	0	0	164	0	587	0	75	0	0	0	151	0	0
Serpinb6b	46.476190	0	0	0	0	0	0	0	0	0	0	0	0	193	206	0	0	577	0	0	0	0	0
Fhit	46.476190	0	0	0	0	0	0	0	0	0	0	0	0	222	170	0	105	479	0	0	0	0	0
Rpia	46.428571	0	0	0	0	0	0	0	0	0	0	0	687	0	0	0	97	191	0	0	0	0	0
Rbm47	46.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	130	606	0	0	0	0	0
Plxdc2	46.428571	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	92	0	0	0	458	273	0
Peli2	46.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	132	0	0	0	404	248	0
Dtd1	46.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	616	0	359	0	0	0	0	0	0
Tymp	46.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	141	538	0	0	0	0	0
Sigmar1	46.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	99	660	0	0	0	0	0
Sco2	46.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	141	538	0	0	0	0	0
Odf3b	46.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	141	538	0	0	0	0	0
Kmt2e	46.285714	0	0	0	0	0	0	0	0	0	0	0	350	0	210	0	190	139	0	0	0	83	0
Retreg2	46.238095	0	0	0	0	0	0	0	0	0	0	0	153	93	357	0	0	368	0	0	0	0	0
Nup133	46.238095	0	0	0	0	0	0	0	0	0	0	0	168	0	416	0	85	302	0	0	0	0	0
Esyt2	46.238095	0	0	0	0	0	0	0	0	0	0	0	263	0	344	0	112	252	0	0	0	0	0
Cnppd1	46.238095	0	0	0	0	0	0	0	0	0	0	0	153	93	357	0	0	368	0	0	0	0	0
Zfp593	46.190476	0	0	0	0	0	0	0	0	0	0	0	111	0	601	0	258	0	0	0	0	0	0
Olfr368	46.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	478	337	0
Mybpc3	46.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	566	0	404	0	0	0	0	0	0
Lekr1	46.190476	0	0	0	0	0	0	0	0	0	0	0	174	0	338	0	148	310	0	0	0	0	0
Gm30191	46.190476	0	0	0	0	0	0	0	0	0	0	0	111	0	601	0	258	0	0	0	0	0	0
Fstl3	46.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	574	0	265	130	0	0	0	0	0
Dab2	46.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	273	0	0	0	235	120	0
Rsph3a	46.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	731	0	142	95	0	0	0	0	0
Mroh2a	46.095238	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	541	0	0	313	0	0
Maff	46.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	409	340	0
Hebp2	46.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	186	0	0	0	206	186	0
Cspp1	46.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	197	0	0	0	362	172	0
Cops5	46.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	197	0	0	0	362	172	0
Saal1	46.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	637	0	330	0	0	0	0	0	0
Marveld3	46.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	678	0	289	0	0	0	0	0	0
Zfp64	46.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	531	0	105	0	0	0	135	195	0
Zfp516	46.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0	327	0	0	0	0	0	0
Gnmt	46.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	121	445	0	0	0	0	0
Esyt1	46.000000	0	0	0	0	0	0	0	0	0	0	0	489	0	262	0	0	215	0	0	0	0	0
Timm8b	45.952381	0	0	0	0	0	0	0	0	0	0	0	287	0	453	0	121	104	0	0	0	0	0
Sdhd	45.952381	0	0	0	0	0	0	0	0	0	0	0	287	0	453	0	121	104	0	0	0	0	0
Klf4	45.952381	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	70	0	0	0	264	245	0
Nr4a2	45.904762	0	0	0	0	0	0	0	0	0	0	0	0	84	135	0	155	590	0	0	0	0	0
Inpp4a	45.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	537	296	0
Ssu72	45.714286	0	0	0	0	0	0	0	0	0	0	0	425	0	535	0	0	0	0	0	0	0	0
Myh9	45.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	740	0	0	220	0	0	0	0	0
Dnm1	45.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	621	0	339	0	0	0	0	0	0
Rps2	45.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	582	0	377	0	0	0	0	0	0
Ndufb10	45.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	582	0	377	0	0	0	0	0	0
Mical1	45.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	99	0	0	0	352	403	0
Agpat2	45.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	89	661	0	0	0	0	0
Mfsd8	45.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	629	0	329	0	0	0	0	0	0
Mbd1	45.619048	0	0	0	0	0	0	0	0	0	0	0	0	272	221	0	121	344	0	0	0	0	0
Ggt7	45.619048	0	0	0	0	0	0	0	0	0	0	0	290	0	242	0	252	174	0	0	0	0	0
Acss2	45.619048	0	0	0	0	0	0	0	0	0	0	0	290	0	242	0	252	174	0	0	0	0	0
Zfp975	45.571429	0	0	0	0	0	0	0	0	0	0	0	226	164	382	0	0	185	0	0	0	0	0
Snx19	45.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	636	0	320	0	0	0	0	0	0
Slc66a2	45.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	141	481	0	0	0	0	0
Ddx46	45.523810	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	348	0	0	0	0	0	0
Vmn1r8	45.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	427	0
Cd1d1	45.428571	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	832	0	0	0	0	0
Cycs	45.380952	0	0	0	0	0	0	0	0	0	0	0	161	0	456	0	129	90	0	0	117	0	0
Clmn	45.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	520	0	0	211	0	0
Pcnx	45.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	788	0	0	0	0	0
Uqcc1	45.285714	0	0	0	0	0	0	0	0	0	0	0	158	0	134	0	0	0	0	0	525	134	0
Slc25a28	45.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	695	0	256	0	0	0	0	0	0
Pfdn4	45.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	393	0	0	0	278	78	0
Suds3	45.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	552	0	220	178	0	0	0	0	0
Stk40	45.238095	0	0	0	0	0	0	0	0	0	0	0	566	0	0	0	148	236	0	0	0	0	0
Hbs1l	45.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	97	712	0	0	0	0	0
Coa7	45.238095	0	0	0	0	0	0	0	0	0	0	0	298	0	652	0	0	0	0	0	0	0	0
Cisd1	45.238095	0	0	0	0	0	0	0	0	0	0	0	0	157	205	0	0	588	0	0	0	0	0
Senp8	45.142857	0	0	0	0	0	0	0	0	0	0	0	163	0	197	164	0	424	0	0	0	0	0
Rbm39	45.142857	0	0	0	0	0	0	0	0	0	0	0	405	0	199	0	202	142	0	0	0	0	0
Phlpp2	45.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	511	0	0	158	0	0	184	95	0
Myo9a	45.142857	0	0	0	0	0	0	0	0	0	0	0	163	0	197	164	0	424	0	0	0	0	0
Llgl2	45.142857	0	0	0	0	0	0	0	0	0	0	0	0	153	636	0	0	159	0	0	0	0	0
Gypc	45.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	114	699	0	0	0	0	0
Fgl1	45.142857	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	809	0	0	0	0	0
Cdk11b	45.142857	0	0	0	0	0	0	0	0	0	0	0	232	0	490	0	0	226	0	0	0	0	0
Abhd6	45.142857	0	0	0	0	0	0	0	0	0	0	0	324	0	172	0	0	452	0	0	0	0	0
Usp8	45.047619	0	0	0	0	0	0	0	0	0	0	0	239	0	495	0	97	115	0	0	0	0	0
Ddx47	45.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	431	0	0	0	0	107	0
Pigr	45.000000	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	670	0	0	0	0	0
Dram2	44.952381	0	0	0	0	0	0	0	0	0	0	0	0	132	131	0	105	576	0	0	0	0	0
Cept1	44.952381	0	0	0	0	0	0	0	0	0	0	0	0	132	131	0	105	576	0	0	0	0	0
Tlr2	44.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	143	0	0	0	268	248	0
Onecut2	44.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	123	559	0	0	0	0	0
Vrk1	44.809524	0	0	0	0	0	0	0	0	0	0	0	159	0	136	0	0	0	0	0	413	233	0
Dgat1	44.809524	0	0	0	0	0	0	0	0	0	0	0	289	0	173	0	200	152	0	0	127	0	0
Net1	44.761905	0	0	0	0	0	0	0	0	0	0	0	0	137	238	0	146	419	0	0	0	0	0
Fads2	44.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	253	223	0	0	0	0	0
B3galt4	44.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	91	182	0	0	212	216	0
Pilra	44.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	614	325	0
Nme1	44.714286	0	0	0	0	0	0	0	0	0	0	0	122	0	163	0	230	271	0	0	153	0	0
Ppp1r14b	44.666667	0	0	0	0	0	0	0	0	0	0	0	0	179	587	0	172	0	0	0	0	0	0
LOC114841036	44.666667	0	0	0	0	0	0	0	0	0	0	0	0	179	587	0	172	0	0	0	0	0	0
Grem2	44.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	760	0	0	0	0	0
Fkbp2	44.666667	0	0	0	0	0	0	0	0	0	0	0	0	179	587	0	172	0	0	0	0	0	0
Dnajb4	44.619048	0	0	0	0	0	0	0	0	0	0	0	298	139	213	0	155	132	0	0	0	0	0
Cdc42ep1	44.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	937	0	0	0	0	0
Mthfd1l	44.523810	0	0	0	0	0	0	0	0	0	0	0	460	0	297	0	178	0	0	0	0	0	0
Mrps16	44.523810	0	0	0	0	0	0	0	0	0	0	0	0	143	508	0	284	0	0	0	0	0	0
Dnajc9	44.523810	0	0	0	0	0	0	0	0	0	0	0	0	143	508	0	284	0	0	0	0	0	0
Tars	44.476190	0	0	0	0	0	0	0	0	0	0	0	273	0	273	0	102	286	0	0	0	0	0
Septin9	44.476190	0	0	0	0	0	0	0	0	0	0	0	377	0	140	0	0	417	0	0	0	0	0
Rbsn	44.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	650	0	284	0	0	0	0	0	0
Pnpla3	44.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	104	512	0	0	0	0	0
Pnp	44.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	191	400	0	0	0	0	0
Dcaf1	44.476190	0	0	0	0	0	0	0	0	0	0	0	144	0	510	0	164	116	0	0	0	0	0
Tirap	44.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	439	0	0	0	0	0	0
Ppard	44.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	588	0	0	344	0	0	0	0	0
Inhba	44.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	349	209	0	0	0	0	0
Aldh4a1	44.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815	0	0	116	0	0
Mrpl12	44.285714	0	0	0	0	0	0	0	0	0	0	0	130	153	469	0	0	178	0	0	0	0	0
Mnd1	44.285714	0	0	0	0	0	0	0	0	0	0	0	0	0	625	0	305	0	0	0	0	0	0
Mme	44.238095	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	113	500	0	0	0	0	0
Cotl1	44.238095	0	0	0	0	0	0	0	0	0	0	0	222	0	707	0	0	0	0	0	0	0	0
Slc2a9	44.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	414	362	0	0	0	0	0
Rrm2	44.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	221	261	0	0	0	0	0
Maz	44.190476	0	0	0	0	0	0	0	0	0	0	0	120	0	362	0	144	302	0	0	0	0	0
Glcci1	44.142857	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	138	324	0	0	110	174	0
Eif4e	44.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	636	157	0	0	0	0	0
Ebpl	44.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	650	0	0	277	0	0	0	0	0
Tnfaip1	44.095238	0	0	0	0	0	0	0	0	0	0	0	470	0	173	0	78	205	0	0	0	0	0
Styx	44.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521	405	0
Ift20	44.095238	0	0	0	0	0	0	0	0	0	0	0	470	0	173	0	78	205	0	0	0	0	0
Efcab2	44.095238	0	0	0	0	0	0	0	0	0	0	0	132	0	639	0	155	0	0	0	0	0	0
Cdkn2b	44.095238	0	0	0	0	0	0	0	0	0	0	0	0	0	628	0	298	0	0	0	0	0	0
Upb1	44.047619	0	0	0	0	0	0	0	0	0	0	0	0	169	201	0	0	555	0	0	0	0	0
Slco1c1	44.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	0	0	253	160	0
Mia2	44.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	164	390	0	0	130	0	0
Gpld1	44.047619	0	0	0	0	0	0	0	0	0	0	0	0	251	218	0	0	456	0	0	0	0	0
Cox7a2	44.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	164	374	0	0	0	0	0
Ablim3	44.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	98	632	0	0	0	0	0
Utp18	44.000000	0	0	0	0	0	0	0	0	0	0	0	115	0	532	0	0	102	0	0	175	0	0
Rnf225	44.000000	0	0	0	0	0	0	0	0	0	0	0	366	0	339	0	219	0	0	0	0	0	0
Pcx	44.000000	0	0	0	0	0	0	0	0	0	0	0	125	0	532	0	0	148	0	0	119	0	0
Mycbp2	44.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	106	172	0	0	282	256	0
Mbtd1	44.000000	0	0	0	0	0	0	0	0	0	0	0	115	0	532	0	0	102	0	0	175	0	0
Haspin	44.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	166	624	0	0	0	0	0
Dusp1	44.000000	0	0	0	0	0	0	0	0	0	0	0	127	0	211	0	185	401	0	0	0	0	0
Ankrd31	43.904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	0	0	0	0	0
Faf2	43.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	590	0	331	0	0	0	0	0	0
Cyp3a13	43.857143	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	776	0	0	0	0	0
Anks4b	43.857143	0	0	0	0	0	0	0	0	0	0	0	0	156	88	0	0	677	0	0	0	0	0
Trio	43.809524	0	0	0	0	0	0	0	0	0	0	0	0	0	783	0	137	0	0	0	0	0	0
Foxa2	43.809524	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	119	625	0	0	0	0	0
Prkab1	43.761905	0	0	0	0	0	0	0	0	0	0	0	227	0	273	0	0	419	0	0	0	0	0
Gm3776	43.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	136	244	0	0	391	0	0
Gm13290	43.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	603	0	316	0	0	0	0	0	0
Gm13289	43.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	603	0	316	0	0	0	0	0	0
Gm13285	43.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	603	0	316	0	0	0	0	0	0
Eef1g	43.761905	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	96	316	0	0	252	79	0
Slc13a1	43.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	466	275	0
Fam3c	43.714286	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	192	353	0	0	0	0	0
Rbp1	43.666667	0	0	0	0	0	0	0	0	0	0	0	0	306	291	0	0	320	0	0	0	0	0
Frmd4b	43.619048	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	114	0	0	0	345	248	0
Cnot2	43.619048	0	0	0	0	0	0	0	0	0	0	0	916	0	0	0	0	0	0	0	0	0	0
Aftph	43.619048	0	0	0	0	0	0	0	0	0	0	0	207	0	167	0	113	0	0	0	267	162	0
Masp2	43.571429	0	0	0	0	0	0	0	0	0	0	0	0	122	228	0	0	565	0	0	0	0	0
Fbxo7	43.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	554	0	361	0	0	0	0	0	0
Cldn3	43.571429	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	771	0	0	0	0	0
Hspa14	43.523810	0	0	0	0	0	0	0	0	0	0	0	261	0	547	0	106	0	0	0	0	0	0
Cdnf	43.523810	0	0	0	0	0	0	0	0	0	0	0	261	0	547	0	106	0	0	0	0	0	0
Ss18l2	43.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	126	175	0	0	144	121	0
Fbxo31	43.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	913	0	0	0	0	0
Mafa	43.428571	0	0	0	0	0	0	0	0	0	0	0	0	0	556	0	356	0	0	0	0	0	0
Zmiz1	43.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	190	570	0	0	0	0	0
Ahcy	43.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	144	640	0	0	0	0	0
Snw1	43.285714	0	0	0	178	0	0	0	0	0	0	0	0	242	0	0	0	177	0	0	205	107	0
Clcn4	43.238095	0	0	0	0	0	0	0	0	0	0	0	0	0	628	0	280	0	0	0	0	0	0
Tnrc6c	43.190476	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	130	622	0	0	0	0	0
Stard3	43.190476	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	743	0	0	0	0	0
Rusc1	43.190476	0	0	0	0	0	0	0	0	0	0	0	0	198	529	0	180	0	0	0	0	0	0
Rara	43.190476	0	0	0	0	0	0	0	0	0	0	0	143	0	195	0	0	569	0	0	0	0	0
Zfp398	43.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	465	0	0	0	0	0	0
Prnp	43.142857	0	0	0	150	0	0	0	0	0	0	82	0	0	274	0	0	400	0	0	0	0	0
Prn	43.142857	0	0	0	150	0	0	0	0	0	0	82	0	0	274	0	0	400	0	0	0	0	0
Llph	43.142857	0	0	0	0	0	0	0	0	0	0	0	121	0	146	0	0	0	0	0	395	244	0
Itsn1	43.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	780	0	0	0	0	0
Cryzl1	43.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	780	0	0	0	0	0
Ccdc28a	43.142857	0	0	0	0	0	0	0	0	0	0	0	190	0	716	0	0	0	0	0	0	0	0
Fbxw11	43.047619	0	0	0	0	0	0	0	0	0	0	0	0	125	147	0	138	494	0	0	0	0	0
Cfap100	43.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0	183	0	0	191	0	0
Telo2	43.000000	0	0	0	0	0	0	0	0	0	0	0	0	219	451	0	233	0	0	0	0	0	0
Slc35d1	43.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	746	0	0	0	0	0
Ptx4	43.000000	0	0	0	0	0	0	0	0	0	0	0	0	219	451	0	233	0	0	0	0	0	0
