Target_genes	Ar|Average	SRX286404|Epididymis	SRX286405|Epididymis	SRX286406|Epididymis	SRX358239|Epididymis	SRX358240|Epididymis	SRX358241|Epididymis	SRX358242|Epididymis	SRX4867863|Epididymis	SRX4867864|Epididymis	SRX4867865|Epididymis	SRX4867866|Epididymis	SRX286394|Kidney	SRX286395|Kidney	SRX286396|Kidney	SRX283734|Prostate	SRX283739|Prostate	SRX283744|Prostate	SRX283749|Prostate	SRX286380|Prostate	SRX286381|Prostate	SRX286382|Prostate	SRX286383|Prostate	SRX286384|Prostate	SRX286385|Prostate	SRX385391|Prostate	SRX385392|Prostate	SRX6745004|Prostate	SRX6745006|Prostate	SRX6745008|Prostate	SRX9681476|Prostate	SRX9681477|Prostate	SRX9681478|Prostate	SRX9681479|Prostate	SRX5576958|Prostate_organoids	SRX5576959|Prostate_organoids	SRX5576963|Prostate_organoids	SRX5576964|Prostate_organoids	SRX5576968|Prostate_organoids	SRX5576969|Prostate_organoids	SRX5576973|Prostate_organoids	SRX5576974|Prostate_organoids	SRX7713835|Prostate_organoids	SRX7713836|Prostate_organoids	SRX7713837|Prostate_organoids	SRX7713838|Prostate_organoids	SRX9067281|Prostate_organoids	SRX9067282|Prostate_organoids	SRX9067283|Prostate_organoids	SRX9067284|Prostate_organoids	SRX9067285|Prostate_organoids	SRX9067286|Prostate_organoids	SRX9067287|Prostate_organoids	SRX9067288|Prostate_organoids	SRX9067289|Prostate_organoids	SRX9101606|Prostate_stem_cell_line	SRX6745010|Prostate_tumor	SRX6745012|Prostate_tumor	SRX6745014|Prostate_tumor	SRX739215|Prostate_tumor	SRX739216|Prostate_tumor	SRX9863165|Prostatic_intraepithelial_neoplasia	SRX739214|Prostatic_Neoplasms	SRX739217|Prostatic_Neoplasms	SRX9820280|Skeletal_muscle	SRX4373906|Sperm	SRX4373907|Sperm	SRX20593358|Thymocytes	SRX20593359|Thymocytes	STRING
Nemf	120.750000	0	219	0	160	0	0	0	0	0	0	0	191	163	224	522	624	686	640	526	357	372	439	595	670	228	151	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	84	0	0	0	0	0	330	450	150	0	201	0	0	0	0	0
Mlxip	120.264706	0	551	434	304	277	206	0	561	516	398	1287	0	125	0	886	212	0	0	0	0	571	576	300	332	0	0	0	0	0	131	0	127	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tigd5	119.705882	0	1318	1148	127	457	324	0	641	384	489	1251	0	517	584	337	0	0	0	0	0	109	111	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eef1d	119.705882	0	1318	1148	127	457	324	0	641	384	489	1251	0	517	584	337	0	0	0	0	0	109	111	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem144	119.676471	0	646	481	333	311	0	0	345	286	270	611	0	85	151	385	149	0	0	0	0	123	0	0	0	323	337	0	0	0	584	568	792	1233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpine1	119.367647	0	677	581	106	245	150	0	334	193	386	868	0	642	682	311	91	0	0	0	0	93	116	88	0	236	0	0	0	0	0	0	88	220	0	0	0	0	0	0	0	0	410	258	344	401	0	0	0	159	0	70	0	151	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc28a1	119.264706	0	1091	848	88	143	147	0	137	0	334	695	0	1031	1362	622	0	0	0	0	0	486	440	195	263	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp5	118.661765	0	1308	1235	187	343	0	0	575	420	432	1112	0	713	599	343	0	0	0	0	0	177	150	0	0	0	0	0	0	0	0	0	165	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fubp3	118.088235	0	1146	938	0	170	0	0	677	450	851	1682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	374	606	485	0	0	0	0	0	94	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suco	117.838235	0	462	245	0	0	0	0	565	412	851	1347	0	0	114	596	209	0	95	0	0	139	182	0	0	129	0	0	163	0	264	304	370	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	154	371	188	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0
Klk1b26	117.720588	0	1471	1403	371	519	647	397	675	301	582	1301	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egfbp2	117.720588	0	1471	1403	371	519	647	397	675	301	582	1301	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srxn1	117.485294	0	1206	918	0	519	168	0	980	665	614	1173	0	248	249	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	109	142	100	0	0	0	0	0	0	0	134	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem135	117.279412	0	802	364	201	268	0	0	234	0	174	645	0	537	449	413	191	0	0	0	0	443	472	275	247	216	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	563	0	0	1018	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fzd4	117.279412	0	802	364	201	268	0	0	234	0	174	645	0	537	449	413	191	0	0	0	0	443	472	275	247	216	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	563	0	0	1018	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfcp2l1	116.838235	0	191	144	0	143	0	0	0	0	153	239	0	0	0	415	137	0	111	0	0	123	0	0	0	720	663	0	0	0	375	437	371	636	0	0	0	0	0	0	0	0	512	335	761	748	0	0	0	293	0	0	0	192	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spink5	116.588235	0	893	749	472	479	104	0	600	622	730	1198	0	0	0	115	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	289	585	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clcn3	116.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	201	480	210	0	0	0	0	129	142	0	0	140	158	0	0	0	216	0	458	403	0	0	0	0	0	0	0	0	957	683	1182	1426	0	0	0	114	0	0	255	421	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mgat5	116.455882	0	0	0	0	0	0	0	0	0	0	0	0	0	84	1368	785	161	252	0	0	339	393	0	0	0	0	0	232	0	742	758	1143	1369	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0
Fem1a	116.235294	0	956	898	277	445	0	0	434	310	340	776	0	658	777	637	0	0	0	0	0	154	139	153	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kifc2	115.970588	0	414	444	224	203	0	0	465	397	352	1073	0	204	194	497	145	0	0	0	0	296	315	0	0	175	156	0	0	0	0	194	0	170	0	0	0	0	0	0	0	0	0	0	249	154	0	0	0	138	0	247	255	660	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyhr1	115.970588	0	414	444	224	203	0	0	465	397	352	1073	0	204	194	497	145	0	0	0	0	296	315	0	0	175	156	0	0	0	0	194	0	170	0	0	0	0	0	0	0	0	0	0	249	154	0	0	0	138	0	247	255	660	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl3l	115.558824	0	1168	984	0	179	0	0	827	609	710	1176	0	1013	970	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msrb1	115.558824	0	1168	984	0	179	0	0	827	609	710	1176	0	1013	970	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF067061	115.279412	0	1235	908	0	323	528	378	489	444	1411	2123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acnat2	114.970588	0	568	309	0	0	0	0	433	498	963	1966	0	588	574	434	257	0	0	0	0	0	0	0	0	0	0	0	132	0	136	0	317	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	103	0	0	0
Acbd3	114.911765	0	585	532	834	967	897	418	508	571	861	1641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp771	114.750000	0	856	903	0	0	0	0	693	764	1031	1777	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857	601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gse1	114.514706	0	457	540	0	112	0	0	435	184	290	759	0	898	1184	151	0	0	0	0	0	137	123	0	0	121	223	0	0	0	183	288	283	359	0	0	0	0	0	0	0	0	288	197	205	173	0	0	0	81	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr543	114.367647	0	624	347	159	281	166	0	415	234	437	639	0	0	0	337	0	0	0	0	0	0	0	133	155	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	969	588	1010	804	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc28a2b	114.279412	0	1107	1068	353	435	205	0	626	425	1107	2048	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc39a	113.926471	0	1252	1092	178	150	0	0	217	0	375	774	0	0	0	609	117	0	0	0	0	0	0	0	0	0	0	0	0	0	630	522	659	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unc5a	113.205882	0	877	668	695	933	1396	795	472	425	535	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpxn	112.867647	0	187	241	0	128	0	0	165	0	0	321	0	255	235	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1325	630	1349	1251	0	0	0	201	0	502	0	269	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc38a4	112.485294	0	1472	1487	0	293	156	0	601	466	966	1555	0	255	173	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fpgs	112.485294	0	465	208	0	0	0	0	408	241	265	646	0	0	0	986	399	0	0	0	0	279	238	137	149	454	763	0	0	0	614	308	474	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ml1	112.264706	0	537	385	139	295	94	0	413	323	376	1144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	1012	588	1000	1035	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chid1	112.250000	0	252	174	0	0	0	0	0	0	0	0	0	0	0	964	612	0	149	0	0	240	201	0	0	397	387	250	194	0	977	590	949	1211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam227b	112.044118	0	261	0	100	0	0	268	0	0	0	0	0	166	180	592	546	717	715	537	388	401	412	587	646	104	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	152	0	0	0	103	96	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0
Dtwd1	112.044118	0	261	0	100	0	0	268	0	0	0	0	0	166	180	592	546	717	715	537	388	401	412	587	646	104	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	152	0	0	0	103	96	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0
Psme4	111.808824	0	295	189	102	241	0	0	258	0	183	410	0	0	108	194	111	0	0	0	0	0	0	0	0	168	583	0	0	0	144	184	505	690	0	0	0	0	0	0	0	0	832	435	910	960	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a39	111.602941	0	1252	889	139	0	0	0	375	225	545	1123	0	382	487	976	0	0	0	0	0	181	266	144	185	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sys1	111.573529	0	254	353	0	158	191	0	220	0	0	439	0	377	330	135	111	0	0	0	0	374	302	204	331	203	539	0	0	0	153	194	162	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	103	436	513	794	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Man1a2	111.455882	0	537	285	0	0	204	0	227	176	166	524	0	0	0	847	389	120	0	0	0	223	207	193	173	270	698	245	0	0	190	0	334	368	0	0	0	0	0	0	0	0	0	0	140	158	0	0	0	0	0	195	0	375	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccno	111.441176	0	1277	1292	0	268	0	0	1001	678	1029	1503	0	95	116	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ywhaz	111.426471	0	857	713	248	290	195	0	340	336	352	893	0	1338	1519	180	0	0	0	0	0	0	0	0	0	189	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coro2a	111.250000	0	630	599	239	334	247	0	551	441	583	1365	0	0	0	1001	167	0	0	0	0	199	205	140	149	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	213	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tiam2	111.191176	0	883	583	147	419	162	0	222	219	402	710	0	0	0	342	0	0	0	0	0	139	209	169	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	639	821	0	0	0	149	0	0	266	355	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retreg1	111.132353	0	341	251	0	0	211	127	0	0	280	383	0	1322	1386	522	198	0	0	0	0	272	258	184	150	180	0	0	0	0	284	348	359	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprs	111.029412	0	1664	1486	334	376	0	0	594	450	771	1701	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkdrej	110.926471	0	1400	1405	560	553	244	0	1014	521	480	1221	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccl28	110.647059	0	346	288	0	0	0	0	161	0	367	898	0	940	1051	344	212	0	0	0	0	61	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681	242	297	295	0	0	0	0	107	235	160	290	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pprc1	110.544118	0	1413	1109	157	383	0	0	607	498	954	1842	0	0	0	554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpped1	110.441176	192	852	527	431	374	752	316	0	0	713	1796	0	758	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp740	110.205882	0	621	502	168	119	0	0	209	214	175	383	0	486	772	493	211	0	0	0	0	193	259	125	157	0	170	0	0	0	418	199	447	647	0	0	0	0	0	0	0	0	0	0	212	195	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alad	109.985294	0	1166	1360	656	942	0	0	427	565	690	1283	0	207	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam133b	109.867647	0	553	417	240	249	186	0	398	343	381	912	0	1619	1675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	209	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab20	109.411765	0	531	232	186	198	0	0	212	221	345	886	0	0	0	892	518	0	112	0	0	167	188	0	138	425	415	192	165	0	286	236	317	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stac2	109.264706	0	898	540	654	738	540	286	524	484	800	1693	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reep3	109.264706	0	488	273	0	0	0	0	0	0	124	190	0	0	0	1349	109	0	0	0	0	454	449	382	287	0	0	301	150	0	672	253	532	765	0	0	0	0	0	0	0	0	313	103	0	116	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esr1	109.147059	395	345	249	259	259	278	256	0	0	0	340	506	265	298	294	0	451	490	167	185	268	253	221	342	331	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	166	0	0	0	0	223	0	0
Gatd1	109.117647	0	1278	1219	250	393	0	0	212	172	318	898	0	404	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	149	608	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msra	109.102941	0	429	221	0	0	0	0	188	157	273	618	0	704	756	390	213	0	0	0	0	0	186	0	0	191	284	0	0	0	327	246	409	659	0	0	0	0	0	0	0	0	193	111	397	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam7	109.044118	0	1160	1044	309	640	248	179	750	567	754	1370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r117	109.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823	1073	2088	2155	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd2	108.926471	0	1123	957	392	403	225	0	477	279	487	1101	0	275	478	533	0	0	0	0	0	156	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Piwil4	108.882353	0	561	599	262	374	177	122	245	366	374	807	0	0	0	702	174	0	0	0	0	0	0	0	0	259	367	0	0	0	152	0	372	324	0	0	0	0	0	0	0	0	263	0	522	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfyve19	108.191176	0	672	594	0	165	0	0	196	127	213	561	0	0	0	555	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	321	1550	1298	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc17	108.191176	0	672	594	0	165	0	0	196	127	213	561	0	0	0	555	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	321	1550	1298	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr266	107.867647	93	972	960	0	254	0	0	449	326	995	1717	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	452	646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tha1	107.823529	0	1393	1248	269	424	400	132	1045	639	607	1175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a32	107.794118	0	153	124	0	127	0	0	198	0	195	272	0	279	362	498	0	0	0	0	0	389	451	0	0	311	263	0	0	0	515	286	484	814	0	0	0	0	0	0	0	0	0	0	758	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf13	107.794118	0	153	124	0	127	0	0	198	0	195	272	0	279	362	498	0	0	0	0	0	389	451	0	0	311	263	0	0	0	515	286	484	814	0	0	0	0	0	0	0	0	0	0	758	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C77080	107.735294	0	1032	956	328	418	361	0	207	197	485	1227	0	284	275	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	375	214	278	276	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sgk1	107.632353	0	337	247	0	132	179	0	370	242	403	1225	0	340	403	469	153	0	0	0	0	172	174	0	0	111	0	0	0	0	0	136	143	183	0	0	0	0	0	0	0	0	337	115	114	203	0	0	0	104	174	298	0	234	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinf2	107.602941	0	713	694	659	631	367	108	554	481	403	665	0	879	1163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4galt6	107.602941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650	425	202	99	0	0	374	269	92	0	959	887	0	0	0	645	790	826	1099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samhd1	107.529412	0	653	703	292	350	240	0	338	303	328	856	0	0	0	396	212	0	0	0	0	297	298	200	209	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	221	0	258	281	0	0	0	0	0	158	158	156	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif1a	107.411765	0	837	938	678	696	1197	691	258	322	422	1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps28	107.338235	0	0	123	0	0	0	0	0	235	231	530	0	170	190	481	122	0	0	0	0	0	0	0	0	0	196	0	0	0	71	147	144	224	0	170	0	0	0	0	0	0	736	388	838	967	0	0	0	0	159	247	137	300	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa7	107.338235	0	0	123	0	0	0	0	0	235	231	530	0	170	190	481	122	0	0	0	0	0	0	0	0	0	196	0	0	0	71	147	144	224	0	170	0	0	0	0	0	0	736	388	838	967	0	0	0	0	159	247	137	300	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A130010J15Rik	107.279412	0	0	0	0	0	0	0	0	0	0	173	0	0	0	1237	697	115	131	0	0	273	227	0	0	0	0	0	123	0	396	325	597	1021	0	0	0	0	0	0	0	0	0	0	900	905	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim47	107.191176	0	981	777	649	719	236	205	852	493	660	1240	0	259	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csf2ra	106.735294	186	246	400	226	233	241	225	0	0	0	0	434	432	520	0	207	312	148	219	187	172	166	190	228	197	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	515	240	314	341	267	157	0	0	0	0	0
1700017B05Rik	106.676471	0	881	520	383	492	0	0	231	217	660	1087	0	733	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	213	283	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pmm1	106.426471	0	909	684	343	432	259	0	147	0	0	511	0	233	385	351	87	0	0	0	0	303	378	281	350	301	238	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	78	0	181	232	0	0	0	0	0	124	0	150	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0
