Target_genes	E2f3|Average	SRX871671|Intestinal_crypt	SRX871675|Intestinal_crypt	SRX871673|Intestinal_villus	SRX871677|Intestinal_villus	SRX106013|MEF	SRX106014|MEF	SRX1120753|MEF	SRX1120754|MEF	SRX1120756|MEF	STRING
Ckap5	55.888889	167	0	162	0	174	0	0	0	0	0
Btbd9	55.888889	0	0	0	0	503	0	0	0	0	0
Tram2	55.777778	0	0	0	0	502	0	0	0	0	0
Tm9sf1	55.777778	126	99	0	0	202	0	0	75	0	0
Rab6a	55.777778	0	0	138	0	364	0	0	0	0	0
Fam83b	55.777778	207	202	93	0	0	0	0	0	0	0
Rapgef6	55.666667	183	193	0	0	125	0	0	0	0	0
0610009B22Rik	55.666667	107	0	0	0	394	0	0	0	0	0
Dtnbp1	55.555556	79	0	0	0	421	0	0	0	0	0
Ubqln1	55.444444	0	0	0	0	385	114	0	0	0	0
Slk	55.444444	0	0	0	0	499	0	0	0	0	0
Ints7	55.444444	100	0	0	0	399	0	0	0	0	0
Hnrnpdl	55.444444	102	128	0	0	269	0	0	0	0	0
Fgf12	55.444444	167	169	103	60	0	0	0	0	0	0
Enoph1	55.444444	102	128	0	0	269	0	0	0	0	0
Dtl	55.444444	100	0	0	0	399	0	0	0	0	0
Bola1	55.444444	0	109	0	0	390	0	0	0	0	0
Usp49	55.333333	98	0	93	0	307	0	0	0	0	0
Sesn3	55.333333	0	0	0	0	498	0	0	0	0	0
Smoc2	55.222222	200	225	72	0	0	0	0	0	0	0
Lmo4	55.222222	144	143	0	0	210	0	0	0	0	0
Cmip	55.222222	0	0	0	0	392	105	0	0	0	0
Myo1b	55.111111	0	0	0	0	496	0	0	0	0	0
Dock1	55.111111	0	0	0	0	496	0	0	0	0	0
Wdr5	55.000000	0	0	0	0	495	0	0	0	0	0
Ubtd2	55.000000	0	0	0	0	387	108	0	0	0	0
Ube2n	55.000000	136	128	0	0	231	0	0	0	0	0
Septin5	55.000000	177	109	0	0	209	0	0	0	0	0
Mtbp	55.000000	203	179	113	0	0	0	0	0	0	0
Mrpl13	55.000000	203	179	113	0	0	0	0	0	0	0
Gpbp1	55.000000	135	191	0	0	169	0	0	0	0	0
Tmcc2	54.888889	0	0	0	0	494	0	0	0	0	0
Ccdc102a	54.888889	188	191	115	0	0	0	0	0	0	0
Pik3ca	54.777778	177	190	126	0	0	0	0	0	0	0
Marcksl1	54.777778	0	0	0	0	350	143	0	0	0	0
1810037I17Rik	54.777778	146	81	162	0	104	0	0	0	0	0
Zfp111	54.666667	245	247	0	0	0	0	0	0	0	0
Ttc9c	54.666667	67	0	0	0	425	0	0	0	0	0
Sphk2	54.666667	88	202	0	0	202	0	0	0	0	0
Rpl18	54.666667	88	202	0	0	202	0	0	0	0	0
Hnrnpul2	54.666667	67	0	0	0	425	0	0	0	0	0
Enkd1	54.666667	146	55	0	0	107	0	0	184	0	0
4933405L10Rik	54.666667	146	55	0	0	107	0	0	184	0	0
Zfp821	54.555556	88	0	0	0	403	0	0	0	0	0
Depdc1b	54.555556	97	0	0	0	394	0	0	0	0	0
Dedd	54.555556	188	303	0	0	0	0	0	0	0	0
Arhgef11	54.555556	177	0	0	0	314	0	0	0	0	0
Pcnt	54.444444	116	90	0	0	284	0	0	0	0	0
Arf4	54.444444	95	157	0	0	238	0	0	0	0	0
Wwp1	54.333333	133	109	0	0	247	0	0	0	0	0
Rusc2	54.333333	0	0	0	0	489	0	0	0	0	0
Cbfa2t2	54.333333	0	69	0	0	420	0	0	0	0	0
Atp2c1	54.333333	88	90	0	0	311	0	0	0	0	0
Zfyve27	54.222222	0	0	0	0	488	0	0	0	0	0
Itpka	54.222222	210	169	0	0	109	0	0	0	0	0
Ccno	54.222222	0	0	0	0	380	0	0	108	0	0
Ptp4a2	54.111111	0	0	0	0	344	143	0	0	0	0
Mtfr1	54.111111	215	116	0	0	156	0	0	0	0	0
Hlcs	54.111111	106	0	0	0	274	107	0	0	0	0
Gclm	54.111111	88	0	0	0	399	0	0	0	0	0
Ahi1	54.111111	0	0	0	0	487	0	0	0	0	0
Adgra3	54.111111	0	0	0	0	366	121	0	0	0	0
Rasgrp3	54.000000	140	180	79	87	0	0	0	0	0	0
Ttc14	53.888889	0	0	0	0	485	0	0	0	0	0
Irf1	53.888889	0	0	0	0	485	0	0	0	0	0
Hdgf	53.888889	0	0	103	0	247	0	0	135	0	0
Ccny	53.888889	170	136	0	0	179	0	0	0	0	0
Arhgap27	53.888889	0	0	0	0	485	0	0	0	0	0
Sik3	53.777778	0	0	0	0	484	0	0	0	0	0
Pigw	53.777778	0	0	0	0	484	0	0	0	0	0
Pdcd7	53.777778	329	0	0	0	155	0	0	0	0	0
Pafah1b2	53.777778	0	0	0	0	484	0	0	0	0	0
Myo19	53.777778	0	0	0	0	484	0	0	0	0	0
Dhx9	53.777778	0	0	0	0	322	0	0	162	0	0
Cenpw	53.777778	206	0	0	0	278	0	0	0	0	0
Usf3	53.666667	172	0	126	0	185	0	0	0	0	0
Pcdh20	53.666667	146	159	82	96	0	0	0	0	0	0
Mt1	53.666667	188	169	126	0	0	0	0	0	0	0
Dera	53.666667	179	178	0	126	0	0	0	0	0	0
Zfand6	53.555556	106	202	0	0	174	0	0	0	0	0
Rdm1	53.555556	257	99	126	0	0	0	0	0	0	0
Nup210	53.555556	88	0	0	0	394	0	0	0	0	0
Ahcy	53.555556	0	0	0	0	482	0	0	0	0	0
Mrm1	53.444444	116	169	0	0	196	0	0	0	0	0
Kdsr	53.444444	62	0	0	0	419	0	0	0	0	0
Hcfc2	53.333333	0	0	0	0	480	0	0	0	0	0
Epb41	53.333333	119	0	82	0	279	0	0	0	0	0
Wfs1	53.222222	97	180	0	0	202	0	0	0	0	0
Tmem238	53.222222	156	159	0	0	164	0	0	0	0	0
Qk	53.222222	0	0	0	0	479	0	0	0	0	0
Odc1	53.222222	0	0	0	0	402	77	0	0	0	0
Mtg2	53.222222	106	180	0	0	193	0	0	0	0	0
Morf4l1	53.222222	0	0	0	0	479	0	0	0	0	0
Hes2	53.222222	292	0	187	0	0	0	0	0	0	0
Aspscr1	53.222222	106	0	0	0	270	103	0	0	0	0
Zfp280b	53.111111	0	0	0	0	353	0	0	125	0	0
Zc3hav1	53.111111	140	0	0	0	338	0	0	0	0	0
Mettl15	53.111111	280	0	0	0	198	0	0	0	0	0
Kif18a	53.111111	280	0	0	0	198	0	0	0	0	0
Iqch	53.111111	0	0	0	0	478	0	0	0	0	0
Dlgap4	53.111111	0	0	0	0	478	0	0	0	0	0
Aagab	53.111111	0	0	0	0	478	0	0	0	0	0
5031439G07Rik	53.111111	0	0	0	0	478	0	0	0	0	0
Trappc1	53.000000	177	148	0	0	152	0	0	0	0	0
Scgb2b1	53.000000	136	191	150	0	0	0	0	0	0	0
Pcid2	53.000000	156	191	0	0	130	0	0	0	0	0
Kcnab3	53.000000	177	148	0	0	152	0	0	0	0	0
Dpagt1	53.000000	244	233	0	0	0	0	0	0	0	0
Dcbld1	53.000000	70	118	0	0	289	0	0	0	0	0
Cul4a	53.000000	156	191	0	0	130	0	0	0	0	0
Cobll1	53.000000	0	0	0	0	477	0	0	0	0	0
Cntrob	53.000000	177	148	0	0	152	0	0	0	0	0
Minpp1	52.888889	0	0	0	0	383	93	0	0	0	0
Vma21	52.777778	0	0	0	0	475	0	0	0	0	0
Uchl5	52.777778	100	0	0	0	375	0	0	0	0	0
Thap3	52.777778	199	138	138	0	0	0	0	0	0	0
Ro60	52.777778	100	0	0	0	375	0	0	0	0	0
Hsd17b13	52.777778	150	222	103	0	0	0	0	0	0	0
Erfe	52.777778	245	0	0	0	230	0	0	0	0	0
Acadl	52.777778	0	0	0	0	475	0	0	0	0	0
Immt	52.666667	0	0	0	0	474	0	0	0	0	0
Cog2	52.666667	199	159	0	116	0	0	0	0	0	0
Usp12	52.555556	0	0	0	0	473	0	0	0	0	0
Rybp	52.555556	97	148	0	0	228	0	0	0	0	0
Cln6	52.555556	0	0	0	0	473	0	0	0	0	0
Chd2	52.555556	159	0	0	0	314	0	0	0	0	0
Angptl6	52.444444	0	0	0	0	472	0	0	0	0	0
Zfp52	52.333333	88	169	0	0	214	0	0	0	0	0
Ube2t	52.333333	217	0	93	0	161	0	0	0	0	0
Srp68	52.333333	220	148	103	0	0	0	0	0	0	0
Lsm1	52.333333	0	0	0	0	471	0	0	0	0	0
Cep78	52.333333	0	0	0	0	471	0	0	0	0	0
Bag4	52.333333	0	0	0	0	471	0	0	0	0	0
Smim19	52.222222	0	0	0	0	470	0	0	0	0	0
Smim13	52.222222	126	169	0	0	175	0	0	0	0	0
Slc20a2	52.222222	0	0	0	0	470	0	0	0	0	0
Paxx	52.222222	199	271	0	0	0	0	0	0	0	0
Clic3	52.222222	199	271	0	0	0	0	0	0	0	0
Ascc3	52.222222	0	0	0	0	332	138	0	0	0	0
Yipf1	52.111111	136	159	174	0	0	0	0	0	0	0
Ube2k	52.111111	0	0	0	0	469	0	0	0	0	0
Spata31d1d	52.111111	245	224	0	0	0	0	0	0	0	0
Kremen1	52.111111	0	0	0	0	469	0	0	0	0	0
St7	52.000000	116	224	0	0	128	0	0	0	0	0
Map3k4	52.000000	0	0	0	0	373	0	0	95	0	0
Lnpk	52.000000	0	0	0	0	468	0	0	0	0	0
Kctd2	52.000000	88	118	0	0	262	0	0	0	0	0
Dcp2	52.000000	183	205	0	0	80	0	0	0	0	0
Atp5h	52.000000	88	118	0	0	262	0	0	0	0	0
Zc3h4	51.888889	173	180	0	0	114	0	0	0	0	0
Saraf	51.888889	173	154	0	0	140	0	0	0	0	0
Mast2	51.888889	0	0	0	0	467	0	0	0	0	0
Grin2d	51.888889	0	0	0	0	467	0	0	0	0	0
Eif4a3	51.888889	0	0	0	0	467	0	0	0	0	0
Arid3a	51.888889	156	118	0	0	193	0	0	0	0	0
1700067K01Rik	51.888889	106	64	150	0	147	0	0	0	0	0
Unc5b	51.777778	0	0	0	0	466	0	0	0	0	0
Tmem120b	51.777778	0	0	0	0	466	0	0	0	0	0
Sprr2d	51.777778	182	169	115	0	0	0	0	0	0	0
Slc44a2	51.777778	0	128	0	0	338	0	0	0	0	0
Sfswap	51.777778	245	128	93	0	0	0	0	0	0	0
Parp12	51.777778	0	0	0	0	386	80	0	0	0	0
Nphp1	51.777778	188	0	0	0	278	0	0	0	0	0
Mtln	51.777778	188	0	0	0	278	0	0	0	0	0
Raph1	51.666667	0	0	0	0	465	0	0	0	0	0
Pcbd2	51.666667	0	0	0	0	378	87	0	0	0	0
Arfgef1	51.666667	0	0	0	0	465	0	0	0	0	0
Nemf	51.555556	0	0	0	0	129	0	0	335	0	0
Cnnm4	51.555556	106	0	0	0	358	0	0	0	0	0
Fzd8	51.444444	0	0	0	0	349	114	0	0	0	0
Daglb	51.444444	116	169	0	0	178	0	0	0	0	0
Cdk14	51.444444	0	0	0	0	380	83	0	0	0	0
Ccn2	51.444444	0	0	0	0	283	180	0	0	0	0
Asap2	51.444444	0	0	0	0	463	0	0	0	0	0
Rpusd1	51.333333	146	138	0	0	178	0	0	0	0	0
Rprd1a	51.333333	166	138	0	0	158	0	0	0	0	0
Rp9	51.333333	233	0	82	0	147	0	0	0	0	0
Pdpr	51.333333	0	0	0	0	462	0	0	0	0	0
Nipa2	51.333333	0	0	0	0	254	208	0	0	0	0
Map1a	51.333333	0	0	0	0	283	0	0	179	0	0
Lsamp	51.333333	167	213	82	0	0	0	0	0	0	0
Chtf18	51.333333	146	138	0	0	178	0	0	0	0	0
Ppp4r2	51.222222	0	0	0	0	461	0	0	0	0	0
Pdxp	51.222222	0	0	0	0	461	0	0	0	0	0
Naa50	51.222222	0	0	0	0	461	0	0	0	0	0
Mxra7	51.222222	0	0	0	0	398	63	0	0	0	0
Atp6v1a	51.222222	0	0	0	0	461	0	0	0	0	0
Zhx3	51.111111	0	107	0	0	353	0	0	0	0	0
Wasf2	51.111111	115	0	0	0	345	0	0	0	0	0
Phrf1	51.111111	177	148	0	0	135	0	0	0	0	0
Nr2f2	51.111111	0	0	0	0	460	0	0	0	0	0
Msra	51.111111	247	109	0	0	104	0	0	0	0	0
Cbl	51.111111	136	0	0	0	324	0	0	0	0	0
Adprh	51.111111	0	0	0	0	460	0	0	0	0	0
Usp42	51.000000	0	0	0	0	459	0	0	0	0	0
Neurl4	51.000000	256	0	0	0	203	0	0	0	0	0
Ifna13	51.000000	268	191	0	0	0	0	0	0	0	0
Fam3c	51.000000	0	0	0	0	343	116	0	0	0	0
Aco1	51.000000	268	0	0	0	191	0	0	0	0	0
2810408A11Rik	51.000000	256	0	0	0	203	0	0	0	0	0
Terf1	50.888889	0	0	0	0	458	0	0	0	0	0
Supt6	50.888889	267	191	0	0	0	0	0	0	0	0
Sdf2	50.888889	267	191	0	0	0	0	0	0	0	0
Armh4	50.888889	256	202	0	0	0	0	0	0	0	0
Upf1	50.777778	106	118	0	0	233	0	0	0	0	0
Rad54l	50.777778	245	109	103	0	0	0	0	0	0	0
Gxylt1	50.777778	106	0	0	0	351	0	0	0	0	0
Xiap	50.666667	115	109	112	0	120	0	0	0	0	0
Snu13	50.666667	0	99	0	0	146	0	0	211	0	0
Selenoi	50.666667	106	204	0	0	146	0	0	0	0	0
Kdelr3	50.666667	0	0	0	0	456	0	0	0	0	0
Zfp451	50.555556	0	0	0	0	455	0	0	0	0	0
Vps29	50.555556	70	0	0	0	244	0	0	141	0	0
Rad9b	50.555556	70	0	0	0	244	0	0	141	0	0
Fcmr	50.555556	126	247	82	0	0	0	0	0	0	0
Fbxl14	50.555556	126	138	0	0	191	0	0	0	0	0
Celf6	50.555556	97	0	0	0	358	0	0	0	0	0
Ccnd1	50.555556	0	0	0	0	455	0	0	0	0	0
Hspa9	50.444444	168	0	0	0	286	0	0	0	0	0
Tsr3	50.333333	146	307	0	0	0	0	0	0	0	0
Gnptg	50.333333	146	307	0	0	0	0	0	0	0	0
Ercc5	50.333333	228	135	90	0	0	0	0	0	0	0
Zfp607b	50.222222	210	109	0	0	133	0	0	0	0	0
Pla2g2e	50.222222	116	138	82	116	0	0	0	0	0	0
Pithd1	50.222222	0	118	0	0	230	104	0	0	0	0
Npat	50.222222	198	110	0	0	144	0	0	0	0	0
Mbd1	50.222222	0	0	0	0	452	0	0	0	0	0
Gm13030	50.222222	116	138	82	116	0	0	0	0	0	0
Gdf1	50.222222	136	148	0	0	168	0	0	0	0	0
Cldn3	50.222222	304	148	0	0	0	0	0	0	0	0
Atm	50.222222	198	110	0	0	144	0	0	0	0	0
Ywhaq	50.111111	156	0	0	0	161	0	0	134	0	0
Neo1	50.111111	101	111	0	0	239	0	0	0	0	0
Itga9	50.111111	136	169	0	0	146	0	0	0	0	0
Zfp53	50.000000	205	0	0	0	245	0	0	0	0	0
Stub1	50.000000	0	0	0	0	450	0	0	0	0	0
Rhbdl1	50.000000	0	0	0	0	450	0	0	0	0	0
Phlpp1	50.000000	141	99	0	0	210	0	0	0	0	0
Mtss1	50.000000	88	0	0	0	362	0	0	0	0	0
Jmjd8	50.000000	0	0	0	0	450	0	0	0	0	0
Cse1l	50.000000	156	0	0	0	294	0	0	0	0	0
Rflnb	49.888889	0	0	0	0	449	0	0	0	0	0
Pex11b	49.888889	188	159	0	0	102	0	0	0	0	0
Brd7	49.888889	79	109	0	0	261	0	0	0	0	0
Armc5	49.888889	167	0	138	0	144	0	0	0	0	0
9130023H24Rik	49.888889	167	0	138	0	144	0	0	0	0	0
Slc25a16	49.777778	0	0	115	0	333	0	0	0	0	0
Numa1	49.777778	0	0	0	0	448	0	0	0	0	0
Mtres1	49.777778	0	0	0	0	448	0	0	0	0	0
Erich4	49.777778	268	180	0	0	0	0	0	0	0	0
Dcaf15	49.777778	199	118	0	0	131	0	0	0	0	0
B3galnt1	49.777778	0	0	0	0	448	0	0	0	0	0
Ulk2	49.666667	0	0	0	0	354	93	0	0	0	0
Supt16	49.666667	0	124	0	0	323	0	0	0	0	0
Pet117	49.666667	0	0	0	0	447	0	0	0	0	0
Midn	49.666667	0	0	0	0	447	0	0	0	0	0
Kat14	49.666667	0	0	0	0	447	0	0	0	0	0
Cry1	49.666667	106	128	0	0	213	0	0	0	0	0
Ptbp1	49.555556	126	0	0	0	320	0	0	0	0	0
Eif2s1	49.555556	97	163	0	0	186	0	0	0	0	0
Atp6v1d	49.555556	97	163	0	0	186	0	0	0	0	0
Zfp212	49.444444	116	93	0	0	236	0	0	0	0	0
Tmx1	49.444444	0	0	0	0	445	0	0	0	0	0
Tgif1	49.444444	224	118	103	0	0	0	0	0	0	0
Sdf4	49.444444	0	0	0	0	357	88	0	0	0	0
Rpain	49.444444	245	138	62	0	0	0	0	0	0	0
Rock2	49.444444	0	0	0	0	322	123	0	0	0	0
B3galt6	49.444444	0	0	0	0	357	88	0	0	0	0
Tram1	49.333333	156	0	62	0	226	0	0	0	0	0
Tirap	49.333333	0	99	0	0	345	0	0	0	0	0
Smad3	49.333333	0	0	150	0	294	0	0	0	0	0
Pcbp1	49.333333	0	0	0	0	444	0	0	0	0	0
Hif1a	49.333333	87	0	0	0	357	0	0	0	0	0
Usp40	49.222222	0	0	0	0	443	0	0	0	0	0
Ubr1	49.222222	204	146	93	0	0	0	0	0	0	0
Tmem62	49.222222	204	146	93	0	0	0	0	0	0	0
Ptk2	49.222222	0	0	0	0	443	0	0	0	0	0
Ccp110	49.222222	126	0	0	0	222	0	0	95	0	0
1700017B05Rik	49.222222	0	0	0	0	443	0	0	0	0	0
Zadh2	49.111111	100	52	0	0	290	0	0	0	0	0
Ybx2	49.111111	167	159	0	0	116	0	0	0	0	0
Tshz1	49.111111	100	52	0	0	290	0	0	0	0	0
Tob1	49.111111	0	0	0	0	272	170	0	0	0	0
Sgf29	49.111111	0	0	0	0	442	0	0	0	0	0
Nfib	49.111111	0	0	0	0	442	0	0	0	0	0
Ubtf	49.000000	146	180	115	0	0	0	0	0	0	0
Secisbp2	49.000000	0	0	0	0	441	0	0	0	0	0
Patl1	49.000000	0	0	0	0	441	0	0	0	0	0
Pak4	49.000000	156	0	82	0	203	0	0	0	0	0
Il2	49.000000	156	213	72	0	0	0	0	0	0	0
Hsf2	49.000000	0	0	0	0	441	0	0	0	0	0
Gm960	49.000000	0	0	0	0	441	0	0	0	0	0
Frg2f1	49.000000	0	169	0	0	272	0	0	0	0	0
Foxj3	49.000000	0	169	0	0	272	0	0	0	0	0
Epn2	49.000000	0	0	0	0	441	0	0	0	0	0
Styx	48.888889	0	0	0	0	440	0	0	0	0	0
Rarg	48.888889	167	180	93	0	0	0	0	0	0	0
Osbpl1a	48.888889	0	0	0	0	440	0	0	0	0	0
Hes1	48.888889	132	188	0	0	120	0	0	0	0	0
Gsr	48.888889	0	139	0	0	301	0	0	0	0	0
Dnajc30	48.888889	199	148	93	0	0	0	0	0	0	0
Bud23	48.888889	199	148	93	0	0	0	0	0	0	0
Anks1b	48.888889	188	159	93	0	0	0	0	0	0	0
Znhit1	48.777778	0	0	0	0	246	193	0	0	0	0
Slc30a9	48.777778	123	186	0	0	130	0	0	0	0	0
Plod3	48.777778	0	0	0	0	246	193	0	0	0	0
Mphosph9	48.777778	106	0	103	0	230	0	0	0	0	0
Echdc1	48.777778	0	0	0	0	439	0	0	0	0	0
2810006K23Rik	48.777778	106	0	103	0	230	0	0	0	0	0
Slc12a6	48.666667	0	0	0	0	438	0	0	0	0	0
Plekhg5	48.666667	0	0	0	0	438	0	0	0	0	0
Nsg1	48.666667	0	0	0	0	438	0	0	0	0	0
Nop10	48.666667	0	0	0	0	438	0	0	0	0	0
Ncbp2	48.666667	0	0	0	0	258	180	0	0	0	0
Lcmt2	48.666667	0	0	0	0	438	0	0	0	0	0
Cyp4f13	48.666667	167	271	0	0	0	0	0	0	0	0
Adal	48.666667	0	0	0	0	438	0	0	0	0	0
0610012G03Rik	48.666667	0	0	0	0	258	180	0	0	0	0
Slc4a4	48.555556	0	0	0	0	307	130	0	0	0	0
Rell1	48.555556	146	0	0	0	291	0	0	0	0	0
Rad51c	48.555556	146	0	82	0	209	0	0	0	0	0
Pura	48.555556	0	0	0	0	437	0	0	0	0	0
Puf60	48.555556	0	0	0	0	437	0	0	0	0	0
Prmt3	48.555556	0	0	0	0	437	0	0	0	0	0
Plekha1	48.555556	62	0	0	0	375	0	0	0	0	0
Pex7	48.555556	0	0	0	0	437	0	0	0	0	0
Itpa	48.555556	0	146	0	87	204	0	0	0	0	0
Elovl2	48.555556	116	99	0	0	222	0	0	0	0	0
Ddrgk1	48.555556	0	146	0	87	204	0	0	0	0	0
Tceal9	48.444444	355	81	0	0	0	0	0	0	0	0
Tbl2	48.444444	0	99	0	0	337	0	0	0	0	0
Map6d1	48.444444	0	0	0	0	436	0	0	0	0	0
Wdr38	48.333333	188	247	0	0	0	0	0	0	0	0
Tmed3	48.333333	0	0	0	0	312	0	0	123	0	0
Ppp2r5a	48.333333	211	0	0	0	224	0	0	0	0	0
Mfsd10	48.333333	199	236	0	0	0	0	0	0	0	0
Gm14743	48.333333	199	236	0	0	0	0	0	0	0	0
Gars	48.333333	62	0	0	0	373	0	0	0	0	0
Agtrap	48.333333	0	0	0	0	435	0	0	0	0	0
Napepld	48.222222	0	0	0	0	434	0	0	0	0	0
Hnrnpr	48.222222	0	106	0	0	328	0	0	0	0	0
Gpd2	48.222222	126	138	0	0	170	0	0	0	0	0
Gmeb2	48.222222	0	0	0	0	434	0	0	0	0	0
Bahcc1	48.222222	186	135	113	0	0	0	0	0	0	0
Zfp9	48.111111	0	0	0	0	433	0	0	0	0	0
Wdr53	48.111111	0	0	0	0	433	0	0	0	0	0
Tab1	48.111111	0	0	0	0	234	0	0	199	0	0
Smad4	48.111111	230	0	81	0	122	0	0	0	0	0
Septin11	48.111111	0	0	0	0	433	0	0	0	0	0
Rpl36al	48.111111	146	128	72	87	0	0	0	0	0	0
Mtch2	48.111111	0	0	0	0	433	0	0	0	0	0
Mgat2	48.111111	146	128	72	87	0	0	0	0	0	0
Kbtbd2	48.111111	0	0	0	0	309	124	0	0	0	0
Ints9	48.111111	191	152	90	0	0	0	0	0	0	0
Hmbox1	48.111111	191	152	90	0	0	0	0	0	0	0
Fbxo45	48.111111	0	0	0	0	433	0	0	0	0	0
Cops6	48.111111	0	0	0	0	433	0	0	0	0	0
Wdr41	48.000000	88	118	0	0	226	0	0	0	0	0
Uri1	48.000000	0	0	0	0	432	0	0	0	0	0
Rnf166	48.000000	0	0	0	0	332	100	0	0	0	0
Pkhd1l1	48.000000	126	224	82	0	0	0	0	0	0	0
Fxr1	48.000000	88	0	0	0	344	0	0	0	0	0
Dhx36	48.000000	329	0	103	0	0	0	0	0	0	0
Ctu2	48.000000	0	0	0	0	332	100	0	0	0	0
Vmn1r56	47.888889	256	175	0	0	0	0	0	0	0	0
Tas2r134	47.888889	146	148	0	137	0	0	0	0	0	0
Srrd	47.888889	0	0	0	0	335	96	0	0	0	0
Hps4	47.888889	0	0	0	0	335	96	0	0	0	0
Cand1	47.888889	0	151	0	0	205	75	0	0	0	0
Adpgk	47.888889	0	0	0	0	304	127	0	0	0	0
Sorbs1	47.777778	106	0	0	0	324	0	0	0	0	0
Rnf10	47.777778	177	138	115	0	0	0	0	0	0	0
Gcnt2	47.777778	256	0	174	0	0	0	0	0	0	0
Erp29	47.777778	0	0	0	0	430	0	0	0	0	0
Ddx50	47.777778	0	0	0	0	430	0	0	0	0	0
Cnot6l	47.777778	146	146	0	0	138	0	0	0	0	0
Utp20	47.666667	146	167	0	116	0	0	0	0	0	0
Septin2	47.666667	0	0	0	0	429	0	0	0	0	0
Rcan1	47.666667	0	0	0	0	429	0	0	0	0	0
Hdlbp	47.666667	0	0	0	0	429	0	0	0	0	0
Cyth1	47.666667	0	0	0	0	429	0	0	0	0	0
Cds2	47.666667	167	128	0	0	134	0	0	0	0	0
2310022B05Rik	47.666667	0	0	0	0	429	0	0	0	0	0
Pxdn	47.555556	136	169	0	0	0	123	0	0	0	0
Mfsd14a	47.555556	0	0	0	0	349	79	0	0	0	0
Fam234b	47.555556	136	0	0	0	292	0	0	0	0	0
Ercc6l	47.555556	188	0	103	0	0	0	0	137	0	0
Dennd1a	47.555556	0	0	0	0	428	0	0	0	0	0
Plaat5	47.444444	0	0	0	0	427	0	0	0	0	0
Map2	47.444444	0	0	0	0	427	0	0	0	0	0
Dot1l	47.444444	0	0	0	0	427	0	0	0	0	0
Dnaja1	47.444444	256	0	0	0	171	0	0	0	0	0
Tbc1d4	47.333333	0	90	0	0	336	0	0	0	0	0
Ssbp4	47.333333	87	128	0	0	211	0	0	0	0	0
Srm	47.333333	0	0	0	0	279	147	0	0	0	0
Kxd1	47.333333	88	0	0	0	236	0	0	102	0	0
Fkbp8	47.333333	88	0	0	0	236	0	0	102	0	0
Slc31a1	47.222222	153	272	0	0	0	0	0	0	0	0
Fkbp15	47.222222	153	272	0	0	0	0	0	0	0	0
Cenpm	47.222222	152	0	93	0	180	0	0	0	0	0
Ankfy1	47.222222	146	177	102	0	0	0	0	0	0	0
Zfp157	47.111111	188	236	0	0	0	0	0	0	0	0
Slc26a8	47.111111	167	0	0	0	125	0	0	132	0	0
Scgb1c1	47.111111	233	191	0	0	0	0	0	0	0	0
Myom1	47.111111	97	138	93	96	0	0	0	0	0	0
Mapk14	47.111111	167	0	0	0	125	0	0	132	0	0
Trpm7	47.000000	0	0	0	0	423	0	0	0	0	0
Hace1	47.000000	0	0	0	0	423	0	0	0	0	0
Rassf5	46.888889	156	169	0	0	97	0	0	0	0	0
Rab11fip3	46.888889	97	148	0	0	177	0	0	0	0	0
Orc4	46.888889	156	0	0	0	266	0	0	0	0	0
Mrpl40	46.888889	160	78	0	0	184	0	0	0	0	0
Mbd5	46.888889	156	0	0	0	266	0	0	0	0	0
Ifi207	46.888889	116	138	72	96	0	0	0	0	0	0
Hira	46.888889	160	78	0	0	184	0	0	0	0	0
Dip2c	46.888889	0	0	0	0	422	0	0	0	0	0
Angel2	46.888889	126	109	0	0	187	0	0	0	0	0
Vamp4	46.777778	136	134	0	0	151	0	0	0	0	0
Slf2	46.777778	212	209	0	0	0	0	0	0	0	0
Rcn2	46.777778	0	0	0	0	333	88	0	0	0	0
Ldha	46.777778	0	0	0	0	421	0	0	0	0	0
Gtf2h3	46.777778	0	0	0	0	421	0	0	0	0	0
Eif2b1	46.777778	0	0	0	0	421	0	0	0	0	0
Cfap410	46.777778	0	0	0	0	421	0	0	0	0	0
Atp6v1g2	46.777778	126	180	115	0	0	0	0	0	0	0
Zfp638	46.666667	167	138	115	0	0	0	0	0	0	0
Tpr	46.666667	0	0	0	0	420	0	0	0	0	0
Selenof	46.666667	0	0	0	0	420	0	0	0	0	0
Polr3e	46.666667	0	0	0	0	420	0	0	0	0	0
Odr4	46.666667	0	0	0	0	420	0	0	0	0	0
Mgst3	46.666667	156	148	0	116	0	0	0	0	0	0
Lss	46.666667	0	0	0	0	420	0	0	0	0	0
Hs2st1	46.666667	0	0	0	0	420	0	0	0	0	0
Elac1	46.666667	0	0	0	0	420	0	0	0	0	0
Adnp2	46.666667	0	0	0	0	420	0	0	0	0	0
Tmem121	46.555556	116	128	0	0	175	0	0	0	0	0
Mars2	46.555556	126	0	62	0	231	0	0	0	0	0
Arhgap42	46.555556	0	180	0	0	239	0	0	0	0	0
Adk	46.555556	0	0	0	0	419	0	0	0	0	0
Tsnax	46.444444	0	0	0	0	418	0	0	0	0	0
Trim24	46.444444	88	148	0	0	182	0	0	0	0	0
Tmem199	46.444444	0	0	0	0	303	115	0	0	0	0
Timm8a1	46.444444	156	159	103	0	0	0	0	0	0	0
Snx18	46.444444	116	81	0	0	221	0	0	0	0	0
Poldip2	46.444444	0	0	0	0	303	115	0	0	0	0
Pacs1	46.444444	0	0	0	0	418	0	0	0	0	0
