Target_genes	Tbr1|Average	SRX22670282|Cortex	SRX22670283|Cortex	SRX4632659|Cortex	SRX4632662|Cortex	SRX4632663|Cortex	SRX1121025|Embryonic_brains	STRING
Cop1	124.166667	89	403	121	132	0	0	0
Arl15	124.166667	130	494	0	121	0	0	0
Zfp846	124.000000	0	448	97	98	0	101	0
Thg1l	124.000000	92	503	0	0	0	149	0
Tatdn2	124.000000	0	436	135	173	0	0	0
Ss18l2	124.000000	0	452	169	123	0	0	0
Pcf11	124.000000	177	472	95	0	0	0	0
Hif1an	124.000000	150	466	0	0	0	128	0
Glul	124.000000	123	621	0	0	0	0	0
Dclre1b	124.000000	102	499	0	143	0	0	0
Ap4b1	124.000000	102	499	0	143	0	0	0
Usp22	123.833333	119	380	0	114	0	130	0
Stmn3	123.833333	131	510	102	0	0	0	0
Rps8	123.833333	130	489	0	124	0	0	0
Fem1b	123.833333	98	528	0	117	0	0	0
Fdxacb1	123.833333	141	377	115	110	0	0	0
1110032A03Rik	123.833333	141	377	115	110	0	0	0
Ncl	123.666667	187	555	0	0	0	0	0
Slc1a4	123.500000	154	475	0	112	0	0	0
Itfg2	123.500000	137	604	0	0	0	0	0
Hcn1	123.500000	81	416	127	117	0	0	0
Fnta	123.500000	88	455	82	116	0	0	0
Wasf1	123.333333	103	555	0	82	0	0	0
Serbp1	123.333333	109	564	0	67	0	0	0
Masp1	123.333333	157	455	0	0	0	128	0
Cdc40	123.333333	103	555	0	82	0	0	0
Bhlhe22	123.333333	130	379	0	0	0	231	0
Tbce	123.166667	67	444	97	131	0	0	0
Smarcc2	123.166667	201	373	0	0	0	165	0
Sh3bp2	123.166667	205	241	172	121	0	0	0
Sema3b	123.166667	141	486	0	112	0	0	0
Mfn2	123.166667	106	397	130	106	0	0	0
Evl	123.166667	107	443	110	79	0	0	0
Stpg2	123.000000	133	383	103	119	0	0	0
Srd5a1	123.000000	152	465	0	121	0	0	0
Smc3	123.000000	185	443	0	110	0	0	0
Rnaseh1	123.000000	92	461	112	73	0	0	0
Rbfox2	123.000000	147	406	98	0	0	87	0
Ppfia2	123.000000	94	393	0	0	0	251	0
Nsun2	123.000000	152	465	0	121	0	0	0
Gpr139	123.000000	188	479	0	71	0	0	0
Kras	122.833333	119	489	0	129	0	0	0
Alad	122.833333	90	529	118	0	0	0	0
Snrnp35	122.666667	115	391	146	84	0	0	0
Rilpl2	122.666667	115	391	146	84	0	0	0
Map1lc3a	122.666667	104	389	101	142	0	0	0
Klhl20	122.666667	108	525	103	0	0	0	0
Katnbl1	122.666667	119	492	0	125	0	0	0
Crip2	122.666667	89	553	94	0	0	0	0
Zfp451	122.500000	92	544	99	0	0	0	0
Zfp438	122.500000	112	433	116	74	0	0	0
Raf1	122.500000	118	528	89	0	0	0	0
Cdkn1a	122.500000	218	289	138	90	0	0	0
Tcf12	122.333333	150	438	0	146	0	0	0
Tbc1d15	122.333333	100	427	117	90	0	0	0
Nsg1	122.333333	97	527	0	110	0	0	0
Mapk8	122.333333	0	435	94	99	0	106	0
Kmt2c	122.333333	186	339	121	88	0	0	0
Islr2	122.333333	177	423	0	0	0	134	0
Gmnc	122.333333	159	269	0	0	0	306	0
Emp1	122.333333	0	157	282	295	0	0	0
Dedd	122.333333	141	374	94	125	0	0	0
Cnot3	122.333333	0	295	183	154	0	102	0
Tmem192	122.000000	0	267	287	178	0	0	0
Tmem183a	122.000000	104	540	0	88	0	0	0
Synrg	122.000000	116	531	0	85	0	0	0
Lmcd1	122.000000	196	114	181	241	0	0	0
Atg101	122.000000	167	313	0	144	0	108	0
0610010F05Rik	122.000000	136	491	105	0	0	0	0
Unc5a	121.833333	162	403	0	166	0	0	0
Tmed4	121.833333	120	489	122	0	0	0	0
Septin2	121.833333	94	370	139	128	0	0	0
Ptpn11	121.833333	100	371	119	141	0	0	0
Krtap4-7	121.833333	117	251	151	212	0	0	0
Hdlbp	121.833333	94	370	139	128	0	0	0
Arrdc2	121.833333	129	483	119	0	0	0	0
Yars	121.666667	123	414	94	99	0	0	0
Taf8	121.666667	100	502	128	0	0	0	0
S100pbp	121.666667	123	414	94	99	0	0	0
Fam8a1	121.666667	186	436	0	0	0	108	0
Ccnd3	121.666667	100	502	128	0	0	0	0
Aven	121.666667	75	552	0	103	0	0	0
4833439L19Rik	121.666667	96	405	118	111	0	0	0
Trmt1l	121.500000	139	476	0	114	0	0	0
Swt1	121.500000	139	476	0	114	0	0	0
Mrpl3	121.500000	150	386	112	81	0	0	0
Hdac2	121.500000	161	461	0	107	0	0	0
Foxk2	121.500000	106	429	96	98	0	0	0
Cdadc1	121.500000	77	571	0	81	0	0	0
Sh2d7	121.333333	153	388	0	0	0	187	0
Kctd20	121.333333	150	578	0	0	0	0	0
Aldh1a7	121.333333	0	381	181	166	0	0	0
Ulk1	121.166667	129	427	171	0	0	0	0
Sdad1	121.166667	114	415	0	198	0	0	0
Sos1	121.000000	92	505	129	0	0	0	0
Rps3a1	121.000000	138	588	0	0	0	0	0
Rims2	121.000000	0	371	156	101	0	98	0
Fubp3	121.000000	157	474	95	0	0	0	0
Dynll2	121.000000	0	617	109	0	0	0	0
9930021J03Rik	121.000000	173	438	0	115	0	0	0
Mfsd4b4	120.833333	92	428	106	99	0	0	0
Zfp804a	120.666667	90	382	154	0	0	98	0
Cnot11	120.666667	99	504	0	121	0	0	0
Champ1	120.666667	147	360	0	217	0	0	0
Ubtd2	120.333333	126	596	0	0	0	0	0
Prkci	120.333333	145	459	118	0	0	0	0
Phf7	120.333333	108	478	0	136	0	0	0
Fancf	120.333333	149	390	70	113	0	0	0
Bap1	120.333333	108	478	0	136	0	0	0
Zfp296	120.166667	100	333	141	147	0	0	0
Tcf25	120.166667	107	407	122	85	0	0	0
Nudt5	120.166667	119	423	89	90	0	0	0
Ncoa4	120.166667	177	299	104	141	0	0	0
Med27	120.166667	164	337	0	0	0	220	0
Gemin7	120.166667	100	333	141	147	0	0	0
Cdc123	120.166667	119	423	89	90	0	0	0
Atp5g3	120.166667	159	471	91	0	0	0	0
Txndc9	120.000000	119	379	120	102	0	0	0
Smim12	120.000000	170	550	0	0	0	0	0
Rars2	120.000000	92	453	77	98	0	0	0
Psmc2	120.000000	168	308	0	122	0	122	0
Orc3	120.000000	92	453	77	98	0	0	0
Fam168a	120.000000	127	593	0	0	0	0	0
Eif5b	120.000000	119	379	120	102	0	0	0
Dnajc2	120.000000	168	308	0	122	0	122	0
Sox4	119.833333	0	606	0	0	0	113	0
Trpm7	119.666667	81	514	0	123	0	0	0
Slc10a5	119.666667	100	396	94	128	0	0	0
Rfx7	119.666667	87	337	129	0	0	165	0
Impa1	119.666667	100	396	94	128	0	0	0
Hint3	119.666667	116	602	0	0	0	0	0
Gm3696	119.666667	0	486	118	114	0	0	0
Rrp1	119.500000	100	543	74	0	0	0	0
Mga	119.500000	117	477	0	123	0	0	0
Luc7l	119.500000	144	453	0	120	0	0	0
Klf6	119.500000	119	598	0	0	0	0	0
Insm1	119.500000	189	314	0	214	0	0	0
Hyls1	119.500000	140	484	93	0	0	0	0
Sft2d3	119.333333	83	497	136	0	0	0	0
Phkb	119.333333	77	451	86	102	0	0	0
Pet117	119.333333	117	459	0	140	0	0	0
Kat14	119.333333	117	459	0	140	0	0	0
Itfg1	119.333333	77	451	86	102	0	0	0
Golm2	119.333333	130	379	109	98	0	0	0
Gm5136	119.333333	0	199	165	136	0	216	0
Fgf14	119.333333	130	207	0	112	0	267	0
Ddx42	119.333333	144	493	0	0	0	79	0
Cycs	119.333333	77	417	84	138	0	0	0
Ccdc47	119.333333	144	493	0	0	0	79	0
Atxn3	119.333333	121	392	0	0	0	203	0
Alg13	119.333333	0	218	223	275	0	0	0
Trdmt1	119.166667	124	273	109	209	0	0	0
Tmem42	119.166667	101	518	96	0	0	0	0
Srsf11	119.166667	134	375	99	107	0	0	0
Plpbp	119.166667	100	398	100	117	0	0	0
Nop14	119.166667	72	454	110	0	0	79	0
Mmadhc	119.166667	103	397	103	112	0	0	0
Lrrc40	119.166667	134	375	99	107	0	0	0
Herc4	119.166667	101	446	98	70	0	0	0
Grk4	119.166667	72	454	110	0	0	79	0
Clvs1	119.166667	152	315	111	0	0	137	0
Acp6	119.166667	214	217	123	161	0	0	0
Tgfbrap1	119.000000	108	411	79	116	0	0	0
Supt5	119.000000	157	557	0	0	0	0	0
Dnajc19	119.000000	121	467	0	126	0	0	0
C9orf72	119.000000	98	418	90	0	0	108	0
Brf2	119.000000	133	201	183	108	0	89	0
Adam19	119.000000	192	277	140	105	0	0	0
Rag2	118.833333	127	350	123	113	0	0	0
Phf14	118.833333	113	454	81	65	0	0	0
Pcmtd1	118.833333	126	515	72	0	0	0	0
Jund	118.833333	0	628	0	85	0	0	0
Iqcn	118.833333	0	628	0	85	0	0	0
Iftap	118.833333	127	350	123	113	0	0	0
Foxo6	118.833333	136	318	0	138	0	121	0
Btg1	118.833333	146	462	105	0	0	0	0
Ube2q1	118.666667	132	379	102	99	0	0	0
Srsf5	118.666667	100	501	0	111	0	0	0
Prmt7	118.666667	99	534	79	0	0	0	0
Insr	118.666667	102	362	110	138	0	0	0
Emsy	118.666667	98	449	0	98	0	67	0
Vps37d	118.500000	90	338	131	152	0	0	0
Vps25	118.500000	160	341	97	113	0	0	0
Vangl2	118.500000	156	471	0	84	0	0	0
Sgo1	118.500000	124	406	181	0	0	0	0
Rtn1	118.500000	112	432	0	0	0	167	0
Rfxap	118.500000	123	496	0	92	0	0	0
Pum1	118.500000	113	502	96	0	0	0	0
Mier2	118.500000	131	483	0	97	0	0	0
Cfap70	118.500000	0	253	122	0	0	336	0
4930402H24Rik	118.500000	86	446	94	85	0	0	0
Zfp706	118.333333	85	464	0	0	0	161	0
Usp12	118.333333	110	505	0	95	0	0	0
Ttc32	118.333333	0	710	0	0	0	0	0
Park7	118.333333	95	445	87	83	0	0	0
Dab1	118.333333	120	133	132	0	0	325	0
Snip1	118.166667	100	487	0	122	0	0	0
Setmar	118.166667	132	233	178	166	0	0	0
Ppp2r2a	118.166667	163	280	110	156	0	0	0
Mllt3	118.166667	80	381	120	128	0	0	0
Ivns1abp	118.166667	81	476	0	152	0	0	0
Dnali1	118.166667	100	487	0	122	0	0	0
Atg4c	118.166667	0	499	78	132	0	0	0
Zmym2	118.000000	101	368	74	0	0	165	0
Zfand3	118.000000	105	388	135	80	0	0	0
Ccm2l	118.000000	125	333	0	117	0	133	0
Setdb1	117.833333	108	373	103	123	0	0	0
Sec61a1	117.833333	161	450	0	96	0	0	0
Phip	117.833333	165	406	136	0	0	0	0
Nop16	117.833333	119	373	99	116	0	0	0
Lrba	117.833333	83	354	181	89	0	0	0
Higd2a	117.833333	119	373	99	116	0	0	0
Dpp3	117.833333	96	414	87	110	0	0	0
Capn7	117.833333	0	436	0	102	0	169	0
Txn2	117.666667	119	507	0	80	0	0	0
Trim39	117.666667	85	497	0	124	0	0	0
Rtn4	117.666667	176	409	121	0	0	0	0
Pum2	117.666667	86	620	0	0	0	0	0
Map3k14	117.666667	137	474	0	95	0	0	0
Exo5	117.666667	125	513	68	0	0	0	0
Ep300	117.666667	159	322	139	86	0	0	0
Cplx2	117.666667	198	185	173	150	0	0	0
Stard3nl	117.500000	102	603	0	0	0	0	0
Ppp1r7	117.500000	84	486	0	0	0	135	0
Pask	117.500000	84	486	0	0	0	135	0
Otud3	117.500000	108	515	0	82	0	0	0
Mark2	117.500000	0	322	146	0	0	237	0
Hibadh	117.500000	96	393	0	127	0	89	0
Gm27021	117.500000	0	592	113	0	0	0	0
Ensa	117.500000	192	513	0	0	0	0	0
Emc8	117.500000	0	592	113	0	0	0	0
Cox4i1	117.500000	0	592	113	0	0	0	0
Arf6	117.500000	97	449	0	159	0	0	0
Zfp655	117.333333	138	475	0	91	0	0	0
Tmem203	117.333333	0	704	0	0	0	0	0
Tmem132a	117.333333	131	464	0	109	0	0	0
Spns2	117.333333	0	263	170	153	0	118	0
Ndor1	117.333333	0	704	0	0	0	0	0
Dok5	117.333333	137	321	123	123	0	0	0
Atxn7l3b	117.333333	72	532	0	100	0	0	0
Api5	117.333333	177	376	0	151	0	0	0
Washc2	117.166667	172	408	0	123	0	0	0
Tecr	117.166667	69	460	0	174	0	0	0
Prim2	117.166667	164	422	0	117	0	0	0
Mtif2	117.166667	130	439	134	0	0	0	0
Mrps35	117.166667	0	617	86	0	0	0	0
Dynlt1b	117.166667	0	605	0	98	0	0	0
Zc3h13	117.000000	110	308	0	0	0	284	0
Tbl1xr1	117.000000	115	522	0	65	0	0	0
Slc25a3	117.000000	116	464	122	0	0	0	0
Rnmt	117.000000	114	461	127	0	0	0	0
Rexo2	117.000000	0	443	160	99	0	0	0
Purb	117.000000	0	535	80	87	0	0	0
Fam210a	117.000000	114	461	127	0	0	0	0
E2f7	117.000000	127	472	103	0	0	0	0
Alg10b	117.000000	97	507	0	98	0	0	0
Zfp90	116.833333	109	592	0	0	0	0	0
Tshz2	116.833333	296	139	96	81	0	89	0
St3gal5	116.833333	142	382	76	101	0	0	0
Pomp	116.833333	124	477	0	100	0	0	0
Apba1	116.833333	94	347	73	78	0	109	0
Afg1l	116.833333	193	357	151	0	0	0	0
Vps37a	116.666667	99	367	118	116	0	0	0
Osbp	116.666667	90	415	106	89	0	0	0
Kif20a	116.666667	90	377	119	114	0	0	0
Eef1akmt4-ece2	116.666667	173	527	0	0	0	0	0
Eef1akmt4	116.666667	173	527	0	0	0	0	0
Cnot7	116.666667	99	367	118	116	0	0	0
Ccnc	116.666667	164	438	0	0	0	98	0
Brd8	116.666667	90	377	119	114	0	0	0
Alg3	116.666667	173	527	0	0	0	0	0
AU041133	116.666667	150	428	122	0	0	0	0
Sugp2	116.500000	0	503	108	88	0	0	0
Rnf32	116.500000	115	584	0	0	0	0	0
Rb1cc1	116.500000	141	467	91	0	0	0	0
Armc6	116.500000	0	503	108	88	0	0	0
Ube2d2a	116.333333	0	527	72	99	0	0	0
Tnrc6b	116.333333	0	511	78	109	0	0	0
Stum	116.333333	179	158	225	136	0	0	0
Rack1	116.333333	129	387	93	89	0	0	0
Idi1	116.333333	0	531	76	91	0	0	0
H4c9	116.333333	101	597	0	0	0	0	0
H2bc11	116.333333	101	597	0	0	0	0	0
H2ac11	116.333333	101	597	0	0	0	0	0
Czib	116.333333	118	514	0	0	0	66	0
1700016C15Rik	116.333333	0	211	279	208	0	0	0
Tubg1	116.166667	109	490	0	98	0	0	0
Trip12	116.166667	120	336	66	86	0	89	0
Tor1aip2	116.166667	126	370	89	112	0	0	0
Tor1aip1	116.166667	126	370	89	112	0	0	0
Timmdc1	116.166667	128	450	0	119	0	0	0
Retreg3	116.166667	109	490	0	98	0	0	0
Fsd2	116.166667	0	335	176	84	0	102	0
Fbxo36	116.166667	120	336	66	86	0	89	0
Elp1	116.166667	87	501	109	0	0	0	0
Acvr2a	116.166667	100	505	0	92	0	0	0
Abitram	116.166667	87	501	109	0	0	0	0
1810055G02Rik	116.166667	0	330	167	200	0	0	0
Rps6ka5	116.000000	0	427	0	104	0	165	0
Minpp1	116.000000	105	397	0	0	0	194	0
Ilkap	116.000000	88	501	0	107	0	0	0
Gpam	116.000000	124	476	96	0	0	0	0
Exosc8	116.000000	112	379	77	128	0	0	0
Dennd1a	116.000000	118	463	0	115	0	0	0
Alg5	116.000000	112	379	77	128	0	0	0
Mrps15	115.833333	96	438	0	161	0	0	0
H3c15	115.833333	140	555	0	0	0	0	0
H3c14	115.833333	140	555	0	0	0	0	0
H2ac19	115.833333	140	555	0	0	0	0	0
H2ac18	115.833333	140	555	0	0	0	0	0
Eya2	115.833333	0	695	0	0	0	0	0
Xrcc4	115.666667	142	398	0	65	0	89	0
Usp6nl	115.666667	129	411	0	154	0	0	0
Tra2b	115.666667	82	446	78	88	0	0	0
Tmem167	115.666667	142	398	0	65	0	89	0
Tigd5	115.666667	224	346	0	124	0	0	0
Nup43	115.666667	108	407	91	88	0	0	0
Nudcd1	115.666667	99	376	0	0	0	219	0
Eny2	115.666667	99	376	0	0	0	219	0
Eef1d	115.666667	224	346	0	124	0	0	0
Cbl	115.666667	0	376	77	124	0	117	0
Skp1	115.500000	143	425	0	125	0	0	0
Samd4b	115.500000	85	424	86	98	0	0	0
Peli1	115.500000	109	507	0	77	0	0	0
Mvd	115.500000	175	197	0	0	0	321	0
Marcksl1	115.500000	130	459	0	104	0	0	0
Isy1	115.500000	99	462	0	132	0	0	0
Gmfg	115.500000	85	424	86	98	0	0	0
Ech1	115.500000	0	139	186	156	0	212	0
Atf6	115.500000	115	468	0	0	0	110	0
Ahi1	115.500000	174	287	138	94	0	0	0
Zfp94	115.333333	0	356	163	173	0	0	0
Zfp511	115.333333	137	415	140	0	0	0	0
Tubgcp5	115.333333	121	310	146	0	0	115	0
Tubgcp2	115.333333	137	415	140	0	0	0	0
1190007I07Rik	115.333333	0	426	0	117	0	149	0
Ten1	115.166667	189	502	0	0	0	0	0
Snx24	115.166667	110	356	117	108	0	0	0
Rsf1	115.166667	145	416	0	130	0	0	0
Rps9	115.166667	92	473	0	126	0	0	0
Exoc5	115.166667	92	599	0	0	0	0	0
Ercc5	115.166667	150	406	0	135	0	0	0
Ap5m1	115.166667	92	599	0	0	0	0	0
Acox1	115.166667	189	502	0	0	0	0	0
Aamdc	115.166667	145	416	0	130	0	0	0
Tsc22d1	115.000000	85	605	0	0	0	0	0
Rnf139	115.000000	102	408	99	81	0	0	0
Tsg101	114.833333	87	507	95	0	0	0	0
Snx12	114.833333	150	441	0	0	0	98	0
Dip2c	114.833333	93	346	107	143	0	0	0
Cep350	114.833333	0	436	127	126	0	0	0
Zfand2a	114.666667	134	416	138	0	0	0	0
Rint1	114.666667	102	345	0	96	0	145	0
Pus7	114.666667	102	345	0	96	0	145	0
Jtb	114.666667	0	457	137	94	0	0	0
Amz2	114.666667	98	342	115	133	0	0	0
0610009B22Rik	114.666667	107	368	0	75	0	138	0
Trip11	114.500000	0	379	66	100	0	142	0
Rraga	114.500000	120	446	121	0	0	0	0
Rpl32	114.500000	132	402	153	0	0	0	0
Patl1	114.500000	0	580	107	0	0	0	0
Nepro	114.500000	0	597	0	90	0	0	0
Rpusd4	114.333333	120	566	0	0	0	0	0
Pdxdc1	114.333333	160	442	0	84	0	0	0
Mturn	114.333333	0	419	0	0	0	267	0
Mpv17l	114.333333	160	442	0	84	0	0	0
Lrrc58	114.333333	0	465	98	123	0	0	0
Fam118b	114.333333	120	566	0	0	0	0	0
Dcaf1	114.333333	187	405	94	0	0	0	0
Smim19	114.166667	98	331	128	128	0	0	0
Slc20a2	114.166667	98	331	128	128	0	0	0
Prcp	114.166667	97	366	104	118	0	0	0
Paxx	114.166667	0	411	0	148	0	126	0
Mis12	114.166667	97	463	0	125	0	0	0
Kdm4c	114.166667	106	481	98	0	0	0	0
Derl2	114.166667	97	463	0	125	0	0	0
Ddias	114.166667	97	366	104	118	0	0	0
Clic3	114.166667	0	411	0	148	0	126	0
Ankrd17	114.166667	0	540	0	145	0	0	0
Ptk2	114.000000	126	558	0	0	0	0	0
Lin7c	114.000000	0	587	0	97	0	0	0
Grb2	114.000000	117	380	89	98	0	0	0
Anapc4	114.000000	0	684	0	0	0	0	0
Zswim2	113.833333	0	225	173	147	0	138	0
Pelp1	113.833333	166	517	0	0	0	0	0
Matr3	113.833333	111	481	91	0	0	0	0
E130311K13Rik	113.833333	94	325	112	152	0	0	0
Wdr83os	113.666667	103	285	153	141	0	0	0
Wdr83	113.666667	103	285	153	141	0	0	0
Sdk1	113.666667	0	454	99	129	0	0	0
Rbm33	113.666667	113	442	0	127	0	0	0
Polr3b	113.666667	139	434	109	0	0	0	0
Nbl1	113.666667	0	197	235	250	0	0	0
Man2b1	113.666667	103	285	153	141	0	0	0
Gstp2	113.666667	105	376	91	110	0	0	0
Gstp1	113.666667	105	376	91	110	0	0	0
Ccdc62	113.666667	0	570	0	112	0	0	0
Rab35	113.500000	157	524	0	0	0	0	0
Ncstn	113.500000	99	472	0	110	0	0	0
Myh10	113.500000	175	408	98	0	0	0	0
Lipt2	113.500000	96	502	83	0	0	0	0
Fam171b	113.500000	101	371	89	120	0	0	0
Copa	113.500000	99	472	0	110	0	0	0
Ccdc106	113.500000	156	295	124	106	0	0	0
Zmym6	113.333333	76	385	131	88	0	0	0
Zfp236	113.333333	143	381	0	156	0	0	0
Sufu	113.333333	146	197	206	131	0	0	0
Spryd3	113.333333	130	550	0	0	0	0	0
Rtl8b	113.333333	0	293	0	0	0	387	0
Rnf24	113.333333	0	414	94	172	0	0	0
Rab18	113.333333	113	449	118	0	0	0	0
Plekhm3	113.333333	78	447	0	155	0	0	0
Odc1	113.333333	128	433	119	0	0	0	0
Cox19	113.333333	107	410	73	90	0	0	0
Cdk20	113.333333	0	290	148	106	0	136	0
Actr1a	113.333333	146	197	206	131	0	0	0
Usp32	113.166667	112	382	109	76	0	0	0
Stmn1	113.166667	151	528	0	0	0	0	0
Prepl	113.166667	211	247	84	0	0	137	0
Lsm14a	113.166667	0	513	0	0	0	166	0
Camkmt	113.166667	211	247	84	0	0	137	0
Ap1m1	113.166667	0	422	140	117	0	0	0
Sppl2b	113.000000	0	448	105	125	0	0	0
Odf2l	113.000000	0	418	129	131	0	0	0
Lsm7	113.000000	0	448	105	125	0	0	0
Dapk1	113.000000	126	449	103	0	0	0	0
Cisd2	113.000000	0	516	81	81	0	0	0
Cdk5rap3	113.000000	104	370	97	107	0	0	0
Cdk5rap1	113.000000	168	384	126	0	0	0	0
Casz1	113.000000	192	341	0	145	0	0	0
Ubald1	112.833333	88	476	0	0	0	113	0
Pfn4	112.833333	178	401	0	98	0	0	0
Mrnip	112.833333	0	517	160	0	0	0	0
Cpt1b	112.833333	190	355	132	0	0	0	0
Chkb	112.833333	190	355	132	0	0	0	0
Them4	112.666667	0	445	141	90	0	0	0
Sphk2	112.666667	0	501	76	99	0	0	0
Sde2	112.666667	129	453	0	94	0	0	0
Rpl18	112.666667	0	501	76	99	0	0	0
Rfx3	112.666667	0	355	0	187	0	134	0
Raver1	112.666667	0	487	78	111	0	0	0
Pafah1b1	112.666667	125	479	0	72	0	0	0
Mtmr14	112.666667	116	560	0	0	0	0	0
Gna12	112.666667	0	491	86	99	0	0	0
Fkbp3	112.666667	149	527	0	0	0	0	0
Fancm	112.666667	149	527	0	0	0	0	0
Fam83e	112.666667	0	501	76	99	0	0	0
Nipsnap3a	112.500000	254	114	181	126	0	0	0
Ctcf	112.500000	139	466	0	70	0	0	0
Csk	112.500000	87	357	136	95	0	0	0
Cd47	112.500000	0	507	0	168	0	0	0
Azin1	112.500000	120	472	0	83	0	0	0
Strn	112.333333	161	426	0	87	0	0	0
Ccna2	112.333333	116	558	0	0	0	0	0
Zfp580	112.166667	156	295	124	98	0	0	0
Pcif1	112.166667	0	583	0	90	0	0	0
Nutf2	112.166667	133	432	108	0	0	0	0
Mcu	112.166667	0	543	0	130	0	0	0
Marchf11	112.166667	76	367	117	113	0	0	0
Brwd1	112.166667	130	431	112	0	0	0	0
Abhd17c	112.166667	130	543	0	0	0	0	0
Zfp583	112.000000	138	411	0	123	0	0	0
Ppm1f	112.000000	116	340	111	105	0	0	0
Phf5a	112.000000	195	367	0	110	0	0	0
Pak7	112.000000	133	441	0	0	0	98	0
Fmnl3	112.000000	77	398	96	101	0	0	0
Cdh11	112.000000	169	266	0	80	0	157	0
Aco2	112.000000	195	367	0	110	0	0	0
Utp14b	111.833333	128	543	0	0	0	0	0
Rbm22	111.833333	96	451	0	124	0	0	0
Fbll1	111.833333	117	270	0	109	0	175	0
Acsl3	111.833333	128	543	0	0	0	0	0
Vps18	111.666667	0	461	141	68	0	0	0
Rabggtb	111.666667	110	560	0	0	0	0	0
Pisd	111.666667	99	467	0	104	0	0	0
Haus4	111.666667	108	305	131	126	0	0	0
Sec11a	111.500000	130	412	0	127	0	0	0
Polq	111.500000	0	381	170	0	0	118	0
Mettl14	111.500000	128	416	0	125	0	0	0
Macir	111.500000	0	436	124	109	0	0	0
Bbs9	111.500000	145	346	0	0	0	178	0
Adarb1	111.500000	0	410	145	114	0	0	0
Vamp4	111.333333	108	430	130	0	0	0	0
Tefm	111.333333	102	460	0	106	0	0	0
Sel1l	111.333333	134	424	110	0	0	0	0
Pcid2	111.333333	173	387	0	108	0	0	0
Fbxw8	111.333333	83	463	0	122	0	0	0
Exoc3	111.333333	116	416	0	136	0	0	0
Dap3	111.333333	106	435	0	127	0	0	0
Cul4a	111.333333	173	387	0	108	0	0	0
Wdr82	111.166667	86	390	84	107	0	0	0
Tpmt	111.166667	0	548	0	119	0	0	0
Tmem104	111.166667	76	591	0	0	0	0	0
Rps20	111.166667	105	469	0	93	0	0	0
Rcc1	111.166667	118	450	0	99	0	0	0
Pou3f2	111.166667	220	314	133	0	0	0	0
Pacc1	111.166667	112	450	0	105	0	0	0
Nbeal1	111.166667	103	564	0	0	0	0	0
Nat9	111.166667	76	591	0	0	0	0	0
Kdm1b	111.166667	0	548	0	119	0	0	0
Papss1	111.000000	126	451	0	89	0	0	0
Otud7b	111.000000	127	420	0	119	0	0	0
Nsun6	111.000000	0	573	93	0	0	0	0
Hspa4l	111.000000	0	418	146	102	0	0	0
Eif4g3	111.000000	169	497	0	0	0	0	0
Coq10a	111.000000	77	374	85	130	0	0	0
Armc1	111.000000	0	506	0	0	0	160	0
Arl5b	111.000000	0	573	93	0	0	0	0
Ap2m1	111.000000	0	456	77	0	0	133	0
Ing4	110.833333	149	416	0	0	0	100	0
Zfp11	110.666667	133	390	0	141	0	0	0
Slc39a6	110.666667	146	317	102	99	0	0	0
Mknk2	110.666667	123	541	0	0	0	0	0
Focad	110.666667	142	522	0	0	0	0	0
Elp2	110.666667	146	317	102	99	0	0	0
Dpysl3	110.666667	155	383	126	0	0	0	0
Shprh	110.500000	133	418	0	112	0	0	0
Mageb3	110.500000	72	481	0	110	0	0	0
Lrrcc1	110.500000	0	468	107	88	0	0	0
Il9	110.500000	0	416	0	0	0	247	0
Ctdspl2	110.500000	72	481	0	110	0	0	0
Ube2d1	110.333333	105	434	0	123	0	0	0
Tuba1b	110.333333	87	402	92	81	0	0	0
Setx	110.333333	0	488	66	108	0	0	0
Rpl29	110.333333	87	478	97	0	0	0	0
Plk2	110.333333	154	420	88	0	0	0	0
Mylip	110.333333	0	557	0	105	0	0	0
Lig4	110.333333	74	337	0	146	0	105	0
Fbxw7	110.333333	117	445	0	100	0	0	0
Dnlz	110.333333	126	351	70	115	0	0	0
Clpb	110.333333	0	223	197	242	0	0	0
Abhd13	110.333333	74	337	0	146	0	105	0
Ube2f	110.166667	0	540	0	121	0	0	0
Tarbp2	110.166667	104	293	154	110	0	0	0
Skil	110.166667	0	352	0	79	0	230	0
Map3k12	110.166667	104	293	154	110	0	0	0
Ccdc9	110.166667	82	442	137	0	0	0	0
Bmyc	110.166667	0	416	0	96	0	149	0
Pgap2	110.000000	0	385	123	152	0	0	0
Tomm70a	109.833333	148	298	110	103	0	0	0
Stxbp4	109.833333	84	395	0	72	0	108	0
Rnase4	109.833333	176	297	0	0	0	186	0
Polb	109.833333	125	468	0	66	0	0	0
Cox11	109.833333	84	395	0	72	0	108	0
Cdc34	109.833333	0	549	110	0	0	0	0
Ang	109.833333	176	297	0	0	0	186	0
Zfp2	109.666667	117	461	0	80	0	0	0
Pld3	109.666667	127	360	90	81	0	0	0
Lrrc8a	109.666667	132	526	0	0	0	0	0
H2-L	109.666667	162	373	0	123	0	0	0
H2-D1	109.666667	162	373	0	123	0	0	0
Gm5617	109.666667	118	540	0	0	0	0	0
Garem1	109.666667	0	559	0	99	0	0	0
Dnajb12	109.666667	163	495	0	0	0	0	0
Derl3	109.666667	279	283	96	0	0	0	0
Cyth1	109.666667	0	332	116	82	0	128	0
