Target_genes	Rbpj|Average	SRX13832280|BEko	SRX13832281|BEko	SRX13832282|BEko	SRX13832297|BEko	SRX13832298|BEko	SRX13832303|BEko	SRX13832304|BEko	SRX20794974|BEko	SRX20794975|BEko	SRX20794984|BEko	SRX20794985|BEko	SRX20794986|BEko	SRX20794987|BEko	SRX23493367|BEko	SRX23493368|BEko	SRX4670704|BEko	SRX4670705|BEko	SRX19144157|Brain_endothelial_cells	SRX19144158|Brain_endothelial_cells	SRX4740104|Brain_pericytes	SRX4740105|Brain_pericytes	SRX140327|C2C12	SRX140328|C2C12	SRX140329|C2C12	SRX140330|C2C12	SRX140331|C2C12	SRX140332|C2C12	SRX140337|C2C12	SRX140338|C2C12	SRX140339|C2C12	SRX140340|C2C12	SRX140342|C2C12	SRX140343|C2C12	SRX262848|F9	SRX262849|F9	SRX297989|F9	SRX297990|F9	SRX884573|GM18946	SRX070892|Leukemia,_Lymphoid	SRX070895|Leukemia,_Lymphoid	SRX287018|Neural_tube	SRX287019|Neural_tube	SRX485442|Neural_tube	SRX702808|T-ALL	SRX702809|T-ALL	SRX266509|T29	SRX266510|T29	SRX13239041|T_cells	SRX13239042|T_cells	SRX13239043|T_cells	SRX13239044|T_cells	SRX13239045|T_cells	SRX13239049|T_cells	SRX13239050|T_cells	SRX13239052|T_cells	SRX13239053|T_cells	SRX13239055|T_cells	SRX13239056|T_cells	SRX5551015|Unclassified	SRX5551016|Unclassified	SRX5551019|Unclassified	SRX5551020|Unclassified	STRING
Casp9	45.000000	0	103	0	0	0	0	0	103	0	108	0	0	0	145	226	109	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	121	0	121	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	581	700	0
Tubgcp6	44.967742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	892	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	650	708	0
Gpn3	44.967742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	1161	1087	0
Fam216a	44.967742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	1161	1087	0
Zfp13	44.919355	0	136	83	0	0	0	0	136	83	207	114	0	0	207	137	122	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	337	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	422	0
Usp22	44.919355	0	166	0	218	0	0	0	166	0	194	221	0	0	171	148	220	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	468	0
Polr1e	44.903226	0	114	0	187	0	0	0	114	0	176	223	119	0	157	159	228	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	457	378	0
Gm3435	44.887097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	161	546	197	0	0	0	0	255	0	0	190	0	0	0	0	0	0	0	0	0	0	261	255	408	390	0
Zbtb3	44.838710	0	150	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1033	1013	0
Polr2g	44.838710	0	150	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1033	1013	0
Ubtd1	44.806452	0	155	84	0	0	0	0	155	84	0	0	129	0	174	104	215	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	277	577	499	0
Mms19	44.806452	0	155	84	0	0	0	0	155	84	0	0	129	0	174	104	215	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	277	577	499	0
Tekt2	44.790323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	109	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	400	254	805	865	0
Magoh	44.790323	0	144	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	321	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	125	623	609	0
Adprhl2	44.790323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	109	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	400	254	805	865	0
Med9	44.774194	0	121	0	0	0	0	0	121	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	626	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	216	549	462	0
Scaf4	44.661290	0	231	0	199	0	0	0	231	0	117	113	0	0	202	214	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	82	480	420	0
Zfp653	44.645161	0	258	156	0	0	0	0	258	156	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	244	445	413	0
Fbxw7	44.645161	0	213	115	160	0	0	0	213	115	0	127	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	381	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	135	213	273	284	0
Mrpl24	44.435484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	1361	1306	0
Vps29	44.403226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1163	1151	0
Rad9b	44.403226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1163	1151	0
Dnajb4	44.403226	0	95	0	186	0	0	0	95	0	247	0	0	0	86	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	155	0	0	0	0	0	0	0	130	0	0	0	159	0	0	0	647	579	0
Pot1b	44.387097	0	0	0	0	0	0	0	0	0	162	0	0	0	145	237	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	193	0	0	0	681	709	0
Pan2	44.370968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	227	66	0	125	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	162	916	771	0
Dctpp1	44.338710	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	122	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	924	1131	0
Lmln	44.274194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	994	952	0
Nutf2	44.241935	0	0	96	0	0	0	0	0	96	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	681	0
Ccnt1	44.241935	0	161	0	0	0	0	0	161	0	0	0	0	0	126	108	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	171	0	112	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	629	0
4930415O20Rik	44.241935	0	161	0	0	0	0	0	161	0	0	0	0	0	126	108	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	171	0	112	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	629	0
Pygl	44.225806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	85	1302	1107	0
Inpp5k	44.209677	0	114	0	0	0	0	0	114	0	87	95	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	83	822	848	0
Commd4	44.193548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	471	90	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	781	0
Eps15	44.161290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	338	813	661	0
Fblim1	44.129032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	1256	1362	0
Rpl15	44.096774	0	0	103	142	0	135	0	0	103	140	95	0	0	166	134	124	84	0	0	184	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	484	0
Prkrip1	44.096774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	1159	1114	0
Nkiras1	44.096774	0	0	103	142	0	135	0	0	103	140	95	0	0	166	134	124	84	0	0	184	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	484	0
Atxn1l	44.096774	0	0	0	0	0	0	0	0	0	173	0	0	0	0	117	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	414	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	135	506	589	0
Rpl3l	44.000000	0	140	0	0	0	0	0	140	0	193	69	0	0	136	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	837	875	0
Zscan10	43.983871	0	136	83	0	0	0	0	136	83	207	114	0	0	207	137	122	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	337	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	422	0
Sde2	43.967742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	599	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	124	863	637	0
Usp12	43.951613	0	137	98	0	0	0	0	137	98	128	122	0	0	101	270	126	0	0	0	124	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	83	413	331	0
Pde4a	43.919355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	169	809	790	0
Oga	43.919355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	136	1007	1047	0
Nup133	43.887097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	752	143	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	236	391	473	0
BC028528	43.887097	0	126	0	0	0	0	0	126	0	99	92	0	0	164	152	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	105	609	672	0
Aph1a	43.887097	0	126	0	0	0	0	0	126	0	99	92	0	0	164	152	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	105	609	672	0
Zdhhc12	43.806452	0	0	0	233	0	0	0	0	0	0	0	0	0	0	117	95	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	982	0
Dcaf1	43.806452	0	128	0	0	0	0	0	128	0	0	0	0	0	105	115	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	208	577	500	0
Cdc42bpa	43.790323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1083	957	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	90	234	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erdr1	43.758065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	659	203	233	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	693	496	0
Tchp	43.693548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	297	1016	853	0
Nop14	43.596774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	187	1033	1041	0
Grk4	43.596774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	187	1033	1041	0
Skiv2l	43.580645	0	77	0	0	0	0	0	77	0	0	0	0	0	0	113	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1076	982	0
Nelfe	43.580645	0	77	0	0	0	0	0	77	0	0	0	0	0	0	113	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1076	982	0
Lrrc42	43.564516	0	110	0	113	0	0	0	110	0	229	198	0	119	156	258	236	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	233	299	0
Hspb11	43.564516	0	110	0	113	0	0	0	110	0	229	198	0	119	156	258	236	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	233	299	0
Rprd1a	43.548387	0	154	0	0	0	0	0	154	0	0	0	0	0	195	229	141	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	211	181	97	335	351	0
Adipor1	43.548387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	96	1180	1076	0
Gabarap	43.483871	0	146	0	0	0	0	0	146	0	200	135	0	0	157	85	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	119	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	571	557	0
Relch	43.467742	0	0	124	185	145	0	0	0	124	139	99	0	0	272	0	156	71	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	139	0	0	165	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	362	0
Pign	43.467742	0	0	124	185	145	0	0	0	124	139	99	0	0	272	0	156	71	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	139	0	0	165	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	362	0
Spag9	43.435484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	1148	1089	0
Bcl2l12	43.435484	0	153	0	0	0	0	0	153	0	155	0	0	0	148	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	880	911	0
Ddx49	43.403226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	737	306	0	191	207	191	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	324	425	0
Cope	43.403226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	737	306	0	191	207	191	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	324	425	0
1700123O20Rik	43.387097	0	117	159	118	142	0	0	117	159	131	190	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	114	528	468	0
Trcg1	43.370968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1255	1434	0
Slc3a2	43.354839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	159	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	1045	752	0
Ppcdc	43.338710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1210	1314	0
Mideas	43.338710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	797	767	0
Plcd3	43.241935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	219	1167	740	0
Acbd4	43.241935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	219	1167	740	0
Nemp1	43.225806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	250	868	810	0
Nol11	43.209677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	151	196	1015	923	0
Zfp623	43.193548	0	103	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	106	990	972	0
Zfp143	43.177419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	162	0	0	364	214	163	165	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	246	346	235	0
Atp1a3	43.145161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1079	1156	0
Art2b	43.145161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	1032	0	0	0	0	174	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	296	0
Rpl5	43.080645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	465	126	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	257	168	597	671	0
Dnmt1	43.080645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1261	1234	0
Aaas	43.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	1021	864	0
Rnf138	42.983871	0	230	156	112	109	0	0	230	156	197	144	0	0	0	98	182	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	308	268	0
Arcn1	42.935484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	264	859	999	0
Spen	42.903226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	292	0	0	255	213	255	0	91	0	0	0	0	0	0	0	0	0	0	0	109	0	203	150	469	408	0
Atp5o	42.903226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	942	761	0
Carm1	42.887097	0	140	0	0	0	0	0	140	0	136	141	0	0	147	208	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	647	642	0
Cnih2	42.854839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	980	0
Itpr2	42.838710	0	246	132	0	0	0	0	246	132	209	0	0	143	193	163	233	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	346	0
Celsr3	42.838710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	101	0	0	0	0	0	0	0	0	0	0	221	965	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	363	0
Idh3a	42.806452	0	177	0	165	0	141	0	177	0	174	0	0	229	167	251	259	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	372	0
Ywhab	42.774194	0	224	0	156	197	0	0	224	0	196	187	0	0	103	186	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	113	304	239	0
Wdr77	42.774194	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	190	152	697	761	0
Atp5pb	42.774194	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	190	152	697	761	0
