Target_genes	Rest|Average	SRX3660765|Bone_Marrow_Cells	SRX3660766|Bone_Marrow_Cells	SRX142526|C2C12	SRX3660763|CD4_CD8_double_negative_cells	SRX3660764|CD4_CD8_double_negative_cells	SRX13924406|Cortex	SRX13924407|Cortex	SRX13924408|Cortex	SRX13924409|Cortex	SRX21301484|Cortex	SRX21301485|Cortex	SRX21301486|Cortex	SRX21301487|Cortex	SRX8342507|Cortex	SRX8342508|Cortex	SRX8342509|Cortex	SRX8342510|Cortex	SRX11249163|Embryonic_pancreas	SRX11249164|Embryonic_pancreas	SRX11249165|Embryonic_pancreas	SRX11249166|Embryonic_pancreas	SRX11249167|Embryonic_pancreas	DRX013319|EpiSC	DRX013336|EpiSC	DRX013348|ES_cells	SRX039034|ES_cells	SRX041297|ES_cells	SRX041298|ES_cells	SRX041299|ES_cells	SRX041307|ES_cells	SRX047144|ES_cells	SRX310328|ES_cells	SRX310329|ES_cells	SRX315199|ES_cells	SRX3827070|ES_cells	SRX3827071|ES_cells	SRX3827072|ES_cells	SRX3827073|ES_cells	SRX4551451|ES_cells	SRX4551452|ES_cells	SRX4551453|ES_cells	SRX4551454|ES_cells	SRX4551457|ES_cells	SRX4551458|ES_cells	SRX4551459|ES_cells	SRX4551460|ES_cells	SRX4980243|ES_cells	SRX4980244|ES_cells	SRX4980245|ES_cells	SRX4980246|ES_cells	SRX9172002|ES_cells	SRX9172003|ES_cells	SRX9172004|ES_cells	SRX9172005|ES_cells	SRX9172006|ES_cells	SRX9172007|ES_cells	SRX9172008|ES_cells	SRX9172009|ES_cells	SRX7627564|Hippocampus	SRX7627566|Hippocampus	SRX9552253|MEF	SRX9552254|MEF	SRX9552255|MEF	SRX9552256|MEF	SRX11127137|mESC_derived_cardiac_cells	SRX11127139|mESC_derived_cardiac_cells	SRX11127141|mESC_derived_cardiac_cells	SRX11127143|mESC_derived_cardiac_cells	SRX041302|mESC_derived_neural_cells	SRX041303|mESC_derived_neural_cells	SRX041304|mESC_derived_neural_cells	SRX9084749|Placenta	SRX9084750|Placenta	SRX1559578|RAW_264.7	SRX1559579|RAW_264.7	SRX3660793|Scid.adh.2c2	SRX3660794|Scid.adh.2c2	SRX10580902|Unclassified	SRX10580903|Unclassified	STRING
Pcdh8	404.215190	2087	2131	903	2719	2943	133	0	207	0	0	0	277	320	0	0	0	0	0	258	195	101	0	0	107	155	561	0	713	977	0	951	504	0	325	580	235	713	413	505	687	414	596	826	958	0	148	0	0	2487	3019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	479	757	1058	705	0	0	464	0	0	177	0
Neurod4	403.911392	2268	2505	407	2314	2772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	367	0	352	649	0	1583	1116	0	365	526	251	533	283	299	549	518	586	607	682	0	0	0	0	3105	3419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	304	206	0	0	3216	1917	0	0	0
Gabrg2	403.911392	2268	2411	1126	2833	3047	0	0	0	0	0	0	0	0	0	0	0	0	0	67	192	0	0	0	0	0	174	0	466	742	0	1036	1029	0	502	357	0	339	107	358	453	231	336	503	665	0	0	0	0	2679	3206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	240	567	417	313	234	588	2481	1692	0	108	0
Dnajb5	402.658228	2535	2622	1629	1894	2144	0	0	0	0	0	0	0	0	0	0	0	0	0	83	143	0	0	218	100	0	259	0	327	583	0	915	465	0	240	321	293	440	172	367	534	461	528	391	498	0	0	0	0	2400	3016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	280	401	904	1320	2908	1857	0	312	0
Syt4	400.379747	1587	1797	1226	2591	2666	0	0	0	0	0	0	0	108	0	0	0	0	0	119	117	0	0	0	105	71	280	0	388	828	0	1268	943	0	336	289	247	225	140	0	284	283	311	481	608	0	0	0	0	3006	3655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	100	622	807	539	437	1007	2655	1221	0	154	0
Slc18a1	399.493671	2629	2937	1590	2773	3268	0	105	0	0	0	0	164	112	0	0	0	0	0	136	105	0	0	0	0	0	0	0	202	257	0	963	228	0	126	0	0	0	0	0	209	0	140	228	252	0	0	0	0	2676	3296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	839	1045	627	918	3184	2142	0	205	0
Atp6v1b2	399.493671	2629	2937	1590	2773	3268	0	105	0	0	0	0	164	112	0	0	0	0	0	136	105	0	0	0	0	0	0	0	202	257	0	963	228	0	126	0	0	0	0	0	209	0	140	228	252	0	0	0	0	2676	3296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	839	1045	627	918	3184	2142	0	205	0
Cdk5r2	399.202532	1712	2240	1414	2435	2593	0	0	84	0	0	0	215	202	0	0	0	0	0	0	0	0	0	0	142	181	284	0	581	784	0	895	662	0	399	514	326	640	411	415	555	388	543	577	680	0	0	0	0	2298	2521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	923	484	416	786	2572	1171	0	225	0
Scn8a	399.075949	2579	2857	1566	2762	3045	134	0	73	161	411	371	847	616	0	0	0	0	0	127	89	0	0	0	87	0	245	0	245	549	0	1106	707	0	409	172	214	362	130	137	321	210	285	330	310	0	0	0	0	1916	2580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	625	624	0	256	2293	1087	0	258	0
Tmem145	398.278481	2197	2431	1522	2494	2704	121	0	0	0	0	0	214	187	0	0	0	0	0	127	87	0	0	0	0	0	201	0	603	628	0	1052	920	0	347	421	195	242	278	274	569	228	413	476	672	0	111	0	0	2060	2726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	600	401	891	950	2114	1255	0	307	0
Lrrc24	397.189873	2125	2692	1339	2042	2623	0	0	0	0	0	0	217	99	0	0	0	0	0	147	0	0	0	155	0	0	340	0	545	907	0	857	617	0	373	365	202	622	275	264	558	327	310	714	1007	0	0	0	0	2523	2823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	824	830	263	503	2019	1173	0	453	0
C030006K11Rik	397.189873	2125	2692	1339	2042	2623	0	0	0	0	0	0	217	99	0	0	0	0	0	147	0	0	0	155	0	0	340	0	545	907	0	857	617	0	373	365	202	622	275	264	558	327	310	714	1007	0	0	0	0	2523	2823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	824	830	263	503	2019	1173	0	453	0
Bsn	395.455696	2442	2457	1015	2540	2621	0	0	0	0	239	0	128	311	0	0	0	0	0	163	165	0	0	179	0	169	0	0	749	636	0	533	240	0	319	353	278	352	205	315	767	208	400	1024	1101	0	255	0	0	2570	3194	0	0	110	0	122	151	0	0	0	0	0	0	0	0	0	0	0	0	0	222	213	1340	1005	212	298	1107	303	0	230	0
Celf5	395.316456	1785	1973	1561	2099	2484	0	0	0	0	0	0	0	0	0	0	0	0	0	130	225	0	0	0	171	169	167	0	612	956	0	1152	587	0	459	192	170	284	0	0	441	173	157	654	755	0	0	0	0	2676	2952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	237	643	700	491	859	1043	2233	1399	0	447	0
Amer3	393.784810	2538	2747	1155	3196	3567	0	0	0	0	0	0	98	137	0	0	0	0	0	113	198	0	100	0	144	185	116	0	367	494	0	792	332	0	158	363	115	488	294	360	606	452	564	589	607	0	111	0	0	2769	3533	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	117	358	699	801	162	383	703	134	0	368	0
Rab11fip4	391.974684	2212	2468	1598	2637	2918	0	0	0	0	0	0	0	0	0	0	0	0	0	88	157	0	0	0	0	0	344	0	502	817	0	1371	885	0	262	469	179	394	189	299	590	382	296	637	720	0	0	0	0	2086	2965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	310	331	293	474	2977	699	0	230	0
Pou4f2	390.303797	2451	3009	524	2920	3146	0	0	0	0	0	0	122	0	0	0	0	0	0	166	102	0	0	0	159	84	0	0	143	969	0	933	864	0	357	192	192	493	0	202	273	226	322	460	507	0	0	0	0	2875	2606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	149	162	0	434	3103	2144	0	299	0
Plch2	389.734177	1924	2127	1575	2433	2760	0	0	0	0	0	0	0	114	0	0	0	0	0	141	137	0	0	0	0	140	166	76	657	813	0	908	751	0	370	242	0	385	119	194	439	277	232	522	686	0	0	0	0	2391	2823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	619	297	767	1182	2580	1325	0	171	0
Crmp1	388.455696	2250	2237	1140	2292	2454	0	0	0	0	0	0	133	165	0	0	0	0	0	83	192	0	0	201	79	125	150	0	531	751	0	885	484	0	426	291	234	531	225	297	562	374	236	467	726	0	166	0	0	2039	2309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	235	589	939	572	510	538	2398	1438	0	299	0
Cplx3	388.189873	2083	2502	1398	2460	2623	0	0	0	0	0	0	139	149	0	0	0	0	0	171	225	0	0	0	88	0	247	0	491	643	0	793	396	0	199	223	0	291	127	143	467	198	238	447	637	0	150	0	0	2064	2729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	505	579	625	783	963	2506	1972	0	252	0
Kcns2	388.025316	2084	2474	1600	2550	3138	90	0	0	0	0	0	0	0	0	0	0	0	0	126	208	124	0	0	158	0	219	0	607	340	0	843	310	0	323	204	163	337	177	143	298	315	236	625	588	0	150	0	0	2174	2912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	504	754	437	0	343	2686	1752	0	547	0
Ghsr	386.607595	2725	2866	1346	3067	3320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	304	585	0	835	606	0	216	190	157	248	98	222	344	131	141	482	483	0	0	0	0	1958	2651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	523	274	215	631	810	3095	1626	0	133	0
Fgd2	386.253165	2404	2855	1440	2882	3109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	528	533	0	976	675	0	364	315	0	167	0	140	349	119	183	439	499	0	0	0	0	2041	2992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	242	818	1058	3267	1720	0	0	0
Gabrb3	383.582278	1736	1966	296	2763	3084	0	0	0	0	0	0	0	0	0	0	0	0	0	224	245	0	0	0	0	169	433	0	668	725	0	999	484	0	339	384	313	591	246	443	819	349	541	1011	1123	121	127	0	0	2794	3218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	235	749	903	587	0	0	1203	300	0	0	0
Unc80	383.215190	1749	1594	941	2544	2531	0	0	0	0	0	0	192	255	0	0	0	0	120	184	320	0	259	0	0	232	0	0	565	516	0	193	260	0	170	478	368	855	420	395	894	508	764	946	1242	0	158	0	0	2898	3380	0	0	82	0	84	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	1617	985	0	0	366	0	178	440	0
Sult4a1	380.632911	1832	1569	1405	2323	2638	0	0	0	0	0	0	0	0	0	0	0	0	0	144	208	0	0	0	68	185	161	0	479	610	0	554	512	0	261	173	0	192	0	152	322	140	217	608	716	0	0	0	0	2916	3433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	612	1097	574	568	1053	2263	1529	0	445	0
Dner	380.556962	2267	2561	1136	2630	3041	0	0	0	0	0	0	0	145	0	0	0	0	0	124	75	0	0	0	0	0	297	0	545	796	0	1100	676	0	470	302	206	501	177	0	508	430	415	406	424	0	91	0	0	2463	2965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	542	617	978	1181	1307	196	0	150	0
Rtn2	379.746835	2468	2636	1487	2647	2754	0	0	0	0	0	0	126	114	0	0	0	0	0	152	81	0	0	0	162	185	186	0	408	698	0	706	407	0	230	396	94	356	281	272	541	426	295	534	556	0	149	0	0	1828	2443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	635	486	980	1437	1725	572	0	275	0
Kcnk12	378.443038	2075	2249	1535	2594	2826	0	0	0	0	0	0	144	184	0	0	0	0	0	189	268	0	0	0	122	333	0	0	796	512	0	618	339	0	227	468	173	661	222	375	713	438	288	858	977	104	131	0	0	2205	2961	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	264	491	710	454	0	0	1253	222	160	640	0
Nxph1	378.088608	1693	1756	973	2616	2870	0	0	63	0	0	0	93	0	0	0	0	0	0	141	219	0	0	170	108	111	177	0	705	822	0	1001	483	0	380	554	251	458	336	457	749	442	532	905	967	121	106	0	0	2628	2932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	426	844	441	0	0	1395	257	0	491	0
Ppm1n	377.696203	2468	2636	1487	2647	2754	0	0	0	0	0	0	126	114	0	0	0	0	0	152	81	0	0	0	0	185	186	0	408	698	0	706	407	0	230	396	94	356	281	272	541	426	295	534	556	0	149	0	0	1828	2443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	635	486	980	1437	1725	572	0	275	0
Myt1	377.518987	1560	1726	1658	2059	2664	0	0	0	0	0	0	116	0	0	0	0	0	0	0	68	0	0	0	84	140	352	0	581	728	0	1266	857	0	261	318	209	308	196	292	489	266	417	572	645	0	0	0	0	2916	3528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	446	222	219	534	2433	1118	0	0	0
Ctbp1	376.569620	2676	2905	1003	2157	2352	0	0	0	0	0	0	321	179	0	0	0	0	0	67	0	0	0	183	0	0	131	0	199	253	0	448	142	0	135	240	0	267	0	171	377	324	136	431	450	0	0	0	0	2413	3158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650	419	720	892	2735	2231	209	775	0
Ntsr2	374.696203	1940	1935	1499	3004	3044	0	0	88	0	0	0	366	448	0	0	0	0	0	0	144	198	185	0	0	111	175	0	573	479	0	1063	461	0	354	381	213	537	327	316	603	262	299	713	705	0	137	0	0	2889	3482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	596	308	0	0	822	270	0	266	0
Fads1	373.189873	2665	3013	315	2883	3114	0	0	156	0	69	0	685	601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	705	82	0	122	176	0	275	135	170	335	163	222	0	180	0	0	0	0	1739	2655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1309	856	175	379	3120	2374	112	494	0
Pcbp3	373.126582	2179	2238	1586	2523	2718	0	0	0	0	0	0	143	126	0	0	0	0	0	0	115	0	0	0	0	125	0	0	314	772	0	807	480	0	211	363	0	220	98	172	375	191	284	537	772	0	0	0	0	2686	2486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	329	270	522	796	2931	1772	0	0	0
Bdnf	372.620253	2259	2553	1246	2458	2938	0	0	0	0	0	0	0	0	0	0	0	0	0	83	167	0	0	198	140	0	0	0	434	765	0	619	762	0	131	371	180	324	205	382	473	432	471	793	768	91	178	0	0	2482	2881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	140	557	603	422	0	284	1650	559	0	313	408
Fbxo41	372.101266	2245	2606	278	2597	2887	0	0	0	0	0	0	0	0	0	0	0	0	0	113	87	0	0	0	0	0	0	0	175	704	0	930	626	0	110	280	127	256	156	252	336	0	0	582	696	0	0	0	0	2190	2438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	151	473	220	795	1534	2907	2495	0	0	0
Wscd2	371.215190	2404	2635	1337	2936	3110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	312	0	623	769	0	793	598	0	352	344	188	324	243	272	516	328	395	604	657	0	0	0	0	2323	3201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	435	453	381	653	1449	162	0	0	0
Kcnj6	367.417722	1839	2268	1533	2455	2862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	300	0	164	0	257	767	0	713	792	0	356	217	0	235	150	214	435	98	220	363	317	0	0	0	0	2479	2680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	257	273	852	1214	2739	1204	0	0	0
Ptprn2	367.215190	1930	1770	943	3025	3052	0	0	0	0	0	0	441	320	0	0	0	0	174	259	215	0	156	0	194	232	139	0	463	303	0	557	277	0	243	384	146	335	124	227	497	172	255	649	655	0	120	0	0	3110	3488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	1119	860	0	0	1315	202	0	298	0
Cbln4	366.227848	527	493	815	1380	1446	0	0	0	0	0	0	239	0	0	0	0	0	0	240	208	0	0	0	0	98	214	0	996	1171	0	1035	802	0	450	599	439	759	420	590	566	673	566	1173	1219	146	206	0	0	2453	3203	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	129	692	795	621	0	0	2516	969	0	0	0
Zdhhc22	365.772152	1812	1713	1454	1628	1916	0	0	0	0	0	0	0	0	0	0	0	0	0	68	109	0	0	0	154	169	0	0	463	766	0	1070	1033	0	279	511	304	608	424	565	677	549	496	642	826	0	0	0	0	1922	2371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	507	342	529	682	2393	1513	0	192	0
Asmt	365.632911	499	517	310	537	519	460	213	266	259	172	233	227	307	0	0	0	0	281	404	318	266	0	0	97	248	0	0	342	303	351	291	402	312	392	504	513	378	545	527	478	463	437	698	533	624	390	625	867	416	464	694	702	660	745	763	795	757	795	893	836	0	0	0	0	0	0	0	0	109	277	366	906	972	392	508	366	361	0	0	0
Tmem179	364.569620	1438	1502	1223	2282	2456	0	0	0	0	0	0	0	0	0	0	0	0	0	174	320	0	0	0	144	140	0	0	682	815	0	1049	439	0	392	489	200	581	250	439	663	475	432	733	927	0	88	0	0	2613	3303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	137	292	622	667	473	541	1317	233	0	151	0
Otp	364.329114	2494	3094	477	2875	2998	0	0	0	0	0	0	0	0	0	0	0	0	0	116	110	0	0	0	0	0	0	0	318	744	0	461	448	0	144	248	173	221	176	0	439	119	320	408	563	0	0	0	0	1906	1768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	1036	1145	3337	2101	0	255	0
Rbfox1	363.113924	2526	2642	248	3272	3720	0	0	0	0	0	0	0	165	0	0	0	0	0	0	139	0	0	0	74	0	0	0	172	408	0	1232	583	0	297	173	0	231	0	205	219	140	0	440	553	0	0	0	0	1798	1671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	175	0	0	188	3864	3169	0	0	0
Prune2	362.367089	2272	2409	1545	2756	3031	0	0	0	0	0	0	0	0	0	0	0	0	0	95	92	0	0	0	0	98	168	0	526	726	0	953	394	0	269	255	250	412	235	391	549	258	230	736	868	0	0	0	0	2386	3088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	317	751	465	511	820	363	0	0	285	0
Olfr1336	361.531646	2250	2331	1364	2681	3040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	263	801	0	701	899	0	407	239	144	150	0	0	383	150	155	469	603	0	0	0	0	2267	2183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	201	171	659	906	2928	1848	0	0	0
Insm1	359.544304	2125	2357	1276	1876	2082	0	0	0	0	0	0	0	0	0	0	0	0	413	188	430	535	551	0	0	0	170	0	381	706	0	1062	712	0	361	144	166	343	271	116	242	344	130	429	648	0	0	0	0	2380	3078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	356	144	1052	1267	982	522	0	207	0
Gjd2	359.493671	2433	2523	841	2901	3080	0	0	0	0	0	0	0	0	0	0	0	0	0	82	97	0	0	0	83	0	0	0	265	771	0	759	873	0	184	121	0	186	0	313	460	244	247	594	462	0	0	0	0	1713	1340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	362	0	604	912	3057	2288	0	131	0
Madd	359.405063	2226	2290	1375	1238	1336	0	0	0	0	0	0	115	145	0	0	0	0	0	102	98	0	0	0	0	0	0	0	410	258	0	535	268	0	123	541	537	596	377	403	661	499	548	1017	1325	84	80	0	0	2342	2749	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623	390	340	597	2495	1168	0	299	0
Ncan	359.050633	2502	2274	442	2556	2998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	184	578	0	1119	954	0	406	196	0	216	125	143	250	241	119	301	342	0	0	0	0	2664	3057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	174	416	376	529	2457	2197	0	214	0
Vtn	359.037975	2180	2333	1246	2525	2567	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	272	670	0	899	830	0	398	319	189	336	193	292	564	349	417	517	675	0	0	0	0	2017	2218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	276	337	556	768	2421	1306	0	266	0
Sarm1	359.037975	2180	2333	1246	2525	2567	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	272	670	0	899	830	0	398	319	189	336	193	292	564	349	417	517	675	0	0	0	0	2017	2218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	276	337	556	768	2421	1306	0	266	0
6330409D20Rik	357.683544	1408	2206	1563	2323	2599	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	91	0	0	0	390	642	0	744	586	0	325	352	186	297	280	255	544	174	310	749	628	0	0	0	0	1898	2774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	211	99	410	693	3064	1969	0	230	0
Rap1gap2	357.670886	2634	2706	986	3044	3297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	761	0	845	631	0	0	221	158	194	164	233	426	291	129	556	691	0	0	0	0	2032	2765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3332	1826	0	171	0
Cdkn2b	356.911392	2148	2067	0	2708	3172	0	0	0	0	0	0	0	0	0	0	0	0	0	120	150	0	0	0	0	84	216	108	564	1081	0	1021	761	0	438	342	170	344	140	355	613	280	341	801	816	0	0	0	0	2479	3240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	422	129	0	0	2228	370	0	0	0
Acsl6	355.202532	2593	2578	1526	2712	3119	0	0	0	0	0	0	0	0	0	0	0	0	0	162	150	0	0	224	300	0	0	0	266	806	0	888	511	0	183	282	0	183	163	134	309	262	195	354	518	0	0	0	0	2061	1873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	552	585	2709	1344	0	231	0
Hcn1	353.886076	2706	2982	1041	2956	3113	0	0	0	0	0	0	134	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	253	589	0	556	766	0	170	257	106	279	0	195	325	173	200	320	406	0	0	0	0	1900	1774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	349	0	0	426	593	3091	1893	0	183	0
Olfm3	353.772152	2393	2624	1679	2831	2972	0	0	0	0	0	0	0	110	0	0	0	0	0	148	204	0	0	0	0	71	143	0	675	509	0	853	398	0	262	328	137	383	163	224	370	229	287	558	606	0	0	0	0	1844	2955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	449	197	234	238	1709	523	0	276	0
Cntnap2	352.303797	1690	2058	1182	2678	3005	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	199	0	456	553	0	543	589	0	183	322	148	196	0	253	405	219	282	632	694	0	0	0	0	1844	2135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	619	727	292	357	630	2808	1782	0	0	0
Kcnip2	350.797468	1917	1855	1415	2356	2656	0	0	0	0	0	0	149	168	0	0	0	0	0	0	150	0	0	0	0	0	254	0	352	332	0	821	311	0	157	249	117	557	273	201	379	336	498	341	499	0	0	0	0	2365	2880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628	489	131	279	2875	1503	0	220	0
Osbp2	348.924051	2096	2209	1387	2608	2880	0	0	0	0	0	0	87	0	0	0	0	0	0	239	216	0	0	159	108	216	0	0	785	325	0	348	200	0	164	320	233	508	219	300	581	361	520	994	1004	0	0	0	0	2303	2942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	198	893	471	0	0	1007	296	0	259	0
Znhit1	348.696203	1267	1300	1245	1132	1040	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	444	1095	621	151	0	493	557	0	858	309	0	300	613	367	715	363	635	760	486	506	1081	1114	75	140	0	0	2252	2761	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	399	316	295	557	1860	630	0	198	0
Plod3	348.696203	1267	1300	1245	1132	1040	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	444	1095	621	151	0	493	557	0	858	309	0	300	613	367	715	363	635	760	486	506	1081	1114	75	140	0	0	2252	2761	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	399	316	295	557	1860	630	0	198	0
Asic2	348.544304	1396	1630	1492	1811	2307	0	0	0	0	0	0	0	0	0	0	0	0	139	83	157	161	147	215	181	0	405	0	409	851	0	1091	930	0	243	213	0	414	186	360	387	207	221	594	673	0	0	0	0	1960	2872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	981	687	290	492	2343	730	0	0	0
Olfm1	347.075949	2118	2251	964	2427	2963	0	0	0	0	0	0	0	104	0	0	0	0	0	109	77	0	0	0	0	155	146	0	233	534	0	686	311	0	190	186	0	255	140	178	267	204	174	439	657	0	0	0	0	1724	2442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	319	482	794	952	2787	1712	0	168	0
Kcnq2	346.696203	1907	2045	1111	2388	2701	0	0	0	0	0	0	0	0	0	0	0	0	0	99	120	0	0	0	0	111	221	0	389	531	0	894	638	0	343	271	171	399	219	221	409	228	311	511	517	0	0	0	0	1521	2467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	483	466	464	584	2623	1638	0	116	0
Pfn3	346.620253	1155	1228	1108	978	1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	286	620	0	1070	286	0	223	768	712	1195	624	690	877	779	807	1132	1322	0	104	0	0	2335	2743	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	212	1070	1373	1777	451	0	0	0
Phactr1	346.607595	1456	1779	1294	2114	2598	0	0	0	0	0	0	0	0	0	0	0	0	0	91	161	0	0	0	0	0	0	0	526	701	0	1077	800	0	287	235	127	297	140	314	366	301	329	505	670	0	0	0	0	2309	2484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	801	463	162	418	2487	1471	0	179	0
