Target_genes	Atf7|Average	SRX520193|3T3-L1	SRX5088371|Testicular_germ_cells	SRX5088372|Testicular_germ_cells	SRX5088373|Testicular_germ_cells	SRX5088374|Testicular_germ_cells	SRX5088375|Testicular_germ_cells	SRX5088376|Testicular_germ_cells	SRX5088377|Testicular_germ_cells	SRX5088378|Testicular_germ_cells	DRX230417|Testis	DRX230418|Testis	DRX230419|Testis	DRX230420|Testis	DRX230421|Testis	DRX230422|Testis	DRX230423|Testis	DRX230424|Testis	DRX230425|Testis	STRING
Cnot9	202.500000	0	0	0	0	0	0	0	0	0	140	73	0	621	545	581	809	426	450	0
Ascc3	202.444444	0	0	0	0	0	0	0	0	0	127	102	109	406	589	638	530	580	563	0
Chd1	202.388889	0	0	0	0	0	0	0	0	0	112	94	0	501	717	359	570	615	675	0
Zdbf2	202.333333	0	0	0	0	0	0	0	0	0	0	93	86	480	657	542	521	622	641	0
Pknox1	201.444444	0	0	0	0	0	0	0	0	0	91	0	105	502	775	591	764	489	309	0
Hsp90aa1	201.000000	0	0	0	0	0	0	0	0	0	184	0	129	727	810	419	631	332	386	0
Dhx36	200.444444	157	0	0	0	0	0	0	0	0	111	111	77	568	577	575	722	345	365	0
Ranbp2	200.166667	133	0	0	0	0	0	0	0	0	196	122	133	339	652	583	606	452	387	0
Smim38	199.944444	0	0	0	0	0	0	0	0	0	0	0	109	594	874	581	525	466	450	0
Hnrnpdl	199.666667	0	0	0	0	0	0	0	0	0	0	0	85	447	689	371	675	890	437	0
Enoph1	199.666667	0	0	0	0	0	0	0	0	0	0	0	85	447	689	371	675	890	437	0
Csnk1d	198.944444	0	0	0	0	0	0	0	0	0	0	90	0	597	638	552	682	523	499	0
Pgap2	198.722222	0	0	0	0	0	0	0	0	0	148	152	106	642	652	497	511	343	526	0
Nup98	198.722222	0	0	0	0	0	0	0	0	0	148	152	106	642	652	497	511	343	526	0
Snrpa	198.444444	0	0	0	0	0	0	0	0	0	0	0	0	721	824	622	881	251	273	0
Pak2	198.444444	0	0	0	0	0	0	0	0	0	187	123	112	548	800	382	607	533	280	0
BC024978	198.444444	0	0	0	0	0	0	0	0	0	0	0	0	721	824	622	881	251	273	0
Lzts3	198.388889	0	0	0	0	0	0	0	0	0	0	0	0	516	638	534	756	523	604	0
Cox18	198.055556	221	0	0	0	0	0	0	0	0	97	113	182	591	594	532	663	234	338	0
Pkia	198.000000	0	0	0	0	0	0	0	0	0	0	0	167	591	573	564	669	557	443	0
Dusp3	198.000000	0	0	0	0	0	0	0	0	0	0	0	0	866	789	409	768	341	391	0
Cfap97d1	198.000000	0	0	0	0	0	0	0	0	0	0	0	0	866	789	409	768	341	391	0
Trmt10a	197.833333	0	0	0	0	0	0	0	0	0	0	89	128	745	685	546	586	293	489	0
Mttp	197.833333	0	0	0	0	0	0	0	0	0	0	89	128	745	685	546	586	293	489	0
Tprgl	197.722222	0	0	0	0	0	0	132	0	0	0	0	0	615	741	732	852	194	293	0
Hnrnpa2b1	197.500000	0	0	0	0	0	0	0	0	0	113	116	96	612	693	568	712	232	413	0
Cbx3	197.500000	0	0	0	0	0	0	0	0	0	113	116	96	612	693	568	712	232	413	0
Klf7	197.388889	0	0	0	0	0	0	0	0	0	0	67	89	609	685	591	659	403	450	0
Tmem87b	197.222222	166	0	0	0	0	0	0	0	0	0	114	137	489	472	535	705	479	453	0
Polr2m	197.055556	0	0	0	0	0	0	0	0	0	142	0	101	551	711	520	676	323	523	0
Wdr61	196.944444	0	0	0	0	0	0	0	0	0	0	188	154	370	535	558	631	521	588	0
Kifc1	196.777778	0	0	0	0	0	0	0	0	0	0	0	0	514	663	482	681	557	645	0
Rundc3b	196.555556	0	0	0	0	0	0	0	0	0	0	114	137	424	717	473	610	737	326	0
Sh3gl2	196.444444	0	0	0	0	0	0	0	0	0	125	86	157	534	522	475	628	615	394	0
Hlcs	196.111111	414	0	0	0	0	0	0	0	0	113	81	137	707	532	579	687	164	116	0
Evi5l	195.444444	0	0	0	0	0	0	0	0	0	72	0	120	773	674	882	701	107	189	0
Tcf25	195.111111	189	0	0	0	0	0	0	0	0	120	0	0	581	655	457	607	434	469	0
Mindy2	195.055556	0	0	0	0	0	0	0	0	0	106	113	133	398	622	434	461	771	473	0
Mrpl54	194.555556	0	0	0	0	0	0	0	0	0	0	0	0	554	751	754	644	482	317	0
Apba3	194.555556	0	0	0	0	0	0	0	0	0	0	0	0	554	751	754	644	482	317	0
Fscn1	194.388889	0	0	0	0	0	0	0	0	0	0	0	0	584	746	453	575	591	550	0
Cfap20	194.277778	0	0	0	0	0	0	0	0	0	189	89	108	537	563	599	662	358	392	0
Sdhb	194.222222	0	0	0	0	0	0	0	0	0	0	0	0	590	773	382	606	496	649	0
Uchl5	194.166667	0	0	0	0	0	0	0	0	0	169	147	122	638	569	526	551	359	414	0
Ro60	194.166667	0	0	0	0	0	0	0	0	0	169	147	122	638	569	526	551	359	414	0
Slc25a25	194.111111	271	0	0	0	0	0	0	0	0	89	0	0	1092	650	652	740	0	0	0
Nop16	193.888889	145	0	0	0	0	0	0	0	0	0	0	0	607	760	647	583	331	417	0
Higd2a	193.888889	145	0	0	0	0	0	0	0	0	0	0	0	607	760	647	583	331	417	0
Slc31a1	193.722222	0	0	0	0	0	0	0	0	0	0	153	145	487	767	536	567	442	390	0
Ppfia1	193.722222	0	0	0	0	0	0	0	0	0	0	105	111	521	644	472	678	539	417	0
Fkbp15	193.722222	0	0	0	0	0	0	0	0	0	0	153	145	487	767	536	567	442	390	0
Ube2m	193.611111	0	0	0	0	0	0	0	0	0	88	0	0	610	743	634	515	486	409	0
Chmp2a	193.611111	0	0	0	0	0	0	0	0	0	88	0	0	610	743	634	515	486	409	0
Pnpla3	193.555556	0	0	0	0	0	0	0	0	0	0	0	0	543	745	403	650	567	576	0
Pja2	193.111111	0	0	0	0	0	0	0	0	0	107	161	131	577	612	553	675	334	326	0
Ndel1	193.000000	0	0	0	0	0	0	0	0	0	125	106	139	353	530	689	765	388	379	0
Rpl22l1	192.333333	0	0	0	0	0	0	0	0	0	124	131	131	443	601	463	860	390	319	0
Cct4	192.166667	0	0	0	0	0	0	0	0	0	131	95	119	553	572	419	620	401	549	0
Cdv3	191.666667	0	0	0	0	0	0	0	0	0	100	102	120	597	665	621	613	264	368	0
Cbx8	191.166667	0	0	0	0	0	0	0	0	0	0	0	0	393	785	482	719	533	529	0
Il23a	191.055556	0	0	0	0	0	0	0	0	0	0	0	0	850	726	730	1133	0	0	0
Clptm1l	190.666667	0	0	0	0	0	0	0	0	0	0	99	148	381	577	728	680	365	454	0
Tesk1	190.444444	0	0	0	0	0	0	0	0	0	0	0	0	640	631	681	729	348	399	0
Rpl9	189.388889	121	0	0	0	0	0	0	0	0	0	0	98	558	692	541	789	301	309	0
Rogdi	189.388889	0	0	0	0	0	0	0	0	0	102	0	0	736	773	617	673	167	341	0
Lias	189.388889	121	0	0	0	0	0	0	0	0	0	0	98	558	692	541	789	301	309	0
Impdh2	189.222222	0	0	0	0	0	0	0	0	0	0	114	0	412	760	489	679	408	544	0
Elac2	189.222222	0	0	0	0	0	0	0	0	0	140	90	111	698	662	589	559	243	314	0
Trim52	189.111111	0	0	0	0	0	0	0	0	0	71	101	103	435	623	674	730	362	305	0
Eif4a1	189.111111	0	0	0	0	0	0	0	0	0	123	101	99	448	796	554	637	384	262	0
Stmn1	189.000000	0	0	0	0	0	0	0	0	0	129	0	146	470	507	477	534	649	490	0
Ppfibp1	188.888889	0	0	0	0	0	0	0	0	0	0	0	139	374	631	526	633	550	547	0
Maff	188.444444	0	0	0	0	0	0	0	0	0	0	0	0	485	689	605	477	501	635	0
Ctc1	188.444444	0	0	0	0	0	0	0	0	0	0	0	0	644	766	684	529	332	437	0
Umps	188.333333	0	0	0	0	0	0	0	0	0	0	141	88	593	627	627	685	270	359	0
Idi1	188.000000	0	0	0	0	0	0	0	0	0	153	111	150	396	507	450	693	514	410	0
Ralgapa1	187.888889	137	0	0	0	0	0	0	0	0	109	116	143	700	488	470	750	237	232	0
Gtpbp10	187.555556	128	0	0	0	0	0	0	0	0	0	93	167	440	599	507	595	427	420	0
Focad	187.388889	0	0	0	0	0	0	0	0	0	82	93	143	520	553	584	633	450	315	0
Casp8ap2	187.388889	0	0	0	0	0	0	0	0	0	103	93	171	640	604	488	700	336	238	0
Tubb2a	187.333333	0	0	0	0	0	0	0	0	0	0	0	0	448	722	451	646	575	530	0
Jmy	187.166667	0	0	0	0	0	0	0	0	0	0	72	106	534	763	484	585	362	463	0
Acsf3	187.000000	0	0	0	0	0	0	0	0	0	0	0	0	597	712	489	625	475	468	0
Sspn	186.611111	240	0	0	0	0	0	0	0	0	0	459	150	708	321	553	579	199	150	0
Syn1	186.555556	0	0	0	0	0	0	0	0	0	0	0	109	641	646	608	674	311	369	0
R3hdm2	186.388889	0	0	0	0	0	0	0	0	0	110	0	145	443	604	704	483	496	370	0
Xpnpep3	186.333333	0	0	0	0	0	0	0	0	0	0	141	0	577	675	476	804	267	414	0
St13	186.333333	0	0	0	0	0	0	0	0	0	0	141	0	577	675	476	804	267	414	0
Trnt1	186.111111	150	0	0	0	0	0	0	0	0	0	68	180	526	583	414	654	370	405	0
Gtf2a2	186.111111	0	0	0	0	0	0	0	0	0	129	121	162	433	552	399	579	442	533	0
Ormdl3	185.166667	0	0	0	0	0	0	0	0	0	92	0	75	406	597	482	599	561	521	0
Znhit2	185.111111	0	0	0	0	0	0	0	0	0	0	93	0	398	670	569	622	466	514	0
Mrpl49	185.111111	0	0	0	0	0	0	0	0	0	0	93	0	398	670	569	622	466	514	0
Fau	185.111111	0	0	0	0	0	0	0	0	0	0	93	0	398	670	569	622	466	514	0
Daam1	184.944444	0	0	0	0	0	0	0	0	0	0	116	0	597	630	530	734	331	391	0
Papola	184.833333	0	0	0	0	0	0	0	0	0	122	0	0	540	626	471	519	509	540	0
Mdm2	183.833333	156	0	0	0	0	0	0	0	0	125	84	106	427	510	442	390	468	601	0
Rbis	183.611111	0	0	0	0	0	0	0	0	0	94	0	0	679	607	530	658	346	391	0
Cry2	183.222222	0	0	0	0	0	0	0	0	0	0	70	91	493	753	555	667	293	376	0
Btbd9	183.222222	138	0	0	0	0	0	0	0	0	0	95	94	388	597	530	498	470	488	0
Morf4l1	182.833333	0	0	0	0	0	0	0	0	0	110	116	148	484	787	474	504	415	253	0
Alkbh5	182.833333	0	0	0	0	0	0	0	0	0	0	86	100	461	698	369	459	562	556	0
Zc3h4	182.777778	141	0	0	0	0	0	0	0	0	0	0	91	714	688	483	763	213	197	0
Cstf3	182.777778	0	0	0	0	0	0	0	0	0	81	111	140	442	569	626	680	329	312	0
Entpd4b	182.555556	0	0	0	0	0	0	0	0	0	136	138	210	425	471	428	539	501	438	0
Entpd4	182.555556	0	0	0	0	0	0	0	0	0	136	138	210	425	471	428	539	501	438	0
Dgat1	182.444444	127	0	0	0	0	0	0	0	0	94	0	0	443	679	441	716	317	467	0
Spata7	182.277778	0	0	0	0	0	0	0	0	0	0	107	143	540	499	538	713	360	381	0
Ing5	182.111111	0	0	0	0	0	0	0	0	0	160	112	0	442	653	619	744	243	305	0
Dtymk	182.111111	0	0	0	0	0	0	0	0	0	160	112	0	442	653	619	744	243	305	0
Dnajb9	181.888889	0	0	0	0	0	0	0	0	0	139	111	202	474	575	583	700	216	274	0
Kdm6b	181.555556	238	0	0	0	0	0	0	0	0	0	0	0	678	659	539	691	214	249	0
Taf4b	181.388889	0	0	0	0	0	0	0	0	0	0	85	110	625	602	510	539	348	446	0
Megf9	181.000000	0	0	0	0	0	0	0	0	0	0	133	139	515	687	554	608	232	390	0
Colgalt1	181.000000	269	0	0	0	0	0	0	0	0	131	0	0	449	534	521	667	347	340	0
Usp42	180.777778	0	0	0	0	0	0	0	0	0	111	117	0	367	544	423	486	696	510	0
Ythdc2	180.555556	0	0	0	0	0	0	0	0	0	117	0	126	522	648	344	550	492	451	0
Ogdh	180.500000	0	0	0	0	0	0	0	0	0	90	137	133	517	426	454	636	384	472	0
Pard6a	180.111111	0	0	0	0	0	0	0	0	0	0	0	0	565	648	552	712	375	390	0
Lrguk	180.111111	0	0	0	0	0	0	0	0	0	0	0	0	626	690	580	698	317	331	0
Acd	180.111111	0	0	0	0	0	0	0	0	0	0	0	0	565	648	552	712	375	390	0
Fam174a	179.777778	202	0	0	0	0	0	0	0	0	149	93	169	620	509	422	594	234	244	0
Tex45	179.722222	0	0	0	0	0	0	0	0	0	0	0	0	704	633	511	614	426	347	0
Pex11g	179.722222	0	0	0	0	0	0	0	0	0	0	0	0	704	633	511	614	426	347	0
Mlf1	179.500000	0	0	0	0	0	0	0	0	0	0	68	0	655	595	568	582	364	399	0
Fbxo48	179.500000	0	0	0	0	0	0	0	0	0	0	85	0	727	643	773	587	165	251	0
Appbp2	179.333333	0	0	0	0	0	0	0	0	0	107	123	96	419	651	488	555	374	415	0
Erf	179.222222	0	0	0	0	0	0	169	0	0	0	0	0	395	474	525	677	521	465	0
Naif1	179.055556	0	0	0	0	0	0	0	0	0	89	0	0	1092	650	652	740	0	0	0
Zfp963	179.000000	0	0	0	0	0	0	0	0	0	0	0	151	471	532	644	632	296	496	0
Clpb	179.000000	267	0	0	0	0	0	0	0	0	0	142	107	460	533	554	712	165	282	0
Gng7	178.666667	210	0	0	0	0	0	0	0	0	0	0	0	683	703	543	896	0	181	0
Stt3a	178.166667	0	0	0	0	0	0	0	0	0	157	113	98	678	571	602	708	84	196	0
Ltv1	177.722222	0	0	0	0	0	0	0	0	0	160	93	131	350	501	399	571	598	396	0
Ints7	177.388889	0	0	0	0	0	0	0	0	0	103	156	122	390	696	408	477	465	376	0
Dtl	177.388889	0	0	0	0	0	0	0	0	0	103	156	122	390	696	408	477	465	376	0
Pibf1	176.833333	0	0	0	0	0	0	0	0	0	196	101	149	395	634	406	504	391	407	0
Dis3	176.833333	0	0	0	0	0	0	0	0	0	196	101	149	395	634	406	504	391	407	0
Ccl27a	176.777778	0	0	0	0	0	0	0	0	0	0	0	0	858	576	694	575	275	204	0
Tmem97	176.166667	0	0	0	0	0	0	0	0	0	0	99	175	699	633	605	557	123	280	0
Ino80	176.000000	193	0	0	0	0	0	0	0	0	111	85	119	385	486	459	700	268	362	0
Parp2	175.777778	0	0	0	0	0	0	0	0	0	0	0	109	630	477	454	775	284	435	0
Tmem120b	175.666667	0	0	0	0	0	0	0	0	0	0	124	99	478	471	482	543	408	557	0
Bcl7b	175.277778	0	0	0	0	0	0	0	0	0	134	102	134	418	502	388	484	515	478	0
Ube2d3	175.111111	0	0	0	0	0	0	0	0	0	0	0	114	377	576	481	860	512	232	0
Rrp1	175.111111	121	0	0	0	0	0	0	0	0	84	0	75	526	550	464	560	300	472	0
Zfyve26	175.000000	0	0	0	0	0	0	0	0	0	0	0	0	696	744	539	712	231	228	0
Serf1	175.000000	0	0	0	0	0	0	0	0	0	122	77	124	560	657	518	522	306	264	0
Rad51b	175.000000	0	0	0	0	0	0	0	0	0	0	0	0	696	744	539	712	231	228	0
Bdp1	175.000000	0	0	0	0	0	0	0	0	0	122	77	124	560	657	518	522	306	264	0
Dctn4	174.944444	0	0	0	0	0	0	0	0	0	0	101	88	535	671	434	683	328	309	0
Khsrp	174.500000	0	0	0	0	0	0	0	0	0	108	0	95	570	767	611	518	243	229	0
Junb	174.444444	0	0	0	0	0	0	0	0	0	0	0	0	449	804	547	709	415	216	0
Tars	173.944444	0	0	0	0	0	0	0	0	0	109	126	89	590	553	568	529	273	294	0
Hexim2	173.888889	198	0	0	0	0	0	0	0	0	81	0	0	561	506	512	591	379	302	0
Rtn3	173.722222	0	0	0	0	0	0	0	0	0	105	89	87	367	670	476	656	313	364	0
Coq2	173.666667	0	0	0	0	0	0	0	0	0	119	0	117	513	492	387	501	387	610	0
Ccnt1	173.611111	0	0	0	0	0	0	0	0	0	0	0	108	424	508	482	576	459	568	0
4930415O20Rik	173.611111	0	0	0	0	0	0	0	0	0	0	0	108	424	508	482	576	459	568	0
Amd2	173.555556	0	0	0	0	0	0	0	0	0	0	0	92	394	755	494	651	450	288	0
Amd1	173.555556	0	0	0	0	0	0	0	0	0	0	0	92	394	755	494	651	450	288	0
Zfp367	173.166667	0	0	0	0	0	0	0	0	0	102	89	123	542	410	413	575	422	441	0
Timm8b	172.666667	0	0	0	0	0	0	0	0	0	0	113	83	428	638	641	627	333	245	0
Sdhd	172.666667	0	0	0	0	0	0	0	0	0	0	113	83	428	638	641	627	333	245	0
Snapc1	172.611111	0	0	0	0	0	0	0	0	0	82	105	120	358	495	493	646	415	393	0
Ahi1	172.611111	0	0	0	0	0	0	0	0	0	118	88	101	432	533	608	480	366	381	0
Zfyve21	172.388889	0	0	0	0	0	0	0	0	0	0	0	0	708	664	727	659	184	161	0
Xrcc3	172.388889	0	0	0	0	0	0	0	0	0	0	0	0	708	664	727	659	184	161	0
Rps9	172.388889	181	0	0	0	0	0	0	0	0	0	0	0	720	558	568	708	138	230	0
Slx4ip	172.333333	0	0	0	0	0	0	0	0	0	100	93	137	684	589	552	577	214	156	0
Mkks	172.333333	0	0	0	0	0	0	0	0	0	100	93	137	684	589	552	577	214	156	0
Srpr	172.222222	0	0	0	0	0	0	0	0	0	0	146	85	413	584	571	539	345	417	0
Sap130	172.222222	0	0	0	0	0	0	0	0	0	94	0	0	560	521	588	559	425	353	0
Foxred1	172.222222	0	0	0	0	0	0	0	0	0	0	146	85	413	584	571	539	345	417	0
Jak1	172.166667	0	0	0	0	0	0	0	0	0	0	0	119	482	663	664	496	376	299	0
Fam131a	172.111111	0	0	0	0	0	0	0	0	0	0	0	117	397	524	611	539	394	516	0
Cdk5rap3	171.666667	0	0	0	0	0	0	0	0	0	0	0	0	693	652	624	690	200	231	0
Ss18l2	171.500000	0	0	0	0	0	0	0	0	0	0	0	0	563	661	731	615	248	269	0
Tfg	171.444444	0	0	0	0	0	0	0	0	0	153	168	119	380	315	441	725	452	333	0
Yy1	171.277778	0	0	0	0	0	0	0	0	0	0	80	0	432	610	527	586	404	444	0
Vgf	171.166667	0	0	0	0	0	0	0	0	0	0	0	0	543	738	576	569	384	271	0
Snrpg	171.111111	0	0	0	0	0	0	0	0	0	0	89	129	577	528	578	483	370	326	0
Oaz1	171.055556	0	0	0	0	0	0	0	0	0	0	105	75	689	572	606	659	170	203	0
Tbck	171.000000	0	0	0	0	0	0	0	0	0	131	0	0	587	623	380	479	445	433	0
Dguok	171.000000	154	0	0	0	0	0	0	0	0	91	134	106	446	520	509	395	296	427	0
Aimp1	171.000000	0	0	0	0	0	0	0	0	0	131	0	0	587	623	380	479	445	433	0
Dst	170.666667	0	0	120	0	0	0	0	0	0	0	0	126	294	584	377	375	594	602	0
Bend6	170.666667	0	0	120	0	0	0	0	0	0	0	0	126	294	584	377	375	594	602	0
Gk5	170.388889	0	0	0	0	0	0	0	0	0	89	99	0	565	525	418	486	477	408	0
Mapk8	170.222222	0	0	0	0	0	0	0	0	0	189	129	120	377	541	460	350	437	461	0
Adipor1	169.833333	0	0	0	0	0	0	0	0	0	117	90	118	390	624	416	458	476	368	0
Ufsp2	169.777778	267	0	0	0	0	0	0	0	0	0	0	0	487	609	534	704	185	270	0
1700029J07Rik	169.777778	267	0	0	0	0	0	0	0	0	0	0	0	487	609	534	704	185	270	0
Srp19	169.500000	0	0	0	0	0	0	0	0	0	104	125	151	563	560	368	528	379	273	0
Efr3a	169.444444	0	0	0	0	0	0	0	0	0	164	110	213	340	564	485	517	386	271	0
Cep72	169.333333	0	0	0	0	0	0	0	0	0	0	97	0	285	567	466	503	564	566	0
Zmym2	169.222222	0	0	0	0	0	0	0	0	0	0	0	119	380	578	360	420	599	590	0
Mex3d	169.222222	0	0	0	0	0	0	99	0	0	0	0	0	312	544	303	547	642	599	0
Top1	168.944444	0	0	0	0	0	0	0	0	0	68	126	79	325	422	537	586	419	479	0
Samd8	168.611111	0	0	0	0	0	0	0	0	0	156	96	111	542	610	591	504	262	163	0
Dusp13	168.611111	0	0	0	0	0	0	0	0	0	156	96	111	542	610	591	504	262	163	0
Mars1	168.500000	0	0	0	0	0	0	0	0	0	0	0	0	530	696	522	583	353	349	0
Eif3d	168.277778	96	0	0	0	0	0	0	0	0	0	0	0	697	654	435	529	374	244	0
Stat3	167.444444	152	0	0	0	0	0	0	0	0	0	113	78	319	651	577	644	229	251	0
Habp4	167.055556	0	0	0	0	0	0	0	0	0	107	0	137	395	487	508	512	406	455	0
Hspa14	166.666667	0	0	0	0	0	0	0	0	0	71	120	133	539	659	465	459	222	332	0
Cep55	166.666667	0	0	0	0	0	0	0	0	0	0	152	153	232	443	420	567	563	470	0
Cdnf	166.666667	0	0	0	0	0	0	0	0	0	71	120	133	539	659	465	459	222	332	0
Phf8	166.611111	0	0	0	0	0	0	0	0	0	0	0	0	515	821	522	499	297	345	0
Abcf3	166.611111	0	0	0	0	0	0	0	0	0	94	0	0	364	620	516	771	306	328	0
Rsrp1	166.222222	0	0	0	0	0	0	0	0	0	111	91	105	442	434	454	582	378	395	0
Dnajc1	166.166667	0	0	0	0	0	0	0	0	0	136	174	132	460	410	410	575	328	366	0
Xkr6	166.055556	305	0	0	0	0	0	0	0	0	81	0	119	579	571	434	456	204	240	0
Canx	166.055556	0	0	0	0	0	0	0	0	0	160	121	104	469	650	420	655	161	249	0
Vps26a	165.944444	0	0	0	0	0	0	0	0	0	81	93	148	424	543	294	470	445	489	0
9530068E07Rik	165.888889	0	0	0	0	0	0	0	0	0	100	139	193	350	585	415	480	345	379	0
Laptm4b	165.777778	0	0	0	0	0	0	0	0	0	134	158	108	367	535	585	464	375	258	0
Tom1l2	165.666667	0	0	0	0	0	0	0	0	0	0	174	103	557	622	593	513	227	193	0
Drc3	165.666667	0	0	0	0	0	0	0	0	0	0	174	103	557	622	593	513	227	193	0
Noc4l	165.388889	0	0	0	0	0	0	0	0	0	0	0	0	421	699	510	431	524	392	0
Ddx51	165.388889	0	0	0	0	0	0	0	0	0	0	0	0	421	699	510	431	524	392	0
Rfc4	165.111111	124	0	0	0	0	0	0	0	0	102	113	173	345	460	356	556	445	298	0
Flad1	164.722222	0	0	0	0	0	0	0	0	0	0	0	0	855	694	598	818	0	0	0
Tinf2	164.500000	0	0	0	0	0	0	0	0	0	94	128	0	509	665	478	617	171	299	0
Prrc2c	164.500000	0	0	0	0	0	0	0	0	0	89	141	149	457	563	469	489	173	431	0
Fn1	164.444444	0	0	0	0	0	0	0	0	0	110	0	91	257	697	451	624	259	471	0
Snd1	164.333333	0	0	0	0	0	0	0	0	0	0	0	162	409	659	419	676	345	288	0
Nkrf	164.277778	153	0	0	0	0	0	0	0	0	0	0	0	576	621	461	612	280	254	0
Gli3	164.277778	0	0	0	0	0	0	0	0	0	115	130	131	427	530	304	447	435	438	0
Phospho2	164.222222	0	0	0	0	0	0	0	0	0	0	144	131	577	507	442	637	214	304	0
Ccdc173	164.222222	0	0	0	0	0	0	0	0	0	0	144	131	577	507	442	637	214	304	0
Rabgef1	164.111111	0	0	0	0	0	0	0	0	0	0	0	0	392	713	493	544	550	262	0
Mlh1	163.944444	0	0	0	0	0	0	0	0	0	77	77	101	494	641	520	541	225	275	0
Epm2aip1	163.944444	0	0	0	0	0	0	0	0	0	77	77	101	494	641	520	541	225	275	0
Ndc80	163.722222	0	0	0	0	0	0	0	0	0	0	0	117	401	427	569	473	501	459	0
Lztfl1	163.611111	0	0	0	0	0	0	0	0	0	182	0	143	421	707	448	554	180	310	0
Cep83	163.555556	0	0	0	0	0	0	0	0	0	94	126	115	527	345	422	416	421	478	0
Scg2	163.500000	0	0	0	0	0	0	0	0	0	0	0	0	671	573	442	704	336	217	0
Cnnm4	163.444444	0	0	0	0	0	0	0	0	0	0	0	0	392	443	467	616	561	463	0
Map9	163.111111	0	0	0	0	0	0	0	0	0	89	99	104	454	471	450	637	357	275	0
Ufsp1	163.055556	0	0	0	0	0	0	0	0	0	0	0	0	406	735	497	592	420	285	0
Adpgk	163.000000	0	0	0	0	0	0	0	0	0	170	111	212	348	561	249	612	362	309	0
Gls	162.944444	0	0	0	0	0	0	0	0	0	92	130	97	410	593	622	686	196	107	0
Uspl1	162.888889	0	0	0	0	0	0	0	0	0	0	142	102	465	484	449	491	454	345	0
Mvk	162.666667	0	0	0	0	0	0	0	0	0	0	0	0	491	642	543	610	290	352	0
Mmab	162.666667	0	0	0	0	0	0	0	0	0	0	0	0	491	642	543	610	290	352	0
Zfyve27	162.611111	0	0	0	0	0	0	0	0	0	79	84	122	422	439	522	391	533	335	0
Rnps1	162.611111	0	0	0	0	0	0	0	0	0	138	115	119	501	526	392	508	244	384	0
Lysmd3	162.388889	0	0	0	0	0	0	0	0	0	120	0	99	339	472	418	569	475	431	0
Ilvbl	162.055556	0	0	0	0	0	0	0	0	0	0	0	0	420	763	652	658	178	246	0
Tm9sf4	161.722222	0	0	0	0	0	0	0	0	0	0	99	0	637	572	471	606	248	278	0
Elavl1	161.666667	181	0	0	0	0	0	0	0	0	146	108	159	518	422	413	522	207	234	0
Dnpep	161.111111	0	0	0	0	0	0	0	0	0	0	0	126	451	500	664	493	334	332	0
Tmub2	160.777778	91	0	0	0	0	0	0	0	0	0	0	0	577	694	496	643	219	174	0
Map3k4	160.666667	104	0	0	0	0	0	0	0	0	98	83	191	421	479	399	501	248	368	0
Ppp1r15a	160.388889	0	0	0	0	0	0	0	0	0	0	0	95	549	476	573	589	325	280	0
Plekha4	160.388889	0	0	0	0	0	0	0	0	0	0	0	95	549	476	573	589	325	280	0
Mrm3	160.333333	0	0	0	0	0	0	0	0	0	75	0	125	448	445	478	523	409	383	0
Glod4	160.333333	0	0	0	0	0	0	0	0	0	75	0	125	448	445	478	523	409	383	0
Ppp1r12c	160.166667	0	0	0	0	0	0	0	0	0	0	0	111	429	642	360	572	435	334	0
Ahcyl1	160.166667	0	0	0	0	0	0	0	0	0	95	163	95	406	410	450	569	285	410	0
Trib1	160.055556	0	0	0	0	0	0	0	0	0	0	0	0	466	579	468	528	394	446	0
Adrm1	160.055556	0	0	0	0	0	0	131	0	0	85	0	128	458	481	335	439	496	328	0
Csde1	159.777778	0	0	0	0	0	0	0	0	0	165	0	79	381	540	534	465	345	367	0
Tbrg4	159.666667	0	0	0	0	0	0	0	0	0	0	0	89	567	526	458	421	375	438	0
Gabarapl2	159.611111	0	0	0	0	0	0	0	0	0	0	87	124	370	590	449	604	420	229	0
Tecpr1	159.388889	0	0	0	0	0	0	0	0	0	0	0	0	459	596	474	603	505	232	0
Rab10	159.166667	0	0	0	0	0	0	0	0	0	117	111	141	722	473	416	445	250	190	0
Ccna2	159.000000	0	0	0	0	0	0	144	0	0	133	109	108	517	404	422	345	330	350	0
Zmym5	158.888889	0	0	0	0	0	0	0	0	0	85	111	78	325	387	427	473	455	519	0
Tom1	158.888889	0	0	0	0	0	0	0	0	0	99	104	90	574	400	573	472	210	338	0
Srsf6	158.777778	0	0	0	0	0	0	0	0	0	83	105	110	468	557	412	418	380	325	0
Glcci1	158.777778	0	0	0	0	0	0	0	0	0	0	98	103	541	596	539	561	169	251	0
Nabp1	158.666667	0	0	0	0	0	0	0	0	0	0	136	154	343	371	547	523	423	359	0
Sumo2	158.611111	0	0	0	0	0	0	0	0	0	113	68	131	456	422	405	438	464	358	0
Zfand2b	158.444444	0	0	0	0	0	0	0	0	0	0	0	0	397	635	574	632	329	285	0
Oser1	158.111111	0	0	0	0	0	0	0	0	0	124	138	114	412	518	486	506	307	241	0
Atl2	158.111111	121	0	0	0	0	0	0	0	0	0	127	103	477	438	464	419	329	368	0
Etf1	157.888889	0	0	0	0	0	0	0	0	0	117	105	96	248	463	434	494	403	482	0
Zfp266	156.888889	0	0	0	0	0	0	0	0	0	0	0	90	443	604	500	559	302	326	0
