Target_genes	Elk1|Average	SRX10221012|3T3-L1	SRX10221013|3T3-L1	SRX10221014|3T3-L1	SRX10221015|3T3-L1	SRX9144796|3T3-L1	SRX9144797|3T3-L1	SRX7115524|Corpus_Striatum	SRX7115525|Corpus_Striatum	SRX1462209|MEF	SRX1462210|MEF	SRX1462211|MEF	SRX1462212|MEF	SRX1462213|MEF	SRX1462214|MEF	SRX1462215|MEF	SRX1462216|MEF	SRX1618614|MEF	SRX1618615|MEF-derived_neural_cells	SRX1618616|MEF-derived_neural_cells	SRX1618617|MEF-derived_neural_cells	SRX1618618|MEF-derived_neural_cells	SRX262793|NIH/3T3	SRX262794|NIH/3T3	SRX262795|NIH/3T3	SRX262796|NIH/3T3	STRING
Arf4	39.840000	0	0	0	0	0	234	375	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpp9	39.760000	0	135	125	216	140	0	188	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf3c4	39.720000	0	162	74	187	97	117	173	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx31	39.720000	0	162	74	187	97	117	173	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn2	39.720000	0	177	180	193	131	178	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zscan29	39.680000	0	123	0	125	154	203	179	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmx1	39.600000	0	0	0	0	126	94	451	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rmnd5b	39.600000	0	0	132	182	205	106	257	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acbd5	39.600000	0	0	0	0	0	150	513	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naa60	39.520000	0	0	0	87	155	130	443	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp4c	39.400000	0	0	0	0	125	271	387	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mea1	39.400000	0	159	0	227	135	183	181	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lemd3	39.400000	0	0	0	304	154	188	232	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc3	39.400000	0	159	0	227	135	183	181	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr76	39.360000	0	0	0	134	127	189	296	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mfap1a	39.360000	0	0	0	134	127	189	296	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbr4	39.360000	0	109	152	126	183	135	176	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nlrp10	39.240000	0	0	0	0	0	0	499	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nf1	39.240000	0	187	0	217	120	215	137	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif3f	39.240000	0	0	0	0	0	0	499	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmt5	39.200000	0	0	0	0	0	149	574	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc38a6	39.200000	0	0	0	0	0	149	574	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf216	39.160000	0	0	0	88	144	193	348	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Virma	39.080000	0	0	0	0	178	88	326	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttll4	39.080000	0	155	204	327	148	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vma21	39.040000	0	0	99	77	236	125	238	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smim40	39.000000	0	0	99	0	182	163	329	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Donson	39.000000	0	0	0	0	188	356	232	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daxx	39.000000	0	0	99	0	182	163	329	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmt44	38.960000	0	0	0	83	0	110	437	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc33a1	38.960000	0	0	0	0	97	186	367	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fra10ac1	38.960000	0	0	0	118	0	134	444	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb45	38.920000	0	0	0	255	173	136	284	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab11a	38.920000	0	135	0	0	198	304	194	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx50	38.920000	0	0	0	0	0	231	432	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap2s1	38.880000	0	0	0	99	0	115	495	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr3g	38.720000	0	0	0	157	111	273	236	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med18	38.720000	0	0	0	0	0	0	554	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mblac2	38.720000	0	0	0	157	111	273	236	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly6g5b	38.720000	0	0	0	0	200	365	239	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpank1	38.720000	0	0	0	0	200	365	239	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D17H6S53E	38.720000	0	0	0	0	200	365	239	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csnk2b	38.720000	0	0	0	0	200	365	239	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcl10	38.720000	0	0	0	98	170	201	220	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl20	38.680000	0	0	0	0	159	109	448	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2e2	38.680000	0	0	0	0	0	175	467	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam168b	38.680000	0	87	141	206	91	173	169	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp59	38.600000	0	91	0	145	163	209	152	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxw8	38.560000	0	0	157	161	111	0	316	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hacd2	38.520000	0	0	0	0	175	230	317	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avl9	38.520000	0	137	106	223	0	160	177	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps12	38.480000	0	0	0	0	145	0	527	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep295	38.440000	0	0	0	0	309	283	250	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r10	38.400000	0	0	0	0	107	221	327	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps18b	38.400000	0	0	0	0	107	221	327	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map2k7	38.400000	0	0	0	97	232	174	276	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bloc1s4	38.400000	0	89	0	173	171	156	198	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pomk	38.320000	0	0	0	96	386	299	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flot2	38.320000	0	227	0	196	222	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trappc8	38.240000	0	0	0	0	0	155	508	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrp8	38.200000	0	0	0	0	130	0	401	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilk	38.200000	0	0	0	0	130	0	401	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zscan20	38.160000	0	114	0	0	0	110	468	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smc1a	38.160000	0	0	121	98	201	279	152	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribc1	38.160000	0	0	121	98	201	279	152	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acvr2a	38.160000	0	79	148	133	100	119	220	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wasl	38.080000	0	0	0	0	268	292	194	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps16	38.040000	0	0	111	298	123	147	126	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pced1a	38.040000	0	0	111	298	123	147	126	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smim20	37.960000	0	129	162	291	174	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab1b	37.960000	0	0	163	179	135	263	84	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med26	37.960000	0	0	0	0	121	99	462	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyrm1	37.960000	0	0	0	0	132	293	375	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcun1d3	37.960000	0	0	0	0	132	293	375	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdhaf2	37.920000	0	116	82	146	166	176	161	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mta2	37.920000	0	0	112	226	157	166	164	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpsf7	37.920000	0	116	82	146	166	176	161	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccp110	37.880000	0	0	0	0	111	232	393	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ercc6	37.840000	0	154	180	175	131	0	168	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plpbp	37.800000	0	151	0	258	200	208	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mad2l1bp	37.760000	0	0	0	0	186	166	369	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tomm34	37.720000	0	91	0	130	100	183	309	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stk4	37.720000	0	91	0	130	100	183	309	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prkn	37.680000	0	0	0	0	176	242	304	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pacrg	37.680000	0	0	0	0	176	242	304	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa10	37.640000	0	0	0	0	175	366	246	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapkapk5	37.640000	0	0	0	0	0	0	455	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xrcc4	37.600000	0	0	0	0	97	213	295	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem167	37.600000	0	0	0	0	97	213	295	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmt10a	37.560000	0	0	0	154	204	173	235	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srfbp1	37.560000	0	0	0	0	138	266	294	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pced1b	37.560000	0	176	197	272	164	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mttp	37.560000	0	0	0	154	204	173	235	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl30	37.560000	0	0	0	0	0	0	544	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitd1	37.560000	0	0	0	0	0	0	544	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhx8	37.560000	0	0	0	0	0	119	531	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amigo2	37.560000	0	176	197	272	164	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dffb	37.480000	0	0	0	137	0	0	531	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep104	37.480000	0	0	0	137	0	0	531	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rspry1	37.440000	0	0	165	159	0	134	382	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psme3ip1	37.440000	0	0	165	159	0	134	382	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chchd5	37.400000	0	0	0	108	150	177	281	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lsg1	37.360000	0	0	0	101	211	186	233	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrriq3	37.360000	0	0	0	0	170	225	376	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fpgt	37.360000	0	0	0	0	170	225	376	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnbp	37.360000	0	94	0	95	149	227	160	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ufsp2	37.320000	0	0	83	0	194	207	301	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc37a3	37.320000	0	159	0	154	169	299	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rock1	37.320000	0	0	0	0	319	289	213	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab19	37.320000	0	159	0	154	169	299	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med11	37.320000	0	0	0	129	0	194	313	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jrk	37.320000	0	177	0	128	98	0	244	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029J07Rik	37.320000	0	0	83	0	194	207	301	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ern1	37.280000	0	72	0	298	128	205	131	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cant1	37.240000	0	0	0	0	0	236	294	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr4	37.200000	0	0	0	76	0	218	395	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adprh	37.160000	0	0	0	0	0	319	250	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem87a	37.120000	0	0	0	122	150	130	389	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ganc	37.120000	0	0	0	122	150	130	389	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa2	37.080000	0	168	0	275	290	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc91	37.080000	0	192	155	163	103	101	113	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brpf1	37.080000	0	0	0	0	136	359	266	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif16b	37.000000	0	0	0	0	285	202	276	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mbd2	36.840000	0	0	0	0	288	231	248	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccpg1os	36.840000	0	0	0	0	272	213	254	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccpg1	36.840000	0	0	0	0	272	213	254	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbp	36.760000	0	0	0	0	150	156	387	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rfesd	36.760000	0	0	0	0	134	140	337	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmb1	36.760000	0	0	0	0	150	156	387	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgb1bp1	36.760000	0	0	0	0	0	113	508	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpsf3	36.760000	0	0	0	0	0	113	508	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem9b	36.720000	0	0	95	150	217	174	184	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psen1	36.720000	0	0	0	209	184	192	138	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl40	36.720000	0	0	0	165	129	227	189	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hira	36.720000	0	0	0	165	129	227	189	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chmp3	36.720000	0	161	0	129	97	165	199	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp24	36.680000	0	111	0	219	0	221	241	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubxn1	36.680000	0	0	0	0	171	178	348	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppih	36.680000	0	0	0	0	0	215	338	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc10	36.640000	0	0	0	101	92	218	351	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp653	36.600000	0	102	0	0	0	183	348	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gmeb1	36.600000	0	0	0	0	250	233	262	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp974	36.560000	0	0	0	109	121	148	305	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppil3	36.560000	0	0	0	0	97	161	372	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nif3l1	36.560000	0	0	0	0	97	161	372	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tox4	36.520000	0	0	0	0	0	0	556	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab2b	36.520000	0	0	0	0	0	0	556	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nipbl	36.520000	0	218	0	75	85	129	193	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg5	36.520000	0	0	0	0	148	160	301	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smap2	36.480000	0	137	0	154	161	119	186	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl23	36.480000	0	93	0	113	0	199	262	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn7l3b	36.480000	0	134	60	154	106	99	151	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itm2c	36.440000	0	0	77	123	248	160	172	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nelfa	36.400000	0	0	0	0	0	121	477	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Golm1	36.400000	0	0	209	345	132	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncapg	36.320000	0	0	0	0	223	226	315	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx5	36.320000	0	0	0	0	269	349	167	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox7a2	36.320000	0	0	0	0	176	157	304	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep95	36.320000	0	0	0	0	269	349	167	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gabpb2	36.280000	0	0	0	103	112	0	325	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox5b	36.280000	0	0	0	0	186	119	359	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810058I24Rik	36.240000	0	0	0	0	0	224	305	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbccd1	36.200000	0	0	0	0	248	0	337	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb11	36.200000	0	0	0	0	248	0	337	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubg1	36.160000	0	0	0	0	0	96	463	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retreg3	36.160000	0	0	0	0	0	96	463	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ostc	36.160000	0	0	0	0	158	175	321	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem104	36.120000	0	0	0	0	0	0	538	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat9	36.120000	0	0	0	0	0	0	538	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btbd19	36.080000	0	0	0	0	158	180	355	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nup54	36.040000	0	0	0	0	95	170	393	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp687	36.000000	0	169	171	121	0	255	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim50	36.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	73	134	305	133	0	0	0	0	0
Lsm1	35.880000	0	124	100	214	172	163	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpt2	35.880000	0	117	0	0	269	391	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bag4	35.880000	0	124	100	214	172	163	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnps1	35.840000	0	0	100	179	151	160	199	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gabpb1	35.840000	0	100	80	103	116	99	210	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arih1	35.840000	0	0	0	0	147	255	248	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stard3	35.800000	0	150	90	150	235	0	123	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thap7	35.720000	0	0	0	0	145	209	285	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx17	35.680000	0	0	0	0	0	169	415	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif2b4	35.680000	0	0	0	0	0	169	415	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl8	35.600000	0	0	0	95	0	128	441	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf17	35.600000	0	0	0	95	0	128	441	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata5	35.560000	0	203	0	112	134	161	149	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nudt6	35.560000	0	203	0	112	134	161	149	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspscr1	35.560000	0	0	0	105	160	253	210	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Recql	35.520000	0	0	137	161	146	125	215	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prmt7	35.520000	0	0	0	117	172	139	304	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Golt1b	35.520000	0	0	137	161	146	125	215	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps29	35.480000	0	0	0	0	157	148	398	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rad9b	35.480000	0	0	0	0	157	148	398	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vezf1	35.440000	0	178	74	171	86	190	98	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdad1	35.440000	0	104	0	128	104	126	175	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsbp1	35.400000	0	0	0	0	252	197	284	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb26	35.360000	0	0	0	74	203	120	284	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp42	35.360000	0	0	0	150	113	163	265	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Use1	35.360000	0	0	0	0	129	162	289	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Timm23	35.360000	0	0	0	133	231	99	228	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rabgap1	35.360000	0	0	0	74	203	120	284	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parg	35.360000	0	0	0	133	231	99	228	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ocel1	35.360000	0	0	0	0	129	162	289	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nupl1	35.320000	0	0	100	0	0	124	450	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fosb	35.320000	0	436	0	0	0	341	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp3	35.280000	0	134	0	155	147	206	104	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wwtr1	35.280000	0	135	110	307	126	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5617	35.240000	0	0	0	0	67	175	406	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gltp	35.240000	0	133	144	111	181	138	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpsf1	35.240000	0	0	0	0	0	236	343	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thap4	35.160000	0	0	0	0	209	234	270	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl14	35.160000	0	110	0	132	139	204	168	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg4b	35.160000	0	0	0	0	209	234	270	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfkbil1	35.120000	0	0	0	0	0	95	489	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xpo5	35.080000	0	0	0	0	232	125	290	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vpreb1	35.080000	0	0	0	0	136	111	381	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
