Target_genes	Tcf3|Average	SRX1568859|B_cells	SRX1568860|B_cells	SRX1568861|B_cells	SRX1568862|B_cells	SRX1568867|B_cells	SRX1568868|B_cells	SRX142528|C2C12	SRX2348473|CD4_CD8_double_positive_cells	SRX1080393|Embryoid_Bodies	SRX9599934|Embryonic_liver	SRX9599937|Embryonic_liver	SRX9599940|Embryonic_liver	SRX9641189|EpiLC	SRX9641190|EpiLC	SRX9641191|EpiLC	SRX9641202|EpiLC	SRX9641203|EpiLC	SRX9641204|EpiLC	SRX9641218|EpiLC	SRX9641219|EpiLC	SRX9641220|EpiLC	SRX003870|ES_cells	SRX003871|ES_cells	SRX1080398|ES_cells	SRX3581842|ES_cells	SRX3581843|ES_cells	SRX9641170|ES_cells	SRX9641171|ES_cells	SRX9641172|ES_cells	SRX1117081|HAFTL	SRX1117082|HAFTL	SRX1117083|HAFTL	SRX1117084|HAFTL	SRX1117085|HAFTL	SRX323583|Hair_follicle_stem_cells	SRX7821127|Hematopoietic_progenitors	SRX7821128|Hematopoietic_progenitors	SRX7821129|Hematopoietic_progenitors	SRX310197|HPC-7	SRX3771849|Liver	SRX3771850|Liver	SRX310199|Mast_Cells	SRX150191|Myoblasts	SRX2348475|Natural_Killer_T-Cells	SRX2254825|Neural_Stem_Cells	SRX3195760|Neural_Stem_Cells	SRX3195761|Neural_Stem_Cells	SRX3195762|Neural_Stem_Cells	SRX3195763|Neural_Stem_Cells	SRX2162538|Pre-B_cells	SRX2162541|Pre-B_cells	SRX2162560|Pre-B_cells	SRX3868861|Pre-B_cells	SRX3868862|Pre-B_cells	SRX021889|Pro-B_cells	SRX021890|Pro-B_cells	SRX082175|Thymocytes	SRX082176|Thymocytes	SRX021893|T_cells	SRX1568863|Unclassified	SRX1568864|Unclassified	SRX1568865|Unclassified	SRX1568866|Unclassified	STRING
Ap4e1	51.714286	213	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	200	0	0	0	0	0	0	160	1797	0	131	0	0	0	0	0	0	0	0	178	0	0
Trim44	51.666667	177	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	572	704	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	280	0	0	0	0	0	0	102	573	0	0	0	0	0	0	0	0	140	0	164	0	0
Gsto1	51.650794	64	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	916	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	207	0	285	0	0
Glipr1	51.650794	709	0	394	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	793	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	180	325	133	0
Taco1	51.634921	130	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	613	0	0	0	406	291	180	0	734	0	0	0	0	0	0	0	0	104	0	188	0	0
Copz1	51.619048	68	0	211	195	0	0	0	0	93	0	152	178	0	0	0	0	0	0	0	0	0	0	0	127	147	214	0	0	0	0	0	183	226	0	0	0	0	0	258	0	0	0	214	0	0	0	0	116	0	0	0	0	185	264	180	0	0	0	0	108	0	133	0	0
Usp7	51.603175	545	0	230	0	0	0	0	436	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	377	203	0	0	0	0	0	0	0	0	218	0	302	0	0
Fam189a2	51.603175	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	1469	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smarca4	51.587302	244	0	0	0	118	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	135	165	0	0	0	0	0	0	0	0	268	0	0	0	152	0	0	0	86	0	0	0	124	139	0	262	390	0	0	0	0	0	0	0	0	163	0	195	0	0
Txn1	51.555556	536	0	131	0	0	0	0	681	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	193	124	0	0	0	0	0	0	0	354	0	481	0	0
Tab2	51.539683	141	0	194	0	0	0	0	0	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	880	157	347	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	104	0	0	0	0	0	322	129	0	0	0	0	0	0	0	161	0	187	0	0
Metap1	51.523810	626	0	143	0	166	0	113	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	175	0	0	0	0	0	0	195	231	0	0	0	0	0	0	0	0	386	0	509	107	0
Crk	51.523810	228	0	159	0	96	0	0	249	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	279	303	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	110	0	0	0	0	0	0	0	495	129	203	0	0	0	0	0	0	147	0	214	0	0
Lekr1	51.507937	367	0	0	0	0	0	128	327	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	142	352	382	373	0	112	0	0	0	0	0	0	0	0	163	0	252	0	0
1810013L24Rik	51.507937	165	0	132	0	0	0	175	0	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	120	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	446	0	0	104	217	259	153	211	98	0	0	0	0	0	0	0	0	157	0	153	0	0
Resf1	51.492063	421	0	244	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	239	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	194	363	0	0	0	93	0	0	0	0	270	0	404	100	0
Naa50	51.492063	173	0	0	0	0	0	199	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	267	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	72	0	294	228	0	210	0	193	0	0	0	0	165	0	255	130	0
Ltc4s	51.492063	111	0	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	146	0	108	0	0	0	0	0	0	107	198	300	959	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	136	0	0
Atp6v1a	51.492063	173	0	0	0	0	0	199	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	267	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	72	0	294	228	0	210	0	193	0	0	0	0	165	0	255	130	0
Snx12	51.476190	0	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	899	0	0	0	376	0	0	0	265	183	247	259	258	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpn12	51.476190	992	452	141	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	311	209	210	0	0
Mex3b	51.476190	378	0	0	0	80	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	755	0	211	155	77	139	252	0	0	0	0	0	0	0	0	134	0	392	0	0
Clec11a	51.476190	257	0	858	174	169	188	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	68	0	0	0	146	62	0	0	162	0	0	0	75	0	0	0	303	0	0	0	0	0	0	0	92	162	0	216	0	0
Chad	51.476190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	526	197	556	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	354	0	0	0	0	0	0
Srrm2	51.460317	291	0	225	0	90	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	79	0	0	0	136	0	0	0	126	0	0	0	121	114	149	0	217	0	454	82	0	0	0	0	0	288	0	178	0	0
Zdhhc21	51.444444	133	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	867	1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	90	423	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem88	51.444444	353	0	0	0	110	0	0	223	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0	0	0	228	0	0	0	83	0	0	0	451	0	0	0	0	0	0	0	0	234	0	524	165	0
Tent5c	51.428571	542	0	169	0	0	0	149	0	766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	216	0	369	0	0
Smap2	51.428571	252	0	91	0	0	0	111	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	244	0	0	0	145	196	0	181	545	0	0	0	0	0	0	0	0	167	0	213	0	0
Adora2a	51.428571	359	0	220	0	0	0	0	332	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	98	0	0	0	0	0	0	0	384	0	0	0	329	0	0	0	0	0	0	273	710	0	0	0	0	0	0	0	0	193	0	177	0	0
1810010H24Rik	51.428571	441	0	130	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	433	381	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	486	0	0	0	0	0	0	0	0	270	0	403	0	0
Sil1	51.412698	491	0	152	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	126	0	0	0	0	0	0	0	0	0	169	0	0	0	125	0	0	0	277	250	218	170	158	0	0	0	0	0	0	0	0	355	0	355	0	0
Pprc1	51.412698	85	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	651	855	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	109	0	0	0	135	195	113	80	268	0	0	0	0	0	0	0	0	89	0	106	0	0
Mylip	51.412698	107	0	0	0	0	0	241	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028	0	99	0	0	237	0	0	0	0	0	0	0	0	0	192	0	0	0	392	0	0	0	109	89	0	0	268	108	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc59	51.412698	290	0	0	0	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	0	0	0	385	0	0	0	245	71	138	125	432	0	0	0	0	0	0	0	0	117	0	162	0	0
Hip1	51.412698	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	162	0	148	213	0	0	0	0	0	149	0	0	0	0	0	0	0	188	0	89	94	317	411	404	0	320	0	125	0	0	0	0	0	0	0	0	103	0	0
Camkk2	51.412698	160	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	433	383	0	90	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805	0	0	0	0	0	0	0	0	87	0	242	0	0
Ube2g1	51.396825	393	0	104	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	372	0	90	0	132	148	0	350	287	0	0	0	0	0	0	0	0	163	0	335	0	0
Zfp516	51.380952	416	0	136	0	120	73	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	310	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	495	0	0
Zfp667	51.365079	464	0	184	0	0	0	148	163	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	126	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	528	0	0	0	0	96	0	128	155	0	0	0	116	0	0	0	120	212	0	244	0	0
Sp100	51.333333	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1410	1530	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cog1	51.333333	623	153	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	435	143	861	271	0
Rnaseh2b	51.317460	142	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	367	457	0	188	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	847	0	0	0	0	0	0	0	0	0	0	132	0	0
Stx6	51.285714	310	0	283	0	0	0	0	1380	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	104	0	0	0	69	0	0	142	161	0	0	0	0	0	0	0	0	161	0	143	0	0
Herc3	51.238095	707	0	139	0	0	0	193	160	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	90	0	290	117	0	0	0	0	0	0	0	0	254	0	384	116	0
Glis2	51.238095	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	124	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	1882	0	127	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mri1	51.206349	149	0	0	0	0	0	114	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	262	330	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	514	0	0	0	247	313	206	92	217	0	0	0	0	0	0	0	0	89	0	202	0	0
Mgst2	51.206349	1025	118	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	97	757	0	285	0	0	0	0	0	0	266	0	67	0	0
Lamp1	51.206349	406	0	98	0	0	0	160	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	103	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	313	0	0	0	0	0	0	175	297	0	0	0	0	0	0	0	0	246	0	337	0	0
Hmgb3	51.206349	166	0	134	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	619	981	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	128	0	0	0	0	0	0	0	0	128	0	164	0	0
Dclre1b	51.206349	356	0	0	0	0	0	0	0	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	128	130	0	0	529	0	0	0	0	0	0	0	0	349	0	270	0	0
Ap4b1	51.206349	356	0	0	0	0	0	0	0	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	128	130	0	0	529	0	0	0	0	0	0	0	0	349	0	270	0	0
Rab44	51.190476	626	0	0	0	0	0	258	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	552	0	0	0	212	0	0	0	0	0	0	383	0	0	0	0	187	90	0	0	277	0	0	0	0	0
Kirrel2	51.190476	376	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	268	383	877	589	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl24	51.174603	325	0	131	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	272	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	160	123	99	249	247	75	0	0	0	0	0	0	0	282	0	274	0	0
Diablo	51.174603	446	0	140	0	99	0	0	248	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	244	0	0	0	0	0	0	443	302	0	0	0	0	0	0	0	0	343	0	372	135	0
Psd3	51.158730	0	0	0	0	0	0	165	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	970	1156	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl45	51.158730	453	0	152	0	123	0	188	135	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	184	0	0	0	193	170	133	0	155	0	0	0	0	0	0	0	0	331	0	363	0	0
Plekhm2	51.142857	554	0	389	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	465	118	0	0	0	222	232	0	0	119	235	0	329	119	0
Them6	51.126984	380	0	0	0	120	0	294	678	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	165	171	0	0	0	95	0	0	0	111	235	0	299	0	0
Cacng2	51.111111	0	0	0	0	0	0	150	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	1814	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahnak2	51.111111	288	0	0	0	0	0	682	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	326	463	255	0	0	0	0	0	0	0	0	0	0	312	0	255	0	0
Cdc6	51.095238	420	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	624	0	0	191	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	141	162	0	190	69	0	0	0	0	0	215	0	278	0	0
E2f7	51.079365	218	0	83	0	0	0	0	348	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	208	389	0	0	0	125	129	0	0	0	227	0	286	134	0
Zc3h4	51.063492	147	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	131	0	0	118	530	329	334	406	199	268	129	0	0	0	0	0	0	121	0	0	0	0
Ift172	51.063492	554	0	0	0	215	275	0	155	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	109	174	139	0	0	0	0	0	112	0	0	0	0	448	0	457	165	0
Crebl2	51.063492	210	0	81	0	199	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	206	298	0	0	0	0	0	0	0	0	145	0	0	0	101	0	0	0	256	0	0	0	99	169	0	0	383	0	0	0	0	0	0	0	0	149	0	178	0	0
Olfr1034	51.047619	0	0	0	0	0	0	0	0	1175	0	0	0	0	0	252	0	167	119	0	0	0	0	0	1109	0	0	0	229	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a42	51.031746	126	0	0	0	0	0	0	0	429	0	0	0	0	198	176	0	0	0	0	0	0	0	0	397	0	225	0	158	222	0	0	0	0	0	130	0	0	0	0	0	0	0	118	0	544	0	0	0	0	0	119	0	0	0	0	0	0	0	0	91	0	282	0	0
Yod1	51.015873	415	0	0	0	0	0	0	158	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	119	95	112	208	513	0	0	0	107	0	0	0	0	409	0	333	0	0
Ripor2	51.015873	501	0	171	0	0	0	379	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	425	0	0	0	0	0	0	158	146	0	0	0	123	0	0	0	0	320	0	380	0	0
Fam131a	51.015873	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	179	190	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	211	872	843	470	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0
BC004004	51.015873	304	0	238	0	0	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	115	0	0	0	0	125	78	0	446	95	138	0	0	0	0	0	0	153	0	304	0	0
Pkd2l2	50.984127	635	0	109	0	0	0	108	319	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	0	0	0	525	0	579	148	0
Fan1	50.984127	626	0	180	0	291	206	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	205	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	578	0	581	0	0
Pole4	50.952381	143	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	132	435	540	356	139	450	0	0	0	0	0	0	0	0	105	0	124	0	0
Gnpnat1	50.952381	214	0	0	0	0	0	0	0	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	291	269	0	0	124	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	225	116	0	0	340	0	0	0	121	0	0	0	0	213	0	303	0	0
Tm2d3	50.936508	315	0	0	0	91	0	127	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	641	0	0	0	0	0	0	266	308	0	0	0	142	0	0	0	97	299	0	337	109	0
4930519F16Rik	50.936508	0	0	0	0	0	0	0	0	679	0	0	0	0	87	187	0	0	0	0	0	0	0	0	230	915	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saxo2	50.920635	342	0	424	159	0	0	0	163	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	246	138	0	0	107	66	0	0	350	0	0	0	96	0	0	0	0	357	0	423	0	0
Efl1	50.920635	342	0	424	159	0	0	0	163	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	246	138	0	0	107	66	0	0	350	0	0	0	96	0	0	0	0	357	0	423	0	0
Cdkn2aip	50.920635	303	0	93	0	0	0	0	0	832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	0	92	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	103	0	0	0	98	0	0	0	559	0	0	0	0	0	0	0	0	176	0	370	0	0
Thrap3	50.904762	288	0	116	0	79	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	367	0	0	0	253	185	178	262	274	0	0	0	0	0	0	0	0	148	0	280	0	0
Entpd5	50.888889	263	0	128	0	0	0	0	252	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	251	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	159	0	218	127	0	0	0	0	0	227	0	378	0	0
Bcl2a1a	50.888889	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	89	0	1288	557	693	0	146	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bbof1	50.888889	263	0	128	0	0	0	0	252	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	251	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	159	0	218	127	0	0	0	0	0	227	0	378	0	0
Tprkb	50.873016	84	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	160	219	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	322	0	169	117	313	247	193	0	503	0	0	0	0	0	0	0	0	122	0	119	0	0
Sapcd2	50.873016	484	0	0	0	0	0	0	171	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	231	119	0	0	0	0	430	0	0	0	70	86	0	491	227	0	0	0	121	0	0	0	0	194	0	356	0	0
Pabpc4	50.873016	409	0	221	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	148	0	0	0	0	0	0	0	0	0	183	0	0	0	432	0	0	0	0	0	0	154	348	0	0	0	0	0	0	0	0	303	0	262	0	0
Nyap1	50.873016	504	0	150	0	0	0	179	612	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	110	0	0	0	0	0	113	282	121	0	0	0	117	0	0	0	129	271	0	206	0	0
Mon1b	50.873016	316	0	134	0	0	0	481	148	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	539	0	0	0	0	0	0	0	514	167	0	0	0	0	0	0	0	162	0	300	0	0
Zbtb14	50.841270	466	0	191	0	0	0	227	0	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	129	0	0	0	0	274	276	0	0	0	0	0	0	0	0	338	0	418	0	0
Rp9	50.841270	307	0	102	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	112	139	121	70	513	148	0	0	0	192	102	0	0	0	280	0	291	97	0
