Target_genes	Gli2|Average	SRX1115335|Cerebellum	SRX3176061|Embryonic_gut	SRX3176062|Embryonic_gut	SRX1115331|Embryonic_head	SRX1115332|Embryonic_limb	SRX4083166|Embryonic_stomach	SRX1115333|Embryonic_trunk	SRX1973367|ES_cells	SRX1973381|ES_cells	SRX24427287|Medulloblastoma	SRX3884257|Medulloblastoma	SRX3884258|Medulloblastoma	SRX3884264|Medulloblastoma	SRX3884265|Medulloblastoma	SRX1618619|MEF	SRX1618620|MEF-derived_neural_cells	SRX1618621|MEF-derived_neural_cells	SRX1618622|MEF-derived_neural_cells	SRX1618623|MEF-derived_neural_cells	STRING
Eri2	24.157895	0	0	0	0	0	0	0	311	148	0	0	0	0	0	0	0	0	0	0	0
Fermt1	24.105263	0	0	0	0	0	0	0	273	185	0	0	0	0	0	0	0	0	0	0	0
2010315B03Rik	24.105263	0	0	0	0	0	0	0	359	99	0	0	0	0	0	0	0	0	0	0	0
Nwd2	24.000000	0	0	0	0	0	0	0	319	137	0	0	0	0	0	0	0	0	0	0	0
Trim36	23.894737	0	0	0	0	0	0	0	298	156	0	0	0	0	0	0	0	0	0	0	0
Gm14124	23.894737	0	0	0	0	0	0	0	313	141	0	0	0	0	0	0	0	0	0	0	0
Ccdc175	23.894737	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	0	0	0	0	0
Slc7a2	23.842105	0	0	0	0	0	0	0	270	183	0	0	0	0	0	0	0	0	0	0	0
Plekhg2	23.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	397	0	0
Cyp2a22	23.842105	0	0	0	0	0	0	0	317	136	0	0	0	0	0	0	0	0	0	0	0
Gabre	23.789474	0	0	0	0	0	0	0	331	121	0	0	0	0	0	0	0	0	0	0	0
Zscan12	23.736842	0	0	0	0	0	0	0	291	160	0	0	0	0	0	0	0	0	0	0	0
Zc2hc1b	23.736842	0	0	0	0	0	0	0	346	105	0	0	0	0	0	0	0	0	0	0	0
Slc44a5	23.736842	0	0	0	0	0	0	0	451	0	0	0	0	0	0	0	0	0	0	0	0
Slc43a3	23.684211	0	0	0	0	0	0	0	313	137	0	0	0	0	0	0	0	0	0	0	0
Nrl	23.684211	0	0	0	0	0	0	0	302	148	0	0	0	0	0	0	0	0	0	0	0
Mroh9	23.684211	0	0	0	0	0	0	0	335	115	0	0	0	0	0	0	0	0	0	0	0
Btg3	23.684211	0	0	0	0	0	0	0	324	126	0	0	0	0	0	0	0	0	0	0	0
Pkib	23.631579	0	0	0	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0
Gm94	23.631579	0	0	0	0	0	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0
Zcchc9	23.578947	0	0	0	0	0	0	0	278	170	0	0	0	0	0	0	0	0	0	0	0
Tmem114	23.578947	0	0	0	0	0	0	0	353	95	0	0	0	0	0	0	0	0	0	0	0
4933428M09Rik	23.578947	0	0	0	0	0	0	0	329	119	0	0	0	0	0	0	0	0	0	0	0
Echs1	23.473684	0	0	0	0	0	0	0	268	178	0	0	0	0	0	0	0	0	0	0	0
Olfr317	23.421053	0	0	0	0	0	0	0	265	180	0	0	0	0	0	0	0	0	0	0	0
Itgad	23.421053	0	0	0	0	0	0	0	312	133	0	0	0	0	0	0	0	0	0	0	0
Slc25a53	23.368421	0	0	0	0	0	229	0	0	0	215	0	0	0	0	0	0	0	0	0	0
Stxbp5l	23.315789	0	152	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steap1	23.315789	0	0	0	0	0	0	0	313	130	0	0	0	0	0	0	0	0	0	0	0
Samt3	23.210526	0	0	0	0	0	0	0	218	223	0	0	0	0	0	0	0	0	0	0	0
Park7	23.210526	0	0	0	0	0	264	0	0	0	177	0	0	0	0	0	0	0	0	0	0
Psmb3	23.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	196	0	0
Pcgf2	23.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	196	0	0
Ces5a	23.157895	0	0	0	0	0	0	0	314	126	0	0	0	0	0	0	0	0	0	0	0
Abca8b	23.157895	0	0	0	0	0	0	0	301	139	0	0	0	0	0	0	0	0	0	0	0
Kansl3	23.105263	0	0	0	0	0	0	0	291	148	0	0	0	0	0	0	0	0	0	0	0
Fer1l5	23.105263	0	0	0	0	0	0	0	291	148	0	0	0	0	0	0	0	0	0	0	0
Rpain	23.000000	0	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	0	0	0
Mup3	23.000000	0	0	0	0	0	0	0	267	170	0	0	0	0	0	0	0	0	0	0	0
Satl1	22.947368	0	0	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0
Cpb1	22.947368	0	0	0	0	0	0	0	291	145	0	0	0	0	0	0	0	0	0	0	0
Serpinb9c	22.894737	0	0	0	0	0	0	0	299	136	0	0	0	0	0	0	0	0	0	0	0
Prp2	22.894737	0	0	0	0	0	0	0	327	108	0	0	0	0	0	0	0	0	0	0	0
Wbp4	22.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	77	0
Mlip	22.842105	0	0	0	0	0	0	0	312	122	0	0	0	0	0	0	0	0	0	0	0
Elf1	22.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	77	0
Ahi1	22.789474	0	0	0	0	0	0	0	304	129	0	0	0	0	0	0	0	0	0	0	0
Vmn1r254	22.736842	0	0	0	0	0	0	0	308	124	0	0	0	0	0	0	0	0	0	0	0
Vmn1r244	22.736842	0	0	0	0	0	0	0	308	124	0	0	0	0	0	0	0	0	0	0	0
Tex14	22.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	183	0
Tmem106c	22.684211	0	0	0	0	0	0	0	306	125	0	0	0	0	0	0	0	0	0	0	0
Syap1	22.684211	0	0	0	0	0	0	0	275	156	0	0	0	0	0	0	0	0	0	0	0
Olfr971	22.684211	0	0	0	0	0	0	0	241	190	0	0	0	0	0	0	0	0	0	0	0
Cd1d2	22.684211	0	0	0	0	0	0	0	260	171	0	0	0	0	0	0	0	0	0	0	0
Olfr596	22.631579	0	0	0	0	0	0	0	335	95	0	0	0	0	0	0	0	0	0	0	0
Ivd	22.631579	0	0	0	0	0	0	0	246	184	0	0	0	0	0	0	0	0	0	0	0
Scmh1	22.578947	0	0	0	0	0	0	0	293	136	0	0	0	0	0	0	0	0	0	0	0
Gm1110	22.578947	0	0	0	0	0	0	0	293	136	0	0	0	0	0	0	0	0	0	0	0
Alas2	22.578947	0	0	0	0	0	0	0	281	148	0	0	0	0	0	0	0	0	0	0	0
Tyw3	22.526316	0	0	0	0	0	0	0	291	137	0	0	0	0	0	0	0	0	0	0	0
Syt4	22.526316	0	0	0	0	0	0	0	302	126	0	0	0	0	0	0	0	0	0	0	0
Mtmr11	22.526316	0	0	0	0	0	0	0	291	137	0	0	0	0	0	0	0	0	0	0	0
Fam71f2	22.526316	0	0	0	0	0	0	0	291	137	0	0	0	0	0	0	0	0	0	0	0
Cryz	22.526316	0	0	0	0	0	0	0	291	137	0	0	0	0	0	0	0	0	0	0	0
Acsl6	22.526316	0	0	0	0	0	0	0	302	126	0	0	0	0	0	0	0	0	0	0	0
Rdh11	22.421053	0	0	0	0	0	0	0	305	121	0	0	0	0	0	0	0	0	0	0	0
Abca13	22.421053	0	0	0	0	0	0	0	299	127	0	0	0	0	0	0	0	0	0	0	0
Ubr3	22.368421	0	0	0	0	0	0	0	294	131	0	0	0	0	0	0	0	0	0	0	0
Olfr212	22.368421	0	0	0	0	0	0	0	252	173	0	0	0	0	0	0	0	0	0	0	0
Lyzl1	22.315789	0	0	0	0	0	0	0	295	129	0	0	0	0	0	0	0	0	0	0	0
Gm6040	22.315789	0	0	0	0	0	0	0	319	105	0	0	0	0	0	0	0	0	0	0	0
Kir3dl1	22.263158	0	0	0	0	0	0	0	318	105	0	0	0	0	0	0	0	0	0	0	0
Dusp10	22.263158	0	0	0	0	0	0	0	318	105	0	0	0	0	0	0	0	0	0	0	0
1700056E22Rik	22.263158	0	0	0	0	0	0	0	318	105	0	0	0	0	0	0	0	0	0	0	0
Robo3	22.210526	0	0	0	0	0	0	0	296	126	0	0	0	0	0	0	0	0	0	0	0
Itgb6	22.210526	0	0	0	0	0	0	0	234	188	0	0	0	0	0	0	0	0	0	0	0
Olfr509	22.105263	0	0	0	0	0	0	0	298	122	0	0	0	0	0	0	0	0	0	0	0
Nfkbiz	22.105263	0	0	0	0	0	0	0	302	118	0	0	0	0	0	0	0	0	0	0	0
Anks3	22.000000	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930451G09Rik	22.000000	0	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msrb2	21.947368	0	0	0	0	0	0	0	302	115	0	0	0	0	0	0	0	0	0	0	0
Teddm2	21.894737	0	0	0	0	0	0	0	281	135	0	0	0	0	0	0	0	0	0	0	0
Hsdl2	21.894737	0	0	0	0	0	0	0	266	150	0	0	0	0	0	0	0	0	0	0	0
Olfr209	21.842105	0	0	0	0	0	0	0	265	150	0	0	0	0	0	0	0	0	0	0	0
Olfr207	21.842105	0	0	0	0	0	0	0	265	150	0	0	0	0	0	0	0	0	0	0	0
Vmn2r118	21.789474	0	0	0	0	0	0	0	304	110	0	0	0	0	0	0	0	0	0	0	0
Spta1	21.789474	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0
Coq2	21.789474	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0
Adipoq	21.789474	0	0	0	0	0	0	0	309	105	0	0	0	0	0	0	0	0	0	0	0
Adh6a	21.736842	0	0	0	0	0	0	0	281	132	0	0	0	0	0	0	0	0	0	0	0
Tmem259	21.684211	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	293	0	0
Rs1	21.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	208	0	0
Olfr1008	21.631579	0	0	0	0	0	0	0	308	103	0	0	0	0	0	0	0	0	0	0	0
Cxxc4	21.631579	0	0	0	0	0	0	0	285	126	0	0	0	0	0	0	0	0	0	0	0
Rdm1	21.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	183	0
Zfp623	21.526316	0	0	0	0	0	0	0	254	155	0	0	0	0	0	0	0	0	0	0	0
Spaca7	21.526316	0	0	0	0	0	0	0	248	161	0	0	0	0	0	0	0	0	0	0	0
Adh4	21.526316	0	0	0	0	0	0	0	247	162	0	0	0	0	0	0	0	0	0	0	0
Sec61g	21.473684	0	0	0	0	0	0	0	324	84	0	0	0	0	0	0	0	0	0	0	0
Ppp2r5a	21.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	223	0
Lrrtm2	21.473684	0	0	174	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab28	21.421053	0	0	0	0	0	0	0	244	163	0	0	0	0	0	0	0	0	0	0	0
Olfr668	21.421053	0	0	0	0	0	0	0	270	137	0	0	0	0	0	0	0	0	0	0	0
Med16	21.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0
Ceacam1	21.421053	0	0	0	0	0	0	0	270	137	0	0	0	0	0	0	0	0	0	0	0
Olfr1040	21.368421	0	0	0	0	0	0	0	291	115	0	0	0	0	0	0	0	0	0	0	0
Tpte	21.315789	0	0	0	0	0	0	0	271	134	0	0	0	0	0	0	0	0	0	0	0
Ror1	21.315789	0	0	0	0	0	0	0	281	124	0	0	0	0	0	0	0	0	0	0	0
Prkg1	21.315789	0	0	0	0	0	0	0	299	106	0	0	0	0	0	0	0	0	0	0	0
Impdh1	21.315789	0	0	0	0	0	0	0	283	122	0	0	0	0	0	0	0	0	0	0	0
Ppa2	21.263158	0	0	0	0	0	0	0	265	139	0	0	0	0	0	0	0	0	0	0	0
Commd6	21.210526	0	0	0	0	0	0	0	288	115	0	0	0	0	0	0	0	0	0	0	0
Kif20b	21.157895	0	0	0	0	0	0	0	250	152	0	0	0	0	0	0	0	0	0	0	0
Gpatch4	21.157895	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1247	21.105263	0	0	0	0	0	0	0	287	114	0	0	0	0	0	0	0	0	0	0	0
Ptms	21.052632	0	0	147	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrap2	21.052632	0	0	0	0	0	0	0	294	106	0	0	0	0	0	0	0	0	0	0	0
Anks1b	21.052632	0	0	0	0	0	0	0	240	160	0	0	0	0	0	0	0	0	0	0	0
1810037I17Rik	21.052632	0	0	0	0	0	0	0	278	122	0	0	0	0	0	0	0	0	0	0	0
Spdya	21.000000	0	0	0	0	0	0	0	248	151	0	0	0	0	0	0	0	0	0	0	0
9230019H11Rik	21.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	181	92	0
Zfp148	20.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	209	0
Csn3	20.947368	0	0	0	0	0	0	0	250	148	0	0	0	0	0	0	0	0	0	0	0
Shoc1	20.894737	0	0	0	0	0	0	0	266	131	0	0	0	0	0	0	0	0	0	0	0
Vnn3	20.789474	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	0	0
Fnip2	20.789474	0	0	0	0	0	0	0	294	101	0	0	0	0	0	0	0	0	0	0	0
Cma2	20.789474	0	0	0	0	0	0	0	258	137	0	0	0	0	0	0	0	0	0	0	0
Tube1	20.684211	0	0	0	0	0	0	0	259	134	0	0	0	0	0	0	0	0	0	0	0
Sult2a8	20.684211	0	0	0	0	0	0	0	275	118	0	0	0	0	0	0	0	0	0	0	0
Fam229b	20.684211	0	0	0	0	0	0	0	259	134	0	0	0	0	0	0	0	0	0	0	0
Emc2	20.684211	0	0	0	0	0	0	0	308	85	0	0	0	0	0	0	0	0	0	0	0
Cep162	20.631579	0	0	0	0	0	0	0	277	115	0	0	0	0	0	0	0	0	0	0	0
Trak2	20.578947	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1513	20.578947	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0
Oas1h	20.578947	0	0	0	0	0	0	0	267	124	0	0	0	0	0	0	0	0	0	0	0
Grem2	20.578947	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0
Gbp9	20.578947	0	0	0	0	0	0	0	282	109	0	0	0	0	0	0	0	0	0	0	0
5830411N06Rik	20.578947	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0
Olfr190	20.368421	0	0	0	0	0	0	0	255	132	0	0	0	0	0	0	0	0	0	0	0
Zp2	20.315789	0	0	0	0	0	0	0	281	105	0	0	0	0	0	0	0	0	0	0	0
Trim75	20.315789	0	0	0	0	0	0	0	249	137	0	0	0	0	0	0	0	0	0	0	0
Mtmr1	20.315789	0	0	0	0	0	0	0	302	84	0	0	0	0	0	0	0	0	0	0	0
Vmn1r207	20.263158	0	0	0	0	0	0	0	270	115	0	0	0	0	0	0	0	0	0	0	0
Snrpn	20.263158	0	0	0	0	0	0	0	260	125	0	0	0	0	0	0	0	0	0	0	0
Map3k7	20.263158	0	0	0	0	0	0	0	270	115	0	0	0	0	0	0	0	0	0	0	0
Gba	20.263158	0	0	0	0	0	0	0	245	140	0	0	0	0	0	0	0	0	0	0	0
Adam21	20.263158	0	0	0	0	0	0	0	254	131	0	0	0	0	0	0	0	0	0	0	0
Zfp184	20.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	154	118	0
Nlrp1b	20.210526	0	0	0	0	0	0	0	256	128	0	0	0	0	0	0	0	0	0	0	0
Aadacl2fm1	20.210526	0	0	0	0	0	0	0	163	221	0	0	0	0	0	0	0	0	0	0	0
Usp40	20.157895	0	0	0	0	0	0	0	257	126	0	0	0	0	0	0	0	0	0	0	0
Rdh16f2	20.157895	0	0	0	0	0	0	0	257	126	0	0	0	0	0	0	0	0	0	0	0
Kcnj8	20.157895	0	166	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erdr1	20.105263	0	0	0	0	0	0	0	112	0	270	0	0	0	0	0	0	0	0	0	0
Taf12	20.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	128	0
Tent5c	20.000000	0	0	0	0	0	0	0	220	160	0	0	0	0	0	0	0	0	0	0	0
Gm3264	20.000000	0	0	0	0	0	0	0	291	89	0	0	0	0	0	0	0	0	0	0	0
Tpbpb	19.947368	0	0	0	0	0	0	0	246	133	0	0	0	0	0	0	0	0	0	0	0
Rhox12	19.947368	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0
Prkcq	19.947368	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0
Ppme1	19.947368	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0
Olfr68	19.947368	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0
Nat8f6	19.947368	0	0	0	0	0	0	0	281	98	0	0	0	0	0	0	0	0	0	0	0
Gpr52	19.947368	0	0	0	0	0	0	0	243	136	0	0	0	0	0	0	0	0	0	0	0
Gm1966	19.947368	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0
Gm14325	19.947368	0	0	0	0	0	0	0	253	126	0	0	0	0	0	0	0	0	0	0	0
Esp24	19.947368	0	0	0	0	0	0	0	276	103	0	0	0	0	0	0	0	0	0	0	0
Ckap2l	19.947368	0	0	0	0	0	0	0	277	102	0	0	0	0	0	0	0	0	0	0	0
C2cd3	19.947368	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0
Zmym3	19.894737	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0
Tenm4	19.894737	0	0	0	0	0	0	0	230	148	0	0	0	0	0	0	0	0	0	0	0
Pde4d	19.894737	0	0	0	0	0	0	0	260	118	0	0	0	0	0	0	0	0	0	0	0
Olfr192	19.894737	0	0	0	0	0	0	0	259	119	0	0	0	0	0	0	0	0	0	0	0
Nono	19.894737	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0
H3c8	19.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	246	0	0
Car8	19.894737	0	0	0	0	0	0	0	239	139	0	0	0	0	0	0	0	0	0	0	0
Olfr937	19.842105	0	0	0	0	0	0	0	253	124	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	19.842105	0	0	0	0	0	0	0	282	95	0	0	0	0	0	0	0	0	0	0	0
Zfp985	19.736842	0	0	0	0	0	0	0	249	126	0	0	0	0	0	0	0	0	0	0	0
Rad51ap2	19.736842	0	0	0	0	0	0	0	200	0	175	0	0	0	0	0	0	0	0	0	0
Mc2r	19.736842	0	0	0	0	0	0	0	253	122	0	0	0	0	0	0	0	0	0	0	0
Gm13570	19.736842	0	0	0	0	0	0	0	260	115	0	0	0	0	0	0	0	0	0	0	0
Zfp607b	19.631579	0	0	174	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D630039A03Rik	19.631579	0	0	0	0	0	0	0	291	82	0	0	0	0	0	0	0	0	0	0	0
Ptpn4	19.578947	0	0	0	0	0	0	0	227	145	0	0	0	0	0	0	0	0	0	0	0
Pifo	19.578947	0	0	0	0	0	0	0	211	161	0	0	0	0	0	0	0	0	0	0	0
Dynlt3	19.578947	0	0	0	0	0	0	0	267	105	0	0	0	0	0	0	0	0	0	0	0
Ugt1a5	19.368421	0	0	0	0	0	0	0	258	110	0	0	0	0	0	0	0	0	0	0	0
Gm53057	19.368421	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	0
Defb40	19.368421	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	0
Cd163l1	19.368421	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	0
Unc80	19.315789	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0
Nudt16	19.315789	0	0	0	0	0	0	0	230	137	0	0	0	0	0	0	0	0	0	0	0
Gm12789	19.315789	0	0	0	0	0	0	0	254	113	0	0	0	0	0	0	0	0	0	0	0
Olfr1180	19.263158	0	0	0	0	0	0	0	240	126	0	0	0	0	0	0	0	0	0	0	0
Mageb2	19.263158	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0
Mageb1	19.263158	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0
9330159F19Rik	19.263158	0	0	0	0	0	0	0	145	221	0	0	0	0	0	0	0	0	0	0	0
Rundc3b	19.210526	0	0	0	0	0	0	0	256	109	0	0	0	0	0	0	0	0	0	0	0
Gm3488	19.210526	0	0	0	0	0	0	0	210	0	155	0	0	0	0	0	0	0	0	0	0
Gm2832	19.210526	0	0	0	0	0	0	0	242	123	0	0	0	0	0	0	0	0	0	0	0
Impg2	19.105263	0	0	0	0	0	0	0	271	92	0	0	0	0	0	0	0	0	0	0	0
Zfp981	19.000000	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0
Sgcg	18.947368	0	0	0	0	0	0	0	240	120	0	0	0	0	0	0	0	0	0	0	0
Nek10	18.947368	0	0	0	0	0	0	0	159	201	0	0	0	0	0	0	0	0	0	0	0
Ggcx	18.947368	0	0	0	0	0	0	0	254	106	0	0	0	0	0	0	0	0	0	0	0
Zfp964	18.894737	0	0	0	0	0	0	0	248	111	0	0	0	0	0	0	0	0	0	0	0
Tsks	18.894737	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0
Pudp	18.894737	0	0	0	0	0	0	0	232	127	0	0	0	0	0	0	0	0	0	0	0
Cd48	18.842105	0	0	0	0	0	0	0	204	154	0	0	0	0	0	0	0	0	0	0	0
Rapgef1	18.789474	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0
Prkch	18.789474	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0
Olfr16	18.789474	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0
Myt1	18.789474	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0
Hivep3	18.789474	0	0	0	0	0	0	0	136	221	0	0	0	0	0	0	0	0	0	0	0
Golim4	18.789474	0	0	0	0	0	0	0	220	137	0	0	0	0	0	0	0	0	0	0	0
Cwf19l2	18.789474	0	0	0	0	0	0	0	220	137	0	0	0	0	0	0	0	0	0	0	0
Tex13c3	18.736842	0	0	0	0	0	0	0	191	165	0	0	0	0	0	0	0	0	0	0	0
Il6	18.736842	0	0	0	0	0	0	0	215	141	0	0	0	0	0	0	0	0	0	0	0
Serpine3	18.684211	0	0	0	0	0	0	0	240	115	0	0	0	0	0	0	0	0	0	0	0
Olfr684	18.684211	0	0	0	0	0	0	0	260	95	0	0	0	0	0	0	0	0	0	0	0
Olfr1356	18.684211	0	0	0	0	0	0	0	241	114	0	0	0	0	0	0	0	0	0	0	0
Fer	18.684211	0	0	0	0	0	0	0	270	85	0	0	0	0	0	0	0	0	0	0	0
Cyp4a29	18.684211	0	0	0	0	0	0	0	260	95	0	0	0	0	0	0	0	0	0	0	0
Olfr936	18.578947	0	0	0	0	0	0	0	216	137	0	0	0	0	0	0	0	0	0	0	0
Olfr692	18.578947	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0
Tubgcp5	18.473684	0	0	0	0	0	0	0	204	147	0	0	0	0	0	0	0	0	0	0	0
Polr3e	18.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	196	0	0
Afp	18.473684	0	0	0	0	0	0	0	230	121	0	0	0	0	0	0	0	0	0	0	0
Rftn2	18.368421	0	0	0	0	0	0	0	231	118	0	0	0	0	0	0	0	0	0	0	0
Papss2	18.368421	0	0	0	0	0	0	0	219	130	0	0	0	0	0	0	0	0	0	0	0
Olfr204	18.368421	0	0	0	0	0	0	0	273	76	0	0	0	0	0	0	0	0	0	0	0
Ros1	18.315789	0	0	0	0	0	0	0	234	114	0	0	0	0	0	0	0	0	0	0	0
Ccr5	18.315789	0	0	0	0	0	0	0	200	148	0	0	0	0	0	0	0	0	0	0	0
Prss37	18.263158	0	0	0	0	0	0	0	211	136	0	0	0	0	0	0	0	0	0	0	0
Dytn	18.263158	0	0	0	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0
Svs6	18.210526	0	0	0	0	0	0	0	256	90	0	0	0	0	0	0	0	0	0	0	0
S100a8	18.210526	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0
Rrm1	18.210526	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r3g	18.210526	0	0	0	0	0	0	0	249	97	0	0	0	0	0	0	0	0	0	0	0
Pir	18.210526	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0
Olfr988	18.210526	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0
Olfr73	18.210526	0	0	0	0	0	0	0	237	109	0	0	0	0	0	0	0	0	0	0	0
Olfr107	18.210526	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0
Nemf	18.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	140	0
Mtif2	18.210526	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0
Eqtn	18.210526	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0
Olfr872	18.157895	0	0	0	0	0	0	0	230	115	0	0	0	0	0	0	0	0	0	0	0
Elavl4	18.157895	0	0	0	0	0	0	0	240	105	0	0	0	0	0	0	0	0	0	0	0
Yy1	18.052632	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp9b	18.052632	0	0	0	0	0	0	0	172	171	0	0	0	0	0	0	0	0	0	0	0
Olfr486	18.000000	0	0	0	0	0	0	0	228	114	0	0	0	0	0	0	0	0	0	0	0
Il21	17.894737	0	0	0	0	0	0	0	196	144	0	0	0	0	0	0	0	0	0	0	0
Acss3	17.894737	0	0	0	0	0	0	0	218	122	0	0	0	0	0	0	0	0	0	0	0
Spint5	17.842105	0	0	0	0	0	0	0	237	102	0	0	0	0	0	0	0	0	0	0	0
Olfr601	17.842105	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0
Magea10	17.842105	0	0	0	0	0	0	0	204	135	0	0	0	0	0	0	0	0	0	0	0
Gid8	17.842105	0	0	0	0	0	212	0	127	0	0	0	0	0	0	0	0	0	0	0	0
Ttc1	17.789474	0	0	0	0	0	0	0	220	118	0	0	0	0	0	0	0	0	0	0	0
Ctsq	17.789474	0	0	0	0	0	0	0	227	111	0	0	0	0	0	0	0	0	0	0	0
Vmn1r76	17.736842	0	0	0	0	0	0	0	206	131	0	0	0	0	0	0	0	0	0	0	0
Olfr653	17.736842	0	0	0	0	0	0	0	200	137	0	0	0	0	0	0	0	0	0	0	0
Ugt1a1	17.684211	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0
Nr1d2	17.684211	0	0	0	0	0	200	0	136	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb3	17.684211	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0
Paqr8	17.631579	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1446	17.631579	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0
