Target_genes	Stat5b|Average	SRX3067395|CD4+_T_cells	SRX3067396|CD4+_T_cells	SRX3067405|CD4+_T_cells	SRX3067406|CD4+_T_cells	SRX3067407|CD4+_T_cells	SRX3067408|CD4+_T_cells	SRX3067401|CD8+_T_cells	SRX3067402|CD8+_T_cells	SRX041331|Dendritic_Cells	SRX041332|Dendritic_Cells	SRX041333|Dendritic_Cells	SRX187509|Mammary_cells	SRX187514|Mammary_cells	SRX3006598|Spleen	SRX3006599|Spleen	SRX3006600|Spleen	SRX3006601|Spleen	SRX041281|Th1_Cells	SRX191131|Th9	SRX353400|Th9	SRX353401|Th9	SRX353404|Th9	SRX353405|Th9	SRX041284|T_cells	SRX041285|T_cells	SRX132013|T_cells	SRX132016|T_cells	SRX132019|T_cells	SRX132022|T_cells	STRING
Ap1m1	33.586207	0	0	0	143	0	129	0	0	0	239	165	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0
Med13	33.551724	0	275	93	144	217	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0
Cdc42se2	33.551724	0	0	0	0	0	158	0	0	0	495	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab18	33.517241	0	0	0	113	0	0	0	0	0	159	0	483	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr84	33.517241	0	0	0	0	0	0	0	0	0	536	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3012	33.482759	0	0	0	0	0	0	0	0	0	0	0	808	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10413	33.482759	0	0	0	0	0	0	0	0	0	0	0	808	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhx57	33.448276	0	0	0	83	0	99	0	0	0	557	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apom	33.448276	0	0	0	126	102	0	0	0	0	377	199	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0
Usp3	33.413793	0	0	115	135	0	333	0	0	0	0	0	0	0	0	127	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdhb	33.413793	0	0	0	0	0	0	0	0	0	0	0	616	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsd11b2	33.413793	0	0	0	0	0	0	0	0	0	627	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr132	33.413793	0	0	180	0	0	0	0	0	0	415	262	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0
Bnip2	33.413793	0	311	0	166	0	128	0	0	0	242	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samsn1	33.379310	0	0	0	0	166	0	0	0	0	523	191	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0
Nup98	33.379310	0	0	0	113	0	119	0	0	0	457	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgals3	33.344828	0	439	0	0	0	0	0	0	0	245	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map3k5	33.310345	0	0	219	156	139	73	0	0	0	257	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pxk	33.275862	0	0	0	223	0	0	0	0	0	407	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0
Mob3c	33.241379	0	0	0	0	0	0	0	0	0	591	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Creb1	33.241379	0	0	0	138	0	162	0	0	0	341	228	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0
Avl9	33.241379	0	0	0	107	0	143	0	0	0	431	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx20	33.206897	0	0	0	0	0	0	0	0	0	576	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasip1	33.172414	0	0	0	0	0	149	0	200	175	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Qsox1	33.172414	0	0	0	0	0	0	0	0	0	396	223	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enpp4	33.172414	0	0	0	0	0	111	0	0	0	0	0	698	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6ap2	33.172414	0	0	0	0	0	0	0	0	0	576	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc39a2	33.137931	0	213	0	0	0	0	0	0	0	195	274	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0
Khdrbs1	33.137931	0	0	0	112	222	0	0	0	0	403	95	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0
H2bc4	33.137931	0	0	0	0	0	0	0	0	0	636	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rassf2	33.103448	0	0	0	0	0	0	0	0	0	517	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Traf2	33.068966	0	0	149	132	0	113	0	0	0	377	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa7	33.068966	0	128	0	123	0	0	0	0	0	473	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf44	33.034483	0	0	0	131	0	75	0	0	0	373	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desi2	33.034483	0	0	108	112	0	0	0	0	0	144	0	0	0	0	0	0	219	0	0	0	0	184	191	0	0	0	0	0	0	0
Cpsf1	33.034483	0	0	120	319	93	229	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0
Zfp947	32.965517	0	326	193	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D830030K20Rik	32.965517	0	0	0	0	0	0	0	0	0	0	0	956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Camk4	32.965517	0	260	225	145	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raf1	32.931034	0	256	0	161	0	105	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	216	0	0	0	0	0	0	0	0
Thrsp	32.896552	0	0	0	0	0	0	0	0	0	0	0	539	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgav	32.896552	0	0	0	185	0	113	0	0	0	487	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccng1	32.896552	0	0	236	114	473	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim54	32.862069	0	0	0	0	0	0	0	0	0	660	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pum2	32.862069	0	161	0	130	0	121	0	0	0	228	142	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0
Gm12248	32.862069	0	0	0	0	0	0	0	0	0	198	0	0	0	0	142	0	428	0	0	0	0	185	0	0	0	0	0	0	0	0
Kti12	32.827586	0	0	221	133	181	104	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0
Sult2b1	32.793103	0	0	0	0	0	0	0	0	0	620	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rcc1l	32.793103	0	326	208	129	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malt1	32.793103	0	0	0	0	0	99	0	0	0	503	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc12a6	32.758621	0	258	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	192	0	0	0	0	0	0	0	0
Ccl22	32.689655	0	0	0	0	0	0	0	0	0	546	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capn5	32.689655	0	0	0	72	0	0	0	0	0	0	0	308	329	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0
Exoc7	32.655172	0	0	164	113	349	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	169	0	0	0	0	0	0	0	0
Zfp341	32.586207	0	0	0	174	0	297	0	0	0	0	0	208	132	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0
Pnpo	32.586207	0	0	116	0	142	0	0	0	0	285	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0
Uxs1	32.517241	0	0	0	80	0	0	0	0	0	545	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata13	32.517241	0	0	156	0	217	0	0	0	0	170	234	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Podnl1	32.517241	0	0	159	226	271	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0
Tmem156	32.482759	0	228	0	0	99	0	0	0	0	421	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smim22	32.448276	0	0	0	0	0	0	0	0	0	492	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2rx7	32.413793	0	149	411	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v0a4	32.413793	0	459	162	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0
Zfp384	32.344828	0	0	102	381	140	212	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfkbil1	32.344828	0	0	0	0	0	0	0	0	0	158	104	311	94	0	0	0	120	0	0	0	0	0	0	0	0	0	151	0	0	0
Gbp8	32.344828	0	125	187	0	214	0	0	0	0	101	85	0	0	0	0	0	110	0	116	0	0	0	0	0	0	0	0	0	0	0
Cd200r1	32.344828	0	132	0	0	0	0	0	0	0	333	184	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0
Atp6v1g2	32.344828	0	0	0	0	0	0	0	0	0	158	104	311	94	0	0	0	120	0	0	0	0	0	0	0	0	0	151	0	0	0
Slc25a19	32.241379	0	0	0	0	0	0	0	0	0	523	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnih4	32.206897	0	0	0	247	0	92	0	0	0	418	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Son	32.172414	0	203	0	88	175	0	0	0	0	0	0	0	0	0	177	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm36712	32.172414	0	203	0	88	175	0	0	0	0	0	0	0	0	0	177	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0
Gart	32.172414	0	203	0	88	175	0	0	0	0	0	0	0	0	0	177	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0
B4galt3	32.137931	0	0	0	0	0	0	0	0	0	598	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ripk4	32.103448	0	342	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	126	0	0	0	0	0	0	0	0
Dennd1a	32.103448	0	0	0	0	0	86	0	0	0	457	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs3	32.068966	0	0	0	0	0	0	0	0	0	324	0	373	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fmnl2	32.034483	0	0	0	0	0	0	0	0	0	530	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp1	32.034483	0	0	0	117	175	121	0	0	0	148	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0
Rgs18	32.000000	0	0	0	0	0	0	0	0	0	638	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prrc2a	32.000000	0	0	0	95	0	0	0	0	0	586	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem107	31.965517	0	0	0	0	111	0	0	0	0	395	199	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0
Pank2	31.965517	0	0	0	130	0	109	0	0	0	460	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf157	31.896552	0	0	0	93	0	100	0	0	0	384	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmd1	31.896552	0	0	107	0	115	0	0	0	0	347	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcp1a	31.896552	0	0	0	343	178	297	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clu	31.896552	0	0	0	80	0	0	0	0	0	0	0	595	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugdh	31.862069	0	0	0	91	0	0	0	0	0	514	223	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0
Denr	31.724138	0	0	0	116	0	119	0	0	0	412	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srebf2	31.655172	0	0	0	88	0	0	0	0	0	509	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sephs2	31.655172	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	191	258	0	0	0	0	0	0	0	0	175	0	155	0
Litaf	31.620690	0	0	0	0	0	0	0	0	0	201	151	461	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gng2	31.620690	0	630	0	0	0	0	0	113	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17d	31.586207	0	0	0	0	0	0	0	0	0	636	199	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0
Slc39a1	31.551724	0	0	0	101	0	0	0	0	0	289	261	108	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcn1	31.551724	0	371	0	183	0	119	0	100	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab21	31.517241	0	0	0	0	0	0	0	0	0	547	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prm2	31.517241	0	0	0	0	0	0	0	0	0	522	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3435	31.517241	0	0	123	197	0	130	0	0	0	0	104	0	0	0	0	0	0	111	91	0	0	0	158	0	0	0	0	0	0	0
Sde2	31.482759	0	0	0	230	0	72	0	0	0	330	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	131	0	0	0
Zfp119b	31.448276	0	0	0	129	0	110	0	0	0	0	0	338	247	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0
Ttyh3	31.448276	0	0	0	0	0	0	0	0	0	267	153	347	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif13b	31.448276	0	0	0	260	0	0	0	0	0	277	186	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0
Clec12a	31.448276	0	0	0	0	0	0	0	0	0	586	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acer3	31.448276	0	0	0	77	0	0	0	0	0	593	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahsa1	31.413793	0	146	99	116	0	0	0	0	0	140	0	0	0	0	0	0	178	0	0	0	0	232	0	0	0	0	0	0	0	0
Zscan22	31.379310	0	0	173	117	181	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0
Srp19	31.379310	0	0	168	246	152	223	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0
Klri1	31.379310	0	0	0	0	0	0	0	0	0	585	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fscn1	31.379310	0	0	0	0	0	0	0	0	0	580	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcrl1	31.379310	0	0	0	0	0	0	0	0	0	491	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9030025P20Rik	31.379310	0	0	0	201	0	148	0	0	0	76	0	0	0	0	0	0	0	203	138	0	0	0	144	0	0	0	0	0	0	0
Tbrg4	31.310345	0	0	0	0	95	104	0	0	0	166	166	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	134	0	133	0
Siglecg	31.310345	0	0	0	0	0	0	0	0	0	651	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1e1	31.310345	0	0	0	173	0	0	0	0	0	429	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msh5	31.275862	0	129	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	169	0	0	0	0	0	0	0	0
Mlkl	31.275862	0	0	0	103	0	0	0	0	0	462	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd10	31.241379	0	123	0	210	147	157	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0
Gm5861	31.172414	0	420	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0
Eloc	31.172414	0	133	99	120	110	0	0	0	0	187	81	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0
Coro2a	31.172414	0	0	0	0	0	0	0	0	0	540	247	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adrm1	31.172414	0	0	113	181	212	179	0	0	0	104	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0
Snx11	31.137931	0	0	0	0	0	0	0	0	0	609	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamp1	31.034483	0	0	0	55	0	0	0	0	0	575	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmp2	31.000000	0	190	0	0	0	0	0	0	0	396	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp568	30.965517	0	0	0	137	125	106	0	0	0	144	162	0	0	0	0	0	126	98	0	0	0	0	0	0	0	0	0	0	0	0
Rita1	30.965517	0	0	0	198	94	102	0	0	0	383	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkm	30.965517	0	0	0	83	0	155	0	0	0	289	164	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grb2	30.965517	0	0	0	0	0	100	0	0	0	500	161	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0
Ddx54	30.965517	0	0	0	198	94	102	0	0	0	383	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifngr2	30.931034	0	0	144	293	0	280	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chd7	30.931034	0	0	0	0	0	0	0	0	0	507	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dstn	30.896552	0	0	0	0	0	0	0	0	0	0	0	637	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2f8	30.862069	0	297	0	0	105	0	0	0	0	242	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc44a5	30.827586	0	0	0	0	0	0	0	0	0	632	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr623	30.793103	0	523	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0
Nudt15	30.793103	0	0	110	124	183	105	0	0	0	263	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0
Kdm5c	30.793103	0	106	0	101	170	0	0	0	0	264	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0
Ebp	30.793103	0	0	0	162	104	0	0	0	0	310	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0
Axl	30.793103	0	0	0	0	0	0	0	0	0	587	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actr3	30.793103	0	168	89	213	70	118	0	0	0	110	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7a	30.758621	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	265	0	0	0	0	0	0	386	0	0	0	0	0	0	0
Taar6	30.758621	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	265	0	0	0	0	0	0	386	0	0	0	0	0	0	0
Klhl36	30.758621	0	0	0	0	0	126	0	0	0	500	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gypc	30.724138	0	0	0	0	0	0	0	0	0	462	284	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0
Gstp3	30.724138	0	0	60	0	0	0	0	0	0	491	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam227b	30.724138	0	0	0	128	0	218	0	0	0	286	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0
Dtwd1	30.724138	0	0	0	128	0	218	0	0	0	286	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0
Rap2a	30.689655	0	0	0	154	0	0	0	0	0	435	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb7c	30.655172	0	0	0	0	0	0	0	0	0	0	0	599	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nudt9	30.655172	0	0	0	178	0	124	0	0	0	178	219	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	103	0	0	0
Srsf10	30.620690	0	0	0	0	0	81	0	0	0	659	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2rx6	30.620690	0	0	0	0	0	0	0	0	0	374	232	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc74b	30.620690	0	0	0	0	0	0	0	0	0	374	232	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tas1r3	30.586207	0	0	185	0	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ints11	30.586207	0	0	185	0	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif6	30.586207	0	0	0	0	0	98	0	0	0	535	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cptp	30.586207	0	0	185	0	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tpcn1	30.551724	0	0	0	0	0	0	0	0	0	388	178	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	188	0	0	0
Iqcd	30.551724	0	0	0	0	0	0	0	0	0	388	178	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	188	0	0	0
Crybg3	30.551724	0	0	0	0	0	0	0	0	0	237	142	278	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem35b	30.517241	0	0	0	108	0	0	0	0	0	543	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nmi	30.517241	0	0	0	175	0	152	0	0	0	153	0	175	97	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0
Lcat	30.517241	0	0	0	0	0	0	0	0	0	541	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rreb1	30.482759	0	0	0	0	0	103	0	0	0	575	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itga5	30.482759	0	0	0	0	0	0	0	0	0	497	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btbd19	30.482759	0	0	0	73	0	0	0	0	0	482	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tiam1	30.448276	0	115	130	87	275	0	0	0	0	166	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr111	30.448276	0	0	0	0	0	0	0	0	0	543	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2rx5	30.379310	0	0	0	0	0	0	0	0	0	569	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marchf9	30.379310	0	0	0	0	0	0	0	0	0	386	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk4	30.379310	0	0	0	0	0	0	0	0	0	386	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc2a1	30.344828	0	0	0	0	147	0	0	0	0	269	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	76	0
Cops7a	30.344828	0	0	0	140	0	160	0	0	0	313	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0
Slc9a5	30.310345	0	123	0	164	109	147	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0
Itga2b	30.310345	0	0	0	0	0	0	0	0	0	657	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fhod1	30.310345	0	123	0	164	109	147	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0
Agtpbp1	30.310345	0	0	0	289	213	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wfdc18	30.275862	0	0	0	0	0	0	0	0	0	408	359	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wfdc17	30.275862	0	0	0	0	0	0	0	0	0	408	359	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1507	30.275862	0	0	356	0	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Irgm1	30.275862	0	0	155	201	180	0	0	0	0	134	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0
Gcm1	30.241379	0	0	0	0	0	0	0	0	0	671	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc2a3	30.206897	0	0	94	179	181	0	0	0	0	282	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btla	30.206897	0	0	250	0	191	0	0	0	0	239	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vamp3	30.137931	0	152	0	163	270	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0
Rpl36	30.137931	0	137	0	0	85	102	0	0	0	246	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	96	0
Micos13	30.137931	0	137	0	0	85	102	0	0	0	246	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	96	0
Chst10	30.137931	0	0	0	0	0	0	0	0	0	559	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa10	30.068966	0	0	0	184	0	143	0	0	0	0	0	0	0	0	159	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo4	30.068966	0	0	0	113	0	162	0	0	0	312	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
