Target_genes	Maf|Average	SRX17133649|Skeletal_muscle	SRX17133650|Skeletal_muscle	SRX187203|Th0	SRX187204|Th17_Cells	SRX187205|Th17_Cells	SRX187206|Th17_Cells	SRX288145|Th17_Cells	SRX288146|Th17_Cells	STRING
Zfp959	122.000000	0	0	0	147	175	0	298	356	0
Tfb2m	122.000000	0	0	0	167	284	0	210	315	0
Sh2b3	122.000000	0	0	0	133	93	0	338	412	0
Ints13	122.000000	0	0	0	374	304	0	150	148	0
Fgfr1op2	122.000000	0	0	0	374	304	0	150	148	0
Cnst	122.000000	0	0	0	167	284	0	210	315	0
Fhit	121.750000	0	0	0	373	370	0	231	0	0
Cpeb4	121.750000	0	0	0	324	238	0	253	159	0
Stat5a	121.625000	0	0	0	298	133	0	189	353	0
Klre1	121.625000	0	0	0	218	272	0	318	165	0
Rasa3	121.500000	0	0	0	207	244	0	285	236	0
Rhbdd3	121.250000	0	84	0	300	353	0	233	0	0
Ewsr1	121.250000	0	84	0	300	353	0	233	0	0
Cxcr2	121.125000	0	0	0	133	211	0	290	335	0
Ccr2	121.125000	0	0	0	244	316	0	244	165	0
Fam71b	120.875000	0	0	0	146	199	0	328	294	0
Slc39a13	120.750000	0	0	0	165	180	0	269	352	0
Zmat3	120.625000	0	0	0	381	344	0	240	0	0
Snx32	120.625000	0	0	0	230	267	0	214	254	0
Slc17a5	120.625000	0	0	0	416	319	0	230	0	0
Zfp456	120.500000	0	0	0	222	293	0	181	268	0
Stab1	120.500000	0	0	0	145	177	0	249	393	0
Sp3	120.500000	0	0	0	215	0	0	350	399	0
Rassf5	120.500000	0	0	0	180	335	0	223	226	0
Bpifc	120.500000	0	0	0	420	350	0	194	0	0
Vrk1	120.375000	0	0	0	170	271	0	334	188	0
Rtl8c	120.375000	0	0	0	192	297	0	251	223	0
Ly6g	120.375000	0	0	0	138	0	0	356	469	0
Eif1ax	120.375000	0	0	0	136	135	0	465	227	0
Cd164	120.250000	0	169	0	268	217	0	148	160	0
Parp16	120.125000	0	0	0	483	478	0	0	0	0
Cdk2ap2	119.875000	0	0	0	164	135	0	249	411	0
Gm6460	119.750000	0	0	0	169	182	0	334	273	0
Gm5861	119.750000	0	0	0	144	156	0	368	290	0
Eif5a	119.750000	0	0	0	272	359	0	226	101	0
Rcan1	119.625000	0	115	0	154	201	0	265	222	0
Paip2	119.500000	0	0	0	390	323	0	243	0	0
Cytip	119.375000	0	0	0	147	249	0	179	380	0
Clk1	119.375000	0	0	0	251	257	0	205	242	0
Ssr3	119.250000	0	0	0	400	207	0	151	196	0
Sgf29	119.250000	0	0	0	340	311	0	162	141	0
Utp11	119.125000	0	0	0	0	145	0	438	370	0
Nfkbia	119.125000	0	0	0	0	90	0	522	341	0
Lsp1	119.125000	0	0	0	268	246	0	247	192	0
Gramd1b	119.125000	0	0	0	291	231	0	311	120	0
Npas4	119.000000	0	0	0	394	558	0	0	0	0
Lzts1	119.000000	0	0	0	301	461	0	190	0	0
Zfp119b	118.750000	0	0	0	232	152	0	305	261	0
Cdc7	118.750000	0	0	0	439	371	0	0	140	0
Yes1	118.625000	0	0	0	134	311	0	198	306	0
Dph6	118.625000	0	0	0	385	361	0	114	89	0
Zfp366	118.500000	0	0	0	185	149	0	181	433	0
Wdr1	118.500000	0	0	0	271	246	0	227	204	0
Thy1	118.500000	0	0	0	182	199	0	377	190	0
Ly6a	118.500000	0	0	0	170	164	0	372	242	0
Cln5	118.500000	0	0	0	341	251	0	205	151	0
Pithd1	118.375000	0	0	0	323	395	0	91	138	0
P2ry14	118.375000	0	0	0	221	234	0	145	347	0
Phf11a	118.250000	0	0	0	153	264	0	275	254	0
Ypel3	118.125000	0	0	0	205	275	0	167	298	0
Tbx6	118.125000	0	0	0	205	275	0	167	298	0
Olfr433	118.125000	0	0	0	166	219	0	273	287	0
Mtmr11	118.125000	0	0	0	206	252	0	295	192	0
Camk2a	118.125000	0	180	0	200	238	0	152	175	0
2410004P03Rik	118.125000	0	0	0	173	265	0	251	256	0
Tle6	118.000000	0	0	0	274	238	0	318	114	0
Stk10	118.000000	0	0	0	310	180	0	272	182	0
Cysltr1	118.000000	0	0	0	193	267	0	278	206	0
Mthfr	117.750000	0	0	0	193	313	0	240	196	0
Clcn6	117.750000	0	0	0	193	313	0	240	196	0
Rabggtb	117.625000	0	0	0	185	154	0	364	238	0
Ssh1	117.500000	0	0	0	132	193	0	340	275	0
Nufip2	117.500000	0	101	0	416	208	0	215	0	0
Gnat1	117.500000	0	0	0	382	309	0	119	130	0
Gpr142	117.375000	0	0	0	318	331	0	149	141	0
Vopp1	117.250000	0	0	0	309	262	0	234	133	0
Usp37	117.250000	0	0	0	468	243	0	0	227	0
Sumf1	117.250000	0	0	0	259	337	0	181	161	0
Hivep2	117.250000	0	0	0	244	168	0	274	252	0
Epha1	117.250000	0	0	0	209	239	0	143	347	0
Cnot9	117.250000	0	0	0	468	243	0	0	227	0
Plin2	117.000000	0	0	0	310	240	0	269	117	0
Rab8b	116.875000	0	0	0	107	140	0	250	438	0
Bms1	116.875000	0	0	0	309	307	0	151	168	0
Fus	116.625000	0	0	0	158	155	0	203	417	0
Mideas	116.500000	0	203	0	219	263	0	247	0	0
Zfp62	116.375000	0	0	0	163	375	0	231	162	0
Mrps28	116.375000	0	0	0	0	251	0	353	327	0
Gsdma	116.375000	0	0	0	0	0	0	427	504	0
Rilpl2	116.125000	0	0	0	238	198	0	272	221	0
Prpf18	116.125000	0	0	0	172	284	0	225	248	0
Cbr3	116.125000	0	0	529	0	0	400	0	0	0
Tbkbp1	116.000000	0	0	0	238	242	0	197	251	0
Olfr1392	116.000000	0	0	0	316	229	0	182	201	0
Utp4	115.875000	0	0	0	243	272	0	258	154	0
Slc38a1	115.875000	0	0	0	301	265	0	209	152	0
Derpc	115.875000	0	0	0	243	272	0	258	154	0
Chtf8	115.875000	0	0	0	243	272	0	258	154	0
Cast	115.875000	0	0	0	200	329	0	230	168	0
Arhgap17	115.875000	0	0	0	130	189	0	298	310	0
Map2k6	115.750000	0	0	0	233	136	0	333	224	0
H4c6	115.750000	0	0	0	449	477	0	0	0	0
H1f3	115.750000	0	0	0	449	477	0	0	0	0
Stat3	115.250000	0	0	0	298	223	0	123	278	0
Nek9	115.250000	0	0	0	308	247	0	287	80	0
Wdr95	115.000000	0	0	0	276	370	0	183	91	0
Gsta4	115.000000	0	0	0	228	252	0	190	250	0
Zfp931	114.875000	0	0	0	0	127	0	469	323	0
Zfp146	114.750000	0	0	0	256	201	0	280	181	0
Wdr43	114.750000	0	0	0	276	252	0	174	216	0
Otulinl	114.750000	0	0	0	261	254	0	193	210	0
Kcna3	114.750000	0	0	0	172	198	0	310	238	0
Anp32b	114.750000	0	0	0	255	133	0	280	250	0
Il18rap	114.500000	0	0	0	302	200	0	255	159	0
Dcaf10	114.500000	0	0	0	141	199	0	339	237	0
Ablim1	114.500000	0	0	0	123	197	0	236	360	0
Sltm	114.375000	0	0	0	255	400	0	144	116	0
Eif2s2	114.375000	0	0	0	241	200	0	229	245	0
C330007P06Rik	114.375000	0	0	0	302	167	0	200	246	0
Tiam1	114.250000	0	0	0	271	228	0	191	224	0
Ssh2	114.250000	0	0	0	198	212	0	305	199	0
Pkn2	114.125000	0	0	0	119	221	0	325	248	0
Hmox1	114.125000	0	0	0	0	393	0	179	341	0
Vmo1	114.000000	0	0	0	599	313	0	0	0	0
Myo18a	113.750000	0	216	0	241	187	0	130	136	0
H1f2	113.625000	0	0	0	457	452	0	0	0	0
Gpd2	113.625000	0	0	0	192	187	0	216	314	0
Nfatc3	113.250000	0	0	0	0	127	0	386	393	0
Setx	113.125000	0	0	0	110	98	0	329	368	0
Camk1g	113.125000	0	0	0	410	300	0	195	0	0
Kmt5a	112.875000	0	0	0	292	380	0	0	231	0
Itih5	112.875000	0	0	0	181	292	0	195	235	0
Timm13	112.750000	0	0	0	169	280	0	172	281	0
Ms4a4a	112.750000	0	0	0	162	92	0	299	349	0
Uba3	112.625000	0	0	0	302	152	0	301	146	0
Rln3	112.625000	0	0	0	289	359	0	144	109	0
Mycbp2	112.625000	0	0	0	261	224	0	166	250	0
Il27ra	112.625000	0	0	0	289	359	0	144	109	0
Pkd1l2	112.500000	0	0	0	0	0	0	217	683	0
Mthfs	112.500000	0	0	0	117	104	0	420	259	0
Ube2j2	112.125000	0	0	0	128	155	0	418	196	0
Ipmk	112.125000	0	0	0	189	160	0	302	246	0
Cisd1	112.125000	0	0	0	189	160	0	302	246	0
Slfn1	112.000000	0	0	0	353	195	0	256	92	0
Insl5	112.000000	0	0	0	237	137	0	385	137	0
3830406C13Rik	112.000000	0	0	0	284	246	0	230	136	0
2210418O10Rik	112.000000	0	0	0	0	150	0	419	327	0
Hmx2	111.750000	0	0	0	222	327	0	173	172	0
Gse1	111.750000	0	0	0	123	167	0	369	235	0
Ttc39b	111.625000	0	0	0	215	219	0	247	212	0
Slc39a10	111.625000	0	0	0	238	221	0	230	204	0
Erich1	111.625000	0	0	0	256	312	0	216	109	0
Cmas	111.625000	0	0	0	192	187	0	212	302	0
Kbtbd7	111.500000	0	0	0	161	281	0	210	240	0
Fam98b	111.500000	0	0	0	430	462	0	0	0	0
Glcci1	111.375000	0	0	0	0	113	0	358	420	0
0610012G03Rik	111.375000	0	0	0	273	270	0	142	206	0
Ptpn3	111.250000	0	0	0	274	305	0	137	174	0
Papola	111.250000	0	0	0	383	507	0	0	0	0
Frmd4a	111.250000	0	0	0	200	332	0	149	209	0
Alox5ap	111.125000	0	0	0	112	212	0	188	377	0
Ezr	111.000000	0	0	0	283	235	0	129	241	0
Adar	111.000000	0	0	0	175	175	0	278	260	0
Padi4	110.875000	0	0	0	299	318	0	154	116	0
1110002E22Rik	110.875000	0	0	0	253	217	0	265	152	0
Cstf1	110.750000	0	0	0	155	374	0	227	130	0
Aurka	110.750000	0	0	0	155	374	0	227	130	0
Klf13	110.625000	0	0	0	345	288	0	252	0	0
Heg1	110.625000	0	0	0	157	0	0	360	368	0
Clpx	110.625000	0	0	0	250	327	0	152	156	0
Ets1	110.500000	0	0	0	144	145	0	440	155	0
Coro6	110.500000	0	0	0	257	386	0	0	241	0
Gpat4	110.375000	0	0	0	249	210	0	199	225	0
Prop1	110.250000	0	0	0	256	171	0	393	62	0
Nfil3	110.250000	0	0	0	219	336	0	197	130	0
Sfmbt1	110.000000	0	0	0	214	254	0	252	160	0
Fggy	110.000000	0	0	0	147	358	0	154	221	0
Malt1	109.875000	0	0	0	0	0	251	269	359	0
Lrrc8c	109.875000	0	0	0	168	218	0	208	285	0
Cxcl3	109.875000	0	0	0	391	334	0	154	0	0
Csta2	109.750000	0	0	0	0	138	0	416	324	0
Mob1a	109.625000	0	0	0	522	355	0	0	0	0
Mgll	109.625000	0	0	0	323	230	0	166	158	0
Camk2d	109.625000	0	0	0	218	326	0	199	134	0
Asb6	109.625000	0	0	0	246	197	0	175	259	0
Eya3	109.500000	0	0	0	188	267	0	247	174	0
Snx5	109.375000	0	0	0	153	190	0	235	297	0
Mgme1	109.375000	0	0	0	153	190	0	235	297	0
Cmah	109.375000	0	0	0	99	106	0	409	261	0
Gm29733	109.250000	0	0	0	181	166	0	210	317	0
Fam160a2	109.250000	0	0	0	178	167	0	250	279	0
Irf9	109.125000	0	0	0	220	154	0	294	205	0
Ptov1	109.000000	0	389	0	233	250	0	0	0	0
Itm2c	109.000000	0	0	0	182	148	0	282	260	0
Il24	109.000000	0	0	0	227	289	0	221	135	0
Ugt1a6b	108.875000	0	0	0	226	190	0	279	176	0
Pank2	108.750000	0	0	0	221	319	0	226	104	0
Chst12	108.750000	0	0	0	254	281	0	188	147	0
Olfr1410	108.625000	0	0	0	218	304	0	209	138	0
Lilr4b	108.625000	0	0	0	128	172	0	305	264	0
Zfp438	108.500000	0	0	0	184	286	0	227	171	0
Cmtm6	108.500000	0	0	0	242	221	0	158	247	0
Blvra	108.375000	0	0	0	205	187	0	271	204	0
Trim12a	108.250000	0	0	0	230	200	0	284	152	0
Ruvbl1	108.250000	0	0	0	150	205	0	260	251	0
Nab1	108.250000	0	0	0	201	165	0	212	288	0
Ifit1bl2	108.250000	0	0	0	292	392	0	113	69	0
Ifit1	108.250000	0	0	0	292	392	0	113	69	0
Lix1l	108.125000	0	0	0	285	124	0	303	153	0
Ankrd34a	108.125000	0	0	0	285	124	0	303	153	0
Abl1	108.125000	0	0	0	217	216	0	129	303	0
Stat5b	108.000000	0	0	0	328	210	0	186	140	0
Rbks	108.000000	0	0	0	164	197	0	315	188	0
Pom121	108.000000	0	0	0	360	364	0	140	0	0
Babam2	108.000000	0	0	0	164	197	0	315	188	0
Npffr1	107.875000	0	0	0	154	230	0	234	245	0
Art2a	107.875000	0	0	0	140	171	0	284	268	0
Rcn1	107.750000	0	0	0	0	0	0	191	671	0
Plscr1	107.750000	0	0	0	326	196	0	228	112	0
H4c3	107.750000	0	0	0	382	294	0	186	0	0
Xbp1	107.625000	0	0	0	192	352	0	175	142	0
Ei24	107.625000	0	0	0	260	203	0	249	149	0
Pkn1	107.500000	0	0	0	125	152	0	264	319	0
Katnbl1	107.500000	0	0	0	309	205	0	152	194	0
Lnpep	107.375000	0	0	0	403	456	0	0	0	0
Map3k8	107.250000	0	0	0	201	137	0	289	231	0
Kcnk16	107.125000	0	0	0	0	128	0	341	388	0
Flacc1	107.125000	0	0	0	159	184	0	295	219	0
Atp8b4	107.125000	0	0	0	204	171	0	272	210	0
Tnfsf8	107.000000	0	0	0	195	151	0	203	307	0
Rock2	107.000000	0	115	0	337	404	0	0	0	0
Gfpt1	106.875000	0	0	0	277	270	0	164	144	0
Sema7a	106.750000	0	0	0	252	0	0	162	440	0
Krt6b	106.625000	0	0	0	185	220	0	256	192	0
Gm4922	106.625000	0	0	0	187	139	0	258	269	0
Slc14a2	106.500000	0	0	0	477	221	0	0	154	0
Apobec1	106.500000	0	0	0	127	149	0	300	276	0
Dnajc7	106.375000	0	0	0	100	152	0	243	356	0
Coch	106.250000	0	0	0	130	143	0	413	164	0
Napa	106.125000	0	0	0	187	257	0	261	144	0
Xpa	106.000000	0	0	0	295	306	0	136	111	0
Slc44a1	106.000000	0	0	0	282	136	0	205	225	0
Zfp444	105.625000	0	0	0	221	202	0	0	422	0
Nfkb1	105.500000	0	0	0	249	284	0	116	195	0
Map3k20	105.375000	0	0	0	166	189	0	337	151	0
Trim32	105.250000	0	0	0	281	284	0	154	123	0
Ncaph	105.250000	0	0	0	167	164	0	325	186	0
Arhgap25	105.125000	0	0	0	398	443	0	0	0	0
C9orf72	105.000000	0	0	0	175	223	0	239	203	0
Dnaja4	104.750000	0	0	0	307	189	0	204	138	0
Arsb	104.750000	0	0	0	254	327	0	128	129	0
Pold4	104.625000	0	0	0	205	222	0	179	231	0
Garnl3	104.500000	0	0	0	307	362	0	0	167	0
Glrx5	104.375000	0	0	0	286	302	0	159	88	0
Cd53	104.125000	0	0	0	192	241	0	232	168	0
Casp4	104.125000	0	0	0	145	289	0	231	168	0
Pde6d	104.000000	0	0	0	344	259	0	229	0	0
Cops7b	104.000000	0	0	0	344	259	0	229	0	0
Asxl1	104.000000	0	0	0	336	282	0	214	0	0
Hipk2	103.750000	0	0	0	93	0	0	484	253	0
Ptprc	103.625000	0	0	0	277	259	0	176	117	0
Lix1	103.500000	0	0	0	181	159	0	231	257	0
Calcrl	103.500000	0	0	0	214	300	0	93	221	0
Pfn1	103.375000	0	116	0	384	327	0	0	0	0
Hes7	103.375000	0	0	0	190	224	0	265	148	0
Eno3	103.375000	0	116	0	384	327	0	0	0	0
Trak1	103.250000	0	150	0	146	112	0	134	284	0
Sar1b	103.250000	0	235	0	173	127	0	127	164	0
Fam117a	103.250000	0	0	0	245	166	0	245	170	0
Renbp	103.000000	0	0	0	128	197	0	204	295	0
Pik3cg	103.000000	0	0	0	187	271	0	190	176	0
Csf2ra	103.000000	0	0	0	276	202	346	0	0	0
Ccdc130	103.000000	0	0	0	207	219	0	208	190	0
H3c11	102.875000	0	0	0	297	402	0	124	0	0
H1f5	102.875000	0	0	0	297	402	0	124	0	0
Zfp219	102.750000	0	0	0	219	290	0	138	175	0
Tnfsf9	102.750000	0	0	0	188	250	0	205	179	0
Slc49a4	102.750000	0	0	0	218	223	0	207	174	0
Pdgfb	102.750000	0	0	0	189	0	0	354	279	0
Gramd3	102.750000	0	0	0	207	245	0	221	149	0
Zfp84	102.500000	0	0	0	296	207	0	125	192	0
Wdr81	102.500000	0	0	0	223	207	0	123	267	0
Ssbp1	102.500000	0	0	0	162	144	0	307	207	0
Smad3	102.500000	0	0	0	208	208	0	151	253	0
Slc39a8	102.500000	0	0	0	133	145	0	287	255	0
Numbl	102.500000	0	0	0	219	304	0	116	181	0
Srpk1	102.375000	0	0	0	138	206	0	203	272	0
Ppp2ca	102.375000	0	0	0	255	184	0	254	126	0
Abtb2	102.375000	0	0	0	156	174	0	290	199	0
Zfp825	102.250000	0	0	0	160	248	0	255	155	0
Hrh2	102.250000	0	0	0	143	169	78	233	195	0
Herpud2	102.250000	0	0	0	180	273	0	204	161	0
Stmn4	102.125000	0	0	0	264	420	0	133	0	0
Il17ra	102.000000	0	0	0	214	201	0	165	236	0
Crebzf	102.000000	0	0	433	0	121	262	0	0	0
Txndc17	101.750000	0	104	0	191	199	0	150	170	0
Pxmp4	101.750000	0	104	0	176	127	0	251	156	0
Etv6	101.750000	0	0	0	314	177	0	323	0	0
4933427D14Rik	101.750000	0	104	0	191	199	0	150	170	0
Siglec1	101.625000	0	0	0	0	0	0	285	528	0
Zbtb7b	101.500000	0	0	0	141	176	0	238	257	0
Pdcd1	101.500000	0	0	0	161	146	0	286	219	0
Trim35	101.375000	0	139	0	178	193	0	173	128	0
Pbk	101.375000	0	0	162	184	209	153	103	0	0
Nudt13	101.375000	0	0	0	0	0	0	438	373	0
Med7	101.250000	0	0	0	198	167	0	176	269	0
Jund	101.125000	0	0	0	186	245	0	228	150	0
Vps13a	101.000000	0	0	0	179	144	0	213	272	0
Rab21	101.000000	0	0	0	162	100	0	168	378	0
Prpf3	101.000000	0	0	0	168	248	0	208	184	0
Mcm6	100.875000	0	0	0	283	180	0	131	213	0
Lipe	100.875000	0	0	0	141	244	0	230	192	0
Daam1	100.875000	0	0	0	196	289	0	134	188	0
Znhit1	100.750000	0	0	447	0	0	359	0	0	0
Plod3	100.750000	0	0	447	0	0	359	0	0	0
Pkp2	100.750000	0	0	0	247	157	0	195	207	0
Cbfa2t3	100.750000	0	0	0	133	0	0	274	399	0
Sfi1	100.625000	0	0	0	362	345	0	98	0	0
Rbms1	100.625000	0	0	0	300	297	0	84	124	0
Oxr1	100.625000	0	0	0	264	213	0	215	113	0
Fabp4	100.625000	0	0	0	198	244	0	229	134	0
Eif4enif1	100.625000	0	0	0	362	345	0	98	0	0
Mta3	100.375000	0	0	0	0	112	0	314	377	0
Gbp5	100.375000	0	0	0	278	194	0	164	167	0
Ccdc126	100.375000	0	0	0	197	152	0	275	179	0
Atp11b	100.250000	0	0	0	269	182	0	351	0	0
Appl2	100.250000	0	0	0	137	131	0	270	264	0
Osgin2	100.000000	0	0	0	243	284	0	186	87	0
Rps3	99.875000	0	0	0	158	184	0	247	210	0
Rab4a	99.750000	0	0	0	174	0	0	383	241	0
Prss55	99.750000	0	0	0	0	0	0	266	532	0
Prss51	99.750000	0	0	0	0	0	0	266	532	0
Ldhb	99.750000	0	0	0	316	222	0	113	147	0
Ankrd33b	99.750000	0	0	0	169	293	0	215	121	0
Tlr9	99.625000	0	0	0	180	139	0	167	311	0
Ccdc117	99.625000	0	0	0	186	219	0	156	236	0
Nup93	99.500000	0	0	0	246	197	0	224	129	0
Msi2	99.500000	0	0	0	253	217	0	181	145	0
H2bc21	99.500000	0	0	0	218	279	0	128	171	0
H2ac21	99.500000	0	0	0	218	279	0	128	171	0
H2ac20	99.500000	0	0	0	218	279	0	128	171	0
Dapk3	99.500000	0	0	0	390	406	0	0	0	0
Tnfrsf13b	99.375000	0	0	0	269	191	0	233	102	0
Pkp3	99.375000	0	0	0	284	396	0	115	0	0
Ncbp2	99.375000	0	0	0	273	270	0	142	110	0
Nkap	99.250000	378	416	0	0	0	0	0	0	0
Eea1	99.250000	0	0	0	169	118	0	252	255	0
Tle4	99.125000	0	0	0	231	148	0	210	204	0
Plaur	99.125000	0	0	0	198	237	0	244	114	0
Itk	99.000000	0	0	0	0	209	0	288	295	0
Dus1l	98.875000	0	0	0	272	317	0	106	96	0
Nphp4	98.750000	0	0	0	284	326	0	180	0	0
Nlrp1b	98.750000	0	0	0	238	167	0	217	168	0
Nfya	98.750000	0	0	0	131	191	0	297	171	0
Slc6a6	98.625000	0	131	0	235	423	0	0	0	0
Casp6	98.625000	0	0	0	161	222	0	246	160	0
Rps9	98.500000	0	0	0	156	151	0	138	343	0
Ptpn4	98.500000	0	0	0	312	256	0	220	0	0
Rhoq	98.375000	0	0	0	283	204	0	170	130	0
Ccr6	98.375000	0	0	0	196	265	0	102	224	0
Trim7	98.125000	0	274	0	0	148	0	181	182	0
Mx2	98.125000	0	0	0	168	204	0	134	279	0
Plekhg1	98.000000	0	0	468	0	0	316	0	0	0
Krt24	98.000000	0	0	0	143	141	0	294	206	0
3110082I17Rik	97.875000	0	0	0	249	353	0	181	0	0
Cse1l	97.750000	0	0	0	347	289	0	0	146	0
Stag2	97.625000	0	0	0	181	169	0	197	234	0
Serpinf1	97.625000	0	0	0	267	300	0	214	0	0
Rnf145	97.625000	0	0	0	204	164	0	192	221	0
Igsf8	97.625000	0	0	0	194	262	0	169	156	0
Cd2	97.625000	0	0	0	219	257	0	177	128	0
Aftph	97.625000	0	0	0	264	373	0	0	144	0
Sft2d3	97.500000	0	0	0	202	240	0	226	112	0
Nppc	97.500000	0	0	0	301	281	0	198	0	0
Csf2	97.250000	0	0	0	0	0	0	434	344	0
N4bp1	97.125000	0	0	0	197	260	0	168	152	0
Lman1	97.125000	0	0	0	238	253	0	165	121	0
Sipa1l1	97.000000	0	0	0	213	285	0	194	84	0
Prkcq	97.000000	0	0	0	204	136	0	282	154	0
Lrrc25	96.875000	0	0	0	127	116	0	183	349	0
Gm38999	96.875000	0	0	0	142	145	0	280	208	0
Tsc22d4	96.750000	0	0	0	143	144	0	205	282	0
Lgals3bp	96.750000	0	0	0	176	158	0	184	256	0
Hrob	96.750000	0	0	0	234	386	0	154	0	0
Zfp746	96.625000	0	0	0	110	161	0	233	269	0
Kif3b	96.625000	0	0	0	344	245	0	184	0	0
Thap12	96.375000	0	0	0	124	201	0	231	215	0
Serping1	96.375000	0	0	0	289	131	0	206	145	0
Tnk2	96.250000	0	0	0	188	229	0	194	159	0
Rnf149	96.250000	0	0	0	147	126	0	327	170	0
Pick1	96.250000	0	148	0	0	203	0	216	203	0
Pdia3	96.250000	0	0	0	140	154	0	187	289	0
Cdk15	96.250000	0	0	0	141	167	0	181	281	0
Catsper2	96.250000	0	0	0	140	154	0	187	289	0
Car5a	96.250000	0	0	0	456	314	0	0	0	0
Atrnl1	96.250000	0	0	0	195	156	0	216	203	0
Gm36712	96.125000	0	0	0	178	424	0	167	0	0
Slc1a4	96.000000	0	0	0	348	420	0	0	0	0
Rab8a	96.000000	0	0	0	106	135	0	222	305	0
Dvl3	96.000000	0	125	0	196	208	0	132	107	0
Rad23a	95.875000	0	0	0	240	160	0	220	147	0
Gimap4	95.875000	0	0	0	0	208	0	326	233	0
Exoc2	95.750000	0	0	0	229	255	0	128	154	0
Cyld	95.750000	0	0	0	0	263	0	365	138	0
Cand1	95.750000	0	0	0	253	310	0	118	85	0
Slc6a9	95.625000	0	458	0	0	307	0	0	0	0
Btla	95.500000	0	0	0	293	319	0	152	0	0
Ptpn22	95.375000	0	0	0	147	215	0	226	175	0
Zfp354c	95.125000	0	0	0	170	245	0	179	167	0
Slc25a19	95.125000	0	0	0	276	260	0	225	0	0
Piezo1	95.125000	0	0	0	276	206	0	142	137	0
Themis2	94.875000	0	0	0	329	324	0	0	106	0
Prss46	94.625000	0	0	0	213	337	0	0	207	0
Ptprr	94.500000	0	0	0	138	204	0	203	211	0
Gm6710	94.500000	0	0	0	0	0	0	401	355	0
Gm14391	94.500000	0	0	0	0	0	0	401	355	0
Fas	94.500000	0	0	0	232	181	0	343	0	0
Fbxo5	94.375000	0	0	0	261	262	0	232	0	0
Wsb1	94.250000	0	0	0	179	119	0	282	174	0
Slc39a4	94.250000	0	0	0	223	174	0	147	210	0
Acin1	94.250000	0	0	0	152	206	0	303	93	0
Slc22a8	94.125000	0	0	0	139	291	0	212	111	0
Sec14l2	94.125000	0	0	0	0	156	0	262	335	0
H2-T-ps	94.125000	0	0	0	203	202	0	169	179	0
Zfp974	94.000000	0	0	0	165	127	0	140	320	0
Ankrd24	94.000000	0	0	0	148	177	0	158	269	0
Sgms1	93.875000	0	0	0	236	305	0	210	0	0
Mid1ip1	93.875000	0	0	0	122	112	0	236	281	0
Tmed2	93.625000	0	0	0	209	255	0	127	158	0
Ptbp3	93.625000	0	0	0	169	318	0	137	125	0
L3mbtl3	93.625000	0	0	0	214	132	0	263	140	0
H2aw	93.625000	0	0	0	260	225	0	132	132	0
Dph1	93.625000	0	0	0	309	324	0	116	0	0
Rab5b	93.500000	0	0	0	159	0	0	302	287	0
Numa1	93.500000	0	0	0	175	183	0	152	238	0
Scamp2	93.250000	0	0	0	131	0	0	240	375	0
Gm14296	93.250000	0	0	0	0	0	0	419	327	0
Tpm3	93.000000	0	0	0	138	105	0	281	220	0
Sptlc1	93.000000	0	0	0	153	202	0	219	170	0
Nr1d1	93.000000	0	0	0	181	150	0	172	241	0
B4galt5	93.000000	0	0	0	123	87	0	178	356	0
Tcof1	92.875000	0	0	0	154	223	0	184	182	0
Senp1	92.875000	0	0	0	150	192	0	195	206	0
Pfkm	92.875000	0	0	0	150	192	0	195	206	0
Nup50	92.875000	0	0	0	256	159	0	140	188	0
Cyp4f13	92.750000	0	0	0	208	125	0	284	125	0
Azin2	92.750000	0	0	0	166	92	0	292	192	0
Ms4a4b	92.625000	0	0	0	109	251	0	120	261	0
Spef1l	92.500000	0	0	0	125	0	0	381	234	0
Lca5l	92.500000	0	122	0	206	251	0	0	161	0
Kctd6	92.500000	0	0	0	182	149	0	308	101	0
Gadd45g	92.500000	0	0	0	160	0	0	347	233	0
Lta	92.250000	0	0	0	170	232	0	173	163	0
Krt28	92.250000	0	0	210	152	91	0	159	126	0
Mis18bp1	92.125000	0	148	0	181	304	0	104	0	0
Cma2	92.125000	0	0	0	431	306	0	0	0	0
Tmc8	92.000000	0	0	0	137	117	0	215	267	0
Tmc6	92.000000	0	0	0	137	117	0	215	267	0
Fmc1	92.000000	0	0	0	127	222	0	226	161	0
Trim5	91.875000	0	0	0	129	98	0	228	280	0
Ccl1	91.875000	0	0	0	128	258	0	221	128	0
Trim46	91.750000	0	0	0	172	164	0	191	207	0
Krtcap2	91.750000	0	0	0	172	164	0	191	207	0
Spty2d1	91.625000	0	0	0	0	192	0	298	243	0
P4ha3	91.625000	0	0	0	243	318	0	172	0	0
Ift43	91.625000	0	0	0	0	0	0	312	421	0
Mlkl	91.500000	0	0	0	200	186	0	190	156	0
Eif4e2	91.500000	0	0	0	146	202	0	180	204	0
Ttbk2	91.375000	0	0	0	106	69	0	364	192	0
Mthfsl	91.375000	0	0	0	124	0	0	362	245	0
Adamts17	91.375000	0	0	0	211	269	0	0	251	0
Stimate	91.250000	0	0	0	167	221	0	127	215	0
Antxr2	91.250000	0	0	0	97	138	0	287	208	0
Slc25a45	91.125000	0	0	0	231	189	0	139	170	0
Rcc2	91.125000	0	0	0	219	228	0	132	150	0
Prex1	91.125000	0	0	0	189	167	0	202	171	0
Pde7a	91.125000	0	0	0	319	268	0	142	0	0
