Target_genes	Ppara|Average	SRX7647798|Brown_adipose_tissue	SRX7647799|Brown_adipose_tissue	SRX7647800|Brown_adipose_tissue	SRX7647801|Brown_adipose_tissue	SRX745823|Burst-forming_unit_erythroids	SRX745825|Burst-forming_unit_erythroids	SRX745827|Burst-forming_unit_erythroids	SRX11366178|Liver	SRX11366179|Liver	SRX11366180|Liver	SRX11366181|Liver	SRX11366182|Liver	SRX11366183|Liver	SRX11366184|Liver	SRX11366185|Liver	SRX11366186|Liver	SRX11366187|Liver	SRX11366188|Liver	SRX11366189|Liver	SRX11366190|Liver	SRX11366191|Liver	SRX11366192|Liver	SRX11366193|Liver	SRX118173|Liver	SRX118174|Liver	SRX3582928|Liver	SRX3582929|Liver	SRX3582931|Liver	SRX3582932|Liver	SRX5028158|Liver	SRX5028159|Liver	SRX5028160|Liver	SRX5028161|Liver	SRX5028180|Liver	SRX5028181|Liver	SRX5028182|Liver	SRX5028183|Liver	SRX5028184|Liver	SRX5028185|Liver	SRX5142526|Liver	SRX5142527|Liver	SRX5142528|Liver	SRX5142529|Liver	SRX5142530|Liver	SRX5142531|Liver	SRX8715535|Liver	SRX8715536|Liver	SRX8715537|Liver	SRX8715538|Liver	SRX8715539|Liver	SRX8715540|Liver	SRX18696494|Thymus	SRX305976|Unclassified	SRX305978|Unclassified	SRX305980|Unclassified	SRX305982|Unclassified	STRING
Kank2	101.250000	292	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	161	0	0	0	0	0	0	0	0	467	564	240	458	340	332	200	308	278	312	461	449	0	0	0	0	0	0	0	0	100	0	0	0
Ggcx	101.250000	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	539	636	322	496	515	503	256	365	255	360	475	725	0	0	0	0	0	0	0	0	0	0	0	0
Coro6	101.214286	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	359	240	327	413	497	269	555	555	607	510	812	0	0	0	0	0	0	0	0	0	0	0	0
Tcf23	101.196429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	150	0	204	335	308	471	555	497	770	527	1413	0	0	0	0	0	0	0	0	157	0	0	0
Tnnc1	101.160714	155	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	138	0	0	0	0	0	0	0	0	566	470	294	282	375	598	312	267	240	481	529	568	0	0	0	0	0	0	0	0	0	0	0	0
Npc1	101.160714	104	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	349	235	360	393	411	343	359	300	568	647	1073	0	0	0	0	0	0	0	0	0	0	0	0
Nisch	101.160714	155	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	138	0	0	0	0	0	0	0	0	566	470	294	282	375	598	312	267	240	481	529	568	0	0	0	0	0	0	0	0	0	0	0	0
Acp5	101.107143	569	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620	645	260	439	348	422	118	171	119	285	248	417	0	0	0	0	0	0	0	0	0	0	0	0
Mmd	101.053571	243	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	297	0	0	0	0	0	0	0	0	376	430	181	134	244	254	257	352	210	529	413	813	0	0	0	0	0	0	0	0	157	0	0	0
Ptpn4	100.982143	458	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	292	266	112	264	156	365	321	414	298	451	625	1034	0	0	0	0	0	0	0	0	0	0	0	0
Ttk	100.857143	124	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	470	0	543	325	495	227	373	327	740	484	1047	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	100.857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	323	324	220	257	248	464	315	588	451	676	640	970	0	0	0	0	0	0	0	0	0	0	0	0
Enpp4	100.857143	155	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	133	0	0	0	323	260	122	151	206	198	485	594	418	839	388	788	0	0	0	0	0	0	0	0	313	0	0	0
Jmjd8	100.821429	220	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	265	530	128	603	282	701	326	419	236	446	424	775	0	0	0	0	0	0	0	0	0	0	0	0
Cfl1	100.803571	356	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	260	0	0	0	0	0	0	0	0	529	499	232	447	421	507	179	295	228	357	321	613	0	0	0	0	0	0	0	0	0	0	0	0
Ttc38	100.785714	171	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	284	190	432	359	541	304	365	221	467	571	969	0	0	0	0	0	0	0	0	0	0	0	0
Ociad2	100.767857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	480	424	327	486	417	609	166	446	186	510	583	899	0	0	0	0	0	0	0	0	0	0	0	0
Ethe1	100.678571	153	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	319	126	156	192	280	368	536	246	795	701	1292	0	0	0	0	0	0	0	0	0	0	0	0
Ltb4r2	100.642857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	550	595	213	497	567	769	167	370	256	428	462	651	0	0	0	0	0	0	0	0	0	0	0	0
Hspb8	100.642857	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	470	532	345	366	463	368	225	523	333	475	532	666	0	0	0	0	0	0	0	0	0	0	0	0
Cideb	100.642857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	550	595	213	497	567	769	167	370	256	428	462	651	0	0	0	0	0	0	0	0	0	0	0	0
Cabcoco1	100.625000	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	547	578	396	479	562	677	157	279	240	335	416	642	0	0	0	0	0	0	0	0	0	0	0	0
Cep72	100.589286	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	195	0	0	0	0	0	0	0	0	218	149	0	216	193	166	455	641	422	615	517	1017	0	0	0	0	0	0	0	0	178	0	0	0
Ube2l6	100.553571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	677	666	427	639	505	805	118	252	186	269	322	553	0	0	0	0	0	0	0	0	0	0	0	0
Bik	100.553571	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	519	655	274	612	644	684	181	269	132	342	409	454	0	0	0	0	0	0	0	0	111	0	0	0
Ankrd2	100.553571	99	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	404	185	290	410	673	283	486	307	469	497	968	0	0	0	0	0	0	0	0	0	0	0	0
Mon2	100.482143	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	180	0	299	501	479	489	587	465	632	623	863	0	0	0	0	0	0	0	0	127	0	0	0
Fam89b	100.482143	289	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	209	137	271	314	503	424	395	411	761	500	956	0	0	0	0	0	0	0	0	0	0	0	0
Ehbp1l1	100.482143	289	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	209	137	271	314	503	424	395	411	761	500	956	0	0	0	0	0	0	0	0	0	0	0	0
Ptprd	100.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	206	0	0	0	0	0	0	0	0	677	891	293	508	573	644	0	294	150	163	291	378	0	0	0	0	0	0	0	0	202	0	0	0
Pex10	100.214286	171	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	384	76	373	390	591	517	432	548	580	431	676	0	0	0	0	0	0	0	0	0	0	0	0
Fads2	100.214286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	474	527	379	454	640	690	170	260	258	487	526	644	0	0	0	0	0	0	0	0	0	0	0	0
Pten	100.178571	266	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	616	599	222	547	458	515	156	273	105	305	313	442	0	0	0	185	403	0	0	0	0	0	0	0
Fkbp4	100.107143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	542	224	289	461	419	342	464	458	436	564	844	0	0	0	0	0	0	0	0	118	0	0	0
Twnk	100.071429	126	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	718	259	226	356	438	286	385	284	569	552	878	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl43	100.071429	126	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	718	259	226	356	438	286	385	284	569	552	878	0	0	0	0	0	0	0	0	0	0	0	0
Rassf7	100.000000	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	608	562	415	363	484	565	254	214	334	422	475	705	0	0	0	0	0	0	0	0	0	0	0	0
Onecut2	100.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	708	409	342	461	301	474	373	478	325	580	423	726	0	0	0	0	0	0	0	0	0	0	0	0
Lmntd2	100.000000	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	608	562	415	363	484	565	254	214	334	422	475	705	0	0	0	0	0	0	0	0	0	0	0	0
Fmo1	100.000000	316	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	493	316	400	460	598	187	296	210	441	362	727	0	0	0	0	0	0	0	0	0	0	0	0
Fam136a	100.000000	434	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	148	0	0	0	0	0	0	0	0	305	265	204	284	364	373	335	434	199	471	521	777	0	0	0	0	0	0	0	0	0	0	0	0
Ppwd1	99.857143	485	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	247	420	164	309	234	326	229	399	294	657	491	846	0	0	0	0	0	0	0	0	0	0	0	0
Cenpk	99.857143	485	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	247	420	164	309	234	326	229	399	294	657	491	846	0	0	0	0	0	0	0	0	0	0	0	0
Abhd11	99.821429	294	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	657	781	290	562	675	763	121	0	120	172	373	311	0	0	0	0	0	0	0	0	0	0	0	0
BC048671	99.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	164	0	0	0	0	0	0	0	0	394	462	167	447	567	716	246	302	250	353	526	668	0	0	0	0	0	0	0	0	124	0	0	0
Cysltr2	99.732143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	124	0	0	0	0	0	0	0	0	432	351	211	524	370	633	209	340	222	567	438	898	0	0	0	0	0	0	0	0	0	0	0	0
Upp1	99.714286	173	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	317	495	175	454	301	626	200	325	265	493	677	852	0	0	0	0	0	0	0	0	0	0	0	0
Prpf40a	99.714286	349	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	250	158	320	389	361	405	476	285	468	507	779	0	0	0	0	0	0	0	0	0	0	0	0
Arl6ip6	99.714286	349	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	250	158	320	389	361	405	476	285	468	507	779	0	0	0	0	0	0	0	0	0	0	0	0
Ppfibp2	99.642857	347	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	430	137	214	311	404	259	382	334	710	397	900	0	0	0	0	0	0	0	0	0	0	0	0
Gm5111	99.625000	493	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	713	376	392	375	423	286	317	311	242	280	457	0	0	0	0	0	0	0	0	0	0	0	0
Pmf1	99.553571	223	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	474	601	239	424	343	486	227	364	251	378	618	634	0	0	0	0	0	0	0	0	0	0	0	0
Hipk3	99.535714	207	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	191	0	0	0	0	0	0	0	0	765	600	273	518	452	783	122	241	120	256	336	362	0	0	0	0	0	0	0	0	0	0	0	0
Ces1f	99.500000	206	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	624	244	358	305	531	240	210	340	446	404	834	0	0	0	0	0	0	0	0	0	0	0	0
Coro7	99.482143	247	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	255	322	192	126	216	168	310	707	437	737	585	781	0	0	0	0	0	0	0	0	156	0	0	0
Sugt1	99.464286	151	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	453	318	168	352	439	465	267	513	294	481	515	853	0	0	0	0	0	0	0	0	0	0	0	0
Mapk6	99.464286	238	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	440	386	328	379	498	248	420	357	477	410	598	0	0	0	0	0	0	0	0	0	0	0	0
Aig1	99.464286	985	1223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	294	0	0	0	0	0	0	0	0	143	123	0	203	0	154	228	315	248	209	132	567	0	0	0	0	0	0	0	0	368	0	0	0
Tmem41a	99.446429	123	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	650	235	171	340	257	357	494	417	613	666	691	0	0	0	0	0	0	0	0	0	0	0	0
Tmem131	99.446429	213	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	414	0	249	186	358	333	303	419	733	516	1098	0	0	0	0	0	0	0	0	343	0	0	0
Gtdc1	99.375000	356	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	646	288	393	391	531	260	246	243	392	254	568	0	0	0	0	0	0	0	0	118	0	0	0
Abat	99.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	506	306	396	396	512	320	472	341	580	544	802	0	0	0	0	0	0	0	0	0	0	0	0
Myh4	99.357143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	103	0	0	0	0	0	0	0	0	205	138	126	325	211	497	381	552	355	623	694	1131	0	0	0	0	0	0	0	0	0	0	0	0
Nr3c2	99.321429	430	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	262	254	134	281	343	413	238	446	323	441	433	786	0	0	0	0	0	0	0	0	0	0	0	0
Selenbp2	99.303571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	147	0	0	0	0	0	0	0	0	444	499	368	495	623	592	256	296	212	374	509	577	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc30	99.303571	146	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	169	0	0	0	0	0	0	0	0	252	286	161	232	308	505	312	265	313	626	599	917	0	0	0	0	0	0	0	0	177	0	0	0
Cited2	99.285714	186	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	608	595	211	444	334	527	308	318	93	435	457	654	0	0	0	0	0	0	0	0	0	0	0	0
Rnmt	99.267857	255	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	350	0	0	0	0	0	0	0	0	471	644	300	317	510	441	150	266	149	405	326	340	0	0	0	0	0	0	0	0	0	0	0	0
Fam210a	99.267857	255	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	350	0	0	0	0	0	0	0	0	471	644	300	317	510	441	150	266	149	405	326	340	0	0	0	0	0	0	0	0	0	0	0	0
Prkaca	99.178571	444	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	623	412	166	311	320	391	232	282	243	309	425	492	0	0	0	0	0	0	0	0	0	0	0	0
Marchf6	99.160714	211	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	114	0	0	0	0	0	0	0	0	454	415	251	354	210	231	384	489	427	538	454	600	0	0	0	0	0	0	0	0	0	0	0	0
Rps6ka1	99.089286	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	396	433	120	373	414	445	298	441	327	518	716	800	0	0	0	0	0	0	0	0	0	0	0	0
Lman1	99.089286	101	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	176	0	0	0	0	0	0	0	0	595	519	294	598	474	620	212	273	318	243	312	421	0	0	0	0	0	0	0	0	0	0	0	0
Gltpd2	99.071429	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	160	0	0	0	0	0	0	0	0	319	363	304	395	408	332	342	419	313	436	613	819	0	0	0	0	0	0	0	0	0	0	0	0
Rab12	99.053571	180	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	195	0	0	0	0	0	0	0	0	232	283	0	296	315	285	373	439	479	347	539	937	0	0	0	0	0	0	0	0	147	0	0	0
Leo1	99.053571	506	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	646	234	407	423	507	173	220	205	313	390	600	0	0	0	0	0	0	0	0	0	0	0	0
Tmprss2	98.982143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	667	275	612	435	621	245	310	248	457	377	688	0	0	0	0	0	0	0	0	0	0	0	0
Enpep	98.928571	191	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	171	0	0	0	0	0	0	0	0	434	404	118	314	351	385	158	236	206	451	665	802	0	0	0	0	0	0	0	0	0	0	0	0
Rab10	98.910714	308	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609	482	271	372	370	486	262	395	336	500	313	610	0	0	0	0	0	0	0	0	0	0	0	0
Frmd7	98.875000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	351	359	196	284	292	356	208	352	342	575	708	1147	0	0	0	0	0	0	0	0	166	0	0	0
Tex12	98.821429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	155	0	0	0	0	0	0	0	0	552	565	233	502	316	695	237	260	196	437	529	634	0	0	0	0	0	0	0	0	77	0	0	0
Smarcd2	98.803571	297	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	549	232	408	456	566	223	392	233	312	385	746	0	0	0	0	0	0	0	0	0	0	0	0
Serpinc1	98.767857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	118	0	0	0	0	0	0	0	0	508	661	374	432	622	486	301	398	238	319	404	534	0	0	0	0	0	0	0	0	0	0	0	0
Casp14	98.767857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	332	148	269	209	348	321	546	464	865	878	952	0	0	0	0	0	0	0	0	0	0	0	0
Smap2	98.750000	110	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668	461	278	510	541	553	324	343	231	347	406	630	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl1	98.714286	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710	725	474	518	552	928	110	148	133	260	274	434	0	0	0	0	0	0	0	0	139	0	0	0
Chst13	98.678571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	65	0	0	0	0	114	0	0	0	396	440	193	326	336	469	324	424	350	619	497	825	0	0	0	0	0	0	0	0	0	0	0	0
Abcc10	98.660714	265	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	93	0	97	0	90	0	0	664	1103	963	1535	0	0	0	0	0	0	0	0	182	0	0	0
Tmem219	98.625000	288	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	393	465	178	286	327	401	255	307	217	700	542	693	0	0	0	0	0	0	0	0	0	0	0	0
Tiparp	98.625000	296	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	367	315	289	241	320	298	507	458	467	665	689	0	0	0	0	0	0	0	0	0	0	0	0
Oaz2	98.464286	224	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	540	573	288	358	515	609	150	275	135	353	402	700	0	0	0	0	0	0	0	0	0	0	0	0
Slc5a6	98.339286	608	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	293	257	183	198	317	320	517	409	487	539	708	0	0	0	0	0	0	0	0	0	0	0	0
Atraid	98.339286	608	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	293	257	183	198	317	320	517	409	487	539	708	0	0	0	0	0	0	0	0	0	0	0	0
Psma6	98.321429	352	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	376	184	380	215	305	291	448	305	531	662	973	0	0	0	0	0	0	0	0	0	0	0	0
L3mbtl1	98.267857	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	183	331	90	192	282	432	270	456	360	689	694	872	0	0	0	0	0	0	0	0	352	0	0	0
Dmxl1	98.267857	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	340	319	364	230	480	201	426	242	797	619	971	0	0	0	0	0	0	0	0	0	0	0	0
D5Ertd579e	98.250000	303	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	802	336	384	346	928	0	140	110	212	449	468	0	0	0	0	0	0	0	0	0	0	0	0
Cyb5r3	98.196429	79	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	394	167	353	311	495	204	521	410	458	745	920	0	0	0	0	0	0	0	0	0	0	0	0
Thrb	98.071429	183	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	504	485	217	434	536	530	238	490	286	394	387	499	0	0	0	0	0	0	0	0	0	0	0	0
Mrtfb	98.017857	251	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	461	257	401	398	396	300	329	355	521	535	665	0	0	0	0	0	0	0	0	0	0	0	0
Cgref1	98.017857	153	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	256	287	137	251	296	393	326	371	403	650	697	967	0	0	0	0	0	0	0	0	0	0	0	0
Tbl3	97.892857	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	318	322	0	176	228	430	336	502	474	810	597	1086	0	0	0	0	0	0	0	0	0	0	0	0
Mcm7	97.857143	270	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	435	316	131	268	280	313	300	567	332	467	469	1038	0	0	0	0	0	0	0	0	0	0	0	0
Ap4m1	97.857143	270	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	435	316	131	268	280	313	300	567	332	467	469	1038	0	0	0	0	0	0	0	0	0	0	0	0
Mapkap1	97.821429	241	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	518	281	234	426	542	102	372	345	285	515	804	0	0	0	0	0	0	0	0	0	0	0	0
Abcc4	97.821429	278	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	528	552	308	658	546	741	134	221	118	279	339	404	0	0	0	0	0	0	0	0	0	0	0	0
