Target_genes	Gabpa|Average	SRX3041631|CD4+_T_cells	SRX2974920|EML_	SRX5850103|ES_cells	SRX5850104|ES_cells	SRX5850105|ES_cells	SRX5850106|ES_cells	SRX5850107|ES_cells	SRX5850108|ES_cells	SRX5850109|ES_cells	SRX5850110|ES_cells	SRX5850111|ES_cells	SRX5850112|ES_cells	SRX5850113|ES_cells	SRX5850114|ES_cells	SRX2242853|Macrophages	SRX2242855|Macrophages	SRX2242856|Macrophages	SRX12708491|White_adipose_tissue	SRX12708492|White_adipose_tissue	STRING
Cep41	493.315789	315	0	617	275	524	513	292	184	451	484	334	1237	520	785	1588	506	420	225	103	0
Vamp3	492.000000	533	0	495	343	613	729	334	0	410	821	235	1747	280	1802	626	166	214	0	0	0
Wdr75	491.684211	918	0	168	86	263	294	142	0	116	267	0	406	98	430	2556	682	678	994	1244	0
Map9	490.736842	658	0	283	0	472	272	0	0	242	240	0	814	149	684	197	0	0	2682	2631	0
Msantd4	490.210526	0	0	144	0	96	0	0	0	0	251	0	782	0	400	1728	180	164	2785	2784	0
Ppp1r27	490.000000	709	0	636	560	641	929	309	262	559	1060	374	1002	660	1039	570	0	0	0	0	0
Mcrip1	490.000000	709	0	636	560	641	929	309	262	559	1060	374	1002	660	1039	570	0	0	0	0	0
Dlgap5	489.842105	400	0	154	0	225	224	0	0	0	0	0	566	0	668	2117	685	633	1767	1868	0
Zfp141	489.684211	247	0	335	0	392	261	0	0	206	261	0	795	321	628	937	341	268	2115	2197	0
Tfam	489.315789	510	0	434	313	760	737	259	0	291	774	141	1590	321	1496	1038	230	284	0	119	0
Mtrf1	489.210526	414	0	190	0	177	0	0	0	300	0	0	465	176	202	1974	324	467	2312	2294	0
Sirt4	488.789474	147	0	402	154	295	276	275	0	297	282	283	834	336	796	602	0	123	1837	2348	0
Csnk1a1	488.052632	733	0	335	163	711	485	252	0	322	555	225	1454	298	1189	1120	152	220	495	564	0
Ythdf3	486.210526	644	0	493	260	739	584	364	205	461	692	344	1289	287	1003	1246	379	248	0	0	0
Zc3h11a	486.157895	0	0	261	410	417	1054	308	177	433	1056	216	1445	288	1558	638	0	0	430	546	0
Zbed6	486.157895	0	0	261	410	417	1054	308	177	433	1056	216	1445	288	1558	638	0	0	430	546	0
Dnajc1	484.842105	407	0	346	228	511	399	200	0	252	532	0	1019	241	1014	719	406	217	1233	1488	0
Ccp110	484.000000	551	0	310	175	461	307	0	0	252	196	0	640	241	759	1619	750	616	1177	1142	0
Vamp1	483.631579	124	0	437	165	335	506	246	174	663	442	281	877	513	852	655	150	166	1072	1531	0
Rabgef1	483.473684	582	0	419	275	755	554	259	0	460	474	328	1413	355	965	1368	224	270	215	270	0
C9orf72	482.473684	329	0	162	167	365	306	0	0	206	328	0	528	231	512	1667	243	244	1869	2010	0
Serinc4	482.421053	776	0	336	0	627	338	270	0	294	266	0	796	184	687	1430	556	537	1098	971	0
Hypk	482.421053	776	0	336	0	627	338	270	0	294	266	0	796	184	687	1430	556	537	1098	971	0
Tedc2	482.368421	551	0	142	0	236	176	0	0	0	230	0	542	0	454	2255	667	583	1706	1623	0
Sgta	482.368421	418	0	0	0	138	144	0	0	0	0	0	577	0	449	1869	615	346	2387	2222	0
Ap2s1	481.789474	695	0	307	0	317	225	179	0	157	238	0	689	146	720	1433	408	340	1428	1872	0
Spcs1	481.684211	611	0	241	230	344	364	224	0	377	410	101	807	285	648	2160	566	575	449	760	0
Glt8d1	481.684211	611	0	241	230	344	364	224	0	377	410	101	807	285	648	2160	566	575	449	760	0
Mnat1	481.578947	0	0	550	304	422	342	269	0	513	391	179	596	395	374	827	205	224	1630	1929	0
Chuk	480.789474	654	0	319	198	433	420	170	0	370	505	0	1118	262	1024	1346	423	208	730	955	0
Ssu72	480.368421	320	0	597	511	432	535	375	199	379	448	240	1090	315	557	933	128	251	850	967	0
Eif3d	480.263158	221	1556	0	0	0	0	0	0	0	0	0	369	0	371	1908	348	459	1802	2091	0
Thap1	480.105263	315	142	347	213	585	744	272	0	515	833	0	1705	232	1950	610	223	0	195	241	0
Rnpepl1	479.947368	743	0	436	252	591	614	220	127	501	527	228	1139	394	1071	1353	317	339	0	267	0
Dusp28	479.947368	743	0	436	252	591	614	220	127	501	527	228	1139	394	1071	1353	317	339	0	267	0
Ankmy1	479.947368	743	0	436	252	591	614	220	127	501	527	228	1139	394	1071	1353	317	339	0	267	0
Pla2g5	479.842105	0	0	360	221	989	914	251	0	792	983	220	1446	482	2129	330	0	0	0	0	0
Spg7	479.578947	260	0	706	550	754	684	422	281	467	917	385	1505	340	1123	363	0	0	158	197	0
Rab23	479.526316	0	0	572	711	820	799	517	367	786	1009	399	1185	631	1098	217	0	0	0	0	0
Napg	478.052632	301	0	339	157	284	193	212	0	361	354	0	655	185	564	1265	307	281	1912	1713	0
Taf13	478.000000	429	0	153	0	234	188	0	0	162	131	0	428	0	361	1161	324	295	2653	2563	0
Zfp830	477.631579	597	0	291	224	430	227	241	0	242	205	0	807	235	751	1117	271	192	1486	1759	0
Cct6b	477.631579	597	0	291	224	430	227	241	0	242	205	0	807	235	751	1117	271	192	1486	1759	0
Ints3	477.000000	654	0	372	194	544	594	129	0	283	752	171	1307	354	1018	1131	474	466	271	349	0
Tom1l2	476.842105	0	0	64	0	131	163	107	0	141	283	0	325	183	255	1825	282	388	2218	2695	0
Drc3	476.842105	0	0	64	0	131	163	107	0	141	283	0	325	183	255	1825	282	388	2218	2695	0
Serp1	476.736842	977	0	164	0	242	334	134	0	190	260	0	671	0	479	2051	622	547	1082	1305	0
Eif2a	476.736842	977	0	164	0	242	334	134	0	190	260	0	671	0	479	2051	622	547	1082	1305	0
Slc25a20	476.684211	389	0	449	197	546	370	190	0	301	378	0	1369	341	932	803	279	180	1183	1150	0
Pef1	476.000000	400	0	179	129	193	247	0	0	198	0	0	670	0	749	1380	388	336	2083	2092	0
Pibf1	475.894737	633	0	244	190	413	527	0	0	257	517	0	1147	270	1075	1312	262	342	1029	824	0
Nudt1	475.894737	826	0	385	160	377	412	308	0	296	271	172	838	218	922	1707	517	585	514	534	0
Mrm2	475.894737	826	0	385	160	377	412	308	0	296	271	172	838	218	922	1707	517	585	514	534	0
Dis3	475.894737	633	0	244	190	413	527	0	0	257	517	0	1147	270	1075	1312	262	342	1029	824	0
Dlx4	475.736842	0	0	660	414	734	891	401	234	551	826	410	1285	572	1233	351	0	0	141	336	0
Psmc3	474.684211	928	0	452	165	324	352	0	0	148	242	71	959	0	781	1495	595	494	888	1125	0
Pnpla8	473.947368	715	0	313	157	373	375	145	0	242	398	0	867	222	829	948	343	202	1335	1541	0
Ccdc130	473.894737	400	0	322	181	457	552	222	0	206	216	135	978	148	763	1592	204	390	1119	1119	0
Mrpl12	473.684211	504	0	364	390	419	540	293	0	533	691	0	1219	298	922	1686	264	342	280	255	0
Ikbkb	472.947368	546	0	348	0	405	363	0	0	102	232	0	639	226	958	2020	576	404	1050	1117	0
Ercc6l2	472.894737	551	0	570	396	629	508	279	144	479	706	179	906	613	797	1143	281	178	243	383	0
Mta2	472.368421	760	0	288	351	358	764	282	205	503	923	221	1199	317	1241	709	283	207	208	156	0
Elp6	471.578947	419	0	0	0	168	227	0	0	188	187	0	702	0	540	1743	413	322	1943	2108	0
Prcp	471.421053	789	0	293	149	522	492	162	0	199	384	112	941	204	599	1306	242	378	1006	1179	0
Ddias	471.421053	789	0	293	149	522	492	162	0	199	384	112	941	204	599	1306	242	378	1006	1179	0
Pdcd6	471.105263	676	0	217	228	489	409	145	0	236	312	135	848	163	918	1579	454	597	636	909	0
Fancd2	471.052632	196	0	659	378	637	515	388	0	345	544	419	1257	412	850	874	289	304	394	489	0
Emc3	471.052632	196	0	659	378	637	515	388	0	345	544	419	1257	412	850	874	289	304	394	489	0
Tmf1	470.578947	1013	0	432	179	629	607	0	0	283	434	0	1167	346	964	1293	586	345	276	387	0
Jagn1	469.631579	208	0	433	342	311	606	255	205	482	572	213	1176	248	704	1064	195	124	791	994	0
Nabp2	469.473684	324	0	391	237	508	510	220	120	350	596	129	1235	339	1212	854	335	389	491	680	0
Pcnx3	469.368421	269	0	0	0	140	158	0	0	0	149	0	417	0	173	1746	374	453	2539	2500	0
Map3k11	469.368421	269	0	0	0	140	158	0	0	0	149	0	417	0	173	1746	374	453	2539	2500	0
Sgo2a	469.263158	504	0	363	115	416	277	120	0	231	231	0	855	176	792	1497	336	322	1316	1365	0
Flad1	469.263158	0	0	133	0	227	0	0	0	0	0	0	521	0	307	1701	402	408	2659	2558	0
Sec23a	469.052632	566	0	269	182	321	250	164	0	283	149	0	1051	0	981	1313	398	293	1349	1343	0
Gemin2	469.052632	566	0	269	182	321	250	164	0	283	149	0	1051	0	981	1313	398	293	1349	1343	0
Uba52	469.000000	923	0	429	382	784	542	266	0	323	442	179	1193	347	1263	1181	294	0	172	191	0
Rex1bd	469.000000	923	0	429	382	784	542	266	0	323	442	179	1193	347	1263	1181	294	0	172	191	0
Myl4	468.789474	544	0	299	129	443	509	0	0	285	392	0	1396	382	1274	1121	389	278	733	733	0
Cdc27	468.789474	544	0	299	129	443	509	0	0	285	392	0	1396	382	1274	1121	389	278	733	733	0
Cct8	468.473684	852	0	283	176	580	422	208	0	0	285	0	894	166	878	1263	575	329	999	991	0
Cct5	468.473684	0	0	446	355	387	358	362	0	401	350	267	989	282	805	1258	109	119	1303	1110	0
Atpsckmt	468.473684	0	0	446	355	387	358	362	0	401	350	267	989	282	805	1258	109	119	1303	1110	0
Zscan21	468.315789	633	0	255	145	303	238	200	0	402	290	0	800	241	785	1274	303	425	1357	1247	0
Zkscan5	468.210526	340	0	202	0	234	264	0	0	195	288	0	805	0	560	1706	503	382	1645	1772	0
Zkscan14	468.210526	340	0	202	0	234	264	0	0	195	288	0	805	0	560	1706	503	382	1645	1772	0
Sf3a2	467.105263	820	0	274	0	441	372	138	0	179	327	0	1206	146	599	2288	737	602	331	415	0
Plekhj1	467.105263	820	0	274	0	441	372	138	0	179	327	0	1206	146	599	2288	737	602	331	415	0
Purb	466.842105	878	0	523	484	635	587	436	203	547	522	525	908	761	1217	510	0	0	0	134	0
Mynn	466.631579	406	0	233	215	306	510	0	0	220	485	139	895	133	904	1596	308	358	1094	1064	0
Actrt3	466.631579	406	0	233	215	306	510	0	0	220	485	139	895	133	904	1596	308	358	1094	1064	0
Btbd8	465.894737	159	0	577	657	746	481	370	276	578	590	419	1198	517	771	763	0	175	256	319	0
Ascc2	465.421053	0	0	442	299	496	537	200	0	265	686	219	1201	291	1117	1736	247	591	236	280	0
Sra1	465.052632	497	0	589	181	642	393	267	0	325	510	206	917	248	910	705	322	198	808	1118	0
Fam98b	464.947368	0	0	438	412	538	636	219	216	427	691	235	962	450	735	922	0	113	865	975	0
Tpm3	463.789474	811	0	308	239	443	412	245	0	169	420	160	1013	275	879	1403	332	189	733	781	0
Sbno2	463.210526	523	139	654	451	767	643	444	137	618	523	308	1290	459	1322	420	0	0	103	0	0
Abhd18	463.000000	1014	0	331	271	452	452	300	0	310	386	105	1337	141	1178	1325	447	489	172	87	0
Mis18bp1	462.526316	385	0	291	177	470	510	119	216	310	674	145	1325	231	1343	1717	422	236	99	118	0
Rps24	462.210526	628	0	0	0	207	284	0	0	114	242	0	546	0	569	2002	289	561	1522	1818	0
Polr3a	462.210526	628	0	0	0	207	284	0	0	114	242	0	546	0	569	2002	289	561	1522	1818	0
Trip10	461.947368	208	0	0	0	0	0	0	0	0	0	0	709	0	368	1710	509	298	2555	2420	0
Gpr108	461.947368	208	0	0	0	0	0	0	0	0	0	0	709	0	368	1710	509	298	2555	2420	0
Csf2ra	461.526316	425	165	310	608	467	854	297	406	320	755	455	920	489	1024	613	0	119	224	318	0
Tomm20	461.368421	582	0	370	320	518	601	210	162	211	514	161	1296	272	1215	1391	441	270	95	137	0
Fam13b	461.210526	865	159	520	326	901	735	302	77	490	432	206	1172	368	1132	873	205	0	0	0	0
Med25	460.526316	445	0	154	0	230	143	0	0	115	198	0	365	0	280	2264	721	550	1608	1677	0
Fuz	460.526316	445	0	154	0	230	143	0	0	115	198	0	365	0	280	2264	721	550	1608	1677	0
Rpl32	460.473684	159	433	66	106	82	135	0	0	0	0	0	310	0	271	2428	402	303	2051	2003	0
Ergic2	459.894737	260	0	310	0	306	334	0	0	283	362	0	769	248	817	998	178	312	1745	1816	0
Samm50	459.368421	639	0	99	0	193	0	113	0	0	0	0	592	0	229	1897	568	635	1910	1853	0
D8Ertd738e	459.315789	242	0	267	132	380	249	144	0	262	203	0	799	0	646	1195	260	170	1748	2030	0
1810058I24Rik	459.315789	865	0	420	273	590	576	244	0	453	475	265	1337	388	1332	779	159	155	172	244	0
Rheb	459.105263	356	0	0	0	160	134	0	0	127	221	0	534	0	349	1166	292	259	2623	2502	0
Zfp775	458.421053	0	0	331	286	1002	964	177	282	1011	1249	531	611	882	1384	0	0	0	0	0	0
Repin1	458.421053	0	0	331	286	1002	964	177	282	1011	1249	531	611	882	1384	0	0	0	0	0	0
Gm11213	457.947368	385	0	737	723	762	596	801	578	884	614	709	647	656	609	0	0	0	0	0	0
Ccdc39	455.631579	0	0	250	0	207	153	136	0	215	0	0	623	149	423	2099	520	427	1571	1884	0
Zfp84	454.947368	385	0	192	0	197	213	0	0	230	162	0	494	182	313	1675	357	340	1904	2000	0
Eif2s3x	454.789474	357	0	214	0	180	216	0	0	0	180	0	549	0	561	1889	329	491	1736	1939	0
Rab3gap2	454.736842	850	0	494	320	665	526	428	0	364	504	263	1357	363	1054	690	376	386	0	0	0
Melk	454.473684	247	0	301	0	347	307	111	0	187	223	0	1076	132	864	2423	611	746	347	713	0
Gspt1	454.473684	459	0	260	132	380	321	196	0	298	293	0	853	200	763	1732	308	344	998	1098	0
Ints5	453.947368	326	0	324	193	471	439	178	0	314	515	0	733	344	850	911	280	146	1245	1356	0
Lsm5	453.736842	380	0	291	0	237	240	190	0	271	351	188	777	260	565	1442	302	325	1212	1590	0
Hsbp1	453.526316	326	0	209	0	228	83	121	0	103	133	0	759	0	595	1935	556	310	1560	1699	0
Stk40	453.473684	740	0	251	148	430	352	0	0	227	282	163	966	180	955	852	304	275	1144	1347	0
Vmn2r72	452.894737	0	0	0	635	0	1277	0	505	536	1736	0	1084	762	2070	0	0	0	0	0	0
U2af1l4	452.684211	407	0	0	0	230	174	0	0	0	203	0	715	0	528	1460	459	374	2097	1954	0
Psenen	452.684211	407	0	0	0	230	174	0	0	0	203	0	715	0	528	1460	459	374	2097	1954	0
Lin37	452.684211	407	0	0	0	230	174	0	0	0	203	0	715	0	528	1460	459	374	2097	1954	0
Igflr1	452.684211	407	0	0	0	230	174	0	0	0	203	0	715	0	528	1460	459	374	2097	1954	0
Odf2l	452.578947	353	0	398	0	327	373	154	0	320	410	0	895	241	460	1235	156	124	1500	1653	0
Prim2	452.315789	843	0	297	235	511	437	180	0	327	432	0	738	191	713	1603	402	404	510	771	0
Tmem185b	451.210526	439	0	568	380	505	510	290	128	359	613	315	1152	311	820	1584	217	382	0	0	0
Mphosph8	451.052632	260	0	457	203	558	320	0	0	181	373	0	1190	193	956	1360	194	262	812	1251	0
Zfp958	451.000000	401	0	256	165	221	114	142	0	137	190	0	591	185	374	1418	210	184	2052	1929	0
Dscc1	450.631579	586	0	537	253	473	313	212	127	229	341	247	912	331	604	1510	351	317	518	701	0
1810009A15Rik	450.315789	326	0	324	193	471	439	178	0	314	515	0	733	344	850	842	280	146	1245	1356	0
Ube2b	449.947368	429	0	394	336	582	466	238	0	300	529	146	922	337	771	882	286	245	694	992	0
Cdkl3	449.947368	429	0	394	336	582	466	238	0	300	529	146	922	337	771	882	286	245	694	992	0
Serpini1	449.894737	349	0	0	0	146	251	136	0	0	240	0	541	0	562	1454	300	250	2104	2215	0
Pdcd10	449.894737	349	0	0	0	146	251	136	0	0	240	0	541	0	562	1454	300	250	2104	2215	0
Taf2	449.631579	708	0	326	293	439	289	227	0	234	280	125	664	234	616	1525	485	442	730	926	0
Smim12	448.421053	234	0	146	0	298	172	0	0	191	181	0	586	107	401	1194	182	252	2215	2361	0
Sesn3	448.105263	425	0	294	444	831	972	279	316	762	1098	254	1144	601	1094	0	0	0	0	0	0
Etfrf1	447.210526	438	0	303	0	559	412	111	0	294	276	0	988	203	1240	953	116	256	992	1356	0
Casc1	447.210526	438	0	303	0	559	412	111	0	294	276	0	988	203	1240	953	116	256	992	1356	0
Kat7	447.105263	588	0	202	0	340	143	150	0	192	141	0	824	150	738	1225	383	361	1314	1744	0
Mcm3	446.368421	147	663	142	108	291	181	0	0	0	0	0	691	0	348	2482	565	417	1386	1060	0
Tbc1d19	446.263158	0	0	472	217	647	490	269	0	524	410	303	755	457	775	677	97	0	929	1457	0
Pfas	446.210526	429	0	0	0	312	0	0	0	204	0	0	636	0	436	984	462	267	2461	2287	0
Ctc1	446.210526	429	0	0	0	312	0	0	0	204	0	0	636	0	436	984	462	267	2461	2287	0
Dnpep	444.736842	520	0	202	0	556	495	87	0	170	210	0	1436	111	1291	1799	440	336	258	539	0
Ercc5	443.631579	357	0	209	138	537	610	181	134	252	739	0	1150	194	1000	804	234	236	796	858	0
Rraga	443.368421	591	0	404	178	576	420	165	0	253	327	0	752	189	844	961	341	440	733	1250	0
Igbp1	443.000000	135	0	0	0	0	0	0	0	0	0	0	121	0	0	2204	537	434	2386	2600	0
Tvp23b	442.315789	558	0	491	242	657	580	333	174	460	435	166	1498	246	1294	780	205	136	0	149	0
Rplp2	442.210526	309	212	224	85	278	150	118	0	65	230	0	854	119	548	1413	311	237	1631	1618	0
Pidd1	442.210526	309	212	224	85	278	150	118	0	65	230	0	854	119	548	1413	311	237	1631	1618	0
Acox3	442.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2266	171	331	2869	2764	0
Dapk3	441.526316	266	0	205	0	175	0	0	0	0	0	0	439	0	289	1784	494	477	2312	1948	0
Tex10	441.210526	414	0	428	346	708	581	275	127	331	681	192	1157	141	1103	1156	332	187	0	224	0
Ska3	440.789474	730	0	390	373	519	777	223	228	300	765	0	1061	294	1280	968	223	244	0	0	0
Mrpl57	440.789474	730	0	390	373	519	777	223	228	300	765	0	1061	294	1280	968	223	244	0	0	0
Tars2	440.736842	0	0	339	0	500	441	220	0	386	316	0	880	432	953	735	139	0	1374	1659	0
Lbhd1	440.157895	326	0	324	0	471	439	178	0	314	515	0	733	344	850	842	280	146	1245	1356	0
Zfp934	439.473684	202	0	294	125	283	298	130	0	249	451	149	793	216	610	1439	90	146	1506	1369	0
Hspe1	438.947368	274	0	247	180	420	448	135	0	162	404	0	1068	195	734	2029	304	405	626	709	0
Hspd1	438.947368	274	0	247	180	420	448	135	0	162	404	0	1068	195	734	2029	304	405	626	709	0
Rps10	438.894737	1004	289	287	371	457	563	316	96	298	407	125	964	248	1072	1373	202	108	159	0	0
Rai2	438.631579	0	0	153	505	460	1277	80	368	660	1249	263	980	505	1834	0	0	0	0	0	0
Zfp335	438.473684	0	0	216	117	141	279	147	0	159	337	0	557	167	573	2186	170	301	1408	1573	0
Cpeb4	438.473684	406	0	275	140	497	526	287	0	299	619	109	1282	266	1359	880	421	196	311	458	0
Rpl36al	437.210526	618	0	240	195	647	373	149	0	258	350	105	998	207	802	1578	261	246	609	671	0
Mgat2	437.210526	618	0	240	195	647	373	149	0	258	350	105	998	207	802	1578	261	246	609	671	0
LOC114841036	437.000000	321	0	201	0	152	0	0	0	0	154	0	625	0	505	1214	322	118	2350	2341	0
Fkbp2	437.000000	321	0	201	0	152	0	0	0	0	154	0	625	0	505	1214	322	118	2350	2341	0
Gm9222	436.368421	0	0	606	338	596	485	231	175	409	369	232	949	502	845	1639	485	430	0	0	0
Dvl3	436.000000	613	0	386	275	637	515	306	146	541	710	198	1649	189	1138	818	163	0	0	0	0
Eif1	435.263158	604	0	443	338	541	444	248	0	345	298	200	1249	292	1040	929	341	392	281	285	0
Bod1l	433.842105	147	0	250	138	163	170	181	0	105	168	0	582	0	305	2028	364	460	1418	1764	0
Spata33	433.526316	400	0	415	306	384	690	312	0	396	832	219	1464	284	1536	914	0	85	0	0	0
Chmp1a	433.526316	400	0	415	306	384	690	312	0	396	832	219	1464	284	1536	914	0	85	0	0	0
Zfp87	433.315789	112	0	417	167	356	327	200	0	297	387	162	914	241	573	1009	115	0	1364	1592	0
Zranb3	432.421053	0	0	0	0	257	0	0	0	0	0	0	353	0	193	2179	285	333	2295	2321	0
R3hdm1	432.421053	0	0	0	0	257	0	0	0	0	0	0	353	0	193	2179	285	333	2295	2321	0
Cttn	431.578947	0	0	596	453	861	754	245	0	543	758	296	1628	524	1365	0	0	0	177	0	0
Zzz3	430.789474	1079	0	386	351	647	635	209	171	360	693	214	1337	299	1211	593	0	0	0	0	0
2610044O15Rik8	430.263158	232	125	200	106	0	159	0	0	121	113	0	593	100	342	1884	200	322	1725	1953	0
Gemin6	430.157895	608	0	214	0	196	0	0	0	260	0	0	485	213	420	1472	410	442	1625	1828	0
Rsph3b	430.052632	268	0	414	298	586	370	179	0	299	322	162	1076	183	723	1515	618	564	292	302	0
Ptpn21	429.894737	0	0	428	256	539	583	296	125	595	648	241	686	616	825	985	162	140	473	570	0
Ado	429.842105	429	0	145	148	279	104	0	0	144	283	0	383	170	226	1513	271	330	1736	2006	0
Rpl22l1	429.789474	581	0	239	0	291	209	0	0	137	168	0	584	0	664	1148	281	283	1697	1884	0
Chd2	429.684211	0	0	400	361	399	681	279	0	382	837	0	1323	300	1591	309	0	0	565	737	0
Zfp143	429.263158	301	0	193	195	315	435	177	108	244	474	0	728	139	748	1421	178	174	1229	1097	0
Ddb2	428.789474	636	0	392	125	396	408	166	0	283	399	0	1114	158	824	1338	352	276	749	531	0
Paf1	428.736842	234	0	158	0	169	188	0	0	0	229	0	532	0	563	1296	321	286	1957	2213	0
Med29	428.736842	234	0	158	0	169	188	0	0	0	229	0	532	0	563	1296	321	286	1957	2213	0
Ifnar1	428.631579	159	0	356	179	447	437	177	0	244	311	0	853	184	764	1080	330	223	1156	1244	0
Mat2b	428.578947	581	0	457	317	530	643	228	175	276	697	199	1457	291	1067	839	184	202	0	0	0
Tpp2	427.315789	329	0	229	148	346	388	136	0	224	354	137	1172	222	657	1180	255	195	1003	1144	0
Akt2	427.105263	385	0	132	127	301	342	84	0	111	332	0	824	153	720	652	182	198	1802	1770	0
Stk16	426.894737	221	0	281	171	552	280	227	0	247	166	0	589	198	566	914	173	236	1637	1653	0
Glb1l	426.894737	221	0	281	171	552	280	227	0	247	166	0	589	198	566	914	173	236	1637	1653	0
Gabpb1	426.894737	384	0	163	172	275	300	155	140	248	248	137	415	197	380	1980	389	256	1017	1255	0
Gatad2a	426.736842	234	0	627	490	691	714	457	214	693	687	387	906	615	935	264	0	0	0	194	0
Ahi1	426.263158	195	0	232	177	215	398	111	0	233	392	0	972	241	867	1117	265	110	1262	1312	0
Ndc80	425.631579	529	0	279	166	435	332	219	0	284	323	0	1025	149	754	1865	482	495	228	522	0
Dcakd	424.473684	1106	1255	304	254	517	353	199	0	318	341	0	1022	161	990	730	296	219	0	0	0
Wwox	424.263158	196	0	320	381	304	505	136	204	320	397	282	789	241	659	787	213	224	1068	1035	0
Tfpt	423.947368	183	0	170	0	294	131	134	0	0	0	0	436	0	395	1655	209	230	2156	2062	0
Prpf31	423.947368	183	0	170	0	294	131	134	0	0	0	0	436	0	395	1655	209	230	2156	2062	0
Tescl	423.842105	0	0	515	415	672	791	405	315	713	958	359	1159	374	1377	0	0	0	0	0	0
Glrx5	423.736842	905	206	187	119	376	398	118	0	189	255	0	1043	220	811	1441	438	253	562	530	0
Pigw	423.631579	414	0	270	268	401	503	208	189	331	488	186	981	141	827	1543	284	649	106	260	0
Myo19	423.631579	414	0	270	268	401	503	208	189	331	488	186	981	141	827	1543	284	649	106	260	0
Malsu1	423.526316	124	0	270	177	333	422	0	0	259	335	128	922	0	845	821	141	271	1431	1568	0
Hnrnpul1	423.052632	601	219	0	0	0	143	0	0	0	0	0	528	0	253	1627	588	460	1647	1972	0
Tbc1d13	423.000000	112	0	692	391	752	812	293	0	466	929	275	1216	435	1305	359	0	0	0	0	0
Fbl	423.000000	719	0	351	0	368	283	195	0	188	403	0	956	273	977	1090	446	396	674	718	0
Cdc34	422.842105	787	0	212	124	387	647	198	0	254	628	0	1297	293	1323	1275	223	386	0	0	0
Med10	422.263158	608	0	330	265	372	402	197	0	261	361	171	917	306	838	2092	477	426	0	0	0
Zbtb7a	421.894737	683	191	313	267	381	585	0	0	258	446	233	1080	263	1358	533	187	291	340	607	0
Uqcr11	421.000000	519	0	0	0	172	0	0	0	0	0	0	382	0	392	1297	273	319	2274	2371	0
Zwilch	420.526316	159	0	0	0	0	0	0	0	0	0	0	166	0	129	2790	505	355	1783	2103	0
Rpl4	420.526316	159	0	0	0	0	0	0	0	0	0	0	166	0	129	2790	505	355	1783	2103	0
Elk4	420.526316	711	0	217	250	399	410	181	208	246	526	168	959	274	962	809	298	375	373	624	0
Dnlz	420.473684	416	766	351	143	352	314	192	0	498	364	173	644	348	602	1186	176	340	538	586	0
Cetn3	420.473684	748	0	162	138	281	431	0	0	113	516	0	1080	176	989	1795	405	314	359	482	0
Pcmt1	420.210526	792	0	358	296	506	476	210	97	499	478	303	481	372	505	1026	214	164	596	611	0
Papola	420.210526	313	0	316	298	428	729	185	228	300	1055	263	1346	486	1612	425	0	0	0	0	0
Derl1	420.052632	732	0	343	202	409	335	300	186	370	362	153	1120	238	678	1099	0	186	440	828	0
Tgfb3	419.947368	135	0	250	0	480	139	174	0	277	195	224	620	135	584	876	270	335	1702	1583	0
Ift43	419.947368	135	0	250	0	480	139	174	0	277	195	224	620	135	584	876	270	335	1702	1583	0
Ebag9	419.894737	147	0	683	387	382	251	493	184	446	625	303	1234	194	676	538	209	195	534	497	0
H13	419.684211	965	0	321	271	574	339	163	122	323	443	107	1049	246	788	735	330	324	366	508	0
H2-Ke6	417.736842	701	0	377	327	648	473	245	0	432	659	255	951	292	966	957	227	324	0	103	0
B4galt7	417.473684	208	0	465	202	625	419	356	0	682	510	212	768	453	548	782	145	241	547	769	0
Scand1	417.421053	727	0	285	165	433	237	146	0	181	231	0	713	194	428	1215	354	411	1046	1165	0
Cnbd2	417.421053	727	0	285	165	433	237	146	0	181	231	0	713	194	428	1215	354	411	1046	1165	0
Capza1	417.263158	514	0	314	333	310	800	270	293	237	750	188	1003	304	1193	644	137	149	245	244	0
Myl6b	417.000000	576	0	296	0	367	359	0	0	0	345	0	942	146	691	1368	219	259	1059	1296	0
Myl6	417.000000	576	0	296	0	367	359	0	0	0	345	0	942	146	691	1368	219	259	1059	1296	0
Stk19	416.947368	248	0	179	0	256	170	158	0	232	141	0	549	135	539	2041	269	330	1160	1515	0
Dxo	416.947368	248	0	179	0	256	170	158	0	232	141	0	549	135	539	2041	269	330	1160	1515	0
Ttc23	416.736842	414	0	200	0	227	169	0	0	0	140	0	642	0	529	1550	387	126	1778	1756	0
Lrrc28	416.736842	414	0	200	0	227	169	0	0	0	140	0	642	0	529	1550	387	126	1778	1756	0
Zfp868	415.947368	385	0	559	290	556	574	346	0	393	608	188	1149	287	1011	1183	74	136	0	164	0
Rpl12	415.894737	0	0	0	0	694	654	420	0	759	719	321	1197	0	842	1390	0	0	312	594	0
Taf10	415.421053	864	0	440	352	515	610	189	157	474	501	173	1452	302	983	752	129	0	0	0	0
Fam118a	415.421053	310	0	360	431	550	795	242	0	479	662	257	1343	613	1311	540	0	0	0	0	0
Pigbos1	414.736842	183	0	305	154	286	300	98	0	180	372	175	690	212	445	2159	403	560	734	624	0
Pigb	414.736842	183	0	305	154	286	300	98	0	180	372	175	690	212	445	2159	403	560	734	624	0
