Target_genes	Arid5a|Average	SRX11149862|4T1	SRX11149863|4T1	SRX11149866|4T1	SRX11149867|4T1	STRING
Gmfb	42.500000	0	0	0	170	0
Gata3	42.500000	0	0	0	170	0
Galnt2	42.500000	0	0	0	170	0
Tcta	42.250000	0	0	85	84	0
Rhoa	42.250000	0	0	85	84	0
Lpp	42.250000	0	0	0	169	0
Igf1r	42.250000	0	0	0	169	0
Alcam	42.250000	0	0	0	169	0
Txnrd2	42.000000	0	0	0	168	0
Pwwp2b	42.000000	0	0	0	168	0
Nuak2	42.000000	0	0	0	168	0
Gm3776	42.000000	0	0	0	168	0
Fam168b	42.000000	0	0	68	100	0
Comt	42.000000	0	0	0	168	0
Abca8a	42.000000	0	0	0	168	0
Nme1	41.750000	0	0	0	167	0
Kcnc1	41.750000	0	0	167	0	0
Gcnt2	41.750000	0	0	0	167	0
Cxcl1	41.750000	0	0	0	167	0
Csf1	41.750000	0	0	0	167	0
Sfr1	41.500000	0	0	0	166	0
S100a3	41.500000	0	0	0	166	0
S100a2	41.500000	0	0	0	166	0
Map3k7	41.500000	0	0	0	166	0
Ltbp3	41.500000	0	0	0	166	0
Zfp91	41.250000	0	0	0	165	0
Lpxn	41.250000	0	0	0	165	0
Lmna	41.250000	0	0	0	165	0
Krt80	41.250000	0	0	0	165	0
Itpk1	41.250000	0	0	0	165	0
Itga5	41.250000	0	0	0	165	0
Hhipl1	41.250000	0	0	0	165	0
Gpr39	41.250000	0	0	0	165	0
Amn1	41.250000	0	0	0	165	0
1700017B05Rik	41.250000	0	0	0	165	0
Slc15a4	41.000000	0	0	0	164	0
H4c17	41.000000	0	0	0	164	0
Fam76b	41.000000	0	0	0	164	0
Eif4h	41.000000	0	0	0	164	0
Cldn3	41.000000	0	0	0	164	0
Cep57	41.000000	0	0	0	164	0
Anxa11	41.000000	0	0	0	164	0
Antxr2	41.000000	0	0	0	164	0
Stambpl1	40.750000	0	0	0	163	0
Picalm	40.750000	0	0	0	163	0
Myo18a	40.750000	0	0	0	163	0
Muc5b	40.750000	0	0	0	163	0
Gss	40.750000	0	0	0	163	0
Faap20	40.750000	0	0	0	163	0
Ddx20	40.750000	0	0	0	163	0
Cpsf1	40.750000	0	0	0	163	0
Utp3	40.500000	0	0	0	162	0
Slc44a1	40.500000	0	0	0	162	0
Nppb	40.500000	0	0	0	162	0
Depdc5	40.500000	0	0	0	162	0
Cd276	40.500000	0	0	0	162	0
Cc2d1b	40.500000	0	0	80	82	0
Bnip3	40.500000	0	0	0	162	0
Rxra	40.250000	0	0	0	161	0
Rin1	40.250000	0	0	0	161	0
Kank4	40.250000	0	0	0	161	0
Itgb3bp	40.250000	0	0	0	161	0
H2bc13	40.250000	0	0	0	161	0
H2ac13	40.250000	0	0	0	161	0
Gstp3	40.250000	0	0	0	161	0
Fus	40.250000	0	0	98	63	0
Etv1	40.250000	0	0	0	161	0
Efcab7	40.250000	0	0	0	161	0
Casc3	40.250000	0	0	0	161	0
Capn5	40.250000	0	0	0	161	0
Slc25a36	40.000000	0	0	0	160	0
Map4k5	40.000000	0	0	0	160	0
Gtf2a1	40.000000	0	0	0	160	0
Atl1	40.000000	0	0	0	160	0
Ubl3	39.750000	0	0	0	159	0
Ptges3	39.750000	0	0	0	159	0
Ppp3cb	39.750000	0	0	0	159	0
Pmp22	39.750000	0	0	0	159	0
Pkn3	39.750000	0	0	0	159	0
Keap1	39.750000	0	0	0	159	0
Hspa8	39.750000	0	0	0	159	0
Gpc1	39.750000	0	0	0	159	0
Cd44	39.750000	0	0	0	159	0
Stk24	39.500000	0	0	0	158	0
St14	39.500000	0	0	0	158	0
Mterf1a	39.500000	0	0	0	158	0
Rbm39	39.250000	0	0	0	157	0
Ppp1r2	39.250000	0	0	0	157	0
Dtnb	39.250000	0	0	0	157	0
Yap1	39.000000	0	0	0	156	0
Septin4	39.000000	0	0	0	156	0
Rev1	39.000000	0	0	0	156	0
Pak2	39.000000	74	0	0	82	0
Ncoa5	39.000000	0	0	0	156	0
Mnat1	39.000000	0	0	0	156	0
Kansl3	39.000000	0	0	0	156	0
Fer1l5	39.000000	0	0	0	156	0
Dnase2b	39.000000	0	0	0	156	0
Arhgap42	39.000000	0	0	0	156	0
Rock2	38.750000	0	0	0	155	0
Prelid3a	38.750000	0	0	0	155	0
Plekhg5	38.750000	0	0	0	155	0
Pgap2	38.750000	0	0	0	155	0
Nup98	38.750000	0	0	0	155	0
Dpy19l4	38.750000	0	0	0	155	0
Rasa3	38.500000	0	0	0	154	0
Gm5148	38.500000	0	0	0	154	0
Eci1	38.500000	0	0	0	154	0
Ubr5	38.250000	0	0	0	153	0
Ttc32	38.250000	0	0	0	153	0
Tgm2	38.250000	0	0	0	153	0
Tada1	38.250000	0	0	0	153	0
Tab1	38.250000	0	0	0	153	0
Sp3	38.250000	0	0	0	153	0
Pltp	38.250000	0	0	0	153	0
Pcdhb11	38.250000	0	0	153	0	0
Fndc3b	38.250000	0	0	0	153	0
Eid1	38.250000	0	0	0	153	0
Dynll2	38.250000	0	0	0	153	0
Atp2b1	38.250000	0	0	0	153	0
Zfp560	38.000000	0	0	0	152	0
Trex1	38.000000	0	0	0	152	0
Slc9a9	38.000000	0	0	0	152	0
Shisa5	38.000000	0	0	0	152	0
Ran	38.000000	0	0	0	152	0
Prdm2	38.000000	0	0	0	152	0
Maml3	38.000000	0	0	0	152	0
Lifr	38.000000	0	0	0	152	0
Ints14	38.000000	0	0	0	152	0
Hmgxb4	38.000000	0	0	0	152	0
H4c12	38.000000	0	0	0	152	0
H2bc15	38.000000	0	0	0	152	0
H2ac15	38.000000	0	0	0	152	0
Ggnbp2	38.000000	0	0	0	152	0
Egln2	38.000000	0	0	0	152	0
Ctbp1	38.000000	0	0	0	152	0
Cnn3	38.000000	0	0	0	152	0
Cdk5rap1	38.000000	72	0	0	80	0
Spata1	37.750000	0	0	0	151	0
Serpine1	37.750000	0	0	0	151	0
Mvd	37.750000	0	0	0	151	0
Mrpl12	37.750000	0	0	0	151	0
Maz	37.750000	0	0	0	151	0
Lrrc8b	37.750000	0	0	0	151	0
Gpn3	37.750000	0	0	0	151	0
Gng5	37.750000	0	0	0	151	0
Fam216a	37.750000	0	0	0	151	0
Erlin2	37.750000	0	0	0	151	0
Aff4	37.750000	0	0	0	151	0
Yy1	37.500000	0	0	64	86	0
Srxn1	37.500000	0	0	0	150	0
Mbd6	37.500000	0	0	0	150	0
F3	37.500000	0	0	0	150	0
Ddit3	37.500000	0	0	0	150	0
Ccnl1	37.500000	0	0	0	150	0
Zranb2	37.250000	0	0	0	149	0
Tfb2m	37.250000	0	0	0	149	0
Prkdc	37.250000	0	0	0	149	0
Plekhh2	37.250000	0	0	0	149	0
Nepro	37.250000	68	0	0	81	0
Mcm4	37.250000	0	0	0	149	0
Map3k20	37.250000	0	0	0	149	0
Ifitm10	37.250000	0	0	0	149	0
H3f3a	37.250000	0	0	0	149	0
Dcp1a	37.250000	0	0	0	149	0
Cnst	37.250000	0	0	0	149	0
Chrdl2	37.250000	0	0	0	149	0
Ccdc15	37.250000	0	0	0	149	0
Zfp273	37.000000	0	0	0	148	0
Vasp	37.000000	0	0	0	148	0
Trib2	37.000000	0	0	0	148	0
Tmem230	37.000000	0	0	0	148	0
Slc7a6	37.000000	0	0	0	148	0
Nudt15	37.000000	0	0	0	148	0
Nabp1	37.000000	0	0	0	148	0
Lpin2	37.000000	0	0	0	148	0
Hmgb1	37.000000	0	0	0	148	0
Tdrd9	36.750000	0	0	0	147	0
Tbrg1	36.750000	0	0	0	147	0
Scd2	36.750000	0	0	0	147	0
Nudt3	36.750000	0	0	61	86	0
Ntn5	36.750000	0	0	0	147	0
Mrpl23	36.750000	0	0	0	147	0
Itih4	36.750000	0	0	0	147	0
Il33	36.750000	0	0	0	147	0
Fchsd2	36.750000	0	0	0	147	0
Coq9	36.750000	0	0	0	147	0
Ciapin1	36.750000	0	0	0	147	0
Atp5mpl	36.750000	0	0	0	147	0
Aldh3a1	36.750000	0	0	0	147	0
Zbtb40	36.500000	0	0	0	146	0
Usp43	36.500000	0	0	0	146	0
Snx13	36.500000	0	0	0	146	0
Sephs1	36.500000	0	0	0	146	0
Rdh14	36.500000	0	0	0	146	0
Nhs	36.500000	0	0	0	146	0
Mrps18c	36.500000	0	0	0	146	0
Lmnb1	36.500000	0	0	0	146	0
Iqank1	36.500000	0	0	0	146	0
Helq	36.500000	0	0	0	146	0
Hdlbp	36.500000	0	0	0	146	0
Fam83h	36.500000	0	0	0	146	0
Dtwd2	36.500000	146	0	0	0	0
Ciz1	36.500000	0	0	0	146	0
Asah1	36.500000	0	0	0	146	0
Stat3	36.250000	0	0	0	145	0
Pcyt1a	36.250000	0	0	0	145	0
Mat2a	36.250000	0	0	0	145	0
Ints10	36.250000	0	0	0	145	0
Homer3	36.250000	0	0	0	145	0
Gars	36.250000	145	0	0	0	0
Ctdsp1	36.250000	0	0	0	145	0
Clca4b	36.250000	0	0	0	145	0
Zmym5	36.000000	0	0	0	144	0
Tusc2	36.000000	0	0	0	144	0
Spty2d1	36.000000	0	0	0	144	0
Rnf13	36.000000	0	0	0	144	0
Rnf11	36.000000	0	0	0	144	0
Rfc4	36.000000	0	0	0	144	0
Oga	36.000000	0	0	0	144	0
Mrps33	36.000000	0	0	0	144	0
Loxl4	36.000000	0	0	0	144	0
Kctd15	36.000000	0	0	0	144	0
H4c6	36.000000	0	0	0	144	0
H1f3	36.000000	0	0	0	144	0
Ddx18	36.000000	0	0	0	144	0
Cdk5r1	36.000000	0	0	0	144	0
Ube2k	35.750000	0	0	0	143	0
Tsc22d1	35.750000	0	0	0	143	0
Smad3	35.750000	0	0	0	143	0
Rif1	35.750000	0	0	0	143	0
Pfkfb3	35.750000	0	0	0	143	0
Ndufab1	35.750000	0	0	0	143	0
Gtf2a2	35.750000	0	0	0	143	0
Eef1a1	35.750000	0	0	0	143	0
Zfp143	35.500000	0	0	0	142	0
Zcchc3	35.500000	0	0	0	142	0
Spop	35.500000	0	0	0	142	0
Sh3glb1	35.500000	0	0	0	142	0
Rflnb	35.500000	0	0	0	142	0
Pigq	35.500000	0	0	0	142	0
Pabpc1	35.500000	0	0	0	142	0
Nhlrc4	35.500000	0	0	0	142	0
Herpud2	35.500000	0	0	0	142	0
Hectd2	35.500000	0	0	0	142	0
Dcaf5	35.500000	0	0	0	142	0
Cst8	35.500000	0	0	0	142	0
Agap1	35.500000	0	0	0	142	0
Aebp1	35.500000	0	0	0	142	0
6820408C15Rik	35.500000	0	0	0	142	0
Wipf2	35.250000	0	0	0	141	0
Tmem174	35.250000	0	0	0	141	0
Tmem126a	35.250000	0	0	0	141	0
Plscr1	35.250000	0	0	0	141	0
Frmd6	35.250000	0	0	0	141	0
Filip1	35.250000	0	0	0	141	0
Ccz1	35.250000	0	0	0	141	0
Akirin1	35.250000	0	0	0	141	0
Actb	35.250000	0	0	0	141	0
Sestd1	35.000000	0	0	0	140	0
Plekha2	35.000000	0	0	0	140	0
Pcbp1	35.000000	0	0	0	140	0
Olfr876	35.000000	0	0	0	140	0
Meaf6	35.000000	0	0	0	140	0
Mcoln1	35.000000	0	0	0	140	0
Macrod1	35.000000	0	0	0	140	0
Coa8	35.000000	0	0	0	140	0
Bag5	35.000000	0	0	0	140	0
Alyref2	35.000000	0	0	0	140	0
Aldh3a2	35.000000	0	0	0	140	0
Akt2	35.000000	0	0	0	140	0
Yars	34.750000	0	0	0	139	0
Txlnb	34.750000	0	0	0	139	0
Trp53inp1	34.750000	0	0	0	139	0
Slc22a15	34.750000	0	0	0	139	0
S100pbp	34.750000	0	0	0	139	0
N4bp3	34.750000	0	0	0	139	0
Kiz	34.750000	0	0	0	139	0
Isy1	34.750000	0	0	0	139	0
Haspin	34.750000	0	0	0	139	0
Gm13283	34.750000	0	0	0	139	0
Eif1b	34.750000	0	0	0	139	0
Ccdc85c	34.750000	0	0	0	139	0
Zswim6	34.500000	0	0	0	138	0
Tmem42	34.500000	0	0	0	138	0
Tdp1	34.500000	0	0	0	138	0
Prps1l3	34.500000	0	0	0	138	0
Nrip1	34.500000	0	0	0	138	0
Mipol1	34.500000	0	0	0	138	0
Mbnl2	34.500000	0	0	0	138	0
Kcnip3	34.500000	0	0	0	138	0
Fmnl2	34.500000	0	0	0	138	0
Fbxw2	34.500000	0	0	0	138	0
Eif1ad	34.500000	0	0	0	138	0
Efcab11	34.500000	0	0	0	138	0
Banf1	34.500000	0	0	0	138	0
Zfp707	34.250000	0	0	0	137	0
Zfp609	34.250000	0	0	0	137	0
Ube2z	34.250000	0	0	0	137	0
Ube2g2	34.250000	0	0	0	137	0
Scarf2	34.250000	0	0	0	137	0
Ifi211	34.250000	0	0	0	137	0
Hps5	34.250000	0	0	0	137	0
Gtf2h1	34.250000	0	0	0	137	0
Dnajc16	34.250000	0	0	0	137	0
Casp9	34.250000	0	0	0	137	0
C2cd5	34.250000	0	0	0	137	0
Bcl7b	34.250000	0	0	0	137	0
1110002E22Rik	34.250000	0	0	0	137	0
Zhx3	34.000000	0	0	0	136	0
Zfp316	34.000000	0	0	0	136	0
Ube2v1	34.000000	0	0	0	136	0
Tti1	34.000000	0	0	0	136	0
Traip	34.000000	0	0	0	136	0
Rprd1b	34.000000	0	0	0	136	0
Rfx1	34.000000	0	0	0	136	0
Ppp2r3a	34.000000	0	0	0	136	0
Nfatc2	34.000000	0	0	0	136	0
Lpgat1	34.000000	0	0	0	136	0
Lama5	34.000000	0	0	0	136	0
Hrob	34.000000	0	0	0	136	0
Fam110a	34.000000	0	0	0	136	0
Dusp1	34.000000	0	0	0	136	0
Dgkh	34.000000	0	0	0	136	0
Cct4	34.000000	0	0	0	136	0
Ccl2	34.000000	0	0	0	136	0
Snx7	33.750000	0	0	0	135	0
Smad2	33.750000	0	0	0	135	0
Selenbp1	33.750000	0	0	0	135	0
Rrp8	33.750000	0	0	0	135	0
Pnp	33.750000	0	0	0	135	0
Nek9	33.750000	0	0	0	135	0
Ilk	33.750000	0	0	0	135	0
Gm14137	33.750000	0	0	0	135	0
Gabpb2	33.750000	0	0	0	135	0
Fam102b	33.750000	0	0	0	135	0
Dgkz	33.750000	0	0	0	135	0
Aurkaip1	33.750000	0	0	0	135	0
Abi2	33.750000	0	0	0	135	0
Unc5b	33.500000	0	0	0	134	0
Trmu	33.500000	0	0	0	134	0
Tnfsf18	33.500000	0	0	0	134	0
Rnf7	33.500000	0	0	0	134	0
Ppil1	33.500000	0	0	0	134	0
Pds5a	33.500000	0	0	0	134	0
Palb2	33.500000	0	0	0	134	0
Lemd2	33.500000	0	0	0	134	0
Hal	33.500000	0	0	0	134	0
Gsr	33.500000	0	0	0	134	0
Gpr35	33.500000	0	0	0	134	0
Fbxo11	33.500000	0	0	0	134	0
Dctn5	33.500000	0	0	0	134	0
Chka	33.500000	0	0	0	134	0
Bloc1s6	33.500000	0	0	0	134	0
BC004004	33.500000	0	0	0	134	0
Arhgef2	33.500000	0	0	0	134	0
Usf3	33.250000	0	0	0	133	0
Tm9sf3	33.250000	0	0	0	133	0
Stk35	33.250000	0	0	0	133	0
Sntb2	33.250000	0	0	0	133	0
Rufy3	33.250000	0	0	0	133	0
Ppp1r26	33.250000	0	0	0	133	0
Pcbp2	33.250000	0	0	0	133	0
Kpnb1	33.250000	0	0	0	133	0
Ikzf5	33.250000	0	0	0	133	0
Grik3	33.250000	0	0	133	0	0
Arih1	33.250000	0	0	0	133	0
Anapc11	33.250000	0	0	0	133	0
Alyref	33.250000	0	0	0	133	0
Agpat2	33.250000	0	0	0	133	0
Adgrl1	33.250000	0	0	0	133	0
Acadsb	33.250000	0	0	0	133	0
Yipf2	33.000000	0	0	0	132	0
Timm29	33.000000	0	0	0	132	0
Thap7	33.000000	0	0	0	132	0
Met	33.000000	0	0	0	132	0
Marchf8	33.000000	0	0	0	132	0
H3c11	33.000000	0	0	0	132	0
H2bc22	33.000000	0	0	0	132	0
H2ac22	33.000000	0	0	0	132	0
Fkbp1a	33.000000	0	0	0	132	0
Cmtm7	33.000000	0	0	0	132	0
Akap13	33.000000	0	0	0	132	0
A430005L14Rik	33.000000	0	0	0	132	0
Xxylt1	32.750000	0	0	0	131	0
Trap1	32.750000	0	0	0	131	0
Snx5	32.750000	0	0	0	131	0
Sik1	32.750000	0	0	0	131	0
Psg19	32.750000	0	0	0	131	0
Prdm15	32.750000	0	0	0	131	0
Oxr1	32.750000	0	0	0	131	0
Mgme1	32.750000	0	0	0	131	0
Kdm3a	32.750000	0	0	0	131	0
Itga6	32.750000	0	0	0	131	0
Idh1	32.750000	0	0	0	131	0
Gabpb1	32.750000	0	0	0	131	0
Fads2	32.750000	0	0	0	131	0
Dvl1	32.750000	0	0	0	131	0
Dlx2	32.750000	0	0	0	131	0
Cln3	32.750000	0	0	0	131	0
Cdc73	32.750000	0	0	0	131	0
Ccdc107	32.750000	0	0	0	131	0
Apobr	32.750000	0	0	0	131	0
Xrn2	32.500000	0	0	0	130	0
Vasn	32.500000	0	0	0	130	0
Prrc2b	32.500000	0	0	0	130	0
Olfm1	32.500000	0	0	0	130	0
Nup160	32.500000	0	0	0	130	0
Mcm7	32.500000	0	0	0	130	0
Kmt2c	32.500000	0	0	0	130	0
Il25	32.500000	0	0	0	130	0
Htra2	32.500000	0	0	0	130	0
Dqx1	32.500000	0	0	0	130	0
Cmtm5	32.500000	0	0	0	130	0
Birc6	32.500000	0	0	0	130	0
Bckdhb	32.500000	0	0	0	130	0
Ap4m1	32.500000	0	0	0	130	0
Znrf1	32.250000	0	0	0	129	0
Trak1	32.250000	0	0	0	129	0
Tmem248	32.250000	0	0	0	129	0
Tcea1	32.250000	0	0	0	129	0
St3gal5	32.250000	0	0	0	129	0
Rpl10a	32.250000	0	0	0	129	0
Rnf214	32.250000	0	0	0	129	0
Rap1b	32.250000	0	0	0	129	0
Rabep2	32.250000	0	0	0	129	0
Ppm1a	32.250000	0	0	0	129	0
Pcsk7	32.250000	0	0	0	129	0
Med6	32.250000	0	0	0	129	0
Med4	32.250000	0	0	0	129	0
Mdm2	32.250000	0	0	0	129	0
Hdac1	32.250000	0	0	0	129	0
H3c3	32.250000	0	0	0	129	0
H2bc3	32.250000	0	0	0	129	0
Galc	32.250000	0	0	0	129	0
Fmn1	32.250000	0	0	0	129	0
Dennd4b	32.250000	0	0	0	129	0
Ctf1	32.250000	0	0	0	129	0
Creb5	32.250000	0	0	0	129	0
Carm1	32.250000	0	0	0	129	0
Bcl7c	32.250000	0	0	0	129	0
Asap2	32.250000	0	0	0	129	0
Unkl	32.000000	0	0	0	128	0
Tomt	32.000000	0	0	0	128	0
Tbc1d5	32.000000	0	0	0	128	0
Rybp	32.000000	0	0	0	128	0
Rad54l2	32.000000	128	0	0	0	0
Pdxp	32.000000	0	0	0	128	0
Myl9	32.000000	0	0	0	128	0
Mex3b	32.000000	0	0	0	128	0
Lamtor1	32.000000	0	0	0	128	0
Hr	32.000000	0	0	128	0	0
Ehd2	32.000000	0	0	0	128	0
Disp2	32.000000	0	0	0	128	0
Chd2	32.000000	0	0	0	128	0
Atp9a	32.000000	0	0	0	128	0
Ampd3	32.000000	0	0	0	128	0
Znrd1as	31.750000	0	0	0	127	0
Znrd1	31.750000	0	0	0	127	0
Vwa8	31.750000	0	0	0	127	0
Trps1	31.750000	0	0	0	127	0
Tbk1	31.750000	0	0	0	127	0
Synrg	31.750000	0	0	0	127	0
Srsf6	31.750000	0	0	0	127	0
S100a5	31.750000	0	0	0	127	0
S100a4	31.750000	0	0	0	127	0
Rragc	31.750000	0	0	0	127	0
Pygo2	31.750000	0	0	0	127	0
Pdia3	31.750000	0	0	0	127	0
Malsu1	31.750000	0	0	0	127	0
Jund	31.750000	0	0	0	127	0
Iqcn	31.750000	0	0	0	127	0
Hspa9	31.750000	0	0	0	127	0
Herc2	31.750000	0	0	0	127	0
H1f5	31.750000	0	0	0	127	0
Eno2	31.750000	0	0	0	127	0
Catsper2	31.750000	0	0	0	127	0
Bcl2l1	31.750000	0	0	0	127	0
Ankrd50	31.750000	0	0	0	127	0
Acadl	31.750000	0	0	0	127	0
Txndc5	31.500000	0	0	0	126	0
Spag6	31.500000	0	0	0	126	0
Snx18	31.500000	0	0	0	126	0
Prkaa1	31.500000	0	0	0	126	0
Pold3	31.500000	0	0	0	126	0
Pard3	31.500000	0	0	0	126	0
Osbpl10	31.500000	0	0	0	126	0
Mef2d	31.500000	0	0	0	126	0
Kansl1l	31.500000	0	0	0	126	0
Inafm2	31.500000	0	0	0	126	0
Epb41l1	31.500000	0	0	0	126	0
Cxcl2	31.500000	0	0	0	126	0
Cherp	31.500000	0	0	0	126	0
Atf1	31.500000	0	0	0	126	0
Ank1	31.500000	0	0	0	126	0
Zfp395	31.250000	0	0	0	125	0
Wsb2	31.250000	0	0	0	125	0
Vps26c	31.250000	0	0	0	125	0
Tlr2	31.250000	0	0	0	125	0
Tinf2	31.250000	0	0	0	125	0
Serbp1	31.250000	0	0	125	0	0
Rgs19	31.250000	0	0	0	125	0
Ppp1ccb	31.250000	0	0	0	125	0
Ppp1cc	31.250000	0	0	0	125	0
Palld	31.250000	0	0	0	125	0
Mtf2	31.250000	0	0	0	125	0
Lrp10	31.250000	0	0	0	125	0
Lkaaear1	31.250000	0	0	0	125	0
Ldlrad3	31.250000	0	0	0	125	0
Katnal1	31.250000	0	0	0	125	0
Inmt	31.250000	0	0	0	125	0
Hnrnpl	31.250000	0	0	0	125	0
Hacd4	31.250000	0	0	0	125	0
Etnk1	31.250000	0	0	0	125	0
Donson	31.250000	0	0	0	125	0
Amotl2	31.250000	0	0	0	125	0
Zfp69	31.000000	0	0	0	124	0
Vmp1	31.000000	0	0	0	124	0
Usp19	31.000000	0	0	0	124	0
Tubb2a	31.000000	0	0	124	0	0
Tcp11l1	31.000000	0	0	0	124	0
Sema6d	31.000000	0	0	0	124	0
Rhno1	31.000000	0	0	0	124	0
Ptrh2	31.000000	0	0	0	124	0
Pin1rt1	31.000000	0	0	0	124	0
Phldb1	31.000000	0	0	0	124	0
Pan3	31.000000	0	0	0	124	0
Osbpl5	31.000000	0	0	0	124	0
Hnrnpa3	31.000000	0	0	0	124	0
H2bc12	31.000000	0	0	0	124	0
H2ac12	31.000000	0	0	0	124	0
Foxm1	31.000000	0	0	0	124	0
Fam91a1	31.000000	0	0	0	124	0
Caprin1	31.000000	0	0	0	124	0
Zfp280d	30.750000	0	0	0	123	0
Zfp1	30.750000	0	0	0	123	0
Zbtb9	30.750000	0	0	0	123	0
Tra2b	30.750000	0	0	0	123	0
Tmppe	30.750000	0	0	0	123	0
Tmem242	30.750000	0	0	0	123	0
Srsf10	30.750000	0	0	0	123	0
Spcs1	30.750000	0	0	0	123	0
Sgms1	30.750000	0	0	0	123	0
Prdm10	30.750000	0	0	0	123	0
Pla1a	30.750000	0	0	0	123	0
Phip	30.750000	0	0	0	123	0
Mapre1	30.750000	123	0	0	0	0
Gramd1b	30.750000	0	0	0	123	0
Gpr27	30.750000	0	0	123	0	0
Glt8d1	30.750000	0	0	0	123	0
Cish	30.750000	0	0	0	123	0
Cdc25b	30.750000	0	0	0	123	0
1810013L24Rik	30.750000	0	0	0	123	0
Ube2g1	30.500000	0	0	0	122	0
Tsc22d4	30.500000	0	0	0	122	0
Tbc1d9b	30.500000	0	0	0	122	0
St3gal1	30.500000	0	0	0	122	0
Spata25	30.500000	0	0	0	122	0
Setd5	30.500000	0	0	0	122	0
Rpf1	30.500000	0	0	0	122	0
Rbks	30.500000	0	0	0	122	0
Ptpn23	30.500000	0	0	0	122	0
Psd	30.500000	0	0	0	122	0
Nyap1	30.500000	0	0	0	122	0
Neurl2	30.500000	0	0	0	122	0
H4c2	30.500000	0	0	0	122	0
H3c2	30.500000	0	0	0	122	0
H2ac4	30.500000	0	0	0	122	0
Fbxl15	30.500000	0	0	0	122	0
Dock5	30.500000	0	0	0	122	0
Dlg1	30.500000	0	0	0	122	0
Ctsa	30.500000	0	0	0	122	0
Cpsf4l	30.500000	0	0	0	122	0
Cipc	30.500000	0	0	0	122	0
Babam2	30.500000	0	0	0	122	0
Asxl1	30.500000	0	0	0	122	0
Ube2d3	30.250000	0	0	0	121	0
Tlk1	30.250000	0	0	0	121	0
Tex2	30.250000	0	0	0	121	0
Susd6	30.250000	0	0	0	121	0
Ppig	30.250000	0	0	0	121	0
Pex12	30.250000	0	0	0	121	0
Leo1	30.250000	0	0	0	121	0
Ice2	30.250000	0	0	0	121	0
Gne	30.250000	0	0	0	121	0
Galnt10	30.250000	0	0	0	121	0
Ei24	30.250000	0	0	0	121	0
Ddx17	30.250000	0	0	0	121	0
Arih2	30.250000	0	0	0	121	0
Ap2b1	30.250000	0	0	0	121	0
Adcy7	30.250000	0	0	0	121	0
7530416G11Rik	30.250000	0	0	0	121	0
Ywhaz	30.000000	0	0	0	120	0
Ubxn1	30.000000	0	0	0	120	0
Tram2	30.000000	0	0	0	120	0
Slc6a6	30.000000	0	0	0	120	0
Scaf11	30.000000	0	0	0	120	0
Rassf8	30.000000	0	0	0	120	0
Ppp2cb	30.000000	0	0	0	120	0
Mov10	30.000000	0	0	0	120	0
Mettl25	30.000000	0	0	0	120	0
Ly6g2	30.000000	0	0	0	120	0
Lepr	30.000000	0	0	0	120	0
Kdm8	30.000000	0	0	0	120	0
Kctd5	30.000000	0	0	0	120	0
Enpp4	30.000000	120	0	0	0	0
Dock7	30.000000	0	0	0	120	0
Ccno	30.000000	0	0	0	120	0
Ccdc59	30.000000	0	0	0	120	0
Zfp605	29.750000	0	0	0	119	0
Zbtb32	29.750000	0	0	0	119	0
Xpo4	29.750000	0	0	0	119	0
Trp53bp2	29.750000	0	0	0	119	0
Tgfb1	29.750000	0	0	0	119	0
Smad6	29.750000	0	0	0	119	0
Slc25a32	29.750000	0	0	0	119	0
Senp5	29.750000	0	0	0	119	0
Secisbp2l	29.750000	0	0	0	119	0
Rmi1	29.750000	0	0	0	119	0
Pim3	29.750000	0	0	0	119	0
Mrps26	29.750000	119	0	0	0	0
Lekr1	29.750000	0	0	0	119	0
Kmt2b	29.750000	0	0	0	119	0
Igsf11	29.750000	0	0	0	119	0
Hnrnpk	29.750000	0	0	0	119	0
Gtpbp6	29.750000	0	0	0	119	0
Fam3c	29.750000	0	0	0	119	0
Dcaf13	29.750000	0	0	0	119	0
Calm3	29.750000	0	0	0	119	0
Zzz3	29.500000	0	0	0	118	0
Zmiz1	29.500000	0	0	0	118	0
Wdr53	29.500000	0	0	0	118	0
Tti2	29.500000	0	0	0	118	0
Traf2	29.500000	0	0	0	118	0
Thrap3	29.500000	0	0	0	118	0
Tgif1	29.500000	0	0	0	118	0
Slc41a2	29.500000	0	0	0	118	0
Sec61a1	29.500000	0	0	0	118	0
Rraga	29.500000	0	0	0	118	0
Rps24	29.500000	0	0	0	118	0
Rpl5	29.500000	0	0	0	118	0
Rnf168	29.500000	0	0	0	118	0
Polr3a	29.500000	0	0	0	118	0
Nipbl	29.500000	0	0	0	118	0
Nid1	29.500000	0	0	0	118	0
Klhl2	29.500000	0	0	0	118	0
Klhdc2	29.500000	0	0	0	118	0
Ing5	29.500000	0	0	0	118	0
Ilf3	29.500000	0	0	0	118	0
Hlcs	29.500000	0	0	0	118	0
Fnip1	29.500000	0	0	0	118	0
Fem1b	29.500000	0	0	0	118	0
Fbxo45	29.500000	0	0	0	118	0
Farp1	29.500000	0	0	0	118	0
Dtymk	29.500000	0	0	0	118	0
Dedd	29.500000	0	0	0	118	0
Dcp1b	29.500000	0	0	0	118	0
Commd3	29.500000	0	0	0	118	0
Bmi1	29.500000	0	0	0	118	0
Xdh	29.250000	0	0	0	117	0
Ttc13	29.250000	0	0	0	117	0
Trmt10c	29.250000	0	0	0	117	0
Tbpl1	29.250000	0	0	0	117	0
