Target_genes	Ebf2|Average	SRX11005922|Adipocytes	SRX11005923|Adipocytes	SRX11005924|Adipocytes	SRX11005925|Adipocytes	SRX2676935|Brown_adipose_tissue	SRX2676936|Brown_adipose_tissue	SRX3070368|Brown_adipose_tissue	SRX3070369|Brown_adipose_tissue	SRX1357067|Brown_preadipocytes	SRX1357068|Brown_preadipocytes	SRX1357069|Brown_preadipocytes	SRX1357070|Brown_preadipocytes	SRX4054019|Embryoid_Bodies	SRX4054020|Embryoid_Bodies	SRX1706969|mESCs,_differentiated	SRX1706970|mESCs,_differentiated	SRX4054029|mESCs,_differentiated	SRX4054030|mESCs,_differentiated	STRING
Tex45	194.388889	185	175	181	157	0	0	0	0	0	0	0	0	222	94	662	775	307	741	0
Pex11g	194.388889	185	175	181	157	0	0	0	0	0	0	0	0	222	94	662	775	307	741	0
Fads3	194.333333	218	138	192	97	0	357	0	321	360	271	1030	425	0	0	0	0	0	89	0
Nuak1	194.277778	0	0	0	0	0	0	0	0	0	0	0	0	124	131	1302	878	548	514	0
Mppe1	194.277778	0	0	0	0	0	0	0	0	0	0	228	0	242	345	720	879	394	689	0
Mrc2	194.222222	0	0	0	0	0	158	0	0	149	281	1028	0	182	109	776	519	87	207	0
Scly	194.166667	146	151	168	154	0	0	0	0	0	0	1291	425	0	0	663	270	0	227	0
Myog	194.166667	464	288	374	311	0	169	0	0	0	0	265	113	0	0	545	403	170	393	0
Kti12	194.166667	296	142	187	205	0	0	0	0	0	147	583	0	359	250	422	337	302	265	0
Kank1	194.055556	0	0	0	0	0	0	0	0	0	0	0	0	205	135	1712	1019	170	252	0
Ces2f	194.055556	0	0	0	0	0	0	0	0	0	0	0	0	303	0	1264	1262	284	380	0
Irgq	194.000000	119	148	224	133	0	159	0	0	0	0	192	0	285	92	704	813	260	363	0
Ikzf5	193.722222	151	0	127	0	0	0	0	0	121	557	1151	150	128	114	247	325	243	173	0
Dynlt3	193.722222	0	0	0	0	0	0	0	0	0	76	487	0	129	94	822	734	459	686	0
Acadsb	193.722222	151	0	127	0	0	0	0	0	121	557	1151	150	128	114	247	325	243	173	0
Ppp3ca	193.666667	164	0	0	0	0	0	0	0	0	0	531	0	173	174	762	685	394	603	0
Insr	193.666667	136	141	0	0	0	0	0	140	0	0	320	158	285	259	628	753	257	409	0
Epdr1	193.666667	0	0	0	0	0	0	0	0	0	0	231	0	377	291	776	699	413	699	0
Lpin1	193.611111	340	253	245	211	240	930	0	0	122	0	437	434	0	0	145	128	0	0	0
Hvcn1	193.611111	0	122	0	0	0	0	0	0	0	0	310	0	385	238	946	857	151	476	0
Cadm3	193.611111	0	0	0	0	0	0	0	0	0	0	0	0	531	193	1194	927	267	373	0
Tspan3	193.555556	111	0	0	0	0	173	0	106	0	0	649	0	258	223	730	584	217	433	0
Adamts14	193.555556	219	233	219	181	0	231	0	256	127	187	639	137	0	0	237	108	174	536	0
Ogn	193.500000	458	275	379	206	0	461	0	0	101	540	798	113	0	0	152	0	0	0	0
Tax1bp3	193.388889	208	149	122	0	0	0	0	0	0	0	291	0	206	199	991	576	228	511	0
Plcd1	193.388889	257	247	201	213	0	304	0	230	208	155	628	467	0	0	127	134	164	146	0
Emc6	193.388889	208	149	122	0	0	0	0	0	0	0	291	0	206	199	991	576	228	511	0
Slc6a9	193.333333	0	101	0	0	0	0	0	0	0	0	1082	220	171	166	467	375	313	585	0
Fam189a1	193.333333	0	0	0	0	0	0	0	0	0	0	0	0	335	224	780	771	672	698	0
Zfp113	193.277778	230	158	65	109	0	0	0	0	0	0	96	0	214	193	668	816	376	554	0
Smarcc1	193.277778	194	127	132	0	0	0	0	0	0	0	185	0	95	147	940	754	271	634	0
Mrps9	193.166667	176	130	155	88	0	0	0	0	0	0	179	0	250	0	947	746	234	572	0
Kifbp	193.166667	385	257	559	338	0	0	0	96	0	0	392	0	0	0	448	434	184	384	0
Dmwd	193.166667	304	277	373	201	0	0	0	0	0	0	0	0	109	0	813	626	327	447	0
Ypel1	193.111111	0	0	0	0	0	0	0	0	0	0	174	0	512	289	1062	889	222	328	0
Rpl12	193.111111	242	0	268	126	0	92	0	0	96	0	96	0	269	270	581	546	352	538	0
Negr1	193.111111	0	0	0	0	0	0	0	0	0	0	451	0	0	0	1464	1103	140	318	0
Lrsam1	193.111111	242	0	268	126	0	92	0	0	96	0	96	0	269	270	581	546	352	538	0
Slc43a3	193.000000	306	201	313	293	0	682	0	0	0	0	1442	237	0	0	0	0	0	0	0
Zfp781	192.944444	0	0	0	0	0	0	0	0	127	193	488	129	210	239	592	521	486	488	0
Tmem87b	192.944444	260	140	163	142	0	0	0	0	0	0	173	0	255	289	584	413	473	581	0
Gpr12	192.944444	0	0	0	0	0	0	0	0	0	0	229	0	471	392	1296	620	131	334	0
Gm3055	192.944444	0	0	0	0	0	0	0	0	127	193	488	129	210	239	592	521	486	488	0
Cmtm8	192.888889	468	272	401	375	0	0	0	0	0	0	263	0	232	148	368	433	143	369	0
Erich6	192.833333	0	0	0	0	0	0	0	0	0	64	0	0	370	161	957	868	418	633	0
4930404N11Rik	192.833333	132	142	96	98	0	0	0	0	0	0	305	0	221	143	514	421	603	796	0
Leng9	192.722222	136	167	118	149	0	0	0	0	0	100	266	0	305	188	746	519	278	497	0
Fnip2	192.722222	262	241	152	194	0	0	0	0	0	104	467	0	217	0	539	685	301	307	0
Elobl	192.611111	445	319	278	315	137	187	0	0	0	176	386	111	0	0	210	240	329	334	0
St6gal1	192.555556	159	101	122	105	0	0	0	0	0	172	321	0	239	166	665	616	271	529	0
Maz	192.555556	266	116	157	150	0	135	0	0	0	0	350	0	212	127	825	446	349	333	0
Serping1	192.500000	0	0	0	0	0	0	0	0	0	0	0	0	340	205	708	613	640	959	0
Senp1	192.500000	169	194	113	223	0	0	0	0	0	0	177	121	233	170	765	661	207	432	0
Pex5	192.333333	0	94	0	0	0	141	0	0	0	0	91	0	161	145	838	901	432	659	0
Abracl	192.333333	0	0	0	0	0	0	0	0	0	0	240	0	167	234	884	933	423	581	0
Kncn	192.277778	0	0	0	0	0	0	0	0	0	0	0	0	329	0	1020	1028	453	631	0
Fbxo30	192.277778	0	0	0	0	0	0	0	0	0	0	124	0	150	0	1368	1214	198	407	0
Cutal	192.222222	180	204	134	183	0	0	0	0	80	0	331	0	147	111	624	552	355	559	0
Ppm1l	192.166667	256	131	136	108	0	0	0	0	0	0	252	0	244	170	640	868	226	428	0
Gm13030	192.166667	0	0	0	0	0	0	0	0	0	0	0	0	378	349	1087	772	392	481	0
Fgf18	192.055556	0	0	0	0	0	0	0	0	0	0	109	94	458	170	708	849	405	664	0
Prkar1b	192.000000	283	114	170	0	0	0	0	0	0	81	160	113	226	168	723	670	298	450	0
Wdtc1	191.944444	0	0	0	0	0	0	0	0	0	141	317	0	187	190	1036	786	275	523	0
Plppr3	191.944444	0	0	0	0	0	0	0	0	0	0	110	0	385	236	870	871	425	558	0
Slc29a1	191.888889	0	0	0	0	0	429	0	0	0	284	677	109	335	146	354	381	387	352	0
Tnfrsf11b	191.722222	0	0	0	0	0	0	0	0	0	0	155	0	443	383	906	1235	126	203	0
Cbx8	191.666667	378	144	217	151	0	0	0	0	0	139	231	0	127	150	595	607	251	460	0
Ankrd11	191.666667	112	0	123	0	0	0	0	0	0	0	119	0	292	158	781	932	406	527	0
Ankhd1	191.666667	81	101	0	180	0	0	0	0	0	0	144	0	582	349	603	578	363	469	0
Tyro3	191.555556	0	0	0	0	0	0	0	0	0	103	250	0	330	203	944	680	347	591	0
Retsat	191.555556	311	305	275	215	185	628	0	0	0	0	809	264	0	0	216	240	0	0	0
Elmod3	191.555556	311	305	275	215	185	628	0	0	0	0	809	264	0	0	216	240	0	0	0
Adad2	191.555556	225	0	186	0	0	0	0	0	0	158	248	0	0	0	873	1092	236	430	0
Ndst1	191.500000	0	0	0	0	0	0	0	0	0	0	326	0	200	233	1152	880	169	487	0
Cald1	191.444444	0	0	0	88	0	0	0	0	0	74	362	0	382	181	846	624	402	487	0
Khdrbs1	191.388889	237	118	0	0	0	0	0	108	0	134	243	111	297	208	451	599	288	651	0
Ndufv3	191.277778	191	0	174	149	0	0	0	0	0	0	221	0	396	0	719	362	622	609	0
Dync1li2	191.277778	109	0	0	0	0	0	0	0	0	0	288	0	283	263	784	680	580	456	0
Tmem79	191.222222	289	263	181	319	0	348	0	0	0	0	280	146	164	95	420	394	216	327	0
Smg5	191.222222	289	263	181	319	0	348	0	0	0	0	280	146	164	95	420	394	216	327	0
Setd4	191.222222	206	173	192	127	0	203	0	0	0	0	0	0	314	207	643	618	232	527	0
Cyp2f2	191.222222	444	433	496	323	146	288	0	0	0	0	782	126	0	0	272	132	0	0	0
Cbr1	191.222222	206	173	192	127	0	203	0	0	0	0	0	0	314	207	643	618	232	527	0
Gas1	191.111111	136	0	0	0	0	0	0	0	0	213	452	0	153	145	1009	754	199	379	0
Chac1	190.944444	487	344	445	356	160	202	0	210	0	0	557	358	0	0	158	160	0	0	0
Gpr61	190.777778	0	0	0	0	0	0	0	0	0	0	0	0	768	529	684	607	326	520	0
Abcc10	190.777778	198	222	206	224	0	0	0	0	0	90	318	78	220	161	534	428	336	419	0
Steap4	190.722222	193	166	280	220	397	725	0	94	0	0	960	398	0	0	0	0	0	0	0
Rufy2	190.666667	0	0	0	0	0	0	0	0	0	0	207	0	152	94	1022	875	321	761	0
Atad2b	190.611111	0	0	0	0	0	0	0	0	0	0	207	106	393	369	752	747	302	555	0
Rapgef5	190.555556	0	0	0	0	0	0	0	0	0	0	0	0	279	211	982	1153	265	540	0
Man2a2	190.500000	0	0	0	0	0	0	0	0	106	0	232	0	422	311	892	644	224	598	0
Chpt1	190.388889	226	194	135	119	0	223	0	135	0	0	677	202	0	0	840	429	0	247	0
Cgref1	190.333333	154	173	110	126	0	477	0	0	166	260	374	162	132	0	528	340	131	293	0
Rpl3l	190.277778	206	0	160	207	0	0	0	0	0	0	122	0	242	104	1013	692	218	461	0
Msrb1	190.277778	206	0	160	207	0	0	0	0	0	0	122	0	242	104	1013	692	218	461	0
Hspa12a	190.277778	153	129	186	193	0	0	0	0	0	0	0	0	203	172	906	730	245	508	0
Igfbp4	190.166667	238	118	118	0	136	413	0	251	0	0	986	193	188	0	257	248	94	183	0
Ica1	190.000000	101	0	0	83	0	0	0	0	0	0	136	0	297	126	1020	700	414	543	0
Agfg1	190.000000	0	0	0	0	0	0	0	0	231	0	277	0	296	197	952	891	174	402	0
Nudt4	189.611111	306	130	203	231	0	0	0	0	0	160	266	0	98	0	1087	465	180	287	0
Arhgap18	189.555556	182	207	157	0	0	175	0	107	0	177	940	219	121	0	536	262	121	208	0
Slc40a1	189.444444	0	0	0	0	0	0	0	0	0	0	178	0	418	231	854	740	438	551	0
Antxr1	189.444444	0	0	0	0	0	0	0	0	0	0	248	0	404	247	915	659	387	550	0
Rbm4b	189.333333	169	117	0	132	0	0	0	0	81	0	110	148	205	206	470	574	475	721	0
Zmynd10	189.277778	0	0	0	0	0	0	0	0	0	0	0	0	722	284	712	736	443	510	0
Tbc1d22a	189.277778	281	304	248	224	174	583	0	0	0	0	291	0	179	111	248	234	233	297	0
Lamtor3	189.277778	0	0	0	0	0	0	0	0	0	186	153	104	0	0	1566	1038	138	222	0
Tmie	189.222222	0	0	0	0	0	0	0	0	0	0	363	113	482	295	282	389	453	1029	0
Stambpl1	189.222222	123	122	0	109	0	0	0	0	0	222	767	0	197	0	742	537	171	416	0
Lin28a	189.222222	0	0	0	0	0	0	0	0	0	0	0	0	309	182	1058	897	390	570	0
Als2cl	189.222222	0	0	0	0	0	0	0	0	0	0	363	113	482	295	282	389	453	1029	0
Lmo2	189.166667	132	0	0	0	0	111	0	0	0	0	153	0	662	282	793	604	281	387	0
Fthl17f	189.166667	313	159	178	0	325	657	0	0	0	0	1473	300	0	0	0	0	0	0	0
Vtcn1	189.055556	0	0	0	0	0	0	0	0	0	0	0	0	571	352	478	543	387	1072	0
Hs3st6	189.055556	451	293	383	297	0	0	0	0	0	0	1300	490	0	0	0	189	0	0	0
Cxcr4	189.000000	0	0	0	0	0	0	0	0	0	0	0	0	297	231	1302	1162	125	285	0
Cacng4	188.944444	0	0	0	0	0	0	0	0	0	0	0	0	530	447	907	742	356	419	0
Klhl13	188.833333	0	0	0	0	0	0	0	0	0	0	0	0	729	379	977	736	272	306	0
Catip	188.722222	0	0	0	0	0	0	0	0	143	154	124	0	117	0	1457	733	245	424	0
Gtf2f1	188.666667	245	210	384	311	0	0	0	0	0	0	250	179	114	105	652	494	221	231	0
Zfp503	188.611111	319	215	279	314	0	271	0	0	0	0	648	395	0	0	389	290	126	149	0
Schip1	188.555556	0	0	0	0	0	0	0	0	143	322	510	0	169	83	697	540	423	507	0
Abhd1	188.555556	154	173	110	126	0	477	0	0	166	260	374	162	100	0	528	340	131	293	0
Plekho1	188.500000	0	0	0	0	0	0	0	0	0	0	500	0	126	131	1050	760	232	594	0
Mgat1	188.500000	235	95	207	189	0	0	0	0	0	114	272	0	130	146	804	692	172	337	0
Opalin	188.444444	0	0	0	0	0	0	0	0	0	0	0	0	763	541	423	622	376	667	0
Psmc1	188.388889	164	139	200	199	0	155	0	0	0	187	391	0	0	105	737	522	219	373	0
Tollip	188.333333	176	105	111	215	0	0	0	0	0	0	306	0	357	118	575	597	381	449	0
Mmd2	188.277778	269	166	295	239	333	417	0	0	0	0	516	193	0	0	303	377	0	281	0
Gal	188.277778	0	0	0	0	0	0	0	0	0	0	294	0	241	127	850	613	494	770	0
Flt3l	188.277778	289	172	209	158	0	162	0	0	143	315	821	288	0	0	272	159	123	278	0
Fli1	188.222222	196	127	231	112	0	0	0	0	0	0	0	0	414	313	666	576	248	505	0
Znhit3	188.166667	124	136	146	138	0	106	0	0	0	162	812	0	229	109	524	361	235	305	0
Fosb	188.166667	192	161	119	132	0	0	0	0	0	0	0	0	224	259	629	607	430	634	0
Acadl	188.166667	236	195	0	0	0	473	0	0	0	422	906	173	0	0	451	459	0	72	0
Slc25a27	188.111111	162	106	0	0	0	0	0	0	0	0	0	0	120	0	1155	970	399	474	0
Ece1	188.111111	345	266	201	213	0	0	0	0	0	0	90	0	119	0	1092	566	141	353	0
Cyp39a1	188.111111	162	106	0	0	0	0	0	0	0	0	0	0	120	0	1155	970	399	474	0
Etv3l	188.055556	0	0	0	0	0	0	0	0	0	0	304	0	163	0	1254	963	227	474	0
Efna3	188.000000	0	0	0	0	0	0	0	0	0	0	169	0	509	355	795	712	354	490	0
Scn4a	187.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1546	1349	139	349	0
Rpp25l	187.888889	0	0	0	0	0	0	0	0	0	0	181	0	331	298	969	842	277	484	0
Oxr1	187.888889	159	166	164	0	0	0	0	0	0	0	369	156	294	133	836	596	201	308	0
Gm525	187.833333	214	127	178	124	0	0	0	0	0	0	0	0	0	0	1093	743	326	576	0
Ly6g6f	187.777778	154	87	96	0	0	0	0	0	0	0	529	0	171	217	643	529	388	566	0
Abhd16a	187.777778	154	87	96	0	0	0	0	0	0	0	529	0	171	217	643	529	388	566	0
Tcf12	187.722222	0	0	0	0	0	0	0	0	0	155	357	65	730	422	560	362	202	526	0
Ednra	187.722222	0	0	0	0	0	0	0	0	0	0	284	0	363	202	1083	868	202	377	0
Oaz1	187.666667	211	158	125	144	0	0	0	0	0	0	85	0	124	0	1185	859	232	255	0
Nptx1	187.666667	337	287	225	270	0	493	0	0	0	0	833	0	113	132	245	220	95	128	0
Hemk1	187.611111	0	0	0	0	0	0	0	0	0	190	259	0	251	134	873	821	306	543	0
C1ql2	187.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1993	1278	106	0	0
Rps29	187.555556	258	185	358	186	0	139	0	0	244	316	257	169	179	0	307	220	226	332	0
Phka1	187.500000	449	259	245	390	0	0	0	0	0	0	329	0	230	79	501	475	204	214	0
Psd	187.444444	184	164	183	208	0	0	0	0	124	0	249	127	479	0	480	396	375	405	0
Myc	187.388889	209	130	245	130	0	111	0	0	0	0	301	72	213	254	760	584	122	242	0
Crmp1	187.333333	0	0	0	0	0	0	0	0	0	0	0	0	227	280	1070	729	449	617	0
Tacc2	187.277778	0	0	178	0	0	0	0	0	0	126	896	156	354	108	601	404	240	308	0
Desi2	187.166667	133	203	240	131	0	0	0	0	0	0	118	77	251	317	618	563	255	463	0
Gng4	187.111111	160	0	0	0	0	0	0	0	0	0	492	223	121	159	543	659	470	541	0
1700012B09Rik	187.111111	0	0	0	0	0	0	0	0	0	0	0	0	297	112	1096	643	412	808	0
Impa2	187.055556	293	172	348	138	0	226	0	0	0	0	338	0	198	0	568	361	170	555	0
Dusp2	187.055556	0	0	0	0	0	0	0	0	0	0	0	0	156	132	1567	1053	166	293	0
Astl	187.055556	0	0	0	0	0	0	0	0	0	0	0	0	156	132	1567	1053	166	293	0
Lsm10	187.000000	232	250	345	302	0	0	0	169	0	0	345	0	119	0	432	521	151	500	0
Ap5b1	187.000000	161	0	0	147	0	0	0	0	0	0	153	0	332	215	785	649	372	552	0
Rfx1	186.888889	757	540	654	451	0	0	0	0	0	0	196	0	148	0	100	158	194	166	0
Hs3st2	186.722222	0	0	0	0	0	0	0	0	0	0	0	0	337	213	1126	886	251	548	0
Gclm	186.722222	0	0	0	0	0	0	0	0	0	0	148	0	214	237	1230	926	146	460	0
Frmd4a	186.722222	102	107	0	137	0	0	0	0	0	0	83	0	136	101	1241	952	176	326	0
Abcc2	186.722222	688	433	443	505	0	294	0	139	0	0	464	395	0	0	0	0	0	0	0
Il34	186.666667	410	364	378	164	158	306	0	114	0	329	942	195	0	0	0	0	0	0	0
Lrp6	186.611111	0	0	0	0	0	123	0	0	0	0	404	0	0	0	1334	1156	151	191	0
Tob2	186.500000	0	0	0	0	0	183	0	0	142	104	698	143	216	257	629	728	0	257	0
Fes	186.444444	497	373	358	388	0	71	0	0	0	0	182	0	117	0	461	380	153	376	0
Arsa	186.444444	260	177	215	314	0	177	0	0	169	325	992	307	0	0	172	96	0	152	0
Mapre2	186.277778	168	82	0	0	0	0	0	0	0	247	336	0	194	186	795	581	327	437	0
Chrnb4	186.222222	0	0	0	0	0	239	0	0	0	0	236	0	107	0	1421	845	172	332	0
Srebf1	186.055556	234	126	160	116	0	184	0	121	0	0	810	224	235	181	262	282	177	237	0
Smg7	186.000000	216	233	292	277	0	0	0	0	0	0	153	0	161	152	534	525	327	478	0
Grrp1	186.000000	229	352	303	195	0	358	0	0	0	0	142	0	93	0	882	499	129	166	0
Nop14	185.944444	218	139	151	0	0	0	0	120	103	100	231	112	0	0	627	516	487	543	0
Grk4	185.944444	218	139	151	0	0	0	0	120	103	100	231	112	0	0	627	516	487	543	0
Smad3	185.888889	0	0	0	0	0	0	0	0	0	0	306	0	322	0	873	755	432	658	0
Atp6v1e1	185.777778	91	122	188	117	0	0	0	0	0	0	0	0	247	242	774	616	390	557	0
Zfp451	185.666667	0	0	0	0	0	0	0	0	0	0	140	0	611	447	442	572	489	641	0
Pla2g5	185.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1765	1233	93	250	0
Nudt15	185.611111	175	223	161	143	0	0	0	0	73	0	342	101	115	94	586	577	312	439	0
Ugt1a8	185.555556	314	201	197	184	117	405	0	215	0	155	948	356	0	0	0	114	0	134	0
Tom1l2	185.555556	296	288	353	378	0	0	0	0	0	99	90	0	184	234	338	413	325	342	0
Tom1	185.555556	145	0	0	0	0	0	0	0	0	0	0	0	158	115	1396	974	262	290	0
Drc3	185.555556	296	288	353	378	0	0	0	0	0	99	90	0	184	234	338	413	325	342	0
Draxin	185.555556	0	0	0	0	0	0	0	0	0	0	377	0	467	303	722	630	488	353	0
Slc30a7	185.500000	123	0	0	0	0	0	0	72	0	0	592	0	100	149	694	806	339	464	0
Extl2	185.500000	123	0	0	0	0	0	0	72	0	0	592	0	100	149	694	806	339	464	0
Nudt18	185.444444	0	0	114	0	0	0	0	160	0	0	248	309	176	129	958	670	275	299	0
Limd2	185.444444	0	0	0	0	0	0	0	0	0	128	221	0	453	238	852	670	228	548	0
Il6ra	185.444444	319	234	0	136	0	174	0	295	0	165	550	303	158	0	407	267	120	210	0
Faxc	185.444444	0	0	0	0	0	0	0	0	0	0	621	0	197	0	893	1027	234	366	0
Sel1l3	185.277778	0	0	0	0	0	0	0	0	0	0	138	0	311	354	704	583	593	652	0
Wfs1	185.166667	192	101	115	210	0	0	0	98	0	76	124	0	187	130	616	504	381	599	0
Msx1	185.166667	0	0	0	0	0	0	0	0	0	226	683	163	119	0	926	759	148	309	0
Depp1	185.111111	404	409	458	344	0	0	0	0	0	0	0	194	0	102	500	447	220	254	0
Zfp672	185.055556	297	296	283	225	0	0	0	0	0	0	244	0	160	0	776	575	133	342	0
Lmo3	185.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	847	814	598	1072	0
Trim36	184.944444	0	0	0	0	0	0	0	0	0	0	128	0	416	268	622	603	590	702	0
Pusl1	184.888889	0	0	0	0	0	0	0	0	0	0	221	0	297	240	765	869	427	509	0
Acap3	184.888889	0	0	0	0	0	0	0	0	0	0	221	0	297	240	765	869	427	509	0
Tom1l1	184.833333	0	0	0	0	0	0	0	0	127	0	159	0	435	270	893	652	351	440	0
Trim24	184.777778	103	0	0	0	0	0	0	0	0	0	167	0	107	115	1303	815	296	420	0
Apom	184.777778	116	0	0	0	0	0	0	0	0	0	430	0	190	131	699	746	484	530	0
Max	184.666667	355	180	154	182	0	0	0	127	0	114	281	65	247	176	494	427	210	312	0
Creld2	184.666667	397	350	186	233	0	0	0	0	75	0	187	104	226	328	380	394	212	252	0
Cltc	184.666667	256	183	154	188	0	0	0	0	0	0	405	100	254	103	687	416	228	350	0
Alg12	184.666667	397	350	186	233	0	0	0	0	75	0	187	104	226	328	380	394	212	252	0
Pcnx	184.555556	0	0	0	0	0	0	0	0	0	0	616	116	0	0	1338	957	102	193	0
Aspn	184.500000	559	204	328	280	0	206	0	0	0	397	1118	229	0	0	0	0	0	0	0
Rad23a	184.388889	298	272	240	241	0	0	0	0	0	0	117	0	0	0	1100	699	129	223	0
Pax7	184.388889	0	0	0	0	0	0	0	0	0	0	0	0	356	369	1335	708	188	363	0
Rnf145	184.277778	0	0	0	0	0	0	0	0	0	0	0	0	370	187	1118	901	202	539	0
Lypd4	184.222222	448	360	510	514	0	341	0	0	0	0	167	100	117	0	229	222	131	177	0
Herc3	184.222222	167	0	0	0	0	0	0	0	0	0	154	0	368	343	574	842	300	568	0
Dmrtc2	184.222222	448	360	510	514	0	341	0	0	0	0	167	100	117	0	229	222	131	177	0
Zfp800	184.166667	0	0	0	0	0	0	0	0	0	0	195	0	433	239	866	699	355	528	0
Sipa1l2	184.166667	0	0	0	0	0	0	0	78	0	0	225	0	432	178	734	845	426	397	0
Gatad1	184.055556	0	0	0	0	0	0	0	0	0	0	503	133	253	236	686	920	282	300	0
Ltbp2	183.944444	0	0	0	0	0	0	0	0	79	0	389	0	237	0	761	742	437	666	0
Lrrn2	183.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1659	1652	0	0	0
Iqca	183.944444	0	0	0	0	0	0	0	0	0	0	0	0	635	268	649	1146	257	356	0
Mif	183.833333	0	159	0	97	0	0	0	0	0	0	386	173	143	90	726	704	282	549	0
Larp1	183.722222	300	139	0	269	0	0	0	0	0	0	344	0	152	159	622	640	330	352	0
Mrgbp	183.500000	101	0	0	0	0	0	0	0	0	0	252	0	255	216	1032	809	242	396	0
Abl1	183.500000	249	113	170	180	0	164	0	0	0	186	469	88	0	0	760	425	123	376	0
Sec16a	183.444444	554	378	521	422	0	0	0	0	0	105	119	0	127	118	348	276	135	199	0
Tmem50a	183.333333	129	0	163	0	0	0	0	145	0	0	309	0	157	125	935	613	256	468	0
Cnn3	183.333333	0	0	0	0	0	0	0	0	112	114	448	98	287	201	671	654	216	499	0
Fbxo43	183.222222	0	136	0	0	0	0	0	0	100	172	585	75	184	230	633	545	226	412	0
Sncaip	183.055556	434	374	546	276	0	0	0	0	0	0	0	0	78	100	362	422	256	447	0
C1ql1	183.055556	0	122	0	0	0	0	0	0	0	0	196	0	449	193	1026	765	152	392	0
Ankrd35	183.055556	0	0	103	0	0	0	0	0	0	212	161	0	339	360	775	450	351	544	0
Pabpc1	183.000000	135	0	0	0	0	0	0	117	0	0	313	0	281	199	826	690	306	427	0
Mlana	182.944444	0	0	0	0	0	0	0	0	0	0	229	0	188	307	1175	844	172	378	0
Krtcap2	182.888889	217	219	0	167	0	0	0	0	115	187	627	0	133	0	533	464	209	421	0
Xrcc1	182.777778	670	532	690	465	160	0	0	0	0	0	0	0	0	0	214	222	153	184	0
Pinlyp	182.777778	670	532	690	465	160	0	0	0	0	0	0	0	0	0	214	222	153	184	0
Pcsk2	182.777778	0	0	0	0	0	0	0	0	0	0	153	0	370	276	880	760	315	536	0
St6galnac2	182.555556	0	0	0	0	0	0	0	0	0	118	264	76	313	257	737	708	384	429	0
Slc25a22	182.555556	0	0	0	0	0	0	0	0	0	0	151	0	331	144	1004	929	341	386	0
Cav2	182.444444	229	107	258	112	170	586	0	224	0	132	1161	305	0	0	0	0	0	0	0
Pomp	182.388889	138	0	86	0	0	0	0	0	0	0	83	0	624	248	820	621	166	497	0
St8sia4	182.277778	0	0	0	0	0	0	0	0	0	0	0	0	377	133	234	731	736	1070	0
Cdc25b	182.222222	85	0	0	89	0	187	0	0	0	0	369	113	388	268	667	463	280	371	0
Zc3h4	182.111111	343	288	295	218	0	0	0	0	0	0	568	0	209	0	369	419	262	307	0
Tepsin	182.111111	0	0	0	0	0	0	0	0	0	0	272	0	272	186	947	782	375	444	0
Polk	182.111111	393	165	310	269	0	133	0	139	0	0	478	0	101	0	335	389	210	356	0
Onecut1	182.111111	0	0	0	0	0	0	0	0	0	0	0	0	471	251	905	724	388	539	0
Ndufaf8	182.111111	0	0	0	0	0	0	0	0	0	0	272	0	272	186	947	782	375	444	0
Lrrc9	182.111111	0	0	0	0	0	0	0	0	0	0	0	0	191	230	574	721	625	937	0
Cert1	182.111111	393	165	310	269	0	133	0	139	0	0	478	0	101	0	335	389	210	356	0
Gcgr	182.000000	233	151	0	146	0	442	0	0	0	0	912	374	160	0	364	259	0	235	0
Tstd2	181.888889	0	0	0	0	0	0	0	0	0	0	151	0	346	339	641	684	455	658	0
Ncbp1	181.888889	0	0	0	0	0	0	0	0	0	0	151	0	346	339	641	684	455	658	0
Trafd1	181.833333	379	320	272	131	0	190	0	0	0	131	1044	418	0	0	254	0	0	134	0
Sh2b1	181.833333	161	121	184	163	0	144	0	0	0	0	172	0	159	118	731	648	206	466	0
Ap4e1	181.833333	0	130	0	161	0	0	0	0	165	0	228	121	260	249	603	626	296	434	0
Snx5	181.777778	0	0	0	0	0	0	0	0	0	0	254	0	294	206	808	709	525	476	0
Mgme1	181.777778	0	0	0	0	0	0	0	0	0	0	254	0	294	206	808	709	525	476	0
Slbp	181.666667	244	185	278	174	0	0	0	69	0	129	269	0	211	117	528	396	271	399	0
Katnal1	181.666667	211	197	122	102	0	0	0	0	0	0	90	0	240	0	720	698	345	545	0
Copb1	181.555556	0	0	0	0	0	0	0	0	0	0	217	0	382	247	656	819	460	487	0
Camk2n2	181.500000	0	0	0	0	0	0	0	0	0	0	0	0	461	440	678	646	371	671	0
Rab44	181.444444	504	216	397	325	102	383	0	123	0	0	412	355	0	0	230	219	0	0	0
D830031N03Rik	181.444444	254	187	272	0	0	0	0	0	0	144	507	133	128	141	541	480	220	259	0
Zxdc	181.388889	175	0	0	0	0	0	0	141	87	88	355	113	0	231	766	740	261	308	0
Rnasek	181.333333	104	125	159	132	0	0	0	0	80	0	0	0	295	177	831	459	371	531	0
Rab7	181.333333	0	0	0	130	0	222	0	0	159	0	161	0	446	414	582	382	277	491	0
