Target_genes	Stat6|Average	SRX197271|Macrophages	SRX197272|Macrophages	SRX197273|Macrophages	SRX197274|Macrophages	SRX197275|Macrophages	SRX197276|Macrophages	SRX6432727|Macrophages	SRX6432728|Macrophages	SRX9311781|Macrophages	SRX9311782|Macrophages	SRX9311783|Macrophages	SRX9311784|Macrophages	SRX9311785|Macrophages	SRX9311786|Macrophages	SRX9311787|Macrophages	SRX9311788|Macrophages	SRX9311789|Macrophages	SRX9311790|Macrophages	SRX9311791|Macrophages	SRX9311792|Macrophages	SRX9311793|Macrophages	SRX9311794|Macrophages	SRX9311795|Macrophages	SRX9311796|Macrophages	SRX9311797|Macrophages	SRX9311798|Macrophages	SRX9311799|Macrophages	SRX9311800|Macrophages	SRX9311801|Macrophages	SRX9311802|Macrophages	SRX9311803|Macrophages	SRX9311804|Macrophages	SRX9311885|Macrophages	SRX9311886|Macrophages	SRX9311887|Macrophages	SRX9311888|Macrophages	SRX9311889|Macrophages	SRX9311890|Macrophages	SRX9311891|Macrophages	SRX9311892|Macrophages	SRX832470|Naive_T_cells	SRX832476|Naive_T_cells	SRX12379720|RAW_264.7	SRX12379721|RAW_264.7	SRX12379722|RAW_264.7	SRX12379723|RAW_264.7	SRX12379724|RAW_264.7	SRX12379725|RAW_264.7	SRX12379726|RAW_264.7	SRX12379742|RAW_264.7	SRX12379743|RAW_264.7	SRX12379744|RAW_264.7	SRX12379745|RAW_264.7	SRX12379844|RAW_264.7	SRX12379845|RAW_264.7	SRX12379846|RAW_264.7	SRX12379847|RAW_264.7	SRX12379848|RAW_264.7	SRX12379849|RAW_264.7	SRX12379850|RAW_264.7	SRX12379851|RAW_264.7	SRX12379867|RAW_264.7	SRX13208232|RAW_264.7	SRX13208233|RAW_264.7	SRX13208234|RAW_264.7	SRX13208235|RAW_264.7	SRX021632|Th1_Cells	SRX021633|Th1_Cells	SRX191132|Th9	SRX353406|Th9	SRX353407|Th9	STRING
Sh3bgrl3	87.084507	0	226	129	241	382	440	0	0	0	165	739	271	467	141	130	204	0	0	0	0	0	0	0	0	0	0	150	288	0	0	119	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	221	0	307	329	0
Cers2	87.014085	0	200	173	257	207	184	171	237	110	208	676	180	605	135	138	190	0	0	0	0	0	0	123	0	0	0	0	160	0	0	518	495	0	0	0	0	0	0	0	0	0	0	0	182	200	0	0	330	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0
Anxa9	87.014085	0	200	173	257	207	184	171	237	110	208	676	180	605	135	138	190	0	0	0	0	0	0	123	0	0	0	0	160	0	0	518	495	0	0	0	0	0	0	0	0	0	0	0	182	200	0	0	330	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0
Purb	86.943662	0	578	457	1076	1148	769	0	0	0	0	854	148	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	93	0	107	199	0	0	200	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2l6	86.859155	0	226	0	173	376	290	0	218	0	0	1703	541	993	262	268	107	0	0	0	0	0	0	0	130	0	0	0	145	0	0	227	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0
Pts	86.830986	0	659	417	480	573	475	0	137	0	168	661	185	206	164	0	199	0	0	0	0	0	0	0	0	0	0	0	260	0	0	137	319	0	0	0	0	0	0	0	0	0	0	0	187	164	0	0	241	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	109	0	150	0
Nars2	86.661972	0	251	232	298	277	222	322	300	0	0	1359	256	614	108	120	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	86	0	0	0	0	157	225	0	0	361	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	144	0	130	78	0
Catsperg1	86.661972	0	168	0	140	216	213	0	0	120	159	855	325	461	288	258	325	0	0	140	0	0	0	159	129	0	0	0	136	0	0	251	229	0	0	0	170	0	0	0	0	0	0	314	0	134	187	146	202	146	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0
Bmt2	86.577465	0	660	321	683	1210	1023	0	0	0	0	1260	227	444	0	88	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0
Nrbf2	86.535211	0	374	230	439	369	551	412	856	0	0	555	168	221	121	0	124	0	0	0	0	0	0	0	0	0	0	203	179	0	0	159	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642	405	0	0	0	0
Usp39	86.521127	0	228	0	323	228	157	0	0	0	0	646	198	413	0	0	0	0	0	0	0	0	0	0	125	0	0	124	286	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	234	323	0	0	321	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	0	320	1053	67	0
Ms4a6b	86.521127	0	156	0	171	380	293	0	0	0	205	716	347	638	272	257	296	98	0	0	97	133	0	0	170	0	147	136	399	95	0	0	152	0	0	86	0	0	0	0	0	0	0	0	127	193	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	263	0	0	0	0	0
0610030E20Rik	86.521127	0	228	0	323	228	157	0	0	0	0	646	198	413	0	0	0	0	0	0	0	0	0	0	125	0	0	124	286	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	234	323	0	0	321	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	0	320	1053	67	0
Dtnbp1	86.239437	0	159	186	225	119	249	135	279	0	187	932	250	618	153	254	310	0	0	82	112	0	0	0	158	0	111	238	347	0	124	97	198	0	0	103	0	0	0	116	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0
C1qa	86.197183	0	138	173	125	181	357	0	0	0	334	986	329	518	319	191	283	0	0	0	160	0	174	178	175	0	162	170	329	0	0	145	334	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm4c	86.154930	0	0	0	0	0	0	0	0	0	0	286	251	337	145	0	109	0	0	0	0	0	0	0	0	0	0	0	0	98	0	117	0	171	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2203	1595	501	0	211	0
Gnai2	86.070423	0	0	0	0	132	146	0	0	113	290	292	146	576	283	166	456	128	159	0	146	121	275	136	230	0	246	122	397	0	0	0	227	115	0	97	117	176	0	102	0	0	0	0	0	156	0	0	185	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	128	0	0	0	0	0
Ifi207	86.042254	0	308	179	332	429	492	0	115	0	270	762	211	570	202	157	315	0	0	0	0	0	0	122	153	0	0	0	231	103	0	251	441	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	112	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdcbp	86.028169	0	207	313	371	564	499	106	317	0	0	621	359	343	0	227	350	0	0	0	0	0	0	0	177	0	0	0	0	0	0	160	423	0	0	93	0	0	0	0	0	0	0	0	0	134	0	0	127	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	166	281	0	0
Atp1a3	86.014085	0	0	0	0	0	0	0	0	0	373	910	262	626	337	249	289	146	0	0	121	159	142	168	130	0	257	135	313	133	105	346	319	127	0	118	118	0	0	98	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100a8	85.746479	0	0	0	0	0	0	0	0	0	0	1340	441	833	330	238	227	0	0	0	0	0	0	0	128	0	307	266	635	108	191	199	272	166	0	143	134	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pros1	85.647887	0	0	0	0	0	0	0	0	0	181	296	174	399	0	0	221	0	0	0	0	0	0	0	0	0	0	0	220	0	0	83	206	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	332	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	868	0	380	1983	245	0
Plekhg3	85.647887	0	0	0	182	270	292	0	0	212	466	548	194	597	205	238	328	0	0	0	116	120	0	0	0	0	186	0	261	0	74	81	251	109	0	119	103	107	0	0	0	0	0	0	180	134	0	126	271	182	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0
Sirpb1c	85.450704	0	159	0	163	227	0	0	0	215	366	1295	447	971	304	342	446	0	0	0	0	0	261	0	412	0	0	0	120	0	0	115	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1417	85.450704	0	455	310	416	473	708	0	0	0	0	1634	232	820	0	80	177	0	0	0	0	0	0	0	158	0	0	0	124	0	0	201	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcgrt	85.450704	0	330	144	256	435	422	0	0	0	0	236	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	484	399	0	0	590	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	653	0	0	818	457	0
Rab24	85.436620	0	113	92	219	316	226	0	0	110	153	613	205	407	130	116	249	0	0	0	0	0	90	95	0	0	0	175	248	0	0	118	295	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	834	0	0	0	0
Prelid1	85.436620	0	113	92	219	316	226	0	0	110	153	613	205	407	130	116	249	0	0	0	0	0	90	95	0	0	0	175	248	0	0	118	295	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	834	0	0	0	0
Tpcn2	85.197183	0	462	273	676	538	624	0	192	0	235	760	163	505	204	139	139	0	0	0	0	0	0	0	0	0	0	91	245	103	0	267	130	97	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
Kcnn1	85.154930	0	0	0	126	167	151	0	0	141	211	615	273	535	294	273	430	0	0	115	205	0	138	176	158	0	265	200	440	156	0	123	243	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	158	166	0
Ubxn6	85.014085	0	448	291	469	449	384	0	98	0	0	372	0	196	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	214	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	734	338	118	751	637	0
Hdgfl2	85.014085	0	448	291	469	449	384	0	98	0	0	372	0	196	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	214	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	734	338	118	751	637	0
Ccnd3	84.901408	0	0	0	0	0	129	0	0	215	164	464	312	512	202	255	475	0	0	152	146	0	150	150	247	0	169	157	299	0	0	155	326	0	0	134	107	0	0	0	0	0	0	0	0	0	0	0	234	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	155	233	0
Hmox1	84.887324	0	0	0	98	172	152	0	0	119	298	599	287	530	221	130	236	0	0	117	0	176	97	156	107	0	0	78	117	102	0	191	136	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992	556	129	0	0	0
Zbtb3	84.732394	0	420	106	257	472	485	227	242	0	0	634	173	462	136	100	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	186	0	0	329	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	292	466	0
Polr2g	84.732394	0	420	106	257	472	485	227	242	0	0	634	173	462	136	100	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	186	0	0	329	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	292	466	0
Syn1	84.718310	0	579	445	686	496	345	163	255	0	0	825	503	504	135	132	116	0	0	0	0	0	0	0	166	0	0	0	248	0	0	81	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orc4	84.647887	0	0	0	377	866	766	0	0	0	0	379	191	260	204	159	164	0	0	0	0	0	0	0	0	0	0	0	0	112	0	132	0	133	0	112	135	0	0	0	0	0	0	0	0	0	0	0	133	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072	660	0	0	0	0
Mbd5	84.647887	0	0	0	377	866	766	0	0	0	0	379	191	260	204	159	164	0	0	0	0	0	0	0	0	0	0	0	0	112	0	132	0	133	0	112	135	0	0	0	0	0	0	0	0	0	0	0	133	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072	660	0	0	0	0
Ranbp2	84.619718	0	302	174	284	222	270	0	64	109	211	445	203	500	287	84	143	0	0	0	0	0	0	0	0	0	0	0	124	0	0	233	145	169	0	82	157	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	809	479	0	174	207	0
Chd2	84.563380	0	201	235	391	400	408	0	0	0	176	262	0	356	163	142	140	99	0	0	0	122	0	93	0	0	0	0	96	148	0	238	107	144	0	192	161	130	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	167	161	0	689	276	0
Nat8	84.549296	0	0	0	0	0	0	0	0	0	0	1178	156	886	107	0	0	0	0	0	0	0	0	0	0	0	0	366	818	0	0	252	269	0	0	0	0	0	0	0	0	0	0	0	445	585	0	0	531	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycl	84.464789	0	0	0	0	77	128	0	0	81	291	1078	386	779	278	159	313	102	0	0	0	158	0	0	265	84	248	205	663	0	73	168	309	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pofut1	84.450704	0	0	0	117	0	0	0	0	0	0	236	199	239	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	133	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1322	0	491	1748	1080	0
Plagl2	84.450704	0	0	0	117	0	0	0	0	0	0	236	199	239	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	133	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1322	0	491	1748	1080	0
Akr1e1	84.422535	0	0	0	0	0	114	0	0	0	0	1856	454	1071	340	305	409	0	0	0	173	0	0	0	0	0	0	139	359	0	0	212	455	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bri3	84.338028	0	402	530	236	308	332	0	0	110	249	834	179	868	378	151	262	0	0	0	0	148	0	0	88	0	0	0	164	0	0	210	170	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
Limd1	84.295775	0	0	0	0	0	0	0	0	231	336	740	325	709	327	221	420	0	0	0	181	134	217	0	242	0	177	191	405	186	110	165	352	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	121	0	0	0	0	0	0	0	0
Prlhr	84.267606	0	375	119	331	251	194	0	0	0	119	1858	293	885	131	222	380	0	0	0	0	0	0	0	0	0	0	177	443	0	0	91	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msr1	84.154930	0	215	170	318	206	0	0	0	0	220	972	297	860	299	147	352	0	0	0	101	148	0	189	195	0	205	207	419	0	0	145	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igsf6	84.070423	0	153	215	352	0	0	123	544	0	197	848	246	726	308	159	279	0	0	0	0	136	0	182	94	0	182	169	248	126	134	214	204	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpep2	84.000000	0	0	0	0	0	0	0	0	203	355	447	451	432	401	268	415	182	0	0	187	181	0	147	126	0	297	343	717	0	0	0	0	146	0	214	0	125	0	182	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgl1	83.985915	0	0	0	0	0	0	0	170	0	0	1358	409	508	155	103	180	0	0	0	0	0	0	0	0	0	0	0	209	123	0	272	252	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986	931	0	0	163	0
Vhl	83.971831	0	353	271	531	382	438	0	0	0	0	1164	340	869	206	182	280	0	0	0	0	0	0	0	0	0	0	114	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	155	0	0	245	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc15	83.915493	0	443	249	520	686	589	0	0	0	145	694	169	638	159	0	209	0	0	0	0	0	146	0	142	0	143	204	266	0	0	101	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0
Pxt1	83.887324	0	0	155	175	249	309	189	445	0	0	1543	201	673	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	590	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	359	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pilrb1	83.830986	0	233	0	0	0	0	0	0	0	288	550	222	321	204	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1260	176	244	1116	904	0
Capza2	83.760563	0	0	0	165	238	225	0	0	222	244	536	314	373	211	178	423	126	0	0	226	0	154	142	168	0	355	0	539	89	0	131	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	108	0	235	0	0
Adgre5	83.746479	0	0	0	108	0	230	0	142	85	264	625	279	507	191	223	401	0	0	204	196	0	0	127	215	0	168	0	368	0	0	0	279	0	0	118	112	0	0	0	0	0	0	0	218	111	0	0	260	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	173	0	0	0	0
Slc7a11	83.521127	0	230	0	170	0	0	0	200	0	106	576	246	307	177	233	460	0	0	157	166	0	165	0	267	0	0	160	509	0	0	210	671	0	0	0	0	0	0	0	0	0	0	0	189	118	0	0	233	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tuba8	83.380282	0	138	0	250	336	274	0	0	0	152	790	279	711	404	217	512	90	0	133	123	108	95	0	0	0	0	230	436	0	0	145	325	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdcd4	83.338028	0	0	0	0	0	0	0	0	0	0	298	0	354	286	171	253	0	0	0	96	0	0	82	177	0	104	119	443	0	115	173	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609	0	0	1287	985	0
Arap1	83.338028	0	162	146	294	111	195	0	0	0	202	537	267	534	237	221	203	0	0	129	0	161	0	0	0	0	96	0	265	92	0	257	215	142	0	175	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	613	401	69	75	0	0
H1f6	83.169014	0	0	0	0	0	0	0	0	255	90	565	137	436	231	0	158	0	0	0	0	296	214	0	0	0	78	0	128	294	0	391	0	363	0	221	118	382	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	336	140	347	154	0
Hsd17b4	82.943662	0	265	0	94	179	150	0	0	0	190	1399	360	908	337	207	215	0	0	0	149	0	119	163	0	0	242	120	437	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	77	0
Cxcl3	82.943662	0	0	0	0	0	0	0	0	0	78	1251	419	923	361	362	392	0	0	152	125	0	0	132	222	0	186	176	460	0	0	118	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd9	82.915493	0	0	0	227	178	157	198	336	0	0	647	304	278	147	406	310	0	0	0	105	0	0	138	139	0	0	194	272	0	0	207	503	0	0	0	0	0	0	0	0	0	0	0	272	218	0	0	226	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0
Cytip	82.816901	0	161	102	247	304	349	0	0	0	174	894	203	653	320	141	271	0	0	0	0	0	0	0	129	0	0	183	226	0	0	162	235	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	253	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	228	94	0
I830077J02Rik	82.788732	0	0	0	0	70	134	0	87	117	129	787	275	676	354	162	425	0	0	0	0	159	186	0	152	0	222	232	792	0	175	151	474	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plp2	82.774648	0	250	0	170	335	381	120	266	0	0	209	0	226	0	171	236	0	0	0	0	0	0	0	0	0	0	158	424	0	0	183	352	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	259	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	920	0	319	571	0	0
Rasgef1b	82.732394	0	247	277	390	356	482	229	357	0	0	1080	270	543	195	206	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	151	0	0	190	126	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	73	0	0	146	0
Pcyt1a	82.732394	0	480	315	341	269	352	0	0	0	100	746	261	485	238	140	208	0	0	0	0	0	0	0	0	0	0	0	174	0	0	168	155	129	0	120	0	0	0	124	0	0	0	0	209	235	0	0	195	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	120	0
Notch4	82.718310	0	0	0	0	0	0	0	0	170	449	437	280	290	323	186	395	127	0	149	127	176	157	133	0	143	217	237	463	0	0	156	381	185	0	233	162	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0
H2-M5	82.718310	0	808	679	907	1098	1114	0	0	0	0	379	175	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	175	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capzb	82.619718	0	271	190	559	583	604	0	0	0	247	628	172	412	169	168	129	86	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	106	126	0	0	323	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590	0	0	0	0	0
Htt	82.591549	0	576	497	893	703	547	0	0	0	94	707	248	377	150	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	445	147	0
Cracr2a	82.591549	0	715	497	1264	1309	1728	0	0	0	0	229	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5430427O19Rik	82.577465	0	411	169	405	708	877	123	265	0	0	697	158	331	0	267	171	0	0	0	0	0	0	0	242	0	0	0	225	0	0	223	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0
Pptc7	82.521127	0	0	253	192	321	262	0	176	181	185	624	100	234	153	136	251	0	0	0	0	91	0	0	0	0	138	141	302	0	0	132	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	95	996	613	0
Ccr1	82.478873	0	0	0	0	0	0	0	165	0	147	933	279	844	355	301	396	0	0	0	0	0	0	96	186	0	130	192	405	0	0	284	466	0	0	113	0	0	0	0	0	0	0	0	168	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0
Sorl1	82.464789	0	0	116	154	249	223	0	0	132	273	810	408	574	246	234	299	0	0	91	161	0	112	0	82	0	111	190	328	129	96	114	317	0	0	174	0	0	0	0	0	0	0	0	0	84	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hgsnat	82.464789	0	0	0	0	0	0	0	0	240	263	873	359	703	177	257	282	164	0	0	177	225	197	140	162	0	0	0	220	0	196	230	394	0	0	0	0	0	0	0	0	0	0	0	95	116	0	108	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0
Hspb7	82.408451	0	0	0	0	0	160	91	120	105	271	550	371	515	460	312	496	0	0	0	143	0	0	0	0	0	0	0	0	0	0	291	267	0	0	198	133	0	0	0	0	0	0	0	136	237	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	87	369	0
