Target_genes	Elf5|Average	SRX1425169|Mammary_glands	SRX1672019|Mammary_glands	SRX1672020|Mammary_glands	SRX1672031|Mammary_glands	SRX1672032|Mammary_glands	SRX1672061|Mammary_glands	SRX1672063|Mammary_glands	SRX1672064|Mammary_glands	SRX204144|Trophoblast_stem_cells	SRX204145|Trophoblast_stem_cells	SRX3730223|Trophoblast_stem_cells	SRX3730273|Trophoblast_stem_cells	STRING
Fam43a	92.750000	222	0	0	222	0	149	409	0	0	0	111	0	0
Nup188	92.666667	0	0	117	0	0	213	689	93	0	0	0	0	0
Fam76b	92.666667	288	0	0	288	0	0	0	0	0	0	536	0	0
Etv3	92.666667	229	0	0	176	0	0	333	0	0	0	374	0	0
Dolk	92.666667	0	0	117	0	0	213	689	93	0	0	0	0	0
Cep57	92.666667	288	0	0	288	0	0	0	0	0	0	536	0	0
Catspere2	92.666667	0	0	0	106	0	295	538	173	0	0	0	0	0
Calm1	92.666667	187	0	0	187	0	141	260	0	0	0	337	0	0
Taf2	92.500000	91	0	0	93	0	192	352	0	0	0	382	0	0
Rpl35a	92.500000	0	0	0	0	0	90	689	0	0	0	331	0	0
Phldb3	92.500000	252	0	0	252	0	0	226	0	0	0	380	0	0
Oas1f	92.500000	342	0	0	340	0	180	248	0	0	0	0	0	0
Iqcg	92.500000	0	0	0	0	0	90	689	0	0	0	331	0	0
Cyp11a1	92.500000	188	0	0	188	0	221	513	0	0	0	0	0	0
Parp9	92.416667	330	0	0	330	0	0	449	0	0	0	0	0	0
Dtx3l	92.416667	330	0	0	330	0	0	449	0	0	0	0	0	0
Zfp341	92.333333	166	0	0	166	0	0	453	103	0	0	220	0	0
Sirt5	92.333333	0	134	0	0	0	390	584	0	0	0	0	0	0
Mapk1ip1l	92.333333	253	0	0	254	0	0	158	0	0	0	443	0	0
Rbm6	92.250000	255	0	0	254	0	122	140	0	0	0	336	0	0
Tmem92	92.166667	439	0	0	441	0	0	226	0	0	0	0	0	0
Ppp1ccb	92.166667	0	0	0	98	0	0	280	0	0	0	728	0	0
Notch1	92.166667	275	0	0	275	0	100	456	0	0	0	0	0	0
Sfn	92.083333	189	0	0	187	0	227	304	0	0	0	198	0	0
Itm2b	92.083333	215	0	0	215	0	192	483	0	0	0	0	0	0
Csf1	92.083333	467	0	0	466	0	0	172	0	0	0	0	0	0
Amotl2	92.083333	244	0	0	244	0	111	313	0	0	0	193	0	0
Atp5l	92.000000	277	0	0	279	0	126	264	0	0	0	158	0	0
Mrps21	91.916667	166	102	0	167	0	104	108	0	0	0	456	0	0
Hopx	91.916667	256	0	0	256	0	225	211	0	0	0	155	0	0
Dglucy	91.916667	191	0	107	191	0	216	398	0	0	0	0	0	0
Clec12a	91.916667	131	0	0	132	0	257	484	99	0	0	0	0	0
Bahcc1	91.916667	153	104	0	153	0	141	221	0	0	0	331	0	0
Slc10a6	91.833333	208	0	0	207	0	118	325	0	0	0	244	0	0
Prox1	91.833333	174	0	0	173	0	221	211	0	0	0	323	0	0
Akr1b10	91.833333	297	0	0	298	0	109	298	100	0	0	0	0	0
Vegfa	91.750000	227	0	0	228	0	171	352	123	0	0	0	0	0
Tlr2	91.750000	160	0	0	159	0	231	419	0	0	0	132	0	0
Spata2	91.750000	416	0	0	415	0	74	0	0	0	0	196	0	0
Rnf114	91.750000	416	0	0	415	0	74	0	0	0	0	196	0	0
Tmem69	91.666667	157	0	0	158	0	150	275	0	0	0	360	0	0
Serpini1	91.666667	162	0	0	162	0	210	248	0	0	0	318	0	0
Pdcd10	91.666667	162	0	0	162	0	210	248	0	0	0	318	0	0
Hdac10	91.666667	201	106	0	202	0	0	345	0	0	0	246	0	0
Gpbp1l1	91.666667	157	0	0	158	0	150	275	0	0	0	360	0	0
Elp5	91.666667	173	0	0	174	0	184	365	0	0	0	204	0	0
Ctdnep1	91.666667	173	0	0	174	0	184	365	0	0	0	204	0	0
Tmem138	91.583333	254	0	0	254	0	221	244	0	0	0	126	0	0
Spink10	91.583333	210	0	0	211	0	180	245	0	0	0	253	0	0
Mtch1	91.583333	67	0	0	66	0	0	0	0	0	0	966	0	0
Fbxo38	91.583333	210	0	0	211	0	180	245	0	0	0	253	0	0
Cyb561a3	91.583333	254	0	0	254	0	221	244	0	0	0	126	0	0
Eml1	91.500000	141	0	0	141	0	275	328	0	0	0	213	0	0
Cdk6	91.500000	0	0	0	0	0	0	0	0	0	0	1098	0	0
Entpd4b	91.416667	157	0	0	130	0	184	626	0	0	0	0	0	0
Entpd4	91.416667	157	0	0	130	0	184	626	0	0	0	0	0	0
Eci3	91.416667	183	0	0	183	0	150	359	0	0	0	222	0	0
Cdk9	91.416667	214	0	0	218	0	0	153	0	0	0	512	0	0
Ap1g1	91.416667	108	0	0	108	0	174	375	0	0	0	332	0	0
Srp19	91.333333	0	103	0	90	0	106	256	0	0	0	541	0	0
Sirt3	91.333333	120	0	0	120	0	165	99	0	0	0	592	0	0
Psmd13	91.333333	120	0	0	120	0	165	99	0	0	0	592	0	0
Kcnrg	91.333333	325	0	0	324	0	0	447	0	0	0	0	0	0
Prdm1	91.250000	144	0	0	143	0	165	546	0	0	0	97	0	0
Casp7	91.250000	186	0	0	186	0	116	319	0	0	0	288	0	0
Mylk	91.083333	346	0	0	343	0	0	404	0	0	0	0	0	0
Hdhd3	91.083333	168	0	0	167	0	232	218	0	0	0	308	0	0
Rab5if	91.000000	145	0	0	144	0	126	474	0	0	0	203	0	0
Ppp1r14d	91.000000	168	0	0	168	0	217	539	0	0	0	0	0	0
Morf4l1	91.000000	181	0	0	181	0	110	191	0	0	0	429	0	0
Ipo13	91.000000	342	0	0	341	0	0	409	0	0	0	0	0	0
Gbp7	91.000000	270	0	0	271	0	170	381	0	0	0	0	0	0
Flvcr1	91.000000	166	0	0	164	0	133	496	0	0	0	133	0	0
Actg1	91.000000	158	0	0	156	0	91	185	0	0	0	502	0	0
1700012B07Rik	91.000000	304	0	0	302	0	100	386	0	0	0	0	0	0
Txndc11	90.916667	182	0	0	183	0	189	296	0	0	0	241	0	0
Tlcd4	90.916667	250	0	0	242	0	200	399	0	0	0	0	0	0
Sp100	90.916667	308	0	0	235	0	0	389	0	0	0	159	0	0
Senp5	90.916667	174	0	0	173	0	0	281	0	0	0	463	0	0
Cd8a	90.916667	341	0	0	352	0	0	398	0	0	0	0	0	0
Zc3h12d	90.833333	141	0	0	141	0	200	608	0	0	0	0	0	0
Traf7	90.833333	153	0	0	153	0	160	319	0	0	0	305	0	0
Rnf5	90.750000	165	0	0	164	0	107	349	0	0	0	304	0	0
Gm27021	90.750000	159	0	0	158	0	0	254	0	0	0	518	0	0
Galnt12	90.750000	204	0	0	204	0	146	425	0	0	0	110	0	0
Emc8	90.750000	159	0	0	158	0	0	254	0	0	0	518	0	0
Ctxn1	90.750000	167	0	0	168	0	248	345	161	0	0	0	0	0
Cox4i1	90.750000	159	0	0	158	0	0	254	0	0	0	518	0	0
Alpk3	90.750000	194	0	0	193	0	0	533	0	0	0	169	0	0
Wrap53	90.666667	119	0	0	119	0	0	208	0	0	0	642	0	0
Trp53	90.666667	119	0	0	119	0	0	208	0	0	0	642	0	0
Synj2bp	90.583333	166	0	0	164	0	0	413	0	0	0	344	0	0
Riok2	90.583333	111	0	0	112	0	165	502	0	0	0	197	0	0
Mamld1	90.583333	303	0	0	303	0	79	402	0	0	0	0	0	0
Krtap13	90.583333	210	0	0	210	0	150	517	0	0	0	0	0	0
Grb7	90.583333	198	0	0	198	0	139	191	0	0	0	361	0	0
Gm20498	90.583333	166	0	0	164	0	0	413	0	0	0	344	0	0
Tmc8	90.500000	139	0	0	139	0	116	433	0	0	0	259	0	0
Sod3	90.416667	0	0	0	0	0	0	0	0	0	0	1085	0	0
Myh14	90.416667	284	0	0	283	0	120	398	0	0	0	0	0	0
Ltn1	90.416667	100	0	0	102	0	180	208	0	0	0	495	0	0
Bnip3l	90.416667	142	0	0	141	0	110	269	0	0	0	423	0	0
Vps37b	90.333333	266	0	0	268	0	0	276	0	0	0	274	0	0
Tmem242	90.333333	83	0	0	83	0	96	280	0	0	0	542	0	0
Pold3	90.333333	167	0	0	167	0	106	98	0	0	0	546	0	0
H2bc22	90.333333	85	0	0	84	0	295	620	0	0	0	0	0	0
H2ac22	90.333333	85	0	0	84	0	295	620	0	0	0	0	0	0
Ankrd28	90.333333	177	0	0	177	0	170	431	0	0	0	129	0	0
S100a13	90.250000	185	0	0	182	0	206	315	0	0	0	195	0	0
S100a1	90.250000	185	0	0	182	0	206	315	0	0	0	195	0	0
Rnf145	90.250000	258	0	0	259	0	108	458	0	0	0	0	0	0
Rabgef1	90.250000	194	0	0	194	0	237	300	0	0	0	158	0	0
Olfr328	90.250000	0	0	0	0	0	366	531	186	0	0	0	0	0
Olfr317	90.250000	108	0	0	137	0	242	596	0	0	0	0	0	0
Mx2	90.250000	289	0	0	290	0	152	352	0	0	0	0	0	0
Ccdc42	90.250000	0	0	0	0	0	0	0	0	0	0	1083	0	0
Qser1	90.166667	239	0	0	239	0	148	348	0	0	0	108	0	0
Tmem91	90.083333	290	0	60	289	0	88	354	0	0	0	0	0	0
Stx16	90.083333	254	0	0	254	0	137	170	0	0	0	266	0	0
Stimate	90.083333	297	0	0	297	0	160	327	0	0	0	0	0	0
Banp	90.083333	131	0	0	130	0	132	290	0	0	0	398	0	0
B9d2	90.083333	290	0	60	289	0	88	354	0	0	0	0	0	0
Zfp335	90.000000	172	0	0	173	0	0	170	0	0	0	565	0	0
Tcf7l2	90.000000	259	0	0	259	0	144	299	0	0	0	119	0	0
Slc10a7	90.000000	152	0	0	153	0	196	353	0	0	0	226	0	0
Rbmxl1	90.000000	152	0	0	153	0	196	353	0	0	0	226	0	0
Pdlim5	90.000000	99	0	0	100	0	78	222	0	0	0	581	0	0
Rpl8	89.916667	116	0	0	115	0	150	309	0	0	0	389	0	0
Polr2j	89.916667	157	0	0	157	0	158	179	0	0	0	428	0	0
Phtf1	89.916667	97	0	0	97	0	0	146	0	0	0	739	0	0
Commd5	89.916667	116	0	0	115	0	150	309	0	0	0	389	0	0
Cbfb	89.916667	189	0	0	191	0	0	200	0	0	0	499	0	0
Nckap1	89.833333	264	113	0	265	0	0	211	0	0	0	225	0	0
Lif	89.833333	101	0	0	100	0	99	327	0	0	0	451	0	0
Gm8439	89.833333	233	0	0	233	0	181	431	0	0	0	0	0	0
Daglb	89.750000	168	0	0	167	0	131	86	0	0	0	525	0	0
Cd14	89.750000	153	0	171	153	0	130	322	148	0	0	0	0	0
Txnl4b	89.666667	125	87	0	125	0	0	309	0	0	0	430	0	0
Mrpl23	89.666667	0	0	0	0	0	0	0	0	0	0	1076	0	0
Dhx38	89.666667	125	87	0	125	0	0	309	0	0	0	430	0	0
Plekhh3	89.583333	145	0	0	145	0	0	173	0	0	0	612	0	0
Nifk	89.583333	103	0	0	102	0	208	350	0	0	0	312	0	0
Ccr10	89.583333	145	0	0	145	0	0	173	0	0	0	612	0	0
Ndufs4	89.500000	190	0	0	190	0	160	238	0	0	0	296	0	0
Ttc25	89.416667	152	0	0	153	0	184	495	0	0	0	89	0	0
Dhx8	89.416667	134	0	0	135	0	0	228	0	0	0	576	0	0
Arhgef7	89.416667	206	0	0	206	0	0	264	0	0	0	397	0	0
Slc22a28	89.333333	243	0	0	210	0	0	619	0	0	0	0	0	0
Ppp1r11	89.333333	133	0	0	133	0	150	278	0	0	0	378	0	0
Abcd4	89.333333	151	0	0	151	0	0	220	0	0	0	550	0	0
Ptpn14	89.250000	267	0	0	267	0	116	421	0	0	0	0	0	0
Spr	89.166667	213	69	0	215	0	0	251	0	0	0	322	0	0
Pramel12	89.166667	137	85	0	136	0	181	310	0	0	0	221	0	0
Polr3b	89.166667	126	0	0	126	0	153	262	0	0	0	403	0	0
Zfp827	89.083333	180	0	0	180	0	228	481	0	0	0	0	0	0
Spdye4b	89.000000	112	0	0	112	0	230	171	0	0	0	443	0	0
Slc22a23	89.000000	0	149	0	0	0	117	627	0	0	0	175	0	0
Rbak	89.000000	112	0	0	112	0	230	171	0	0	0	443	0	0
Ivns1abp	89.000000	117	0	0	118	0	202	358	0	0	0	273	0	0
Cdk16	89.000000	100	0	0	98	0	110	423	110	0	0	227	0	0
Ufl1	88.916667	157	0	0	156	0	0	331	0	0	0	423	0	0
Tbck	88.916667	165	0	0	164	0	170	267	0	0	0	301	0	0
Sash1	88.916667	177	0	0	178	0	210	270	0	0	0	232	0	0
Ccnd1	88.916667	126	0	0	126	0	140	270	0	0	0	405	0	0
Aimp1	88.916667	165	0	0	164	0	170	267	0	0	0	301	0	0
Prkcz	88.833333	176	0	0	176	0	0	133	0	0	0	581	0	0
Ppil3	88.833333	187	86	0	187	0	113	232	0	0	0	261	0	0
Nif3l1	88.833333	187	86	0	187	0	113	232	0	0	0	261	0	0
Lefty2	88.833333	147	0	0	147	0	0	218	0	0	0	554	0	0
Actr8	88.833333	189	113	0	187	0	170	407	0	0	0	0	0	0
Btg3	88.750000	267	0	109	267	0	195	227	0	0	0	0	0	0
Syf2	88.666667	154	0	0	155	0	0	201	0	0	0	554	0	0
R3hcc1l	88.666667	170	0	0	170	0	118	338	107	0	0	161	0	0
Ltbp2	88.666667	173	0	0	173	0	120	439	0	0	0	159	0	0
Eif3j2	88.666667	94	0	139	93	0	0	314	0	0	0	424	0	0
Eif3j1	88.666667	94	0	139	93	0	0	314	0	0	0	424	0	0
Rab33b	88.583333	111	0	0	111	0	125	137	0	0	0	579	0	0
Pam	88.583333	341	0	0	340	0	0	164	0	0	0	218	0	0
Mcfd2	88.583333	263	0	0	262	0	150	388	0	0	0	0	0	0
Ilrun	88.583333	112	0	0	112	0	208	220	0	0	0	411	0	0
Cdcp1	88.583333	275	0	0	274	0	127	246	0	0	0	141	0	0
Pld2	88.500000	115	0	0	115	0	0	0	0	0	0	832	0	0
Gcdh	88.500000	166	0	0	169	0	166	160	0	0	0	401	0	0
Chic2	88.500000	0	0	0	0	0	114	612	0	0	0	336	0	0
Chd8	88.500000	157	0	0	158	0	0	225	0	0	0	522	0	0
Pus7	88.416667	0	0	0	0	0	219	629	0	0	0	213	0	0
Itga3	88.416667	152	0	0	153	0	108	269	0	0	0	379	0	0
Lars	88.333333	178	0	0	175	0	149	558	0	0	0	0	0	0
Gar1	88.333333	180	0	0	180	0	164	130	0	0	0	406	0	0
Pcdh12	88.250000	296	0	0	296	0	0	399	68	0	0	0	0	0
Ildr1	88.250000	232	0	0	232	0	0	210	0	0	0	385	0	0
Epg5	88.250000	238	0	0	237	0	105	379	0	0	0	100	0	0
Jakmip1	88.166667	0	0	0	0	0	0	390	0	0	0	668	0	0
Dhx58	88.166667	307	0	0	307	0	196	248	0	0	0	0	0	0
Yars	88.083333	147	0	0	147	0	180	200	0	0	0	383	0	0
S100pbp	88.083333	147	0	0	147	0	180	200	0	0	0	383	0	0
Pxmp4	88.083333	178	0	0	178	0	256	445	0	0	0	0	0	0
Ephx2	88.083333	269	0	0	270	0	141	377	0	0	0	0	0	0
Dus1l	88.083333	123	0	0	121	0	140	160	0	0	0	513	0	0
Arfip1	88.083333	218	0	0	219	0	103	238	0	0	0	279	0	0
Exoc3l	88.000000	215	0	0	212	0	0	116	0	0	0	513	0	0
E2f4	88.000000	215	0	0	212	0	0	116	0	0	0	513	0	0
Cav2	88.000000	431	0	0	429	0	86	110	0	0	0	0	0	0
Spata17	87.833333	70	0	0	69	0	126	437	0	0	0	352	0	0
Pgap6	87.833333	77	0	0	80	0	0	0	0	0	0	897	0	0
Mvb12b	87.833333	409	0	0	406	0	0	239	0	0	0	0	0	0
Ilvbl	87.833333	173	0	0	173	0	126	289	0	0	0	293	0	0
Gpatch2	87.833333	70	0	0	69	0	126	437	0	0	0	352	0	0
Tspan3	87.750000	242	0	0	242	0	172	397	0	0	0	0	0	0
Stx12	87.750000	130	0	0	131	0	119	198	0	0	0	475	0	0
Gm12500	87.750000	194	0	0	193	0	138	165	0	0	0	363	0	0
Clec2e	87.750000	224	0	0	225	0	205	399	0	0	0	0	0	0
Ampd2	87.750000	194	0	0	193	0	138	165	0	0	0	363	0	0
Pgpep1	87.666667	214	0	0	213	0	0	389	0	0	0	236	0	0
Gpx2	87.666667	305	0	0	307	0	124	316	0	0	0	0	0	0
Zfpl1	87.583333	136	0	0	135	0	103	228	0	0	0	449	0	0
Tiparp	87.583333	0	0	0	0	0	307	446	188	0	0	110	0	0
Psmg3	87.583333	189	0	0	188	0	157	198	0	0	0	319	0	0
Cdca5	87.583333	136	0	0	135	0	103	228	0	0	0	449	0	0
Zfp521	87.500000	201	0	0	200	0	0	518	0	0	0	131	0	0
Vmn2r102	87.500000	178	0	0	167	0	170	198	198	139	0	0	0	0
Trak2	87.500000	202	0	0	202	0	97	477	0	0	0	72	0	0
Ntn3	87.500000	256	0	109	256	0	0	429	0	0	0	0	0	0
Nemf	87.500000	127	0	0	0	0	145	209	0	0	0	569	0	0
Gm10130	87.500000	130	0	0	130	0	177	270	0	0	0	343	0	0
Samd9l	87.416667	327	0	0	316	0	0	406	0	0	0	0	0	0
Rps23rg1	87.416667	208	0	0	208	0	136	375	0	0	0	122	0	0
Ostf1	87.416667	0	0	0	0	0	215	202	0	0	0	632	0	0
Nmrk1	87.416667	0	0	0	0	0	215	202	0	0	0	632	0	0
D230025D16Rik	87.416667	124	0	0	125	0	238	562	0	0	0	0	0	0
Arl5a	87.416667	273	0	0	271	0	146	359	0	0	0	0	0	0
Rps19bp1	87.333333	170	0	0	170	0	0	0	0	0	0	708	0	0
Pi4kb	87.333333	143	0	0	144	0	240	411	0	0	0	110	0	0
Zfp974	87.250000	241	0	92	232	0	83	399	0	0	0	0	0	0
Vwc2	87.166667	257	0	0	256	0	182	351	0	0	0	0	0	0
H4c3	87.166667	207	0	0	210	0	0	295	0	0	0	334	0	0
H1f6	87.166667	207	0	0	210	0	0	295	0	0	0	334	0	0
Zfp46	87.083333	201	0	0	199	0	141	344	0	0	0	160	0	0
Sectm1a	87.083333	229	0	0	230	0	153	345	0	0	0	88	0	0
Lig4	87.083333	175	0	0	175	0	78	197	0	0	0	420	0	0
Kdm2b	87.083333	225	0	0	224	0	272	324	0	0	0	0	0	0
Fmc1	87.083333	230	0	0	241	0	0	318	0	0	0	256	0	0
Abhd13	87.083333	175	0	0	175	0	78	197	0	0	0	420	0	0
Plxdc1	87.000000	163	0	0	155	0	168	348	0	0	0	210	0	0
Mob3c	87.000000	203	0	0	203	0	199	212	0	0	0	227	0	0
Ube2j2	86.916667	102	0	0	102	0	217	151	0	0	0	471	0	0
Sass6	86.916667	196	0	0	195	0	135	227	0	0	0	290	0	0
Rpl18a	86.916667	421	0	0	422	0	0	0	0	0	0	200	0	0
Gprc5c	86.916667	108	0	0	108	0	154	295	119	0	0	259	0	0
Dgcr6	86.916667	0	0	0	0	0	0	290	0	0	0	753	0	0
Uggt1	86.833333	210	0	0	210	0	220	175	0	0	0	227	0	0
Setd5	86.833333	227	0	0	228	0	0	420	0	0	0	167	0	0
Elovl6	86.833333	0	0	0	0	0	0	348	0	0	0	694	0	0
Dnajc28	86.833333	307	0	0	307	0	141	287	0	0	0	0	0	0
Ttc24	86.750000	321	0	0	320	0	0	0	0	0	0	400	0	0
Iqgap3	86.750000	321	0	0	320	0	0	0	0	0	0	400	0	0
Rps6ka5	86.666667	232	0	0	230	0	0	394	0	0	0	184	0	0
Prox2	86.666667	145	0	0	143	0	0	497	0	0	0	255	0	0
Cpeb4	86.666667	0	0	0	0	0	249	493	129	0	0	169	0	0
Tcf7l1	86.583333	197	0	0	199	0	99	345	0	0	0	199	0	0
Stat6	86.583333	131	0	0	131	0	204	446	0	0	0	127	0	0
Naa30	86.583333	150	0	0	149	0	0	194	0	0	0	546	0	0
Ccl4	86.583333	0	0	0	0	0	218	681	140	0	0	0	0	0
Scin	86.500000	361	0	0	364	0	0	313	0	0	0	0	0	0
Pacs1	86.500000	326	0	0	327	0	0	385	0	0	0	0	0	0
Mageb3	86.500000	403	0	0	407	0	0	0	0	0	0	228	0	0
Ctdspl2	86.500000	403	0	0	407	0	0	0	0	0	0	228	0	0
B3gnt3	86.500000	138	0	0	139	0	0	534	0	0	0	227	0	0
Ago3	86.500000	357	0	0	356	0	0	0	0	0	0	325	0	0
Sumo3	86.416667	200	0	0	200	0	132	262	0	0	0	243	0	0
Naf1	86.416667	133	0	0	133	0	131	151	0	0	0	489	0	0
Mettl14	86.416667	132	0	0	132	0	141	198	0	0	0	434	0	0
Gstp2	86.416667	143	0	138	140	0	0	276	108	0	0	232	0	0
Cntrl	86.333333	197	0	0	196	0	94	239	0	0	0	310	0	0
1810037I17Rik	86.333333	169	0	0	170	0	0	163	0	0	0	534	0	0
Zc3h4	86.250000	147	0	0	146	0	117	303	0	0	0	322	0	0
Mospd3	86.250000	221	0	0	224	0	89	164	0	0	0	337	0	0
Mfsd2a	86.083333	196	0	0	196	0	154	342	145	0	0	0	0	0
Celsr1	86.083333	0	0	0	0	0	0	99	0	0	0	934	0	0
A530016L24Rik	86.083333	0	0	0	0	0	0	0	0	0	0	1033	0	0
Tafa1	86.000000	248	0	0	248	0	0	536	0	0	0	0	0	0
Nipsnap3a	86.000000	0	0	0	0	0	200	832	0	0	0	0	0	0
Eif4e2	86.000000	171	0	0	171	0	71	84	0	0	0	535	0	0
Cyb5a	86.000000	212	0	0	212	0	141	467	0	0	0	0	0	0
Cp	86.000000	246	0	0	246	0	185	355	0	0	0	0	0	0
Ccnc	86.000000	223	0	0	221	0	0	116	0	0	0	472	0	0
Zfp429	85.916667	303	0	0	307	0	421	0	0	0	0	0	0	0
Smad7	85.916667	191	0	0	192	0	129	333	0	0	0	186	0	0
Slc45a4	85.916667	138	0	0	138	0	173	582	0	0	0	0	0	0
Phf11d	85.916667	207	0	0	231	0	102	260	0	0	0	231	0	0
Cltc	85.916667	181	0	0	181	0	123	136	0	0	0	410	0	0
Atg4c	85.916667	134	0	0	135	0	86	501	175	0	0	0	0	0
Ankrd23	85.916667	310	0	0	311	0	0	410	0	0	0	0	0	0
Zc3h18	85.833333	196	0	0	194	0	0	0	0	0	0	640	0	0
Rcl1	85.833333	122	0	0	122	0	0	308	0	0	0	478	0	0
Foxs1	85.833333	276	0	0	275	0	181	298	0	0	0	0	0	0
Wdr53	85.750000	323	0	0	323	0	0	91	0	0	0	292	0	0
Slu7	85.750000	127	0	0	137	0	170	355	0	0	0	240	0	0
Ndufb6	85.750000	0	0	0	0	0	223	673	0	0	0	133	0	0
Fbxo45	85.750000	323	0	0	323	0	0	91	0	0	0	292	0	0
Atf2	85.750000	141	0	0	141	0	297	208	0	0	0	242	0	0
Nupl1	85.666667	134	0	0	134	0	0	206	0	0	0	554	0	0
Bod1	85.666667	213	0	81	214	0	131	204	0	0	0	185	0	0
Arvcf	85.666667	108	104	0	108	0	0	0	0	0	0	708	0	0
Zfp704	85.583333	195	0	0	195	0	0	385	0	0	0	252	0	0
Thoc5	85.583333	221	0	0	221	0	0	189	0	0	0	396	0	0
Stmn1	85.583333	240	0	0	242	0	135	307	0	0	0	103	0	0
Zfp53	85.500000	150	0	0	150	0	150	346	0	0	0	230	0	0
Xiap	85.500000	140	0	0	140	0	136	348	0	0	0	262	0	0
Stap2	85.500000	162	0	0	162	0	161	251	0	0	0	290	0	0
Nudt1	85.500000	133	0	0	134	0	0	179	0	0	0	580	0	0
Nppb	85.500000	0	0	0	0	0	0	0	0	0	0	1026	0	0
Mpnd	85.500000	162	0	0	162	0	161	251	0	0	0	290	0	0
Ebag9	85.500000	229	0	0	231	0	129	332	0	0	0	105	0	0
Cyld	85.500000	325	0	0	325	0	0	224	0	0	0	152	0	0
Usp53	85.416667	150	0	0	150	0	0	205	0	0	0	520	0	0
Aox3	85.416667	0	0	146	0	0	101	472	0	0	0	306	0	0
Wnt4	85.333333	437	0	0	436	0	0	151	0	0	0	0	0	0
Trip4	85.333333	160	97	0	163	0	0	192	0	0	0	412	0	0
Psmc2	85.333333	0	0	0	0	0	185	245	0	0	0	594	0	0
Pdxk	85.333333	0	0	0	0	0	373	538	113	0	0	0	0	0
Msl1	85.333333	253	0	0	253	0	125	280	0	0	0	113	0	0
Dnajc2	85.333333	0	0	0	0	0	185	245	0	0	0	594	0	0
P2rx6	85.250000	311	0	0	311	0	131	270	0	0	0	0	0	0
Lrrc74b	85.250000	311	0	0	311	0	131	270	0	0	0	0	0	0
Id3	85.250000	0	0	0	0	0	0	160	0	0	0	863	0	0
Fam120a	85.250000	291	0	0	290	0	0	0	0	0	0	442	0	0
Zfp609	85.166667	171	0	0	171	0	0	165	0	0	0	515	0	0
Plin5	85.166667	293	0	0	294	0	0	435	0	0	0	0	0	0
Mmgt1	85.166667	84	0	0	84	0	96	235	0	0	0	523	0	0
Lrg1	85.166667	293	0	0	294	0	0	435	0	0	0	0	0	0
Akna	85.166667	190	0	105	190	0	241	296	0	0	0	0	0	0
Zfp626	85.083333	201	0	0	195	0	131	142	0	0	0	352	0	0
Spint4	85.083333	326	0	0	326	0	131	238	0	0	0	0	0	0
Prkce	85.083333	280	0	0	281	0	129	331	0	0	0	0	0	0
Mars1	85.083333	169	0	0	167	0	102	253	0	0	0	330	0	0
Fev	85.083333	157	0	0	157	0	210	497	0	0	0	0	0	0
Eif4ebp2	85.083333	212	0	0	222	0	139	211	0	0	0	237	0	0
Dad1	85.083333	113	0	0	114	0	258	362	0	0	0	174	0	0
Abhd4	85.083333	113	0	0	114	0	258	362	0	0	0	174	0	0
Ubp1	85.000000	260	102	0	260	0	0	235	0	0	0	163	0	0
Tmem223	85.000000	0	0	0	0	0	79	207	0	0	0	734	0	0
Tmem179b	85.000000	0	0	0	0	0	79	207	0	0	0	734	0	0
Tatdn1	85.000000	0	127	0	0	0	136	246	0	0	0	511	0	0
Ndufb9	85.000000	0	127	0	0	0	136	246	0	0	0	511	0	0
Morc2a	85.000000	91	0	0	91	0	141	232	0	0	0	465	0	0
Dcaf1	85.000000	195	0	0	197	0	137	315	0	0	0	176	0	0
Rnf111	84.916667	170	0	0	168	0	0	482	0	0	0	199	0	0
Mrpl52	84.916667	135	0	0	135	0	165	264	0	0	0	320	0	0
Mmp14	84.916667	135	0	0	135	0	165	264	0	0	0	320	0	0
Grrp1	84.916667	98	0	0	98	0	261	483	79	0	0	0	0	0
Gm2a	84.916667	379	0	0	377	0	0	263	0	0	0	0	0	0
Fbxl20	84.916667	90	0	0	90	0	0	839	0	0	0	0	0	0
Cfap410	84.916667	212	0	0	213	0	0	243	0	0	0	351	0	0
Cd7	84.916667	0	0	0	0	0	204	815	0	0	0	0	0	0
Syngr2	84.833333	189	0	0	190	0	137	353	0	0	0	149	0	0
Heatr1	84.833333	112	0	0	112	0	170	312	0	0	0	312	0	0
Cnot2	84.833333	160	0	0	160	0	174	524	0	0	0	0	0	0
Zfp7	84.750000	125	0	0	123	0	0	204	0	0	0	565	0	0
Ywhae	84.750000	128	0	0	127	0	0	156	0	0	0	606	0	0
Phkg2	84.750000	171	0	0	171	0	94	283	0	0	0	298	0	0
Gnb4	84.750000	181	0	0	182	0	144	392	118	0	0	0	0	0
Gins4	84.750000	125	0	0	128	0	0	0	0	0	0	764	0	0
Fosl2	84.750000	140	0	0	140	0	192	358	0	0	0	187	0	0
Gmds	84.666667	186	0	0	186	0	0	176	99	0	0	369	0	0
Tmem107	84.583333	114	0	0	114	0	104	289	0	0	0	394	0	0
Slc29a1	84.583333	109	0	0	110	0	198	486	112	0	0	0	0	0
Ppp1r37	84.583333	267	0	0	267	0	217	264	0	0	0	0	0	0
Fam111a	84.583333	226	0	0	229	0	87	473	0	0	0	0	0	0
Chgb	84.583333	137	0	0	137	0	0	0	0	0	0	741	0	0
Rnf216	84.500000	178	0	0	178	0	0	0	0	0	0	658	0	0
