Target_genes	Hmga2|Average	SRX14833490|ES_cells	SRX9213050|ES_cells	SRX9213052|ES_cells	SRX796317|MEF	SRX796321|MEF	DRX411715|Monoulcear_cells	DRX411716|Monoulcear_cells	DRX411717|Monoulcear_cells	DRX411718|Monoulcear_cells	SRX2140476|Neural_progenitor_cells	DRX174618|Unclassified	DRX174620|Unclassified	STRING
Mtus1	42.333333	0	0	211	0	0	0	144	153	0	0	0	0	0
Gm6482	42.333333	0	175	333	0	0	0	0	0	0	0	0	0	0
3830403N18Rik	42.333333	0	0	0	0	0	274	0	234	0	0	0	0	0
2310002L09Rik	42.333333	0	173	188	0	0	0	0	0	0	147	0	0	0
Phf13	42.250000	0	0	507	0	0	0	0	0	0	0	0	0	0
Pcdh20	42.250000	0	154	142	0	0	0	0	0	0	211	0	0	0
Olfr995	42.250000	0	162	345	0	0	0	0	0	0	0	0	0	0
Klhl5	42.166667	0	184	0	0	0	0	0	132	0	190	0	0	0
Clspn	42.166667	0	205	141	0	0	0	0	0	0	160	0	0	0
Msh4	42.000000	0	0	0	0	0	0	0	266	101	137	0	0	0
Rmdn2	41.833333	0	0	259	0	0	0	0	0	127	116	0	0	0
Micu1	41.833333	0	0	0	0	0	0	0	164	166	172	0	0	0
Ndufaf2	41.750000	0	204	0	0	0	0	0	0	0	297	0	0	0
Acy1	41.750000	0	0	0	0	0	94	172	134	101	0	0	0	0
Myf5	41.583333	0	151	140	0	0	0	0	0	0	208	0	0	0
Mef2c	41.583333	0	142	0	0	0	0	0	0	0	357	0	0	0
Crygb	41.583333	0	169	214	0	0	0	0	0	0	116	0	0	0
Pikfyve	41.500000	0	142	190	0	0	0	0	0	0	166	0	0	0
Idh1	41.500000	0	142	190	0	0	0	0	0	0	166	0	0	0
Aldh9a1	41.500000	0	0	175	0	0	185	0	138	0	0	0	0	0
Vmn2r53	41.416667	0	0	295	0	0	0	0	0	0	202	0	0	0
Gm28710	41.250000	0	109	0	0	0	0	153	142	0	91	0	0	0
Defb3	41.083333	0	0	172	0	0	0	0	131	0	190	0	0	0
Ssty2	40.916667	344	0	147	0	0	0	0	0	0	0	0	0	0
Gm21242	40.916667	344	0	147	0	0	0	0	0	0	0	0	0	0
Olfr1471	40.666667	0	127	151	0	0	0	0	0	0	210	0	0	0
Sdc2	40.583333	0	0	0	0	0	0	173	153	161	0	0	0	0
Nr2c2ap	40.583333	0	0	321	0	0	0	0	0	0	166	0	0	0
Gm8232	40.583333	0	208	279	0	0	0	0	0	0	0	0	0	0
Lamp5	40.416667	0	218	156	0	0	0	0	0	0	111	0	0	0
Oog2	40.333333	0	269	0	0	0	0	0	0	0	215	0	0	0
Herc6	40.333333	0	0	147	0	0	0	0	0	147	190	0	0	0
Sycp1	40.250000	0	0	0	0	0	0	108	202	0	173	0	0	0
Gm2004	40.250000	0	0	0	0	0	153	0	164	0	166	0	0	0
Olfr643	40.166667	0	208	120	0	0	0	0	0	0	154	0	0	0
Kcnv1	40.083333	0	112	202	0	0	0	0	0	0	167	0	0	0
Igsf23	40.083333	0	0	0	0	0	163	187	131	0	0	0	0	0
Crygf	40.083333	0	169	0	0	0	0	0	0	0	312	0	0	0
Chrdl1	40.000000	0	0	0	0	0	0	209	271	0	0	0	0	0
Rnf220	39.916667	0	0	0	0	0	0	161	318	0	0	0	0	0
Olfr806	39.916667	0	0	0	0	0	222	0	166	0	91	0	0	0
Olfr389	39.916667	0	0	0	0	0	0	0	276	203	0	0	0	0
Cep170	39.916667	0	171	96	0	0	0	0	0	0	212	0	0	0
Nbea	39.833333	0	106	144	0	0	0	0	0	0	228	0	0	0
Xndc1	39.750000	0	0	139	0	0	0	0	0	227	111	0	0	0
Rnf121	39.750000	0	0	139	0	0	0	0	0	227	111	0	0	0
Fosl2	39.750000	0	0	0	0	0	163	0	130	184	0	0	0	0
Ppdpf	39.500000	0	0	0	0	0	0	159	155	0	160	0	0	0
Olfr1437	39.333333	0	91	112	0	0	103	0	0	0	166	0	0	0
Olfr1082	39.333333	0	0	0	0	0	130	95	102	145	0	0	0	0
Ftcd	39.333333	166	0	175	0	0	0	0	131	0	0	0	0	0
Mfsd5	39.250000	0	131	0	0	0	156	0	0	0	184	0	0	0
E130311K13Rik	39.250000	0	188	182	0	0	0	0	0	0	101	0	0	0
Ctss	39.083333	0	0	0	0	0	124	158	0	187	0	0	0	0
Wdr20	39.000000	0	0	259	0	0	126	0	0	83	0	0	0	0
Raet1d	39.000000	0	0	0	0	0	0	0	0	0	468	0	0	0
Rad21l	38.916667	0	146	184	0	0	0	0	0	0	137	0	0	0
Zfp827	38.666667	0	134	209	0	0	0	0	0	0	121	0	0	0
Olfr1098	38.583333	0	272	0	0	0	0	0	0	0	191	0	0	0
Rhpn1	38.500000	0	0	166	0	0	142	0	0	0	154	0	0	0
Ifna15	38.416667	0	160	130	0	0	0	0	0	0	171	0	0	0
Zdhhc21	38.250000	153	0	153	0	0	0	0	153	0	0	0	0	0
Hcrtr2	38.000000	0	248	0	0	0	0	0	0	0	208	0	0	0
Naaladl2	37.833333	0	142	134	0	0	0	0	0	0	178	0	0	0
Sh3tc2	37.750000	0	0	235	0	0	0	102	0	0	116	0	0	0
Rpl6	37.750000	0	0	126	0	0	115	0	106	0	106	0	0	0
Ifnab	37.750000	0	0	0	0	0	142	139	0	0	172	0	0	0
Edil3	37.750000	0	0	0	0	0	0	0	347	0	106	0	0	0
Vmn1r235	37.666667	0	0	0	0	0	249	0	203	0	0	0	0	0
Olfr1217	37.666667	0	146	120	0	0	0	0	0	0	186	0	0	0
Sorbs1	37.583333	339	0	112	0	0	0	0	0	0	0	0	0	0
Olfr1219	37.583333	0	0	0	0	0	0	0	263	188	0	0	0	0
Arhgap29	37.583333	0	0	0	0	0	128	171	0	152	0	0	0	0
6430548M08Rik	37.583333	0	0	267	0	0	0	0	0	0	184	0	0	0
Tro	37.500000	450	0	0	0	0	0	0	0	0	0	0	0	0
Nsd2	37.333333	0	0	0	0	0	0	0	131	152	165	0	0	0
Hook1	37.333333	0	115	110	0	0	0	0	0	0	223	0	0	0
Dach1	37.333333	147	0	165	0	0	0	136	0	0	0	0	0	0
Olfr820	37.250000	0	217	131	0	0	0	0	0	0	99	0	0	0
Olfr1353	37.250000	0	0	0	0	0	0	0	240	0	207	0	0	0
Aadacl2fm1	37.166667	0	0	353	0	0	0	0	0	0	93	0	0	0
Ttc23	37.000000	312	0	132	0	0	0	0	0	0	0	0	0	0
Lrrc28	37.000000	312	0	132	0	0	0	0	0	0	0	0	0	0
Esrrg	37.000000	188	0	165	0	0	0	0	0	0	91	0	0	0
Xirp2	36.916667	0	0	308	0	0	0	0	0	0	135	0	0	0
Tspan1	36.916667	0	0	112	0	0	0	0	0	204	127	0	0	0
Magi2	36.916667	0	0	215	0	0	0	0	0	0	228	0	0	0
Itgb3	36.916667	202	0	241	0	0	0	0	0	0	0	0	0	0
1700042G07Rik	36.916667	0	0	112	0	0	0	0	0	204	127	0	0	0
Tmem144	36.833333	152	0	147	0	0	0	0	0	0	143	0	0	0
Akr1b3	36.833333	0	0	267	0	0	0	0	175	0	0	0	0	0
Olfr1107	36.666667	0	164	132	0	0	0	0	0	0	144	0	0	0
Exoc3l4	36.583333	0	0	439	0	0	0	0	0	0	0	0	0	0
Cnih3	36.583333	0	0	103	0	0	0	0	164	0	172	0	0	0
Zfp93	36.500000	0	0	195	0	0	0	0	142	0	101	0	0	0
Zfp438	36.500000	0	0	155	0	0	0	0	0	0	283	0	0	0
Rgmb	36.500000	0	0	148	0	0	0	0	0	0	290	0	0	0
Olfr1484	36.416667	0	183	0	0	0	0	0	0	0	254	0	0	0
Sis	36.333333	0	139	0	0	0	113	0	0	0	184	0	0	0
Gm21188	36.333333	0	0	0	0	0	129	151	156	0	0	0	0	0
Atp6v0d1	36.333333	287	0	0	0	0	0	0	0	0	149	0	0	0
Sybu	36.250000	0	136	0	0	0	0	0	131	0	168	0	0	0
Kdm7a	36.250000	0	194	0	0	0	0	0	0	0	241	0	0	0
Sycp3	36.166667	0	178	256	0	0	0	0	0	0	0	0	0	0
Trpm6	36.083333	0	198	235	0	0	0	0	0	0	0	0	0	0
Grn	36.083333	248	0	185	0	0	0	0	0	0	0	0	0	0
Myom2	35.916667	0	0	0	0	0	0	209	222	0	0	0	0	0
Dhx37	35.916667	0	0	0	0	0	0	233	198	0	0	0	0	0
Mtg2	35.833333	0	0	147	0	0	0	0	0	0	283	0	0	0
Sult1e1	35.750000	0	0	0	0	0	0	0	169	0	260	0	0	0
Sirpb1c	35.750000	0	0	0	0	0	0	0	429	0	0	0	0	0
Defb18	35.666667	0	226	0	0	0	0	0	0	0	202	0	0	0
Alx1	35.666667	0	199	0	0	0	0	0	0	0	229	0	0	0
Vps13d	35.583333	0	0	166	0	0	0	0	0	261	0	0	0	0
Med27	35.583333	0	0	0	0	0	151	0	160	0	116	0	0	0
Abca13	35.583333	0	0	0	0	0	0	0	179	248	0	0	0	0
Anapc10	35.416667	0	134	123	0	0	0	0	0	0	168	0	0	0
Abce1	35.416667	0	134	123	0	0	0	0	0	0	168	0	0	0
Vmn2r65	35.333333	0	0	120	0	0	174	0	0	0	130	0	0	0
Ctag2	35.333333	0	0	0	0	0	259	0	165	0	0	0	0	0
Krtap22-2	35.250000	0	217	79	0	0	0	0	0	0	127	0	0	0
Nebl	35.083333	0	160	0	0	0	0	0	0	0	261	0	0	0
Meox2	35.000000	0	169	105	0	0	0	0	0	0	146	0	0	0
Defb21	35.000000	0	178	242	0	0	0	0	0	0	0	0	0	0
Defb19	35.000000	0	178	242	0	0	0	0	0	0	0	0	0	0
Slc28a1	34.916667	0	0	0	0	0	0	173	246	0	0	0	0	0
Slc39a14	34.750000	171	0	246	0	0	0	0	0	0	0	0	0	0
Mid1	34.750000	0	183	0	0	0	0	0	0	0	234	0	0	0
Tmem156	34.666667	0	141	0	0	0	0	0	0	0	275	0	0	0
Olfr813	34.666667	0	208	0	0	0	0	0	0	0	208	0	0	0
Coq3	34.666667	0	138	129	0	0	0	0	0	0	149	0	0	0
Rbm6	34.583333	0	160	95	0	0	0	0	0	0	160	0	0	0
Sgcz	34.500000	0	0	132	0	0	0	0	138	0	144	0	0	0
Clasp2	34.500000	0	0	186	0	0	0	0	0	0	228	0	0	0
Catsperb	34.500000	0	156	147	0	0	0	0	0	0	111	0	0	0
Ssr2	34.416667	0	0	292	0	0	0	0	0	0	121	0	0	0
Mrgpra3	34.333333	0	0	0	0	0	0	0	0	0	412	0	0	0
Grap	34.333333	0	0	0	0	0	174	0	238	0	0	0	0	0
Alkbh3	34.166667	0	0	0	0	0	93	173	144	0	0	0	0	0
Exoc5	34.083333	0	175	0	0	0	0	0	0	0	234	0	0	0
Ap5m1	34.083333	0	175	0	0	0	0	0	0	0	234	0	0	0
Olfr510	34.000000	0	178	87	0	0	0	0	0	0	143	0	0	0
Snca	33.916667	0	139	0	0	0	0	0	0	0	268	0	0	0
Cwc22	33.916667	0	0	0	0	0	0	0	0	0	407	0	0	0
Ccdc17	33.916667	0	91	95	0	0	0	0	0	0	221	0	0	0
Olfr1501	33.750000	0	0	221	0	0	0	0	0	0	184	0	0	0
Olfr447	33.666667	0	250	0	0	0	0	0	0	0	154	0	0	0
Fcgr3	33.666667	0	0	0	0	0	207	0	197	0	0	0	0	0
Aadacl4fm4	33.666667	0	261	0	0	0	0	0	0	0	143	0	0	0
Vmn2r115	33.583333	0	0	0	0	0	126	0	148	0	129	0	0	0
Zfp317	33.500000	0	0	96	0	0	122	0	0	0	184	0	0	0
Smim43	33.500000	0	0	156	0	0	0	0	130	0	116	0	0	0
Gan	33.500000	0	0	181	0	0	0	0	0	0	221	0	0	0
Olfr652	33.416667	0	0	0	0	0	122	0	153	126	0	0	0	0
Olfr488	33.416667	0	120	109	0	0	0	0	0	0	172	0	0	0
Art3	33.416667	0	0	229	0	0	0	0	0	0	172	0	0	0
Rps10	33.333333	170	0	230	0	0	0	0	0	0	0	0	0	0
Dcdc5	33.333333	0	0	237	0	0	0	0	0	0	163	0	0	0
Vmn2r17	33.250000	0	102	0	0	0	0	0	0	0	297	0	0	0
Olfr91	33.250000	0	203	0	0	0	0	0	0	0	196	0	0	0
Olfr90	33.250000	0	203	0	0	0	0	0	0	0	196	0	0	0
Atg4c	33.250000	0	0	0	0	0	132	0	267	0	0	0	0	0
Olfr1269	33.166667	0	0	129	0	0	132	0	0	0	137	0	0	0
Cdkn2c	33.166667	0	177	0	0	0	0	0	0	0	221	0	0	0
Olfr659	33.083333	0	169	0	0	0	0	0	0	0	228	0	0	0
Dynlt1b	33.000000	0	0	125	0	0	0	0	0	0	271	0	0	0
Sit1	32.916667	0	116	147	0	0	0	0	0	0	132	0	0	0
Olfr485	32.916667	0	193	0	0	0	202	0	0	0	0	0	0	0
Csn3	32.916667	0	170	0	0	0	0	0	0	0	225	0	0	0
Sdha	32.833333	0	128	145	0	0	0	0	0	0	121	0	0	0
Olfr969	32.833333	0	88	167	0	0	0	0	0	0	139	0	0	0
Ccdc127	32.833333	0	128	145	0	0	0	0	0	0	121	0	0	0
Sprr2e	32.750000	0	185	0	0	0	0	0	0	0	208	0	0	0
Esp31	32.750000	0	206	0	0	0	0	0	0	0	187	0	0	0
Olfr171	32.666667	0	164	0	0	0	0	0	0	0	228	0	0	0
Cav1	32.666667	171	0	221	0	0	0	0	0	0	0	0	0	0
Dtna	32.583333	0	0	0	0	0	0	0	187	204	0	0	0	0
Flacc1	32.500000	0	0	0	0	0	140	0	168	0	82	0	0	0
Acod1	32.500000	0	0	390	0	0	0	0	0	0	0	0	0	0
Jade1	32.250000	0	0	129	0	0	0	0	108	150	0	0	0	0
Tmx2	32.083333	0	0	0	0	0	0	0	153	232	0	0	0	0
Selenoh	32.083333	0	0	0	0	0	0	0	153	232	0	0	0	0
Med19	32.083333	0	0	0	0	0	0	0	153	232	0	0	0	0
Cdo1	32.083333	0	0	284	0	0	0	0	0	0	101	0	0	0
Gm7762	32.000000	0	0	0	0	0	0	0	0	0	384	0	0	0
Ar	31.916667	0	0	0	0	0	110	107	166	0	0	0	0	0
Olfr419	31.833333	0	0	0	0	0	0	0	134	0	248	0	0	0
Msmo1	31.833333	0	155	100	0	0	0	0	0	0	127	0	0	0
Rngtt	31.750000	0	0	185	0	0	0	0	196	0	0	0	0	0
Dok5	31.750000	0	0	0	0	0	0	0	209	0	172	0	0	0
Cpa6	31.750000	0	0	0	0	0	217	164	0	0	0	0	0	0
Srpk2	31.666667	0	178	0	0	0	0	0	0	0	202	0	0	0
Ppa1	31.583333	0	0	236	0	0	0	0	0	0	143	0	0	0
Ndst3	31.500000	0	0	235	0	0	0	0	0	0	143	0	0	0
Bri3	31.500000	0	0	205	0	0	173	0	0	0	0	0	0	0
Aadacl2	31.500000	0	135	0	0	0	0	0	0	0	243	0	0	0
Gbe1	31.416667	0	0	0	0	0	0	0	175	0	202	0	0	0
Ttc39b	31.333333	0	0	0	0	0	0	0	198	0	178	0	0	0
Blk	31.333333	0	0	0	0	0	142	0	234	0	0	0	0	0
Hecw2	31.250000	0	0	0	0	0	0	0	147	0	228	0	0	0
Olfr367-ps	31.166667	0	172	0	0	0	0	0	0	0	202	0	0	0
Gosr2	31.166667	179	0	195	0	0	0	0	0	0	0	0	0	0
Bex3	31.166667	0	0	0	0	0	0	0	153	0	221	0	0	0
Smarcd2	31.083333	153	0	129	0	0	0	0	91	0	0	0	0	0
Olfr121	31.083333	0	76	0	0	0	0	0	0	0	297	0	0	0
Gm21671	30.916667	0	0	0	0	0	0	0	0	0	371	0	0	0
Fam83c	30.833333	0	0	0	0	0	94	0	175	101	0	0	0	0
Srsf5	30.750000	0	191	0	0	0	0	0	0	0	178	0	0	0
Slc26a8	30.666667	0	0	166	0	0	0	0	0	0	202	0	0	0
Myc	30.666667	0	248	120	0	0	0	0	0	0	0	0	0	0
Gm19428	30.666667	0	0	0	0	0	0	0	0	0	368	0	0	0
Abcb1a	30.666667	0	173	0	0	0	0	0	0	0	195	0	0	0
Pkib	30.583333	0	0	201	0	0	0	0	0	0	166	0	0	0
Cntn3	30.583333	0	0	100	0	0	0	0	0	0	267	0	0	0
Plekhh2	30.500000	0	0	217	0	0	0	0	0	0	149	0	0	0
Myl6b	30.500000	0	0	95	0	0	0	0	271	0	0	0	0	0
Myl6	30.500000	0	0	95	0	0	0	0	271	0	0	0	0	0
Vmn1r225	30.416667	0	205	160	0	0	0	0	0	0	0	0	0	0
Phf21a	30.416667	0	0	0	0	0	0	0	172	193	0	0	0	0
Gpsm2	30.416667	0	0	150	0	0	0	0	0	0	215	0	0	0
Tmem88	30.250000	0	0	0	0	0	94	111	158	0	0	0	0	0
Slc25a35	30.250000	0	0	214	0	0	0	0	0	0	149	0	0	0
Olfr131	30.250000	0	0	138	0	0	0	0	0	0	225	0	0	0
Naa38	30.250000	0	0	0	0	0	94	111	158	0	0	0	0	0
Kdm4c	30.250000	0	0	173	0	0	0	0	0	0	190	0	0	0
Fam47c	30.250000	0	0	0	0	0	152	0	115	0	96	0	0	0
Cyb5d1	30.250000	0	0	0	0	0	94	111	158	0	0	0	0	0
Xpr1	30.166667	0	0	230	0	0	0	0	0	0	132	0	0	0
Hcn1	30.166667	0	114	0	0	0	0	0	90	0	158	0	0	0
Olfr1034	30.083333	0	121	103	0	0	0	0	0	0	137	0	0	0
Hoxd8	30.083333	0	0	0	0	0	0	0	78	0	283	0	0	0
Dlg1	30.083333	0	91	0	0	0	0	0	142	0	128	0	0	0
Dkk1	30.000000	0	188	0	0	0	0	0	0	0	172	0	0	0
Pde3b	29.916667	0	0	118	0	0	0	0	0	0	241	0	0	0
Cd96	29.916667	0	124	86	0	0	0	0	0	0	149	0	0	0
Rps26	29.833333	0	0	174	0	0	0	0	0	0	184	0	0	0
Nyap2	29.833333	0	176	0	0	0	0	0	0	0	182	0	0	0
Gm10354	29.833333	0	0	0	0	0	0	0	0	0	358	0	0	0
Trappc3	29.750000	0	0	185	0	0	0	0	0	0	172	0	0	0
Rnf146	29.750000	0	0	0	0	0	0	0	0	0	357	0	0	0
Ooep	29.750000	0	0	185	0	0	0	0	0	0	172	0	0	0
Olfr1055	29.750000	0	167	0	0	0	0	0	0	0	190	0	0	0
Map7d1	29.750000	0	0	185	0	0	0	0	0	0	172	0	0	0
Gm21083	29.666667	0	0	0	0	0	0	0	0	0	356	0	0	0
Cyp4x1	29.666667	0	148	0	0	0	0	0	0	0	208	0	0	0
St3gal6	29.583333	0	0	205	0	0	0	0	0	150	0	0	0	0
Vmn2r94	29.500000	0	209	0	0	0	0	0	0	0	145	0	0	0
Olfr571	29.500000	0	0	0	0	0	0	0	222	0	132	0	0	0
Gsx1	29.500000	179	0	175	0	0	0	0	0	0	0	0	0	0
Olfr954	29.416667	0	167	0	0	0	0	0	0	0	186	0	0	0
Galntl6	29.416667	0	205	0	0	0	0	0	0	0	148	0	0	0
BC030500	29.416667	0	205	0	0	0	0	0	0	0	148	0	0	0
Reck	29.250000	0	0	250	0	0	0	0	101	0	0	0	0	0
Lrrc66	29.166667	0	142	0	0	0	0	0	0	0	208	0	0	0
Dusp11	29.083333	0	0	147	0	0	0	0	0	0	202	0	0	0
Plekhg6	29.000000	0	0	195	0	0	153	0	0	0	0	0	0	0
Klra4	28.833333	0	0	240	0	0	0	0	0	0	106	0	0	0
Klra18	28.833333	0	0	240	0	0	0	0	0	0	106	0	0	0
Kdm3a	28.833333	0	131	0	0	0	0	0	0	0	215	0	0	0
Adk	28.833333	0	0	0	0	0	0	0	142	204	0	0	0	0
Rnf213	28.750000	160	0	185	0	0	0	0	0	0	0	0	0	0
Ldb2	28.750000	0	0	345	0	0	0	0	0	0	0	0	0	0
Atp8b5	28.750000	0	0	345	0	0	0	0	0	0	0	0	0	0
Olah	28.666667	0	0	166	0	0	0	0	0	0	178	0	0	0
Zfp97	28.583333	0	0	0	0	0	0	0	0	0	343	0	0	0
Serpini1	28.583333	0	151	86	0	0	0	0	0	0	106	0	0	0
Pdcd10	28.583333	0	151	86	0	0	0	0	0	0	106	0	0	0
Jrkl	28.583333	0	0	122	0	0	0	0	0	0	221	0	0	0
Fmo5	28.583333	0	141	0	0	0	0	0	0	0	202	0	0	0
Endod1	28.583333	177	0	166	0	0	0	0	0	0	0	0	0	0
Ccdc82	28.583333	0	0	122	0	0	0	0	0	0	221	0	0	0
Speer4c	28.500000	0	0	0	0	0	0	0	0	0	342	0	0	0
Atad2b	28.500000	0	0	170	0	0	0	0	0	0	172	0	0	0
Prl3d1	28.416667	0	164	0	0	0	0	0	0	0	177	0	0	0
Erich3	28.416667	0	169	0	0	0	0	0	0	0	172	0	0	0
Zfp616	28.333333	0	0	156	0	0	0	0	0	0	184	0	0	0
Stxbp6	28.333333	0	0	156	0	0	0	0	0	0	184	0	0	0
Olfr1419	28.333333	0	0	0	0	0	0	0	186	0	154	0	0	0
Iws1	28.250000	0	152	187	0	0	0	0	0	0	0	0	0	0
Cacybp	28.250000	0	0	196	0	0	0	0	0	0	143	0	0	0
Olfr592	28.166667	0	118	92	0	0	0	0	0	0	128	0	0	0
Cib2	28.166667	0	0	175	0	0	163	0	0	0	0	0	0	0
Nell2	28.083333	0	0	0	0	0	0	0	153	0	184	0	0	0
Mfsd14b	28.083333	0	141	0	0	0	0	0	0	0	196	0	0	0
Lrrc8e	28.083333	0	0	0	0	0	0	139	198	0	0	0	0	0
Olfr2	28.000000	0	148	188	0	0	0	0	0	0	0	0	0	0
Maml2	28.000000	0	0	0	0	0	0	0	336	0	0	0	0	0
Gm21943	28.000000	0	94	242	0	0	0	0	0	0	0	0	0	0
Gm21330	28.000000	0	94	242	0	0	0	0	0	0	0	0	0	0
Elavl2	28.000000	0	105	0	0	0	0	0	88	0	143	0	0	0
Dlk1	28.000000	0	0	235	0	0	0	0	0	0	101	0	0	0
Olfr168	27.916667	0	165	0	0	0	0	0	0	0	170	0	0	0
Olfr154	27.916667	0	163	0	0	0	0	0	0	0	172	0	0	0
Olfr110	27.916667	0	0	107	0	0	0	0	0	0	228	0	0	0
Kri1	27.916667	188	0	147	0	0	0	0	0	0	0	0	0	0
Cdkn2d	27.916667	188	0	147	0	0	0	0	0	0	0	0	0	0
Zfp968	27.833333	0	0	0	0	0	0	0	0	0	334	0	0	0
Zfp967	27.833333	0	0	0	0	0	0	0	0	0	334	0	0	0
Zfp966	27.833333	0	0	0	0	0	0	0	0	0	334	0	0	0
Tas2r118	27.833333	0	0	0	0	0	174	0	0	0	160	0	0	0
Raet1e	27.833333	0	0	0	0	0	0	0	0	0	334	0	0	0
Raet1c	27.833333	0	0	0	0	0	0	0	0	0	334	0	0	0
Raet1b	27.833333	0	0	0	0	0	0	0	0	0	334	0	0	0
Ifi211	27.833333	0	0	0	0	0	0	0	0	0	334	0	0	0
Pgap4	27.750000	0	0	155	0	0	0	0	0	0	178	0	0	0
Gclm	27.750000	0	0	0	0	0	0	0	131	0	202	0	0	0
Tas2r117	27.666667	0	0	0	0	0	152	0	0	0	180	0	0	0
Olfr1317	27.666667	0	196	0	0	0	0	0	0	0	136	0	0	0
Mpp7	27.666667	0	125	0	0	0	0	96	0	0	111	0	0	0
Snx7	27.583333	0	0	0	0	0	0	0	235	0	96	0	0	0
Afp	27.583333	0	0	147	0	0	0	0	0	0	184	0	0	0
Tlk2	27.500000	0	0	0	0	0	0	146	184	0	0	0	0	0
1600014C10Rik	27.416667	0	0	0	0	0	0	0	0	0	329	0	0	0
Slc10a7	27.333333	0	0	106	0	0	0	0	136	0	86	0	0	0
Rbmxl1	27.333333	0	0	106	0	0	0	0	136	0	86	0	0	0
Esm1	27.333333	0	0	156	0	0	0	0	0	0	172	0	0	0
Cldn18	27.333333	0	0	0	0	185	0	0	0	0	143	0	0	0
Abcg3	27.333333	0	0	120	0	0	0	0	0	0	208	0	0	0
Stam2	27.250000	0	0	166	0	0	0	161	0	0	0	0	0	0
Scd3	27.250000	0	0	147	0	0	0	0	180	0	0	0	0	0
Pcdha2	27.250000	0	195	0	0	0	0	0	0	0	132	0	0	0
Olfr290	27.250000	0	0	131	0	0	0	0	0	0	196	0	0	0
Olfr355	27.166667	0	162	0	0	0	0	0	0	0	164	0	0	0
Mki67	27.166667	0	0	0	0	0	0	0	0	0	326	0	0	0
Acot10	27.166667	0	136	0	0	0	0	0	0	0	190	0	0	0
Olfr734	27.083333	0	0	0	0	0	204	121	0	0	0	0	0	0
Olfr1380	27.083333	0	140	185	0	0	0	0	0	0	0	0	0	0
Nav3	27.083333	0	196	129	0	0	0	0	0	0	0	0	0	0
Nap1l5	27.083333	0	198	0	0	0	0	0	0	0	127	0	0	0
1700074P13Rik	27.083333	0	149	0	0	0	0	0	0	0	176	0	0	0
Yod1	27.000000	0	0	122	0	0	0	0	0	0	202	0	0	0
Nlrp2	27.000000	0	116	0	0	0	0	0	0	0	208	0	0	0
Gm46430	27.000000	0	0	0	0	0	0	0	153	171	0	0	0	0
Gadd45gip1	27.000000	0	0	164	0	0	0	0	0	0	160	0	0	0
Bahcc1	27.000000	0	0	146	0	0	0	0	0	0	178	0	0	0
Tc2n	26.916667	0	169	0	0	0	0	0	0	0	154	0	0	0
Olfr785	26.916667	0	165	0	0	0	0	0	0	0	158	0	0	0
Olfr476	26.916667	0	0	0	0	0	0	0	113	0	210	0	0	0
Olfr299	26.916667	0	113	0	0	0	107	0	0	0	103	0	0	0
Lrig2	26.916667	0	0	0	0	0	0	139	0	0	184	0	0	0
Gm13212	26.916667	0	0	0	0	0	0	0	0	0	323	0	0	0
Cd8b1	26.916667	0	0	0	0	0	132	0	191	0	0	0	0	0
Vmn2r98	26.833333	0	208	0	0	0	0	0	0	0	114	0	0	0
Vmn1r258	26.833333	0	0	322	0	0	0	0	0	0	0	0	0	0
Vmn1r247	26.833333	0	0	322	0	0	0	0	0	0	0	0	0	0
Vmn1r126	26.833333	0	0	322	0	0	0	0	0	0	0	0	0	0
Igbp1b	26.833333	0	0	185	0	0	0	0	0	0	137	0	0	0
Fam3c	26.833333	0	0	0	0	0	0	0	185	0	137	0	0	0
Copz1	26.833333	0	0	0	0	0	0	173	0	0	149	0	0	0
Adgre5	26.833333	0	0	168	0	0	0	0	0	0	154	0	0	0
Madd	26.750000	0	0	0	0	0	0	0	191	130	0	0	0	0
Dnaja3	26.750000	0	0	0	0	0	162	159	0	0	0	0	0	0
Olfr1499	26.666667	0	101	0	0	0	0	0	0	0	219	0	0	0
Esx1	26.666667	0	0	0	0	0	0	0	0	171	149	0	0	0
Ncdn	26.583333	0	0	0	0	0	0	0	0	0	319	0	0	0
Gria4	26.583333	0	0	0	0	0	0	0	246	0	73	0	0	0
Dync1i2	26.583333	0	0	0	0	0	0	0	0	0	319	0	0	0
Clip4	26.583333	0	0	0	0	0	0	0	111	0	208	0	0	0
Cd300lg	26.583333	0	0	129	0	0	0	0	0	0	190	0	0	0
AU040320	26.583333	0	0	0	0	0	0	0	0	0	319	0	0	0
Trim31	26.500000	152	0	166	0	0	0	0	0	0	0	0	0	0
Zfy1	26.416667	0	151	166	0	0	0	0	0	0	0	0	0	0
Aim2	26.416667	0	139	0	0	0	0	0	0	0	178	0	0	0
Rbmxl2	26.333333	0	0	195	0	0	0	0	121	0	0	0	0	0
Olfr1306	26.333333	0	155	0	0	0	0	0	0	0	161	0	0	0
Olfr101	26.333333	0	0	156	0	0	0	0	0	0	160	0	0	0
Glra3	26.333333	0	127	0	0	0	0	0	0	0	189	0	0	0
Sirt4	26.166667	0	0	130	0	0	0	0	0	0	184	0	0	0
Rassf6	26.166667	0	0	187	0	0	0	0	0	0	127	0	0	0
Chkb	26.166667	0	124	0	0	0	0	0	0	0	190	0	0	0
Pnma2	26.083333	166	0	147	0	0	0	0	0	0	0	0	0	0
