Target_genes	Irf3|Average	SRX3380959|Dendritic_Cells	SRX3380960|Dendritic_Cells	SRX3380961|Dendritic_Cells	SRX145327|Macrophages	SRX145328|Macrophages	SRX20734189|Macrophages	SRX20734190|Macrophages	SRX20734191|Macrophages	SRX20734192|Macrophages	SRX20734193|Macrophages	SRX20734194|Macrophages	SRX20734195|Macrophages	SRX20734196|Macrophages	SRX20734201|Macrophages	SRX20734202|Macrophages	SRX20734203|Macrophages	SRX20734205|Macrophages	SRX2991446|Macrophages	SRX2991447|Macrophages	SRX2991448|Macrophages	SRX2991449|Macrophages	STRING
Ranbp2	57.285714	0	323	0	378	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpp6	57.285714	308	634	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lima1	57.285714	0	1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4c17	57.285714	0	0	0	434	769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgb1	57.142857	332	478	116	0	139	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0
H4c18	57.142857	0	0	0	474	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc8b1	57.047619	400	620	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plbd2	57.047619	400	620	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kynu	57.047619	211	554	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tomt	57.000000	0	0	0	0	115	0	0	0	227	632	0	117	0	0	0	0	106	0	0	0	0	0
Lamtor1	57.000000	0	0	0	0	115	0	0	0	227	632	0	117	0	0	0	0	106	0	0	0	0	0
Isy1	57.000000	0	439	0	91	124	0	0	0	0	310	0	95	0	0	0	0	138	0	0	0	0	0
Ido1	56.952381	204	863	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankhd1	56.952381	146	938	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nrg2	56.857143	175	607	224	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0
E2f8	56.809524	281	209	207	124	256	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0
Efhd1	56.761905	268	563	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tank	56.714286	0	220	0	390	430	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0
Ppargc1b	56.666667	500	434	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp35	56.571429	0	143	0	0	96	0	0	0	190	628	0	131	0	0	0	0	0	0	0	0	0	0
Kctd21	56.571429	0	143	0	0	96	0	0	0	190	628	0	131	0	0	0	0	0	0	0	0	0	0
Fhit	56.571429	414	473	0	130	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grk6	56.523810	391	559	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp719	56.476190	0	278	0	127	238	0	0	0	0	418	0	0	0	0	0	0	125	0	0	0	0	0
Lypd11	56.380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	288	329	252	0
Galnt10	56.380952	542	298	152	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fblim1	56.285714	320	468	116	0	150	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0
Cfap126	56.285714	0	398	0	270	403	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0
C330018D20Rik	56.285714	996	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anxa4	56.238095	0	315	0	0	197	0	0	0	121	397	0	0	0	0	0	0	151	0	0	0	0	0
Zeb2	56.190476	286	416	196	94	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tanc1	56.095238	326	588	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab35	56.047619	433	447	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmas	56.047619	347	616	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpusd4	56.000000	378	601	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtmr2	56.000000	0	878	0	0	160	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0
Fam118b	56.000000	378	601	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cetn4	55.904762	426	748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bbs12	55.904762	426	748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Htr7	55.809524	162	1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wfdc18	55.761905	0	324	119	142	79	0	0	0	0	370	0	0	0	0	0	0	137	0	0	0	0	0
Wfdc17	55.761905	0	324	119	142	79	0	0	0	0	370	0	0	0	0	0	0	137	0	0	0	0	0
Slc8a2	55.761905	355	358	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100a3	55.761905	215	688	0	114	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Lpin2	55.761905	281	337	309	0	116	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0
Cd83	55.761905	0	681	165	162	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cybb	55.714286	0	682	0	95	174	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0
P2ry12	55.666667	381	400	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il10	55.619048	102	748	135	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432
Mogat2	55.619048	453	422	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tagap	55.571429	369	506	184	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0
Trim5	55.523810	0	896	0	131	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf5	55.523810	0	0	0	378	625	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0
Zfyve16	55.476190	272	430	143	148	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncf2	55.476190	624	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem79	55.428571	159	323	0	219	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smg5	55.428571	159	323	0	219	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc36a1	55.428571	329	439	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmp2k	55.428571	186	771	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pnrc2	55.380952	372	433	218	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phlda1	55.380952	254	525	156	109	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map3k8	55.380952	92	470	0	225	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfkbia	55.238095	0	274	0	428	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm33887	55.238095	523	365	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tle3	55.190476	364	311	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Washc4	55.142857	0	328	0	221	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bicdl2	55.142857	114	1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim35	55.047619	260	708	0	99	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C130026I21Rik	55.047619	302	522	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Casp6	55.000000	350	502	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mab21l4	54.904762	269	632	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crocc2	54.904762	269	632	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sipa1l1	54.857143	186	619	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coq10b	54.809524	407	744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm21188	54.714286	0	506	0	220	198	0	0	0	0	106	0	0	0	0	0	0	119	0	0	0	0	0
Cxcl11	54.714286	172	228	142	89	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0
Slfn2	54.666667	0	290	165	258	237	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0
Clec4d	54.619048	0	103	0	433	414	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0
Ptpre	54.571429	290	392	87	146	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polg2	54.571429	0	0	0	504	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ociad1	54.571429	0	887	0	85	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tspan8	54.476190	364	450	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Twf2	54.428571	241	685	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppm1m	54.428571	241	685	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mob3b	54.428571	504	335	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inpp5b	54.428571	0	568	0	0	0	0	0	0	151	322	0	0	0	0	0	0	102	0	0	0	0	0
Acer3	54.380952	225	364	235	149	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zswim7	54.333333	166	688	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Utp18	54.333333	308	623	116	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc19	54.333333	166	688	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mbtd1	54.333333	308	623	116	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col6a5	54.333333	0	1141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmprss4	54.238095	202	634	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbr3	54.238095	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	257	265	220	0
Por	54.095238	137	229	0	372	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF067061	54.095238	290	480	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl3	54.000000	0	0	0	409	725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1qc	53.952381	371	352	127	134	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc12a6	53.904762	257	444	0	237	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glcci1	53.904762	395	443	167	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synj1	53.857143	0	595	0	166	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plin2	53.809524	324	288	156	0	134	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0
Klk1b16	53.761905	306	505	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmox1	53.761905	227	403	162	99	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyrk3	53.761905	387	458	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sod2	53.714286	0	0	0	357	771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcp1	53.714286	202	320	130	220	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atad2b	53.714286	310	279	324	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egr1	53.666667	342	333	0	168	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr68	53.571429	267	653	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd33	53.476190	246	250	0	124	211	0	0	0	0	176	0	0	0	0	0	0	116	0	0	0	0	0
Gm3448	53.428571	0	430	186	179	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3417	53.428571	0	430	186	179	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011L22Rik	53.428571	0	0	0	77	103	0	0	0	0	688	82	172	0	0	0	0	0	0	0	0	0	0
Rab30	53.380952	116	843	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tlr6	53.095238	204	396	266	105	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endod1	53.095238	366	455	163	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cenpu	53.000000	275	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcte3	52.952381	0	430	186	169	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ren2	52.952381	0	261	0	0	0	0	0	0	148	580	0	0	0	0	0	0	123	0	0	0	0	0
Ren1	52.952381	0	261	0	0	0	0	0	0	148	580	0	0	0	0	0	0	123	0	0	0	0	0
Btla	52.952381	0	868	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polk	52.904762	193	282	126	240	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grxcr1	52.904762	211	546	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp8b4	52.904762	0	846	0	116	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0
Sys1	52.809524	176	128	155	130	152	0	0	0	88	280	0	0	0	0	0	0	0	0	0	0	0	0
Ldha	52.761905	495	276	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc102a	52.761905	342	406	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adgrg5	52.761905	342	406	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcl2a1d	52.571429	132	458	96	199	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sun1	52.523810	307	421	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmip	52.476190	304	494	183	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0
Il4ra	52.285714	411	362	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd274	52.285714	213	267	180	164	160	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0
Adar	52.238095	0	832	0	0	98	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0
1600014C10Rik	52.190476	349	450	165	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ifna4	52.095238	219	415	142	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	418
Arel1	52.095238	605	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhov	52.047619	0	144	0	228	0	0	0	0	155	459	0	107	0	0	0	0	0	0	0	0	0	0
Ldhc	51.952381	386	486	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elk3	51.952381	354	586	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capza2	51.952381	180	369	231	130	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcl2a1a	51.952381	185	512	0	207	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Puf60	51.809524	0	0	0	368	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helz2	51.809524	265	191	159	110	170	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0
Vim	51.761905	330	349	175	104	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a11	51.714286	148	835	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf167	51.714286	148	835	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfkbiz	51.666667	0	0	0	246	585	0	0	0	0	185	69	0	0	0	0	0	0	0	0	0	0	0
Fxn	51.666667	477	421	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ftl1	51.666667	0	222	0	466	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ciz1	51.523810	0	0	0	427	655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anapc15	51.523810	0	0	0	0	0	0	0	0	227	632	0	117	0	0	0	0	106	0	0	0	0	0
Tm2d2	51.476190	147	373	222	145	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbpl	51.476190	0	147	177	262	334	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0
Cyb5a	51.476190	287	517	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adprh	51.476190	195	234	305	101	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam9	51.476190	147	373	222	145	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef3	51.428571	257	695	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc25	51.380952	0	527	0	178	161	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0
Mt1	51.333333	248	734	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itm2b	51.285714	0	170	84	273	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp2	51.285714	0	0	0	446	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyfip2	51.285714	0	1077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd52	51.285714	0	467	0	154	188	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0
Astl	51.285714	0	0	0	446	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unc13a	51.142857	430	324	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Specc1	51.142857	247	444	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D16Ertd472e	51.142857	0	531	0	0	201	0	0	0	120	222	0	0	0	0	0	0	0	0	0	0	0	0
Tlr5	51.095238	436	355	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trib1	51.000000	0	203	0	384	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ggnbp1	51.000000	478	345	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bak1	51.000000	478	345	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab7b	50.952381	149	313	0	163	201	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0
Igip	50.952381	216	597	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a44	50.904762	126	672	115	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map3k6	50.857143	392	335	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d9	50.714286	211	785	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rabep2	50.714286	0	830	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actb	50.619048	0	411	0	330	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cers6	50.571429	0	0	0	404	527	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r102	50.380952	174	171	182	340	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Irf5	50.380952	244	550	173	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb12	50.333333	416	244	270	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sav1	50.333333	0	234	0	141	443	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0
Isg20	50.333333	0	583	0	104	176	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0
Elmo1	50.333333	0	187	0	378	222	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0
Pbld2	50.285714	0	0	0	397	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hnrnph3	50.285714	0	0	0	397	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3f3b	50.285714	0	0	0	296	576	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0
Gpbp1	50.238095	0	344	0	209	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cntnap5c	50.142857	424	424	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigf	50.047619	129	754	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cript	50.047619	129	754	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Txn2	50.000000	590	225	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl7a1	50.000000	372	517	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc39a13	49.952381	0	381	0	169	360	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0
Mtmr4	49.904762	627	315	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0
Cbfa2t3	49.904762	351	493	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr872	49.809524	274	562	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc2a1	49.714286	162	156	0	260	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vsir	49.666667	175	463	105	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Txndc16	49.571429	229	580	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-DMa	49.571429	0	386	0	130	236	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0
Gpr137c	49.571429	229	580	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amn1	49.523810	0	350	0	343	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam178b	49.428571	155	482	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf8	49.380952	800	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kat6a	49.380952	409	325	145	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fndc7	49.285714	152	735	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2ry13	49.238095	276	578	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scd4	49.190476	200	549	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bst2	49.190476	167	137	187	228	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsc	49.142857	205	310	0	191	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx10	49.095238	141	254	0	262	241	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0
Fzd7	49.095238	204	586	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcgr4	49.095238	0	729	0	139	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0
Dhx40	49.095238	211	400	253	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp971	49.047619	327	464	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2d3	49.047619	0	0	0	433	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tspan13	49.047619	422	420	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc30a5	49.047619	0	0	0	391	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ly86	49.047619	269	385	108	113	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0
Aim2	49.047619	0	415	0	0	127	0	0	0	0	359	0	0	0	0	0	0	129	0	0	0	0	0
Pik3ap1	48.952381	0	194	0	327	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dock10	48.857143	153	389	158	170	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exoc1	48.809524	188	346	169	158	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp217	48.666667	0	871	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erbin	48.619048	183	332	147	121	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhx8	48.571429	294	475	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmt12	48.523810	366	450	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100a4	48.476190	176	688	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0
Olfr225	48.476190	227	527	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3435	48.428571	0	411	186	93	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930519G04Rik	48.428571	0	489	0	249	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v0c	48.380952	156	519	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmed3	48.333333	211	399	267	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srebf2	48.238095	0	468	0	216	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Junb	48.190476	0	0	0	485	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fus	48.142857	0	0	0	336	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrbp1	48.047619	278	257	0	173	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tas2r143	47.952381	408	416	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4c8	47.952381	0	0	0	320	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3c8	47.952381	0	0	0	320	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2ac10	47.952381	0	0	0	320	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc71l	47.952381	0	0	0	468	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pard6a	47.904762	278	545	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gje1	47.904762	0	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enkd1	47.904762	278	545	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
