Target_genes	Foxo3|Average	SRX15124402|4T1	SRX2845374|C2C12	SRX2845375|C2C12	SRX23264976|ES_cells	SRX23264977|ES_cells	SRX23264978|ES_cells	SRX23264979|ES_cells	SRX23264980|ES_cells	SRX23264981|ES_cells	SRX23264982|ES_cells	SRX23264983|ES_cells	SRX125261|Macrophages	SRX315275|Neural_progenitor_cells	STRING
Pdk2	41.076923	0	0	171	0	0	0	0	0	0	0	0	0	363	0
Pank1	41.076923	0	0	171	0	0	0	0	0	0	0	0	0	363	0
Cdc25c	41.076923	0	0	534	0	0	0	0	0	0	0	0	0	0	0
Wdr46	40.846154	0	0	234	0	0	0	0	0	0	0	0	0	297	0
Pfdn6	40.846154	0	0	234	0	0	0	0	0	0	0	0	0	297	0
Abhd17a	40.846154	0	0	185	0	0	0	0	0	0	0	0	0	346	0
Yipf4	40.769231	0	0	285	0	0	0	0	0	0	0	0	0	245	0
Cela3b	40.692308	0	0	529	0	0	0	0	0	0	0	0	0	0	0
Rcc1l	40.538462	0	0	244	0	0	0	0	0	0	0	0	0	283	0
Rpf1	40.461538	0	0	265	0	0	0	0	0	0	0	0	0	261	0
Gfod1	40.461538	0	0	220	0	0	0	0	0	0	0	0	0	306	0
Dpys	40.461538	0	0	274	0	0	0	0	0	0	0	0	0	252	0
Klf3	40.384615	0	0	126	0	0	0	0	0	0	0	0	0	399	0
Stk11ip	40.307692	0	0	170	0	0	0	0	0	0	0	0	0	354	0
H2-L	40.307692	0	0	116	0	0	0	0	0	0	0	0	0	408	0
H2-D1	40.307692	0	0	116	0	0	0	0	0	0	0	0	0	408	0
Arhgef10	40.307692	0	0	524	0	0	0	0	0	0	0	0	0	0	0
Cnrip1	40.230769	0	0	0	0	0	0	0	0	0	0	0	0	523	0
1190007I07Rik	40.230769	0	0	231	0	0	0	0	0	0	0	0	0	292	0
Rplp0	40.153846	0	0	161	0	0	0	0	0	0	0	0	0	361	0
Mrps23	40.153846	0	0	408	0	0	0	0	0	0	0	0	0	114	0
Ip6k1	40.153846	0	0	64	0	0	0	0	0	0	0	0	0	458	0
Actc1	40.153846	0	0	522	0	0	0	0	0	0	0	0	0	0	0
Nr1d2	40.076923	0	0	174	0	0	0	0	0	0	0	0	0	347	0
Ppp1r15a	39.923077	0	0	144	0	0	0	0	0	0	0	0	0	375	0
Plekha4	39.923077	0	0	144	0	0	0	0	0	0	0	0	0	375	0
Pik3ca	39.769231	0	0	187	0	0	0	0	0	0	0	0	0	330	0
Slc25a28	39.692308	0	0	240	0	0	0	0	0	0	0	0	0	276	0
Vstm4	39.615385	0	0	0	0	0	0	0	0	0	0	0	0	515	0
Sugct	39.615385	0	0	279	0	0	0	0	109	0	0	0	0	127	0
Mplkip	39.615385	0	0	279	0	0	0	0	109	0	0	0	0	127	0
Mylk3	39.538462	0	0	514	0	0	0	0	0	0	0	0	0	0	0
Hp1bp3	39.538462	0	0	514	0	0	0	0	0	0	0	0	0	0	0
Rilpl1	39.384615	0	0	512	0	0	0	0	0	0	0	0	0	0	0
Calm1	39.384615	0	0	315	0	0	0	0	0	0	0	0	0	197	0
Fam53c	39.230769	0	0	323	0	0	0	0	0	0	0	0	0	187	0
Arvcf	39.153846	0	0	134	0	0	0	0	0	0	0	0	0	375	0
Trio	39.000000	0	0	409	0	0	0	0	0	0	0	0	0	98	0
Nudt15	39.000000	0	0	304	0	0	0	0	0	0	0	0	0	203	0
Mrpl17	39.000000	0	0	115	0	0	0	0	0	0	0	0	0	392	0
Pdlim3	38.923077	0	0	506	0	0	0	0	0	0	0	0	0	0	0
Endou	38.923077	0	0	329	0	0	0	0	0	0	0	0	0	177	0
Arid5b	38.923077	0	0	224	0	0	0	0	0	0	0	0	0	282	0
Tfdp2	38.846154	0	0	0	0	0	0	0	0	0	0	0	0	505	0
Tti2	38.692308	0	0	187	0	0	0	0	0	0	0	0	0	316	0
Dhrs7b	38.692308	0	0	503	0	0	0	0	0	0	0	0	0	0	0
Lgmn	38.615385	0	0	0	0	0	0	0	0	0	0	0	0	502	0
Cdadc1	38.615385	0	0	116	0	0	0	0	0	0	0	0	0	386	0
Clasp2	38.538462	0	0	0	0	0	0	0	0	0	0	0	0	501	0
Becn1	38.461538	0	0	263	0	0	0	0	0	0	0	0	0	237	0
Tmem203	38.384615	0	0	206	0	0	0	0	0	0	0	0	0	293	0
Ndor1	38.384615	0	0	206	0	0	0	0	0	0	0	0	0	293	0
Mt3	38.307692	0	0	0	0	0	0	0	0	0	0	0	0	498	0
Ska2	38.230769	0	0	497	0	0	0	0	0	0	0	0	0	0	0
Prr11	38.230769	0	0	497	0	0	0	0	0	0	0	0	0	0	0
Zfand5	38.153846	0	0	239	0	0	0	0	0	0	0	0	0	257	0
Tmem88b	38.076923	0	0	311	0	0	0	0	0	0	0	0	0	184	0
Gpr142	38.076923	0	0	152	0	0	0	0	0	0	0	0	0	343	0
Myo6	38.000000	0	0	150	0	0	0	0	0	0	0	0	0	344	0
Gramd1b	37.923077	0	0	343	0	0	0	0	0	0	0	0	0	150	0
Vps26b	37.846154	0	0	117	0	0	0	0	0	0	0	0	0	375	0
Ppp2r3a	37.846154	0	0	189	0	0	0	0	0	0	0	0	0	303	0
Ncapd3	37.846154	0	0	117	0	0	0	0	0	0	0	0	0	375	0
Fancd2os	37.846154	0	0	0	0	0	0	0	0	0	0	0	0	492	0
Brk1	37.846154	0	0	0	0	0	0	0	0	0	0	0	0	492	0
Ralbp1	37.692308	0	0	0	0	0	0	0	0	0	0	0	0	490	0
Mrpl34	37.461538	0	0	218	0	0	0	0	0	0	0	0	0	269	0
Knl1	37.461538	0	0	274	0	0	0	0	0	0	0	0	0	213	0
Dda1	37.461538	0	0	218	0	0	0	0	0	0	0	0	0	269	0
Apc	37.461538	0	0	287	0	0	0	0	0	0	0	0	0	200	0
Abhd8	37.461538	0	0	218	0	0	0	0	0	0	0	0	0	269	0
Tm2d1	37.384615	0	0	322	0	0	0	0	0	0	0	0	164	0	0
Ercc3	37.384615	0	0	125	0	0	0	0	0	0	0	0	0	361	0
Zbtb10	37.230769	0	0	338	0	0	0	0	0	0	0	0	0	146	0
Tprgl	37.153846	0	0	147	0	0	0	0	0	0	0	0	0	336	0
Pnrc1	37.153846	0	0	0	0	0	0	0	0	0	0	0	0	483	0
Onecut2	37.076923	0	0	0	0	0	0	0	0	0	0	0	0	482	0
Nap1l4	37.076923	0	0	149	0	0	0	0	0	0	0	0	0	333	0
Fam234a	37.076923	0	0	173	0	0	0	0	0	0	0	0	0	309	0
Ifna13	36.846154	0	0	301	0	0	0	0	0	0	0	0	0	178	0
Tmem256	36.769231	0	0	478	0	0	0	0	0	0	0	0	0	0	0
Nlgn2	36.769231	0	0	478	0	0	0	0	0	0	0	0	0	0	0
Timm21	36.692308	0	0	266	0	0	0	0	0	0	0	0	0	211	0
Fbxo15	36.692308	0	0	266	0	0	0	0	0	0	0	0	0	211	0
Cbll1	36.692308	0	0	0	0	0	0	0	0	0	0	0	0	477	0
Ggt5	36.615385	0	0	161	0	0	0	0	0	0	0	0	0	315	0
Top2a	36.384615	0	0	473	0	0	0	0	0	0	0	0	0	0	0
Fam214b	36.384615	0	0	240	0	0	0	0	0	0	0	0	0	233	0
Tlk2	36.307692	0	0	0	0	0	0	0	0	0	0	0	0	472	0
Zer1	36.153846	0	0	160	0	0	0	0	0	0	0	0	0	310	0
Polg2	36.153846	0	0	223	0	0	0	0	0	0	0	0	0	247	0
Olfr1344	36.153846	0	0	0	0	0	0	0	0	0	0	0	0	470	0
Gcnt2	36.000000	0	0	0	0	0	0	0	0	0	0	0	0	468	0
1810058I24Rik	35.923077	0	0	467	0	0	0	0	0	0	0	0	0	0	0
Sh3gl1	35.846154	0	0	321	0	0	0	0	0	0	0	0	0	145	0
Plcl2	35.846154	0	0	466	0	0	0	0	0	0	0	0	0	0	0
Chaf1a	35.846154	0	0	321	0	0	0	0	0	0	0	0	0	145	0
Ube2f	35.769231	0	0	239	0	0	0	0	0	0	0	0	0	226	0
Slc6a7	35.769231	0	0	465	0	0	0	0	0	0	0	0	0	0	0
Pcgf5	35.769231	0	0	0	0	0	0	0	0	0	0	0	0	465	0
Mdm2	35.769231	0	0	220	0	0	0	0	0	0	0	0	0	245	0
Il6st	35.769231	0	0	310	0	0	0	0	0	0	0	0	0	155	0
Cenpu	35.769231	0	0	124	0	0	0	0	0	0	0	0	0	341	0
Arnt	35.769231	0	0	357	0	0	0	0	0	0	0	0	0	108	0
4931414P19Rik	35.769231	0	0	234	0	0	0	0	0	0	0	0	0	231	0
Bcl2l11	35.692308	0	0	189	0	0	0	0	0	0	0	0	0	275	645
Adamts14	35.692308	0	0	253	0	0	0	0	0	0	0	0	0	211	0
Zfyve1	35.538462	0	0	155	0	0	0	0	0	0	0	0	0	307	0
Crbn	35.538462	0	0	0	0	0	0	0	0	0	0	0	0	462	0
Ttll10	35.461538	0	0	0	0	0	0	0	0	0	0	0	0	461	0
Mthfd2	35.384615	0	0	0	0	0	0	0	0	0	0	0	0	460	0
Leo1	35.384615	0	0	223	0	0	0	0	0	0	0	0	0	237	0
Cdkn2a	35.384615	0	0	0	174	0	131	0	0	0	0	0	0	155	0
Rtn2	35.307692	0	0	459	0	0	0	0	0	0	0	0	0	0	0
Sort1	35.230769	0	0	196	0	0	0	0	0	0	0	0	0	262	0
Sgcg	35.230769	0	0	458	0	0	0	0	0	0	0	0	0	0	0
Rita1	35.230769	0	0	99	0	0	0	0	0	0	0	0	132	227	0
Fra10ac1	35.230769	0	0	234	0	0	0	0	0	0	0	0	0	224	0
Ddx54	35.230769	0	0	99	0	0	0	0	0	0	0	0	132	227	0
Poldip3	35.153846	0	0	263	0	0	0	0	0	0	0	0	0	194	0
Gm1604b	35.076923	0	0	0	0	0	0	0	0	0	0	0	0	456	0
Cdc14a	35.000000	0	0	275	0	0	0	0	0	0	0	0	0	180	0
Anks3	35.000000	0	0	153	0	0	0	0	0	0	0	0	0	302	0
4930451G09Rik	35.000000	0	0	153	0	0	0	0	0	0	0	0	0	302	0
Ciao3	34.923077	0	0	222	0	0	0	0	0	0	0	0	0	232	0
Tecrl	34.846154	0	0	241	0	0	0	0	0	0	0	0	0	212	0
Filip1	34.846154	0	0	265	0	0	0	0	0	0	0	0	0	188	0
Dgkz	34.846154	0	0	202	0	0	0	0	0	0	0	0	0	251	0
Zbtb18	34.769231	0	0	161	0	0	0	0	0	0	0	0	0	291	0
Npas4	34.769231	0	0	136	0	0	0	0	0	0	0	0	0	316	0
Glra1	34.769231	0	0	0	0	0	0	0	0	0	0	0	0	452	0
Aebp2	34.769231	0	0	452	0	0	0	0	0	0	0	0	0	0	0
Actn2	34.769231	0	0	452	0	0	0	0	0	0	0	0	0	0	0
Rhbdl2	34.692308	0	0	451	0	0	0	0	0	0	0	0	0	0	0
Nos2	34.615385	0	0	0	0	0	0	0	0	0	0	0	0	450	155
Zfp433	34.615385	0	0	0	0	0	0	0	0	0	0	0	125	325	0
Zfp146	34.615385	0	0	263	0	0	0	0	0	0	0	0	0	187	0
Gm32687	34.615385	0	0	0	0	0	0	0	0	0	0	0	125	325	0
Gins2	34.615385	0	0	450	0	0	0	0	0	0	0	0	0	0	0
Calm2	34.615385	0	0	240	0	0	0	0	0	0	0	0	0	210	0
Borcs6	34.615385	0	0	233	0	0	0	0	0	0	0	0	0	217	0
Ankrd13c	34.615385	0	0	157	0	0	0	0	0	0	0	0	0	293	0
Shisa4	34.538462	0	0	449	0	0	0	0	0	0	0	0	0	0	0
Olfr806	34.538462	0	0	0	0	0	0	0	0	0	0	0	449	0	0
Gm6712	34.538462	0	0	227	0	0	0	0	0	0	0	0	0	222	0
Fam214a	34.538462	0	0	171	0	0	0	0	0	0	0	0	0	278	0
Mustn1	34.461538	0	0	448	0	0	0	0	0	0	0	0	0	0	0
Tbl1x	34.384615	0	0	282	0	0	0	0	0	0	0	0	0	165	0
Smim6	34.384615	0	0	447	0	0	0	0	0	0	0	0	0	0	0
Itm2b	34.384615	0	0	313	0	0	0	0	0	0	0	0	0	134	0
Ttc32	34.307692	0	0	237	0	0	0	0	0	0	0	0	0	209	0
Marchf2	34.307692	0	0	0	0	0	0	0	0	0	0	0	0	446	0
Gm11437	34.307692	0	0	215	0	0	0	0	0	0	0	0	0	231	0
C1qtnf9	34.307692	0	0	0	0	0	0	0	0	0	0	0	0	446	0
Npcd	34.230769	0	0	205	0	0	0	0	0	0	0	0	0	240	0
Mro	34.230769	0	0	0	0	0	0	0	0	0	0	0	0	445	0
Cpa4	34.230769	0	0	0	0	0	0	0	0	0	0	0	0	445	0
Cbx6	34.230769	0	0	205	0	0	0	0	0	0	0	0	0	240	0
Msl2	34.076923	0	0	0	0	0	0	0	0	0	0	0	115	328	0
Rpp14	34.000000	0	0	135	0	0	0	0	0	0	0	0	0	307	0
Htd2	34.000000	0	0	135	0	0	0	0	0	0	0	0	0	307	0
Gm15517	33.923077	0	0	172	0	0	0	0	0	0	0	0	0	269	0
Upp2	33.846154	0	0	440	0	0	0	0	0	0	0	0	0	0	0
Elf2	33.846154	0	0	183	0	0	0	0	0	0	116	0	0	141	0
Dtna	33.846154	0	0	182	0	0	0	0	0	0	0	0	0	258	0
Fdxacb1	33.769231	0	0	126	0	0	0	0	0	0	0	0	0	313	0
1110032A03Rik	33.769231	0	0	126	0	0	0	0	0	0	0	0	0	313	0
Wdr19	33.692308	0	0	233	0	0	0	0	0	0	0	0	0	205	0
Pcyt1a	33.615385	0	0	437	0	0	0	0	0	0	0	0	0	0	0
Maz	33.461538	0	0	173	0	0	0	0	0	0	0	0	0	262	0
Btg2	33.461538	0	0	226	0	0	0	0	0	0	0	0	0	209	0
Cnot10	33.384615	0	0	148	0	0	0	0	0	0	0	0	0	286	0
Wipf2	33.307692	0	0	0	0	0	0	0	0	0	0	0	0	433	0
Cmas	33.230769	0	0	0	0	0	0	0	0	0	0	0	0	432	0
Sgca	33.153846	0	0	172	0	0	0	0	0	0	0	0	0	259	0
Ahcyl1	33.153846	0	0	148	0	0	0	0	0	0	0	0	0	283	0
Tmem71	33.076923	0	0	430	0	0	0	0	0	0	0	0	0	0	0
Tmem250-ps	33.076923	0	0	267	0	0	0	0	0	0	0	0	0	163	0
Spa17	33.076923	0	0	430	0	0	0	0	0	0	0	0	0	0	0
Siae	33.076923	0	0	430	0	0	0	0	0	0	0	0	0	0	0
Rnf122	33.076923	0	0	236	0	0	0	0	0	0	0	0	0	194	0
Nfatc2	33.076923	0	0	0	0	0	0	0	0	0	0	0	0	430	0
Klhdc2	33.076923	0	0	0	0	0	0	0	0	0	0	0	0	430	0
2610524H06Rik	33.000000	0	0	429	0	0	0	0	0	0	0	0	0	0	0
Mpdu1	32.846154	0	0	0	0	0	0	0	0	0	0	0	0	427	0
Klf10	32.769231	0	0	148	0	0	0	0	0	0	0	0	0	278	0
S100b	32.692308	0	0	262	0	0	0	0	0	0	0	0	0	163	0
Rasa3	32.692308	0	0	339	0	0	0	0	0	0	0	0	0	86	0
Klf7	32.692308	0	0	0	0	0	0	0	0	0	0	0	115	310	0
Slc9a3r2	32.615385	0	0	424	0	0	0	0	0	0	0	0	0	0	0
Chst12	32.615385	0	0	118	0	0	0	0	0	0	0	0	0	306	0
4930558K02Rik	32.615385	0	0	267	0	0	0	0	0	0	0	0	0	157	0
Atg14	32.538462	0	0	130	0	0	0	0	0	0	0	0	0	293	0
Foxo4	32.461538	0	0	0	0	0	0	0	0	0	0	0	0	422	462
Jup	32.461538	0	0	211	0	0	0	0	0	0	0	0	0	211	0
Ccdc28a	32.461538	0	0	147	0	0	0	0	0	0	0	0	0	275	0
Wwox	32.384615	0	0	0	0	0	0	0	0	0	0	0	262	159	0
Rae1	32.384615	0	0	220	0	0	0	0	0	0	0	0	0	201	0
Swap70	32.307692	0	0	0	0	0	0	0	0	0	0	0	0	420	0
Spen	32.307692	0	0	0	0	0	0	0	0	0	0	0	0	420	0
Slc35g3	32.307692	0	0	0	0	0	0	0	0	0	0	0	0	420	0
Polr2a	32.307692	0	0	0	0	0	0	0	0	0	0	0	0	420	0
Tmem259	32.230769	0	0	193	0	0	0	0	0	0	0	0	0	226	0
Cnn2	32.230769	0	0	193	0	0	0	0	0	0	0	0	0	226	0
Skp2	32.076923	0	0	285	0	0	0	0	0	0	0	0	0	132	0
Usp44	32.000000	0	0	178	0	0	0	0	0	0	0	0	0	238	0
R3hdm1	32.000000	0	0	208	0	0	0	0	0	0	0	0	0	208	0
Pvalb	31.923077	0	0	251	0	0	0	0	0	0	0	0	0	164	0
Mbd6	31.923077	0	0	415	0	0	0	0	0	0	0	0	0	0	0
Etaa1	31.923077	0	0	137	0	0	0	0	0	0	0	0	0	278	0
Eif2ak3	31.923077	0	0	219	0	0	0	0	0	0	0	0	0	196	0
Eapp	31.923077	0	0	155	0	0	0	0	0	0	0	0	0	260	0
Ddit3	31.923077	0	0	415	0	0	0	0	0	0	0	0	0	0	0
Coq8a	31.923077	0	0	127	0	0	0	0	0	0	0	0	0	288	0
Bbc3	31.923077	0	0	152	0	0	0	0	0	0	0	0	0	263	0
Atf2	31.923077	0	0	193	0	0	0	0	0	0	0	0	0	222	0
Tex14	31.846154	0	0	223	0	0	0	0	0	0	0	0	0	191	0
Rora	31.846154	0	0	0	0	0	0	0	0	0	0	0	0	414	0
Ube2g2	31.769231	0	0	413	0	0	0	0	0	0	0	0	0	0	0
Psmc6	31.769231	0	0	165	0	0	0	0	0	0	0	0	0	248	0
Plekhb1	31.769231	0	0	149	0	0	0	0	0	0	0	0	0	264	0
Dusp6	31.769231	0	0	232	0	0	0	0	0	0	0	0	0	181	0
Ptprr	31.692308	0	0	412	0	0	0	0	0	0	0	0	0	0	0
Hnmt	31.692308	0	0	0	0	0	0	0	0	0	0	0	0	412	0
Mapk3	31.615385	0	0	0	0	0	0	0	0	0	0	0	0	411	0
Jun	31.538462	0	0	162	0	0	0	0	0	0	0	0	0	248	0
Scrg1	31.461538	0	0	0	0	0	0	0	0	0	0	0	0	409	0
Nfe2l2	31.384615	0	0	138	0	0	0	0	0	0	0	0	0	270	0
Tspan4	31.307692	0	0	198	0	0	0	0	0	0	0	0	0	209	0
Polr2l	31.307692	0	0	198	0	0	0	0	0	0	0	0	0	209	0
Wipi2	31.230769	0	0	0	0	0	0	0	0	0	0	0	0	406	0
Trib2	31.230769	0	0	0	0	0	0	0	0	0	0	0	0	406	0
Pde1b	31.230769	0	0	0	0	0	0	0	0	0	0	0	0	406	0
Lama5	31.230769	0	0	233	0	0	0	0	0	0	0	0	0	173	0
Sfxn3	31.153846	0	0	294	0	0	0	0	0	0	0	0	0	111	0
Pdzd7	31.153846	0	0	294	0	0	0	0	0	0	0	0	0	111	0
Arhgef2	31.153846	0	0	405	0	0	0	0	0	0	0	0	0	0	0
Zfp101	31.076923	0	0	238	0	0	0	0	0	0	0	0	0	166	0
Sec14l1	31.076923	0	0	404	0	0	0	0	0	0	0	0	0	0	0
Osbpl2	31.076923	0	0	146	0	0	0	0	0	0	0	0	0	258	0
Casq1	31.076923	0	0	198	0	0	0	0	0	0	0	0	0	206	0
Ampd3	31.076923	0	0	404	0	0	0	0	0	0	0	0	0	0	0
Dhx37	31.000000	0	0	138	0	0	0	0	0	0	0	0	0	265	0
Csdc2	31.000000	0	0	207	0	0	0	0	0	0	0	0	0	196	0
Apobec2	31.000000	0	0	403	0	0	0	0	0	0	0	0	0	0	0
H2-Ab1	30.923077	0	0	0	0	0	0	0	0	0	0	0	0	402	0
Dph6	30.923077	0	0	161	0	0	0	0	0	0	0	0	123	118	0
Zfp955b	30.846154	0	0	177	0	0	0	0	0	0	0	0	0	224	0
Ubn2	30.846154	0	0	196	0	0	0	0	0	0	0	0	0	205	0
Tnfrsf19	30.846154	0	0	236	0	0	0	0	0	0	0	0	0	165	0
Gbp5	30.846154	0	0	0	0	0	0	0	0	0	0	0	0	401	0
Ambra1	30.846154	0	0	270	0	0	0	0	0	0	0	0	0	131	0
Zfp691	30.769231	0	0	184	0	0	0	0	0	0	0	0	0	216	0
Eepd1	30.769231	0	0	0	0	0	0	0	0	0	0	0	0	400	0
Tom1l2	30.692308	0	0	148	0	0	0	0	0	0	0	0	0	251	0
Mreg	30.692308	0	0	242	0	0	0	0	0	0	0	0	0	157	0
Drc3	30.692308	0	0	148	0	0	0	0	0	0	0	0	0	251	0
Inafm2	30.538462	0	0	397	0	0	0	0	0	0	0	0	0	0	0
Rhod	30.384615	0	0	395	0	0	0	0	0	0	0	0	0	0	0
Ip6k2	30.384615	0	0	395	0	0	0	0	0	0	0	0	0	0	0
Gm33989	30.384615	0	0	0	0	0	0	0	0	0	0	0	0	395	0
Ccdc30	30.384615	0	0	149	0	0	0	0	0	0	0	0	0	246	0
Calm3	30.384615	0	0	303	0	0	0	0	0	0	0	0	0	92	0
Asrgl1	30.384615	0	0	0	0	0	0	0	0	0	0	0	0	395	0
Hjurp	30.307692	0	0	169	0	0	0	0	0	0	0	0	0	225	0
A730008H23Rik	30.307692	0	0	169	0	0	0	0	0	0	0	0	0	225	0
Tbc1d23	30.230769	0	0	234	0	0	0	0	0	0	0	0	0	159	0
Nme1	30.153846	0	0	196	0	0	0	0	0	0	0	0	0	196	0
Atp6v0d2	30.153846	0	0	392	0	0	0	0	0	0	0	0	0	0	0
Aig1	30.153846	0	0	392	0	0	0	0	0	0	0	0	0	0	0
Ttc37	30.076923	0	0	108	0	0	0	0	0	0	0	0	0	283	0
Sptbn2	30.076923	0	0	149	0	0	0	0	0	0	0	0	0	242	0
Arsk	30.076923	0	0	108	0	0	0	0	0	0	0	0	0	283	0
Ptprcap	29.923077	0	0	389	0	0	0	0	0	0	0	0	0	0	0
Gm42372	29.923077	0	0	0	0	0	0	0	0	0	0	0	0	389	0
Fut10	29.923077	0	0	184	0	0	0	0	0	0	0	0	0	205	0
Coro1b	29.923077	0	0	389	0	0	0	0	0	0	0	0	0	0	0
Tnpo1	29.846154	0	0	172	0	0	0	0	0	0	0	0	0	216	0
Cstf2t	29.846154	0	0	158	0	0	0	0	0	0	0	0	0	230	0
Cacfd1	29.846154	0	0	0	0	0	0	0	0	0	0	0	0	388	0
Astl	29.846154	0	0	388	0	0	0	0	0	0	0	0	0	0	0
Zfp595	29.769231	0	0	104	0	0	0	0	0	0	0	0	0	283	0
Ptch1	29.769231	0	0	193	0	0	0	0	0	0	0	0	0	194	0
Igsf8	29.769231	0	0	168	0	0	0	0	0	0	0	0	0	219	0
Dpep2	29.769231	0	0	172	0	0	0	0	0	0	0	0	0	215	0
Vmn2r21	29.692308	0	0	0	0	0	0	0	0	0	0	0	0	386	0
Mef2d	29.692308	0	0	137	0	0	0	0	0	0	0	0	0	249	0
Lrrc14b	29.692308	0	0	292	0	0	0	0	0	0	0	0	0	94	0
Pacsin2	29.615385	0	0	194	0	0	0	0	0	0	0	0	0	191	0
Gm45521	29.615385	0	0	385	0	0	0	0	0	0	0	0	0	0	0
Tmem262	29.538462	0	0	136	0	0	0	0	0	0	0	0	0	248	0
Skp1	29.538462	0	0	186	0	0	0	0	0	0	0	0	0	198	0
Plekhs1	29.538462	0	0	0	0	0	0	0	0	0	0	0	0	384	0
G3bp1	29.538462	0	0	132	0	0	0	0	0	0	0	0	0	252	0
Fez1	29.538462	0	0	384	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik	29.538462	0	0	0	0	0	0	0	0	0	0	0	0	384	0
Ttc33	29.461538	0	0	150	0	0	0	0	0	0	0	0	0	233	0
Tfb2m	29.461538	0	0	69	0	0	0	0	0	0	0	0	0	314	0
Hip1	29.461538	0	0	215	0	0	0	0	0	0	0	0	0	168	0
Cnst	29.461538	0	0	69	0	0	0	0	0	0	0	0	0	314	0
Mcm7	29.384615	0	0	125	0	0	0	0	0	0	0	0	0	257	0
Ap4m1	29.384615	0	0	125	0	0	0	0	0	0	0	0	0	257	0
Wdr45	29.230769	0	0	178	0	0	0	0	0	0	0	0	0	202	0
Mmp28	29.230769	0	0	380	0	0	0	0	0	0	0	0	0	0	0
Hes7	29.230769	0	0	131	0	0	0	0	0	0	0	0	0	249	0
Gpr84	29.230769	0	0	171	0	0	0	0	0	0	0	0	0	209	0
Aloxe3	29.230769	0	0	131	0	0	0	0	0	0	0	0	0	249	0
Akr1b10	29.230769	0	0	127	0	0	0	0	0	0	0	0	0	253	0
Pitpnc1	29.153846	0	0	159	0	0	0	0	0	0	0	0	0	220	0
Cdc37l1	29.153846	0	0	0	0	0	0	0	0	0	0	0	0	379	0
Osbpl9	29.076923	0	0	182	0	0	0	0	0	0	0	0	0	196	0
Slc8b1	29.000000	0	0	267	0	0	0	0	0	0	0	0	0	110	0
Ndrg3	29.000000	0	0	149	0	0	0	0	0	0	0	0	0	228	0
Rap1gap2	28.923077	0	0	0	0	0	0	0	0	0	0	0	0	376	0
Dpysl3	28.923077	0	0	0	0	0	0	0	0	0	0	0	0	376	0
Kat2b	28.846154	0	0	221	0	0	0	0	0	0	0	0	0	154	0
Tmem50a	28.769231	0	0	150	0	0	0	0	0	0	0	0	0	224	0
Ear4	28.769231	0	0	170	0	0	0	0	0	0	0	0	0	204	0
Ear14	28.769231	0	0	170	0	0	0	0	0	0	0	0	0	204	0
Ang2	28.769231	0	0	170	0	0	0	0	0	0	0	0	0	204	0
Retreg2	28.692308	0	0	232	0	0	0	0	0	0	0	0	0	141	0
Nsd3	28.692308	0	0	254	0	0	0	0	0	0	0	0	0	119	0
Gnai3	28.692308	0	0	178	0	0	0	0	0	0	0	0	0	195	0
Cnppd1	28.692308	0	0	232	0	0	0	0	0	0	0	0	0	141	0
Cldn4	28.692308	0	0	187	0	0	0	0	186	0	0	0	0	0	0
Cdk9	28.692308	0	0	373	0	0	0	0	0	0	0	0	0	0	0
Trim55	28.615385	0	0	372	0	0	0	0	0	0	0	0	0	0	0
Synpo	28.615385	0	0	265	0	0	0	0	0	0	0	0	0	107	0
Smlr1	28.615385	0	0	372	0	0	0	0	0	0	0	0	0	0	0
Slc25a11	28.615385	0	0	0	0	0	0	0	0	0	0	0	0	372	0
Rnf167	28.615385	0	0	0	0	0	0	0	0	0	0	0	0	372	0
Iffo1	28.615385	0	0	0	0	0	0	0	0	0	0	0	0	372	0
Tex261	28.538462	0	0	207	0	0	0	0	0	0	0	0	0	164	0
Pnpla8	28.538462	0	0	94	0	0	0	0	0	0	0	0	0	277	0
Cnot6l	28.538462	0	0	371	0	0	0	0	0	0	0	0	0	0	0
Agbl5	28.538462	0	0	231	0	0	0	0	0	0	0	0	0	140	0
Acer3	28.538462	0	0	0	0	0	0	0	0	0	0	0	0	371	0
Zfp703	28.461538	0	0	0	0	0	0	0	0	0	0	0	0	370	0
Tmem255b	28.461538	0	0	0	0	0	0	0	0	0	0	0	0	370	0
Bmf	28.461538	0	0	208	0	0	0	0	0	0	0	0	0	162	0
Rsf1	28.384615	0	0	155	0	0	0	0	0	0	0	0	0	214	0
Aamdc	28.384615	0	0	155	0	0	0	0	0	0	0	0	0	214	0
Vmn2r20	28.230769	0	0	0	0	0	0	0	0	0	0	0	0	367	0
Map9	28.230769	0	0	0	0	0	0	0	0	0	0	0	0	367	0
Gm9949	28.230769	0	0	367	0	0	0	0	0	0	0	0	0	0	0
Adrb2	28.230769	0	0	367	0	0	0	0	0	0	0	0	0	0	0
P2ry14	28.153846	0	0	0	0	0	0	0	0	0	0	0	0	366	0
Asph	28.153846	0	0	366	0	0	0	0	0	0	0	0	0	0	0
Tor1aip2	28.076923	0	0	0	0	0	0	0	0	0	0	0	0	365	0
Tor1aip1	28.076923	0	0	0	0	0	0	0	0	0	0	0	0	365	0
Plekhm3	28.076923	0	0	134	0	0	0	0	0	0	0	0	0	231	0
Oga	28.000000	0	0	115	0	0	0	0	0	0	0	0	0	249	0
